mogert,	মগের্ট,	মোজার্ট,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
toler,	তলের,	তালের,	
mucus,	মিউকাস,	মিউকাস,	
sampadan,	সম্পাদন,	সম্পাদন,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
suparheiro,	সুপারেহার,	সুপারহিরো,	
manu,	মানু,	মনু,	
maadhookori,	মাধুকরি,	মাধুকরী,	
udbodhoney,	উদ্বধনে,	উদ্বোধনে,	
russad,	রুশাদ,	রুশদ,	
chirata,	চিরত,	চিরতা,	
blagarara,	ব্লগেরার,	ব্লগাররা,	
bufer,	বিউফার,	বাফার,	
talgach,	তলগাছ,	তালগাছ,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
shhashtra,	শাস্ট্র,	শাস্ত্র,	
paripaker,	পরিপকের,	পরিপাকের,	
teunar,	টিউনার,	টিউনার,	
transformarer,	ট্রান্সপোর্রের,	ট্রান্সফরমারের,	
rot,	রট,	রত,	
nogore,	নগরে,	নগরে,	
moldowa,	মলদদ্ব,	মলদোভা,	
shaswata,	শশ্যতা,	শাশ্বত,	
thailandshoho,	ঠাইন্দস্যো,	থাইল্যান্ডসহ,	
taronee,	তারণী,	তরণী,	
akpaase,	একপাশে,	একপাশে,	
mojlishpur,	মজলিস্পুর,	মজলিশপুর,	
nama,	নামা,	নমো,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
praapoker,	প্রাপকের,	প্রাপকের,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
teenti,	তিনটি,	তিনটি,	
nirontar,	নীরন্তর,	নিরন্তর,	
prakar,	প্রকার,	প্রকার,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ooporoshtho,	উপরস্থ,	উপরস্থ,	
ajijoor,	অজিজুর,	আজিজুর,	
sone,	সোনে,	সনে,	
bachchaner,	বাচ্চনের,	বচ্চনের,	
parther,	পার্থের,	পার্থের,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
geans,	জিনস,	জিন্স,	
ajij,	অজিজ,	আজিজ,	
hafez,	হাফেজ,	হাফেয,	
damanmulak,	দামন্মূলক,	দমনমূলক,	
gunje,	গুঞ্জে,	গুঁজে,	
qode,	কোডে,	কোড,	
vins,	ভিন্স,	ভিন্স,	
subir,	সুবির,	সুবীর,	
koreempoor,	করিমপুর,	করিমপুর,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
harysoner,	হারিসনের,	হ্যারিসনের,	
onekeryi,	অনেকেরই,	অনেকেরই,	
shikar,	শিকার,	শিকার,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
zuktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
jaaluk,	জালুক,	জ্বলুক,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
mufti,	মুফতী,	মুফতি,	
phimel,	ফাইমেল,	ফিমেল,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
futonto,	ফুটন্ত,	ফুটন্ত,	
jansa,	জনস,	জোন্স,	
bede,	বেদে,	বেদে,	
janacche,	জানাচ্ছে,	জানাচ্ছে,	
ajouno,	অজনও,	অযৌন,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
tep,	টিপ,	ট্যাপ,	
bagichaar,	বাগিচার,	বাগিচার,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
uparjan,	উপার্জন,	উপার্জন,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
aboshore,	অবসরে,	অবসরে,	
kormer,	কর্মের,	কর্মের,	
prakalpatike,	প্রকল্পতিকে,	প্রকল্পটিকে,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
dubureer,	দুবুরীর,	ডুবুরির,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
taitela,	টাইেেল,	টাইটেল,	
sucharita,	সূচারিত,	সুচরিতা,	
bhabnar,	ভব্নার,	ভাবনার,	
grambashee,	গ্রামবাসী,	গ্রামবাসী,	
amarica,	এমেরিকা,	আমেরিকা,	
kortonaa,	কর্তনা,	করতনা,	
ches,	চেজ,	চেস,	
futbolarra,	ফুটবলারার,	ফুটবলাররা,	
kraanti,	ক্রান্টি,	ক্রান্তি,	
maney,	মানে,	মানে,	
eporjonta,	এপোর্জান্ত,	এপর্যন্ত,	
nothivookteer,	নথিভূক্তির,	নথিভুক্তির,	
engrezer,	ইংরেজের,	ইংরেজের,	
santose,	সান্ত্যাস,	সন্তোষে,	
nathivukta,	নথিভূক্ত,	নথিভুক্ত,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
olympik,	অলিম্পিক,	অলিম্পিক,	
bidghute,	বিধুতে,	বিদঘুটে,	
deil,	দেল,	ডেইল,	
dibug,	দিবুগ,	ডিবাগ,	
vugten,	ভুগতেন,	ভুগতেন,	
isosiyitasa,	এসোসিজিটাস,	এসোসিয়েটস,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
faskari,	ফসকারী,	ফাঁসকারী,	
cholochchitraeei,	চলচিত্রীই,	চলচ্চিত্রেই,	
padarthabidder,	পদার্থবিদ্যার,	পদার্থবিদদের,	
cheshsh,	চেশ,	চেস,	
post,	পোস্ট,	পোষ্ট,	
mumtazer,	মুতাজের,	মুমতাজের,	
natniike,	নাতনিকে,	নাতনীকে,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
wenom,	ভেনম,	ভেনম,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
monhputo,	মন্পুত,	মনঃপুত,	
salim,	সালিম,	সেলিম,	
troup,	ট্রুপ,	ট্রুপ,	
hirani,	হিরানি,	হিরানি,	
aalaaoler,	আলালের,	আলাওলের,	
kachakachi,	কাচকাছি,	কাছাকাছি,	
shikarder,	শিকারদের,	শিকারদের,	
rahie,	রাহিই,	রাহি,	
nondolaal,	নন্দলাল,	নন্দলাল,	
samannoi,	সমান্যই,	সামান্যই,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
vabuk,	ভাবুক,	ভাবুক,	
bosturoi,	বস্তুরই,	বস্তুরই,	
sahooseekotar,	সহসিকতার,	সাহসিকতার,	
buildar,	বিল্ডার,	বিল্ডার,	
gavaskar,	গভ্বকার,	গাভাস্কার,	
hajaribag,	হজরিবাগ,	হাজারিবাগ,	
bamonder,	বামন্ডের,	বামনদের,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
mozlis,	মজলিস,	মজলিশ,	
jaistha,	জৈস্ঠ্য,	জ্যৈষ্ঠ,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
orbit,	অর্বিত,	অরবিট,	
donut,	দনউট,	ডোনাট,	
kooyeri,	কুরি,	কোয়েরি,	
bhumir,	ভূমির,	ভূমির,	
macher,	মাচের,	মাছের,	
akritakarja,	আকৃতর্কর্য,	অকৃতকার্য,	
madla,	মদলা,	মাদলা,	
marketim,	মার্কেটিং,	মার্কেটিং,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
ateetkale,	অতীতকালে,	অতীতকালে,	
proshadhoni,	প্রশাধনী,	প্রসাধনী,	
nirupita,	নিরুপিত,	নিরূপিত,	
horash,	হরাস,	হোরাস,	
durgotsob,	দুর্গটব,	দুর্গোৎসব,	
dhanchey,	ধাঁচে,	ধাঁচে,	
bandike,	বন্দিকে,	বন্দীকে,	
lobbytey,	লব্বিতে,	লবিতে,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
elakaao,	এলাকাও,	এলাকাও,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
fridom,	ফ্রিডম,	ফ্রীডম,	
saarbhaarer,	সার্ভারের,	সার্ভারের,	
porizon,	পরিজন,	পরিজন,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
vogno,	ভগ্ন,	ভগ্ন,	
kanake,	কানাকে,	কণাকে,	
mahibur,	মহিবুর,	মহিবুর,	
byaran,	ব্যারান,	ব্যারন,	
kakhanyoba,	কখন্যবা,	কখনওবা,	
patengar,	পটের্জার,	পতেঙ্গার,	
skalastika,	স্কলাস্টিক,	স্কলাস্টিক,	
pyore,	প্যোর,	পিওর,	
ukeliptas,	উক্লিপিটেস,	ইউক্যালিপ্টাস,	
shomser,	শমসের,	সমশের,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
iling,	এলিং,	ইলিং,	
shaahocharjo,	শাহচর্য,	সাহচর্য,	
satarkatar,	সত্তারতার,	সতর্কতার,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
mooldoova,	মোলদোবা,	মলদোভা,	
sinematographar,	সিনেম্নত্রফর,	সিনেমাটোগ্রাফার,	
pannee,	পান্নি,	পন্নী,	
khogen,	খোগেন,	খগেন,	
pathkromer,	পাঠক্রমের,	পাঠক্রমের,	
procharonamulok,	প্রচারনামূলক,	প্রচারণামূলক,	
august,	অগাস্ট,	আগষ্ট,	
parq,	পার্ক,	পার্ক,	
gabhaskaar,	গভ্বকার,	গাভাস্কার,	
bidghutey,	বিধুতে,	বিদঘুটে,	
moshjidtir,	মসজিদটির,	মসজিদটির,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
sayaneda,	সোয়েন্দা,	সায়ানাইড,	
conserwation,	কনসারেশনেশন,	কনসারভেশন,	
roktokkoron,	রক্তক্ণকরণ,	রক্তক্ষরণের,	
sikkhakder,	শিক্ষাদদের,	শিক্ষকদের,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
itostato,	ইতোস্টাত,	ইতস্তত,	
pudding,	পাদিন,	পুডিং,	
transhapharma,	ট্রান্সপোর্ম,	ট্রান্সফর্ম,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
taler,	তলের,	তালের,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
majdur,	মাজদুর,	মজদুর,	
astikota,	অস্তিকাত,	আস্তিকতা,	
gondho,	গন্ধ,	গন্ধে,	
booponer,	বূপনের,	বপনের,	
chaity,	চাইতি,	চৈতি,	
metrapalitana,	মেট্রোপিলটন,	মেট্রোপলিটন,	
somrat,	সমরাত,	সম্রাট,	
sangosthatike,	সংস্থাটটিকে,	সংস্থাটিকে,	
ganosochetonota,	গণশোচনাতনা,	গণসচেতনতা,	
tottenhamer,	তট্তেনহামের,	টটেনহামের,	
khannkaj,	খননকাজ,	খননকাজ,	
bondikey,	বন্দিকে,	বন্দীকে,	
hoil,	হইল,	হইল,	
turkmen,	টার্কম্যান,	তুর্কমেন,	
rajbandir,	রাজবন্দির,	রাজবন্দীর,	
nevatey,	নেভাতে,	নেভাতে,	
deepan,	দিপন,	দীপন,	
buffer,	বাফফার,	বাফার,	
goteehin,	গতিহীন,	গতিহীন,	
santaa,	সান্টা,	সান্তা,	
shyutara,	স্যুটার,	শ্যুটার,	
janalo,	জানালো,	জানালো,	
female,	ফেমালে,	ফিমেল,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
nathivuktir,	নথিভূক্তির,	নথিভুক্তির,	
gostigulo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
bauger,	বাগের,	বাগের,	
shoori,	সূরি,	সুরি,	
gonohotyar,	গণহাত্যার,	গণহত্যার,	
porikhar,	পরীক্ষার,	পরিখার,	
ghursen,	ঘুরেণ,	ঘুরেছেন,	
parbottyo,	পার্বত্য,	পার্বত্য,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
metroopalitana,	মেট্রোপিল্টন,	মেট্রোপলিটন,	
latimer,	লতিমের,	লাটিমের,	
qyapasula,	ক্যাপসুল,	ক্যাপসুল,	
naubotom,	নবতম,	নবতম,	
kemaney,	কেমনে,	কেমনে,	
shhcholashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
abdur,	আবদুর,	আবদুর,	
manhputa,	মানপুতা,	মনঃপুত,	
themey,	থেমে,	থিমে,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
talaa,	তলা,	তালা,	
niropekshtar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
toronee,	তরনী,	তরণী,	
ogrodoot,	অগ্রদূত,	অগ্রদূত,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
sabrakamer,	সব্রাকের,	সবরকমের,	
gyandaas,	জ্ঞান্ডাজ,	জ্ঞানদাস,	
bongshokey,	বংশকে,	বংশকে,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
firoze,	ফিরোজে,	ফিরোজ,	
chenja,	চেঞ্জ,	চেঞ্জ,	
grauth,	গ্রুথ,	গ্রোথ,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
fevarite,	ফেভরিতে,	ফেভারিট,	
carloos,	চার্লো,	কার্লোস,	
bamon,	বামন,	বামন,	
ganokantha,	গণনান্ঠা,	গণকণ্ঠ,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
toubar,	তৌবার,	তওবার,	
kharar,	খারার,	খরার,	
gronthatike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
uthe,	উঠে,	উঠে,	
madrasa,	মাদরাসা,	মাদ্রাসা,	
abheedhaner,	অভিধানের,	অভিধানের,	
rachanakal,	রচনাকল,	রচনাকাল,	
johor,	জহোর,	জহর,	
tonoo,	টনু,	তনু,	
foloshruti,	ফলসরুতি,	ফলশ্রুতি,	
korimkey,	করিমকে,	করিমকে,	
baipass,	বাইপস,	বাইপাস,	
hoteelti,	হটিলটি,	হোটেলটি,	
bopoon,	বপুন,	বপন,	
advanced,	অ্যাডভান্ডেস,	অ্যাডভান্সড,	
carlas,	চার্লস,	কার্লোস,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
zonsa,	জনসা,	জোন্স,	
probhur,	প্রভূর,	প্রভুর,	
ganochiener,	গোনাচিনের,	গণচীনের,	
skarta,	স্কার্ট,	স্কার্ট,	
beildaar,	বেল্ডার,	বিল্ডার,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
spostotoi,	স্পষ্টটি,	স্পষ্টতই,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
chalachchitro,	চলাচিত্র,	চলচ্চিত্র,	
nachiketa,	নাচিকেতা,	নচিকেতা,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
dharabhashyakar,	ধারাভাস্যকার,	ধারাভাষ্যকার,	
songosthagulo,	সংস্ঠাগগুলো,	সংস্থাগুলো,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
sahajlabhbhatar,	সহজ্লভভতার,	সহজলভ্যতার,	
tali,	টালি,	তালি,	
moonshi,	মুনশী,	মুন্সি,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
suparichita,	সুপরিচিত,	সুপরিচিত,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
qarqa,	কর্ক,	কার্ক,	
canton,	ক্যান্টন,	ক্যান্টন,	
tarasa,	তোরাস,	টেরেসা,	
shookna,	শুকনা,	শুকনা,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
taunashhipa,	টনওশিপি,	টাউনশিপ,	
hol,	হল,	হোল,	
taims,	টেমস,	টাইমস্,	
bhenisa,	ভেনিসা,	ভেনিস,	
bheenama,	ভেনামা,	ভেনম,	
adbhut,	অ্যাডভূটিটি,	অদ্ভুত,	
shrishri,	শ্রীশ্রী,	শ্রীশ্রী,	
baarbaadoj,	বার্বাজোজ,	বার্বাডোজ,	
shaahoshikataar,	সাহিসকিতার,	সাহসিকতার,	
lisense,	লিজেন্স,	লাইসেন্স,	
ishtara,	ইস্টার,	ইস্টার,	
aukhando,	অখন্ড,	অখন্ড,	
shhikar,	শিকার,	শিকার,	
manaber,	মানবের,	মানবের,	
chomoski,	চমষকি,	চমস্কি,	
gondhe,	গন্ধে,	গন্ধে,	
gaiche,	গেইচে,	গাইছে,	
harir,	হারির,	হরির,	
meghachonno,	মেঘান্চন্য,	মেঘাচ্ছন্ন,	
aaziz,	আজিজ,	আজিজ,	
stena,	স্টেন,	স্টেন,	
fala,	ফলা,	পোলো,	
hamburgey,	হ্যামবার্গে,	হামবুর্গে,	
dhan,	ধন,	ধ্যান,	
palashir,	পালসির,	পলাশীর,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
nikoter,	নিকটের,	নিকটের,	
kk,	কিক,	কেকে,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
bomkesh,	বমকেশ,	ব্যোমকেশ,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
nathibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
shikshakder,	শিক্ষাকদের,	শিক্ষকদের,	
idyi,	আদি,	আইডিই,	
baarbadoj,	বার্বাজোজ,	বার্বাডোজ,	
bagdadi,	বাদ্যাদি,	বাগদাদী,	
jeans,	জিনস,	জিন্স,	
bolechile,	বলেছিলে,	বলেছিলে,	
conphlict,	কনফাল্ট,	কনফ্লিক্ট,	
methaner,	মেঠানের,	মিথেনের,	
thailandsaho,	ঠেলন্দসহ,	থাইল্যান্ডসহ,	
naditi,	নাদিতি,	নদীটি,	
madhuree,	মধুরী,	মাধুরী,	
doorotomo,	দূরতম,	দূরতম,	
dienes,	ডায়েনেস,	ডিএনএস,	
baasaa,	বাসা,	বাসা,	
crete,	ক্রেটে,	ক্রীট,	
matt,	মট,	ম্যাট,	
kingsh,	কিংস,	কিংস,	
hijri,	হিজরি,	হিজরী,	
ivaner,	ইভানের,	ইভানের,	
tarunke,	তারুণকে,	তরুণকে,	
sajja,	সজ্জা,	সজ্জা,	
eidhyaning,	এইড্যানিং,	ইদানীং,	
astikra,	অস্তিকরা,	আস্তিকতা,	
provur,	প্রভূর,	প্রভুর,	
bahaati,	বাহাটি,	বাহাতি,	
aaminaar,	আমিনার,	আমিনার,	
satan,	সতন,	শয়তান,	
sharifpur,	শরীপুর,	শরিফপুর,	
jolorong,	জলরর,	জলরঙ,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
eshkol,	এসকল,	এসকল,	
teemothy,	টেমোথি,	টিমোথি,	
teman,	টেমন,	তেমন,	
satthikota,	সাথিক্যতা,	সঠিকতা,	
kisti,	কিস্টি,	কিস্তি,	
protjogiita,	প্রত্যোগিতা,	প্রতিযোগীতা,	
haajarer,	হাজারের,	হাজারের,	
gonokantho,	গণনাক্ঠ,	গণকণ্ঠ,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
grip,	গ্রীপ,	গ্রিপ,	
loukikataa,	লৌকিকাটা,	লৌকিকতা,	
parka,	পার্ক,	পার্ক,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
udbodhonee,	উদ্বধনী,	উদ্বোধনী,	
nodnodeer,	নদ্নদীর,	নদনদীর,	
orbeet,	অর্বিত,	অরবিট,	
sherup,	শেরুপ,	সেরূপ,	
bade,	বেড,	বাদে,	
netherlander,	নেথারল্যান্ডের,	নেদারল্যান্ডের,	
joistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
iispredsheet,	ইসপ্রেসেট,	স্প্রেডশীট,	
licenshe,	লিজেন্স,	লাইসেন্স,	
madola,	মডলা,	মাদলা,	
muchir,	মুচির,	মুচির,	
jolrang,	জলরর,	জলরঙ,	
attorkite,	অ্যাটর্কিতে,	অতর্কিতে,	
dhormee,	ধর্মী,	ধর্মী,	
seater,	সীটের,	সিটের,	
rubio,	রুবিও,	রুবিও,	
heavy,	হেভি,	হেভি,	
ranangoney,	রণাঙ্গনে,	রণাঙ্গনে,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
ceramics,	সেরেমিক্স,	সিরামিকস,	
mesenjarer,	মেসেজ্জারের,	মেসেঞ্জারের,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
ragee,	রেগী,	রাগী,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
manushsaho,	মানুসহহ,	মানুষসহ,	
panchbar,	পাঁচবার,	পাঁচবার,	
bandhano,	বন্ধনও,	বাঁধানো,	
mehnoti,	মেহনীতি,	মেহনতি,	
faksa,	ফক্স,	ফক্স,	
abosore,	অবসরে,	অবসরে,	
debdebier,	দেবদদিবীর,	দেবদেবীর,	
adbhanced,	অ্যাডভেন্ডেস,	অ্যাডভান্সড,	
coner,	কোনের,	কনের,	
jwoluk,	জ্বলুক,	জ্বলুক,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
goreeb,	গরীব,	গরিব,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
rajtontrokey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
preety,	প্রীতি,	প্রিটি,	
salmaaner,	সলমানের,	সালমানের,	
choudhooreeder,	চৌধুরিদের,	চৌধুরীদের,	
bhittio,	ভিত্তিও,	ভিত্তিও,	
taaler,	টালের,	তালের,	
siqar,	সিকার,	শিকার,	
bodhir,	বধির,	বধির,	
prokolpogulor,	প্রকলপপুলোর,	প্রকল্পগুলোর,	
karechi,	করেছি,	করেছি,	
yaaq,	ইক,	ইয়াক,	
teknokryat,	টেকন্র্যাত,	টেকনোক্র্যাট,	
jaubanbati,	যৌবনবততী,	যৌবনবতী,	
sumita,	সুমিত,	সুমিতা,	
godamjato,	গদমজ্ঞাত,	গুদামজাত,	
nirmankaz,	নির্মাঙ্কা,	নির্মাণকাজ,	
aazaan,	আজান,	আজান,	
elakatay,	এলাকাতে,	এলাকাতে,	
redcrosser,	রেডক্রসের,	রেডক্রসের,	
naneer,	নানীর,	নানীর,	
noiteek,	নৈতিক,	নৈতিক,	
nojder,	নজদের,	নজদের,	
pattern,	পাযাটার্ন,	প্যাটার্ন,	
satthikata,	সাথিকাত,	সঠিকতা,	
pretii,	প্রেতি,	প্রিটি,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
inamil,	ইনামিল,	এনামেল,	
vobanir,	ভবানীর,	ভবানীর,	
shikhechi,	শিখেছি,	শিখেছি,	
garnaar,	গার্নার,	গার্নার,	
ieub,	ইউবিউ,	আইইউবি,	
auttacharer,	অট্চাচারের,	অত্যাচারের,	
jaadrel,	যাদ্রেল,	জাঁদরেল,	
baasaake,	বাসাকে,	বাসাকে,	
madhoboir,	মাধবীর,	মাধবীর,	
ruby,	রাবি,	রুবী,	
baik,	বাইক,	বাইক,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
lyand,	ল্যান্ড,	ল্যান্ড,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
everestey,	ইভারেশ্টে,	এভারেস্টে,	
joneetey,	যোনিতে,	যোনীতে,	
puzito,	পুজিত,	পুজিত,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
transformaarer,	ট্রান্সপোর্রের,	ট্রান্সফরমারের,	
tuleche,	টুলেছে,	তুলেছে,	
ghotol,	ঘটল,	ঘটল,	
gaaddafee,	গাদ্দাফি,	গাদ্দাফী,	
horus,	হররুস,	হোরাস,	
jameske,	জমেসকে,	জেমসকে,	
taufik,	তৌফিক,	তৌফিক,	
chaiti,	চাইতি,	চৈতি,	
kormoke,	কর্মকে,	কর্মকে,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
codee,	কোডে,	কোডে,	
lagic,	লাগিক,	লজিক,	
houstoner,	হাউস্টানের,	হিউস্টনের,	
songbadmadhyamgulote,	সংবাদমন্যমগলুতে,	সংবাদমাধ্যমগুলোতে,	
khalidke,	খলিদকে,	খালিদকে,	
pure,	পুরে,	পিওর,	
porjotoker,	পর্যটকের,	পর্যটকের,	
ekaar,	একার,	একার,	
aswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
oojbekistan,	উজ্বেকিশ্তান,	উজবেকিস্তান,	
suparahira,	সুপারহীরা,	সুপারহিরো,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
hoondayi,	হুন্দাই,	হুন্দাই,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
chatoke,	ছটকে,	ছাতকে,	
nartaki,	নার্তকি,	নর্তকী,	
durg,	ডার্গ,	দুর্গ,	
istone,	ইস্টনে,	স্টোন,	
karam,	করম,	কেরাম,	
gadha,	গাধা,	গাধা,	
patka,	পাতকা,	পটকা,	
ruteener,	রুটিনের,	রুটিনের,	
vaider,	ভাইডের,	ভাইদের,	
toroon,	ত্রুণ,	তরুন,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
bidrohiderke,	বিদ্রোহিদেরকে,	বিদ্রোহীদেরকে,	
traap,	ট্রিপ,	ট্রুপ,	
swastir,	স্বস্তির,	স্বস্তির,	
prakalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
spredshiit,	স্প্রেসিট,	স্প্রেডশীট,	
lendal,	লেন্ডল,	লেন্ডল,	
nirvahey,	নির্বাহে,	নির্বাহে,	
kanasharabheshhana,	কনসারেশন,	কনসারভেশন,	
modeltigulo,	মোদেলটিলো,	মডেলগুলো,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
priti,	প্রীতি,	প্রিটি,	
babylone,	বেবিলনে,	ব্যাবিলনে,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
disney,	ডিজনে,	ডিজনী,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
debating,	ডেবেটিং,	ডিবেটিং,	
mandando,	মানদন্ড,	মানদণ্ড,	
narsaari,	নার্সারী,	নার্সারি,	
jalatanko,	জলতলকো,	জলাতঙ্ক,	
upobasher,	উপবাসের,	উপবাসের,	
phutbolarer,	ফুটবললের,	ফুটবলারের,	
noitik,	নৈতিক,	নৈতিক,	
bosonto,	বসন্ত,	বসন্ত,	
pettern,	পাটার্ন,	প্যাটার্ন,	
shringge,	শ্রীঙ্জ,	শৃঙ্গে,	
abul,	অবুল,	আবুল,	
skora,	স্কোর,	স্কোর,	
venishh,	ভেনিজ,	ভেনিস,	
siddhantake,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
sbajan,	স্বজন,	স্বজন,	
masjidsaho,	মসসিদসহ,	মসজিদসহ,	
juktorastrosoho,	যুক্তরাস্টাসসহ,	যুক্তরাষ্ট্রসহ,	
bangyer,	বঙ্গের,	ব্যাঙের,	
charjara,	চার্জার,	চার্জার,	
karadanda,	কারাদন্ডা,	কারাদণ্ড,	
omkar,	অমকার,	ওঙ্কার,	
shektor,	সেক্টর,	সেক্টর,	
hattey,	হাঁটে,	হাঁটতে,	
trayte,	ট্রেটে,	ট্রেতে,	
irish,	আইরিশ,	আইরিস,	
