digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
jolatanko,	জলাতনকা,	জলাতঙ্ক,	
purbanchaler,	পূর্বনচলের,	পূর্বাঞ্চলের,	
artilari,	আর্টারলারী,	আর্টিলারি,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
chondrimaa,	চন্ড্রিমা,	চন্দ্রিমা,	
netsi,	নেটসি,	নাত্সি,	
seqtara,	সেক্টার,	সেক্টর,	
vabani,	ভবানী,	ভবানী,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
stark,	স্টার্ক,	স্টার্ক,	
horidbar,	হরিদবার,	হরিদ্বার,	
chashe,	চাষে,	চেস,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
adorso,	আদর্শ,	আর্দশ,	
nilabha,	নীলভা,	নীলাভ,	
beetlaser,	বিটলসের,	বিটলসের,	
miari,	ম্যারি,	ম্যারি,	
byataree,	ব্যাটারী,	ব্যাটারী,	
cheph,	চেফ,	শেফ,	
emiretus,	এমেরুটাস,	এমিরেটাস,	
mahakabi,	মহাকাবি,	মহাকবি,	
smaroker,	স্বরকের,	স্মারকের,	
jeebnagore,	জীবনগররে,	জীবননগর,	
bashitey,	বাঁশিতে,	বাঁশিতে,	
routine,	রাউটিন,	রুটিন,	
hozot,	হজত,	হজত,	
pooshtee,	পুশতি,	পুষ্টি,	
khali,	খালি,	খালি,	
post,	পোস্ট,	পোষ্ট,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
bhatar,	ভাটার,	ভাতার,	
deepei,	ডিপেই,	দ্বীপেই,	
khizir,	খিজির,	খিজির,	
bronze,	ব্রঞ্জ,	ব্রোঞ্জ,	
koilas,	কৈলাস,	কৈলাস,	
licensin,	লিকেস্সিং,	লাইসেন্সিং,	
bethik,	ব্যথিক,	বেঠিক,	
shithilotar,	শীথিলতার,	শিথিলতার,	
abasarer,	অবাসেরের,	অবসরের,	
karta,	করত,	করতা,	
chhaai,	ছাই,	ছাই,	
laaisensh,	লাইন্স,	লাইসেন্স,	
shikkharrthirao,	শিক্ষারীরীথা,	শিক্ষার্থীরাও,	
manushti,	মনুষ্টি,	মানুষটি,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
yukeliptash,	ইউকেলপিটটা,	ইউক্যালিপ্টাস,	
teoyana,	টিওয়ান,	তাইওয়ান,	
cholochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
sten,	স্টেন,	স্টেন,	
bohudin,	বহুদিন,	বহুদিন,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
auttacharer,	অত্চাচারের,	অত্যাচারের,	
shreeshree,	শ্রীশীর,	শ্রীশ্রী,	
uparjon,	উপার্জন,	উপার্জন,	
udvabone,	উদ্যাবনে,	উদ্ভাবনে,	
tafsherer,	তাসারের,	তাফসীরের,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
raia,	রাইয়া,	রায়,	
kailas,	কৈলাস,	কৈলাস,	
niropekkhotaar,	নিরপক্ষততার,	নিরপেক্ষতার,	
laz,	লজ,	লাজ,	
soholovyotar,	সহলভ্যতার,	সহজলভ্যতার,	
shoriph,	শরীফ,	শরিফ,	
tuleche,	তুলেছলে,	তুলেছে,	
mukhyo,	মূখ্য,	মুখ্য,	
vishhnu,	ভিষ্ণু,	বিষ্ণু,	
deputy,	ডিপতি,	ডেপুটি,	
anchaltite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
rooplal,	রোপলল,	রূপলাল,	
koonti,	কুনটি,	কুন্তী,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
tersa,	টার্স,	টেরেসা,	
pachchi,	পাঁচি,	পাচ্ছি,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
ieub,	ইউব,	আইইউবি,	
akhandota,	আখান্দতা,	অখণ্ডতা,	
temontee,	টেমনটি,	তেমনটি,	
tottenhamer,	তত্ত্হামেমের,	টটেনহামের,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
aipiela,	আয়াপল,	আইপিএল,	
deeares,	ডিরারস,	ডিআরএস,	
jeeni,	জেনি,	যিনি,	
ghur,	ঘুর,	ঘুর,	
klauda,	ক্লাড,	ক্লাউড,	
korkatkranti,	কর্কারকন্তি,	কর্কটক্রান্তি,	
nafisa,	নফিস,	নাফিসা,	
shcholastic,	স্কালটস্কিট,	স্কলাস্টিক,	
mondope,	মণ্ডপে,	মন্ডপে,	
said,	সেড,	সাইদ,	
faser,	ফাঁসের,	ফাঁসের,	
dakteekit,	ডক্তিকিত,	ডাকটিকিট,	
inapharamesana,	ইনফর্মেশন,	ইনফরমেশন,	
rudrer,	রুদ্রের,	রুদ্রের,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
naubom,	নবম,	নবম,	
alaoul,	অ্যালাউল,	আলাওল,	
diibug,	দাইবুগ,	ডিবাগ,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
niranjan,	নিরাঞ্জন,	নিরঞ্জন,	
mathews,	ম্যাথিউস,	ম্যাথিউস,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
dibate,	দিবাতে,	ডিবেট,	
nirupito,	নিরুপিত,	নিরূপিত,	
bamon,	বেমন,	বামন,	
claus,	ক্লাস,	ক্লজ,	
chhuteete,	ছুটিতে,	ছুটিতে,	
bhogirath,	ভযগীরথ,	ভগীরথ,	
geza,	গেজ,	গেজ,	
abosane,	আবনসে,	অবসানে,	
nickel,	নিক্যাল,	নিকেল,	
ganochien,	গণছিচন,	গণচীন,	
poripaker,	পরিপাকের,	পরিপাকের,	
lagto,	লাগত,	লাগতো,	
jeshh,	জেস,	জেস,	
somoshti,	সমস্তি,	সমষ্টি,	
modelkey,	মোদলেকে,	মডেলকে,	
debete,	দেবতে,	ডিবেট,	
state,	স্টেট,	স্টেইট,	
sangosthaner,	সংগ্থানের,	সংস্থানের,	
durgotsab,	দুর্গঠতাব,	দুর্গোৎসব,	
crescenter,	ক্রিসেট্টার,	ক্রিসেন্টের,	
goora,	গোর,	গোর,	
besuro,	বেসুরো,	বেসুর,	
laaishesh,	লাইশেস,	লাইসেন্স,	
sabhanetri,	সভাননেত্রী,	সভানেত্রী,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
kasper,	কাসপের,	ক্যাসপার,	
title,	টিতল,	টাইটেল,	
mooldoova,	মুলভাবা,	মলদোভা,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
godabori,	গদাবারী,	গোদাবরী,	
maailey,	মাইলে,	মাইলে,	
granthaty,	গ্রন্থাথি,	গ্রন্থটি,	
doonut,	দনন,	ডোনাট,	
natneekey,	নাতনীকে,	নাতনীকে,	
elaakaasoho,	এলাকাশো,	এলাকাসহ,	
zeebonto,	জীবনত,	জীবন্ত,	
daalu,	ডালু,	ডালু,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
fulkapi,	ফুলকাপী,	ফুলকপি,	
miraqela,	মারাকেল,	মিরাকেল,	
graambasio,	গ্রামাবাসস,	গ্রামবাসীও,	
kaansaat,	কাঁসা,	কানসাট,	
ajij,	আজিজ,	আজিজ,	
oedipus,	অডিপাউস,	ইডিপাস,	
muktume,	মুকতমে,	মাকতুম,	
byatikramdharmi,	ব্যাকির্ধ্রমী,	ব্যতিক্রমধর্মী,	
grambaasio,	গ্রামবাশল,	গ্রামবাসীও,	
shakar,	শকার,	সকার,	
sures,	সুরেশ,	সুরেশ,	
marmaara,	মার্মারা,	মারমারা,	
aagost,	আগস্ট,	আগষ্ট,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
turbine,	টারবাইন,	টারবাইন,	
sunagorik,	সানগারিক,	সুনাগরিক,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
parishrami,	পরিস্রামী,	পরিশ্রমী,	
potchitro,	পঠচ্তির,	পটচিত্র,	
sthaponagulo,	স্থাপানোলগুলো,	স্থাপনাগুলো,	
source,	সার্স,	সোর্স,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
ojouno,	অযৌন,	অযৌন,	
monohorpur,	মনহপরুর,	মনোহরপুর,	
bossontoke,	বসন্তকে,	বসন্তকে,	
inshtant,	ইন্সট্টান্ট,	ইনস্ট্যান্ট,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
tap,	তাপ,	ট্যাপ,	
stoonahenja,	স্টানানহে্জ,	স্টোনহেঞ্জ,	
dhyanostho,	ধ্যনস্থ,	ধ্যানস্থ,	
tikta,	তিক্তা,	তিক্ত,	
protijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
jaanachhe,	জানাচে,	জানাচ্ছে,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
shaatjoner,	সাতজনের,	সাতজনের,	
karka,	করক,	কার্ক,	
ekoirakom,	একারকম,	একইরকম,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
baaraakpur,	বারাপকুর,	বারাকপুর,	
pracharana,	প্রচারনা,	প্রচারণা,	
torunke,	তরুণকে,	তরুণকে,	
ujbekistaner,	উজ্বিক্তেনের,	উজবেকিস্তানের,	
pracharanamulak,	প্রচারমামূলক,	প্রচারণামূলক,	
taalgachh,	তালগাছ,	তালগাছ,	
saajano,	সাজানো,	সাজানো,	
tateo,	তাতেও,	তাতেও,	
joneetey,	যোনিতে,	যোনীতে,	
twoei,	ত্বুই,	ত্বকেই,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
maudelder,	মাউদেলদের,	মডেলদের,	
ghamtaa,	ঘামটা,	ঘোমটা,	
kaferder,	কাফেরদের,	কাফেরদের,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
iqbalke,	ইকবলকে,	ইকবালকে,	
chhootir,	ছুটির,	ছুটির,	
laiseensa,	লাইনেস,	লাইসেন্স,	
rajotwo,	রাজত্ব,	রাজত্ব,	
gavaskar,	গোস্কার,	গাভাস্কার,	
abheegomon,	অভিগম্য,	অভিগমন,	
kathmandu,	কাঠান্দু,	কাঠমান্ডু,	
tader,	তাঁদের,	তদের,	
carlos,	কার্লস,	কার্লোস,	
woter,	ওয়াটার,	ভোটার,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
nojod,	নজদ,	নজদ,	
kuley,	কূলে,	কুলে,	
basuki,	বাসুকি,	বাসুকি,	
bona,	বোনা,	বোনা,	
uposhthit,	উপসঠথিত,	উপস্থিত,	
waal,	ওয়াল,	উল,	
konar,	কোণার,	কণার,	
bhaibon,	ভাবইন,	ভাইবোন,	
karmokerer,	কর্মকের,	কর্মকারের,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
dobhar,	ডোভার,	ডোভার,	
saaeda,	সাইদ,	সাইদা,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
deil,	ডেল,	ডেইল,	
prokalpatikey,	প্রকালপতিকে,	প্রকল্পটিকে,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
aarcia,	আর্কিয়া,	আরসিএ,	
taali,	টালি,	তালি,	
hilse,	হিলসস,	হিলসে,	
moogdal,	মুগদল,	মুগডাল,	
marketin,	মার্কেটিং,	মার্কেটিং,	
kachhakachhi,	কাঠকাছা,	কাছাকাছি,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
naditei,	নদদতেই,	নদীতেই,	
phutbolarer,	ফুটবলারের,	ফুটবলারের,	
ganakantha,	গণকণ্ঠ,	গণকণ্ঠ,	
bossonto,	বসন্ত,	বসন্ত,	
bharadwaj,	ভারাদ্যজার,	ভরদ্বাজ,	
futbolarder,	ফুটোরবলরদের,	ফুটবলারদের,	
oporishodhito,	অপরিষ্ধিত,	অপরিশোধিত,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
machgulo,	মাছগুলো,	মাছগুলো,	
teunar,	টিউনার,	টিউনার,	
janaar,	জানর,	জানার,	
siddhantai,	সিদ্ধান্তই,	সিদ্ধান্তই,	
pishach,	পিশাচ,	পিশাচ,	
kemone,	কেমনে,	কেমনে,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
societytey,	সোকিতিতে,	সোসাইটিতে,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bhagna,	ভাগনা,	ভগ্ন,	
nikeela,	নিকেলা,	নিকেল,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
aachhis,	আচ্ষিস,	আছিস,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
panchashjon,	পঞ্চশশন,	পঞ্চাশজন,	
chaka,	চাক,	চাকা,	
peeri,	পেয়ি,	পেরি,	
aazaadeer,	আযাদীর,	আজাদীর,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
megher,	মেঘার,	মেঘের,	
bage,	বাযাজে,	বাগে,	
bopon,	বোপন,	বপন,	
bonkey,	বোনকে,	বনকে,	
shepherd,	সাইফার্ড,	শেফার্ড,	
satarkatar,	সতরকরতার,	সতর্কতার,	
konphlikt,	কনফালিকট,	কনফ্লিক্ট,	
yura,	ইউরা,	ইউরো,	
bonsho,	বংশ,	বংশ,	
vabanir,	ভবনীর,	ভবানীর,	
patengar,	পতিংের,	পতেঙ্গার,	
somratra,	সম্রাত্র,	সম্রাটরা,	
jyaqa,	জ্যাক,	জ্যাক,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
shhikara,	শিকারা,	শিকার,	
laboni,	লাবণী,	লাবনী,	
deul,	ডিউল,	দেউল,	
alpoi,	আলপাই,	অল্পই,	
masterer,	মাস্তারের,	মাস্টারের,	
roja,	রোজা,	রোযা,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
debdebir,	দেবদেবীর,	দেবদেবীর,	
machder,	মাদদের,	মাছদের,	
gardeena,	গরর্ডিন,	গার্ডেন,	
praman,	প্রমাণ,	প্রমান,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
udbhabaker,	উদ্যাবকের,	উদ্ভাবকের,	
suraropeeto,	সুরাপেরোত,	সুরারোপিত,	
firoj,	ফিরোজ,	ফিরোজ,	
seating,	শ্যাটিং,	সিটিং,	
abul,	আবুল,	আবুল,	
obotar,	অবতার,	অবতার,	
chutite,	ছুটিতে,	ছুটিতে,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
hizriite,	হিজরিতে,	হিজরীতে,	
basate,	বসাতে,	বাসাতে,	
joni,	যোনি,	জনি,	
adhyatmikatar,	আধ্যাত্্মতিকতার,	আধ্যাত্মিকতার,	
shaswato,	শ্বশত,	শাশ্বত,	
sayeed,	সাইয়েদ,	সাইদ,	
sotorkobhabe,	সতকতরভাকে,	সতর্কভাবে,	
ewer,	ইভার,	এভার,	
celinar,	সেলিনার,	সেলিনার,	
manushey,	মানুষে,	মানুষে,	
beam,	বিম,	বীম,	
joubanboti,	যৌবনাবতী,	যৌবনবতী,	
jyaishtha,	জ্যাস্ঠ,	জ্যৈষ্ঠ,	
azimkey,	আজীমকে,	আজিমকে,	
nazi,	নাজি,	নাত্সি,	
vvejaano,	ভূজানো,	ভেজানো,	
ajimpur,	আজিমপুর,	আজিমপুর,	
mataram,	মাতারাম,	মাতারাম,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
mekbeth,	মেকবিথ,	ম্যাকবেথ,	
mesenzar,	মেসেঞ্জার,	মেসেঞ্জার,	
moshjidtir,	মসশিদিরটির,	মসজিদটির,	
sukkha,	সূক্ষ্ম,	সুক্ষ্ম,	
dhanni,	ধাননি,	ধন্যি,	
trupa,	ট্রুপ,	ট্রুপ,	
pushtir,	পুষ্তির,	পুষ্টির,	
elaakaai,	এলাকাই,	এলাকাই,	
salapheeta,	সালফিত,	সালফেট,	
sontoshpur,	সন্তঃসপুর,	সন্তোষপুর,	
herpher,	হার্ফের,	হেরফের,	
sadeena,	সাদেনা,	সাডেন,	
ketechila,	কেটেছিল,	কেটেছিল,	
gunjey,	গুঞ্জে,	গুঁজে,	
obodamoner,	অবদামনের,	অবদমনের,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
turqamena,	তুরকামান,	তুর্কমেন,	
shoodhooi,	সুধুই,	শুধুই,	
sanghar,	সংঘর,	সংহার,	
duuma,	দুমা,	দুমা,	
pyore,	প্যারে,	পিওর,	
pathkrom,	পথঠক্রম,	পাঠক্রম,	
saaralya,	সার্লা,	সারল্য,	
laishenshe,	লেইনস্স,	লাইসেন্স,	
jolbe,	জলবে,	জ্বলবে,	
parjotaker,	পর্যটতকের,	পর্যটকের,	
ashamorthito,	অসমান্থীত,	অসমর্থিত,	
protul,	প্রোতুল,	প্রতুল,	
horeepur,	হরিপুর,	হরিপুর,	
estaniya,	এস্টানিয়া,	এস্তোনিয়া,	
ajeem,	আজীম,	আজিম,	
bolovodro,	বলদবরদ,	বলভদ্র,	
ghatke,	ঘাতকে,	ঘাটকে,	
anekeri,	অনেকারী,	অনেকেরই,	
valapuk,	ভালাপুক,	ভোলাপুক,	
difinishian,	ডিফিনিশন,	ডেফিনেশন,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
tatira,	তাতিরা,	তাঁতিরা,	
jamjamat,	জমযামত,	জমজমাট,	
noitikatar,	নৈিকতার,	নৈতিকতার,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
euror,	ইউরোর,	ইউরোর,	
sajanor,	সাজানর,	সাজানোর,	
daacktickete,	ডাকিতিক্তে,	ডাকটিকিটে,	
lyata,	ল্যাট,	ল্যাটা,	
santoshpore,	সন্তঃসপুর,	সন্তোষপুর,	
samajeri,	সামেজারী,	সমাজেরই,	
firozer,	ফিরোজের,	ফিরোজের,	
koreempur,	করিপুর,	করিমপুর,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
gandhike,	গান্ধিকে,	গান্ধীকে,	
plate,	প্লটে,	প্লেটে,	
zeebonjapon,	জীবনযাপন,	জীবনযাপন,	
naajee,	নাজি,	নাত্সি,	
sanghorsheek,	সাংর্ষীক,	সাংঘর্ষিক,	
cool,	কুল,	কুল,	
sheekarke,	শীককরে,	শিকারকে,	
hughke,	হাঁকে,	হিউজকে,	
ekirokom,	একইকরম,	একইরকম,	
kabutorer,	কবুুতেরের,	কবুতরের,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
thare,	দায়ার,	থরে,	
karmoi,	কর্মই,	কর্মই,	
nuhas,	নুহস,	নুহাশ,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
shamuker,	শামুকের,	শামুকের,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
provritir,	প্রভৃতির,	প্রভৃতির,	
dhormantor,	ধর্মান্তর,	ধর্মান্তর,	
aksharke,	আক্ষকে,	অক্ষরকে,	
songostha,	সংগ্ষ্ঠ,	সংস্থা,	
dinifitian,	ডিনিডজন,	ডেফিনেশন,	
qanaphliqta,	কানালিক্ট,	কনফ্লিক্ট,	
edaning,	এডানিং,	ইদানিং,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
lotheeran,	লতিথারণ,	লুথেরান,	
path,	পথঠ,	পাথ,	
bhognee,	ভগ্নী,	ভগ্নী,	
mmesenjarer,	ম্যাসেঞারের,	মেসেঞ্জারের,	
fimel,	ফাইমেল,	ফিমেল,	
sane,	সানে,	সনে,	
kaash,	কাস,	কাস,	
vittiei,	ভিতিতই,	ভিত্তিই,	
mosjidtir,	মসশিদির,	মসজিদটির,	
meghachonno,	মেঘান্ন,	মেঘাচ্ছন্ন,	
debholopar,	ডেভলপপার,	ডেভলপার,	
jillool,	জিল্লুল,	জিল্লুল,	
vogini,	ভোগিনী,	ভগিনী,	
emgee,	এমজি,	এমজি,	
grambaashio,	গ্রামবাশ্যা,	গ্রামবাসীও,	
utsaahe,	উত্সাহে,	উৎসাহে,	
mugdhata,	মুগ্ধতা,	মুগ্ধতা,	
cholche,	চলছে,	চলছে,	
shaajaano,	সাজান,	সাজানো,	
licensedhari,	লিকনসেলধারি,	লাইসেন্সধারী,	
bahjya,	বাহজা,	বাহ্য,	
machsoho,	মাচসহ,	মাছসহ,	
jonosonjog,	জনসংযোগ,	জনসংযোগ,	
kruser,	ক্রসের,	ক্রুশের,	
agomonke,	অগমনকে,	আগমনকে,	
kanflikt,	কান্লিকট,	কনফ্লিক্ট,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
keyuyi,	কেউই,	কেউই,	
yankii,	যাঁকি,	ইয়াংকি,	
dasha,	দশা,	দোসা,	
birishiritey,	বিরীষিতে,	বিরিশিরিতে,	
prabhu,	প্রভূ,	প্রভু,	
monzooshree,	মন্জুরী,	মঞ্জুশ্রী,	
koomari,	কুমারী,	কুমারী,	
kodti,	কদটি,	কোডটি,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
satjon,	সাতজন,	সাতজন,	
consarvation,	কনসার্েশন,	কনসারভেশন,	
palestiner,	প্যাসলেনটিনের,	প্যালেস্টাইনের,	
soourse,	সোর্স,	সোর্স,	
poripakey,	পরিপাকে,	পরিপাকে,	
shibraj,	শিবরাজ,	শিবরাজ,	
shikshakbrindo,	শিক্ষাবৃদ্দ,	শিক্ষকবৃন্দ,	
jones,	জোনস,	জোন্স,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
ministar,	মিনিস্টার,	মিনিস্টার,	
enamel,	এনামেল,	এনামেল,	
shkora,	স্করর,	স্কোর,	
bhabaponno,	ভববপন্ন,	ভাবাপন্ন,	
sita,	সীতা,	সিট,	
khoja,	খোজ,	খোজা,	
mela,	মেলা,	মাইল,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
sollallhu,	সং্লল্লুলু,	সল্লাল্লাহু,	
varotey,	ভারতে,	ভারতে,	
harbor,	হাবর,	হারবার,	
dhabi,	ধাবী,	ঢাবি,	
falakti,	ফলকাটি,	ফলকটি,	
ddheela,	ঢেলা,	ঢিলা,	
fol,	ফল,	ফল,	
satthikota,	সত্থিকতা,	সঠিকতা,	
poojito,	পুজিত,	পুজিত,	
nirgun,	নির্গুন,	নির্গুণ,	
okhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
paikgachha,	পেকগাছা,	পাইকগাছা,	
sombhobonaao,	সম্ভাবনা,	সম্ভবনাও,	
udvabaney,	উদ্যাবাবে,	উদ্ভাবনে,	
kuota,	কুত,	কোটা,	
chat,	ছাত,	চ্যাট,	
jakkha,	যক্ষ্মা,	যক্ষ,	
niketon,	নিকেটন,	নিকেতন,	
idipas,	এপিডাস,	ইডিপাস,	
bharote,	ভারতে,	ভারতে,	
nojoder,	নজদের,	নজদের,	
naitikatavodh,	নেতিকাঠোদ,	নৈতিকতাবোধ,	
sazanor,	সাজানর,	সাজানোর,	
nachiketa,	নাচিকতা,	নচিকেতা,	
gosthigulo,	গস্থিগুলো,	গোষ্ঠীগুলো,	
komaatei,	কমতাইে,	কমাতেই,	
haze,	হাজ,	হেজ,	
sthapanatir,	স্থপানটির,	স্থাপনাটির,	
korimpoor,	করিপূর,	করিমপুর,	
gazipore,	গাজীপুর,	গাজিপুর,	
karlo,	করল,	কার্লো,	
iceberg,	ইইারবার্গ,	আইসবার্গ,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
vangle,	ভাঙলে,	ভাঙলে,	
zibonto,	জীবন্ত,	জীবন্ত,	
amarjita,	অমর্জিত,	অমার্জিত,	
utsahamulok,	উতসামূলক,	উৎসাহমূলক,	
bagey,	বাগে,	বাগে,	
shcholashtic,	স্কালটিক্ট,	স্কলাস্টিক,	
raya,	রায়া,	রায়,	
betsman,	বেটম্যান,	ব্যাটসম্যান,	
firoze,	ফিরোজ,	ফিরোজ,	
voter,	ভোটের,	ভোটার,	
template,	টেম্পললাতে,	টেম্পলেট,	
shanta,	শাঁতা,	সান্তা,	
sahabike,	সাহাবীকে,	সাহাবীকে,	
jaank,	যাঁক,	জাঁক,	
tunaita,	তুনাইট,	টুনাইট,	
emargency,	এমার্জেন্সি,	এমার্জেন্সি,	
mane,	ম্যান,	মানে,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
byke,	বাকে,	বাইক,	
satarko,	সাতরক,	সতর্ক,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
sarjur,	সার্জুর,	সরযূর,	
abodamoner,	অবদামনের,	অবদমনের,	
basa,	বাসা,	বাসা,	
nutan,	নতযান,	নূতন,	
shhayatana,	স্যাতন,	শয়তান,	
jony,	জানি,	জনি,	
beem,	বীম,	বিম,	
vodqa,	ভদকা,	ভদকা,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
keu,	কিউ,	কেউ,	
joubanbatee,	যৌবনাবতী,	যৌবনবতী,	
spredshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
sayatana,	স্যাতন,	শয়তান,	
setike,	সেটিকে,	সেটিকে,	
hool,	হোল,	হুল,	
abheedhaneeck,	অভিধনক,	অভিধানিক,	
dorgaho,	দরগাহ,	দরগাহ,	
shalapheta,	সালফাতে,	সালফেট,	
kiiborder,	কিবোর্ডের,	কীবোর্ডের,	
venuser,	ওয়ুনসসের,	ভেনাসের,	
pirujali,	পিরুজালী,	পিরুজালী,	
roktokshoroney,	রক্তকরণষণে,	রক্তক্ষরণে,	
bocchoner,	বচ্ছনের,	বচ্চনের,	
shrabosty,	শ্রবস্তি,	শ্রাবস্তী,	
simaa,	সিমা,	সীমা,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
adhito,	অধীত,	অধীত,	
zuktorastroshoho,	যুক্তরাস্ট্রোস,	যুক্তরাষ্ট্রসহ,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
koordira,	কর্দিরা,	কুর্দিরা,	
shangkulaan,	সংকুলান,	সংকুলান,	
vezano,	ভেজানো,	ভেজানো,	
paksenara,	পাক্সনার,	পাকসেনারা,	
jes,	জেস,	জেস,	
nirmankaaj,	নির্মানাকাম,	নির্মাণকাজ,	
aansaarir,	আনসারির,	আনসারীর,	
yuq,	ইউক,	ইয়াক,	
forider,	ফরীদের,	ফরিদের,	
lutheereen,	লুথারীন,	লুথেরান,	
netions,	নেটিএস,	নেশনস,	
gaichey,	গেছৈ,	গাইছে,	
hotodoridro,	হতাদরদির্য,	হতদরিদ্র,	
madhobi,	মাধবী,	মাধবী,	
minister,	মিনিস্টের,	মিনিস্টার,	
cheerkut,	চিরকুট,	চিরকুট,	
pravuder,	প্রভাদের,	প্রভুদের,	
deejijer,	দিজিজের,	ডিজিজের,	
niketaner,	নিকটনের,	নিকেতনের,	
mohibur,	মুহবুরুর,	মহিবুর,	
ashok,	অশশক,	আশোক,	
venkatesh,	ওয়াংকেটস,	ভেঙ্কটেশ,	
oshthad,	অষ্থদ,	ওস্তাদ,	
makhmaley,	মখখমলে,	মখমলে,	
parabortee,	পরবর্তী,	পরর্বতী,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
shatjoner,	শাজনজের,	সাতজনের,	
aagom,	আগাম,	আগম,	
tookroke,	টুকরকে,	টুকরোকে,	
olympik,	অলমম্পিক,	অলিম্পিক,	
ponchashjon,	পঞ্চাশনজন,	পঞ্চাশজন,	
fanda,	ফাঁদা,	ফান্ড,	
chhutee,	ছুটি,	ছুটি,	
