laisensim,	লেইসেং্সিং,	লাইসেন্সিং,	
zonsa,	জনসা,	জোন্স,	
tafasir,	তফসির,	তাফসীর,	
allubokhara,	অলুলব্্রা,	আলুবোখারা,	
awatara,	অওতার,	অবতার,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
ukeliptash,	উক্লেপিটপাস,	ইউক্যালিপ্টাস,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
vodka,	ভোদকা,	ভদকা,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
tukroke,	টুকরকে,	টুকরোকে,	
abhidhaneek,	আভিধানিক,	অভিধানিক,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
braille,	ব্রেইল,	ব্রেইল,	
jotsna,	যৎস্ণা,	জ্যোৎস্না,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
asbar,	আসবার,	আসবার,	
cherechhe,	চেরেছে,	ছেড়েছে,	
shiropa,	শিরপা,	শিরোপা,	
jaaluk,	জালুক,	জ্বলুক,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
kaamla,	কমলা,	কামলা,	
grameryi,	গ্রামেরী,	গ্রামেরই,	
asor,	অসর,	আসর,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
byabaharkarie,	ব্যাহারকারি,	ব্যবহারকারীই,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
ivir,	আইভির,	এভার,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
aazeez,	আজিজ,	আজিজ,	
sooya,	সোয়া,	সোয়া,	
ojouno,	অযোওন,	অযৌন,	
vagini,	ভাগিনী,	ভগিনী,	
sanghitar,	সংঘীতার,	সংহিতার,	
matte,	মাটে,	ম্যাট,	
turkey,	টুর্কী,	তুর্কি,	
ivaner,	ইভানের,	ইভানের,	
lojic,	লজিক,	লজিক,	
tochhnoch,	তচ্ছন,	তছনছ,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
bohorompurer,	বহরমপুরের,	বহরমপুরের,	
aper,	এপের,	আপের,	
besur,	বেশুর,	বেসুর,	
holdim,	হোল্ডিং,	হোল্ডিং,	
laiseensee,	লেয়েন্স,	লাইসেন্স,	
beekargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
bhejano,	ভেজানো,	ভেজানো,	
jeebnagar,	জীবনাগার,	জীবননগর,	
qor,	কোর,	কর,	
namo,	নম,	নমো,	
noter,	নটের,	নোটের,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
orgho,	অর্ঘ,	অর্ঘ্য,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
indr,	ইন্ডার,	ইন্দ্র,	
jetam,	জেতাম,	যেতাম,	
khalidkay,	খলিদকে,	খালিদকে,	
taorat,	তরাট,	তওরাত,	
tophaat,	তফাট,	তফাৎ,	
khambaa,	খামবা,	খাম্বা,	
dhaanche,	ধাঁচে,	ধাঁচে,	
bohoodeen,	বহুদিন,	বহুদিন,	
somaazeri,	সমাজেরী,	সমাজেরই,	
oporeeshodhito,	অপরিশোধিত,	অপরিশোধিত,	
pachhi,	পাঁচি,	পাচ্ছি,	
tochnochh,	তোচনোচ,	তছনছ,	
folokti,	ফলকটি,	ফলকটি,	
baharampurer,	বহরমপুরের,	বহরমপুরের,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
chhooteer,	ছুটির,	ছুটির,	
jonomukhee,	জনমুখী,	জনমুখী,	
zins,	জিনস,	জিন্স,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
kash,	কাস,	কাস,	
basa,	বসা,	বাসা,	
chalachchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
netsi,	নেৎসি,	নাত্সি,	
shikshakbrinda,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
sikarder,	সিকারদের,	শিকারদের,	
prakalpagulo,	প্রকালপুলো,	প্রকল্পগুলো,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
koordira,	কুর্দিরা,	কুর্দিরা,	
bishad,	বিষদ,	বিষদ,	
dhauto,	ধাউত,	ধৌত,	
patigoniter,	পতিগণিতের,	পাটিগণিতের,	
okhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
sorsa,	সর্ষ,	সোর্স,	
spostotoi,	স্পষ্টতাই,	স্পষ্টতই,	
poshte,	পোষ্টে,	পোষ্টে,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
licenshe,	লিচেন্সে,	লাইসেন্স,	
parq,	পার্ক,	পার্ক,	
shucharita,	সুচারিত,	সুচরিতা,	
eporzonto,	এপর্নন্ত,	এপর্যন্ত,	
shloker,	শ্লোকের,	শ্লোকের,	
muphti,	মুফতী,	মুফতি,	
gatibege,	গ্যাটিবেগে,	গতিবেগে,	
ingrejraa,	ইংরেজরা,	ইংরেজরা,	
sylvi,	সিলভী,	সিলভি,	
athar,	আঠার,	আতহার,	
shikshao,	শিক্ষও,	শিক্ষাও,	
gronther,	গ্রন্থের,	গ্রন্থের,	
konroop,	কনরুপ,	কোনরূপ,	
satthikata,	সাথিকতা,	সঠিকতা,	
infarmatian,	ইনফারমেশন,	ইনফরমেশন,	
bhramaner,	ভ্রাম্যাণের,	ভ্রমণের,	
vaibon,	ভাইবন,	ভাইবোন,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
shatoker,	শতকের,	শতকের,	
prakar,	প্রকর,	প্রকার,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
akshoti,	একশটি,	একশোটি,	
booponer,	বুপনের,	বপনের,	
natians,	নটিয়ান্স,	নেশনস,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
laishenshe,	লাইসেন্সে,	লাইসেন্স,	
bhaider,	ভাইদের,	ভাইদের,	
rohasyer,	রোহস্যের,	রহস্যের,	
nederland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
laishensh,	লেইসেন্স,	লাইসেন্স,	
moldowa,	মলদডভা,	মলদোভা,	
varson,	ভার্সন,	ভারশন,	
bizito,	বিজিত,	বিজিত,	
gaddafii,	গাদ্যাফী,	গাদ্দাফী,	
ishtara,	ইস্টার,	ইস্টার,	
sahokari,	সহকারি,	সহকারী,	
iunita,	ইউনিত,	ইউনিট,	
sina,	সিন,	সিনা,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
tobe,	তবে,	টবে,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
nafisa,	নফিশ,	নাফিসা,	
bheemsen,	ভীমসেন,	ভীমসেন,	
jaistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
pachhen,	পাঁেন,	পাচ্ছেন,	
bimata,	বিমত,	বিমাতা,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
basturoi,	ব্যাস্তুরই,	বস্তুরই,	
okritakarja,	অকৃতারক্য,	অকৃতকার্য,	
jeansh,	জিনস,	জিন্স,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
shithilata,	সিথিলতা,	শিথিলতা,	
shiter,	শীটের,	শীতের,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
ovinetar,	অভিনেতর,	অভিনেতার,	
joubanbati,	যৌবনবতি,	যৌবনবতী,	
tantira,	তানটিরা,	তাঁতিরা,	
grambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
dhanyi,	ধানই,	ধন্যি,	
udvabaney,	উদ্ভবনে,	উদ্ভাবনে,	
vatar,	ভাটার,	ভাতার,	
joni,	যোনি,	জনি,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
chiranton,	চিরন্তন,	চিরন্তন,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
pharanyata,	ফরণা্যতা,	ফরম্যাট,	
lakhindarer,	লাখিন্দ্রের,	লখিন্দরের,	
siima,	সীম,	সীমা,	
aro,	অরো,	আরও,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
herpher,	হার্ফার,	হেরফের,	
nagarikkey,	নাগরিককে,	নাগরিককে,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
gazipore,	গজীপরে,	গাজীপুর,	
daakteekit,	ডাক্তিকিট,	ডাকটিকিট,	
venna,	ভেনা,	ভেন্না,	
shangsthagulo,	সংবস্থ্যগুলো,	সংস্থাগুলো,	
nobotomo,	নবতম,	নবতম,	
jorer,	জরের,	জ্বরের,	
prapokkey,	প্রপক্কে,	প্রাপককে,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
deputi,	দিপুতি,	ডেপুটি,	
jonomukhi,	জনমুখী,	জনমুখী,	
mandape,	মন্ডপে,	মন্ডপে,	
aastikotaa,	অস্তিকতা,	আস্তিকতা,	
ekbakye,	একবাক্যে,	একবাক্যে,	
sammatite,	সম্মাতিতে,	সম্মতিতে,	
shombhobonaao,	সম্ভাবনাও,	সম্ভবনাও,	
metrapalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
domone,	ডমনে,	দমনে,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
itastata,	ইতাস্টটা,	ইতস্ততঃ,	
koro,	কর,	করো,	
moddhyekar,	মধ্যিকার,	মধ্যেকার,	
anchaleo,	অঞ্চলেও,	অঞ্চলেও,	
basaake,	বসাকে,	বাসাকে,	
talal,	তালাল,	তালাল,	
novel,	নোভেল,	নভেল,	
ingrezraa,	ইংরেজরা,	ইংরেজরা,	
jibanto,	জীবন্ত,	জীবন্ত,	
liseensee,	লিসেন্স,	লাইসেন্স,	
sahozlabhbhatar,	সহজল্ভভাতার,	সহজলভ্যতার,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
kaatbey,	কাটবে,	কাটবে,	
yeaster,	ইস্টার,	ইস্টের,	
jonmato,	জন্মাত,	জন্মাত,	
dolu,	দলু,	ডলু,	
jyestthotar,	জ্যেষ্ঠতার,	জ্যেষ্ঠতার,	
haris,	হারিস,	হ্যারিস,	
duckten,	ডাকতেন,	ডাকতেন,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
bolatkar,	বোলতকার,	বলাৎকার,	
manu,	মানু,	মনু,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
abarta,	আবর্ত,	আবর্ত,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
dipke,	ডীপকে,	দ্বীপকে,	
timesh,	টাইমস,	টাইমস্,	
bachchaner,	বাচ্চনের,	বচ্চনের,	
kanasarabhesana,	কনসারভেশন,	কনসারভেশন,	
romonar,	রমনার,	রমনার,	
addhatikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
odhuna,	অধুনা,	অধুনা,	
jeshtha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
kayartara,	কায়র্টার,	কোয়ার্টার,	
jyakasana,	য্যাকশন,	জ্যাকসন,	
seqtara,	সেক্টার,	সেক্টর,	
prokolpoti,	প্রকলপটি,	প্রকল্পটি,	
ralof,	রলফ,	রালফ,	
shudhui,	সুধীই,	শুধুই,	
kakhonyoba,	কখনোবা,	কখনওবা,	
chittronattokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
harbor,	হর্বর,	হারবার,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
karor,	করর,	কারোর,	
chomke,	চমকে,	চমকে,	
paadee,	পাদে,	পাড়ে,	
phund,	ফান্ড,	ফান্ড,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
saida,	সাইড,	সাইদা,	
naubom,	নবম,	নবম,	
path,	পথ,	পাথ,	
sansthaner,	সংস্থানের,	সংস্থানের,	
vedanta,	বেদান্ত,	বেদান্ত,	
nojder,	নজদের,	নজদের,	
footballerer,	ফুটবলেরের,	ফুটবলারের,	
foolkopi,	ফুলকোপি,	ফুলকপি,	
neurologi,	নিউরোলজি,	নিউরোলজি,	
naagaaland,	নাগল্যান্ড,	নাগাল্যান্ড,	
geza,	গেজ,	গেজ,	
shringe,	শ্রীঙ্গে,	শৃঙ্গে,	
firoz,	ফিরজ,	ফিরোজ,	
baraakpur,	ব্যারাকপুর,	বারাকপুর,	
hondooras,	হন্দুরাস,	হন্ডুরাস,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
bisshonath,	বিশ্বণাথ,	বিশ্বনাথ,	
chitronatyakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
showte,	শাউট,	শোতে,	
gorer,	গরের,	গোরের,	
bhenama,	ভেনাম,	ভেনম,	
vabna,	ভব্না,	ভাবনা,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
brindabane,	ব্রিন্দবানে,	বৃন্দাবনে,	
byataree,	ব্যাটারী,	ব্যাটারী,	
natshi,	নাৎসি,	নাত্সি,	
tale,	টেল,	তালে,	
obhaarbhiu,	অভার্িি,	ওভারভিউ,	
laz,	লজ,	লাজ,	
madaspushto,	মাদস্পস্ত,	মদদপুষ্ট,	
dumaa,	দুমা,	দুমা,	
engineerin,	ইঙ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
grawth,	গ্রুথ,	গ্রোথ,	
dharmee,	ধর্মী,	ধর্মী,	
teamothi,	তিমাথি,	টিমোথি,	
vogni,	ভগ্নি,	ভগ্নী,	
title,	তিটল,	টাইটেল,	
grootha,	গ্রুথ,	গ্রোথ,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
shrabosti,	শ্রবস্তী,	শ্রাবস্তী,	
utsahe,	উত্সাহে,	উৎসাহে,	
shikarder,	শিকারদের,	শিকারদের,	
shekender,	সেকেন্ডার,	সেকেন্ডের,	
zack,	যাযাক,	জ্যাক,	
sumeeta,	সুমিত,	সুমিতা,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
mmeloborrne,	মেলববর্ণে,	মেলবোর্নে,	
mataram,	মতারাম,	মাতরম,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
granther,	গ্রন্থার,	গ্রন্থের,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
craze,	ক্রেজ,	ক্রেজ,	
meetropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
rabeta,	রবেট,	রাবেতা,	
yaak,	যক,	ইয়াক,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
grooth,	গ্রুথ,	গ্রোথ,	
laisens,	লেইসেন্স,	লাইসেন্স,	
probhu,	প্রভূ,	প্রভু,	
tooku,	টুকু,	টুকু,	
taunashipa,	তাউনিশীপ,	টাউনশিপ,	
arthoneeti,	অর্থনিটি,	অর্থনীতির,	
mile,	মাইল,	মাইল,	
baireo,	বৈরেও,	বাইরেও,	
pushteer,	পুষ্টির,	পুষ্টির,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
fund,	ফান্ড,	ফান্ড,	
kaareer,	কারির,	কারীর,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
nirikh,	নিরিখ,	নিরিখ,	
pleeto,	প্লিত,	প্লেটো,	
seeramiker,	সিরামিকের,	সিরামিকের,	
niranjan,	নিরাঞ্জন,	নিরঞ্জন,	
iub,	ইউব,	আইইউবি,	
padarthabidder,	পদার্থবিদের,	পদার্থবিদদের,	
dollu,	ডল্ু,	ডলু,	
konflikt,	কনফলল্ক্ট,	কনফ্লিক্ট,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
kumari,	কুমারী,	কুমারী,	
gazetted,	গেজেটেড,	গেজেটেড,	
thaakte,	থাকতে,	থাকতে,	
blacq,	ব্লক,	ব্ল্যাক,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
modeltigulo,	মদেলটিলোগু,	মডেলগুলো,	
divya,	দিব্য,	দিব্যা,	
kooda,	কোড,	কোড,	
banshite,	বাঁশিতে,	বাঁশিতে,	
granthe,	গ্রন্থে,	গ্রন্থে,	
phashtara,	ফোস্টার,	ফস্টার,	
sukumari,	সুকুমারী,	সুকুমারী,	
hafez,	হাফেজ,	হাফেয,	
laicenshe,	লাইসেন্সে,	লাইসেন্স,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
kloud,	ক্লদ,	ক্লাউড,	
ghatla,	ঘাতলা,	ঘটল,	
abheedhaaner,	অভিধানের,	অভিধানের,	
damanmulok,	দমানমূলক,	দমনমূলক,	
dearas,	ডিরাস,	ডিআরএস,	
anisha,	অনিশ,	আনিস,	
motabolambira,	মতবালবম্বীরা,	মতাবলম্বীরা,	
deool,	ডিউল,	দেউল,	
janomukhi,	জনমুখী,	জনমুখী,	
jammu,	জাম্মু,	জম্মু,	
bhadaqa,	ভাদকা,	ভদকা,	
provu,	প্রভূ,	প্রভু,	
tookroti,	তুকরতি,	টুকরোটি,	
elaakate,	এলাকাতে,	এলাকাতে,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
samosher,	সমসের,	সমশের,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
bojhaar,	বোঝার,	বোঝার,	
bhor,	ভোর,	ভর,	
konan,	কোনন,	কোনান,	
hames,	হামেস,	হোমস,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
tennish,	টেনিস,	টেনিস,	
tiuning,	টিউনিং,	টিউনিং,	
chupi,	চুপি,	চুপি,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
saarbhare,	সারভারে,	সার্ভারে,	
toubar,	তৌবর,	তওবার,	
enginiirs,	এঙ্জিনের্স,	ইঞ্জিনিয়ার্স,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
niqela,	নিকেলা,	নিকেল,	
jeesh,	জিস,	জেস,	
modelling,	মোডেলিং,	মডেলিং,	
rupantar,	রূপান্তর,	রুপান্তর,	
gulen,	গুলেন,	গুলেন,	
tenisa,	টেনিস,	টেনিস,	
dazjo,	দজ্য,	দাহ্য,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
neshhanasha,	নেসনাস,	নেশনস,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
saddhi,	সাদধি,	সাধ্বী,	
chaakaa,	চাকা,	চাকা,	
marmaara,	মারমার,	মারমারা,	
salphat,	সালফাট,	সালফেট,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
bosten,	বস্টেন,	বসতেন,	
narider,	নারীদের,	নারীদের,	
silbhee,	সিলভী,	সিলভি,	
antarctica,	অন্টর্কটিক,	অ্যান্টার্কটিকা,	
gardena,	গর্ডেন,	গার্ডেন,	
moshzidshoho,	মসজিদদস,	মসজিদসহ,	
houstoner,	হাস্টানের,	হিউস্টনের,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
robe,	রবে,	রবে,	
emarjenshi,	এমার্জেন্সি,	এমার্জেন্সি,	
durgandher,	দুর্গন্ধের,	দুর্গন্ধের,	
moshzidtir,	মসজিদদির,	মসজিদটির,	
sikh,	শিখ,	শিখ,	
byaboharkari,	ব্যাহারকারি,	ব্যবহারকারীই,	
jolaatanko,	জলতাঙ্ক,	জলাতঙ্ক,	
porijoner,	পরিজনের,	পরিজনের,	
spancer,	স্পন্সের,	স্পেন্সার,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
antarctika,	অন্টর্কটিক,	অ্যান্টার্কটিকা,	
jesha,	জেস,	জেস,	
samanwitobhabe,	সমানভিবতাবে,	সমন্বিতভাবে,	
thetcher,	থেচার,	থ্যাচার,	
raeets,	রেটস,	রাইটস,	
maaktoome,	মক্টমে,	মাকতুম,	
karu,	করু,	কারু,	
sheat,	শেট,	সিট,	
boudhheer,	বৌদ্ধির,	বৌদ্ধের,	
os,	ওস,	অস,	
foreks,	ফরেক্স,	ফরেক্স,	
krom,	ক্রম,	ক্রম,	
babul,	বাবুল,	বাবুল,	
cheesa,	চিস,	চেস,	
vumija,	ভূমিজা,	ভূমিজ,	
sima,	সিম,	সীমা,	
metroopalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
maila,	মেইল,	মাইল,	
mit,	মিত,	এমআইটি,	
janagononar,	জনগণনার,	জনগণনার,	
baysharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
shorting,	শর্টিং,	সর্টিং,	
enjineers,	এঞ্জিনের্স,	ইঞ্জিনিয়ার্স,	
majlishpur,	মজিলশুপুর,	মজলিশপুর,	
protijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
tourisht,	টরিউস্ট,	টুরিস্ট,	
chalochchitrake,	চলচিত্রকে,	চলচ্চিত্রকে,	
puroheetke,	পুরোহিতকে,	পুরোহিতকে,	
ganana,	গানা,	গননা,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
towraat,	তোরাট,	তওরাত,	
songkoloner,	সংকললনের,	সংকলনের,	
rooshod,	রুশদ,	রুশদ,	
erina,	এরিন,	এরিনা,	
dinnar,	ডিনার,	ডিনার,	
orbit,	অর্বিত,	অরবিট,	
kanader,	কানের,	কণাদের,	
mmehonoti,	মেহনাটি,	মেহনতি,	
heelser,	হেলসের,	হিলসের,	
eshkol,	এস্কোল,	এসকল,	
gujob,	গুজব,	গুজব,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
durgandha,	দুর্গন্ধ,	দুর্গন্ধ,	
barron,	ব্যারন,	ব্যারন,	
tusho,	টুস,	তুসো,	
nishchitrupe,	নিশ্চিত্রপে,	নিশ্চিতরূপে,	
timathi,	তিমাথি,	টিমোথি,	
shikar,	শিকড়ার,	শিকার,	
gatrey,	গোত্রে,	গাত্রে,	
tyap,	ট্যাপ,	ট্যাপ,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
nirbaho,	নির্বাহ,	নির্বাহ,	
suri,	সুরি,	সুরি,	
bbosonto,	বসন্ত,	বসন্ত,	
dara,	ড্বার,	দারা,	
coda,	কোড,	কোডা,	
utkhater,	উৎখতের,	উৎখাতের,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
technocrat,	টেকন্ক্রাট,	টেকনোক্র্যাট,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
aatto,	আত্ম,	আত্ম,	
matrirup,	মাতৃরূপ্ব,	মাতৃরূপ,	
superhera,	সুপারেরা,	সুপারহিরো,	
maailey,	মাইলে,	মাইলে,	
serup,	সেরুপ,	সেরূপ,	
hertz,	হার্ট,	হার্জ,	
uponisoder,	উপনিশদের,	উপনিষদের,	
moshjid,	মসজিদ,	মসজিদ,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
karir,	করির,	কারীর,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
shikshakder,	শিক্ষকদের,	শিক্ষকদের,	
aunty,	অ্যান্টি,	আন্টি,	
shchalastik,	স্কলস্টিক,	স্কলাস্টিক,	
debug,	দেবুগ,	ডিবাগ,	
gitikabitar,	গীতিবাকিতার,	গীতিকবিতার,	
phareksa,	ফরেক্স,	ফরেক্স,	
anchalti,	অঞ্চলটি,	অঞ্চলটি,	
raits,	রেটস,	রাইটস,	
boshoborty,	বসবর্তী,	বশবর্তী,	
veemsen,	ভীমসেন,	ভীমসেন,	
hurricane,	হারিকেন,	হ্যারিকেন,	
phaksha,	ফক্ষ,	ফক্স,	
skolastik,	স্কলস্টিক,	স্কলাস্টিক,	
samabeshti,	সমবেশ্্টি,	সমাবেশটি,	
fase,	ফেঁস,	ফাঁসে,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
eshokol,	এসকল,	এসকল,	
zyaka,	য্যাক,	জ্যাক,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
parkin,	পার্কিং,	পার্কিং,	
parichchhannata,	পরিচ্ছান্নতা,	পরিচ্ছন্নতা,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
domonmoolok,	দমনমূলক,	দমনমূলক,	
thar,	থার,	থর,	
ship,	শিপ,	শিপ,	
durgotsav,	দুর্গত্বস,	দুর্গোৎসব,	
oncolsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
diaraesha,	ডায়রেশ,	ডিআরএস,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
sbaajan,	স্বজন,	স্বজন,	
chhotogalper,	ছোটোগল্পের,	ছোটগল্পের,	
dharavashyokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
roobi,	রুবি,	রুবি,	
nagariker,	নাগরিকের,	নাগরিকের,	
jaki,	জাকি,	জকি,	
poster,	পোস্টার,	পোস্টের,	
satthik,	সাঠিক,	সঠিক,	
hepataitisa,	হেপোটাইটিস,	হেপাটাইটিস,	
larshon,	লার্সন,	লারসন,	
asabhya,	অসব্য,	অসভ্য,	
jar,	যার,	জ্বর,	
byabaharkari,	ব্যাহারকারি,	ব্যবহারকারী,	
nitikatha,	নীতিকথা,	নীতিকথা,	
kachakachi,	কাঁচাছি,	কাছাকাছি,	
debdebyr,	দেবদেবীর,	দেবদেবীর,	
udbhabaker,	উদ্ভবকের,	উদ্ভাবকের,	
statione,	স্টেশনে,	ষ্টেশনে,	
byaboharkarike,	ব্যাহারকারিকে,	ব্যবহারকারীকে,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
bonduk,	বন্দুক,	বন্দুক,	
potchitro,	পতচিত্র,	পটচিত্র,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
charrjar,	চার্যার,	চার্জার,	
abosaney,	অবসনে,	অবসানে,	
macbeth,	ম্যাকবিথ,	ম্যাকবেথ,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
bupher,	বুফের,	বাফার,	
joluk,	জলুক,	জ্বলুক,	
evaner,	ইভানের,	ইভানের,	
dorgaho,	দরগাহ,	দরগাহ,	
tigre,	টিগ্রে,	টাইগার,	
juktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
patjato,	পাতজাত,	পাটজাত,	
soras,	সরাস,	সরস,	
puzito,	পূজিত,	পুজিত,	
ashonka,	আশঙ্কা,	আশঙ্কা,	
showti,	শোটি,	শোটি,	
deliver,	ডিলিভের,	ডেলিভার,	
fokser,	ফক্ষের,	ফক্সের,	
kompito,	কম্পিত,	কম্পিত,	
ajeempoor,	আজিম্পুর,	আজিমপুর,	
summi,	সামি,	সুমি,	
somratra,	সম্রাত্র,	সম্রাটরা,	
jins,	জিনস,	জিন্স,	
kindama,	কিন্দম,	কিংডম,	
cooling,	কোলিং,	কুলিং,	
heenna,	হেন্না,	হেনা,	
sohinsotar,	সহিনসততার,	সহিংসতার,	
shift,	সেফট,	শিফট,	
ostad,	অস্টাদ,	ওস্তাদ,	
ansarir,	আনসারির,	আনসারীর,	
soheensotar,	সহিনসতার,	সহিংসতার,	
nirbahe,	নির্বাহে,	নির্বাহে,	
