vedke,	ভেদকে,	বেদকে,	
ancieent,	আনচাইন্ট,	এনসিয়েন্ট,	
sbaajaner,	স্বাজনের,	স্বজনের,	
prokalpagulor,	প্রকালপুলোর,	প্রকল্পগুলোর,	
udbodhony,	উদ্বোধনী,	উদ্বোধনী,	
songasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
daaradaa,	দারাদা,	দারদা,	
sovanetri,	সভান্ত্রী,	সভানেত্রী,	
pushti,	পুষ্টি,	পুষ্টি,	
kraim,	ক্রেম,	ক্রাইম,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
darada,	ডারাডা,	দারদা,	
ongkush,	অংকুষ,	অংকুশ,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
natians,	নেটন্স,	নেশনস,	
taronee,	তররণী,	তরণী,	
seeramiker,	সিরামিকের,	সিরামিকের,	
salil,	সালিল,	সলিল,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
ishton,	ইস্টন,	স্টোন,	
jetam,	জেতাম,	যেতাম,	
sajja,	সাজ্য,	সজ্জা,	
senior,	সেনিয়র,	সিনিয়র,	
lutheerana,	লুথিরন,	লুথেরান,	
dayana,	ডায়ন,	ডায়না,	
moshzidtike,	মস্জিদটিকে,	মসজিদটিকে,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
gafilati,	গাফলিটা,	গাফিলতি,	
kanaphlikta,	কনফ্লিক্ট,	কনফ্লিক্ট,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
mataram,	মাতারাম,	মাতারাম,	
inapharameshana,	ইনফারমেশন,	ইনফরমেশন,	
gononanatyo,	গণনানট্য,	গণনাট্য,	
bhagna,	ভাগ্ন,	ভগ্ন,	
everage,	এভারাগ,	এভারেজ,	
koieri,	কইয়রি,	কোয়েরি,	
mett,	মেট,	ম্যাট,	
pashchatey,	পশশচাতে,	পশ্চাতে,	
plasse,	প্লেস,	প্লাসে,	
bishrinkhala,	বিশৃঙখলা,	বিশৃঙ্খলা,	
dakteekite,	দাকতিকেতে,	ডাকটিকিটে,	
sloker,	স্লোকার,	শ্লোকের,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
nikeela,	নিকেল,	নিকেল,	
sahajlabhbhotar,	সহজ্লভোবতার,	সহজলভ্যতার,	
gaphiloti,	গাফিলটি,	গাফিলতি,	
bossonte,	বসন্তে,	বসন্তে,	
chhed,	ছেদ,	ছেদ,	
setite,	সেটিতে,	সেটিতে,	
sone,	সোন,	সনে,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
yauth,	ইউথ,	ইয়ুথ,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
ajiban,	আজিবান,	আজীবন,	
naitikatabodh,	নৈতিকাবাবোদ,	নৈতিকতাবোধ,	
yuq,	ইউক,	ইয়াক,	
reefleex,	রেফলেক্স,	রিফ্লেক্স,	
raha,	রহ,	রঃ,	
hajarer,	হজজারের,	হাজারের,	
nishchitrupe,	নিশ্চিত্রূপে,	নিশ্চিতরূপে,	
randeep,	রান্ডীপ,	রণদীপ,	
haipar,	হাইপার,	হাইপার,	
uuipoka,	উউপোকো,	উইপোকা,	
planea,	প্লেনন,	প্লেনে,	
shuperheiro,	সুপারহের,	সুপারহিরো,	
manhputa,	মানপুত,	মনঃপুত,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
patthkrom,	পাঠ্যক্রম,	পাঠক্রম,	
bhugarbhe,	ভুগর্ভে,	ভূগর্ভে,	
kinto,	কিন্ত,	কিনত,	
chalachchitreo,	চালচিত্রেও,	চলচ্চিত্রেও,	
bronzer,	ব্রোঞ্জের,	ব্রোঞ্জের,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
deputi,	দিপুতি,	ডেপুটি,	
simaa,	সিমা,	সীমা,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
awatar,	আওটার,	অবতার,	
shektor,	সেক্টর,	সেক্টর,	
gandhike,	গান্ধিকে,	গান্ধীকে,	
armeenian,	আর্মিন়ান,	আর্মেনিয়ান,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
turki,	টুর্কি,	তুর্কি,	
keyboard,	কেয়োর্ড,	কীবোর্ড,	
komti,	কমটি,	কমতি,	
landing,	লান্ডিং,	ল্যান্ডিং,	
rathin,	রাথিন,	রথীন,	
morathi,	মরাাঠী,	মরাঠি,	
grotha,	গ্রথা,	গ্রোথ,	
tarbiner,	তারবিনের,	টারবাইনের,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
chon,	চন,	ছোঁ,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
jacksoner,	যক্সনের,	জ্যাকসনের,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
maadhookori,	মাধুকরী,	মাধুকরী,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
spreeadsheet,	স্প্রেডাসেট,	স্প্রেডশীট,	
gazipur,	গাজীপুর,	গাজীপুর,	
mirakela,	মিরকেল,	মিরাকেল,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
dooburir,	দুবুরির,	ডুবুরির,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
mosjid,	মজিদ,	মসজিদ,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
sidiul,	সিডিউল,	শিডিউল,	
thela,	থেলা,	ঠেলা,	
debodebi,	দেবদেবী,	দেবদেবী,	
onekerie,	অনেকরী,	অনেকেরই,	
bipojjonok,	বিপজজনক,	বিপজ্জনক,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
yaaq,	যয়াক,	ইয়াক,	
koda,	কোড,	কোড,	
ganoporibahan,	গণপরিবহণ,	গণপরিবহন,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
taunship,	টাউনশিপ,	টাউনশিপ,	
jibonnogor,	জীবন্গগর,	জীবননগর,	
maadla,	মাদলা,	মাদলা,	
lyaata,	ল্যাট,	ল্যাটা,	
avisongson,	অভিসংসন,	অভিশংসন,	
dip,	ডিপ,	দীপ,	
shaajaano,	সাজানো,	সাজানো,	
sanaktakaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
bukhari,	বুখারী,	বুখারি,	
shikarer,	শিকারের,	শিকারের,	
qoda,	কোড,	কোডা,	
rupa,	রূপা,	রুপা,	
abasane,	আবাসনে,	অবসানে,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
kachakachi,	কাচকাছি,	কাছাকাছি,	
bagdad,	বাগদাদ,	বাগদাদ,	
monoputo,	মনপুত,	মনঃপুত,	
choopi,	চুপি,	চুপি,	
elakati,	এলাকাটি,	এলাকাটি,	
gandharir,	গানধারীর,	গান্ধারীর,	
korlei,	করলেই,	করলেই,	
baghdad,	বাঘদাদ,	বাগদাদ,	
baireo,	বারেরও,	বাইরেও,	
ponera,	পোনেরা,	পনের,	
ssosha,	শশা,	শশা,	
bird,	বির্ড,	বার্ড,	
gobeshona,	গবেষণা,	গবেষনা,	
syfy,	সিফি,	সাইফাই,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
shapod,	সপদ,	শ্বাপদ,	
oopohoron,	উপহরণ,	অপহরন,	
eemeergeency,	এমেরগেঁসি,	এমার্জেন্সি,	
noitikotabodh,	নৈতিকোযবোড,	নৈতিকতাবোধ,	
charjito,	চার্জিত,	চার্জিত,	
ispreedshit,	ইসপ্রীদেত,	স্প্রেডশীট,	
hepatitish,	হেপাতিট,	হেপাটাইটিস,	
dakope,	ডককে,	দাকোপ,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
engrejer,	ইংরেজের,	ইংরেজের,	
poscater,	পশ্চাতের,	পশ্চাতের,	
antarctica,	আন্টারটিক,	অ্যান্টার্কটিকার,	
songbadmadhyomgulote,	সংবাদমাধ্যমুলোতে,	সংবাদমাধ্যমগুলোতে,	
madhoori,	মাধুরি,	মাধুরী,	
saabbir,	সাবির,	সাব্বির,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
bondira,	বন্দিরা,	বন্দীরা,	
sabhanetri,	সভান্ত্রী,	সভানেত্রী,	
varshon,	ভার্সন,	ভারশন,	
licenshe,	লিইনেস,	লাইসেন্স,	
shailee,	সাইলি,	শৈলী,	
sudrishya,	সুদ্রিয্য,	সুদৃশ্য,	
primo,	প্রিমো,	প্রিমো,	
amstrong,	আমস্ট্রিং,	আর্মস্ট্রং,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
sohojlovyotar,	সহজ্যভোল্যার,	সহজলভ্যতার,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
jounotar,	যৌনতার,	যৌনতার,	
shikshakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
jockei,	জকি,	জকি,	
ghotleo,	ঘোটলেও,	ঘটলেও,	
bharma,	ভর্মা,	ভার্মা,	
madhumati,	মধুমতি,	মধুমতী,	
ekoirokom,	একরিকম,	একইরকম,	
gripa,	গ্রীপ,	গ্রিপ,	
augusteen,	আগগসটিন,	অগাস্টিন,	
aanis,	আনিস,	আনিস,	
abasare,	আবসারে,	অবসরে,	
uter,	উটের,	উটের,	
tintikey,	তিনটিকে,	তিনটিকে,	
tirmijii,	তির্মীযী,	তিরমিজি,	
bigepi,	বিজেপি,	বিজেপি,	
thanvi,	ঠাঁভি,	থানভী,	
restuarant,	রেস্টোরেন্ট,	রেষ্টুরেন্ট,	
eparjanta,	এপারজন্ত,	এপর্যন্ত,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
sangbadmadhyome,	সংবাদধামে,	সংবাদমাধ্যমে,	
haphej,	হাফেজ,	হাফেয,	
prabhu,	প্রভূ,	প্রভু,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
dharavahikbhabey,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
songostha,	সংস্থা,	সংস্থা,	
cherechhe,	চেরেছে,	ছেড়েছে,	
pulse,	পুলসে,	পালস,	
jeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
okhhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
farn,	ফার্ন,	ফার্ন,	
forid,	ফরিদ,	ফরিদ,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
miraqela,	মিরকেল,	মিরাকেল,	
shamooker,	সামুকের,	শামুকের,	
hobu,	হবু,	হবু,	
shcholastik,	স্কলাশ্টিক,	স্কলাস্টিক,	
maudelke,	মাউডেলকে,	মডেলকে,	
ghumata,	ঘুমাটা,	ঘুমাতো,	
umedpoor,	উমেডপুর,	উমেদপুর,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
laboni,	লবণী,	লাবনী,	
greep,	গ্রীপ,	গ্রিপ,	
shikar,	শিকার,	শিকার,	
yuqeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
pade,	পাদে,	পাড়ে,	
hosney,	হোসনে,	হোসনে,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
wault,	ওয়েল্ট,	ভল্ট,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
deeputy,	দিপুতি,	ডেপুটি,	
chocchitrei,	চক্চিত্রেই,	চলচ্চিত্রেই,	
bhor,	ভোর,	ভর,	
asavyo,	অসাও্য,	অসভ্য,	
jemi,	জেমি,	জেমি,	
janapoth,	জনপথ,	জনপথ,	
sulfete,	সালফেট,	সালফেট,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
khodeja,	খোদেজা,	খোদেজা,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
ovidhaner,	অভিধানের,	অভিধানের,	
themekey,	থেমেকে,	থিমকে,	
sachetanotamulak,	সচেতনামূলক,	সচেতনতামূলক,	
stalin,	স্টালিন,	স্টালিন,	
dhojobhongo,	ধোযভভঙ্গ,	ধ্বজভঙ্গ,	
cyphy,	সিফি,	সাইফাই,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
prabhuder,	প্রভুদের,	প্রভুদের,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
bede,	বেদে,	বেদে,	
bafal,	বফল,	বিফল,	
durgotsave,	দুর্ঘতভাবে,	দুর্গোৎসবে,	
shenior,	সেনিয়র,	সিনিয়র,	
statione,	স্টেশনে,	ষ্টেশনে,	
ivir,	আইভির,	এভার,	
asamanjashapurna,	অসমানযুপ্র,	অসামঞ্জস্যপূর্ণ,	
biqe,	বিকে,	বাইক,	
shcholastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
tulechen,	তুলেছেন,	তুলেছেন,	
sharifer,	শেরীফের,	শরিফের,	
abhinetar,	অভিনেতর,	অভিনেতার,	
taler,	তেলের,	তালের,	
shainyara,	সাইন্যার,	সৈন্যরা,	
pyaleshtainer,	প্যালেস্টেনের,	প্যালেস্টাইনের,	
epiela,	এপিল,	আইপিএল,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
nirapattamulok,	নিরপততমূলক,	নিরাপত্তামূলক,	
thime,	থিমে,	থিমে,	
shhooter,	শুটের,	শ্যুটার,	
jaj,	জজ,	জাজ,	
sofy,	সফি,	সোফি,	
shudhui,	শুধু,	শুধুই,	
phixing,	ফিক্সিং,	ফিক্সিং,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
potocheetrer,	পতচিত্রের,	পটচিত্রের,	
jalrang,	জলরাং,	জলরঙ,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
erina,	এরিন,	এরিনা,	
ujbekistan,	উজবেকিষ্তান,	উজবেকিস্তান,	
joubanboti,	যৌবনবতী,	যৌবনবতী,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
shalsa,	সলস,	সালসা,	
khalid,	খালিদ,	খালিদ,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
shhyutara,	শিযুটার,	শ্যুটার,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
qindama,	কিন্ডম,	কিংডম,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
ganoporibohon,	গণপরিবহণ,	গণপরিবহন,	
birder,	বীর্দার,	বার্ডের,	
kathmandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
jaroori,	জারুরি,	জরূরী,	
changee,	চঙ্গি,	চেঞ্জ,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
debholapar,	ডেভলপার,	ডেভলপার,	
prity,	পৃত্যি,	প্রিটি,	
vince,	ভিঞ্স,	ভিন্স,	
grambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
fartha,	ফোর্থ,	ফার্থ,	
arakan,	আরাকান,	আরাকান,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
parabortee,	পরবর্তী,	পরর্বতী,	
daktikite,	দাক্তিকেতে,	ডাকটিকিটে,	
pouchute,	পৌছুতে,	পৌঁছুতে,	
palbongser,	পালবংসের,	পালবংশের,	
shepha,	সেফ,	শেফ,	
daacktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
anchaltite,	আঞচললিতে,	অঞ্চলটিতে,	
jwolbe,	জ্বলবে,	জ্বলবে,	
fatakeshto,	ফটাকেষ্ট,	ফাটাকেষ্ট,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
prokolpotike,	প্রকলপতিকে,	প্রকল্পটিকে,	
chhatta,	ছাট্টো,	ছোট্ট,	
aatok,	আটোক,	আটক,	
siddhantey,	সিদ্ধানতে,	সিদ্ধান্তে,	
chhuti,	ছুটি,	ছুটি,	
janomukhi,	জনমুখী,	জনমুখী,	
noditike,	নদীতিকে,	নদীটিকে,	
shabnam,	শাবনাম,	শবনম,	
jakkho,	যক্ষ,	যক্ষ,	
shikkhakromer,	শিক্ষাকরমের,	শিক্ষাক্রমের,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
moshjidtir,	মজিদটির,	মসজিদটির,	
bikaargrasta,	বিকারগ্রাস্ট,	বিকারগ্রস্ত,	
shaartho,	সার্থ,	স্বার্থ,	
alexanderke,	আলেকসন্ডারকে,	আলেকজান্ডারকে,	
soomo,	সুমো,	সুমো,	
haze,	হাজে,	হেজ,	
jaqi,	জাকি,	জকি,	
daver,	ডায়ার,	ডোভার,	
toroon,	তরুণ,	তরুন,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
mumtazer,	মুতাজের,	মুমতাজের,	
babul,	বাবুল,	বাবুল,	
dibating,	ডিবাটিং,	ডিবেটিং,	
rajatwa,	রাজত্ব,	রাজত্ব,	
licenshing,	লিসেন্সিং,	লাইসেন্সিং,	
jommu,	জম্মু,	জম্মু,	
overviu,	ওভার্ভি,	ওভারভিউ,	
ghoorte,	ঘুরতে,	ঘুরতে,	
zibonnogor,	জীবন্গগর,	জীবননগর,	
bolvodro,	বলভোদরর,	বলভদ্র,	
jeesa,	জেস,	জেস,	
ghoshito,	ঘোষিত,	ঘোষিত,	
auttacharer,	আট্চাচারের,	অত্যাচারের,	
cathalic,	ক্যাথলিক,	ক্যাথলিক,	
balokarak,	বালকারক,	বলকারক,	
abodamoner,	অবদামনের,	অবদমনের,	
vageryi,	ভাগেরই,	ভাগেরই,	
adbhut,	আদ্ভূত,	অদ্ভুত,	
nadnadir,	নদ্দনার,	নদনদীর,	
templete,	টেম্পলেট,	টেম্পলেট,	
phiqsa,	ফিক্স,	ফিক্স,	
olympic,	অলিম্পিক,	অলিম্পিক,	
oparogota,	অপরগগো,	অপারগতা,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
pack,	প্যাক,	প্ল্যাক,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
ayadabhanshada,	অ্যাডভানশড,	অ্যাডভান্সড,	
bandhubhabaponno,	বন্ধুবপ্যন,	বন্ধুভাবাপন্ন,	
rayalty,	রেয়েলটি,	রয়্যালটি,	
tookror,	টুকরুর,	টুকরোর,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
ganoporibahaner,	গণপরিবহণের,	গণপরিবহনের,	
daale,	ডালে,	ডালে,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
mosjidti,	মজিদটি,	মসজিদটি,	
associates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
graambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
bima,	বিমা,	বিম,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
nirantar,	নীরান্তর,	নিরন্তর,	
bhushito,	ভূষিত,	ভূষিত,	
floodliter,	ফ্লাডলিটের,	ফ্লাডলাইটের,	
isosiyitasa,	ইসোসিয়েস,	এসোসিয়েটস,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
marketey,	মার্কেটে,	মার্কেটে,	
chetna,	চেতনা,	চেতনা,	
hiper,	হাইপার,	হাইপার,	
darjeeling,	ডার্জলিং,	দার্জিলিং,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
codeti,	কোটেটি,	কোডটি,	
rapto,	রাপত,	রপ্ত,	
roobi,	রুবি,	রুবি,	
aasar,	আসার,	আসর,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
bholapuka,	ভোলাপুক,	ভোলাপুক,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
janalo,	জানালো,	জানালো,	
choson,	চোষণ,	চোষণ,	
suiti,	সুইটি,	সুইটি,	
ustaad,	উষ্তাদ,	উস্তাদ,	
manonitoder,	মনোনীতদের,	মনোনীতদের,	
netsi,	নেৎসি,	নাত্সি,	
shangkulan,	সংকুলন,	সংকুলান,	
dormitory,	ডরমিটরি,	ডরমিটরি,	
iunita,	ইউনিট,	ইউনিট,	
phutanta,	ফুটন্ট,	ফুটন্ত,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
garner,	গার্নের,	গার্নার,	
prokolpou,	প্রকলপু,	প্রকল্পও,	
second,	সেকন্ড,	সেকেণ্ড,	
elakaa,	এলাকা,	এলাকা,	
melborne,	মেলবর্নে,	মেলবোর্নে,	
chedropathe,	চেদ্রপথথে,	ছিদ্রপথে,	
hunayin,	হানাইন,	হুনাইন,	
jinsa,	জিনসা,	জিন্স,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
isahak,	ইসহাক,	ইসাহাক,	
chhutee,	ছুটি,	ছুটি,	
gejeted,	গেজেটেড,	গেজেটেড,	
maldava,	মালদাভা,	মলদোভা,	
talaa,	তালা,	তালা,	
sainyara,	সাইন্যর,	সৈন্যরা,	
hepatitis,	হেপাতিট,	হেপাটাইটিস,	
machder,	মাদদের,	মাছদের,	
sinaake,	সিনাকে,	সিনাকে,	
muradke,	মুরাদকে,	মুরাদকে,	
chainge,	চ্যাই,	চেঞ্জ,	
charbon,	চারবোন,	চর্বন,	
modhumoti,	মধুমতি,	মধুমতী,	
musalmanke,	মুসলমানকে,	মুসলমানকে,	
antorvuktimulak,	অন্তর্ভূক্তমাল,	অন্তর্ভুক্তিমূলক,	
dailee,	দাইলি,	ডেইলি,	
gaje,	গাজে,	গেজ,	
aanaan,	আনান,	আনান,	
gavashkar,	গভাসকার,	গাভাস্কার,	
poripakey,	পরিপাকে,	পরিপাকে,	
bupher,	বুফার,	বাফার,	
maailey,	মাইলে,	মাইলে,	
obharbheeu,	ওভারভুই,	ওভারভিউ,	
kasper,	কাশপার,	ক্যাসপার,	
oocchoseeto,	উচ্চাসিত,	উচ্ছসিত,	
heavy,	হেভি,	হেভি,	
chatoke,	ছাটকে,	ছাতকে,	
tecnokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
shaahocharjo,	শাহচার্য,	সাহচর্য,	
harrisoner,	হ্যারিসনের,	হ্যারিসনের,	
basinay,	বাসিনে,	বেসিনে,	
zerusalema,	জেরুসলেম,	জেরুসালেম,	
dokaangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
shpreadshhiit,	স্প্রেশডিত,	স্প্রেডশীট,	
esosiyetasa,	এসোসিয়েস,	এসোসিয়েটস,	
baikalya,	বৈকল্য,	বৈকল্য,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
mesenzarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
jwor,	জ্যোর,	জ্বর,	
iuro,	ইউরো,	ইউরো,	
sikhbe,	শিখবে,	শিখবে,	
zonite,	যোনিতে,	যোনীতে,	
maudelder,	মাউডেলদের,	মডেলদের,	
macher,	মেচের,	মাছের,	
carlo,	কার্লো,	কার্লো,	
zibonto,	জীবন্ত,	জীবন্ত,	
lajiker,	লাজিকের,	লজিকের,	
inasiyinta,	ইনসেইন্ট,	এনসিয়েন্ট,	
siramiks,	সিরামিক্স,	সিরামিকস,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
hondooras,	হন্ডারস,	হন্ডুরাস,	
jothon,	যথথন,	যথন,	
perri,	পেরি,	পেরি,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
creshcent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
wenice,	ভিনিস,	ভেনিস,	
nartana,	নর্তনা,	নর্টন,	
idyi,	ইদ্যি,	আইডিই,	
sniper,	স্নিপার,	স্নাইপার,	
lisense,	লিসেন্স,	লাইসেন্স,	
purple,	পারপল,	পার্পেল,	
mausumei,	মুসুমেই,	মৌসুমেই,	
ispreedshiit,	ইসপ্রীদশত,	স্প্রেডশীট,	
chitranattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
ayantarketika,	অ্যান্টারেকিক,	অ্যান্টার্কটিকা,	
chuti,	চুটি,	ছুটি,	
neelkuthir,	নীলকুঠির,	নীলকুঠির,	
chhootee,	ছুটি,	ছুটি,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
fake,	ফাকে,	ফাকে,	
tistaar,	টিস্টার,	তিস্তার,	
dhonni,	ধনি,	ধন্যি,	
meloonborroner,	মেলুবর্তরের,	মেলবোর্নের,	
bondhuvabaponyo,	বন্ধুবাপন্য,	বন্ধুভাবাপন্ন,	
krusher,	ক্রুসের,	ক্রুশের,	
komtee,	কমটি,	কমতি,	
rachanakal,	রচনাকাল,	রচনাকাল,	
hajartee,	হাজরটি,	হাজারটি,	
graameroi,	গ্রামেরো,	গ্রামেরই,	
alaoul,	আলাউল,	আলাওল,	
panni,	পান্নি,	পন্নী,	
haitasha,	হাইটাস,	হাইটস,	
nirvachakder,	নির্ভাচকদের,	নির্বাচকদের,	
pathanatak,	পাঠানতক,	পথনাটক,	
mayili,	মেলি,	মাইলি,	
di,	ডি,	দিই,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
rah,	রহ,	রঃ,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
jyesthaa,	যেষ্ঠা,	জ্যেষ্ঠা,	
khaneker,	খানেকের,	খানেকের,	
apohoron,	অপহরণ,	অপহরন,	
mohammad,	মহাম্মাদ,	মুহাম্মদ,	
chhilona,	ছিলোনা,	ছিলনা,	
aalkaatra,	আলকাত্রা,	আলকাতরা,	
chalachchitrei,	চলচ্ত্রেই,	চলচ্চিত্রেই,	
bhenuser,	ভেনুসের,	ভেনাসের,	
jeelyaand,	জেল্যান্ড,	জিল্যান্ড,	
rubeta,	রুবেটা,	রাবেতা,	
mukhobandha,	মুখবন্ধা,	মুখবন্ধ,	
foster,	ফোস্টার,	ফস্টার,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
simmons,	সিমমনস,	সিমন্স,	
akhaate,	আখাতে,	একহাতে,	
jokkho,	যক্ষ,	যক্ষ,	
sharif,	শেরিফ,	শরিফ,	
swartho,	স্বার্থ,	স্বার্থ,	
kortam,	করততম,	করতাম,	
otiteo,	অতিতেও,	অতীতেও,	
messengerer,	মেশেঞ্জারের,	মেসেঞ্জারের,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
juboke,	যুবকে,	যুবকে,	
tuner,	টুনের,	টিউনার,	
obharbhiu,	ওভারভি,	ওভারভিউ,	
eshiyatiqa,	এশিয়টিক,	এশিয়াটিক,	
asamonjoshopurno,	আসামন্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
akabar,	একবার,	আকাবার,	
neutrino,	নিউট্রিনো,	নিউট্রিনো,	
ghatla,	ঘটলা,	ঘটল,	
spancer,	স্পান্সের,	স্পেন্সার,	
