zete,	জেতে,	যেতে,	
shcoring,	স্কোরিং,	স্কোরিং,	
dhaanch,	ধাঁচ,	ধাঁচ,	
prajanmer,	প্রজন্মের,	প্রজন্মের,	
procharonar,	প্রচারণার,	প্রচারণার,	
deepeo,	ডিপেও,	দ্বীপেও,	
shahabi,	সাহাবী,	সাহাবি,	
miu,	মিউ,	মিউ,	
uzzho,	উজ্জ,	উহ্য,	
btaboharkarider,	ব্যবহারকারীদের,	ব্যবহারকারীদের,	
doltyag,	দলত্যাগ,	দলত্যাগ,	
koolajena,	কোলজেন,	কোলাজেন,	
pipol,	পিপল,	পিপল,	
ghatigoolo,	ঘটিগুলো,	ঘাঁটিগুলো,	
siinaii,	সিনাই,	সিনাই,	
dokaanpat,	ডোকানপাত,	দোকানপাট,	
lowar,	লাওর,	লোয়ার,	
obhinetake,	অভিনেতকে,	অভিনেতাকে,	
nean,	নিন,	নিয়ন,	
dekhun,	দেখুন,	দেখুন,	
tustir,	তাস্তির,	তুষ্টির,	
moushumii,	মৌশূমী,	মৌসুমী,	
sidharthar,	সিধার্থার,	সিদ্ধার্থর,	
neon,	নিওন,	নিয়ন,	
chorbhadrason,	চর্ভদ্রাসন,	চরভদ্রাসন,	
chaapaano,	চাপানো,	চাপানো,	
sikkhoksoho,	শিক্ষকসহ,	শিক্ষকসহ,	
shunyata,	শূন্যতা,	শুন্যতা,	
shulka,	শালকা,	শুল্ক,	
prapak,	প্রাপক,	প্রাপক,	
shaaher,	সাহের,	সাহের,	
gorg,	গর্গ,	গর্গ,	
kabutar,	কবুটার,	কবুতর,	
asaho,	আসহ,	অসহ,	
sandal,	সন্দল,	স্যান্ডেল,	
chondipur,	চণ্ডিপুর,	চন্ডিপুর,	
tahirke,	তাহিরকে,	তাহিরকে,	
lisha,	লিশ,	লিসা,	
nirbhorota,	নির্ভরতা,	নির্ভরতা,	
bishannatar,	বিষন্নতার,	বিষণ্নতার,	
nirbachok,	নির্বাচক,	নির্বাচক,	
uponibeshbad,	উপনিবেশবাদ,	উপনিবেশবাদ,	
bondiidosa,	বন্দিদোসা,	বন্দীদশা,	
mkeuhammad,	মিউমাম্দ,	মুহাম্মদকে,	
ghuri,	ঘুরি,	ঘুরি,	
oitihyagato,	ঐতিহ্যগত,	ঐতিহ্যগত,	
ektanaa,	একটানা,	একটানা,	
dheel,	ঢিল,	ঢিল,	
dhari,	ধারি,	ধারী,	
mahelaa,	মহেলা,	মাহেলা,	
tinso,	তিনস,	তিনশ,	
nirgomoner,	নির্গমনের,	নির্গমনের,	
letershsh,	লিটার্স,	লেটারস,	
zeuske,	জিউসকে,	জিউসকে,	
mafidul,	মাফিদুল,	মফিদুল,	
beekreta,	বিক্রেটা,	বিক্রেতা,	
ottabasyak,	অত্মবাশ্যক,	অত্যাবশ্যক,	
halisohor,	হালিসহর,	হালিশহর,	
kuthar,	কুঠার,	কুঠার,	
maje,	মজে,	মাজে,	
pratijogikey,	প্রতিযোগীকে,	প্রতিযোগীকে,	
ehoramer,	ইহরামের,	ইহরামের,	
vishannata,	বিষন্নতা,	বিষণ্নতা,	
acadeemee,	একাডেমি,	একাডেমিয়া,	
harrison,	হ্যারিশন,	হ্যারিসন,	
chalochchitroo,	চলচিত্র,	চলচ্চিত্রও,	
dhormantorito,	ধর্মান্তরিত,	ধর্মান্তরিত,	
gout,	গৌট,	গাউট,	
roger,	রোগের,	রজার,	
hishabti,	হিশাবটি,	হিসাবটি,	
vantaa,	ভাঁতা,	ভাঁটা,	
baarden,	বারদেন,	বার্ডেন,	
hyendbuk,	হ্যান্ডবুক,	হ্যান্ডবুক,	
saleh,	সালে,	সালেহ,	
aandre,	আন্দ্রে,	আঁদ্রে,	
lav,	লাভ,	ল,	
urgentina,	আর্জেন্টিন,	আর্জেন্টিনা,	
romna,	রোমনা,	রমনা,	
tokke,	তোকে,	ত্বককে,	
codeyo,	কোডেও,	কোডও,	
chalachchitratir,	চলচচিত্রটির,	চলচ্চিত্রটির,	
kormokando,	কর্মকান্ড,	কর্মকাণ্ড,	
nanee,	নানী,	নানী,	
rojer,	রোজের,	রজার,	
reecordeed,	রিকর্ডেড,	রেকর্ডেড,	
dhonuk,	ধননুক,	ধনুক,	
parbatmalar,	পর্বাতমালার,	পর্বতমালার,	
byangke,	ব্যাংকে,	ব্যাঙকে,	
drisho,	দৃশ,	দৃশ্য,	
shikkhakatar,	শিক্ষকতার,	শিক্ষকতার,	
ghateete,	ঘটিতে,	ঘাঁটিতে,	
ghonisthojon,	ঘনিষ্ঠজন,	ঘনিষ্ঠজন,	
udhaao,	উদাও,	উধাও,	
chatting,	চটিং,	চ্যাটিং,	
dharavahikata,	ধারাবাহিকতা,	ধারাবাহিকতা,	
oitijjogoto,	ঐতিহ্যগত,	ঐতিহ্যগত,	
monzoor,	মঞ্জুর,	মঞ্জুর,	
bilet,	বিলেট,	বিলেত,	
milestone,	মিলেস্টন,	মাইলস্টোন,	
ishir,	এসির,	ইসির,	
rajjosabha,	রাজ্যসভা,	রাজ্যসভা,	
phlying,	ফ্লাইং,	ফ্লাইং,	
zuckerberg,	জুকারবার্গ,	জাকারবার্গ,	
smarakgrontha,	স্মরাকগ্রন্থা,	স্মারকগ্রন্থ,	
lalar,	লালার,	লালার,	
choice,	চাইক,	চয়েস,	
totenham,	তোটেনহাম,	টটেনহাম,	
nitrogeen,	নিত্রোজেন,	নাইট্রোজেন,	
chikitsarato,	চিকিৎসারত,	চিকিৎসারত,	
samratkey,	সামরাতকে,	সম্রাটকে,	
munsnir,	মুনসির,	মুন্সির,	
vasharyi,	ভাষারী,	ভাষারই,	
salima,	সালিমা,	সেলিমা,	
blackmaeel,	ব্লাকমাইল,	ব্ল্যাকমেইল,	
beelete,	বিলেটে,	বিলেতে,	
prajanme,	প্রজন্মে,	প্রজন্মে,	
chicken,	চিকেন,	চিকেন,	
ghet,	ঘেট,	ঘাট,	
bilett,	বিলেট,	বিলেত,	
aqademia,	একাডেমিয়া,	একাডেমিয়া,	
aishotopa,	এইশোপপ,	আইসোটোপ,	
lay,	লাই,	লে,	
prastha,	প্রস্থা,	প্রস্থ,	
beeneefit,	বিনিফিট,	বেনিফিট,	
sahazlabhbhata,	সহজলভতা,	সহজলভ্যতা,	
rivishhan,	রিভিশন,	রিভিশন,	
sahosikotaa,	সাহসিকতা,	সাহসিকতা,	
janosomabesh,	জনসমেশ,	জনসমাবেশ,	
lawer,	লাভার,	লোয়ার,	
cadorer,	কাররের,	চাদরের,	
amezey,	আমেজে,	আমেজে,	
madrasati,	মদ্রাসতি,	মাদ্রাসাটি,	
thaaba,	থাবা,	থাবা,	
baraaker,	বারাকের,	বারাকের,	
saubhagyobashato,	সৌভাগ্যবাশত,	সৌভাগ্যবশত,	
phaaram,	ফারাম,	ফর্ম,	
recarded,	রেকার্ডেড,	রেকর্ডেড,	
kole,	কোলে,	কলে,	
visheshagya,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
danga,	ডাঙা,	দাঙ্গা,	
nagalande,	নাগালান্ডে,	নাগাল্যান্ডে,	
prozonme,	প্রজন্মে,	প্রজন্মে,	
chhilona,	ছিলনা,	ছিলোনা,	
barmudaar,	বর্মুডার,	বারমুডার,	
madras,	মাদরাস,	মাদ্রাজ,	
nirosh,	নিরস,	নিরস,	
ssahosikota,	সাহসিকতা,	সাহসিকতা,	
bhatao,	ভাটাও,	ভাতাও,	
nodiyo,	নোডিও,	নদীও,	
danish,	দানিশ,	ডেনিশ,	
ahnafer,	আহনাফের,	আহনাফের,	
jugmabhabe,	যুগ্মভাবে,	যুগ্মভাবে,	
jonosanjoger,	জনসনগের,	জনসংযোগের,	
torunnasthee,	তরুন্বাস্থী,	তরুণাস্থি,	
shomraatke,	সমরাতকে,	সম্রাটকে,	
cholochchitroo,	চলচচিত্র,	চলচ্চিত্রও,	
haiben,	হাইবেন,	হইবেন,	
dhhal,	ঢল,	ঢাল,	
delibharee,	ডেলিভারি,	ডেলিভারি,	
chowdhory,	চৌধরী,	চৌধরী,	
delibhery,	ডেলিভারি,	ডেলিভারি,	
kyatagari,	ক্যাটাগারি,	ক্যাটাগরি,	
mistota,	মিষ্তটা,	মিষ্টতা,	
spoqen,	স্পোকেন,	স্পোকেন,	
byaataar,	ব্যাটার,	বেটার,	
shashto,	শষ্ত,	ষষ্ট,	
konversion,	কনভারসন,	কনভার্সন,	
baarmudar,	বারমুদার,	বারমুডার,	
laasith,	লাসিঠ,	লাসিথ,	
ranotareer,	রানতারীর,	রণতরীর,	
luij,	লুজ,	লুইজ,	
fiis,	ফিশ,	ফিস,	
jatharthota,	যথররথা,	যথার্থতা,	
kramohrasoman,	ক্রমোহ্রসমান,	ক্রমহ্রাসমান,	
moshzidtite,	মশজিদটিতে,	মসজিদটিতে,	
fakharey,	ফাখারে,	ফখরে,	
udbodhan,	উদ্বোধন,	উদ্বোধন,	
aachhi,	আছি,	আছি,	
luggage,	লাগগেজে,	লাগেজ,	
thhoomree,	থুমরি,	ঠুমরী,	
pothchinno,	পথচিন্ন,	পথচিহ্ন,	
lpg,	এলজিএ,	এলপিজি,	
shunne,	শানে,	শুন্যে,	
ashongkito,	আসংকিত,	আশঙ্কিত,	
abhidhane,	অভিধানে,	অভিধানে,	
gabhaaskarer,	গভাস্কারের,	গাভাস্কারের,	
aporimito,	অপরিমিত,	অপরিমিত,	
bisorgo,	বিসর্গ,	বিসর্গ,	
dudharoner,	দুধারণের,	দুধরনের,	
prokolper,	প্রকল্পের,	প্রকল্পের,	
kaashi,	কাশি,	কাসি,	
oncholyi,	অঞ্চলী,	অঞ্চলই,	
beekale,	বিকালে,	বিকালে,	
soojit,	সুজিত,	সুজিত,	
saalim,	সালিম,	সালিম,	
nilphamari,	নিলফামারী,	নীলফামারী,	
latarii,	লতারী,	লটারী,	
khunike,	খুনিকে,	খুনিকে,	
bahirabaran,	বহিরাবরণ,	বহিরাবরণ,	
sommot,	সমমত,	সম্মত,	
ohangkari,	ওহাংকারী,	অহংকারী,	
indraprastha,	ইন্দ্রাপ্রস্থ,	ইন্দ্রপ্রস্থ,	
ontoo,	অন্তু,	অন্তু,	
khamotadhor,	ক্ষমতাধর,	ক্ষমতাধর,	
bangkar,	বাংকার,	বাংকার,	
rimi,	রিমি,	রিমি,	
sansthasamuher,	সংস্থাসমূহের,	সংস্থাসমূহের,	
kodoma,	কোদমা,	কদমা,	
qarma,	কারমম,	কর্মা,	
saphalye,	সাফলে,	সাফল্যে,	
jaintapoore,	জৈন্তাপুরে,	জৈন্তাপুর,	
somapti,	সমাপটি,	সমাপ্তি,	
bosobassroto,	বসবাস্রত,	বসবাসরত,	
nodi,	নদী,	নদী,	
tarunder,	তারুন্দের,	তরুনদের,	
nirabodhi,	নিরাবধী,	নিরবধি,	
prokashanar,	প্রকাশনার,	প্রকাশনার,	
badhley,	বাঁধলে,	বাধলে,	
rajtantrer,	রাজতন্ত্রের,	রাজতন্ত্রের,	
otoked,	ওতোকেদ,	অটোক্যাড,	
tapoor,	তাপুর,	তপুর,	
harculis,	হার্কুলিস,	হারকিউলিস,	
choor,	চুর,	চুর,	
kormokandoi,	কর্মকান্ডই,	কর্মকাণ্ডই,	
est,	এস্ট,	ইস্ট,	
ovinito,	অভিনিত,	অভিনীত,	
khamotashin,	ক্ষমতাশীন,	ক্ষমতাসীন,	
governor,	গভর্নর,	গভর্ণর,	
sarkas,	সর্কাস,	সার্কাস,	
selima,	সেলিম,	সেলিমা,	
bhorke,	ভোরকে,	ভরকে,	
deobonder,	দিববেনদের,	দেওবন্দের,	
sunishchit,	সুনিশ্চিত,	সুনিশ্চিত,	
unesco,	ইউনেস্কো,	ইউনেসকো,	
hostantorer,	হস্তান্তরের,	হস্তান্তরের,	
kkundo,	কুন্ড,	কুন্ড,	
shunchalo,	শুন্চল,	সূঁচালো,	
galilee,	গ্যালিলি,	গালিলি,	
bourjeois,	বোর্জিজ,	বুর্জোয়া,	
alexanderer,	আলেক্সান্ডারের,	আলেকজান্ডারের,	
elkoholer,	এলকোহলের,	এলকোহলের,	
stationary,	স্টেশনারী,	স্টেশনারি,	
mongla,	মংলা,	মোংলা,	
nairajyer,	নৈরাজ্যের,	নৈরাজ্যের,	
kasi,	কাশি,	কাসি,	
hajore,	হজরে,	হাজরে,	
sahakarir,	সহকারির,	সহকারীর,	
quqri,	কুকরি,	কুকরী,	
chopola,	চোপলা,	চপলা,	
onyotro,	অন্যত্র,	অন্যত্র,	
maraphi,	মরফাফি,	মারফি,	
proteemagulo,	প্রতিমাগুলো,	প্রতিমাগুলো,	
narsarite,	নার্সারীতে,	নার্সারিতে,	
songsthasomuher,	সংস্থাসমূহের,	সংস্থাসমূহের,	
phlem,	ফ্লেম,	ফ্লাইং,	
processore,	প্রসেসরের,	প্রসেসরে,	
shunye,	শুন্যে,	শুন্যে,	
fuds,	ফাডস,	ফুডস,	
kobjir,	কবজির,	কবজির,	
timurer,	তিমুরের,	তিমুরের,	
shusan,	শুশন,	সুসান,	
administrason,	আডমিনিস্ট্রাসন,	অ্যাডমিনিস্ট্রেশন,	
nijamul,	নিজামুল,	নিজামুল,	
prokolposomuho,	প্রকল্পসমূহ,	প্রকল্পসমূহ,	
sarkaas,	সর্কাস,	সার্কাস,	
besirbhager,	বেশিরভাগের,	বেশিরভাগের,	
naaholey,	নাহলে,	নাহলে,	
korm,	কর্ম,	কর্ম,	
charbhadrasan,	চার্ভদ্রাসন,	চরভদ্রাসন,	
uponibesbad,	উপনিবেশবাদ,	উপনিবেশবাদ,	
kaantaar,	কানতার,	কান্তার,	
elaakaagulote,	এলাকাগুলোতে,	এলাকাগুলোতে,	
hrosho,	হ্রশ,	হ্রস্ব,	
jonsonke,	জনসনকে,	জনসনকে,	
kongsho,	কংস,	কংশ,	
kolajena,	কোলজেন,	কোলাজেন,	
veta,	ভেতা,	ভেটো,	
jilanir,	জিলানির,	জিলানীর,	
officergon,	অফিসারগান,	অফিসারগণ,	
nirmomtomo,	নির্মমতম,	নির্মমতম,	
write,	ভ্রাইট,	রাইট,	
mahashunno,	মহাসন্ন,	মহাশূন্য,	
attabasyok,	আত্মবাশ্যক,	অত্যাবশ্যক,	
deegit,	ডিজিত,	ডিজিট,	
ciphar,	সিফার,	সাইফার,	
zaana,	জানা,	জানা,	
seekkhokotar,	শিক্ষকতার,	শিক্ষকতার,	
pipala,	পিপাল,	পিপল,	
choddo,	ছদ্ম,	চোদ্দ,	
byadamintan,	ব্যাডামিন্টন,	ব্যাডমিন্টন,	
nadigulor,	নাদিগুলোর,	নদীগুলোর,	
baraker,	বারাকের,	বারাকের,	
gethika,	গেথিকা,	গথিক,	
makhmoler,	মাখমলের,	মখমলের,	
kasee,	কাশী,	কাসি,	
turkir,	টার্কির,	তুর্কির,	
thekeche,	তেকেছে,	থেকেছে,	
uponishadey,	উপনিশাদে,	উপনিষদে,	
rupi,	রুপি,	রূপী,	
takhankaar,	তখখার,	তখনকার,	
dembakreetir,	ডিম্বাকৃতির,	ডিম্বাকৃতির,	
bekim,	বেকিং,	বেকিং,	
omorotto,	অমরত্ব,	অমরত্ব,	
dorgaaher,	দরগাহের,	দরগাহের,	
duhate,	দুহাতে,	দুহাতে,	
shuntki,	শান্তকি,	শুঁটকি,	
sangaskarane,	সংস্করণে,	সংস্করনে,	
kkaramot,	কারামত,	কারামত,	
prakalpasamuha,	প্রকল্পসমূহ,	প্রকল্পসমূহ,	
prakalpakey,	প্রকল্পকে,	প্রকল্পকে,	
chalochchitrogulo,	চলচ্চিত্রগুলো,	চলচ্চিত্রগুলো,	
esechilo,	এসেছিল,	এসেছিলো,	
chaushatti,	চৌষত্টি,	চৌষট্টি,	
birshreshtho,	বিরশ্ষেষ্ঠ,	বীরশ্রেষ্ঠ,	
stema,	স্টেম,	স্টেম,	
turkyir,	টার্কির,	তুর্কির,	
byaboharkarider,	ব্যবহারকারীদের,	ব্যবহারকারীদের,	
ontu,	অন্তু,	অন্তু,	
praseesara,	প্রসেসর,	প্রসেসর,	
kirtir,	কীরতির,	কীর্তির,	
hajaribage,	হজরিবাগে,	হাজারীবাগে,	
samotal,	সমতাল,	সমতল,	
eqa,	এক,	একা,	
protizogiitake,	প্রতিযোগিতাকে,	প্রতিযোগীকে,	
jacky,	জাকি,	জ্যাকি,	
goona,	গুণা,	গোনা,	
jhunkchen,	ঝুঁকছেন,	ঝুঁকছেন,	
goshthider,	গোষ্ঠীদের,	গোষ্ঠীদের,	
blogar,	ব্লগার,	ব্লগার,	
moushume,	মৌশুমে,	মৌসুমে,	
circusey,	সার্কাসে,	সার্কাসে,	
morell,	মরেল,	মোরেল,	
hookna,	হোকনা,	হোকনা,	
magneesium,	মগ্নিসিয়াম,	ম্যাগনেসিয়াম,	
chomoskir,	চমস্কির,	চমস্কির,	
naasirer,	নাসিরের,	নাসিরের,	
libaral,	লিবারেল,	লিবারাল,	
kulungi,	কুলুঙ্গি,	কুলুঙ্গি,	
jem,	জেএম,	জেম,	
laan,	লান,	লোন,	
bouddhik,	বৌদ্ধিক,	বৌদ্ধিক,	
prokolpotir,	প্রকল্পতির,	প্রকল্পটির,	
probeshpather,	প্রবেশপথের,	প্রবেশপথের,	
knawledge,	নাউলজে,	নলেজ,	
ranotory,	রানতরী,	রণতরী,	
motamoter,	মতামতের,	মতামতের,	
panja,	পাঁজা,	পাঞ্জা,	
tray,	ট্রাই,	ট্রে,	
satarkatamulok,	সতর্কতামূলক,	সতর্কতামূলক,	
shikshabyabasthar,	শিক্ষাব্যবস্থার,	শিক্ষাব্যবস্থার,	
somazsebamulok,	সমাজসেবূলক,	সমাজসেবামূলক,	
bilate,	বিলাতে,	বিলাতে,	
thisisa,	থিসিস,	থিসিস,	
aarthar,	অর্থার,	আর্থার,	
sorju,	সর্জু,	সরযূ,	
koushalgatobhaabe,	কৌশলগতভাবে,	কৌশলগতভাবে,	
magon,	মাগন,	মাগন,	
peyu,	পেয়ু,	পিউ,	
otyabassyak,	অত্যবাশ্যক,	অত্যাবশ্যক,	
saathygan,	সাথগাযান,	সাথীগণ,	
nirbaaher,	নির্বাহের,	নির্বাহের,	
virodhdhey,	বিরোধ্যে,	বিরোদ্ধে,	
troopce,	ট্রুপস,	ট্রুপস,	
prochestatei,	প্রচেষ্টাতেই,	প্রচেষ্টাতেই,	
hotthat,	হতাহাট,	হঠাৎ,	
jonaal,	জোনাল,	জোনাল,	
jestho,	জেষ্ঠ্য,	জ্যেষ্ঠ,	
annarao,	অন্যরাও,	অন্যরাও,	
drissoo,	দৃশ্যু,	দৃশ্যও,	
hazaro,	হাজারো,	হাজারো,	
ouddhotto,	উদ্ধত্ব,	ঔদ্ধত্য,	
bishwaashshti,	বিশ্বাস্তি,	বিশ্বাসটি,	
kommar,	কমার,	কমার,	
folik,	ফলিক,	ফলিক,	
kanoon,	কানুন,	কানুন,	
hajari,	হাজারী,	হাজারি,	
chaalee,	চালি,	চালি,	
amorotwa,	আমরত্বা,	অমরত্ব,	
shari,	শারি,	শারি,	
gazi,	গাজী,	গাজি,	
roi,	রো,	রই,	
chaturdash,	চতুর্দাস,	চতুর্দশ,	
choudhurysoho,	চৌধুরিসহ,	চৌধুরীসহ,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীর,	
grameen,	গ্রামেন,	গ্রামীন,	
shahana,	শাহানা,	শাহানা,	
adityanath,	আদিত্যনাথ,	আদিত্যনাথ,	
kome,	কমে,	কমে,	
uthhechhilo,	উঠেছিলো,	উঠেছিলো,	
rager,	রাগের,	রাগের,	
palestine,	প্যালেস্টাইন,	প্যালেস্টাইন,	
dhandhar,	ধাঁধার,	ধাঁধার,	
chuqri,	চুকরি,	কুকরী,	
lifaleta,	লিফলেট,	লিফলেট,	
second,	সেকন্ড,	সেকেন্ড,	
samabeshey,	সমবেশে,	সমাবেশে,	
karer,	কারের,	কারের,	
jolronge,	জলরে,	জলরঙে,	
granthaguly,	গ্রন্থগুলি,	গ্রন্থগুলি,	
blazar,	ব্লাজার,	ব্লেজার,	
tagidey,	তাজিদে,	তাগিদে,	
pepshii,	পেপসি,	পেপসি,	
phals,	ফলস,	ফলস,	
oitijhyagato,	ঐতিহ্যগত,	ঐতিহ্যগত,	
bojhaate,	বোঝাতে,	বোঝাতে,	
karlela,	কার্লেল,	কার্লাইল,	
lokhindar,	লোখিন্দার,	লখিন্দর,	
jalrange,	জলরে,	জলরঙে,	
karotir,	কারতির,	করোটির,	
jaker,	যাকের,	জাকের,	
ooinslet,	উইনসলেট,	উইন্সলেট,	
knovledge,	নভলজেজ,	নলেজ,	
mmeloborrn,	মেলবর্ন,	মেলবোর্ন,	
somomona,	সমমনা,	সমমনা,	
ilekashhana,	ইলেকশন,	ইলেকশন,	
irane,	আরানে,	ইরানে,	
soone,	শুনে,	শুন্যে,	
nodipoth,	নদীপথ,	নদীপথ,	
ojontar,	অযন্তার,	অজন্তার,	
farsi,	ফার্সি,	ফার্সী,	
hither,	হিথের,	হিদার,	
nirapekkhovabe,	নিরপেক্ষভাবে,	নিরপেক্ষভাবে,	
facalty,	ফ্যাকটি,	ফ্যাকাল্টি,	
eidh,	এইধ,	ইদ,	
mitrara,	মিট্রার,	মিত্ররা,	
songkalon,	সংকালন,	সংকলন,	
shaltha,	সালথা,	সালথা,	
mazar,	মজার,	মাযার,	
raama,	রামা,	রামা,	
ashlil,	আসলিল,	অশ্লীল,	
gavaskarer,	গভাস্কারের,	গাভাস্কারের,	
kromer,	ক্রমের,	ক্রমের,	
tedi,	টেডি,	টেডি,	
qaffir,	কফির,	কাফের,	
ekokvabey,	এককভাবে,	এককভাবে,	
acid,	এসিড,	অ্যাসিড,	
bondhya,	বন্ধ্যা,	বন্ধ্যা,	
harrishon,	হ্যারিশন,	হ্যারিসন,	
inadeqsa,	ইনাডেক্স,	ইনডেক্স,	
fals,	ফলস,	ফলস,	
niyana,	নিয়ন,	নিয়ন,	
nates,	নাটেস,	নোটস,	
folti,	ফলটি,	ফলটি,	
rukhte,	রুখতে,	রুখতে,	
not,	নোট,	নোট,	
serge,	সার্জে,	সার্জ,	
abhinetader,	অভিনেতদের,	অভিনেতাদের,	
songkeertan,	সংকীর্তন,	সংকীর্তন,	
oikanteek,	ঐকান্তিক,	ঐকান্তিক,	
vaabnao,	ভাবনাও,	ভাবনাও,	
torups,	তরাপ,	ট্রুপস,	
lavk,	লাখক,	লক,	
beyin,	বেইন,	বেইন,	
ovidhan,	অবিধান,	অভিধান,	
kumbha,	কুম্ভা,	কুম্ভ,	
denish,	ডেনিশ,	ডেনিশ,	
bushtara,	বুস্টার,	বুস্টার,	
asseet,	আসেট,	অ্যাসেট,	
jemasha,	জেমস,	জেমস,	
eshechhilo,	এসেছিল,	এসেছিলো,	
goshthigulor,	গোষ্ঠিগুলোর,	গোষ্ঠীগুলোর,	
kodar,	কোদার,	কদর,	
decca,	ডেকা,	ডেকা,	
sikkhokotar,	শিক্ষকতার,	শিক্ষকতার,	
vabun,	ভবুন,	ভাবুন,	
muhammader,	মুহামমমের,	মুহাম্মদের,	
sasta,	সস্ত,	সস্তা,	
moronpon,	মরোনপন,	মরণপণ,	
juktarashtrake,	যুক্তরাস্ট্রকে,	যুক্তরাষ্ট্রকে,	
asifer,	আসিফের,	আসিফের,	
dnar,	ডার,	ডিএনএর,	
asleelotar,	অসলিলতার,	অশ্লীলতার,	
vriting,	ভ্রিটিং,	রাইটিং,	
niyan,	নিয়ন,	নিয়ন,	
udbignata,	উদ্বিজ্ঞতা,	উদ্বিগ্নতা,	
nadiir,	নাদীর,	নদীর,	
amerikate,	অ্যামেরিকাটে,	আমেরিকাতে,	
mohashunyer,	মহাসন্নের,	মহাশূন্যের,	
novojaner,	নভোজনের,	নভোযানের,	
pokser,	পক্ষের,	পক্ষের,	
kongso,	কংস,	কংশ,	
shyandel,	স্যান্ডেল,	স্যান্ডেল,	
wadaen,	ভাডেন,	ওয়ার্ডেন,	
pikasor,	পিকাশোর,	পিকাসোর,	
piie,	পিএ,	পাই,	
mozoot,	মজুত,	মজুত,	
moti,	মতি,	মতই,	
ranakshetrey,	রণক্ষেত্রে,	রণক্ষেত্রে,	
shikshake,	শিক্ষাকে,	শিক্ষাকে,	
holdins,	হলদিন্স,	হোল্ডিংস,	
gein,	গেইন,	গেন,	
ghumachchen,	ঘুমাছ্ছেন,	ঘুমাচ্ছেন,	
saif,	সাইফ,	সাইফ,	
fiberer,	ফিবারের,	ফাইবারের,	
amar,	আমার,	অমর,	
kirup,	কিরুপ,	কীরূপ,	
heelite,	হিলিতে,	হিলিতে,	
gunphol,	গুণফল,	গুণফল,	
nadnadi,	নদনাদি,	নদনদী,	
gombheera,	গম্ভীরা,	গম্ভীরা,	
dokaandarder,	দোকান্দারদের,	দোকানদারদের,	
terorijm,	টেরোরিজ্ম,	টেররিজম,	
elaakasomuho,	এলাকাসমূহ,	এলাকাসমূহ,	
gonobiddhongsi,	গণবিদ্ধাংশী,	গণবিধ্বংসী,	
highcommissioner,	হাইকমিশনের,	হাইকমিশনার,	
kotiryo,	কতিরও,	কোটিরও,	
konaar,	কোনার,	কোনার,	
adityonath,	আদিত্যনাথ,	আদিত্যনাথ,	
balteyo,	বালতেও,	বলতেও,	
ponjika,	পঞ্জিকা,	পঞ্জিকা,	
zang,	জাং,	জং,	
noukabaich,	নৌকাবাইচ,	নৌকাবাইচ,	
tafsirey,	তাসসারে,	তাফসীরে,	
swalpota,	স্বলপতা,	স্বল্পতা,	
bhlazar,	ভ্লাজার,	ব্লেজার,	
proshthe,	প্রস্থে,	প্রস্থে,	
charge,	চার্গে,	চার্জ,	
foloker,	ফলকের,	ফলকের,	
dilo,	দিলো,	দিল,	
premara,	প্রেমার,	প্রাইমার,	
koraan,	করান,	করান,	
storyer,	স্তরের,	স্টোরির,	
downey,	ডানে,	ডাউনি,	
lasta,	লস্ত,	লাস্ট,	
prokalpagulir,	প্রকল্পগালির,	প্রকল্পগুলির,	
mudeer,	মুদির,	মুদীর,	
shilbharer,	সিলভারের,	সিলভারের,	
diner,	দিনের,	ডিনের,	
batikromo,	বাতিক্রম,	ব্যতিক্রমও,	
manisha,	মনিশ,	মণীষা,	
barshik,	বার্ষিক,	বার্ষিক,	
utsabe,	উৎসবে,	উত্সবে,	
mortareer,	মর্তারীর,	মর্টারের,	
deliwery,	ডেলিভারি,	ডেলিভারি,	
atra,	আত্রা,	অত্র,	
monusyo,	মনুষ্য,	মনুষ্য,	
ayashida,	অ্যাশিড,	অ্যাসিড,	
gomtee,	গমটি,	গোমতি,	
hizrir,	হিজরির,	হিজরীর,	
zointa,	জৈনতা,	জৈন্তা,	
monju,	মঞ্জু,	মঞ্জু,	
mailastana,	মাইলস্টন,	মাইলস্টোন,	
mukherjir,	মুখার্জির,	মুখার্জীর,	
bhaaike,	ভাইকে,	ভাইকে,	
byahato,	ব্যাহত,	ব্যহত,	
shilaidaha,	সিলাইদহ,	শিলাইদহ,	
sangasthake,	সংস্থাকে,	সংস্থাকে,	
pratimagulo,	প্রতিমাগুলো,	প্রতিমাগুলো,	
cipher,	সাফের,	সাইফার,	
chalochchitre,	চলচিতিত্রে,	চলচ্চিত্রে,	
dhormeero,	ধর্মিরও,	ধর্মীও,	
sainyao,	সৈন্য,	সৈন্যও,	
teentiyo,	তেনটিও,	তিনটিও,	
chaiteer,	চাইটির,	চৈতির,	
onnkit,	অংকিত,	অঙ্কিত,	
amni,	আমনি,	অমনি,	
pungas,	পাঙ্গাস,	পাঙ্গাস,	
abasarvata,	আবসর্ভতা,	অবসরভাতা,	
paatholojii,	পাথলজী,	প্যাথলজি,	
somotole,	সমতলে,	সমতলে,	
braujare,	ব্রাজারে,	ব্রাউজারে,	
natara,	নাটার,	নেতারা,	
manohpooto,	মনোপপুত,	মনঃপূত,	
