santoshe,	সান্ত্ষে,	সন্তোষে,	
smarak,	স্মরাক,	স্মারক,	
sheekar,	স্বীকার,	শিকার,	
naarsaari,	নার্সারী,	নার্সারি,	
olpo,	অল্প,	অল্প,	
bhagini,	ভাগিনী,	ভগিনী,	
sabchey,	সবছে,	সবচে,	
paltechey,	পালটেছে,	পাল্টেছে,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
oojbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
taresa,	তোরেস,	টেরেসা,	
hepara,	হাইপার,	হাইপার,	
madaspushto,	মদদ্পপ্ট,	মদদপুষ্ট,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
elakatir,	এলাকতির,	এলাকাটির,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
shansthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
myakbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
moshzidke,	মস্জিদকে,	মসজিদকে,	
joubanbati,	যৌবনবতী,	যৌবনবতী,	
teempaleeta,	টিম্পালেট,	টেম্পলেট,	
bosben,	বসবেন,	বসবেন,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
idipasha,	ইডিপশ,	ইডিপাস,	
madla,	মদলা,	মাদলা,	
debholopar,	ডেভলপার,	ডেভলপার,	
ibhil,	ইভিল,	ইভিল,	
wedanta,	উদান্ত,	বেদান্ত,	
asantosh,	অস্ন্তস,	অসন্তোষ,	
muhmmoder,	মুহ্মদের,	মুহম্মদের,	
chenza,	চেঞ্জা,	চেঞ্জ,	
bharpur,	ভারপুর,	ভরপুর,	
coode,	কোড,	কোড,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
carzer,	কার্যের,	চার্জের,	
kode,	কোডে,	কোডে,	
gronthotyke,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
hundai,	হানডে,	হুন্দাই,	
ajeem,	আজিম,	আজিম,	
utkhat,	উৎখ্ত,	উত্খাত,	
satarka,	সতার্ক,	সতর্ক,	
jwar,	জ্বার,	জ্বর,	
minishtarer,	মিনিস্টরের,	মিনিস্টারের,	
kada,	কাদ,	কোড,	
stonehenge,	স্টোনেহেঞ্গ,	স্টোনহেঞ্জ,	
saseza,	সাজজ,	সসেজ,	
manab,	মানাব,	মানব,	
dovaar,	ডভার,	ডোভার,	
bosturyi,	বস্তুরই,	বস্তুরই,	
pholo,	ফলও,	পোলো,	
pleeto,	প্লেত,	প্লেটো,	
akar,	আকর,	একার,	
ibhila,	ইভিল,	ইভিল,	
nodnadeer,	নদ্নদীর,	নদনদীর,	
gonesh,	গণেশ,	গণেশ,	
sotorkokari,	সতরককারী,	সতর্ককারী,	
lokshero,	লক্ষ্রেও,	লক্ষেরও,	
dharabahikbhabey,	ধারাবাকিকভাবে,	ধারাবাহিকভাবে,	
pustio,	পুষ্তিও,	পুষ্টি,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
shuperheiro,	সুপারইার,	সুপারহিরো,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
tinbhager,	তিনভাগের,	তিনভাগের,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
abosaney,	অবসনে,	অবসানে,	
shkalashtika,	স্কল্যস্টিক,	স্কলাস্টিক,	
jerakam,	যেরকম,	যেরকম,	
shikare,	শ্বীকারে,	শিকারে,	
sthapanagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
thetcher,	থেচের,	থ্যাচার,	
abortey,	আবর্তে,	আবর্তে,	
bharatey,	ভারতে,	ভারতে,	
august,	আগস্ট,	আগষ্ট,	
pradeep,	প্রাদিপ,	প্রদীপ,	
sainyo,	সৈন্য,	সৈন্য,	
lecense,	লিসেন্সে,	লাইসেন্স,	
ganana,	গানা,	গণনা,	
modeley,	মোডেলে,	মডেলে,	
shomser,	শমসের,	সমশের,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
routine,	রাউটিন,	রুটিন,	
daaktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
kram,	ক্রম,	ক্রম,	
hajareebag,	হজারীবাগ,	হাজারিবাগ,	
windo,	উইন্ডো,	উইন্ডো,	
porishkaran,	পরিষ্কাণণ,	পরিষ্করণ,	
faase,	ফাঁসে,	ফাঁসে,	
kaantojir,	কান্তজীর,	কান্তজির,	
cheere,	চীরে,	চিরে,	
annarup,	অন্যরূপ,	অন্যরূপ,	
trup,	ট্রুপ,	ট্রুপ,	
tyap,	ট্যাপ,	ট্যাপ,	
basano,	বাসানো,	বসানো,	
karu,	কারু,	কারু,	
uponeesoder,	উপনিশ্দের,	উপনিষদের,	
santaa,	সানতা,	সান্তা,	
codeti,	কডেটি,	কোডটি,	
aqramer,	আক্রমের,	আকরামের,	
ateeteo,	আতিতেও,	অতীতেও,	
shrishri,	শ্রীশ্রি,	শ্রীশ্রী,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
sofi,	সফি,	সোফি,	
chal,	চল,	চাল,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
grameroi,	গ্রামেরই,	গ্রামেরই,	
aarcia,	আর্সিয়া,	আরসিএ,	
chalachchitroke,	চলচিত্রক্রে,	চলচ্চিত্রকে,	
ministara,	মিনিস্টর,	মিনিস্টার,	
alaoul,	আলাউল,	আলাওল,	
gabeshona,	গবেষণা,	গবেষনা,	
masjidsaha,	মাজিদদহ,	মসজিদসহ,	
doorotomo,	দূরতম,	দূরতম,	
abarta,	আবার্ত,	আবর্ত,	
allah,	আল্লাহ,	আল্লাহ্,	
pannee,	পাননি,	পন্নী,	
pacchi,	পাচচি,	পাচ্ছি,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
harbor,	হারবর,	হারবার,	
shaamiijiir,	স্বামীজির,	স্বামীজীর,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
chaanu,	চানু,	চানু,	
chhathke,	ছাঁকে,	ছাতকে,	
naubom,	নবম,	নবম,	
songostha,	সংগ্ষ্ঠ,	সংস্থা,	
sobche,	সবছে,	সবচে,	
patjato,	পাতজাত,	পাটজাত,	
antorvuktimulak,	অন্তর্ভুক্তিকূল,	অন্তর্ভুক্তিমূলক,	
jackson,	জ্যাকসন,	জ্যাকসন,	
ekpaashe,	একপাশে,	একপাশে,	
obhigomon,	অভিগমন,	অভিগমন,	
shringe,	শ্রীঞ্গ,	শৃঙ্গে,	
uporitol,	উপরিতল,	উপরিতল,	
vittiow,	ভিত্তিও,	ভিত্তিও,	
charrjito,	চার্জিত,	চার্জিত,	
planey,	প্লেনে,	প্লেনে,	
sofir,	সফীর,	সোফির,	
phareeksa,	ফরেক্স,	ফরেক্স,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
ganochin,	গণোচিন,	গণচীন,	
patengar,	পটেন্গার,	পতেঙ্গার,	
blacq,	ব্লক,	ব্ল্যাক,	
soteciety,	সটেসিটি,	সোসাইটিতে,	
konflikt,	কোফলিক্ট,	কনফ্লিক্ট,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
sikh,	শিখ,	শিখ,	
pashan,	পাশন,	পাষাণ,	
upobaasher,	উপবাসের,	উপবাসের,	
dayitwa,	দৈত্য্ব,	দায়িত্ব,	
bosobben,	বসবেন,	বসবেন,	
bhadaka,	ভাদাক,	ভদকা,	
pachtar,	পাঁচটার,	পাঁচটার,	
roktokkoron,	রক্তককরণ,	রক্তক্ষরণের,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
joubanboti,	যৌববনতি,	যৌবনবতী,	
bhortuki,	ভর্তুকী,	ভর্তুকি,	
samanwitobhabe,	সমান্নিতভাবে,	সমন্বিতভাবে,	
breil,	ব্রেইল,	ব্রেইল,	
pallar,	পোলার,	পাল্লার,	
saatzoner,	সাতজনের,	সাতজনের,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
ddhila,	ঢিলা,	ঢিলা,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
naditir,	নদীতির,	নদীটির,	
ebham,	ইভাম,	ইভিএম,	
bongshokey,	বংশকে,	বংশকে,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
scall,	স্কল,	এসকল,	
tiunara,	টিউনার,	টিউনার,	
iyanki,	ইয়াংকি,	ইয়াংকি,	
kharaar,	খরার,	খরার,	
faster,	ফাস্টার,	ফস্টার,	
drisser,	দ্রিশের,	দৃশ্যের,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
post,	পোস্ট,	পোষ্ট,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
sothik,	সঠিক,	সঠিক,	
rajan,	রজন,	রাজন,	
zubokti,	যুবক্তি,	যুবকটি,	
jwarer,	জ্বরের,	জ্বরের,	
tiger,	টিগের,	টাইগার,	
bager,	ব্যাগের,	বাগের,	
mmehonoti,	মেহনতি,	মেহনতি,	
bakhyateet,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
homske,	হমস্কে,	হোমসকে,	
machhder,	মাছদের,	মাছদের,	
idaningkale,	ইডানিক্লালে,	ইদানীংকালে,	
prakalpao,	প্রকালপাও,	প্রকল্পও,	
eenasiyeenta,	ইনাসিয়েন্ট,	এনসিয়েন্ট,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
grooth,	গ্রুথ,	গ্রোথ,	
prakalpeo,	প্রকাল্পেও,	প্রকল্পেও,	
angkita,	অংকিত,	অঙ্কিতা,	
grantha,	গ্রন্থা,	গ্রন্থ,	
songbadmadhyamgulote,	সংবাদমাধলোতে,	সংবাদমাধ্যমগুলোতে,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
chidropothe,	চিদ্রপপথে,	ছিদ্রপথে,	
vabnake,	ভাবনাকে,	ভাবনাকে,	
doobhara,	দুভার,	ডোভার,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
machher,	মাছের,	মাছের,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
shaater,	সাতের,	শ্যুটার,	
cholochchitrotike,	চলচ্চিত্রকিকে,	চলচ্চিত্রটিকে,	
phokser,	ফক্সের,	ফক্সের,	
blaker,	ব্লকের,	ব্ল্যাকের,	
norton,	নর্তন,	নর্টন,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
aakkas,	আকাশ,	আককাস,	
jaatte,	জাততে,	জাতটি,	
sorjur,	সর্জুর,	সরযূর,	
saafi,	সফি,	সাফি,	
podarthobidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
debdeby,	দেবদেবী,	দেবদেবী,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
phalah,	ফলল,	ফালাহ,	
nagorikkey,	নাগরিকে,	নাগরিককে,	
juktorashtrasaha,	যুক্তরাস্টর,	যুক্তরাষ্ট্রসহ,	
sabche,	সবছে,	সবচে,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
talaa,	টলা,	তালা,	
shommotir,	সম্মতির,	সম্মতির,	
pronoti,	প্রণতি,	প্রণতি,	
nobotom,	নবতম,	নবতম,	
mashajida,	মশাজিদা,	মসজিদ,	
bhiqtara,	ভিক্টার,	ভিক্টর,	
kaaru,	কারু,	কারু,	
elakatay,	এলাকততে,	এলাকাতে,	
kunntee,	কুন্টি,	কুন্তী,	
janes,	জেনস,	জোন্স,	
mitrao,	মিত্রও,	মিত্রও,	
shajanor,	শজানোর,	সাজানোর,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
sayanaida,	সাইয়াইড,	সায়ানাইড,	
gronthei,	গ্রন্থাই,	গ্রন্থেই,	
madrasa,	মাদরাস,	মাদ্রাসা,	
dosha,	দোষা,	দোসা,	
byabaharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
ghoomato,	ঘুমত,	ঘুমাতো,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
ashankai,	আশংকাই,	আশঙ্কাই,	
jemy,	জেমি,	জেমি,	
hebhi,	হেভি,	হেভি,	
diznee,	ডিজনি,	ডিজনী,	
sumeeta,	সুমিতা,	সুমিতা,	
nondolaal,	নন্দলাল,	নন্দলাল,	
samanyai,	সোমান্যই,	সামান্যই,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
sheo,	সিও,	সেও,	
songrahak,	সংগ্রাহক,	সংগ্রাহক,	
phimela,	ফিমেল,	ফিমেল,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
soorti,	সুর্তি,	সুরটি,	
aansaareer,	আনসারির,	আনসারীর,	
naraphoka,	নারাফোক,	নরফোক,	
brindabaner,	ব্রিদ্বনারের,	বৃন্দাবনের,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
shodhan,	সোধন,	শোধন,	
bhenisha,	ভেনিসা,	ভেনিস,	
haldim,	হাল্ডিং,	হোল্ডিং,	
feroz,	ফেরজ,	ফিরোজ,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
sita,	সীতা,	সিট,	
oncholo,	অঞ্চলও,	অঞ্চলও,	
samanwitabhabe,	সমান্নিতভাবে,	সমন্বিতভাবে,	
grambashee,	গ্রামবাসী,	গ্রামবাসী,	
qaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
gelo,	গেলো,	গেলো,	
elakasoho,	এলাকসহ,	এলাকাসহ,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
hepataitisa,	হাইপাইটিস,	হেপাটাইটিস,	
sqalastiqa,	স্কলাস্টিক,	স্কলাস্টিক,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
ekooghore,	একঘরে,	একঘরে,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
laesens,	লেসেন্স,	লাইসেন্স,	
samabeshke,	সমাবেশকে,	সমাবেশকে,	
oswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
queery,	কুরি,	কোয়েরি,	
matrirup,	মাতিরূপ,	মাতৃরূপ,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
karpeter,	কারপেটের,	কার্পেটে,	
bhenom,	ভেনম,	ভেনম,	
yoneetey,	যোনিতে,	যোনীতে,	
badhano,	বাঁধানো,	বাঁধানো,	
paikgacha,	পাইকগাছা,	পাইকগাছা,	
bikargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
nadnadir,	নাদ্নদির,	নদনদীর,	
tikka,	টিক্য,	টিক্কা,	
kompeeto,	কম্পিত,	কম্পিত,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
venkates,	ওেন্কাটেস,	ভেঙ্কটেশ,	
shelina,	সেলিন,	সেলিনা,	
farid,	ফরিদ,	ফরিদ,	
gonona,	গণনা,	গণনা,	
jakrit,	যকৃত,	যকৃৎ,	
dor,	ডর,	দোর,	
sachetanotamulok,	সভেতানতালূলক,	সচেতনতামূলক,	
dhan,	ধন,	ধ্যান,	
sabhanetri,	সভানত্রী,	সভানেত্রী,	
asociatees,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
addabaaj,	আদ্যাবাজ,	আড্ডাবাজ,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
rajatwa,	রাজত্ব,	রাজত্ব,	
mutar,	মুটার,	মুতার,	
heelser,	হিলসের,	হিলসের,	
songbadmadhyame,	সংবাধমাধ্যমে,	সংবাদমাধ্যমে,	
shikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
oboshore,	অবসরে,	অবসরে,	
devolapar,	ডেভলপার,	ডেভলপার,	
potocheetro,	পতচিত্র,	পটচিত্র,	
shapod,	শাপদ,	শ্বাপদ,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
chotogolpe,	ছটোগল্পে,	ছোটগল্পে,	
foolkopi,	ফুলকোপি,	ফুলকপি,	
poromartho,	পরমার্থ,	পরমার্থ,	
sansthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
metroopoolitan,	মেট্রোপুলিটান,	মেট্রোপলিটন,	
roktokkhorone,	রক্তকক্ষণে,	রক্তক্ষরণে,	
anchaltikey,	অঞ্চলিকে,	অঞ্চলটিকে,	
sonali,	সোনালি,	সোনালী,	
baruklin,	ব্যারুকলিন,	ব্রুকলিন,	
qonflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
bii,	বি,	বি,	
shikshakder,	শিক্ষকদের,	শিক্ষকদের,	
marmader,	মার্মাদের,	মারমাদের,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
engineering,	ইঞ্জিনিং,	ইঞ্জিনিয়ারিং,	
choudhurider,	চৌধুরিদের,	চৌধুরীদের,	
maldava,	মালদ্যাল,	মলদোভা,	
futbolarra,	ফুটবালরা,	ফুটবলাররা,	
alaul,	আলাউল,	আলাওল,	
artharer,	অর্থরের,	আর্থারের,	
uindoo,	উইন্ডু,	উইন্ডো,	
fiksim,	ফিক্সিম,	ফিক্সিং,	
oncholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
abarte,	আবর্তে,	আবর্তে,	
subir,	সুবির,	সুবীর,	
ceramiksh,	কেরামিক্স,	সিরামিকস,	
attaar,	আত্তার,	আত্তার,	
patjata,	পাতজতত,	পাটজাত,	
masto,	ম্যস্ত,	মাস্ত,	
ramantik,	রাম্যান্টিক,	রোমান্টিক,	
gostike,	গোস্টিকে,	গোষ্ঠীকে,	
shhikar,	স্বীকার,	শিকার,	
batikromshalee,	ব্যাতিক্রমালী,	ব্যতিক্রমধর্মী,	
mukharji,	মুখার্জি,	মুখার্জী,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
korecha,	করেছা,	করেছ,	
seguloi,	সেগুলোই,	সেগুলোই,	
arasie,	আরাসি,	আরসিএ,	
premo,	প্রেমো,	প্রিমো,	
panchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
stanahenja,	স্টনাহেঞ্জ,	স্টোনহেঞ্জ,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
noveel,	নোভেল,	নভেল,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারীই,	
otorkeitey,	অতর্কিতে,	অতর্কিতে,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
cherechhe,	চেরেছে,	ছেড়েছে,	
piroojalee,	পিরাজালি,	পিরুজালী,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
bhoolapuka,	ভূলাপুকা,	ভোলাপুক,	
songosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
lobbyte,	লব্বিতে,	লবিতে,	
shorifer,	শরীফের,	শরিফের,	
asociates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
zansa,	জানসা,	জন্স,	
kathhmandu,	কঠমন্দু,	কাঠমান্ডু,	
renoo,	রেনো,	রেনো,	
joubanbatee,	যৌবনবতী,	যৌবনবতী,	
armstrong,	আরম্ট্ট্র,	আর্মস্ট্রং,	
heights,	হাইটস,	হাইটস,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
shepha,	সেফ,	শেফ,	
prodip,	প্রদ্বিপ,	প্রদীপ,	
lendl,	ল্যান্ডল,	লেন্ডল,	
samosto,	সমস্ত্য,	সমস্ত,	
saalsa,	সাল্স,	সালসা,	
sbaajan,	স্বজন,	স্বজন,	
olpoi,	অল্পই,	অল্পই,	
bojhey,	বোঝে,	বোঝে,	
chalachchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
progresh,	প্রোগ্রেস,	প্রগ্রেস,	
kanda,	কান্ড,	কাণ্ড,	
qanasarabheshana,	কনসোরেশন,	কনসারভেশন,	
aashtikotaa,	আস্তিক্ত,	আস্তিকতা,	
conservetion,	কনসারভেন,	কনসারভেশন,	
ancholgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
daqop,	ডাকপ,	দাকোপ,	
seater,	সিটের,	সিটের,	
bosstonto,	বস্ত্তন্ত,	বসন্ত,	
jackey,	জ্যাকি,	জকি,	
sharok,	শ্রক,	স্মারক,	
hitoishi,	হিটাইসি,	হিতৈষী,	
hedje,	হেজ,	হেজ,	
varotey,	ভারতে,	ভারতে,	
jatok,	যতক,	জাতক,	
agomoney,	অগমনে,	আগমনে,	
dikpal,	ডিকপাল,	দিকপাল,	
aholyar,	আহল্যার,	অহল্যার,	
becha,	ব্যাচা,	বেচা,	
manushsaho,	মানুসহহ,	মানুষসহ,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
ojowno,	অজনও,	অযৌন,	
orthonitir,	অর্থনিতির,	অর্থনীতির,	
tophaat,	তফাত,	তফাৎ,	
folok,	ফলক,	ফলক,	
mitrader,	মিত্রাদের,	মিত্রদের,	
prity,	প্রিতি,	প্রিটি,	
plate,	প্লেট,	প্লেট,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
gobeshana,	গবেষণা,	গবেষনা,	
cholochchitreer,	চলচিত্রির,	চলচ্চিত্রের,	
aakkaash,	আক্শাশ,	আককাস,	
eemarjeensi,	এমার্জেন্সি,	এমার্জেন্সি,	
tinhazar,	তিনহাজার,	তিনহাজার,	
okhondota,	অখন্দ্ত,	অখণ্ডতা,	
kreedita,	কৃরিদ,	ক্রেডিট,	
jess,	জেস,	জেস,	
nickeel,	নিকল,	নিকেল,	
pari,	প্যারি,	পেরি,	
okkhor,	অক্ষর,	অক্ষর,	
osamorik,	ওসামরিক,	অসামরিক,	
toubaar,	টাউবার,	তওবার,	
bim,	বিম,	বিম,	
ssahocorzo,	সহচর্য্য,	সাহচর্য,	
dey,	দে,	ডে,	
ragke,	রাগকে,	রাগকে,	
fake,	ফেঁক,	ফাকে,	
beekargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
jotinkey,	জতিনকে,	যতীনকে,	
metropoliton,	মেট্রোপলিটান,	মেট্রোপলিটন,	
sumita,	সুমিতা,	সুমিতা,	
shulkey,	শুলকে,	শুল্কে,	
sikkhakbrinda,	শিক্ষাবৃণ্ড,	শিক্ষকবৃন্দ,	
bibader,	বিবাদের,	বিবাদের,	
sift,	সিফট,	শিফট,	
bipojjonok,	বিপদজ্জনক,	বিপজ্জনক,	
hijrii,	হিজরি,	হিজরী,	
mosjidti,	মসজিদ্ি,	মসজিদটি,	
byabaharkarike,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
gejeteda,	জেজেটাড,	গেজেটেড,	
overview,	ওভার্ভিও,	ওভারভিউ,	
soras,	সরাস,	সরস,	
skyirt,	স্কার্ট,	স্কার্ট,	
sima,	সিমা,	সীমা,	
dinifition,	ডিনিফিশন,	ডেফিনেশন,	
forider,	ফরিদের,	ফরিদের,	
sporsher,	স্পোর্সের,	স্পর্শের,	
ekghorey,	একঘরে,	একঘরে,	
tarasa,	তারাস,	টেরেসা,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
iash,	আয়শ,	আইএএস,	
asar,	আসার,	আসর,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
thatchar,	থাচার,	থ্যাচার,	
porishongkhyanbid,	পরিসংখ্যানিদ,	পরিসংখ্যানবিদ,	
mittrota,	মিত্রতা,	মিত্রতা,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
oorgho,	অর্ঘ,	অর্ঘ্য,	
phixing,	ফাইসিং,	ফিক্সিং,	
nama,	নম,	নমো,	
alexander,	আলেক্সান্ডের,	আলেকজান্ডার,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
iuroo,	ইউরো,	ইউরো,	
heemi,	হিমি,	হিমি,	
shaahocharjo,	সৌহচার্য,	সাহচর্য,	
nischoy,	নিশ্চই,	নিশ্চয়,	
felto,	ফেলতো,	ফেলত,	
lombatey,	লোমবততে,	লম্বাটে,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
qulim,	কুলিং,	কুলিং,	
samajeek,	সামাজিক,	সামাজিক,	
sossar,	সস্বার,	সকার,	
venicey,	ভেনিসে,	ভেনিসে,	
ceramicsh,	কেরামিক্স,	সিরামিকস,	
bandra,	ব্যান্ড্রা,	বন্দীরা,	
kobutorer,	কবুটারের,	কবুতরের,	
booponer,	বুপনের,	বপনের,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
farex,	ফ্যারেক্স,	ফরেক্স,	
uipoka,	উইপক,	উইপোকা,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
yaq,	যক,	ইয়াক,	
concerter,	কনসার্টের,	কানসাটের,	
dajhyo,	দজ্য,	দাহ্য,	
bagdhara,	বাগধারা,	বাগধারা,	
towraat,	টোরাট,	তওরাত,	
teteyer,	টেটের,	টেটের,	
jatee,	জাতি,	যাতি,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
obikol,	অবিকল,	অবিকল,	
kadorer,	কাদরের,	কদরের,	
konphlict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
nirgaman,	নির্গমান,	নির্গমন,	
panchbar,	পাঁচববর,	পাঁচবার,	
sainyasaha,	সৈন্যাসস,	সৈন্যসহ,	
moofti,	মুফতি,	মুফতি,	
chhilona,	ছিলনা,	ছিলনা,	
karlosa,	কার্লস,	কার্লোস,	
direqtareta,	ডিরেক্টের,	ডিরেক্টরেট,	
shomoshto,	সমস্য,	সমস্ত,	
tader,	তাঁদের,	তদের,	
baffer,	বাফফর,	বাফার,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
dovar,	ডোবার,	ডোভার,	
heja,	হেজ,	হেজ,	
jyaqa,	জ্যাক,	জ্যাক,	
suraropeeto,	সুরাপোিত,	সুরারোপিত,	
karecha,	করেছ,	করেছ,	
lutharana,	লুথারন,	লুথেরান,	
depp,	ডিপ,	ডেপ,	
oedipus,	ওদিপাস,	ইডিপাস,	
nabhela,	নাভেল,	নভেল,	
bohoodin,	বহুদিন,	বহুদিন,	
karater,	করাতের,	কারাতের,	
santa,	সানতা,	সান্তা,	
tookoo,	টোকো,	টুকু,	
sangbadmadhyamer,	সংবাধমাধ্যের,	সংবাদমাধ্যমের,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
rifleksa,	রিফেল্কস,	রিফ্লেক্স,	
snaipara,	স্নাপার,	স্নাইপার,	
ase,	আসে,	আসে,	
jesh,	জেস,	জেস,	
onekeryi,	অনেকারই,	অনেকেরই,	
chhidropothe,	চিদ্রপপে,	ছিদ্রপথে,	
