sahosikotar,	সহসিকতার,	সাহসিকতার,	
rajtantro,	রাজাত্ত্র,	রাজতন্ত্র,	
noditei,	নদীতেই,	নদীতেই,	
sinematographar,	সিনিযাটমররে,	সিনেমাটোগ্রাফার,	
danata,	ডানাত,	ডোনাট,	
dearas,	ডিরাস,	ডিআরএস,	
prothati,	প্রথাটি,	প্রথাটি,	
ssumi,	সুমি,	সুমি,	
ganoporibahoner,	গণপরিহানের,	গণপরিবহনের,	
patjato,	পাঁজটা,	পাটজাত,	
elakatir,	এলাকতির,	এলাকাটির,	
ishan,	ইসন,	ঈশান,	
chalabe,	চাবাবে,	চালাবে,	
nodigulo,	নদিগুলো,	নদীগুলো,	
shkarta,	স্কার্ট,	স্কার্ট,	
sattweo,	সাত্যেব,	সত্ত্বেও,	
ester,	এস্টের,	ইস্টার,	
jolatanko,	জলতান্ক,	জলাতঙ্ক,	
oncholke,	অঞচলকে,	অঞ্চলকে,	
kolahol,	কলাহল,	কোলাহল,	
galpokar,	গল্পকার,	গল্পকার,	
codeti,	কোডটি,	কোডটি,	
metroopoolitan,	মেত্রোপিনুত,	মেট্রোপলিটন,	
sangkalaney,	সংকলনে,	সংকলনে,	
bosontokke,	বসন্তককে,	বসন্তকে,	
tatey,	তাটে,	তাতে,	
chhuteete,	ছুটিতে,	ছুটিতে,	
licenser,	লিসেন্সের,	লাইসেন্সের,	
subadey,	সুবাদে,	সুবাদে,	
vobanipur,	ভবনিপূর,	ভবানীপুর,	
bosonte,	বসন্তে,	বসন্তে,	
huge,	হুগে,	হিউজ,	
khagen,	খাগেন,	খগেন,	
pravur,	প্রভূর,	প্রভুর,	
nojder,	নজদের,	নজদের,	
claud,	ক্লোড,	ক্লাউড,	
gejetade,	গেজেতে,	গেজেটেড,	
vabnakey,	ভাবনকে,	ভাবনাকে,	
onkush,	অনশক,	অংকুশ,	
janachhe,	জনচেছে,	জানাচ্ছে,	
romantic,	রোমান্টিক,	রোমান্টিক,	
mahe,	মহে,	মাহে,	
ceema,	সেম,	সীমা,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
somonnitobhabe,	সননমিতভাবে,	সমন্বিতভাবে,	
embaed,	এম্ডেড,	এম্বেড,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
ohong,	অহং,	অহং,	
janosangyog,	জনসঙ্গ্য,	জনসংযোগ,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
jaatti,	যাতটি,	জাতটি,	
vorkendro,	রোণেক্র্র,	ভরকেন্দ্র,	
tersa,	টার্স,	টেরেসা,	
abortey,	আবর্তে,	আবর্তে,	
gojano,	গজনা,	গজানো,	
berubar,	বেরুবর,	বেরুবার,	
eucalyptushh,	ইউএলোক্সিট,	ইউক্যালিপ্টাস,	
shomser,	সম্সের,	সমশের,	
upobasi,	উপবাসী,	উপবাসী,	
chalachchitro,	চলচিচ্ছ্র,	চলচ্চিত্র,	
drishyogulotey,	দৃশ্যুগুতে,	দৃশ্যগুলোতে,	
maladobha,	মালাদাভ,	মলদোভা,	
thimke,	থিমকে,	থিমকে,	
oncoltike,	অনস্লতিকে,	অঞ্চলটিকে,	
recondishon,	রেনশনডিশন,	রিকন্ডিশন,	
sausaje,	সৌসাজে,	সসেজ,	
veenus,	ভিনাস,	ভেনাস,	
suparahira,	সুপারাজীর,	সুপারহিরো,	
kartam,	কার্ম,	করতাম,	
byaasalt,	ব্যাস্ট,	ব্যাসল্ট,	
growth,	গ্রওথ,	গ্রোথ,	
sushri,	সুশির,	সুশ্রী,	
valobasa,	ভালবাসা,	ভালোবাসা,	
ship,	শিপ,	শিপ,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
shudden,	সুড্েন,	সাডেন,	
simaa,	সিমা,	সীমা,	
venuser,	ভিনাসের,	ভেনাসের,	
peri,	পেরি,	পেরি,	
augusteen,	অওয়প্্নি,	অগাস্টিন,	
santa,	সন্তা,	সান্তা,	
netsi,	নেটসি,	নাত্সি,	
qulim,	কুলিং,	কুলিং,	
aembed,	আ্বামেড,	এম্বেড,	
shomsti,	সম্টি,	সমষ্টি,	
voterer,	ভোটের,	ভোটারের,	
nariiderke,	নারিদেরকে,	নারীদেরকে,	
maldava,	মালদভা,	মলদোভা,	
bikaargrasto,	বিকারগার্ট,	বিকারগ্রস্ত,	
polashir,	পলাসীর,	পলাশীর,	
bhaisaho,	ভাইস,	ভাইসহ,	
ashanka,	আশনক্ক,	আশঙ্কা,	
maila,	মেলা,	মাইল,	
mahasabha,	মহাসাভা,	মহাসভা,	
nagorikota,	নাগরিকাত,	নাগরিকতা,	
utkhater,	উৎক্ষতের,	উৎখাতের,	
messenger,	মেসংসের,	মেসেঞ্জার,	
gaddafii,	গদ্াাই,	গাদ্দাফী,	
bu,	বিও,	বু,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
srichoitonnodeb,	শ্রীচনিপনদ্য,	শ্রীচৈতন্যদেব,	
phala,	ফাল,	পোলো,	
ikbaler,	একবলের,	ইকবালের,	
dologuloo,	দলগুলো,	দলগুলোও,	
bite,	বিতে,	বাইট,	
sahoocorzoe,	সাহোপর্যে,	সাহচর্যে,	
dubureer,	দুবুরীর,	ডুবুরির,	
jesha,	জেসা,	জেস,	
manushe,	মানুসে,	মানুষে,	
huka,	হুকা,	হুক,	
tuni,	তুনি,	টুনি,	
dajhya,	দাজ্য,	দাহ্য,	
balabhadra,	বললভাদর,	বলভদ্র,	
daacktickete,	ডাযকটিকেটে,	ডাকটিকিটে,	
laz,	লাজ,	লাজ,	
nationsh,	নাইস্যস,	নেশনস,	
bikretara,	বিক্রেটর,	বিক্রেতারা,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
landey,	লা্্ডে,	ল্যান্ডে,	
debating,	ডেবিটিং,	ডিবেটিং,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
goore,	গুরে,	গোর,	
novell,	নভলয়,	নভেল,	
ponni,	পন্যি,	পন্নী,	
nothivookta,	নথিযুক্ত,	নথিভুক্ত,	
brindo,	ব্রিন্ড,	বৃন্দ,	
mugdho,	মুঘ্ধ,	মুগ্ধ,	
rupa,	রূপা,	রুপা,	
jaatte,	যাত্যে,	জাতটি,	
kanuner,	কাননের,	কানুনের,	
daakteekite,	দাক্িিকতে,	ডাকটিকিটে,	
hola,	হলা,	হোল,	
phern,	ফের্ন,	ফার্ন,	
amiretus,	অমিরিসেট,	এমিরেটাস,	
moshzidke,	মসজিদেকে,	মসজিদকে,	
laagto,	লাগ্ত,	লাগতো,	
stalin,	স্টেিন,	স্টালিন,	
creesceent,	ক্রিস্সেন্ট,	ক্রিসেন্ট,	
jolatongko,	জলানক্্,	জলাতঙ্ক,	
manir,	মনির,	মনির,	
azimkey,	আজিকে,	আজিমকে,	
khatgosher,	খাটসেগের,	খরগোসের,	
alimpika,	আলিমিপিক,	অলিম্পিক,	
restaurant,	রেস্টার্ট,	রেষ্টুরেন্ট,	
ropto,	রপ্ত,	রপ্ত,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
shaajaanor,	সাজানর,	সাজানোর,	
thakey,	থাকে,	থাকে,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
bhaangchoor,	ভাঞাচর,	ভাংচুর,	
ul,	উল,	উল,	
iston,	ইস্টন,	স্টোন,	
jatharthobhabe,	যাথর্থভাবে,	যথার্থভাবে,	
dhan,	ধ্ন,	ধ্যান,	
delibhara,	ডিলিভার,	ডেলিভার,	
arbeet,	অর্বিত,	অরবিট,	
rifleksa,	রিইক্লেস,	রিফ্লেক্স,	
lumbinee,	লুমবিনী,	লুম্বিনী,	
mautke,	মাটকে,	মতকে,	
kurdira,	কুর্দির,	কুর্দিরা,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
astheesandhi,	অস্বিন্ধিধ,	অস্থিসন্ধি,	
ostheesandhi,	অস্বিসন্ধি,	অস্থিসন্ধি,	
nagorikera,	নাগরিকার,	নাগরিকেরা,	
santoshpore,	সন্তপস্রের,	সন্তোষপুর,	
ponera,	পনেরা,	পনের,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
taurat,	তারাট,	তওরাত,	
shikshao,	শিক্ষাও,	শিক্ষাও,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
satthikota,	সাটিকাতা,	সঠিকতা,	
addhattik,	আধ্যাতিক,	আধ্যাত্মিক,	
agamanke,	অমানমাকে,	আগমনকে,	
cho,	চো,	ছোঁ,	
juktarashtrasaha,	জুক্তরস্রাসতা,	যুক্তরাষ্ট্রসহ,	
potochitrer,	পটচ্রতের,	পটচিত্রের,	
probhu,	প্রভু,	প্রভু,	
sikkharrtheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
pacchen,	পাছছেন,	পাচ্ছেন,	
peterkay,	পেটারকে,	পিটারকে,	
hert,	হের্ট,	হার্ট,	
categoryr,	ক্যাটাগোরির,	ক্যাটাগরির,	
conseervation,	কনির্যেশন,	কনসারভেশন,	
torkaryr,	তরকারির,	তরকারীর,	
vageroi,	ভাগেরই,	ভাগেরই,	
parswer,	পারস্বের,	পার্শ্বের,	
brekethru,	ব্রেকেটরর,	ব্রেকথ্রু,	
oitijjo,	ঐতিয্য,	ঐতিহ্য,	
miley,	মিলে,	মিলে,	
kharaar,	খারার,	খরার,	
bilati,	বিলাটি,	বিলাতী,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
nanir,	নানির,	নানীর,	
toruner,	তরুনের,	তরুণের,	
bosontokey,	বসন্তকে,	বসন্তকে,	
allubokhara,	অলুলাবরা,	আলুবোখারা,	
akabar,	অকাবর,	আকাবার,	
danaqana,	ডনকান,	ডানকান,	
nathibhookta,	নথিযুক্ত,	নথিভুক্ত,	
chalachchitreo,	চললচচিত্র,	চলচ্চিত্রেও,	
sukkho,	সুক্ষ,	সুক্ষ্ম,	
naraphooka,	নারুফা,	নরফোক,	
chalkee,	চাকে,	চালকে,	
kana,	কান,	কণা,	
samashti,	সমস্তি,	সমষ্টি,	
annimated,	অনিমেডেট,	এনিমেটেড,	
prothakey,	প্রথাকে,	প্রথাকে,	
slok,	শ্লক,	শ্লোক,	
bhalobasake,	ভালবাসাকে,	ভালোবাসাকে,	
syutara,	স্যাতার,	শ্যুটার,	
hoila,	হইলা,	হইল,	
dhnoka,	ধ্যাকা,	ধোঁকা,	
qarqa,	কার্ক,	কার্ক,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
ajimpur,	আজিমপুর,	আজিমপুর,	
mozart,	মোজার্ট,	মোজার্ট,	
aazaadeer,	আজাদীর,	আজাদীর,	
scare,	স্কারে,	স্কোর,	
potkaa,	পটাকা,	পটকা,	
roialti,	রয়াল্টি,	রয়্যালটি,	
ooporostho,	অপরস্থ,	উপরস্থ,	
romantika,	রোমান্টিক,	রোমান্টিক,	
obiyi,	অবিয়া,	ওবিই,	
antarvuktimulak,	অন্তর্যুকূলিক,	অন্তর্ভুক্তিমূলক,	
inapharameshana,	ইনফরমেনন,	ইনফরমেশন,	
chittronattokar,	চিত্রতন্রকার,	চিত্রনাট্যকার,	
korimke,	করিমকে,	করিমকে,	
musalmanderkey,	মুসলামন্দের,	মুসলমানদেরকে,	
harj,	হার্জ,	হার্জ,	
melbourney,	মেলবর্নে,	মেলবোর্নে,	
daaktikiter,	দাক্তিতিকের,	ডাকটিকিটের,	
saafi,	সাফি,	সাফি,	
bikargrasta,	বিকারগা্্ত,	বিকারগ্রস্ত,	
mishal,	মিশাল,	মিশাল,	
ekpaashe,	একপাসে,	একপাশে,	
mugdhata,	মুঘগ্তা,	মুগ্ধতা,	
mukhamandoley,	মুখনাম্লে,	মুখমণ্ডলে,	
korusher,	কারুসের,	ক্রুশের,	
birder,	বিরদের,	বার্ডের,	
utkhaat,	উৎকৎষা,	উত্খাত,	
lobbytey,	লবিবে,	লবিতে,	
abarto,	আবর্ত,	আবর্ত,	
cooda,	কোড,	কোডা,	
juktorashtrosaha,	যুদ্রসাস্রাসত,	যুক্তরাষ্ট্রসহ,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
panjikar,	পাঞ্জিকার,	পঞ্জিকার,	
baarnish,	বার্নিস,	বার্নিশ,	
parqa,	পার্ক,	পার্ক,	
amitrakkhor,	অমির্রক্ষা,	অমিত্রাক্ষর,	
yanqee,	যাককে,	ইয়াংকি,	
karpeeta,	কর্পেট,	কার্পেট,	
nirbahey,	নির্বাহে,	নির্বাহে,	
hoeel,	হুল,	হইল,	
hunayin,	হুনাইন,	হুনাইন,	
poripaker,	পরিপকের,	পরিপাকের,	
shhyutara,	শ্যাটার,	শ্যুটার,	
tiger,	টিজের,	টাইগার,	
gacher,	গাছের,	গাছের,	
prithibir,	পৃথিবীর,	পৃথবীর,	
shelina,	সেলিনা,	সেলিনা,	
mesenjjarer,	মেশজনজের,	মেসেঞ্জারের,	
jyeshtha,	জ্যাস্থ,	জ্যেষ্ঠা,	
jaank,	জানক,	জাঁক,	
jeten,	যেটেন,	যেতেন,	
schalastic,	স্লাসাল্টিস,	স্কলাস্টিক,	
attar,	আট্ার,	আত্তার,	
prakalpao,	প্রকাপ্যা,	প্রকল্পও,	
kormokarer,	কর্মকারের,	কর্মকারের,	
spredashiita,	স্প্রাইডিসিত,	স্প্রেডশীট,	
madhyekar,	মধ্যকর,	মধ্যেকার,	
gaiche,	গাইছে,	গাইছে,	
aajij,	আজিজ,	আজিজ,	
jonopoth,	জনপথ,	জনপথ,	
ekoirokom,	একোরকোম,	একইরকম,	
kompeeto,	কম্পিত,	কম্পিত,	
bahal,	বাল,	বহাল,	
rahh,	রাহ,	রঃ,	
sporsher,	স্পশ্রের,	স্পর্শের,	
ceramiks,	কেরামেসিস,	সিরামিকস,	
saatzon,	সাটজন,	সাতজন,	
osamonjoshyopurno,	অমস্যমন্যুর্ণ,	অসামঞ্জস্যপূর্ণ,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
inapharameeshana,	ইনফরমেশন,	ইনফরমেশন,	
bhartuky,	ভার্তুকি,	ভর্তুকি,	
sanbadmadhyamer,	সংবাদম্যমাদের,	সংবাদমাধ্যমের,	
gaziipur,	গাজীপুর,	গাজীপুর,	
pratishta,	প্রতিস্ট,	প্রতিষ্টা,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
byte,	বিতে,	বাইট,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
samanno,	সামন্য,	সামান্য,	
firozer,	ফিরোজের,	ফিরোজের,	
nariider,	নারিদের,	নারীদের,	
maase,	মাসে,	মাসে,	
shalook,	শালুক,	শালুক,	
crecenter,	ক্রেসেন্টার,	ক্রিসেন্টের,	
dephinision,	ডিফিনিন,	ডেফিনেশন,	
durga,	দুর্গা,	দুর্গ,	
diphinision,	ডিফিনিন,	ডেফিনেশন,	
raia,	রাই,	রায়,	
ragke,	রাজকে,	রাগকে,	
teman,	টেমান,	তেমন,	
musalmani,	মুসাামিনী,	মুসলমানই,	
alauler,	আলালের,	আলাওলের,	
jamanor,	জামানোর,	জমানোর,	
firojer,	ফিরোজের,	ফিরোজের,	
gelo,	গেলো,	গেলো,	
sahab,	সহাব,	সাহাব,	
seekkhaou,	শিক্ষু,	শিক্ষাও,	
makhmoley,	মাখালে,	মখমলে,	
gazetted,	গ্যাজেটেড,	গেজেটেড,	
uruu,	উউরু,	উরু,	
dhyan,	ধ্যান,	ধ্যান,	
samanwitobhabe,	সামন্তিভাবে,	সমন্বিতভাবে,	
nederlander,	নেডার্ল্্নের,	নেদারল্যান্ডের,	
kanayi,	কানই,	কানাই,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
ekok,	একক,	একক,	
mosjidti,	মসজিদি,	মসজিদটি,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
chaloke,	চালকে,	চালকে,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
vishhnu,	ভিষ্ণু,	বিষ্ণু,	
tanu,	তানু,	তনু,	
kanooner,	কনননের,	কানুনের,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
iceberg,	এসেব্র,	আইসবার্গ,	
sumee,	সুমি,	সুমি,	
horidar,	হরিদার,	হরিদ্বার,	
enginiiring,	এঙিগিনিং,	ইঞ্জিনিয়ারিং,	
garner,	গার্নের,	গার্নার,	
reno,	রেনও,	রেনো,	
felto,	ফেলোট,	ফেলত,	
giitikobita,	গিতিবিত,	গীতিকবিতা,	
joneser,	জনেসের,	জোন্সের,	
teenej,	টেনেজ,	টিনেজ,	
bikargrasto,	বিকারগ্রত্,	বিকারগ্রস্ত,	
taiwan,	টাইয়ান,	তাইওয়ান,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
vugorvey,	ভূগর্বে,	ভূগর্ভে,	
aabarto,	আবর্ত,	আবর্ত,	
freedom,	ফ্রিড,	ফ্রীডম,	
shailee,	সাইলি,	শৈলী,	
deebatee,	দিবাতি,	ডিবেট,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
elakaatite,	এলাকতিতে,	এলাকাটিকে,	
khelechen,	খেলেছেন,	খেলেছেন,	
abheedhaneec,	অভিযোধিক,	অভিধানিক,	
qindama,	কিন্ডম,	কিংডম,	
elakatey,	এলাকতে,	এলাকাতে,	
beda,	বেদা,	বেদ,	
elakati,	এলাকতি,	এলাকাটি,	
gandhiyo,	গান্ধিয়,	গান্ধীও,	
taoonsheep,	তুন্শিপ,	টাউনশিপ,	
sangbadmadhyomgulote,	সংবাদমধোগ্মতে,	সংবাদমাধ্যমগুলোতে,	
katbe,	কাতবে,	কাটবে,	
jeesa,	জেসা,	জেস,	
dey,	ডে,	ডে,	
nilav,	নিলা,	নীলাভ,	
ankeeta,	অঙ্কেট,	অঙ্কিতা,	
phutonto,	ফুটন্ট,	ফুটন্ত,	
taunasipa,	তানঃসিপ,	টাউনশিপ,	
grauth,	গ্রুথ,	গ্রোথ,	
nothivuktir,	নথিউজিত্র,	নথিভুক্তির,	
jonmat,	জন্মাত,	জন্মাত,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
gheshe,	ঘেসে,	ঘেঁষে,	
chal,	চল,	চাল,	
shaahocharje,	সাহার্যে,	সাহচর্যে,	
fox,	ফক্স,	ফক্স,	
sorboshoktiman,	সর্বসশকিণন,	সর্বশক্তিমান,	
trans,	ট্রায়াস্স,	ট্রান্স,	
ayantarkatika,	অ্যান্টারিক্ক,	অ্যান্টার্কটিকা,	
baitsh,	বাইস্স,	বাইটস,	
treta,	ট্রেতা,	ত্রেতা,	
jerujalemer,	জেরুজামেরের,	জেরুজালেমের,	
paksenaara,	প্কানের,	পাকসেনারা,	
codey,	কোডে,	কোডে,	
shahocharjo,	শাহার্য,	সাহচর্য,	
chaka,	চাকা,	চাকা,	
kkhur,	ক্ষর,	ক্ষুর,	
nations,	নাইয়েস,	নেশনস,	
charchita,	চারচিত,	চর্চিত,	
hosney,	হসনে,	হোসনে,	
machder,	মাছদের,	মাছদের,	
zuktorastroshoho,	যুদ্রসাস্রসসত,	যুক্তরাষ্ট্রসহ,	
shartho,	সর্থ,	স্বার্থ,	
chitranattakar,	চিত্রনার্তাা,	চিত্রনাট্যকার,	
nothibhukto,	নথিভূক্ত,	নথিভুক্ত,	
sosharire,	শসরীরে,	সশরীরে,	
prakalpogulo,	প্রকালপুলো,	প্রকল্পগুলো,	
antorbhuktimulak,	অন্তর্যুকূলিক,	অন্তর্ভুক্তিমূলক,	
hukar,	হুকার,	হুকার,	
gare,	গরে,	গোর,	
snepara,	স্পেপার,	স্নাইপার,	
pratiyogider,	প্রতিযোগিের,	প্রতিযোগীদের,	
soorarop,	সূরাপো,	সুরারোপ,	
aaloteo,	আলতেও,	আলোতেও,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
sthaponakay,	স্থাপনকে,	স্থাপনাকে,	
bhabatarini,	ভাবতরিনী,	ভবতারিণী,	
dollu,	ডলল,	ডলু,	
ooindo,	উইন্দ,	উইন্ডো,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
bardhitaanas,	বর্ধিনাস,	বর্ধিতাংশ,	
ashor,	আসর,	আসর,	
hitokor,	হিতকোর,	হিতকর,	
bolechile,	বলেছিলে,	বলেছিলে,	
tuleche,	তুলেছে,	তুলেছে,	
di,	ডি,	দিই,	
ghatla,	ঘটাল,	ঘটল,	
mulvitti,	মুলগিতি,	মূলভিত্তি,	
grameryi,	গ্রামেরি,	গ্রামেরই,	
liseensee,	লিসেনিস,	লাইসেন্স,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
sanbadmadhyame,	সংবাদম্যমামে,	সংবাদমাধ্যমে,	
olympic,	অলিম্যিক,	অলিম্পিক,	
chalochchitro,	চলচ্ছিত্র,	চলচ্চিত্র,	
anchalgoolir,	অঞ্চলুলির,	অঞ্চলগুলির,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
shreemoti,	শ্রীমটি,	শ্রীমতি,	
sadena,	সাদেন,	সাডেন,	
bashite,	বাসিতে,	বাঁশিতে,	
antarcticar,	অন্টার্কিকের,	অ্যান্টার্কটিকার,	
silvi,	সিলভি,	সিলভি,	
zerusalem,	জেরুসালে,	জেরুজালেম,	
tongaa,	টঙ্গা,	টোঙ্গা,	
moomtaj,	মৌমতাজ,	মুমতাজ,	
aachhis,	আলছিস,	আছিস,	
gazipore,	গাজিপরে,	গাজীপুর,	
udor,	উদর,	উদর,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
ralof,	রাফ,	রালফ,	
hedje,	হেজে,	হেজ,	
foreks,	ফরেক্স,	ফরেক্স,	
wedanta,	ভদনেত্,	বেদান্ত,	
brander,	ব্রান্ডের,	ব্রান্ডের,	
bage,	বেগে,	বাগে,	
dharavahikti,	ধারাভাহিতি,	ধারাবাহিকটি,	
ved,	ভেড,	বেদ,	
radhanagar,	রানাগার,	রাধানগর,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
zohns,	জোনস,	জন্স,	
nirgoon,	নিরগগন,	নির্গুণ,	
prakalpatike,	প্রজক্তাপিকে,	প্রকল্পটিকে,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
tonight,	টনিজট,	টুনাইট,	
hotochokeeto,	হতোকচিত,	হতচকিত,	
sallallahu,	সলাল্ল্ল,	সল্লাল্লাহু,	
mekbeth,	মেকেেট,	ম্যাকবেথ,	
phixing,	ফিসিং,	ফিক্সিং,	
sumoo,	সুমো,	সুমো,	
maszid,	মাসজিদ,	মসজিদ,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
doneta,	ডোনেট,	ডোনাট,	
munshi,	মুন্সি,	মুন্সি,	
yaq,	যক,	ইয়াক,	
onkar,	অঙ্কার,	ওঙ্কার,	
taffsherer,	তাফসেরের,	তাফসীরের,	
adbhanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
bisshonath,	বিশ্বনা,	বিশ্বনাথ,	
spenser,	স্পেনসের,	স্পেন্সার,	
taatey,	তাতে,	তাতে,	
homeser,	হমমসের,	হোমসের,	
ddheke,	ঢেকে,	ঢেকে,	
gaichhe,	গাইছে,	গাইছে,	
sumita,	সুমিতা,	সুমিতা,	
baarbadoj,	বারববাজ,	বার্বাডোজ,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
teuning,	টিউনিং,	টিউনিং,	
soccar,	সক্চার,	সকার,	
dephineshana,	ডিফেনেন,	ডেফিনেশন,	
osshoshtikor,	অসংশ্কৃত,	অস্বস্তিকর,	
prakalpati,	প্রকালপিতি,	প্রকল্পটি,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
tukror,	তুকর্র,	টুকরোর,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
bishrinkhala,	বিশৃঙ্খল,	বিশৃঙ্খলা,	
addabaz,	আদ্জাবা,	আড্ডাবাজ,	
zack,	জাক,	জ্যাক,	
biplabee,	বিপ্লবি,	বিপ্লবী,	
saazanor,	সাজনর,	সাজানোর,	
turisht,	টুরিশ্ট,	টুরিস্ট,	
soundarja,	সৌন্দর্য,	সৌর্ন্দয্য,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
vishad,	বিষদ,	বিষদ,	
gronthatike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
crime,	ক্রিম,	ক্রাইম,	
pathkrom,	পাঠক্রম,	পাঠক্রম,	
boshoborty,	বসবর্তী,	বশবর্তী,	
nothivukto,	নথুভূক্ত,	নথিভুক্ত,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
shikh,	শিখ,	শিখ,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
spostotoi,	স্পাস্টটি,	স্পষ্টতই,	
salmaner,	সামানের,	সালমানের,	
ragee,	রেগী,	রাগী,	
mukhobondho,	মূখবন্ধ,	মুখবন্ধ,	
senabahinio,	সেনাবাহিন,	সেনাবাহিনীও,	
orhan,	ওরান,	ওরহান,	
shcholastiq,	স্লাস্লটিক,	স্কলাস্টিক,	
poner,	পনের,	পনের,	
macbeth,	ম্যাথেব,	ম্যাকবেথ,	
hoteltee,	হ্যালেটি,	হোটেলটি,	
chabir,	ছবির,	চাবির,	
dephinishion,	ডিফিনিশন,	ডেফিনেশন,	
kanisttha,	কনিস্থ,	কনিষ্ঠ,	
bhor,	ভোর,	ভর,	
choopi,	চুপি,	চুপি,	
thailand,	টাইলান্ড,	থাইল্যান্ড,	
reesideencee,	রিসেনেডস,	রেসিডেন্স,	
faad,	ফাড,	ফুড,	
durgatsabe,	দুর্ঘতাবে,	দুর্গোৎসবে,	
satarkakaree,	সতারকারী,	সতর্ককারী,	
barbaadoj,	বারববাজ,	বার্বাডোজ,	
ruteener,	রুটিনের,	রুটিনের,	
elaakate,	এলাকতা,	এলাকাতে,	
mache,	মাচে,	মাছে,	
orthanitir,	অর্থনীটির,	অর্থনীতির,	
enimeted,	এনিমেইট,	এনিমেটেড,	
firoza,	ফিরোজা,	ফিরোজা,	
hotelti,	হটেলটি,	হোটেলটি,	
bibek,	বিবেক,	বিবেক,	
roktokshoroner,	রক্ষতকরণের,	রক্তক্ষরণের,	
modeling,	ম্যালেলিং,	মডেলিং,	
sangosthatir,	সংস্থাটির,	সংস্থাটির,	
ancholsaho,	অঞ্চলসা,	অঞ্চলসহ,	
krema,	ক্রিমা,	ক্রাইম,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
turkameena,	তুরকমিন,	তুর্কমেন,	
ooipokar,	উপিকর,	উইপোকার,	
mojuter,	মজুতের,	মজুতের,	
tulechen,	তুলেছেন,	তুলেছেন,	
aalkaatraa,	আলাকত্রা,	আলকাতরা,	
bisheshyer,	বিশেষ্র,	বিশেষ্যের,	
uparjaner,	উপররজনের,	উপার্জনের,	
faksa,	ফক্স,	ফক্স,	
kuhelika,	কুলিহিকা,	কুহেলিকা,	
gaje,	গাজে,	গেজ,	
jiland,	জিলান্ড,	জিল্যান্ড,	
cholochchitreer,	চলচ্ছিতের,	চলচ্চিত্রের,	
narafoka,	নাফাকা,	নরফোক,	
sahojlabhbhatar,	সহজভভভাতের,	সহজলভ্যতার,	
groowth,	গ্রুয়াট,	গ্রোথ,	
dule,	দুলে,	ডালে,	
eashter,	এস্টের,	ইস্টার,	
taigara,	তাইগার,	টাইগার,	
batsmanyi,	বাসমান্ডি,	ব্যাটসম্যানই,	
muscut,	মুস্কুত,	মাস্কাট,	
jatinke,	জাতিনকে,	যতীনকে,	
noitikatabodh,	নৈতিকদ্ব,	নৈতিকতাবোধ,	
sikkhakrom,	শিক্ষাকর্ম,	শিক্ষাক্রম,	
