phulkapi,	ফুলকাপি,	ফুলকপি,	
anchalke,	অঞ্চলকে,	অঞ্চলকে,	
meeseenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
abarta,	আবর্ত,	আবর্ত,	
chalochchitreei,	চলচিত্রি,	চলচ্চিত্রেই,	
shotodha,	শতধা,	শতধা,	
cholochchitreer,	চলচিত্রির,	চলচ্চিত্রের,	
playtey,	প্লেটে,	প্লেটে,	
mookhomaundoley,	মুখমাউন্বলে,	মুখমণ্ডলে,	
sotorkokari,	সতরককারী,	সতর্ককারী,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
parijaner,	পরিজনের,	পরিজনের,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
korecho,	করেছো,	করেছো,	
bonoshree,	বনশ্রী,	বনশ্রী,	
taphaat,	তাফাট,	তফাৎ,	
rikondison,	রিকোন্ডিসন,	রিকন্ডিশন,	
uposhthit,	উপস্থিত,	উপস্থিত,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
bedanto,	বেদান্ত,	বেদান্ত,	
tat,	তৎ,	তাত,	
query,	কুরি,	কোয়েরি,	
bhaibonder,	ভাইবন্দের,	ভাইবোনদের,	
chalachchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
anchaltite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
satarkakaree,	সতরককরী,	সতর্ককারী,	
chilona,	ছিলনা,	ছিলনা,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
postake,	পোস্তকে,	পোস্টকে,	
chalochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
patengar,	প্যাটেঞার,	পতেঙ্গার,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
hughkey,	হুউকে,	হিউজকে,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
mitar,	মিতার,	মিত্র,	
laesens,	লেসেন্স,	লাইসেন্স,	
barbaadoj,	বার্বাডোজ,	বার্বাডোজ,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
karlosa,	কার্লস,	কার্লোস,	
biru,	বিরু,	বীরু,	
baarbaadoj,	বার্বাডোজ,	বার্বাডোজ,	
ddhake,	ঢাকে,	ঢেকে,	
chargar,	চার্গার,	চার্জার,	
badaghat,	বাদাঘাত,	বাদাঘাট,	
azijer,	আজিজের,	আজিজের,	
surkarder,	সূরকর্ডের,	সুরকারদের,	
durger,	দুর্গের,	দুর্গের,	
bojhao,	বোঝাও,	বোঝাও,	
peri,	পেরী,	পেরি,	
aabarto,	আবর্ত,	আবর্ত,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
nariider,	নারীদের,	নারীদের,	
fix,	ফিক্স,	ফিক্স,	
samudrotate,	সমুদ্রততে,	সমুদ্রতটে,	
vdp,	ভিডিপ,	ভিডিপি,	
sukumari,	সুকুমারী,	সুকুমারী,	
prai,	প্রাই,	প্রায়,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
obhigomon,	অভিগোমন,	অভিগমন,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
shuri,	সুরি,	সুরি,	
hamburge,	হ্যাম্বর্গে,	হামবুর্গে,	
soccer,	সক্সের,	সকার,	
sangosthatir,	সংস্থতির,	সংস্থাটির,	
jacqson,	জকসন,	জ্যাকসন,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
hosney,	হস্নে,	হোসনে,	
rapto,	রপ্ত,	রপ্ত,	
dolu,	দলু,	ডলু,	
betsman,	বেতস্মন,	ব্যাটসম্যান,	
beeswasoo,	বিশ্বাসু,	বিশ্বাসও,	
baagicar,	বাজিকার,	বাগিচার,	
bonshoke,	বংশকে,	বংশকে,	
dor,	দোর,	দোর,	
chalachchitrai,	চলচ্চিত্রই,	চলচ্চিত্রই,	
shaarok,	সারক,	স্মারক,	
gondhe,	গন্ধে,	গন্ধে,	
petrol,	পেত্রোল,	পেট্রোল,	
aansaareer,	আনসারির,	আনসারীর,	
jaanaar,	জানার,	জানার,	
zack,	জ্যাক,	জ্যাক,	
graambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
sharther,	স্বার্থের,	স্বার্থের,	
naitikatavodh,	নৈতিকতাভোধ,	নৈতিকতাবোধ,	
aakkash,	আক্শা,	আককাস,	
byaboharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
jounotar,	যৌনতার,	যৌনতার,	
kaatbey,	কাটবে,	কাটবে,	
dumaa,	দুমা,	দুমা,	
netherlande,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
teksaser,	টেকসসের,	টেক্সাসের,	
raiter,	রাইটের,	রাইটের,	
moshjidtir,	মসজীিটির,	মসজিদটির,	
pray,	প্রে,	প্রায়,	
anchalgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
siddhantoi,	সিদ্ধান্তই,	সিদ্ধান্তই,	
ase,	আসি,	আসে,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
societykey,	সচিষিকিকে,	সোসাইটিকে,	
gaddafi,	গাদ্দাফী,	গাদ্দাফী,	
jotsna,	জতস্না,	জ্যোৎস্না,	
koro,	কোরও,	কর,	
heelser,	হিলসের,	হিলসের,	
abarto,	আবর্ত,	আবর্ত,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
kkhur,	ক্ষুর,	ক্ষুর,	
windo,	উইন্ডো,	উইন্ডো,	
gandhiike,	গান্ধীকে,	গান্ধীকে,	
akmot,	একমত,	একমত,	
amstrang,	অমস্ট্রাং,	আর্মস্ট্রং,	
kyamone,	ক্মমে,	কেমনে,	
teenti,	তিনটি,	তিনটি,	
prakalpatikey,	প্রকল্পটিকে,	প্রকল্পটিকে,	
pyor,	পিয়র,	পিওর,	
pade,	পদে,	পাড়ে,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
durgotir,	দুর্গতির,	দুর্গটির,	
dover,	দভার,	ডোভার,	
don,	ডন,	দোন,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
kaalki,	কালকি,	কালকি,	
engrezer,	ইংরেজের,	ইংরেজের,	
ukeliptash,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
jolook,	জলুক,	জ্বলুক,	
futbolarer,	ফুটবলারের,	ফুটবলারের,	
bishad,	বিশাদ,	বিষদ,	
syutara,	স্যুটার,	শ্যুটার,	
mahasabha,	মহাসভা,	মহাসভা,	
ritesh,	রীটেস,	রিতেশ,	
qlauda,	ক্লাউড,	ক্লাউড,	
proshtotto,	প্রস্তত্ত্ব,	প্রস্ত্তত,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
deepei,	দীপেই,	দ্বীপেই,	
kash,	কাশ,	কাস,	
naitikatar,	নৈতিকটার,	নৈতিকতার,	
padarthabidder,	পদার্থবিদ্দের,	পদার্থবিদদের,	
fala,	ফলল,	পোলো,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
moushumeo,	মৌসুমেও,	মৌসুমেও,	
yura,	যুরো,	ইউরো,	
munim,	মুনিম,	মুনিম,	
obikol,	অবিকল,	অবিকল,	
hisaber,	হিসাবের,	হিসাবের,	
gootano,	গুটানো,	গুটানো,	
ekhate,	এখাতে,	একহাতে,	
heja,	হেজা,	হেজ,	
utshahe,	উত্সাহে,	উৎসাহে,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
horiner,	হরিনের,	হরিণের,	
karmasampadan,	কর্মসম্পদান,	কর্মসম্পাদন,	
yeaster,	ইস্টের,	ইস্টের,	
mandape,	মণ্ডপে,	মন্ডপে,	
abhidhaner,	অভিধানের,	অভিধানের,	
skalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
stana,	স্টন,	স্টোন,	
kushumba,	কুসুম্ব,	কুশুম্বা,	
jetam,	যেতাম,	যেতাম,	
daaoon,	ডাউন,	ডাউন,	
chamsky,	চ্যামস্কি,	চমস্কি,	
machgulo,	মাছগুলো,	মাছগুলো,	
aajiboner,	আজীবনের,	আজীবনের,	
karu,	কারু,	কারু,	
kisti,	কিষ্টি,	কিস্তি,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
satarkakari,	সতরককরী,	সতর্ককারী,	
rubeta,	রুবেট,	রাবেতা,	
conan,	কোনান,	কোনান,	
votarer,	ভোটরের,	ভোটারের,	
robot,	রোবট,	রোবোট,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
byakhyatito,	ব্যাখ্যাটিত,	ব্যাখ্যাতীত,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
dhonyi,	ধনবই,	ধন্যি,	
tukroke,	তুকরককে,	টুকরোকে,	
mat,	মা,	ম্যাট,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
samajeek,	সামাজিকিক,	সামাজিক,	
amshtrong,	অ্যামস্ট্রন,	আর্মস্ট্রং,	
nirapekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
nodigulir,	নদীগুলির,	নদীগুলির,	
gorrer,	গরের,	গোরের,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
rajatta,	রাজত্ব,	রাজত্ব,	
bhenasa,	ভেনাসা,	ভেনাস,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
jwar,	জ্বর,	জ্বর,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
kokhonoba,	কখনোবা,	কখনওবা,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
pharna,	ফার্ন,	ফার্ন,	
homser,	হোমসের,	হোমসের,	
baharamporer,	বাহারম্পরের,	বহরমপুরের,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
maladoobha,	মালাঢূভ,	মলদোভা,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
alpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
eshtonia,	এস্টনিয়া,	এস্তোনিয়া,	
jins,	জিংস,	জিন্স,	
bagdhara,	বাগধারা,	বাগধারা,	
evar,	এভার,	এভার,	
varshon,	ভার্সন,	ভারশন,	
henna,	হেনা,	হেনা,	
subadey,	সুবাদে,	সুবাদে,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
haak,	হ্যাক,	হুক,	
canton,	ক্যান্টন,	ক্যান্টন,	
beetlaser,	বিটলসের,	বিটলসের,	
dhache,	ঢাঁে,	ধাঁচে,	
ghaghot,	ঘগঘট,	ঘাঘট,	
sheekar,	শিকার,	শিকার,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
dhoorer,	ধরের,	ধরের,	
jaygata,	যাগতা,	জায়গাটা,	
itastato,	ইতাস্তত,	ইতস্ততঃ,	
anish,	অনিশ,	আনিস,	
koreemke,	করিমকে,	করিমকে,	
tet,	ত্যাট,	টেট,	
maddhuri,	মাধুরী,	মাধুরী,	
lutheereen,	লুথারিন,	লুথেরান,	
boshoborti,	বসবর্তী,	বশবর্তী,	
thela,	ঠেলা,	ঠেলা,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
gonocheen,	গণচীন,	গণচীন,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
uindos,	উইন্ডোস,	উইন্ডোস,	
colahol,	কলাহল,	কোলাহল,	
oncoleo,	অঞ্চলেও,	অঞ্চলেও,	
institutioney,	ইনস্টিটিউশনে,	ইনস্টিটিউশনে,	
grambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
beda,	বেদা,	বেদ,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
algorithm,	অ্যালগোরিথম,	এলগরিদম,	
deputee,	দেপুটি,	ডেপুটি,	
hyper,	হাইপের,	হাইপার,	
amor,	আমর,	আমর,	
commander,	কমান্ডার,	কমাণ্ডার,	
manushti,	মানুষ্টি,	মানুষটি,	
shhipa,	শিপা,	শিপ,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
heightsh,	হাইটাস্ট,	হাইটস,	
coode,	কোড,	কোড,	
korley,	করলে,	করলে,	
istoone,	ইস্তুনে,	স্টোন,	
danabder,	দানবদের,	দানবদের,	
qarima,	করিমা,	করিম,	
skyirt,	স্কায়ার্ট,	স্কার্ট,	
tecno,	টেকনো,	টেকনো,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
wul,	ভুল,	উল,	
sabrakomer,	সাব্রকমের,	সবরকমের,	
kinto,	কিন্ত,	কিনত,	
estania,	ইস্টনিয়া,	এস্তোনিয়া,	
nabatamo,	নবাাম,	নবতম,	
fansi,	ফাঁসি,	ফাঁসী,	
hoeel,	হেল,	হইল,	
suraropito,	সুরারপিত,	সুরারোপিত,	
aidin,	এদিন,	এইদিন,	
sikhechi,	শিখেছি,	শিখেছি,	
sheekarke,	শিকারকে,	শিকারকে,	
bazaareo,	বাজারেও,	বাজারেও,	
soshorire,	সশরীরে,	সশরীরে,	
torangunj,	তরঙ্গুঞ্জ,	তোরাবগঞ্জ,	
uchchotaro,	উচ্চতারও,	উচ্চতর,	
yukeliptash,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
laaisheesh,	লাইসেস,	লাইসেন্স,	
odhit,	অধিত,	অধীত,	
credit,	ক্রাইডিট,	ক্রেডিট,	
porinoti,	পরিনতি,	পরিণতি,	
srichoitonyodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
sollalaho,	সোল্লাল্লাহ,	সল্লাল্লাহু,	
atitkaale,	অতীতকালে,	অতীতকালে,	
sainyara,	সৈন্যরা,	সৈন্যরা,	
decke,	ডেকে,	ডেকে,	
murrayir,	মুরাইর,	ম্যারির,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
alpo,	আল্প,	অল্প,	
fall,	ফল,	ফল,	
aaminaar,	আমিনার,	আমিনার,	
jokkho,	যক্ষ্,	যক্ষ,	
samanwitobhabe,	সমানভীতভাবে,	সমন্বিতভাবে,	
siqh,	শিখ,	শিখ,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
braqe,	ব্রাক,	ব্রেক,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
ketechila,	কেটেছিল,	কেটেছিল,	
kule,	কূলে,	কুলে,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
randeep,	রণ্ডীপ,	রণদীপ,	
surakarder,	সুরকরদের,	সুরকারদের,	
jaistha,	জৈস্ঠা,	জ্যৈষ্ঠ,	
nirbaha,	নির্বাহ,	নির্বাহ,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
akram,	একরাম,	আকরাম,	
attaar,	আত্মার,	আত্তার,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
saida,	সাইড,	সাইদা,	
shansthagulo,	সংস্থগুলো,	সংস্থাগুলো,	
shhow,	শও,	শো,	
khanankaj,	খননকাজ,	খননকাজ,	
chalke,	চালকে,	চালকে,	
foksher,	ফক্ষের,	ফক্সের,	
deezni,	দিজনি,	ডিজনী,	
stona,	স্টোনা,	স্টোন,	
barbe,	বরবে,	বাড়বে,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
shuchonakal,	সূচনাকাল,	সূচনাকাল,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
barnis,	বার্নিস,	বার্নিশ,	
cilahati,	চিলাহাতি,	চিলাহাটি,	
fokskon,	ফক্ষণ,	ফক্সকন,	
masjid,	মাসজীদ,	মসজিদ,	
restuarant,	রেস্তুরান্ট,	রেষ্টুরেন্ট,	
michiler,	মিশিলের,	মিছিলের,	
bashite,	বাযাসিতে,	বাঁশিতে,	
nikate,	নিকটতে,	নিকটে,	
isosiyitasa,	এস্বিকেটস,	এসোসিয়েটস,	
chaity,	চাইতি,	চৈতি,	
daackticketer,	ডাক্তিকেতের,	ডাকটিকিটের,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
township,	টাউন্সিপ,	টাউনশিপ,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
soomita,	সুমিতা,	সুমিতা,	
byasalt,	ব্যাসল্ট,	ব্যাসল্ট,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
rayyalati,	রাজ্যলটি,	রয়্যালটি,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
sudhuyi,	সুধুই,	শুধুই,	
adbhanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
vittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
elakate,	এলাকাতে,	এলাকাতে,	
inshtol,	ইনস্টল,	ইন্সটল,	
meghey,	মেঘে,	মেঘে,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
jaak,	যাক,	জাঁক,	
moorali,	মুরালী,	মুরলী,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
mahakabi,	মহাকাবী,	মহাকবি,	
ponthar,	পন্থার,	পন্থার,	
dembakreeti,	ডেম্বাক্তি,	ডিম্বাকৃতি,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
shhcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
upbasher,	উপবাসের,	উপবাসের,	
ghenshei,	ঘেঁসেই,	ঘেঁষেই,	
kamola,	কামলা,	কামলা,	
akik,	আকিক,	আকিক,	
eenameela,	ইনমেল,	এনামেল,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
shikare,	শিকারে,	শিকারে,	
ghotlo,	ঘটল,	ঘটল,	
ministar,	মিনিস্টার,	মিনিস্টার,	
mooldoova,	মুলদূবা,	মলদোভা,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
santaa,	সান্তা,	সান্তা,	
chyeta,	চ্যাত,	চ্যাট,	
moshjid,	মসজীদ,	মসজিদ,	
swasti,	স্বস্তি,	স্বস্তি,	
prakalpao,	প্রকল্পও,	প্রকল্পও,	
sumee,	সুমি,	সুমি,	
sikhar,	শিখর,	শিকার,	
sangosthaner,	সংস্থানের,	সংস্থানের,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
chhooteer,	ছুটির,	ছুটির,	
jakser,	যক্ষের,	যক্ষের,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
dito,	দ্বৈত,	দিতো,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
madrasa,	মাদ্রসা,	মাদ্রাসা,	
sommotir,	সম্মতির,	সম্মতির,	
nodimaatrik,	নদীমাত্রিক,	নদীমাতৃক,	
silwer,	শীলভার,	সিলভার,	
phorex,	ফোরেক্স,	ফরেক্স,	
stationey,	স্টেশনে,	ষ্টেশনে,	
makhmaley,	মাখমালে,	মখমলে,	
dipke,	দীপকে,	দ্বীপকে,	
kutir,	কুটির,	কুটির,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
mulbhitti,	মূলভিত্তি,	মূলভিত্তি,	
keyboarder,	কেবোর্ডের,	কীবোর্ডের,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
bijepi,	বিজেপি,	বিজেপি,	
fanskari,	ফংসকারী,	ফাঁসকারী,	
modelti,	মোদালটি,	মডেলটি,	
shoshar,	শোার,	সকার,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
gazeetteed,	গাজিতেদ,	গেজেটেড,	
taffsherer,	তাফসেরের,	তাফসীরের,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
cholochchitraeeo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
jonsha,	জনস,	জোন্স,	
doloo,	দলও,	ডলু,	
kirti,	কীর্তি,	কীর্তি,	
beekargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
uindoo,	উইন্ডো,	উইন্ডো,	
purohitke,	পুরোহীতকে,	পুরোহিতকে,	
manur,	মনুর,	মনুর,	
bivonno,	বিভন্ন,	বিভন্ন,	
pujit,	পূজিত,	পুজিত,	
satarkatar,	সতারকতার,	সতর্কতার,	
deily,	দিলি,	ডেইলি,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
tyapa,	ট্যাপ,	ট্যাপ,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
mumtaj,	মুতাজ,	মুমতাজ,	
grambaasio,	গ্রামবাসীও,	গ্রামবাসীও,	
tintir,	তিনটির,	তিনটির,	
gezeted,	গেজেটেড,	গেজেটেড,	
gemser,	গেমসের,	জেমসের,	
bholapuqa,	ভোলাপুক,	ভোলাপুক,	
taholo,	তাহল,	তাহলো,	
military,	মিলিটারী,	মিলিটারি,	
samannoi,	সমান্নই,	সামান্যই,	
agiboner,	আজিবনের,	আজীবনের,	
upobasi,	উপবাসী,	উপবাসী,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
gandhio,	গান্ধীও,	গান্ধীও,	
jati,	জাতি,	যাতি,	
ingrejraa,	ইংরেজরা,	ইংরেজরা,	
uporitol,	উপরিতল,	উপরিতল,	
ghumachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
songbadmadhyamgulote,	সংবাদমধ্যমগুলতে,	সংবাদমাধ্যমগুলোতে,	
marier,	মেরির,	ম্যারির,	
ajuhat,	অযুহাত,	অজুহাত,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
maase,	মাসে,	মাসে,	
oncholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
shikkhakke,	শিক্ষাক্যে,	শিক্ষককে,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
modeling,	মোডেলিং,	মডেলিং,	
obosorer,	অবসরের,	অবসরের,	
narsaari,	নার্সারী,	নার্সারি,	
pare,	পারে,	পাড়ে,	
jibanta,	জীবন্ত,	জীবন্ত,	
akkaas,	আকাশ,	আককাস,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
kraim,	ক্রেম,	ক্রাইম,	
jor,	জোর,	জ্বর,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
sakara,	সাকার,	সাকার,	
gosthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
poroborti,	পরবর্তী,	পরর্বতী,	
phokskon,	ফকস্কন,	ফক্সকন,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
fatakesto,	ফটকেষ্ট,	ফাটাকেষ্ট,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
mukhbaundho,	মুখবাউন্ধ,	মুখবন্ধ,	
naubom,	নবম,	নবম,	
bage,	ব্যাগে,	বাগে,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
shaarther,	স্বার্থের,	স্বার্থের,	
veenis,	ভেনিস,	ভেনিস,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
bandhubhaabaapanna,	বাঁধুভাবন্য,	বন্ধুভাবাপন্ন,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
pratiyogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
dokaangulotey,	দকানগুলোতে,	দোকানগুলোতে,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
bijit,	বিজিত,	বিজিত,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
eokee,	ইওকি,	এওকি,	
hafej,	হাফেজ,	হাফেয,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
jahra,	জাহরা,	যাহরা,	
baarnish,	বার্নিস,	বার্নিশ,	
uponeeshod,	উপনিশোদ,	উপনিষদ,	
chupi,	চুপি,	চুপি,	
chalabe,	চালাবে,	চালাবে,	
oshamonjosshoporno,	অসামন্জস্বর্ণ,	অসামঞ্জস্যপূর্ণ,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
laatimer,	লাটিমের,	লাটিমের,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
ramzaner,	রামজনের,	রমযানের,	
sabyastha,	সাব্যস্থ,	সাব্যস্থ,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
avishangsan,	অভিসংসন,	অভিশংসন,	
taantira,	তানটিরা,	তাঁতিরা,	
sharifpur,	শরীফপুর,	শরিফপুর,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
chalai,	চালাই,	চালাবে,	
meetropalitana,	মেট্রোপললিটান,	মেট্রোপলিটন,	
institutioner,	ইনস্টিটিউশনের,	ইনস্টিটিউশনের,	
mg,	মগ,	এমজি,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
onekerie,	অনেকের,	অনেকেরই,	
hud,	হুদ,	হুড,	
obie,	অবিই,	ওবিই,	
showte,	শাউট,	শোতে,	
cn,	সিএন,	সিএন,	
laiseens,	লেসেন্স,	লাইসেন্স,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
chyata,	চ্যাট,	চ্যাট,	
iceberg,	ইকেবার্গ,	আইসবার্গ,	
ekatto,	একত্ব,	একাত্ব,	
moldova,	মলদ্বও,	মলদোভা,	
dupleex,	ডাপ্লিক্স,	ডুপ্লে,	
kalnir,	কললনির,	কালনীর,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
gondho,	গন্ধ,	গন্ধে,	
gujober,	গুজবের,	গুজবের,	
mozlishpoor,	মজলিশপুর,	মজলিশপুর,	
agomone,	আগোমনে,	আগমনে,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
roktokshoroner,	রক্তক্ষরণের,	রক্তক্ষরণের,	
omarjito,	অমর্জিত,	অমার্জিত,	
ostad,	অষ্টাদ,	ওস্তাদ,	
nothibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
nirvaha,	নির্বাহ,	নির্বাহ,	
mukhyo,	মুখ্য,	মুখ্য,	
muhamada,	মুহামা,	মুহাম্মদ,	
anchalei,	আঞ্চলে,	অঞ্চলেই,	
paner,	পানের,	পনের,	
matriroop,	মাত্রূপ,	মাতৃরূপ,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
duple,	ডাপল,	ডুপ্লে,	
brindaabane,	বৃণ্ডাবানে,	বৃন্দাবনে,	
arkimidish,	আর্কিমিডিস,	আর্কিমিডিস,	
naditike,	নাদীটিকে,	নদীটিকে,	
jak,	যাক,	জাঁক,	
mast,	মাস্ট,	মাস্ত,	
utsahamulok,	উৎসহমূলক,	উৎসাহমূলক,	
ankush,	অঙ্কুশ,	অংকুশ,	
aminool,	অ্যামিনুল,	আমিনুল,	
