chhatogalpe,	ছটটোগল্পে,	ছোটগল্পে,	
asamanyo,	অসমান্য,	অসামান্য,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
jyeshthaa,	জ্যষষ্ঠ,	জ্যেষ্ঠা,	
thailandsoho,	থাইলাদ্দহ,	থাইল্যান্ডসহ,	
langhan,	লঙ্ঘন,	লংঘন,	
bazaareo,	বাজারেও,	বাজারেও,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
sbaajan,	স্বজন,	স্বজন,	
prakalpoguli,	প্রকললপুলি,	প্রকল্পগুলি,	
phirti,	ফিরতি,	ফিরতি,	
mangolik,	মাঙগগলিক,	মাঙ্গলিক,	
gutano,	গুটানো,	গুটানো,	
huqa,	হুক,	হুক,	
meghkey,	মেঘকে,	মেঘকে,	
paner,	পানের,	পনের,	
lambaate,	লম্বাতে,	লম্বাটে,	
ghamta,	ঘামটা,	ঘোমটা,	
pharn,	ফর্ন,	ফার্ন,	
vittio,	ভিত্তিও,	ভিত্তিও,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
goroor,	গরুর,	গরুর,	
shelinar,	সেলিনার,	সেলিনার,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
hariner,	হরিনের,	হরিণের,	
hurricanee,	হারিকেন,	হ্যারিকেন,	
jaanachhe,	জানাচ্ছে,	জানাচ্ছে,	
bboponer,	ব্যপণের,	বপনের,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
jamjomat,	জম্জমত,	জমজমাট,	
iyutha,	ইউথো,	ইয়ুথ,	
quoota,	কুউট,	কোটা,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
osommotite,	অসম্মিতে,	অসম্মতি,	
majlish,	মজলিস,	মজলিশ,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
tarani,	তরনী,	তরণী,	
chaaktir,	চাকটির,	চাকতির,	
beekargrasto,	বিকারগস্ত,	বিকারগ্রস্ত,	
firti,	ফিরতি,	ফিরতি,	
hijrii,	হিজরী,	হিজরী,	
rites,	রিটস,	রিতেশ,	
chhilonaa,	ছিলননা,	ছিলনা,	
prabhur,	প্রভূর,	প্রভুর,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
uthey,	উঠে,	উঠে,	
kortaa,	করতা,	করতা,	
papri,	পাপ্রী,	পাপরি,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
konoroop,	কোনরূপ,	কোনরূপ,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
depooti,	দেপুতি,	ডেপুটি,	
puroheetke,	পুরহীতকে,	পুরোহিতকে,	
ganosakkhorota,	গণশণক্রত,	গণসাক্ষরতা,	
melobborne,	মেলব্বর্ণে,	মেলবোর্নে,	
sahochorjo,	সহচর্য,	সাহচর্য,	
chani,	চানী,	ছানি,	
porishongkhyanbid,	পরিসংখ্যাসবিদ,	পরিসংখ্যানবিদ,	
sanaktakaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
roopdaan,	রূপদান,	রুপদান,	
koyeeri,	কৈয়েরি,	কোয়েরি,	
chuti,	চুটি,	ছুটি,	
kormoke,	কর্মকে,	কর্মকে,	
sahocorjo,	সহকর্য,	সাহচর্য,	
byatikramdharmi,	ব্যতিক্রধর্মী,	ব্যতিক্রমধর্মী,	
neptuner,	নেপ্তুনের,	নেপচুনের,	
karmokerer,	কর্মকের,	কর্মকারের,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
hughes,	হুঘেস,	হিউজেস,	
asocheton,	অসচেতন,	অসচেতন,	
mosjidtir,	মুজজিদটির,	মসজিদটির,	
harisher,	হরিসের,	হ্যারিসের,	
ponthar,	পন্ঠার,	পন্থার,	
zommu,	জম্ু,	জম্মু,	
charrjito,	চার্জিত,	চার্জিত,	
oodoore,	অদুরে,	অদুরে,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
prodip,	প্রদিপ,	প্রদীপ,	
neck,	নেক,	নেক,	
muhammad,	মুহম্্মদ,	মুহম্মদ,	
ajeeboner,	আজিবনের,	আজীবনের,	
jathaartho,	যথার্থ,	যথার্থ,	
fimel,	ফাইমেল,	ফিমেল,	
monjushree,	মন্জুস্রী,	মঞ্জুশ্রী,	
gaichey,	গেছে,	গাইছে,	
bidghootey,	বিঘুতে,	বিদঘুটে,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
shudden,	সুদ্দেন,	সাডেন,	
augustine,	অগস্টিন,	অগাস্টিন,	
potengar,	পতেন্গর,	পতেঙ্গার,	
phoster,	ফস্টের,	ফস্টার,	
somsher,	সমসের,	সমশের,	
orghyo,	অর্য,	অর্ঘ্য,	
mit,	মিট,	এমআইটি,	
myari,	ম্যারি,	ম্যারি,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
krusher,	ক্রুশের,	ক্রুশের,	
bhangle,	ভাঙ্গেল,	ভাঙলে,	
cool,	কুল,	কুল,	
faltu,	ফল্তু,	ফালতু,	
bhaibonera,	ভাইবেেরা,	ভাইবোনেরা,	
shikha,	শিখা,	শিখ,	
tersa,	টার্স,	টেরেসা,	
naagaalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
volapuk,	ভললাপুক,	ভোলাপুক,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
janake,	জনকে,	জানাতে,	
alankorana,	অলঙ্করণ,	অলঙ্করণ,	
gorib,	গরীব,	গরিব,	
bafal,	বাফল,	বিফল,	
muradkey,	মুরাদকে,	মুরাদকে,	
ponchaashjon,	পঞ্চাসগন,	পঞ্চাশজন,	
moshjidtir,	মসজজিতির,	মসজিদটির,	
taali,	টালি,	তালি,	
jansa,	জনস,	জন্স,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
bedanta,	বেদন্ত,	বেদান্ত,	
shringge,	শ্রীঙ্গে,	শৃঙ্গে,	
bonshi,	বংশী,	বংশী,	
garnaar,	গার্নার,	গার্নার,	
chandrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
garner,	গর্ণের,	গার্নার,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
laishenshim,	লাইসেনিং,	লাইসেন্সিং,	
khannkaj,	খননকাজ,	খননকাজ,	
obeekol,	অবিকল,	অবিকল,	
astheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
falokti,	ফলকটি,	ফলকটি,	
rekhapat,	রেখাপোত,	রেখাপাত,	
lesensa,	লেসেন্স,	লাইসেন্স,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
moshzidtir,	মসজজিতির,	মসজিদটির,	
bagdadi,	বাদ্দাদী,	বাগদাদী,	
bolechi,	বলেছি,	বলেছি,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
chaalaabi,	চালাবি,	চালাবে,	
durgatsabe,	দুর্তশত্বে,	দুর্গোৎসবে,	
swartho,	স্বার্থ,	স্বার্থ,	
majhari,	মাঝহারী,	মাঝারী,	
shikkhakbrindo,	শিক্ষাবৃর্দ,	শিক্ষকবৃন্দ,	
chirohorit,	চিহরিরত,	চিরহরিৎ,	
shaantaa,	শান্তা,	সান্তা,	
daap,	ডাপ,	ড্যাপ,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
sangbadmadhyamer,	সংবোদাধ্মমের,	সংবাদমাধ্যমের,	
utsahe,	উত্সাহে,	উৎসাহে,	
alimpika,	আলিম্পিক,	অলিম্পিক,	
bujhleo,	বুঝলেও,	বুঝলেও,	
setan,	সেতন,	শয়তান,	
chhaani,	ছানী,	ছানি,	
apadan,	আপদান,	অপাদান,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
shrimati,	শ্রীমতী,	শ্রীমতি,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
istan,	ইস্ট্,	স্টোন,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
sorsa,	সর্ষ,	সোর্স,	
murad,	মুরদ,	মুরাদ,	
kachhakaachhi,	কাছাকাছি,	কাছাকাছি,	
mohit,	মহিত,	মুহিত,	
pooshtir,	পুষ্টির,	পুষ্টির,	
firoza,	ফিরজা,	ফিরোজা,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
adhunik,	আধুনিক,	আধুনিক,	
olpo,	অল্প,	অল্প,	
paltechey,	পল্টেছে,	পাল্টেছে,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
aashtikota,	আস্তিকটা,	আস্তিকতা,	
mahajote,	মহাজতে,	মহাজোট,	
yuqeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
bosoben,	বসবেন,	বসবেন,	
ghotleo,	ঘটলেও,	ঘটলেও,	
metropalitana,	মেট্রোলোপিটন,	মেট্রোপলিটন,	
cheerkoot,	চিরকুত,	চিরকুট,	
kuery,	কুরি,	কোয়েরি,	
sheekarke,	শিকারকে,	শিকারকে,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
rata,	রাট,	রত,	
blogarra,	ব্লোগাররা,	ব্লগাররা,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
soceitytey,	সোটিটটে,	সোসাইটিতে,	
tarbine,	টারবিনে,	টারবাইন,	
jotinke,	জ্যোনিকে,	যতীনকে,	
bosobben,	বসব্যেন,	বসবেন,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
modele,	মোডেল,	মডেলে,	
chetonagato,	চেতনাগত,	চেতনাগত,	
beekaargrasto,	বিকারগস্রত্ত,	বিকারগ্রস্ত,	
rabeta,	রবেট,	রাবেতা,	
tourisht,	টারিস্ট,	টুরিস্ট,	
motion,	মোশন,	মোশন,	
musalmanyi,	মুসলমানী,	মুসলমানই,	
vabuk,	ভাবুক,	ভাবুক,	
ballroom,	বললুম,	বলরুম,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
ottacharito,	অত্মচারিত,	অত্যাচারিত,	
baharamporer,	বহরাম্পরের,	বহরমপুরের,	
surarop,	সুরারোপ,	সুরারোপ,	
bandhubhabaponno,	বন্ধুবনপ্বন্ন,	বন্ধুভাবাপন্ন,	
chandrima,	চন্দ্রীমা,	চন্দ্রিমা,	
starc,	স্টার্ক,	স্টার্ক,	
shilver,	সিলভার,	সিলভার,	
gostii,	গোষ্টী,	গোষ্ঠীই,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
skarta,	স্কার্ট,	স্কার্ট,	
ajuhat,	অযুহত,	অজুহাত,	
valapuk,	ভালাপুক,	ভোলাপুক,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
khodeza,	খোদেজ,	খোদেজা,	
uchchataro,	উচ্চতর,	উচ্চতর,	
pack,	প্যাক,	প্ল্যাক,	
booroon,	বুরুন,	বোরন,	
baasate,	বাসাতে,	বাসাতে,	
ingrejraa,	ইংরেজ্রা,	ইংরেজরা,	
satarkatar,	সর্তকতার,	সতর্কতার,	
moolgoto,	মুলগত,	মূলগত,	
krej,	ক্রেজ,	ক্রেজ,	
dibeting,	ডাবাইটিং,	ডিবেটিং,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
karechi,	করেছি,	করেছি,	
tatira,	তাতির,	তাঁতিরা,	
yura,	ইউরা,	ইউরো,	
shaannaal,	সান্নাল,	সান্যাল,	
aairis,	আইরিশ,	আইরিস,	
nathibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
karecha,	করেছা,	করেছ,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
basake,	বাসাকে,	বাসাকে,	
sangkalanti,	সংকলানটি,	সংকলনটি,	
falashrutiti,	ফলস্রুতিটি,	ফলশ্রুতি,	
koner,	কোণের,	কনের,	
query,	কুরি,	কোয়েরি,	
pradeep,	প্রদেপ,	প্রদীপ,	
sookkho,	সূক্ষ,	সুক্ষ্ম,	
utsaho,	উত্সাহ,	উৎসাহ,	
breaqthrough,	ব্র্ট্রোফ,	ব্রেকথ্রু,	
deejijer,	ডিজিজের,	ডিজিজের,	
dokaneyi,	দোকানেই,	দোকানেই,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
jonmato,	জন্মতত,	জন্মাত,	
netherlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
atyacarito,	অত্যকারিত,	অত্যাচারিত,	
hosain,	হোসাইন,	হোসেইন,	
valobasey,	ভালবাসে,	ভালোবাসে,	
metroopalitana,	মেট্রোপলেটান,	মেট্রোপলিটন,	
parbatmala,	পর্বতম্লা,	পর্বতমালা,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
doover,	দুভের,	ডোভার,	
shift,	সিফ্ট,	শিফট,	
tuner,	টুনের,	টিউনার,	
jacksan,	জক্ষণ,	জ্যাকসন,	
chhilona,	ছিলনা,	ছিলনা,	
duckticketer,	ডাক্তিকেতের,	ডাকটিকিটের,	
bikargrasta,	বিকর্গস্ত,	বিকারগ্রস্ত,	
rajashri,	রাজস্রী,	রাজশ্রী,	
monohor,	মনোহর,	মনোহর,	
ajibon,	আজিবন,	আজীবন,	
messenjer,	মেসনেজের,	মেসেঞ্জার,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
bachhayi,	বাছাই,	বাছাই,	
gemske,	গেমসসকে,	জেমসকে,	
vittiteo,	ভিত্তিও,	ভিত্তিতেও,	
ajouno,	অজৌন,	অযৌন,	
hazat,	হজাত,	হজত,	
rockibul,	রক্কিবুল,	রকিবুল,	
postay,	পোস্টে,	পোষ্টে,	
chetnagato,	চেতনাগত,	চেতনাগত,	
chopal,	চপাল,	চপল,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
emergency,	ইমের্জ্যান্সি,	এমার্জেন্সি,	
spenser,	স্প্ন্সের,	স্পেন্সার,	
vugten,	ভুগতেন,	ভুগতেন,	
bufer,	বাফার,	বাফার,	
balabhadra,	বলভদ্র,	বলভদ্র,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
chedon,	চেদন,	ছেদন,	
cholochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
ssosha,	সোষা,	শশা,	
hedje,	হেজ,	হেজ,	
sobrokomer,	সব্রকমের,	সবরকমের,	
holdin,	হলদিন,	হোল্ডিং,	
plak,	প্লক,	প্ল্যাক,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
dhhaloor,	ঢালুর,	ঢালুর,	
phemale,	ফেমলে,	ফিমেল,	
vaider,	ভাইদের,	ভাইদের,	
gaandas,	গান্ডাস,	জ্ঞানদাস,	
airish,	আইরিশ,	আইরিস,	
sifi,	সিফি,	সাইফাই,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
ekok,	একক,	একক,	
mandape,	মন্ডপে,	মন্ডপে,	
sweety,	স্বীতি,	সুইটি,	
mmadhobbir,	মাধববির,	মাধবীর,	
aameenar,	আমিনার,	আমিনার,	
aakkaash,	আককাশ,	আককাস,	
pachbar,	পাঁচবার,	পাঁচবার,	
chorchita,	চর্চিত,	চর্চিত,	
qarlosa,	কার্লস,	কার্লোস,	
nopdnodir,	নপদ্যদীর,	নদনদীর,	
karmakarer,	কর্মকারের,	কর্মকারের,	
jackshon,	জক্ষণ,	জ্যাকসন,	
ponjeekaar,	পংজিকার,	পঞ্জিকার,	
eukalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
konagulo,	কোনগুলো,	কণাগুলো,	
quary,	কুরি,	কোয়েরি,	
chetna,	চেতনা,	চেতনা,	
adhyatmikata,	আধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
debholopar,	ডেভলপার,	ডেভলপার,	
heze,	হেজে,	হেজ,	
prabhura,	প্রভূর,	প্রভুরা,	
adhito,	অধিত,	অধীত,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
gitikobita,	গীতিকবিত,	গীতিকবিতা,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
saya,	সায়,	সোয়া,	
vaskor,	ভাস্কর,	ভাস্কর,	
prety,	প্রেতি,	প্রিটি,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
phaltu,	ফল্টু,	ফালতু,	
akhandota,	আখন্দটা,	অখণ্ডতা,	
gandho,	গন্ধ,	গন্ধ,	
thyachar,	থ্যাচার,	থ্যাচার,	
aalaaoler,	আলালের,	আলাওলের,	
thakani,	ঠাকানি,	থাকেনি,	
zack,	জ্যাক,	জ্যাক,	
shatjon,	সতজন,	সাতজন,	
bishwasho,	বিশ্বস,	বিশ্বাসও,	
bhatar,	ভাটার,	ভাতার,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
prajanankal,	প্রজননকল,	প্রজননকাল,	
norfolk,	নরফফক,	নরফোক,	
mozdur,	মজদুর,	মজদুর,	
kanader,	কানাদের,	কণাদের,	
vumija,	ভূমিজা,	ভূমিজ,	
oncholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
heebhi,	হিভি,	হেভি,	
victor,	ভিক্তর,	ভিক্টর,	
auxfordey,	অক্সোর্ডে,	অক্সফোর্ডে,	
haj,	হ্যাজ,	হয,	
pleeto,	প্লীত,	প্লেটো,	
kanaphlikta,	কনফ্লিক্ত,	কনফ্লিক্ট,	
sanghorshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
atok,	অটোক,	আটক,	
potochitro,	পতচিত্র,	পটচিত্র,	
satarkobhabe,	সতর্ককভাবে,	সতর্কভাবে,	
auttacharer,	আত্তচারের,	অত্যাচারের,	
subir,	সুবীর,	সুবীর,	
rajotwo,	রাজত্ব,	রাজত্ব,	
hisaber,	হিসাবের,	হিসাবের,	
shipa,	শিপ,	শিপ,	
ashanka,	আশঙ্ক,	আশঙ্কা,	
amarendro,	আমরেন্দ্র,	অমরেন্দ্র,	
basate,	বাসাতে,	বাসাতে,	
janasangjog,	জনসংবায,	জনসংযোগ,	
godabori,	গদাবীর,	গোদাবরী,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
bifol,	বিফল,	বিফল,	
phutanta,	ফুটন্ত,	ফুটন্ত,	
baasaate,	বাসাতে,	বাসাতে,	
horidar,	হরিদার,	হরিদ্বার,	
rigthter,	রিঠটের,	রাইটের,	
byaboharkareei,	ব্যবহাহরকারী,	ব্যবহারকারীই,	
uipoka,	উইপকা,	উইপোকা,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
oopohoron,	অপহরণ,	অপহরন,	
gambasi,	গম্বাসী,	গ্রামবাসী,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
muzibur,	মুজিবুর,	মুজিবুর,	
natians,	নেটনযস,	নেশনস,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
dwipgulote,	দ্বিপগুলোতে,	দ্বীপগুলোতে,	
poscime,	পশ্চিমে,	পশ্চিমে,	
mousum,	মৌসুম,	মৌসুম,	
rajtantrake,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
jolbe,	জলবে,	জ্বলবে,	
bonduk,	বন্দুক,	বন্দুক,	
shyooter,	শ্যুটের,	শ্যুটার,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
tigre,	টিগ্রে,	টাইগার,	
haitasha,	হাইটাস,	হাইটস,	
neelabh,	নীলভ,	নীলাভ,	
pathkram,	পাতক্রম,	পাঠক্রম,	
sudhui,	সুধুই,	শুধুই,	
obosan,	অবশন,	অবসান,	
mitrao,	মিত্রাও,	মিত্রও,	
byakkhabyatito,	ব্যক্ষবাযিত,	ব্যাখ্যাতীত,	
boner,	বোনের,	বনের,	
oddure,	অদ্যুরে,	অদুরে,	
behrampurer,	বাহরামপুরের,	বহরমপুরের,	
jins,	জিনসস,	জিন্স,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
janapoth,	জনপথ,	জনপথ,	
siiteyi,	সিইটেই,	শীতেই,	
kul,	কুল,	কুল,	
shajano,	সাজানো,	সাজানো,	
qyapasula,	ক্যাপসুল,	ক্যাপসুল,	
phirtee,	ফিরতি,	ফিরতি,	
azan,	আজন,	আজান,	
siqh,	শিখ,	শিখ,	
bolokarak,	বলককারক,	বলকারক,	
porijon,	পরিজন,	পরিজন,	
parry,	প্যারি,	পেরি,	
modhumotii,	মধুমতি,	মধুমতী,	
dhyanostho,	ধ্যনস্থ,	ধ্যানস্থ,	
asif,	আসীফ,	আসিফ,	
porishongkhanbid,	পরিসংখানবিদ,	পরিসংখ্যানবিদ,	
saazano,	সাজানো,	সাজানো,	
onker,	অঙ্কের,	ওঙ্কার,	
ghoorte,	ঘুরতে,	ঘুরতে,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
karleo,	কারেও,	করলেও,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
oedipush,	ওদিদাপ,	ইডিপাস,	
bishwashi,	বিশ্বসসী,	বিশ্বাসী,	
aieesa,	আইএস,	আইএএস,	
teenti,	তিনটি,	তিনটি,	
dhabi,	ধববী,	ঢাবি,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
selim,	সেলিং,	সেলিম,	
steeit,	স্টেইট,	স্টেইট,	
inziniyarsa,	ইন্জিয়ের্স,	ইঞ্জিনিয়ার্স,	
iura,	ইউরো,	ইউরো,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
dipti,	দিপ্তি,	ডেপুটি,	
saqara,	সাকার,	সাকার,	
kraim,	ক্রিম,	ক্রাইম,	
rilayeensa,	রিলেয়ন্স,	রিলায়েন্স,	
pat,	পাত,	পেত,	
bhejano,	ভেজানো,	ভেজানো,	
bang,	বঙ,	ব্যাং,	
roopdan,	রূপদান,	রুপদান,	
udar,	উদার,	উদর,	
patthkrom,	পাঠ্রক,	পাঠক্রম,	
oncholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
goreeb,	গরীব,	গরিব,	
poscate,	পশ্চাতে,	পশ্চাতে,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
durgondho,	দুর্গন্ধ,	দুর্গন্ধ,	
dhas,	ধাস,	ধস,	
ketechila,	কেটেছিল,	কেটেছিল,	
mag,	মগ,	এমএজি,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
siddhantey,	সিদ্ধান্তে,	সিদ্ধান্তে,	
kaferderkey,	কাফাদেরকে,	কাফেরদেরকে,	
ingrezra,	ইংরেজ্রা,	ইংরেজরা,	
utsahamulok,	উৎসাহমূলক,	উৎসাহমূলক,	
abortey,	আবর্তে,	আবর্তে,	
eokee,	ইকে,	এওকি,	
marjito,	মার্জিত,	মার্জিত,	
injil,	এঞ্জেল,	ইঞ্জিল,	
sadena,	সদেন,	সাডেন,	
hosney,	হোসনে,	হোসনে,	
manur,	মনুর,	মনুর,	
boshoborti,	বসবর্তী,	বশবর্তী,	
sloker,	স্লকের,	শ্লোকের,	
prabhuder,	প্রভূদের,	প্রভুদের,	
nirorthok,	নির্্থর,	নিরর্থক,	
grontho,	গ্রন্থ,	গ্রন্থ,	
longhan,	লঙ্ঘন,	লংঘন,	
porisromii,	পরিস্রমী,	পরিশ্রমী,	
gaddaafee,	গাদ্যাফী,	গাদ্দাফী,	
alsaara,	আলসারা,	আলসার,	
sipa,	সিপ,	শিপ,	
munim,	মুনিং,	মুনিম,	
elaakaate,	এলাকাতে,	এলাকাতে,	
moonshi,	মুনশী,	মুন্সি,	
babyloney,	বাবিলোন,	ব্যাবিলনে,	
naraphoka,	নরফাকা,	নরফোক,	
sarbharer,	সর্ভরের,	সার্ভারের,	
jonogononar,	জনগণনার,	জনগণনার,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
messengar,	মেসেঙ্জার,	মেসেঞ্জার,	
phala,	ফলল,	পোলো,	
baataree,	বাতারই,	ব্যাটারী,	
matt,	ম্যাট,	ম্যাট,	
firoz,	ফিরজ,	ফিরোজ,	
gitikobitar,	গীতিকবতির,	গীতিকবিতার,	
chalo,	চাল,	চলো,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
srimati,	শ্রীমতী,	শ্রীমতি,	
hoonayin,	হুনাইন,	হুনাইন,	
bahyo,	বহ্য,	বাহ্য,	
tarunderke,	তারুন্দকেরকে,	তরুণদেরকে,	
akhaate,	আখাতে,	একহাতে,	
dinesh,	ডাননশ,	দীনেশ,	
vugorvey,	ভূগরভা,	ভূগর্ভে,	
dibaag,	দিবাগ,	ডিবাগ,	
pashan,	পাষণ,	পাষাণ,	
as,	আস,	অস,	
uzbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
debating,	ডেবাটিং,	ডিবেটিং,	
qlauda,	ক্লাউড,	ক্লাউড,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
doshider,	দশীদের,	দোষীদের,	
maudeler,	মণ্ডেলের,	মডেলের,	
saamaanyai,	সামান্যাই,	সামান্যই,	
nodiitir,	নদীতীর,	নদীটির,	
samabeshti,	সমবেশ্টি,	সমাবেশটি,	
majlishpur,	মজলিস্পুর,	মজলিশপুর,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
manabmaner,	মননবমনের,	মানবমনের,	
daankan,	ডাঁকন,	ডানকান,	
kisti,	কিষ্টি,	কিস্তি,	
sthapanar,	স্থপননর,	স্থাপনার,	
agam,	আগাম,	আগম,	
hajaribag,	হাজরিবাগ,	হাজারিবাগ,	
siramiker,	শিরামিকের,	সিরামিকের,	
karecho,	করেছো,	করেছো,	
biswash,	বিশ্বাস,	বিশ্বাস,	
lutheerana,	লুঠারন,	লুথেরান,	
dule,	দুলে,	ডালে,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
bishod,	বিশদ,	বিষদ,	
amarjita,	অমর্জিত,	অমার্জিত,	
toroni,	তরনী,	তরণী,	
samoshti,	সমস্তি,	সমষ্টি,	
thela,	ঠেল,	ঠেলা,	
sinake,	সিনকে,	সিনাকে,	
kadom,	কাদম,	কদম,	
mosjidsaho,	মসীজসহ,	মসজিদসহ,	
mukhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
ispredseet,	ইস্পারেস,	স্প্রেডশীট,	
cheerontan,	চিরন্তন,	চিরন্তন,	
yak,	যাক,	ইয়াক,	
ekpase,	একপাশে,	একপাশে,	
bhugarbhe,	ভূগর্ভে,	ভূগর্ভে,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
conseervation,	কনসারভেশন,	কনসারভেশন,	
shpreadshheet,	স্প্রেডেট,	স্প্রেডশীট,	
brake,	ব্রকে,	ব্রেক,	
merjito,	মের্জিত,	মার্জিত,	
kumari,	কুমারী,	কুমারী,	
