tukror,	টুকরার,	টুকরোর,	
alpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
tap,	টপ,	ট্যাপ,	
kharaar,	খারার,	খরার,	
sanstha,	সংস্থ,	সংস্থা,	
rilayensa,	রিলেয়ান্স,	রিলায়েন্স,	
noter,	নটটের,	নোটের,	
tennys,	টেনিস,	টেনিস,	
kaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
nirantar,	নিরান্তর,	নিরন্তর,	
megher,	মেঘের,	মেঘের,	
proshikkhane,	প্রশিক্ষনে,	প্রশিক্ষণে,	
kada,	কাদা,	কোডা,	
khaamba,	খাম্ব,	খাম্বা,	
pab,	পাব,	পাব,	
dhyanostho,	ধ্যনন্থ,	ধ্যানস্থ,	
kromo,	ক্রোমো,	ক্রম,	
agamane,	আগামনে,	আগমনে,	
byataree,	ব্যাটারী,	ব্যাটারী,	
madrasakey,	মাদরাসকে,	মাদ্রাসাকে,	
everest,	ইভারেস্ট,	এভারেস্টে,	
yanqee,	ইনযাংক,	ইয়াংকি,	
anektai,	অনেকটিই,	অনেকটাই,	
gripe,	গ্রীপ,	গ্রিপ,	
bashoborty,	বাসবর্তী,	বশবর্তী,	
ghumachhe,	ঘুমাচে,	ঘুমাচ্ছে,	
haajarer,	হাজারের,	হাজারের,	
ghateer,	ঘাটির,	ঘাটির,	
meeting,	মেটিং,	মিটিং,	
soleel,	সলীল,	সলিল,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
hud,	হাদ,	হুড,	
aireshe,	আইরেশে,	আইরেসে,	
shringe,	শ্র্ঞেজ,	শৃঙ্গে,	
alpo,	আল্প,	অল্প,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
muladi,	মুলাদী,	মুলাদি,	
bhalobass,	ভালবাস,	ভালোবাসা,	
daqten,	ডাকতেন,	ডাকতেন,	
kachhakaachhi,	কাছাাাচি,	কাছাকাছি,	
muphti,	মুফতী,	মুফতি,	
ikbalke,	একবালকে,	ইকবালকে,	
tiner,	টিনের,	তিনের,	
crete,	ক্রেট,	ক্রীট,	
aagom,	আগম,	আগম,	
lohaar,	লাহার,	লোহার,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
chedropathe,	ছিদ্রপথে,	ছিদ্রপথে,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
kaanaai,	কানাই,	কানাই,	
suraropito,	সুরারপিত,	সুরারোপিত,	
firozer,	ফিরজের,	ফিরোজের,	
deembakreeti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
apargota,	অপর্গত,	অপারগতা,	
olympicer,	অলিম্পিকার,	অলিম্পিকের,	
zohns,	জনস,	জন্স,	
eemeergeency,	ইমার্জেন্সি,	এমার্জেন্সি,	
chaakti,	চাঁকি,	চাকতি,	
patochitra,	পতিচত্র,	পটচিত্র,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
dale,	দলে,	ডালে,	
kod,	কদ,	কোড,	
zoneser,	জোনসের,	জোন্সের,	
vabatarini,	ভাবাটিরী,	ভবতারিণী,	
olympic,	অলিম্পিক,	অলিম্পিক,	
superhiro,	সুপারিহ,	সুপারহিরো,	
cholochchitreeo,	চলচিত্রিও,	চলচ্চিত্রেও,	
mozdoor,	মজদুর,	মজদুর,	
gandagol,	গণ্ডগোল,	গন্ডগোল,	
sabhanetri,	সভানেত্রী,	সভানেত্রী,	
niketon,	নিকেটন,	নিকেতন,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
nottee,	নটটি,	নোটটি,	
sorano,	সরানো,	সরানো,	
makhmale,	মাখমালে,	মখমলে,	
mokam,	মকাম,	মোকাম,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
bedey,	বেদে,	বেদে,	
shikhbey,	শিখবে,	শিখবে,	
rubeta,	রুবেত,	রাবেতা,	
ekhaate,	এখাতে,	একহাতে,	
chhootite,	ছুটিতে,	ছুটিতে,	
bhittow,	ভিত্,	ভিত্তিও,	
katbey,	কাটবে,	কাটবে,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
koilaash,	কৈলাশ,	কৈলাস,	
jonite,	যোনিতে,	যোনীতে,	
graambashee,	গ্রাম্বাসী,	গ্রামবাসী,	
sabyastha,	সব্যস্থ,	সাব্যস্থ,	
qings,	কিংস,	কিংস,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
phoksher,	ফক্ষের,	ফক্সের,	
tate,	তাটে,	তাতে,	
zacksan,	জক্ষন,	জ্যাকসন,	
palkee,	পাকি,	পাল্কি,	
gananatyo,	গণনত্,	গণনাট্য,	
bitolser,	বিটলসের,	বিটলসের,	
gage,	গগে,	গেজ,	
shangsthatir,	সংস্থতির,	সংস্থাটির,	
inamila,	ইনামিলো,	এনামেল,	
shaatjoner,	সাতজনের,	সাতজনের,	
houstoner,	হোস্টনের,	হিউস্টনের,	
sotorko,	সতর্ক,	সতর্ক,	
karmakarer,	কর্মকারের,	কর্মকারের,	
yaak,	যাক,	ইয়াক,	
masjidsaha,	মসিজিদসহ,	মসজিদসহ,	
taalal,	তালাল,	তালাল,	
saholobhyotar,	সহলভ্যতার,	সহজলভ্যতার,	
ancholti,	অঞ্চলটি,	অঞ্চলটি,	
hunayin,	হুনাইন,	হুনাইন,	
somabeshke,	সমাবেশকে,	সমাবেশকে,	
inastyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
breaqthrough,	ব্রেক্রযোগ,	ব্রেকথ্রু,	
palbongsher,	পালবংশের,	পালবংশের,	
gaddaafee,	গাদ্দাফি,	গাদ্দাফী,	
shhcholashtik,	স্কলাস্তিক,	স্কলাস্টিক,	
mozlis,	মজলিস,	মজলিশ,	
doojoo,	দজু,	ডোজো,	
osshoshtikor,	অস্বশ্তিকর,	অস্বস্তিকর,	
second,	সেকন্দ,	সেকেণ্ড,	
kaalaam,	কলাম,	কালাম,	
hoola,	হোল,	হোল,	
gotibegey,	গতিবেগে,	গতিবেগে,	
aholar,	আহলার,	অহল্যার,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
anupater,	অনুপতের,	অনুপাতের,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
meetar,	মেটার,	মিত্র,	
kalkarkhana,	কালকারষা,	কলকারখানা,	
tyapa,	ট্যাপ,	ট্যাপ,	
dibate,	দিবতে,	ডিবেট,	
sumita,	সুমিতা,	সুমিতা,	
nama,	নামা,	নমো,	
praapokke,	প্রাপককে,	প্রাপককে,	
prokolpotike,	প্রকল্পিতেক,	প্রকল্পটিকে,	
maldava,	মলদদাভা,	মলদোভা,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
nirvaha,	নির্বাহ,	নির্বাহ,	
hilser,	হিলসের,	হিলসের,	
cheesa,	চিস,	চেস,	
rajashri,	রাজস্রী,	রাজশ্রী,	
soptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
ishter,	ইষ্টার,	ইস্টের,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
fiksa,	ফিক্স,	ফিক্স,	
kaloniir,	কালনীর,	কালনীর,	
aanish,	আনিশ,	আনিস,	
shaalehaa,	সালেহা,	সালেহা,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
cutie,	কুটি,	কিউটি,	
plus,	প্লাস,	প্লাস,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
greep,	গ্রিপ,	গ্রিপ,	
amerikar,	আমেরিকার,	আমেরিকার,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
sharifpur,	শরিপপুর,	শরিফপুর,	
torkareer,	তরকারির,	তরকারীর,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
angkita,	অংকিত,	অঙ্কিতা,	
ashangka,	অশঙ্ক,	আশংকা,	
churger,	চুর্গের,	চার্জের,	
porishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
prokalpagulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
laiseensa,	লেসেন্স,	লাইসেন্স,	
fokshkon,	ফক্কণ,	ফক্সকন,	
protishtan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
kyapasula,	ক্যাপসুল,	ক্যাপসুল,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
manobmoner,	মানবমনের,	মানবমনের,	
masterer,	মোস্টারের,	মাস্টারের,	
saseeja,	সাসীজা,	সসেজ,	
shalsa,	সালসা,	সালসা,	
uponishod,	উপনিষদ,	উপনিষদ,	
phirti,	ফিরটি,	ফিরতি,	
prakalpagulo,	প্রকালগুলো,	প্রকল্পগুলো,	
koruna,	করুনা,	করুণা,	
tempaleta,	টেম্পালেট,	টেম্পলেট,	
laiseensee,	লেসেন্স,	লাইসেন্স,	
srimati,	শ্রীমতী,	শ্রীমতি,	
sosharire,	সশারীরে,	সশরীরে,	
gheshe,	ঘেষে,	ঘেঁষে,	
rahi,	রাহি,	রাহী,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
ias,	আয়স,	আইএএস,	
vangley,	ভাঙলে,	ভাঙলে,	
vaphara,	ভাফার,	বাফার,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
koreemer,	করিমের,	করিমের,	
suchorita,	সুচরিত,	সুচরিতা,	
fatakesto,	ফটকেশ্ট,	ফাটাকেষ্ট,	
zeebonjapon,	জীবনাপপন,	জীবনযাপন,	
idyi,	এদি,	আইডিই,	
hisaber,	হিসাবের,	হিসাবের,	
basa,	বসা,	বাসা,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
nirorthok,	নিরর্থক,	নিরর্থক,	
ogovir,	অগোভীর,	অগভীর,	
nutaner,	নটানের,	নূতনের,	
bhiqtara,	ভিক্টর,	ভিক্টর,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
shilvar,	সিলভার,	সিলভার,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
elaakaatike,	এলাকাতিকে,	এলাকাটিকে,	
haj,	হ্যাজ,	হয,	
mulor,	মুলর,	মুলোর,	
rakhtokkharone,	রক্তখরণে,	রক্তক্ষরণে,	
osthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
charjara,	চারজারা,	চার্জার,	
makang,	ম্যাকাং,	মেকং,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
ptolemir,	পোলেমির,	টলেমির,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
sadbi,	সদবি,	সাধ্বী,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
ramdhonu,	রামধানু,	রামধনু,	
istoone,	ইস্টোন,	স্টোন,	
musalmankey,	মুসল্মনকে,	মুসলমানকে,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
anchaltite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
badhano,	বাঁধানো,	বাঁধানো,	
kaushalgata,	কৌশলগত,	কৌশলগত,	
saom,	সাম,	সাওম,	
chilahaati,	চিলাহাতি,	চিলাহাটি,	
shatodha,	শতধ,	শতধা,	
bocchoner,	বচ্চনের,	বচ্চনের,	
kaathhmaandute,	কাঠানন্দুতে,	কাঠমান্ডুতে,	
mitrer,	মিত্রের,	মিত্রের,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
riphleksha,	রাইফেলকস,	রিফ্লেক্স,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
shkalashtika,	স্কলসট্টিক,	স্কলাস্টিক,	
monohputa,	মনোপুতা,	মনঃপুত,	
fanser,	ফাঁসের,	ফাঁসের,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
shooknaa,	শুকনা,	শুকনা,	
debholopar,	ডেভলপার,	ডেভলপার,	
besoor,	বেসুর,	বেসুর,	
bahaati,	বাহাটি,	বাহাতি,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
shcore,	স্কোর,	স্কোর,	
mutar,	মুটর,	মুতার,	
thime,	থাইম,	থিমে,	
debdebyr,	দেবদেবির,	দেবদেবীর,	
huqar,	হুকার,	হুকার,	
sohokari,	সহকারি,	সহকারী,	
jotota,	যতটা,	যতোটা,	
nirvahi,	নির্বাহী,	নির্বাহি,	
shepherd,	সেফার্ড,	শেফার্ড,	
aqram,	একরাম,	আকরাম,	
shomraatder,	সম্রাতদের,	সম্রাটদের,	
dhila,	ধিলা,	ঢিলা,	
uzobekeestaaner,	উজবেক্তানের,	উজবেকিস্তানের,	
mousumer,	মৌসুমের,	মৌসুমের,	
khelafotey,	খেলাফতে,	খেলাফতে,	
thakte,	থাকাতে,	থাকতে,	
matthew,	মাঠেও,	ম্যাথিউ,	
aanaan,	আনান,	আনান,	
uru,	ঊরু,	উরু,	
alpa,	আল্প,	অল্প,	
mozlishpur,	মজলিস্পুর,	মজলিশপুর,	
abasane,	আবাসনে,	অবসানে,	
dholeshori,	ধলেশরি,	ধলেশ্বরী,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
atohar,	অতোহার,	আতহার,	
conservation,	কনসারভেশন,	কনসারভেশন,	
sarder,	সর্দার,	সরদার,	
freedom,	ফ্রিডম,	ফ্রীডম,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
uparjoner,	উপার্জনের,	উপার্জনের,	
kemone,	কেমনে,	কেমনে,	
daap,	ডাপ,	ড্যাপ,	
kathmandutey,	কাঠান্ডুতে,	কাঠমান্ডুতে,	
kormi,	কর্মী,	কর্মই,	
ved,	ভেদ,	বেদ,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
adhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
deeyenes,	ডিএনএস,	ডিএনএস,	
kompekt,	কমপ্েক্ট,	কমপ্যাক্ট,	
rubala,	রোবাল,	রুবল,	
heze,	হেজে,	হেজ,	
ashonkai,	আসঙকেই,	আশঙ্কাই,	
pacchi,	পাঁচি,	পাচ্ছি,	
manob,	মানব,	মানব,	
diana,	ডিয়ান,	ডায়না,	
spredshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
isahak,	ইসহাক,	ইসাহাক,	
cheere,	চেরে,	চিরে,	
nutoner,	নটিনের,	নূতনের,	
thailandsoho,	থাইলানসহ,	থাইল্যান্ডসহ,	
qinsa,	কিনস,	কিংস,	
female,	ফেমালে,	ফিমেল,	
bazaareo,	বাজারেও,	বাজারেও,	
fastara,	ফাস্টার,	ফস্টার,	
dienes,	ডিএনএস,	ডিএনএস,	
ganona,	গণনা,	গণনা,	
bii,	বি,	বি,	
nirapottamulok,	নিরপ্ততামূলক,	নিরাপত্তামূলক,	
forma,	ফরমা,	ফর্মা,	
konrup,	কনরুপ,	কোনরূপ,	
licensedharii,	লিসেন্সাধীর,	লাইসেন্সধারী,	
moomtajer,	মুতাজের,	মুমতাজের,	
jolatongko,	জলাটঙ্ক,	জলাতঙ্ক,	
aaeerese,	আইরিশে,	আইরেসে,	
gandhiike,	গান্ধীকে,	গান্ধীকে,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
deeares,	ডিরাস,	ডিআরএস,	
goore,	গোরে,	গোর,	
sahajlabhbhotar,	সহজলভভতার,	সহজলভ্যতার,	
neelkuthir,	নীলকুঠির,	নীলকুঠির,	
nischay,	নিশ্চে,	নিশ্চয়,	
hajjirhat,	হাজিহরাট,	হাজিরহাট,	
meg,	মেগ,	মেগ,	
serverty,	সার্ভার্তি,	সার্ভারটি,	
dimbacriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
subader,	সুবাদের,	সুবাদে,	
nirmaankaaj,	নির্মাণাজ,	নির্মাণকাজ,	
chutite,	ছুটিতে,	ছুটিতে,	
tenys,	টেনিস,	টেনিস,	
shaahoshikataar,	সাহসিকতার,	সাহসিকতার,	
soorsa,	সোর্স,	সোর্স,	
hamasa,	হামস,	হোমস,	
peterer,	পেটারের,	পিটারের,	
swarthe,	স্বার্থে,	স্বার্থে,	
jony,	জনি,	জনি,	
satarkabhabey,	সাতরকাভাবে,	সতর্কভাবে,	
adhyattikota,	আধ্যািকতিকা,	আধ্যাত্মিকতা,	
marmaara,	মারমার,	মারমারা,	
nimitto,	নিমিত্য,	নিমিত্ত,	
habshi,	হাবি,	হাবশী,	
chetanagoto,	ছেতানগত,	চেতনাগত,	
provuder,	প্রভূদের,	প্রভুদের,	
odhito,	অধিত,	অধীত,	
sip,	শীপ,	শিপ,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
phutbolarer,	ফুটবলের,	ফুটবলারের,	
hotodoreedro,	হতোদীরদ্র,	হতদরিদ্র,	
ruvbla,	রাবাল,	রুবল,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
shapad,	সাপাদ,	শ্বাপদ,	
bhushito,	ভূষিত,	ভূষিত,	
kampito,	কম্পিত,	কম্পিত,	
dinner,	দিনার,	ডিনার,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
temone,	তেমনে,	তেমনই,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
mohakobi,	মহাকাবি,	মহাকবি,	
kobutorer,	কবুতরের,	কবুতরের,	
manjurul,	মঞ্জুরুল,	মনজুরুল,	
shaddhi,	সদ্ধি,	সাধ্বী,	
kaansaat,	কাঁসাত,	কানসাট,	
hori,	হরি,	হরি,	
chalabe,	চালাবি,	চালাবে,	
bhabotarini,	ভববতারিণী,	ভবতারিণী,	
engineersh,	এঞ্জিন্রাস,	ইঞ্জিনিয়ার্স,	
bandhano,	বাঁধনন,	বাঁধানো,	
kark,	কার্ক,	কার্ক,	
nirabata,	নীরবতা,	নিরবতা,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
hosne,	হসনে,	হোসনে,	
angurer,	আঙুরের,	আঙ্গুরের,	
mashtarsha,	মস্তার্স,	মাস্টার্স,	
jemser,	জেমসের,	জেমসের,	
sulphate,	সালফাটে,	সালফেট,	
teknokret,	টেকনোর্কেট,	টেকনোক্র্যাট,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
tetela,	টোটেল,	টাইটেল,	
asommati,	অসম্মতি,	অসম্মতি,	
mache,	মাছে,	মাছে,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
pyaleshtaine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
akkaas,	আকাশ,	আককাস,	
laisensim,	লেসেনিং,	লাইসেন্সিং,	
chalchhe,	চালচে,	চলছে,	
jeesh,	জিস,	জেস,	
uter,	উটের,	উটের,	
mausumeo,	মৌসুমেও,	মৌসুমেও,	
bosontokke,	বসন্তকে,	বসন্তকে,	
daktikite,	ডাক্তিকিতে,	ডাকটিকিটে,	
batsmanei,	বাসমননে,	ব্যাটসম্যানই,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
chirantan,	চিরন্তান,	চিরন্তন,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
platoo,	প্লাটু,	প্লেটো,	
chalochchitratike,	চলচ্চিত্রাতিকে,	চলচ্চিত্রটিকে,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
aatto,	আত্ম,	আত্ম,	
natshi,	নাৎসি,	নাত্সি,	
bishasey,	বিশাসে,	বিশ্বাসে,	
bifol,	বিফল,	বিফল,	
pravritir,	প্রভূতির,	প্রভৃতির,	
ajibon,	আজিবন,	আজীবন,	
jolorong,	জলরর,	জলরঙ,	
shchalastik,	স্কলসাত্তিক,	স্কলাস্টিক,	
jivjontu,	জীবজন্তু,	জীবজন্তু,	
itemer,	ইটিমের,	আইটেমের,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
smaraker,	স্মারকের,	স্মারকের,	
janmaat,	জন্মাত,	জন্মাত,	
daktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
gazipur,	গাজীপুর,	গাজিপুর,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
nirmankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
dep,	ডিপ,	ডেপ,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
joubanbatee,	যৌবনবিত,	যৌবনবতী,	
mosjidtikey,	মস্জিদটিকে,	মসজিদটিকে,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
morathee,	মোরাঠী,	মরাঠি,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
chalta,	চলত,	চালতা,	
meghachonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
solil,	সলীল,	সলিল,	
chhootochhuti,	ছোটোচুটি,	ছুটোছুটি,	
benish,	বেনিস,	ভেনিস,	
bholapuqa,	ভলাপুকা,	ভোলাপুক,	
bhageroi,	ভাগেরই,	ভাগেরই,	
eastar,	ইস্টার,	ইস্টার,	
iispredsheet,	ইস্প্রডেসেট,	স্প্রেডশীট,	
smarok,	স্মারক,	স্মারক,	
gezeted,	গেজেটেড,	গেজেটেড,	
tateo,	তাটেও,	তাতেও,	
parqasa,	পার্কস,	পার্কস,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
methaner,	মেথানের,	মিথেনের,	
progresh,	প্রগগ্রাস,	প্রগ্রেস,	
faster,	ফাস্টার,	ফস্টার,	
durgotsabe,	দুর্গতভাবে,	দুর্গোৎসবে,	
mit,	মিট,	মিট,	
swastir,	শ্বস্তির,	স্বস্তির,	
sahojlabhbhotar,	সহজলভভতার,	সহজলভ্যতার,	
bager,	বাগের,	বাগের,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
taufiq,	তৌফিক,	তৌফিক,	
eenameel,	ইনামেল,	এনামেল,	
khalidkay,	খািলিদকে,	খালিদকে,	
vagna,	ভাগনা,	ভগ্ন,	
nagalyand,	নগলল্যান্ড,	নাগাল্যান্ড,	
vobanir,	ভবানীর,	ভবানীর,	
elakatir,	এলাকাতির,	এলাকাটির,	
vorodwaj,	ভররদজ্যাজ,	ভরদ্বাজ,	
chirakumari,	চিরকুমারী,	চিরকুমারী,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
jathartha,	যথার্থ,	যথার্থ,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
advoot,	অদিভ,	অদ্ভুত,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
chanoo,	চানু,	চানু,	
bidghutey,	বিধুুতে,	বিদঘুটে,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
gaddafi,	গাদ্দাফি,	গাদ্দাফী,	
janachhe,	জানাচে,	জানাচ্ছে,	
shpredashhita,	স্প্রাডশেট,	স্প্রেডশীট,	
rupantar,	রূপান্তর,	রুপান্তর,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
danober,	দানবের,	দানবের,	
sekarone,	স্কাকরণে,	সেকারণে,	
sheekarder,	শিকারদের,	শিকারদের,	
par,	পার,	পাব,	
gootano,	গুটানো,	গুটানো,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
alaa,	আলা,	আলা,	
heedgee,	হেজ,	হেজ,	
sampadaner,	সম্পদদের,	সম্পাদনের,	
jaunatar,	যৌনতার,	যৌনতার,	
ayantarkatika,	অন্টর্কতিক,	অ্যান্টার্কটিকা,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
odhuna,	অধুনা,	অধুনা,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
avatara,	আওতারা,	অবতার,	
dharavahikeo,	ধারাভাহীকে,	ধারাবাহিকেও,	
spreadsheet,	স্প্রেডসেট,	স্প্রেডশীট,	
jahor,	জাহর,	জহর,	
pleeto,	প্লেট,	প্লেটো,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
basturoi,	বস্তুরই,	বস্তুরই,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
alexanderke,	আলেক্ষান্দারকে,	আলেকজান্ডারকে,	
grambashee,	গ্রাম্বাসী,	গ্রামবাসী,	
maniktala,	মনিকতল,	মানিকতলা,	
footbalarder,	ফুটবলরদের,	ফুটবলারদের,	
korkatkranti,	কর্তক্রর্তি,	কর্কটক্রান্তি,	
gobeshana,	গবেষণা,	গবেষনা,	
shangkalonti,	সংকললন্তি,	সংকলনটি,	
maley,	মালে,	মালে,	
lajikar,	লাজিকর,	লজিকের,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
hazirhaat,	হাজিহহাট,	হাজিরহাট,	
gate,	গেট,	গ্যেটে,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
nazad,	নজদ,	নজদ,	
paakshenara,	পাকসেনার,	পাকসেনারা,	
byaboharkarie,	ব্যবহারকারি,	ব্যবহারকারীই,	
sayanaida,	সায়ানাইদ,	সায়ানাইড,	
shikha,	শিখা,	শিখ,	
chaanoo,	চানু,	চানু,	
paade,	পাদে,	পাড়ে,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
obosan,	অবসান,	অবসান,	
engrejer,	ইংরেজের,	ইংরেজের,	
allubokhara,	অলোবভারা,	আলুবোখারা,	
devolapar,	ডেভলপার,	ডেভলপার,	
deliwer,	দিলিভার,	ডেলিভার,	
dharavahikbhabey,	ধারাভিভকাবে,	ধারাবাহিকভাবে,	
milekhaanek,	মিলেখানক,	মাইলখানেক,	
pothchari,	পথচারী,	পথচারী,	
byabaharkareederke,	ব্যবহারকারীদে,	ব্যবহারকারীদেরকে,	
nyeta,	ন্যাট,	ম্যাট,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
abasare,	অবসারে,	অবসরে,	
moushumti,	মৌসমটি,	মৌসুমটি,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
dharmantar,	ধর্মান্তর,	ধর্মান্তর,	
sachetonbhabe,	সচেতনাভাবে,	সচেতনভাবে,	
aieesa,	আইএসএ,	আইএএস,	
pravu,	প্রভূ,	প্রভু,	
otiiteo,	অতিতেও,	অতীতেও,	
gujob,	গুজব,	গুজব,	
nathibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
romnar,	রোমার,	রমনার,	
shainyara,	সৈন্যরা,	সৈন্যরা,	
udbodhane,	উদ্বোধনে,	উদ্বোধনে,	
bodka,	বদকা,	ভদকা,	
ketechilo,	কেটেছিল,	কেটেছিল,	
baireo,	বৈরেও,	বাইরেও,	
lutherana,	লুঠারনা,	লুথেরান,	
hydra,	হাইড্র,	হাইড্রা,	
tarbine,	টারবাইন,	টারবাইন,	
noditir,	নদীতীর,	নদীটির,	
nariikei,	নারীকেই,	নারীকেই,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
bagmara,	বাগমারা,	বাগমারা,	
farex,	ফরেক্স,	ফরেক্স,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
heavi,	হেভি,	হেভি,	
ekoirokom,	একারকম,	একইরকম,	
soccar,	সক্র,	সকার,	
routiner,	রাউটিনের,	রুটিনের,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
hedje,	হেজ,	হেজ,	
