dibeta,	দিবিতা,	ডিবেট,	
goonoman,	গুণমান,	গুণমান,	
songasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
astheesandhi,	অস্থিষন্থি,	অস্থিসন্ধি,	
parbatya,	পর্বত্্,	পার্বত্য,	
dhanyi,	ধানই,	ধন্যি,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
lombatey,	লম্বাতে,	লম্বাটে,	
rejidence,	রেজিদেন্ডে,	রেসিডেন্স,	
chetona,	ছেতনা,	চেতনা,	
munsi,	মুনসী,	মুন্সী,	
ganaporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
khilafot,	খিলাফত,	খিলাফত,	
phoolkopi,	ফুলকুপি,	ফুলকপি,	
parkasa,	পার্কস,	পার্কস,	
pholo,	ফল,	পোলো,	
bagey,	বাগে,	বাগে,	
bhiqtara,	ভিক্টার,	ভিক্টর,	
koieri,	কইয়েরি,	কোয়েরি,	
temas,	টেমাস,	টাইমস্,	
aireshe,	আইরেশে,	আইরেসে,	
kash,	কাশ,	কাস,	
stoonehenge,	স্তুনেহে,	স্টোনহেঞ্জ,	
badna,	বদনা,	বদনা,	
simons,	সিমসস,	সিমন্স,	
masjidti,	মস্জিদি,	মসজিদটি,	
sinakey,	সিনাকে,	সিনাকে,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
karima,	কারিমা,	করিম,	
peeth,	পিথ,	পীঠ,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
nobom,	নবম,	নবম,	
kanooner,	কানুরের,	কানুনের,	
tonu,	তনু,	তনু,	
harriser,	হ্যারিশের,	হ্যারিসের,	
taruner,	তরুনের,	তরুণের,	
upobaashee,	উপবাসী,	উপবাসী,	
soholovyotar,	সহলভোত্র,	সহজলভ্যতার,	
joubanbotii,	যৌবনবততী,	যৌবনবতী,	
shomsti,	সমস্টি,	সমষ্টি,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
annimated,	অনিমেতাদ,	এনিমেটেড,	
barbadoj,	বার্বাডোজ,	বার্বাডোজ,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
boshoborti,	বসবর্তী,	বশবর্তী,	
uparjon,	উপার্জন,	উপার্জন,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
sangasthati,	সংস্থাটি,	সংস্থাটি,	
folok,	ফলক,	ফলক,	
moqam,	মোকাম,	মোকাম,	
samajikotar,	সামাজিকিকার,	সামাজিকতার,	
thanvee,	থানভী,	থানভী,	
foolkopi,	ফুলকুপি,	ফুলকপি,	
bbiseshyer,	বিশেষের,	বিশেষ্যের,	
moshjidshoho,	মসসিিদোশ,	মসজিদসহ,	
ganona,	গণনা,	গণনা,	
vittiteow,	ভিত্তিতিও,	ভিত্তিতেও,	
agam,	অগাম,	আগম,	
prokalpati,	প্রকল্পটি,	প্রকল্পটি,	
adhito,	অধিত,	অধীত,	
venam,	ভানাম,	ভেনম,	
quari,	কুয়ে,	কোয়েরি,	
brekthrough,	ব্রেকফারঘ,	ব্রেকথ্রু,	
onker,	অঙ্কের,	ওঙ্কার,	
goodamjato,	গুদামজাত,	গুদামজাত,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
ide,	এদ,	আইডিই,	
esiyatika,	এসিয়িট,	এশিয়াটিক,	
shaatjon,	সাযজন,	সাতজন,	
jarul,	জরুল,	জারুল,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
ekeerokom,	একিরকম,	একইরকম,	
graambaasio,	গ্রাম্াসেও,	গ্রামবাসীও,	
kaaru,	কারু,	কারু,	
bronje,	ব্রঞ্জ,	ব্রোঞ্জ,	
euro,	ইউরও,	ইউরো,	
alpo,	আল্প,	অল্প,	
gulen,	গুলেন,	গুলেন,	
parser,	পারসের,	পার্শ্বের,	
zoneser,	জননেসের,	জোন্সের,	
elaakatir,	এলাকাটির,	এলাকাটির,	
konake,	কোনকে,	কণাকে,	
grambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
baharamapurer,	বহরামমুরের,	বহরমপুরের,	
dhyana,	ধানা,	ধ্যান,	
ragkey,	রাগকে,	রাগকে,	
jubokti,	যুবক্তি,	যুবকটি,	
somraat,	সমরাত,	সম্রাট,	
codey,	কোড,	কোডে,	
masajida,	মাসাজিদা,	মসজিদ,	
mukhomaundoler,	মুখমন্ডুলের,	মুখমণ্ডলের,	
boudher,	বৌদের,	বৌদ্ধের,	
zubokti,	যুবক্তি,	যুবকটি,	
phoksher,	ফোক্সের,	ফক্সের,	
akten,	আঁকতেন,	অকটেন,	
prakalpati,	প্রকল্পটি,	প্রকল্পটি,	
purple,	পার্পল,	পার্পেল,	
swarther,	স্বার্থের,	স্বার্থের,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
dhonyi,	ধনই,	ধন্যি,	
orbiit,	অর্বিট,	অরবিট,	
madeelim,	ম্যাডেলিম,	মডেলিং,	
novel,	নোভেল,	নভেল,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
turista,	তুরিষ্ট,	টুরিস্ট,	
jeellool,	জিল্লুল,	জিল্লুল,	
shikhar,	শিখার,	শিকার,	
noditi,	নদীতি,	নদীটি,	
nathivukteer,	নাথিভক্তুর,	নথিভুক্তির,	
somsher,	সমশের,	সমশের,	
rushad,	রুশদ,	রুশদ,	
setite,	সেটিতে,	সেটিতে,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
siropadharii,	শিরপপধারী,	শিরোপাধারী,	
juktorastroshoho,	যুক্তরস্রস্রস্থ,	যুক্তরাষ্ট্রসহ,	
bahubar,	বহুবার,	বহুবার,	
krus,	ক্রাশ,	ক্রুশ,	
tarbine,	তারবিনে,	টারবাইন,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
janasangjog,	জনসংযো,	জনসংযোগ,	
landin,	লন্ডন,	ল্যান্ডিং,	
hitaishi,	হিটাশি,	হিতৈষী,	
nathibhookteer,	নাথিভক্তুর,	নথিভুক্তির,	
maddhobir,	মাধবীর,	মাধবীর,	
konroop,	কোরোপপ,	কোনরূপ,	
nirgun,	নিরগগুণ,	নির্গুণ,	
shite,	সাইটে,	শীতে,	
lisense,	লিসােস্স,	লাইসেন্স,	
shangkulan,	সংকুলজন,	সংকুলান,	
dokaangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
kemone,	কেমনে,	কেমনে,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
debaag,	দেবাগ,	ডিবাগ,	
bolvodro,	বলবদ্র,	বলভদ্র,	
sompadonkaree,	সম্পাদকারকী,	সম্পাদনকারী,	
preti,	প্রেতি,	প্রিটি,	
pujito,	পুজিত,	পুজিত,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
jackey,	যকে,	জকি,	
sangastha,	সংস্থা,	সংস্থা,	
janagononar,	জনগননার,	জনগণনার,	
asamorthito,	অসমবর্থিত,	অসমর্থিত,	
gaze,	গেজে,	গেজ,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
militarir,	মিলিটারীর,	মিলিটারির,	
nopdikey,	নোপদীকে,	নদীকে,	
karmakarer,	কর্মকারের,	কর্মকারের,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
satarkobhabe,	সতররকভভাবে,	সতর্কভাবে,	
chhaanake,	ছানাকে,	ছানাকে,	
hook,	হুক,	হুক,	
shabnam,	শাবনাম,	শবনম,	
lakhindarer,	লকিষ্দাদের,	লখিন্দরের,	
jomkalo,	জোমকাল,	জমকালো,	
akkas,	এক্যাস,	আককাস,	
rijoor,	রিজুর,	রিজুর,	
iispredshiit,	ইস্পেেস্ডেইট,	স্প্রেডশীট,	
bonkey,	বন্কে,	বনকে,	
bosano,	বসানো,	বসানো,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
bhugarbhe,	ভূগর্ভে,	ভূগর্ভে,	
prabhu,	প্রভূ,	প্রভু,	
lampat,	লম্পাট,	লম্পট,	
salim,	সালিম,	সেলিম,	
bbiseshyo,	বিশেষও,	বিশেষ্য,	
highcommissioney,	হাইকমিশনিনে,	হাইকমিশনে,	
shomraat,	শমরাত,	সম্রাট,	
kottar,	কোটার,	কট্টর,	
byaasalt,	ব্যাসল,	ব্যাসল্ট,	
cantan,	ক্যান্টান,	ক্যান্টন,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
hoola,	হোল,	হোল,	
joistha,	জৈষ্ঠা,	জ্যৈষ্ঠ,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
bocchon,	বচচন,	বচ্চন,	
haphsa,	হাসসা,	হাফসা,	
hastantar,	হাস্টান্ট্র,	হস্তান্তর,	
credit,	ক্রেডিট,	ক্রেডিট,	
romantik,	রোমান্তিক,	রোমান্টিক,	
shilabhara,	সিলভার,	সিলভার,	
surti,	সূর্টি,	সুরটি,	
hossain,	হোসেইন,	হোসেইন,	
nilav,	নিলভ,	নীলাভ,	
adorsho,	আদর্শ,	আর্দশ,	
shniper,	স্নিপুর,	স্নাইপার,	
pyore,	প্যারে,	পিওর,	
bulano,	বুলনো,	বুলান,	
balabhadra,	বালভাদ্রা,	বলভদ্র,	
babona,	বাবনা,	বাবনা,	
danaqana,	ডানাকানা,	ডানকান,	
haipar,	হাইপার,	হাইপার,	
raitasa,	রাইটাস,	রাইটস,	
uponisoder,	উপনিষদের,	উপনিষদের,	
nafisa,	নাফিসা,	নাফিসা,	
khilafat,	খিলাফাট,	খিলাফত,	
break,	ব্রিক,	ব্রেক,	
upobaaser,	উপবাসের,	উপবাসের,	
vaskor,	ভাস্কর,	ভাস্কর,	
byaboharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
rotheen,	রথেন,	রথীন,	
bishasey,	বিশাষে,	বিশ্বাসে,	
nogonno,	নগন্য,	নগণ্য,	
dasha,	দশা,	দোসা,	
rubio,	রুবিও,	রুবিও,	
opohoron,	অপহরণ,	অপহরন,	
eshokol,	এসকল,	এসকল,	
zonsa,	জনসা,	জোন্স,	
muhu,	মুহু,	মুহু,	
bohal,	বহল,	বহাল,	
dwip,	দ্বীপ,	দীপ,	
phutantoa,	ফুনা্তা,	ফুটন্ত,	
sobrakamer,	সবক্রামের,	সবরকমের,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
rites,	রিটস,	রিতেশ,	
mandander,	মানদন্দের,	মানদণ্ডের,	
heavy,	হেভি,	হেভি,	
rajbondir,	রাজবনদির,	রাজবন্দীর,	
hingsar,	হিংসার,	হিংসার,	
modelling,	মোডাললিং,	মডেলিং,	
patishapta,	পতিশাপট্,	পাটিসাপটা,	
bibek,	বিবেক,	বিবেক,	
sakara,	সাকারা,	সাকার,	
deambakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
fatakasto,	ফটাকাস্ত,	ফাটাকেষ্ট,	
maithili,	মাথাইলি,	মৈথিলি,	
bruklin,	ব্রুক্িন,	ব্রুকলিন,	
peto,	পেত,	পেত,	
evil,	এভিল,	ইভিল,	
krush,	ক্রুশ,	ক্রুশ,	
patengar,	পতেঙ্গার,	পতেঙ্গার,	
naaji,	নাজি,	নাত্সি,	
netarao,	নেতারাও,	নেতারাও,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
elakatikay,	এলাকাটিকে,	এলাকাটিকে,	
groth,	গ্রথ,	গ্রোথ,	
shten,	স্টেইন,	স্টেন,	
joneser,	জননেসের,	জোন্সের,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
muhmmoder,	মুমমমের,	মুহম্মদের,	
amar,	আমার,	আমর,	
nirapattamulok,	নিরাতাতুমূূক,	নিরাপত্তামূলক,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
gitikabitar,	গীতিকাবিত,	গীতিকবিতার,	
brail,	ব্রেল,	ব্রেইল,	
faksa,	ফকস্স,	ফক্স,	
oncholgulote,	অঞ্চলতুলোতে,	অঞ্চলগুলোতে,	
tahalo,	তালা,	তাহলো,	
cheenja,	চিঞ্জা,	চেঞ্জ,	
bohoodin,	বহুদিন,	বহুদিন,	
mausum,	মৌসম,	মৌসুম,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
bardhitaanas,	বার্ধিতনস,	বর্ধিতাংশ,	
iraaner,	ইরানের,	ইরানের,	
rohasyor,	রহস্যার,	রহস্যর,	
romantic,	রোমান্টিক,	রোমান্টিক,	
elaakaati,	এলাকাটি,	এলাকাটি,	
sachetanatamulak,	সচেতনামুমামুল,	সচেতনতামূলক,	
torokareer,	তরকারির,	তরকারীর,	
manu,	মানু,	মনু,	
aajeej,	আজিজ,	আজিজ,	
balakarak,	বালকারাক,	বলকারক,	
gabeshona,	গবেষনা,	গবেষনা,	
arthurer,	আর্থুরের,	আর্থারের,	
apachesta,	অপেক্সাট,	অপচেষ্টা,	
miley,	মিলে,	মিলে,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
gafeeloti,	গেফেলিটটি,	গাফিলতি,	
taphaat,	তাফাত,	তফাৎ,	
siddhantogulo,	সিদ্ধানগুগু,	সিদ্ধান্তগুলো,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
armstronz,	আরমসন্ট্র,	আর্মস্ট্রং,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
jibonto,	জীবন্ত,	জীবন্ত,	
korkot,	করক,	কর্কট,	
sealvi,	সিলভি,	সিলভি,	
gobeshana,	গবেষণা,	গবেষনা,	
bhaider,	ভাইদের,	ভাইদের,	
pravritir,	প্রোৃতটির,	প্রভৃতির,	
nirvahi,	নির্বাহী,	নির্বাহি,	
charukola,	চরুকুলো,	চারুকলা,	
chenja,	চেঞ্জা,	চেঞ্জ,	
mataram,	মাতারাম,	মাতরম,	
daaktikiter,	ডাক্তিটিকের,	ডাকটিকিটের,	
oncholgoolote,	অঞ্চলতুলোতে,	অঞ্চলগুলোতে,	
stoneeheengee,	স্তোনিহেগ্নী,	স্টোনহেঞ্জ,	
brinde,	ব্রিন্ড,	বৃন্দ,	
nagarikkey,	নাররীককে,	নাগরিককে,	
koreempur,	করিমপুর,	করিমপুর,	
bedey,	বেদে,	বেদে,	
korecha,	করেছ,	করেছ,	
mandando,	মন্দন্দ,	মানদণ্ড,	
saras,	সারস,	সরস,	
muhammada,	মুহাম্মা,	মুহাম্মদ,	
jaistha,	জেষ্ঠা,	জ্যৈষ্ঠ,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
chittronattokar,	চিত্রনাত্যক্তর,	চিত্রনাট্যকার,	
ameerika,	অ্যামেরিকা,	আমেরিকা,	
jeesa,	জেস,	জেস,	
janosangjog,	জনসংযো,	জনসংযোগ,	
beshirvagyi,	বেশিরভাগই,	বেশিরভাগই,	
shaalehaa,	সালেহা,	সালেহা,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
bishashke,	বিশ্বাসকে,	বিশ্বাসকে,	
sikkhokder,	শিক্ষাকের,	শিক্ষকদের,	
carlas,	কার্লস,	কার্লোস,	
biharey,	বিহারে,	বিহারে,	
barack,	বাযারাক,	বারাক,	
pleta,	প্লেট,	প্লেট,	
ganaparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
tecnokret,	টেকনোর্টেট,	টেকনোক্র্যাট,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
mosleh,	মোসলেহ,	মোসলেহ,	
jens,	জেনস,	জিন্স,	
dijnii,	ডিজনী,	ডিজনী,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
serverer,	সারভারের,	সার্ভারের,	
tenisa,	টেনিস,	টেনিস,	
buth,	বুদ,	বুথ,	
peethey,	পিঠে,	পীঠে,	
cholochchitroi,	চলচিত্রে,	চলচ্চিত্রই,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
reesideencee,	রেসিডেন্সি,	রেসিডেন্স,	
sherup,	শেরুপ,	সেরুপ,	
probhur,	প্রভূর,	প্রভুর,	
tunar,	টুনার,	টিউনার,	
lobbyte,	লববাবিতে,	লবিতে,	
gabhaskaar,	গভাস্কার,	গাভাস্কার,	
kana,	কানা,	কণা,	
asamonjoshopurno,	অসমাসন্পূরণ্ণ,	অসামঞ্জস্যপূর্ণ,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
leetara,	লিটার,	লেটার,	
totokson,	ততক্ষণ,	ততক্ষন,	
soccer,	সচ্সের,	সকার,	
qredita,	ক্রেতিতা,	ক্রেডিট,	
fooloo,	ফুলও,	পোলো,	
harrisoner,	হ্যারিসনের,	হ্যারিসনের,	
dikpal,	ডিক্লাপ,	দিকপাল,	
dhrubok,	ধ্রুকক,	ধ্রুবক,	
saramiks,	সারামিক্স,	সিরামিকস,	
coner,	কানের,	কনের,	
sakar,	সাকার,	সাকার,	
kemane,	কেমনে,	কেমনে,	
iuroo,	ইউরো,	ইউরো,	
surkarder,	সুর্কারদের,	সুরকারদের,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
jaaluk,	জালুক,	জ্বলুক,	
nagarikera,	নগরীকেরা,	নাগরিকেরা,	
talgaachh,	তালগুঁচ,	তালগাছ,	
bivonno,	বিভন্ন,	বিভন্ন,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
planeti,	প্লানেটি,	প্লেনটি,	
dakop,	ডাকোপ,	দাকোপ,	
cbi,	সিবি,	সিবিআই,	
phaltu,	ফললটু,	ফালতু,	
paree,	প্যারে,	পাড়ে,	
nathivookto,	নাথিভক্ত,	নথিভুক্ত,	
doorotomo,	দুরোতম,	দূরতম,	
raeets,	রেটস,	রাইটস,	
prasadhoni,	প্রাসধানি,	প্রসাধনী,	
avetar,	অভেতার,	অবতার,	
chamke,	চামকে,	চমকে,	
titlee,	টিটলি,	টাইটেল,	
shikshao,	সিক্ষাও,	শিক্ষাও,	
horipur,	হরিপুর,	হরিপুর,	
damanmulok,	দামননমূলক,	দমনমূলক,	
brekethru,	ব্রেকেঠুর্থ,	ব্রেকথ্রু,	
vangley,	ভাঙলে,	ভাঙলে,	
bosonte,	বসন্তে,	বসন্তে,	
saccer,	স্যাস্সার,	সকার,	
nations,	নেয়নযান্ড,	নেশনস,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
chomsky,	চমসকি,	চমস্কি,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
aholyar,	অহলার,	অহল্যার,	
bosturoi,	বস্তুরেই,	বস্তুরই,	
gonna,	গন্যা,	গননা,	
bhogirath,	ভগিরাথথ,	ভগীরথ,	
emerjency,	এমেরিজেন্সি,	এমার্জেন্সি,	
fox,	ফোক্স,	ফক্স,	
utsahomulok,	উৎসামাহলক,	উৎসাহমূলক,	
teereesa,	টেরেসা,	টেরেসা,	
bibadey,	বিবাদে,	বিবাদে,	
grambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
shikkhakder,	শিক্ষাকের,	শিক্ষকদের,	
prachurzer,	প্রচুর্যের,	প্রাচুর্যের,	
parikhar,	পরিক্ষার,	পরিখার,	
omarjito,	অমারজিত,	অমার্জিত,	
haris,	হরিস,	হ্যারিস,	
babilon,	ব্যিবিলনন,	ব্যাবিলন,	
tata,	তাটা,	তাতা,	
osthisandhi,	অস্থিষসাথি,	অস্থিসন্ধি,	
kaferder,	কাফেরদের,	কাফেরদের,	
salmaner,	স্যালনের,	সালমানের,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
engrezer,	ইংরেজের,	ইংরেজের,	
prothake,	প্রোথাকে,	প্রথাকে,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
rajbandi,	রাজবন্দি,	রাজবন্দী,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
land,	লন্ড,	ল্যান্ড,	
gonohottar,	গণহত্তার,	গণহত্যার,	
janake,	জানাকে,	জানাতে,	
falashrutite,	ফ্যালাসরিটে,	ফলশ্রুতিতে,	
moushumei,	মৌসমেম,	মৌসুমেই,	
laiceensee,	লেসিস্স,	লাইসেন্স,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
sthapona,	স্থাপনা,	স্থাপনা,	
nek,	নেক,	নেক,	
asamonjoshyopurno,	অসামস্যূযপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
phutbolarder,	ফুটবলাদের,	ফুটবলারদের,	
soomita,	সুমিতা,	সুমিতা,	
adbhansed,	অ্যাডভান্স,	অ্যাডভান্সড,	
krok,	ক্রোক,	ক্রোক,	
biswash,	বিশ্বস,	বিশ্বাস,	
babna,	বাবনা,	বাবনা,	
ponchaashjon,	পঞ্চাশনন,	পঞ্চাশজন,	
flask,	ফ্ল্যাক্স,	ফ্লাস্ক,	
aalkatraa,	আলককত্র,	আলকাতরা,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
kamla,	কমলা,	কামলা,	
dep,	ডিপ,	ডেপ,	
grantha,	গ্রন্থ,	গ্রন্থ,	
firozaa,	ফিরজজা,	ফিরোজা,	
ghomtaa,	ঘমমটা,	ঘোমটা,	
gasthii,	গ্যাস্থি,	গোষ্ঠীই,	
saleha,	সালেহ,	সালেহা,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
khoka,	খোকা,	খোকা,	
sangbadmadhyomgulote,	সংবাদ্ধমাগমুলেত,	সংবাদমাধ্যমগুলোতে,	
shotokey,	শতকে,	শতকে,	
embaed,	এমবাইড,	এম্বেড,	
hames,	হামেস,	হোমস,	
sathikota,	সাথকতত,	সঠিকতা,	
azan,	আজন,	আজান,	
grot,	গ্রট,	গ্রোথ,	
durgotsav,	দুর্ঘতবাম,	দুর্গোৎসব,	
horas,	হরাস,	হোরাস,	
gaddaphii,	জাদ্ফাফী,	গাদ্দাফী,	
shaahaab,	সাহাব,	সাহাব,	
bauger,	বাগের,	বাগের,	
crecenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
dharavahiktite,	ধারাভাহট্তিতে,	ধারাবাহিকটিতে,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
saarbhaare,	সাররভাে,	সার্ভারে,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
ovigomon,	অভিগোমন,	অভিগমন,	
mookhomaundoler,	মুখমমননুলের,	মুখমণ্ডলের,	
taigara,	টাইগার,	টাইগার,	
pathkromer,	পাঠকরক্রের,	পাঠক্রমের,	
soinyo,	সৈন্য,	সৈন্য,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
nimitte,	নিমিতে,	নিমিত্তে,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
fase,	ফেজ,	ফাঁসে,	
thelaa,	ঠেলা,	ঠেলা,	
durgatsob,	দুর্গতবা,	দুর্গোৎসব,	
mosan,	মোসন,	মোশন,	
sikha,	শিখা,	শিখ,	
conshervation,	কনসারেেনন,	কনসারভেশন,	
motabolambira,	মোটাবালক্যারা,	মতাবলম্বীরা,	
olpo,	অল্প,	অল্প,	
sangkalaney,	সংকলানে,	সংকলনে,	
pudinn,	পুডিন,	পুডিং,	
riphleeksa,	রিফ্লেস্ক,	রিফ্লেক্স,	
janmato,	জন্মাত,	জন্মাত,	
prithibir,	পৃথিবীর,	পৃথবীর,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
faase,	ফাঁসে,	ফাঁসে,	
dolguloo,	দলগুলো,	দলগুলোও,	
nirbaho,	নির্বাহ,	নির্বাহ,	
olimpicer,	অলিপমিপার,	অলিম্পিকের,	
konagoolo,	কোনগুলো,	কণাগুলো,	
suiti,	সুইটি,	সুইটি,	
barakpur,	বাকারপুর,	বারাকপুর,	
superheira,	সুপারহেরা,	সুপারহিরো,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
taalal,	তালাল,	তালাল,	
tinage,	টিনাগে,	টিনেজ,	
up,	উপ,	আপ,	
sahozlabhbhatar,	সহজভোভ্যতার,	সহজলভ্যতার,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
tuso,	টুসো,	তুসো,	
udeechee,	উদিছে,	উদীচী,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
oboshore,	অবশরে,	অবসরে,	
venom,	ভেনোম,	ভেনম,	
muhamada,	মুহামদ,	মুহাম্মদ,	
nesons,	নেশনস,	নেশনস,	
bongshokey,	বংশকে,	বংশকে,	
laishensha,	লেসেন্স,	লাইসেন্স,	
murader,	মুরদের,	মুরাদের,	
samudrotatey,	সমুদ্রতে,	সমুদ্রতটে,	
chaakti,	চাকটি,	চাকতি,	
futanto,	ফুটান্ত,	ফুটন্ত,	
adhunik,	আধুনিক,	আধুনিক,	
emargency,	এমারেজস্ন,	এমার্জেন্সি,	
proshtotto,	প্রস্তত্ত,	প্রস্ত্তত,	
dakope,	ডাকোপে,	দাকোপ,	
foloshrutite,	ফলারুশিতে,	ফলশ্রুতিতে,	
nirapottamulok,	নিরাতাতুমমূল,	নিরাপত্তামূলক,	
dweepgulo,	দ্বীগগুলো,	দ্বীপগুলো,	
dwibidha,	দ্বিবিধ,	দ্বিবিধ,	
korkat,	করকক,	কর্কট,	
ganokontho,	গণকন্ঠ,	গণকণ্ঠ,	
apohoron,	অপহরণ,	অপহরন,	
shiqara,	শিকারা,	শিকার,	
donate,	দোনতে,	ডোনাট,	
tookrote,	টুকরোতে,	টুকরোতে,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
mitar,	মিটার,	মিত্র,	
daacktickete,	ডাককিটকেতে,	ডাকটিকিটে,	
mojlis,	মজলিস,	মজলিশ,	
moreecha,	মরিচা,	মরিচা,	
nodnodir,	নন্দনীর,	নদনদীর,	
olpokichudin,	অল্পকিছিদিন,	অল্পকিছুদিন,	
naagaaland,	নাগালন্দ,	নাগাল্যান্ড,	
cholocchitreo,	চলচিত্রের,	চলচ্চিত্রেও,	
lotheran,	লাথারন,	লুথেরান,	
dadader,	ডাদাদের,	দাদাদের,	
shithilatar,	সিথিলতার,	শিথিলতার,	
heightsh,	হাইটস,	হাইটস,	
venna,	ভেন্না,	ভেন্না,	
teemothy,	টিমথি,	টিমোথি,	
heelser,	হেলসের,	হিলসের,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
uthey,	উঠে,	উঠে,	
bodhirta,	বধির্া,	বধিরতা,	
joqy,	জকি,	জকি,	
joistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
jolatonko,	জলাতন্ত,	জলাতঙ্ক,	
siddhantoke,	সিদ্ধনতকে,	সিদ্ধান্তকে,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
atwobishvashi,	অত্ববিশ্ষাসী,	আত্মবিশ্বাসী,	
lendal,	লেন্ডাল,	লেন্ডল,	
bopon,	বপন,	বপন,	
dhhaabi,	ঢাবী,	ঢাবি,	
phimeela,	ফিমেলা,	ফিমেল,	
goteehin,	গতিহীন,	গতিহীন,	
chalai,	চালাই,	চালাবে,	
pest,	পেস্ট,	পেষ্ট,	
elaakao,	এলাকাও,	এলাকাও,	
siramikasa,	সিরামিকাসা,	সিরামিকস,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
paksenara,	পাকসেনার,	পাকসেনারা,	
ranangoney,	রান্যগনে,	রণাঙ্গনে,	
saaralya,	সরলাল,	সারল্য,	
bhittimool,	ভিটিতিমল,	ভিত্তিমূল,	
