chalachchitrei,	চলচচচত্রে,	চলচ্চিত্রেই,	
verma,	ভার্া,	ভার্মা,	
bipozzonok,	বিপজজজন,	বিপজ্জনক,	
indra,	ইন্দ্র,	ইন্দ্র,	
mandando,	মন্ডনডড,	মানদণ্ড,	
heejee,	হিজী,	হেজ,	
iranayer,	ইরানের,	ইরানের,	
taiteela,	টাইটেল,	টাইটেল,	
chatoke,	চটকক,	ছাতকে,	
mastars,	মাস্টার্স,	মাস্টার্স,	
cholochchitraeer,	চলচচততরররর,	চলচ্চিত্রের,	
taantira,	তানতিরা,	তাঁতিরা,	
shource,	সার্স,	সোর্স,	
conan,	কোনা,	কোনান,	
krok,	ক্রক,	ক্রোক,	
gabhaaskar,	গভাসকার,	গাভাস্কার,	
jaater,	যাতের,	জাতের,	
dharavahiktir,	ধারাাকককতির,	ধারাবাহিকটির,	
noitikata,	নৈতিকা,	নৈতিকতা,	
ekaatto,	একাত্ব,	একাত্ব,	
rajballabh,	রাজবলললা,	রাজবল্লভ,	
soochonakal,	সুকনালল,	সূচনাকাল,	
jones,	জোনে,	জোন্স,	
cada,	ক্ড,	কোডা,	
satarko,	সততর্,	সতর্ক,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
lyaata,	ল্যাট,	ল্যাটা,	
diaraesa,	ডায়ররেস,	ডিআরএস,	
cheef,	চিফ,	শেফ,	
shekarone,	শেকারণে,	সেকারণে,	
anchaltite,	অঞচচলিততে,	অঞ্চলটিতে,	
firti,	ফিরটি,	ফিরতি,	
akik,	আকিক,	আকিক,	
bandhuderke,	বন্ধদদরকে,	বন্ধুদেরকে,	
joki,	জোকি,	জকি,	
niropekkho,	নিরপপক্ষ,	নিরপেক্ষ,	
byaboharkarike,	ব্যবহারররকক,	ব্যবহারকারীকে,	
diphinishion,	ডিফিনিন,	ডেফিনেশন,	
mailkhanek,	মালখানক,	মাইলখানেক,	
deeputy,	ডিপুটি,	ডেপুটি,	
mesenzar,	মেসেঞ্জার,	মেসেঞ্জার,	
swastir,	স্বস্তির,	স্বস্তির,	
militarir,	মিলিতারর,	মিলিটারির,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
jeevjontu,	জিভনন্ত,	জীবজন্তু,	
serverty,	সার্ভারি,	সার্ভারটি,	
schalastic,	স্কালাাটিক,	স্কলাস্টিক,	
gudamjat,	গুদজাা,	গুদামজাত,	
shayanaida,	সাযাইইইড,	সায়ানাইড,	
forid,	ফরিড,	ফরিদ,	
sikkhakromer,	শিক্ষাক্রমরর,	শিক্ষাক্রমের,	
chhutir,	ছুটির,	ছুটির,	
antarbhuktimulak,	অন্তর্ভূ্্ূূূকক,	অন্তর্ভুক্তিমূলক,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
kathmandu,	কথাানুড,	কাঠমান্ডু,	
chidropathe,	চিদ্রপথথে,	ছিদ্রপথে,	
grambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
miley,	মিলে,	মাইলে,	
baarakpur,	বারককপুর,	বারাকপুর,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
rubyo,	রুব্য,	রুবিও,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
eidaning,	আইডননি,	ইদানীং,	
teestaar,	টিস্টার,	তিস্তার,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
roopa,	রূপ,	রুপা,	
bitloser,	বিটলসসর,	বিটলসের,	
gacher,	গাছের,	গাছের,	
weenis,	উেনিস,	ভেনিস,	
jacksonke,	যাককসককে,	জ্যাকসনকে,	
sushri,	সুস্র,	সুশ্রী,	
debete,	দেবেতে,	ডিবেট,	
directorete,	ডিরেক্টেেে,	ডিরেক্টরেট,	
benke,	বেঁকে,	বেঁকে,	
jerusalem,	জেরুসালে,	জেরুজালেম,	
zinsa,	জিনসস,	জিন্স,	
venush,	ভেনুস,	ভেনাস,	
parishrom,	পরিশ্রম,	পরিশ্রম,	
shantaa,	শান্,	সান্তা,	
chalachchitrotike,	চলচচচতররতিকে,	চলচ্চিত্রটিকে,	
license,	লিসেস্সে,	লাইসেন্স,	
krantikale,	ক্রান্তিকাল,	ক্রান্তিকালে,	
bahal,	বহহা,	বহাল,	
jyeshthaa,	জ্যেষ্ঠ,	জ্যেষ্ঠা,	
heart,	হার্ট,	হার্ট,	
bota,	বোা,	বটা,	
orthanitir,	অর্থননতির,	অর্থনীতির,	
gadhaa,	গাধা,	গাধা,	
octane,	অক্তান,	অকটেন,	
mukhamandaley,	মুখমা্াাে,	মুখমণ্ডলে,	
atmobishvashi,	আত্মবাশিাাীী,	আত্মবিশ্বাসী,	
prakalpogulor,	প্রকলপপলললর,	প্রকল্পগুলোর,	
peoples,	পিপপ্লস,	পিপলস্,	
sangasthaner,	সংস্ঠানের,	সংস্থানের,	
bongshi,	বংসি,	বংশী,	
edaning,	এডািং,	ইদানিং,	
slok,	স্লোক,	শ্লোক,	
elakatir,	এলাকটিি,	এলাকাটির,	
sofir,	সফির,	সোফির,	
jonser,	জনসের,	জোন্সের,	
mekon,	মেকন,	মেকং,	
totenhamer,	টোহনহাাের,	টটেনহামের,	
ingrezeeteo,	ইংরেজিেে,	ইংরেজিতেও,	
lojic,	লোজক,	লজিক,	
samratder,	সাম্রতেরর,	সম্রাটদের,	
bu,	বু,	বু,	
sthaponagulor,	স্থাপাাগুলোর,	স্থাপনাগুলোর,	
ibhila,	ইভিল,	ইভিল,	
mitrata,	মিত্রত,	মিত্রতা,	
basalt,	বসসল,	ব্যাসল্ট,	
abheedhaner,	অভিধানের,	অভিধানের,	
carlosh,	কার্লস,	কার্লোস,	
elakayi,	এলককাই,	এলাকাই,	
larson,	লারসন,	লারসন,	
akramer,	আক্রমের,	আকরামের,	
turisht,	টুরিস্ট,	টুরিস্ট,	
horiddar,	হরিদ্দা,	হরিদ্বার,	
tooku,	টুকু,	টুকু,	
byabosthar,	ব্যাস্থার,	ব্যবস্থার,	
monzushree,	মন্জুস্ী,	মঞ্জুশ্রী,	
bojhaao,	বঝঝা,	বোঝাও,	
tarunderke,	তারুন্দরকে,	তরুণদেরকে,	
sahapathike,	সহপাথিকে,	সহপাঠীকে,	
gronthotikey,	গ্রন্থিিকে,	গ্রন্থটিকে,	
ardasho,	আর্দস,	আর্দশ,	
modelling,	মডডেলি,	মডেলিং,	
ganochiner,	গণচিণের,	গণচীনের,	
venisey,	ভেনিসে,	ভেনিসে,	
gunaman,	গুণমাণ,	গুণমান,	
artilery,	আর্টিলিরির,	আর্টিলারি,	
srichoitonyodeb,	স্রিচ্ত্্ত্্ে,	শ্রীচৈতন্যদেব,	
soasage,	সোসাগে,	সসেজ,	
disni,	দিস্ন,	ডিজনী,	
bandhubhabaponno,	বন্ধুবপ্্্ন,	বন্ধুভাবাপন্ন,	
gotihin,	গতিহীন,	গতিহীন,	
dibaag,	ডিবাগ,	ডিবাগ,	
pradeep,	প্রাডিপ,	প্রদীপ,	
baipasa,	বাইপসস,	বাইপাস,	
vagadada,	ভাগাদাদ,	বাগদাদ,	
mile,	মিলে,	মাইল,	
kemoney,	কেমনে,	কেমনে,	
dokkhinangsho,	দক্ষিণাশ,	দক্ষিণাংশ,	
atmabishvashi,	আত্মবাশাাাীী,	আত্মবিশ্বাসী,	
digrio,	ডিগ্রিও,	ডিগ্রিও,	
karecho,	করেছ,	করেছ,	
skalarasipa,	স্কারারপপপ,	স্কলারশিপ,	
totokkhon,	ততককষণ,	ততক্ষন,	
kommatei,	কম্তেই,	কমাতেই,	
gazeetteed,	গেজেটেি,	গেজেটেড,	
seekkhakromer,	শিক্ষাক্রেরে,	শিক্ষাক্রমের,	
poojito,	পুজিত,	পুজিত,	
grambaasider,	গ্রামবাাীীের,	গ্রামবাসীদের,	
serverti,	সার্ভা্ট,	সার্ভারটি,	
allah,	আল্হাহ,	আল্লাহ্,	
drissoke,	দৃশ্বকে,	দৃশ্যকে,	
forma,	ফররম,	ফর্মা,	
cheerkut,	চিরকুত,	চিরকুট,	
zerusalem,	জেরুসামেম,	জেরুজালেম,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
sollallhoo,	সললললল্,	সল্লাল্লাহু,	
gobeshokgon,	গবেষকণণ,	গবেষকগণ,	
potcheetrer,	পচচচত্্ের,	পটচিত্রের,	
karkat,	করককা,	কর্কট,	
uchchotara,	উচ্চতর,	উচ্চতর,	
heavy,	হেভি,	হেভি,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
sikkhokder,	শিক্ষককের,	শিক্ষকদের,	
armeenian,	আর্মেন়়়া,	আর্মেনিয়ান,	
windows,	উইনডডসস,	উইন্ডোস,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
dweepgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
cocaine,	কোকান,	কোকেইন,	
observer,	অবাসর্ভের,	অবজার্ভার,	
karleo,	কারলে,	করলেও,	
semai,	সেমাই,	সেমাই,	
stonaheenja,	স্টোনহহহজজ,	স্টোনহেঞ্জ,	
jibanta,	জীবন্ত,	জীবন্ত,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
monzhostho,	মঞ্সস্,	মঞ্চস্থ,	
anchaleo,	অঞচালে,	অঞ্চলেও,	
parsher,	পারসের,	পার্শ্বের,	
rca,	র্কা,	আরসিএ,	
leaders,	লিডারসস,	লিডার্স,	
bohorompurer,	বহররপপুরের,	বহরমপুরের,	
miraclee,	মারাককাল,	মিরাকেল,	
zansa,	জনসস,	জন্স,	
shalapheta,	সলফেট,	সালফেট,	
nodiigulir,	নদিগুলীর,	নদীগুলির,	
nagorikderkey,	নাগররররককক,	নাগরিকদেরকে,	
zins,	জিনস,	জিন্স,	
beshirvagyi,	বেশিরাাগ,	বেশিরভাগই,	
ateetkaale,	আতিককালে,	অতীতকালে,	
sollallhu,	সল্লাল্ু,	সল্লাল্লাহু,	
oojbekistaner,	উজবববিিতততেেে,	উজবেকিস্তানের,	
nazad,	নজজা,	নজদ,	
shphingtar,	স্ফিংটার,	স্ফিংটার,	
prakalpagulo,	প্রকালপললল,	প্রকল্পগুলো,	
nagaland,	নগগান্্্,	নাগাল্যান্ড,	
khoor,	খুর,	ক্ষুর,	
swosti,	স্বস্ত,	স্বস্তি,	
jess,	জেস,	জেস,	
nikoter,	নিকতের,	নিকটের,	
sammatitey,	সম্মাতিত,	সম্মতিতে,	
plaiin,	প্লাইন,	প্লেন,	
cilahaati,	চিলাহিতি,	চিলাহাটি,	
bhittio,	ভিতিও,	ভিত্তিও,	
dobhar,	দভভর,	ডোভার,	
dhani,	ধান,	ধানি,	
anis,	আনিস,	আনিস,	
konar,	কোনার,	কণার,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
youth,	উউ,	ইয়ুথ,	
shoccar,	সক্চার,	সকার,	
kanai,	কানাই,	কানাই,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
pathanirdeshona,	পথথনর্েশশশন,	পথনির্দেশনা,	
netherlandey,	নেথার্যায্ডডডড,	নেদারল্যান্ডে,	
drissogoolote,	দৃশ্বোুোোোে,	দৃশ্যগুলোতে,	
bohal,	বহহা,	বহাল,	
durgondher,	দুর্গন্ধরর,	দুর্গন্ধের,	
gronthe,	গ্রন্থ,	গ্রন্থে,	
dakteekite,	দ্কাক্িিত,	ডাকটিকিটে,	
madaul,	মাডাল,	মাদল,	
hitokor,	হিতকোর,	হিতকর,	
mb,	এএমিব,	এমবি,	
jakso,	যককস,	যক্ষ,	
uporostho,	উপরস্থ,	উপরস্থ,	
tintikey,	তিনতিকে,	তিনটিকে,	
macbeth,	ম্যাবেথ,	ম্যাকবেথ,	
siramiker,	সিরািিরর,	সিরামিকের,	
abikol,	আবিকলল,	অবিকল,	
dorgaaho,	দর্গা,	দরগাহ,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
alaul,	আলাল,	আলাওল,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
lishenshe,	লিসেসে,	লাইসেন্স,	
alpai,	আলপাপ,	অল্পই,	
jolorong,	জলরর,	জলরঙ,	
answereer,	অংসবেরীর,	আনসারীর,	
musalmankey,	মুসল্ননকে,	মুসলমানকে,	
nandolal,	নন্দললল,	নন্দলাল,	
protijogita,	প্রতিযোগিত,	প্রতিযোগীতা,	
udbhaboney,	উদ্ভবনে,	উদ্ভাবনে,	
otyacharita,	অত্যাচািত,	অত্যাচারিত,	
mookhomaundol,	মুখমান্ড,	মুখমণ্ডল,	
bodh,	বোধ,	বোধ,	
basaake,	বাসাকে,	বাসাকে,	
august,	আগাস্্,	আগষ্ট,	
matthew,	মাঠে,	ম্যাথিউ,	
infarmatian,	ইনফারমেনন,	ইনফরমেশন,	
haridwar,	হরিদ্বা,	হরিদ্বার,	
onekerie,	অনেকারি,	অনেকেরই,	
koilash,	কৈলাস,	কৈলাস,	
rajbandir,	রাজবননদীর,	রাজবন্দীর,	
mehnoti,	মেহননি,	মেহনতি,	
asociatees,	অসসযযসিসেেে,	এসোসিয়েটস,	
gabeshanar,	গবেষণর,	গবেষনার,	
piroojalee,	পিরুজাল,	পিরুজালী,	
routiner,	রাটিনের,	রুটিনের,	
sangharshik,	সংহাররিিক,	সাংঘর্ষিক,	
daloo,	ডাল,	ডালু,	
firoja,	ফিরজা,	ফিরোজা,	
ekghore,	একঘরে,	একঘরে,	
jahar,	যাহার,	জহর,	
transafarma,	ট্রানসসমর্,	ট্রান্সফর্ম,	
eidin,	আইডি,	এইদিন,	
emgee,	এমগি,	এমজি,	
keo,	কিও,	কেউ,	
enginears,	এনিিির্র্স,	ইঞ্জিনিয়ার্স,	
sarbhaarer,	সারভারের,	সার্ভারের,	
brinda,	বৃরিন্,	বৃন্দা,	
sahocorrze,	সহররররে,	সাহচর্যে,	
purbancoler,	পূর্বাঙ্্লের,	পূর্বাঞ্চলের,	
aalaa,	আলা,	আলা,	
bhangle,	ভাঙগে,	ভাঙলে,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
sbatantrata,	স্বতনত্ততত,	স্বতন্ত্রতা,	
skora,	স্কোর,	স্কোর,	
khelafatey,	খেলাফেতে,	খেলাফতে,	
peeth,	পিথ,	পীঠ,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
dee,	ডি,	ডে,	
proteemar,	প্রতিমার,	প্রতিমার,	
ide,	আডড,	আইডিই,	
mg,	এিএ,	এমজি,	
byke,	বাইকে,	বাইক,	
moomtajer,	মুমতাজের,	মুমতাজের,	
fansi,	ফাঁসি,	ফাঁসী,	
ekbakye,	একবককযে,	একবাক্যে,	
holuder,	হলুুের,	হলুদের,	
farna,	ফারন,	ফার্ন,	
tarkareer,	তরককরীর,	তরকারীর,	
firoza,	ফিরজা,	ফিরোজা,	
pothnirdeshona,	পথির্্শেশশ,	পথনির্দেশনা,	
licensedhari,	লিসেনেেেরের,	লাইসেন্সধারী,	
futonta,	ফুটন্,	ফুটন্ত,	
sarboporee,	সররবপরর,	সর্বোপরী,	
toranganj,	তররাগগ্জ,	তোরাবগঞ্জ,	
khamba,	খা্ব,	খাম্বা,	
bahya,	বহহ্য,	বাহ্য,	
bonshi,	বংসি,	বংশী,	
sparsher,	স্পারসের,	স্পর্শের,	
bojhe,	বোঝ,	বোঝে,	
zerusalem,	জেরুসামেম,	জেরুসালেম,	
okkhor,	অক্ষর,	অক্ষর,	
janosangyog,	জংসোগগগ,	জনসংযোগ,	
safiin,	সাফি,	সাফিন,	
jonesh,	জোেে,	জোন্স,	
azaadeer,	আজাদীর,	আজাদীর,	
estoonia,	এস্টোনিয়,	এস্তোনিয়া,	
drishyoke,	দৃষ্যকে,	দৃশ্যকে,	
karmokarer,	কর্মকারের,	কর্মকারের,	
ghatiti,	ঘটিিি,	ঘাঁটিটি,	
beshirbhaageyi,	বেশারগগগে,	বেশিরভাগেই,	
karam,	করম,	কেরাম,	
juktorashtrasaha,	যুক্রররর্সস,	যুক্তরাষ্ট্রসহ,	
basa,	বসস,	বাসা,	
jackshon,	যাককসন,	জ্যাকসন,	
faridi,	ফরিডি,	ফরিদী,	
dhanchey,	ধাঁচ,	ধাঁচে,	
keyu,	কেউ,	কেউ,	
timothy,	তিমোি,	টিমোথি,	
dap,	ডাপ,	ড্যাপ,	
oshamanno,	অসামান্,	অসামান্য,	
ramantik,	রামান্িি,	রোমান্টিক,	
sinakey,	সিনাকে,	সিনাকে,	
karlei,	কাললে,	করলেই,	
uuipoka,	উইপকক,	উইপোকা,	
military,	মিলিটারি,	মিলিটারি,	
hertz,	হার্ট,	হার্জ,	
depp,	ডেপ,	ডেপ,	
mookhbaundho,	মুখবনন্,	মুখবন্ধ,	
nimitto,	নিমিত্য,	নিমিত্ত,	
uzobekeestaan,	উজবেসেসেতান,	উজবেকিস্তান,	
alkatra,	আলককতরর,	আলকাতরা,	
alexandarkey,	আলেকক্্াকককে,	আলেকজান্ডারকে,	
boner,	বনেের,	বনের,	
dayitwa,	দৈত্,	দায়িত্ব,	
chashe,	চাষে,	চেস,	
mukhomaundoley,	মুখমন্ডডে,	মুখমণ্ডলে,	
muktume,	মুকততমে,	মাকতুম,	
inphormeshon,	ইনফররমেেন,	ইনফরমেশন,	
songkulan,	সংকুলান,	সংকুলান,	
attar,	আত্তা,	আত্তার,	
savanetri,	সভননে্তর,	সভানেত্রী,	
elakatikey,	এলাকিতিক,	এলাকাটিকে,	
lidara,	লিডার,	লিডার,	
firozaa,	ফিরজা,	ফিরোজা,	
dhormee,	ধর্ম,	ধর্মী,	
sansthagulo,	সংস্থাগললো,	সংস্থাগুলো,	
venish,	ভেনিস,	ভেনিস,	
pratool,	প্রতুল,	প্রতুল,	
protizogiita,	প্রতিযোগিত,	প্রতিযোগীতা,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
daaktickete,	ডাক্তিকিতে,	ডাকটিকিটে,	
madaspushto,	মদাসপপ্্,	মদদপুষ্ট,	
akkhar,	আক্ষা,	অক্ষর,	
karmojog,	কর্যোো,	কর্মযোগ,	
aziz,	আজিজ,	আজিজ,	
antorvuktimulak,	অন্তর্ভূূূূূূকক,	অন্তর্ভুক্তিমূলক,	
talgach,	তালগা,	তালগাছ,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
sikhra,	শিখ্র,	শিখরা,	
dianes,	ডাযানেেস,	ডিএনএস,	
ingrejiteo,	ইংরেজিেে,	ইংরেজিতেও,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
chargar,	চারগার,	চার্জার,	
ostheesandhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
bhabaponno,	ভবাপ্্,	ভাবাপন্ন,	
freedom,	ফ্রিডম,	ফ্রীডম,	
rajtantrake,	রাজ্ততা্্কক,	রাজতন্ত্রকে,	
reno,	রেনো,	রেনো,	
nogonyo,	নগন্,	নগণ্য,	
transformerer,	ট্রানসসমার্রররর,	ট্রান্সফরমারের,	
laagto,	লাগত,	লাগতো,	
bonnopran,	বন্যারররণ,	বন্যপ্রাণ,	
ekpase,	একপাসে,	একপাশে,	
dheke,	ঢেকে,	ঢেকে,	
ministara,	মিনিস্টা,	মিনিস্টার,	
avetara,	অভেটার,	অবতার,	
parqa,	পারকক,	পার্ক,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
sofie,	সফিয,	সোফি,	
dhauta,	ধৌট,	ধৌত,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
bhageri,	ভাগেরী,	ভাগেরই,	
daackticketer,	ডাক্কিকিকেরর,	ডাকটিকিটের,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
tigers,	টিগার্স,	টাইগার্স,	
odhuna,	অধুন,	অধুনা,	
aloteo,	আলতেও,	আলোতেও,	
vimshen,	ভিমসেন,	ভীমসেন,	
smaraker,	স্মারকর,	স্মারকের,	
shaakaar,	সাকার,	সাকার,	
chhooteer,	ছুটির,	ছুটির,	
lande,	লা্ডড,	ল্যান্ডে,	
hugheke,	হুঘককে,	হিউজকে,	
ottacharer,	অত্তাচারর,	অত্যাচারের,	
pluck,	প্লাক,	প্ল্যাক,	
byboshthar,	বিবব্্থা,	ব্যাবস্থার,	
pustio,	পুস্িি,	পুষ্টি,	
spreadseet,	স্প্রিডসেট,	স্প্রেডশীট,	
teenisa,	টেনিস,	টেনিস,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
stoone,	স্টুন,	স্টোন,	
mugdhota,	মুগ্ধত,	মুগ্ধতা,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
gheshe,	ঘেষে,	ঘেঁষে,	
parishram,	পরিশ্রম,	পরিশ্রম,	
sikkhakbrinda,	শিক্ষাবকৃরৃ্্,	শিক্ষকবৃন্দ,	
shadena,	সাডেন,	সাডেন,	
addhattik,	আধ্যাত্তিক,	আধ্যাত্মিক,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
gandho,	গণ্ধ,	গন্ধ,	
duckticket,	ডাক্কিকে,	ডাকটিকিট,	
nathivuktir,	নথিভুক্তির,	নথিভুক্তির,	
shastra,	সস্তরর,	শাস্ত্র,	
jakser,	যাক্ষের,	যক্ষের,	
sushiksar,	সুশিক্ষর,	সুশিক্ষার,	
idipas,	এডিপাস,	ইডিপাস,	
vogirath,	ভগগীরা,	ভগীরথ,	
shiropar,	শিরপার,	শিরোপার,	
rajballav,	রাজবলললা,	রাজবল্লভ,	
teknokryat,	টেককাকরর্া,	টেকনোক্র্যাট,	
uter,	উটের,	উটের,	
drisser,	দৃষিষ্র,	দৃশ্যের,	
scholastik,	স্চচাাাতিক,	স্কলাস্টিক,	
nagorikderke,	নাগররদরককে,	নাগরিকদেরকে,	
udbhabone,	উদ্ভবনে,	উদ্ভাবনে,	
neshnos,	নেশসস,	নেশনস,	
karmokerer,	কর্মকেরর,	কর্মকারের,	
braqe,	ব্রাক,	ব্রেক,	
samajeri,	সামাজেরী,	সমাজেরই,	
thelaa,	থেলা,	ঠেলা,	
bibhonno,	বিভন্,	বিভন্ন,	
dharavahiker,	ধারাভাহিরের,	ধারাবাহিকের,	
botgach,	বগগাা,	বটগাছ,	
nodnodeer,	নদ্দদীর,	নদনদীর,	
bondhuvabaponyo,	বন্ধুবা্প্,	বন্ধুভাবাপন্ন,	
prothar,	প্রথার,	প্রথার,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
buth,	বুঠ,	বুথ,	
highcomissione,	হাইকিিিশে,	হাইকমিশনে,	
maradeho,	মারাদেহ,	মরদেহ,	
sangkalaner,	সংকালেের,	সংকলনের,	
rautine,	রাউটিন,	রুটিন,	
ekeerokom,	একিরকম,	একইরকম,	
laeshesh,	লেসেস,	লাইসেন্স,	
nirikho,	নিরিখ্,	নিরিখ,	
zerusalemer,	জেরুসামােের,	জেরুজালেমের,	
eebhiem,	এভিয়,	ইভিএম,	
niketan,	নিকেতান,	নিকেতন,	
byaboharkareei,	ব্যবহারকার,	ব্যবহারকারীই,	
gratha,	গ্রথ,	গ্রোথ,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
embi,	এমবি,	এমবি,	
vangchur,	ভংচচর,	ভাংচুর,	
obharbhiu,	অভার্ভি,	ওভারভিউ,	
chedropathe,	চেদ্রপথথে,	ছিদ্রপথে,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
konflict,	কনফ্লিকক,	কনফ্লিক্ট,	
prakalpoguli,	প্রকুলপুলি,	প্রকল্পগুলি,	
ostader,	অস্তাদের,	ওস্তাদের,	
gronthoti,	গ্রন্থিি,	গ্রন্থটি,	
ganaparibahan,	গণপররবণণ,	গণপরিবহন,	
bosontoke,	বসন্তকে,	বসন্তকে,	
ashok,	আসক,	আশোক,	
prettii,	প্রেটি,	প্রিটি,	
jonite,	জননিত,	যোনীতে,	
uqeliptas,	উউলিপ্পসস,	ইউক্যালিপ্টাস,	
difinisian,	ডিফিনিিনন,	ডেফিনেশন,	
estoniya,	এস্টোনিয,	এস্তোনিয়া,	
riphleqsa,	রিফ্লক্স,	রিফ্লেক্স,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
ajuhath,	অযুহাথ,	অজুহাত,	
sohinsotar,	সোহিনসার,	সহিংসতার,	
madraji,	মাদ্রাজ,	মাদ্রাজি,	
lutheereen,	লুঠিরন,	লুথেরান,	
longghoner,	লং্ঘেের,	লংঘনের,	
bhor,	ভর,	ভর,	
susama,	সুসম,	সুসম,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
shhipa,	শিপ,	শিপ,	
concerter,	কনসার্টরর,	কানসাটের,	
dola,	দোল,	দলা,	
monohorpur,	মনররপপরর,	মনোহরপুর,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
orunima,	অরুণিম,	অরুণিমা,	
pujit,	পুজিত,	পুজিত,	
mohiboor,	মহিবুর,	মহিবুর,	
nilkuthir,	নিলককঠির,	নীলকুঠির,	
bipojjanak,	বিপজ্জন,	বিপজ্জনক,	
pujito,	পুজিত,	পুজিত,	
kingsh,	কিংস,	কিংস,	
sorajur,	সরাজুর,	সরযূর,	
dhanni,	ধ্নন,	ধন্যি,	
bishhnu,	বিষ্ণ,	বিষ্ণু,	
thai,	থাই,	থাই,	
chupi,	চুপি,	চুপি,	
safi,	সাফি,	সাফি,	
torokareer,	তররকাীরর,	তরকারীর,	
grambashio,	গ্রামবাসী,	গ্রামবাসীও,	
bonvumite,	ভনভূমিতে,	বনভূমিতে,	
ammor,	আমমর,	আমর,	
tirmijii,	তিরমিজী,	তিরমিজি,	
guzon,	গুজন,	গুজব,	
bhangchoor,	ভাচচর,	ভাংচুর,	
gandhariir,	গানধারীর,	গান্ধারীর,	
gafeeloti,	গফফিলি,	গাফিলতি,	
chalochchitrai,	চলচচচততরর,	চলচ্চিত্রই,	
chalochchitreer,	চলচচতততিরর,	চলচ্চিত্রের,	
samley,	সামল,	সামলে,	
mautke,	মৌটকে,	মতকে,	
saseza,	সাসেজ,	সসেজ,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
firoz,	ফিরজ,	ফিরোজ,	
bon,	বন,	বন,	
dharavashyokar,	ধারাভা্যারর,	ধারাভাষ্যকার,	
brek,	ব্রেক,	ব্রেক,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
thelyanda,	থেল্যান্ডড,	থাইল্যান্ড,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
kkomatei,	কমমতেই,	কমাতেই,	
laaj,	লাজ,	লাজ,	
mirakel,	মিরাকে,	মিরাকেল,	
donat,	দনন,	ডোনাট,	
aanaan,	আনা,	আনান,	
santa,	সানত,	স্যান্টা,	
uporitol,	উপরিত,	উপরিতল,	
wictor,	ভইক্টর,	ভিক্টর,	
toder,	তোডের,	তদের,	
sikkhakbrindo,	শিক্ষাবৃৃৃৃ,	শিক্ষকবৃন্দ,	
musolmanera,	মুসল্্নাের,	মুসলমানেরা,	
asamonjasyopurno,	আসামা্পপপূ্্,	অসামঞ্জস্যপূর্ণ,	
bhaandar,	ভান্ডর,	ভাণ্ডার,	
makhmale,	মাখমাল,	মখমলে,	
kanshater,	কাঁসাটের,	কানসাটের,	
bang,	ব্যা,	ব্যাং,	
qoyeri,	কোয়ির,	কোয়েরি,	
madhookori,	মাধকরর,	মাধুকরী,	
kiiborde,	কিইবর্ডে,	কীবোর্ড,	
grotha,	গ্রথা,	গ্রোথ,	
planea,	প্লেনে,	প্লেনে,	
farmat,	ফররমা,	ফরম্যাট,	
arjara,	আর্জার,	আর্যরা,	
phareqsa,	ফরেক্স,	ফরেক্স,	
vor,	ভর,	ভর,	
