poshchater,	পশচাতের,	পশ্চাতের,	
mase,	মেস,	মাসে,	
dorgaho,	দরগগহ,	দরগাহ,	
bhushi,	ভূষি,	ভুষি,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
koda,	কোড,	কোড,	
grameryi,	গ্রামেরই,	গ্রামেরই,	
nagoriker,	নাগরিকের,	নাগরিকের,	
pleeta,	প্লেইট,	প্লেট,	
graambaaseeo,	গ্রামবাসিও,	গ্রামবাসীও,	
lotharan,	লথররন,	লুথেরান,	
tenys,	ট্যানিস,	টেনিস,	
tochhnochh,	তচ্ছাচ,	তছনছ,	
shivraj,	শিবরাজ,	শিবরাজ,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
nirvachokder,	নির্বচক্ষের,	নির্বাচকদের,	
depp,	ডেপ,	ডেপ,	
ispredshit,	ইস্টারসেট,	স্প্রেডশীট,	
nirontar,	নিরনন্তর,	নিরন্তর,	
dibi,	দিবীই,	দিবি,	
phising,	ফিসিং,	ফিসিং,	
temani,	টেমনি,	তেমনই,	
jotinkey,	জতিনকে,	যতীনকে,	
dhhaabi,	ঢাবি,	ঢাবি,	
nariikei,	নারীকেই,	নারীকেই,	
venishh,	ভেনিশ,	ভেনিস,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
provur,	প্রভুর,	প্রভুর,	
sho,	শো,	শো,	
nirbahe,	নির্বাহে,	নির্বাহে,	
engrezra,	ইংরেজ্র,	ইংরেজরা,	
palashir,	পালসির,	পলাশীর,	
tintikey,	তিনটিকে,	তিনটিকে,	
paksenaara,	পক্সেনার,	পাকসেনারা,	
tikta,	টিকটা,	তিক্ত,	
skoora,	স্কোর,	স্কোর,	
soorarop,	সুরারাপ,	সুরারোপ,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
antorvuktimulak,	অন্তর্ভূমুতকাল,	অন্তর্ভুক্তিমূলক,	
sachetanotamulak,	সাচাত্নতমূলক,	সচেতনতামূলক,	
lendol,	লেন্ডল,	লেন্ডল,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
cuti,	কুটি,	কিউটি,	
poorohitder,	পুরহীতদের,	পুরোহিতদের,	
deeliveer,	দিলিভির,	ডেলিভার,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
deep,	ডিপ,	দীপ,	
chetnagato,	চিতনগত,	চেতনাগত,	
carlos,	কার্লস,	কার্লোস,	
teemothy,	তিমথই,	টিমোথি,	
janagononar,	জনগণনার,	জনগণনার,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
tachnach,	তাচনাচ,	তছনছ,	
muhammadi,	মুহাম্মদী,	মুহাম্মদী,	
jonogononar,	জনগণনার,	জনগণনার,	
onnoroop,	অন্নরূপ,	অন্যরূপ,	
sangosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
kabutorer,	কবিতরের,	কবুতরের,	
mononitoder,	মনননিতদের,	মনোনীতদের,	
kale,	কালে,	কালে,	
torangunj,	তরানগঞ্জ,	তোরাবগঞ্জ,	
cheere,	চেরে,	চিরে,	
vageroi,	ভাযাগেরই,	ভাগেরই,	
patthkrom,	পাঠ্রম,	পাঠক্রম,	
palbangsher,	পাল্বংশের,	পালবংশের,	
jerushalem,	জেরুশালাম,	জেরুসালেম,	
jerujalem,	জেরুজালামে,	জেরুসালেম,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
bopoon,	বুপুণ,	বপন,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
bronzer,	ব্রাঞ্জের,	ব্রোঞ্জের,	
cholochchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
nikat,	নিকাত,	নিকট,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
phixing,	ফিকিং,	ফিক্সিং,	
barnis,	বার্নিস,	বার্নিশ,	
teter,	টেটের,	টেটের,	
heena,	হিন,	হেনা,	
krita,	কৃত,	ক্রীট,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
sausagee,	সৌসাগে,	সসেজ,	
eashter,	ইস্টের,	ইস্টার,	
deil,	ডেল,	ডেইল,	
jathartho,	যথার্থ,	যথার্থ,	
shaater,	সাতের,	শ্যুটার,	
bonovumi,	বনভূমি,	বনভূমি,	
chesa,	চেস,	চেস,	
carpetey,	কারপেতে,	কার্পেটে,	
modelke,	মোদেলকে,	মডেলকে,	
mugdhota,	মুঘঠতা,	মুগ্ধতা,	
jalatanko,	জলত্যাঙ্ক,	জলাতঙ্ক,	
awnurbor,	অনুরবর,	অনুর্বর,	
pashan,	পাশন,	পাষাণ,	
ekeerokom,	একইরকম,	একইরকম,	
sulke,	সুলকে,	শুল্কে,	
doshider,	দশীদের,	দোষীদের,	
sangkalanti,	সংকলান্তি,	সংকলনটি,	
aarekdal,	আরেকদল,	আরেকদল,	
silvee,	শিল্ভী,	সিলভি,	
aarcia,	আর্সি,	আরসিএ,	
braqe,	ব্র্যাক,	ব্রেক,	
grooth,	গ্রুথ,	গ্রোথ,	
deepei,	দিপেই,	দ্বীপেই,	
somoshtigoto,	সমস্তিগুত,	সমষ্টিগত,	
logic,	লোগজিক,	লজিক,	
sooresh,	সুরেশ,	সুরেশ,	
bedanter,	বেদন্তের,	বেদান্তের,	
agamane,	আগামানে,	আগমনে,	
chhatoke,	ছটটকে,	ছাতকে,	
phoxkon,	ফক্কন,	ফক্সকন,	
quoota,	কুউটা,	কোটা,	
shomraat,	সম্রাত,	সম্রাট,	
okkhor,	অক্ষর,	অক্ষর,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
emargency,	এমারজেন্সি,	এমার্জেন্সি,	
mmeloborrne,	মেমবর্তে,	মেলবোর্নে,	
zoonite,	যুনিতে,	যোনীতে,	
dijnii,	দিজনী,	ডিজনী,	
rohosyo,	রহস্য,	রহস্য,	
teresa,	টেরেসা,	টেরেসা,	
dor,	দর,	দোর,	
kemonay,	কেমনে,	কেমনে,	
suparahiroo,	সুপারাহিরু,	সুপারহিরো,	
gonosakkhorota,	গণসক্ষরতা,	গণসাক্ষরতা,	
guzob,	গুজব,	গুজব,	
bonkey,	বনকে,	বনকে,	
serveray,	সার্ভেরে,	সার্ভারে,	
prodeeper,	প্রদীপের,	প্রদীপের,	
vogiroth,	ভগিরথথ,	ভগীরথ,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
murad,	মুরদ,	মুরাদ,	
bed,	বেদ,	বেদ,	
reflex,	রিইফেল্স,	রিফ্লেক্স,	
dajhya,	দাজ্য,	দাহ্য,	
tooni,	টুনি,	টুনি,	
prakalpoguli,	প্রকলাপগুলি,	প্রকল্পগুলি,	
chhotogolpe,	ছোটোগ্পে,	ছোটগল্পে,	
chittronattokar,	চিত্রনত্তকার,	চিত্রনাট্যকার,	
saras,	সররস,	সরস,	
neemitto,	নিমিত্ব,	নিমিত্ত,	
sbatantrata,	স্বততন্ত্রতা,	স্বতন্ত্রতা,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
bipradas,	বিপ্রদদশ,	বিপ্রদাস,	
bagdady,	বাগদাদি,	বাগদাদী,	
udor,	উদর,	উদর,	
chakti,	চক্তি,	চাকতি,	
parswer,	পার্স্যার,	পার্শ্বে,	
morathee,	মরাথি,	মরাঠি,	
tophaat,	টফাট,	তফাৎ,	
uthhe,	উঠে,	উঠে,	
wool,	উোল,	উল,	
bhejano,	ভেজানো,	ভেজানো,	
horas,	হরাস,	হোরাস,	
qinsa,	কিনস,	কিংস,	
archimedeser,	আর্মিমেদেের,	আর্কিমিডিসের,	
siddhantagulo,	সিদ্ধান্গলু,	সিদ্ধান্তগুলো,	
ssahocorze,	শাহকর্যে,	সাহচর্যে,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
nesnos,	নিসনস,	নেশনস,	
prema,	প্রেম,	প্রাইম,	
kuchir,	কুছির,	কুচির,	
commander,	কমান্ডের,	কমাণ্ডার,	
paira,	পাইর,	পাইরা,	
matte,	মতে,	ম্যাট,	
kishti,	কিষটি,	কিস্তি,	
debdebee,	দেবদেবী,	দেবদেবী,	
toroon,	তরুণ,	তরুন,	
bhalta,	ভল্ট,	ভল্ট,	
chhintayikari,	ছিনতাইকারী,	ছিনতাইকারী,	
ostader,	অস্তাদের,	ওস্তাদের,	
chittronatyokar,	চিত্রনাত্যকর,	চিত্রনাট্যকার,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
ishpredshhiit,	ইস্প্রেসটি,	স্প্রেডশীট,	
itastata,	ইতসসতত,	ইতস্ততঃ,	
jolbe,	জলবে,	জ্বলবে,	
karlei,	করলেই,	করলেই,	
vumir,	ভূমির,	ভূমির,	
difinishian,	ডিফিনিশন,	ডেফিনেশন,	
shaajaanor,	সাজানোর,	সাজানোর,	
spredashiita,	স্পারদেশিত,	স্প্রেডশীট,	
manhputa,	মন্পুততা,	মনঃপুত,	
phaksa,	ফক্স,	ফক্স,	
hoilo,	হইলো,	হইল,	
asammati,	আসমমাটি,	অসম্মতি,	
elakati,	এলাকাতি,	এলাকাটি,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
muchir,	মুছির,	মুচির,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
canflikt,	কনফাল্ক্ট,	কনফ্লিক্ট,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
korle,	করলে,	করলে,	
postke,	পোস্টকে,	পোস্টকে,	
dokaangulotey,	দকানগুলোতে,	দোকানগুলোতে,	
safalyer,	সফল্রির,	সাফল্যের,	
suparharo,	সুপারহারও,	সুপারহিরো,	
oswastikor,	অস্বাস্তিকার,	অস্বস্তিকর,	
mugdha,	মুগধ,	মুগ্ধ,	
daaktikite,	ডাক্তিকিতে,	ডাকটিকিটে,	
deebatee,	দিবাতী,	ডিবেট,	
post,	পোস্ট,	পোষ্ট,	
santoshpore,	সন্তঃপপর,	সন্তোষপুর,	
puroheetder,	পুরাহিতদের,	পুরোহিতদের,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
seemons,	সিমাংস,	সিমন্স,	
indrani,	ইন্দ্রনী,	ইন্দ্রাণী,	
sqora,	স্কোর,	স্কোর,	
peoples,	পিপপ্লেস,	পিপলস্,	
baet,	ব্যাট,	বাইট,	
shasonkorta,	শাসনকর্ত,	শাসনকর্তা,	
transhform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
nomo,	নম,	নমো,	
aatok,	আটক,	আটক,	
shantaa,	শান্তা,	সান্তা,	
shamooker,	সামুকের,	শামুকের,	
horeedwar,	হরিদবার,	হরিদ্বার,	
pattern,	প্যাটর্ন,	প্যাটার্ন,	
kushoomba,	কুশুম্ব,	কুশুম্বা,	
siiteyi,	শীতেই,	শীতেই,	
arthat,	অর্থাত,	অর্থাৎ,	
sthapanagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
bhittio,	ভিত্যও,	ভিত্তিও,	
akib,	আকিব,	আকিব,	
neurologi,	নিউরোলজি,	নিউরোলজি,	
tarunke,	তারুনকে,	তরুণকে,	
vool,	ভুল,	উল,	
ameettrakkhor,	অমিত্রকক্ষের,	অমিত্রাক্ষর,	
kantajir,	কান্তজীর,	কান্তজির,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
jony,	যোনি,	জনি,	
tecnocrat,	টেকনচ্রাট,	টেকনোক্র্যাট,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
zonsa,	জনসা,	জোন্স,	
somonwitobhabey,	সমন্ভীতভাবে,	সমন্বিতভাবে,	
bonshoke,	বংশকে,	বংশকে,	
durgotsob,	দুর্গতসব,	দুর্গোৎসব,	
sarder,	সর্ডার,	সরদার,	
tader,	তাদের,	তদের,	
beenis,	বিনিস,	ভেনিস,	
renoo,	রেনো,	রেনো,	
chalche,	চলছে,	চলছে,	
dharai,	ধারই,	ধারাই,	
hoshein,	হোসেইন,	হোসেইন,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
dokangoolote,	দোকনগুলোতে,	দোকানগুলোতে,	
rifleks,	রিইপল্কস,	রিফ্লেক্স,	
panctaar,	পাঁচতার,	পাঁচটার,	
uuipokar,	উউপপাকর,	উইপোকার,	
upbasher,	উপবাসের,	উপবাসের,	
sahochorjey,	সহচরর্যে,	সাহচর্যে,	
shangsthatir,	সংস্থাটির,	সংস্থাটির,	
teempaleeta,	টেম্পলেট,	টেম্পলেট,	
tourisht,	তৌরিষ্ট,	টুরিস্ট,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
babona,	বাবনা,	বাবনা,	
morathi,	মরাথি,	মরাঠি,	
michir,	মিছির,	মিচির,	
dollu,	ডললু,	ডলু,	
osamanno,	অসমমন্য,	অসামান্য,	
iqbalke,	ইকবলবকে,	ইকবালকে,	
jyaqa,	জ্যাক,	জ্যাক,	
pouchute,	পৌঁছতে,	পৌঁছুতে,	
tiuning,	টিউনিং,	টিউনিং,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
sookumari,	সুকুমারি,	সুকুমারী,	
anchalgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
aksathe,	একসাথে,	একসাথে,	
dweegulotey,	দ্বীগুলোতে,	দ্বীপগুলোতে,	
mojlis,	মজলিস,	মজলিশ,	
anekeri,	অনেকারী,	অনেকেরই,	
dasha,	দশ,	দোসা,	
grambasee,	গ্রমবাসী,	গ্রামবাসী,	
byabaharkariderke,	ব্যবহারারকারিরে,	ব্যবহারকারীদেরকে,	
parther,	পার্থের,	পার্থের,	
grambashee,	গ্রমবাসী,	গ্রামবাসী,	
monir,	মনির,	মনির,	
byaboharkarike,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
armeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
ajauno,	অজনও,	অযৌন,	
qor,	কোর,	কর,	
thela,	থেল,	ঠেলা,	
satarkota,	সতকর্তা,	সতর্কতা,	
marketey,	মার্কেটে,	মার্কেটে,	
atwobishvashi,	অত্ববশশবাসী,	আত্মবিশ্বাসী,	
moshzidti,	মশিজটি,	মসজিদটি,	
durgotshob,	দুর্গতসভা,	দুর্গোৎসব,	
vageri,	ভ্যাগেরি,	ভাগেরই,	
uinndos,	উইন্ডনস,	উইন্ডোস,	
saatzoner,	সাতজনের,	সাতজনের,	
haran,	হরন,	হারান,	
dolgulo,	দলগুলো,	দলগুলো,	
gheshe,	ঘেষে,	ঘেঁষে,	
gobeshakgon,	গবেষকাগণ,	গবেষকগণ,	
antarbhuktimulak,	অন্তর্ভূতিকভূকক,	অন্তর্ভুক্তিমূলক,	
uindoos,	উইন্ডুস,	উইন্ডোস,	
satjon,	সতজন,	সাতজন,	
patjata,	পতজজত,	পাটজাত,	
utsaha,	উত্সাহা,	উৎসাহ,	
porishkoron,	পরিষ্করণ,	পরিষ্করণ,	
kanader,	কানাদের,	কণাদের,	
mekong,	মেকং,	মেকং,	
proteemake,	প্রতীমাকে,	প্রতিমাকে,	
elakaa,	এলাকা,	এলাকা,	
fol,	ফল,	ফল,	
marodeha,	মারদেহ,	মরদেহ,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
holuder,	হলুদের,	হলুদের,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
kingdom,	কিংডম,	কিংডম,	
faaj,	ফাজ,	ফাজ,	
aamontrito,	আমন্তৃত,	আমন্ত্রিত,	
lesensa,	লেসেন্স,	লাইসেন্স,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
canal,	ক্যানাল,	ক্যানেল,	
ajeempur,	আজিমপুর,	আজিমপুর,	
hypar,	হিপার,	হাইপার,	
durgandha,	দুর্গন্ধ,	দুর্গন্ধ,	
teamothi,	তিমোথি,	টিমোথি,	
tribhuj,	ত্রীভুজ,	ত্রিভূজ,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
taiteela,	টাইটেল,	টাইটেল,	
phoksher,	ফক্সের,	ফক্সের,	
bhaibon,	ভাইবন,	ভাইবোন,	
serverey,	সার্ভেরে,	সার্ভারে,	
geza,	গেজ,	গেজ,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
uporitaler,	উপরিতলের,	উপরিতলের,	
sbajan,	স্বজন,	স্বজন,	
chhatta,	ছোটটা,	ছোট্ট,	
ghursen,	ঘুরসেন,	ঘুরেছেন,	
chhutite,	ছুটিতে,	ছুটিতে,	
monzeele,	মন্জিলে,	মঞ্জিলে,	
spreeadsheet,	স্প্রেডসিত,	স্প্রেডশীট,	
ashonkai,	আসংকাই,	আশঙ্কাই,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
pustir,	পুস্তির,	পুষ্টির,	
avinetar,	অভিনেতার,	অভিনেতার,	
paab,	পাব,	পাব,	
bojhey,	বোঝে,	বোঝে,	
bhabnake,	ভব্নাকে,	ভাবনাকে,	
lishensh,	লিসেন্স,	লাইসেন্স,	
hedge,	হ্যাজ,	হেজ,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
vasturyi,	বস্তুরেই,	বস্তুরই,	
licensedhari,	লিকেনসসারে,	লাইসেন্সধারী,	
ekoghoore,	একঘরের,	একঘরে,	
karo,	কারও,	করো,	
moomtajer,	মুমতাজের,	মুমতাজের,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
patenter,	প্যাটেন্টের,	পেটেন্টের,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
kharaar,	খারার,	খরার,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
saaeda,	সাইড,	সাইদা,	
roktokshoroner,	রক্তক্ষণার,	রক্তক্ষরণের,	
onker,	অঙ্কের,	ওঙ্কার,	
deputi,	দেপতি,	ডেপুটি,	
chirohorit,	চিরহরিত,	চিরহরিৎ,	
nilfamarir,	নিল্পমারীর,	নীলফামারীর,	
dibeeta,	দিবীতা,	ডিবেট,	
sahooseekotar,	সাহিকসতার,	সাহসিকতার,	
mitre,	মিত্রে,	মিত্র,	
jamkaalo,	জামকাল,	জমকালো,	
nodigulo,	নদীগুলো,	নদীগুলো,	
musolmanera,	মুসললমনার,	মুসলমানেরা,	
marmader,	মারমমার,	মারমাদের,	
khizir,	খিজির,	খিজির,	
kattor,	কাটরোর,	কট্টর,	
taorat,	তারাট,	তওরাত,	
obolokon,	অবলকণ,	অবলোকন,	
temon,	টেমন,	তেমন,	
technocrat,	টেকনচ্রাট,	টেকনোক্র্যাট,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
daalu,	ডালু,	ডালু,	
keo,	কিও,	কেও,	
jamjamat,	জমমজমত,	জমজমাট,	
fimel,	ফিমেল,	ফিমেল,	
chalkee,	চালকি,	চালকে,	
lutharana,	লুটরান,	লুথেরান,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
neemitte,	নিমিতে,	নিমিত্তে,	
jesthatar,	যেষ্ঠতার,	জ্যেষ্ঠতার,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
bhittiti,	ভিতটিতি,	ভিত্তিটি,	
samavesh,	সমবেশ,	সমাবেশ,	
iub,	আইব,	আইইউবি,	
obdee,	অবদী,	অব্দি,	
yukeliptas,	ইউকিলপিত্স,	ইউক্যালিপ্টাস,	
kaanaai,	কানাই,	কানাই,	
chereche,	চেরেছে,	ছেড়েছে,	
tarasa,	তারসা,	টেরেসা,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
maail,	মাইল,	মাইল,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
venush,	ভেনুস,	ভেনাস,	
pleena,	প্লেন,	প্লেন,	
onodhikar,	অনধধিকার,	অনধিকার,	
chalochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
churger,	চার্গের,	চার্জের,	
konphlikt,	কনফিল্ক,	কনফ্লিক্ট,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
gandhikey,	গানধীকে,	গান্ধীকে,	
bosontokey,	বসন্তকে,	বসন্তকে,	
casper,	ক্যাপার,	ক্যাসপার,	
harj,	হার্জ,	হার্জ,	
bakhyateet,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
mukhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
vittio,	ভিত্যু,	ভিত্তিও,	
eideen,	এডিন,	এইদিন,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
futonto,	ফুটন্ত,	ফুটন্ত,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
townshhip,	টাউশ্পিপ,	টাউনশিপ,	
ekkoghore,	একঘহরে,	একঘরে,	
bizit,	বিজিত,	বিজিত,	
apohoron,	অপহরণ,	অপহরন,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
title,	টিটলে,	টাইটেল,	
moricha,	মরিচা,	মরিচা,	
abdoor,	আবদুর,	আবদুর,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
onektai,	অনেকটি,	অনেকটাই,	
ekaatto,	একাত্য,	একাত্ব,	
scorey,	স্করে,	স্কোরে,	
ogovir,	অগোভীর,	অগভীর,	
ramantika,	রামন্তিক,	রোমান্টিক,	
maudelti,	মটেললি,	মডেলটি,	
tigar,	টিগার,	টাইগার,	
abosorer,	অবসরের,	অবসরের,	
mangolic,	মঙ্গোলিক,	মাঙ্গলিক,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
ispreedsheet,	ইস্ট্রেসটিত,	স্প্রেডশীট,	
agrodut,	আগ্রদতু,	অগ্রদূত,	
koreemer,	করিমের,	করিমের,	
shilpojaat,	শিল্পজত,	শিল্পজাত,	
koyari,	কোয়ারি,	কোয়েরি,	
institutione,	ইন্সটিটুশনে,	ইনস্টিটিউশনে,	
uroor,	উরুর,	উরুর,	
sanaktokaroner,	সনক্তকরণের,	সনাক্তকরণের,	
honduras,	হন্ডুরাস,	হন্ডুরাস,	
alaoul,	অ্যাউল,	আলাওল,	
upcharzo,	উপ্চার্য,	উপাচার্য,	
kanshat,	কাঁসা,	কানসাট,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
potkaa,	পটকা,	পটকা,	
metrapalitana,	মেট্রোপলিটা,	মেট্রোপলিটন,	
shoodhooi,	শুধুই,	শুধুই,	
hatodaridra,	হতদরাদিরা,	হতদরিদ্র,	
uparzoner,	উপারজনের,	উপার্জনের,	
mmeloborrner,	মেলরবর্ণের,	মেলবোর্নের,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
sainyara,	সৈন্যার,	সৈন্যরা,	
sotorkobhabe,	সতররভাবে,	সতর্কভাবে,	
novel,	নোভেল,	নভেল,	
boikolyo,	বৈকল্য,	বৈকল্য,	
bibad,	বিবদ,	বিবাদ,	
damdor,	দমদদর,	দামদর,	
bhange,	ভাঙে,	ভাঙ্গে,	
meetropalitana,	মেত্রপালিতা,	মেট্রোপলিটন,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
huge,	হুগে,	হিউজ,	
choddo,	ছদদ্য,	চোদ্দো,	
obharbheeu,	ওভারভীউ,	ওভারভিউ,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
stylish,	স্টিইলিস,	স্টাইলিশ,	
ingrejraa,	ইংরেজ্র,	ইংরেজরা,	
siima,	সিম,	সীমা,	
candi,	কন্ডি,	ক্যান্ডি,	
chargar,	চারগার,	চার্জার,	
gasthii,	গাস্থী,	গোষ্ঠীই,	
makhmale,	মাখখালে,	মখমলে,	
vagadada,	ভাগদাদা,	বাগদাদ,	
kanaphlikta,	কনফালিক্ট,	কনফ্লিক্ট,	
swartho,	স্বার্থ,	স্বার্থ,	
basiney,	বাসিনে,	বেসিনে,	
byabaharkareederke,	ব্যবহারকারীদারী,	ব্যবহারকারীদেরকে,	
donaat,	দনাত,	ডোনাট,	
falakti,	ফলকটি,	ফলকটি,	
obhidhaner,	অভিধানের,	অভিধানের,	
ganochiener,	গণচিনের,	গণচীনের,	
homske,	হমসকে,	হোমসকে,	
chenza,	চেঞ্জ,	চেঞ্জ,	
cloud,	ক্লাড,	ক্লাউড,	
nir,	নির,	নির,	
buth,	বুথ,	বুথ,	
selinar,	সেলিনার,	সেলিনার,	
shkolashtik,	স্কললসসিট,	স্কলাস্টিক,	
dolu,	দলু,	ডলু,	
horinner,	হরিনের,	হরিণের,	
haphej,	হাফেজ,	হাফেয,	
sumita,	সুমিতা,	সুমিতা,	
kormi,	কর্মী,	কর্মই,	
redcrosser,	রেড্রসের,	রেডক্রসের,	
ganesh,	গানস,	গণেশ,	
abul,	আবুলুল,	আবুল,	
ester,	এস্টের,	ইস্টার,	
bandhano,	বাঁধানও,	বাঁধানো,	
bhittow,	ভিততও,	ভিত্তিও,	
samosher,	সমসের,	সমশের,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
chutochuti,	চুটাচুটি,	ছুটোছুটি,	
letterey,	লেটেরে,	লেটারে,	
ayadabhanshada,	অ্যানভাস্যান,	অ্যাডভান্সড,	
geejeeteeda,	গেজেটেড,	গেজেটেড,	
fixing,	ফিকিং,	ফিক্সিং,	
jakkha,	যক্ষ্য,	যক্ষ,	
ajeeboner,	অজিবনের,	আজীবনের,	
minishter,	মিনিস্টের,	মিনিস্টার,	
masazida,	মাসাজিদ,	মসজিদ,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
annarup,	অন্যারূপ,	অন্যরূপ,	
paade,	পাদে,	পাড়ে,	
akla,	একলা,	একলা,	
shiropadhari,	শিরাপধারী,	শিরোপাধারী,	
upobasher,	উপবাসের,	উপবাসের,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
sangasthati,	সংস্থাটি,	সংস্থাটি,	
karmakarke,	কর্মকর্কে,	কর্মকারকে,	
daily,	ডেলি,	ডেইলি,	
praapokke,	প্রপোককে,	প্রাপককে,	
monzooshree,	মন্জুস্রী,	মঞ্জুশ্রী,	
oporishodhito,	অপরিষোতিত,	অপরিশোধিত,	
sofier,	সফির,	সোফির,	
boarana,	বোরান,	বোরন,	
kaathhaamaandu,	কাঠামান্ডু,	কাঠমান্ডু,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
tuner,	টুনের,	টিউনার,	
dharavahikeo,	ধারাগাকিশাই,	ধারাবাহিকেও,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
ghurtey,	ঘুরতে,	ঘুরতে,	
godamjat,	গদমজাত,	গুদামজাত,	
elakai,	এলাকাই,	এলাকাই,	
dala,	ডালা,	দলা,	
potochitrer,	পটচিত্রের,	পটচিত্রের,	
neurolojy,	নিউরোলজি,	নিউরোলজি,	
edii,	এডি,	আইডিই,	
gaj,	গজ,	গেজ,	
boikalya,	বৈকল্য,	বৈকল্য,	
peto,	পেটো,	পেত,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
azizur,	আজিজুর,	আজিজুর,	
abarte,	আবর্তে,	আবর্তে,	
murader,	মুরদের,	মুরাদের,	
manikyo,	মানিক্য,	মানিক্য,	
hyper,	হিইপের,	হাইপার,	
bage,	বেজে,	বাগে,	
