tokei,	তোকেই,	ত্বকেই,	
vageroi,	ভাগেরই,	ভাগেরই,	
koode,	কোড,	কোড,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
tonga,	তঙ্গ,	টোঙ্গা,	
opadan,	ওপাদান,	অপাদান,	
songbadmadhyome,	সংবাদদ্ধমে,	সংবাদমাধ্যমে,	
prai,	প্রে,	প্রায়,	
raiialati,	রেইলটি,	রয়্যালটি,	
sifi,	সিফি,	সাইফাই,	
modhumotii,	মধুমতি,	মধুমতী,	
oindrila,	ঐন্দ্রীল,	ঐন্দ্রিলা,	
khude,	খুদে,	ক্ষুদে,	
mosharrof,	মোশাররফ,	মশাররফ,	
mukharji,	মুখার্জি,	মুখার্জী,	
ipl,	আইল,	আইপিএল,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
aabarte,	আবার্তে,	আবর্তে,	
shithilata,	সিথীলতা,	শিথিলতা,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
koreempoor,	করিমপুর,	করিমপুর,	
cheph,	চেফ,	শেফ,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
falashruti,	ফলাস্রুটি,	ফলশ্রুতি,	
mirakeela,	মিরকেল,	মিরাকেল,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
kanflict,	কনফালিক্ট,	কনফ্লিক্ট,	
showti,	শটভি,	শোটি,	
allahabadey,	আলাহাবাদে,	এলাহাবাদে,	
krom,	ক্রম,	ক্রম,	
ruteener,	রুটিনের,	রুটিনের,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
hotelti,	হটেলটি,	হোটেলটি,	
maarmaader,	মারমাদের,	মারমাদের,	
uipoka,	উপ্্কো,	উইপোকা,	
swostir,	স্বস্তির,	স্বস্তির,	
bouddher,	বদ্ধের,	বৌদ্ধের,	
heawy,	হেও,	হেভি,	
byabaharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
matriroop,	মাতৃরূপ,	মাতৃরূপ,	
sangkalaner,	সংকলানের,	সংকলনের,	
artilery,	আর্টিলারি,	আর্টিলারি,	
dhormantor,	ধর্মান্তর,	ধর্মান্তর,	
phokser,	ফক্সের,	ফক্সের,	
muktume,	মুক্তমে,	মাকতুম,	
cannel,	ক্যানেল,	ক্যানেল,	
logicer,	লোগিকের,	লজিকের,	
jonomukhi,	জনমুখী,	জনমুখী,	
chef,	চেফ,	শেফ,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
dhyanostha,	ধ্যনস্থ,	ধ্যানস্থ,	
saccar,	স্বাকার,	সকার,	
venishh,	ভেনিস,	ভেনিস,	
sansthatir,	সংস্থটির,	সংস্থাটির,	
utsaahe,	উৎসাহে,	উৎসাহে,	
boshoborty,	বসবর্তী,	বশবর্তী,	
falak,	ফলক,	ফলক,	
yaak,	যাক,	ইয়াক,	
pingnaa,	পিঙ্না,	পিংনা,	
muhmmoder,	মুহমমদের,	মুহম্মদের,	
satarkabhabe,	সত্রাকভাবে,	সতর্কভাবে,	
charbon,	চার্বন,	চর্বন,	
omanisha,	অমানিশ,	অমানিশা,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
tunaita,	টুনাইট,	টুনাইট,	
superheira,	সুপারেরা,	সুপারহিরো,	
sotorkobhabey,	সত্রকভাবে,	সতর্কভাবে,	
bosantake,	বসন্তকে,	বসন্তকে,	
idipasa,	আডিপস,	ইডিপাস,	
edmiral,	এডিমরাল,	এডমিরাল,	
korkatkranti,	কর্কাকটন্ত,	কর্কটক্রান্তি,	
papri,	পাপর,	পাপরি,	
sloker,	স্লোকার,	শ্লোকের,	
manikyo,	মাণিক্য,	মানিক্য,	
motabolambira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
noiteekotabodh,	নৈতিক্যবাধ,	নৈতিকতাবোধ,	
bondira,	বন্দিরা,	বন্দীরা,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
futbolarer,	ফুটবলরের,	ফুটবলারের,	
ganoporibahan,	গণপরিবহন,	গণপরিবহন,	
vumir,	ভূমির,	ভূমির,	
taronee,	তারণী,	তরণী,	
sahojlabhbhotar,	সহজভ্লভাতার,	সহজলভ্যতার,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
shiniyara,	সিনিয়ার,	সিনিয়র,	
cs,	সিএস,	সিএস,	
hanttey,	হাঁটে,	হাঁটতে,	
utshahi,	উত্সাহী,	উৎসাহী,	
bcci,	বিসিসি,	বিসিসিআই,	
modelti,	মোডেলটি,	মডেলটি,	
dipti,	দিপ্তি,	ডেপুটি,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
everage,	ইভারেজ,	এভারেজ,	
dara,	দ্বারা,	দারা,	
lajiker,	লজিকের,	লজিকের,	
vdp,	ডিএিপি,	ভিডিপি,	
jeebonto,	জীবন্ত,	জীবন্ত,	
kormokandeo,	কর্মকান্দে,	কর্মকাণ্ডেও,	
dreestiheen,	দৃষ্টিহান,	দৃষ্টিহীন,	
durgandher,	দুর্গন্ধের,	দুর্গন্ধের,	
obhaarbhiu,	অভারভিউ,	ওভারভিউ,	
sweety,	স্বীতি,	সুইটি,	
boring,	বরিং,	বোরিং,	
arthonitite,	অর্থনিতিতে,	অর্থনীতিতে,	
shangkulaan,	সংকুলান,	সংকুলান,	
daaraa,	দারা,	দারা,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
itastata,	ইতাস্টট,	ইতস্ততঃ,	
vittiti,	ভিত্তি,	ভিত্তিটি,	
silvee,	সিলভি,	সিলভি,	
ikbalke,	ইকবলকে,	ইকবালকে,	
meghey,	মেঘে,	মেঘে,	
otorkeitey,	ওতর্কিতে,	অতর্কিতে,	
konake,	কোনকে,	কণাকে,	
pathkromer,	পাঠক্রমের,	পাঠক্রমের,	
marier,	মেরির,	ম্যারির,	
uporitole,	উপরিতলে,	উপরিতলে,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
enjineerinj,	ইনজেনিরিজ,	ইঞ্জিনিয়ারিং,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
leadar,	লিডার,	লিডার,	
soores,	সুরেশ,	সুরেশ,	
footballerer,	ফুটবলরের,	ফুটবলারের,	
bhogini,	ভোগিনী,	ভগিনী,	
ganoparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
morodeho,	মরোদেহ,	মরদেহ,	
ketechilo,	কেটেছিল,	কেটেছিল,	
utsahi,	উৎসাহী,	উৎসাহী,	
madhoori,	মাধুরি,	মাধুরী,	
nake,	নাকে,	নেক,	
jeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
bechaa,	বেচা,	বেচা,	
abheedhaaner,	অভিধানের,	অভিধানের,	
cho,	চো,	ছোঁ,	
jommu,	জমমু,	জম্মু,	
mugdhata,	মুগধা,	মুগ্ধতা,	
koro,	কররো,	কর,	
bhartuky,	ভার্কুকি,	ভর্তুকি,	
grooth,	গ্রুথ,	গ্রোথ,	
transafarma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
shaarthe,	স্রাথে,	স্বার্থে,	
haryken,	হারিকেন,	হ্যারিকেন,	
debholapar,	ডেভেলপার,	ডেভলপার,	
duckticket,	ডকক্তিকেট,	ডাকটিকিট,	
daakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
postac,	পোস্টাক,	পোস্টকে,	
istane,	ইস্টানে,	স্টোন,	
proshadhoni,	প্রশাধনি,	প্রসাধনী,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
anadhikar,	অনাধিকার,	অনধিকার,	
taaler,	তালের,	তালের,	
rk,	এর্ক,	আরকে,	
overviu,	ওভারভিউ,	ওভারভিউ,	
naazee,	নাজী,	নাত্সি,	
loukeekota,	লৌকিকোা,	লৌকিকতা,	
tuleche,	তুলেছে,	তুলেছে,	
sotorkokari,	সতরকাকারী,	সতর্ককারী,	
zubokshoho,	যুবক্ষ,	যুবকসহ,	
masjidtir,	মাজিদটির,	মসজিদটির,	
opohoron,	অপহরণ,	অপহরন,	
shatodha,	শতধা,	শতধা,	
nagorik,	নাগরিক,	নাগরিক,	
dayitwa,	দৈত্ব,	দায়িত্ব,	
superhera,	সুপারেরা,	সুপারহিরো,	
lambatey,	লম্বতে,	লম্বাটে,	
karu,	কারু,	কারো,	
vittitei,	ভিত্তিই,	ভিত্তিতেই,	
platoo,	পল্টো,	প্লেটো,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
shoya,	শোয়া,	সোয়া,	
purbancoler,	পূর্বাচ্চলের,	পূর্বাঞ্চলের,	
euroo,	ইউরো,	ইউরো,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
sangasthatir,	সংস্থতির,	সংস্থাটির,	
chalochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
taffsher,	তফসসের,	তাফসীর,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
mulaadee,	মুলাদী,	মুলাদি,	
jyesthaa,	জ্যাস্থা,	জ্যেষ্ঠা,	
kool,	কুল,	কুল,	
panthar,	পন্থার,	পন্থার,	
amstrong,	অমস্ট্রং,	আর্মস্ট্রং,	
metroopoolitan,	মেত্রুপোলিনান,	মেট্রোপলিটন,	
zubokra,	যুবক্র,	যুবকরা,	
farmat,	ফারমত,	ফরম্যাট,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
monhputo,	মন্পুত,	মনঃপুত,	
ahalyar,	অহল্যার,	অহল্যার,	
bhenisha,	ভেনিস,	ভেনিস,	
lokeson,	লোকেশন,	লোকেশন,	
tukrote,	টুক্রোতে,	টুকরোতে,	
mahish,	মহিস,	মহিষ,	
elaaka,	ইলাকা,	এলাকা,	
johny,	জনি,	জনি,	
ibhila,	ইভিল,	ইভিল,	
chetanagoto,	ছেতানগত,	চেতনাগত,	
olympik,	অলিম্পিক,	অলিম্পিক,	
atma,	আত্মা,	আত্ম,	
ganonanatto,	গণণণত্য,	গণনাট্য,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
bjp,	বিজিপি,	বিজেপি,	
skolastic,	স্কলসাটিক,	স্কলাস্টিক,	
prothati,	প্রথাটি,	প্রথাটি,	
bamona,	বামনা,	বামনা,	
diares,	ড্যারিস,	ডিআরএস,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
dala,	ডল,	দলা,	
rajshri,	রাজস্রী,	রাজশ্রী,	
karuna,	করুনা,	করুণা,	
ancholtike,	আঞ্চলিকে,	অঞ্চলটিকে,	
jolatonko,	জলতাঙ্ক,	জলাতঙ্ক,	
soshorire,	সশরীরে,	সশরীরে,	
nirikhe,	নিরীখে,	নিরিখ,	
mosharroph,	মোশাররফ,	মশাররফ,	
icebarg,	ইসেববর্গ,	আইসবার্গ,	
homeser,	হোমেসের,	হোমসের,	
hoilo,	হইলো,	হইল,	
foreex,	ফরেক্স,	ফরেক্স,	
garnar,	গর্নার,	গার্নার,	
reliance,	রিলায়েন্স,	রিলায়েন্স,	
dokan,	ডোকান,	দোকান,	
juboke,	যুবকে,	যুবকে,	
aiisa,	আইস,	আইএএস,	
kadam,	কাদাম,	কদম,	
mugdhota,	মুগ্ধতা,	মুগ্ধতা,	
atitkale,	অতীতকালে,	অতীতকালে,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
ghoorsen,	ঘুরছেন,	ঘুরেছেন,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
nishader,	নিষদের,	নিষাদের,	
chhaai,	ছাই,	ছাই,	
pachok,	পাচক,	পাচক,	
natniike,	নাটনিকে,	নাতনীকে,	
siniyara,	সিনিয়ার,	সিনিয়র,	
jacker,	যাকের,	জ্যাকের,	
puncho,	পাঞ্চ,	পুঞ্চ,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
korle,	করলে,	করলে,	
onektai,	অনেকটিই,	অনেকটাই,	
nursery,	নার্সারী,	নার্সারি,	
janaalo,	জানালো,	জানালো,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
pest,	পেস্ট,	পেষ্ট,	
torkarir,	তরকারীর,	তরকারীর,	
bijito,	বিজিত,	বিজিত,	
sothikata,	সহিকতা,	সঠিকতা,	
folo,	ফলও,	পোলো,	
palki,	পলকি,	পাল্কি,	
digree,	ডিগ্রী,	ডিগ্রি,	
chaaltaa,	চাল্া,	চালতা,	
bojhaar,	বজঝার,	বোঝার,	
arasie,	আরাসি,	আরসিএ,	
prakalpotike,	প্রক্লপতিকে,	প্রকল্পটিকে,	
hoomasa,	হোম্সা,	হোমস,	
ayadabhansada,	অ্যাডভোনসড,	অ্যাডভান্সড,	
hepataitisha,	হ্যাপোটিটিস,	হেপাটাইটিস,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
orbiit,	অর্বিত,	অরবিট,	
antarbhuttirmulok,	অন্তর্ভূত্রমূলক,	অন্তর্ভুক্তিমূলক,	
paltechhey,	পালেটেছে,	পাল্টেছে,	
goteebege,	গতিবেগে,	গতিবেগে,	
brindaboney,	বৃর্দনবনে,	বৃন্দাবনে,	
peterkey,	পেটারকে,	পিটারকে,	
parqing,	পার্কিং,	পার্কিং,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
ashonka,	আসঙ্ক,	আশঙ্কা,	
plete,	প্লেট,	প্লেট,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
dale,	ডলে,	ডালে,	
potcheetrer,	পটিচেরের,	পটচিত্রের,	
khaaneker,	খানিকের,	খানেকের,	
kayartara,	কোয়ার্টার,	কোয়ার্টার,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
qonflict,	কনফালিক্ট,	কনফ্লিক্ট,	
madhoboir,	মাধবোর,	মাধবীর,	
thaanobhi,	থানভী,	থানভী,	
vobotarini,	ভবতরীিনী,	ভবতারিণী,	
tirmiji,	তিরমিযী,	তিরমিজি,	
refleks,	রেফলক্স,	রিফ্লেক্স,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
sorjur,	সর্জুর,	সরযূর,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
creshcent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
dembakriti,	ডেম্বাকৃতি,	ডিম্বাকৃতি,	
gonohottar,	গণহত্তর,	গণহত্যার,	
nitikotha,	নীতিকথা,	নীতিকথা,	
poripakey,	পরিপাকে,	পরিপাকে,	
hijrite,	হিজরিতে,	হিজরীতে,	
akritakarjo,	আকৃতিকার্য,	অকৃতকার্য,	
pyor,	প্যার,	পিওর,	
trupa,	ট্রূপ,	ট্রুপ,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
horash,	হরাস,	হোরাস,	
agenda,	আগেন্ড,	এজেন্ডা,	
dhouto,	ধৌত,	ধৌত,	
kartana,	কর্তন,	করতনা,	
nirantar,	নিরন্তর,	নিরন্তর,	
dip,	ডিপ,	দীপ,	
debaag,	দেবাগ,	ডিবাগ,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
iqbaler,	ইকবলের,	ইকবালের,	
nikela,	নিকেলা,	নিকেল,	
fall,	ফল,	ফল,	
agara,	আগার,	আগোরা,	
uuipokar,	উইপুকার,	উইপোকার,	
gaugee,	গৌগী,	গেজ,	
ssosha,	শশা,	শশা,	
dosider,	দসীদের,	দোষীদের,	
nagorikera,	নাগরিকেরা,	নাগরিকেরা,	
gyate,	জ্ঞাতে,	গ্যেটে,	
pholo,	ফলও,	পোলো,	
expressian,	এক্সপ্রেশন,	এক্সপ্রেশন,	
elaakatir,	এলাকাটির,	এলাকাটির,	
foolkopi,	ফুলকপি,	ফুলকপি,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
prothakey,	প্রথাকে,	প্রথাকে,	
thake,	থাকে,	থাকে,	
aamor,	আমর,	আমর,	
gaziipur,	গাজীপুর,	গাজীপুর,	
dipgulote,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
anodhikaar,	অনোধিকার,	অনধিকার,	
moshjidtike,	মুশিদটিকে,	মসজিদটিকে,	
nirikh,	নিরীখ,	নিরিখ,	
chirata,	চিরতা,	চিরতা,	
shrimati,	শ্রীমতি,	শ্রীমতি,	
nathivookteer,	নথিভূক্তির,	নথিভুক্তির,	
kara,	কার,	কারো,	
damanmulak,	দামানমূলক,	দমনমূলক,	
koordider,	কুর্দিদের,	কুর্দিদের,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
sausage,	সসসেগে,	সসেজ,	
shulke,	শুলকে,	শুল্কে,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
arkimidish,	আর্কমাইডিক,	আর্কিমিডিস,	
monohputa,	মনোপূতা,	মনঃপুত,	
brittakare,	বৃত্যাকারে,	বৃত্তাকারে,	
koro,	কররো,	করো,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
olngkoron,	অলঙ্করণ,	অলঙ্করণ,	
mooldoova,	মল্ডুবা,	মলদোভা,	
samabeshke,	সমাবেশকে,	সমাবেশকে,	
thechar,	ঠেচার,	থ্যাচার,	
skara,	স্কার,	স্কোর,	
gandhiyo,	গান্ধিও,	গান্ধীও,	
durgondher,	দুর্গন্ধের,	দুর্গন্ধের,	
santoshpur,	সন্ততসপুর,	সন্তোষপুর,	
moshzidtike,	মুশিদটিকে,	মসজিদটিকে,	
prottokhovabe,	প্রত্যাখভাবে,	প্রত্যক্ষভাবে,	
nebhate,	নেভাতে,	নেভাতে,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
madaspushto,	মাদস্পুস্ট,	মদদপুষ্ট,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
servere,	সার্ভারে,	সার্ভারে,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
bharatey,	ভারতে,	ভারতে,	
engrezder,	ইংরেজেদের,	ইংরেজদের,	
commander,	কমান্ডার,	কমাণ্ডার,	
jansa,	জনসা,	জন্স,	
elakaai,	এলাকাই,	এলাকাই,	
up,	উপ,	আপ,	
asommati,	অসমাতি,	অসম্মতি,	
vorkendro,	ওর্কেন্দ্র,	ভরকেন্দ্র,	
janoikaa,	জননিকা,	জনৈকা,	
chhooteer,	ছুটির,	ছুটির,	
gemi,	জেমি,	জেমি,	
fevarite,	ফেভারিতে,	ফেভারিট,	
ovisongson,	অভিষংসন,	অভিশংসন,	
maladobha,	মালাদোভা,	মলদোভা,	
kokein,	কোকিন,	কোকেইন,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
saoum,	সাউম,	সাওম,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
addhattikota,	অধ্ধতিকতা,	আধ্যাত্মিকতা,	
reetesh,	রেটস,	রিতেশ,	
olympicer,	অল্মিপিকার,	অলিম্পিকের,	
maldava,	মালদ্বও,	মলদোভা,	
nathivuktir,	নথিভূক্তির,	নথিভুক্তির,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
krantee,	ক্রান্টি,	ক্রান্তি,	
dwipgulo,	দ্বীগুলো,	দ্বীপগুলো,	
maudelke,	ময়াডলকে,	মডেলকে,	
skalastik,	স্কলস্তিক,	স্কলাস্টিক,	
armastram,	আর্মশ্ত্রম,	আর্মস্ট্রং,	
palbongser,	পালবংশের,	পালবংশের,	
licenshing,	লিসেন্সিং,	লাইসেন্সিং,	
sikarer,	শিকারের,	শিকারের,	
pratista,	প্রতিষ্টা,	প্রতিষ্টা,	
jathartha,	যথারথথ,	যথার্থ,	
mele,	মেলে,	মাইল,	
bota,	বোঁটা,	বটা,	
deenes,	ডিনেস,	দীনেশ,	
doover,	ডুভার,	ডোভার,	
paschater,	পাশ্চাতের,	পশ্চাতের,	
kins,	কিন্স,	কিংস,	
bagdade,	বাগদাদে,	বাগদাদে,	
salafeta,	সলফাইট,	সালফেট,	
orthat,	অর্থাত,	অর্থাৎ,	
komandar,	কমান্ডার,	কমাণ্ডার,	
kada,	কাদা,	কোডা,	
vishad,	বিষদ,	বিষদ,	
sanbadmadhyamgulote,	সন্দাবনোমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
senabahinio,	সেনাবাহিনও,	সেনাবাহিনীও,	
koilas,	কৈলাশ,	কৈলাস,	
onurbar,	অনুরবার,	অনুর্বর,	
narsaari,	নার্সারী,	নার্সারি,	
aalkaatraa,	আলকাত্রা,	আলকাতরা,	
dajhyo,	দাজও,	দাহ্য,	
siqhar,	শিখার,	শিকার,	
karlosh,	কার্লস,	কার্লোস,	
tikka,	টিকা,	টিক্কা,	
kkunti,	কুন্তি,	কুন্তী,	
chalochchitroi,	চলচ্চ্রতই,	চলচ্চিত্রই,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
jamkalo,	জমকালো,	জমকালো,	
dharavahikbhabey,	ধারাভাভিকভাবে,	ধারাবাহিকভাবে,	
sibiai,	সিবিয়ে,	সিবিআই,	
jacq,	যাক,	জ্যাক,	
dharmi,	ধর্মি,	ধর্মী,	
stalin,	স্তালিন,	স্টালিন,	
shommotir,	সম্মতির,	সম্মতির,	
bayshorkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
joneetey,	যোনিতে,	যোনীতে,	
okritokarjo,	অকৃতিকর্য,	অকৃতকার্য,	
byaboharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
jokkho,	যক্ষ,	যক্ষ,	
cheef,	চীফ,	শেফ,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
eutey,	ইউটে,	ইইউতে,	
omanisa,	অমানিশ,	অমানিশা,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
primo,	প্রীমও,	প্রিমো,	
sikkhokbreendo,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
ooipokar,	অপৈকার,	উইপোকার,	
danobder,	দানবদের,	দানবদের,	
sheekarer,	শিকারের,	শিকারের,	
abartey,	আবর্তে,	আবর্তে,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
abikaul,	অবিকুল,	অবিকল,	
amarica,	অ্যামারিকা,	আমেরিকা,	
roobi,	রোবি,	রুবি,	
nischitarupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
keyboard,	কিবোর্ড,	কীবোর্ড,	
debdebyr,	দেবদেবির,	দেবদেবীর,	
narider,	নারীদের,	নারীদের,	
riphleqsa,	রাইফেল্স,	রিফ্লেক্স,	
temontee,	তেমনটি,	তেমনটি,	
madhobi,	মাধবী,	মাধবী,	
herpher,	হার্ফের,	হেরফের,	
hoila,	হইল,	হইল,	
jar,	যার,	জ্বর,	
monoputo,	মনোপুত,	মনঃপুত,	
kredit,	ক্রেডিত,	ক্রেডিট,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
khappor,	ক্ষপপর,	খপ্পর,	
horus,	হরুস,	হোরাস,	
hafej,	হাফেজ,	হাফেয,	
daktickete,	ডক্তিকেট,	ডাকটিকিটে,	
nopdikey,	নপদিকে,	নদীকে,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
seet,	সেট,	সিট,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
jeans,	জেনস,	জিন্স,	
neemitto,	নেমিত্য,	নিমিত্ত,	
manur,	মনুর,	মনুর,	
cyphy,	সাইফি,	সাইফাই,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
bijepi,	বিজেপি,	বিজেপি,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
codey,	কোডে,	কোডে,	
sikha,	শিখা,	শিখ,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
nomo,	নমঃ,	নমো,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
saurce,	সার্স,	সোর্স,	
arbeet,	আরবিত,	অরবিট,	
udbodhane,	উদ্বধানে,	উদ্বোধনে,	
pulse,	পালসে,	পালস,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
pharanyeta,	ফারনেট,	ফরম্যাট,	
karlosa,	কার্লস,	কার্লোস,	
hajareebag,	হাজারীবাগ,	হাজারিবাগ,	
avishangsan,	অভিষসং,	অভিশংসন,	
tookroti,	টুকরটি,	টুকরোটি,	
maradeho,	মারাদেও,	মরদেহ,	
shaddhi,	সদ্ধি,	সাধ্বী,	
ramantik,	রামান্টিক,	রোমান্টিক,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
enginiiring,	ইন্জিরিনি,	ইঞ্জিনিয়ারিং,	
cheshsh,	চেস,	চেস,	
nirmankaj,	নির্মাণকাশ,	নির্মাণকাজ,	
abasane,	আবাসনে,	অবসানে,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
potocheetrer,	পটিচের্র,	পটচিত্রের,	
tarkarir,	তরকারীর,	তরকারীর,	
naarsari,	নার্সারী,	নার্সারি,	
veenis,	ভেনিস,	ভেনিস,	
talal,	তালাল,	তালাল,	
jaanalo,	জানালো,	জানালো,	
motabolombiira,	মতাবামল্বীরা,	মতাবলম্বীরা,	
vince,	ভাইন্স,	ভিন্স,	
starcer,	স্টার্কের,	স্টার্কের,	
rohasyer,	রহহস্যের,	রহস্যের,	
monu,	মনু,	মনু,	
dokangulotey,	দকানগুলোতে,	দোকানগুলোতে,	
gitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
wool,	উল,	উল,	
chetana,	চেতনা,	চেতনা,	
wagadada,	ভাগাদাদা,	বাগদাদ,	
paare,	পারে,	পাড়ে,	
plainey,	প্লেনে,	প্লেনে,	
sikara,	সিকার,	শিকার,	
postkay,	পোস্তকে,	পোস্টকে,	
koonti,	কুনটি,	কুন্তী,	
adhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
dokaanei,	দোকানেই,	দোকানেই,	
ghursen,	ঘুরসেন,	ঘুরেছেন,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
ala,	আলা,	আলা,	
sacheton,	সচেতন,	সচেতন,	
karoo,	কারু,	কারো,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
protimar,	প্রতিমার,	প্রতিমার,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
drishyagulote,	দৃশ্যুগুলোতে,	দৃশ্যগুলোতে,	
chani,	চানি,	ছানি,	
aachees,	আচিস,	আছিস,	
napper,	নপের,	ন্যাপের,	
mozlishpoor,	মজলিসপুর,	মজলিশপুর,	
oitijje,	ঐতিহ্যে,	ঐতিহ্যে,	
damonmulok,	ডামনোমূলক,	দমনমূলক,	
associatees,	অ্যাসোসিটেস,	এসোসিয়েটস,	
cheerkut,	চিরকুট,	চিরকুট,	
korecho,	করেছো,	করেছ,	
byatari,	ব্যাতারি,	ব্যাটারী,	
maile,	মেলে,	মাইলি,	
seector,	সিক্টর,	সেক্টর,	
torunke,	তরুণকে,	তরুণকে,	
peri,	পেরী,	পেরি,	
armeeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
tiuning,	টিউনিং,	টিউনিং,	
neelfamarir,	নেলফামারির,	নীলফামারীর,	
