ghumato,	ঘুমত,	ঘুমাতো,	
bibadey,	বিবাদে,	বিবাদে,	
bosontokke,	বসন্তককে,	বসন্তকে,	
parka,	পার্ক,	পার্ক,	
graambaasio,	গ্রাম্বাসী,	গ্রামবাসীও,	
hafsa,	হাপশা,	হাফসা,	
oitijjer,	ঐতিজ্ঞের,	ঐতিহ্যের,	
diares,	ডায়ার,	ডিআরএস,	
kachhakachhi,	কোচাচাছি,	কাছাকাছি,	
mosjidsaha,	মস্বিদসহা,	মসজিদসহ,	
dharavahikti,	ধারাভাহিতি,	ধারাবাহিকটি,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
mukhomaundoler,	মুখমন্দলের,	মুখমণ্ডলের,	
mandanda,	মন্দন্দ,	মানদণ্ড,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
phokskon,	ফক্ষণ,	ফক্সকন,	
tooni,	টুনি,	টুনি,	
pashan,	পাশন,	পাষাণ,	
bishasey,	বিশাসে,	বিশ্বাসে,	
enashiyenta,	এনসায়েন্ট,	এনসিয়েন্ট,	
seo,	সেইও,	সেও,	
elakatikay,	এলোকটিকে,	এলাকাটিকে,	
lishenshe,	লিসেনসস,	লাইসেন্স,	
madhabi,	মাধাবী,	মাধবী,	
grambashee,	গ্রামসাসী,	গ্রামবাসী,	
bachhayi,	বাচাই,	বাছাই,	
rathin,	রথিন,	রথীন,	
bhyatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
karlo,	কার্ল,	কার্লো,	
torangunj,	তরুণ্গঞ,	তোরাবগঞ্জ,	
kyanela,	ক্যানেল,	ক্যানেল,	
ghenshei,	গেনসেই,	ঘেঁষেই,	
batsmaner,	বাসমতনের,	ব্যাটসম্যানের,	
iukyaliptasha,	উউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
shikhar,	শিখার,	শিকার,	
vugorvey,	ভুগরভে,	ভূগর্ভে,	
siddhantoke,	সিদ্ধনতকে,	সিদ্ধান্তকে,	
geja,	গেজা,	গেজ,	
ddebet,	দেবেত,	ডিবেট,	
omitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
antorbhuktimulak,	অন্তর্ভূকিকমূলক,	অন্তর্ভুক্তিমূলক,	
taoonship,	তুন্সীপ,	টাউনশিপ,	
rahee,	রাহী,	রাহী,	
stationer,	স্টেশনের,	ষ্টেশনের,	
batsmani,	বাসমটনী,	ব্যাটসম্যানই,	
kaaleo,	কালেও,	কালেও,	
noditikey,	নদীতিকে,	নদীটিকে,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
ishiyatika,	ইসিয়টিক,	এশিয়াটিক,	
patrol,	পাট্রল,	পেট্রোল,	
awrbit,	আরবিত,	অরবিট,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
mmadhuri,	মধুরি,	মাধুরী,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
neemeetto,	নিমেত্,	নিমিত্ত,	
estoniya,	এস্টিনিয়া,	এস্তোনিয়া,	
source,	সার্স,	সোর্স,	
proshadhoni,	প্রশাধানী,	প্রসাধনী,	
towraat,	তোরাত,	তওরাত,	
komtee,	কমতি,	কমতি,	
asovarno,	অসবর্ন,	অসবর্ণ,	
chalachchitrei,	চলচ্ছিত্রে,	চলচ্চিত্রেই,	
sohingsotar,	সহিংসাতার,	সহিংসতার,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
fala,	ফললা,	পোলো,	
weelcomee,	ওইলকমে,	ওয়েলকাম,	
bhagini,	ভাগিনী,	ভগিনী,	
eder,	এদের,	এদের,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
abarte,	আবর্তে,	আবর্তে,	
kanai,	কানাই,	কানাই,	
besooro,	বেসরর,	বেসুর,	
mauhajote,	মহাজতে,	মহাজোট,	
manushey,	মানুসে,	মানুষে,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
janosangjog,	জনসংগাগ,	জনসংযোগ,	
ashonka,	আশনকা,	আশঙ্কা,	
khorshed,	খর্ষেদ,	খোরশেদ,	
chalachchitro,	চলচ্ছিত্র,	চলচ্চিত্র,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
prodiiper,	প্রদিীপের,	প্রদীপের,	
udbodhony,	উদ্বোধনে,	উদ্বোধনী,	
addhatikotar,	আধ্যািকতার,	আধ্যাত্মিকতার,	
debaag,	দেবাগ,	ডিবাগ,	
ganachin,	গণভান,	গণচীন,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
baasaake,	বাসাকে,	বাসাকে,	
bosoben,	বসবেন,	বসবেন,	
kuchir,	কুচির,	কুচির,	
raagkey,	রাগকে,	রাগকে,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
jamanor,	জামানোর,	জমানোর,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
songosthatike,	সংস্থটিকে,	সংস্থাটিকে,	
roshider,	রশিদের,	রশিদের,	
chalchhee,	চলছি,	চলছে,	
shayanaida,	সাযানাইড,	সায়ানাইড,	
aamude,	আমুদে,	আমুদে,	
porishkaran,	পরিস্কারণ,	পরিষ্করণ,	
naarsari,	নার্সারী,	নার্সারি,	
jess,	জেস,	জেস,	
debdebie,	দেবদীবি,	দেবদেবী,	
lutharen,	লুঠারেন,	লুথেরান,	
chotto,	চত্ব,	ছোট্ট,	
debdebeer,	দেবদীবের,	দেবদেবীর,	
bodqa,	বোডা,	ভদকা,	
venise,	ভেনিসে,	ভেনিসে,	
myakbeth,	ম্যাকেট,	ম্যাকবেথ,	
phala,	ফলল,	পোলো,	
jibonnogor,	জীবননগর,	জীবননগর,	
tafsirer,	তফসারের,	তাফসীরের,	
chhuteer,	ছুটির,	ছুটির,	
heja,	হেজা,	হেজ,	
ragkey,	রাগকে,	রাগকে,	
kraima,	ক্রেম,	ক্রাইম,	
poste,	পোস্ট,	পোস্টে,	
aminar,	আমিনার,	আমিনার,	
manbey,	মানবে,	মানবে,	
nesnosh,	নেশনস,	নেশনস,	
velcome,	ভেলকমে,	ওয়েলকাম,	
onnkita,	অন্কিত,	অঙ্কিতা,	
patigonit,	পাতিগণিত,	পাটিগণিত,	
probeshan,	প্রবেশন,	প্রবেশন,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
arifin,	আরিফিন,	আরিফিন,	
jothon,	যথন,	যথন,	
saarbharti,	সার্ভার্টি,	সার্ভারটি,	
inshtol,	ইন্সটল,	ইন্সটল,	
chalke,	চালকে,	চালকে,	
maniktala,	মানিকটাল,	মানিকতলা,	
kheylechen,	খেলেছেনে,	খেলেছেন,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
sossar,	শশ্যার,	সকার,	
jerokom,	জেরকম,	যেরকম,	
konan,	কোনন,	কোনান,	
alauler,	আলালের,	আলাওলের,	
chetanagoto,	চেতানগত,	চেতনাগত,	
domone,	দমনে,	দমনে,	
engil,	এঞ্জিল,	ইঞ্জিল,	
shaarthe,	সার্থে,	স্বার্থে,	
boonot,	বুনত,	বুনট,	
daankan,	দাঁকান,	ডানকান,	
jhalkatthi,	ঝলক্ষঠি,	ঝালকাঠী,	
paab,	পাব,	পাব,	
sharifpur,	শরিফূপুর,	শরিফপুর,	
vangchur,	ভাঙচুর,	ভাংচুর,	
purbanchole,	পূর্বন্চলে,	পূর্বাঞ্চলে,	
kaantojir,	কান্তজীর,	কান্তজির,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
dakhbaar,	দাব্াার,	দেখবার,	
ejenda,	এজেন্দা,	এজেন্ডা,	
eenasiyeenta,	এনসাইজেন্ট,	এনসিয়েন্ট,	
akkharke,	অক্ষারকে,	অক্ষরকে,	
rachonakal,	রচনাকাল,	রচনাকাল,	
kando,	কা্ড,	কাণ্ড,	
battery,	ব্যাটারি,	ব্যাটারী,	
parqs,	পার্কস,	পার্কস,	
ashanka,	আশঙ্ক,	আশংকা,	
dubate,	দুবাতে,	ডুবাতে,	
saseja,	সসেজা,	সসেজ,	
baabul,	বাবুল,	বাবুল,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
valobasen,	ভালববাসেন,	ভালোবাসেন,	
maniktola,	মানিকটাল,	মানিকতলা,	
rupdaan,	রূপ্যান,	রুপদান,	
karo,	কারো,	করো,	
mmeloborrne,	মেলবরনে,	মেলবোর্নে,	
miley,	মিলে,	মাইলে,	
bhugol,	ভূগল,	ভূগোল,	
ashamarthita,	অসমার্থিত,	অসমর্থিত,	
monoputo,	মনপুত,	মনঃপুত,	
chorchita,	চর্চিত,	চর্চিত,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
dhan,	ধন,	ধ্যান,	
bopoon,	বপুন,	বপন,	
israeler,	ইশরাইলের,	ইসরাঈলের,	
suchorita,	সুচারিতা,	সুচরিতা,	
khaaneker,	খানেকের,	খানেকের,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
dologulo,	দলগুলো,	দলগুলো,	
mache,	মাছে,	মাছে,	
atiteo,	আতিতেও,	অতীতেও,	
conflict,	কনফাল্টক,	কনফ্লিক্ট,	
thailandsaho,	ঠাইল্যান্সাহ,	থাইল্যান্ডসহ,	
monohor,	মনোহর,	মনোহর,	
hobu,	হবু,	হবু,	
raits,	রাইটস,	রাইটস,	
byatasamyan,	ব্যসমস্যম,	ব্যাটসম্যান,	
basake,	বসাকে,	বাসাকে,	
michilti,	মিিিটটি,	মিছিলটি,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
shringgo,	শ্রীং,	শৃঙ্গ,	
agoora,	আগুরা,	আগোরা,	
bihare,	বিহারে,	বিহারে,	
khanonkaaj,	খননকাজ,	খননকাজ,	
palbangsher,	পালবাংশের,	পালবংশের,	
postac,	পোস্টাক,	পোস্টকে,	
jons,	জনস,	জোন্স,	
deily,	ডেলি,	ডেইলি,	
iyaqa,	ইয়কা,	ইয়াক,	
mukhomaundoley,	মুখমন্দলে,	মুখমণ্ডলে,	
vejano,	ভেজানো,	ভেজানো,	
randeep,	রণ্ডীপ,	রণদীপ,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
khogen,	ক্ষগজেন,	খগেন,	
ekoghoore,	একঘরে,	একঘরে,	
cal,	কাল,	চাল,	
karecho,	করেছো,	করেছো,	
jomjamat,	জমমামত,	জমজমাট,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
grambaaseeo,	গ্রাম্বাসে,	গ্রামবাসীও,	
haajarer,	হাজারের,	হাজারের,	
siqh,	শিখ,	শিখ,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
spreeadsheet,	স্প্রেশদেশ,	স্প্রেডশীট,	
bharatey,	ভারাতে,	ভারতে,	
bardhitaanas,	বর্ধিটাইনাস,	বর্ধিতাংশ,	
tokey,	টোকে,	ত্বকেই,	
abadamaner,	অবদামানের,	অবদমনের,	
parikshateo,	পরীক্ষেতাও,	পরীক্ষাতেও,	
kriita,	ক্রীত,	ক্রীট,	
aiieubi,	আইএসবি,	আইইউবি,	
wenus,	উয়ানাস,	ভেনাস,	
ganakantha,	গণকান্ঠ,	গণকণ্ঠ,	
mesenzarer,	মেসেনেজারের,	মেসেঞ্জারের,	
beekaargrasta,	বিকাসগ্রস্ত,	বিকারগ্রস্ত,	
bagichaar,	বাগিচার,	বাগিচার,	
onupater,	অনুপতের,	অনুপাতের,	
scare,	স্কারে,	স্কোর,	
ardasho,	আর্দাস,	আর্দশ,	
chamski,	চকম্সক,	চমস্কি,	
societytey,	সোসিটিতে,	সোসাইটিতে,	
prachurzer,	প্রচার্যের,	প্রাচুর্যের,	
gudamjato,	গুদমজাত,	গুদামজাত,	
firozaa,	ফিরোা,	ফিরোজা,	
nirupita,	নিরূপিতা,	নিরূপিত,	
sthapanagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
sheo,	শেও,	সেও,	
gajipur,	গজীপুর,	গাজীপুর,	
nickeel,	নিকিল,	নিকেল,	
shtone,	স্টননে,	স্টোন,	
prakalpatikey,	প্রকল্পটিকে,	প্রকল্পটিকে,	
planey,	প্লানে,	প্লেনে,	
sangbadmadhyame,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
fiks,	ফিক্স,	ফিক্স,	
byaboharkarike,	ব্যবহারসাকারকে,	ব্যবহারকারীকে,	
gaze,	গেজ,	গেজ,	
uthhane,	উঠানে,	উঠানে,	
ashshociatesh,	অ্যাসোসিটেস,	এসোসিয়েটস,	
aidin,	আইডিন,	এইদিন,	
asamonjoshopurno,	অসমযাসন্পূর্ণ,	অসামঞ্জস্যপূর্ণ,	
muhamad,	মুহমমাদ,	মুহাম্মদ,	
eparjonta,	এপার্জন্ট,	এপর্যন্ত,	
oxfordey,	অকফফরাডে,	অক্সফোর্ডে,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
advanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
boner,	বোনের,	বনের,	
pachhi,	পাচ্ছি,	পাচ্ছি,	
bonaa,	বোনা,	বোনা,	
nadigulo,	নদীগুলো,	নদীগুলো,	
heze,	হেজে,	হেজ,	
toronee,	তরণী,	তরণী,	
laaiseensh,	লাইনেস,	লাইসেন্স,	
ishtara,	ইস্টার,	ইস্টার,	
palestinea,	পালেস্টিনে,	প্যালেস্টাইনে,	
prakalpoti,	প্রকল্পটি,	প্রকল্পটি,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
bhushi,	ভুষি,	ভুষি,	
shooter,	শুটের,	শ্যুটার,	
madraser,	মাদ্রসের,	মাদ্রাজের,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
format,	ফরমমট,	ফরম্যাট,	
lobbyte,	লব্বিতে,	লবিতে,	
sikkhakbrindo,	শিক্ষাক্রীদ্দ,	শিক্ষকবৃন্দ,	
nabotom,	নবতম,	নবতম,	
thaii,	ঠাই,	থাই,	
meghacchonno,	মেঘাচাঁন,	মেঘাচ্ছন্ন,	
pest,	পেস্ট,	পেষ্ট,	
tolemyr,	টেলিমার,	টলেমির,	
daakten,	ডাকতেন,	ডাকতেন,	
ja,	জা,	জ্যা,	
bhalapuka,	ভলাপুক,	ভোলাপুক,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
siropadharii,	শিরোপাধারী,	শিরোপাধারী,	
chet,	চেত,	চ্যাট,	
arthanitir,	অর্থনিতির,	অর্থনীতির,	
ragee,	রেজী,	রাগী,	
farmat,	ফরমমট,	ফরম্যাট,	
hossain,	হোসাইন,	হোসেইন,	
mulaadi,	মুলাদী,	মুলাদি,	
shaajaano,	সাজান,	সাজানো,	
armastram,	আর্মস্ট্রাম,	আর্মস্ট্রং,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
chetona,	চেতনা,	চেতনা,	
choity,	চৈতি,	চৈতি,	
geejeeteeda,	জেজেটিদ,	গেজেটেড,	
muchir,	মুচির,	মুচির,	
chalochchitreer,	চলচিত্রির,	চলচ্চিত্রের,	
alpai,	অলপাই,	অল্পই,	
jackshan,	জক্ষন,	জ্যাকসন,	
kada,	কাড,	কোডা,	
badana,	বাদানা,	বদনা,	
heeli,	হেলি,	হিলি,	
bonovumi,	বনভূমি,	বনভূমি,	
debdeby,	দেবদেবে,	দেবদেবী,	
vangley,	ভাঙলে,	ভাঙলে,	
ganana,	গননা,	গণনা,	
hijriite,	হিজরীতে,	হিজরীতে,	
khamba,	ক্ষম্বা,	খাম্বা,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
uthhaane,	উঠানে,	উঠানে,	
bibhonno,	বিভন্ন,	বিভন্ন,	
kompeeto,	কম্পিত,	কম্পিত,	
jeellul,	জিল্লুল,	জিল্লুল,	
bedanto,	বেদন্ত,	বেদান্ত,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
modelke,	মদেলকে,	মডেলকে,	
laicenshe,	লাইনেস্স,	লাইসেন্স,	
kul,	কুল,	কুল,	
keui,	কিউই,	কেউই,	
ivil,	ইভিল,	ইভিল,	
octane,	অকটানে,	অকটেন,	
shtena,	স্টেন,	স্টেন,	
konphlict,	কনফিক্ট,	কনফ্লিক্ট,	
mesenjjar,	মেসেনজজার,	মেসেঞ্জার,	
pathachari,	পাঠারি,	পথচারী,	
aalkaatraa,	আলকার্া,	আলকাতরা,	
brittakar,	বৃত্তককার,	বৃত্তাকার,	
akritakarja,	আকৃতকর্য,	অকৃতকার্য,	
kuley,	কুলে,	কুলে,	
senior,	সেনিওর,	সিনিয়র,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
osoborno,	অসববর্ন,	অসবর্ণ,	
credit,	ক্রিডিট,	ক্রেডিট,	
dayana,	ডায়ান,	ডায়না,	
rajdhani,	রাজধানী,	রাজধানি,	
valobasar,	ভালবাসার,	ভালোবাসার,	
kortaam,	করত্ম,	করতাম,	
barack,	বররাক,	বারাক,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
chhutochhooti,	ছুটোচুটি,	ছুটোছুটি,	
ruble,	রাবেল,	রুবল,	
konar,	কোনার,	কণার,	
bede,	বেডে,	বেদে,	
aipiela,	এপিল,	আইপিএল,	
bongshoke,	বংশকে,	বংশকে,	
gardeen,	গার্ডিন,	গার্ডেন,	
sarder,	সর্দার,	সরদার,	
chhatogolpe,	ছটোটলে,	ছোটগল্পে,	
aholyar,	অহল্যার,	অহল্যার,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
deputee,	দেপুটি,	ডেপুটি,	
moshzidti,	মস্বিদ্ি,	মসজিদটি,	
samajeri,	সমাজাীর,	সমাজেরই,	
baharamapurer,	বহারমূপুরের,	বহরমপুরের,	
bhenicer,	ভেনিসের,	ভেনিসের,	
vagno,	ভাব্ন,	ভগ্ন,	
ba,	বা,	বু,	
janar,	জানার,	জানার,	
inapharameshhana,	ইনফররমেশন,	ইনফরমেশন,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
pouchute,	পৌঁছুতে,	পৌঁছুতে,	
shithilata,	সিথীলতা,	শিথিলতা,	
carzito,	কার্জিত,	চার্জিত,	
madhuree,	মধুরী,	মাধুরী,	
samudrotate,	সমুদ্রতা,	সমুদ্রতটে,	
vobanir,	ভবানীর,	ভবানীর,	
shaarok,	স্বারক,	স্মারক,	
shangkalonti,	সংকললনটি,	সংকলনটি,	
unitshoho,	উনিসস্থ,	ইউনিটসহ,	
satjan,	সতজন,	সাতজন,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
bharma,	ভর্মা,	ভার্মা,	
bedke,	বেদকে,	বেদকে,	
anchalti,	অঞ্চলটি,	অঞ্চলটি,	
istoniya,	ইস্তনিয়া,	এস্তোনিয়া,	
ghomtaa,	ঘমটা,	ঘোমটা,	
azadeer,	আজাদীর,	আজাদীর,	
rubol,	রুবল,	রুবল,	
dakticket,	ডাক্তিকেত,	ডাকটিকিট,	
plen,	প্লেন,	প্লেন,	
toroonke,	তরুণকে,	তরুণকে,	
harbourey,	হার্বুরে,	হারবারে,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
pitthe,	পিঠে,	পীঠে,	
tarkareer,	তরকারীর,	তরকারীর,	
muscut,	মাসকট,	মাস্কাট,	
modelin,	মডিলীন,	মডেলিং,	
monu,	মনু,	মনু,	
ajuhat,	আজুহত,	অজুহাত,	
aidii,	এইডি,	আইডিই,	
bhorodwaj,	ভররদ্যা,	ভরদ্বাজ,	
itemer,	ইতামের,	আইটেমের,	
apochesta,	অপচেষ্টা,	অপচেষ্টা,	
chaanoo,	চানু,	চানু,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
antarbhuktimulak,	অন্তর্ভূকিকমূলক,	অন্তর্ভুক্তিমূলক,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
postake,	পোস্টাকে,	পোস্টকে,	
nirapekkhotar,	নিরাপকর্ততার,	নিরপেক্ষতার,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
ptolemir,	পালিমিমীর,	টলেমির,	
ketechilo,	কেটেছিল,	কেটেছিল,	
asar,	আসার,	আসর,	
nirapattamulok,	নিরতাতমূমক,	নিরাপত্তামূলক,	
shalapheta,	সলাফট,	সালফেট,	
jakser,	যক্ষের,	যক্ষের,	
satthikata,	সত্যিকতা,	সঠিকতা,	
doobate,	দুবাতে,	ডুবাতে,	
kyapasula,	ক্যাপসুলো,	ক্যাপসুল,	
hoeel,	হইল,	হইল,	
nuhas,	নুহাস,	নুহাশ,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
dharatir,	ধরতীর,	ধারাটির,	
grotha,	গ্রাথা,	গ্রোথ,	
dhyanostho,	ধ্যান্থ্য,	ধ্যানস্থ,	
aasar,	আসার,	আসর,	
rooplal,	রূপলাল,	রূপলাল,	
manushder,	মানুষদের,	মানুষদের,	
bhadaka,	ভাদকা,	ভদকা,	
dhhalur,	ঢালুর,	ঢালুর,	
ispreedshiit,	সসপ্রেশিদি,	স্প্রেডশীট,	
bonvumite,	বন্ভুমি,	বনভূমিতে,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
raiter,	রাইটার,	রাইটের,	
pachtar,	পাঁচার,	পাঁচটার,	
sahochorjey,	সহচর্যে,	সাহচর্যে,	
dosider,	দসিদের,	দোষীদের,	
gezeted,	গেজেটেদ,	গেজেটেড,	
aanaan,	আনান,	আনান,	
shoshoa,	শশ্যা,	শশা,	
jaistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
bidghutey,	বিধুটে,	বিদঘুটে,	
abheedhaaner,	অভিধানের,	অভিধানের,	
pacbar,	পাঁচবার,	পাঁচবার,	
byaran,	ব্যারন,	ব্যারন,	
dhhaaby,	ধাবি,	ঢাবি,	
laiseensim,	লাইনেশ্বিং,	লাইসেন্সিং,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
nothibhukta,	নথিভূক্ত,	নথিভুক্ত,	
kandey,	কান্ডে,	কাণ্ডে,	
monjushri,	মঞ্জুসি,	মঞ্জুশ্রী,	
ghursen,	ঘুরেষণন,	ঘুরেছেন,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
chhatke,	ছটকে,	ছাতকে,	
parabortee,	পরবর্তী,	পরর্বতী,	
dormitory,	ডরমিটরি,	ডরমিটরি,	
poorohitke,	পুরোহিতকে,	পুরোহিতকে,	
temanbhabe,	টেমনভাবে,	তেমনভাবে,	
ssikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
bufer,	বুফের,	বাফার,	
uipokar,	উইপকর,	উইপোকার,	
badei,	বাদেই,	বাদেই,	
eshtonia,	এস্টিনা,	এস্তোনিয়া,	
taalaal,	তালাল,	তালাল,	
maunjiley,	মাউন্জিলে,	মঞ্জিলে,	
haldim,	হাল্ডিং,	হোল্ডিং,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
vins,	ভাইস,	ভিন্স,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
prakalpeo,	প্রকল্পে,	প্রকল্পেও,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
tintikey,	টিনটিকে,	তিনটিকে,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
konphlikt,	কনফিক্ট,	কনফ্লিক্ট,	
baarder,	বার্ডার,	বার্ডের,	
ajimpur,	আজিমপুর,	আজিমপুর,	
gaafiloti,	গাফিফিটি,	গাফিলতি,	
moricha,	মরিচা,	মরিচা,	
jeerusaleem,	জিরুসালিম,	জেরুসালেম,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
kommppito,	কম্পিট,	কম্পিত,	
partho,	পার্থ,	পার্থ,	
beenis,	বেইনিস,	ভেনিস,	
dabarer,	দবারের,	দাবারের,	
dobhaar,	দভার,	ডোভার,	
jyaka,	জ্যাক,	জ্যাক,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
bosontoke,	বসন্তকে,	বসন্তকে,	
townshhip,	তৎস্িপ,	টাউনশিপ,	
bandhubhabaponno,	বাণ্ধুবনন্ন,	বন্ধুভাবাপন্ন,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
maudelke,	মৌদেলকে,	মডেলকে,	
tateo,	তাটওও,	তাতেও,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
karpeeta,	কর্পিত,	কার্পেট,	
jworer,	জ্বোরের,	জ্বরের,	
phaqsa,	ফক্স,	ফক্স,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
byaboharkareederke,	ব্যবহারসাকীরকেরকে,	ব্যবহারকারীদেরকে,	
samley,	সমলে,	সামলে,	
durgondho,	দুর্গঞ্ধ,	দুর্গন্ধ,	
teamothy,	টিমথি,	টিমোথি,	
jaki,	যাকি,	জকি,	
segular,	সেগুলার,	সেগুলোর,	
postay,	পোস্টাে,	পোষ্টে,	
siddhanter,	সিদ্ধননের,	সিদ্ধান্তের,	
ashiatic,	অসযিটিকিক,	এশিয়াটিক,	
gutano,	গুটানো,	গুটানো,	
vabuk,	ভবুক,	ভাবুক,	
olympik,	অলিমপ্পিক,	অলিম্পিক,	
adbhansed,	আ্যাবন্সেদ,	অ্যাডভান্সড,	
dhos,	ধোষ,	ধস,	
jatinke,	জািনকে,	যতীনকে,	
sheekarke,	শিকারকে,	শিকারকে,	
coshon,	কোষন,	চোষণ,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
obe,	ওবে,	ওবিই,	
melobborner,	মেলববরণের,	মেলবোর্নের,	
ameerica,	অমেরিকা,	আমেরিকা,	
nothivukteer,	নথিভূক্তির,	নথিভুক্তির,	
enginears,	এন্জিং্স,	ইঞ্জিনিয়ার্স,	
tep,	টেপ,	ট্যাপ,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
toroonraa,	তরুণারা,	তরুণরা,	
edipass,	এডিপস,	ইডিপাস,	
nodigulo,	নদীগুলো,	নদীগুলো,	
bafar,	বাফার,	বাফার,	
robot,	রববট,	রোবোট,	
satarkota,	সারতকততা,	সতর্কতা,	
chalaabi,	চালাবি,	চালাবে,	
aameenar,	আমিনার,	আমিনার,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
gardena,	গার্ডেন,	গার্ডেন,	
claud,	ক্লাড,	ক্লাউড,	
uparjon,	উপার্জন,	উপার্জন,	
templet,	টেম্পল্টাট,	টেম্পলেট,	
jaygata,	জেগগতা,	জায়গাটা,	
bajite,	বাজিতে,	বাজিতে,	
suparheiro,	সুপাহিরর,	সুপারহিরো,	
sommoteer,	সম্মতির,	সম্মতির,	
shartho,	শার্থ্য,	স্বার্থ,	
anan,	অনন,	আনান,	
gabeshonar,	গবেষণার,	গবেষনার,	
tistar,	টিস্টার,	তিস্তার,	
chirakumari,	চিকুমারী,	চিরকুমারী,	
qinsa,	কিনসা,	কিংস,	
daktickete,	দাকতিকেতে,	ডাকটিকিটে,	
opargota,	অপর্গত,	অপারগতা,	
