nirarthak,	নিরর্থ,	নিরর্থক,	
hizriite,	হিজরিতে,	হিজরীতে,	
municipal,	মুনিিপাল,	মিউনিসিপ্যাল,	
qings,	কিংস,	কিংস,	
prakalpao,	প্রক্লপ,	প্রকল্পও,	
tamplate,	টামপলেত,	টেম্পলেট,	
toder,	তদের,	তদের,	
plator,	প্লাটর,	প্লেটোর,	
gostheeti,	গোষ্টি,	গোষ্ঠীটি,	
engrejiteo,	এংরেজিতে,	ইংরেজিতেও,	
gabeshonagar,	গবেষণগার,	গবেষনাগার,	
noitikota,	নৈতিকা,	নৈতিকতা,	
jatota,	যততা,	যতোটা,	
patenter,	পাযেন্টের,	পেটেন্টের,	
shamooker,	শামুকের,	শামুকের,	
paksenaara,	পক্ষেনার,	পাকসেনারা,	
gajipur,	গজীপুর,	গাজীপুর,	
adhattikotar,	আধ্তিতকার,	আধ্যাত্মিকতার,	
sonaktokaraner,	সংকাক্রণের,	সনাক্তকরণের,	
scorey,	স্করে,	স্কোরে,	
jibanjapon,	জিবাজ্জন,	জীবনযাপন,	
samratder,	সম্রাত্দের,	সম্রাটদের,	
gaugee,	গাগু,	গেজ,	
shabnam,	শবন্ম,	শবনম,	
geza,	গেজ,	গেজ,	
chalochchitraeeo,	চলচচ্যারিওওও,	চলচ্চিত্রেও,	
bufar,	বুফার,	বাফার,	
mugdaal,	মুগ্লাল,	মুগডাল,	
joruri,	জরুরি,	জরূরী,	
anchalei,	অঞ্চলেই,	অঞ্চলেই,	
proteemar,	প্রতিমার,	প্রতিমার,	
uparjaner,	উপর্জনের,	উপার্জনের,	
asommati,	অসমমতি,	অসম্মতি,	
cheentaikari,	চিন্তাাারী,	ছিনতাইকারী,	
drishyokey,	দৃষ্যকে,	দৃশ্যকে,	
pachak,	পাচা,	পাচক,	
sampadonkari,	সম্পদানকারী,	সম্পাদনকারী,	
phanda,	ফা্ডা,	ফান্ড,	
meshenjar,	মেশেন্জার,	মেসেঞ্জার,	
rob,	রব,	রব,	
parqing,	পার্কিং,	পার্কিং,	
saholobhyotar,	সহলভ্যযার,	সহজলভ্যতার,	
starc,	স্টর্ক,	স্টার্ক,	
hazat,	হজজা,	হজত,	
deeares,	ডিরেস,	ডিআরএস,	
samrat,	সম্রত,	সম্রাট,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
deubande,	দুবান্ডে,	দেওবন্দে,	
priimo,	প্রিম,	প্রিমো,	
rapto,	রাপ্ত,	রপ্ত,	
sucre,	সুক্রে,	সাকার,	
marmaraa,	মার্মা,	মারমারা,	
injiniyarsha,	ইন্যিন্যার্স,	ইঞ্জিনিয়ার্স,	
heenna,	হেন্ন,	হেনা,	
hishabke,	হিসবাকে,	হিসাবকে,	
nirbachaker,	নির্বাচের,	নির্বাচকের,	
tochnoch,	তচনচ,	তছনছ,	
tookrokey,	তুকরকে,	টুকরোকে,	
porishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
leader,	লিডার,	লিডার,	
chiroharit,	চিরহারিত,	চিরহরিৎ,	
ooeepokar,	অউপকার,	উইপোকার,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
sedikei,	সেদিকেই,	সেদিকেই,	
mausumeo,	মৌসূমে,	মৌসুমেও,	
metroopalitana,	মেত্রপুলিতান,	মেট্রোপলিটন,	
haphsa,	হাফস,	হাফসা,	
mousumei,	মৌসমেই,	মৌসুমেই,	
feroza,	ফেরজা,	ফিরোজা,	
pragresha,	প্রাগ্রেস,	প্রগ্রেস,	
asamanyo,	আসমান্য,	অসামান্য,	
nathivuktir,	নাহিভুক্তির,	নথিভুক্তির,	
hebhi,	হেভি,	হেভি,	
bechaa,	বেচা,	বেচা,	
nirikh,	নিরিখ,	নিরিখ,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
euqalyptus,	উউলাল্প্ট,	ইউক্যালিপ্টাস,	
pramathesh,	প্রমাথেশ,	প্রমথেশ,	
antarvuktimulok,	অন্র্তুর্মিূলক,	অন্তর্ভুক্তিমূলক,	
kredita,	ক্রেডিত,	ক্রেডিট,	
teta,	টেট,	টেটা,	
arop,	আরপ,	আরোপ,	
ganochiner,	গণচিনের,	গণচীনের,	
sahochorjey,	সহহর্্যে,	সাহচর্যে,	
hoomasa,	হোমস,	হোমস,	
sommotir,	সম্তির,	সম্মতির,	
kar,	কার,	কর,	
damonmoolok,	দামমুলক,	দমনমূলক,	
shefa,	সেফ,	শেফ,	
cholocchitroke,	চলচচ্তরিকে,	চলচ্চিত্রকে,	
kaptai,	কপ্টাই,	কাপ্তাই,	
chaalaabi,	চালাবি,	চালাবে,	
munshi,	মুন্সি,	মুন্সী,	
crescent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
sofir,	সফির,	সোফির,	
nodiitike,	নদিতিকে,	নদীটিকে,	
woter,	ওতটের,	ভোটার,	
claus,	ক্লাস,	ক্লজ,	
promosioney,	প্রসমশেন,	প্রোমোশনে,	
abodamaner,	অবদমানের,	অবদমনের,	
cal,	ক্যাল,	চাল,	
bedkey,	বেদকে,	বেদকে,	
gatirodh,	গতিরোধ,	গতিরোধ,	
rakibul,	রাকিবুল,	রকিবুল,	
neerbaho,	নির্বাহ,	নির্বাহ,	
dayna,	ডান,	ডায়না,	
ibhara,	ইভার,	এভার,	
firoza,	ফিরোজ,	ফিরোজা,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
nodnadeer,	ননদ্দীর,	নদনদীর,	
hajat,	হজজ,	হজত,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
vugorvey,	ভূগর্ভে,	ভূগর্ভে,	
nogonyo,	নগ্য,	নগণ্য,	
shashtra,	শাষ্ত্র,	শাস্ত্র,	
sallallahu,	সলল্ললহুহ,	সল্লাল্লাহু,	
royalty,	রোযাল্টি,	রয়্যালটি,	
gyate,	গ্যাতে,	গ্যেটে,	
taunsheep,	টানশিপ,	টাউনশিপ,	
daankaan,	দানকা,	ডানকান,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
olympiker,	অল্মিপের,	অলিম্পিকের,	
chikitsar,	চিকিসার,	চিকিত্সার,	
bikretader,	বিক্রতেদের,	বিক্রেতাদের,	
shoodhooi,	সুধো,	শুধুই,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
sazano,	সাজন,	সাজানো,	
haldim,	হালদিম,	হোল্ডিং,	
tahalo,	তাহল,	তাহলো,	
faster,	ফাস্টের,	ফস্টার,	
forider,	ফরিদের,	ফরিদের,	
osamonjoshyopurno,	অসমাযাস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
carloos,	কার্লোস,	কার্লোস,	
ustaad,	উস্তা,	উস্তাদ,	
kumarir,	কুমারির,	কুমারীর,	
dibaag,	দিবাগ,	ডিবাগ,	
bipozzonok,	বিপজজজনক,	বিপজ্জনক,	
ingrezder,	ইংর্জেদের,	ইংরেজদের,	
prakalpeo,	প্রকল্পে,	প্রকল্পেও,	
basuki,	বাসুকি,	বাসুকি,	
cheess,	চিস্স,	চেস,	
lakkhero,	লক্ষের,	লক্ষেরও,	
phirth,	ফির্থ,	ফার্থ,	
yaaq,	যাক,	ইয়াক,	
adbhanshd,	অধ্যান্শ,	অ্যাডভান্সড,	
teemothi,	তিমমি,	টিমোথি,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
avinetar,	অভিনেতার,	অভিনেতার,	
noitikatabodh,	নৈিতিকাবা,	নৈতিকতাবোধ,	
mugdal,	মুগ্ল,	মুগডাল,	
ghatlo,	ঘটল,	ঘটল,	
songosthaner,	সংস্ঠানের,	সংস্থানের,	
siramikasa,	সিরমিকাস,	সিরামিকস,	
hola,	হল,	হোল,	
chilahati,	চিলাহিত,	চিলাহাটি,	
piroojalee,	পিরোজালি,	পিরুজালী,	
abhishangson,	অভিষ্ষং,	অভিশংসন,	
hatodoridra,	হাতদদরিদার,	হতদরিদ্র,	
songkolonti,	সংকললন্তি,	সংকলনটি,	
rajotwa,	রাজ্ত্ব,	রাজত্ব,	
kansater,	কানসাতের,	কানসাটের,	
vooter,	ভুতের,	ভোটার,	
bhyaatikaner,	ভ্যাতিকের,	ভ্যাটিকানের,	
venus,	ভেনুস,	ভেনাস,	
byaboharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
purple,	পূর্লে,	পার্পেল,	
venisey,	ভেনিসে,	ভেনিসে,	
oholyar,	ওহল্যার,	অহল্যার,	
plate,	প্লাতে,	প্লেটে,	
hisaber,	হিসবের,	হিসাবের,	
pitthe,	পিঠে,	পীঠে,	
horidwar,	হরিদ্যার,	হরিদ্বার,	
mulaadi,	মুলাদি,	মুলাদি,	
bbiswashe,	বিব্ষ্বা,	বিশ্বাসে,	
musolmanderkey,	মুসমালদ্রেে,	মুসলমানদেরকে,	
biplabee,	বিপ্বলী,	বিপ্লবী,	
thare,	থারে,	থরে,	
siramiqasa,	সিরমিকাস,	সিরামিকস,	
aashtikotaa,	আস্তিকা,	আস্তিকতা,	
sahab,	সাব,	সাহাব,	
gauge,	গাগে,	গেজ,	
shhkolashtic,	শ্কলল্সিক,	স্কলাস্টিক,	
aalaaoler,	আলালের,	আলাওলের,	
spreadseet,	স্প্রাদিস,	স্প্রেডশীট,	
ganaparibahan,	গণপরীবাহন,	গণপরিবহন,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
soasage,	সোসাগে,	সসেজ,	
moshzidshoho,	মহ্সিস্ধ,	মসজিদসহ,	
byabaharkariderke,	ব্যাহারারীদদেরে,	ব্যবহারকারীদেরকে,	
naditike,	নাদিতিকে,	নদীটিকে,	
daakten,	ডাকটেন,	ডাকতেন,	
doobate,	দুবতে,	ডুবাতে,	
superheror,	সুপেরহের,	সুপারহিরোর,	
torabgunj,	তরবাগুঞ্জ,	তোরাবগঞ্জ,	
masharraf,	মাসররা,	মশাররফ,	
pharanyata,	ফরর্যাত,	ফরম্যাট,	
phaltu,	ফল্টু,	ফালতু,	
urur,	উরুর,	উরুর,	
breakthraugh,	ব্র্ক্ষারুঘ,	ব্রেকথ্রু,	
stonehenj,	স্টেহেনেজ্,	স্টোনহেঞ্জ,	
jacksoner,	যাক্সনের,	জ্যাকসনের,	
engil,	এঙ্গিল,	ইঞ্জিল,	
nogore,	নগরে,	নগরে,	
patigoniter,	পাতিগনিতের,	পাটিগণিতের,	
gasthigulo,	গাষ্টিগুলো,	গোষ্ঠীগুলো,	
ekok,	একক,	একক,	
dhanyi,	ধানি,	ধন্যি,	
ganokantha,	গণনক্্থ,	গণকণ্ঠ,	
horeedwar,	হরিদ্যার,	হরিদ্বার,	
abasare,	অবাসাে,	অবসরে,	
elaakate,	এলাকাতে,	এলাকাতে,	
dholeshori,	ধললেশরী,	ধলেশ্বরী,	
songbadmadhyamgulote,	সংবাদ্ধমুলোতে,	সংবাদমাধ্যমগুলোতে,	
tennis,	টেননিস,	টেনিস,	
source,	সোর্সে,	সোর্স,	
battery,	ব্যাট্রি,	ব্যাটারী,	
jacker,	জাকের,	জ্যাকের,	
ansarir,	অন্সরীর,	আনসারীর,	
vogiroth,	ভগীরত,	ভগীরথ,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
kemaney,	কেমনে,	কেমনে,	
janake,	জানকে,	জানাতে,	
remacri,	রেমারি,	রেমাক্রী,	
parqasa,	পার্কস,	পার্কস,	
kalniir,	কালনির,	কালনীর,	
hilse,	হিলসে,	হিলসে,	
soinyoder,	সৈন্দের,	সৈন্যদের,	
mozlishpur,	মজলিসপুর,	মজলিশপুর,	
suresh,	সুরেস,	সুরেশ,	
bhabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
joubanboti,	যৌবন্বতী,	যৌবনবতী,	
krej,	ক্রেজ,	ক্রেজ,	
unitsaho,	উনিস্থ,	ইউনিটসহ,	
amiratas,	অমিরাস,	এমিরেটাস,	
trans,	ট্রান্স,	ট্রান্স,	
puroheetder,	পুরহিত্দের,	পুরোহিতদের,	
nirikha,	নিরিখ,	নিরিখ,	
akpaase,	একপাসে,	একপাশে,	
tarasa,	তরাস,	টেরেসা,	
dakshinangsho,	দক্ষিংংশ,	দক্ষিণাংশ,	
munsi,	মুন্সি,	মুন্সী,	
dola,	দোল,	দলা,	
daaloo,	দালু,	ডালু,	
byaboharkariderkey,	ব্যাহারহারীদেরে,	ব্যবহারকারীদেরকে,	
shaantaa,	সান্ত,	সান্তা,	
daun,	ডান,	ডাউন,	
savanetri,	সভানত্রি,	সভানেত্রী,	
plain,	প্লাইন,	প্লেন,	
fanda,	ফান্ড,	ফান্ড,	
artilery,	আর্টিলের,	আর্টিলারি,	
ekeerokom,	একিরমক,	একইরকম,	
shaarthe,	সার্থে,	স্বার্থে,	
eenameela,	ইনেমেল,	এনামেল,	
dianes,	ডিয়েন,	ডিএনএস,	
paare,	পারে,	পাড়ে,	
tuni,	টুনি,	টুনি,	
shkirt,	শ্কৃর,	স্কার্ট,	
protijogiira,	প্রতিযোগির,	প্রতিযোগীরা,	
gabhaskar,	গভাষকার,	গাভাস্কার,	
qode,	কোডে,	কোড,	
aatok,	আতক,	আটক,	
hydra,	হ্যার্ড,	হাইড্রা,	
bhaisaha,	ভাইস,	ভাইসহ,	
rupantor,	রূপন্তর,	রুপান্তর,	
chalachchitrogulor,	চল্চিচ্রুলুলোর,	চলচ্চিত্রগুলোর,	
brindaboney,	বৃর্দনবনে,	বৃন্দাবনে,	
pactar,	পাঁটার,	পাঁচটার,	
jokkho,	যক্ষ,	যক্ষ,	
deebatee,	দীবাতি,	ডিবেট,	
browser,	ব্রসের,	ব্রাউজার,	
mg,	ম্য,	এমজি,	
bhittio,	ভিত্য,	ভিত্তিও,	
heriken,	হেরিকেন,	হ্যারিকেন,	
betsman,	বেটসমন,	ব্যাটসম্যান,	
pathkromer,	পাঠক্রমের,	পাঠক্রমের,	
oichchik,	অচিচিক,	ঐচ্ছিক,	
nama,	নাম,	নমো,	
dweepkey,	দ্বীপে,	দ্বীপকে,	
blaker,	ব্লাকের,	ব্ল্যাকের,	
boudhher,	বৌধের,	বৌদ্ধের,	
dwip,	দ্বিপ,	দীপ,	
jathaartho,	যাথার্থ,	যথার্থ,	
hugeke,	হুগেকে,	হিউজকে,	
jerujalem,	জারুজললেম,	জেরুসালেম,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
sorting,	সর্টিং,	সর্টিং,	
gheshe,	ঘেষে,	ঘেঁষে,	
shangsthaner,	সংস্ঠানের,	সংস্থানের,	
gabeshonar,	গবেষণার,	গবেষনার,	
manahputa,	মানাপুত,	মনঃপুত,	
suiti,	সুইটি,	সুইটি,	
gonna,	গণ্ন,	গননা,	
bhogirath,	ভগগরি,	ভগীরথ,	
corporation,	কর্পরেশন,	করপোরেশন,	
biseshyer,	বিশেষ্যের,	বিশেষ্যের,	
sahabah,	সাহা,	সাহাবাহ,	
maarmaader,	মার্মাদের,	মারমাদের,	
graambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
chalachchitrer,	চললচিত্রের,	চলচ্চিত্রের,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
rupantarer,	রূপন্তরের,	রুপান্তরের,	
sanaktokaron,	সংক্তকরণ,	সনাক্তকরণ,	
bardhitaanas,	বার্ধিতাস,	বর্ধিতাংশ,	
opadan,	অপাদন,	অপাদান,	
abotaar,	অবতার,	অবতার,	
dacop,	ডাকপ,	দাকোপ,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
baek,	বাক,	বাইক,	
fokskon,	ফক্ষন,	ফক্সকন,	
dharabahikbhabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
heavy,	হেভ,	হেভি,	
aamor,	আমর,	আমর,	
gudamjaato,	গুদমজজ,	গুদামজাত,	
barbadoj,	বার্বাজ,	বার্বাডোজ,	
dipke,	দিপকে,	দ্বীপকে,	
rah,	রা,	রঃ,	
vedke,	ভেদকে,	বেদকে,	
postar,	পস্তার,	পোস্টের,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
kuota,	কুটা,	কোটা,	
udbodhani,	উদ্বধানী,	উদ্বোধনী,	
udbodhaney,	উদ্বধানে,	উদ্বোধনে,	
futonta,	ফুটন্ত,	ফুটন্ত,	
blacq,	ব্লাক,	ব্ল্যাক,	
mastarsa,	মাস্টর্স,	মাস্টার্স,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
cheerontan,	চির্ন্তন,	চিরন্তন,	
gujob,	গুজব,	গুজব,	
siddhante,	সিদ্ধন্তে,	সিদ্ধান্তে,	
akar,	আকার,	একার,	
toki,	তকি,	তকি,	
harbor,	হার্বর,	হারবার,	
somosto,	সমস্ত,	সমস্ত,	
prettii,	প্রতিটি,	প্রিটি,	
porjotoker,	পর্যতকের,	পর্যটকের,	
hazarer,	হাজারের,	হাজারের,	
barack,	বারাক,	বারাক,	
proshtot,	প্রস্ত,	প্রস্ত্তত,	
chotto,	চত্ত,	ছোট্ট,	
anchaltite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
shibraj,	শিব্রাজ,	শিবরাজ,	
bbiseshyer,	বিবিষ্যের,	বিশেষ্যের,	
stonahenja,	স্তাহহেন্জ,	স্টোনহেঞ্জ,	
stena,	স্টেন,	স্টেন,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
naarsari,	নারসারি,	নার্সারি,	
pyatarne,	প্যাত্রেন,	প্যাটার্নে,	
harriser,	হার্িসের,	হ্যারিসের,	
jons,	জন্স,	জোন্স,	
mononitoder,	মননিতদের,	মনোনীতদের,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
shudden,	সুদ্দেন,	সাডেন,	
laishenshe,	লাইনেস্ে,	লাইসেন্স,	
sikhechi,	সিখেছি,	শিখেছি,	
evaner,	এভানের,	ইভানের,	
saarbhare,	সারভারে,	সার্ভারে,	
bonnopraan,	বন্্পরণ,	বন্যপ্রাণ,	
shuparahiro,	সুপরহীর,	সুপারহিরো,	
kortam,	কর্টম,	করতাম,	
nariikeyi,	নারিকেই,	নারীকেই,	
jolbe,	জলবে,	জ্বলবে,	
lokhindare,	লখ্ষিদ্রে,	লখিন্দরের,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
dalu,	দালু,	ডালু,	
ganesher,	গণেশের,	গণেশের,	
harees,	হারিস,	হ্যারিস,	
ishpredshheet,	ইস্প্রেশিত,	স্প্রেডশীট,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
shansthagulo,	সংষ্যাগুলো,	সংস্থাগুলো,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
vagno,	ভাগ্ন,	ভগ্ন,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
karkat,	কর্কা,	কর্কট,	
samaptir,	সমপতির,	সমাপ্তির,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
rooby,	রুবি,	রুবি,	
vaisoho,	ভাইসহ,	ভাইসহ,	
elakai,	এলাকাই,	এলাকাই,	
marmaader,	মার্মাদের,	মারমাদের,	
ronangone,	রণন্গে,	রণাঙ্গনে,	
prokolpou,	প্রক্লপ,	প্রকল্পও,	
charjito,	চার্জিত,	চার্জিত,	
kormosongsthan,	কর্মসংস্ঠ,	কর্মসংস্থান,	
planea,	প্লানে,	প্লেনে,	
thawre,	থাবের,	থরে,	
kathmaandu,	কাঠামুন্দ,	কাঠমান্ডু,	
maldava,	মাল্া,	মলদোভা,	
suraaropeeto,	সুরাপীতি,	সুরারোপিত,	
sithilotar,	সিথিলতার,	শিথিলতার,	
bcci,	ব্যিক,	বিসিসিআই,	
bashitey,	বাশিতে,	বাঁশিতে,	
cholochchitroi,	চলচচ্তীরী,	চলচ্চিত্রই,	
orrgho,	অর্ঘ্য,	অর্ঘ্য,	
borana,	বরান,	বোরন,	
heeja,	হেজ,	হেজ,	
miitar,	মিতার,	মিত্র,	
paste,	পাস্টে,	পেষ্ট,	
valapuk,	ভালাপুক,	ভোলাপুক,	
janosamaj,	জনসমাজ,	জনসমাজ,	
breil,	ব্রেল,	ব্রেইল,	
bonke,	বন্কে,	বনকে,	
taatey,	তাতে,	তাতে,	
gyandas,	গ্যান্ডাস,	জ্ঞানদাস,	
spreadsiit,	স্প্রদিসিত,	স্প্রেডশীট,	
iraner,	ইরানের,	ইরানের,	
durgotshober,	দুর্গ্তবের,	দুর্গোৎসবে,	
kattor,	কাত্র,	কট্টর,	
zuboke,	যুবকে,	যুবকে,	
uchchataro,	উচ্চাতর,	উচ্চতর,	
cholochchitreer,	চলচচ্তির,	চলচ্চিত্রের,	
futbolarer,	ফুত্বলের,	ফুটবলারের,	
laga,	লাগ,	লগ,	
grambashio,	গ্রাম্বাশি,	গ্রামবাসীও,	
cholochchitrogulor,	চল্চিচ্রগুলোর,	চলচ্চিত্রগুলোর,	
saseeja,	সাসিজ,	সসেজ,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
batikromshalee,	বাতিক্রমশলী,	ব্যতিক্রমধর্মী,	
vejaano,	ভেজান,	ভেজানো,	
fulkopi,	ফুলক্পি,	ফুলকপি,	
bhartuky,	ভার্ুকি,	ভর্তুকি,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
murader,	মুরাদের,	মুরাদের,	
esoosiyetasa,	এসসোসিয়াস,	এসোসিয়েটস,	
priimoo,	প্রিমূ,	প্রিমো,	
vaabna,	ভাবন,	ভাবনা,	
qingdom,	কিংম,	কিংডম,	
kormosongsthaner,	কর্মসংস্ঠানের,	কর্মসংস্থানের,	
nomo,	নোম,	নমো,	
byke,	ব্যেক,	বাইক,	
mausum,	মৌসুম,	মৌসুম,	
chaudhurike,	চৌদুরিকে,	চৌধুরীকে,	
phakay,	ফাকে,	ফাকে,	
saralya,	সরর্ল,	সারল্য,	
observer,	অব্সরের,	অবজার্ভার,	
anchaleo,	অঞ্চালেও,	অঞ্চলেও,	
gostii,	গোস্টি,	গোষ্ঠীই,	
tochhnoch,	তচ্ছ,	তছনছ,	
aholya,	আহল্য,	অহল্যা,	
beeru,	বিরু,	বীরু,	
riphleksa,	রিফলেক্স,	রিফ্লেক্স,	
kaferder,	কাফারেডের,	কাফেরদের,	
toroonderke,	তরুনদদেরে,	তরুণদেরকে,	
sudhui,	সুধুই,	শুধুই,	
kormyi,	কর্মি,	কর্মই,	
gabeshana,	গবেশন,	গবেষনা,	
saahocorrzo,	সাহারর্য,	সাহচর্য,	
abhidhaner,	অভিধানের,	অভিধানের,	
noiteek,	নৈটিক,	নৈতিক,	
kemone,	কেমনে,	কেমনে,	
chyeta,	চ্যাট,	চ্যাট,	
ddheke,	ধ্যেকে,	ঢেকে,	
bharkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
bm,	ব্ম,	বিএম,	
elakatir,	এলাকাটির,	এলাকাটির,	
koilas,	কোলাস,	কৈলাস,	
loukikotaa,	লুককিতা,	লৌকিকতা,	
bosante,	বসান্তে,	বসন্তে,	
deambakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
jackshan,	যাক্শন,	জ্যাকসন,	
mmehonoti,	মেহননতি,	মেহনতি,	
colahol,	কলাল,	কোলাহল,	
aanaan,	আনান,	আনান,	
daale,	দালে,	ডালে,	
oholya,	ওহল্য,	অহল্যা,	
chhatogolper,	ছাতগললপের,	ছোটগল্পের,	
palbongsher,	পালবংশের,	পালবংশের,	
sachetanatamulak,	স্যাতেমনামূলক,	সচেতনতামূলক,	
aatmobishwasi,	আত্মবিশ্বা,	আত্মবিশ্বাসী,	
korley,	কর্লে,	করলে,	
poonch,	পুঁচ,	পুঞ্চ,	
ardasha,	আর্দাস,	আর্দশ,	
kindama,	কিন্ডাম,	কিংডম,	
fax,	ফাক,	ফক্স,	
sherup,	শেরুপ,	সেরুপ,	
hili,	হিলি,	হিলি,	
zones,	জনেস,	জোন্স,	
arjara,	আর্জার,	আর্যরা,	
nobotom,	নবতম,	নবতম,	
mookhbaundho,	মুক্বা্ধ্ধ,	মুখবন্ধ,	
potocheetrer,	পতচিত্রের,	পটচিত্রের,	
vool,	ভুল,	উল,	
inastyanta,	ইনস্্যান্ত,	ইনস্ট্যান্ট,	
torup,	তরুপ,	ট্রুপ,	
samle,	সমলে,	সামলে,	
trivuj,	ত্রিভূ,	ত্রিভূজ,	
kormokarer,	কর্মকারের,	কর্মকারের,	
engineers,	এং্জিন্র,	ইঞ্জিনিয়ার্স,	
shrabasti,	শ্রবা্টি,	শ্রাবস্তী,	
bhenasha,	ভেনাস,	ভেনাস,	
matriroop,	মাত্রীপু,	মাতৃরূপ,	
mast,	মাস্ট,	মাস্ত,	
kanda,	কান্ড,	কাণ্ড,	
bhaandar,	ভান্দার,	ভাণ্ডার,	
nutunotto,	নুতুত্ত,	নতুনত্ব,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
utshahomulok,	উৎ্সামূলূক,	উৎসাহমূলক,	
dekhbar,	দেখবার,	দেখবার,	
digrir,	দিগরির,	ডিগ্রির,	
dokangulote,	দকানগুলোতে,	দোকানগুলোতে,	
jacqson,	যাক্সন,	জ্যাকসন,	
shenior,	সেনির,	সিনিয়র,	
messengerer,	মেসেস্গেরের,	মেসেঞ্জারের,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
giitikobita,	গীতিকবিত,	গীতিকবিতা,	
pashan,	পাশন,	পাষাণ,	
tet,	টেট,	টেট,	
wenis,	ওয়েনিস,	ভেনিস,	
cbi,	ক্বি,	সিবিআই,	
uponeeshoder,	উপনিষদের,	উপনিষদের,	
shikshakram,	শিক্ষক্রম,	শিক্ষাক্রম,	
pratistha,	প্রতিষ্ঠ,	প্রতিষ্টা,	
temani,	টেমানি,	তেমনই,	
seector,	সিক্টর,	সেক্টর,	
ramantik,	রামান্তিক,	রোমান্টিক,	
nadnadeer,	নাদ্দার,	নদনদীর,	
sanaktokaroner,	সংক্তরণের,	সনাক্তকরণের,	
messanger,	মেশংগ্রে,	মেসেঞ্জার,	
kaanaai,	কানাই,	কানাই,	
babona,	বাবন,	বাবনা,	
dara,	দার,	দারা,	
siqhar,	সিখার,	শিকার,	
bocchon,	বচ্চন,	বচ্চন,	
vishad,	বিষাদ,	বিষদ,	
phokser,	ফোক্সের,	ফক্সের,	
sarbharti,	সর্ভারটি,	সার্ভারটি,	
haran,	হরণ,	হারান,	
dosheeder,	দশিদের,	দোষীদের,	
paripakey,	পরিপাকে,	পরিপাকে,	
heepataitisa,	হিপোটিসি,	হেপাটাইটিস,	
karir,	কারির,	কারীর,	
besoor,	বেসুর,	বেসুর,	
juktorastroshoho,	যুক্র্ত্রস্রস,	যুক্তরাষ্ট্রসহ,	
madhobir,	মাধবীর,	মাধবীর,	
ajij,	আজিজ,	আজিজ,	
saarbharer,	সারভারের,	সার্ভারের,	
agibon,	অগীবন,	আজীবন,	
naditi,	নদিতি,	নদীটি,	
trayte,	ট্রাইটে,	ট্রেতে,	
nuton,	নুতন,	নূতন,	
tyapa,	ট্যাপ,	ট্যাপ,	
arthurer,	আর্থুরের,	আর্থারের,	
falashrutiti,	ফালারুতিতি,	ফলশ্রুতি,	
sahopathike,	সহাপািকে,	সহপাঠীকে,	
lompot,	লম্পত,	লম্পট,	
version,	ভার্শিন,	ভারশন,	
vittimul,	ভিত্মিল,	ভিত্তিমূল,	
foloshruti,	ফলসূরুতি,	ফলশ্রুতি,	
pubancholer,	পুবা্চলের,	পূর্বাঞ্চলের,	
spreedashita,	স্প্রিদিস,	স্প্রেডশীট,	
jamkalo,	জামকলল,	জমকালো,	
oncoleo,	অন্কলেও,	অঞ্চলেও,	
