zoneete,	জনিতে,	যোনীতে,	
bhowanipur,	ভাপপীপুর,	ভবানীপুর,	
ipl,	ইপিল,	আইপিএল,	
istoone,	ইস্টোনে,	স্টোন,	
airesey,	আরিসে,	আইরেসে,	
dephinesana,	ডিফিনন,	ডেফিনেশন,	
dhouto,	ধুত,	ধৌত,	
ishpredshheet,	ইস্প্র্পেশ্ট,	স্প্রেডশীট,	
keke,	কেকে,	কেকে,	
macher,	মাচের,	মাছের,	
duplex,	ড্পেল,	ডুপ্লে,	
rohoshyor,	রহস্যর,	রহস্যর,	
nirikho,	নির্ক,	নিরিখ,	
ragkey,	রাগকে,	রাগকে,	
routine,	রোটিনে,	রুটিন,	
mukhobondho,	মুখ্ধন্ধ,	মুখবন্ধ,	
mayili,	মাইলিলি,	মাইলি,	
codee,	কদে,	কোডে,	
pounchute,	পৌঁচচে,	পৌঁছুতে,	
choudhooreeder,	চৌদ্দদের,	চৌধুরীদের,	
farna,	ফার্ন,	ফার্ন,	
bachai,	বাচাই,	বাছাই,	
voter,	ভটের,	ভোটার,	
swamijir,	স্বামিমির,	স্বামীজীর,	
dharai,	ধারাই,	ধারাই,	
shreeshree,	শ্র্শরী,	শ্রীশ্রী,	
mett,	মেট,	ম্যাট,	
zerusalem,	জেরামললল,	জেরুজালেম,	
elakaasoho,	এলকাসহহ,	এলাকাসহ,	
batsmanyi,	ব্যাস্মানী,	ব্যাটসম্যানই,	
shilabhara,	শিলাভার,	সিলভার,	
neck,	নেকক,	নেক,	
oitijjha,	অতিজান,	ঐতিহ্য,	
naitikatar,	নাতিকতার,	নৈতিকতার,	
onkar,	অনকার,	ওঙ্কার,	
cholocchitroke,	চল্চচচতেে,	চলচ্চিত্রকে,	
upobaasee,	উপাাসি,	উপবাসী,	
salphat,	সলফাট,	সালফেট,	
protishtan,	প্রতিষ্তন,	প্রতিষ্টান,	
monjeele,	মন্জিলে,	মঞ্জিলে,	
sohokaree,	সহকারী,	সহকারী,	
babona,	বানান,	বাবনা,	
hedge,	হেগে,	হেজ,	
quartar,	কুর্তার,	কোয়ার্টার,	
horiner,	হরিনের,	হরিণের,	
horidbare,	হরিদ্রা,	হরিদ্বারে,	
shansthatir,	সংস্থাতির,	সংস্থাটির,	
mehnoti,	মেননতি,	মেহনতি,	
bolechile,	বললেলেল,	বলেছিলে,	
jokrit,	জাক্রিত,	যকৃৎ,	
bajhyo,	বায্য,	বাহ্য,	
avereste,	অভের্টে,	এভারেস্টে,	
kemonay,	কেমনে,	কেমনে,	
geejeeteeda,	জেজিটেড,	গেজেটেড,	
dipan,	দিপন,	দীপন,	
stalin,	স্টালললন,	স্টালিন,	
fokser,	ফোক্র,	ফক্সের,	
dorgah,	দর্গাহ,	দরগাহ,	
napper,	নাপপের,	ন্যাপের,	
jworer,	জ্বররের,	জ্বরের,	
romancho,	রামাচ্চ,	রোমাঞ্চ,	
ranadeep,	রানদিপ,	রণদীপ,	
haak,	হাক,	হুক,	
sovanetri,	সভানততির,	সভানেত্রী,	
charrjar,	চার্যার,	চার্জার,	
metrapalitan,	মেট্রাপালিলন,	মেট্রোপলিটন,	
chase,	চাসে,	চেস,	
telaakucha,	টেলাকাচ,	তেলাকুচা,	
hoolding,	হোলুডিং,	হোল্ডিং,	
eenjeel,	এন্জিল,	ইঞ্জিল,	
hukar,	হুকার,	হুকার,	
biprodas,	বিপ্রাড,	বিপ্রদাস,	
atyacharita,	অয্যচাতির,	অত্যাচারিত,	
turkider,	তুরুকদের,	তুর্কিদের,	
teenisa,	টেনিস,	টেনিস,	
salil,	সলললল,	সলিল,	
karmokandeo,	কর্মন্্ডে,	কর্মকাণ্ডেও,	
eucalyptus,	ইউকক্পাপ্টাস,	ইউক্যালিপ্টাস,	
nischitobhave,	নিশ্চিচাভাবে,	নিশ্চিতভাবে,	
suparichita,	সুপরিচিত,	সুপরিচিত,	
jaandrel,	জান্দ্রল,	জাঁদরেল,	
oitijhye,	অতিয্যে,	ঐতিহ্যে,	
meghke,	মেহকে,	মেঘকে,	
delivar,	ডেলিভার,	ডেলিভার,	
chintaikari,	চিন্তাকারি,	ছিনতাইকারী,	
bota,	বতত,	বটা,	
seebiai,	সিবিইই,	সিবিআই,	
wagadada,	উয্যাদাদ,	বাগদাদ,	
daaoon,	দাউন,	ডাউন,	
sakar,	সাকার,	সাকার,	
hossne,	হস্নে,	হোসনে,	
floodliter,	ফ্ললললততের,	ফ্লাডলাইটের,	
manabsamajer,	মানমামামের,	মানবসমাজের,	
granthei,	গ্রানথে,	গ্রন্থেই,	
banijyikvittite,	বান্যিনিতিতততে,	বাণিজ্যিকভিত্তিতে,	
shikshagato,	শিক্ষগতত,	শিক্ষাগত,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
phirtee,	ফির্টি,	ফিরতি,	
shapod,	সাপদ,	শ্বাপদ,	
madelim,	মাডেলিল,	মডেলিং,	
alpo,	আলপপ,	অল্প,	
reshidensha,	রেশিন্স,	রেসিডেন্স,	
gafeeloti,	গাইললতি,	গাফিলতি,	
beshirbhaageyi,	বিশ্রাগাগী,	বেশিরভাগেই,	
nothibhookta,	নথিভকততা,	নথিভুক্ত,	
jibonnogor,	জিবন্গর,	জীবননগর,	
baarak,	বারাক,	বারাক,	
vagna,	ভাগন,	ভগ্ন,	
seemaa,	সিমা,	সীমা,	
visnu,	বিশ্নু,	বিষ্ণু,	
routiner,	রোটিনের,	রুটিনের,	
bafar,	বাফার,	বাফার,	
khizir,	খিজির,	খিজির,	
pettern,	পেট্রন্ন,	প্যাটার্ন,	
postke,	পাস্টে,	পোস্টকে,	
eling,	এলিংিং,	ইলিং,	
superheira,	সুপেরের,	সুপারহিরো,	
dekhbar,	দেকবার,	দেখবার,	
doojoo,	দোজো,	ডোজো,	
jatinke,	জাতিকে,	যতীনকে,	
cholocchitrer,	চলচচচেতের,	চলচ্চিত্রের,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
kaathhmaandute,	কাঠামানতততে,	কাঠমান্ডুতে,	
akmot,	এক্মত,	একমত,	
canservatian,	কন্যান্েসেশ,	কনসারভেশন,	
idipas,	ইডিপাস,	ইডিপাস,	
khoka,	খোকা,	খোকা,	
kommppito,	কম্পপিত,	কম্পিত,	
lyaataa,	ল্যাতা,	ল্যাটা,	
asommoti,	আসমমতি,	অসম্মতি,	
jackshan,	যা্কাশন,	জ্যাকসন,	
haitasha,	হাইটাস,	হাইটস,	
dokangoolote,	দক্াগগললতে,	দোকানগুলোতে,	
dibating,	দিবিটিং,	ডিবেটিং,	
baarakpur,	বারাকপর,	বারাকপুর,	
pratisthasaho,	প্রতিশ্থাহহ,	প্রতিষ্ঠাসহ,	
sikh,	শিখ,	শিখ,	
emeritus,	এমেরিটিস,	এমিরেটাস,	
bhromoner,	ভ্রমনের,	ভ্রমণের,	
chalochchitrogulor,	চল্চচচচচচললর,	চলচ্চিত্রগুলোর,	
mosjidkey,	মাস্দিকে,	মসজিদকে,	
spreeadsheet,	স্প্র্দিশিন,	স্প্রেডশীট,	
bibadey,	বিবাদে,	বিবাদে,	
dhaleshwari,	ধালিসবাবারী,	ধলেশ্বরী,	
akkash,	আক্কাস,	আককাস,	
phoster,	ফোস্টের,	ফস্টার,	
protijogi,	প্রতিগগি,	প্রতিযোগী,	
homasha,	হোমাস,	হোমস,	
gajiipur,	গাজিপুর,	গাজীপুর,	
sikare,	সিকারে,	শিকারে,	
shkolastic,	স্লালসটটিট,	স্কলাস্টিক,	
jahor,	জহহর,	জহর,	
ganosochetonota,	গোনসাচেতান,	গণসচেতনতা,	
nabheela,	নভিলাল,	নভেল,	
akeeb,	একেব,	আকিব,	
jameser,	জামেসের,	জেমসের,	
heza,	হেজা,	হেজ,	
shoreefpur,	শরিপপুর,	শরিফপুর,	
bm,	ব্ম,	বিএম,	
jackshon,	যাক্ষন,	জ্যাকসন,	
paripakey,	পরিপাকে,	পরিপাকে,	
madhoori,	মধ্রী,	মাধুরী,	
veda,	ভেড,	বেদ,	
samanyai,	সম্যানি,	সামান্যই,	
footballerra,	ফোট্যাললার,	ফুটবলাররা,	
sakara,	সাকারা,	সাকার,	
shreemati,	শ্রিমাতি,	শ্রীমতি,	
ala,	আলা,	আলা,	
perry,	পের্ি,	পেরি,	
nutoner,	নুটনের,	নূতনের,	
soori,	সুরি,	সুরি,	
bagmara,	বাজ্মার,	বাগমারা,	
ruble,	রব্বলে,	রুবল,	
nabam,	নাবম,	নবম,	
gorrer,	গর্রের,	গোরের,	
uindoo,	উন্দ্য,	উইন্ডো,	
shochindro,	শিচ্ন্র,	শচীন্দ্র,	
bachaikrito,	বাচচকৃত্ত,	বাছাইকৃত,	
monoputo,	মনুপত,	মনঃপুত,	
apohoron,	অপরহন,	অপহরন,	
maney,	মানে,	মানে,	
sajano,	সানন,	সাজানো,	
baraak,	বারাক,	বারাক,	
atak,	আতক,	আটক,	
messanger,	মেসনগের,	মেসেঞ্জার,	
aaeerese,	আরেসে,	আইরেসে,	
spreeadshiit,	স্প্র্দিশিশ,	স্প্রেডশীট,	
pravuder,	প্রভাদের,	প্রভুদের,	
popke,	পাকে,	পোপকে,	
khelafotey,	খেলাফতে,	খেলাফতে,	
meghnabodh,	মেননভাধ,	মেঘনাদবধ,	
embaed,	এম্বেব,	এম্বেড,	
dacop,	ডাকপ,	দাকোপ,	
bikretaara,	বিক্রতরা,	বিক্রেতারা,	
krok,	ক্রক,	ক্রোক,	
siima,	সিমিম,	সীমা,	
obhiyojan,	অভিযজন,	অভিযোজন,	
gobeshanagar,	গবেষনগার,	গবেষনাগার,	
heepatitis,	হিপাটিটিস,	হেপাটাইটিস,	
pratishthanikbhabe,	প্রতিষ্তাতিবাবাবে,	প্রাতিষ্ঠানিকভাবে,	
gobeshonar,	গবেষনার,	গবেষনার,	
samle,	সম্লে,	সামলে,	
soccar,	স্যাকার,	সকার,	
keo,	কেও,	কেউ,	
udvabon,	উদ্ভবন,	উদ্ভাবন,	
olympik,	অল্যিকিক,	অলিম্পিক,	
kaareer,	কারির,	কারীর,	
inziniyarsa,	ইন্জিনিন্যা,	ইঞ্জিনিয়ার্স,	
bachchan,	বাচচনন,	বচ্চন,	
koyari,	কাযারি,	কোয়েরি,	
bardhitaanas,	ব্রান্তিনাস,	বর্ধিতাংশ,	
farmat,	ফার্মত,	ফরম্যাট,	
daakope,	দাকপপে,	দাকোপ,	
meyiler,	মেইলের,	মেইলের,	
korimke,	করিককে,	করিমকে,	
murader,	মুরদের,	মুরাদের,	
dephinision,	ডিফিনিশন,	ডেফিনেশন,	
duncan,	ডুন্কান,	ডানকান,	
haluder,	হালুদের,	হলুদের,	
pracharanamulak,	প্রাানামালক,	প্রচারণামূলক,	
sahabah,	সহহাহ,	সাহাবাহ,	
transphorm,	ট্রান্রম,	ট্রান্সফর্ম,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
bondira,	বন্দির,	বন্দীরা,	
chaka,	চাকা,	চাকা,	
biplabeer,	বিপ্বাবীর,	বিপ্লবীর,	
aqabar,	আকবাবর,	আকাবার,	
fimela,	ফিমিম,	ফিমেল,	
karmakarer,	কর্মকারের,	কর্মকারের,	
ispredseet,	ইস্প্র্টিশ,	স্প্রেডশীট,	
anchalsaha,	অন্চালল,	অঞ্চলসহ,	
dhonyi,	ধন্যি,	ধন্যি,	
pudim,	পদিদ,	পুডিং,	
sangrahak,	সংগ্রকা,	সংগ্রাহক,	
jealand,	জেলান্ড,	জিল্যান্ড,	
traap,	ত্রাপ,	ট্রুপ,	
enginearing,	ইন্গিগিনিং,	ইঞ্জিনিয়ারিং,	
ovigomon,	অভিগমমন,	অভিগমন,	
gostheeti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
notti,	নত্ি,	নোটটি,	
directorete,	ডিরেক্রেতে,	ডিরেক্টরেট,	
sotorkota,	সততততা,	সতর্কতা,	
boonot,	বননত,	বুনট,	
bhejaano,	ভেজনো,	ভেজানো,	
shaapholler,	সাফফললর,	সাফল্যের,	
babylon,	ব্যালন,	ব্যাবিলন,	
jacqsan,	যাযাক্সন,	জ্যাকসন,	
korim,	করিম,	করিম,	
bodna,	ব্যন,	বদনা,	
torup,	তরপপ,	ট্রুপ,	
brekathru,	ব্রকার্থ,	ব্রেকথ্রু,	
machgulo,	মাযালুল,	মাছগুলো,	
korimer,	করিমের,	করিমের,	
servere,	সেবররে,	সার্ভারে,	
akshoti,	আকস্তি,	একশোটি,	
chetonagoto,	চেতাগতত,	চেতনাগত,	
euro,	এইরো,	ইউরো,	
fooloo,	ফললো,	পোলো,	
abdur,	অব্দুর,	আবদুর,	
bohal,	বাহল,	বহাল,	
nirorthak,	নির্তা,	নিরর্থক,	
bhittiti,	ভিত্তি,	ভিত্তিটি,	
shakara,	শাকার,	সাকার,	
nagorikke,	নগর্কেকে,	নাগরিককে,	
sangkalaner,	সংকলালের,	সংকলনের,	
bagdad,	বাদ্দ,	বাগদাদে,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
mirakeela,	মিরাকাল,	মিরাকেল,	
sotorkokari,	সত্তরাকার,	সতর্ককারী,	
nathibhuktir,	নাঠািক্তির,	নথিভুক্তির,	
valapuk,	ভালাপপক,	ভোলাপুক,	
rohosyoti,	রহস্ততি,	রহস্যটি,	
taanteera,	তান্টার,	তাঁতিরা,	
bhalta,	ভল্ত,	ভল্ট,	
vasturyi,	ভসস্ত্রি,	বস্তুরই,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
sherup,	শেরপ,	সেরূপ,	
panera,	পানের,	পনের,	
hanttey,	হানতে,	হাঁটতে,	
moshjid,	মসস্দিদ,	মসজিদ,	
nathibhooktir,	নথিবকিতত,	নথিভুক্তির,	
rohosyor,	রহস্যর,	রহস্যর,	
bagichaar,	বাগিচার,	বাগিচার,	
debdebi,	দেবেবি,	দেবদেবী,	
fevarite,	ফেভারটি,	ফেভারিট,	
ssosha,	সশস,	শশা,	
samanwitabhabey,	সম্নানভাবাবে,	সমন্বিতভাবে,	
bhuushito,	ভুশুত,	ভূষিত,	
aboshorer,	অবসরের,	অবসরের,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
highcommissioney,	হিল্যাম্মমেন,	হাইকমিশনে,	
licensedharii,	লিকিনসাস্রীর,	লাইসেন্সধারী,	
shoti,	সতি,	শোটি,	
vejaano,	ভেজনো,	ভেজানো,	
ingrezra,	ইং্গ্রেজার,	ইংরেজরা,	
rajtantrakey,	রাজ্তান্তাকে,	রাজতন্ত্রকে,	
ashankai,	আসানকাই,	আশঙ্কাই,	
vishnuu,	বিশ্যু,	বিষ্ণু,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
bamnii,	বামনি,	বামনী,	
stonehenje,	স্টেন্যেন,	স্টোনহেঞ্জ,	
firti,	ফির্টি,	ফিরতি,	
ceramiksh,	ক্রামিক্স,	সিরামিকস,	
eekbaler,	একবালের,	ইকবালের,	
indr,	ইন্ড্র,	ইন্দ্র,	
prettii,	প্রেটে,	প্রিটি,	
uqeliptas,	উক্কেলেটেশ,	ইউক্যালিপ্টাস,	
samabeshke,	সমবাশকেক,	সমাবেশকে,	
mmadhuri,	মাধুরি,	মাধুরী,	
ko,	কো,	কেও,	
oncholke,	অন্চলকে,	অঞ্চলকে,	
chaber,	ছবের,	চাবির,	
iuqyaliptasa,	ইল্যিকিক্টাস,	ইউক্যালিপ্টাস,	
meshenger,	মেশেন্গের,	মেসেঞ্জার,	
venkatesh,	ভেনেকাস,	ভেঙ্কটেশ,	
nevate,	নেভাতে,	নেভাতে,	
arop,	আরপ,	আরোপ,	
shangsthatikey,	সংস্তাতকেকে,	সংস্থাটিকে,	
dooburira,	দুবরিরার,	ডুবুরিরা,	
angshogrohon,	অংশগগগহণ,	অংশগ্রহন,	
vugten,	ভুগতেন,	ভুগতেন,	
veenicee,	ভিনিইক,	ভেনিস,	
chhutir,	চুতির,	ছুটির,	
pannee,	পান্নি,	পন্নী,	
oppohoron,	অপপরন,	অপহরন,	
kor,	কোর,	কর,	
chalochchitroi,	চলচচচচ্রি,	চলচ্চিত্রই,	
timothy,	তিমমি,	টিমোথি,	
falokti,	ফলককি,	ফলকটি,	
sahokari,	সহকারী,	সহকারী,	
varma,	ভার্ম,	ভার্মা,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
dharati,	ধারতি,	ধারাটি,	
kottar,	কত্তার,	কট্টর,	
baasa,	বাসা,	বাসা,	
goora,	গোর,	গোর,	
townsip,	তানপিপ,	টাউনশিপ,	
uposhthit,	উপপ্ঠিত,	উপস্থিত,	
chaity,	চাইতি,	চৈতি,	
chakti,	চাক্তি,	চাকতি,	
dhruboker,	দর্বকের,	ধ্রুবকের,	
puzita,	পুজিত,	পূজিতা,	
mesenzar,	মেসেন্রার,	মেসেঞ্জার,	
sanatoni,	সনতানি,	সনাতনী,	
dubaate,	দুবততে,	ডুবাতে,	
townshhip,	তানপিপি,	টাউনশিপ,	
kindom,	কিন্ড,	কিংডম,	
asantosh,	আনন্তসস,	অসন্তোষ,	
purohitra,	পুরিত্রা,	পুরোহিতরা,	
nebhatey,	নেভাতে,	নেভাতে,	
taitela,	টেটেল,	টাইটেল,	
kakhonyoba,	কান্যাব,	কখনওবা,	
magical,	মাগিলকাল,	ম্যাজিকাল,	
firozaa,	ফিরজা,	ফিরোজা,	
skolastik,	স্লালকসটিক,	স্কলাস্টিক,	
nodnadeer,	নন্দাদের,	নদনদীর,	
erina,	এরিন,	এরিনা,	
kemone,	কেমনে,	কেমনে,	
prakalpatike,	প্রাকাপকতকেক,	প্রকল্পটিকে,	
transafarma,	ট্রান্সার্ম,	ট্রান্সফর্ম,	
gononanatyo,	গণনতা,	গণনাট্য,	
valobasey,	ভালবাসে,	ভালোবাসে,	
mozlis,	মললিল,	মজলিশ,	
mitrota,	মিত্রতা,	মিত্রতা,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
bakhyateet,	বায্যাতত,	ব্যাখ্যাতীত,	
kaande,	কান্ডে,	কাণ্ডে,	
dule,	দুলে,	ডালে,	
heebhi,	হিভি,	হেভি,	
vaisaha,	ভৈশাহ,	ভাইসহ,	
bongram,	বংগ্রম,	বনগ্রাম,	
parser,	পর্সের,	পার্শ্বের,	
durgotsab,	দুর্তববব,	দুর্গোৎসব,	
dap,	ডাপ,	ড্যাপ,	
chhuteer,	ছুটির,	ছুটির,	
cholocchitrotike,	চল্চচচতেতে,	চলচ্চিত্রটিকে,	
ishton,	ইস্টন,	স্টোন,	
anuchcheder,	অনচচচেদের,	অনুচ্ছেদের,	
niutrino,	নিউন্রিন,	নিউট্রিনো,	
anchalsamuho,	অন্যালমূহ,	অঞ্চলসমূহ,	
lala,	লালা,	লালা,	
abotar,	অবততার,	অবতার,	
hondurus,	হন্দ্রুস,	হন্ডুরাস,	
damonmulok,	দামনমমুল,	দমনমূলক,	
plena,	প্লেন,	প্লেন,	
marmaader,	মার্মাদের,	মারমাদের,	
staylish,	স্টালিল,	স্টাইলিশ,	
tokei,	তোকে,	ত্বকেই,	
kalenga,	কালেঙ্গ,	কালেঙ্গা,	
panchashjan,	পা্চান্যান,	পঞ্চাশজন,	
bard,	ব্র্ড,	বার্ড,	
superhero,	সুপররে,	সুপারহিরো,	
sudden,	সুদ্দেন,	সাডেন,	
karo,	কারো,	করো,	
elakaai,	এলকাইই,	এলাকাই,	
gatee,	গটি,	গ্যেটে,	
sylvi,	স্লবি,	সিলভি,	
expression,	এক্স্রেশন,	এক্সপ্রেশন,	
elakaatite,	এলকাততে,	এলাকাটিকে,	
chiraharit,	চিরররতিত,	চিরহরিৎ,	
eokee,	একে,	এওকি,	
satarka,	সাতরকা,	সতর্ক,	
dajhyo,	দায্য,	দাহ্য,	
joubanbati,	জৌবনবততি,	যৌবনবতী,	
sanbadmadhyamgulote,	সং্বন্যাগত্বতে,	সংবাদমাধ্যমগুলোতে,	
thaanobhi,	তানভি,	থানভী,	
daaraa,	দারা,	দারা,	
spencer,	স্পেন্সের,	স্পেন্সার,	
kushomva,	কুষম্ভ,	কুশুম্বা,	
shainyader,	সান্যাদের,	সৈন্যদের,	
dianes,	ডিনেন,	ডিএনএস,	
khaambaa,	খা্মাবা,	খাম্বা,	
baarnish,	বার্নিং,	বার্নিশ,	
sherup,	শেরপ,	সেরুপ,	
dokaangulotey,	দক্াগগললতে,	দোকানগুলোতে,	
choiti,	চৈতি,	চৈতি,	
sadhwi,	সাধ্বি,	সাধ্বী,	
munsi,	মনস্সি,	মুন্সী,	
ekoirokom,	এককরমম,	একইরকম,	
carpetey,	কারপ্টে,	কার্পেটে,	
lyanding,	ল্যান্ংিং,	ল্যান্ডিং,	
kanayi,	কানাই,	কানাই,	
saranor,	সারনার,	সরানোর,	
shasheja,	শাশেজা,	সসেজ,	
manmath,	মন্মথ,	মন্মথ,	
parpel,	পার্পেল,	পার্পেল,	
anchalke,	অন্চালকে,	অঞ্চলকে,	
aziza,	আজিজা,	আজিজা,	
chikitshar,	চিকিসার,	চিকিত্সার,	
omarendro,	অমান্র্র্ড,	অমরেন্দ্র,	
shkalashtika,	স্লালকসতিক,	স্কলাস্টিক,	
dhaleshorii,	দালাশরলী,	ধলেশ্বরী,	
brindabaner,	ব্র্ন্বানে,	বৃন্দাবনের,	
bagdader,	ব্যাদদের,	বাগদাদের,	
paira,	পারা,	পাইরা,	
groowth,	গ্রথথ,	গ্রোথ,	
tyapa,	ত্যাপ,	ট্যাপ,	
dayitta,	দাইত্ট,	দায়িত্ব,	
arkimidish,	আর্কিশিশিশ,	আর্কিমিডিস,	
vogini,	ভগিনি,	ভগিনী,	
ches,	চেস,	চেস,	
edaning,	এডেনিং,	ইদানীং,	
sansthati,	সংস্থাতি,	সংস্থাটি,	
stoneeheengee,	স্ত্নেনিগি,	স্টোনহেঞ্জ,	
asommati,	আসমমততি,	অসম্মতি,	
ul,	উলু,	উল,	
akramer,	আক্রমের,	আকরামের,	
kkomatei,	কমমতে,	কমাতেই,	
hood,	হোড,	হুড,	
ovidhanik,	অভিধনকক,	অভিধানিক,	
beeswas,	বিশ্বস,	বিশ্বাস,	
chanake,	চানকে,	ছানাকে,	
qoyeri,	কাই়়ইর,	কোয়েরি,	
ekeerokom,	একরকমম,	একইরকম,	
bbosonto,	ব্যন্ত,	বসন্ত,	
procharona,	প্রচার,	প্রচারণা,	
capshule,	কাপপললে,	ক্যাপসুল,	
bonyopran,	বন্য্রণ,	বন্যপ্রাণ,	
ovishongshon,	অভিশসনন,	অভিশংসন,	
ghensha,	ঘেনস,	ঘেঁষা,	
rabe,	রবে,	রবে,	
kaley,	কালে,	কালে,	
ongkita,	অংকিত,	অঙ্কিতা,	
swasti,	স্বস্টি,	স্বস্তি,	
sparsher,	স্প্রসের,	স্পর্শের,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
bauger,	বাগের,	বাগের,	
omanisa,	অমনিশ,	অমানিশা,	
shantaa,	সান্তা,	সান্তা,	
keuoi,	কেউউ,	কেউই,	
heavy,	হেভি,	হেভি,	
markete,	মার্কেটে,	মার্কেটে,	
minister,	মিনিস্টার,	মিনিস্টার,	
ebhara,	ইভেরা,	এভার,	
nondolal,	নন্দললল,	নন্দলাল,	
moithili,	মথিলিলি,	মৈথিলি,	
zuktorastrer,	জুক্ত্র্তের,	যুক্তরাষ্ট্রের,	
maniktola,	মনিক্তাল,	মানিকতলা,	
zeebonjapon,	জিবনবপন,	জীবনযাপন,	
elaakati,	এলকাতি,	এলাকাটি,	
ruteener,	রোটিনের,	রুটিনের,	
obosan,	অবসান,	অবসান,	
itastata,	ইতসসতত,	ইতস্ততঃ,	
bishesyo,	বিশ্ষ্য,	বিশেষ্য,	
naagaaland,	নাগালন্ড,	নাগাল্যান্ড,	
ongshogrohon,	অংশগগগহণ,	অংশগ্রহন,	
chereche,	চেরেছে,	ছেড়েছে,	
inashtyanta,	ইন্সান্ত্ত,	ইনস্ট্যান্ট,	
mugdhota,	মুধ্ধা,	মুগ্ধতা,	
nederlander,	নেদ্দান্ডানের,	নেদারল্যান্ডের,	
township,	তানপিপি,	টাউনশিপ,	
plate,	প্লাতে,	প্লেটে,	
firth,	ফির্থ,	ফার্থ,	
songbadmadhyomgulote,	সং্ব্যগগগতততে,	সংবাদমাধ্যমগুলোতে,	
mitar,	মিতার,	মিত্র,	
toroonke,	তররকে,	তরুণকে,	
ustaad,	উস্তাড,	উস্তাদ,	
rakibul,	রাকিবলল,	রকিবুল,	
shabnam,	সান্বম,	শবনম,	
musalmani,	মুসলমানি,	মুসলমানই,	
slok,	স্লক,	শ্লোক,	
doshider,	দশশদের,	দোষীদের,	
shikara,	শিকার,	শিকার,	
plak,	প্লাক,	প্ল্যাক,	
balokarok,	বালককর,	বলকারক,	
sontoshe,	সন্তাসে,	সন্তোষে,	
sofyr,	সফ্র,	সোফির,	
sukkha,	সুখ্ষা,	সুক্ষ্ম,	
byaboharkareer,	ব্যাহাহাররর,	ব্যবহারকারীর,	
pathanirdeshona,	পানান্দেশন,	পথনির্দেশনা,	
gotibegey,	গতিবেে,	গতিবেগে,	
tyunar,	তুনান,	টিউনার,	
chomke,	চককে,	চমকে,	
jotsna,	জোট্া,	জ্যোৎস্না,	
antarktika,	আন্তর্কককক,	অ্যান্টার্কটিকা,	
bastuvad,	বস্ত্বাবদ,	বস্তুবাদ,	
nischitabhave,	নিশ্চিচাভাবে,	নিশ্চিতভাবে,	
growth,	গ্রথ,	গ্রোথ,	
turkmeen,	তুরক্মিন,	তুর্কমেন,	
artilary,	আর্টিলালির,	আর্টিলারি,	
byatarii,	ব্যাটারি,	ব্যাটারী,	
chaktir,	চাক্টির,	চাকতির,	
bikargrosto,	বিকররগগ্ত,	বিকারগ্রস্ত,	
mandonder,	মন্দ্দের,	মানদণ্ডের,	
horidare,	হরিদারে,	হরিদ্বারে,	
dhikrito,	ধিক্রিত,	ধিকৃত,	
dada,	দাড,	দাদা,	
segular,	সেগুলার,	সেগুলোর,	
ayantarqatiqa,	আয্যান্টাক্ট,	অ্যান্টার্কটিকা,	
eshiyatika,	এসিসিকিক,	এশিয়াটিক,	
karor,	কারর,	কারোর,	
tistaar,	তিস্টার,	তিস্তার,	
vushito,	ভৈশিত,	ভূষিত,	
marketim,	মার্কেমিট,	মার্কেটিং,	
chheelonaa,	চিলনা,	ছিলনা,	
ekspression,	এক্স্রেনশন,	এক্সপ্রেশন,	
cheekitsar,	চিকিস্টার,	চিকিত্সার,	
tobey,	তবে,	টবে,	
tookrokey,	তুকরকে,	টুকরোকে,	
atma,	আতমম,	আত্ম,	
jorury,	জৌর্ি,	জরূরী,	
sheramiksh,	শ্রানিক,	সিরামিকস,	
netherlander,	নেট্যান্দান্ডের,	নেদারল্যান্ডের,	
akreetokarjo,	আক্তরর্্্,	অকৃতকার্য,	
pancbaar,	পান্যার,	পাঁচবার,	
tigers,	টেগের্স,	টাইগার্স,	
rubeta,	রোবেত,	রাবেতা,	
taurist,	তারিস্ট,	টুরিস্ট,	
bolechi,	বললেল,	বলেছি,	
helly,	হেললি,	হিলি,	
dhyaan,	ধ্যান,	ধ্যান,	
futonto,	ফুতনত,	ফুটন্ত,	
konagoolo,	কনগগলল,	কণাগুলো,	
deep,	ডিপ,	দীপ,	
eeraner,	এরানের,	ইরানের,	
ghatla,	ঘটলল,	ঘটল,	
dharabahiktite,	ধর্বাতিতততে,	ধারাবাহিকটিতে,	
nafisa,	নাফিস,	নাফিসা,	
chidrapathe,	চিদ্রপাথে,	ছিদ্রপথে,	
agora,	অগরা,	আগোরা,	
prokalpati,	প্রকাপপতি,	প্রকল্পটি,	
modelgulo,	মদিলুলোল,	মডেলগুলো,	
korimpur,	করিপপুর,	করিমপুর,	
shiqara,	শিকার,	শিকার,	
