keke,	কেক,	কেকে,	
jaanalo,	জানালো,	জানালো,	
chaalke,	চালকে,	চালকে,	
mahasabha,	মহাসভা,	মহাসভা,	
abhigomon,	অভিগমন,	অভিগমন,	
deul,	ডিউল,	দেউল,	
spencer,	স্পেন্সের,	স্পেন্সার,	
beshirbhageyi,	বেশিরভাগই,	বেশিরভাগেই,	
prabhuder,	প্রভাদের,	প্রভুদের,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
manushti,	মনুষটটি,	মানুষটি,	
hotochokito,	হতচক্তিত,	হতচকিত,	
kabutorer,	কেবুটরের,	কবুতরের,	
moushumer,	মৌশমের,	মৌসুমের,	
bahati,	বাহটি,	বাহাতি,	
atok,	অটোক,	আটক,	
tolemy,	টলেমি,	টলেমির,	
kunty,	কুনটি,	কুন্তী,	
priimoo,	প্রিমু,	প্রিমো,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
sofier,	সফির,	সোফির,	
deebatee,	দিবাতে,	ডিবেট,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
peterke,	পেটারকে,	পিটারকে,	
nirgun,	নির্গুণ,	নির্গুণ,	
shulfate,	সুলফাতে,	সালফেট,	
gemser,	গেমসের,	জেমসের,	
oindreela,	ইন্দ্রেল,	ঐন্দ্রিলা,	
tookroti,	টুকরটি,	টুকরোটি,	
ceramicer,	কেরামিসার,	সিরামিকের,	
jomkalo,	জম্কাল,	জমকালো,	
shochindro,	শচীন্দ্র,	শচীন্দ্র,	
veenus,	ভেইনস,	ভেনাস,	
khuni,	খুনি,	খুনি,	
shenior,	সেনিয়ার,	সিনিয়র,	
obiyi,	অবিই,	ওবিই,	
heeavy,	হেভ,	হেভি,	
gonesher,	গণেশের,	গণেশের,	
aro,	অরো,	আরও,	
mootar,	মোটার,	মুতার,	
dajyo,	দাজ্য,	দাহ্য,	
fand,	ফাঁ্ড,	ফান্ড,	
chapal,	চাপাল,	চপল,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
jothon,	যথন,	যথন,	
mandando,	মানদন্ড,	মানদণ্ড,	
masjidtir,	মাসজিদটির,	মসজিদটির,	
rekhapat,	রেখাপত,	রেখাপাত,	
renoo,	রেনো,	রেনো,	
prapokke,	প্রপককে,	প্রাপককে,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
akik,	একিক,	আকিক,	
noiteek,	নৈটিক,	নৈতিক,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
kiiborder,	কীববরদের,	কীবোর্ডের,	
batsmani,	বাতসানী,	ব্যাটসম্যানই,	
songostha,	সংগ্ঠা,	সংস্থা,	
shombhobonaao,	সম্ভবনা,	সম্ভবনাও,	
mozlish,	মজলিস,	মজলিশ,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
prothati,	প্রথাটি,	প্রথাটি,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
charban,	চারবাণ,	চর্বন,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
charchita,	চার্চিত,	চর্চিত,	
mosleh,	মসলেহ,	মোসলেহ,	
hoil,	হইল,	হইল,	
bunot,	বুনত,	বুনট,	
somudrotote,	সমুদ্রতে,	সমুদ্রতটে,	
fokser,	ফক্ষের,	ফক্সের,	
digreeo,	ডিগ্রিও,	ডিগ্রিও,	
sheekar,	শিকার,	শিকার,	
dece,	ডেসে,	ডেকে,	
bhenise,	ভেনিই,	ভেনিসে,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
meeseenjar,	মেসেঞ্জর,	মেসেঞ্জার,	
meetar,	মেটার,	মিত্র,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
marqeting,	মার্কেটিং,	মার্কেটিং,	
dhaleshwari,	ধলেশ্বররী,	ধলেশ্বরী,	
sithilota,	সিথিলতা,	শিথিলতা,	
dhorer,	ধরের,	ধরের,	
aagom,	আগম,	আগম,	
monoputo,	মনপূত,	মনঃপুত,	
mittrota,	মিত্রতা,	মিত্রতা,	
elaakatir,	এলাকাটির,	এলাকাটির,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
koomari,	কুমারি,	কুমারী,	
lutheran,	লুথেরন,	লুথেরান,	
veedanta,	বিদান্ত,	বেদান্ত,	
kuley,	কুলে,	কুলে,	
rightsh,	রিইটস,	রাইটস,	
shalapheta,	সালফাত,	সালফেট,	
graambaasheeo,	গ্রামবাশী,	গ্রামবাসীও,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
evil,	এভিল,	ইভিল,	
debete,	দেবেতে,	ডিবেট,	
pujita,	পুজিত,	পূজিতা,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
futbolarer,	ফুটবলারের,	ফুটবলারের,	
jeebnagar,	জীবনাগের,	জীবননগর,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
klauda,	ক্লাড,	ক্লাউড,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
parbottyo,	পার্বত্য,	পার্বত্য,	
ekar,	একার,	একার,	
mozlis,	মজলিস,	মজলিশ,	
ramantika,	রামান্টিক,	রোমান্টিক,	
grawth,	গ্রাথ,	গ্রোথ,	
bheemsen,	ভিমসেন,	ভীমসেন,	
shyooter,	স্যুটার,	শ্যুটার,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
ogradut,	অগ্রাদু,	অগ্রদূত,	
eiling,	আইলিং,	ইলিং,	
uthhaane,	উঠানে,	উঠানে,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
sedikei,	সেদিকেই,	সেদিকেই,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
iraaner,	ইরানের,	ইরানের,	
franco,	ফ্রাংক,	ফ্রাঙ্কো,	
brindaa,	বৃন্দা,	বৃন্দা,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
formet,	ফরমেট,	ফরম্যাট,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
antarbhuktimulak,	অন্তর্তূতিকূলক,	অন্তর্ভুক্তিমূলক,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
ministara,	মিনিস্টর,	মিনিস্টার,	
tophaat,	টফাট,	তফাৎ,	
jokrito,	যকৃত,	যকৃৎ,	
feroza,	ফেরোজা,	ফিরোজা,	
maktum,	মক্তুম,	মাকতুম,	
shudhui,	সুধুই,	শুধুই,	
taalgaachh,	তালগাছ,	তালগাছ,	
muldhara,	মুলধার,	মূলধারা,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
hepataitisha,	হাইপোটাইস,	হেপাটাইটিস,	
jaistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
proshadhoni,	প্রশাধনী,	প্রসাধনী,	
dianes,	ড্যানেশ,	ডিএনএস,	
kalam,	কলম,	কালাম,	
cheentaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
okritakarjo,	অকৃতাকার্য,	অকৃতকার্য,	
moqam,	মোকাম,	মোকাম,	
mojlish,	মজলিস,	মজলিশ,	
shannal,	স্যান্ল,	সান্যাল,	
vittiti,	ভিট্টি,	ভিত্তিটি,	
mokam,	মোকাম,	মোকাম,	
akmot,	একমত,	একমত,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
monchostho,	মঞ্চচ্স,	মঞ্চস্থ,	
ancholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
voterer,	ভোটেরের,	ভোটারের,	
hossne,	হোসনে,	হোসনে,	
towbar,	তাবার,	তওবার,	
iyaka,	এযাক,	ইয়াক,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
mitrota,	মিত্রতা,	মিত্রতা,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
sidharther,	সিধার্থের,	সিদ্ধার্থের,	
samajer,	সমাজের,	সমাজের,	
kaantojir,	কান্টজীর,	কান্তজির,	
chhooteete,	ছুটিতে,	ছুটিতে,	
gaj,	গাজ,	গেজ,	
karmosampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
beekaargrasto,	বিকারগ্ষ্ট,	বিকারগ্রস্ত,	
shaatjon,	সাতজন,	সাতজন,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
mumtaj,	মুমতাজ,	মুমতাজ,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
vushi,	ভুষি,	ভুষি,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
ekhate,	এখাতে,	একহাতে,	
cade,	কেড,	কোড,	
yuroo,	ইযুরো,	ইউরো,	
kadom,	কাদম,	কদম,	
vangle,	ভাঙ্ল,	ভাঙলে,	
lendl,	লেন্ড,	লেন্ডল,	
dovar,	দোভার,	ডোভার,	
moshjidshoho,	মসিদসস,	মসজিদসহ,	
dip,	ডীপ,	দীপ,	
sothik,	সথীক,	সঠিক,	
nagarikra,	নাগরিকর,	নাগরিকরা,	
prakalpatike,	প্রকলপটিকে,	প্রকল্পটিকে,	
nathivukta,	নথিযুক্ত,	নথিভুক্ত,	
meghnadbodh,	মেঘনাবদ,	মেঘনাদবধ,	
breaqthrough,	ব্রেক্ষাগু,	ব্রেকথ্রু,	
kakhnoba,	কক্ষণ,	কখনওবা,	
tecnokryat,	টেকনক্রট,	টেকনোক্র্যাট,	
patochitrer,	পতচিত্রের,	পটচিত্রের,	
dankan,	ডাঁকান,	ডানকান,	
totokson,	ততক্ষণ,	ততক্ষন,	
mosjidkey,	মসজিদকে,	মসজিদকে,	
parikha,	পরীকা,	পরিখার,	
upobasher,	উপবাসের,	উপবাসের,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
korecho,	করেচো,	করেছ,	
olympic,	অলিম্পিক,	অলিম্পিক,	
byatari,	ব্যাতরী,	ব্যাটারী,	
karor,	কারোর,	কারোর,	
koner,	কোনের,	কনের,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
masajida,	মাসাজীদ,	মসজিদ,	
tookroke,	টুকরকে,	টুকরোকে,	
sooraarop,	সুরারূপ,	সুরারোপ,	
khaamba,	খাম্বা,	খাম্বা,	
mohibur,	মহিবুর,	মহিবুর,	
sangasthati,	সংস্থাটি,	সংস্থাটি,	
loukeekotaa,	লৌকিকাটা,	লৌকিকতা,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
elakaatite,	এলাকাটি,	এলাকাটিকে,	
forma,	ফরমা,	ফর্মা,	
shrichaitanyadev,	শ্রীচৈত্যান্দে,	শ্রীচৈতন্যদেব,	
agoora,	অগুরা,	আগোরা,	
jerusalemer,	জেরুসালের,	জেরুজালেমের,	
ula,	উল,	উল,	
bolkarok,	বলকারক,	বলকারক,	
bhugole,	ভুগলে,	ভূগোলে,	
bangyer,	বঙ্গের,	ব্যাঙের,	
mausumer,	মসুমের,	মৌসুমের,	
jeerusaleem,	জিরুসালেম,	জেরুসালেম,	
foreex,	ফরেক্স,	ফরেক্স,	
gaugee,	গগী,	গেজ,	
kakhanyoba,	কখন্যব,	কখনওবা,	
songbadmadhyame,	সংবাদম্ধমে,	সংবাদমাধ্যমে,	
bahaati,	বাহাটি,	বাহাতি,	
srimati,	শ্রীমতী,	শ্রীমতি,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
chalachchitro,	চলচ্তির,	চলচ্চিত্র,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
thake,	থাকে,	থাকে,	
ahang,	অহং,	অহং,	
oboshorer,	অবশরের,	অবসরের,	
gazetted,	গেজেটেড,	গেজেটেড,	
brinde,	ব্রাইন,	বৃন্দ,	
dolgulo,	দলগুলো,	দলগুলোও,	
pchok,	প্কো,	পাচক,	
trete,	ট্রেট,	ট্রেতে,	
sosharire,	শশারীরে,	সশরীরে,	
paite,	পাইটে,	পাইতে,	
neutrinoo,	নিট্রিন,	নিউট্রিনো,	
scoree,	স্কোরে,	স্কোরে,	
totokshon,	ততক্ষণ,	ততক্ষন,	
gabhaskaar,	গভ্ষকার,	গাভাস্কার,	
marodeha,	মরদেহ,	মরদেহ,	
manikya,	মাণিক্য,	মানিক্য,	
rijoor,	রিজুর,	রিজুর,	
masjidsaha,	মাসজিদস,	মসজিদসহ,	
nomo,	নম,	নমো,	
omittrakkhor,	অমিত্রক্ষ্র,	অমিত্রাক্ষর,	
toroon,	তরুণ,	তরুন,	
boudhheer,	বৌধির,	বৌদ্ধের,	
domonmoolok,	দমনমূলক,	দমনমূলক,	
pushtee,	পুষ্টি,	পুষ্টি,	
sahabah,	সাহাব,	সাহাবাহ,	
avatara,	অভাতার,	অবতার,	
roktokkoron,	রক্তককরণ,	রক্তক্ষরণের,	
juktarashtreo,	যুক্তরাষ্ট্রে,	যুক্তরাষ্ট্রেও,	
bandra,	বন্দ্র,	বন্দীরা,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
shikkhakke,	শিক্ষকে,	শিক্ষককে,	
bondii,	বন্দী,	বন্দী,	
potocheetro,	পতচিত্র,	পটচিত্র,	
gunoman,	গুণমান,	গুণমান,	
sosa,	সসা,	শশা,	
dharmee,	ধর্মী,	ধর্মী,	
daawn,	দাউন,	ডাউন,	
milekhaanek,	মিলেখানক,	মাইলখানেক,	
ganochin,	গণছিন,	গণচীন,	
beshirbhagei,	বেশিরভাগই,	বেশিরভাগেই,	
meterey,	মেটারে,	মিটারে,	
daayitto,	দাইত্য,	দায়িত্ব,	
venicer,	ভেনিসের,	ভেনিসের,	
blogarra,	ব্লগাররা,	ব্লগাররা,	
vaisaha,	বাইসহ,	ভাইসহ,	
jesha,	জেস,	জেস,	
uponisoder,	উপনিষদের,	উপনিষদের,	
garjon,	গা্জন,	গর্জন,	
yaak,	যাক,	ইয়াক,	
siitei,	শীটেই,	শীতেই,	
uporostho,	উপরস্থ,	উপরস্থ,	
nariikeyi,	নারীকেই,	নারীকেই,	
khannkaj,	খানকাজ,	খননকাজ,	
udbodhaney,	উদ্বোধানে,	উদ্বোধনে,	
footbalarder,	ফুটবলারদের,	ফুটবলারদের,	
chalai,	চালাই,	চালাবে,	
ishahak,	ইসহাক,	ইসাহাক,	
toroonderke,	তরর্ণদেরকে,	তরুণদেরকে,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
nandolal,	নন্দলল,	নন্দলাল,	
durga,	দুর্গা,	দুর্গ,	
remakri,	রেমাকরি,	রেমাক্রী,	
dey,	ডে,	ডে,	
licenser,	লিযান্সের,	লাইসেন্সের,	
neker,	নেকের,	নেকের,	
porishongkhanbid,	পরিষ্যাংখ্বিদ,	পরিসংখ্যানবিদ,	
chhatroraai,	ছাত্রাই,	ছাত্ররাই,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
olpo,	অল্প,	অল্প,	
kalnir,	কল্নীর,	কালনীর,	
bhenama,	ভেনাম,	ভেনম,	
parjataker,	পর্যটকের,	পর্যটকের,	
maarmaader,	মারমাদের,	মারমাদের,	
mookhomaundoley,	মুখমমন্ডলে,	মুখমণ্ডলে,	
metropalitana,	মেট্রোপাটান,	মেট্রোপলিটন,	
laishenshe,	লেইসেন্স,	লাইসেন্স,	
chhutite,	ছুটিতে,	ছুটিতে,	
gandhiio,	গান্ধী,	গান্ধীও,	
korley,	করলে,	করলে,	
somraatder,	সম্রাত্দের,	সম্রাটদের,	
pleeta,	প্লেট,	প্লেট,	
bu,	বু,	বু,	
ramonar,	রমনার,	রমনার,	
august,	অগস্ট,	আগষ্ট,	
uporzon,	উপর্জন,	উপার্জন,	
fokskon,	ফক্ষক,	ফক্সকন,	
ganjana,	গঞ্জন,	গঞ্জনা,	
overviu,	অভার্ভিউ,	ওভারভিউ,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
oitijhyer,	ঐতিয্যের,	ঐতিহ্যের,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
shringo,	শৃঙ্গ,	শৃঙ্গ,	
karu,	করু,	কারো,	
hugh,	হুঘ,	হিউজ,	
udvabon,	উদ্ভাবন,	উদ্ভাবন,	
chitranatyakar,	চিত্রনা্যকার,	চিত্রনাট্যকার,	
bhugol,	ভুগল,	ভূগোল,	
sinematographar,	সিমানেতগার্ফার,	সিনেমাটোগ্রাফার,	
bishasey,	বিশাসে,	বিশ্বাসে,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
patisapta,	পাতিশাপ্ত,	পাটিসাপটা,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
uindos,	উইন্ডোস,	উইন্ডোস,	
azaan,	আজান,	আজান,	
oncolsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
harz,	হার্জ,	হার্জ,	
phimela,	ফিইমেল,	ফিমেল,	
engineersh,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
sachetanatamulak,	স্যাচেতানমূলক,	সচেতনতামূলক,	
marmaara,	মর্মার,	মারমারা,	
brookoleen,	ব্রোকলীন,	ব্রুকলিন,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
sotorko,	সতর্ক,	সতর্ক,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
ibhara,	ইভার,	এভার,	
nilkuthir,	নিলকুঠির,	নীলকুঠির,	
mookhomaundol,	মুখমমন্ডল,	মুখমণ্ডল,	
vageryi,	ভাগেরই,	ভাগেরই,	
jolorong,	জলোরং,	জলরঙ,	
barak,	বারাক,	বারাক,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
anisa,	অনিস,	আনিস,	
mehnotti,	মেহন্তী,	মেহনতি,	
zerusaleme,	জেরুসালেম,	জেরুসালেমে,	
dackop,	ডাক,	দাকোপ,	
nationsh,	নাটিশশ,	নেশনস,	
chhedon,	ছেদন,	ছেদন,	
delivar,	দেলিভার,	ডেলিভার,	
ieub,	ইউব,	আইইউবি,	
jalarong,	জলারং,	জলরঙ,	
kortona,	কর্তনা,	করতনা,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
parshwer,	পার্স্যের,	পার্শ্বের,	
ebhara,	এভার,	এভার,	
shikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
itastato,	ইতাস্ত,	ইতস্তত,	
baireo,	বারেও,	বাইরেও,	
noteti,	নটটি,	নোটটি,	
oopohoron,	অপহরণ,	অপহরন,	
rezidence,	রেজিডেন্সে,	রেসিডেন্স,	
asamonjoshyopurno,	অসমম্যস্পন্রূ,	অসামঞ্জস্যপূর্ণ,	
sacheton,	সেচতন,	সচেতন,	
tinhajar,	তিনহাজার,	তিনহাজার,	
taranee,	তরণণী,	তরণী,	
nederlande,	নেডার্যান্ডে,	নেদারল্যান্ডে,	
vodqa,	ভদকা,	ভদকা,	
gonohotyakey,	গণণযাত্যকে,	গণহত্যাকে,	
antarvuktimulak,	অন্তর্তূমূতিকক,	অন্তর্ভুক্তিমূলক,	
prithibir,	পৃথিবীর,	পৃথবীর,	
prakalpoo,	প্রকালপু,	প্রকল্পও,	
dharabahik,	ধারাবহিক,	ধারাবাহিক,	
marmader,	মর্মদের,	মারমাদের,	
licenshe,	লিকেন্স,	লাইসেন্স,	
chedropathe,	চিদ্রপাথে,	ছিদ্রপথে,	
volte,	ভোলটে,	ভল্ট,	
bosturoi,	বস্তুরই,	বস্তুরই,	
nirarthok,	নির্থক,	নিরর্থক,	
prokolpoguli,	প্রকলগুলি,	প্রকল্পগুলি,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
itastata,	ইতাস্তা,	ইতস্ততঃ,	
rohosyoti,	রহশ্যটি,	রহস্যটি,	
kiutie,	কিউটি,	কিউটি,	
parijaner,	পরিজনের,	পরিজনের,	
gitikobitar,	গীতিকাতির,	গীতিকবিতার,	
poper,	পপের,	পোপের,	
plate,	প্লেট,	প্লেটে,	
sanbadmadhyame,	সংবমাদ্ধমে,	সংবাদমাধ্যমে,	
ikbaaler,	একবালের,	ইকবালের,	
tyapa,	ট্যাপ,	ট্যাপ,	
jerusalem,	জেরুসালেম,	জেরুসালেম,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
sothikata,	সথিকতা,	সঠিকতা,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
konake,	কোনকে,	কণাকে,	
bandhuderke,	বন্দুদেরকে,	বন্ধুদেরকে,	
johor,	জহর,	জহর,	
sima,	সিম,	সীমা,	
naren,	নারেন,	নরেন,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
nirbaha,	নির্বাহ,	নির্বাহ,	
sadena,	সাদেন,	সাডেন,	
nirapattamulak,	নিরাত্মূলক,	নিরাপত্তামূলক,	
motabolambira,	মোটবলম্বীরা,	মতাবলম্বীরা,	
chhatke,	ছাটকে,	ছাতকে,	
chhaai,	ছাই,	ছাই,	
oodoore,	অদুরে,	অদুরে,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
norpholk,	নরফ্লক,	নরফোক,	
samajeekotar,	সমাজিকতার,	সামাজিকতার,	
kalkarkhana,	কলকার্ষণা,	কলকারখানা,	
ogobhir,	অগভীর,	অগভীর,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
ganosakkhorota,	গণসক্ষ্রতা,	গণসাক্ষরতা,	
manhputo,	মানপুত,	মনঃপুত,	
dakope,	ডাকপে,	দাকোপ,	
adorso,	আদর্শ,	আর্দশ,	
bhyaatikaner,	ভ্যাটিকেনের,	ভ্যাটিকানের,	
debagg,	দেবাগ,	ডিবাগ,	
naran,	নরণ,	নরেন,	
ganakantha,	গণকণ্ঠ,	গণকণ্ঠ,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
sikkhokke,	শিক্ষকে,	শিক্ষককে,	
silvar,	সিলভার,	সিলভার,	
windo,	বিন্দ,	উইন্ডো,	
poricchonnota,	পরিচ্ছন্তা,	পরিচ্ছন্নতা,	
uparzoner,	উপার্জনের,	উপার্জনের,	
sahojlabhbhotar,	সহজলভ্ভতার,	সহজলভ্যতার,	
mulbhitti,	মূলভিত্তি,	মূলভিত্তি,	
mailer,	মেলের,	মেইলের,	
vugten,	ভুগটেন,	ভুগতেন,	
deares,	ডিরেস,	ডিআরএস,	
daalu,	ডালু,	ডালু,	
armstrong,	আর্ম্ট্রং,	আর্মস্ট্রং,	
daul,	ডল,	দেউল,	
nodiitike,	নদিতিকে,	নদীটিকে,	
vaibonera,	ভেইবনেরা,	ভাইবোনেরা,	
abikaul,	অবিকুল,	অবিকল,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
lobbytey,	লববিতে,	লবিতে,	
keyboarder,	কিবোর্দের,	কীবোর্ডের,	
prime,	প্রিম,	প্রাইম,	
jemser,	জেযাসের,	জেমসের,	
tenishe,	টেনিসে,	টেনিসে,	
horash,	হরাস,	হোরাস,	
bhogirath,	ভগীরাথ,	ভগীরথ,	
toufiq,	তৌফিক,	তৌফিক,	
brake,	ব্রাকে,	ব্রেক,	
atwobishvashi,	অত্বমিশবাসী,	আত্মবিশ্বাসী,	
emergency,	এমেরগন্সিস,	এমার্জেন্সি,	
noitikatabodh,	নৈতিকাযবোধ,	নৈতিকতাবোধ,	
azan,	আজন,	আজান,	
rinattak,	ঋরান্তক,	ঋনাত্মক,	
saazanor,	সাজানোর,	সাজানোর,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
baiqa,	বাইক,	বাইক,	
bordhitangsho,	বর্ধিতংশ্,	বর্ধিতাংশ,	
jatharthobhabe,	যথার্থভাবে,	যথার্থভাবে,	
qinsa,	কিন্স,	কিংস,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
bagichar,	বগিচার,	বাগিচার,	
zeebonto,	জীবন্ত,	জীবন্ত,	
stonehenje,	স্টনেহেন্জে,	স্টোনহেঞ্জ,	
khudey,	খুদে,	ক্ষুদে,	
grambasio,	গ্রামাবাসীও,	গ্রামবাসীও,	
gabhaskar,	গভাসকার,	গাভাস্কার,	
park,	পার্ক,	পার্ক,	
purple,	পার্পল,	পার্পেল,	
bhiqtara,	ভিক্টার,	ভিক্টর,	
kana,	কান,	কণা,	
akritakarja,	আরীকতার্যা,	অকৃতকার্য,	
shoreefpur,	শরিফপুর,	শরিফপুর,	
shhyutara,	স্যুটার,	শ্যুটার,	
changee,	চেঙগ,	চেঞ্জ,	
gripa,	গ্রিপ,	গ্রিপ,	
sutir,	সুটির,	সুতির,	
natneekey,	নাটনীকে,	নাতনীকে,	
aalaaoler,	আলালের,	আলাওলের,	
turkey,	টার্কে,	তুর্কি,	
sulphate,	সুলফাটে,	সালফেট,	
pushtir,	পুষ্টির,	পুষ্টির,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
adhunik,	অধুনিক,	আধুনিক,	
kada,	কাদ,	কোডা,	
drishyoke,	দৃষ্যকে,	দৃশ্যকে,	
fax,	ফ্যাক্স,	ফক্স,	
prakalpogulor,	প্রক্লগুলোর,	প্রকল্পগুলোর,	
jarul,	জরুল,	জারুল,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
birishiritey,	বিরিষারীতে,	বিরিশিরিতে,	
khaneker,	খনেকের,	খানেকের,	
dholeshori,	ধোলেশোর,	ধলেশ্বরী,	
ujobekeestan,	উজবেকস্তান,	উজবেকিস্তান,	
okkhor,	অক্ষর,	অক্ষর,	
mumtajer,	মুমতাজের,	মুমতাজের,	
pachtar,	পাঁচটার,	পাঁচটার,	
oocchoseeto,	অচ্চোসিত,	উচ্ছসিত,	
durgoto,	দুর্গত,	দূর্গত,	
nadnodir,	নদ্নদীর,	নদনদীর,	
ghotleo,	ঘটলেও,	ঘটলেও,	
ronodeep,	রণদীপ,	রণদীপ,	
qings,	কিংস,	কিংস,	
fanskari,	ফানসকারী,	ফাঁসকারী,	
hood,	হুদ,	হুড,	
ramjaner,	রমজানের,	রমযানের,	
maudeler,	মড্ডলের,	মডেলের,	
zinsa,	জিনস,	জিন্স,	
mg,	এমিজ,	এমজি,	
bondiira,	বন্দীরা,	বন্দীরা,	
conphlict,	কনফলিক্ট,	কনফ্লিক্ট,	
iling,	ইলিং,	ইলিং,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
shuperheiro,	সুপেরাইর,	সুপারহিরো,	
mogert,	মগের্ট,	মোজার্ট,	
balokarak,	বালকারক,	বলকারক,	
karore,	কারোরে,	কারোর,	
jatiinke,	জতীনকে,	যতীনকে,	
dologuloo,	দলগুলো,	দলগুলোও,	
sabhanetri,	স্ভান্ত্রী,	সভানেত্রী,	
krantee,	ক্রান্টি,	ক্রান্তি,	
haridware,	হরিড্যারে,	হরিদ্বারে,	
prothakey,	প্রথাকে,	প্রথাকে,	
ruteen,	রুটিন,	রুটিন,	
paikar,	পাইকার,	পাইকার,	
byabaharkareeke,	ব্যবহারকাকেরে,	ব্যবহারকারীকে,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
bhognee,	ভগ্নী,	ভগ্নী,	
daver,	ডাভের,	ডোভার,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
biswashwo,	বিশ্বাস্য,	বিশ্বাসও,	
jahor,	যাহর,	জহর,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
sahazlabhbhatar,	সহজলভ্ভতার,	সহজলভ্যতার,	
taali,	টালি,	তালি,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
pooshtir,	পুষ্টির,	পুষ্টির,	
dharabahikbhabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
manushera,	মানুষেরা,	মানুষেরা,	
