sofir,	শফীর,	সোফির,	
ancient,	অ্যান্সন্ট,	এনসিয়েন্ট,	
laagto,	লাগত,	লাগতো,	
hert,	হার্ট,	হার্ট,	
hart,	হার্ট,	হার্ট,	
uponeeshoder,	উপনীশদের,	উপনিষদের,	
khappar,	খাপপার,	খপ্পর,	
ekok,	একক,	একক,	
upobaasher,	উপব্যাসের,	উপবাসের,	
phake,	ফাঁকে,	ফাকে,	
shaatjon,	শাতজন,	সাতজন,	
harja,	হার্জ,	হার্জ,	
jerusalem,	জেরুসালেম,	জেরুসালেম,	
poshte,	পোষ্টে,	পোষ্টে,	
korta,	করত,	করতা,	
kanthar,	কণ্ঠার,	কাঁথার,	
gyandaas,	গ্যান্ডাস,	জ্ঞানদাস,	
rooplal,	রূপলাল,	রূপলাল,	
arunima,	অরুনিমা,	অরুণিমা,	
byan,	ব্যান,	ব্যাং,	
upostheet,	উপস্থিত,	উপস্থিত,	
mozlish,	মজলিস,	মজলিশ,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
shift,	সিফ,	শিফট,	
aaloteo,	আলতেও,	আলোতেও,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
hatodoridra,	হতত্রাদিরা,	হতদরিদ্র,	
shuter,	শুটার,	শ্যুটার,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
tuning,	তুনিং,	টিউনিং,	
inapharameeshana,	ইনফারমেশন,	ইনফরমেশন,	
karpet,	কর্পট,	কার্পেট,	
madhabi,	মাধবী,	মাধবী,	
nagarikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
karmosampadon,	কর্মসম্পদ,	কর্মসম্পাদন,	
pratiyogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
pratul,	প্রতুল,	প্রতুল,	
pujita,	পূজিতা,	পুজিত,	
potocheetro,	পথচিত্র,	পটচিত্র,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
jamanor,	জামানোর,	জমানোর,	
billaho,	বিলাহা,	বিল্লাহ,	
chaaktir,	চাকটির,	চাকতির,	
jomjamat,	জজমামত,	জমজমাট,	
toroonra,	ত্রুন্র,	তরুণরা,	
timoothy,	তিমুথি,	টিমোথি,	
aieesa,	আয়েশ,	আইএএস,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
ceramiks,	কেরমিক্স,	সিরামিকস,	
lutherana,	লুঠারণা,	লুথেরান,	
adhit,	অধীত,	অধীত,	
sooya,	সোয়া,	সোয়া,	
twakei,	ত্বকেই,	ত্বকেই,	
boikalya,	বৈকাল্য,	বৈকল্য,	
iceberg,	ইইসাবার্গ,	আইসবার্গ,	
atwobishvashi,	অত্মবিশাষী,	আত্মবিশ্বাসী,	
ooindo,	অইন্ডো,	উইন্ডো,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
spreeadshiit,	স্প্রোসেডিট,	স্প্রেডশীট,	
gaddafi,	গড্দফি,	গাদ্দাফী,	
hoolding,	হোলদিং,	হোল্ডিং,	
mausumeo,	মৌসূমেও,	মৌসুমেও,	
noditikey,	নদীতীকে,	নদীটিকে,	
pratisthasoho,	প্রতিস্বাসহ,	প্রতিষ্ঠাসহ,	
raia,	রাই,	রায়,	
ganokantho,	গণকান্থ,	গণকণ্ঠ,	
kraima,	ক্রোম,	ক্রাইম,	
hilser,	হিলসের,	হিলসের,	
shhkolashtic,	স্কলাশ্টিক,	স্কলাস্টিক,	
gondho,	গন্ধ,	গন্ধে,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
upbasher,	উপবাসের,	উপবাসের,	
baron,	বারণ,	ব্যারন,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
poromartho,	পরমার্থ,	পরমার্থ,	
jyestha,	জ্যাস্থ,	জ্যেষ্ঠা,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
metrapalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
madhoori,	মধুরি,	মাধুরী,	
karadanda,	কারাদন্ডা,	কারাদণ্ড,	
bharadwaja,	ভারাব্যজা,	ভরদ্বাজ,	
armshtrong,	আর্মস্র্রিং,	আর্মস্ট্রং,	
hachchilo,	হচচিল,	হচ্ছিলো,	
iispredshiit,	ইস্পরেেশিট,	স্প্রেডশীট,	
sayaneda,	সায়েনেড,	সায়ানাইড,	
militari,	মিলিটারী,	মিলিটারি,	
drishyogulo,	দৃশ্যুগল,	দৃশ্যগুলো,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
radhanogor,	রাধানোগর,	রাধানগর,	
songkoloner,	সংকলনের,	সংকলনের,	
dobhaar,	দভার,	ডোভার,	
soleel,	সলীল,	সলিল,	
alpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
bondhubhabapanno,	বন্ধুভাবন্ন,	বন্ধুভাবাপন্ন,	
valobasar,	ভালবাসার,	ভালোবাসার,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
armeniyana,	আর্মিনিয়ান,	আর্মেনিয়ান,	
durgotsav,	দুর্গতসা,	দুর্গোৎসব,	
prabhur,	প্রভূর,	প্রভুর,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
manushe,	মনসু,	মানুষে,	
evaner,	ইভানের,	ইভানের,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
culing,	কুলিং,	কুলিং,	
komandar,	কমান্ডার,	কমাণ্ডার,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
ghumachchilo,	ঘুমাঞ্চিল,	ঘুমাচ্ছিল,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
mele,	মেলে,	মাইল,	
karmoke,	কর্মকে,	কর্মকে,	
dipti,	দিপ্তি,	ডেপুটি,	
ketechhilo,	কটেছিল,	কেটেছিল,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
parbottyo,	পার্বত্য,	পার্বত্য,	
futonta,	ফুটন্ত,	ফুটন্ত,	
ministara,	মিনেস্টার,	মিনিস্টার,	
karlosa,	কার্লস,	কার্লোস,	
remakri,	রেমকরি,	রেমাক্রী,	
jerusalemer,	জেরাসালমের,	জেরুজালেমের,	
obhaarbhiu,	অভার্ভু,	ওভারভিউ,	
bishad,	বিশদ,	বিষদ,	
naobihar,	নৌবিহার,	নৌবিহার,	
gaandas,	গান্ডাস,	জ্ঞানদাস,	
shkalastic,	স্কালশস্টিক,	স্কলাস্টিক,	
aembed,	এম্বেড,	এম্বেড,	
byaaran,	ব্যারান,	ব্যারন,	
satorkovabe,	সর্তরকাবে,	সতর্কভাবে,	
pratishthanik,	প্রতিস্ঠানিক,	প্রাতিষ্ঠানিক,	
deenesh,	ডিনেশ,	দীনেশ,	
seramiks,	সেরিমকিস,	সিরামিকস,	
juddhahoto,	যুদ্ধহত,	যুদ্ধাহত,	
chopol,	চপল,	চপল,	
disni,	ডিজনি,	ডিজনী,	
tinbhager,	তিনভাগের,	তিনভাগের,	
vaisaha,	ভাইসহ,	ভাইসহ,	
marino,	মেরিনো,	মারিনো,	
ashor,	আসর,	আসর,	
manoharpur,	মনোরপুর,	মনোহরপুর,	
qoyeri,	কোয়ারি,	কোয়েরি,	
dorun,	দরুণ,	দরুণ,	
stonehenj,	স্ট্যানিংে,	স্টোনহেঞ্জ,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
patishapta,	পতিসপ্ত,	পাটিসাপটা,	
prokalpeo,	প্রকালপেও,	প্রকল্পেও,	
siitei,	সীতেই,	শীতেই,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
azimkey,	আজিমকে,	আজিমকে,	
badhano,	বাধানো,	বাঁধানো,	
nagarik,	নাগরিক,	নাগরিক,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
kaushalgata,	কৌশলগত,	কৌশলগত,	
redcrosser,	রেডক্রসসের,	রেডক্রসের,	
buth,	বুঠ,	বুথ,	
gonohotyar,	গণহাত্তার,	গণহত্যার,	
golpokar,	গোলপকার,	গল্পকার,	
byabaharkareederke,	ব্যবহারকিরকেেরে,	ব্যবহারকারীদেরকে,	
foster,	ফোস্টার,	ফস্টার,	
gemske,	গেমসে,	জেমসকে,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
chaanoo,	চানু,	চানু,	
laaishensh,	লেইস্স,	লাইসেন্স,	
granthoti,	গ্রন্থিটি,	গ্রন্থটি,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
tochhnochh,	তচনচ,	তছনছ,	
ghatlo,	ঘটললো,	ঘটল,	
alsaar,	আলসার,	আলসার,	
behramporer,	বাহরামপুরের,	বহরমপুরের,	
paaree,	পারি,	পাড়ে,	
plato,	প্লাট,	প্লেটো,	
satarkabhabe,	সর্তরকাভাবে,	সতর্কভাবে,	
naajee,	নাজি,	নাত্সি,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
jerokom,	জেরকম,	যেরকম,	
kanisttha,	কনিস্ঠ,	কনিষ্ঠ,	
inshtant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
edmiral,	এডমিরাল,	এডমিরাল,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
anurbar,	অনুরবার,	অনুর্বর,	
satthik,	সাথিক,	সঠিক,	
toroni,	তরণী,	তরণী,	
panni,	পাণনি,	পন্নী,	
metere,	মেটারে,	মিটারে,	
baipash,	বাইপাস,	বাইপাস,	
mucus,	মুকাস,	মিউকাস,	
tarbine,	টারবিনে,	টারবাইন,	
shhip,	শীপ,	শিপ,	
vasturyi,	বস্তুরি,	বস্তুরই,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
thishisher,	টিসিসের,	থিসিসের,	
transapharma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
neermol,	নির্মল,	নির্মল,	
badna,	বদ্ন,	বদনা,	
crescent,	ক্রিসেক্ট,	ক্রিসেন্ট,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
piroojalee,	পিরুজালী,	পিরুজালী,	
manahputo,	মানপুত,	মনঃপুত,	
udvabaney,	উদ্ভববনে,	উদ্ভাবনে,	
firojer,	ফিরজের,	ফিরোজের,	
dinnar,	দিনাার,	ডিনার,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
deefinition,	ডেফিনিশন,	ডেফিনেশন,	
bharkendra,	ভারকেন্ড্র,	ভরকেন্দ্র,	
shrabasti,	শ্রবস্তি,	শ্রাবস্তী,	
fanda,	ফান্ডা,	ফান্ড,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
satjan,	সৎজন,	সাতজন,	
ispredsit,	ইস্পরেসেট,	স্প্রেডশীট,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
nilkomol,	নিলমকল,	নীলকমল,	
ever,	ইভার,	এভার,	
fimel,	ফিইমেল,	ফিমেল,	
kas,	কাশ,	কাস,	
basalt,	বসস্ল,	ব্যাসল্ট,	
aabarto,	আবর্ত,	আবর্ত,	
vivek,	বিভেক,	বিবেক,	
soteciety,	সতেশিটি,	সোসাইটিতে,	
chamoski,	চামকী,	চমস্কি,	
adhito,	অধিত,	অধীত,	
phiqsa,	ফিক্স,	ফিক্স,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
durotaumo,	দূরতাম,	দূরতম,	
lutheran,	লুঠারণ,	লুথেরান,	
lakkheryo,	লক্ষ্যেরও,	লক্ষেরও,	
konoroop,	কোনরুপ,	কোনরূপ,	
bhittie,	ভিতই,	ভিত্তিই,	
monzhostho,	মন্যস্থ,	মঞ্চস্থ,	
teenage,	ত্যেনেজ,	টিনেজ,	
sniper,	স্পিপের,	স্নাইপার,	
soolke,	সুলকে,	শুল্কে,	
thyachara,	থ্যাচার,	থ্যাচার,	
bufer,	বুফার,	বাফার,	
janake,	জনকে,	জানাতে,	
srimati,	শ্রীমতী,	শ্রীমতি,	
laaz,	লজ,	লাজ,	
fatakesto,	ফটটক্স,	ফাটাকেষ্ট,	
gori,	গরি,	গোরি,	
parkasha,	পার্কাশ,	পার্কস,	
maudelti,	মডেডলটটি,	মডেলটি,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
gonona,	গণনা,	গণনা,	
sayid,	সাঈদ,	সাইদ,	
myari,	ম্যারি,	ম্যারি,	
wenish,	ওয়েনিস,	ভেনিস,	
nanir,	নানীর,	নানীর,	
achis,	আচিস,	আছিস,	
ayadabhansada,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
basaalt,	বসস্লাট,	ব্যাসল্ট,	
preti,	প্রতি,	প্রিটি,	
jesthotar,	জেষ্ঠতার,	জ্যেষ্ঠতার,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
bohorompurer,	বহরপমুরের,	বহরমপুরের,	
joisttho,	জশ্ঠ,	জ্যৈষ্ঠ,	
setike,	সেটিকে,	সেটিকে,	
ahang,	অহং,	অহং,	
mehonoti,	মেহনতি,	মেহনতি,	
shringa,	শ্রীঙ্গ,	শৃঙ্গ,	
nepchuner,	নেচুঁনের,	নেপচুনের,	
dover,	ডভের,	ডোভার,	
swartho,	স্বার্থ,	স্বার্থ,	
majdur,	মজদুর,	মজদুর,	
shatan,	শানান,	শয়তান,	
eksapresana,	এক্সপ্রেসেন,	এক্সপ্রেশন,	
polo,	পোলো,	পোলো,	
protijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
ganona,	গণনা,	গননা,	
kortona,	কর্তনা,	করতনা,	
holuder,	হলুদের,	হলুদের,	
totokhon,	ততক্ষণ,	ততক্ষন,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
azaan,	আজান,	আজান,	
bishod,	বিশদ,	বিষদ,	
vageroi,	ভাগেরই,	ভাগেরই,	
chalta,	চলত,	চালতা,	
dower,	ডভের,	ডোভার,	
sommotir,	সম্মতির,	সম্মতির,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
nevate,	নেভাতে,	নেভাতে,	
times,	টাইমস,	টাইমস্,	
bytes,	বিটেস,	বাইটস,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
subade,	সুবাদে,	সুবাদে,	
khelechen,	খেলেছেন,	খেলেছেন,	
mashajida,	মাসজিদ,	মসজিদ,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
cholchhe,	চলছে,	চলছে,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
jyaka,	য্যাক,	জ্যাক,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
korimkey,	করিমকে,	করিমকে,	
vogno,	ভগ্ন,	ভগ্ন,	
bedkey,	বেদকে,	বেদকে,	
mase,	মসে,	মাসে,	
elakayi,	এলাকাই,	এলাকাই,	
bhenna,	ভেনা,	ভেন্না,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
dipan,	দ্পীপন,	দীপন,	
scifi,	স্ফিফি,	সাইফাই,	
granther,	গ্রন্থের,	গ্রন্থের,	
qyanela,	ক্যানেল,	ক্যানেল,	
kona,	কোণা,	কণা,	
senior,	সেনিওর,	সিনিয়র,	
idaning,	এডানিং,	ইদানীং,	
lambatey,	লম্বাতে,	লম্বাটে,	
ganosachetanata,	গণসোচেনতা,	গণসচেতনতা,	
roopdan,	রূপদন,	রুপদান,	
gasthii,	গাস্ঠী,	গোষ্ঠীই,	
durvaggo,	দুর্ভোগ্য,	দূর্ভাগ্য,	
songbadmadhyomer,	সংবাদমধমের,	সংবাদমাধ্যমের,	
dibbay,	দিব্যে,	দিব্যা,	
arekdal,	আরেকদল,	আরেকদল,	
aarakaner,	আরাকানের,	আরাকানের,	
enjineers,	এনজেনির্স,	ইঞ্জিনিয়ার্স,	
adhyattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
roktokhoron,	রক্তকোষণ,	রক্তক্ষরণের,	
grovth,	গ্রাথ,	গ্রোথ,	
hepatitis,	হেপাটিটিস,	হেপাটাইটিস,	
akatwa,	একাত্য,	একাত্ব,	
bandi,	বন্দি,	বন্দী,	
veenis,	ভিনেস,	ভেনিস,	
brinda,	ব্রিন্ড,	বৃন্দা,	
kanasarabheshana,	কনসারেশন,	কনসারভেশন,	
nir,	নির,	নির,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
provu,	প্রভূ,	প্রভু,	
goodamjato,	গুদাম্জত,	গুদামজাত,	
touraat,	ত্যুরাত,	তওরাত,	
alympic,	অলিম্পিক,	অলিম্পিক,	
edii,	এদি,	আইডিই,	
snepara,	স্পেপার,	স্নাইপার,	
jank,	জাঁক,	জাঁক,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
mahasava,	মহাসা,	মহাসভা,	
gostike,	গো্তিকে,	গোষ্ঠীকে,	
forma,	ফোর্ম,	ফর্মা,	
koreempoor,	করিমপুর,	করিমপুর,	
ester,	এস্টের,	ইস্টার,	
ispredseet,	ইস্প্রেসেট,	স্প্রেডশীট,	
bomkesh,	বোমকেশ,	ব্যোমকেশ,	
mascat,	মসসকাট,	মাস্কাট,	
shalook,	শালুক,	শালুক,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
laisensim,	লেইসেস,	লাইসেন্সিং,	
mojlishpur,	মজলিসপুর,	মজলিশপুর,	
johor,	জোহর,	জহর,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
bosturoi,	বস্তুরই,	বস্তুরই,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
latimer,	ল্যাটিমার,	লাটিমের,	
longhon,	লঙ্ঘন,	লংঘন,	
nikate,	নিকাতে,	নিকটে,	
karlosha,	কর্লস,	কার্লোস,	
everage,	এভরিভে,	এভারেজ,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
maadhookori,	মধুকরি,	মাধুকরী,	
boney,	বনে,	বনে,	
satan,	সতন,	শয়তান,	
basaa,	বাসা,	বাসা,	
omitrakkhor,	অমৃতক্রার,	অমিত্রাক্ষর,	
esiyatika,	এসিসিটিক,	এশিয়াটিক,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
khaambaa,	খামবা,	খাম্বা,	
palestine,	পলেস্টিনে,	প্যালেস্টাইনে,	
itastata,	ইতস্ততা,	ইতস্ততঃ,	
deilee,	ডেলে,	ডেইলি,	
aksharke,	আক্ষরকে,	অক্ষরকে,	
kiirti,	কীর্তি,	কীর্তি,	
sampadon,	সম্পাদন,	সম্পাদন,	
mugdaal,	মুগদল,	মুগডাল,	
obharabhiu,	অভারবী,	ওভারভিউ,	
badey,	বাদে,	বাদে,	
geans,	গেনস,	জিন্স,	
codeti,	কোটেটি,	কোডটি,	
kalniir,	কালনীর,	কালনীর,	
chalochchitroi,	চলচিত্রী,	চলচ্চিত্রই,	
saahocorrzo,	সহচর্য,	সাহচর্য,	
aireshe,	আইরেশে,	আইরেসে,	
chupi,	চুপি,	চুপি,	
korleyi,	করলেই,	করলেই,	
sinematographar,	সিনেগাস্রাফকের,	সিনেমাটোগ্রাফার,	
shikshakbrinda,	শিক্ষাবকৃন্দ,	শিক্ষকবৃন্দ,	
prapokke,	প্রপাককে,	প্রাপককে,	
abul,	আবুল,	আবুল,	
setite,	সেটিতে,	সেটিতে,	
sikare,	শিকারে,	শিকারে,	
chirokoomari,	চিরকারী,	চিরকুমারী,	
songbadmadhyomgulote,	সংবাদমন্মগূলকে,	সংবাদমাধ্যমগুলোতে,	
byepass,	ব্যাপাস,	বাইপাস,	
pouchute,	পৌঁছতে,	পৌঁছুতে,	
kunti,	কুন্তি,	কুন্তী,	
onurbar,	অনুরবার,	অনুর্বর,	
madraser,	মাদরাসের,	মাদ্রাজের,	
mekong,	ম্যাক,	মেকং,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
harisher,	হারিসের,	হ্যারিসের,	
machsoho,	মাচসহ,	মাছসহ,	
komti,	কমটি,	কমতি,	
suraropito,	সুরারপিত,	সুরারোপিত,	
duplex,	ডাপলকেস,	ডুপ্লে,	
horinner,	হরিন্র,	হরিণের,	
zins,	জিনস,	জিন্স,	
estania,	স্টেশনিয়া,	এস্তোনিয়া,	
setitey,	সেটিতে,	সেটিতে,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
tottoraat,	তত্তরাট,	তওরাত,	
dharmi,	ধর্মি,	ধর্মী,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
asthisandhi,	অস্থিনস্ধি,	অস্থিসন্ধি,	
dipon,	দ্বপন,	দীপন,	
dhikrita,	দীক্রিত,	ধিকৃত,	
dhyana,	ধ্যানা,	ধ্যান,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
cheerokumari,	চিরকুরমী,	চিরকুমারী,	
mahibur,	মাহিবুর,	মহিবুর,	
jeerusaleema,	জিরুসলিমা,	জেরুসালেম,	
purbanchole,	পূর্বানচালে,	পূর্বাঞ্চলে,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
gej,	গেজ,	গেজ,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
parse,	পারসে,	পার্শ্বে,	
shamuk,	শামুক,	শামুক,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
rohasyer,	রহাস্যের,	রহস্যের,	
janapoth,	জনপথ,	জনপথ,	
kooshumba,	কুসুম্ব,	কুশুম্বা,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
naarsari,	নার্সারী,	নার্সারি,	
choiti,	চৈতি,	চৈতি,	
rajotwo,	রাজত্ব,	রাজত্ব,	
sausage,	সৌভাগে,	সসেজ,	
shoo,	সু,	শো,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
hariner,	হরিনের,	হরিণের,	
anish,	আনিস,	আনিস,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
vabuk,	ভাবুক,	ভাবুক,	
gudamjat,	গুদমজাত,	গুদামজাত,	
steit,	স্টেইট,	স্টেইট,	
modele,	মোডেল,	মডেলে,	
narider,	নারীদের,	নারীদের,	
shaarther,	সার্থের,	স্বার্থের,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
visnu,	বিষ্ণু,	বিষ্ণু,	
graambaaseer,	গ্রামবাশীর,	গ্রামবাসীর,	
heejee,	হিজে,	হেজ,	
batikromshali,	ব্যাতিকম্রসীল,	ব্যতিক্রমধর্মী,	
sookumari,	সুকুমারি,	সুকুমারী,	
yukeliptas,	ইউকিলিপ্টস,	ইউক্যালিপ্টাস,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
nirgoon,	নির্জন,	নির্গুণ,	
kaferder,	কফফারদের,	কাফেরদের,	
garjan,	গর্জন,	গর্জন,	
dayitto,	দৈত্য,	দায়িত্ব,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
coner,	কনের,	কনের,	
jyeshtha,	জ্যাস্থ,	জ্যেষ্ঠা,	
songosthaner,	সংস্থানের,	সংস্থানের,	
inamila,	ইনামিলা,	এনামেল,	
pothnatok,	পাঠনাটক,	পথনাটক,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
oncholtite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
morathee,	মোরাঠী,	মরাঠি,	
ajuhath,	অযুহাথ,	অজুহাত,	
janomukhi,	জনমুখী,	জনমুখী,	
drishyagulo,	দৃশ্যুগুলো,	দৃশ্যগুলো,	
hock,	হক,	হুক,	
shaajaanor,	সাজানোর,	সাজানোর,	
granthe,	গ্রন্থে,	গ্রন্থে,	
nirapottamulak,	নিরাপতম্মকাল,	নিরাপত্তামূলক,	
categoryr,	ক্যাটেগারির,	ক্যাটাগরির,	
khoor,	খুর,	ক্ষুর,	
shpredshiit,	স্প্রেশিট,	স্প্রেডশীট,	
harysoner,	হারিসনের,	হ্যারিসনের,	
asor,	আসর,	আসর,	
deputi,	ডিপুিটি,	ডেপুটি,	
upanishad,	উপনিবাসদ,	উপনিষদ,	
messengar,	মেসেঞ্গার,	মেসেঞ্জার,	
janoikaa,	জননিকা,	জনৈকা,	
probesher,	প্রবেশের,	প্রবেশের,	
airish,	আইরিশ,	আইরিস,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
diana,	ড্যানা,	ডায়না,	
bibader,	বিবাদের,	বিবাদের,	
artilari,	আর্টিলারি,	আর্টিলারি,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
basaate,	বাসাতে,	বাসাতে,	
ketechilo,	কটেছিল,	কেটেছিল,	
balakarak,	বালকারক,	বলকারক,	
bird,	বার্ড,	বার্ড,	
toroonke,	তরুণকে,	তরুণকে,	
meshenger,	মেসেঙ্জার,	মেসেঞ্জার,	
photanor,	ফোটনোর,	ফোটানোর,	
yuq,	ইউক,	ইয়াক,	
karmakarke,	কর্মকরকে,	কর্মকারকে,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
shangkulaan,	সঙ্কুলান,	সংকুলান,	
odurey,	অদূরে,	অদুরে,	
brindaabane,	বৃর্ডাবনে,	বৃন্দাবনে,	
rigthter,	রিজটের,	রাইটের,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
bii,	বিই,	বি,	
tottenhamer,	ততটাইম্যার,	টটেনহামের,	
kromo,	ক্রম,	ক্রম,	
masterer,	মাস্তারের,	মাস্টারের,	
nagarikra,	নাগারিকরা,	নাগরিকরা,	
adorso,	আদর্শ,	আর্দশ,	
fising,	ফিশিং,	ফিসিং,	
routine,	রাউটিন,	রুটিন,	
prokolpogulor,	প্রকোলগুলোর,	প্রকল্পগুলোর,	
orbit,	অর্বিত,	অরবিট,	
atmabiswasi,	আত্মব্যাসিষ,	আত্মবিশ্বাসী,	
qinsa,	কিংসা,	কিংস,	
postay,	পোস্তে,	পোষ্টে,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
vittimul,	ভিট্মীমুল,	ভিত্তিমূল,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
abatar,	অবতর,	অবতার,	
bo,	বো,	বু,	
amudey,	আমুদে,	আমুদে,	
paltechey,	পল্টেকে,	পাল্টেছে,	
obe,	অবে,	ওবিই,	
vagini,	ভাগিনী,	ভগিনী,	
safi,	শফি,	সাফি,	
qeyboard,	কেবোর্ড,	কীবোর্ড,	
baet,	বাযাট,	বাইট,	
eukalyptus,	ইউক্যালপাসাস,	ইউক্যালিপ্টাস,	
abhidhanic,	আভিধানিক,	অভিধানিক,	
hajarti,	হজরতী,	হাজারটি,	
tecno,	টেকনো,	টেকনো,	
cloud,	ক্লদ,	ক্লাউড,	
pana,	পানা,	পানা,	
azimke,	আজিমকে,	আজিমকে,	
plus,	প্লাজ,	প্লাস,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
udeechee,	উদেছী,	উদীচী,	
