chirohorit,	চিহরিত,	চিরহরিৎ,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
zonite,	যোনিতে,	যোনীতে,	
monmotho,	মনমোথ,	মন্মথ,	
prakalpotike,	প্রকলপতিকে,	প্রকল্পটিকে,	
siddhantey,	সিদ্ধান্তে,	সিদ্ধান্তে,	
aro,	আরো,	আরও,	
lojic,	লজিক,	লজিক,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
tersa,	তের্স,	টেরেসা,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
vittimul,	ভিত্তিমুল,	ভিত্তিমূল,	
hailo,	হইলো,	হইল,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
phutonta,	ফুটন্ত,	ফুটন্ত,	
chalche,	চলছে,	চলছে,	
varma,	ভার্মা,	ভার্মা,	
sikkhokbreendo,	শিক্ষাবকৃন্দ,	শিক্ষকবৃন্দ,	
debdebyr,	দেবদেবির,	দেবদেবীর,	
queery,	কেয়ারি,	কোয়েরি,	
kormoke,	কর্মকে,	কর্মকে,	
sip,	সিপ,	শিপ,	
hajaribag,	হাজরিবার,	হাজারিবাগ,	
patengar,	পতেঙ্গর,	পতেঙ্গার,	
deezni,	দিজনি,	ডিজনী,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
chamsky,	চামসকি,	চমস্কি,	
bafal,	বাফল,	বিফল,	
prrajanankaal,	প্রজননকাল,	প্রজননকাল,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
sonatani,	সোনাটানি,	সনাতনী,	
iraaner,	ইরানের,	ইরানের,	
qarlosa,	কার্লস,	কার্লোস,	
tikta,	টিকটা,	তিক্ত,	
durgondho,	দুরগন্ধ,	দুর্গন্ধ,	
abdoone,	আবদুনে,	আবদুন,	
geza,	গেজ,	গেজ,	
ralof,	রালফ,	রালফ,	
apoharon,	অপহরণ,	অপহরন,	
sylvi,	সিলভি,	সিলভি,	
kharar,	খারার,	খরার,	
baharamapurer,	বহহরমাপুরের,	বহরমপুরের,	
prodiper,	প্রদিপের,	প্রদীপের,	
moochi,	মুচি,	মুচি,	
shikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
manonitoder,	মনোনিতদের,	মনোনীতদের,	
sajano,	সাজানও,	সাজানো,	
istoniya,	ইস্টোনিয়া,	এস্তোনিয়া,	
patzat,	পাত্জাত,	পাটজাত,	
santoshe,	সন্তোষে,	সন্তোষে,	
alympic,	অলিম্পিক,	অলিম্পিক,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
dael,	ডেল,	ডেইল,	
nirupito,	নিরূপিত,	নিরূপিত,	
feroz,	ফেরজ,	ফিরোজ,	
jockey,	জকে,	জকি,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
mangolik,	মঙ্গোলিক,	মাঙ্গলিক,	
atma,	আত্মা,	আত্ম,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
wolapuk,	উলপাকুক,	ভোলাপুক,	
obdee,	অব্দি,	অব্দি,	
madola,	মাদলা,	মাদলা,	
decke,	ডেকি,	ডেকে,	
pet,	পেট,	পেত,	
gazipur,	গাজীপুর,	গাজিপুর,	
jeebonto,	জীবন্ত,	জীবন্ত,	
edmiral,	এডমিরিলার,	এডমিরাল,	
nodiitir,	নদীতীর,	নদীটির,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
kodti,	কদটি,	কোডটি,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
said,	সাঈ,	সাইদ,	
phaksa,	ফক্স,	ফক্স,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
manob,	মানব,	মানব,	
osshoshtikor,	অস্বস্তিকর,	অস্বস্তিকর,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
edaning,	এডনিং,	ইদানিং,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
jatee,	জাতি,	যাতি,	
shasheja,	সােজ,	সসেজ,	
jomkaalo,	জম্কালো,	জমকালো,	
byasalt,	ব্যাসল,	ব্যাসল্ট,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
gajee,	গাজ,	গেজ,	
weenis,	ভেনিস,	ভেনিস,	
gaddafii,	গদ্দাফী,	গাদ্দাফী,	
sarano,	সারানো,	সরানো,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
reeliancee,	রিলিয়েন্স,	রিলায়েন্স,	
agomoney,	আগমনে,	আগমনে,	
bosonto,	বসন্ত,	বসন্ত,	
agiboner,	আগিবনের,	আজীবনের,	
holuder,	হলুদের,	হলুদের,	
faltir,	ফাল্টির,	ফলটির,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
jhankar,	ঝংকার,	ঝঙ্কার,	
aakkaas,	আক্াাশ,	আককাস,	
samanwitovabe,	সমান্ভিতভাবে,	সমন্বিতভাবে,	
bunot,	বুনট,	বুনট,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
padarthabidder,	পদার্থবিদদের,	পদার্থবিদদের,	
kk,	কি,	কেকে,	
gabeshonar,	গবেষণার,	গবেষনার,	
shaahaab,	সাহাব,	সাহাব,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
marufer,	মারুফের,	মারুফের,	
prokalpagulo,	প্রকলপালগুলো,	প্রকল্পগুলো,	
kinsa,	কিনসা,	কিংস,	
tap,	টাপ,	ট্যাপ,	
jubokera,	যুবকেরা,	যুবকেরা,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
gazipur,	গাজীপুর,	গাজীপুর,	
jworer,	জ্বরের,	জ্বরের,	
durgotsab,	দুর্গতস,	দুর্গোৎসব,	
saamaanyai,	সাম্নাই,	সামান্যই,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
katbey,	কাটবে,	কাটবে,	
hoonayin,	হুনাইন,	হুনাইন,	
ekeerokom,	একিরকম,	একইরকম,	
byaboharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
shookna,	শুকনা,	শুকনা,	
ting,	টিং,	টিং,	
cheshsh,	চেষ,	চেস,	
mosjidsaha,	মজিদদহসহ,	মসজিদসহ,	
shorsha,	শর্ষা,	সোর্স,	
faskari,	ফসকারি,	ফাঁসকারী,	
esoosiyetasa,	এসোসিয়েটস,	এসোসিয়েটস,	
daver,	দেভার,	ডোভার,	
soteciety,	সোটেসিটি,	সোসাইটিতে,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
nitikatha,	নীতিকথা,	নীতিকথা,	
modeeling,	মোডিলিং,	মডেলিং,	
nyaper,	ন্যাপের,	ন্যাপের,	
eesa,	এসা,	আইএএস,	
gajiipur,	গাজীপুর,	গাজীপুর,	
chhathke,	ছাঠকে,	ছাতকে,	
baipasa,	বাইপাসা,	বাইপাস,	
bosontokke,	বসন্তককে,	বসন্তকে,	
dighol,	দিঘল,	দীঘল,	
chalachchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
embeda,	এম্বেদা,	এম্বেড,	
machder,	মাছদের,	মাছদের,	
brittakare,	বৃত্যাকারে,	বৃত্তাকারে,	
haipar,	হাইপার,	হাইপার,	
malaika,	মালাইক,	মালাইকা,	
pachtar,	পাঁচটার,	পাঁচটার,	
navel,	নেভেল,	নভেল,	
parikhar,	পরিক্ষার,	পরিখার,	
wishnu,	বিষ্ণু,	বিষ্ণু,	
timoothi,	তিমুথি,	টিমোথি,	
plate,	প্লেট,	প্লেটে,	
saaed,	সাঈদ,	সাইদ,	
abodamoner,	অবদামনের,	অবদমনের,	
phimela,	ফিমেল,	ফিমেল,	
indro,	ইন্দ্র,	ইন্দ্র,	
homser,	হোমসের,	হোমসের,	
sthapona,	স্থাপনা,	স্থাপনা,	
amarendra,	অমরেন্দ্র,	অমরেন্দ্র,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
parks,	পার্কস,	পার্কস,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
vugol,	ভুগল,	ভূগোল,	
aviyojan,	অভিযাজন,	অভিযোজন,	
bagmara,	বাজমারা,	বাগমারা,	
teteyer,	টেটির,	টেটের,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
rubol,	রুবাল,	রুবল,	
sarbharti,	সরর্ভাটি,	সার্ভারটি,	
uporzon,	উপরজন,	উপার্জন,	
hepetitis,	হেপটেটিস,	হেপাটাইটিস,	
tiunara,	টিউনার,	টিউনার,	
turkmen,	তুর্কম্যান,	তুর্কমেন,	
kemonay,	কেমনে,	কেমনে,	
klauda,	ক্লাউড,	ক্লাউড,	
dancan,	ডানকান,	ডানকান,	
debug,	দেবুগ,	ডিবাগ,	
geans,	জিন্স,	জিন্স,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
sumo,	সুমো,	সুমো,	
gaichey,	গেছে,	গাইছে,	
nagarikkey,	নাগরিকে,	নাগরিককে,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
saleha,	সালেহ,	সালেহা,	
oholya,	অহল্য,	অহল্যা,	
gudamjat,	গুদমাজ্,	গুদামজাত,	
nishad,	নিষাদ,	নিষাদ,	
surakarder,	সুরাকাদের,	সুরকারদের,	
probesher,	প্রবেশের,	প্রবেশের,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
puroheetke,	পুরাহিতকে,	পুরোহিতকে,	
noitik,	নৈতিক,	নৈতিক,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
palestiner,	পেলেস্টাইনের,	প্যালেস্টাইনের,	
karmokarer,	কর্মকারের,	কর্মকারের,	
nesnosh,	নেশনোস,	নেশনস,	
rajtontrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
dorjee,	দরজি,	দরজি,	
jojyota,	যো্যতা,	যোজ্যতা,	
gore,	গরে,	গোর,	
graambaaseer,	গ্রামবাসির,	গ্রামবাসীর,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
digrike,	ডিগ্রিকে,	ডিগ্রিকে,	
drishyer,	দৃষ্যের,	দৃশ্যের,	
gujaber,	গুজবের,	গুজবের,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
shahocharjo,	শহহর্্য,	সাহচর্য,	
taunashipa,	টানশিপ,	টাউনশিপ,	
jyesthaa,	জ্যাস্থা,	জ্যেষ্ঠা,	
hazarer,	হজরের,	হাজারের,	
haripur,	হরিপুর,	হরিপুর,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
jerusaleme,	জেরুসলাইম,	জেরুসালেমে,	
nothibhookteer,	নথিভূক্তির,	নথিভুক্তির,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
pooshtir,	পুষ্টির,	পুষ্টির,	
hafez,	হাফেজ,	হাফেয,	
aanhu,	আনু,	আনহু,	
patrol,	পাত্রল,	পেট্রোল,	
dakten,	ডাকতেন,	ডাকতেন,	
parisankhanbid,	পরিসংখ্নবনবীদ,	পরিসংখ্যানবিদ,	
maradeho,	মারাদেহ,	মরদেহ,	
aiiub,	আইউব,	আইইউবি,	
kaansaat,	কানসাট,	কানসাট,	
salafeta,	সললফট,	সালফেট,	
uuipoka,	উইপোকা,	উইপোকা,	
sbatantrata,	স্বতন্ত্রত,	স্বতন্ত্রতা,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
khilaphat,	খিলাফাত,	খিলাফত,	
kathhmandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
ashok,	আশোক,	আশোক,	
naaji,	নাজি,	নাত্সি,	
aamor,	আমর,	আমর,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
dola,	দলা,	দলা,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
baarnis,	বার্নিস,	বার্নিশ,	
monjushree,	মন্জুসরী,	মঞ্জুশ্রী,	
tuleche,	তুলেছে,	তুলেছে,	
deeyenes,	ডিএনেস,	ডিএনএস,	
velcome,	ভেলকমে,	ওয়েলকাম,	
bhagini,	ভাগিনী,	ভগিনী,	
shchalastik,	স্কালাস্টিক,	স্কলাস্টিক,	
bajareo,	বাজারেও,	বাজারেও,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
elaakai,	এলাকাই,	এলাকাই,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
anis,	আনিশ,	আনিস,	
anchaleo,	অঞ্চলেও,	অঞ্চলেও,	
samrat,	সমরত,	সম্রাট,	
sur,	সুর,	সুর,	
platey,	প্লেটে,	প্লেটে,	
pisach,	পিশাচ,	পিশাচ,	
harees,	হারিস,	হ্যারিস,	
shoreef,	শরীফ,	শরিফ,	
romantic,	রোমান্টিক,	রোমান্টিক,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
sangbadmadhyamer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
potkaa,	পটকা,	পটকা,	
fooloo,	ফুলও,	পোলো,	
kyapasula,	ক্যাপসূলা,	ক্যাপসুল,	
fala,	ফল,	পোলো,	
modeltigulo,	মোডাল্টিগুলো,	মডেলগুলো,	
elakaai,	এলাকাই,	এলাকাই,	
oddure,	অদ্যুরে,	অদুরে,	
dologuloo,	দলগুলো,	দলগুলোও,	
gora,	গোর,	গোর,	
tat,	তাত,	তাত,	
jens,	জেন্স,	জিন্স,	
donate,	দোনাতে,	ডোনাট,	
anisa,	আনিশা,	আনিস,	
abatar,	অবতার,	অবতার,	
taufik,	তৌফিক,	তৌফিক,	
chat,	ছাট,	চ্যাট,	
bu,	বু,	বু,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
chhani,	ছানি,	ছানি,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
vince,	ভিন্স,	ভিন্স,	
vushito,	ভূষিত,	ভূষিত,	
jaistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
sulfatee,	সুলফাটি,	সালফেট,	
falasrutite,	ফলেসরুতিতে,	ফলশ্রুতিতে,	
karmosansthan,	কর্মস্থাসন,	কর্মসংস্থান,	
chaalkee,	চালকি,	চালকে,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
advansed,	অদ্ভানসেদ,	অ্যাডভান্সড,	
graambaashio,	গ্রামবাসিয়া,	গ্রামবাসীও,	
basinay,	বাসিনে,	বেসিনে,	
turkameena,	তুরকমেন,	তুর্কমেন,	
sukkha,	সূক্ষ্ম,	সুক্ষ্ম,	
sorting,	সর্টিং,	সর্টিং,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
kiiborder,	কিবোরদের,	কীবোর্ডের,	
pashaner,	পাশনের,	পাষাণের,	
karaa,	করা,	কারো,	
shombhobonao,	সম্ভাবনাও,	সম্ভবনাও,	
soya,	সোয়া,	সোয়া,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
ray,	রে,	রায়,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
daebug,	দেবুগ,	ডিবাগ,	
adhyatmikatar,	আধ্যাত্মিকতার,	আধ্যাত্মিকতার,	
nodiiti,	নদীতী,	নদীটি,	
utsahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
asamonjoshopurno,	অসামসাপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
akai,	একাই,	একাই,	
pustio,	পুষ্টিও,	পুষ্টি,	
carpet,	কর্পট,	কার্পেট,	
machera,	মাচেরা,	মাছেরা,	
gujab,	গুজব,	গুজব,	
shuparahiro,	সুপারিহ,	সুপারহিরো,	
muhit,	মুহিত,	মুহিত,	
eenjil,	এঞ্জেল,	ইঞ্জিল,	
khur,	খুর,	ক্ষুর,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
aatto,	আত্য,	আত্ম,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
marjito,	মর্জিত,	মার্জিত,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
lakhindarer,	লাখিন্দারের,	লখিন্দরের,	
megher,	মেঘের,	মেঘের,	
licenshe,	লিসেন্স,	লাইসেন্স,	
jatinke,	যাতিনকে,	যতীনকে,	
kamla,	কমলা,	কামলা,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
asammati,	অসমমতি,	অসম্মতি,	
istoon,	ইস্টান,	স্টোন,	
ishpredshhit,	ইস্পেরিশিত,	স্প্রেডশীট,	
koyari,	কোয়ারি,	কোয়েরি,	
bonvumi,	বনভূমি,	বনভূমি,	
kandey,	কান্ডে,	কাণ্ডে,	
ivil,	ইভিল,	ইভিল,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
laiseens,	লেইসেন্স,	লাইসেন্স,	
dep,	ডিপ,	ডেপ,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
palestinea,	পেল্সেটিনা,	প্যালেস্টাইনে,	
heriser,	হিরিশের,	হ্যারিসের,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারীই,	
nirobota,	নিরবতা,	নিরবতা,	
twoei,	তুই,	ত্বকেই,	
musalmanera,	মুসলমমনেরা,	মুসলমানেরা,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
bed,	বেড,	বেদ,	
tafasir,	তফসির,	তাফসীর,	
firozaa,	ফিরজা,	ফিরোজা,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
lag,	লাগ,	লগ,	
manee,	মেন,	মানে,	
korkotkraantee,	কর্কট্রান্তি,	কর্কটক্রান্তি,	
bharadwaj,	ভারাদ্যাজ,	ভরদ্বাজ,	
avishangson,	অভিশাসন,	অভিশংসন,	
segulor,	সেগুলোর,	সেগুলোর,	
nabyata,	নব্যত,	নাব্যতা,	
licensin,	লিসেন্সিং,	লাইসেন্সিং,	
prodeeper,	প্রদিপের,	প্রদীপের,	
chirohorith,	চিরহরিথ,	চিরহরিৎ,	
armshtronj,	আর্স্ট্রম্জ,	আর্মস্ট্রং,	
damanmulak,	দমানমূলক,	দমনমূলক,	
maladoobha,	মালাদুভা,	মলদোভা,	
abotar,	অবতার,	অবতার,	
dhanni,	ধানি,	ধন্যি,	
meghnabodh,	মেঘনাবধ,	মেঘনাদবধ,	
panero,	পনেরো,	পনের,	
piroojalee,	পিরোজালি,	পিরুজালী,	
iston,	ইস্টন,	স্টোন,	
skyirt,	স্কার্ট,	স্কার্ট,	
pujita,	পূজিত,	পুজিত,	
dharabahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
mulor,	মুলার,	মুলোর,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ovinetar,	অভিনেতার,	অভিনেতার,	
nek,	নেক,	নেক,	
shrishri,	শ্রীশ্রি,	শ্রীশ্রী,	
thela,	ঠেল,	ঠেলা,	
dokaneyi,	দোকানেই,	দোকানেই,	
catholicder,	কাথলিকদের,	ক্যাথলিকদের,	
sombhobonaow,	সম্ভাবনাও,	সম্ভবনাও,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
faranyata,	ফারান্যতা,	ফরম্যাট,	
bohal,	বোহাল,	বহাল,	
shkolashtik,	স্কলাস্টিক,	স্কলাস্টিক,	
antarvuktimulak,	অন্তর্ভূত্তূমূলক,	অন্তর্ভুক্তিমূলক,	
pillai,	পিল্লাই,	পিল্লাই,	
stanehenge,	স্তনেহেঙ্গে,	স্টোনহেঞ্জ,	
chalai,	চালাই,	চালাবে,	
shotokey,	সতকে,	শতকে,	
aksathe,	একসাথে,	একসাথে,	
aieesha,	আইএসএ,	আইএএস,	
shamooker,	শামুকের,	শামুকের,	
gejeted,	গেজেটেদ,	গেজেটেড,	
randeep,	রান্ডিপ,	রণদীপ,	
naker,	নাকের,	নেকের,	
somraat,	সমরাত,	সম্রাট,	
kirti,	কীর্তি,	কীর্তি,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
sparsher,	স্পর্শের,	স্পর্শের,	
bojhao,	বোঝাও,	বোঝাও,	
ishpredshheet,	ইস্পেরেশিত,	স্প্রেডশীট,	
machsaho,	মাচসহ,	মাছসহ,	
breqathru,	ব্রেকতারু,	ব্রেকথ্রু,	
kanaphlikta,	কাফাফলিক্ট,	কনফ্লিক্ট,	
baik,	বেক,	বাইক,	
rifleks,	রাইফেল্কস,	রিফ্লেক্স,	
shukraanu,	শুক্রাণু,	শুক্রানু,	
marketim,	মার্কেটিং,	মার্কেটিং,	
taioyana,	টাইওয়ান,	তাইওয়ান,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
ranadeep,	রানাবিপ,	রণদীপ,	
somosto,	সমস্ত,	সমস্ত,	
chet,	চেত,	চ্যাট,	
oopohoron,	উপহরণ,	অপহরন,	
mausumei,	মাসুমেই,	মৌসুমেই,	
shef,	সেফ,	শেফ,	
sukumaree,	সুকুমারি,	সুকুমারী,	
ashiatic,	অশিয়েটিক,	এশিয়াটিক,	
porishkoron,	পরিষ্করণ,	পরিষ্করণ,	
bahya,	বহ্য,	বাহ্য,	
tirmizi,	তিরমিযী,	তিরমিজি,	
hizrite,	হিজরিতে,	হিজরীতে,	
vittio,	ভিত্তিও,	ভিত্তিও,	
jeebnagar,	জীবনাগর,	জীবননগর,	
railliner,	রেলিনার,	রেললাইনের,	
dhouto,	ধৌত,	ধৌত,	
moorali,	মোরালি,	মুরলী,	
zoneete,	যোনিতে,	যোনীতে,	
armashtram,	আর্মস্ট্রম,	আর্মস্ট্রং,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
parichchhannata,	পরিচ্ছান্নতা,	পরিচ্ছন্নতা,	
prakalpoo,	প্রকল্পু,	প্রকল্পও,	
kode,	কোডে,	কোড,	
sabche,	সবছে,	সবচে,	
bhorpur,	ভররপুর,	ভরপুর,	
shucre,	সুক্র,	সাকার,	
jubokra,	যুবকরা,	যুবকরা,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
romnar,	রমনার,	রমনার,	
jackson,	জ্যাকসন,	জ্যাকসন,	
jaunotar,	যৌনতার,	যৌনতার,	
phern,	ফার্ন,	ফার্ন,	
hipar,	হিপার,	হাইপার,	
sushiksar,	সুশিক্ষর,	সুশিক্ষার,	
shilpojaat,	শিল্পজ্ঞাত,	শিল্পজাত,	
simaa,	সিমা,	সীমা,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
neurology,	নিউরোলজি,	নিউরোলজি,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
subadey,	সুবাদে,	সুবাদে,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
marri,	মেরি,	ম্যারি,	
windos,	উইন্ডোজ,	উইন্ডোস,	
asovo,	অসভ,	অসভ্য,	
muchir,	মুচির,	মুচির,	
ashamorthito,	অসামর্থিত,	অসমর্থিত,	
granthati,	গ্রন্থাটি,	গ্রন্থটি,	
version,	ভার্সন,	ভারশন,	
osthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
chalachchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
parishrom,	পরিশ্রোম,	পরিশ্রম,	
ishtone,	ইস্টন,	স্টোন,	
krom,	ক্রম,	ক্রম,	
morodeho,	মরোদেহ,	মরদেহ,	
korkotkrantee,	কর্কট্রান্তি,	কর্কটক্রান্তি,	
overviu,	ওভার্ভু,	ওভারভিউ,	
ruby,	রুবি,	রুবী,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
turqi,	টার্কি,	তুর্কি,	
cholochchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
uporitole,	উপরিতলে,	উপরিতলে,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
lat,	লাট,	লাট,	
pathkram,	পাঠক্রম,	পাঠক্রম,	
futbolarra,	ফুটবলরারা,	ফুটবলাররা,	
chyeta,	ছেতা,	চ্যাট,	
morathee,	মরাথি,	মরাঠি,	
shaarthe,	সার্থে,	স্বার্থে,	
huqar,	হুকার,	হুকার,	
adbhanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
aarakani,	আরাকানী,	আরাকানী,	
ajiban,	আজিবান,	আজীবন,	
haphej,	হাফেজ,	হাফেয,	
teamothi,	তিমথি,	টিমোথি,	
kattor,	কাট্টর,	কট্টর,	
annarup,	অন্যরূপ,	অন্যরূপ,	
rohasyati,	রহস্যাটি,	রহস্যটি,	
chanje,	চাঁজে,	চেঞ্জ,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
charrjer,	চার্যার,	চার্জের,	
raeets,	রেটস,	রাইটস,	
anan,	আনন,	আনান,	
bagicha,	বাগিচা,	বাগিচা,	
muscat,	মুসকাট,	মাস্কাট,	
siddhantao,	সিদ্বান্ত,	সিদ্ধান্তও,	
sahazlabhbhatar,	সহজলভাবতার,	সহজলভ্যতার,	
doover,	ডুভার,	ডোভার,	
dimbakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
koreemke,	করিমকে,	করিমকে,	
teyt,	টেট,	টেট,	
pyore,	প্য়ে,	পিওর,	
maradeha,	মারাদেহ,	মরদেহ,	
jibjantu,	জীবন্তু,	জীবজন্তু,	
karmer,	কর্মের,	কর্মের,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
phund,	ফাউন্ড,	ফান্ড,	
tali,	টালি,	তালি,	
goonoman,	গুণমান,	গুণমান,	
ooindos,	উইন্ডোস,	উইন্ডোস,	
roy,	রো,	রায়,	
taanteera,	তানটিরা,	তাঁতিরা,	
uposhthit,	উপস্থিত,	উপস্থিত,	
mohiboor,	মহিবুর,	মহিবুর,	
risorte,	রিসর্তে,	রিসোর্টে,	
grameryi,	গ্রামেরি,	গ্রামেরই,	
alsar,	আলসার,	আলসার,	
chaakti,	চাকটি,	চাকতি,	
coner,	কোনের,	কনের,	
bhabna,	ভব্না,	ভাবনা,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
gabhaskaar,	গভাষ্কার,	গাভাস্কার,	
rajashri,	রাজশ্রী,	রাজশ্রী,	
butha,	বুথা,	বুথ,	
santose,	সন্তোষে,	সন্তোষে,	
prokar,	প্রকার,	প্রকার,	
faridi,	ফরিদি,	ফরিদী,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
maladabha,	মালাদাও,	মলদোভা,	
ketechila,	কেটেছিল,	কেটেছিল,	
mausumer,	মাসুমের,	মৌসুমের,	
kachhakachhi,	কাছকাছা,	কাছাকাছি,	
shefard,	সেফার্ড,	শেফার্ড,	
lohar,	লোহার,	লোহার,	
cilahati,	চিলাহাতি,	চিলাহাটি,	
bukhari,	বুখারী,	বুখারি,	
faad,	ফাঁদ,	ফুড,	
machhe,	মাছে,	মাছে,	
kansat,	কাঁসাট,	কানসাট,	
musalmanderkey,	মুসলমমন্েরকে,	মুসলমানদেরকে,	
iukyaliptasa,	ইউক্যালিপ্টস,	ইউক্যালিপ্টাস,	
netherlander,	নেথারল্যান্ডের,	নেদারল্যান্ডের,	
dolgulo,	দলগুলো,	দলগুলোও,	
pat,	পাত,	পেত,	
manushsaho,	মানুসহ,	মানুষসহ,	
