hitaishi,	হিটাইসই,	হিতৈষী,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
sonmukh,	সন্মুখ,	সন্মুখ,	
shoccar,	সচচচার,	সকার,	
chaalabi,	চালাবি,	চালাবে,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
ganokontho,	গণকণ্ঠ,	গণকণ্ঠ,	
totokshon,	ততক্ষণ,	ততক্ষন,	
provritir,	প্রভূতির,	প্রভৃতির,	
diyenes,	ডিএনেস,	ডিএনএস,	
bajite,	বজিতে,	বাজিতে,	
kyapasula,	ক্যাসপুল,	ক্যাপসুল,	
elahabade,	ইলাহাবাদে,	এলাহাবাদে,	
gujob,	গুজব,	গুজব,	
saseza,	সাসেজা,	সসেজ,	
soommita,	সুমিতা,	সুমিতা,	
hyper,	হাইপার,	হাইপার,	
kompito,	কম্পিট,	কম্পিত,	
aarik,	আরিক,	আরিক,	
shanta,	শান্ত,	সান্তা,	
noitikatavodh,	নৈতিকাতব,	নৈতিকতাবোধ,	
dighol,	দিঘল,	দীঘল,	
soras,	সরাস,	সরস,	
chalochchitratike,	চলচ্রিত্যটিকে,	চলচ্চিত্রটিকে,	
jomaanor,	জমানোর,	জমানোর,	
ancholeo,	আঞ্চলেও,	অঞ্চলেও,	
tukror,	টুক্রর,	টুকরোর,	
karpet,	কার্পট,	কার্পেট,	
lidara,	লিডার,	লিডার,	
cooda,	কোড,	কোডা,	
ghurtey,	ঘুরতে,	ঘুরতে,	
sikkharrtheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
makhmaley,	মাখমালে,	মখমলে,	
di,	ডি,	দিই,	
serverty,	সার্ভারটি,	সার্ভারটি,	
sourse,	সোর্সে,	সোর্স,	
qloud,	ক্লাউ,	ক্লাউড,	
kodorer,	কদরের,	কদরের,	
bosanta,	বসনতা,	বসন্ত,	
proman,	প্রমাণ,	প্রমান,	
dheke,	ঢেঁকে,	ঢেকে,	
babilon,	বাবিলন,	ব্যাবিলন,	
jacksoner,	যক্ষোনের,	জ্যাকসনের,	
ekpase,	একপাশে,	একপাশে,	
caramics,	কারামিক্স,	সিরামিকস,	
grooth,	গ্রুথ,	গ্রোথ,	
meghnadbadh,	মেঘনাদবাধ,	মেঘনাদবধ,	
shuparahiro,	সুপারাহীর,	সুপারহিরো,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
khogen,	খোগেন,	খগেন,	
bafar,	বাফার,	বাফার,	
baik,	ব্যাক,	বাইক,	
addabaaz,	আদ্াবাজ,	আড্ডাবাজ,	
harisher,	হরিসের,	হ্যারিসের,	
shatjon,	সতজন,	সাতজন,	
phutbolarder,	ফুটলারের,	ফুটবলারদের,	
mugdhata,	মুগ্ধতা,	মুগ্ধতা,	
ponjjikar,	পন্জিকার,	পঞ্জিকার,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
ikbaler,	ইকবালের,	ইকবালের,	
sikha,	শিখা,	শিখ,	
artilery,	অ্্টারলারি,	আর্টিলারি,	
heawy,	হেভি,	হেভি,	
arshie,	আর্সি,	আরসিএ,	
august,	আগস্ট,	আগষ্ট,	
zyakasana,	জ্যাকশন,	জ্যাকসন,	
heepataitisa,	হেপটাইটিস,	হেপাটাইটিস,	
noubihar,	নৌবিহার,	নৌবিহার,	
henna,	হেননা,	হেনা,	
hurricanee,	হারিকেন,	হ্যারিকেন,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
borana,	বোরান,	বোরন,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
potka,	পট্কা,	পটকা,	
madaspushto,	মদসাস্পত,	মদদপুষ্ট,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
forex,	ফরেক্স,	ফরেক্স,	
alpoi,	অল্পই,	অল্পই,	
augustine,	অগুস্টিন,	অগাস্টিন,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
baasaa,	বাসা,	বাসা,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
grambaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
rushod,	রুশদ,	রুশদ,	
iukyaliptasa,	ইউক্লিপ্লট,	ইউক্যালিপ্টাস,	
papri,	পাপ্রী,	পাপরি,	
jerokom,	জেরোকম,	যেরকম,	
phirth,	ফির্থ,	ফার্থ,	
jeebonnogor,	জীবন্যগর,	জীবননগর,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
daakticket,	ডাক্িকেত,	ডাকটিকিট,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
rayyaleti,	রায্যালটি,	রয়্যালটি,	
rothin,	রথিন,	রথীন,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
doonata,	দোনতা,	ডোনাট,	
somaazer,	সমাজের,	সমাজের,	
harysher,	হররিসের,	হ্যারিসের,	
bhushi,	ভুষি,	ভুষি,	
kousholgoto,	কৌশলত,	কৌশলগত,	
enjineerinj,	এঞ্জিনারিং,	ইঞ্জিনিয়ারিং,	
shoori,	শুরি,	সুরি,	
dip,	ডিপ,	দীপ,	
sikhechi,	শিখেছি,	শিখেছি,	
uinndo,	উইন্ডো,	উইন্ডো,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
ekmot,	একমত,	একমত,	
heze,	হেজে,	হেজ,	
songosthatir,	সংস্থতির,	সংস্থাটির,	
bhenisa,	ভেনিস,	ভেনিস,	
nikote,	নিকটে,	নিকটে,	
bhor,	ভোর,	ভর,	
tirmizi,	তিরমিযী,	তিরমিজি,	
aparagata,	অপরগগত,	অপারগতা,	
vatar,	ভাটার,	ভাতার,	
jathartho,	যথার্থ,	যথার্থ,	
bhaibonera,	ভাবনেরা,	ভাইবোনেরা,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
udor,	উদর,	উদর,	
pujita,	পুজিতা,	পূজিতা,	
geza,	গেজ,	গেজ,	
yaak,	যাক,	ইয়াক,	
craze,	ক্রেজ,	ক্রেজ,	
sanbadmadhyamer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
elakatike,	ইলাকাটিকে,	এলাকাটিকে,	
ptolemir,	প্টলেমির,	টলেমির,	
loker,	লোকের,	লকের,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
asiatic,	অশিয়াটিক,	এশিয়াটিক,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
janosamaj,	জনসমাজ,	জনসমাজ,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
antarctikar,	অন্তর্কাতিকর,	অ্যান্টার্কটিকার,	
phartha,	ফ্যার্থ,	ফার্থ,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
onkeeta,	অংকেতা,	অঙ্কিতা,	
probeshan,	প্রবেশন,	প্রবেশন,	
jerakam,	জেরকম,	যেরকম,	
male,	মাল,	মালে,	
timathy,	টিমাথি,	টিমোথি,	
malish,	মালিশ,	মালিশ,	
joruri,	জরুরী,	জরূরী,	
brake,	ব্রাকে,	ব্রেক,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
vabani,	ভবনী,	ভবানী,	
vagni,	ভাগ্নী,	ভগ্নী,	
futbolarra,	ফুটলালাররা,	ফুটবলাররা,	
juktorashtrasaha,	যুক্তরাস্তস,	যুক্তরাষ্ট্রসহ,	
dhwajbhanga,	ধ্বজ্বঙ্গ,	ধ্বজভঙ্গ,	
anchalti,	অ্যাঞ্চলটি,	অঞ্চলটি,	
naditir,	নদীতীর,	নদীটির,	
unit,	ইনিত,	ইউনিট,	
pancbaar,	পাঁচবার,	পাঁচবার,	
purohitder,	পুরুহীদদের,	পুরোহিতদের,	
kanshat,	কান্াত,	কানসাট,	
chon,	চন,	ছোঁ,	
ishtara,	ইস্টার,	ইস্টার,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
bhenis,	ভেনিস,	ভেনিস,	
tonga,	তঙ্গা,	টোঙ্গা,	
samanya,	সোমান্য,	সামান্য,	
zeebonjapon,	জীবন্যাপন,	জীবনযাপন,	
raiter,	রাইটের,	রাইটের,	
pallar,	পললার,	পাল্লার,	
bharpur,	ভারপুর,	ভরপুর,	
tukrokey,	টুক্রকে,	টুকরোকে,	
sukumaree,	সুকুমারী,	সুকুমারী,	
jatharthobhabe,	যথারথভাবে,	যথার্থভাবে,	
templete,	ট্মাপ্লটে,	টেম্পলেট,	
hul,	হুল,	হুল,	
hijriite,	হিজরিতে,	হিজরীতে,	
bosonto,	বসন্ত,	বসন্ত,	
deliver,	ডিলিভের,	ডেলিভার,	
jandrel,	জন্ড্রেল,	জাঁদরেল,	
mausum,	মসুম,	মৌসুম,	
proshadhoni,	প্রশাধনী,	প্রসাধনী,	
madhobi,	মাধবী,	মাধবীর,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
brindaboner,	বৃণ্দাবনের,	বৃন্দাবনের,	
oshamonjosshoporno,	অসম্পচাসন্পর্ন,	অসামঞ্জস্যপূর্ণ,	
nirgaman,	নির্গমান,	নির্গমন,	
sawom,	সভম,	সাওম,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
sohinsotar,	সহিনসততার,	সহিংসতার,	
mahasabha,	মহাসভা,	মহাসভা,	
bonsho,	বংশ,	বংশ,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
gorrer,	গরের,	গোরের,	
kandey,	কান্ডে,	কাণ্ডে,	
teknokret,	টেকনোক্রেট,	টেকনোক্র্যাট,	
daaktikit,	ডাক্িিকিট,	ডাকটিকিট,	
bilati,	বিলাটি,	বিলাতী,	
oncholsoho,	অঞ্চলসস,	অঞ্চলসহ,	
farid,	ফরিদ,	ফরিদ,	
chess,	চেজ,	চেস,	
pachchen,	পাচ্ছেন,	পাচ্ছেন,	
celinar,	সেলিনার,	সেলিনার,	
bodhir,	বোধির,	বধির,	
noren,	নরেন,	নরেন,	
dibate,	দিবতে,	ডিবেট,	
senior,	সেনিয়র,	সিনিয়র,	
sotorkokaree,	সতর্তকারী,	সতর্ককারী,	
chhatrorai,	ছাত্রইাই,	ছাত্ররাই,	
probhuder,	প্রভূদের,	প্রভুদের,	
nathivooktir,	নথিভুক্তির,	নথিভুক্তির,	
chondrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
bhorodwaj,	ভররদাজ,	ভরদ্বাজ,	
onkar,	অঙ্কার,	ওঙ্কার,	
taitela,	টাইটেল,	টাইটেল,	
opargota,	অপরগত,	অপারগতা,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
oswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
anisha,	অনিশ,	আনিস,	
ralph,	রলফ,	রালফ,	
jonmat,	জন্মাত,	জন্মাত,	
tookrotey,	টুক্রটে,	টুকরোতে,	
nagorik,	নাগরিক,	নাগরিক,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
asabhya,	অস্য,	অসভ্য,	
kredit,	ক্রাদিত,	ক্রেডিট,	
direqtareta,	ডিরেক্টররেট,	ডিরেক্টরেট,	
prothake,	প্রথাকে,	প্রথাকে,	
vogiroth,	ভগীরথ,	ভগীরথ,	
gazeetteed,	গজাতেট,	গেজেটেড,	
modeler,	মোদেলের,	মডেলের,	
addhatikota,	আধ্ধাতিকতা,	আধ্যাত্মিকতা,	
brindaaboner,	বৃণ্দাবনের,	বৃন্দাবনের,	
balabhadra,	বলভদ্র,	বলভদ্র,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
falasrutite,	ফলস্রুটিতে,	ফলশ্রুতিতে,	
prakalpeo,	প্রকাল্পেও,	প্রকল্পেও,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
biseshyer,	বিশেষ্যের,	বিশেষ্যের,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
homes,	হোমস,	হোমস,	
aholyar,	আহল্যার,	অহল্যার,	
fartha,	ফার্থ,	ফার্থ,	
upobasi,	উপবাসী,	উপবাসী,	
bohal,	বোহাল,	বহাল,	
sarjur,	সার্যুর,	সরযূর,	
dhaleshwari,	ধালেশ্বরী,	ধলেশ্বরী,	
istara,	ইস্টার,	ইস্টার,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
source,	সোর্স,	সোর্স,	
harees,	হারিস,	হ্যারিস,	
akmat,	একমাত,	একমত,	
mojdur,	মজদুর,	মজদুর,	
gonna,	গন্যা,	গননা,	
iuroo,	ইউরো,	ইউরো,	
gunje,	গাঞ্জ,	গুঁজে,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
pustir,	পুষ্টির,	পুষ্টির,	
necker,	নেকার,	নেকের,	
ganochien,	গ্যাচীন,	গণচীন,	
ulcer,	উল্সের,	আলসার,	
yankee,	যকনকি,	ইয়াংকি,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
rigthter,	রিথতের,	রাইটের,	
ritesh,	রাইটেস,	রিতেশ,	
batsmani,	বৎসমি,	ব্যাটসম্যানই,	
addabaaj,	আদ্াবাজ,	আড্ডাবাজ,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
stanehenge,	স্টেনেহ্জে,	স্টোনহেঞ্জ,	
murli,	মুর্লি,	মুরলী,	
dhouto,	ধাউত,	ধৌত,	
bishad,	বিশদ,	বিষদ,	
lesensim,	লেজেন্সিং,	লাইসেন্সিং,	
tottoraat,	তত্তরাত,	তওরাত,	
ponero,	পনেরও,	পনের,	
suparahiro,	সুপারাহীর,	সুপারহিরো,	
mawdel,	মদদল,	মডেল,	
jar,	যার,	জ্বর,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
bipojjonok,	বিপদজ্জনক,	বিপজ্জনক,	
superheroo,	সুপারেরু,	সুপারহিরো,	
elakaa,	ইলাকা,	এলাকা,	
azadeer,	আজাদীর,	আজাদীর,	
chanoo,	চানু,	চানু,	
arifin,	আরিফিন,	আরিফিন,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
gojano,	গজনন,	গজানো,	
cakee,	কেক,	কেকে,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
gaujano,	গৌজান,	গজানো,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
cal,	কল,	চাল,	
aachhis,	আচিশ,	আছিস,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
sammatitey,	সম্মতটিতে,	সম্মতিতে,	
prothakey,	প্রথাকে,	প্রথাকে,	
charjer,	চার্যের,	চার্জার,	
chesa,	চেস,	চেস,	
elakayi,	এলাকাই,	এলাকাই,	
procharona,	প্রচারনা,	প্রচারণা,	
wenom,	ওয়নম,	ভেনম,	
shomoshto,	সমস্ত,	সমস্ত,	
deaubande,	ডিউন্ডে,	দেওবন্দে,	
poscate,	পশ্চাতে,	পশ্চাতে,	
gunjey,	গুঁজে,	গুঁজে,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
udvabani,	উদ্ভবানী,	উদ্ভাবনী,	
sotorkota,	সর্তকতা,	সতর্কতা,	
munsi,	মুনশি,	মুন্সি,	
peengnaa,	পেঙ্গ্ন,	পিংনা,	
deejijer,	দিজিজের,	ডিজিজের,	
anchaltite,	অ্যাঞ্চলটিতে,	অঞ্চলটিতে,	
ukeliptas,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
naobihar,	নৌবিহর,	নৌবিহার,	
cholochchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
tateo,	ততেও,	তাতেও,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
indra,	ইন্দ্র,	ইন্দ্র,	
besinay,	বেশিনে,	বেসিনে,	
site,	সাইট,	সিটে,	
danaber,	দানবের,	দানবের,	
mangolic,	মঙ্গোলিক,	মাঙ্গলিক,	
nirmol,	নির্মল,	নির্মল,	
uponishoder,	উপনিশদের,	উপনিষদের,	
windo,	উইন্ডো,	উইন্ডো,	
dhonni,	ধন্নি,	ধন্যি,	
shooter,	শুটের,	শ্যুটার,	
shepherd,	সেফার্ড,	শেফার্ড,	
keui,	কিউই,	কেউই,	
wenis,	উইনিস,	ভেনিস,	
shhikara,	শিকার,	শিকার,	
rajotwo,	রাজত্ব,	রাজত্ব,	
besur,	বেশুর,	বেসুর,	
scoore,	স্কুর,	স্কোর,	
ewer,	ইভার,	এভার,	
hoola,	হোল,	হোল,	
haila,	হইল,	হইল,	
danober,	দানবের,	দানবের,	
podarthobidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
gora,	গোর,	গোর,	
merjito,	মার্জিত,	মার্জিত,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
seconder,	সেকন্ডের,	সেকেন্ডের,	
ballrum,	বললুরাম,	বলরুম,	
abheedhaneek,	আভিধানিক,	অভিধানিক,	
yura,	ইউর,	ইউরো,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
smarak,	স্মরাক,	স্মারক,	
haldim,	হোলদিম,	হোল্ডিং,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
roktokkhorone,	রক্তক্ষণগণে,	রক্তক্ষরণে,	
krusher,	ক্রাসের,	ক্রুশের,	
reefleex,	রেফেলিস্স,	রিফ্লেক্স,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
leaders,	লিডার্স,	লিডার্স,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
ganonanatto,	গণনানতত্য,	গণনাট্য,	
salphat,	সল্াত,	সালফেট,	
musalmanyi,	মুসলমানী,	মুসলমানই,	
amarendra,	আমরেন্দ্র,	অমরেন্দ্র,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
bouddher,	বদদ্ধের,	বৌদ্ধের,	
inafarameshana,	ইনফররমেশন,	ইনফরমেশন,	
alangkoron,	অলঙ্করণ,	অলঙ্করণ,	
suma,	সুম,	সুমো,	
daakticketer,	ডাক্িকেতের,	ডাকটিকিটের,	
ponni,	পন্নি,	পন্নী,	
rah,	রা,	রঃ,	
riphleksa,	রিফেল্স,	রিফ্লেক্স,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
mojuter,	মজুতের,	মজুতের,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
toronee,	তরণী,	তরণী,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
jony,	জনি,	জনি,	
hosney,	হসনে,	হোসনে,	
pothnatok,	পথ্নতাক,	পথনাটক,	
chheelona,	ছেলন,	ছিলনা,	
siter,	সীতের,	সিটের,	
cheentaikari,	চিন্তাকারী,	ছিনতাইকারী,	
debdebi,	দেবদেবী,	দেবদেবী,	
onupater,	অনুপাতের,	অনুপাতের,	
akkash,	একাশ,	আককাস,	
hajarti,	হজরটি,	হাজারটি,	
chhatto,	ছত্ট,	ছোট্ট,	
prakalpoguli,	প্রকালপুলি,	প্রকল্পগুলি,	
nikot,	নিকট,	নিকট,	
tiger,	টিগের,	টাইগার,	
heriken,	হেরিকেন,	হ্যারিকেন,	
elgoridom,	এলগারিডোম,	এলগরিদম,	
fixing,	ফাইসিক,	ফিক্সিং,	
ancholtee,	অ্যাঞ্চলটি,	অঞ্চলটি,	
kkunti,	কুনটি,	কুন্তী,	
bheenama,	ভিনাম,	ভেনম,	
komtee,	কমটি,	কমতি,	
utpatti,	উৎপত্তি,	উতপত্তি,	
serup,	সিরূপ,	সেরূপ,	
dharati,	ধারতি,	ধারাটি,	
ghamtaa,	ঘামটা,	ঘোমটা,	
pirujali,	পিরুজালি,	পিরুজালী,	
ashamorthito,	অস্মর্থিত,	অসমর্থিত,	
gajee,	গাজী,	গেজ,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
sharif,	শরীফ,	শরিফ,	
sanaktakaran,	সনাক্তকাণ,	সনাক্তকরণ,	
osoborno,	অসবর্ন,	অসবর্ণ,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
chalochchitraeeo,	চলচ্চিত্র্য,	চলচ্চিত্রেও,	
otyacharer,	অট্যাচারের,	অত্যাচারের,	
masharraf,	মাশাররফ,	মশাররফ,	
crecenter,	ক্রিকেন্টের,	ক্রিসেন্টের,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
bhabotarini,	ভাবতারিণী,	ভবতারিণী,	
bhuushito,	ভূসিত,	ভূষিত,	
gudamjaato,	গুদম্জাত,	গুদামজাত,	
juktorashtrosaha,	যুক্তরাস্তস,	যুক্তরাষ্ট্রসহ,	
amorendra,	আমরেন্দ্র,	অমরেন্দ্র,	
poscime,	পশ্চিমে,	পশ্চিমে,	
giitikobita,	গীতিকাবিত,	গীতিকবিতা,	
janasangjog,	জনসংযোগ,	জনসংযোগ,	
shringgey,	শৃঙ্গে,	শৃঙ্গে,	
upcharzo,	উপচর্য,	উপাচার্য,	
shektor,	সেকটার,	সেক্টর,	
shiramikasha,	শিরামিকাশ,	সিরামিকস,	
samratder,	সমরতদের,	সম্রাটদের,	
abhidhaaner,	অভিধানের,	অভিধানের,	
krechi,	ক্রেছি,	করেছি,	
joistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
karmakarer,	কর্মকারের,	কর্মকারের,	
chhanee,	ছানি,	ছানি,	
gorjon,	গর্জন,	গর্জন,	
obdi,	অবি,	অব্দি,	
neeshanasa,	নেশনস,	নেশনস,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
groth,	গ্রথ,	গ্রোথ,	
antarcticar,	অন্টার্কোটিকর,	অ্যান্টার্কটিকার,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
idipasha,	ইডিপাশ,	ইডিপাস,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
torkaryr,	তরকারির,	তরকারীর,	
bosonte,	বসনতে,	বসন্তে,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
bhotarer,	ভোটারের,	ভোটারের,	
doorger,	দর্গের,	দুর্গের,	
saainyo,	সাইন্য,	সৈন্য,	
ohang,	ওহাঙ,	অহং,	
inastyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
boonot,	বুনত,	বুনট,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
restuarant,	রেস্টোরেন্ট,	রেষ্টুরেন্ট,	
palbongser,	পালববসের,	পালবংশের,	
shaannaal,	সান্নাল,	সান্যাল,	
karater,	করাতের,	কারাতের,	
phooloo,	ফুলু,	পোলো,	
stonaheenja,	স্টোনাহিজ্ঞা,	স্টোনহেঞ্জ,	
daaradaa,	দারাদা,	দারদা,	
sangkalaner,	সঙ্কলনের,	সংকলনের,	
phoxkon,	ফক্ষণ,	ফক্সকন,	
sahojlovyotar,	সহজ্লভ্যতার,	সহজলভ্যতার,	
shpreadshheet,	স্প্রাইডেস,	স্প্রেডশীট,	
kormoke,	কর্মকে,	কর্মকে,	
nisad,	নিঃাদ,	নিষাদ,	
suchanakal,	সুচনাকাল,	সূচনাকাল,	
bondi,	বন্দি,	বন্দী,	
transformerer,	ট্রান্সমোর্ার,	ট্রান্সফরমারের,	
amarjita,	অমর্জিত,	অমার্জিত,	
mosjidke,	মশ্িদদকে,	মসজিদকে,	
creshcent,	ক্রেস্সেন্ট,	ক্রিসেন্ট,	
taale,	তালে,	তালে,	
korimer,	করিমের,	করিমের,	
tulechen,	তুলেছেন,	তুলেছেন,	
abhijojan,	অভিযোজন,	অভিযোজন,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
kooshumba,	কুসুম্ব,	কুশুম্বা,	
spashtotai,	স্পষ্টতাই,	স্পষ্টতই,	
pala,	পাল,	পোলো,	
meghey,	মেঘে,	মেঘে,	
idaning,	আডোনিং,	ইদানিং,	
uruu,	উরু,	উরু,	
hiranee,	হিরণী,	হিরানি,	
stoone,	স্টুনে,	স্টোন,	
iyanqi,	আইনকি,	ইয়াংকি,	
asbab,	আসবাব,	আসবাব,	
heart,	হার্ট,	হার্ট,	
spredashiita,	স্প্যাডারসিট,	স্প্রেডশীট,	
gabeshanar,	গবেষণার,	গবেষনার,	
nirapekkhotaar,	নিরাপ্রক্ষতার,	নিরপেক্ষতার,	
cholochchitraeei,	চলচ্চিত্রই,	চলচ্চিত্রেই,	
sahozlabhbhotar,	সহজাতভভবতার,	সহজলভ্যতার,	
shastra,	শস্ত্র,	শাস্ত্র,	
chhooti,	ছুটি,	ছুটি,	
gyate,	জ্ঞাতে,	গ্যেটে,	
haridware,	হরিদ্বরে,	হরিদ্বারে,	
atma,	আত্মা,	আত্ম,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
bypass,	বিপাস,	বাইপাস,	
gondho,	গন্ধ,	গন্ধ,	
neshnos,	নেশনোস,	নেশনস,	
sharoker,	স্বারকের,	স্মারকের,	
aidii,	আইডি,	আইডিই,	
nama,	নাম,	নমো,	
michilti,	মিচিলটি,	মিছিলটি,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
bolatkar,	বলাটকার,	বলাৎকার,	
bhartuky,	ভার্তুকি,	ভর্তুকি,	
shchalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
porizon,	পরিজন,	পরিজন,	
tookroke,	টুক্রকে,	টুকরোকে,	
toroonra,	ত্রুণরা,	তরুণরা,	
ooipokar,	অপ্যকার,	উইপোকার,	
sastra,	সস্ত্র,	শাস্ত্র,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
addhatikotar,	আধ্ধাতিকতার,	আধ্যাত্মিকতার,	
sainyo,	সৈন্য,	সৈন্য,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
udbodhaner,	উদ্ধোানের,	উদ্বোধনের,	
cinematographar,	সিনোনাম্টারাফর,	সিনেমাটোগ্রাফার,	
conshervation,	কনজারশেশন,	কনসারভেশন,	
bade,	বদে,	বাদে,	
prabhuder,	প্রভূদের,	প্রভুদের,	
uponisoder,	উপনিষদের,	উপনিষদের,	
hizrite,	হিজরিতে,	হিজরীতে,	
pooroheetder,	পুরোহিতদের,	পুরোহিতদের,	
iura,	ইউরো,	ইউরো,	
sarboshokteeman,	সর্বস্কতিনা,	সর্বশক্তিমান,	
aarmstrong,	আর্্স্টরর,	আর্মস্ট্রং,	
marmader,	মারমাদের,	মারমাদের,	
karmopontha,	কর্মপন্থা,	কর্মপন্থা,	
sbaajaner,	সবজনের,	স্বজনের,	
mausumeo,	মসসমেও,	মৌসুমেও,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
osthishondhi,	অস্থিশন্ধি,	অস্থিসন্ধি,	
heris,	হিরিশ,	হ্যারিস,	
wenish,	বৈনিশ,	ভেনিস,	
vasturyi,	বস্তুরই,	বস্তুরই,	
chhon,	ছন,	ছোঁ,	
techno,	টেকনো,	টেকনো,	
farider,	ফরিদের,	ফরিদের,	
agiboner,	আগগবনের,	আজীবনের,	
ghese,	ঘেসে,	ঘেঁষে,	
daroda,	দারদা,	দারদা,	
emergency,	এমার্জেন্সি,	এমার্জেন্সি,	
ministar,	মিনিস্টর,	মিনিস্টার,	
gabhaaskaar,	গভাস্কার,	গাভাস্কার,	
nesans,	নেশাস,	নেশনস,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
natians,	নটিশন্স,	নেশনস,	
dera,	দেরা,	ডেরা,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
shailee,	সেলি,	শৈলী,	
mutar,	মুটার,	মুতার,	
break,	ব্রিক,	ব্রেক,	
