aatto,	আত্ত্ব,	আত্ম,	
estaniya,	এস্টানিয়া,	এস্তোনিয়া,	
goodamjato,	গুদাম্যত,	গুদামজাত,	
poricchonnota,	পরিচাঁনাত,	পরিচ্ছন্নতা,	
cal,	কল,	চাল,	
folo,	ফল,	পোলো,	
augustin,	অগাস্টিং,	অগাস্টিন,	
gazipur,	গাজীপুর,	গাজীপুর,	
falkati,	ফলককতি,	ফলকটি,	
aro,	অরো,	আরও,	
chef,	চেফ,	শেফ,	
mathews,	ম্যাথে,	ম্যাথিউস,	
hypar,	হিপার,	হাইপার,	
tuner,	টানের,	টিউনার,	
sucre,	সুক্রে,	সাকার,	
sazano,	সাজান,	সাজানো,	
natshi,	নাৎসি,	নাত্সি,	
leder,	লেডের,	লিডার,	
hariner,	হ্যারিনের,	হরিণের,	
tenise,	টেনিসে,	টেনিসে,	
anisha,	অনিষা,	আনিস,	
gardeen,	গর্্ডিন,	গার্ডেন,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
sansthagulo,	সংস্থাযুলো,	সংস্থাগুলো,	
jubokra,	যুব্রা,	যুবকরা,	
plane,	প্লেন,	প্লেন,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
pchok,	পাক,	পাচক,	
saahosikotar,	সাশিক্ষতর,	সাহসিকতার,	
gonesher,	গণেষের,	গণেশের,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
eidaning,	এইডন্ং,	ইদানীং,	
samosher,	সমসেযের,	সমশের,	
sift,	সিফ্ট,	শিফট,	
shayanaida,	সাযানিড,	সায়ানাইড,	
valobasakey,	ভালবাসাকে,	ভালোবাসাকে,	
shima,	সিমা,	সীমা,	
modele,	মোদেলে,	মডেলে,	
uttor,	উত্তর,	উওর,	
moomtajer,	মুম্তাজের,	মুমতাজের,	
daltagi,	দলত্গাগী,	দলত্যাগী,	
jatota,	যতটা,	যতোটা,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
garmanyteo,	জার্মানিতে,	জার্মানিতেও,	
taimash,	টাইমস,	টাইমস্,	
baireyo,	বৈরেও,	বাইরেও,	
parqa,	পার্কা,	পার্ক,	
ibhil,	ইভিল,	ইভিল,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
surakarder,	সুরকারদেদের,	সুরকারদের,	
artilary,	অর্টিলারি,	আর্টিলারি,	
beeswasoo,	বিশ্বস্ব,	বিশ্বাসও,	
poscime,	পশ্চিমে,	পশ্চিমে,	
roomantik,	রোমানাত্তিক,	রোমান্টিক,	
vittiteo,	ভিত্তেও,	ভিত্তিতেও,	
saabyastha,	সাব্যাস্থ,	সাব্যস্থ,	
gabeshakgon,	গবেষণাভান,	গবেষকগণ,	
jaj,	যজ,	জাজ,	
aaloteo,	আলোতেও,	আলোতেও,	
abadamaner,	অবদানের,	অবদমনের,	
nodnodir,	নদন্দির,	নদনদীর,	
deraa,	দেরা,	ডেরা,	
hajirhat,	হাজীরহাট,	হাজিরহাট,	
pare,	পারে,	পাড়ে,	
chitranattakar,	চিত্রনাট্রার,	চিত্রনাট্যকার,	
bodqa,	বোমকা,	ভদকা,	
sharoker,	সরকের,	স্মারকের,	
laagto,	লাগত,	লাগতো,	
hijrite,	হিজরিতে,	হিজরীতে,	
leader,	লেডের,	লিডার,	
delibhara,	ডেলিভার,	ডেলিভার,	
onker,	অঙ্কের,	ওঙ্কার,	
kaley,	কালে,	কালে,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
atorkitey,	অ্যাটারিকে,	অতর্কিতে,	
dokangoolote,	দককনগুলোতে,	দোকানগুলোতে,	
ojowno,	অযোন্য,	অযৌন,	
unhu,	উনু,	উঁহু,	
bagdad,	বাগ্ডাদ,	বাগদাদ,	
golpokar,	গল্পকার,	গল্পকার,	
vaskor,	ভা্্কোর,	ভাস্কর,	
paikgacha,	পাকগাছা,	পাইকগাছা,	
sikkhakbrindo,	শিক্ষাব্র্ণ,	শিক্ষকবৃন্দ,	
chirokumari,	চিরকমুরি,	চিরকুমারী,	
chitronatyokar,	চিত্রনাট্যার,	চিত্রনাট্যকার,	
foxkon,	ফক্ন,	ফক্সকন,	
ruvbla,	রাভ্লা,	রুবল,	
noubihar,	নৌবাহার,	নৌবিহার,	
choudhurider,	চৌধুদিদের,	চৌধুরীদের,	
amarica,	অ্যামিরাক,	আমেরিকা,	
rathin,	রথীন,	রথীন,	
herfer,	হার্কার,	হেরফের,	
jater,	যাতের,	জাতের,	
cuti,	কুটি,	কিউটি,	
baraakpur,	ব্যারাকপুর,	বারাকপুর,	
upostheet,	উপস্থিত,	উপস্থিত,	
horiner,	হরিনের,	হরিণের,	
boopon,	বোপন,	বপন,	
bhenis,	ভেনিস,	ভেনিস,	
jonopoth,	জনপথ,	জনপথ,	
oshtader,	অস্টাদের,	ওস্তাদের,	
ovishongshon,	অভিশাসস্ন,	অভিশংসন,	
jerushalema,	জেরসলাইমা,	জেরুসালেম,	
lutharana,	লুথরান,	লুথেরান,	
nagorik,	নাগরিক,	নাগরিক,	
arifin,	আরিফিং,	আরিফিন,	
donata,	ডোনত,	ডোনাট,	
jokrito,	যকৃত,	যকৃৎ,	
sinakey,	সিনাকে,	সিনাকে,	
shabnam,	শাব্ম,	শবনম,	
bonoshree,	বনসোর্,	বনশ্রী,	
harbourey,	হার্বুরে,	হারবারে,	
venkotesh,	ভেনকটে,	ভেঙ্কটেশ,	
velcome,	ভেলকোয়ে,	ওয়েলকাম,	
ghensha,	ঘেন্স,	ঘেঁষা,	
urur,	উরুর,	উরুর,	
matt,	ম্যাট,	ম্যাট,	
tachnach,	তচ্চাঁচ,	তছনছ,	
nabyota,	নব্যতা,	নাব্যতা,	
besirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
bhiqtara,	ভিক্টর,	ভিক্টর,	
koomari,	কোমারি,	কুমারী,	
qraima,	ক্র্যাম,	ক্রাইম,	
abheedhaaneek,	অভিধানকি,	অভিধানিক,	
srichoitonnodeb,	শ্রীচৈতন্যে,	শ্রীচৈতন্যদেব,	
sikarder,	শিকর্ডের,	শিকারদের,	
bukhari,	বুখারী,	বুখারি,	
serup,	সেরুপ,	সেরূপ,	
chess,	চেজ,	চেস,	
hoil,	হইল,	হইল,	
chaber,	চবের,	চাবির,	
shaahaabaah,	সাহাবা,	সাহাবাহ,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
dayitwa,	দৈত্য,	দায়িত্ব,	
chhooti,	ছুটি,	ছুটি,	
ashamarthita,	অসমরর্ত,	অসমর্থিত,	
andamana,	আন্দম্না,	আন্দামান,	
vaibonera,	ভাবনের,	ভাইবোনেরা,	
mascat,	মাসকাট,	মাস্কাট,	
probeshon,	প্রবেশন,	প্রবেশন,	
satarka,	সাতরক,	সতর্ক,	
shaswato,	শাস্ত,	শাশ্বত,	
lagic,	লাগিক,	লজিক,	
madhobeer,	মাধবীর,	মাধবীর,	
asabhyaa,	অসভ্যা,	অসভ্য,	
shikha,	শিখা,	শিখ,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
nabbata,	নব্বতা,	নাব্যতা,	
madhoori,	মধধুরি,	মাধুরী,	
diana,	ডিয়ান,	ডায়না,	
jwarer,	জ্বরের,	জ্বরের,	
hurricanee,	হার্কিন,	হ্যারিকেন,	
dhan,	ধান,	ধ্যান,	
gabeshanar,	গবেষণার,	গবেষনার,	
dovar,	ডোভার,	ডোভার,	
udbodhoney,	উদ্ধধনে,	উদ্বোধনে,	
maladobha,	মালাদোব,	মলদোভা,	
doonut,	দুনত,	ডোনাট,	
gronthotyke,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
sqarta,	স্কর্ট,	স্কার্ট,	
jounotar,	যৌনতার,	যৌনতার,	
photanor,	ফোটানোর,	ফোটানোর,	
bhenkates,	ভেকানেস,	ভেঙ্কটেশ,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
plate,	প্লটে,	প্লেট,	
abhishangson,	অভিষাংসন,	অভিশংসন,	
madhukori,	মধুকরি,	মাধুকরী,	
kromo,	ক্রোম,	ক্রম,	
torup,	তরুপ,	ট্রুপ,	
meloonborroner,	মেলনন্ররের,	মেলবোর্নের,	
baipash,	ব্যাপ্স,	বাইপাস,	
eukalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
goshthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
prottokhovabe,	প্রত্যাখাবে,	প্রত্যক্ষভাবে,	
ajeemke,	আজিমকে,	আজিমকে,	
shepherd,	সেফার্ড,	শেফার্ড,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
kemoney,	কেমনে,	কেমনে,	
phoster,	ফস্টের,	ফস্টার,	
spreadseet,	স্প্রেডটিস্ট,	স্প্রেডশীট,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
bhittiteo,	ভিত্তেও,	ভিত্তিতেও,	
udeechee,	উদিছে,	উদীচী,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
plainti,	প্লেন্টি,	প্লেনটি,	
oindrila,	ঐইন্দ্রেল,	ঐন্দ্রিলা,	
danata,	ডানত,	ডোনাট,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
siddhantogulo,	সিদ্ধানগুলো,	সিদ্ধান্তগুলো,	
mukhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
deepei,	ডিপেই,	দ্বীপেই,	
nobotom,	নবতম,	নবতম,	
shalook,	শালুক,	শালুক,	
nandolal,	নান্দললা,	নন্দলাল,	
directarate,	ডিরেক্টরেত,	ডিরেক্টরেট,	
aagera,	আগেরা,	আগোরা,	
moogdal,	মুগ্লা,	মুগডাল,	
shhyutara,	শ্যুতর,	শ্যুটার,	
drishyagulo,	দৃশ্যুগু,	দৃশ্যগুলো,	
vip,	ভিপ,	ভিআইপি,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
teestar,	টেস্টার,	তিস্তার,	
sumita,	সুমিত,	সুমিতা,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
eoki,	আকি,	এওকি,	
jeshtha,	জেষ্ঠ,	জ্যেষ্ঠা,	
lompot,	লম্পত্,	লম্পট,	
saafi,	সাফী,	সাফি,	
kiiborder,	কিবোরদের,	কীবোর্ডের,	
rajan,	রোন,	রাজন,	
taantira,	তান্তরি,	তাঁতিরা,	
uthhane,	উঠানে,	উঠানে,	
nutan,	নাটন,	নূতন,	
shaushage,	সাশোগে,	সসেজ,	
societyke,	সকিিতিকে,	সোসাইটিকে,	
moushumti,	মৌসম্তি,	মৌসুমটি,	
abhisongson,	অভিষংস্থান,	অভিশংসন,	
bufer,	বূফার,	বাফার,	
koruna,	করুনা,	করুণা,	
gabhaaskaar,	গভাসকার,	গাভাস্কার,	
minishtara,	মিনেস্টার,	মিনিস্টার,	
horiddar,	হরিদদ্রার,	হরিদ্বার,	
hartz,	হার্ট,	হার্জ,	
asabhya,	অসভ্য,	অসভ্য,	
vabnar,	ভাবরার,	ভাবনার,	
sidharther,	সিধার্থের,	সিদ্ধার্থের,	
janapoth,	জনপথ,	জনপথ,	
moshzidtike,	মস্যিদিতেকে,	মসজিদটিকে,	
charrjar,	চার্ড্র,	চার্জার,	
soori,	সুরি,	সুরি,	
dhaanche,	ধাঁচে,	ধাঁচে,	
bharma,	ভর্ম,	ভার্মা,	
bikargrasto,	বিকর্গস্থ,	বিকারগ্রস্ত,	
dalee,	দলে,	ডালে,	
jaatte,	যাত্তে,	জাতটি,	
jeebnagar,	জীব্ণাগর,	জীবননগর,	
biprodas,	বিপ্রদস্স,	বিপ্রদাস,	
rachonakal,	রচনাকাল,	রচনাকাল,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
kamla,	কমলা,	কামলা,	
phaksha,	ফক্স,	ফক্স,	
daaradaa,	দারাডা,	দারদা,	
jaatti,	যাত্তি,	জাতটি,	
kamola,	কমলা,	কামলা,	
juboksoho,	যুবস্হ,	যুবকসহ,	
mache,	মাছে,	মাছে,	
hamburg,	হ্যাম্্রাগ,	হামবুর্গ,	
birishirite,	বীরীশিরেত,	বিরিশিরিতে,	
puding,	পুডিং,	পুডিং,	
codey,	কোদে,	কোডে,	
chalochchitreo,	চলচ্চ্ত্র,	চলচ্চিত্রেও,	
koonti,	কুন্তি,	কুন্তী,	
oteeteo,	ওতিতেও,	অতীতেও,	
sachetonvabe,	সচেতত্যভাবে,	সচেতনভাবে,	
ibhila,	ইভিল,	ইভিল,	
jacq,	যাঁক,	জ্যাক,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
nagarikera,	নাগরিকেরা,	নাগরিকেরা,	
siddhantoi,	সিদ্ধানটি,	সিদ্ধান্তই,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
aalaa,	আলা,	আলা,	
dep,	ডেপ,	ডেপ,	
bhootara,	ভূটার,	ভোটার,	
obhaarbhiu,	অভার্ভি,	ওভারভিউ,	
rifleksa,	রাইফেক্স,	রিফ্লেক্স,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
naraphoqa,	নরফোক,	নরফোক,	
haran,	হারান,	হারান,	
heja,	হেজ,	হেজ,	
vool,	ভোল,	উল,	
bishwashoi,	বিশ্বাসী,	বিশ্বাসই,	
hoondayi,	হুন্ডাই,	হুন্দাই,	
ovizojon,	অভিযোজন,	অভিযোজন,	
hitakar,	হিটাকার,	হিতকর,	
meiler,	মেলের,	মেইলের,	
somraatder,	সম্রার্যের,	সম্রাটদের,	
ekoghoore,	একঘুরে,	একঘরে,	
shannal,	সান্নাল,	সান্যাল,	
krusher,	ক্রসের,	ক্রুশের,	
apadan,	আপদান,	অপাদান,	
patka,	পাঠকা,	পটকা,	
dooburira,	ডাবুরিরা,	ডুবুরিরা,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
aparogata,	অপরাগত,	অপারগতা,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
sekarane,	সেকারোন,	সেকারণে,	
talaal,	তলল,	তালাল,	
argho,	অর্ঘ,	অর্ঘ্য,	
provur,	প্রভূর,	প্রভুর,	
robot,	রোবট,	রোবোট,	
jhijhi,	ঝিউই,	ঝিঝি,	
meshenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
associatees,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
modeley,	মোদেলে,	মডেলে,	
muscut,	মাসকাট,	মাস্কাট,	
cholechi,	চলেছি,	চলেছি,	
sahopathike,	সহপাতে,	সহপাঠীকে,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
canflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
lishenshe,	লিসনেস,	লাইসেন্স,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
saajano,	সাজান,	সাজানো,	
palashir,	পলাসির,	পলাশীর,	
superheira,	সুপারেরা,	সুপারহিরো,	
boshoborty,	বসবার্তী,	বশবর্তী,	
porishromi,	পরিস্রমী,	পরিশ্রমী,	
utshahe,	উত্সাহে,	উৎসাহে,	
pharanyata,	ফরন্যত,	ফরম্যাট,	
sacheton,	সচেন,	সচেতন,	
hocker,	হকির,	হুকার,	
fareksa,	ফরেক্স,	ফরেক্স,	
katbey,	কাটবে,	কাটবে,	
gejeted,	গেজেটেড,	গেজেটেড,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
chargar,	চার্গর,	চার্জার,	
musalmanyi,	মুসলামনি,	মুসলমানই,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
torabganj,	তরবঙ্গ্ন,	তোরাবগঞ্জ,	
porjotoker,	পর্যটকের,	পর্যটকের,	
awnurbor,	অনুর্বর,	অনুর্বর,	
torabgonj,	তরবঙ্গ্,	তোরাবগঞ্জ,	
bhagini,	ভাগ্নীনী,	ভগিনী,	
shainyara,	সাইন্যার,	সৈন্যরা,	
bhyatikaner,	ভ্যাতকেনের,	ভ্যাটিকানের,	
dobhara,	দোভারা,	ডোভার,	
netsi,	নেটসি,	নাত্সি,	
kanaphlikta,	কনলাল্ক্ট,	কনফ্লিক্ট,	
teuning,	টেউনিং,	টিউনিং,	
myakbeth,	ম্যাক্েে,	ম্যাকবেথ,	
satarkokari,	সরতকরককাই,	সতর্ককারী,	
natsi,	নাৎসি,	নাত্সি,	
bachai,	বাঁচাই,	বাছাই,	
choudhoorike,	চৌধুদিরে,	চৌধুরীকে,	
tarabaina,	তরবাবিয়ান,	টারবাইন,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
nodiitir,	নদীতীর,	নদীটির,	
mailkhanek,	মেল্কনেক,	মাইলখানেক,	
kredita,	ক্রেডিত,	ক্রেডিট,	
dijnii,	দিজনি,	ডিজনী,	
baarnish,	বার্নিং,	বার্নিশ,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
siitei,	সীতেই,	শীতেই,	
dhyaan,	ধ্যান,	ধ্যান,	
surke,	সার্ক,	সুরকে,	
mahibur,	মহহিবুর,	মহিবুর,	
karlei,	করলেই,	করলেই,	
masjidti,	মস্গীদ্তি,	মসজিদটি,	
samajeri,	সমাজারী,	সমাজেরই,	
hola,	হলা,	হোল,	
sollallhoo,	সলল্ল্ল্ল্,	সল্লাল্লাহু,	
radhanogor,	রাধাগাগোর,	রাধানগর,	
asiatic,	অস্তিতিক,	এশিয়াটিক,	
valapuk,	ভালাপকূ,	ভোলাপুক,	
proteemar,	প্রতিমার,	প্রতিমার,	
jakser,	যক্ষের,	যক্ষের,	
basturoi,	বস্তুরই,	বস্তুরই,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
chittronatyokar,	চিত্রনাট্যার,	চিত্রনাট্যকার,	
shikh,	শিখ,	শিখ,	
votarer,	ভোতরের,	ভোটারের,	
hoteltee,	হটেলটি,	হোটেলটি,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
tiner,	তিনের,	তিনের,	
mandope,	মন্ডপে,	মন্ডপে,	
eshokol,	এসকোল,	এসকল,	
ashonkai,	আসংকাই,	আশঙ্কাই,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
prodiip,	প্রদিিপ,	প্রদীপ,	
parbatya,	পার্বত্য,	পার্বত্য,	
sudrissho,	সাদৃশ্য,	সুদৃশ্য,	
saramiks,	সারমিক,	সিরামিকস,	
baasaate,	বাসাতে,	বাসাতে,	
ateeteo,	আটিতেও,	অতীতেও,	
loukikataa,	লৌকিকাা,	লৌকিকতা,	
cholochchitrai,	চলচ্ত্রিতে,	চলচ্চিত্রই,	
michhilti,	মিছিলিত,	মিছিলটি,	
poster,	পোস্টার,	পোস্টের,	
sarolyo,	সাল্ল,	সারল্য,	
rilayeensa,	রিল্যান্স,	রিলায়েন্স,	
mondope,	মন্ডপে,	মন্ডপে,	
omeettrakkhor,	অমিতপ্রস্কর,	অমিত্রাক্ষর,	
bojhey,	বোঝে,	বোঝে,	
uthey,	উঠে,	উঠে,	
groowth,	গ্রুথ,	গ্রোথ,	
sobrakomer,	শব্রকমের,	সবরকমের,	
kemonay,	কেমনে,	কেমনে,	
nutoner,	নূটনের,	নূতনের,	
thyachar,	থ্যাচার,	থ্যাচার,	
manbe,	মননবে,	মানবে,	
asamorik,	আসমররিক,	অসামরিক,	
adbhansed,	অড্বন্সেড,	অ্যাডভান্সড,	
shkalastic,	স্কাল্স্টিক,	স্কলাস্টিক,	
ovigomon,	অভিযমন,	অভিগমন,	
shudhui,	শুধু,	শুধুই,	
injil,	ইঞ্জেল,	ইঞ্জিল,	
harbar,	হার্ার,	হারবার,	
wagadada,	ওগগাদা,	বাগদাদ,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
maudelgulo,	মদ্ডলুুলো,	মডেলগুলো,	
joneser,	জননের,	জোন্সের,	
nirdeshika,	নির্দেশক,	নির্দেশিকা,	
daaloo,	ডালু,	ডালু,	
lakkheryo,	লক্ষেরও,	লক্ষেরও,	
dakten,	ডক্তেন,	ডাকতেন,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
ekbakke,	একবককে,	একবাক্যে,	
bhadaqa,	ভাদক,	ভদকা,	
tafaat,	তফট,	তফাৎ,	
kande,	কান্ড,	কাণ্ডে,	
sombhobonaow,	সম্ভাবনা,	সম্ভবনাও,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
veenicee,	ভেনিসি,	ভেনিস,	
morodeho,	মরদেশ,	মরদেহ,	
khorshed,	খ্রোস্ডে,	খোরশেদ,	
tthela,	ঠেলে,	ঠেলা,	
parishkaron,	পরিস্কাণ,	পরিষ্করণ,	
irana,	আররন,	ইরান,	
godamjato,	গদমাজতত,	গুদামজাত,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
pyore,	প্যারে,	পিওর,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
dhhalur,	ঢালুর,	ঢালুর,	
itastatah,	ইতাস্তা,	ইতস্ততঃ,	
malaika,	মালাক,	মালাইকা,	
mosharrof,	মোশাররফ,	মশাররফ,	
qeyboard,	কেবোব্ড,	কীবোর্ড,	
danob,	দানব,	দানব,	
spenser,	স্পেন্সের,	স্পেন্সার,	
conservation,	কনসারভেশন,	কনসারভেশন,	
gosthyi,	গষ্ঠী,	গোষ্ঠীই,	
tokey,	তোকে,	ত্বকেই,	
prabhritike,	প্রভৃতিতে,	প্রভৃতিকে,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
aaeereshe,	আইরেশে,	আইরেসে,	
laesensh,	লেজেন্স,	লাইসেন্স,	
kanasarabheeshana,	কনসারগেশিভান,	কনসারভেশন,	
asommati,	অসম্তত,	অসম্মতি,	
pachtar,	পাঁচটার,	পাঁচটার,	
neshanasa,	নেশনা,	নেশনস,	
abheedhaaner,	অভিধানের,	অভিধানের,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
turqi,	টার্কি,	তুর্কি,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
nothivukteer,	নথিকুভিত্রী,	নথিভুক্তির,	
mauhajote,	মহাজতে,	মহাজোট,	
aap,	আপ,	আপ,	
nirbaho,	নির্বাহ,	নির্বাহ,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
masjidtikey,	মস্গিদীতকে,	মসজিদটিকে,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
kuarter,	কার্টার,	কোয়ার্টার,	
masti,	মসস্টি,	মাস্তি,	
madhuree,	মধুরী,	মাধুরী,	
jyotsna,	জ্যান্টা,	জ্যোৎস্না,	
bagdadii,	বাগ্দাদী,	বাগদাদী,	
masharraf,	মাশারাফ,	মশাররফ,	
karmajog,	কর্মযজ,	কর্মযোগ,	
niketaner,	নিকেননের,	নিকেতনের,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
query,	কুয়ারি,	কোয়েরি,	
dip,	ডিপ,	দীপ,	
hajartee,	হজরতি,	হাজারটি,	
compact,	কম্পাক্ট,	কমপ্যাক্ট,	
aashtikota,	আশ্তিকতা,	আস্তিকতা,	
mataram,	মতোরাম,	মাতরম,	
korimkey,	করিমকে,	করিমকে,	
bruklin,	ব্রংকিং,	ব্রুকলিন,	
mayili,	মেযালি,	মাইলি,	
siit,	সীত,	শীত,	
nickeel,	নিক্লিল,	নিকেল,	
leetteer,	লেট্র,	লেটার,	
rupantar,	রূপান্তর,	রুপান্তর,	
anodhikaar,	অনধধিকার,	অনধিকার,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
gorrer,	গর্রের,	গোরের,	
besharkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
uparjan,	উপার্জন,	উপার্জন,	
patzat,	পত্যাত,	পাটজাত,	
sansthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
azijer,	আজিজের,	আজিজের,	
favorite,	ফ্যাবরিতে,	ফেভারিট,	
mahe,	মহে,	মাহে,	
postar,	পোস্টার,	পোস্টের,	
siddhantake,	সিদ্ধানততকে,	সিদ্ধান্তকে,	
eute,	ইউট,	ইইউতে,	
faad,	ফাড,	ফুড,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
odhit,	অধিত,	অধীত,	
pravuder,	প্রভূদের,	প্রভুদের,	
pachok,	পাচক,	পাচক,	
jatinke,	যাতিনকে,	যতীনকে,	
pooding,	পুদিং,	পুডিং,	
harj,	হার্জ,	হার্জ,	
toroon,	তরুণ,	তরুন,	
qirq,	কিরক,	কার্ক,	
korecha,	করেছা,	করেছ,	
muhurto,	মুহূর্ত,	মুহুর্ত,	
tecno,	টেকনো,	টেকনো,	
bishshaash,	বিশ্বস,	বিশ্বাস,	
sotorko,	সত্রক,	সতর্ক,	
dokan,	ডোকান,	দোকান,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
jibanto,	জীবনত্,	জীবন্ত,	
vittio,	ভিত্য,	ভিত্তিও,	
haze,	হাজে,	হেজ,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
panchbar,	পঞ্চরবার,	পাঁচবার,	
kemaney,	কেমনে,	কেমনে,	
upobasi,	উপবাসি,	উপবাসী,	
churger,	চারগ্র,	চার্জের,	
sommotir,	সম্মতির,	সম্মতির,	
daloo,	দালো,	ডালু,	
oncholtee,	অঞ্চলতি,	অঞ্চলটি,	
ghosito,	ঘষিত,	ঘোষিত,	
barron,	বর্ণ,	ব্যারন,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
parker,	পার্কার,	পার্কের,	
bihar,	বিহার,	বিহার,	
soccer,	সক্সের,	সকার,	
abdun,	আব্দুন,	আবদুন,	
flask,	ফ্ল্যাক্স,	ফ্লাস্ক,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
shamooker,	সমুকের,	শামুকের,	
byapoktor,	ব্যাপকত্র,	ব্যাপকতর,	
kishti,	কিশটি,	কিস্তি,	
gosthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
jones,	জননস,	জোন্স,	
atorkite,	অ্যাটারিকে,	অতর্কিতে,	
patenter,	পতেন্তের,	পেটেন্টের,	
otiteo,	অতিতেও,	অতীতেও,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
armshtrong,	আর্ক্সর্ট,	আর্মস্ট্রং,	
imirgincy,	এমির্জনিস,	এমার্জেন্সি,	
hoole,	হোলে,	হোল,	
swarthe,	স্বর্থে,	স্বার্থে,	
rahi,	রহি,	রাহি,	
bohorompurer,	বহরামপুরের,	বহরমপুরের,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
daktikite,	ডক্তিকিতে,	ডাকটিকিটে,	
jaanaar,	জানার,	জানার,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
cheerota,	চিরততা,	চিরতা,	
tader,	তাদের,	তদের,	
gardena,	গার্ডেন,	গার্ডেন,	
hazirhaat,	হাজীরহাট,	হাজিরহাট,	
sudden,	সুদ্দেন,	সাডেন,	
byasalt,	ব্যাসাল,	ব্যাসল্ট,	
craze,	ক্র্যাজ,	ক্রেজ,	
aabahon,	আবাহন,	আবাহন,	
noditi,	নদীতী,	নদীটি,	
naditei,	নাদিতেই,	নদীতেই,	
thaakeni,	থাকানি,	থাকেনি,	
