nesnos,	নেন্নস,	নেশনস,	
beekaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
oncoltike,	অন্কলটিকে,	অঞ্চলটিকে,	
marketing,	মার্কেটিং,	মার্কেটিং,	
laesens,	লাইেন্স,	লাইসেন্স,	
toufik,	তৌফিক,	তৌফিক,	
riphleksa,	রাইফেল্ক,	রিফ্লেক্স,	
godabori,	গদাবরী,	গোদাবরী,	
chenja,	চেঞ্জ,	চেঞ্জ,	
choopi,	চুপি,	চুপি,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
masey,	মাসে,	মাসে,	
bondhuvabaponyo,	বন্ধ্ববাপন,	বন্ধুভাবাপন্ন,	
dharavahikbhabey,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
mohit,	মোহিত,	মুহিত,	
moolgoto,	মূলগত,	মূলগত,	
sollalaho,	সোল্লাল্হ,	সল্লাল্লাহু,	
puding,	পুদিং,	পুডিং,	
boarana,	বোরানা,	বোরন,	
melobborner,	মেলববর্ণের,	মেলবোর্নের,	
armenian,	আরমমনিয়ান,	আর্মেনিয়ান,	
vaskor,	ভাস্কর,	ভাস্কর,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
saddhi,	সাদ্ধি,	সাধ্বী,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
sniper,	স্নিপার,	স্নাইপার,	
foksher,	ফক্ষের,	ফক্সের,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
ganohatyake,	গণহাত্যাকে,	গণহত্যাকে,	
talgachh,	তালগাছ,	তালগাছ,	
nirikh,	নিরীখ,	নিরিখ,	
aparagata,	অপরাগত,	অপারগতা,	
chiraharit,	চিরাহতিত,	চিরহরিৎ,	
taanteera,	তানতিরা,	তাঁতিরা,	
masharraf,	মেশাররফ,	মশাররফ,	
grauth,	গ্রাউথ,	গ্রোথ,	
chalchhee,	চালছি,	চলছে,	
taatey,	তাঁটে,	তাতে,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
kortonaa,	কর্টনা,	করতনা,	
jank,	জাঁক,	জাঁক,	
songhar,	সংঘর,	সংহার,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
siddhantogulo,	সিদ্ধানগুলো,	সিদ্ধান্তগুলো,	
relance,	রেলান্স,	রিলায়েন্স,	
jomkalo,	জমকাল,	জমকালো,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
qings,	কিংস,	কিংস,	
uper,	উপের,	আপের,	
oedipus,	এডিপাসু,	ইডিপাস,	
istone,	ইস্তনে,	স্টোন,	
mosjidtir,	মস্জিদটির,	মসজিদটির,	
ekpaashe,	একপাশে,	একপাশে,	
dubureer,	ডুবুরীর,	ডুবুরির,	
hepatitis,	হেপাটাটিস,	হেপাটাইটিস,	
okritakarja,	অকৃতকাকার,	অকৃতকার্য,	
mukherji,	মুখার্জি,	মুখার্জী,	
taoonsheep,	তানশীপ,	টাউনশিপ,	
ulcer,	উল্লার,	আলসার,	
compact,	কমপ্কাট,	কমপ্যাক্ট,	
bhittimul,	ভিত্মিমূল,	ভিত্তিমূল,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
melobborne,	মেলববর্ণে,	মেলবোর্নে,	
azijer,	আজিজের,	আজিজের,	
sahozlabhbhatar,	সহজ্যভলত্রতা,	সহজলভ্যতার,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
shaannaal,	শান্নাল,	সান্যাল,	
baabul,	বাবুল,	বাবুল,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
choddo,	ছদ্দ,	চোদ্দো,	
aksathei,	একসাঠেই,	একসাথেই,	
nothivuktir,	নথিভূক্তির,	নথিভুক্তির,	
baju,	বাজু,	বাজু,	
grantho,	গ্রন্থ,	গ্রন্থ,	
carpet,	কারপেট,	কার্পেট,	
bidghootey,	বিদ্যুতে,	বিদঘুটে,	
bolokarak,	বলকারক,	বলকারক,	
preti,	প্রেতি,	প্রিটি,	
ajauno,	অজৌন,	অযৌন,	
chirontan,	চিরন্তন,	চিরন্তন,	
parisankhanbid,	পরিস্কন্বনবিদ,	পরিসংখ্যানবিদ,	
akritakarjo,	আকৃতকার্য,	অকৃতকার্য,	
dharavahiker,	ধারবাহিকের,	ধারাবাহিকের,	
engrezder,	ইংগ্রেদের,	ইংরেজদের,	
shaahaabaah,	সাহাবা,	সাহাবাহ,	
pathanirdeshona,	পথিির্দেশনা,	পথনির্দেশনা,	
obhijojon,	অভিযোজন,	অভিযোজন,	
moshjidke,	মস্জিদকে,	মসজিদকে,	
gyandas,	জ্যান্ডাস,	জ্ঞানদাস,	
banijyikvittite,	বানিজিক্যিতভতে,	বাণিজ্যিকভিত্তিতে,	
naditike,	নাদীতিকে,	নদীটিকে,	
munim,	মুনিং,	মুনিম,	
shaater,	সাতের,	শ্যুটার,	
ranadeep,	রনাদীপ,	রণদীপ,	
ul,	উল,	উল,	
dinifition,	ডিনিফিউশন,	ডেফিনেশন,	
agovir,	অগভীর,	অগভীর,	
bigepi,	বিজেপি,	বিজেপি,	
evereste,	এভেরেস্টে,	এভারেস্টে,	
sphincter,	স্ফিন্টার,	স্ফিংটার,	
mittrota,	মিত্রোতা,	মিত্রতা,	
norton,	নর্টন,	নর্টন,	
deputii,	দিপুতি,	ডেপুটি,	
elakati,	এলাকাটি,	এলাকাটি,	
pacbbar,	পাঁকবার,	পাঁচবার,	
bolechile,	বলেছিলে,	বলেছিলে,	
rato,	রত,	রত,	
engineerin,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
pratul,	প্রতুল,	প্রতুল,	
stark,	স্টার্ক,	স্টার্ক,	
antarvuktimulok,	অন্তর্ভূলূতিক,	অন্তর্ভুক্তিমূলক,	
nagnyo,	নগ্য,	নগণ্য,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
niurolaji,	নিউরোলজজি,	নিউরোলজি,	
prachurjer,	প্রচচূর্যের,	প্রাচুর্যের,	
plaiin,	প্লাইন,	প্লেন,	
iston,	ইস্তন,	স্টোন,	
adbhansed,	অ্ভানভাংস,	অ্যাডভান্সড,	
fanse,	ফাঁসে,	ফাঁসে,	
boshoborty,	বসবর্তী,	বশবর্তী,	
ardasha,	আর্ডশ,	আর্দশ,	
semai,	সেমাই,	সেমাই,	
bonke,	বোঁকে,	বনকে,	
bhagerei,	ভাগেরই,	ভাগেরই,	
horidar,	হরিদার,	হরিদ্বার,	
enamela,	এনামেল,	এনামেল,	
azaadeer,	আজাদীর,	আজাদীর,	
window,	উইন্দু,	উইন্ডো,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
akrup,	একরুপ,	একরূপ,	
madrasakey,	মাদ্রসাকে,	মাদ্রাসাকে,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
commander,	কম্যান্ডার,	কমাণ্ডার,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
dipgulo,	দীপগুলো,	দ্বীপগুলো,	
qraima,	ক্রেম,	ক্রাইম,	
jaatti,	জাতটি,	জাতটি,	
cholo,	চল,	চলো,	
vatar,	ভাতার,	ভাতার,	
uthhe,	উঠে,	উঠে,	
hena,	হেন,	হেনা,	
bu,	বু,	বু,	
moshion,	মোশন,	মোশন,	
meloonborrone,	মেলোনবররণে,	মেলবোর্নে,	
ekeerokom,	একেরকম,	একইরকম,	
shoya,	শোয়া,	সোয়া,	
kattor,	কত্তর,	কট্টর,	
abheedhanic,	আভিধানিক,	অভিধানিক,	
jetam,	জেতাম,	যেতাম,	
futonto,	ফুতন্ত,	ফুটন্ত,	
karpeter,	কর্পেটার,	কার্পেটের,	
ostader,	ওস্তাদের,	ওস্তাদের,	
laagto,	লাগত,	লাগতো,	
aajeej,	আজীজ,	আজিজ,	
hondurus,	হন্ডুরুস,	হন্ডুরাস,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
fiksa,	ফিক্সা,	ফিক্স,	
madhobir,	মাধবীর,	মাধবীর,	
miraqela,	মারাকেল,	মিরাকেল,	
debholopar,	ডেভলপপার,	ডেভলপার,	
oocchoseeto,	উচ্চ্ছিত,	উচ্ছসিত,	
ekshotee,	একশটি,	একশোটি,	
zoneete,	যোনিতে,	যোনীতে,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
kaptai,	কপ্তই,	কাপ্তাই,	
taurat,	টররেট,	তওরাত,	
vobanir,	ভবানীর,	ভবানীর,	
shpredashhita,	স্প্রেদাশিত,	স্প্রেডশীট,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
satyaki,	সত্যককি,	সাত্যকি,	
skara,	স্কররা,	স্কোর,	
chhilona,	ছিলনা,	ছিলনা,	
dhaanche,	ধাঁচে,	ধাঁচে,	
ajeemke,	আজিমকে,	আজিমকে,	
bhittio,	ভিত্তিও,	ভিত্তিও,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
bossoben,	বসবেন,	বসবেন,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
sorsa,	সোর্স,	সোর্স,	
bhadaqa,	ভাদাক,	ভদকা,	
palbangser,	পালবাংশের,	পালবংশের,	
nilkomol,	নিল্কমল,	নীলকমল,	
somraat,	সমরাট,	সম্রাট,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
gezeteda,	গেজেটাইড,	গেজেটেড,	
allahabade,	আলাহাবাদে,	এলাহাবাদে,	
talal,	তালাল,	তালাল,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
koontee,	কুনটি,	কুন্তী,	
bauger,	ব্যাগের,	বাগের,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
koreemke,	করিমকে,	করিমকে,	
baarbadoj,	বার্বাদোজ,	বার্বাডোজ,	
bites,	বিটেস,	বাইটস,	
aaminaar,	আমিনার,	আমিনার,	
srichoitonnodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
thetcher,	থেচের,	থ্যাচার,	
kkhur,	ক্ষুর,	ক্ষুর,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
atto,	আত্ম,	আত্ম,	
rupart,	রূপার্ট,	রুপার্ট,	
koomarir,	কুমারির,	কুমারীর,	
mastars,	মাস্টার্স,	মাস্টার্স,	
mache,	মাছে,	মাছে,	
jaksa,	যক্স্,	যক্ষ,	
khelafotey,	খেলাফতে,	খেলাফতে,	
sarbhaarer,	সররভারের,	সার্ভারের,	
emarjensi,	এমার্জেন্জি,	এমার্জেন্সি,	
lambate,	লামবতে,	লম্বাটে,	
nederlander,	নেডারল্যান্ডার,	নেদারল্যান্ডের,	
bhogiroth,	ভগীরথ,	ভগীরথ,	
choudhooreer,	চৌদুরির,	চৌধুরীর,	
dokan,	ডোকান,	দোকান,	
maarmaader,	মারমাদের,	মারমাদের,	
zubokder,	যুবকদের,	যুবকদের,	
vaabna,	ভাবনা,	ভাবনা,	
ssahosikotar,	সাহসিকতার,	সাহসিকতার,	
lutharana,	লুথারন,	লুথেরান,	
yanqee,	যানকে,	ইয়াংকি,	
venis,	ভেনিস,	ভেনিস,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
obodamoner,	অবদামনের,	অবদমনের,	
osthisandhi,	অস্থিনন্ধি,	অস্থিসন্ধি,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
themekey,	থেমেকে,	থিমকে,	
sahochorjo,	সহচর্য,	সাহচর্য,	
afjol,	আফজল,	আফজল,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
subader,	শুবাদের,	সুবাদে,	
sbatantrata,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
daacktickete,	ডাকটিকেটে,	ডাকটিকিটে,	
hori,	হরি,	হরি,	
ronangane,	রোনাঙ্গনে,	রণাঙ্গনে,	
raagei,	রাগেই,	রাগেই,	
janachche,	জানাচ্যে,	জানাচ্ছে,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
remakri,	রেমক্রি,	রেমাক্রী,	
maadhoobir,	মাধবুর,	মাধবীর,	
hames,	হামেশ,	হোমস,	
nevatey,	নেভাতে,	নেভাতে,	
proo,	প্রু,	প্রো,	
otiiteo,	অতিতেও,	অতীতেও,	
uthhane,	উঠানে,	উঠানে,	
cholochchitragulor,	চলচিচ্রতিগ্রলো,	চলচ্চিত্রগুলোর,	
praapokke,	প্রাপকে,	প্রাপককে,	
esasiyetasa,	এসাসিয়েট,	এসোসিয়েটস,	
pillai,	পিল্লাই,	পিল্লাই,	
ganaparibahaner,	গণপরিবাহের,	গণপরিবহনের,	
mulbhitti,	মূলভিিতি,	মূলভিত্তি,	
sukkha,	সূক্ষ্ম,	সুক্ষ্ম,	
purbancole,	পূর্বাঙ্চলে,	পূর্বাঞ্চলে,	
plainey,	প্লাইনে,	প্লেনে,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
bhumir,	ভূমির,	ভূমির,	
bhabnar,	ভানবার,	ভাবনার,	
akkhar,	এক্ষার,	অক্ষর,	
halding,	হাল্ডিং,	হোল্ডিং,	
aap,	আপ,	আপ,	
firoj,	ফিরোজ,	ফিরোজ,	
bibader,	বিবাদের,	বিবাদের,	
prakalpoti,	প্রকালপটি,	প্রকল্পটি,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
soommo,	সুম্য,	সুমো,	
manushey,	মানুষে,	মানুষে,	
ahollar,	আহলার,	অহল্যার,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
muhamada,	মুহামদা,	মুহাম্মদ,	
lyand,	ল্যান্ড,	ল্যান্ড,	
bem,	বেম,	বিম,	
alsaar,	আলসার,	আলসার,	
stoona,	স্টোনা,	স্টোন,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
torangunj,	তরঙগঞ্জ,	তোরাবগঞ্জ,	
durtomo,	দূরতম,	দূরতম,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
madhukooree,	মধুকুরী,	মাধুকরী,	
varpur,	ভারপুর,	ভরপুর,	
kale,	কালে,	কালে,	
doonut,	ডানুট,	ডোনাট,	
protimar,	প্রতিমার,	প্রতিমার,	
naobihar,	নৌবহহার,	নৌবিহার,	
welaqama,	ওেলকমম,	ওয়েলকাম,	
bachai,	বাঁচাই,	বাছাই,	
hertz,	হের্ট,	হার্জ,	
dorgah,	দরগাহ,	দরগাহ,	
panero,	পনেরো,	পনের,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
jani,	জানি,	জনি,	
shoccer,	সক্র,	সকার,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
nazi,	নাজি,	নাত্সি,	
peengna,	পেঙ্ন,	পিংনা,	
bipozzonok,	বিপদ্জজক,	বিপজ্জনক,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
segular,	সেগুলোর,	সেগুলোর,	
mosjidtikey,	মজ্জিদ্তকে,	মসজিদটিকে,	
arakaner,	আরাকনের,	আরাকানের,	
makhmaley,	মাখমালে,	মখমলে,	
dwipgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
prabhu,	প্রভূ,	প্রভু,	
shilpojato,	শিল্পজত,	শিল্পজাত,	
johns,	জনস,	জন্স,	
atyachari,	অত্যাচারী,	অত্যাচারী,	
iraaner,	ইরানের,	ইরানের,	
shoo,	শু,	শো,	
madhobi,	মাধবী,	মাধবী,	
mekon,	মেকন,	মেকং,	
ejenda,	এজেন্ডা,	এজেন্ডা,	
firojer,	ফিরোজের,	ফিরোজের,	
vabnar,	ভাবনার,	ভাবনার,	
rajotta,	রাজত্ব,	রাজত্ব,	
jackshon,	জ্যাকসন,	জ্যাকসন,	
goojober,	গুজবের,	গুজবের,	
alubokhara,	অলুববকরা,	আলুবোখারা,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
udor,	উদর,	উদর,	
peterer,	পেটারের,	পিটারের,	
uporitale,	উপরেতালে,	উপরিতলে,	
chalachchitroke,	চালিচ্যক্ত্র,	চলচ্চিত্রকে,	
asamarik,	আসামারিক,	অসামরিক,	
hondooras,	হন্দুরাস,	হন্ডুরাস,	
welcome,	ওয়েলকমে,	ওয়েলকাম,	
orbeet,	অর্বেত,	অরবিট,	
qrita,	ক্রিত,	ক্রীট,	
rupdaan,	রূপদান,	রুপদান,	
aagom,	আগম,	আগম,	
tenis,	টেনিস,	টেনিস,	
debdebie,	দেবদেবিই,	দেবদেবী,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
ralf,	রাফ,	রালফ,	
anchaltitey,	আঞ্চলটিতে,	অঞ্চলটিতে,	
damonmulok,	দমমনূলক,	দমনমূলক,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
armstronz,	আর্মট্রজ্জ,	আর্মস্ট্রং,	
gaddafi,	গাদ্ফাফী,	গাদ্দাফী,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
maner,	মানের,	মানে,	
bordhitangso,	বর্ধিতাংশ,	বর্ধিতাংশ,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
tersa,	টার্স,	টেরেসা,	
bonovumi,	বনভূমি,	বনভূমি,	
karmokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
turkmen,	তুর্কমেন,	তুর্কমেন,	
faj,	ফাজ,	ফাজ,	
prokolpou,	প্রকল্পও,	প্রকল্পও,	
dharmi,	ধর্মী,	ধর্মী,	
abdoone,	আবদুনে,	আবদুন,	
chintaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
hol,	হল,	হোল,	
rubol,	রুবল,	রুবল,	
tate,	টাঁটে,	তাতে,	
dajhyo,	দহ্য,	দাহ্য,	
torup,	তরুপ,	ট্রুপ,	
shector,	সেক্টর,	সেক্টর,	
vugorvey,	ভুগরভে,	ভূগর্ভে,	
aalkatra,	আলকাতরা,	আলকাতরা,	
saahocorrzo,	সাহকোর্য,	সাহচর্য,	
machera,	মাছেরা,	মাছেরা,	
korle,	করলে,	করলে,	
karmosampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
zesh,	জেস,	জেস,	
jakser,	যক্ষের,	যক্ষের,	
asammati,	অসম্তি,	অসম্মতি,	
overview,	ওভারভিউ,	ওভারভিউ,	
bhenisha,	ভেনিস,	ভেনিস,	
joni,	যোনি,	জনি,	
soomi,	সুমি,	সুমি,	
chilona,	ছিলনা,	ছিলনা,	
melborne,	মেলবর্নে,	মেলবোর্নে,	
venice,	ভেনিস,	ভেনিস,	
metrapalitana,	মেট্রাপলিটান,	মেট্রোপলিটন,	
haridware,	হারিদ্যরে,	হরিদ্বারে,	
gardeena,	গার্ডেন,	গার্ডেন,	
beeswasoo,	বিশ্বাসু,	বিশ্বাসও,	
prapoker,	প্রাপকের,	প্রাপকের,	
kandey,	কানদে,	কাণ্ডে,	
aazaadeer,	আজাদীর,	আজাদীর,	
gananatya,	গণনা্ত্য,	গণনাট্য,	
lokhindare,	লোখিন্দারে,	লখিন্দরের,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
thelyanda,	থেয়ল্যান্ড,	থাইল্যান্ড,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
addabaz,	আদ্যাবাজ,	আড্ডাবাজ,	
sobchey,	সবছে,	সবচে,	
karka,	কারক,	কার্ক,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
wul,	উুল,	উল,	
hock,	হক,	হুক,	
saaed,	সাইড,	সাইদ,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
nabbata,	নব্যতা,	নাব্যতা,	
thanvi,	ঠানবি,	থানভী,	
booroon,	বরুন,	বোরন,	
poromartho,	পরামর্থ,	পরমার্থ,	
tenys,	টেনিস,	টেনিস,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
brindaa,	বৃন্দা,	বৃন্দা,	
chheelona,	ছেলনা,	ছিলনা,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
abarte,	আবর্তে,	আবর্তে,	
otyacharer,	অত্যাচরের,	অত্যাচারের,	
mehnotti,	মেহনট্তি,	মেহনতি,	
ghumata,	ঘুমটা,	ঘুমাতো,	
dipon,	দীপন,	দীপন,	
brookoleen,	ব্রুকলীন,	ব্রুকলিন,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
weenis,	উইনিস,	ভেনিস,	
cholochchitro,	চালিচত্র,	চলচ্চিত্র,	
seeramiker,	শিরামিকের,	সিরামিকের,	
chirota,	চিরতা,	চিরতা,	
karmopontha,	কর্মপন্থা,	কর্মপন্থা,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
august,	এগাস্ট,	আগষ্ট,	
goteebege,	গতিবেগে,	গতিবেগে,	
bocchon,	বচ্চন,	বচ্চন,	
udbhaboney,	উদ্ভবনে,	উদ্ভাবনে,	
jibanjapon,	জীবনজাপন,	জীবনযাপন,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
chotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
aasif,	আসিফ,	আসিফ,	
boudhher,	বৌদ্রের,	বৌদ্ধের,	
guzob,	গুজব,	গুজব,	
uzobekeestaaner,	উজবেকিক্তানের,	উজবেকিস্তানের,	
chai,	চাই,	ছাই,	
chalochchitro,	চালিচত্র,	চলচ্চিত্র,	
aanish,	আনিশ,	আনিস,	
gorjon,	গর্জন,	গর্জন,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
amor,	আমর,	আমর,	
bishshash,	বিশ্বসা,	বিশ্বাস,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
qarima,	কেরিমা,	করিম,	
jwalbe,	জ্বলবে,	জ্বলবে,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
taunasipa,	তনউসিপ,	টাউনশিপ,	
chon,	চন,	ছোঁ,	
thailandsoho,	থাইলন্দসহ,	থাইল্যান্ডসহ,	
smarak,	স্মারক,	স্মারক,	
tolemi,	তলেমি,	টলেমির,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
adhyattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
nobom,	নবম,	নবম,	
poonch,	পুঁচ,	পুঞ্চ,	
qyathaliqa,	ক্যাথলিকা,	ক্যাথলিক,	
akeeb,	একিব,	আকিব,	
cholochchitrai,	চালচিত্রে,	চলচ্চিত্রই,	
pujita,	পূজিত,	পূজিতা,	
temone,	টেমনে,	তেমনই,	
bosano,	বসানো,	বসানো,	
utshahomulok,	উৎ্স্বমূলক,	উৎসাহমূলক,	
laiseensee,	লাইেন্স,	লাইসেন্স,	
naubom,	নববম,	নবম,	
bhenasa,	ভেনস,	ভেনাস,	
shibraj,	শিবরাজ,	শিবরাজ,	
firozer,	ফিরোজের,	ফিরোজের,	
grambaseeder,	গ্রমবাসীদের,	গ্রামবাসীদের,	
vumij,	ভুমিজ,	ভূমিজ,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
kemaney,	কেমনে,	কেমনে,	
drishyoke,	দৃষ্যকে,	দৃশ্যকে,	
rohosyer,	রহস্যের,	রহস্যের,	
tourist,	তিউর্সট,	টুরিস্ট,	
shamooker,	শামুকের,	শামুকের,	
hafez,	হাফেজ,	হাফেয,	
parijan,	পরিজন,	পরিজন,	
tep,	টেপ,	ট্যাপ,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
hoj,	হজ,	হয,	
amstrang,	অমস্ট্রাং,	আর্মস্ট্রং,	
upobashii,	উপবাসী,	উপবাসী,	
vobani,	ভবানী,	ভবানী,	
haipar,	হাইপার,	হাইপার,	
celinar,	সেলিনার,	সেলিনার,	
bihare,	বিহারে,	বিহারে,	
xpresion,	ক্ক্র্প্রেশন,	এক্সপ্রেশন,	
nesons,	নেসন্স,	নেশনস,	
poscime,	পশ্চিমে,	পশ্চিমে,	
kanar,	কানার,	কণার,	
alpa,	আল্প,	অল্প,	
shtonehenge,	স্ট্নেহেঙ্গে,	স্টোনহেঞ্জ,	
mb,	এমবি,	এমবি,	
ragee,	রাগী,	রাগী,	
bharote,	ভারতে,	ভারতে,	
byatikramdharmi,	ব্যাতিক্রধর্মক,	ব্যতিক্রমধর্মী,	
parinoti,	পরিনতি,	পরিণতি,	
ganochiener,	গোনোচিনের,	গণচীনের,	
fising,	ফিশিং,	ফিসিং,	
mawdeel,	ম্যাডিল,	মডেল,	
khele,	খেলে,	খেলে,	
bisshas,	বিশ্বস,	বিশ্বাস,	
idaning,	ইডানিং,	ইদানিং,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
tourisht,	তৈরিষ্ট,	টুরিস্ট,	
deeares,	ডিরেস,	ডিআরএস,	
planea,	প্লানে,	প্লেনে,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
carpeter,	কারপেটার,	কার্পেটের,	
sooya,	শোয়া,	সোয়া,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
konan,	কোনন,	কোনান,	
ballroom,	বলরুম,	বলরুম,	
moushumeo,	মাসুমেও,	মৌসুমেও,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
bhimsen,	ভিমসেন,	ভীমসেন,	
jacqsan,	জক্ষান,	জ্যাকসন,	
sukumari,	সুকুমারী,	সুকুমারী,	
plate,	প্লেট,	প্লেট,	
heights,	হেইটস,	হাইটস,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
shooter,	শুটার,	শ্যুটার,	
janasamaj,	জনসমম,	জনসমাজ,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
cholochchitreo,	চালচিত্রেও,	চলচ্চিত্রেও,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
eling,	এলিং,	ইলিং,	
probhur,	প্রভূর,	প্রভুর,	
taap,	তাপ,	ট্যাপ,	
enginiirs,	এন্জিনির্স,	ইঞ্জিনিয়ার্স,	
quari,	ক্য়ারি,	কোয়েরি,	
elakaatir,	এলাকাটির,	এলাকাটির,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
unit,	উনিত,	ইউনিট,	
windos,	উইন্ডোস,	উইন্ডোস,	
suraaropito,	সুরাপপিত,	সুরারোপিত,	
hepatitish,	হেপাটাটিস,	হেপাটাইটিস,	
ekhaate,	এখাতে,	একহাতে,	
jatti,	জ্যাটি,	জাতটি,	
tarbiner,	টারবিনের,	টারবাইনের,	
himi,	হিমি,	হিমি,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
rooshod,	রুশদ,	রুশদ,	
iukyaliptasa,	ইউক্যালিপ্ট,	ইউক্যালিপ্টাস,	
gabeshona,	গবেষণা,	গবেষনা,	
deily,	ডেলি,	ডেইলি,	
shaushage,	সৌশগে,	সসেজ,	
namo,	নম,	নমো,	
nirgaman,	নির্জামান,	নির্গমন,	
patka,	পাটকা,	পটকা,	
russad,	রুশশাদ,	রুশদ,	
shikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
shithilota,	সিথিলতা,	শিথিলতা,	
ajimke,	আজিমকে,	আজিমকে,	
