suiti,	স্যুটি,	সুইটি,	
afjal,	আফজাল,	আফজল,	
shamooker,	শামুকের,	শামুকের,	
diyares,	ডিয়ারেস,	ডিআরএস,	
gej,	গেজ,	গেজ,	
wault,	উল্ট,	ভল্ট,	
dhyan,	ধ্যান,	ধ্যান,	
shommotir,	সম্মটির,	সম্মতির,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
kormoi,	করমই,	কর্মই,	
berubar,	বেরুবার,	বেরুবার,	
weelcomee,	ভিলকমি,	ওয়েলকাম,	
soccar,	সক্কার,	সকার,	
amerikar,	আমেরিকার,	আমেরিকার,	
fanskari,	ফাস্কারি,	ফাঁসকারী,	
balatkar,	বালাটার,	বলাৎকার,	
narider,	নারীদের,	নারীদের,	
kemonay,	কেমনে,	কেমনে,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
bhalobass,	ভালবাস,	ভালোবাসা,	
utsaha,	উত্সাহ,	উৎসাহ,	
bissonath,	বিশ্নথা,	বিশ্বনাথ,	
sipht,	সিফট,	শিফট,	
horipur,	হরিপুর,	হরিপুর,	
phoster,	ফোস্টার,	ফস্টার,	
teemothi,	তিমথি,	টিমোথি,	
vorkendra,	ভর্কেনদদ্র,	ভরকেন্দ্র,	
militarir,	মিলিটারির,	মিলিটারির,	
tauki,	টৌকি,	তকি,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
neurooloogy,	নিউরোলজি,	নিউরোলজি,	
jeerusaleem,	জিরুসামিল,	জেরুসালেম,	
chesa,	চেষা,	চেস,	
zubokra,	যুবকরা,	যুবকরা,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
zyaka,	জ্যাক,	জ্যাক,	
bikaargrasto,	বিকগরগস্ত,	বিকারগ্রস্ত,	
totenhamer,	তোটেনহামের,	টটেনহামের,	
conservation,	কনসারভেশন,	কনসারভেশন,	
iyanqi,	ইয়াংকি,	ইয়াংকি,	
vabatarini,	ভবতারিনী,	ভবতারিণী,	
swalpa,	স্বল্প,	স্বল্প,	
dera,	দেরা,	ডেরা,	
proteemar,	প্রতিমার,	প্রতিমার,	
gabhaaskar,	গভাস্কর,	গাভাস্কার,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
leetara,	লেটার,	লেটার,	
kyamone,	ক্যামনে,	কেমনে,	
jani,	জানি,	জনি,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
simons,	সীমন্স,	সিমন্স,	
poper,	পপের,	পোপের,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
vorodwaj,	ভররদাজ,	ভরদ্বাজ,	
holdin,	হলদিন,	হোল্ডিং,	
narsaari,	নার্সারী,	নার্সারি,	
armenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
ramonar,	রমনার,	রমনার,	
tukrowti,	টুকরুটি,	টুকরোটি,	
graambashio,	গ্রামবাসী,	গ্রামবাসীও,	
koushalgato,	কৌশলগত,	কৌশলগত,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
ekoirakom,	একররমক,	একইরকম,	
aarekdal,	আরেকদল,	আরেকদল,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
aamoode,	আমুদে,	আমুদে,	
vdp,	এডিপি,	ভিডিপি,	
janosangjog,	জনসংযোগ,	জনসংযোগ,	
ekoghore,	একঘরে,	একঘরে,	
governorer,	গভর্নরের,	গভর্ণরের,	
raiialati,	রেলালটটি,	রয়্যালটি,	
sibraz,	শিবরাজ,	শিবরাজ,	
choshon,	চোষণ,	চোষণ,	
dibidh,	দিবিধ,	দ্বিবিধ,	
shookna,	শুক্া,	শুকনা,	
pooshteer,	পুস্তির,	পুষ্টির,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
samanno,	সামান্ন,	সামান্য,	
uthhaane,	উঠানে,	উঠানে,	
directorete,	ডিরেক্টরে,	ডিরেক্টরেট,	
observer,	অবারভের,	অবজার্ভার,	
laaishensh,	লাইসেন্স,	লাইসেন্স,	
yuk,	ইউক,	ইয়াক,	
arekdol,	আরেকদল,	আরেকদল,	
soourse,	সোর্স,	সোর্স,	
kaaferderke,	কাফেরকেরে,	কাফেরদেরকে,	
bruklin,	ব্রুক্লিন,	ব্রুকলিন,	
barakpur,	বারাকপুর,	বারাকপুর,	
baarbadoj,	বার্বাডোজ,	বার্বাডোজ,	
nadnadir,	নদ্নদীর,	নদনদীর,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
ssahosikotar,	সাসিকিততার,	সাহসিকতার,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
sangosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
kathhmandute,	কঠাম্ডুতে,	কাঠমান্ডুতে,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
shrabastee,	শ্রবস্তি,	শ্রাবস্তী,	
priimoo,	প্রিমো,	প্রিমো,	
pluse,	প্লাজ,	প্লাসে,	
kanthar,	কাঁঠার,	কাঁথার,	
babilon,	বাবিলন,	ব্যাবিলন,	
juddhahoto,	যুদ্ধহত,	যুদ্ধাহত,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
horeener,	হরিনের,	হরিণের,	
hebhee,	হেভি,	হেভি,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
bolokarak,	বলকারক,	বলকারক,	
siima,	সিম,	সীমা,	
nischitorupey,	নিশ্চিতুরূপে,	নিশ্চিতরূপে,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
dharavahikeo,	ধারাভিহেকে,	ধারাবাহিকেও,	
bypass,	বিপাস,	বাইপাস,	
alsar,	আলসার,	আলসার,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
samavesh,	সমাভেষ,	সমাবেশ,	
shibraj,	শিবরাজ,	শিবরাজ,	
karpeta,	কর্পেট,	কার্পেট,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
alpoi,	আলপপই,	অল্পই,	
lutheeran,	লুথিরান,	লুথেরান,	
transafarma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
sangkulaan,	সংকুলান,	সংকুলান,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
manbe,	মানবে,	মানবে,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
alsara,	আলসারা,	আলসার,	
dolu,	দলু,	ডলু,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
aagera,	আগেরা,	আগোরা,	
folok,	ফলক,	ফলক,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
haitasa,	হাইটস,	হাইটস,	
dephineshana,	ডিফিনেশন,	ডেফিনেশন,	
elakatir,	এলাকাটির,	এলাকাটির,	
shoilee,	সৈলি,	শৈলী,	
nodnadeer,	নদ্যদীর,	নদনদীর,	
khappor,	খাপপর,	খপ্পর,	
sahopathike,	সহপাঠীকে,	সহপাঠীকে,	
bi,	বি,	বি,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
shepha,	সেফ,	শেফ,	
fatakesto,	ফটাকেষ্ট,	ফাটাকেষ্ট,	
template,	টেম্পলেট,	টেম্পলেট,	
masjidsaha,	মাজিদসসহ,	মসজিদসহ,	
ronodeep,	রণোদপীপ,	রণদীপ,	
protjogiita,	প্রত্যোগীতা,	প্রতিযোগীতা,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
reno,	রেনো,	রেনো,	
upobaaser,	উপবাসের,	উপবাসের,	
noitikatabodh,	নৈতিকাবদ,	নৈতিকতাবোধ,	
parbottyo,	পার্বত্ত,	পার্বত্য,	
asociatis,	অসোসিয়েটিস,	এসোসিয়েটস,	
marodeha,	মারদেহ,	মরদেহ,	
mondope,	মণ্ডপে,	মন্ডপে,	
bifal,	বিফল,	বিফল,	
swarther,	স্বর্থের,	স্বার্থের,	
sofier,	সফফার,	সোফির,	
abodamaner,	অবদামানের,	অবদমনের,	
pothnatok,	পথনাতক,	পথনাটক,	
barder,	বর্ডের,	বার্ডের,	
sahab,	সাহাব,	সাহাব,	
abadamoner,	আবদামনের,	অবদমনের,	
kathhmandu,	কাঠমন্দু,	কাঠমান্ডু,	
kalki,	কলকি,	কালকি,	
gezeteda,	গেজেটেড,	গেজেটেড,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
unsareer,	আনসারীর,	আনসারীর,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
ingrezeeteo,	ইংরেজিতে,	ইংরেজিতেও,	
potengar,	পতেঙ্গর,	পতেঙ্গার,	
veniser,	ভেনিসের,	ভেনিসের,	
gaddaafee,	গাদ্দাফি,	গাদ্দাফী,	
shuchonakal,	সূচনাকাল,	সূচনাকাল,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
muhammad,	মুহাম্মদ,	মুহম্মদ,	
kyathlikder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
shkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
enamel,	ইনামেল,	এনামেল,	
koonti,	কুন্তি,	কুন্তী,	
arashie,	আরাশি,	আরসিএ,	
rothin,	রথিন,	রথীন,	
vabnakey,	ভব্নকে,	ভাবনাকে,	
bhenise,	ভেনিস,	ভেনিসে,	
crescenter,	ক্রেসেন্টের,	ক্রিসেন্টের,	
spredasita,	স্পেডাসিট,	স্প্রেডশীট,	
brekathru,	ব্রেকাথুরু,	ব্রেকথ্রু,	
cho,	চো,	ছোঁ,	
bolokarok,	বলকারক,	বলকারক,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
hook,	হোক,	হুক,	
jwolbe,	জুলবে,	জ্বলবে,	
lokeson,	লোকেশন,	লোকেশন,	
sontoshpur,	সন্তঃষপুর,	সন্তোষপুর,	
de,	দে,	ডে,	
pleney,	প্লেনে,	প্লেনে,	
bisheshyer,	বিশেষের,	বিশেষ্যের,	
blyaka,	ব্লক,	ব্ল্যাক,	
shuknaa,	শুকনা,	শুকনা,	
rights,	রাইটস,	রাইটস,	
taranee,	তারানী,	তরণী,	
basano,	বাসানো,	বসানো,	
mandonder,	মানদনদের,	মানদণ্ডের,	
jonoika,	জননিকা,	জনৈকা,	
sahazlabhbhatar,	সহজালভাতার,	সহজলভ্যতার,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
deobonde,	ডিবন্ডে,	দেওবন্দে,	
abdi,	আব্দি,	অব্দি,	
mitra,	মিট্রো,	মিত্র,	
tanteera,	তানটিরা,	তাঁতিরা,	
ajeem,	আজিম,	আজিম,	
khilafat,	খিলাফাত,	খিলাফত,	
panni,	পাননি,	পন্নী,	
firoja,	ফিরজা,	ফিরোজা,	
shhayatana,	স্য়টন,	শয়তান,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
stoona,	স্টোনা,	স্টোন,	
shrabostee,	শ্রবস্তি,	শ্রাবস্তী,	
pack,	পক,	প্ল্যাক,	
mahasova,	মহাসভা,	মহাসভা,	
sakar,	সকার,	সাকার,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
oncolsoho,	অন্চলসহ,	অঞ্চলসহ,	
sangasthaner,	সংস্থান্তের,	সংস্থানের,	
taali,	তালি,	তালি,	
ganohatyake,	গণহাত্যকে,	গণহত্যাকে,	
planey,	প্লেনে,	প্লেনে,	
maile,	মেলে,	মাইলি,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
casper,	ক্যাপের,	ক্যাসপার,	
twoei,	তুই,	ত্বকেই,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
naren,	নরেন,	নরেন,	
machhsoho,	মাচসহ,	মাছসহ,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
suddeen,	সুদ্দীন,	সাডেন,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
samrat,	সমরত,	সম্রাট,	
protizogiita,	প্রতিযোগীতা,	প্রতিযোগীতা,	
plena,	প্লেন,	প্লেন,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
rupert,	রূপার্ট,	রুপার্ট,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
elakaate,	এলাকাতে,	এলাকাতে,	
chhotto,	ছত্ট,	ছোট্ট,	
tahalo,	তহহল,	তাহলো,	
lobbyte,	লবিতে,	লবিতে,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
naazi,	নাজি,	নাত্সি,	
taale,	তালে,	তালে,	
agoora,	আগুরা,	আগোরা,	
bikaargrasta,	বিকগরগস্ত,	বিকারগ্রস্ত,	
tarkareer,	তরকারীর,	তরকারীর,	
noter,	নটের,	নোটের,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
ducktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
surkarder,	সূরকর্ের,	সুরকারদের,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
laaishesh,	লাইসেস,	লাইসেন্স,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
baireyo,	বৈরেও,	বাইরেও,	
karu,	কারু,	কারো,	
dadar,	দাদার,	দাদার,	
kirk,	কীর্ক,	কার্ক,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
gandhiio,	গান্ধি,	গান্ধীও,	
pharn,	ফার্ন,	ফার্ন,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
bo,	বো,	বু,	
chintai,	চিন্তাই,	ছিনতাই,	
arakaner,	আরাকণের,	আরাকানের,	
agibon,	অগিবান,	আজীবন,	
stonehenje,	স্ট্নেনহেজ,	স্টোনহেঞ্জ,	
soya,	সোয়া,	সোয়া,	
cilahaati,	চিলাহাটি,	চিলাহাটি,	
dhojobhongo,	ধজভঙ্গ,	ধ্বজভঙ্গ,	
konagoolo,	কোনগুলো,	কণাগুলো,	
romantiq,	রোমান্তিক,	রোমান্টিক,	
bondii,	বন্দি,	বন্দী,	
jonosanjog,	জনসন্গোগ,	জনসংযোগ,	
taaims,	টাইমস,	টাইমস্,	
tookrote,	টুকরতে,	টুকরোতে,	
jaki,	জাকি,	জকি,	
bamona,	বামনা,	বামনা,	
chalochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
licencedhari,	লিকেনসেডারি,	লাইসেন্সধারী,	
sonatani,	সোনাটানি,	সনাতনী,	
aviyojan,	অভিযোজন,	অভিযোজন,	
suchorita,	সুচরিত,	সুচরিতা,	
shpredshiit,	স্প্রেশ্ট,	স্প্রেডশীট,	
inapharameshana,	ইনফর্মেশন,	ইনফরমেশন,	
maladoobha,	মালাদ্ভা,	মলদোভা,	
aziboner,	অজিবানের,	আজীবনের,	
shaluk,	শালুক,	শালুক,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
chef,	চেফ,	শেফ,	
transphorm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
sinematographar,	সিনোমেটরাফর,	সিনেমাটোগ্রাফার,	
crime,	ক্রিম,	ক্রাইম,	
unitshoho,	ইউনিসসহ,	ইউনিটসহ,	
sobrokomer,	সব্রকমের,	সবরকমের,	
chhedon,	ছেদন,	ছেদন,	
sabaner,	সবানের,	সাবানের,	
jolatonko,	জলাতনক,	জলাতঙ্ক,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
pingnaa,	পিংপা,	পিংনা,	
mesenzarer,	মেজেনজারের,	মেসেঞ্জারের,	
brindabone,	ব্রিন্ডবনে,	বৃন্দাবনে,	
bosantake,	বসন্তকে,	বসন্তকে,	
shhipa,	শিপ,	শিপ,	
asabhya,	অসভ্য,	অসভ্য,	
bosonto,	বসন্ত,	বসন্ত,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
uponishad,	উপনিশাদ,	উপনিষদ,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
jakkher,	যক্ষের,	যক্ষের,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
morathi,	মরাঠী,	মরাঠি,	
vabna,	ভাবনা,	ভাবনা,	
durgo,	দুর্গ,	দুর্গ,	
nogore,	নগরে,	নগরে,	
brindo,	ব্রিন্দ,	বৃন্দ,	
maley,	মালে,	মালে,	
gabhaaskaar,	গভাসকার,	গাভাস্কার,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
samanwitavabe,	সামানভিতভাবে,	সমন্বিতভাবে,	
jarusalem,	জররুসলমেম,	জেরুসালেম,	
bisheshshyer,	বিশেষের,	বিশেষ্যের,	
dharavahikti,	ধারাবিহিকিতি,	ধারাবাহিকটি,	
chalochchitrai,	চলচিত্রই,	চলচ্চিত্রই,	
aiees,	আইএস,	আইএএস,	
temoni,	তেমনি,	তেমনই,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
cada,	কাদ,	কোডা,	
gonesher,	গণেশের,	গণেশের,	
ivir,	আইভির,	এভার,	
canal,	কানাল,	ক্যানেল,	
teoyana,	টিওয়ান,	তাইওয়ান,	
bonshoke,	বংশকে,	বংশকে,	
baasa,	বাসা,	বাসা,	
dianes,	ডায়নেস,	ডিএনএস,	
degreeo,	ডিগ্রীয়,	ডিগ্রিও,	
spredshiit,	স্প্রেশিত,	স্প্রেডশীট,	
shikkhakbrindo,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
nirvaha,	নির্বাহ,	নির্বাহ,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
muchir,	মুচির,	মুচির,	
plasse,	প্লাসে,	প্লাসে,	
thaakeni,	থাকেনি,	থাকেনি,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
sperm,	স্পার্ম,	স্পার্ম,	
abdune,	আব্দুনে,	আবদুন,	
icebarg,	এস্সবার্গ,	আইসবার্গ,	
steitt,	স্টেট,	স্টেইট,	
bodna,	বদ্া,	বদনা,	
madhukooree,	মধুকুরি,	মাধুকরী,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
dipgulote,	দিপ্ুলোতে,	দ্বীপগুলোতে,	
formet,	ফরমেট,	ফরম্যাট,	
transapharma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
bossonte,	বসন্তে,	বসন্তে,	
aansaareer,	আনসারির,	আনসারীর,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
sahochorjo,	সহচর্য,	সাহচর্য,	
bondhubhabapanno,	বন্ধভবপন্ন,	বন্ধুভাবাপন্ন,	
shaleha,	সালেহ,	সালেহা,	
kk,	কি,	কেকে,	
uzbekistaner,	উজ্বেকিস্তানের,	উজবেকিস্তানের,	
uzobekeestaaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
mesenzar,	মেজেনজার,	মেসেঞ্জার,	
skarrt,	স্কার্ট,	স্কার্ট,	
mirakela,	মিরকেল,	মিরাকেল,	
aashanka,	আশঙ্ক,	আশংকা,	
dhaanche,	ধাঁচে,	ধাঁচে,	
pleeto,	প্লেট,	প্লেটো,	
probhur,	প্রভূর,	প্রভুর,	
bed,	বেড,	বেদ,	
daaktikite,	ডাক্তিকিতে,	ডাকটিকিটে,	
breil,	ব্রেইল,	ব্রেইল,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
megh,	মেঘ,	মেঘ,	
phanda,	ফাঁদা,	ফান্ড,	
tophaat,	তফাট,	তফাৎ,	
artharer,	অর্থারের,	আর্থারের,	
oncolei,	অনকলেই,	অঞ্চলেই,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
sbajan,	স্বজন,	স্বজন,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
baek,	ব্যাক,	বাইক,	
choudhurider,	চৌধুদির,	চৌধুরীদের,	
ekshotee,	একশোটি,	একশোটি,	
jesthaa,	যেষ্ঠা,	জ্যেষ্ঠা,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
gaadhaa,	গাঁধা,	গাধা,	
shelina,	সেলিন,	সেলিনা,	
verma,	ভার্মা,	ভার্মা,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
liceensee,	লিকেন্স,	লাইসেন্স,	
hatochokito,	হতচকিত,	হতচকিত,	
daankaan,	ডানকান,	ডানকান,	
saarbhaarti,	সারভারটি,	সার্ভারটি,	
kemane,	কেমনে,	কেমনে,	
damone,	দামনে,	দমনে,	
dokanei,	ডোকানেই,	দোকানেই,	
mohammad,	মোহাম্মদ,	মুহাম্মদ,	
jati,	জাতি,	যাতি,	
qraima,	ক্রাইম,	ক্রাইম,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
parpel,	পারপেল,	পার্পেল,	
sudha,	সুধ্ধ,	সুধা,	
bhejaano,	ভেজানো,	ভেজানো,	
rightsh,	রাইটস,	রাইটস,	
hori,	হরি,	হরি,	
besooro,	বেশরর,	বেসুর,	
prokolpogulor,	প্রকল্পলোর,	প্রকল্পগুলোর,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
shanta,	শান্ত,	সান্তা,	
pudinn,	পুদিন,	পুডিং,	
saqara,	সাকার,	সাকার,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
vejjanno,	ভেজন্য,	ভেজানো,	
mawdeel,	মৌদিল,	মডেল,	
saarbhaare,	সারভারে,	সার্ভারে,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
marmaraa,	মার্মার,	মারমারা,	
ishpredshhit,	ইস্প্রেেশ,	স্প্রেডশীট,	
cinematographar,	সিনেটেগরার,	সিনেমাটোগ্রাফার,	
bhogirath,	ভগিরাথ,	ভগীরথ,	
braille,	ব্রেল,	ব্রেইল,	
ponjjikar,	পঞজজিকার,	পঞ্জিকার,	
tistar,	টিস্টার,	তিস্তার,	
dwibidh,	দ্বিধি,	দ্বিবিধ,	
emarzensi,	এমরজেন্সি,	এমার্জেন্সি,	
ammor,	আমর,	আমর,	
shektara,	সেক্টর,	সেক্টর,	
prottokhovabe,	প্রত্যাখ্যাাবে,	প্রত্যক্ষভাবে,	
nagarikderkey,	নাগরীকদেরকে,	নাগরিকদেরকে,	
bohoodin,	বহুদিন,	বহুদিন,	
badna,	বদ্ন,	বদনা,	
tatey,	তাটে,	তাতে,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
gara,	গার,	গোর,	
madol,	মাদল,	মাদল,	
otyacharita,	অত্যচারিত,	অত্যাচারিত,	
otorkeitey,	অটর্কিতে,	অতর্কিতে,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
abosan,	অবসান,	অবসান,	
bosten,	বসতেন,	বসতেন,	
kanasharabheshhana,	কনসারভেশন,	কনসারভেশন,	
meiler,	মেলের,	মেইলের,	
peethey,	পিঠে,	পীঠে,	
badhano,	বাধধানো,	বাঁধানো,	
aarcia,	আর্কিয়া,	আরসিএ,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
ssahocorze,	সহকর্যে,	সাহচর্যে,	
songbadmadhyome,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
masey,	মাসে,	মাসে,	
juktorastroshoho,	যুক্তরাস্রোস,	যুক্তরাষ্ট্রসহ,	
korleyi,	করলেই,	করলেই,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
uporital,	উপরিতাল,	উপরিতল,	
akpaase,	একপাশে,	একপাশে,	
norfolk,	নরফোলক,	নরফোক,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
definisian,	ডিফিনিশন,	ডেফিনেশন,	
roshider,	রশীদের,	রশিদের,	
oddure,	অদ্দুরে,	অদুরে,	
parsher,	পারসের,	পার্শ্বের,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
bhenisha,	ভেনিস,	ভেনিস,	
karmopontha,	কর্মপন্থা,	কর্মপন্থা,	
jaubanbati,	যৌবনবাটি,	যৌবনবতী,	
benish,	বেনিস,	ভেনিস,	
joisttho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
lakhindarer,	লখিন্দারের,	লখিন্দরের,	
sbaajan,	স্বাজান,	স্বজন,	
hyaloin,	হ্যালোন,	হ্যালোইন,	
dokaanei,	ডোকানেই,	দোকানেই,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
paltechhey,	পালেেছে,	পাল্টেছে,	
uchchotaro,	উচ্চতারও,	উচ্চতর,	
ajijur,	অজিজুর,	আজিজুর,	
taaler,	তালের,	তালের,	
abheegomon,	অভিগোমন,	অভিগমন,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
shaswata,	শাস্বত,	শাশ্বত,	
pitth,	পিঠ,	পীঠ,	
sanbadmadhyame,	সংবাদমধধ্যমে,	সংবাদমাধ্যমে,	
otyacharito,	অত্যচারিত,	অত্যাচারিত,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
cuti,	কিউটি,	কিউটি,	
mittrota,	মিত্রতা,	মিত্রতা,	
visnu,	বিষ্ণু,	বিষ্ণু,	
shloker,	স্লকের,	শ্লোকের,	
mandander,	মানদনদের,	মানদণ্ডের,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
akmot,	একমত,	একমত,	
advoot,	আদভুত,	অদ্ভুত,	
amarica,	অ্যামেরিকা,	আমেরিকা,	
sothikata,	সথিকতা,	সঠিকতা,	
hud,	হুড,	হুড,	
kalengga,	কলেঙ্গ,	কালেঙ্গা,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
alaol,	আলাল,	আলাওল,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
soinyo,	সৈন্য,	সৈন্য,	
jaqi,	জাকি,	জকি,	
gonokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
mette,	মেট,	ম্যাট,	
karmosansthaner,	কর্মসংথ্যানের,	কর্মসংস্থানের,	
ekaatto,	একাত্ব,	একাত্ব,	
natnikey,	নত্নীকে,	নাতনীকে,	
kredit,	ক্রেডি,	ক্রেডিট,	
udbhabon,	উদ্ভাবন,	উদ্ভাবন,	
mail,	মেল,	মাইল,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
expressian,	এক্সপ্রেশন,	এক্সপ্রেশন,	
porishongkhanbid,	পরিসংখ্যানবিদ,	পরিসংখ্যানবিদ,	
haran,	হরণ,	হারান,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
sainyasoho,	সৈন্যসহ,	সৈন্যসহ,	
bharkendra,	ভারকেন্দ্র,	ভরকেন্দ্র,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
chhatogolpe,	ছোটলগে,	ছোটগল্পে,	
sooya,	সোয়া,	সোয়া,	
shorif,	শরীফ,	শরিফ,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
bu,	বু,	বু,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
danobder,	দানবদের,	দানবদের,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
