nagarikderkey,	নগরীকদ্রে,	নাগরিকদেরকে,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
shikara,	সিকার,	শিকার,	
purple,	পার্পল,	পার্পেল,	
jathon,	যথন,	যথন,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
onekerie,	অনেকরি,	অনেকেরই,	
arekdol,	অরেকদল,	আরেকদল,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
jati,	জাতি,	যাতি,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
parishram,	পরিশ্রাম,	পরিশ্রম,	
haraten,	হারাতেন,	হারাতেন,	
obhishangsan,	অভিশংসান,	অভিশংসন,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
niutrinoo,	নিউট্রিন,	নিউট্রিনো,	
gaichhe,	গৈছে,	গাইছে,	
zubokti,	যুবকটি,	যুবকটি,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
jwor,	জ্বর,	জ্বর,	
pluse,	প্লাসে,	প্লাসে,	
nagarikkey,	নাগরিককে,	নাগরিককে,	
bosonte,	বসন্তে,	বসন্তে,	
cs,	সিএস,	সিএস,	
paab,	পাব,	পাব,	
dinifition,	ডিনিফিন,	ডেফিনেশন,	
mondopey,	মন্ডপে,	মন্ডপে,	
hafez,	হাফেজ,	হাফেয,	
sambhabanaow,	সম্ভাবনও,	সম্ভবনাও,	
cholochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
plane,	প্লেন,	প্লেন,	
ivil,	আইভিল,	ইভিল,	
indr,	ইন্ড্র,	ইন্দ্র,	
kuary,	কোয়ারি,	কোয়েরি,	
bhageri,	ভাগেরী,	ভাগেরই,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
skora,	স্কোর,	স্কোর,	
masjid,	মাসগিদ,	মসজিদ,	
ponchashjon,	পঞ্চাশম্ন,	পঞ্চাশজন,	
abdoor,	আব্দুর,	আবদুর,	
dibeta,	দিবেতা,	ডিবেট,	
voterer,	ভোটেরের,	ভোটারের,	
boneo,	বোনেও,	বনেও,	
alsaar,	আলসার,	আলসার,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
kamola,	কমলা,	কামলা,	
baman,	বামান,	বামন,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
yukeliptas,	ইউকেলিপটাস্ট,	ইউক্যালিপ্টাস,	
juktorashtrosaha,	যুক্তরাস্রসস,	যুক্তরাষ্ট্রসহ,	
bandhano,	বাঁধনও,	বাঁধানো,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
amerikar,	আমেরিকার,	আমেরিকার,	
gori,	গরি,	গোরি,	
kortaam,	করতাম,	করতাম,	
phormat,	ফরমাট,	ফরম্যাট,	
locker,	লকের,	লকের,	
garner,	গর্ণের,	গার্নার,	
asabhya,	অসভও,	অসভ্য,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
agomoney,	অগোমনে,	আগমনে,	
laishensha,	লেইন্স,	লাইসেন্স,	
kirkuk,	কিরকুক,	কিরকুক,	
plena,	প্লেন,	প্লেন,	
palbongsher,	পালবনশের,	পালবংশের,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
sumi,	সুমি,	সুমি,	
sulke,	সুলকে,	শুল্কে,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
soshorire,	শশরিরে,	সশরীরে,	
setikey,	সেটিকে,	সেটিকে,	
steit,	স্টেইট,	স্টেইট,	
bhangle,	ভাঙলে,	ভাঙলে,	
dee,	দি,	ডে,	
kailas,	কালস,	কৈলাস,	
format,	ফরমাট,	ফরম্যাট,	
serverty,	সার্ভরর্টি,	সার্ভারটি,	
sattweo,	সত্তেও,	সত্ত্বেও,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
pala,	পালা,	পোলো,	
lesensim,	লেসন্সিং,	লাইসেন্সিং,	
gripa,	গ্রিপ,	গ্রিপ,	
anekeri,	অনেকরি,	অনেকেরই,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
hepara,	হেপার,	হাইপার,	
mathew,	মাথেও,	ম্যাথিউ,	
uthhane,	উঠানে,	উঠানে,	
ula,	উল্,	উল,	
tenisha,	টেনিস,	টেনিস,	
maahe,	মাহে,	মাহে,	
pachak,	পাচক,	পাচক,	
zealand,	জিলেন্ড,	জিল্যান্ড,	
talgaachh,	তলগাছ,	তালগাছ,	
shkolashtik,	স্কোলাস্টিক,	স্কলাস্টিক,	
santaa,	সান্তা,	সান্তা,	
modele,	মদেল,	মডেলে,	
ganesh,	গণেস,	গণেশ,	
bheenasa,	ভেননস,	ভেনাস,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
graambasee,	গ্রাম্বসী,	গ্রামবাসী,	
elakaatite,	এলাকাতিতে,	এলাকাটিকে,	
shchalastic,	স্কেলাস্টিক,	স্কলাস্টিক,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
rajtantroke,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
duckten,	ডাকটেন,	ডাকতেন,	
apadan,	আপদান,	অপাদান,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
dibbay,	দিবায়,	দিব্যা,	
tenishe,	ট্যানিসে,	টেনিসে,	
utsahomulak,	উৎসামূমলক,	উৎসাহমূলক,	
besinay,	বেসিনেই,	বেসিনে,	
avetara,	অভেটর,	অবতার,	
aabarte,	আবর্তে,	আবর্তে,	
shangkalone,	সংকোলনে,	সংকলনে,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
monjurul,	মন্জুরুল,	মনজুরুল,	
artilary,	আর্টালির,	আর্টিলারি,	
damone,	ডেমন,	দমনে,	
uper,	উপের,	আপের,	
ammor,	আম্ম,	আমর,	
shulkey,	সুলকে,	শুল্কে,	
jacqsan,	জ্যাকসন,	জ্যাকসন,	
dackop,	ডককোপ,	দাকোপ,	
satarkakari,	সতর্ককারী,	সতর্ককারী,	
bairey,	বৈরে,	বাইরে,	
babylone,	বাবলিনে,	ব্যাবিলনে,	
shooter,	সুটের,	শ্যুটার,	
poschime,	পশ্চিমে,	পশ্চিমে,	
prakalpoti,	প্রকলপটি,	প্রকল্পটি,	
nirgamon,	নির্গমণ,	নির্গমন,	
cheerokumari,	চিরকুমিরি,	চিরকুমারী,	
arsie,	আর্সি,	আরসিএ,	
vagini,	ভাগেনী,	ভগিনী,	
sangbadmadhyamer,	সংবাদধা্ধমের,	সংবাদমাধ্যমের,	
bedkey,	বেদকে,	বেদকে,	
keuoi,	কিউই,	কেউই,	
oncoleo,	অঞ্চলেও,	অঞ্চলেও,	
ajij,	আজিজ,	আজিজ,	
houstoner,	হাস্তনের,	হিউস্টনের,	
meiler,	মেলের,	মেইলের,	
sheshardhe,	শেষর্ধে,	শেষার্ধে,	
window,	উইন্ডও,	উইন্ডো,	
sumoo,	সুমো,	সুমো,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
shikshao,	সিক্ষাও,	শিক্ষাও,	
dozo,	দো,	ডোজো,	
moomtaj,	মমতাজ,	মুমতাজ,	
jamkalo,	জামকালো,	জমকালো,	
chaalkee,	চালকি,	চালকে,	
antarctika,	অন্টর্টেক্স,	অ্যান্টার্কটিকা,	
sangkoolan,	সংকুলান,	সংকুলান,	
priti,	প্রীতি,	প্রিটি,	
elakashaho,	এলাকাশ,	এলাকাসহ,	
formet,	ফরমেট,	ফরম্যাট,	
jahor,	জহহর,	জহর,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
damdor,	দামদর,	দামদর,	
artillery,	আর্টিলির,	আর্টিলারি,	
heedgee,	হেগি,	হেজ,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
emarjensi,	এমর্জেন্সি,	এমার্জেন্সি,	
shalapheta,	সালফাইট,	সালফেট,	
asif,	আসিফ,	আসিফ,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
bishwashoi,	বিশ্বসাই,	বিশ্বাসই,	
firti,	ফির্টি,	ফিরতি,	
cinematographer,	সিনেমগ্রেরর,	সিনেমাটোগ্রাফার,	
utpatti,	উৎপত্তি,	উতপত্তি,	
lazika,	লাজিক,	লজিক,	
phirati,	ফিরতি,	ফিরতি,	
cholochchitragulor,	চলচ্চিত্রভাগুর,	চলচ্চিত্রগুলোর,	
feroza,	ফেরোজ,	ফিরোজা,	
chirata,	চিরতা,	চিরতা,	
agora,	আগরর,	আগোরা,	
bauger,	বাগের,	বাগের,	
sakar,	সকর,	সাকার,	
jansha,	জানশ,	জন্স,	
manushera,	মানুষেরা,	মানুষেরা,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
lagto,	লাগত,	লাগতো,	
sanghar,	সংঘর,	সংহার,	
udvabon,	উদ্ভাবন,	উদ্ভাবন,	
scorey,	স্করে,	স্কোরে,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
daankan,	দানকন,	ডানকান,	
osoborno,	অসবর্ন,	অসবর্ণ,	
jackshan,	জকশসন,	জ্যাকসন,	
deepan,	দিপন,	দীপন,	
toubaar,	তৌবার,	তওবার,	
bagdad,	বাদগদ,	বাগদাদে,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
bondikey,	বন্দিকে,	বন্দীকে,	
rupantor,	রূপান্তর,	রুপান্তর,	
kamij,	কামিজ,	কামিজ,	
observer,	অব্রেবরের,	অবজার্ভার,	
shotokeo,	শতকেও,	শতকেও,	
durgatir,	দুর্গতির,	দুর্গটির,	
chaakti,	চাকটি,	চাকতি,	
arifin,	আরিফিন,	আরিফিন,	
futbolarder,	ফুটবললারদের,	ফুটবলারদের,	
nortokike,	নর্তটকে,	নর্তকীকে,	
chho,	ছো,	ছোঁ,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
marketing,	মার্কেটিং,	মার্কেটিং,	
tep,	টিপ,	ট্যাপ,	
saaed,	সাইড,	সাইদ,	
kirk,	কির্ক,	কার্ক,	
peri,	পেরী,	পেরি,	
alaa,	আলা,	আলা,	
sooya,	সোয়া,	সোয়া,	
plete,	প্লেট,	প্লেট,	
toufiq,	তৌফিক,	তৌফিক,	
sithilotar,	সিথিিতার,	শিথিলতার,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
chereche,	চেরেছে,	ছেড়েছে,	
mahey,	মাহে,	মাহে,	
shaahaabaah,	সাহাবা,	সাহাবাহ,	
huqar,	হুকার,	হুকার,	
pattern,	প্যাট্রন,	প্যাটার্ন,	
agamanke,	অগামনকে,	আগমনকে,	
oppohoron,	অপহরণ,	অপহরন,	
mosleh,	মোসলেহ,	মোসলেহ,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
shulfate,	সালফাতে,	সালফেট,	
townsip,	তানশিপ,	টাউনশিপ,	
niqela,	নিকেলা,	নিকেল,	
miracle,	মিরাক্লে,	মিরাকেল,	
beem,	বীম,	বিম,	
chinito,	চিনিত,	চিনতো,	
taims,	টাইমস,	টাইমস্,	
abheedhaner,	অভিধানের,	অভিধানের,	
nischay,	নিশ্চে,	নিশ্চয়,	
kanuner,	কানুনের,	কানুনের,	
nagarikera,	নাগরিকেরা,	নাগরিকেরা,	
quota,	কোয়াট,	কোটা,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
farna,	ফার্ন,	ফার্ন,	
mile,	মিলে,	মিলে,	
chirota,	চিরতা,	চিরতা,	
unhu,	উন্,	উঁহু,	
rupert,	রুপার্ট,	রুপার্ট,	
saramiks,	সারামিক্স,	সিরামিকস,	
graambashi,	গ্রাম্বসী,	গ্রামবাসী,	
daver,	ডেভার,	ডোভার,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
footballerer,	ফুটবললের,	ফুটবলারের,	
sayeed,	সাইড,	সাইদ,	
songbadmadhyamgulote,	সংবাদধমিস্থমে,	সংবাদমাধ্যমগুলোতে,	
manohar,	মনোহর,	মনোহর,	
vaskor,	ভাস্কর,	ভাস্কর,	
madola,	ম্যাডলা,	মাদলা,	
botgach,	বোটাচ,	বটগাছ,	
byaboharkariyi,	ব্যবহারকারি,	ব্যবহারকারীই,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
ancholtikey,	আঞ্চলটিকে,	অঞ্চলটিকে,	
gonohottar,	গণহত্তার,	গণহত্যার,	
eidhyaning,	এথনিং,	ইদানীং,	
nuton,	নুটন,	নূতন,	
shcholashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
utpotti,	উৎপত্তি,	উতপত্তি,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
nogonno,	নগন্ন,	নগণ্য,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
ghesha,	ঘেসা,	ঘেঁষা,	
satan,	সতন,	শয়তান,	
mangolic,	মাঙগোলি,	মাঙ্গলিক,	
hoeel,	হইল,	হইল,	
sakara,	সাকার,	সকার,	
zommoo,	জম্মু,	জম্মু,	
ganochiner,	গণনিচেনের,	গণচীনের,	
nazad,	নজদ,	নজদ,	
jacker,	জ্যাকার,	জ্যাকের,	
raitasha,	রাইটাস,	রাইটস,	
theland,	থেলান্ড,	থাইল্যান্ড,	
jamkaalo,	জামকালো,	জমকালো,	
pleeta,	প্লেট,	প্লেট,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
prema,	প্রেম,	প্রাইম,	
horeepur,	হরিপুর,	হরিপুর,	
dobhar,	দোভর,	ডোভার,	
machti,	মাচটি,	মাছটি,	
sainyara,	সাইন্যার,	সৈন্যরা,	
favorite,	ফরভরটে,	ফেভারিট,	
rilayeensa,	রিলেয়েন্স,	রিলায়েন্স,	
maudelti,	ম্যাডেলটি,	মডেলটি,	
bagdadi,	বাগদদাদি,	বাগদাদী,	
biharey,	বিহরে,	বিহারে,	
ganosakkhorota,	গণসক্ষরতা,	গণসাক্ষরতা,	
asovya,	অসবওয,	অসভ্য,	
jolrang,	জোর্াাং,	জলরঙ,	
shektara,	সেক্টার,	সেক্টর,	
fokshkon,	ফক্ষক,	ফক্সকন,	
dala,	দালা,	দলা,	
badhano,	বাঁধাও,	বাঁধানো,	
anan,	আনন,	আনান,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
jomkalo,	জম্কাল,	জমকালো,	
uporostho,	উপরস্থ,	উপরস্থ,	
calabe,	চালাবে,	চালাবে,	
chaaltaa,	চালতা,	চালতা,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
bidghutey,	বিধঘুতে,	বিদঘুটে,	
brindabane,	বৃর্নবাদে,	বৃন্দাবনে,	
manu,	মানু,	মনু,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
ssosha,	শসা,	শশা,	
mayily,	মেলি,	মাইলি,	
narsaari,	নার্সারী,	নার্সারি,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
omitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
zinsa,	জিন্স,	জিন্স,	
rushd,	রাশ্ড,	রুশদ,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
hoil,	হইল,	হইল,	
bhabani,	ভবানী,	ভবানী,	
gambasi,	গাম্বাসী,	গ্রামবাসী,	
kiiborde,	কীবরদে,	কীবোর্ড,	
narafoka,	নরফাকা,	নরফোক,	
daakteekit,	ডাক্তিকিত,	ডাকটিকিট,	
choopi,	চুপি,	চুপি,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
karka,	কর্ক,	কার্ক,	
obolokon,	অবলকপন,	অবলোকন,	
torup,	তরুপ,	ট্রুপ,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
nitikatha,	নীতিকাঠা,	নীতিকথা,	
obhaarbhiu,	অভারভিভ,	ওভারভিউ,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
bahaati,	বাহাতি,	বাহাতি,	
gyate,	গ্যাতে,	গ্যেটে,	
nabheela,	ন্যালে,	নভেল,	
dephineshhana,	ডেফিনিশন,	ডেফিনেশন,	
jank,	জাঁক,	জাঁক,	
jamaanor,	জামানোর,	জমানোর,	
damonmoolok,	দামন্লম,	দমনমূলক,	
sampadon,	সম্পাদন,	সম্পাদন,	
samajer,	সমাজের,	সমাজের,	
natshi,	নাটসি,	নাত্সি,	
riphleqsa,	রাইফ্লেস্,	রিফ্লেক্স,	
sarollo,	সরল্লো,	সারল্য,	
protul,	প্রতুল,	প্রতুল,	
debdebyr,	দেবদেবের,	দেবদেবীর,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
bosontoke,	বসন্তকে,	বসন্তকে,	
kaathhaamaandu,	কাঠামোদ্দ,	কাঠমান্ডু,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
nogonyo,	নগগনও,	নগণ্য,	
obhigomon,	অভিগোমন,	অভিগমন,	
potthon,	পঠঠন,	পঠন,	
janacche,	জানাচ্ছে,	জানাচ্ছে,	
nopdikey,	নপ্দীকে,	নদীকে,	
pathkramer,	পথক্রমের,	পাঠক্রমের,	
nirantar,	নির্নত্র,	নিরন্তর,	
uporitaler,	উপরিতলের,	উপরিতলের,	
qyapasula,	ক্যাপোসুল,	ক্যাপসুল,	
apoharon,	অপহরণ,	অপহরন,	
simmons,	সিমমন্স,	সিমন্স,	
daltagi,	দলত্যাগি,	দলত্যাগী,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
seebiai,	সিবিই,	সিবিআই,	
shyutara,	স্যুটার,	শ্যুটার,	
carpete,	কার্পিটে,	কার্পেটে,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
prostutkarok,	প্রস্তুতকার,	প্রস্তুতকারক,	
oshovyo,	অশ্ব,	অসভ্য,	
shrabostee,	শ্রবশ্তি,	শ্রাবস্তী,	
brindaboner,	ব্র্নবাদনের,	বৃন্দাবনের,	
kemoney,	কেমনে,	কেমনে,	
habshi,	হাবশি,	হাবশী,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
dharabahikbhabey,	ধারাবাচ্তভাবে,	ধারাবাহিকভাবে,	
neelfamarir,	নীলফামারীর,	নীলফামারীর,	
shikhbe,	শিখবে,	শিখবে,	
aunty,	অ্যান্টি,	আন্টি,	
dubureer,	দুবুরীর,	ডুবুরির,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
eucalyptus,	ইউক্যালিপটটস,	ইউক্যালিপ্টাস,	
qoda,	কোডা,	কোডা,	
aap,	আপ,	আপ,	
suri,	সুরি,	সুরি,	
deliver,	ডেলিভের,	ডেলিভার,	
deejeejer,	ডিজেজের,	ডিজিজের,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
fevarite,	ফেভরাইট,	ফেভারিট,	
krusher,	ক্রুষের,	ক্রুশের,	
sahocorrze,	সহচর্যে,	সাহচর্যে,	
tinhajar,	তিনহাজার,	তিনহাজার,	
turki,	তুর্কী,	তুর্কি,	
anchalo,	আঞ্চল,	অঞ্চলও,	
eidin,	এইদিন,	এইদিন,	
shoilee,	সৈলি,	শৈলী,	
bojhaao,	বোঝাও,	বোঝাও,	
suporichiti,	সুপোরিচিতি,	সুপরিচিতি,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
borana,	বরান,	বোরন,	
gujaber,	গুজবের,	গুজবের,	
maner,	মানের,	মানে,	
kandy,	কান্দি,	ক্যান্ডি,	
tyuner,	টিউনের,	টিউনার,	
bosten,	বস্তেন,	বসতেন,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
ceramicer,	কেরমিকের,	সিরামিকের,	
alngkoron,	অলংকরণ,	অলঙ্করণ,	
odurey,	অদূরে,	অদুরে,	
bhenasha,	ভেননস,	ভেনাস,	
antarbhuktimulak,	অন্তর্ভূম্চুকুক,	অন্তর্ভুক্তিমূলক,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
patisapta,	পাতিশপ্ত,	পাটিসাপটা,	
armshtrong,	আর্মশ্ত্র্ণ,	আর্মস্ট্রং,	
ekar,	একর,	একার,	
shanta,	সান্ত,	সান্তা,	
prakalpotike,	প্রকলপটিকে,	প্রকল্পটিকে,	
laishensh,	লিইন্স,	লাইসেন্স,	
choddo,	ছদ্্দ,	চোদ্দো,	
karlosh,	কার্লস,	কার্লোস,	
besirbhagei,	বেশিরভাগেই,	বেশিরভাগেই,	
gaphiloti,	গাফিলটি,	গাফিলতি,	
uporital,	উপরিতাল,	উপরিতল,	
gananatya,	গণনাত্য,	গণনাট্য,	
graambaseeo,	গ্রামবাসেও,	গ্রামবাসীও,	
asbar,	আসবার,	আসবার,	
gelo,	গেলো,	গেলো,	
sthaponagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
sip,	সিপ,	শিপ,	
skoora,	স্কুরা,	স্কোর,	
pratool,	প্রোতুল,	প্রতুল,	
gondho,	গন্ধ,	গন্ধে,	
mosjidtikey,	মস্দিদ্তিকে,	মসজিদটিকে,	
nutaner,	নুতানের,	নূতনের,	
kompeeto,	কম্পিত,	কম্পিত,	
kodorer,	কোদরের,	কদরের,	
bjp,	বিজিপি,	বিজেপি,	
chalochchitrogulor,	চলচ্চিত্রভুলোর,	চলচ্চিত্রগুলোর,	
spreeadsheet,	স্প্রাডিস,	স্প্রেডশীট,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
tokee,	টোকি,	তকি,	
obdi,	অব্দি,	অব্দি,	
daankaan,	দানকান,	ডানকান,	
ramdhonu,	রমদধু,	রামধনু,	
neemeette,	নিমিত্বে,	নিমিত্তে,	
onnkita,	অন্কিত,	অঙ্কিতা,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
onodhikar,	অনোধীকার,	অনধিকার,	
patengar,	পটেঙ্গার,	পতেঙ্গার,	
timoothi,	তিমুথি,	টিমোথি,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
crecenter,	ক্রিকেন্টার,	ক্রিসেন্টের,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
shapholler,	সফললার,	সাফল্যের,	
railliner,	রেলিনের,	রেললাইনের,	
anodhikar,	অনোধিকার,	অনধিকার,	
jor,	জোর,	জ্বর,	
turqmen,	তুর্কমেন,	তুর্কমেন,	
nilabha,	নিলভা,	নীলাভ,	
shookna,	শুকনা,	শুকনা,	
netsi,	নেটসি,	নাত্সি,	
nadnadeer,	নদ্্দীর,	নদনদীর,	
janmato,	জন্মত,	জন্মাত,	
shloker,	স্লকের,	শ্লোকের,	
cherechhe,	চেরেছে,	ছেড়েছে,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
alaoul,	আলাওল,	আলাওল,	
joruri,	জরুরী,	জরূরী,	
jakkho,	যক্ষ,	যক্ষ,	
loukeek,	লুকিক,	লৌকিক,	
thanvi,	থানবি,	থানভী,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
daktikiter,	দক্তিকিতের,	ডাকটিকিটের,	
phoksher,	ফক্সের,	ফক্সের,	
hoteltee,	হটেলটি,	হোটেলটি,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
noitikotabodh,	নৈতিকতাবোদ,	নৈতিকতাবোধ,	
sherup,	শেরুপ,	সেরুপ,	
zuktorastroshoho,	যুক্তরাস্রসস,	যুক্তরাষ্ট্রসহ,	
soinyo,	সৈন্য,	সৈন্য,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
jees,	জিস,	জেস,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
iukyaliptasha,	ইউক্যিপেক্স,	ইউক্যালিপ্টাস,	
jolbe,	জলবে,	জ্বলবে,	
satthikota,	সাথিকটা,	সঠিকতা,	
si,	সি,	এসআই,	
sohinsotar,	সহিংস্তর,	সহিংসতার,	
dayitta,	দৈত্য,	দায়িত্ব,	
nirbahi,	নির্বাহী,	নির্বাহি,	
soholovyotar,	সহলভ্যতার,	সহজলভ্যতার,	
pleeto,	প্লেট,	প্লেটো,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
pratul,	প্রতুল,	প্রতুল,	
madhukooree,	মাধুুকরী,	মাধুকরী,	
kanasharabheshhana,	কনসারেশন,	কনসারভেশন,	
guzober,	গুজবের,	গুজবের,	
templet,	টেম্পলেট,	টেম্পলেট,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
serup,	সেরুপ,	সেরুপ,	
imarjinsi,	এমর্জেন্সি,	এমার্জেন্সি,	
soorsa,	সুরসা,	সোর্স,	
hariner,	হেরিনের,	হরিণের,	
aiees,	আইএএস,	আইএএস,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
gudamjaato,	গুদাম্জত,	গুদামজাত,	
upacharjo,	উপচর্্য,	উপাচার্য,	
postkay,	পোষ্টকে,	পোস্টকে,	
kokhonoba,	কখনোবা,	কখনওবা,	
taler,	তালের,	তালের,	
hames,	হামেস,	হোমস,	
pratimar,	প্রতিমার,	প্রতিমার,	
nodiitei,	নদীতেই,	নদীতেই,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
dharavahik,	ধারাবাহিক,	ধারাবাহিক,	
jalrang,	জাররাং,	জলরঙ,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
galpokar,	গল্পকার,	গল্পকার,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
shrichaitanyadeb,	শ্রীচৈতন্যবেদ,	শ্রীচৈতন্যদেব,	
kolkarkhana,	কলাকর্ষণ,	কলকারখানা,	
ptolemir,	প্টোলিমির,	টলেমির,	
phirth,	ফির্থ,	ফার্থ,	
janate,	জনতে,	জানাতে,	
recondition,	রেকন্ডিনশন,	রিকন্ডিশন,	
manobmoner,	মানবমমের,	মানবমনের,	
korimkey,	করিমকে,	করিমকে,	
machher,	মাছের,	মাছের,	
udbhaboni,	উদ্ভাবনি,	উদ্ভাবনী,	
tarani,	তরনী,	তরণী,	
reliance,	রিলিয়েন্স,	রিলায়েন্স,	
euro,	ইউরো,	ইউরো,	
chalke,	চলকে,	চালকে,	
ghumachchilo,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
ummul,	উম্মুল,	উম্মুল,	
debholapar,	ডেভলপার,	ডেভলপার,	
drisser,	দৃশ্যের,	দৃশ্যের,	
pachbar,	পাঁচবর,	পাঁচবার,	
uponeesoder,	উপনিশদের,	উপনিষদের,	
ghatlo,	ঘাটল,	ঘটল,	
shhooter,	সুটার,	শ্যুটার,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
bagey,	বাগে,	বাগে,	
