alauler,	আলালের,	আলাওলের,	
asietic,	অসিটিক,	এশিয়াটিক,	
dharabhashyakar,	ধারাবশ্যকার,	ধারাভাষ্যকার,	
srabosty,	স্রবস্টি,	শ্রাবস্তী,	
abasane,	অবাসনে,	অবসানে,	
dibate,	দিবতে,	ডিবেট,	
wagadada,	ওগাদাদা,	বাগদাদ,	
laisense,	লাইসেন্স,	লাইসেন্স,	
ssumoo,	সুমু,	সুমো,	
phareksa,	ফারেক্স,	ফরেক্স,	
towbaar,	তাবার,	তওবার,	
myat,	ম্যাট,	ম্যাট,	
daqop,	ডাকপ,	দাকোপ,	
beetlaser,	বিটলাসের,	বিটলসের,	
laicense,	লাইকেন্স,	লাইসেন্স,	
janosamaj,	জনসমাজ,	জনসমাজ,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
kalniir,	কালনীর,	কালনীর,	
dormitori,	দরমিতরি,	ডরমিটরি,	
antorvuktimulak,	অন্তর্ভূকূমূক্বক,	অন্তর্ভুক্তিমূলক,	
chintaikari,	চিন্তিকারী,	ছিনতাইকারী,	
prabhritike,	প্রভারিটিকে,	প্রভৃতিকে,	
turqi,	টার্কি,	তুর্কি,	
artilary,	আর্টিয়ারি,	আর্টিলারি,	
engrezer,	ইংরেজের,	ইংরেজের,	
daktickete,	ডাক্টিকেটে,	ডাকটিকিটে,	
thatchar,	থাঁচার,	থ্যাচার,	
purohitder,	পুরুহিতদের,	পুরোহিতদের,	
baarbadoj,	বারবদাজ,	বার্বাডোজ,	
choity,	চৈতি,	চৈতি,	
soorsa,	সোর্স,	সোর্স,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
kooshumba,	কুশম্ব,	কুশুম্বা,	
risorte,	রিসোর্টে,	রিসোর্টে,	
doulaa,	দৌলা,	দৌলা,	
mitrota,	মিত্রতা,	মিত্রতা,	
euqalyptus,	এউকল্পিট্টাস,	ইউক্যালিপ্টাস,	
jokey,	যোকে,	জকি,	
porishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
kirti,	কির্টি,	কীর্তি,	
ivir,	ইভির,	এভার,	
asamanjashapurna,	অসমানবনসুপ্র,	অসামঞ্জস্যপূর্ণ,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
vedke,	ভেডকে,	বেদকে,	
jetei,	জেটেই,	যেতেই,	
messengerer,	মেসেন্গেরের,	মেসেঞ্জারের,	
pujit,	পুজিত,	পুজিত,	
aazan,	আজান,	আজান,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
kompeeto,	কম্পিত,	কম্পিত,	
khappar,	খাপপার,	খপ্পর,	
koyeri,	কোয়েরি,	কোয়েরি,	
direektareeta,	দিরেক্টারিত,	ডিরেক্টরেট,	
capshule,	কাপসলে,	ক্যাপসুল,	
kabutarer,	কাবুতারের,	কবুতরের,	
eder,	এডের,	এদের,	
bimaataa,	বিমাতা,	বিমাতা,	
adhit,	অধিত,	অধীত,	
abheegomon,	অভিগমন,	অভিগমন,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
jerujaleme,	জেরুজাজালে,	জেরুসালেমে,	
noter,	নটের,	নোটের,	
tiger,	তিগের,	টাইগার,	
porijon,	পরিজন,	পরিজন,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
sangbadmadhyome,	সংবাদধম্যমে,	সংবাদমাধ্যমে,	
puroheetke,	পুরহহীতকে,	পুরোহিতকে,	
hugheke,	ঘুঁকে,	হিউজকে,	
soomita,	সুমিতা,	সুমিতা,	
antarbhuktimulak,	অন্তর্ভূকূমূক্ক,	অন্তর্ভুক্তিমূলক,	
obiyi,	অবিই,	ওবিই,	
thaakte,	থাকতে,	থাকতে,	
tunaita,	টুনাইট,	টুনাইট,	
udbhabani,	উদ্ভাবনী,	উদ্ভাবনী,	
shakkhatkarer,	শাক্ষাতকারের,	সাক্ষাত্কারের,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
ponchaashjon,	পঞ্চাশন,	পঞ্চাশজন,	
sector,	সেক্টর,	সেক্টর,	
bhezano,	ভেজানো,	ভেজানো,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
rajtontrokey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
feroz,	ফেরজ,	ফিরোজ,	
nirikhe,	নিরিখে,	নিরিখ,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
bosante,	বসন্তে,	বসন্তে,	
heights,	হেইটস,	হাইটস,	
verma,	ভের্ম,	ভার্মা,	
foster,	ফোস্টের,	ফস্টার,	
volapuq,	ভলাাপুক,	ভোলাপুক,	
ashangka,	আসংকা,	আশংকা,	
gadha,	গাধ,	গাধা,	
nagalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
okhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
yanqee,	আ্যাং,	ইয়াংকি,	
hailo,	হাইল,	হইল,	
mandope,	মন্ডোপে,	মন্ডপে,	
remakri,	রেমাক্রী,	রেমাক্রী,	
fostar,	ফোস্টার,	ফস্টার,	
footballerder,	ফুটলবার্ের,	ফুটবলারদের,	
assastikar,	অস্বাস্তিকার,	অস্বস্তিকর,	
hul,	হুল,	হুল,	
somonnitobhabe,	সমন্নিতভাবে,	সমন্বিতভাবে,	
babylon,	বাবলন,	ব্যাবিলন,	
saddhi,	সাধধি,	সাধ্বী,	
rubol,	রূবল,	রুবল,	
sotorkota,	সতরকাতা,	সতর্কতা,	
shuparahiro,	সুপারহরর,	সুপারহিরো,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
sharok,	সারক,	স্মারক,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
gobhornorer,	গভর্ণরের,	গভর্ণরের,	
ekoghoore,	একঘুরে,	একঘরে,	
alangkoron,	আলঙ্করণ,	অলঙ্করণ,	
raktaksharaner,	রক্তক্ষাণের,	রক্তক্ষরণের,	
khogen,	খোগেন,	খগেন,	
selina,	সেলিন,	সেলিনা,	
biseshyer,	বিশেষ্যের,	বিশেষ্যের,	
chutir,	চুতির,	ছুটির,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
keyu,	কেও,	কেউ,	
jacker,	যাক্ের,	জ্যাকের,	
nagorikke,	নাগরীককে,	নাগরিককে,	
oojbekistan,	অজবিকিস্তান,	উজবেকিস্তান,	
obotar,	অবতার,	অবতার,	
asavyo,	অসাব্য,	অসভ্য,	
bibechya,	বিবেছ্য,	বিবেচ্য,	
nortokike,	নর্তকিকে,	নর্তকীকে,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
jinsha,	জিন্সা,	জিন্স,	
nagariker,	নাগরীকের,	নাগরিকের,	
sooya,	সোয়া,	সোয়া,	
phala,	ফোলা,	পোলো,	
sylvi,	সিল্ভি,	সিলভি,	
isosiyitasa,	এসোসিইট,	এসোসিয়েটস,	
chilahatee,	চিলাহাতি,	চিলাহাটি,	
ancholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
brittakarey,	বৃত্তাকারে,	বৃত্তাকারে,	
daakticket,	ডাক্টিকেট,	ডাকটিকিট,	
rotheen,	রথীন,	রথীন,	
jathartha,	যথারথা,	যথার্থ,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
unhu,	উনু,	উঁহু,	
hoomasa,	হোমাস,	হোমস,	
teknokrat,	টেকনক্রতা,	টেকনোক্র্যাট,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
forid,	ফরিদ,	ফরিদ,	
hoolding,	হুলডিং,	হোল্ডিং,	
dhyana,	ধ্যান,	ধ্যান,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
bonke,	বঙ্কে,	বনকে,	
beshirbhagi,	বেশিরভাগী,	বেশিরভাগই,	
shkalarashhipa,	স্কাারশিপ,	স্কলারশিপ,	
annorup,	অন্যরূপ,	অন্যরূপ,	
shilver,	শিলভের,	সিলভার,	
loker,	লোকের,	লকের,	
pachbar,	পাঁবার,	পাঁচবার,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
chhooteete,	ছুটিতে,	ছুটিতে,	
loukikataa,	লুকিকতা,	লৌকিকতা,	
deares,	ডারেস,	ডিআরএস,	
sahochorjo,	সহচর্য,	সাহচর্য,	
shreemoti,	শ্রীমতি,	শ্রীমতি,	
hondooras,	হন্দুরাস,	হন্ডুরাস,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
bongsho,	বংশ,	বংশ,	
kortam,	কোর্টাম,	করতাম,	
croak,	ক্রোক,	ক্রোক,	
arakaner,	আরকানের,	আরাকানের,	
rutina,	রুটিন,	রুটিন,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
ekghorey,	একঘরে,	একঘরে,	
mahakabi,	মহাকাবি,	মহাকবি,	
jestha,	জেষ্ঠ,	জ্যেষ্ঠা,	
sanaktakaran,	সনক্্তকরণ,	সনাক্তকরণ,	
songasthagulo,	সংস্যাতুলো,	সংস্থাগুলো,	
dakope,	ডাকোপ,	দাকোপ,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
jonmato,	জন্মত,	জন্মাত,	
protijogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
ashor,	আসর,	আসর,	
ejenda,	এজেন্দ,	এজেন্ডা,	
palestine,	পােেস্টিনে,	প্যালেস্টাইনে,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
zacksan,	জক্স্,	জ্যাকসন,	
jibanjapon,	জীবনযাপন,	জীবনযাপন,	
potkaa,	পটকা,	পটকা,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
koode,	কোড,	কোড,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
deil,	ডেল,	ডেইল,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
temani,	টেমানি,	তেমনই,	
hooq,	হুক,	হুক,	
pachchen,	পাচছেন,	পাচ্ছেন,	
itostatah,	ইতসসতাথ,	ইতস্ততঃ,	
grambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
lishenshe,	লিসেন্সে,	লাইসেন্স,	
grambasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
adhatik,	আধাতিক,	আধ্যাত্মিক,	
sarboshokteeman,	সর্বস্কক্মীণ,	সর্বশক্তিমান,	
shhikha,	শিখা,	শিখ,	
nevate,	নেভাতে,	নেভাতে,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
agahir,	অগাহীর,	অগভীর,	
bizito,	বিজিত,	বিজিত,	
dipke,	ডিপকে,	দ্বীপকে,	
direectoratee,	ডিরেক্টারিট,	ডিরেক্টরেট,	
chhooti,	ছুটি,	ছুটি,	
babona,	বাবানা,	বাবনা,	
ganoporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
pravritite,	প্রবরিতিতে,	প্রভৃতিতে,	
saaed,	সাইদ,	সাইদ,	
mausumer,	মৌসমের,	মৌসুমের,	
reeno,	রেনো,	রেনো,	
meghacchonno,	মেলচাচ্যন,	মেঘাচ্ছন্ন,	
sothikota,	সথিকতা,	সঠিকতা,	
shuperheiro,	সুপারেহরা,	সুপারহিরো,	
ganaporibahan,	গণপরিবাহন,	গণপরিবহন,	
mathieu,	মাঠিও,	ম্যাথিউ,	
klaud,	ক্লাড,	ক্লাউড,	
asiph,	আসিফ,	আসিফ,	
taholo,	তাহলো,	তাহলো,	
horeedware,	হরিদ্বরে,	হরিদ্বারে,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
depooti,	দেপুতি,	ডেপুটি,	
starc,	স্টার্ক,	স্টার্ক,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
ashociatesh,	অসযাসেটেস,	এসোসিয়েটস,	
abdun,	আবদুন,	আবদুন,	
niketan,	নিকেটন,	নিকেতন,	
kachhakaachhi,	কাচাচাছি,	কাছাকাছি,	
gobeshana,	গবেষণা,	গবেষনা,	
shomrat,	সম্রাত,	সম্রাট,	
snipper,	সিনপিপের,	স্নাইপার,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
dakteekit,	ডাক্টিকটিট,	ডাকটিকিট,	
chittronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
pothnatok,	পথনাতক,	পথনাটক,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
ganona,	গণনা,	গননা,	
phemale,	ফেমালে,	ফিমেল,	
graambasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
lagchhe,	লাগছে,	লাগছে,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
tanu,	টানু,	তনু,	
bhangle,	ভাঙ্গেল,	ভাঙলে,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
mangalik,	মঙ্গালিক,	মাঙ্গলিক,	
sahocorrze,	সহচর্র্য,	সাহচর্যে,	
pustir,	পুস্টির,	পুষ্টির,	
zinsa,	জিন্স,	জিন্স,	
koda,	কোড,	কোড,	
bhejano,	ভেজানো,	ভেজানো,	
grontho,	গ্রন্থ,	গ্রন্থ,	
goteerodh,	গতিরোধ,	গতিরোধ,	
mishal,	মিশাল,	মিশাল,	
khizir,	কিহির,	খিজির,	
chittronattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
phaksa,	ফক্স,	ফক্স,	
kul,	কুল,	কুল,	
krus,	ক্রাস,	ক্রুশ,	
nama,	নামা,	নমো,	
ashonka,	অসঙ্কা,	আশংকা,	
mohit,	মহিত,	মুহিত,	
ches,	চেষ,	চেস,	
sacheton,	স্যাচেন,	সচেতন,	
tarokareer,	তারাকারীর,	তরকারীর,	
prachando,	প্রচান্দ,	প্রচণ্ড,	
nottee,	নটি,	নোটটি,	
prakalpao,	প্রকল্পল,	প্রকল্পও,	
hoteltite,	হটেলটিতে,	হোটেলটিতে,	
bossonte,	বসন্তে,	বসন্তে,	
enginears,	ইনফাইজার্স,	ইঞ্জিনিয়ার্স,	
colahol,	কলালহ,	কোলাহল,	
vdp,	ভিড্প,	ভিডিপি,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
mase,	মাসে,	মাসে,	
spredasita,	স্প্রেডিস,	স্প্রেডশীট,	
nathivookta,	নথিভুক্ত,	নথিভুক্ত,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
thaakeni,	ঠাকানি,	থাকেনি,	
societytey,	সোকিয়েটি,	সোসাইটিতে,	
clause,	ক্লাউস,	ক্লজ,	
ramzaner,	রামজানের,	রমযানের,	
panero,	পানেরও,	পনের,	
tinti,	টিনটি,	তিনটি,	
vabaponno,	ভাবাপন্য,	ভাবাপন্ন,	
samanwitobhabe,	সমান্যবিতভাবে,	সমন্বিতভাবে,	
nyeta,	নেট,	ম্যাট,	
tyap,	ট্যাপ,	ট্যাপ,	
phising,	ফিসিং,	ফিসিং,	
kando,	কান্ড,	কাণ্ড,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
ghenshei,	ঘেনসেই,	ঘেঁষেই,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
bolvodro,	বলবোদ্র,	বলভদ্র,	
skyirt,	স্কাইর্ট,	স্কার্ট,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
hantte,	হাঁততে,	হাঁটতে,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
alaoler,	আলালের,	আলাওলের,	
otyacharita,	অত্যচারিত,	অত্যাচারিত,	
shuperhero,	সুপেরেরা,	সুপারহিরো,	
sardar,	সর্দার,	সরদার,	
komti,	কমটি,	কমতি,	
grameroi,	গ্রামেরই,	গ্রামেরই,	
hostantor,	হোস্তান্তর,	হস্তান্তর,	
khur,	খুর,	ক্ষুর,	
jatinkey,	জাতিনকে,	যতীনকে,	
dakhbaar,	দখহার,	দেখবার,	
developer,	ডেভেলপের,	ডেভলপার,	
konorup,	কোরাুপ,	কোনরূপ,	
shaamiijiir,	সামিজীর,	স্বামীজীর,	
bhaibonder,	ভাইবন্দের,	ভাইবোনদের,	
batikromi,	ব্যতিক্রমী,	ব্যতিক্রমী,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
jar,	জার,	জ্বর,	
jaanalo,	জানালো,	জানালো,	
lishensh,	লিসেন্স,	লাইসেন্স,	
spashtotai,	স্প্্্ততাই,	স্পষ্টতই,	
sangosthati,	সংস্থতটি,	সংস্থাটি,	
anchalsamuher,	আঞ্চালসূহের,	অঞ্চলসমূহের,	
photanor,	ফটানোর,	ফোটানোর,	
cholochchitreei,	চলচিত্রী,	চলচ্চিত্রেই,	
siddhantogulo,	সিধ্যান্গগুলো,	সিদ্ধান্তগুলো,	
prochondo,	প্রচন্দ,	প্রচণ্ড,	
animated,	অনিমাতেদ,	এনিমেটেড,	
shukraanu,	সুক্রাণু,	শুক্রানু,	
harza,	হার্জ,	হার্জ,	
institutioney,	ইন্সটিটিউনে,	ইনস্টিটিউশনে,	
poorohitra,	পুরহিত্র,	পুরোহিতরা,	
scoore,	স্কোর,	স্কোর,	
siddhantoi,	সিদ্ধানতি,	সিদ্ধান্তই,	
palashir,	পালসির,	পলাশীর,	
brek,	ব্রেক,	ব্রেক,	
kandy,	কান্ডি,	ক্যান্ডি,	
aazaadir,	আজাদীর,	আজাদীর,	
mache,	মাছে,	মাছে,	
porizon,	পরিজন,	পরিজন,	
senabahineekey,	সেনাবাহীনীকে,	সেনাবাহিনীকে,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
charukala,	চারুকালা,	চারুকলা,	
kachakachi,	কাচাচাছি,	কাছাকাছি,	
direktareta,	ডিরেক্টেরিট,	ডিরেক্টরেট,	
nirmankaz,	নির্মাণকাল,	নির্মাণকাজ,	
koieri,	কৈইরি,	কোয়েরি,	
karmoke,	কর্মকে,	কর্মকে,	
bishashke,	বিশাষকে,	বিশ্বাসকে,	
osthisondhi,	অস্থিশন্ধী,	অস্থিসন্ধি,	
rabo,	রব,	রব,	
konader,	কোনাদের,	কণাদের,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
protizogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
doloo,	ডলও,	ডলু,	
agrodoot,	অগ্রদুত,	অগ্রদূত,	
parswer,	পারস্যের,	পার্শ্বে,	
homser,	হোমসের,	হোমসের,	
grooth,	গ্রথ,	গ্রোথ,	
nachiketa,	নাচিকেট,	নচিকেতা,	
sansthati,	সংস্থটি,	সংস্থাটি,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
addabaaj,	আদ্যাবাজ,	আড্ডাবাজ,	
byaboharkarir,	ব্যবহারকারী,	ব্যবহারকারীর,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
bikargrosto,	বিকর্গর্ষ,	বিকারগ্রস্ত,	
chalke,	চলকে,	চালকে,	
udbodhaner,	উদ্বধানের,	উদ্বোধনের,	
mehonoti,	মেহনতি,	মেহনতি,	
airesey,	আইরেসে,	আইরেসে,	
romnar,	রমনার,	রমনার,	
ghetu,	ঘটি,	ঘেটু,	
piroojalee,	পিরোজালী,	পিরুজালী,	
nagarikkey,	নাগরীককে,	নাগরিককে,	
bosontoke,	বসন্তকে,	বসন্তকে,	
sajanor,	সাজনর,	সাজানোর,	
byomkesh,	ব্যামকেশ,	ব্যোমকেশ,	
turkyder,	তুর্কদের,	তুর্কিদের,	
mesenzar,	মেসেন্জার,	মেসেঞ্জার,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
felto,	ফেলটো,	ফেলত,	
jatotaa,	যততা,	যতোটা,	
dijijer,	দিজিজের,	ডিজিজের,	
teteyer,	টেয়ের,	টেটের,	
baasaate,	বাসাতে,	বাসাতে,	
porbotmala,	পর্বতম্ালা,	পর্বতমালা,	
adhyattikotar,	অধ্যাতিতকার,	আধ্যাত্মিকতার,	
chhutochhooti,	ছুটোছটি,	ছুটোছুটি,	
vaisoho,	ভাইসহ,	ভাইসহ,	
cheettronnatyokar,	চিত্রনান্টারক,	চিত্রনাট্যকার,	
primo,	প্রিম,	প্রিমো,	
onodhikar,	অনধিকার,	অনধিকার,	
boudha,	বৌধা,	বৌদ্ধ,	
liceensee,	লিইসেন,	লাইসেন্স,	
khelafate,	খেলাফাতে,	খেলাফতে,	
korimke,	করিমকে,	করিমকে,	
durgondher,	দুর্গন্ধের,	দুর্গন্ধের,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
satarka,	সতার্কা,	সতর্ক,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
badhadan,	বাধাদন,	বাধাদান,	
aarke,	আর্কে,	আরকে,	
pare,	পের,	পাড়ে,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
mukkho,	মুখ্,	মুখ্য,	
arakan,	আরকান,	আরাকান,	
madrasa,	মাদ্রস,	মাদ্রাসা,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
armenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
aakkash,	আক্ষা,	আককাস,	
prokalpatikey,	প্রকালপাতিকে,	প্রকল্পটিকে,	
sofy,	সফি,	সোফি,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
satarkata,	সতারকটা,	সতর্কতা,	
pacchen,	পাচছেন,	পাচ্ছেন,	
carpeter,	কার্পেটের,	কার্পেটের,	
moonshi,	মুন্সি,	মুন্সি,	
meghachchanno,	মেলচচ্যান্ন,	মেঘাচ্ছন্ন,	
foxer,	ফক্সের,	ফক্সের,	
prothar,	প্রথার,	প্রথার,	
hotelti,	হটেলটি,	হোটেলটি,	
gananatya,	গণনাত্য,	গণনাট্য,	
suparahiro,	সুপারহরর,	সুপারহিরো,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
nuhash,	নুহাস,	নুহাশ,	
gandho,	গণ্ধ,	গন্ধ,	
grambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
iukyaliptasa,	অইক্লিয়েপ্ট,	ইউক্যালিপ্টাস,	
auxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
uporzon,	উপরজন,	উপার্জন,	
jonser,	জন্সের,	জোন্সের,	
segulor,	সেগুলোর,	সেগুলোর,	
toranganj,	তরঙ্গাঞ্জ,	তোরাবগঞ্জ,	
samsher,	সম্ষের,	সমশের,	
addabaz,	আদ্যাবাজ,	আড্ডাবাজ,	
bosonte,	বসন্তে,	বসন্তে,	
tader,	তাদের,	তদের,	
chhatke,	ছাটকে,	ছাতকে,	
ssahocorze,	সহস্যর্য,	সাহচর্যে,	
idyi,	এদি,	আইডিই,	
basake,	বাসাকে,	বাসাকে,	
charger,	চার্গের,	চার্জার,	
tahalei,	তাহলেই,	তাহলেই,	
shakara,	শাকারা,	সকার,	
mithener,	মিঠেনের,	মিথেনের,	
elaakaati,	এলাকাটি,	এলাকাটি,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
crescent,	ক্রেসেেন্ট,	ক্রিসেন্ট,	
obhiyojan,	অভিযোজন,	অভিযোজন,	
homsher,	হম্ষের,	হোমসের,	
poromartho,	পরমার্থ,	পরমার্থ,	
laaiseensh,	লাইসেন্স,	লাইসেন্স,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
rajtantroke,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
surkarder,	সুরকর্ডের,	সুরকারদের,	
bayi,	বেই,	বাঈ,	
craze,	ক্রেজ,	ক্রেজ,	
chirokumari,	চিরুকোরা,	চিরকুমারী,	
asirbad,	আশির্বাদ,	আশির্বাদ,	
iub,	ইউব,	আইইউবি,	
aamor,	আমর,	আমর,	
farid,	ফরিদ,	ফরিদ,	
partho,	পার্থ,	পার্থ,	
deebug,	দিবুগ,	ডিবাগ,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
ghoomachhe,	ঘোমাচে,	ঘুমাচ্ছে,	
muhammad,	মুহম্মাদ,	মুহাম্মদ,	
durgatir,	দুর্গটির,	দুর্গটির,	
chhai,	ছাই,	ছাই,	
mittrota,	মিত্রোটা,	মিত্রতা,	
folokti,	ফলক্টি,	ফলকটি,	
haraten,	হারাটেন,	হারাতেন,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
bonshi,	বনশী,	বংশী,	
tigers,	টিইজার্স,	টাইগার্স,	
bonvumi,	বনভূমি,	বনভূমি,	
chef,	চেফ,	শেফ,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
sangbadmadhyame,	সংবাদধ্যমমে,	সংবাদমাধ্যমে,	
manushgulor,	মন্ুসূগুলোর,	মানুষগুলোর,	
puddin,	পুদ্দিন,	পুডিং,	
badana,	বদনা,	বদনা,	
porishongkhanbid,	পরিষংখানবন্দী,	পরিসংখ্যানবিদ,	
shootar,	সুতার,	শ্যুটার,	
keyuyi,	কেউই,	কেউই,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
farider,	ফারিদের,	ফরিদের,	
dakteekite,	ডাক্টিকিতে,	ডাকটিকিটে,	
ajeem,	অজিম,	আজিম,	
militarir,	মিলিটারির,	মিলিটারির,	
peto,	পেতো,	পেত,	
heena,	হেন,	হেনা,	
gosthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
bapokotor,	বাযাকতর,	ব্যাপকতর,	
suparahira,	সুপারহররা,	সুপারহিরো,	
rajtantre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
lisens,	লিসেন্স,	লাইসেন্স,	
obdi,	অবি,	অব্দি,	
petrol,	পেট্রোল,	পেট্রোল,	
arbit,	আর্বিত,	অরবিট,	
satjan,	সতজন,	সাতজন,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
dharmee,	ধর্মী,	ধর্মী,	
ghamta,	ঘমমটা,	ঘোমটা,	
manonitoder,	মনননীতদের,	মনোনীতদের,	
ssumita,	সুমিত,	সুমিতা,	
somaazer,	সমাজের,	সমাজের,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
towbar,	তববার,	তওবার,	
srichoitonnodeb,	শ্রীকৈনতন্দেব,	শ্রীচৈতন্যদেব,	
aameenar,	আমিনার,	আমিনার,	
maailkhanek,	মাইলানকে,	মাইলখানেক,	
graambaasio,	গ্রামাবাই,	গ্রামবাসীও,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
floodlighter,	ফ্লোডিলটার,	ফ্লাডলাইটের,	
paikgacha,	পাইকোগা,	পাইকগাছা,	
sinematographar,	সিনেমাগ্রগার,	সিনেমাটোগ্রাফার,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
hunine,	হুনিনে,	হুনাইন,	
rokibul,	রকিবুল,	রকিবুল,	
rajotwo,	রাজত্ব,	রাজত্ব,	
antarcticar,	আন্টার্কটিকার,	অ্যান্টার্কটিকার,	
soommo,	সুম্য,	সুমো,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
