anekeri,	অনেকেরী,	অনেকেরই,	
kanasharabheshhana,	কনসাভেরেশন,	কনসারভেশন,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
carzar,	সার্জার,	চার্জার,	
mondope,	মন্ডপে,	মন্ডপে,	
qarlosa,	কার্লস,	কার্লোস,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
iukyaliptasha,	ইউক্লিল্্টাস,	ইউক্যালিপ্টাস,	
mandanda,	মন্দন্ড,	মানদণ্ড,	
heeavy,	হেভি,	হেভি,	
maudeling,	ম্যাডলিং,	মডেলিং,	
fevarite,	ফেভারিতে,	ফেভারিট,	
aunti,	অনটি,	আন্টি,	
janapoth,	জনপথ,	জনপথ,	
tanight,	টানিঘট,	টুনাইট,	
lajik,	লাজিক,	লজিক,	
seconder,	সেকেন্ডার,	সেকেন্ডের,	
chakti,	চাক্তি,	চাকতি,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
nirabata,	নিরাবাতা,	নিরবতা,	
foxkon,	ফক্সন,	ফক্সকন,	
kharaar,	খারার,	খরার,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
chomsky,	চমস্কি,	চমস্কি,	
dormitory,	ডোমিটরি,	ডরমিটরি,	
thime,	ঠিমে,	থিমে,	
modeltigulo,	মোদেটিগুলো,	মডেলগুলো,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
chhootochhooti,	ছুটোচুটি,	ছুটোছুটি,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
neerbaho,	নির্বাহ,	নির্বাহ,	
welaqama,	ওয়েলকমা,	ওয়েলকাম,	
mast,	মস্ট,	মাস্ত,	
thailandshoho,	থাইন্যসংহ,	থাইল্যান্ডসহ,	
bekey,	বেকে,	বেঁকে,	
codeti,	চদেটি,	কোডটি,	
uporital,	উপরিতাল,	উপরিতল,	
cholesi,	চলেশি,	চলেছি,	
ganaporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
huge,	হুগে,	হিউজ,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
falok,	ফলক,	ফলক,	
bharadwaja,	ভারাদোযা,	ভরদ্বাজ,	
poripake,	পরিপকে,	পরিপাকে,	
eebhiem,	এভিম,	ইভিএম,	
bamna,	বাম্না,	বামনা,	
stana,	স্টন,	স্টোন,	
bitloser,	বিটলসের,	বিটলসের,	
nagorikera,	নাগরিকেরা,	নাগরিকেরা,	
jacksoner,	যক্ষণের,	জ্যাকসনের,	
jeerusaleem,	জিরুসালীম,	জেরুসালেম,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
sangosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
saramiks,	সরমিক্স,	সিরামিকস,	
information,	ইনসর্মেশন,	ইনফরমেশন,	
jeebonjaapon,	জীবনজাপন,	জীবনযাপন,	
bomkesh,	বোমকেশ,	ব্যোমকেশ,	
mache,	মেচ,	মাছে,	
kommppito,	কম্পিউট,	কম্পিত,	
ganana,	গণনা,	গণনা,	
horinner,	হরণিনের,	হরিণের,	
hool,	হোল,	হুল,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
dinnar,	দিননার,	ডিনার,	
kheylechen,	খেলেছেন,	খেলেছেন,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
bibadey,	বিবাদে,	বিবাদে,	
skalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
saarbharer,	সারভারের,	সার্ভারের,	
azim,	আজিম,	আজিম,	
food,	ফোড,	ফুড,	
ishton,	ইস্টন,	স্টোন,	
thailandsaho,	থাইন্যাংসা,	থাইল্যান্ডসহ,	
cooling,	কুলিং,	কুলিং,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
uponeeshod,	উপনিষদ,	উপনিষদ,	
bhagerei,	ভাগেরই,	ভাগেরই,	
adhunik,	অধুনিক,	আধুনিক,	
kormyi,	করমমী,	কর্মই,	
manobmoner,	মানবমনের,	মানবমনের,	
khorshed,	খররেষেড,	খোরশেদ,	
kraima,	ক্রাইম,	ক্রাইম,	
rajtantre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
bhabotarini,	ভবাতররণী,	ভবতারিণী,	
idaning,	আডনিং,	ইদানীং,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
chhaani,	ছানি,	ছানি,	
simmons,	সিম্নস,	সিমন্স,	
maladobha,	মালাদভা,	মলদোভা,	
sbajan,	স্বজন,	স্বজন,	
salsa,	সালস,	সালসা,	
sikara,	সিকার,	শিকার,	
chitronatyakar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
cholochchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
asor,	আসর,	আসর,	
stoner,	স্তনের,	স্টোনের,	
forex,	ফরেক্স,	ফরেক্স,	
valobasey,	ভালবাসে,	ভালোবাসে,	
kaaru,	কারু,	কারু,	
licencing,	লিসেনিং,	লাইসেন্সিং,	
shattoki,	সত্তকী,	সাত্যকি,	
manu,	মানু,	মনু,	
zerusaleme,	জেরুসুলে,	জেরুসালেমে,	
gujab,	গুজব,	গুজব,	
di,	ডি,	দিই,	
satjan,	সতজন,	সাতজন,	
sarbhaarer,	সর্ভরের,	সার্ভারের,	
toruner,	তরুণের,	তরুণের,	
lettere,	লেটারে,	লেটারে,	
vobtarini,	ভবাারিনী,	ভবতারিণী,	
phimeela,	ফিমিল,	ফিমেল,	
kaner,	কানের,	কনের,	
bojhaar,	বোঝার,	বোঝার,	
stain,	স্টেইন,	স্টেন,	
mumtaz,	মম্তাজ,	মুমতাজ,	
uzobekeestaaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
bipojjanak,	বিপজজ্ঞাক,	বিপজ্জনক,	
melobborner,	মেলবব্নের,	মেলবোর্নের,	
marmaader,	মার্মাদের,	মারমাদের,	
militarite,	মিলিটারিটে,	মিলিটারিতে,	
pirujalee,	পিরুজালী,	পিরুজালী,	
charjer,	চার্জের,	চার্জার,	
nirbahi,	নির্বাহী,	নির্বাহি,	
ballrum,	বলরিম,	বলরুম,	
sorajur,	সরাজুর,	সরযূর,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
upobaasher,	উপবাষের,	উপবাসের,	
stoneeheengee,	স্তনিহিঙ্গী,	স্টোনহেঞ্জ,	
chalachchitrake,	চলচ্ছিত্রকে,	চলচ্চিত্রকে,	
uparjoner,	উপারজনের,	উপার্জনের,	
ankush,	অঙ্কুশ,	অংকুশ,	
aqram,	একরাম,	আকরাম,	
santa,	সন্ত,	স্যান্টা,	
neeshanasa,	নিশানাস,	নেশনস,	
songosthagulo,	সংস্গাগুলো,	সংস্থাগুলো,	
geza,	গেজ,	গেজ,	
nesanasa,	নেশানাস,	নেশনস,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
taalgaachh,	তালগাছ,	তালগাছ,	
daalu,	ডালু,	ডালু,	
bachai,	বাচাই,	বাছাই,	
tenys,	টেনিস,	টেনিস,	
ekpashe,	একপাশে,	একপাশে,	
dhrubok,	ধ্রাবক,	ধ্রুবক,	
anchaltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
dakticketer,	ডাক্তিকেতের,	ডাকটিকিটের,	
ketechilo,	কেটেছিল,	কেটেছিল,	
maniktala,	মনিক্তলা,	মানিকতলা,	
stonehenje,	স্টোনেজ্জে,	স্টোনহেঞ্জ,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
janake,	জনকা,	জানাতে,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
kampita,	কম্পিট,	কম্পিত,	
kibord,	কিবরর্ড,	কীবোর্ড,	
bahya,	বহ্য,	বাহ্য,	
guzon,	গুজন,	গুজব,	
sadena,	সদদেনা,	সাডেন,	
jyesttha,	জেষ্ঠা,	জ্যেষ্ঠা,	
brindaboner,	বৃণ্ডাবনের,	বৃন্দাবনের,	
debagg,	দেবাগ,	ডিবাগ,	
graambasheeo,	গ্রামবাসী,	গ্রামবাসীও,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
teenti,	তিনটি,	তিনটি,	
koilaash,	কৈলাস,	কৈলাস,	
heris,	হেরিস,	হ্যারিস,	
bhotara,	ভোটর,	ভোটার,	
salphat,	সালফাট,	সালফেট,	
aairish,	আইরিশ,	আইরিস,	
gandagol,	গণ্ডাগল,	গন্ডগোল,	
maroofer,	মারফফের,	মারুফের,	
daada,	ডাড,	দাদা,	
bite,	বিটে,	বাইট,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
shoodhooi,	শুধুই,	শুধুই,	
naitik,	নাইটিক,	নৈতিক,	
tateo,	তাতেও,	তাতেও,	
morathee,	মরাথী,	মরাঠি,	
plane,	প্লেন,	প্লেন,	
ashiatic,	অশিকাতিক,	এশিয়াটিক,	
antarctica,	অন্টার্টিক,	অ্যান্টার্কটিকার,	
koreemer,	করিমের,	করিমের,	
patochitrer,	পাতচিত্রের,	পটচিত্রের,	
teksaser,	টেকসসের,	টেক্সাসের,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
rato,	রত,	রত,	
fareksa,	ফরেক্স,	ফরেক্স,	
kokein,	কোকেন,	কোকেইন,	
alexandarkey,	আলেকান্ডারকে,	আলেকজান্ডারকে,	
bonoshree,	বনস্রী,	বনশ্রী,	
nagarikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
samosher,	সমশের,	সমশের,	
skarta,	স্কার্ট,	স্কার্ট,	
veenom,	ভিনোম,	ভেনম,	
sepha,	সেফ,	শেফ,	
cannel,	ক্যানেল,	ক্যানেল,	
deebatee,	দেবাটি,	ডিবেট,	
balabhadra,	বলভভর্দ,	বলভদ্র,	
puzito,	পূজিত,	পুজিত,	
bheenisa,	ভীনিস,	ভেনিস,	
gitikabitar,	গীতিকাবিতির,	গীতিকবিতার,	
uponishod,	উপনিষদ,	উপনিষদ,	
biqe,	বিকে,	বাইক,	
stark,	স্টার্ক,	স্টার্ক,	
jolatonko,	জলাতন্ক,	জলাতঙ্ক,	
bohoodeen,	বহুদিন,	বহুদিন,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
nagaland,	নগগাল্যান্ড,	নাগাল্যান্ড,	
sealvi,	সিলভী,	সিলভি,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
lutheren,	লুথারন,	লুথেরান,	
shotodha,	শতধা,	শতধা,	
korusher,	ক্রুসের,	ক্রুশের,	
sofy,	সফী,	সোফি,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
sahozlabhbhatar,	সহজজ্বলভার,	সহজলভ্যতার,	
musalmanke,	মুসমল্মানকে,	মুসলমানকে,	
venus,	ভেনুস,	ভেনাস,	
jaadrel,	যাদ্রেল,	জাঁদরেল,	
myari,	ম্যারি,	ম্যারি,	
kheley,	খেলে,	খেলে,	
taruner,	তরুণের,	তরুণের,	
munsi,	মুনসী,	মুন্সি,	
hajeerhat,	হরিরাহাট,	হাজিরহাট,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
madhuree,	মধুরী,	মাধুরী,	
gaafeeloti,	গাফিলটি,	গাফিলতি,	
diana,	ডিয়ন,	ডায়না,	
qonfliqt,	কনফেল্কিট,	কনফ্লিক্ট,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
steitt,	স্টেট,	স্টেইট,	
anchalgulote,	অঞ্চলজগুলোতে,	অঞ্চলগুলোতে,	
bonvumi,	বনভূমি,	বনভূমি,	
jyoistho,	জৈবস্থ,	জ্যৈষ্ঠ,	
jens,	জেন্স,	জিন্স,	
opadan,	অপাদান,	অপাদান,	
bheemsen,	ভীমসেন,	ভীমসেন,	
asabhyaa,	অসভ্যা,	অসভ্য,	
gajano,	গজানো,	গজানো,	
keyboarder,	কিবোর্ডের,	কীবোর্ডের,	
oshthad,	অস্থাদ,	ওস্তাদ,	
jathartho,	যথার্থ,	যথার্থ,	
phashtara,	ফোস্টার,	ফস্টার,	
uzobekeestaan,	উজবেকিস্তান,	উজবেকিস্তান,	
chaakti,	চাক্তি,	চাকতি,	
nirapattamulak,	নিরাতমাূল্ত,	নিরাপত্তামূলক,	
diiptii,	ডিপটি,	ডেপুটি,	
devolapar,	ডেভলপার,	ডেভলপার,	
polashir,	পললাশীর,	পলাশীর,	
hoondayi,	হানদাই,	হুন্দাই,	
hitoishi,	হিটাইসি,	হিতৈষী,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
baieq,	বাইক,	বাইক,	
peto,	পেট,	পেত,	
monjushree,	মন্ুুষীর,	মঞ্জুশ্রী,	
badhano,	বাধানো,	বাঁধানো,	
ashankai,	আশঙ্কা,	আশঙ্কাই,	
templete,	টেম্পলিটে,	টেম্পলেট,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
koreemke,	করিমকে,	করিমকে,	
oshamorik,	অসামারিক,	অসামরিক,	
laishensh,	লেসন্স,	লাইসেন্স,	
jeebonjapon,	জীবনজ্বান,	জীবনযাপন,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
nirgomon,	নির্জমমন,	নির্গমন,	
pisach,	পিশা,	পিশাচ,	
bossoben,	বসবেন,	বসবেন,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
bharatey,	ভারতে,	ভারতে,	
amarjito,	অমর্জিত,	অমার্জিত,	
ester,	এস্টার,	ইস্টার,	
ajiban,	অজিবন,	আজীবন,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
sheekare,	শিকারে,	শিকারে,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
liceencee,	লিসেন্স,	লাইসেন্স,	
mousumer,	মসুমের,	মৌসুমের,	
chanoo,	চানা,	চানু,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
tarbine,	টার্বিন,	টারবাইন,	
johns,	জনস,	জন্স,	
poddhotiteyi,	পদ্ধতিটেই,	পদ্ধতিতেই,	
karpeta,	কার্পটট,	কার্পেট,	
jubokshoho,	যুবক্ষ,	যুবকসহ,	
haran,	হরণ,	হারান,	
shcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
granthei,	গ্রন্থী,	গ্রন্থেই,	
esasiyetasa,	এস্বিস্টেস,	এসোসিয়েটস,	
tukrotey,	টুকক্রতে,	টুকরোতে,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
asar,	আসার,	আসর,	
weenis,	ওইনিস,	ভেনিস,	
lyandeeng,	ল্যানডেন,	ল্যান্ডিং,	
bhenicer,	ভাইনিসর,	ভেনিসের,	
pooshteer,	পুষ্টির,	পুষ্টির,	
chitronattakar,	চিত্রনাত্রকার,	চিত্রনাট্যকার,	
jatak,	যতট,	জাতক,	
oitijhya,	ঐতিয্যা,	ঐতিহ্য,	
dharavahikeo,	ধারাভাহিকে,	ধারাবাহিকেও,	
jonee,	জোন,	জনি,	
mahasova,	মহাসভাব,	মহাসভা,	
thakani,	থাকানি,	থাকেনি,	
gaje,	গেজ,	গেজ,	
choiti,	চৈটি,	চৈতি,	
deejeejer,	ডিজেজের,	ডিজিজের,	
sojja,	সজ্যা,	সজ্জা,	
prakalpeo,	প্রকল্পেও,	প্রকল্পেও,	
cocaine,	কোকেন,	কোকেইন,	
musolmanra,	মুসলম্রনা,	মুসলমানরা,	
baharamapurer,	বহরামরপুরের,	বহরমপুরের,	
folo,	ফলও,	পোলো,	
marry,	মেরি,	ম্যারি,	
gatibege,	গতিবেগে,	গতিবেগে,	
pari,	পারী,	পেরি,	
lampot,	লম্পট,	লম্পট,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
sector,	সেক্টর,	সেক্টর,	
musalmanra,	মুসলম্রনা,	মুসলমানরা,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
ancieent,	অনএসেন্টে,	এনসিয়েন্ট,	
vushi,	ভূষি,	ভুষি,	
okkhor,	অক্ষর,	অক্ষর,	
sloker,	স্লোকের,	শ্লোকের,	
lutherana,	লুথেরন,	লুথেরান,	
uponisod,	উপনিষদ,	উপনিষদ,	
khoka,	খোকা,	খোকা,	
janaalo,	জানালো,	জানালো,	
bonsho,	বংশ,	বংশ,	
shhipa,	শিপ,	শিপ,	
dolu,	দলু,	ডলু,	
goreeb,	গরীব,	গরিব,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
abolokon,	অবলকণণ,	অবলোকন,	
shourshe,	সৌর্ষে,	সোর্স,	
tolemi,	তোলমি,	টলেমির,	
ramantika,	রামানটিক,	রোমান্টিক,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
sifi,	সিফি,	সাইফাই,	
qindama,	কিন্ডম,	কিংডম,	
chapol,	চাপল,	চপল,	
parisankhanvid,	পরিসংখ্যানীদ,	পরিসংখ্যানবিদ,	
akhaate,	আখাতে,	একহাতে,	
shaarther,	সার্থের,	স্বার্থের,	
evil,	এভিল,	ইভিল,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
kriseenta,	ক্রিসেেট,	ক্রিসেন্ট,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
ekla,	একলা,	একলা,	
babylon,	ব্যাবিলন,	ব্যাবিলন,	
chondrima,	চন্দ্রিম,	চন্দ্রিমা,	
sahazlabhbhatar,	সহজজ্বভাতার,	সহজলভ্যতার,	
paltechey,	পাল্টেছে,	পাল্টেছে,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
boikolyo,	বৈকল্য,	বৈকল্য,	
oppohoron,	অপহরণ,	অপহরন,	
daktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
dhyanostha,	ধ্যানস্থা,	ধ্যানস্থ,	
bai,	বাই,	বাঈ,	
shakar,	শাকার,	সকার,	
malaika,	মালাইকা,	মালাইকা,	
ishpredshhit,	ইস্প্রেডিস্ট,	স্প্রেডশীট,	
amiratas,	অমিরাতাস,	এমিরেটাস,	
anadhikar,	অনাধিকার,	অনধিকার,	
raitasa,	রাইটস,	রাইটস,	
qirq,	কার্ক,	কার্ক,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
krantikale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
senior,	সেনিওর,	সিনিয়র,	
volte,	ভোলতে,	ভল্ট,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
gandhariir,	গণ্ধধারীর,	গান্ধারীর,	
santa,	সন্ত,	সান্তা,	
rizur,	রিজুর,	রিজুর,	
durgotsav,	দুর্গশভাব,	দুর্গোৎসব,	
musalmanyi,	মুসমল্নী,	মুসলমানই,	
potchitra,	পচচিত্র,	পটচিত্র,	
ashanka,	আশাঙ্কা,	আশংকা,	
shhip,	শিপ,	শিপ,	
konroop,	কনররপ,	কোনরূপ,	
americar,	অ্যামেরিকার,	আমেরিকার,	
sangosthaner,	সংস্থানের,	সংস্থানের,	
sahoocorzoe,	সহারচর্য,	সাহচর্যে,	
rahee,	রহী,	রাহি,	
cathalic,	কাথলিক,	ক্যাথলিক,	
dhanyi,	ধানই,	ধন্যি,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
besirbhagei,	বেশিরভাগেই,	বেশিরভাগেই,	
uqeliptas,	উকপেল্টিস্টা,	ইউক্যালিপ্টাস,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
onker,	অঙ্কের,	ওঙ্কার,	
coner,	কোনের,	কনের,	
hotelti,	হটেলটি,	হোটেলটি,	
awnurbor,	অনুর্বর,	অনুর্বর,	
shangkaloner,	সংকললনের,	সংকলনের,	
marpit,	মার্পিট,	মারপিট,	
orhan,	ওহান,	ওরহান,	
aarcia,	আর্সিয়া,	আরসিএ,	
bbosonto,	বসন্ত,	বসন্ত,	
bhogiroth,	ভগীরথ,	ভগীরথ,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
marufer,	মারুফের,	মারুফের,	
bhognee,	ভগ্ঞী,	ভগ্নী,	
sangbadmadhyamgulote,	সংবাধমাদগূতূতে,	সংবাদমাধ্যমগুলোতে,	
provuder,	প্রভুদের,	প্রভুদের,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
voter,	ভোটের,	ভোটার,	
pacbbar,	পাঁ্ববার,	পাঁচবার,	
panchashjan,	পঞ্চাস্বন,	পঞ্চাশজন,	
janoika,	জননিকা,	জনৈকা,	
sardar,	সর্ডার,	সরদার,	
uparjon,	উপারজন,	উপার্জন,	
alpo,	আল্প,	অল্প,	
hishaber,	হিসাবের,	হিসাবের,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
sanghorsheek,	সংহর্ষিক,	সাংঘর্ষিক,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
ezenda,	এজেন্ডা,	এজেন্ডা,	
chhatta,	ছাট্ত,	ছোট্ট,	
phemale,	ফেমলে,	ফিমেল,	
karmokarer,	কর্মকারের,	কর্মকারের,	
gejeteda,	গেজেটেড,	গেজেটেড,	
mmadhobbir,	মাধববির,	মাধবীর,	
garur,	গররুর,	গরুর,	
modelling,	মোডালীং,	মডেলিং,	
vageryi,	ভাগেরই,	ভাগেরই,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
kommatei,	কমাটেই,	কমাতেই,	
mohakobi,	মহাকাবী,	মহাকবি,	
up,	উপ,	আপ,	
panchbar,	পাঁচবার,	পাঁচবার,	
phake,	ফেক,	ফাকে,	
meghacchonno,	মেঘাচন্ছ্ন,	মেঘাচ্ছন্ন,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
azaadeer,	আজাদির,	আজাদীর,	
chorchita,	চর্চিত,	চর্চিত,	
laisens,	লাইন্স,	লাইসেন্স,	
sabchey,	সবচে,	সবচে,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
chirkut,	চিরক্ত,	চিরকুট,	
parq,	পার্ক,	পার্ক,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
musalmanderke,	মুসল্মানকেরকে,	মুসলমানদেরকে,	
silvi,	সিলভী,	সিলভি,	
chandrima,	চন্দ্রিম,	চন্দ্রিমা,	
muhmmoder,	মুহম্মের,	মুহম্মদের,	
kiutie,	কিউটি,	কিউটি,	
arkimidish,	আর্কিডিড,	আর্কিমিডিস,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
sukna,	শুক্না,	শুকনা,	
bhabani,	ভবানী,	ভবানী,	
venna,	ভেনা,	ভেন্না,	
inastyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
proman,	প্রমাণ,	প্রমান,	
deembakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
saamaanya,	সামান্য,	সামান্য,	
lutheeran,	লুথিরন,	লুথেরান,	
folokti,	ফলকক্তি,	ফলকটি,	
tottobar,	তত্ত্বার,	তওবার,	
ardasho,	অর্দাশ,	আর্দশ,	
parijan,	পরিজন,	পরিজন,	
thetcher,	ঠেচের,	থ্যাচার,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
silbhee,	সিলভী,	সিলভি,	
beenis,	বেনিস,	ভেনিস,	
nickeel,	নিকিল,	নিকেল,	
koro,	কোরও,	করো,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
nathivuktir,	নথিভুক্তির,	নথিভুক্তির,	
ahollar,	আহলার,	অহল্যার,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
madhobir,	মাধবীর,	মাধবীর,	
phooloo,	ফুলো,	পোলো,	
naarsari,	নার্সারী,	নার্সারি,	
cherechhe,	চেরেখে,	ছেড়েছে,	
gatihin,	গতিহীন,	গতিহীন,	
obeekol,	অবিকল,	অবিকল,	
karu,	কারু,	কারু,	
bonkey,	বঙকে,	বনকে,	
songrahok,	সংগ্রহক,	সংগ্রাহক,	
polo,	পলো,	পোলো,	
potchitrer,	পচ্চিত্রের,	পটচিত্রের,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
kortonaa,	কর্তনা,	করতনা,	
madhabike,	মাধাবীকে,	মাধবীকে,	
vool,	ভোল,	উল,	
dayna,	ডাইন,	ডায়না,	
dighol,	দীঘল,	দীঘল,	
banger,	বঙ্গের,	ব্যাঙের,	
madla,	মালা,	মাদলা,	
kaash,	কাস,	কাস,	
uinndo,	উইন্ড,	উইন্ডো,	
byaboharkarikey,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
jor,	জোর,	জ্বর,	
sorsa,	সর্ষ,	সোর্স,	
elaakate,	এলাকাতে,	এলাকাতে,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
prakalpatike,	প্রকল্পতিকে,	প্রকল্পটিকে,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
madhukori,	মধুকরী,	মাধুকরী,	
narikei,	নারীকেই,	নারীকেই,	
yankii,	যা্কি,	ইয়াংকি,	
boonot,	বুনত,	বুনট,	
jolorong,	জলরাং,	জলরঙ,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
niketoner,	নিকেটনের,	নিকেতনের,	
nirarthok,	নিরার্থক,	নিরর্থক,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
jyaqa,	জ্যাক,	জ্যাক,	
pancbaar,	পাঁসবার,	পাঁচবার,	
gavaskar,	গভাসকার,	গাভাস্কার,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
manushsaho,	মাুস্যাহ,	মানুষসহ,	
shangkalone,	সংকললনে,	সংকলনে,	
neurology,	নিযোোগজি,	নিউরোলজি,	
silbhi,	সিলভী,	সিলভি,	
gasthii,	গোস্থী,	গোষ্ঠীই,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
janogananar,	জনগণনার,	জনগণনার,	
sooya,	শোয়া,	সোয়া,	
ayantarkatika,	অন্টার্টিক,	অ্যান্টার্কটিকা,	
cooda,	কোড,	কোডা,	
ottacharer,	অত্তাচারের,	অত্যাচারের,	
yuk,	ইউক,	ইয়াক,	
adhyatmikata,	অধ্যাত্মিকাত,	আধ্যাত্মিকতা,	
poddhotitei,	পদ্ধতিটেই,	পদ্ধতিতেই,	
nek,	নেক,	নেক,	
drishyagulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
giitikobitar,	গীতিকবিততার,	গীতিকবিতার,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
parishram,	পরিশ্রাম,	পরিশ্রম,	
apocheshta,	অপচেষ্ট,	অপচেষ্টা,	
kanuner,	কানুনের,	কানুনের,	
shhepha,	সেফ,	শেফ,	
ateetkale,	অতীতকালে,	অতীতকালে,	
mookhomaundoley,	মুখমান্ডলে,	মুখমণ্ডলে,	
grambashio,	গ্রামবাসিয়া,	গ্রামবাসীও,	
armstronz,	আর্ম্্্র,	আর্মস্ট্রং,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
townshhip,	তাউনশিপ,	টাউনশিপ,	
probhura,	প্রভূরা,	প্রভুরা,	
adhyattikota,	অধ্যাতিতিকা,	আধ্যাত্মিকতা,	
daaoon,	ডাউন,	ডাউন,	
