estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
manohputa,	মননুপুতা,	মনঃপুত,	
pader,	পদের,	প্যাডের,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
songosthatir,	সংস্থটির,	সংস্থাটির,	
bbs,	বিএসি,	বিবিএস,	
shoodhooi,	শুধ্যই,	শুধুই,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
udbhaban,	উদ্ভাবন,	উদ্ভাবন,	
naobihar,	নৌবিহার,	নৌবিহার,	
rupert,	রূপরর্ট,	রুপার্ট,	
bondi,	বন্দি,	বন্দী,	
hud,	হুদ,	হুড,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
bii,	বি,	বি,	
answereer,	আংসারির,	আনসারীর,	
vivek,	ভাইভেক,	বিবেক,	
cooda,	কোড,	কোডা,	
varotey,	ভারতে,	ভারতে,	
rajdhani,	রাজধানী,	রাজধানি,	
obdi,	অব্দি,	অব্দি,	
ghamtaa,	ঘামটা,	ঘোমটা,	
karmakarer,	কর্মকারের,	কর্মকারের,	
segulo,	সেগুলো,	সেগুলো,	
tate,	টাঁটে,	তাতে,	
shangkaloner,	সংকললনের,	সংকলনের,	
dienes,	ডিএনেস,	ডিএনএস,	
superhero,	সুপারেহারও,	সুপারহিরো,	
nabom,	নবম,	নবম,	
armeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
catholicder,	ক্যাথলিক্ের,	ক্যাথলিকদের,	
jaygata,	জাগ্যতা,	জায়গাটা,	
asamarik,	আসমারিক,	অসামরিক,	
taunsheep,	টান্সিপ,	টাউনশিপ,	
sibraj,	শিবরাজ,	শিবরাজ,	
songkoloney,	সংকোলনে,	সংকলনে,	
prakalpotike,	প্রকাপপতিকে,	প্রকল্পটিকে,	
janoikaa,	জননিকা,	জনৈকা,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
bekey,	বেকে,	বেঁকে,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
phooloo,	ফুলো,	পোলো,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
traap,	ট্রপ,	ট্রুপ,	
chitronattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
bethik,	ব্যাঠিক,	বেঠিক,	
shoreefpur,	শরীপুর,	শরিফপুর,	
eeraner,	ইরানের,	ইরানের,	
neerbaho,	নির্বাহ,	নির্বাহ,	
alexandar,	অলেক্সান্ডার,	আলেকজান্ডার,	
bayii,	বাই,	বাঈ,	
municipal,	মুনিসিক্পাল,	মিউনিসিপ্যাল,	
padee,	পদে,	পাড়ে,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
dalee,	দালি,	ডালে,	
sikhra,	শিখ্র,	শিখরা,	
gotibege,	গতিবেজে,	গতিবেগে,	
sarano,	সারানো,	সরানো,	
hosney,	হোনে,	হোসনে,	
veenis,	ভিনিস,	ভেনিস,	
udbodhaney,	উদ্বাধনে,	উদ্বোধনে,	
namo,	নম,	নমো,	
karpeta,	কর্পট,	কার্পেট,	
shikkhakbrinda,	শিক্ষাক্রিন্দ,	শিক্ষকবৃন্দ,	
ganohatyar,	গণহত্যার,	গণহত্যার,	
nicqel,	নিকেল,	নিকেল,	
porishkoron,	পরিস্কোরণ,	পরিষ্করণ,	
raits,	রেইস,	রাইটস,	
hooq,	হোক,	হুক,	
ester,	এস্টার,	ইস্টার,	
rutina,	রুটিন,	রুটিন,	
vezano,	ভেজানো,	ভেজানো,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
saranor,	সারানোর,	সরানোর,	
nutan,	নুতন,	নূতন,	
hepatitish,	হেপাটিইটিস,	হেপাটাইটিস,	
chutite,	চুটিতে,	ছুটিতে,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ivir,	আইভির,	এভার,	
shtone,	স্টন,	স্টোন,	
jokrito,	যকৃত,	যকৃৎ,	
mirakel,	মিরাকেল,	মিরাকেল,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
banijyikbhittik,	বানিজ্যিকতিক,	বাণিজ্যিকভিত্তিতে,	
baet,	ব্যাট,	বাইট,	
aagom,	আগম,	আগম,	
teresa,	টেরেসা,	টেরেসা,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
shucharita,	সূচারিতা,	সুচরিতা,	
avisongson,	অভিসংসন,	অভিশংসন,	
install,	ইনস্টল,	ইন্সটল,	
tokei,	তোকেই,	ত্বকেই,	
bhorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
shashoto,	শাসত,	শাশ্বত,	
mojlish,	মজলিস,	মজলিশ,	
konorup,	কোনরুপ,	কোনরূপ,	
jamjamat,	জামজমত,	জমজমাট,	
deputee,	দিপুতি,	ডেপুটি,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
agomoner,	আগমনের,	আগমনের,	
patrol,	পাত্রো,	পেট্রোল,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
duple,	ডাপল,	ডুপ্লে,	
conservetion,	কনসারিভেন,	কনসারভেশন,	
chotogolper,	ছোটোলপের,	ছোটগল্পের,	
teteyer,	টেটের,	টেটের,	
aamude,	আমুদে,	আমুদে,	
provura,	প্রভূরা,	প্রভুরা,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
musolmanra,	মুসল্মরা,	মুসলমানরা,	
lutheran,	লুঠারেন,	লুথেরান,	
mondopey,	মন্ডপে,	মন্ডপে,	
saajano,	সাজানো,	সাজানো,	
obikol,	অবিক্যাল,	অবিকল,	
ghatir,	ঘাটির,	ঘাটির,	
auxfordey,	আককোরোডে,	অক্সফোর্ডে,	
dwipgulo,	দ্বিগুলো,	দ্বীপগুলো,	
ekkoghore,	একঘরে,	একঘরে,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
dembakreeti,	দেম্বাক্তি,	ডিম্বাকৃতি,	
sumo,	সুম,	সুমো,	
mohasova,	মহাসভা,	মহাসভা,	
chetana,	চেতনা,	চেতনা,	
gonesh,	গনেস,	গণেশ,	
elakai,	এলাকাই,	এলাকাই,	
ekaar,	একার,	একার,	
herfer,	হার্ফার,	হেরফের,	
palta,	পল্ট,	পালটা,	
sirameeks,	সিরমেক্স,	সিরামিকস,	
idipasa,	এডিপাশ,	ইডিপাস,	
nodiitike,	নদীতীকে,	নদীটিকে,	
madhabi,	মাধবী,	মাধবী,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
esasiyetasa,	এস্বিসেট,	এসোসিয়েটস,	
joisttho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
mohajote,	মহাজতে,	মহাজোট,	
beetloser,	বিটলসের,	বিটলসের,	
oshamanno,	অসমান্ন,	অসামান্য,	
lambate,	লম্বাতে,	লম্বাটে,	
uruu,	উরু,	উরু,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
shantaa,	শান্তা,	সান্তা,	
chalachchitro,	চালচচ্ত্র,	চলচ্চিত্র,	
cholochchitraeei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
oshamorik,	অসামারিক,	অসামরিক,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
smarak,	স্মরক,	স্মারক,	
jalrang,	জলরার,	জলরঙ,	
nagaland,	নাগাল্ন্ড,	নাগাল্যান্ড,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
shringe,	শ্রিঙ্জ,	শৃঙ্গে,	
uponishod,	উপনিশোদ,	উপনিষদ,	
khorshed,	খরষেড,	খোরশেদ,	
lutheeran,	লুঠিরান,	লুথেরান,	
hugheske,	হুগেশ্কে,	হিউজকে,	
recondition,	রেকন্ডিনেশন,	রিকন্ডিশন,	
bagdade,	বাজদাদে,	বাগদাদে,	
kathmandute,	কাঠমান্ডুতে,	কাঠমান্ডুতে,	
paksenaara,	পাক্সনের,	পাকসেনারা,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
qanasarabheshana,	কনসোরেভেন,	কনসারভেশন,	
rohosyor,	রহস্যর,	রহস্যর,	
abheedhaanick,	অভিধানিক,	অভিধানিক,	
jolbe,	জলবে,	জ্বলবে,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
desiseyer,	ডেসিসির,	ডিজিজের,	
duckticketer,	ডাক্তিকেতের,	ডাকটিকিটের,	
spashtatai,	স্পষ্টটাই,	স্পষ্টতই,	
haris,	হরিস,	হ্যারিস,	
suparahira,	সুপারীহার,	সুপারহিরো,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
clause,	ক্লাসে,	ক্লজ,	
shahocharjo,	শাহচর্য,	সাহচর্য,	
ralph,	রাল,	রালফ,	
chirohorit,	চিরহরীত,	চিরহরিৎ,	
ramdhonu,	রমধনু,	রামধনু,	
polashir,	পলাসির,	পলাশীর,	
easter,	ইস্টার,	ইস্টের,	
mohammad,	মোহাম্মদ,	মুহাম্মদ,	
dokaangulotey,	দাকানগুলোতে,	দোকানগুলোতে,	
bolechi,	বলেছি,	বলেছি,	
chef,	চেফ,	শেফ,	
shkolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
nikataner,	নিকটনের,	নিকেতনের,	
pachhi,	পাছছি,	পাচ্ছি,	
anadhikar,	অনাধিকার,	অনধিকার,	
ekeerokom,	একিরকম,	একইরকম,	
horas,	হরাস,	হোরাস,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
peeri,	পেরী,	পেরি,	
malish,	মালিস,	মালিশ,	
ekmot,	একমত,	একমত,	
eporjonta,	এপরজনত,	এপর্যন্ত,	
sourse,	সোর্স,	সোর্স,	
lakkheryo,	লক্ষ্যারও,	লক্ষেরও,	
ingrejeeteo,	ইংরেজিতে,	ইংরেজিতেও,	
karecho,	করেছ,	করেছ,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
baasaate,	বাসাতে,	বাসাতে,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
madrasake,	মাদ্রাসকে,	মাদ্রাসাকে,	
gatihin,	গতীহীন,	গতিহীন,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
maheendra,	মহীন্দ্র,	মাহিন্দ্রা,	
phartha,	ফোর্থ,	ফার্থ,	
poste,	পোষ্টে,	পোষ্টে,	
amittrakkhor,	অমিত্রককষর,	অমিত্রাক্ষর,	
monmotho,	মনমথ,	মন্মথ,	
shloker,	স্লকের,	শ্লোকের,	
ansarir,	আনসারির,	আনসারীর,	
iraner,	ইরানের,	ইরানের,	
chirata,	চিরতা,	চিরতা,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
muldhara,	মুলধরা,	মূলধারা,	
mg,	এমএ,	এমজি,	
shniper,	স্নিপের,	স্নাইপার,	
noitikotabodh,	নৈতিকাতাবাধ,	নৈতিকতাবোধ,	
sealvi,	সিলভি,	সিলভি,	
taufik,	তৌফিক,	তৌফিক,	
maniktala,	মানিকতলা,	মানিকতলা,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
velcome,	ভেলকোম,	ওয়েলকাম,	
uporital,	উপরিতাল,	উপরিতল,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
obe,	অবে,	ওবিই,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
kolahal,	কলাহাল,	কোলাহল,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
inasiyinta,	ইনসিয়ান্ট,	এনসিয়েন্ট,	
parshe,	পারসে,	পার্শ্বে,	
ajeej,	আজিজ,	আজিজ,	
manabmaner,	মানবমনের,	মানবমনের,	
seekkhokbrindo,	শিক্ষাক্রিন্দ,	শিক্ষকবৃন্দ,	
osthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
sachetonbhabe,	সচেতনাভাবে,	সচেতনভাবে,	
aakkaash,	আক্াশ,	আককাস,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
sukkho,	শুক্ষ্ম,	সুক্ষ্ম,	
opohoron,	অপহরণ,	অপহরন,	
doula,	দালা,	দৌলা,	
cuti,	কুটি,	কিউটি,	
kindom,	কিন্দম,	কিংডম,	
sbaajan,	স্বাজান,	স্বজন,	
dharabhashyakar,	ধারাভাষ্যাকার,	ধারাভাষ্যকার,	
jotsna,	জোস্না,	জ্যোৎস্না,	
debholopar,	ডেভলপার,	ডেভলপার,	
istoone,	ইস্তনে,	স্টোন,	
hepataitisa,	হেইপটটাইটিস,	হেপাটাইটিস,	
sabrakamer,	সব্রকমের,	সবরকমের,	
nagariker,	নাগীকের,	নাগরিকের,	
mokam,	মোকাম,	মোকাম,	
sayatana,	সায়াটন,	শয়তান,	
byanger,	ব্যাঙ্জার,	ব্যাঙের,	
markeetim,	মার্কেটিং,	মার্কেটিং,	
doneta,	ডোনে,	ডোনাট,	
jyeshthaa,	যেষ্ঠা,	জ্যেষ্ঠা,	
uttor,	উত্তর,	উওর,	
gasthii,	গাস্থী,	গোষ্ঠীই,	
talaa,	তালা,	তালা,	
military,	মিলিটারী,	মিলিটারি,	
paltechhey,	পল্টেছে,	পাল্টেছে,	
dhhaloor,	ঢালুর,	ঢালুর,	
hantte,	হাঁতে,	হাঁটতে,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
licensedharii,	লিচেন্সাধীরী,	লাইসেন্সধারী,	
bhalobass,	ভালোবাস,	ভালোবাসা,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
vageroi,	ভাগেরও,	ভাগেরই,	
tanoo,	তানু,	তনু,	
bongshoke,	বংশকে,	বংশকে,	
armenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
madaspushto,	মাদসপুষ্ত,	মদদপুষ্ট,	
motamoto,	মতামত,	মতামতও,	
boikalya,	বৈকাল্য,	বৈকল্য,	
hosne,	হোনে,	হোসনে,	
godabari,	গদাবারী,	গোদাবরী,	
addabaaj,	আদ্াব্যাজ,	আড্ডাবাজ,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
elaakai,	এলাকাই,	এলাকাই,	
nirmaankaj,	নির্মানাকভ,	নির্মাণকাজ,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
adhunik,	আধুনিক,	আধুনিক,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
torunke,	তুরুণকে,	তরুণকে,	
venuser,	ভেনাসের,	ভেনাসের,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
azizur,	আজিজুর,	আজিজুর,	
turbine,	টার্িন,	টারবাইন,	
irana,	ইরান,	ইরান,	
tafsir,	তাফসির,	তাফসীর,	
heepatitis,	হেপাটিটিস,	হেপাটাইটিস,	
growth,	গ্রাথ,	গ্রোথ,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
kinsha,	কিংস,	কিংস,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
soommo,	সুম্য,	সুমো,	
shhkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
chomsky,	চমম্সিক,	চমস্কি,	
shaswato,	শাস্ত,	শাশ্বত,	
bosanta,	বসন্ত,	বসন্ত,	
temoni,	তেমনি,	তেমনই,	
khappor,	খাপার,	খপ্পর,	
sotorkobhabe,	সতর্কভাবে,	সতর্কভাবে,	
footbalarra,	ফুটবলরার,	ফুটবলাররা,	
transform,	ট্রান্সম্র্ম,	ট্রান্সফর্ম,	
sthaponake,	স্থাপনকে,	স্থাপনাকে,	
rilayeensa,	রিলেয়েন্স,	রিলায়েন্স,	
rupart,	রূপরর্ট,	রুপার্ট,	
prokolpogulor,	প্রকলপগুলোর,	প্রকল্পগুলোর,	
sniper,	স্নিপের,	স্নাইপার,	
ajeemke,	আজিমকে,	আজিমকে,	
claus,	ক্লাস,	ক্লজ,	
shilbar,	শিল্বার,	সিলভার,	
uipoka,	উইপাকা,	উইপোকা,	
pushtir,	পুষ্টির,	পুষ্টির,	
yura,	ইউরো,	ইউরো,	
temonyi,	তেমনই,	তেমনই,	
swastir,	স্বস্তির,	স্বস্তির,	
tongaa,	টঙ্গা,	টোঙ্গা,	
jarul,	জরুল,	জারুল,	
breqathru,	ব্রেচর্র,	ব্রেকথ্রু,	
shipa,	শিপা,	শিপ,	
partha,	পার্থ,	পার্থ,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
biphal,	বিফল,	বিফল,	
leder,	লেডের,	লিডার,	
santaa,	সান্তা,	সান্তা,	
patthon,	পাঠান,	পঠন,	
maktum,	মাক্তম,	মাকতুম,	
harisher,	হরিষের,	হ্যারিসের,	
bhenama,	ভেনামা,	ভেনম,	
phaltu,	ফলতু,	ফালতু,	
elgoridom,	এলগোরিডম,	এলগরিদম,	
bhabna,	ভাবনা,	ভাবনা,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
saseja,	সাসেজা,	সসেজ,	
croak,	ক্রোক,	ক্রোক,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
ooindo,	উইন্ডো,	উইন্ডো,	
bolechiley,	বলেছিলে,	বলেছিলে,	
sangkalanti,	সংকলানটি,	সংকলনটি,	
neurologi,	নিরোলোগী,	নিউরোলজি,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
panchasjan,	পঞ্চাশনজান,	পঞ্চাশজন,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
booth,	বুথ,	বুথ,	
epiela,	এপিল,	আইপিএল,	
halloween,	হ্যালোউন,	হ্যালোইন,	
garmanyteo,	জার্মানিতেও,	জার্মানিতেও,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
bonsho,	বংশ,	বংশ,	
dhaanche,	ঢাঁচে,	ধাঁচে,	
ekhate,	এখাতে,	একহাতে,	
manu,	মানু,	মনু,	
shaaroker,	সারকের,	স্মারকের,	
gaiche,	গেছে,	গাইছে,	
tennish,	টেনিস,	টেনিস,	
hepetaitisa,	হেপেটাইটিস,	হেপাটাইটিস,	
paade,	পাদে,	পাড়ে,	
trup,	ট্রুপ,	ট্রুপ,	
abheedhaaner,	অভিধানের,	অভিধানের,	
bholapuqa,	ভলাপুকা,	ভোলাপুক,	
herpher,	হার্ফার,	হেরফের,	
annarup,	অন্যরূপ,	অন্যরূপ,	
somaazer,	সমাজের,	সমাজের,	
kormokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
sakara,	সাকার,	সাকার,	
gelo,	গেল,	গেলো,	
akmot,	একমত,	একমত,	
iranayer,	ইইরনের,	ইরানের,	
itastatoh,	ইতাস্তত,	ইতস্ততঃ,	
madhobikey,	মাধবীকে,	মাধবীকে,	
ganochiener,	গণচিনের,	গণচীনের,	
russad,	রুশদদ,	রুশদ,	
temanti,	টেমনটি,	তেমনটি,	
jatota,	যতটা,	যতোটা,	
gazipur,	গাজীপুর,	গাজীপুর,	
gatibege,	গতিবিজে,	গতিবেগে,	
dojo,	দোজ,	ডোজো,	
rajotta,	রাজত্ত,	রাজত্ব,	
bagey,	বাগে,	বাগে,	
dayana,	ডায়ান,	ডায়না,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
kodom,	কদম,	কদম,	
parsher,	পারসের,	পার্শ্বের,	
mousumti,	মুসম্তি,	মৌসুমটি,	
gasthike,	গাস্থিকে,	গোষ্ঠীকে,	
injeel,	ইঞ্জিল,	ইঞ্জিল,	
onekerie,	অনেকারী,	অনেকেরই,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
maailey,	মাইলে,	মাইলে,	
abasare,	অবসারে,	অবসরে,	
sorboshoktiman,	সর্বসক্তিমতান,	সর্বশক্তিমান,	
neemeette,	নিমিত্তে,	নিমিত্তে,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
bima,	বিমা,	বিম,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
eukalyptus,	ইউক্লাপিটসাস,	ইউক্যালিপ্টাস,	
biru,	বিরু,	বীরু,	
hypar,	হাইপার,	হাইপার,	
temani,	তেমনি,	তেমনই,	
sampadon,	সম্পাদন,	সম্পাদন,	
vince,	ভাইনস,	ভিন্স,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
kunntee,	কুনটি,	কুন্তী,	
dupleks,	ডাপ্লেক্স,	ডুপ্লে,	
bodhirata,	বোধিরতা,	বধিরতা,	
spreadshiit,	স্প্রিকাসিত,	স্প্রেডশীট,	
charbon,	চারবন,	চর্বন,	
osamonjoshyopurno,	অসমানবন্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
ashonkai,	অশংকাই,	আশঙ্কাই,	
thaakte,	থাকতে,	থাকতে,	
instant,	ইনস্টায়ান্ট,	ইনস্ট্যান্ট,	
par,	পার,	পাব,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
antorbhuktimulak,	আন্তর্ভূকিতমূলা,	অন্তর্ভুক্তিমূলক,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
puzito,	পুজিত,	পুজিত,	
aminul,	আমিনুল,	আমিনুল,	
oindrila,	আন্ড্রিলা,	ঐন্দ্রিলা,	
sahajlabhbhatar,	সহজজ্ভভততার,	সহজলভ্যতার,	
sumoo,	সুমো,	সুমো,	
khizir,	খিজির,	খিজির,	
jesthaa,	যেষ্ঠা,	জ্যেষ্ঠা,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
kyapashula,	ক্যাপ্সাল,	ক্যাপসুল,	
gare,	গের়ে,	গোর,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
jeebnagore,	জীবনগারে,	জীবননগর,	
koro,	কোরও,	কর,	
kada,	কাদা,	কোডা,	
fal,	ফল,	ফল,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
songasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
shaushage,	সৌষাগে,	সসেজ,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
floodlighter,	ফ্লাডিঘাটের,	ফ্লাডলাইটের,	
artherer,	অর্থারের,	আর্থারের,	
tafsirer,	তাফসিরের,	তাফসীরের,	
badei,	বাদেই,	বাদেই,	
tochnoch,	টচ্ছচ,	তছনছ,	
phaksha,	ফক্স,	ফক্স,	
shchalastik,	স্কালাস্টিক,	স্কলাস্টিক,	
parishromi,	পরিস্রমী,	পরিশ্রমী,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
chalochchitratike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
kar,	কার,	কর,	
bardhitaanas,	বার্ধিিতনস,	বর্ধিতাংশ,	
bashite,	বাসীতে,	বাঁশিতে,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
gorjon,	গর্জন,	গর্জন,	
taali,	তালি,	তালি,	
embed,	এমবেদ,	এম্বেড,	
dobhaar,	দোভার,	ডোভার,	
chhootochhooti,	ছুট্ছুটি,	ছুটোছুটি,	
kanaphlikta,	কাফ্লিক্ট,	কনফ্লিক্ট,	
shanstha,	সাস্থা,	সংস্থা,	
shkarta,	স্কার্ট,	স্কার্ট,	
darada,	দারাডা,	দারদা,	
dajhya,	দাঝযয,	দাহ্য,	
bijito,	বিজিত,	বিজিত,	
natians,	নটিশন,	নেশনস,	
ghetoo,	ঘটো,	ঘেটু,	
planea,	প্লেনে,	প্লেনে,	
aaziz,	আজিজ,	আজিজ,	
bafar,	বাফার,	বাফার,	
kuley,	কুলে,	কুলে,	
bamonder,	বামন্দের,	বামনদের,	
khudey,	খুদে,	ক্ষুদে,	
veenicee,	ভেনিসি,	ভেনিস,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
badna,	বাদ্ন,	বদনা,	
shaamiijiir,	স্বামীজীর,	স্বামীজীর,	
yucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
byke,	বিকে,	বাইক,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
nilkomol,	নিলককম,	নীলকমল,	
saifai,	সাইফাই,	সাইফাই,	
chalochchitrogulor,	চলচ্চিত্রলুলোর,	চলচ্চিত্রগুলোর,	
aarik,	আরিক,	আরিক,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
granthati,	গ্রন্থাটি,	গ্রন্থটি,	
vabook,	ভাবুক,	ভাবুক,	
twoei,	তুই,	ত্বকেই,	
kyathlikder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
roja,	রোজা,	রোযা,	
moushum,	মৌসুম,	মৌসুম,	
ashor,	আশর,	আসর,	
daaktikit,	ডাক্তিক,	ডাকটিকিট,	
bosonte,	বসন্তে,	বসন্তে,	
sutir,	সুতির,	সুতির,	
sangharshik,	সংংর্ষিক,	সাংঘর্ষিক,	
conphlict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
licencer,	লিকেন্সের,	লাইসেন্সের,	
neermolota,	নির্মলতা,	নির্মলতা,	
amarica,	অমরিকা,	আমেরিকা,	
itostata,	ইতসস্টা,	ইতস্তত,	
nathivukta,	নাঠিভুক্ত,	নথিভুক্ত,	
atorkitey,	আতর্কিতে,	অতর্কিতে,	
daqten,	ডাকতেন,	ডাকতেন,	
yak,	যক,	ইয়াক,	
dighal,	দীঘল,	দীঘল,	
alpai,	অল্পই,	অল্পই,	
baharampurer,	বহরামপুর,	বহরমপুরের,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
korecho,	করেছ,	করেছো,	
selina,	সেলিন,	সেলিনা,	
eenameel,	ইনামেল,	এনামেল,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
subadey,	সুবাদে,	সুবাদে,	
ustaad,	ইষ্টাদ,	উস্তাদ,	
mononiitoder,	মনোনিতদের,	মনোনীতদের,	
sulfate,	সালফাটে,	সালফেট,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
parse,	পারসে,	পার্শ্বে,	
bhaider,	ভাইডের,	ভাইদের,	
meeseenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
alympic,	অলিম্পিক,	অলিম্পিক,	
mousumer,	মৌসমের,	মৌসুমের,	
pachbar,	পাঁচবার,	পাঁচবার,	
monir,	মনির,	মনির,	
kaferder,	কাফারের,	কাফেরদের,	
ogovir,	অগভীর,	অগভীর,	
durga,	দুর্গা,	দুর্গ,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
pathanirdeshana,	পথনির্দেশনা,	পথনির্দেশনা,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
nischay,	নিশ্চে,	নিশ্চয়,	
peshto,	পেষ্ট,	পেষ্ট,	
anodhikar,	অনৈধিকার,	অনধিকার,	
noitikbhabey,	নৈতিক্ভাবে,	নৈতিকভাবে,	
antorvuktimulak,	আন্তর্ভূকিতমূল্কা,	অন্তর্ভুক্তিমূলক,	
ssahosikotar,	সাহসিকতার,	সাহসিকতার,	
panera,	পানেরা,	পনের,	
salafeta,	সালাফেট,	সালফেট,	
kompekt,	কমপ্কেক্ট,	কমপ্যাক্ট,	
suma,	সুম,	সুমো,	
veemsen,	ভিম্সেন,	ভীমসেন,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
creedit,	ক্রিডিট,	ক্রেডিট,	
