shashoto,	শাসত,	শাশ্বত,	
shaalehaa,	সালেহা,	সালেহা,	
abodamoner,	অবদামনের,	অবদমনের,	
state,	স্টেট,	স্টেইট,	
lohaar,	লাহার,	লোহার,	
shoodhooi,	সুধ্যই,	শুধুই,	
eesa,	এস,	আইএএস,	
torangunj,	টরঙ্গঞ্জ,	তোরাবগঞ্জ,	
rijur,	রিজুর,	রিজুর,	
kark,	কর্ক,	কার্ক,	
vaibon,	ভাইবন,	ভাইবোন,	
raunanganey,	রৌনগ্্নে,	রণাঙ্গনে,	
novell,	নভেল,	নভেল,	
baarnis,	বার্নিস,	বার্নিশ,	
khamba,	ক্ষমবা,	খাম্বা,	
kabutorer,	কবিটরের,	কবুতরের,	
chiroharit,	চিরহরিত,	চিরহরিৎ,	
ghaghat,	ঘঘঘাত,	ঘাঘট,	
jaanachhe,	জানাচ্যে,	জানাচ্ছে,	
bosanta,	বসন্ত,	বসন্ত,	
shelinar,	সেলিনার,	সেলিনার,	
phood,	ফুদ,	ফুড,	
azizer,	আজিজের,	আজিজের,	
summi,	সামি,	সুমি,	
shoriph,	শরীফ,	শরিফ,	
prostutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
heeli,	হিলি,	হিলি,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
naubotom,	নবোতম,	নবতম,	
chalkee,	চালকে,	চালকে,	
madrasakey,	মদ্রাসকে,	মাদ্রাসাকে,	
aukhando,	অখান্ড,	অখন্ড,	
potchitrer,	পযচিত্রের,	পটচিত্রের,	
showte,	শটবে,	শোতে,	
choson,	চোষণ,	চোষণ,	
jokkher,	যক্ষের,	যক্ষের,	
khuni,	খুনী,	খুনি,	
onchalgulir,	অঞ্চললির,	অঞ্চলগুলির,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
phoster,	ফোস্টার,	ফস্টার,	
phising,	ফিসিং,	ফিসিং,	
sathik,	সাথিক,	সঠিক,	
conservetion,	কনজারভেশন,	কনসারভেশন,	
sanaktakaran,	সন্তককরণ,	সনাক্তকরণ,	
gonna,	গণ্য,	গননা,	
laga,	লাগা,	লগ,	
chotogolper,	চোটোগল্পর,	ছোটগল্পের,	
shikhbey,	শিখবে,	শিখবে,	
gezeteda,	গেজেটেড,	গেজেটেড,	
builder,	বিল্ডের,	বিল্ডার,	
aansaareer,	আনসারির,	আনসারীর,	
ministar,	মিনিস্টর,	মিনিস্টার,	
nowel,	নোভেল,	নভেল,	
lesensa,	লেসেন্স,	লাইসেন্স,	
makang,	মকাং,	মেকং,	
armstronz,	আর্মস্ট্র্ং,	আর্মস্ট্রং,	
haraten,	হররাতেন,	হারাতেন,	
kiiborder,	কিবারদের,	কীবোর্ডের,	
varma,	ভার্মা,	ভার্মা,	
cinematographer,	সিনিতাগ্রাফের,	সিনেমাটোগ্রাফার,	
gaugee,	গৌগী,	গেজ,	
majuter,	মজুতের,	মজুতের,	
kachakachi,	কাছাচাচি,	কাছাকাছি,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
thishisher,	ঠিসিসের,	থিসিসের,	
taorat,	তারাাত,	তওরাত,	
shikh,	শিখ,	শিখ,	
danaber,	দানেবার,	দানবের,	
jani,	জানি,	জনি,	
don,	ডন,	দোন,	
jesa,	জেস,	জেস,	
ashonkai,	আসংককাই,	আশঙ্কাই,	
partha,	পার্থ,	পার্থ,	
abikol,	আবিকল,	অবিকল,	
ghumato,	ঘুমত,	ঘুমাতো,	
bheemsen,	ভীমসেন,	ভীমসেন,	
gaandaas,	গ্ডন্যাস,	জ্ঞানদাস,	
manohputa,	মনোপপুত,	মনঃপুত,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারীই,	
korimer,	করিমের,	করিমের,	
tikto,	তিকটো,	তিক্ত,	
refleks,	রেফলেক্স,	রিফ্লেক্স,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
edaning,	এডািন,	ইদানীং,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
asthishondhi,	অ্্থিসন্ধি,	অস্থিসন্ধি,	
moshjidtir,	মজসজিদটির,	মসজিদটির,	
mathew,	মথেও,	ম্যাথিউ,	
pituni,	পিতুনি,	পিটুনি,	
iling,	এলিং,	ইলিং,	
vagadada,	ভাগাদা,	বাগদাদ,	
mulor,	মুলার,	মুলোর,	
diiptii,	দীপ্তি,	ডেপুটি,	
alankaron,	অলঙকরণ,	অলঙ্করণ,	
sardar,	সর্দার,	সরদার,	
bhyatikaaner,	ভ্যিতিকানের,	ভ্যাটিকানের,	
sausagee,	সাসৌগী,	সসেজ,	
laj,	ল্যাজ,	লাজ,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
lokeshon,	লোকেশন,	লোকেশন,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
rata,	রোট,	রত,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
arakaner,	আরকানের,	আরাকানের,	
bhatar,	ভাতার,	ভাতার,	
saarbharer,	সার্ভারের,	সার্ভারের,	
nischitarupey,	নিশ্চিতারূপে,	নিশ্চিতরূপে,	
swarther,	স্বার্থের,	স্বার্থের,	
digreeke,	ডিগ্রিকে,	ডিগ্রিকে,	
kade,	কেড,	কোড,	
khaamba,	খাম্বা,	খাম্বা,	
swartha,	স্বর্থ,	স্বার্থ,	
muktume,	মুক্তমে,	মাকতুম,	
baharamapurer,	বহরমপুরের,	বহরমপুরের,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
deejeejer,	ডিজিজের,	ডিজিজের,	
sofier,	সফিয়ার,	সোফির,	
dinesh,	ডাইনেস,	দীনেশ,	
elaakate,	এলাকাতে,	এলাকাতে,	
aunti,	অউআনটি,	আন্টি,	
bhenis,	ভেনিস,	ভেনিস,	
shov,	শাও,	শো,	
biseshyo,	বিশেষও,	বিশেষ্য,	
aagom,	আগম,	আগম,	
tochhnochh,	তচ্ছোচ,	তছনছ,	
ekoirokom,	একরোকম,	একইরকম,	
debdebir,	দেবদেবীর,	দেবদেবীর,	
teemothee,	টেমথি,	টিমোথি,	
sinaake,	সিনাকে,	সিনাকে,	
niropekkhotaar,	নিরক্ষপেতার,	নিরপেক্ষতার,	
gemske,	গেমসসকে,	জেমসকে,	
zacksan,	জ্যাকসন,	জ্যাকসন,	
bikaargrasto,	বিকিরগ্রস্ত,	বিকারগ্রস্ত,	
mangolik,	মঙ্গলিক,	মাঙ্গলিক,	
janosonjog,	জনসনযোগ,	জনসংযোগ,	
aireshe,	আইরেশ,	আইরেসে,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
delibhara,	ডেলিভার,	ডেলিভার,	
through,	থ্রাফ,	থ্রু,	
prakar,	প্রকার,	প্রকার,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
mekbeth,	মেকববেথ,	ম্যাকবেথ,	
texaser,	টেকাসের,	টেক্সাসের,	
ganosochetonota,	গণসচ্তনাটতা,	গণসচেতনতা,	
daakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
conserwation,	কনসারেশন,	কনসারভেশন,	
chirota,	চিরতা,	চিরতা,	
chomski,	চকমসকি,	চমস্কি,	
eebhiem,	এভিম,	ইভিএম,	
faaj,	ফাঁজ,	ফাজ,	
delivar,	দেলিভার,	ডেলিভার,	
kormokarer,	কর্মকারের,	কর্মকারের,	
poricchonnota,	পরিচ্ছনতা,	পরিচ্ছন্নতা,	
shaatjon,	সাতজন,	সাতজন,	
netions,	ন্যান্স,	নেশনস,	
beshirvagyi,	বেশীরভাগই,	বেশিরভাগই,	
ganesh,	গেনস,	গণেশ,	
musolmanera,	মুসলমমণেরা,	মুসলমানেরা,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
abasane,	আবাসনে,	অবসানে,	
overveu,	ওভারভেও,	ওভারভিউ,	
setan,	সেতান,	শয়তান,	
ciima,	কীম,	সীমা,	
keui,	কেউই,	কেউই,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
veedanta,	ভিদন্ত,	বেদান্ত,	
stanahenja,	স্টানহেঞ্জা,	স্টোনহেঞ্জ,	
tinbhager,	তিনভাগের,	তিনভাগের,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
yauth,	ইউথ,	ইয়ুথ,	
satjaner,	সতজনের,	সাতজনের,	
irana,	ইরান,	ইরান,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
cheerkut,	চিরকুট,	চিরকুট,	
tinhajar,	তিনহাজার,	তিনহাজার,	
valobasakey,	ভালবাসকে,	ভালোবাসাকে,	
holding,	হলদিং,	হোল্ডিং,	
byaboharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
choshon,	চোষণ,	চোষণ,	
sajanor,	সজানোর,	সাজানোর,	
gonosakkhorota,	গণসক্ষরতা,	গণসাক্ষরতা,	
chhutir,	ছুটির,	ছুটির,	
futbolarer,	ফুটবলরের,	ফুটবলারের,	
elaakaatike,	এলাকাটিকে,	এলাকাটিকে,	
oopohoron,	অপহরণ,	অপহরন,	
himi,	হিমি,	হিমি,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
buth,	বুথ,	বুথ,	
kanooner,	কননের,	কানুনের,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
taali,	টালি,	তালি,	
hatochokito,	হতচোচিত,	হতচকিত,	
rabe,	রবে,	রবে,	
maadhoobir,	মাধবীর,	মাধবীর,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
nirabata,	নীরবতা,	নিরবতা,	
nirbahe,	নির্বাহে,	নির্বাহে,	
shita,	সীটা,	সিট,	
rajbandi,	রজবন্দী,	রাজবন্দী,	
koyeeri,	কয়েরি,	কোয়েরি,	
ashonka,	আসঙ্কা,	আশঙ্কা,	
agibon,	আগিবন,	আজীবন,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
abartey,	আবর্তে,	আবর্তে,	
pujita,	পূজিত,	পূজিতা,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
degreeo,	ডিগ্রীও,	ডিগ্রিও,	
bagdade,	বা্জাদে,	বাগদাদে,	
casper,	কস্পের,	ক্যাসপার,	
prokolpogulor,	প্রকোলগুলোর,	প্রকল্পগুলোর,	
shten,	স্টেয,	স্টেন,	
mitre,	মিট্রে,	মিত্র,	
piruzali,	পিরুজলী,	পিরুজালী,	
blogarra,	ব্লগগররা,	ব্লগাররা,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
nabbata,	নব্যতা,	নাব্যতা,	
parishromi,	পরিশ্রমী,	পরিশ্রমী,	
saahosikotar,	সহসিকতার,	সাহসিকতার,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
gunaman,	গুণমন,	গুণমান,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
niro,	নিরো,	নির,	
canton,	কন্টন,	ক্যান্টন,	
agiboner,	আগিবনের,	আজীবনের,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
shodhon,	সোধন,	শোধন,	
sushri,	সুশ্রি,	সুশ্রী,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
deejijer,	ডিজিজের,	ডিজিজের,	
iston,	ইস্টন,	স্টোন,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
maaktoome,	মক্তমে,	মাকতুম,	
jones,	জনস,	জোন্স,	
peoples,	পিউপ্লস,	পিপলস্,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
karoo,	কারো,	কারো,	
agomoney,	আগমনে,	আগমনে,	
annorup,	অন্যরূপ,	অন্যরূপ,	
akkharke,	অক্ষারকে,	অক্ষরকে,	
khali,	খালি,	খালি,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
robe,	রবে,	রবে,	
sazanor,	সজানোর,	সাজানোর,	
probeshon,	প্রবেশন,	প্রবেশন,	
akabar,	একাবার,	আকাবার,	
ekai,	একই,	একাই,	
ballabh,	বললাভ,	বল্লভ,	
kormoke,	কর্মকে,	কর্মকে,	
harbare,	হরবারে,	হারবারে,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
gaddafii,	গাদ্দাফী,	গাদ্দাফী,	
abasaney,	আবাসনে,	অবসানে,	
byomkesh,	ব্যামেকস,	ব্যোমকেশ,	
teamothi,	টিমথি,	টিমোথি,	
pleeta,	প্লেট,	প্লেট,	
sangbadmadhyomgulote,	সংবাধম্যমূলে,	সংবাদমাধ্যমগুলোতে,	
bhugarbhe,	ভূগর্ভে,	ভূগর্ভে,	
udbodhane,	উদ্বধানে,	উদ্বোধনে,	
nagare,	নগরে,	নগরে,	
kaareer,	কারির,	কারীর,	
kota,	কোটা,	কোটা,	
mehnoti,	মেহনতি,	মেহনতি,	
quari,	ক্যারি,	কোয়েরি,	
sohopatheekey,	সহপাঠীকে,	সহপাঠীকে,	
agomonke,	আগমনকে,	আগমনকে,	
obhishangsan,	অভিশাসন,	অভিশংসন,	
bagda,	বা্জা,	বাগদা,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
ispredshiit,	ইস্প্রেসিট,	স্প্রেডশীট,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
scoree,	স্করি,	স্কোরে,	
ddheke,	ঢেঁকে,	ঢেকে,	
kona,	কোণা,	কোনা,	
adhunikkaley,	আধুনিকালে,	আধুনিককালে,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
ishpredshheet,	ইস্পারেসিট,	স্প্রেডশীট,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
prabhu,	প্রভূ,	প্রভু,	
qredita,	ক্রেডিট,	ক্রেডিট,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
torokareer,	তরকারির,	তরকারীর,	
dokaanei,	ডোকানেই,	দোকানেই,	
vobanir,	ভবানীর,	ভবানীর,	
transafarma,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
biphal,	বিফল,	বিফল,	
dosider,	দশীদের,	দোষীদের,	
bhalobasen,	ভালোবাসন,	ভালোবাসেন,	
esosiyetasa,	এসএসিয়েটস,	এসোসিয়েটস,	
marmaraa,	মার্মারা,	মারমারা,	
hiushtoner,	হিউস্টানের,	হিউস্টনের,	
sayanaida,	সাযানাইড,	সায়ানাইড,	
chalachchitragulor,	চললিচ্রগুলোর,	চলচ্চিত্রগুলোর,	
kortaam,	করতাম,	করতাম,	
dienes,	ডাইনেস,	ডিএনএস,	
akpaase,	একপাশে,	একপাশে,	
shainyara,	সৈন্যরা,	সৈন্যরা,	
bodhirta,	বদধিরতা,	বধিরতা,	
fishing,	ফিসিং,	ফিসিং,	
vejaano,	ভেজানো,	ভেজানো,	
uuipokar,	উইপকার,	উইপোকার,	
jibnagore,	জিবনাগরে,	জীবননগর,	
manur,	মনুর,	মনুর,	
manushtikey,	মনুস্তিকে,	মানুষটিকে,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
sektara,	সেক্টর,	সেক্টর,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
rubio,	রুবিও,	রুবিও,	
azadeer,	আজাদীর,	আজাদীর,	
elakaao,	এলাকাও,	এলাকাও,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
angkita,	অংকিতা,	অঙ্কিতা,	
upobashee,	উপবাসী,	উপবাসী,	
shekender,	সেকেন্দার,	সেকেন্ডের,	
azibonoer,	আজীবনের,	আজীবনের,	
shalsa,	সলস,	সালসা,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
goteerodh,	গতিরোধ,	গতিরোধ,	
ajeemke,	আজীমকে,	আজিমকে,	
aarakaner,	আরকানের,	আরাকানের,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
atak,	এটক,	আটক,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
loukik,	লৌকিক,	লৌকিক,	
pothnatok,	পথনতাক,	পথনাটক,	
trayte,	ট্র্যাটে,	ট্রেতে,	
uindo,	উইন্ড,	উইন্ডো,	
hitoishi,	হিটসি,	হিতৈষী,	
hundai,	হান্ডাই,	হুন্দাই,	
mohammad,	মোহাম্মাদ,	মুহাম্মদ,	
jolrang,	জলযারাং,	জলরঙ,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
nilabho,	নিলভা,	নীলাভ,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
alkatra,	আলককতারা,	আলকাতরা,	
kaleo,	কলেও,	কালেও,	
scall,	স্কল,	এসকল,	
dharavahiker,	ধারবাহিকের,	ধারাবাহিকের,	
caramics,	ক্যারামিক্স,	সিরামিকস,	
vumija,	ভূমিজা,	ভূমিজ,	
bojhaar,	বোঝার,	বোঝার,	
nevatey,	নেভাতে,	নেভাতে,	
temas,	টেমাস,	টাইমস্,	
parswer,	পারস্ভের,	পার্শ্বে,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
taruner,	তররণের,	তরুণের,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
shaswato,	শাসত্য,	শাশ্বত,	
pustir,	পুস্তির,	পুষ্টির,	
aanis,	আনিস,	আনিস,	
charukala,	চ্রাকুলা,	চারুকলা,	
shaddhi,	সাদ্ধি,	সাধ্বী,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
saazano,	সাজানো,	সাজানো,	
yaak,	যাক,	ইয়াক,	
qyapasula,	ক্যাপসূলা,	ক্যাপসুল,	
padarthabidder,	পদার্থবিদের,	পদার্থবিদদের,	
sharifer,	শরীফের,	শরিফের,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
abarte,	আবর্তে,	আবর্তে,	
marmader,	মর্মাের,	মারমাদের,	
prime,	প্রাইম,	প্রাইম,	
siddhantokey,	সিদ্ধানটকে,	সিদ্ধান্তকে,	
sikhra,	শিখ্র,	শিখরা,	
manonitader,	মনোনিতদের,	মনোনীতদের,	
ved,	ভেদ,	বেদ,	
gambasi,	গম্্বাসী,	গ্রামবাসী,	
chhootochhuti,	ছোটুচুটি,	ছুটোছুটি,	
attobishwasi,	আত্তবিশ্বাসী,	আত্মবিশ্বাসী,	
natneekey,	নাটনীকে,	নাতনীকে,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
laagche,	লাগছে,	লাগছে,	
rinatmok,	রণতামমক,	ঋনাত্মক,	
avatara,	অভাতর,	অবতার,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
mohammadi,	মোহাম্মাদি,	মুহাম্মদী,	
dover,	ডভার,	ডোভার,	
hoshein,	হোসেন,	হোসেইন,	
sithilotar,	সীথিলতার,	শিথিলতার,	
youth,	ইউউথ,	ইয়ুথ,	
bunat,	বুনত,	বুনট,	
mujibur,	মুজিবর,	মুজিবুর,	
bedanto,	বদদান্ত,	বেদান্ত,	
segulor,	সেগুলোর,	সেগুলোর,	
qara,	কোর,	কর,	
chainge,	চেঙ্গে,	চেঞ্জ,	
janaar,	জানর,	জানার,	
vabook,	ভাবুক,	ভাবুক,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
marpit,	মার্পিট,	মারপিট,	
serverty,	সার্ভররটি,	সার্ভারটি,	
toler,	তলের,	তালের,	
golakritir,	গোলকৃতির,	গোলাকৃতির,	
thailandsoho,	তালান্দসহ,	থাইল্যান্ডসহ,	
plain,	প্লেন,	প্লেন,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
rupdaan,	রূপদান,	রুপদান,	
tongaa,	তঙ্গা,	টোঙ্গা,	
uponisoder,	উপনিষদের,	উপনিষদের,	
grauth,	গ্রাউথ,	গ্রোথ,	
abhisongson,	অভিসংসন,	অভিশংসন,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
seekkhokbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
ragke,	রাগকে,	রাগকে,	
paramartha,	পরমর্থ,	পরমার্থ,	
joneetey,	জননিতে,	যোনীতে,	
peethey,	পিথে,	পীঠে,	
onnoroop,	অনরূপ,	অন্যরূপ,	
epiela,	এপীল,	আইপিএল,	
khaneker,	খণেকের,	খানেকের,	
nirau,	নিরো,	নির,	
arop,	আরোপ,	আরোপ,	
cheerontan,	চিরণ্তন,	চিরন্তন,	
satarkotar,	সর্তকরতার,	সতর্কতার,	
sthaponatir,	স্থাপনতির,	স্থাপনাটির,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
byatikrami,	ব্যতিক্রমী,	ব্যতিক্রমী,	
ting,	টিং,	টিং,	
addabaj,	আদ্বাজা,	আড্ডাবাজ,	
cheph,	চিফ,	শেফ,	
panni,	পাননি,	পন্নী,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
torkarir,	তরকারির,	তরকারীর,	
ashanka,	অসঙ্ক,	আশঙ্কা,	
tachnach,	তাচাাচ,	তছনছ,	
venicey,	ভেনিসে,	ভেনিসে,	
isosiyitasa,	এসএসিিটাস,	এসোসিয়েটস,	
bhabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
ceramicsh,	চারামিক্স,	সিরামিকস,	
chhuti,	ছুটি,	ছুটি,	
shatjon,	সাতজন,	সাতজন,	
ashe,	আঁশে,	আসে,	
sorboshoktiman,	সর্বস্বিকমান,	সর্বশক্তিমান,	
chamke,	চামকে,	চমকে,	
chanu,	চানু,	চানু,	
maryir,	মেরির,	ম্যারির,	
doorotomo,	দূরতম,	দূরতম,	
phox,	ফো্স,	ফক্স,	
udiichii,	উদিচী,	উদীচী,	
bandhuke,	বন্ধকে,	বন্ধুকে,	
zerusalemer,	জেরুসলিমার,	জেরুজালেমের,	
machti,	মাঁচটি,	মাছটি,	
qraima,	ক্রাইম,	ক্রাইম,	
shcholastic,	স্কলস্টিক,	স্কলাস্টিক,	
archimedeser,	আর্কিমেডেসের,	আর্কিমিডিসের,	
zesh,	জেস,	জেস,	
laaishensh,	লাইসেন্স,	লাইসেন্স,	
tinage,	তিনাজ,	টিনেজ,	
sangkalaner,	সংকলানের,	সংকলনের,	
samajeri,	সমাজেরী,	সমাজেরই,	
oshamorik,	অসামরিক,	অসামরিক,	
maadhoori,	মাধুরি,	মাধুরী,	
maithili,	মৈথিলি,	মৈথিলি,	
shhikar,	শিকার,	শিকার,	
sahooseekotar,	সহহিশীকতার,	সাহসিকতার,	
koyeri,	ক্য়েরি,	কোয়েরি,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
bihare,	বিহরে,	বিহারে,	
deembakreeti,	দীম্বকৃতি,	ডিম্বাকৃতি,	
superhera,	সুপারেরা,	সুপারহিরো,	
emarjenshi,	এমার্জেন্সি,	এমার্জেন্সি,	
jameser,	জেমসের,	জেমসের,	
shomser,	শমসের,	সমশের,	
cyanide,	চ্যানিড,	সায়ানাইড,	
karaa,	কারা,	কারো,	
sonali,	সোনালি,	সোনালী,	
ajibooner,	আজীবনের,	আজীবনের,	
paikar,	পাইকার,	পাইকার,	
ponthar,	পণ্থার,	পন্থার,	
danaqana,	ডানাকানা,	ডানকান,	
aajij,	আজিজ,	আজিজ,	
chess,	চেস,	চেস,	
onnkita,	অংকিত,	অঙ্কিতা,	
gujaber,	গুযবেবের,	গুজবের,	
chaaktir,	চাকটির,	চাকতির,	
brindaaboner,	ব্রিন্দবের,	বৃন্দাবনের,	
addhattikota,	আধ্ধতিকতা,	আধ্যাত্মিকতা,	
bhenisa,	ভেনিসা,	ভেনিস,	
bujhleo,	বুঝলেও,	বুঝলেও,	
nobom,	নবম,	নবম,	
chhaai,	ছাই,	ছাই,	
ansarir,	আনসারির,	আনসারীর,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
rubyo,	রুব্য,	রুবিও,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
advanshd,	এডভান্ড,	অ্যাডভান্সড,	
hights,	হাইটস,	হাইটস,	
conseervation,	কনজারেশনেশন,	কনসারভেশন,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
dooburira,	দুবূরীরা,	ডুবুরিরা,	
rajon,	রজন,	রাজন,	
ganochien,	গণছিন,	গণচীন,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
mahey,	মহে,	মাহে,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
shikarke,	শিকরকে,	শিকারকে,	
markete,	মার্কাইট,	মার্কেটে,	
gonocheen,	গণছিন,	গণচীন,	
uqeliptas,	উউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
khilaphat,	খিলাফাত,	খিলাফত,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
haluder,	হালুদের,	হলুদের,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
samanwitabhabey,	সমান্তিভাবে,	সমন্বিতভাবে,	
garnar,	গর্ণার,	গার্নার,	
harbourey,	হার্বরাই,	হারবারে,	
karo,	কারো,	করো,	
routiner,	রাউটিনের,	রুটিনের,	
okritokarjo,	অকৃতকর্য,	অকৃতকার্য,	
yanqee,	ই্যাংকি,	ইয়াংকি,	
harris,	হ্যারিস,	হ্যারিস,	
raits,	রেটস,	রাইটস,	
nabotom,	নবোতম,	নবতম,	
smarok,	স্মরক,	স্মারক,	
tokee,	টোকে,	তকি,	
lombate,	লম্বাতে,	লম্বাটে,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
aamudey,	আমুদে,	আমুদে,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
utsaahe,	উতসাহে,	উৎসাহে,	
inshtol,	ইনস্টল,	ইন্সটল,	
aboshorer,	অবসরের,	অবসরের,	
noveel,	নভভেল,	নভেল,	
ostader,	অস্তাদের,	ওস্তাদের,	
palta,	পল্ট,	পালটা,	
associatis,	অ্যাসোসিসিটিস,	এসোসিয়েটস,	
nirbaho,	নির্বাহ,	নির্বাহ,	
dee,	দে,	ডে,	
asamarik,	আসামরিক,	অসামরিক,	
dinar,	দীনার,	ডিনার,	
uindoo,	উইন্ডও,	উইন্ডো,	
bandhubhabaponno,	বাঁধুবনপন্ন,	বন্ধুভাবাপন্ন,	
poner,	পনের,	পনের,	
faridi,	ফরীদি,	ফরিদী,	
heenna,	হেনা,	হেনা,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
gajano,	গজানো,	গজানো,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
ispredseet,	ইস্ডপ্রেসট,	স্প্রেডশীট,	
kanar,	কানার,	কণার,	
asavyo,	অসভ্য,	অসভ্য,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
bonkey,	বনকে,	বনকে,	
mataram,	মতারম,	মাতারাম,	
breaqthrough,	ব্রেক্ষরাফ,	ব্রেকথ্রু,	
tuso,	টুসো,	তুসো,	
nirapattamulak,	নিরাপত্্তমূলক,	নিরাপত্তামূলক,	
govornorer,	গভর্নরের,	গভর্ণরের,	
seconder,	সেকান্ডের,	সেকেন্ডের,	
uindoos,	উইন্ডোজ,	উইন্ডোস,	
eidhyaning,	এধ্যানিং,	ইদানীং,	
haris,	হ্যারিস,	হ্যারিস,	
herpher,	হার্ফার,	হেরফের,	
songhar,	সংহার,	সংহার,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
roomantik,	রোমন্তিক,	রোমান্টিক,	
