chhaanake,	ছানকে,	ছানাকে,	
phala,	ফলল,	পোলো,	
maailkhanek,	মাইলনেক,	মাইলখানেক,	
harbore,	হরবের,	হারবারে,	
abdun,	আবদুন,	আবদুন,	
batikromee,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
aairees,	আইরিশ,	আইরিস,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
pletoo,	প্লট,	প্লেটো,	
bhabnar,	ভবনন,	ভাবনার,	
nyaper,	ন্যাপের,	ন্যাপের,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
konagulo,	কোনগুলো,	কণাগুলো,	
muladi,	মুলাদী,	মুলাদি,	
dembakreeti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
jaunatar,	যৌনতার,	যৌনতার,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
pab,	পাব,	পাব,	
namo,	নম,	নমো,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
meghacchonno,	মেঘচা্্ন,	মেঘাচ্ছন্ন,	
hotodoreedro,	হতোদিরদ্র,	হতদরিদ্র,	
associates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
temon,	তেমন,	তেমন,	
ekghare,	একঘারে,	একঘরে,	
nogonyo,	নগন্য,	নগণ্য,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
sikha,	শিখা,	শিখ,	
ammor,	আম্মর,	আমর,	
galpokar,	গল্পকার,	গল্পকার,	
teteyer,	টেটের,	টেটের,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
shangsthatir,	সংস্থাটির,	সংস্থাটির,	
ghamta,	ঘমতা,	ঘোমটা,	
turista,	তুরিষ্ট,	টুরিস্ট,	
enashiyenta,	এনসাইিএন্ট,	এনসিয়েন্ট,	
bidghute,	বিধুতে,	বিদঘুটে,	
nojoder,	নজদের,	নজদের,	
granthatyke,	গ্রান্থটিকে,	গ্রন্থটিকে,	
mataram,	মাতররাম,	মাতরম,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
saarbhaarti,	সার্ভার্টি,	সার্ভারটি,	
grambaseeo,	গ্রামাবিও,	গ্রামবাসীও,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
melborroner,	মেলব্ররের,	মেলবোর্নের,	
samosher,	সমসের,	সমশের,	
shringgey,	শ্রীঞ্জে,	শৃঙ্গে,	
aaireshe,	আইরেশে,	আইরেসে,	
hiragana,	হিরাগন,	হিরাগানা,	
ispreedshiit,	ইস্পৃরেশি,	স্প্রেডশীট,	
ssikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
bitloser,	বিটলসের,	বিটলসের,	
prasadhani,	প্রসাধনী,	প্রসাধনী,	
gosthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
daalu,	ডালু,	ডালু,	
karmake,	কর্মকে,	কর্মকে,	
mousum,	মৌসুম,	মৌসুম,	
konfleekt,	কনফেলক্ট,	কনফ্লিক্ট,	
sektara,	সেক্টর,	সেক্টর,	
netarao,	নেতারও,	নেতারাও,	
sthapanagulo,	স্থানাগুলো,	স্থাপনাগুলো,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
joubanbotii,	যৌবন্তী,	যৌবনবতী,	
laicenshe,	লাইনসে,	লাইসেন্স,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
shrishree,	শৃশশরি,	শ্রীশ্রী,	
bulan,	বুলেন,	বুলান,	
byaboharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
somoshtigoto,	সমস্কিত,	সমষ্টিগত,	
sorajur,	সরাজুর,	সরযূর,	
sahochorjo,	সহচর্য,	সাহচর্য,	
moqam,	মোকাম,	মোকাম,	
daakticketer,	ডাক্কিতের,	ডাকটিকিটের,	
vandar,	ভান্ডার,	ভাণ্ডার,	
ceramiksh,	কেরামিক্স,	সিরামিকস,	
serverey,	সার্ভারে,	সার্ভারে,	
bharadwaja,	ভারাদ্যোজা,	ভরদ্বাজ,	
parqim,	পার্কিং,	পার্কিং,	
kaalki,	কালকি,	কালকি,	
harbur,	হার্বুর,	হারবার,	
sofier,	সফীর,	সোফির,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
madhumati,	মধুমতি,	মধুমতী,	
poripake,	পরিপকে,	পরিপাকে,	
kuchir,	কুচির,	কুচির,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
oholya,	অহল্য,	অহল্যা,	
avishangsan,	অভিষংসন,	অভিশংসন,	
debodebir,	দেবদেবির,	দেবদেবীর,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
grootha,	গ্রুথ,	গ্রোথ,	
soomi,	সুমী,	সুমি,	
definitian,	ডেফিনিশ,	ডেফিনেশন,	
karecho,	করেছ,	করেছো,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
kara,	করর,	কর,	
mmadhukkori,	মধুকরি,	মাধুকরী,	
poscater,	পশ্চেতার,	পশ্চাতের,	
safin,	শাফী,	সাফিন,	
moreecha,	মরেচ,	মরিচা,	
jibanta,	জীবন্ত,	জীবন্ত,	
neelkamal,	নীলকমাল,	নীলকমল,	
rajon,	রজন,	রাজন,	
jerushalem,	জেরুসালেম,	জেরুসালেম,	
prochondota,	প্রচন্ডতা,	প্রচণ্ডতা,	
uindoo,	উইন্ডু,	উইন্ডো,	
ahong,	আহং,	অহং,	
vange,	ভাঙে,	ভাঙ্গে,	
taala,	তালা,	তালা,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
arop,	আরোপ,	আরোপ,	
ekshapreshhana,	এক্সপ্রেসে,	এক্সপ্রেশন,	
temoni,	তেমনি,	তেমনই,	
perther,	প্যার্থার,	পার্থের,	
chirokumari,	চিরকুরারী,	চিরকুমারী,	
shilpojaat,	শিল্পোত,	শিল্পজাত,	
sahokaree,	সহকারি,	সহকারী,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
teresa,	তেরেসা,	টেরেসা,	
kanaflikta,	কনফেল্ক্ট,	কনফ্লিক্ট,	
sikhra,	শিখ্রা,	শিখরা,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
soccar,	সকার,	সকার,	
shoya,	শোয়া,	সোয়া,	
obie,	অবি,	ওবিই,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
songrahok,	সংগ্রহক,	সংগ্রাহক,	
diibug,	দিবুগ,	ডিবাগ,	
bojhaar,	বোঝার,	বোঝার,	
diznee,	ডিজনি,	ডিজনী,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
saras,	সরস,	সরস,	
netherlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
kark,	কর্ক,	কার্ক,	
talgaachh,	তলগাছ,	তালগাছ,	
biplabee,	বিপ্লবি,	বিপ্লবী,	
oncholtite,	অঞ্চলিতে,	অঞ্চলটিতে,	
bosstonto,	বস্তন্ত,	বসন্ত,	
trayte,	ট্রেইট,	ট্রেতে,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
chalabe,	চালাবি,	চালাবে,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
dozo,	দজ,	ডোজো,	
gardeen,	গর্ডিন,	গার্ডেন,	
nuhas,	নুহাস,	নুহাশ,	
chyeta,	চেত,	চ্যাট,	
abheedhaner,	অভিধানের,	অভিধানের,	
dala,	ডল,	দলা,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
tachnach,	তাচনাচ,	তছনছ,	
addhattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
zones,	জোনস,	জোন্স,	
jank,	জাঁক,	জাঁক,	
murli,	মূর্লি,	মুরলী,	
samratra,	সম্রত্র,	সম্রাটরা,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
thaakte,	থাকতে,	থাকতে,	
shikhechi,	শিখেছি,	শিখেছি,	
khaambaa,	খামবা,	খাম্বা,	
smaraker,	স্মারকের,	স্মারকের,	
somabeshti,	সমবেষ্টি,	সমাবেশটি,	
abortey,	আবর্তে,	আবর্তে,	
sahoocorzoe,	সহুকর্চ,	সাহচর্যে,	
jaaluk,	জালুক,	জ্বলুক,	
sthapona,	স্থাপনা,	স্থাপনা,	
inamil,	ইনামিল,	এনামেল,	
jesthotar,	জেস্থাতর,	জ্যেষ্ঠতার,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
torangunj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
falak,	ফলক,	ফলক,	
jacksan,	জকক্সন,	জ্যাকসন,	
boney,	বোন,	বনে,	
gazipur,	গাজীপুর,	গাজিপুর,	
spashtatai,	স্পষ্টটাই,	স্পষ্টতই,	
stonehenj,	স্টোেহেজ,	স্টোনহেঞ্জ,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
stain,	স্টেইন,	স্টেন,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
jaanate,	জানাতে,	জানাতে,	
elaakaate,	এলাকাতে,	এলাকাতে,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
starc,	স্ট্রাক,	স্টার্ক,	
mesenzar,	মেসেজ্জার,	মেসেঞ্জার,	
spreedashita,	স্প্রাদিশ,	স্প্রেডশীট,	
ekok,	একক,	একক,	
ghesha,	ঘেস,	ঘেঁষা,	
nadnodir,	নদ্দদির,	নদনদীর,	
paaree,	পারি,	পাড়ে,	
gunjey,	গুঞ্জে,	গুঁজে,	
siiteyi,	শীতেই,	শীতেই,	
akshoti,	অকশটি,	একশোটি,	
novel,	নোভেল,	নভেল,	
meyiler,	মেইলের,	মেইলের,	
mosharrof,	মোশাররফ,	মশাররফ,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
pacbar,	পাঁচবার,	পাঁচবার,	
ajeem,	আজিম,	আজিম,	
daankaan,	ডানকান,	ডানকান,	
ajuhat,	অজুহাত,	অজুহাত,	
gaaddafee,	গাদ্াাফি,	গাদ্দাফী,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
phix,	ফিক্স,	ফিক্স,	
vogno,	ভগ্ন,	ভগ্ন,	
baarakpur,	ব্যারাকপুর,	বারাকপুর,	
chetana,	চেতনা,	চেতনা,	
edaning,	এডননিং,	ইদানীং,	
palbangsher,	পল্বংশের,	পালবংশের,	
shamijir,	স্বামীজীর,	স্বামীজীর,	
bagdad,	বাগদাদ,	বাগদাদ,	
gripa,	গ্রিপ,	গ্রিপ,	
dhhabi,	ঢবি,	ঢাবি,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
choudhureeder,	চৌধ্রীদের,	চৌধুরীদের,	
neshhanasha,	নেশাসা,	নেশনস,	
toruner,	তরুণের,	তরুণের,	
install,	ইনস্টল,	ইন্সটল,	
bajite,	বাজিতে,	বাজিতে,	
ganoporibohon,	গণপরিবহণ,	গণপরিবহন,	
shaluk,	শালুক,	শালুক,	
vaibonder,	ভাইবন্দের,	ভাইবোনদের,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
dolgulo,	দলগুলো,	দলগুলোও,	
governerer,	গভর্নরের,	গভর্ণরের,	
highcommissionay,	হাইকমিশনে,	হাইকমিশনে,	
baasaa,	বাসা,	বাসা,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
bahya,	বহ্য,	বাহ্য,	
seat,	সেট,	সিট,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
sifi,	সিফি,	সাইফাই,	
ovigomon,	অভিগান,	অভিগমন,	
marmaaraa,	মার্মারি,	মারমারা,	
ekmot,	একমত,	একমত,	
beekaargrasta,	বিকর্পস্ত,	বিকারগ্রস্ত,	
oorgho,	অর্ঘ,	অর্ঘ্য,	
rajatwa,	রাজত্ব,	রাজত্ব,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
bbs,	বিএসএস,	বিবিএস,	
machhti,	মাছটি,	মাছটি,	
shailee,	শেলী,	শৈলী,	
timathi,	তিমাঠি,	টিমোথি,	
suraropito,	সুরারোপিত,	সুরারোপিত,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
soras,	সরাস,	সরস,	
sanyal,	সন্যাল,	সান্যাল,	
khamba,	কমমবা,	খাম্বা,	
planea,	প্লেনে,	প্লেনে,	
naobihar,	নৌবিহার,	নৌবিহার,	
shangkaloner,	সংকলনের,	সংকলনের,	
eastar,	ইস্টার,	ইস্টার,	
ula,	উলা,	উল,	
nebhate,	নেভাতে,	নেভাতে,	
tigre,	টিগরে,	টাইগার,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
olangkoron,	অলংকরণ,	অলঙ্করণ,	
kutir,	কূটির,	কুটির,	
khilaphat,	খিলাফাত,	খিলাফত,	
byaboharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
blyaka,	ব্লক,	ব্ল্যাক,	
jolbe,	জলবে,	জ্বলবে,	
primo,	প্রীম,	প্রিমো,	
meghachonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
niropeksh,	নিরপেক,	নিরপেক্ষ,	
sina,	সিন,	সিনা,	
obosorer,	অবশরের,	অবসরের,	
taunashipa,	তৌন্সীপ,	টাউনশিপ,	
vobtarini,	ভব্টরিণী,	ভবতারিণী,	
tongaa,	তোঙগা,	টোঙ্গা,	
phokser,	ফক্সের,	ফক্সের,	
yukeliptas,	ইউকেলিপ্টস,	ইউক্যালিপ্টাস,	
lutheerana,	লুথেরন,	লুথেরান,	
skyirt,	স্কাই়ার্ট,	স্কার্ট,	
manushtike,	মনুষ্টিকে,	মানুষটিকে,	
krantee,	ক্রান্তি,	ক্রান্তি,	
saphalyar,	সাফল্যার,	সাফল্যের,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
durgotsob,	দুর্ঘটবাব,	দুর্গোৎসব,	
dhaanche,	ঢাঁচে,	ধাঁচে,	
ovijojan,	অভিযোজন,	অভিযোজন,	
eenameel,	ইনামেল,	এনামেল,	
akreetokarjo,	আকৃতকার্য,	অকৃতকার্য,	
licenser,	লিসেন্সের,	লাইসেন্সের,	
birishirite,	বিরিসিরে,	বিরিশিরিতে,	
vatar,	ভাটার,	ভাতার,	
baataree,	বাতারী,	ব্যাটারী,	
sothik,	সথীক,	সঠিক,	
phareksha,	ফরেক্স,	ফরেক্স,	
mojlis,	মজলিস,	মজলিশ,	
onker,	অঙ্কের,	ওঙ্কার,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
onodhikar,	অনধীকার,	অনধিকার,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
monjooshree,	মনুুস্রী,	মঞ্জুশ্রী,	
jati,	জাতি,	যাতি,	
konruup,	কনুরূপ,	কোনরূপ,	
carlas,	কার্লস,	কার্লোস,	
bhenna,	ভেনা,	ভেন্না,	
soteciety,	সোটিটি,	সোসাইটিতে,	
hajirhat,	হজিরহাট,	হাজিরহাট,	
karkat,	করকত,	কর্কট,	
haldim,	হাল্ডিং,	হোল্ডিং,	
shodhon,	শোধন,	শোধন,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
mmeloborrner,	মেলবাররের,	মেলবোর্নের,	
ancholgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
kana,	কান,	কণা,	
kanuner,	কানুনের,	কানুনের,	
holuder,	হলুদের,	হলুদের,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
olpo,	অল্প,	অল্প,	
hitakar,	হিতাকার,	হিতকর,	
tookrokey,	টুকরে,	টুকরোকে,	
saccer,	সকের,	সকার,	
khodeja,	খোদেজা,	খোদেজা,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
nilav,	নিলভ,	নীলাভ,	
gandhiir,	গান্ধীর,	গান্ধীর,	
phoxkon,	ফক্ন,	ফক্সকন,	
parther,	পার্থার,	পার্থের,	
kampita,	কম্পিত,	কম্পিত,	
kharar,	খারার,	খরার,	
foxkon,	ফক্ষন,	ফক্সকন,	
ghotol,	ঘটতল,	ঘটল,	
nariikei,	নারীকেই,	নারীকেই,	
shaatjon,	সাজজন,	সাতজন,	
gotirodh,	গতিরোধ,	গতিরোধ,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
anan,	আনন,	আনান,	
firti,	ফিরতি,	ফিরতি,	
horiner,	হরিনের,	হরিণের,	
cholochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
olympicer,	অলিমপিকের,	অলিম্পিকের,	
bocchoner,	বছ্চনের,	বচ্চনের,	
saarbharti,	সার্ভার্টি,	সার্ভারটি,	
uthane,	উঠানে,	উঠানে,	
bosten,	বসতেন,	বসতেন,	
shrishri,	শ্রীশরি,	শ্রীশ্রী,	
bomkesh,	বোমেশ,	ব্যোমকেশ,	
corymb,	করিম্ব,	করিম,	
kaanaai,	কানাই,	কানাই,	
vishnu,	ভিষ্ণু,	বিষ্ণু,	
emargency,	এমারেঞ্জি,	এমার্জেন্সি,	
hillse,	হিলসে,	হিলসে,	
mehonoti,	মেহনতি,	মেহনতি,	
mugdho,	মুঘ,	মুগ্ধ,	
mahish,	মহীশ,	মহিষ,	
raiialati,	রিওলাটি,	রয়্যালটি,	
kale,	কালে,	কালে,	
kuarter,	কোর্টের,	কোয়ার্টার,	
khoor,	খুর,	ক্ষুর,	
smaroker,	স্মারকের,	স্মারকের,	
mozlishpoor,	মজলিসপুর,	মজলিশপুর,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
gardena,	গর্ডেন,	গার্ডেন,	
safiin,	সেফিং,	সাফিন,	
bosontokke,	বসন্তকে,	বসন্তকে,	
nathivuktir,	নথিভুক্তির,	নথিভুক্তির,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
udbodhane,	উদ্বোধনে,	উদ্বোধনে,	
ummool,	উম্মুল,	উম্মুল,	
bibade,	বিবাদে,	বিবাদে,	
ghoorchen,	ঘোরেছেন,	ঘুরেছেন,	
rahie,	রাহি,	রাহি,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
thake,	থাকে,	থাকে,	
tirmijii,	তিরমিযী,	তিরমিজি,	
debdebier,	দেবদেবির,	দেবদেবীর,	
tukror,	তুকরর,	টুকরোর,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
ibhil,	ইভিল,	ইভিল,	
mojlishpur,	মজলিসপুর,	মজলিশপুর,	
manushsoho,	মানুসহ,	মানুষসহ,	
babyloney,	বেবিলেনে,	ব্যাবিলনে,	
dhauto,	ধাউত,	ধৌত,	
munshi,	মুনশী,	মুন্সি,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
chuti,	ছুটি,	ছুটি,	
meghey,	মেঘে,	মেঘে,	
laaishenshh,	লাইনেস,	লাইসেন্স,	
kachhakachhi,	কাছাকাছি,	কাছাকাছি,	
deeputi,	দিপুতি,	ডেপুটি,	
asaciates,	অসযাকিসেটেস,	এসোসিয়েটস,	
sthaponagulo,	স্থাপনুলো,	স্থাপনাগুলো,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
duburira,	দুবুরীরা,	ডুবুরিরা,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
ikbalke,	ইকবলাকে,	ইকবালকে,	
antarktikar,	অন্তর্কিকার,	অ্যান্টার্কটিকার,	
taivan,	তাইভান,	তাইওয়ান,	
ghenshe,	ঘেঁসে,	ঘেঁষে,	
mathew,	মঠঠে,	ম্যাথিউ,	
udvabaker,	উদ্ভবকের,	উদ্ভাবকের,	
cade,	কেড,	কোড,	
hamburge,	হামববার্জ,	হামবুর্গে,	
goolen,	গুলেন,	গুলেন,	
boarana,	বোরন,	বোরন,	
madrajer,	মাদরাজের,	মাদ্রাজের,	
manob,	মনন,	মানব,	
dooborira,	দুবরেরা,	ডুবুরিরা,	
jolorong,	জলরং,	জলরঙ,	
atyacharita,	অত্যচকিত,	অত্যাচারিত,	
dhyanostha,	ধন্সস্থা,	ধ্যানস্থ,	
madhyekar,	মধ্যকার,	মধ্যেকার,	
wolapuk,	ভোলাপুক,	ভোলাপুক,	
vorkendra,	ভোরেকন্ডার,	ভরকেন্দ্র,	
porobortii,	পরবর্তী,	পরর্বতী,	
matrikar,	মত্রিকার,	মাতৃকার,	
darji,	দর্জি,	দরজি,	
phern,	ফারন,	ফার্ন,	
harrisoner,	হরিসনের,	হ্যারিসনের,	
teentir,	তিনটির,	তিনটির,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
akpaase,	একপাশে,	একপাশে,	
sahabah,	সহবাহ,	সাহাবাহ,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
bohal,	বহল,	বহাল,	
youth,	ইউথ,	ইয়ুথ,	
bafal,	বাফল,	বিফল,	
sonatani,	সোনাটিনি,	সনাতনী,	
bagach,	বাগাচ,	বটগাছ,	
teamothi,	তেমোথি,	টিমোথি,	
chaalaabi,	চালাবি,	চালাবে,	
bongshi,	বংশী,	বংশী,	
pravu,	প্রভূ,	প্রভু,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
thime,	থিমে,	থিমে,	
masharraf,	মাশাররফ,	মশাররফ,	
dharer,	ধরের,	ধরের,	
gonosochetonota,	গণশচ্চনতা,	গণসচেতনতা,	
sawam,	সাভাম,	সাওম,	
maryir,	মেরির,	ম্যারির,	
thyachara,	থ্যাচার,	থ্যাচার,	
lyaata,	ল্যাট,	ল্যাটা,	
probhritir,	প্রভূতির,	প্রভৃতির,	
chal,	চল,	চাল,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
favorite,	ফরওতিতে,	ফেভারিট,	
taranee,	তররণই,	তরণী,	
dorgaho,	দরগাহ,	দরগাহ,	
sadbi,	সদবি,	সাধ্বী,	
goonoman,	গুণমান,	গুণমান,	
siropar,	শিরপার,	শিরোপার,	
ajij,	আজিজ,	আজিজ,	
conphlict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
boner,	বোনের,	বনের,	
heeja,	হেজ,	হেজ,	
murader,	মুরাদের,	মুরাদের,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
karmakarer,	কর্মকারের,	কর্মকারের,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
sqora,	স্কোর,	স্কোর,	
sommoteer,	সম্মতির,	সম্মতির,	
dhormee,	ধর্মি,	ধর্মী,	
atarkitey,	আটরকিতে,	অতর্কিতে,	
dalee,	ডেল,	ডালে,	
dola,	ডলা,	দলা,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
theland,	থেল্যান্ড,	থাইল্যান্ড,	
mosjidsoho,	মসিজসহ,	মসজিদসহ,	
bhotara,	ভোটর,	ভোটার,	
mittrota,	মিত্রোটা,	মিত্রতা,	
rubyo,	রাব্য,	রুবিও,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
chhotto,	ছত্ব,	ছোট্ট,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
chhilona,	ছিলনা,	ছিলনা,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
nepchuner,	নেপুনের,	নেপচুনের,	
iviem,	ইভিএম,	ইভিএম,	
ponni,	পনি,	পন্নী,	
votar,	ভোটার,	ভোটার,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
kampito,	কম্পিত,	কম্পিত,	
sanmukh,	সন্মুখ,	সন্মুখ,	
drishi,	দৃশী,	দৃশ্যই,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
graambaasheeo,	গ্রামবাসী,	গ্রামবাসীও,	
emergenci,	এমেরেজনি,	এমার্জেন্সি,	
sukna,	শুকনা,	শুকনা,	
qaro,	কারও,	কারো,	
jahara,	জাহরা,	যাহরা,	
danab,	দানব,	দানব,	
ballroom,	বলরুম,	বলরুম,	
phutanto,	ফুটন্ত,	ফুটন্ত,	
maaktoome,	মাকতুমে,	মাকতুম,	
kkunti,	কুন্তি,	কুন্তী,	
guzon,	গুজন,	গুজব,	
akmato,	একমত,	একমত,	
fareksa,	ফরেক্স,	ফরেক্স,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
valobase,	ভালবাসে,	ভালোবাসে,	
vorkendro,	ভরকেন্দ্র,	ভরকেন্দ্র,	
moofti,	মুফতী,	মুফতি,	
keyboarder,	কেবর্দের,	কীবোর্ডের,	
nursery,	নার্সারী,	নার্সারি,	
akrup,	আকরূপ,	একরূপ,	
pratool,	প্রতুল,	প্রতুল,	
carpeter,	কর্পটের,	কার্পেটের,	
bhugol,	ভুগল,	ভূগোল,	
shikha,	শিখা,	শিখ,	
odoore,	অদূরে,	অদুরে,	
beekargrasta,	বিকর্পস্ত,	বিকারগ্রস্ত,	
braqe,	ব্রেক,	ব্রেক,	
ghesa,	ঘেস,	ঘেঁষা,	
loukikataa,	লৌকিকাা,	লৌকিকতা,	
dhojobhongo,	ধরভঙ্গ,	ধ্বজভঙ্গ,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
rahi,	রাহি,	রাহী,	
ganachin,	গানাচিন,	গণচীন,	
dooburira,	দুবরীরা,	ডুবুরিরা,	
tyunar,	টাউনার,	টিউনার,	
tarokareer,	তরকারির,	তরকারীর,	
zesh,	জেস,	জেস,	
nafisa,	নাফিস,	নাফিসা,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
sqolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
meeting,	মেটিং,	মিটিং,	
gori,	গরি,	গোরি,	
iraaner,	ইরানের,	ইরানের,	
daap,	দাপ,	ড্যাপ,	
taimas,	টাইমস,	টাইমস্,	
obharabhiu,	অভারুভি,	ওভারভিউ,	
murad,	মুরাদ,	মুরাদ,	
soholovyotar,	সহলভ্লতার,	সহজলভ্যতার,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
chheelona,	ছিলনা,	ছিলনা,	
pathkram,	পাঠকরাম,	পাঠক্রম,	
uparjoner,	উপার্জনের,	উপার্জনের,	
maadhoobir,	মাধবীর,	মাধবীর,	
dhhaalur,	ঢালুর,	ঢালুর,	
bamoni,	বামনী,	বামনী,	
ekaatto,	একাত্ম,	একাত্ব,	
somabeshke,	সমবেশকে,	সমাবেশকে,	
samanyoi,	সামান্যাই,	সামান্যই,	
hiper,	হাইপের,	হাইপার,	
dhalur,	ঢালুর,	ঢালুর,	
buildar,	বিল্ডার,	বিল্ডার,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
banijyikvittite,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
rajballav,	রাজবল্লাভ,	রাজবল্লভ,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
kolkarkhana,	কলাকর্ষণা,	কলকারখানা,	
basaalt,	বাসল,	ব্যাসল্ট,	
bhezano,	ভেজানো,	ভেজানো,	
hachchilo,	হচ্ছিল,	হচ্ছিলো,	
aalkatraa,	আলককতার,	আলকাতরা,	
thatcher,	থাঁচের,	থ্যাচার,	
mausumeo,	মৌসমেও,	মৌসুমেও,	
saurce,	সোর্স,	সোর্স,	
