jacqson,	জেকসন,	জ্যাকসন,	
samavesh,	সমভেষ,	সমাবেশ,	
the,	দি,	থাই,	
samabesh,	সমবেশ,	সমাবেশ,	
jathaartho,	যাথার্থ,	যথার্থ,	
jerushalema,	জেরুসোমে,	জেরুসালেম,	
stationey,	স্টেশনে,	ষ্টেশনে,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
besur,	বেশুর,	বেসুর,	
phanda,	ফান্ড,	ফান্ড,	
kormopontha,	কর্মপন্থ,	কর্মপন্থা,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
monohputo,	মনোহ্পুত,	মনঃপুত,	
assastikar,	অস্বা্টিকার,	অস্বস্তিকর,	
neerbaho,	নির্বাহ,	নির্বাহ,	
amarjito,	অমর্জিত,	অমার্জিত,	
spredshiit,	স্প্রেডিস,	স্প্রেডশীট,	
ganona,	গণন,	গণনা,	
maddhukkori,	মধুক্ররী,	মাধুকরী,	
mailer,	মেলের,	মেইলের,	
arashie,	আরসস,	আরসিএ,	
prokalpao,	প্রকলপাও,	প্রকল্পও,	
bruklin,	ব্রুক্লিন,	ব্রুকলিন,	
vimshen,	ভিমসেন,	ভীমসেন,	
aunti,	অনযান্টি,	আন্টি,	
ganochin,	গণছীন,	গণচীন,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
zins,	জিনস,	জিন্স,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
sooya,	সোয়া,	সোয়া,	
fuda,	ফুড,	ফুড,	
lokeshon,	লোকেশন,	লোকেশন,	
abasarer,	অবসরের,	অবসরের,	
bidrohiderkey,	বিদ্রোহীদকে,	বিদ্রোহীদেরকে,	
sarbharer,	সার্ভারের,	সার্ভারের,	
ranangane,	রণনঙ্গনে,	রণাঙ্গনে,	
prrajanankaal,	প্রজননক্যাল,	প্রজননকাল,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
salapheeta,	সলফট,	সালফেট,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
ganosochetonota,	গণস্বাচনাত,	গণসচেতনতা,	
morathee,	মরাঠী,	মরাঠি,	
shapholler,	সাফলার,	সাফল্যের,	
shqolastic,	স্কলাসটিক,	স্কলাস্টিক,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
gheshe,	ঘেসে,	ঘেঁষে,	
sulke,	শুলকে,	শুল্কে,	
sahopatheeke,	সহপথিকে,	সহপাঠীকে,	
dey,	দে,	ডে,	
bota,	বোট,	বটা,	
panchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
somratder,	সমরতাদের,	সম্রাটদের,	
shrabasti,	শ্রবাসটি,	শ্রাবস্তী,	
halding,	হাল্ডিং,	হোল্ডিং,	
keo,	কিও,	কেউ,	
temone,	টেমনে,	তেমনই,	
krom,	ক্রম,	ক্রম,	
engineering,	এনগারিনিং,	ইঞ্জিনিয়ারিং,	
pachhi,	পাঁচি,	পাচ্ছি,	
radhanagar,	রাধানগর,	রাধানগর,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
naubom,	নবব,	নবম,	
chomsky,	চমমকি,	চমস্কি,	
janake,	জনকে,	জানাতে,	
faser,	ফাঁসের,	ফাঁসের,	
digree,	ডিগ্রী,	ডিগ্রি,	
daktikit,	ডাক্তিক,	ডাকটিকিট,	
rajtantroke,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
ameerika,	অমেরিকা,	আমেরিকা,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
muscut,	মাসকাট,	মাস্কাট,	
oshamorik,	ওসামরিক,	অসামরিক,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
abodamaner,	অবদমনের,	অবদমনের,	
shtonehenge,	স্টন্েঙ্গে,	স্টোনহেঞ্জ,	
uter,	উটার,	উটের,	
mosharroph,	মোশাররফ,	মশাররফ,	
elakatikay,	এলাকিটাকে,	এলাকাটিকে,	
chenza,	চেন্জা,	চেঞ্জ,	
durtomo,	দূর্তম,	দূরতম,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
toranganj,	তরঙ্গ,	তোরাবগঞ্জ,	
selina,	সেলিন,	সেলিনা,	
wolapuk,	ওলাপুক,	ভোলাপুক,	
vushito,	ভূষিত,	ভূষিত,	
satarko,	সাত্তরক,	সতর্ক,	
duplex,	ডাপ্লেক্স,	ডুপ্লে,	
hamasa,	হামস,	হোমস,	
thimke,	থিমকে,	থিমকে,	
somosto,	সমস্ত,	সমস্ত,	
gatee,	গেট,	গ্যেটে,	
jothartho,	যথার্থ,	যথার্থ,	
nirvaha,	নির্বাহ,	নির্বাহ,	
udvabane,	উদ্বাবে,	উদ্ভাবনে,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
telakucha,	টেলাকুচা,	তেলাকুচা,	
antorbhuktimulak,	অন্তর্ভূক্তমিক,	অন্তর্ভুক্তিমূলক,	
bohoodeen,	বহুদিন,	বহুদিন,	
bopoon,	বপুন,	বপন,	
koyari,	কোয়ারি,	কোয়েরি,	
pyor,	প্যার,	পিওর,	
plainti,	প্লেনটি,	প্লেনটি,	
marmaaraa,	মার্মার,	মারমারা,	
kanasharabheshhana,	কনসায়েশন,	কনসারভেশন,	
ajeemke,	আজিমকে,	আজিমকে,	
sheramiksh,	শেরামিক্স,	সিরামিকস,	
sikhar,	শিখার,	শিকার,	
grambaasheeo,	গ্রামবাসওও,	গ্রামবাসীও,	
marekting,	ম্যাকেক্টিং,	মার্কেটিং,	
avijojan,	অভিযোজন,	অভিযোজন,	
bidrohiderke,	বিদ্রোহীদকে,	বিদ্রোহীদেরকে,	
adhunik,	আধুনিক,	আধুনিক,	
inapharamesana,	ইনফর্মেশন,	ইনফরমেশন,	
aakkash,	আককাশ,	আককাস,	
hola,	হলা,	হোল,	
somrat,	সমরত,	সম্রাট,	
ulcer,	উলসার,	আলসার,	
patiganiter,	পতিগণিতের,	পাটিগণিতের,	
daver,	ডেভার,	ডোভার,	
sofir,	সফির,	সোফির,	
uper,	উপার,	আপের,	
sheekar,	শিকার,	শিকার,	
robot,	রোবট,	রোবোট,	
atiteo,	আতিতেও,	অতীতেও,	
orhan,	ওরহান,	ওরহান,	
attobishwasi,	অত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
ghurtey,	ঘুরতে,	ঘুরতে,	
choudhoorike,	চৌধ্রিকে,	চৌধুরীকে,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
vagadada,	ভাগাদা,	বাগদাদ,	
primoo,	প্রিম,	প্রিমো,	
priimoo,	প্রীম,	প্রিমো,	
setio,	সেটিও,	সেটিও,	
ashachetan,	অসচেতন,	অসচেতন,	
bahaal,	বহাল,	বহাল,	
sangosthatir,	সংস্থাটির,	সংস্থাটির,	
deputi,	দিপুটি,	ডেপুটি,	
jinsa,	জিনসা,	জিন্স,	
veemsen,	ভিমসেন,	ভীমসেন,	
byaboharkarikey,	ব্যবহারকারে,	ব্যবহারকারীকে,	
somsher,	শমসের,	সমশের,	
cholocchitrotike,	চলচ্চিত্রকে,	চলচ্চিত্রটিকে,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
bronze,	ব্রন্জ,	ব্রোঞ্জ,	
mathews,	ম্যাথিউস,	ম্যাথিউস,	
shithilota,	শিথিলতা,	শিথিলতা,	
istan,	ইস্টান,	স্টোন,	
bunot,	বুনট,	বুনট,	
motar,	মোটর,	মুতার,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
antarvuktimulak,	অন্তর্ভূক্তমিক,	অন্তর্ভুক্তিমূলক,	
upobasi,	উপবাসী,	উপবাসী,	
byomkesh,	ব্যামকেশ,	ব্যোমকেশ,	
cheettronnatyokar,	চিত্রনাটকাকা,	চিত্রনাট্যকার,	
adhyattikota,	আধ্যাত্বিকতা,	আধ্যাত্মিকতা,	
marryir,	মেরির,	ম্যারির,	
sollalaho,	সোলালাহ,	সল্লাল্লাহু,	
iyanki,	এয়ন্ি,	ইয়াংকি,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
basate,	বাসাতে,	বাসাতে,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
bane,	বান,	বনে,	
santose,	সন্তোষে,	সন্তোষে,	
ala,	আলা,	আলা,	
pro,	প্রো,	প্রো,	
mokhmoley,	মোখমলে,	মখমলে,	
dines,	ডাইনেস,	দীনেশ,	
samajer,	সমাজের,	সমাজের,	
naajee,	নাজি,	নাত্সি,	
pathkram,	পাঠক্রম,	পাঠক্রম,	
site,	সাইট,	সিটে,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
shikkhartheerao,	শিক্ষার্থীরও,	শিক্ষার্থীরাও,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
dip,	ডিপ,	দীপ,	
heavi,	হেভি,	হেভি,	
qings,	কিংস,	কিংস,	
samajeekotar,	সমাজিকতার,	সামাজিকতার,	
anchalsamuha,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
greep,	গ্রীপ,	গ্রিপ,	
petenter,	পেটেন্টের,	পেটেন্টের,	
dharer,	ধারের,	ধরের,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
asovyo,	অস্ভ,	অসভ্য,	
durgoto,	দুর্গত,	দূর্গত,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
turqmen,	তার্কমেন,	তুর্কমেন,	
ponjikar,	পণ্জিকার,	পঞ্জিকার,	
qloud,	ক্লাউড,	ক্লাউড,	
antarctika,	অন্টার্টিক,	অ্যান্টার্কটিকা,	
bahal,	বহল,	বহাল,	
shabnam,	শবনাম,	শবনম,	
jolrong,	জলরর,	জলরঙ,	
chocchitrei,	চচ্চিতেরেই,	চলচ্চিত্রেই,	
graambaasheeo,	গ্রামবাসেও,	গ্রামবাসীও,	
armstranj,	আর্টস্র্ঞ্জ,	আর্মস্ট্রং,	
kyathlikder,	ক্যাথলিকের,	ক্যাথলিকদের,	
toufik,	তৌফিক,	তৌফিক,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
showte,	শোট,	শোতে,	
mitroyo,	মিত্রও,	মিত্রও,	
prokolpoti,	প্রকল্পটি,	প্রকল্পটি,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
gazeetteed,	গেযাডেট,	গেজেটেড,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
qindama,	কিন্ডম,	কিংডম,	
sinakey,	সিনাকে,	সিনাকে,	
uponisoder,	উপনিশেদের,	উপনিষদের,	
breqathru,	ব্রেকারা,	ব্রেকথ্রু,	
ispreedshiit,	ইস্প্রদেশ,	স্প্রেডশীট,	
qaferderkey,	কাফারদেরকে,	কাফেরদেরকে,	
lombatey,	লম্বাতে,	লম্বাটে,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
sikhra,	শিখরা,	শিখরা,	
neshnosh,	নেশনস,	নেশনস,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
kraim,	ক্রেম,	ক্রাইম,	
stanehenge,	স্ট্যানেঙ্গে,	স্টোনহেঞ্জ,	
venush,	ভেনাস,	ভেনাস,	
adhattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
bayi,	বাই,	বাঈ,	
kram,	ক্রম,	ক্রম,	
gitikobitar,	গীতিকাবিত,	গীতিকবিতার,	
ceramiks,	কেরামিক্স,	সিরামিকস,	
qarima,	কারিম,	করিম,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
janosangyog,	জনসংয্গ,	জনসংযোগ,	
netions,	নেযানশ,	নেশনস,	
siropadharii,	শিরোপাারী,	শিরোপাধারী,	
setike,	সেটিকে,	সেটিকে,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
ovarview,	অভার্ভিয়,	ওভারভিউ,	
moqam,	মোকম,	মোকাম,	
prabhura,	প্রভূর,	প্রভুরা,	
oholyar,	অহল্যার,	অহল্যার,	
hotodoreedro,	হতদরিদর্য,	হতদরিদ্র,	
ide,	এদ,	আইডিই,	
chopal,	চপাল,	চপল,	
rashider,	রাশিদের,	রশিদের,	
sthapona,	স্থাপনা,	স্থাপনা,	
pana,	পান,	পানা,	
gosthii,	গোস্থী,	গোষ্ঠীই,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
bosontoke,	বসন্তকে,	বসন্তকে,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
elaakati,	এলাকাটি,	এলাকাটি,	
adhyattikotar,	আধ্যাত্বিকতার,	আধ্যাত্মিকতার,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
bhenisa,	ভেনিস,	ভেনিস,	
upobashee,	উপবাসী,	উপবাসী,	
brookoleen,	ব্রুকলীন,	ব্রুকলিন,	
ustaad,	আস্টাদ,	উস্তাদ,	
makhmaley,	মাখমলে,	মখমলে,	
hamburge,	হ্যামবার্গে,	হামবুর্গে,	
fuzz,	ফিজ,	ফাজ,	
oojbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
omitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
lajika,	লাজিক,	লজিক,	
kareer,	কারীর,	কারীর,	
heights,	হেইটাস,	হাইটস,	
samanya,	সামান্য,	সামান্য,	
haajarer,	হাজারের,	হাজারের,	
taki,	টাকি,	তকি,	
dhwajbhanga,	ধ্বজ্গঙ্গ,	ধ্বজভঙ্গ,	
upobaasee,	উপবাসী,	উপবাসী,	
kule,	কুলে,	কুলে,	
dokanei,	ডোকানেই,	দোকানেই,	
bhabnar,	ভবনার,	ভাবনার,	
satthikota,	সাথিকতা,	সঠিকতা,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
ghurte,	ঘুরতে,	ঘুরতে,	
hena,	হেন,	হেনা,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
daun,	ডাউন,	ডাউন,	
venicey,	ভেনিসে,	ভেনিসে,	
fishing,	ফিশিং,	ফিসিং,	
shangkalone,	সংকলনে,	সংকলনে,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
abolokon,	অবলক,	অবলোকন,	
babylon,	ব্যাবিলোন,	ব্যাবিলন,	
dovar,	ডাভার,	ডোভার,	
shreeshri,	শ্রীশ্র,	শ্রীশ্রী,	
haitasa,	হইতাস,	হাইটস,	
bulano,	বুলান,	বুলান,	
mujibur,	মুজিবর,	মুজিবুর,	
danobder,	দানব্দের,	দানবদের,	
janapath,	জনপথ,	জনপথ,	
arifin,	এরিফিন,	আরিফিন,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
engineersh,	এনজাইনর্স,	ইঞ্জিনিয়ার্স,	
falak,	ফলক,	ফলক,	
chinto,	চিন্ত,	চিনতো,	
paree,	পারী,	পাড়ে,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
bijit,	বিজিত,	বিজিত,	
kalengga,	কলেন্গ,	কালেঙ্গা,	
asovya,	অসভ্য,	অসভ্য,	
konphlict,	কনফিল্ট,	কনফ্লিক্ট,	
meghachonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
technocrat,	টেকনোক্রট,	টেকনোক্র্যাট,	
byaboharkariderkey,	ব্যবহারকারকে,	ব্যবহারকারীদেরকে,	
asommoti,	অসম্মটি,	অসম্মতি,	
chhatta,	ছট্ট,	ছোট্ট,	
agamaner,	আগমনের,	আগমনের,	
skara,	স্কার,	স্কোর,	
purohitke,	পুরোহিতকে,	পুরোহিতকে,	
plus,	প্লাস,	প্লাস,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
iunita,	ইউনিত,	ইউনিট,	
ddhila,	ঢিলা,	ঢিলা,	
nederland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
kharar,	খারার,	খরার,	
sansthaner,	সংস্থানের,	সংস্থানের,	
seqtara,	সেক্টার,	সেক্টর,	
sampadon,	সম্পাদন,	সম্পাদন,	
ottacharer,	অত্তাচারের,	অত্যাচারের,	
hoilo,	হইল,	হইল,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
daakope,	ডাকোপে,	দাকোপ,	
baikalyo,	বৈকল্য,	বৈকল্য,	
plator,	প্লাটার,	প্লেটোর,	
nagorikderkey,	নগরীদেককে,	নাগরিকদেরকে,	
rockibul,	রকিবুল,	রকিবুল,	
nilkomol,	নীলকমম,	নীলকমল,	
karaa,	কারা,	কারো,	
hizriite,	হিজরিতে,	হিজরীতে,	
cetholic,	ক্যাথলিক,	ক্যাথলিক,	
sqora,	স্কোর,	স্কোর,	
uponeeshoder,	উপনিশেদের,	উপনিষদের,	
bonoshri,	বনস্রী,	বনশ্রী,	
setan,	শ্বাত,	শয়তান,	
granthe,	গ্রন্থে,	গ্রন্থে,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
aembed,	আম্বেদ,	এম্বেড,	
goteebege,	গতিবেগে,	গতিবেগে,	
phimela,	ফাইমেল,	ফিমেল,	
besirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
potocheetrer,	পত্চিত্রের,	পটচিত্রের,	
toki,	টকি,	তকি,	
salphat,	সালফাট,	সালফেট,	
mmeloborrner,	মেলবর্ণের,	মেলবোর্নের,	
gezeteda,	গেজেটেড,	গেজেটেড,	
jubokder,	যুবকদের,	যুবকদের,	
dhanni,	ধননি,	ধন্যি,	
aansaarir,	আনসারির,	আনসারীর,	
hijrite,	হিজরিতে,	হিজরীতে,	
muhammadi,	মুহাম্মদী,	মুহাম্মদী,	
janasangjog,	জনসংযোগ,	জনসংযোগ,	
kamla,	কমলা,	কামলা,	
nagorikera,	নগরীকেরা,	নাগরিকেরা,	
superheira,	সুপারহার,	সুপারহিরো,	
karta,	করত,	করতা,	
tukrowti,	টুকরতি,	টুকরোটি,	
chaalabi,	চালাবি,	চালাবে,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
shoccar,	সোচার,	সকার,	
nagarikra,	নগরীকর,	নাগরিকরা,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
chalochchitraeei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
breaqthrough,	ব্রেক্রাফ,	ব্রেকথ্রু,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
sobrokomer,	সব্রকেমের,	সবরকমের,	
mangalik,	মাংলগিক,	মাঙ্গলিক,	
chaktir,	চাকটির,	চাকতির,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
chhedon,	ছেদন,	ছেদন,	
gaichey,	গেছে,	গাইছে,	
umedpoor,	উমেদপুর,	উমেদপুর,	
tobe,	তবে,	টবে,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
saseeja,	সাীজা,	সসেজ,	
hingsar,	হিংসার,	হিংসার,	
vugten,	ভাগতেন,	ভুগতেন,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
darzi,	দর্জি,	দরজি,	
average,	অ্যাভারেজ,	এভারেজ,	
funding,	ফান্ডিং,	ফান্ডিং,	
korimer,	করিমের,	করিমের,	
kaatbey,	কাটবে,	কাটবে,	
neker,	নেকের,	নেকের,	
swapad,	স্বপদ,	শ্বাপদ,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
samsher,	শমশের,	সমশের,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
aazeez,	আজিজ,	আজিজ,	
refleks,	রেফলেক্স,	রিফ্লেক্স,	
tirmiji,	তিরমিযী,	তিরমিজি,	
sahapathike,	সহপাঠীকে,	সহপাঠীকে,	
quari,	কুয়ারি,	কোয়েরি,	
hitokar,	হিতকার,	হিতকর,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
nadnadeer,	নদনাদীর,	নদনদীর,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
aajiboner,	আজিবনের,	আজীবনের,	
abotar,	অবতার,	অবতার,	
moshjidti,	মস্জিদটি,	মসজিদটি,	
edaningkale,	এদনিংকালে,	ইদানীংকালে,	
nodigulo,	নদীগুলো,	নদীগুলো,	
babul,	বাবুল,	বাবুল,	
animated,	অনিমেটেড,	এনিমেটেড,	
oviyojan,	অভিযোজন,	অভিযোজন,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
bait,	বাইট,	বাইট,	
moushumer,	মৌসুমের,	মৌসুমের,	
ibhara,	ইভার,	এভার,	
pallar,	পালার,	পাল্লার,	
ralph,	রালফ,	রালফ,	
eebhiem,	এভিয়াম,	ইভিএম,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
baarakpur,	ব্যারাকপুর,	বারাকপুর,	
khuni,	খুঁই,	খুনি,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
madhukori,	মধুকররী,	মাধুকরী,	
azim,	আজিম,	আজিম,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
uparjoner,	উপার্জনের,	উপার্জনের,	
naagaalyand,	নগলা্যান্ড,	নাগাল্যান্ড,	
ghumato,	ঘুমত,	ঘুমাতো,	
kamij,	কমিজ,	কামিজ,	
aansareer,	আনসারীর,	আনসারীর,	
jaank,	যাঁক,	জাঁক,	
basaalt,	বাসল্ট,	ব্যাসল্ট,	
daale,	ডালে,	ডালে,	
naaneer,	নানীর,	নানীর,	
jarusalem,	জারুসালেম,	জেরুসালেম,	
shangstha,	সংস্থা,	সংস্থা,	
karmasansthaner,	কর্মসনস্থনের,	কর্মসংস্থানের,	
bardhitansh,	বর্ধিতা্শ,	বর্ধিতাংশ,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
lesensim,	লেসনসিং,	লাইসেন্সিং,	
marketim,	মার্কেটিং,	মার্কেটিং,	
kaanaai,	কানাই,	কানাই,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
kyanela,	ক্যানেল,	ক্যানেল,	
hamburg,	হ্যামবার্গ,	হামবুর্গ,	
pluck,	প্লাক,	প্ল্যাক,	
depootee,	দিপুটি,	ডেপুটি,	
gardena,	গার্ডেন,	গার্ডেন,	
creedit,	ক্রিডিট,	ক্রেডিট,	
firoza,	ফিরোজা,	ফিরোজা,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
moshleh,	মোসলে,	মোসলেহ,	
utsahamulak,	উৎসামূলক,	উৎসাহমূলক,	
kortam,	করতম,	করতাম,	
elakaatite,	এলাকাতে,	এলাকাটিকে,	
sachetanotamulak,	সচেতনামূলক,	সচেতনতামূলক,	
ekoghore,	একঘরে,	একঘরে,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
catholic,	ক্যাথলিক,	ক্যাথলিক,	
hugeke,	হুগেকে,	হিউজকে,	
sita,	সিতা,	সিট,	
buffer,	বাফার,	বাফার,	
baghdad,	বাঘদাদ,	বাগদাদ,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
bondhubhabapanno,	বন্ধুবন্ন,	বন্ধুভাবাপন্ন,	
angkush,	অংকুশ,	অংকুশ,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
ashiatic,	আশিযাটিক,	এশিয়াটিক,	
aswasteekor,	আস্বাস্তীকর,	অস্বস্তিকর,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
dhhaloor,	ঢালুর,	ঢালুর,	
meeting,	মেটিং,	মিটিং,	
safi,	সফি,	সাফি,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
suparichiti,	সুপারিচিটি,	সুপরিচিতি,	
shkolashtic,	স্কলাসটিক,	স্কলাস্টিক,	
aagom,	আগম,	আগম,	
dito,	দিতো,	দিতো,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
shikhbey,	শিখবে,	শিখবে,	
meghe,	মেঘে,	মেঘে,	
nirgoon,	নির্গণ,	নির্গুণ,	
chaudhurio,	চৌধুরও,	চৌধুরীও,	
poojito,	পূজিত,	পুজিত,	
jorer,	জোরের,	জ্বরের,	
volt,	ভোল্ট,	ভল্ট,	
pure,	পুরে,	পিওর,	
akeeb,	একীব,	আকিব,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
gorur,	গরুর,	গরুর,	
atohar,	আতোহার,	আতহার,	
cheerkoot,	চিরকুট,	চিরকুট,	
rahee,	রহি,	রাহি,	
ceramiksh,	কেরামিক্স,	সিরামিকস,	
kansat,	কাঁস,	কানসাট,	
firoz,	ফির়,	ফিরোজ,	
khelafate,	খেলাফাতে,	খেলাফতে,	
graambashio,	গ্রামবাসও,	গ্রামবাসীও,	
heris,	হেরিস,	হ্যারিস,	
mahasabha,	মহাসভ,	মহাসভা,	
phaqsa,	ফক্স,	ফক্স,	
obikol,	অবিকল,	অবিকল,	
shpredashhita,	স্প্রেদাসিত,	স্প্রেডশীট,	
vugoley,	ভুগলে,	ভূগোলে,	
foltir,	ফলটির,	ফলটির,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
dera,	দেরা,	ডেরা,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
jathan,	যথন,	যথন,	
udbodhoni,	উদ্বোধনী,	উদ্বোধনী,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
jakser,	যক্ষের,	যক্ষের,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
barbe,	বারবব,	বাড়বে,	
iran,	ইরান,	ইরান,	
jansa,	জনস,	জোন্স,	
shelinar,	শেলিনার,	সেলিনার,	
abdune,	আবদুনে,	আবদুন,	
apachesta,	অপছেষ্ট,	অপচেষ্টা,	
windo,	উইন্ড,	উইন্ডো,	
tunaita,	টুনাইট,	টুনাইট,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
horas,	হরাস,	হোরাস,	
phiksa,	ফিক্স,	ফিক্স,	
aakaabaar,	আকাবার,	আকাবার,	
amerika,	অ্যামেরিকা,	আমেরিকা,	
korkotkraantee,	করকাটন্ট্রটি,	কর্কটক্রান্তি,	
chase,	চাষে,	চেস,	
amar,	আমর,	আমর,	
shivraj,	শিবরাজ,	শিবরাজ,	
bongshokey,	বংশকে,	বংশকে,	
dokangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
gaandas,	গান্ডাস,	জ্ঞানদাস,	
agoora,	আগুরা,	আগোরা,	
mb,	এমএবি,	এমবি,	
galpokar,	গল্পকার,	গল্পকার,	
korecho,	করেছ,	করেছো,	
korkatkranti,	করকাটারন্টি,	কর্কটক্রান্তি,	
behramporer,	বাহরামপুরের,	বহরমপুরের,	
boudher,	বৌধের,	বৌদ্ধের,	
gudamjato,	গুদম্জট,	গুদামজাত,	
shcholastik,	স্কোলাস্টিক,	স্কলাস্টিক,	
chhatto,	ছাট্,	ছোট্ট,	
sabrakamer,	সবকরমেমের,	সবরকমের,	
ba,	বা,	বু,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
gaddaafee,	গদ্যপী,	গাদ্দাফী,	
phimel,	ফাইমেল,	ফিমেল,	
shkirt,	স্কার্ট,	স্কার্ট,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
