chherechhe,	ছেরেছে,	ছেড়েছে,	
utkhat,	উৎখ্যাট,	উত্খাত,	
chabir,	ছবির,	চাবির,	
vaabnar,	ভাবনার,	ভাবনার,	
armstronz,	আর্ষম্টার্স,	আর্মস্ট্রং,	
thaakte,	থাকতে,	থাকতে,	
sidharther,	সিদার্থের,	সিদ্ধার্থের,	
bhabotarini,	ভাবাটারিনি,	ভবতারিণী,	
sanghar,	সংঘর,	সংহার,	
tata,	তত,	তাতা,	
mathews,	ম্যাথস,	ম্যাথিউস,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
ajibon,	অজীবন,	আজীবন,	
homesh,	হোমস,	হোমস,	
priimo,	প্রীমো,	প্রিমো,	
antarvuktimulok,	অন্তর্ভূম্তীক,	অন্তর্ভুক্তিমূলক,	
balbo,	বলব,	বলবো,	
starker,	স্টার্কের,	স্টার্কের,	
technocrat,	টেকন্রাট,	টেকনোক্র্যাট,	
chalabe,	চালাবে,	চালাবে,	
nafisa,	নাফিস,	নাফিসা,	
di,	ডি,	দিই,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
zess,	জেস,	জেস,	
gonocheen,	গোনোচিন,	গণচীন,	
tourist,	টারিস্ট,	টুরিস্ট,	
tukror,	টুকরর,	টুকরোর,	
phern,	ফের্ন,	ফার্ন,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
jati,	জাতি,	যাতি,	
kakhonyoba,	কখন্যবা,	কখনওবা,	
categoryer,	ক্যাটেরিরের,	ক্যাটাগরির,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
vaskor,	ভাসককর,	ভাস্কর,	
heawy,	হেভি,	হেভি,	
plata,	প্লট,	প্লেটো,	
fising,	ফিশিং,	ফিসিং,	
proshadhoni,	প্রসাধানি,	প্রসাধনী,	
baireo,	বৈরেও,	বাইরেও,	
koyari,	কোয়েরি,	কোয়েরি,	
halloween,	অলভাইন,	হ্যালোইন,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
assaciates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
mozlishpoor,	মজলিসপুর,	মজলিশপুর,	
grambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
chhon,	ছোন,	ছোঁ,	
nickeel,	নিকেল,	নিকেল,	
muzibur,	মুজিবুর,	মুজিবুর,	
sakara,	সাকারা,	সাকার,	
metroopalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
alaoler,	আলালের,	আলাওলের,	
rupantar,	রূপান্তর,	রুপান্তর,	
srabosty,	স্বাব্সটি,	শ্রাবস্তী,	
jwolbe,	জ্বলবে,	জ্বলবে,	
bhejaano,	ভেজানো,	ভেজানো,	
soommitrar,	সমমিতারার,	সুমিত্রার,	
janosanjog,	জনসংযোগ,	জনসংযোগ,	
baait,	বাইট,	বাইট,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
claus,	ক্লাউস,	ক্লজ,	
ba,	বি,	বু,	
metrapalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
prokolpoguli,	প্রকো্গগুলি,	প্রকল্পগুলি,	
dakop,	ডাকোপ,	দাকোপ,	
sheshardhe,	শেবার্ধে,	শেষার্ধে,	
atohar,	অতোহর,	আতহার,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
ghumachchila,	ঘুমছিল,	ঘুমাচ্ছিল,	
ucchosito,	উচ্চস্বিত,	উচ্ছসিত,	
korkotkrantee,	কর্টক্রান্তি,	কর্কটক্রান্তি,	
asociatis,	অসোকোয়েটিস,	এসোসিয়েটস,	
anchalo,	অঞ্চলো,	অঞ্চলও,	
apargota,	অপর্গতা,	অপারগতা,	
masajida,	মসাজাদা,	মসজিদ,	
kark,	কার্ক,	কার্ক,	
pujita,	পূজিতা,	পুজিত,	
statione,	স্টেশনে,	ষ্টেশনে,	
bechaa,	বেচা,	বেচা,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
abhidhaneec,	আভিধানিক,	অভিধানিক,	
sontoshpur,	সন্ততসপুর,	সন্তোষপুর,	
sahazlabhbhatar,	সহলভাভাভার,	সহজলভ্যতার,	
tonight,	টননিট,	টুনাইট,	
kodom,	কদম,	কদম,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
phix,	ফিক্স,	ফিক্স,	
kruser,	ক্রুশের,	ক্রুশের,	
janogananar,	জনগননার,	জনগণনার,	
toroonke,	তরুণকে,	তরুণকে,	
hool,	হোল,	হুল,	
jyesttha,	জেষ্ঠা,	জ্যেষ্ঠা,	
chon,	চো,	ছোঁ,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
bhramaner,	ভ্রমানের,	ভ্রমণের,	
phaltu,	ফল্টু,	ফালতু,	
harbar,	হারবার,	হারবার,	
elakao,	এলেকাও,	এলাকাও,	
toufiq,	তৌফিক,	তৌফিক,	
atmabishvashi,	অত্মবিবাসী,	আত্মবিশ্বাসী,	
romantic,	রোম্যান্টিক,	রোমান্টিক,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
sedikei,	সেদিকেই,	সেদিকেই,	
chhilonaa,	ছিলনা,	ছিলনা,	
khaaneker,	খানেকের,	খানেকের,	
aminul,	এমিনুল,	আমিনুল,	
sumee,	সুমি,	সুমি,	
yak,	এক,	ইয়াক,	
narsari,	নার্সারী,	নার্সারি,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
charrjito,	চার্জিত,	চার্জিত,	
mugdal,	মুগদল,	মুগডাল,	
shaantaa,	সান্তা,	সান্তা,	
krisenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
suparahira,	সুপারহারা,	সুপারহিরো,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
chaity,	চাইতি,	চৈতি,	
tafsir,	তাফসির,	তাফসীর,	
mausumer,	মৌসুমের,	মৌসুমের,	
yuroo,	ইউরো,	ইউরো,	
madhuri,	মধুরি,	মাধুরী,	
bipozzonok,	বিপোজ্জনক,	বিপজ্জনক,	
amarendra,	অমরেন্দ্র,	অমরেন্দ্র,	
ohong,	অহং,	অহং,	
sow,	সো,	শো,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
oswasteekor,	অস্বস্তিকের,	অস্বস্তিকর,	
korleo,	করলেও,	করলেও,	
sahocorjo,	সহচর্য,	সাহচর্য,	
brail,	ব্রেল,	ব্রেইল,	
shajano,	সাজানো,	সাজানো,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
naitikatavodh,	নাতিতাবাধ,	নৈতিকতাবোধ,	
hepetaitisa,	হেপাইটাইট,	হেপাটাইটিস,	
dhauta,	ধৌত,	ধৌত,	
turqmen,	তুর্কমেন,	তুর্কমেন,	
goora,	গুরা,	গোর,	
bim,	বিম,	বিম,	
mandope,	মন্ডপে,	মন্ডপে,	
koruna,	করুনা,	করুণা,	
tobey,	তবে,	টবে,	
ekbakke,	একবাককে,	একবাক্যে,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
rutina,	রুটিন,	রুটিন,	
utsaahe,	উত্সাহে,	উৎসাহে,	
homeske,	হোমস্কে,	হোমসকে,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
graambashio,	গ্রামবাসীও,	গ্রামবাসীও,	
bhashik,	ভাষিক,	ভাষিক,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
sahapatheekey,	সহপাঠীকে,	সহপাঠীকে,	
rifleks,	রাইফেল্স,	রিফ্লেক্স,	
aviyojan,	অভিযোজনার,	অভিযোজন,	
qoyeri,	কোরি,	কোয়েরি,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
sukkho,	সূক্ষ,	সুক্ষ্ম,	
jesha,	জেসা,	জেস,	
sikhbe,	শিখ্বে,	শিখবে,	
aachees,	আচিস,	আছিস,	
somraat,	সম্রাত,	সম্রাট,	
bhageroi,	ভাগেরই,	ভাগেরই,	
aiisa,	আইএস,	আইএএস,	
spashtatai,	স্পষ্টটাতে,	স্পষ্টতই,	
shosha,	শশা,	শশা,	
nabyata,	নব্যতা,	নাব্যতা,	
uqeliptas,	উকেলিপ্টস,	ইউক্যালিপ্টাস,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
suma,	সুমা,	সুমো,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
antarbhuttirmulok,	অন্তর্ভূত্তিকূল,	অন্তর্ভুক্তিমূলক,	
jeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
dibbay,	ডিব্যাবে,	দিব্যা,	
dakope,	ডাকোপে,	দাকোপ,	
pure,	পুরে,	পিওর,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
muladee,	মুলাদে,	মুলাদি,	
janatey,	জানাতে,	জানাতে,	
omanisa,	অমানিস,	অমানিশা,	
shantaa,	সান্তা,	সান্তা,	
kaner,	কানের,	কনের,	
kalnir,	কালনীর,	কালনীর,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
hingsar,	হিংসার,	হিংসার,	
jibjontu,	জীবজন্তু,	জীবজন্তু,	
gajetted,	গেজেটেড,	গেজেটেড,	
astheesandhi,	অস্থিধন্ধি,	অস্থিসন্ধি,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
lampat,	ল্যামপট,	লম্পট,	
akkaas,	আকাাশ,	আককাস,	
hazarer,	হাজারের,	হাজারের,	
steit,	স্টেইট,	স্টেইট,	
amantrita,	অমন্ত্রিত,	আমন্ত্রিত,	
kaptai,	কাপ্টাই,	কাপ্তাই,	
songkulan,	সংকুলন,	সংকুলান,	
elakati,	এলাকাটি,	এলাকাটি,	
dosha,	দশা,	দোসা,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
bhiktara,	ভিক্টর,	ভিক্টর,	
basate,	বাসাতে,	বাসাতে,	
stoonehenge,	স্তুহেঙ্গে,	স্টোনহেঞ্জ,	
imarjinsi,	এমার্জিনসি,	এমার্জেন্সি,	
dam,	দম,	ডং,	
ahang,	আহাং,	অহং,	
aatok,	আটক,	আটক,	
kartana,	কর্তন,	করতনা,	
bhabaponno,	ভবপপন্ন,	ভাবাপন্ন,	
badhadan,	বাঁধাদন,	বাধাদান,	
hotelti,	হটেলটি,	হোটেলটি,	
daaktikite,	দাক্তিতিকে,	ডাকটিকিটে,	
shilbar,	শিলবার,	সিলভার,	
tap,	টপ,	ট্যাপ,	
plaiin,	প্লেইন,	প্লেন,	
toder,	তোদের,	তদের,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
shcholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
hoola,	হোলা,	হোল,	
torangunj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
parinoti,	পরিনতি,	পরিণতি,	
ibhaner,	ইভানের,	ইভানের,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
jeebanjapon,	জীবন্জাপন,	জীবনযাপন,	
barack,	ব্যার,	বারাক,	
hajat,	হজাত,	হজত,	
sithilotar,	সিথীলতার,	শিথিলতার,	
sanghitar,	সংঘীতার,	সংহিতার,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
monohputo,	মনোপতো,	মনঃপুত,	
bolvodro,	বলভদ্র,	বলভদ্র,	
bm,	এিএএএ,	বিএম,	
teemothy,	টিমোথী,	টিমোথি,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
varotey,	ভারতে,	ভারতে,	
sahajlabhbhotar,	সহলভাভতাভার,	সহজলভ্যতার,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
atwabishvashi,	অত্ববিশবাসী,	আত্মবিশ্বাসী,	
dhyanastha,	ধ্নাস্থ,	ধ্যানস্থ,	
sosar,	সোসর,	সকার,	
dooburir,	দুবুরির,	ডুবুরির,	
taunsheep,	টান্সিপ,	টাউনশিপ,	
shho,	শো,	শো,	
phutbolarra,	ফুটবলারর,	ফুটবলাররা,	
chalake,	চালাকে,	চালকে,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
kansater,	কানশাতের,	কানসাটের,	
dormitoree,	ডরম্টিরি,	ডরমিটরি,	
sibiai,	সিবিই,	সিবিআই,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
durotamo,	দূরতম,	দূরতম,	
motamoto,	মোটামোতো,	মতামতও,	
attaar,	আত্মার,	আত্তার,	
jaistho,	জৈস্ঠ,	জ্যৈষ্ঠ,	
hafej,	হাফেজ,	হাফেয,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
teennis,	টিনিস,	টেনিস,	
palestiner,	প্লেস্টিনের,	প্যালেস্টাইনের,	
horidbare,	হরিডব্রে,	হরিদ্বারে,	
arekdol,	আরেকদল,	আরেকদল,	
fuzz,	ফুজ,	ফাজ,	
aasar,	আসার,	আসর,	
sukkha,	সূক্ষা,	সুক্ষ্ম,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
chitranattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
motabolambira,	মোতাবলম্বীরা,	মতাবলম্বীরা,	
site,	সাইটে,	সিটে,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
arke,	আর্কে,	আরকে,	
batsmanei,	ব্যাসমানেই,	ব্যাটসম্যানই,	
ghatol,	ঘটল,	ঘটল,	
saazano,	সাজানো,	সাজানো,	
jolatongko,	জলাঙ্ত,	জলাতঙ্ক,	
nirobota,	নিরবতা,	নিরবতা,	
hunine,	হুনিইন,	হুনাইন,	
yuk,	ইউক,	ইয়াক,	
opohoronn,	অপহরণ,	অপহরন,	
saamaanyai,	সামান্যই,	সামান্যই,	
mile,	মিলে,	মাইল,	
dovaar,	ডওভার,	ডোভার,	
chhutochhuti,	ছুটোছুটি,	ছুটোছুটি,	
sikare,	শিকারে,	শিকারে,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
kemoney,	কেমনে,	কেমনে,	
kobootorer,	কবুরটটর,	কবুতরের,	
korimpoor,	করিমপুর,	করিমপুর,	
skalastik,	স্কলস্টিক,	স্কলাস্টিক,	
foks,	ফক্স,	ফক্স,	
ptolemir,	প্লেটিমির,	টলেমির,	
stalin,	স্টেলিন,	স্টালিন,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
dipon,	ডিপন,	দীপন,	
granther,	গ্রন্থের,	গ্রন্থের,	
matorom,	মতোরম,	মাতরম,	
grontho,	গ্রন্থ,	গ্রন্থ,	
pakhirai,	পাখিরাই,	পাখিরাই,	
ujobekeestaner,	উজববকিস্তানের,	উজবেকিস্তানের,	
roomantic,	রোম্যান্টিক,	রোমান্টিক,	
arop,	আরোপ,	আরোপ,	
turkmen,	তুর্কমেন,	তুর্কমেন,	
poroborti,	পরবর্তী,	পরর্বতী,	
dupleks,	ডাপ্লেকস,	ডুপ্লে,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
palkee,	পালকি,	পাল্কি,	
annimated,	অনিমাতে,	এনিমেটেড,	
jakkho,	যক্ষ,	যক্ষ,	
shringey,	শৃঙ্গে,	শৃঙ্গে,	
hajjarer,	হাজাারের,	হাজারের,	
surarop,	সুরারপ,	সুরারোপ,	
satarkabhabe,	সত্তরকভাবে,	সতর্কভাবে,	
breakthrough,	ব্রেক্টরওফ,	ব্রেকথ্রু,	
foloshrutite,	ফলরস্টুতিতে,	ফলশ্রুতিতে,	
sahozlabhbhotar,	সহলভাভতাভার,	সহজলভ্যতার,	
songkoloney,	সংকলনে,	সংকলনে,	
shloker,	স্লোকের,	শ্লোকের,	
chalochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
juktarashtrasaha,	যুক্তরাস্থাহ,	যুক্তরাষ্ট্রসহ,	
sourse,	সার্স,	সোর্স,	
pathkrom,	পাঠকররম,	পাঠক্রম,	
bosoben,	বসবেন,	বসবেন,	
batikromshali,	ব্যাতিরক্শমালী,	ব্যতিক্রমধর্মী,	
kharaar,	খারার,	খরার,	
piora,	পিয়রো,	পিওর,	
pabo,	পব,	পাব,	
ganaparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
drissoteer,	দৃশ্যটির,	দৃশ্যটির,	
sobrakamer,	সব্রাকামের,	সবরকমের,	
volte,	ভোল্টে,	ভল্ট,	
prabhu,	প্রভূ,	প্রভু,	
conservation,	কনসারভেশন,	কনসারভেশন,	
hirani,	হিরণি,	হিরানি,	
sotorkokari,	সতকর্কারী,	সতর্ককারী,	
phutbolarer,	ফুটবলেরের,	ফুটবলারের,	
darjeeling,	ডার্জিলিউ,	দার্জিলিং,	
venus,	ভাইনিস,	ভেনাস,	
zeebonjapon,	জীবনযাপন,	জীবনযাপন,	
shrimati,	শ্রীমতী,	শ্রীমতি,	
teenti,	তিনটি,	তিনটি,	
ancieent,	এন্সেইন্ট,	এনসিয়েন্ট,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
besuro,	বেসুরো,	বেসুর,	
kaamij,	কামিজ,	কামিজ,	
poripaker,	পরিপাকের,	পরিপাকের,	
kuley,	কুলে,	কুলে,	
bedanta,	বেদন্ত,	বেদান্ত,	
niqela,	নিকেলা,	নিকেল,	
soheensotar,	সহীনসতার,	সহিংসতার,	
bamnii,	বামনী,	বামনী,	
bonoshri,	বনশ্রী,	বনশ্রী,	
vashik,	ভাষিক,	ভাষিক,	
gez,	গেজ,	গেজ,	
panthaar,	পান্থার,	পন্থার,	
iling,	এলিং,	ইলিং,	
jeshh,	জেস,	জেস,	
tahalo,	তাহালো,	তাহলো,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
embi,	এমবি,	এমবি,	
johor,	জহহর,	জহর,	
turista,	তুরিস্ট,	টুরিস্ট,	
codeti,	কোডেটি,	কোডটি,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
modele,	মোডেল,	মডেলে,	
byatari,	ব্যাটারি,	ব্যাটারী,	
itostata,	ইটোস্টা,	ইতস্তত,	
artilari,	অর্টিলারি,	আর্টিলারি,	
shookna,	শুকনা,	শুকনা,	
zerusaleme,	জেরুসালেম,	জেরুসালেমে,	
byabaharkari,	ব্যবহহারকারি,	ব্যবহারকারী,	
rahi,	রহি,	রাহী,	
korim,	করিম,	করিম,	
elakashaho,	এলাকাসহ,	এলাকাসহ,	
sausage,	সৌসজে,	সসেজ,	
niutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
santoshe,	সন্তত্বেসে,	সন্তোষে,	
aazadeer,	আজাদির,	আজাদীর,	
pradeep,	প্রাদিপ,	প্রদীপ,	
modelgulo,	মোদেলগুলো,	মডেলগুলো,	
mucus,	মুকাস,	মিউকাস,	
bongshi,	বংশি,	বংশী,	
korecho,	করেছো,	করেছো,	
charjara,	চার্জারা,	চার্জার,	
pack,	প্যাক,	প্ল্যাক,	
lompot,	লোমপম,	লম্পট,	
bikargrasto,	বিকর্গস্ত,	বিকারগ্রস্ত,	
eksathei,	একসাথেই,	একসাথেই,	
bhuushito,	ভূসিত,	ভূষিত,	
noiteekvabe,	নৈটিকভাবে,	নৈতিকভাবে,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
heeavy,	হেভি,	হেভি,	
sangbadmadhyame,	সংবাদধা্যমে,	সংবাদমাধ্যমে,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
gabeshokgon,	গবেষকণ,	গবেষকগণ,	
zinsa,	জিনসস,	জিন্স,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
karecho,	করেছো,	করেছ,	
skoora,	স্কুরা,	স্কোর,	
cholesi,	চলেসি,	চলেছি,	
hili,	হিলি,	হিলি,	
lyaataa,	ল্যাট,	ল্যাটা,	
abhidhaaner,	অভিধানের,	অভিধানের,	
chhathke,	ছাঁকে,	ছাতকে,	
bigepi,	বিগেপী,	বিজেপি,	
dee,	দি,	ডে,	
chiranton,	চিরন্তন,	চিরন্তন,	
asietic,	অ্যাসিটিক,	এশিয়াটিক,	
haldim,	হাল্ডিং,	হোল্ডিং,	
mumtajer,	মম্তাজের,	মুমতাজের,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
barak,	ব্যার,	বারাক,	
cs,	সিএস,	সিএস,	
akrup,	আকরুপ,	একরূপ,	
kiandi,	কায্ন্ডি,	ক্যান্ডি,	
nirmalata,	নির্মলতা,	নির্মলতা,	
welcome,	উইলকমে,	ওয়েলকাম,	
eesa,	এসা,	আইএএস,	
sekarane,	সেকারণে,	সেকারণে,	
telakoocha,	টেলাকোচ,	তেলাকুচা,	
chetonagato,	ছেতনাগাত,	চেতনাগত,	
scoore,	স্কুর,	স্কোর,	
janagononar,	জনগননার,	জনগণনার,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
beshirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
taali,	তালি,	তালি,	
vdp,	এিএিপি,	ভিডিপি,	
uinndo,	উইন্ডো,	উইন্ডো,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ceramiker,	সেরামিকের,	সিরামিকের,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
bizito,	বিজিত,	বিজিত,	
janosamaj,	জনসমাজ,	জনসমাজ,	
anyorup,	অন্যরুপ,	অন্যরূপ,	
dep,	ডিপ,	ডেপ,	
olympiker,	অলিমমিকের,	অলিম্পিকের,	
bandra,	বান্দ্রা,	বন্দীরা,	
kredit,	ক্রেডিত,	ক্রেডিট,	
michiler,	মিচিলের,	মিছিলের,	
jocqey,	জকি,	জকি,	
phoster,	ফোস্টার,	ফস্টার,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
heavi,	হেভি,	হেভি,	
natians,	নোয়শন,	নেশনস,	
thesiser,	থেসিসের,	থিসিসের,	
goteebege,	গতিবেগে,	গতিবেগে,	
liceensee,	লিসেন্স,	লাইসেন্স,	
moshion,	মোশন,	মোশন,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
ovarviu,	অভার্ভিউ,	ওভারভিউ,	
jomaanor,	জমানোর,	জমানোর,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
kansat,	কানশাত,	কানসাট,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
velcome,	ভেলকমে,	ওয়েলকাম,	
ganohatyake,	গণহত্তাকে,	গণহত্যাকে,	
arjora,	অর্জোরা,	আর্যরা,	
prety,	প্রেতি,	প্রিটি,	
teta,	তেটা,	টেটা,	
atak,	অটাক,	আটক,	
somrat,	সম্রাত,	সম্রাট,	
aamor,	আমর,	আমর,	
bujhechhila,	বুঝেছলল,	বুঝেছিল,	
durgatsob,	দূর্ঘটসবব,	দুর্গোৎসব,	
panctaar,	পাঁচটার,	পাঁচটার,	
rakhtokkharoner,	রক্ষকর্ষণের,	রক্তক্ষরণের,	
marketin,	মার্কেটিন,	মার্কেটিং,	
temonti,	তেমন্টি,	তেমনটি,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
plator,	প্লটটর,	প্লেটোর,	
jomkaalo,	জম্মালো,	জমকালো,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
orbiit,	অর্বিত,	অরবিট,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
shektore,	সেক্টরে,	সেক্টরে,	
chalochchitrai,	চলচিত্রে,	চলচ্চিত্রই,	
tahalei,	তাহালেই,	তাহলেই,	
shiter,	সীটের,	শীতের,	
shitey,	শীটে,	শীতে,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
fase,	ফেজ,	ফাঁসে,	
sniper,	স্নিপের,	স্নাইপার,	
shekarone,	সেকারণে,	সেকারণে,	
hajarer,	হাজারের,	হাজারের,	
dweepgoolotey,	দ্বিগগুলোতে,	দ্বীপগুলোতে,	
hiragaana,	হিরাগানা,	হিরাগানা,	
metropoliton,	মেট্রোপলিটন,	মেট্রোপলিটন,	
digrio,	ডিগ্রিয়,	ডিগ্রিও,	
soori,	সুরি,	সুরি,	
azijer,	অজিজের,	আজিজের,	
superhera,	সুপারহারা,	সুপারহিরো,	
meghnabodh,	মেঘনাববধ,	মেঘনাদবধ,	
jyestthotar,	জেষ্ঠতার,	জ্যেষ্ঠতার,	
moushumeo,	মৌশুমেও,	মৌসুমেও,	
chirohorith,	চিরোরিত,	চিরহরিৎ,	
byaboharkarir,	ব্যবহহারকারির,	ব্যবহারকারীর,	
engineering,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
maradeha,	মারাদেহ,	মরদেহ,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
pet,	পেট,	পেত,	
hebhee,	হেভি,	হেভি,	
ul,	উল,	উল,	
stone,	স্ট্ন,	স্টোন,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
footbalarra,	ফুটবলারর,	ফুটবলাররা,	
remakri,	রেমক্রি,	রেমাক্রী,	
swartha,	স্বার্থ,	স্বার্থ,	
sakar,	সকর,	সকার,	
praapokke,	প্রাপক্কে,	প্রাপককে,	
muchir,	মুচির,	মুচির,	
cross,	ক্রস,	ক্রুশ,	
tunar,	টুনার,	টিউনার,	
prodiper,	প্রদিপের,	প্রদীপের,	
sikara,	সিকারা,	শিকার,	
paikar,	পাইকার,	পাইকার,	
haze,	হজে,	হেজ,	
prodiip,	প্রদীপ,	প্রদীপ,	
ghesha,	ঘেসা,	ঘেঁষা,	
baiqa,	বাইক,	বাইক,	
hailo,	হাইলো,	হইল,	
foster,	ফোস্টার,	ফস্টার,	
sanbadmadhyamer,	সংবাদধা্যমের,	সংবাদমাধ্যমের,	
kreedita,	কৃরিদা,	ক্রেডিট,	
hoole,	হোলে,	হোল,	
kyapashula,	ক্যাপোসালা,	ক্যাপসুল,	
apachesta,	অপচেষ্টা,	অপচেষ্টা,	
laaz,	লাজ,	লাজ,	
nomo,	নম,	নমো,	
chirantan,	চিরান্তন,	চিরন্তন,	
tyuner,	টুউনের,	টিউনার,	
segular,	সেগুলার,	সেগুলোর,	
charukola,	চরুকোলা,	চারুকলা,	
chotto,	চত্ব,	ছোট্ট,	
jwar,	জ্বর,	জ্বর,	
samannoi,	সামান্যই,	সামান্যই,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
bisshasyi,	বিশ্বাস্,	বিশ্বাসই,	
gandharir,	গান্ধারির,	গান্ধারীর,	
tokee,	তোকি,	তকি,	
durgotsabe,	দূর্ঘটশাবে,	দুর্গোৎসবে,	
durgoto,	দুর্গত,	দূর্গত,	
