siitei,	সিতেই,	শীতেই,	
byapoktor,	ব্যাপকটর,	ব্যাপকতর,	
nirbahe,	নির্বাহে,	নির্বাহে,	
bhorkendra,	ভরকেন্দ্র,	ভরকেন্দ্র,	
rakshanbhag,	রক্ষণভং,	রক্ষণভাগ,	
nachiketa,	নচিকেত,	নচিকেতা,	
moshzidtike,	মশজিদ্তিকে,	মসজিদটিকে,	
euqalyptus,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
pranidero,	প্রাণীদেরও,	প্রানীদেরও,	
ishton,	ইসততন,	স্টোন,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
bojhe,	বোঝে,	বোঝে,	
soommita,	সুমিতা,	সুমিতা,	
krusher,	ক্রুষের,	ক্রুশের,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
matt,	মাট,	ম্যাট,	
shansthaner,	শানস্থানের,	সংস্থানের,	
raghubar,	রঘুবার,	রঘুবীর,	
ayantarqatiqa,	আয়ান্টরকথিক,	অ্যান্টার্কটিকা,	
asiatic,	অ্যাসিয়াটিক,	এশিয়াটিক,	
fake,	ফেক,	ফাকে,	
karu,	কুরু,	কারু,	
mohammadi,	মোহাম্মাদি,	মুহাম্মদী,	
shektore,	শেকতরে,	সেক্টরে,	
bondhuvabaponyo,	বন্ধুবাবণপ্য,	বন্ধুভাবাপন্ন,	
vabuk,	ভাবুক,	ভাবুক,	
chalachchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
tarunra,	তরুণরা,	তরুণরা,	
janamukhi,	জানামুখি,	জনমুখী,	
kormobuddhite,	কর্মবুদ্ধিতে,	কর্মবুদ্ধিতে,	
madrasi,	মাদ্রাসি,	মাদ্রাজি,	
sahozlabhbhotar,	সহজলহবভার,	সহজলভ্যতার,	
feroza,	ফেরোজা,	ফিরোজা,	
edaning,	এডানিং,	ইদানিং,	
manushe,	মানুশে,	মানুষে,	
bhagnekeo,	ভাগনেকেও,	ভাগ্নেকেও,	
eekbalke,	এইকবালকে,	ইকবালকে,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
ponchasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
dorgah,	ডরগাহ,	দরগাহ,	
echhti,	এছটি,	এছটি,	
korimer,	করিমের,	করিমের,	
farna,	ফারনা,	ফার্ন,	
pracharanamulak,	প্রচারনমূলক,	প্রচারণামূলক,	
taateo,	তাতেও,	তাতেও,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
korimpur,	করিমপুর,	করিমপুর,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
tenishe,	তেনিশে,	টেনিসে,	
sarboporee,	সর্বপরী,	সর্বোপরী,	
srabosty,	স্রাবোস্তি,	শ্রাবস্তী,	
chorban,	চোরবান,	চর্বন,	
suporichita,	সুপরিচিতা,	সুপরিচিত,	
habol,	হাবল,	হাবোল,	
heavy,	হিভি,	হেভি,	
sobche,	সবছে,	সবচে,	
ratishilatai,	রাতিশীলতাই,	রতিশীলতায়,	
zommu,	জম্মু,	জম্মু,	
shakar,	শাকার,	সকার,	
omarader,	ওমারাদের,	ওমারাদের,	
shatan,	শাতান,	শয়তান,	
ul,	উল,	উল,	
gandhiio,	গান্ধিও,	গান্ধীও,	
konorup,	কোনরূপ,	কোনরূপ,	
vagni,	ভাগনি,	ভগ্নী,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
pratiyogitar,	প্রতিযোগীতার,	প্রতিযোগীতার,	
dianes,	দায়নেস,	ডিএনএস,	
inapharameshana,	ইনাপরাশেনা,	ইনফরমেশন,	
roktokhoron,	রক্তখোণ,	রক্তক্ষরণের,	
plator,	প্ল্যাটর,	প্লেটোর,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
graambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
dola,	দোলা,	দলা,	
veemsen,	ভিমসেন,	ভীমসেন,	
agomone,	অগমনে,	আগমনে,	
zesa,	জেসা,	জেস,	
avetar,	আভেতার,	অবতার,	
patigoniter,	পাটিজনিতের,	পাটিগণিতের,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
amor,	আমর,	আমর,	
gazeetteed,	গজেতিদ,	গেজেটেড,	
sikarder,	সিকারদের,	শিকারদের,	
agora,	অগোরা,	আগোরা,	
ramchander,	রামচন্দের,	রামচন্দরের,	
hughes,	হুঘেস,	হিউজেস,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
karadandey,	করাদন্ডে,	কারাদণ্ডে,	
oojbekistan,	ঔজ্বেকসিত্তান,	উজবেকিস্তান,	
autopromotioner,	অটপপ্রোমোশনের,	অটোপ্রমোশনের,	
logotype,	লোগোটাইপ,	লোগোটাইপ,	
fatakasto,	ফাতাসা্ত,	ফাটাকেষ্ট,	
bijito,	বিজিত,	বিজিত,	
tinhazar,	তিনহাজার,	তিনহাজার,	
reetesh,	রেতেশ,	রিতেশ,	
dooburir,	ডুবিরি,	ডুবুরির,	
shattoki,	শত্তকি,	সাত্যকি,	
bornanukrome,	বর্ণানিকরূমে,	বর্নানুক্রমে,	
oboshore,	অবশরে,	অবসরে,	
toler,	টোলার,	তালের,	
samratder,	সাম্রতদের,	সম্রাটদের,	
aashanka,	আশাঙ্কা,	আশংকা,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
neemeetto,	নীমত,	নিমিত্ত,	
mashtarsha,	মস্তর্শ,	মাস্টার্স,	
anhu,	আনহু,	আনহু,	
hosto,	হস্ত,	হস্ত,	
makame,	মাকামে,	মাকামে,	
felto,	ফেলটো,	ফেলত,	
mujuru,	মুজুরু,	মুজুরু,	
aakkas,	আক্কাস,	আককাস,	
joisttho,	যৈষ্ঠ,	জ্যৈষ্ঠ,	
tunaita,	টুনাইটা,	টুনাইট,	
protinito,	প্রতিনিত,	প্রতিনিত,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
tanu,	টানু,	তনু,	
lobbytey,	লবিটি,	লবিতে,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
vedanta,	ভেদান্ত,	বেদান্ত,	
jeebnagore,	জীবনগরে,	জীবননগর,	
overholing,	ওভারহললিং,	ওভারহোলিং,	
jamarate,	জামারাতে,	জামারাতে,	
esprito,	এসপ্রিত,	এস্পিরিটো,	
byaptikaler,	ব্যাপ্তিকালের,	ব্যাপ্তিকালের,	
samany,	সামানি,	সামান্য,	
kazianis,	কাজিয়ানিস,	কাজানিস,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
karam,	করাম,	কেরাম,	
evaner,	এভানের,	ইভানের,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
saalsa,	সালসা,	সালসা,	
karima,	কারিমা,	করিম,	
hilser,	হিলসের,	হিলসের,	
supplenza,	সাপ্লিজা,	সাপলেঞ্জা,	
chalochchitro,	চলচচিত্র,	চলচ্চিত্র,	
esoosiyetasa,	এসোসিয়েতস,	এসোসিয়েটস,	
mmehonoti,	ম্মাহীনটি,	মেহনতি,	
chamski,	চামস্কি,	চমস্কি,	
abarte,	আবার্তে,	আবর্তে,	
bondishalatei,	বন্দিশালাতেই,	বন্দিশালাতেই,	
batistambhatike,	বাতিস্তম্ভটিকে,	বাতিস্তম্ভটিকে,	
amarika,	আমারিকা,	আমেরিকা,	
paste,	পাস্তে,	পেষ্ট,	
vugorvey,	ভুগরভে,	ভূগর্ভে,	
toroonraa,	তরণরা,	তরুণরা,	
meshintao,	মেশিনটাও,	মেশিনটাও,	
manushera,	মানুষেরা,	মানুষেরা,	
chaaktir,	চাকটির,	চাকতির,	
shhashtra,	শশত্রা,	শাস্ত্র,	
taunship,	টাউনশিপ,	টাউনশিপ,	
khagen,	খাগেন,	খগেন,	
sangbadmadhyomgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
brekethru,	ব্রেকেথ্রু,	ব্রেকথ্রু,	
plaiin,	প্লাইন,	প্লেন,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
peterke,	পেটারকে,	পিটারকে,	
atwabishvashi,	আত্ববিশ্বাসী,	আত্মবিশ্বাসী,	
chhaikalo,	ছাইকালো,	ছাইকালো,	
mahibur,	মহিবুর,	মহিবুর,	
narbur,	নারবুর,	নরবুর,	
chaudhurider,	চৌধিরীদের,	চৌধুরীদের,	
taffsherer,	তাফশেরের,	তাফসীরের,	
masto,	মাস্তো,	মাস্ত,	
harishankar,	হরিষঙ্কর,	হরিশংকর,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
transformaarer,	ট্রান্সফরমারের,	ট্রান্সফরমারের,	
scholastik,	স্কলাস্তিক,	স্কলাস্টিক,	
qlauda,	ক্লাড,	ক্লাউড,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
atighataner,	অতিঘানারের,	অতিঘটনের,	
jeten,	জেতেন,	জেতেন,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
shrabosty,	শ্রাবস্তি,	শ্রাবস্তী,	
bone,	বনন,	বনে,	
akar,	আকার,	একার,	
kushumba,	কুশুম্বা,	কুশুম্বা,	
nirdesika,	নির্দেসিকা,	নির্দেশিকা,	
pichte,	পিছতে,	পিছতে,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
rubala,	রুবালা,	রুবল,	
mumtajer,	মুমতাজের,	মুমতাজের,	
karmasampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
caramiks,	ক্যামারিক্স,	সিরামিকস,	
bidghootey,	বিদগুতে,	বিদঘুটে,	
goteehin,	গতিহীন,	গতিহীন,	
musabbirul,	মুসাববিরুল,	মুসাব্বিরুল,	
olympik,	অলিম্পিক,	অলিম্পিক,	
shalook,	শালুক,	শালুক,	
bosben,	বসবেন,	বসবেন,	
nikela,	নিকেলা,	নিকেল,	
satjaner,	সাতজানের,	সাতজনের,	
amontronkarider,	আমন্ত্রণকারীদের,	আমন্ত্রণকারীদের,	
aholyar,	অহল্যার,	অহল্যার,	
pinogbagke,	পিনোগবাগকে,	পিনগবাগকে,	
shiqara,	শিকারা,	শিকার,	
kod,	কোড,	কোড,	
assexe,	অ্যাসেক্সে,	অ্যাসেক্সে,	
kiandi,	কিয়ান্ডি,	ক্যান্ডি,	
rakhtokkharoner,	রাখটক্ষাণণের,	রক্তক্ষরণের,	
talgachh,	তালগাছ,	তালগাছ,	
hugeke,	হুগেকে,	হিউজকে,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
societykey,	সোশিটিকে,	সোসাইটিকে,	
jegulur,	জেগুলুর,	যেগুলুর,	
utpotti,	উৎপত্তি,	উতপত্তি,	
jalarong,	জ্যালারং,	জলরঙ,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
distance,	ডিসট্যান্স,	ডিসট্যান্স,	
vishnuu,	বিশ্নু,	বিষ্ণু,	
ishtone,	ইসতোন,	স্টোন,	
jokkher,	যক্ষের,	যক্ষের,	
edic,	এডিক,	এডিক,	
hosbaleke,	হোসবালেকে,	হোসবালেকে,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
jaanachhe,	জানাছে,	জানাচ্ছে,	
goora,	গুরা,	গোর,	
bodhir,	বধির,	বধির,	
tuni,	তুনি,	টুনি,	
mausumer,	মাসুমের,	মৌসুমের,	
bisnukey,	বিস্নুকে,	বিষ্ণুকে,	
carbus,	কার্বাস,	কারবাস,	
average,	এভারেজ,	এভারেজ,	
adorso,	আদর্সো,	আর্দশ,	
aarik,	আরিক,	আরিক,	
bornolikhon,	বর্ণলিখন,	বর্ণলিখন,	
townshhip,	টু্শনিশ,	টাউনশিপ,	
manob,	মনোব,	মানব,	
seniar,	সেনিয়ার,	সিনিয়র,	
acrolect,	অ্যাক্রোলেক্ট,	অ্যাক্রোলেক্ট,	
heart,	হের্ট,	হার্ট,	
deefinision,	ডিফিনিশন,	ডেফিনেশন,	
ghatla,	ঘাটলা,	ঘটল,	
maritimer,	মারিটিমের,	মেরিটাইমের,	
kotibondhe,	কটিবন্ধে,	কটিবন্ধে,	
eucalyptus,	ইউজ্যালিপটাস,	ইউক্যালিপ্টাস,	
maailkhanek,	মাইলখানেক,	মাইলখানেক,	
gabeshonar,	গবেষণার,	গবেষনার,	
huk,	হুক,	হুক,	
jibnagore,	জীবনাগরে,	জীবননগর,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
rajshri,	রাজশিরী,	রাজশ্রী,	
babare,	বাবারে,	বাবারে,	
sthapona,	স্থাপনা,	স্থাপনা,	
chuti,	চুতি,	ছুটি,	
sikha,	সিখা,	শিখ,	
sohokari,	সহকারী,	সহকারী,	
jandrel,	জান্দ্রেল,	জাঁদরেল,	
samratra,	সাম্রাত্র,	সম্রাটরা,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
lebina,	লেবিনা,	লেবিনা,	
shiulijhra,	শিউলিঝরা,	শিউলিঝরা,	
yaak,	উয়ক,	ইয়াক,	
ekekrokom,	একেক্রকম,	একেকরকম,	
sooya,	সোয়া,	সোয়া,	
cholochchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
naazi,	নাজি,	নাত্সি,	
chaloke,	চালকে,	চালকে,	
harees,	হারিস,	হ্যারিস,	
durgatsober,	দুর্গাৎসবের,	দুর্গোৎসবে,	
mekapgulo,	মেকাপগুলো,	মেকআপগুলো,	
votarer,	ভোটারের,	ভোটারের,	
dikpal,	দিকপাল,	দিকপাল,	
kings,	কিংস,	কিংস,	
cena,	সিনা,	সিনা,	
beshakbar,	বেশকবার,	বেশকবার,	
raiji,	রাইজী,	রাইজি,	
manohputa,	মনঃপুতা,	মনঃপুত,	
pacbar,	পাস্ার,	পাঁচবার,	
kamla,	কামলায়,	কামলা,	
iling,	ইলিং,	ইলিং,	
niketon,	নিকেতন,	নিকেতন,	
jyaqa,	জ্যাক,	জ্যাক,	
dormroome,	ডর্মূূমে,	ডর্মরুমে,	
atmabishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
armeenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
mookhomandoler,	মুখমান্ডলের,	মুখমণ্ডলের,	
hank,	হ্যাঙ্ক,	হাঙ্ক,	
samyuktha,	সাম্যুক্ঠ,	সামিউক্তা,	
modelgulo,	মোডেলগুলো,	মডেলগুলো,	
houzgulite,	হাউজগুলিতে,	হাউজগুলিতে,	
kanar,	কানার,	কণার,	
vesselli,	ভেসেলি,	ভেসেলি,	
philo,	ফিল,	ফিলো,	
kale,	কালে,	কালে,	
munot,	মুনোট,	মুনোট,	
raagee,	রাগে,	রাগী,	
dii,	ডিআই,	দিই,	
bhabanir,	ভবানীর,	ভবানীর,	
vodqa,	ভোডকা,	ভদকা,	
haris,	হারিস,	হ্যারিস,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
phakay,	ফাকে,	ফাকে,	
ase,	আসে,	আসে,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
shrabastee,	শ্রাবস্তি,	শ্রাবস্তী,	
jyesthaa,	জ্যেষ্ঠা,	জ্যেষ্ঠা,	
holdim,	হোল্ডিং,	হোল্ডিং,	
dajhyo,	দাঝ্য,	দাহ্য,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
doloo,	দল,	ডলু,	
nimnosakkharkari,	নিম্নস্কাষকারী,	নিম্নস্বাক্ষরকারী,	
sponsorshipe,	স্পন্সর্শিপে,	স্পন্সরশীপে,	
byan,	ব্যান,	ব্যাং,	
shiropar,	শিরোপার,	শিরোপার,	
cholochchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
milayatane,	মিলায়টনে,	মিলায়তনে,	
taufik,	তৌফিক,	তৌফিক,	
ghurte,	ঘুরতে,	ঘুরতে,	
ray,	রায়,	রায়,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
adhunikkaley,	আধুনিক্ালে,	আধুনিককালে,	
lubitz,	লুবিৎজ,	লুবিৎজ,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
sangharshik,	সংঘ্রষিক,	সাংঘর্ষিক,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
madhobi,	মাধবি,	মাধবী,	
karlei,	কারলেই,	করলেই,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
bisnuke,	বিস্নুকে,	বিষ্ণুকে,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
ramzaner,	রামজনের,	রমযানের,	
bonbhumi,	বনভূমি,	বনভূমি,	
bhenicer,	ভেনিসের,	ভেনিসের,	
masjidti,	মসজিদটি,	মসজিদটি,	
nibobondhonkrito,	নিববন্ধনকৃত,	নিববন্ধনকৃত,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
lungiti,	লুংগিটি,	লুঙ্গিটি,	
catholicbad,	ক্যাথলিকব্যাড,	ক্যাথলিকবাদ,	
kaley,	কালে,	কালে,	
suiti,	সুইটি,	সুইটি,	
akeeb,	আকিব,	আকিব,	
banglota,	বাংলোটা,	বাংলোটা,	
girilal,	গিরিলাল,	গিরিলাল,	
agaldar,	আগালদার,	আগলদার,	
swasthohinotay,	স্বাস্থ্যহীনতা,	স্বাস্থ্যহীনতায়,	
amiretus,	আমিরেটিস,	এমিরেটাস,	
shitei,	শিতেই,	শীতেই,	
holuder,	হলুদের,	হলুদের,	
olympic,	অলিম্পিক,	অলিম্পিক,	
patininda,	পাতিনিন্দা,	পতিনিন্দ,	
informetion,	ইনফরমেশন,	ইনফরমেশন,	
dhalur,	ধালুর,	ঢালুর,	
swadhinotatukui,	স্বাধীনতাটুকু,	স্বাধীনতাটুকুই,	
bedantodhormo,	বেদান্তধর্ম,	বেদান্তধর্ম,	
kiibord,	কিববোর্ড,	কীবোর্ড,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
bahjya,	বাহ্যা,	বাহ্য,	
eshiyetika,	এশিয়েটিকা,	এশিয়াটিক,	
giitikobita,	গীতিকিবিত,	গীতিকবিতা,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
ghotaibe,	ঘটাইবে,	ঘটাইবে,	
aosafur,	আওফাফুর,	আওশাফুর,	
rayyaleti,	রেয়ায়েতী,	রয়্যালটি,	
metrikoleshana,	মেত্রিকোলেশন,	মেট্রিকোলেশন,	
bishshaasho,	বিষ্বশো,	বিশ্বাসও,	
horas,	হোরাস,	হোরাস,	
fatkabazare,	ফতকাবাজারে,	ফাটকাবাজারে,	
ganonanatto,	গণনানত্ত,	গণনাট্য,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
roy,	রোয়,	রায়,	
shamshernagar,	শম্শেরগর,	শমশেরনগর,	
binakar,	বিনাকার,	বিনাকার,	
puding,	পুডিং,	পুডিং,	
ramolino,	রামালিনো,	রামোলিনো,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
nathibhuktir,	নাথিভুক্তির,	নথিভুক্তির,	
dharavahikbhabe,	ধারাভাষিকভাবে,	ধারাবাহিকভাবে,	
hitaishi,	হিতাশি,	হিতৈষী,	
palta,	পাল্টা,	পালটা,	
shamshere,	শমশেরে,	শমসের,	
kadapaker,	কাড়াপাকের,	কড়াপাকের,	
sadeena,	সাদিনা,	সাডেন,	
remission,	রেমিশন,	রিমিশন,	
tigmanshu,	তিগমানশু,	তিগ্মাংশু,	
ganosachetanata,	গণসচেতনাটা,	গণসচেতনতা,	
mitroder,	মিত্রদের,	মিত্রদের,	
furio,	ফুরিও,	ফুরিও,	
swartho,	স্বার্থ,	স্বার্থ,	
serup,	সেরুপ,	সেরূপ,	
dharmiyabhabei,	ধর্মীয়ভাবেই,	ধর্মীয়ভাবেই,	
saazano,	সাজানো,	সাজানো,	
charger,	চার্গের,	চার্জার,	
turkyder,	টার্কেডের,	তুর্কিদের,	
suchanakal,	সুচনাকাল,	সূচনাকাল,	
jonoikaa,	জনৈকা,	জনৈকা,	
lopjonito,	লোপজনিত,	লোপজনিত,	
unchuporjayer,	উঁচচপর্যায়ের,	উঁচুপর্যায়ের,	
shchalastic,	স্কালাল্টিক,	স্কলাস্টিক,	
helly,	হেলি,	হিলি,	
horippur,	হরিপ্পুর,	হরিপুর,	
akhandata,	আখণ্ডটা,	অখণ্ডতা,	
taunsheep,	টাউন্িপ,	টাউনশিপ,	
grushko,	গ্রুষ্কো,	গ্রুশকো,	
byaktigotovabeo,	ব্যক্তিগতভাবেও,	ব্যাক্তিগতভাবেও,	
pinglateo,	পিংলাতেও,	পিংলাতেও,	
corsin,	কর্সিন,	করসিন,	
talgach,	তালগাছ,	তালগাছ,	
poripaker,	পরিপাকের,	পরিপাকের,	
courtcaser,	কর্টকাসের,	কোর্টকেসের,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
asociatis,	এসোশিয়েটিস,	এসোসিয়েটস,	
sarajibonbyapi,	সারাজিবন্যাবী,	সারাজীবনব্যাপী,	
chheher,	ছেহের,	ছেহের,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
doneta,	ডোনেটা,	ডোনাট,	
streegon,	স্ট্রিগন,	স্ত্রীগণ,	
pillai,	পিল্লাই,	পিল্লাই,	
bapio,	বাপিও,	বাপিও,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
veenish,	ভীনিশ,	ভেনিস,	
batsmanei,	ব্যাটসম্যানেই,	ব্যাটসম্যানই,	
eigulor,	এইগুলোর,	এইগুলোর,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
dhonni,	ধন্নী,	ধন্যি,	
boiragirhat,	বৈরাগীরহাট,	বৈরাগিরহাট,	
sportstar,	স্পোর্টস্টার,	স্পোর্টসস্টার,	
dishani,	দিশানি,	দিশানি,	
poorohitra,	পৌরোহিত্র,	পুরোহিতরা,	
satarkokari,	সতর্ককারী,	সতর্ককারী,	
parswer,	পারস্বের,	পার্শ্বের,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
station,	স্টেশন,	ষ্টেশন,	
nyeta,	ন্যাট,	ম্যাট,	
chhedon,	ছেদন,	ছেদন,	
shilbar,	শিলবার,	সিলভার,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
avinetar,	অভিনেতার,	অভিনেতার,	
heze,	হেজে,	হেজ,	
keyboarder,	কেয়বার্ডের,	কীবোর্ডের,	
noitik,	নৈটিক,	নৈতিক,	
hughkey,	হুঘকে,	হিউজকে,	
alpakichudin,	আল্পকিচুদিন,	অল্পকিছুদিন,	
suparharo,	সুপারহোর,	সুপারহিরো,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
mithener,	মিথেনের,	মিথেনের,	
faaj,	ফজ,	ফাজ,	
dhyana,	ধ্যানা,	ধ্যান,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
eexpreession,	এক্সপ্রিপন,	এক্সপ্রেশন,	
torikher,	তরিখের,	তরিখের,	
sedikei,	সেদিকেই,	সেদিকেই,	
daaradaa,	দারাদা,	দারদা,	
sahittekder,	সাহিত্যেকদের,	সাহিত্যেকদের,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
rajotta,	রাজত্ব,	রাজত্ব,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
geographics,	জিওগ্রাফিক্স,	জিওগ্রাফিকস,	
venice,	ভেনিস,	ভেনিস,	
bunot,	বানোট,	বুনট,	
shatokeo,	শতকেও,	শতকেও,	
murader,	মুরাদের,	মুরাদের,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
graambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
turisht,	তুরিৎস,	টুরিস্ট,	
kodorer,	কদরের,	কদরের,	
eura,	ইউরা,	ইউরো,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
foxer,	ফক্সার,	ফক্সের,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
restuarant,	রেস্টুরান্ট,	রেষ্টুরেন্ট,	
segular,	সেগুলার,	সেগুলোর,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
hijritey,	হিজরিতে,	হিজরীতে,	
karecho,	করেছো,	করেছ,	
chilona,	চিলনা,	ছিলনা,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
orthisoho,	অর্থিসহ,	অর্থিসহ,	
myat,	মাযাট,	ম্যাট,	
abhidhaner,	অভিধানের,	অভিধানের,	
lendol,	লেন্ডল,	লেন্ডল,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
ganoporibahon,	গণপরিবহণ,	গণপরিবহন,	
kormyi,	কর্মি,	কর্মই,	
teenisa,	তিনিসা,	টেনিস,	
tricksguli,	ট্রিকসগুলি,	ট্রিকসগুলি,	
afzol,	আফজল,	আফজল,	
kolkarkhana,	কলকারখানা,	কলকারখানা,	
gonohotyakey,	গণহট্যাকে,	গণহত্যাকে,	
taxikeo,	ট্যাক্সিকেও,	ট্যাক্সিকেও,	
binee,	বিনি,	বেনি,	
dhangsantup,	ধ্বংসন্তুপ,	ধ্বংসন্তুপ,	
dokaangulotey,	দোকাগুলোতেই,	দোকানগুলোতে,	
dibet,	ডিবেট,	ডিবেট,	
meloonborrone,	মেলবুনরোণনে,	মেলবোর্নে,	
nischoy,	নিশ্চয়,	নিশ্চয়,	
rakhtokkharone,	রাখকট্ষণরণে,	রক্তক্ষরণে,	
with,	উইথ,	ভিত,	
tomader,	তোমাদের,	তোমাদের,	
haridware,	হরিদ্বারে,	হরিদ্বারে,	
horiddar,	হরিদ্দার,	হরিদ্বার,	
ankanshilpe,	আনকনশিল্পে,	অঙ্কনশিল্পে,	
dipankar,	দীপন্কর,	দিপঙ্কর,	
bbiswashi,	বিব্ষিশ্বাসী,	বিশ্বাসই,	
labonaktatar,	লবনন্টতার,	লবণাক্ততার,	
nanabornobishishto,	নানাবর্ণবিশিষ্ট,	নানাবর্ণবিশিষ্ট,	
karmake,	কারমেক,	কর্মকে,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
patjata,	পাতজাতা,	পাটজাত,	
sabrakamer,	সব্রকামের,	সবরকমের,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
poorohitder,	পূরহিতদের,	পুরোহিতদের,	
drishi,	দৃরি,	দৃশ্যই,	
themeke,	থেমেকে,	থিমকে,	
commissionvogider,	কমিশনিভগদের,	কমিশনভোগীদের,	
telakucha,	তেলাকুচা,	তেলাকুচা,	
vushito,	ভুশিত,	ভূষিত,	
songkolonti,	সংকলনটি,	সংকলনটি,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
saifullahil,	সাইফুল্লাহিল,	সাইফুল্লাহিল,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
plasse,	প্লাস,	প্লাসে,	
pitiler,	পিতিলের,	পিটিলের,	
soorsa,	সুর্স,	সোর্স,	
mitrata,	মিত্রটা,	মিত্রতা,	
ganaporibahaner,	গণপরিবহণের,	গণপরিবহনের,	
pleena,	প্লেন,	প্লেন,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
taholo,	তাহলো,	তাহলো,	
manushti,	মনুষ্টি,	মানুষটি,	
juktorastrer,	যুক্তারস্ত্রের,	যুক্তরাষ্ট্রের,	
