narsaari,	নরসারী,	নার্সারি,	
leaders,	লিডার্স,	লিডার্স,	
nick,	নিক্,	নিক্,	
shem,	শেম,	সেম,	
panchbar,	পাঁচবার,	পাঁচবার,	
lopjonito,	লপপনিত,	লোপজনিত,	
vitti,	ভিত্তি,	ভিত্তিই,	
calabe,	কালাবে,	চালাবে,	
orthoneeti,	অর্থনিতি,	অর্থনীতির,	
sheekar,	শিকার,	শিকার,	
phonekari,	ফোনেকারী,	ফোনকারী,	
shniper,	শ্নিনের,	স্নাইপার,	
manab,	মানাব,	মানব,	
abdi,	আব্ি,	অব্দি,	
yatharthabhabe,	যাথর্তাবে,	যথার্থভাবে,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
jwar,	জ্রার,	জ্বর,	
alaol,	আলাওল,	আলাওল,	
dhamshrenite,	ধামশেন্ত্রীতে,	ধামশ্রেণীতে,	
bosante,	বসান্তে,	বসন্তে,	
kobulennechha,	কবুলেন্ছে,	কবুলেন্নেছা,	
urey,	উরে,	ইউরি,	
roopmatro,	রূপমত্র,	রূপমাত্র,	
digri,	ডিগরি,	ডিগ্রি,	
kani,	কানি,	কানি,	
turkyder,	টার্ক্ডির,	তুর্কিদের,	
bihar,	বিহার,	বিহার,	
mithener,	মিথেনের,	মিথেনের,	
beshyasdone,	বেশ্যাস্দনে,	বেশ্যাসদনে,	
mette,	মেটে,	ম্যাট,	
bakhyateet,	বাখ্যাত,	ব্যাখ্যাতীত,	
juktorastrer,	যুক্তসার্তের,	যুক্তরাষ্ট্রের,	
onshogrohoner,	অনশগ্রহণের,	অংশগ্রহনের,	
jaandrel,	যাঁডের,	জাঁদরেল,	
sylvi,	সিলভি,	সিলভি,	
diznee,	দিজনি,	ডিজনী,	
taffsherer,	তাফশারের,	তাফসীরের,	
lakkhero,	লাক্ষেরও,	লক্ষেরও,	
songasthatir,	সো্ন্সাতিির,	সংস্থাটির,	
thaanobhi,	থানোভী,	থানভী,	
kkomandar,	ক্মোনার্ডর,	কমাণ্ডার,	
poderthobid,	পদের্থবিবোধ,	পদার্থবিদ,	
baibosthar,	বৈবস্থার,	ব্যবস্থার,	
thakeni,	থাকেনি,	থাকেনি,	
spashtotai,	স্পাষ্টোটাই,	স্পষ্টতই,	
shringgo,	শ্রিং্গো,	শৃঙ্গ,	
dharmadasbabu,	ধর্মাদবাবু,	ধর্মদাসবাবু,	
schilling,	স্কিলং,	শিলিং,	
shiropar,	শিরোপার,	শিরোপার,	
grambasheeo,	গ্রামবাশী,	গ্রামবাসীও,	
goodamjato,	গুদাদমতা,	গুদামজাত,	
basakey,	বাসাকে,	বাসাকে,	
chalake,	চালাকে,	চালকে,	
khalidkay,	খালিদকায়,	খালিদকে,	
shudden,	শাদ্দেন,	সাডেন,	
abhidhaanic,	অভিধাইনিক,	অভিধানিক,	
hoteltite,	হোটেলটিতে,	হোটেলটিতে,	
saras,	সারাস,	সরস,	
salmaner,	সালমানের,	সালমানের,	
lutharan,	লুথারা,	লুথেরান,	
palashir,	পালাশীর,	পলাশীর,	
ovidhaner,	অভিধানের,	অভিধানের,	
zibonnogor,	জীবনন্গর,	জীবননগর,	
medilek,	মেডিলেক,	মেডিলেক,	
kalakushalir,	কলকলশললীর,	কলাকুশলীর,	
fising,	ফিসিং,	ফিসিং,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
sahojlovyotar,	সহজজ্লবততার,	সহজলভ্যতার,	
avetar,	আভেটার,	অবতার,	
tirmijii,	তির্মীজি,	তিরমিজি,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
aatto,	এত্ট,	আত্ম,	
bipti,	বিপিতি,	বিপ্তি,	
bipajjanak,	বিপাজানক,	বিপজ্জনক,	
kadam,	কাদাম,	কদম,	
samajik,	সমাজিক,	সামাজিক,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
poscime,	পোস্িমে,	পশ্চিমে,	
kuthibarike,	কুথিবারীকে,	কুঠিবাড়ীকে,	
gobeshokgon,	গবেশকগণ,	গবেষকগণ,	
jotinkey,	জোটিনকে,	যতীনকে,	
spreedashita,	স্পিরিদশিত,	স্প্রেডশীট,	
disposes,	ডিসপোস,	ডিসপোজেস,	
soketgulor,	সকেটগুলোর,	সকেটগুলোর,	
sahittekder,	সাহিত্দেকের,	সাহিত্যেকদের,	
asthishondhi,	অশ্থিসন্ধ,	অস্থিসন্ধি,	
teliha,	তেলিহা,	তেলিহা,	
ashamarthita,	অশামর্থীত,	অসমর্থিত,	
moshzidtike,	মোশজিদ্তিকে,	মসজিদটিকে,	
motke,	মোটকে,	মতকে,	
opohoron,	অপহরণ,	অপহরন,	
choopi,	চৌপি,	চুপি,	
francine,	ফ্রানসিনিন,	ফ্রান্সিন,	
elakaatite,	এলাকেতি,	এলাকাটিকে,	
saalsa,	সালসা,	সালসা,	
chhooteer,	ছুটির,	ছুটির,	
talgach,	তালগাছ,	তালগাছ,	
qlauda,	ক্লুড়া,	ক্লাউড,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
kadapaker,	কাড়াকাপের,	কড়াপাকের,	
mumtaz,	মুমতাজ,	মুমতাজ,	
perri,	পের্ি,	পেরি,	
pleto,	প্লেটো,	প্লেটো,	
onker,	অঙ্কের,	ওঙ্কার,	
youth,	যৌথ,	ইয়ুথ,	
brittakare,	বৃত্যাকের,	বৃত্তাকারে,	
mastarsa,	মাস্তার্সা,	মাস্টার্স,	
thandabhabe,	থান্দাবাবে,	ঠাণ্ডাভাবে,	
rushod,	রুশদ,	রুশদ,	
harees,	হারিস,	হ্যারিস,	
breq,	ব্রেক,	ব্রেক,	
fand,	ফ্যান্ড,	ফান্ড,	
nirvaha,	নির্ভা,	নির্বাহ,	
gobeshana,	গোবেশানা,	গবেষনা,	
bagicha,	বাগিছা,	বাগিচা,	
ancholgoolote,	আ্যানকোলগে,	অঞ্চলগুলোতে,	
shumo,	শুমো,	সুমো,	
konruup,	কোনরুপ,	কোনরূপ,	
addata,	আদ্দতা,	আড্ডাটা,	
pingna,	পিং্না,	পিংনা,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
hilser,	হিলসের,	হিলসের,	
laga,	লাগা,	লগ,	
chapchap,	চাচপাপ,	চাপচাপ,	
arashie,	আরাশি,	আরসিএ,	
coons,	কুনস,	কুনস,	
ganoporibahon,	গণপরাবীবহণ,	গণপরিবহন,	
mitroder,	মিত্রদের,	মিত্রদের,	
pakistanira,	পাকিস্তারিরা,	পাকিস্তানীরা,	
nutunotto,	নুতুনতত্ত,	নতুনত্ব,	
arshie,	আর্ি,	আরসিএ,	
khitkar,	ক্ষিটার,	ক্ষিতকর,	
laesens,	লেয়েস,	লাইসেন্স,	
ashok,	আশোক,	আশোক,	
pujit,	পুজিত,	পুজিত,	
akheli,	আখেলি,	আখেলী,	
cinematographar,	সিনেমট্যগ্রাফ,	সিনেমাটোগ্রাফার,	
sobrakomer,	সব্রাকমের,	সবরকমের,	
jathartho,	যথার্থ,	যথার্থ,	
sangkalanti,	সংকলান্তি,	সংকলনটি,	
ayumi,	আয়ুমী,	আয়ুমি,	
chalochchitraeeo,	চালচ্চিত্রীও,	চলচ্চিত্রেও,	
provritike,	প্রভ্রিতিকে,	প্রভৃতিকে,	
ekhate,	এখাতে,	একহাতে,	
pachak,	পাচাক,	পাচক,	
sthapanagulo,	স্থাপাপানগুলো,	স্থাপনাগুলো,	
indrakanan,	ইন্দ্রকান,	ইন্দ্রকানন,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
mochlekha,	মোলকেলা,	মোছলেখা,	
bamni,	বামনি,	বামনী,	
shite,	শিতে,	শীতে,	
bejiye,	বেজিয়ে,	বেজিয়ে,	
jipiusamriddha,	জিপিউসমধ্ধ,	জিপিউসমৃদ্ধ,	
laesensh,	লেশেনশ,	লাইসেন্স,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
quata,	কুয়াতা,	কোটা,	
bagdad,	বাগদড,	বাগদাদে,	
madhoboir,	মাধববর,	মাধবীর,	
dormitory,	ডরিমরিটির,	ডরমিটরি,	
bosben,	বসবেন,	বসবেন,	
dagmukta,	দাগকুক্ত,	দাগমুক্ত,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
sakshatkarer,	সাকশাকতের,	সাক্ষাৎকারের,	
install,	ইনস্টাল,	ইন্সটল,	
juktorashtreo,	যুক্তশার্তেরও,	যুক্তরাষ্ট্রেও,	
dighol,	দিঘল,	দীঘল,	
pichte,	পিচে,	পিছতে,	
khappar,	খাপপার,	খপ্পর,	
geejeeteeda,	জিজেতিদা,	গেজেটেড,	
aasirbaad,	আসিরবাদ,	আশির্বাদ,	
institutione,	ইনস্টিশেনে,	ইনস্টিটিউশনে,	
mataram,	মাতারাম,	মাতরম,	
vobobibhuti,	ভববিভূতি,	ভববিভূতি,	
vortuki,	ভর্টুকি,	ভর্তুকি,	
barrageke,	বাররাগেকে,	ব্যারেজকে,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
samajikatar,	সমাজিকাতার,	সামাজিকতার,	
chalachchitro,	চলচচ্তির,	চলচ্চিত্র,	
tasminer,	তাসমিনের,	তাসমিনের,	
ghomtaa,	ঘোম্টা,	ঘোমটা,	
iraner,	ইরারের,	ইরানের,	
foloshrutite,	ফলশুরটিতে,	ফলশ্রুতিতে,	
iksaprishana,	ইক্সপ্রীণা,	এক্সপ্রেশন,	
nirbahey,	নির্বাহে,	নির্বাহে,	
tigmanshu,	তিগমানসু,	তিগ্মাংশু,	
kanasarabheeshana,	কানাসারিবাষণা,	কনসারভেশন,	
parshwer,	পার্বের,	পার্শ্বের,	
bikretara,	বিক্রেটারা,	বিক্রেতারা,	
nodiiteyi,	নদীইতেই,	নদীতেই,	
taroni,	তারোনি,	তরণী,	
abhidhanick,	অভিধাধিনিক,	অভিধানিক,	
shoodhooi,	শৌধোই,	শুধুই,	
aakaabaar,	আকাবার,	আকাবার,	
milea,	মিলিয়া,	মাইলে,	
byomkes,	ব্যমকেস,	ব্যোমকেশ,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
townshhip,	তব্বিপীপ,	টাউনশিপ,	
panthar,	পাঁঠার,	পন্থার,	
shasyadi,	শাস্যাদী,	শস্যাদি,	
times,	টিমেস,	টাইমস্,	
orthobochorke,	অর্থববর্চকে,	অর্থবছরকে,	
jerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
kaalaam,	কালাম,	কালাম,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
bisnukey,	বিসনুকেই,	বিষ্ণুকে,	
purbanchaler,	পূর্বচানকালের,	পূর্বাঞ্চলের,	
muktilav,	মুক্তিলাভ,	মুক্তিলাভ,	
bishaashke,	বিশাশকে,	বিশ্বাসকে,	
rohasyati,	রোহাস্যাতি,	রহস্যটি,	
songrahak,	সোংরাখা,	সংগ্রাহক,	
bajpa,	বাজপা,	বাজপা,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
vishnuu,	ভিশ্নৌ,	বিষ্ণু,	
muktijuddhojato,	মুক্তিযুদ্ধাত,	মুক্তিযুদ্ধজাত,	
tarkale,	তার্কলে,	তারকালে,	
songkoloney,	সংকলনে,	সংকলনে,	
gotirodh,	গতিরোধ,	গতিরোধ,	
balatkar,	বালাতকার,	বলাৎকার,	
sarboporee,	সর্বপরী,	সর্বোপরী,	
hari,	হারি,	হরি,	
probondhobhittik,	প্রবন্ধভিত্তিক,	প্রবন্ধভিত্তিক,	
agomoney,	আগোমেনি,	আগমনে,	
samyuktha,	সম্যুক্থ,	সামিউক্তা,	
oncholshomuh,	অন্চলমূষ,	অঞ্চলসমূহ,	
nathivookto,	নাথিভূক্ত,	নথিভুক্ত,	
bhenise,	ভেনিসে,	ভেনিসে,	
uponeeshod,	উপনিদোশ,	উপনিষদ,	
toroonraa,	তোরোনারা,	তরুণরা,	
pharn,	ফার্ন,	ফার্ন,	
cholocchitrer,	চলচচ্ছিত্রের,	চলচ্চিত্রের,	
dakshinangsho,	দাকশনিংশ,	দক্ষিণাংশ,	
roy,	রোয়,	রায়,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
drishyogulotey,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
akai,	আকাই,	একাই,	
black,	ব্ল্যাক,	ব্ল্যাক,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
nabyata,	নব্যতা,	নাব্যতা,	
jorury,	জরুর্ি,	জরূরী,	
attacharito,	অত্তাচারিত,	অত্যাচারিত,	
debate,	দেবাতে,	ডিবেট,	
dormroome,	ডর্রমূ,	ডর্মরুমে,	
naitikatavodh,	নৈইতিকাতোধ,	নৈতিকতাবোধ,	
daayitto,	দায়িতত,	দায়িত্ব,	
ooipokar,	ওওপকার,	উইপোকার,	
kushakhali,	কুশাখালী,	কুশাখালি,	
kalenga,	কালেঙ্গা,	কালেঙ্গা,	
seshardhe,	সেশারধে,	শেষার্ধে,	
santaa,	সান্তা,	সান্তা,	
kanuner,	কানুনের,	কানুনের,	
bhenicer,	ভেনিসের,	ভেনিসের,	
boudhher,	বৌধের,	বৌদ্ধের,	
horipur,	হরিপুর,	হরিপুর,	
dharmee,	ধারমম,	ধর্মী,	
daakten,	ডাকতেন,	ডাকতেন,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
aansaareer,	আনসারির,	আনসারীর,	
mahafezkhanar,	মহাফেজনকার,	মহাফেজখানার,	
aholya,	আহোল্য,	অহল্যা,	
pnouchute,	প্যুচুতে,	পৌঁছুতে,	
gujab,	গুজাব,	গুজব,	
pacbar,	পাকবার,	পাঁচবার,	
fasi,	ফাসি,	ফাঁসী,	
horippur,	হরিপপুর,	হরিপুর,	
hijri,	হিজরি,	হিজরী,	
difinisian,	ডিফিনিসিয়ান,	ডেফিনেশন,	
manob,	মানব,	মানব,	
heawy,	হেয়ে,	হেভি,	
dobhaar,	দোভার,	ডোভার,	
tigmanshu,	তিগমানসু,	তিগমংশু,	
sahozlabhbhatar,	সহজ্জলতালভার,	সহজলভ্যতার,	
shikare,	শিকারে,	শিকারে,	
chhedon,	ছেদোন,	ছেদন,	
bbiswash,	বিশ্বাশ,	বিশ্বাস,	
recondishon,	রেকন্দশশন,	রিকন্ডিশন,	
parikhar,	পারিখার,	পরিখার,	
mulyayonsapekkhe,	মুল্যয়া্থেক্ষে,	মূল্যায়নসাপেক্ষে,	
anisa,	আনিসা,	আনিস,	
debeting,	ডেবেটিং,	ডিবেটিং,	
gajano,	গাজানো,	গজানো,	
madeling,	ম্যাডেলিং,	মডেলিং,	
sumita,	সুমিতা,	সুমিতা,	
krusher,	ক্রুশের,	ক্রুশের,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
satarkabhabey,	সতরকাাবে,	সতর্কভাবে,	
srisri,	শ্রিসরি,	শ্রীশ্রী,	
beatleser,	বেটেলসের,	বিটলসের,	
keyu,	কেয়ু,	কেউ,	
bishshaasho,	বিশ্বাশো,	বিশ্বাসও,	
prosadhoni,	প্রসাধনি,	প্রসাধনী,	
jakso,	জাকসো,	যক্ষ,	
chaaktir,	চাক্টির,	চাকতির,	
furio,	ফুরিও,	ফুরিও,	
mah,	মাহ,	মাহে,	
monchosthol,	মন্চস্থল,	মঞ্চস্থল,	
dianes,	ডায়ানেস,	ডিএনএস,	
relance,	রেলান্স,	রিলায়েন্স,	
teentir,	টেন্টির,	তিনটির,	
chalaabi,	চালাবি,	চালাবে,	
bashoborty,	বাশবর্তি,	বশবর্তী,	
chalochchitreei,	চালচ্ছ্রিরি,	চলচ্চিত্রেই,	
mirakela,	মিরাকেলা,	মিরাকেল,	
porirshoder,	পরির্শদের,	পরির্ষদের,	
supreetira,	সুপ্রীতারী,	সুপ্রীতিরা,	
rca,	আরসিএ,	আরসিএ,	
lutheerana,	লুথিরানা,	লুথেরান,	
bhogiroth,	ভগিরোথ,	ভগীরথ,	
aarik,	আরিক,	আরিক,	
nirvachaker,	নির্ভাকের,	নির্বাচকের,	
footbalarer,	ফুটটলবালের,	ফুটবলারের,	
seoul,	সেওওল,	সোল,	
rohosyoti,	রহস্যতি,	রহস্যটি,	
maailey,	মাইলে,	মাইলে,	
edipass,	এডিডিপস,	ইডিপাস,	
homsher,	হোম্ের,	হোমসের,	
chetanagoto,	চেতানাগোত,	চেতনাগত,	
tuni,	তিউনি,	টুনি,	
dewaben,	দেওয়াবেন,	দেওয়াবেন,	
syfy,	সিফি,	সাইফাই,	
infarmatian,	ইনফার্টিমিয়ান,	ইনফরমেশন,	
chirkoot,	চিরকুট,	চিরকুট,	
jerushalema,	জেরুশলমে,	জেরুসালেম,	
modelgulo,	মোডেলগুলো,	মডেলগুলো,	
noitik,	নৈটিক,	নৈতিক,	
providere,	প্রভিদেরে,	প্রভাইডারে,	
mandondo,	মান্ডন্ড,	মানদণ্ড,	
bonsho,	বন্ষ,	বংশ,	
ixprission,	আক্সপ্রিশন,	এক্সপ্রেশন,	
horiddar,	হোরিদ্দার,	হরিদ্বার,	
postar,	পোস্টার,	পোস্টের,	
sarollo,	সারোল্লো,	সারল্য,	
kaande,	কান্ডে,	কাণ্ডে,	
fol,	ফোল,	ফল,	
kamla,	কামলা,	কামলা,	
umb,	উমএববি,	ইউএমবি,	
shamuker,	শামুকের,	শামুকের,	
shucharita,	শুচারিতা,	সুচরিতা,	
ssahocorze,	স্বাসকর্জে,	সাহচর্যে,	
ajuhath,	আজুথা,	অজুহাত,	
gatibege,	গাতিবেগে,	গতিবেগে,	
azijer,	আজিজের,	আজিজের,	
sahozlabhbhotar,	সহজজলোল্তার,	সহজলভ্যতার,	
cheerontan,	চিরোটান,	চিরন্তন,	
veniser,	ভেনিসের,	ভেনিসের,	
phiksim,	ফিকসিম,	ফিক্সিং,	
mmadhukkori,	ম্যামধুক্রী,	মাধুকরী,	
chongar,	চোঙগার,	চোঙ্গার,	
prokolpogulor,	প্রকলগোগুলোর,	প্রকল্পগুলোর,	
grambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
poripakey,	পরিপাকে,	পরিপাকে,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
rilayensa,	রিলাইয়ান্স,	রিলায়েন্স,	
bboponer,	ব্বপনের,	বপনের,	
mukharji,	মুখরাঝি,	মুখার্জী,	
goora,	গৌরা,	গোর,	
qirq,	কির্ক,	কার্ক,	
mugdal,	মুগদাল,	মুগডাল,	
dhauto,	ধৌতঃ,	ধৌত,	
simons,	সিমনস,	সিমন্স,	
annorup,	অ্যান্নপূপ,	অন্যরূপ,	
encidablu,	এন্সিডিবাল,	এনসিডাব্লু,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
pachattar,	পাচাত্র,	পাচাত্তার,	
jini,	জিনি,	যিনি,	
remacri,	রেমাক্রি,	রেমাক্রী,	
magar,	মাগার,	মাগার,	
argead,	আর্জেড,	আর্জিদ,	
sepha,	সেফা,	শেফ,	
akram,	আক্রাম,	আকরাম,	
foolkopi,	ফুলকপু,	ফুলকপি,	
antorvuktimulak,	অন্তর্ভুক্তলভূলক,	অন্তর্ভুক্তিমূলক,	
chorban,	চোরবান,	চর্বন,	
prasadhoner,	প্রাসাধনের,	প্রসাধনের,	
greep,	গ্রিপ,	গ্রিপ,	
bohoodin,	বহহিদিন,	বহুদিন,	
nationalser,	নাটিনালসের,	ন্যাশনালসের,	
brake,	ব্র্যে,	ব্রেক,	
rasunkunchi,	রসুনকুন্ছি,	রসুনকুঁচি,	
militaryr,	মিলিটার্,	মিলিটারির,	
elaakaa,	এলাকা,	এলাকা,	
upobasee,	উপবাসা,	উপবাসী,	
phund,	ফান্ড,	ফান্ড,	
baarnis,	বার্িস,	বার্নিশ,	
sanghatakder,	সংঘঠাাদের,	সংঘটকদের,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
chintakarma,	চিন্তাকর্ম,	চিন্তাকর্ম,	
kottar,	কোত্টার,	কট্টর,	
touraat,	তৌরাত,	তওরাত,	
skirt,	স্ক্রিট,	স্কার্ট,	
poorohitder,	পুরহহত্ের,	পুরোহিতদের,	
niemond,	নিইমন্ড,	নিমন্ড,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
deputy,	ডিপিটি,	ডেপুটি,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
bage,	বাগে,	বাগে,	
aviyojan,	অভিয়জজান,	অভিযোজন,	
digrir,	ডিগর,	ডিগ্রির,	
tenishe,	তেনিশে,	টেনিসে,	
slatgulor,	স্ল্যগুলোর,	স্ল্যাটগুলোর,	
bhaandar,	ভান্দার,	ভাণ্ডার,	
aalkatraa,	আলককত্র,	আলকাতরা,	
graambasi,	গ্রামবাসি,	গ্রামবাসী,	
grambaashi,	গ্রামবাশী,	গ্রামবাসী,	
krishibigyani,	কৃষিব্যজনী,	কৃষিবিজ্ঞানী,	
arasie,	আরাসি,	আরসিএ,	
with,	উইথ,	ভিত,	
ujobekeestaner,	উজবেকস্তানের,	উজবেকিস্তানের,	
kantajir,	কান্তাজির,	কান্তজির,	
naagaalyand,	নাগলায়ন্দ,	নাগাল্যান্ড,	
aajeej,	আজেজ,	আজিজ,	
everestey,	এভারেস্টে,	এভারেস্টে,	
homshke,	হোমশকে,	হোমসকে,	
jahara,	জহারা,	যাহরা,	
ipl,	আইপি,	আইপিএল,	
chopal,	চোপাল,	চপল,	
dolu,	দলু,	ডলু,	
auttacharer,	অট্টাচারের,	অত্যাচারের,	
logotype,	লগোটি,	লোগোটাইপ,	
fulkapi,	ফুলকাপী,	ফুলকপি,	
shikshakbrinda,	শিকশাবকৃন্দ্,	শিক্ষকবৃন্দ,	
tikto,	টিক্ত,	তিক্ত,	
lagto,	লাগতো,	লাগতো,	
kutubuddinke,	কুতুবুদ্দিনকে,	কুতুবুদ্দিনকে,	
jhijhi,	ঝিঝি,	ঝিঝি,	
ranangone,	রানাঙ্গো,	রণাঙ্গনে,	
yucalyptus,	যুকাল্িস,	ইউক্যালিপ্টাস,	
kayartara,	কায়ারটার,	কোয়ার্টার,	
mosharroph,	মোশাররোপ,	মশাররফ,	
tyap,	টাযাপ,	ট্যাপ,	
baganoto,	বাগানত,	বাগানত,	
jeelyaand,	জীল্য়ান্দ,	জিল্যান্ড,	
gotihin,	গতিহীন,	গতিহীন,	
alpo,	আলপো,	অল্প,	
bhabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
prity,	প্রিতি,	প্রিটি,	
kkhur,	ক্রুর,	ক্ষুর,	
sarjur,	সার্জুর,	সরযূর,	
shringey,	শ্রিঙ্গে,	শৃঙ্গে,	
purohitder,	পুরহহিতদের,	পুরোহিতদের,	
bhumija,	ভূমিজা,	ভূমিজ,	
unchuporjayer,	উন্চুপ্রযের,	উঁচুপর্যায়ের,	
ruptan,	রূপ্তান,	রূপটান,	
quota,	কুওটা,	কোটা,	
rodney,	রোডে,	রেডনি,	
danakana,	দানাকানা,	ডানকান,	
bohudin,	বহুদিন,	বহুদিন,	
dhyana,	ধ্যানা,	ধ্যান,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
ohalyar,	ওহায়ার,	অহল্যার,	
delibhara,	দেলিভারা,	ডেলিভার,	
doobate,	দুবাতে,	ডুবাতে,	
bonbhumi,	বন্ভুমি,	বনভূমি,	
mohajote,	মহাজতে,	মহাজোট,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
chyeta,	চ্যেটা,	চ্যাট,	
sadeep,	সাদিপ,	সদীপ,	
lendl,	লেন্ড,	লেন্ডল,	
siima,	সিমামা,	সীমা,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
protinito,	প্রতিনিত,	প্রতিনিত,	
lakshmir,	লক্ষর্মীর,	লক্ষ্মীর,	
upobaashee,	উপবাশা,	উপবাসী,	
soleel,	সলিল,	সলিল,	
sachetonvabe,	সাচেটনভাবে,	সচেতনভাবে,	
hames,	হামেস,	হোমস,	
enginiiring,	এন্গিন্রিং,	ইঞ্জিনিয়ারিং,	
besirbhaagi,	বেশিরভাগী,	বেশিরভাগই,	
meropenemer,	মেরোপেনেমের,	মেরোপেনেমের,	
grahoksebai,	গ্রহক্ষসাই,	গ্রাহকসেবায়,	
bishwasho,	বিশ্বাসো,	বিশ্বাসও,	
heavy,	হেভি,	হেভি,	
deool,	ডেওয়াল,	দেউল,	
somonnitobhabe,	সমন্তিভাবে,	সমন্বিতভাবে,	
chemjong,	চেমগং,	চেমজং,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
plato,	প্লাট,	প্লেটো,	
kidambi,	কিদামবি,	কিদম্বি,	
bharatey,	ভারাতে,	ভারতে,	
chaanoo,	চানাও,	চানু,	
pyore,	প্যারে,	পিওর,	
saabyastha,	সব্যস্থ,	সাব্যস্থ,	
mach,	মাচ,	মাছ,	
vobanipur,	ভবনীপুর,	ভবানীপুর,	
satarkabhabe,	সতরকরভাবে,	সতর্কভাবে,	
inziniyarsa,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
bondi,	বন্ডি,	বন্দী,	
stonehenje,	স্তোনেন্জে,	স্টোনহেঞ্জ,	
badargaji,	বাদরগাজী,	বদরগাজী,	
durtomo,	দূর্তমো,	দূরতম,	
matt,	মায়ট,	ম্যাট,	
patigoniter,	পাতিগোগেতের,	পাটিগণিতের,	
kathghera,	কাঠঘেরা,	কাঠঘেরা,	
lat,	লাট,	লাট,	
raagei,	রাগেই,	রাগেই,	
jommu,	জম্ু,	জম্মু,	
ceramicsh,	সেরামিক্স,	সিরামিকস,	
dakteekiter,	দাক্তিকের,	ডাকটিকিটের,	
video,	ভিদেও,	ভিডিয়োও,	
bhowanipur,	ভোবানীপুর,	ভবানীপুর,	
ved,	ভেড,	বেদ,	
chowdhuryke,	চৌধির্কে,	চৌধুরীকে,	
amar,	আমার,	আমর,	
jonee,	জনি,	জনি,	
cena,	সেনা,	সিনা,	
bishnoo,	বিশ্নো,	বিষ্ণু,	
gyandaas,	জ্ঞান্ডস,	জ্ঞানদাস,	
karpeter,	কার্পেতের,	কার্পেটের,	
gafeeloti,	গাফিলতি,	গাফিলতি,	
toroonra,	তররণারা,	তরুণরা,	
groundta,	গ্রেন্ডটা,	গ্রাউন্ডটা,	
goolen,	গুলেন,	গুলেন,	
dibi,	দিবি,	দিবি,	
umedpoor,	উমেডপুপর,	উমেদপুর,	
kaia,	কায়া,	কায়া,	
tuleche,	তুলেছে,	তুলেছে,	
chalachchitrei,	চলচচ্তিতেই,	চলচ্চিত্রেই,	
chet,	চেট,	চ্যাট,	
breakthrough,	ব্রেক্রাঘ,	ব্রেকথ্রু,	
licensedhari,	লিইসেন্সারিধারী,	লাইসেন্সধারী,	
chalachchitrotike,	চালাচ্তিতিতে,	চলচ্চিত্রটিকে,	
lyaataa,	ল্যাটাটা,	ল্যাটা,	
pyatarne,	প্যাতারন্যে,	প্যাটার্নে,	
thabai,	থাবাই,	থাবাই,	
thailand,	থাইলাঁড,	থাইল্যান্ড,	
shanno,	শান্ন,	সান্নো,	
bonke,	বনকে,	বনকে,	
prothati,	প্রথাটি,	প্রথাটি,	
ukeliptash,	উকেলিপ্িশ,	ইউক্যালিপ্টাস,	
phormat,	ফোরমাট,	ফরম্যাট,	
ernad,	এর্নাড,	এরনাড,	
bujhtepari,	বুঝেেপারী,	বুঝতেপারি,	
bhabatarini,	ভবতারানি,	ভবতারিণী,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
labonaaktotaar,	লাবনক্তার,	লবণাক্ততার,	
acrolect,	এক্রেক্লেট,	অ্যাক্রোলেক্ট,	
