shucharita,	শুচারিতা,	সুচরিতা,	
totokhon,	ততোখন,	ততক্ষন,	
boudhher,	বৌধের,	বৌদ্ধের,	
anagarikra,	অনাগরিক্র,	অনাগরিকরা,	
rahshahi,	রহশাহী,	রাহশাহী,	
ishton,	ইস্টন,	স্টোন,	
nagarikera,	নাগারিকেরা,	নাগরিকেরা,	
jumlalancer,	জুমলল্যান্সের,	জুমলাল্যান্সার,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
keuoi,	কেওয়,	কেউই,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
graambaaseeo,	গ্রামবাসাই,	গ্রামবাসীও,	
digri,	ডিগ্রি,	ডিগ্রি,	
shringge,	শ্রিং,	শৃঙ্গে,	
weelcomee,	ভিলকোমি,	ওয়েলকাম,	
sqolastiq,	স্কোলাক্টিক,	স্কলাস্টিক,	
ansarir,	আনসারির,	আনসারীর,	
miley,	মিলে,	মিলে,	
mokhmoley,	মোখমলে,	মখমলে,	
karmazog,	কারমাজোগ,	কর্মযোগ,	
forma,	ফরমা,	ফর্মা,	
makame,	মাকামে,	মাকামে,	
deqe,	ডেকে,	ডেকে,	
oncolsoho,	অন্কলসহ,	অঞ্চলসহ,	
bajite,	বাজিতে,	বাজিতে,	
homsher,	হমশের,	হোমসের,	
valobase,	ভালোবাসে,	ভালোবাসে,	
notikotar,	নতীকতার,	নৈতিকতার,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
jaanar,	জানার,	জানার,	
shommotite,	শম্মতিতে,	সম্মতিতে,	
bayshorkarikarone,	বাইশরককারীরণে,	বেসরকারিকরণ,	
bongsho,	বংশ,	বংশ,	
playtey,	প্লেয়েট,	প্লেটে,	
ahalya,	আহাল্যা,	অহল্যা,	
maudelti,	মাউডলিটি,	মডেলটি,	
tikto,	টিক্ত,	তিক্ত,	
zonsa,	জোসা,	জোন্স,	
kortam,	কর্তাম,	করতাম,	
amburi,	অম্বুরি,	আম্বুরি,	
habathu,	হাবাথু,	হাবাথু,	
azimpur,	আজিম্পুর,	আজিমপুর,	
setikey,	সেটিকে,	সেটিকে,	
chhaikalo,	ছাইকালো,	ছাইকালো,	
cinemapremider,	সিনেমাপ্রেমীদের,	সিনেমাপ্রেমীদের,	
antennal,	অ্যান্টেন্নাল,	অ্যান্টেনাল,	
colgirl,	কলগির,	কলগার্ল,	
shilpajata,	শিল্পজাতা,	শিল্পজাত,	
neemeette,	নিমিত্বে,	নিমিত্তে,	
katbe,	কাতবে,	কাটবে,	
idipasha,	ইডিপাশা,	ইডিপাস,	
houzgulite,	হৌজগুলিতে,	হাউজগুলিতে,	
rohosyoti,	রোহস্যটি,	রহস্যটি,	
bonbhumi,	বনভূমি,	বনভূমি,	
mekapgulo,	মেকাগগুলো,	মেকআপগুলো,	
shho,	শো,	শো,	
kartona,	কার্টনা,	করতনা,	
kk,	কিএক,	কেকে,	
heart,	হার্ট,	হার্ট,	
ebham,	ইবাম,	ইভিএম,	
bosantake,	বসনাতাকে,	বসন্তকে,	
aakabar,	আকাবার,	আকাবার,	
baffer,	বাফার,	বাফার,	
charger,	চার্গার,	চার্জার,	
kakhnoba,	কাখনোবা,	কখনওবা,	
salphat,	সালফাট,	সালফেট,	
falasrutite,	ফ্যালাস্রুতিতে,	ফলশ্রুতিতে,	
soundorjotakei,	সৌন্দর্যটাকেই,	সৌন্দর্যটাকেই,	
poste,	পো্্টে,	পোষ্টে,	
pracharanamulak,	প্রচারণমূলক,	প্রচারণামূলক,	
naneer,	ননীর,	নানীর,	
jounotar,	যৌনতার,	যৌনতার,	
chhutee,	ছুটি,	ছুটি,	
jolrong,	জলরং,	জলরঙ,	
dacope,	ডাযাকোপ,	দাকোপ,	
noteti,	নোটেটি,	নোটটি,	
parking,	পার্কিং,	পার্কিং,	
skolastik,	স্কলাস্তিক,	স্কলাস্টিক,	
niharkantibabu,	নিহারকান্তিবাবু,	নিহারকান্তিবাবু,	
niropekshtar,	নিরোপেষ্টার,	নিরপেক্ষতার,	
khalid,	খালিদ,	খালিদ,	
chatrorai,	চত্ররাই,	ছাত্ররাই,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
niphelheim,	নিইলেইলেম,	নিফেলহেইম,	
alaol,	আলযালল,	আলাওল,	
conflikt,	কনফলিক্ট,	কনফ্লিক্ট,	
marketing,	মার্কেটিং,	মার্কেটিং,	
siqhar,	সিকার,	শিকার,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
balokarak,	বালোকারাক,	বলকারক,	
sukumaree,	সুকুমারি,	সুকুমারী,	
bhumija,	ভূমিজা,	ভূমিজ,	
euqalyptus,	ইউকল্যালাটাউস,	ইউক্যালিপ্টাস,	
jaruri,	জারুরি,	জরূরী,	
senior,	সেনিওর,	সিনিয়র,	
poketchorder,	পকেত্ররদের,	পকেটচরদের,	
manibhaijaner,	মানিভাজাইনের,	মণিভাইজানের,	
shabkam,	শবকাম,	শবকাম,	
minilosar,	মিনিলোসার,	মিনিলোসার,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
sollallhu,	সোল্লাল্লু,	সল্লাল্লাহু,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
mitro,	মিত্রো,	মিত্র,	
tukroti,	টুকর্তি,	টুকরোটি,	
deep,	দিপ,	দীপ,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
marri,	মারিরি,	ম্যারি,	
ameettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
elaakaati,	এলাকাটি,	এলাকাটি,	
townshhip,	টাউনশিপ,	টাউনশিপ,	
bikretara,	বিক্রেতারা,	বিক্রেতারা,	
dimbacriti,	ডিম্বাক্রিতি,	ডিম্বাকৃতি,	
grauth,	গ্রাউথ,	গ্রোথ,	
harbur,	হারবুর,	হারবার,	
icelands,	ইসেলাযান্ডস,	আইসল্যান্ডসহ,	
kokeyin,	কোকেইন,	কোকেইন,	
echhti,	এছটি,	এছটি,	
qor,	কোর,	কর,	
neutrinoo,	নিউট্রিনিও,	নিউট্রিনো,	
desiseyer,	ডেসিসের,	ডিজিজের,	
piulir,	পিউলির,	পিউলির,	
tata,	তাটা,	তাতা,	
foolkopi,	ফুলকপি,	ফুলকপি,	
rajpur,	রাজপুর,	রাজপুর,	
khilaphat,	খিলাফাট,	খিলাফত,	
nuhas,	নুহাস,	নুহাশ,	
gaphiloti,	গাইলিটি,	গাফিলতি,	
bii,	বিইইই,	বি,	
ji,	জিজি,	জি,	
perri,	পেরিরি,	পেরি,	
hukar,	হুকার,	হুকার,	
flux,	ফ্লাযাক্স,	ফ্লাস্ক,	
adbhanced,	অ্যাডভাযান্ডে,	অ্যাডভান্সড,	
khudhartara,	ক্ষুধারতর,	ক্ষুধার্তরা,	
chittronatyokar,	চিত্ত্রান্তকার,	চিত্রনাট্যকার,	
plate,	প্ল্যাটে,	প্লেট,	
teter,	টেটের,	টেটের,	
rohasyati,	রোহাযাত্যি,	রহস্যটি,	
sikkhakromer,	সিক্ষাক্রমের,	শিক্ষাক্রমের,	
muktilav,	মুক্তিলভ,	মুক্তিলাভ,	
kindom,	কিন্দম,	কিংডম,	
dajhyo,	দাঝ্য,	দাহ্য,	
barack,	ব্যারাক,	বারাক,	
istoone,	ইস্টুনে,	স্টোন,	
samaveshke,	সমাভেষকে,	সমাবেশকে,	
female,	ফেমালে,	ফিমেল,	
sbaajan,	স্বজান,	স্বজন,	
shamshere,	শমশেরে,	শমসের,	
mookhomandoler,	মুখমান্ডলের,	মুখমণ্ডলের,	
kailashrao,	কৈলাশরাও,	কৈলাশরাও,	
patininda,	পাটিনিন্দা,	পতিনিন্দ,	
ved,	ভেড,	বেদ,	
jandrel,	জান্ড্রেল,	জাঁদরেল,	
andon,	আন্দোন,	আন্দোন,	
suporichita,	সুপরিচিতা,	সুপরিচিত,	
poscater,	পোস্কাটের,	পশ্চাতের,	
shommoteer,	শম্মতির,	সম্মতির,	
footbalarra,	ফুটবলরার,	ফুটবলাররা,	
chenza,	চেঞ্জা,	চেঞ্জ,	
akhando,	আখান্দো,	অখন্ড,	
chaloke,	চালকে,	চালকে,	
adhunikkale,	আধুনিক্লালে,	আধুনিককালে,	
video,	ভিডেও,	ভিডিয়োও,	
tanshree,	তশ্শরী,	তানশ্রী,	
pooshti,	পুষ্টি,	পুষ্টি,	
mile,	মিলে,	মিলে,	
pluck,	প্লাক,	প্ল্যাক,	
atwabishvashi,	আত্ববিশবাশী,	আত্মবিশ্বাসী,	
jerushalema,	জেরুশেলামা,	জেরুসালেম,	
bhandti,	ভান্ডটি,	ভাণ্ডটি,	
antarctica,	অ্যান্টার্ট্সিকা,	অ্যান্টার্কটিকার,	
zommu,	জম্মু,	জম্মু,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
seo,	সিও,	সেও,	
shaddhi,	শাদ্ধি,	সাধ্বী,	
janagononar,	জানাগোনার,	জনগণনার,	
kirke,	কিরকে,	কিরকে,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
dologuloo,	দললগুলো,	দলগুলোও,	
impaction,	ইম্পায়েশন,	ইমপ্যাকশন,	
adhunikkaley,	অধুনিক্লায়ে,	আধুনিককালে,	
hypar,	হাইপার,	হাইপার,	
durbhagya,	দুর্ভাগ্যা,	দূর্ভাগ্য,	
songbadmadhyame,	সংবাদমধ্যামে,	সংবাদমাধ্যমে,	
saatzoner,	সাটজনের,	সাতজনের,	
rahimed,	রহহিমদদ,	রহিমেদ,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
shasankorta,	শাসাঙকর্ত,	শাসনকর্তা,	
bhenicer,	ভেনিসের,	ভেনিসের,	
detik,	ডেটিক,	দেতিক,	
konnoder,	কন্যদের,	কন্যদের,	
deputy,	ডিপুটি,	ডেপুটি,	
samley,	স্যামলে,	সামলে,	
markeetim,	মার্কিটিম,	মার্কেটিং,	
ayantarqatiqa,	অয়ন্ত্রাকাটি,	অ্যান্টার্কটিকা,	
bornolikhon,	বর্ণলিখোন,	বর্ণলিখন,	
konroop,	কন্রুপ,	কোনরূপ,	
jiland,	জিলান্ড,	জিল্যান্ড,	
fokskon,	ফকক্কন,	ফক্সকন,	
fevarite,	ফেভারিতে,	ফেভারিট,	
vejjanno,	ভেজজান্ন,	ভেজানো,	
sahocorje,	সহচর্যে,	সাহচর্যে,	
dera,	ডেরা,	ডেরা,	
ekatto,	একাত্ত,	একাত্ব,	
gamdan,	গামদান,	গামদান,	
cheess,	চিস,	চেস,	
aarik,	আরিক,	আরিক,	
asaktibandhan,	অসাকতিবন্ধন,	আসক্তিবন্ধন,	
songasthaner,	সং্গস্থানের,	সংস্থানের,	
oikhan,	ঐখান,	ঐখান,	
durgotsab,	দুর্গতৎসব,	দুর্গোৎসব,	
bhikkharthe,	ভিক্ষার্থে,	ভিক্ষার্থে,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
durgatsabe,	দুর্গতসাবে,	দুর্গোৎসবে,	
bike,	বিকে,	বাইক,	
jaatti,	যাত্তি,	জাতটি,	
suparharo,	সুপারহারো,	সুপারহিরো,	
nischitvabe,	নিষ্টিভাববে,	নিশ্চিতভাবে,	
rakim,	রাকিম,	রাকিম,	
dharabahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
casper,	ক্যাস্পার,	ক্যাসপার,	
anchalei,	অঞ্চলেই,	অঞ্চলেই,	
shandra,	শান্দ্রা,	শান্দ্রার,	
dhanak,	ধানাক,	ধানক,	
louhojato,	লৌহজাত,	লৌহজাত,	
machhti,	মাছটি,	মাছটি,	
dekaner,	দেকানের,	দেকানের,	
ovarview,	ওভারভিউ,	ওভারভিউ,	
direectoratee,	ডিরিরেট্রটি,	ডিরেক্টরেট,	
kayartara,	কয়ারটারা,	কোয়ার্টার,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
khagen,	খাগেন,	খগেন,	
bosonte,	বসন্তে,	বসন্তে,	
rudrasagar,	রুদ্রসাগর,	রুদ্রসাগরের,	
gannaprakasham,	গণ্যপ্রণশাম,	গন্নাপ্রকাশম,	
shansthagulo,	শাঁষ্ঠাগুলো,	সংস্থাগুলো,	
quartar,	কুয়ারটার,	কোয়ার্টার,	
dokaangoolote,	ডাকাংগুলোতে,	দোকানগুলোতে,	
jotinkey,	জটিনকে,	যতীনকে,	
vool,	ভুল,	উল,	
taposgoner,	তপসগণের,	তাপসগণের,	
porjotoker,	পর্যতকের,	পর্যটকের,	
potka,	পোটকা,	পটকা,	
udyem,	উদ্যেম,	উদ্যেম,	
probondhobhittik,	প্রবণ্ভভিত্তিক,	প্রবন্ধভিত্তিক,	
ajibon,	আজিবন,	আজীবন,	
lampot,	ল্যাম্পট,	লম্পট,	
bhangle,	ভাংলে,	ভাঙলে,	
phokser,	ফোকসের,	ফক্সের,	
rata,	রাতা,	রত,	
byatari,	ব্যাতারি,	ব্যাটারী,	
hijrite,	হিজরিতে,	হিজরীতে,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
bolvodro,	বল্োদ্র,	বলভদ্র,	
rajnikant,	রাজনিকান্ত,	রাজনীকান্ত,	
poripake,	পরিপাকে,	পরিপাকে,	
korimpur,	করিমপুর,	করিমপুর,	
hunine,	হুনিনে,	হুনাইন,	
bhotomulyoke,	ভোটমুল্যকে,	ভোটমূল্যকে,	
licencedhari,	লিইসেন্চারী,	লাইসেন্সধারী,	
attorkite,	অত্রকৃতে,	অতর্কিতে,	
pyor,	প্য়ার,	পিওর,	
sorsa,	সর্সা,	সোর্স,	
kormokarer,	কর্মকারের,	কর্মকারের,	
maail,	মাইল,	মাইল,	
protul,	প্রোতুল,	প্রতুল,	
shaahaabiike,	সাহাবাবিইকে,	সাহাবীকে,	
anektai,	আনেকটাই,	অনেকটাই,	
mugdal,	মুগদাল,	মুগডাল,	
poorohitder,	পুরহিতদের,	পুরোহিতদের,	
engrejra,	এঞ্জ্রেজার,	ইংরেজরা,	
baganoto,	বাগানোত,	বাগানত,	
donat,	ডোনাট,	ডোনাট,	
karaa,	কারা,	কারো,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
bbiswasho,	বিব্বাশা,	বিশ্বাসও,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
govindarajan,	গোবিন্দর্জন,	গোবিন্দরাজন,	
chitronattakar,	চিত্রনাত্তাকার,	চিত্রনাট্যকার,	
tarkareer,	তারকারীর,	তরকারীর,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
zozyota,	যজ্জতা,	যোজ্যতা,	
swadesh,	স্বদেশ,	স্বদেশ,	
jamjomat,	জম্জমত,	জমজমাট,	
swasthohinotay,	স্বাস্থ্যহনিতায়,	স্বাস্থ্যহীনতায়,	
achintyabhedaved,	অচিন্ত্যদেভবাদ,	অচিন্ত্যভেদাভেদ,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
eukalyptus,	ইউকল্যামাপ্টস,	ইউক্যালিপ্টাস,	
shten,	স্টেন,	স্টেন,	
kanar,	কানার,	কণার,	
prime,	প্রিমে,	প্রাইম,	
samratder,	সমর্তদের,	সম্রাটদের,	
amontronkarider,	আমনন্ত্রকারীদের,	আমন্ত্রণকারীদের,	
ikbaaler,	ইকবালের,	ইকবালের,	
nutoner,	নুটনের,	নূতনের,	
sardar,	সারদার,	সরদার,	
parikha,	পরিখা,	পরিখার,	
palestine,	পালেস্টাইন,	প্যালেস্টাইনে,	
bondi,	বন্ডি,	বন্দী,	
rajashri,	রাজাশ্রী,	রাজশ্রী,	
brake,	ব্রাকে,	ব্রেক,	
spreedashita,	স্প্রীদাশিত,	স্প্রেডশীট,	
naabbota,	নাব্বতা,	নাব্যতা,	
choopi,	চুপি,	চুপি,	
sayatana,	সায়াতনা,	শয়তান,	
sabrakamer,	সব্রাকামের,	সবরকমের,	
shomser,	শমসের,	সমশের,	
hossne,	হোসনে,	হোসনে,	
bhenkates,	ভেনকেটস,	ভেঙ্কটেশ,	
kraanti,	ক্রান্টি,	ক্রান্তি,	
magical,	ম্যাগিকাল,	ম্যাজিকাল,	
ahong,	আহং,	অহং,	
hetimganje,	হেটিমগঞ্জে,	হেতিমগঞ্জে,	
guzober,	গুজবের,	গুজবের,	
chaka,	চাকা,	চাকা,	
baibosthar,	বাইবস্থার,	ব্যবস্থার,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
vugoley,	ভুগলে,	ভূগোলে,	
bunot,	বুনোট,	বুনট,	
orunima,	ওরুনিমা,	অরুণিমা,	
seramiks,	সেরামিক্স,	সিরামিকস,	
bojhao,	বোঝাও,	বোঝাও,	
titarer,	তিতারের,	তিতারের,	
sachetonvabe,	সাচতনাভাবে,	সচেতনভাবে,	
shamuker,	শামুকের,	শামুকের,	
dharavahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
bonorajite,	বনরাজিতে,	বনরাজিতে,	
seconder,	সেকন্ডার,	সেকেন্ডের,	
bojata,	বোজাটা,	বোজাটা,	
vodqa,	ভোডকা,	ভদকা,	
wilderske,	উইলডার্সকে,	উইল্ডার্সকে,	
fanse,	ফ্যানস,	ফাঁসে,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
talgachh,	তালগাছ,	তালগাছ,	
spredashiita,	স্প্রেশিয়াতি,	স্প্রেডশীট,	
nirapattamulok,	নিরাপত্তমূলক,	নিরাপত্তামূলক,	
sucre,	সুক্রে,	সাকার,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
poribahokotto,	পরিবাহকত্ব,	পরিবাহকত্ব,	
feemalee,	ফিমললি,	ফিমেল,	
emiratas,	এমিরাটাস,	এমিরেটাস,	
sumoo,	সুমো,	সুমো,	
shniper,	শ্নিপের,	স্নাইপার,	
zesa,	জেসা,	জেস,	
bamon,	বামোন,	বামন,	
eshiyetika,	এসিয়েটিকা,	এশিয়াটিক,	
chinito,	চিনিতো,	চিনতো,	
aabarte,	আবার্তে,	আবর্তে,	
megacaldera,	মেগাকাল্ডারা,	মেগাক্যাল্ডেরা,	
bhagno,	ভাগন,	ভগ্ন,	
laatimer,	লাটিমের,	লাটিমের,	
duburir,	দুবুরির,	ডুবুরির,	
nodimatrik,	নদীমার্তিক,	নদীমাতৃক,	
abheedhaaneek,	অভিদানিক,	অভিধানিক,	
karecho,	কারেছো,	করেছো,	
nirmankarmisaha,	নির্মণরীকরসহহ,	নির্মাণকর্মীসহ,	
bairey,	বাইরে,	বাইরে,	
barder,	বার্ডার,	বার্ডের,	
lebina,	লেবিনা,	লেবিনা,	
alraji,	আলরাজি,	আলরাজী,	
lagchhe,	লাগছে,	লাগছে,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
sosoa,	সোসয়া,	শশা,	
ul,	আলএস,	উল,	
swartho,	স্বার্থ,	স্বার্থ,	
deh,	দেহ,	দেহ্,	
bohoodin,	বহুদিন,	বহুদিন,	
bohudeen,	বহুদিন,	বহুদিন,	
cbi,	সিবিআি,	সিবিআই,	
gandhiir,	গান্ধিয়ার,	গান্ধীর,	
as,	এসএস,	অস,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
nirmol,	নির্মোল,	নির্মল,	
mele,	মেলে,	মাইল,	
jakso,	যাকস,	যক্ষ,	
ala,	আলালা,	আলা,	
romarder,	রোমার্ডের,	রোমারদের,	
ramolino,	রামোলিনো,	রামোলিনো,	
indrani,	ইন্দ্রানি,	ইন্দ্রাণী,	
qarlosa,	কারলোসা,	কার্লোস,	
alaul,	আলাউল,	আলাওল,	
mangoleek,	মঙ্গললিক,	মাঙ্গলিক,	
madhoori,	মাধুরি,	মাধুরী,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
qraima,	ক্রাইমা,	ক্রাইম,	
matthews,	মাথভিস,	ম্যাথিউস,	
mukhomandal,	মুখোমন্ডল,	মুখমণ্ডল,	
madhukori,	মধুকরি,	মাধুকরী,	
sorano,	সোরানো,	সরানো,	
grambasheeo,	গ্রামবাশাই,	গ্রামবাসীও,	
onchalgulir,	অঞ্চালগুলির,	অঞ্চলগুলির,	
aakik,	আকিক,	আকিক,	
asovya,	অসোভ্যা,	অসভ্য,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
diznee,	দিজনি,	ডিজনী,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
abdan,	আবদান,	আব্দান,	
tochhnochh,	তন্চোছ,	তছনছ,	
larson,	লারসন,	লারসন,	
dhalur,	ধালুর,	ঢালুর,	
veemsen,	ভিমসেন,	ভীমসেন,	
azijer,	আজিজের,	আজিজের,	
shringey,	শ্রিঙ্গে,	শৃঙ্গে,	
balatkar,	বালাটকার,	বলাৎকার,	
teennis,	টিনিনিস,	টেনিস,	
planea,	প্লানে,	প্লেনে,	
kidambi,	কিদাম্বি,	কিদম্বি,	
monzooshree,	মন্জশুরি,	মঞ্জুশ্রী,	
ghoshanapatratio,	ঘোষানাপত্রাতিও,	ঘোষণাপত্রটিও,	
dayitta,	দয়িত্ব,	দায়িত্ব,	
rubidium,	রুবিডিউয়াম,	রুবিডিয়াম,	
sobchey,	সবচে,	সবচে,	
podotyagsongkranto,	পদত্যাসংক্রান্ত,	পদত্যাগসংক্রান্ত,	
soceitytey,	সোসিটেটি,	সোসাইটিতে,	
magar,	মাগার,	মাগার,	
durgotshob,	দুর্গতশব,	দুর্গোৎসব,	
yukeliptash,	যুয়েক্লিপাস,	ইউক্যালিপ্টাস,	
neelkamal,	নীলকামাল,	নীলকমল,	
paikgachha,	পাইকগাছ,	পাইকগাছা,	
adorso,	আদারসো,	আর্দশ,	
dhila,	ধিলা,	ঢিলা,	
gaje,	গাজে,	গেজ,	
cholocchitrer,	চলচচিত্রের,	চলচ্চিত্রের,	
jinsa,	জিনসা,	জিন্স,	
chitlar,	চিতলার,	চিতলার,	
paab,	পাব,	পাব,	
kayech,	কয়েছ,	কায়েছ,	
teamothy,	টিমোথি,	টিমোথি,	
crime,	ক্রিমে,	ক্রাইম,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
suisharke,	সুশারকে,	সুইশারকে,	
meloonborrone,	মেলোববরর্ণে,	মেলবোর্নে,	
sobrakamer,	সব্রাকামের,	সবরকমের,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
kekru,	কেকরু,	কেকরু,	
jund,	জান্ড,	জুন্দ,	
spashtotai,	স্পাষ্টটাই,	স্পষ্টতই,	
dibya,	দিব্যা,	দিব্যা,	
masjidti,	মাসজিদ্টি,	মসজিদটি,	
chaanoo,	চানু,	চানু,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
diiptii,	দিপ্টই,	ডেপুটি,	
kormyi,	কর্মি,	কর্মই,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
shulfate,	শুলফাতে,	সালফেট,	
abdi,	আবদি,	অব্দি,	
injiniyarim,	ইন্জিনিয়ারিম,	ইঞ্জিনিয়ারিং,	
asovyo,	অস্ভো,	অসভ্য,	
teemothi,	তিমোথি,	টিমোথি,	
soommo,	সুম্ম,	সুমো,	
stanahenja,	স্তানাহেন্জা,	স্টোনহেঞ্জ,	
sachetanvabe,	সচেতনাভবে,	সচেতনভাবে,	
chat,	চাত,	চ্যাট,	
jhimochchilo,	ঝিমচ্ছিল,	ঝিমোচ্ছিলো,	
karmojog,	কার্যোগ,	কর্মযোগ,	
deool,	ডিউল,	দেউল,	
registaner,	রেজিস্টানের,	রেগিস্তানের,	
tookrokey,	তুক্রকে,	টুকরোকে,	
utpotti,	উৎপত্তি,	উতপত্তি,	
sarjur,	সার্জুর,	সরযূর,	
chalochchitraeeo,	চালচ্ঠির্যায়,	চলচ্চিত্রেও,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
khoka,	খোকা,	খোকা,	
cloring,	ক্লারিং,	ক্লোরিং,	
pranibigyani,	প্রাণবিগ্ঞানী,	প্রাণীবিজ্ঞানী,	
alpo,	আল্প,	অল্প,	
dakticket,	ডাক্টিকেট,	ডাকটিকিট,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
sangbadmadhyamgulote,	সংবাদমধ্যাগগুলোতে,	সংবাদমাধ্যমগুলোতে,	
matt,	ম্যাট্,	ম্যাট,	
niroja,	নিরোজা,	নিরোজা,	
aashtikotaa,	আষ্টিকতা,	আস্তিকতা,	
hilser,	হিলসের,	হিলসের,	
sanaktakaran,	সনাকতারর,	সনাক্তকরণ,	
sookumari,	সুকুমারি,	সুকুমারী,	
lyaataa,	ল্যাটা,	ল্যাটা,	
tooku,	টুকু,	টুকু,	
asif,	আসিফ,	আসিফ,	
abti,	আবটি,	আবতি,	
vittiteo,	ভিট্টিতেও,	ভিত্তিতেও,	
ghoomachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
durarohini,	দুরারহহিনী,	দুরারোহিণী,	
nabyata,	নাব্যাতা,	নাব্যতা,	
olpo,	ওলপ,	অল্প,	
brekethru,	বেরেক্থরু,	ব্রেকথ্রু,	
ovidhaner,	অভিধানের,	অভিধানের,	
wrighter,	বিগ্টের,	রাইটের,	
mandarbani,	মন্দরবানী,	মন্দারবাণী,	
shit,	শিত,	শীত,	
audiotike,	অডডিওটিকে,	অডিওটিকে,	
siqh,	সিক,	শিখ,	
dolu,	ডলল,	ডলু,	
waal,	ওয়াল,	উল,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
khabarsoho,	খাবারসহ,	খাবারসহ,	
kuthibarike,	কুঠিবারিকে,	কুঠিবাড়ীকে,	
dhanyi,	ধান্ই,	ধন্যি,	
eekbalke,	ইক্বলকে,	ইকবালকে,	
durtomo,	দুর্তম,	দূরতম,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
abheedhaaneeck,	অভিদানিক্য,	অভিধানিক,	
abhidhanick,	অভিনাধিক্য,	অভিধানিক,	
mmehonoti,	ম্মেহনটি,	মেহনতি,	
poste,	পো্্টে,	পোস্টে,	
karmokarke,	কারমাকারকে,	কর্মকারকে,	
varma,	ভারমা,	ভার্মা,	
awatar,	ওওয়াটার,	অবতার,	
kalki,	কালকি,	কালকি,	
thechar,	থেচার,	থ্যাচার,	
byaboharkariyi,	ব্যবহরকার্যী,	ব্যবহারকারীই,	
augustine,	অগস্টাইন,	অগাস্টিন,	
tapdei,	তাপদেই,	তাপড়েই,	
dhormoprobortokder,	ধর্মপ্রবর্তদের,	ধর্মপ্রবর্তকদের,	
aairees,	আইইরিস,	আইরিস,	
ekbai,	একবাই,	একবাই,	
jatinkey,	জাটিনকে,	যতীনকে,	
chakurijibirao,	চাকুরিজিবারাও,	চাকুরীজীবীরাও,	
seekkhaou,	সিক্ষাউ,	শিক্ষাও,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
somoibo,	সমৈবব,	সমৈব,	
bbosonto,	ব্বসন্ত,	বসন্ত,	
tistar,	টিস্টার,	তিস্তার,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
bolatkar,	বলাতকার,	বলাৎকার,	
paner,	পাযানের,	পানের,	
kachhakaachhi,	কছাচাছি,	কাছাকাছি,	
mataram,	মাতারাম,	মাতরম,	
tinhazar,	তিনহাজার,	তিনহাজার,	
jibnagore,	জীবনগরে,	জীবননগর,	
dhadhiye,	ধাধিয়ে,	ধাধিয়ে,	
sthaponagulor,	স্থাপননগগুলোর,	স্থাপনাগুলোর,	
lubitz,	লুবিটজ,	লুবিৎজ,	
