rena,	রেনা,	রেনো,	
skolarsip,	স্কলারসিপ,	স্কলারশিপ,	
koota,	কূতা,	কোটা,	
olympik,	অলিম্পিক,	অলিম্পিক,	
pet,	পেট,	পেত,	
pushtee,	পুষ্টি,	পুষ্টি,	
afrazuler,	আফরাজুলের,	আফরাজুলের,	
modyer,	মদ্যের,	মদ্যের,	
bojhey,	বোঝে,	বোঝে,	
niutrino,	নিউট্রিনো,	নিউট্রিনো,	
atmiyasulabh,	আত্মীয়সমূলভ,	আত্মীয়সুলভ,	
ekhate,	এখাতে,	একহাতে,	
awatar,	আওয়াতার,	অবতার,	
pleto,	প্লেটো,	প্লেটো,	
jhanjra,	ঝঞ্জার,	ঝাঁজরা,	
bakhyateet,	বাযাখ্যাটি,	ব্যাখ্যাতীত,	
chakundite,	চাকুন্দিতে,	চাকুন্দিতে,	
drissoteer,	দৃশস্িতের,	দৃশ্যটির,	
wishnu,	উইষ্ণু,	বিষ্ণু,	
shatokeo,	শতকেও,	শতকেও,	
eigulor,	এইগুলোর,	এইগুলোর,	
godamjato,	গোদাজমতো,	গুদামজাত,	
caroline,	ক্যারোলিনে,	ক্যরোলিন,	
premoronge,	প্রেমরঙ্গে,	প্রেমরঙে,	
ekok,	একক,	একক,	
turky,	টার্কি,	তুর্কি,	
dorun,	ডোরুন,	দরুণ,	
jund,	জুন্ড,	জুন্দ,	
garora,	গ্রোরা,	গারোরা,	
narsaari,	নার্সারি,	নার্সারি,	
setikey,	সেতিকে,	সেটিকে,	
siqhar,	সিখার,	শিকার,	
karecho,	করেছো,	করেছ,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
seshardhe,	শেশার্ধে,	শেষার্ধে,	
protyokkhovabey,	প্রত্যক্ষবাবে,	প্রত্যক্ষভাবে,	
nirbahi,	নির্বাহী,	নির্বাহি,	
gondogol,	গণ্ডগলল,	গন্ডগোল,	
parqim,	পারকিম,	পার্কিং,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
ghotleo,	ঘটলেও,	ঘটলেও,	
pujit,	পুজিত,	পুজিত,	
uthe,	উঠে,	উঠে,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
futonta,	ফুটোন্টা,	ফুটন্ত,	
elakai,	এলাকাই,	এলাকাই,	
heena,	হিনা,	হেনা,	
mukhyo,	মুখ্য,	মুখ্য,	
chhutee,	ছুটি,	ছুটি,	
planeti,	প্লানেটি,	প্লেনটি,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
udyem,	উদ্মেম,	উদ্যেম,	
romarder,	রোমারদের,	রোমারদের,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
chikkingsasoho,	চিক্কিংসহসহ,	চিকিংসাসহ,	
roopdaan,	রূপদান,	রুপদান,	
gananatyo,	গণনাত্ম,	গণনাট্য,	
chereche,	চেরেছে,	ছেড়েছে,	
pabo,	পাবো,	পাব,	
pyore,	প্যোরে,	পিওর,	
khappar,	খপ্পর,	খপ্পর,	
phiksa,	ফিক্সা,	ফিক্স,	
spredshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
koro,	কোরো,	করো,	
bosontoke,	বসন্তকে,	বসন্তকে,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
amar,	আমার,	আমর,	
shangsthatikey,	সাংসথ্টিকেই,	সংস্থাটিকে,	
poscater,	পশ্চাটের,	পশ্চাতের,	
aosafur,	আওসাফুর,	আওশাফুর,	
konagoolo,	কোনোগুলো,	কণাগুলো,	
goodamjato,	গুড়াজমাত,	গুদামজাত,	
mozlis,	মজলিস,	মজলিশ,	
ekatto,	একাত্ত,	একাত্ব,	
onupater,	অনুপাতের,	অনুপাতের,	
sangbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
shoriph,	শরীফ,	শরিফ,	
rachanakal,	রচনাকাল,	রচনাকাল,	
baipass,	বাইপাস,	বাইপাস,	
ganochien,	গণছিন,	গণচীন,	
bulichev,	বুলিশেছ,	বুলিচেভ,	
ghoorchen,	ঘররছেন,	ঘুরেছেন,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
brekethru,	ব্রেকেঠরু,	ব্রেকথ্রু,	
protibedokrao,	প্রতিবেদকরাও,	প্রতিবেদকরাও,	
shroddhabihin,	শ্রদ্ধাভিহীন,	শ্রদ্ধাবিহীন,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
apolokbhabe,	অপকলভাবে,	অপলকভাবে,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
sondhisthaponer,	সন্ধিস্থাপনের,	সন্ধিস্থাপনের,	
paramartha,	পরমার্থ,	পরমার্থ,	
eucalyptus,	ইউক্যাল্পটাস,	ইউক্যালিপ্টাস,	
jyaqa,	জ্যাক,	জ্যাক,	
jyesthaa,	জ্যেষ্ঠা,	জ্যেষ্ঠা,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
ramzaner,	রামজনের,	রমযানের,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
uindoos,	উইন্দুস,	উইন্ডোস,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
nazad,	নাজাদ,	নাজাদ,	
musalmanderke,	মুসলমানদেরকে,	মুসলমানদেরকে,	
artherer,	আর্থারের,	আর্থারের,	
oncholshomuh,	অংচলসমূহ,	অঞ্চলসমূহ,	
kantajir,	কন্টাজির,	কান্তজির,	
daktickete,	ডাক্তিকতে,	ডাকটিকিটে,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
ardasho,	আর্দাশো,	আর্দশ,	
nirobota,	নিরোবতা,	নিরবতা,	
prothar,	প্রথার,	প্রথার,	
nimnosakkharkari,	নিম্নসাক্ষরকারী,	নিম্নস্বাক্ষরকারী,	
sportstar,	স্পোর্টস্টার,	স্পোর্টসস্টার,	
gaichhe,	গাইছে,	গাইছে,	
aakabar,	আকাবার,	আকাবার,	
gaziipur,	গাজিপুর,	গাজীপুর,	
ved,	ভেড,	বেদ,	
timoothi,	টিমুথি,	টিমোথি,	
heelser,	হিলসের,	হিলসের,	
engrejer,	এংরেজের,	ইংরেজের,	
mangoleek,	ম্যানগোলিক,	মাঙ্গলিক,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
laps,	ল্যাপস,	ল্যাপস,	
osamarik,	ওসামারিক,	অসামরিক,	
binakar,	বিনাকার,	বিনাকার,	
babare,	বাবারে,	বাবারে,	
venus,	ভেনুস,	ভেনাস,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
sbaajan,	স্বজন,	স্বজন,	
achintyabhedaved,	অচিন্ত্যভেদেবে,	অচিন্ত্যভেদাভেদ,	
toler,	টলার,	তালের,	
madelim,	মাডেলিম,	মডেলিং,	
fiksing,	ফিকসিং,	ফিক্সিং,	
nirvachaker,	নির্ভাচাকের,	নির্বাচকের,	
unchiyechilo,	উঁচিলেছিল,	উঁচিয়েছিল,	
ashor,	আসর,	আসর,	
ashonkai,	আশঙ্কাই,	আশঙ্কাই,	
bujhechhila,	বুঝেছিলা,	বুঝেছিল,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
ahalyar,	আহল্যার,	অহল্যার,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
madaspushto,	মাদসসুষ্ট,	মদদপুষ্ট,	
lampot,	ল্যাম্পট,	লম্পট,	
muradkey,	মুরাডকে,	মুরাদকে,	
koomarir,	কুমারীর,	কুমারীর,	
scholastik,	স্কলাস্তিক,	স্কলাস্টিক,	
kadapaker,	কাড়াপাকের,	কড়াপাকের,	
hights,	হাইটস,	হাইটস,	
alexandar,	আলেক্সান্ডার,	আলেকজান্ডার,	
taranee,	তারান,	তরণী,	
karmazog,	কর্মজগ,	কর্মযোগ,	
tikto,	তিক্ত,	তিক্ত,	
prrajanankaal,	প্রজাানকানাল,	প্রজননকাল,	
bii,	বিআই,	বি,	
baman,	বামান,	বামন,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
sangitanusthane,	সঙ্গীতনুষ্ঠানে,	সঙ্গীতানুষ্ঠানে,	
summer,	সামার,	সামার,	
uposhthit,	উপশ্থিত,	উপস্থিত,	
rokibul,	রোকিবুল,	রকিবুল,	
metrikoleshana,	মেট্রিকোশেছানা,	মেট্রিকোলেশন,	
onucheeder,	অনুচীদের,	অনুচ্ছেদের,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
dong,	ডংং,	ডং,	
moshzidtike,	মশ্িদদিতকে,	মসজিদটিকে,	
silabhara,	সিলাভারা,	সিলভার,	
vabuk,	ভাবুক,	ভাবুক,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
souripurang,	সৌরীপুরং,	সৌরিপুরং,	
chaloke,	চালোকে,	চালকে,	
raiialati,	রাই়ালালিটি,	রয়্যালটি,	
melborrone,	মেলবোর্নে,	মেলবোর্নে,	
siddhantoo,	সিদ্ধান্তু,	সিদ্ধান্তও,	
adhyattikota,	অধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
bisshasyi,	বিশ্বাসই,	বিশ্বাসই,	
korle,	করলে,	করলে,	
kod,	কোড,	কোড,	
samyuktha,	সামুযক্ষ,	সামিউক্তা,	
shamuker,	শামুকের,	শামুকের,	
install,	ইন্্টল,	ইন্সটল,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
onkush,	অঙ্কুষ,	অংকুশ,	
siima,	সিমা,	সীমা,	
iling,	ইলিং,	ইলিং,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
chopal,	চোপাল,	চপল,	
graminphonor,	গ্রামিনপোহনের,	গ্রামীণফোনর,	
bodhir,	বধির,	বধির,	
gronther,	গ্রন্থের,	গ্রন্থের,	
swastir,	স্বস্তির,	স্বস্তির,	
bodhukeo,	বোধুকেও,	বধুকেও,	
kanshat,	কাঁশট,	কানসাট,	
erythrian,	এরিথ্রিয়ান,	এরিথ্রিয়ান,	
monjooshree,	মন্ুষ্রী,	মঞ্জুশ্রী,	
balatarin,	বালাতারিন,	বালাতারিয়ান,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
sangaskritipreme,	সংস্কৃতিপ্রেমে,	সংস্কৃতিপ্রেমে,	
durgatsabe,	দুর্গতসাবে,	দুর্গোৎসবে,	
opohoron,	অপহরণ,	অপহরন,	
beam,	বিইএম,	বিম,	
phiksim,	ফিকসিম,	ফিক্সিং,	
barnis,	বারনিস,	বার্নিশ,	
kiandi,	কিয়ান্দি,	ক্যান্ডি,	
societytey,	সোিটিই়ে,	সোসাইটিতে,	
sadeep,	সাদিপ,	সদীপ,	
emarjensi,	এমরজেন্সি,	এমার্জেন্সি,	
porishongkhanbid,	পরিষংখাযানিড,	পরিসংখ্যানবিদ,	
taffsherer,	তাফশারের,	তাফসীরের,	
teta,	টেট,	টেটা,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
elaakaate,	এলাকাটে,	এলাকাতে,	
taholo,	তাহলো,	তাহলো,	
habathu,	হাবাথু,	হাবাথু,	
anandamahale,	আনন্দমহলে,	আনন্দমহলে,	
hakone,	হাকনে,	হাকোনে,	
maradeha,	মারেহা,	মরদেহ,	
teter,	টেটের,	টেটের,	
byatikrami,	ব্যতিক্রমী,	ব্যতিক্রমী,	
maudelgulo,	মাউদেলগুলো,	মডেলগুলো,	
transhapharma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
subader,	সুবাদের,	সুবাদে,	
indro,	ইন্দ্রো,	ইন্দ্র,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
marmaraa,	মারমারা,	মারমারা,	
mitroder,	মিত্রদের,	মিত্রদের,	
bipti,	বিপ্তি,	বিপ্তি,	
kinto,	কিন্টো,	কিনত,	
dijmarescu,	ডিজরামেক্সু,	দিজমার্সাকু,	
mononiitoder,	মনোনীতদের,	মনোনীতদের,	
poddhotitei,	পদ্ধটিতেই,	পদ্ধতিতেই,	
bifol,	বিফল,	বিফল,	
zubokder,	যুবকদের,	যুবকদের,	
somratra,	সম্রাত্র,	সম্রাটরা,	
bondi,	বন্ডী,	বন্দী,	
starker,	স্টারকের,	স্টার্কের,	
kaansaat,	কানসাত,	কানসাট,	
tarunra,	তরুণরা,	তরুণরা,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
kholdhular,	খোলধুলার,	খোলধূলার,	
aabarte,	আবর্তে,	আবর্তে,	
aakkaash,	আক্কাশ,	আককাস,	
unitgulo,	ইউনিটগুলো,	ইউনিটগুলো,	
conflikt,	কনফ্লিকট,	কনফ্লিক্ট,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
homeser,	হোমসের,	হোমসের,	
osamanno,	ওসামান্য,	অসামান্য,	
udvabani,	উদ্ভাবাণী,	উদ্ভাবনী,	
cheento,	চিনতো,	চিনতো,	
parikhar,	পরিখর,	পরিখার,	
sedikei,	সেদিকেই,	সেদিকেই,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
scholarsip,	স্কলারসিপ,	স্কলারশিপ,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
dakshinangsho,	দক্ষিণাংস,	দক্ষিণাংশ,	
uter,	উউটের,	উটের,	
ernad,	এরনাদ,	এরনাড,	
riphleksa,	রিফলকেসা,	রিফ্লেক্স,	
hul,	হুল,	হুল,	
bethikata,	বেথিকাটা,	বেঠিকতা,	
ministara,	মিনিস্টার,	মিনিস্টার,	
hizriite,	হিজরিতে,	হিজরীতে,	
hert,	হার্ট,	হার্ট,	
sharifpur,	শরীফপুর,	শরিফপুর,	
qredita,	ক্রেডিটা,	ক্রেডিট,	
onchalgulir,	অংচল্লুলির,	অঞ্চলগুলির,	
heawy,	হেউভি,	হেভি,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
peeth,	পিথ,	পীঠ,	
nabyata,	নব্যতা,	নাব্যতা,	
rahee,	রহহি,	রাহি,	
utotoro,	উততর,	উততর,	
dologuloo,	দলগুলো,	দলগুলোও,	
alsaar,	আলসার,	আলসার,	
eokee,	ইওকি,	এওকি,	
kruser,	ক্রুসের,	ক্রুশের,	
oichchheek,	ঐচ্চিক,	ঐচ্ছিক,	
oitijhyotike,	ঐতিহ্যটিকে,	ঐতিহ্যটিকে,	
nutaner,	নুটানের,	নূতনের,	
bishashke,	বিষাশকে,	বিশ্বাসকে,	
khanonkaj,	খননকাজ,	খননকাজ,	
samajikatar,	সমাজিকাতার,	সামাজিকতার,	
nek,	নেক,	নেক,	
euqalyptus,	ইউক্লাপটাস,	ইউক্যালিপ্টাস,	
shem,	শেম,	সেম,	
patigoniter,	পাটিগণিতের,	পাটিগণিতের,	
dienes,	ডায়েন্স,	ডিএনএস,	
rohasyer,	রহস্যের,	রহস্যের,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
liedtke,	লিয়েডটেকে,	লইডটক,	
gara,	গারা,	গোর,	
arekdol,	আরেকদল,	আরেকদল,	
bojhaao,	বোঝাও,	বোঝাও,	
megacaldera,	মেগাকালাদেরা,	মেগাক্যাল্ডেরা,	
tricksguli,	ট্রিকস্যুলি,	ট্রিকসগুলি,	
heavy,	হেভি,	হেভি,	
shuri,	শুরী,	সুরি,	
groth,	গ্রোথ,	গ্রোথ,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
abhiyojan,	অভিযয়ন,	অভিযোজন,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
samajeek,	সমাজীক,	সামাজিক,	
kyatagorir,	ক্যাটাগরির,	ক্যাটাগরির,	
elakaai,	এলাকাই,	এলাকাই,	
jamseder,	জ্যামসেডের,	জামসেদের,	
times,	টাইমস,	টাইমস্,	
mojdur,	মজদুর,	মজদুর,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
maudelti,	মাউদেলটি,	মডেলটি,	
remacri,	রিম্যাক্রি,	রেমাক্রী,	
chomski,	চম্সকি,	চমস্কি,	
wedanta,	ওয়াদান্ত,	বেদান্ত,	
dheke,	ধেকে,	ঢেকে,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
touraat,	তৌরাত,	তওরাত,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
chapal,	চাপাল,	চপল,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
pyaleshtainer,	প্যালেস্টেশনের,	প্যালেস্টাইনের,	
saifullahil,	সাইফুল্লাহিল,	সাইফুল্লাহিল,	
juboke,	যুবকে,	যুবকে,	
toptoshele,	তপ্তশেলে,	তপ্তশেলে,	
whole,	ভহলে,	হোল,	
emerjency,	এমার্জেন্সি,	এমার্জেন্সি,	
dhamshrenite,	ধামশ্রেণীতে,	ধামশ্রেণীতে,	
pleta,	প্লেটা,	প্লেটো,	
marry,	মারি,	ম্যারি,	
mastarsa,	মস্তরসা,	মাস্টার্স,	
jamanataswarup,	জামনতাস্বরূপ,	জামানতস্বরূপ,	
bachhaikrito,	বাছাইকৃত,	বাছাইকৃত,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
kalirkhal,	কালিরখাল,	কালিরখাল,	
hunine,	হুনিনে,	হুনাইন,	
kaia,	কাইয়া,	কায়া,	
monzushree,	মন্ুইশ্রী,	মঞ্জুশ্রী,	
breakthrough,	ব্রেক্ষুর্থ,	ব্রেকথ্রু,	
jakso,	জাকসো,	যক্ষ,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
porjotoker,	পর্যটকের,	পর্যটকের,	
edipass,	এডিপাস,	ইডিপাস,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
mookhomandoler,	মুখামণ্ডলের,	মুখমণ্ডলের,	
turisht,	ট্রিশ্ট,	টুরিস্ট,	
kormyi,	কর্মই,	কর্মই,	
mashtarsha,	মাষ্টার্স,	মাস্টার্স,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
dayitta,	দায়িত্ত,	দায়িত্ব,	
maarmaader,	মারমাদের,	মারমাদের,	
pettern,	পেটার্ন,	প্যাটার্ন,	
saom,	সিওম,	সাওম,	
kusumeshu,	কুসুমেশু,	কুসুমেষু,	
parqa,	পারকা,	পার্ক,	
abhidhaaner,	অভিধানের,	অভিধানের,	
taigara,	টাইগারা,	টাইগার,	
steena,	স্টিনা,	স্টেন,	
dacope,	ডাকোপ,	দাকোপ,	
moorali,	মুরালি,	মুরলী,	
shahoshikatar,	শাহসিকাতার,	সাহসিকতার,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
dubureer,	ডুবুরির,	ডুবুরির,	
progresh,	প্রগ্রেশ,	প্রগ্রেস,	
saalsa,	সালসা,	সালসা,	
upobasee,	উপবাসী,	উপবাসী,	
cholochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
khaaneker,	খানেকের,	খানেকের,	
chalake,	চালাকে,	চালকে,	
enamela,	এনামেলা,	এনামেল,	
gazetted,	গ্যাজেটেড,	গেজেটেড,	
mette,	মেট্টে,	ম্যাট,	
vince,	ভিন্স,	ভিন্স,	
sthapanagulor,	স্থাপানাগুলোর,	স্থাপনাগুলোর,	
dobhaar,	দোভার,	ডোভার,	
ajeem,	আজিম,	আজিম,	
mookhomaundoler,	মুখামুল্নদের,	মুখমণ্ডলের,	
masjidsaha,	মসজিদসহ,	মসজিদসহ,	
asbab,	আসবাব,	আসবাব,	
tukrote,	টুকরতে,	টুকরোতে,	
phakay,	ফাকায়,	ফাকে,	
gaichey,	গাইছে,	গাইছে,	
jakatke,	জাকাতকে,	যাকাতকে,	
inziniyarsa,	ইঞ্জিনিয়ারস,	ইঞ্জিনিয়ার্স,	
bondiira,	বন্দিরার,	বন্দীরা,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
odeb,	ওডেব,	ওদেব,	
sobche,	সব্চে,	সবচে,	
bm,	বিএম,	বিএম,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
shringa,	শ্রিংগা,	শৃঙ্গ,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
taufik,	তাফিক,	তৌফিক,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
salchak,	সালচক,	সালচাক,	
plasse,	প্লাস,	প্লাসে,	
potka,	পটকা,	পটকা,	
codee,	কোড,	কোডে,	
joki,	জকি,	জকি,	
batikromshalee,	বাটিক্রমশালী,	ব্যতিক্রমধর্মী,	
uthaney,	উঠানে,	উঠানে,	
armshtrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
nisshongotake,	নিঃশংপতাকে,	নিঃসঙ্গতাকে,	
tasminer,	তাসমিনের,	তাসমিনের,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
middleton,	মিডলটন,	মিডলটন,	
ghatiti,	ঘাটিটি,	ঘাঁটিটি,	
prakar,	প্রকার,	প্রকার,	
dephinishion,	ডেফিশনশন,	ডেফিনেশন,	
torunra,	তরুনরা,	তরুণরা,	
barder,	বার্ডার,	বার্ডের,	
pragreesa,	প্রজ্রীসা,	প্রগ্রেস,	
bo,	বো,	বু,	
bhogno,	ভগ্ন,	ভগ্ন,	
giitikobitar,	গীতিটিকবাটার,	গীতিকবিতার,	
daebug,	দ্যাবুগ,	ডিবাগ,	
prijon,	প্রিজন,	প্রিজন,	
gazeetteed,	গাজীতদ,	গেজেটেড,	
eura,	ইউরা,	ইউরো,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
emargency,	এমারজেন্সী,	এমার্জেন্সি,	
disni,	ডিসনি,	ডিজনী,	
billaho,	বিল্লাহ,	বিল্লাহ,	
ekroop,	একরূপ,	একরূপ,	
liaodong,	লিয়াজোডং,	লিয়াওদং,	
pare,	পায়ার,	পাড়ে,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
akheli,	আখেলি,	আখেলী,	
godabari,	গোদাবারী,	গোদাবরী,	
gandagol,	গন্ডাগোল,	গন্ডগোল,	
munsi,	মুন্সি,	মুন্সী,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
hitlere,	হিটলারে,	হিটলারে,	
chakurijibirao,	চাকুরিজীবিরাও,	চাকুরীজীবীরাও,	
samratder,	সামরাতদের,	সম্রাটদের,	
nichupattir,	নিচুপত্তির,	নিচুপট্টির,	
devolapar,	দেবোলাপার,	ডেভলপার,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
nodnodeer,	নদন্দীর,	নদনদীর,	
shiropar,	শিরোপার,	শিরোপার,	
krom,	কোরম,	ক্রম,	
tookrote,	টুক্রতে,	টুকরোতে,	
cooda,	কোডা,	কোডা,	
asaciates,	অ্যাসাসিয়েটস,	এসোসিয়েটস,	
shotodha,	শতধা,	শতধা,	
shansthaner,	শান্্্থনের,	সংস্থানের,	
bamon,	বামোন,	বামন,	
serup,	সেরুপ,	সেরূপ,	
deil,	দিল,	ডেইল,	
kirti,	কীর্তি,	কীর্তি,	
dormitory,	ডরমিটরি,	ডরমিটরি,	
rajnikant,	রাজনীকান্ত,	রাজনীকান্ত,	
govindarajan,	গোবিন্দরাজন,	গোবিন্দরাজন,	
porizoner,	পরিজনের,	পরিজনের,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
utsahi,	উৎসাহি,	উৎসাহী,	
glanio,	গ্লানিও,	গ্লানিও,	
dharavahikbhabe,	ধারাভাহিকভাবে,	ধারাবাহিকভাবে,	
pretti,	প্রেট্টি,	প্রিটি,	
jeelyaand,	জিলিয়ান্দ,	জিল্যান্ড,	
chowdhuryke,	চৌধুর্কে,	চৌধুরীকে,	
nikela,	নিকেলা,	নিকেল,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
arifin,	আরিফিন,	আরিফিন,	
orgho,	অর্ঘ,	অর্ঘ্য,	
jitpur,	জিতপুর,	জিতপুরের,	
borendroke,	বরেন্দ্রকে,	বরেন্দ্রকে,	
taateo,	টাতেও,	তাতেও,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
kharavel,	খারাভেল,	খারবেল,	
emiratas,	এমিরাতাস,	এমিরেটাস,	
upbasher,	উপবাশের,	উপবাসের,	
gemske,	জেমস্কে,	জেমসকে,	
gasthi,	গাস্থি,	গোষ্ঠী,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
bosantake,	বসন্তকে,	বসন্তকে,	
sangkoolan,	সাংকুলান,	সংকুলান,	
chatrorai,	চাত্ররাই,	ছাত্ররাই,	
saamaanya,	সামান্যা,	সামান্য,	
pretty,	প্রেটটি,	প্রিটি,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
utsahamulak,	উৎসাহমূলক,	উৎসাহমূলক,	
lutheerana,	লুথিরানা,	লুথেরান,	
poripake,	পরিপাকে,	পরিপাকে,	
aizulke,	আইজুলকে,	আইজুলকে,	
masjidti,	মাসজিদটি,	মসজিদটি,	
kayech,	কয়েছ,	কায়েছ,	
degree,	ডিগ্রি,	ডিগ্রি,	
kaande,	কান্ডে,	কাণ্ডে,	
aarik,	আরিক,	আরিক,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
dubaate,	ডুবাতে,	ডুবাতে,	
boner,	বনের,	বনের,	
antarbhutto,	অন্তর্ভুত্ত,	অন্তর্ভুক্ত,	
manir,	মানির,	মনির,	
mosjidsoho,	মসজিদ্বসহ,	মসজিদসহ,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
rohosyo,	রহস্য,	রহস্য,	
minister,	মিনিস্টের,	মিনিস্টার,	
zesa,	জেসা,	জেস,	
torkarir,	তর্কারীর,	তরকারীর,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
mulvitti,	মুলভিট্তি,	মূলভিত্তি,	
dakten,	ডাকতেন,	ডাকতেন,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
horeepur,	হরিপুর,	হরিপুর,	
dibya,	দিব্যা,	দিব্যা,	
postac,	পোস্টাক,	পোস্টকে,	
bhimsen,	ভীমসেন,	ভীমসেন,	
duburir,	ডুবুরির,	ডুবুরির,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
madhumati,	মধুমতি,	মধুমতী,	
parisankhanvid,	পরিসংখ্যান্বিদ,	পরিসংখ্যানবিদ,	
foxcon,	ফক্সকন,	ফক্সকন,	
dembakreeti,	দেম্বাকৃতি,	ডিম্বাকৃতি,	
maadla,	মাদা,	মাদলা,	
chhanada,	ছানাদা,	ছানাদা,	
bhupal,	ভুপাল,	ভূপাল,	
arsie,	আরসি,	আরসিএ,	
jaandrel,	যাঁদ্রেল,	জাঁদরেল,	
booksar,	বুকসার,	বুক্সার,	
oncholke,	অঁচলকে,	অঞ্চলকে,	
upobaashee,	উপবাশী,	উপবাসী,	
gandhiir,	গান্ধির,	গান্ধীর,	
orbeet,	অরবিত,	অরবিট,	
monur,	মনুর,	মনুর,	
hypar,	হাইপার,	হাইপার,	
towraat,	টোর়ারত,	তওরাত,	
orunima,	ওরুনিমা,	অরুণিমা,	
residensa,	রেসিডেনসসা,	রেসিডেন্স,	
pradoshik,	প্রাদোশিক,	প্রাদশিক,	
naraphoka,	নারাখোকা,	নরফোক,	
fatakesto,	ফাতাকেস্তো,	ফাটাকেষ্ট,	
shamijir,	শামীজীর,	স্বামীজীর,	
ajij,	আজিজ,	আজিজ,	
query,	কোয়েরী,	কোয়েরি,	
