pragreesa,	প্রোগ্রীসা,	প্রগ্রেস,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
veniser,	ভেনিসের,	ভেনিসের,	
fibergulote,	ফাইবারগুলোতে,	ফাইবারগুলোতে,	
ganosochetonota,	গণসচেতনতা,	গণসচেতনতা,	
seekkhokbrindo,	সীক্ষকবৃন্দ,	শিক্ষকবৃন্দ,	
doltyagi,	দল্ত্যগী,	দলত্যাগী,	
ship,	শিপ,	শিপ,	
engreziteo,	এংরেজিতেও,	ইংরেজিতেও,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
latsaheb,	লাৎসাহেব,	লাটসাহেব,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
elaakaa,	এলাকা,	এলাকা,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
harishankar,	হরিশঙ্করের,	হরিশংকর,	
hijritey,	হিজরিতে,	হিজরীতে,	
shalook,	শালুক,	শালুক,	
chenza,	চেঞ্জা,	চেঞ্জ,	
bishwaashshke,	বিশ্বশ্্কে,	বিশ্বাসকে,	
lekhaksattwar,	লেখকসত্বত্বর,	লেখকসত্ত্বার,	
bisshasyi,	বিশ্বস্যি,	বিশ্বাসই,	
bizito,	বিজিত,	বিজিত,	
mohajot,	মহাজত,	মহাজোট,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
engrezder,	এংগেরজদের,	ইংরেজদের,	
bhuushito,	ভূষিত,	ভূষিত,	
abhijitda,	অভিজিতদা,	অভিজিতদা,	
muradkey,	মুরাদকে,	মুরাদকে,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
becha,	বেচা,	বেচা,	
monur,	মনুর,	মনুর,	
prakare,	প্রকারে,	প্রকারে,	
bosontokke,	বসন্তককে,	বসন্তকে,	
akkelpure,	আক্কেলপুরে,	আক্কেলপুরে,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
erythrian,	এরিথ্রিয়ান,	এরিথ্রিয়ান,	
koordira,	কোর্দিরার,	কুর্দিরা,	
polashir,	পোলাশির,	পলাশীর,	
dhormokorme,	ধর্মকর্মে,	ধর্মকর্মে,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
karadandey,	কররাদন্দে,	কারাদণ্ডে,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
bee,	বী,	বি,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
masjidke,	মাসজীদকে,	মসজিদকে,	
capshule,	ক্যাপশুলে,	ক্যাপসুল,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
bipti,	বিপ্তি,	বিপ্তি,	
phiksim,	ফিকসিং,	ফিক্সিং,	
rajashri,	রাজশ্রী,	রাজশ্রী,	
dhache,	ধাচে,	ধাঁচে,	
amontronkarider,	আমন্তরনকারীদের,	আমন্ত্রণকারীদের,	
kirke,	কিরকে,	কিরকে,	
seo,	সেই,	সেও,	
transapharma,	ট্রান্সফার্মা,	ট্রান্সফর্ম,	
supparak,	সুপ্রারক,	সুপ্পারক,	
kobulennechha,	কবুলেন্েেছা,	কবুলেন্নেছা,	
aro,	আরো,	আরও,	
baugey,	বাউগে,	বাগে,	
upobasee,	উপবাসী,	উপবাসী,	
kathmandu,	কাঠমণ্ডু,	কাঠমান্ডু,	
chhayi,	ছাই,	ছাই,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
kotibondhe,	কতিবন্ধে,	কটিবন্ধে,	
barder,	বারদের,	বার্ডের,	
install,	ইনস্টল,	ইন্সটল,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
maner,	মানের,	মানে,	
shector,	শেক্টর,	সেক্টর,	
bhadaka,	ভাদাকা,	ভদকা,	
atighataner,	অতিঘাটানের,	অতিঘটনের,	
balokarak,	বালোকরক,	বলকারক,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
laagche,	লাগছে,	লাগছে,	
udyem,	উদ্যেম,	উদ্যেম,	
eekbalke,	ইববালকে,	ইকবালকে,	
ap,	এপিপি,	আপ,	
akar,	আকার,	একার,	
nisshongotake,	নিশ্ংগতকাকে,	নিঃসঙ্গতাকে,	
plaiin,	প্লাইন,	প্লেন,	
bage,	বাগে,	বাগে,	
soomita,	সুমিতা,	সুমিতা,	
stoic,	স্টোইক,	স্টোয়িক,	
aditisaha,	আদিতিসহ,	অদিতিসহ,	
nirikhe,	নিরিখে,	নিরিখ,	
ganakantha,	গণকান্থ,	গণকণ্ঠ,	
afrazuler,	আফরাজুলের,	আফরাজুলের,	
harja,	হারওজা,	হার্জ,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
mitroder,	মিত্রদের,	মিত্রদের,	
daaktikit,	ডাক্কিটি,	ডাকটিকিট,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
ase,	এসেইএ,	আসে,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
lambi,	লমম্বি,	লম্বি,	
peethey,	পিথে,	পীঠে,	
waal,	ওয়াল,	উল,	
scholastik,	স্কলাস্তিক,	স্কলাস্টিক,	
somraatder,	সম্রাটদের,	সম্রাটদের,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
heelser,	হেলসের,	হিলসের,	
elakatay,	এলাকাটায়,	এলাকাতে,	
bibadey,	বিবাদে,	বিবাদে,	
oswasteekor,	সস্বাস্তিকর,	অস্বস্তিকর,	
gandhiir,	গানধধির,	গান্ধীর,	
vange,	ভাঙ্গে,	ভাঙ্গে,	
dhhaabi,	ঢাবী,	ঢাবি,	
venuser,	ভেনুসের,	ভেনাসের,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
brojomohun,	ব্রজমোহন,	ব্রোজোমোহন,	
eoki,	ইওকি,	এওকি,	
rohasyer,	রোহস্যের,	রহস্যের,	
bbiswashke,	বিবিষ্বাসকে,	বিশ্বাসকে,	
abanishankar,	অবনিষণকর,	অবনিশংকর,	
dajjha,	দাঝঝা,	দাহ্য,	
prapokkey,	প্রাপকক্যে,	প্রাপককে,	
marathi,	মারাঠি,	মরাঠি,	
ruby,	রুবি,	রুবী,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
shahoshikatar,	শহশিকতার,	সাহসিকতার,	
fastara,	ফাস্তারা,	ফস্টার,	
madhobi,	মাধবী,	মাধবী,	
premoronge,	প্রেমরঙ্গে,	প্রেমরঙে,	
logic,	লজিক,	লজিক,	
somraat,	সমরাত,	সম্রাট,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
deebug,	দীবুগ,	ডিবাগ,	
chalaabi,	চালাবি,	চালাবে,	
dolphiny,	ডলফিনি,	ডলফিনি,	
arashie,	আরাশী,	আরসিএ,	
sangitanusthane,	সঙ্গীতানুষ্ঠানে,	সঙ্গীতানুষ্ঠানে,	
tarunra,	তরুণরা,	তরুণরা,	
vetrillocuism,	ভেট্রিলুকোিস,	ভেট্রিলোকুইজম,	
laishenshim,	লেইসেনশিম,	লাইসেন্সিং,	
rotheen,	রথিন,	রথীন,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
said,	সাইদ,	সাইদ,	
mahafezkhanar,	মহাফেঝখানার,	মহাফেজখানার,	
raiialati,	রাওয়ালাটি,	রয়্যালটি,	
baibasthaar,	বৈবস্থার,	ব্যবস্থার,	
sexperter,	সেক্সপারটার,	সেক্সপার্টের,	
elaakati,	এলাকাটি,	এলাকাটি,	
rohasyati,	রোহস্যাটি,	রহস্যটি,	
path,	প্যাথ,	পাথ,	
irish,	ইরিশ,	আইরিস,	
bidyadanke,	বিদ্যাদানকে,	বিদ্যাদানকে,	
ashamarthita,	অশমার্থিত,	অসমর্থিত,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
quartar,	কোয়ার্টারের,	কোয়ার্টার,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
rakkhandurga,	রক্ষণদূর্গ,	রক্ষণদুর্গ,	
tookror,	তুকরর,	টুকরোর,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
sontoshpur,	সন্তোষপুর,	সন্তোষপুর,	
akpashe,	আকপাশে,	একপাশে,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
utsahamulak,	উৎ্াহমূলক,	উৎসাহমূলক,	
choudhursoho,	চৌধুরসহ,	চৌধুরসহ,	
prothakey,	প্রথাকে,	প্রথাকে,	
feemalee,	ফিমালি,	ফিমেল,	
turbine,	টার্বইন,	টারবাইন,	
naabyota,	নব্যতা,	নাব্যতা,	
bonorajite,	বনরাজিতে,	বনরাজিতে,	
dharmee,	ধর্মী,	ধর্মী,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
madhabi,	মাধবী,	মাধবী,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
bosantake,	বসন্তাকে,	বসন্তকে,	
chrystal,	ক্রিস্টাল,	ক্রাইস্টাল,	
sweety,	স্বিতি,	সুইটি,	
rajbandi,	রাজবন্দি,	রাজবন্দী,	
muktijuddhojato,	মুক্তিযুদ্ধতু,	মুক্তিযুদ্ধজাত,	
hingsar,	হিংসার,	হিংসার,	
deraa,	দীরা,	ডেরা,	
turkamena,	তুর্কমেনা,	তুর্কমেন,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
vittio,	ভিত্তিও,	ভিত্তিও,	
janosamaj,	জনসমাজ,	জনসমাজ,	
esasiyetasa,	এসএসিয়েটাস,	এসোসিয়েটস,	
nathivookto,	নাথিভক্ত,	নথিভুক্ত,	
carlosh,	কার্লোল,	কার্লোস,	
corymb,	করিম্ব,	করিম,	
karuna,	করুনা,	করুণা,	
video,	ভিদেও,	ভিডিয়োও,	
jahangirbad,	জাহাঙ্গীরবাদ,	জাহাঙ্গীরবাদ,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
mawdeel,	মাউডিল,	মডেল,	
chilona,	চিলনা,	ছিলনা,	
chittronatyokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
onupater,	অনুপাতের,	অনুপাতের,	
taufiq,	তাফিক,	তৌফিক,	
doula,	দৌলা,	দৌলা,	
arg,	আর্গ,	আর্গ,	
gudamjat,	গুদ্জমত,	গুদামজাত,	
sahajlabhbhotar,	সহজ্ললভ্বতার,	সহজলভ্যতার,	
vezano,	ভেজানো,	ভেজানো,	
eshiyetika,	এশিএেটিকা,	এশিয়াটিক,	
pleto,	প্লেটো,	প্লেটো,	
shardotsobei,	শার্দতসবেই,	শারদোৎসবেই,	
hazat,	হাজাত,	হজত,	
mitrer,	মিত্রের,	মিত্রের,	
kosambir,	কোসাম্বীর,	কোসাম্বীর,	
yathaarthabhaabe,	যথথ্রথথভাবে,	যথার্থভাবে,	
annimated,	অ্যানিমেটাড,	এনিমেটেড,	
hizrite,	হিজরিতে,	হিজরীতে,	
nabayug,	নবয়ুগু,	নবযুগ,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
johor,	জহর,	জহর,	
fostar,	ফোস্টার,	ফস্টার,	
kyatagorir,	ক্যাটাগরির,	ক্যাটাগরির,	
shommotir,	সম্মটির,	সম্মতির,	
chalachchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
monroe,	মনরো,	মনেরোর,	
soolke,	সুলকে,	শুল্কে,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
mangolic,	ম্যাঙগলিক,	মাঙ্গলিক,	
firoze,	ফিরোজে,	ফিরোজ,	
norpholk,	নরফলক,	নরফোক,	
akhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
shipley,	শিপলি,	শিপলে,	
eesosiyeetasa,	ইসসিয়েতিসা,	এসোসিয়েটস,	
gujab,	গুজবব,	গুজব,	
vabaponno,	ভবপান্ন,	ভাবাপন্ন,	
hepatitis,	হেপাটাটাটিস,	হেপাটাইটিস,	
tiunara,	তিউনারা,	টিউনার,	
ganonanatto,	গণনানত্ত,	গণনাট্য,	
shektore,	সেকতরে,	সেক্টরে,	
parqim,	পারকিম,	পার্কিং,	
minishtarer,	মিনিস্তারের,	মিনিস্টারের,	
rahimed,	রহিমেদ,	রহিমেদ,	
torabgonj,	তোরাবগঞ্জ,	তোরাবগঞ্জ,	
prachirer,	প্রাচীরের,	প্রাচিরের,	
armshtronj,	আর্মস্ট্রঞ্জ,	আর্মস্ট্রং,	
bujhechhila,	বুঝেছিলা,	বুঝেছিল,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
shajano,	শাজানো,	সাজানো,	
mumtaz,	মুমতাজ,	মুমতাজ,	
ipl,	আইপিএল,	আইপিএল,	
bodhirota,	বোধিরতা,	বধিরতা,	
uthe,	উঠে,	উঠে,	
mase,	মাসে,	মাসে,	
tata,	তাতা,	তাতা,	
beila,	বেইলা,	বেইলা,	
promodwara,	প্রমোদ্বারা,	প্রমদ্বারা,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
zakharovar,	যাখারোভার,	জাখারোভার,	
qarqa,	কার্কা,	কার্ক,	
shoori,	শূরী,	সুরি,	
sadeep,	সাদীপ,	সদীপ,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
haitasha,	হাইতাশা,	হাইটস,	
jemy,	জেমি,	জেমি,	
mozlis,	মজিিস,	মজলিশ,	
rachanakal,	রচনাকাল,	রচনাকাল,	
suparahiro,	সুপারাহিরও,	সুপারহিরো,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
chal,	চাল,	চাল,	
karmasampadon,	কর্মসম্পাদন,	কর্মসম্পাদন,	
nabbata,	নব্বতা,	নাব্যতা,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
dolu,	দোলু,	ডলু,	
priseflex,	প্রিইসেলফেক্স,	প্রাইজফ্লেক্স,	
bondi,	বন্দী,	বন্দী,	
iksaprishana,	এক্সপ্রশান,	এক্সপ্রেশন,	
tikto,	তিক্ত,	তিক্ত,	
satarkatar,	সতর্কতার,	সতর্কতার,	
songasthatir,	সংগ্ঠাটির,	সংস্থাটির,	
protiakromonei,	প্রতিয়াক্রমণেই,	প্রতিআক্রমণেই,	
naazee,	নাজে,	নাত্সি,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
klaud,	ক্লাউড,	ক্লাউড,	
ostheesandhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
urey,	উরে,	ইউরি,	
mercedes,	মার্সডেস,	মার্সেডেস,	
mandarbani,	মন্দরবানি,	মন্দারবাণী,	
durgotsabe,	দুর্গোৎসবে,	দুর্গোৎসবে,	
jones,	জোনেস,	জোন্স,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
hosney,	হোসেন,	হোসনে,	
chiroharit,	চিরোহারিত,	চিরহরিৎ,	
jhijhi,	ঝিঝি,	ঝিঝি,	
remakri,	রেমাক্রি,	রেমাক্রী,	
akkhunno,	আক্ষুণ্ন,	অক্ষুণ্ণ,	
pacbar,	পাসবার,	পাঁচবার,	
sikha,	সিখা,	শিখ,	
bhejaano,	ভেজানো,	ভেজানো,	
balakarak,	বালাকরক,	বলকারক,	
abdoone,	আবদুনে,	আবদুন,	
sahab,	সাহাব,	সাহাব,	
samratder,	সম্রাদের,	সম্রাটদের,	
holdim,	হোল্ডিম,	হোল্ডিং,	
parshwer,	পারশ্বের,	পার্শ্বের,	
nibondhocheler,	নিবন্ধভেলের,	নিবন্ধছেলের,	
echhti,	এছতি,	এছটি,	
direqtareta,	ডিরেক্রেটা,	ডিরেক্টরেট,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
kinto,	কিন্তো,	কিনত,	
transformaarer,	ট্রান্সফর্মারের,	ট্রান্সফরমারের,	
shukraanoo,	শুক্রানো,	শুক্রানু,	
kidambi,	কিদাম্বি,	কিদম্বি,	
mag,	ম্যাগ,	এমএজি,	
uthaney,	উঠানে,	উঠানে,	
windows,	উইনডাওস,	উইন্ডোস,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
segulo,	সেগুলো,	সেগুলো,	
bhaandar,	ভান্দার,	ভাণ্ডার,	
tachnach,	তাচনাচ,	তছনছ,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
wilderske,	উইল্ডার্সকে,	উইল্ডার্সকে,	
qaro,	কারো,	কারো,	
footballerra,	ফুটবলাররা,	ফুটবলাররা,	
choshon,	চোষণ,	চোষণ,	
monzooshree,	মঞ্জুররী,	মঞ্জুশ্রী,	
ispredseet,	ইস্প্রোডিসটট,	স্প্রেডশীট,	
alpo,	অল্পো,	অল্প,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
ghamta,	ঘামটা,	ঘোমটা,	
govindarajan,	গোবিন্দরাজন,	গোবিন্দরাজন,	
metropalitana,	মেট্রোপালিটান,	মেট্রোপলিটন,	
prokalpagulo,	প্রকলপপাগুলো,	প্রকল্পগুলো,	
kuresher,	কুরেশের,	কুরেশের,	
ispredsiit,	ইস্প্রোডিসিট,	স্প্রেডশীট,	
arasie,	আরাসী,	আরসিএ,	
plato,	প্ল্যাটো,	প্লেটো,	
armeeniyana,	আর্মীনয়ন,	আর্মেনিয়ান,	
sarbhaarti,	সারভার্তি,	সার্ভারটি,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
weenis,	উইনিস,	ভেনিস,	
colgirl,	কলগার্ল,	কলগার্ল,	
antercticker,	অ্যান্টার্টিকের,	অ্যান্টার্কটিকের,	
karpeter,	কারপেটের,	কার্পেটের,	
chaalaabi,	চালাবী,	চালাবে,	
miraqela,	মিরাকেলা,	মিরাকেল,	
chakradhare,	চক্রধারে,	চক্রধরে,	
parisankhanvid,	পরিসংখান্ষদী,	পরিসংখ্যানবিদ,	
proshtutkarok,	প্রষ্টুতকরাক,	প্রস্তুতকারক,	
kadam,	কাদম,	কদম,	
pray,	প্রয়ে,	প্রায়,	
dipankar,	দিপাঙ্কার,	দিপঙ্কর,	
amanisa,	আমানিসা,	অমানিশা,	
antorvukta,	আন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
machsoho,	মাচসহ,	মাছসহ,	
rushod,	রুষোদ,	রুশদ,	
black,	ব্ল্যাক,	ব্ল্যাক,	
steena,	স্তীনা,	স্টেন,	
prothati,	প্রথাতি,	প্রথাটি,	
jamseder,	জামসেদের,	জামসেদের,	
shit,	শিট,	শীত,	
brittakarey,	বৃত্তককরেে,	বৃত্তাকারে,	
osoborno,	অসবর্ণ,	অসবর্ণ,	
duuma,	দুমা,	দুমা,	
rata,	রাতা,	রত,	
sulfatee,	সুলফতি,	সালফেট,	
khappar,	খাপ্পার,	খপ্পর,	
somabeshti,	সমাবেশ্তি,	সমাবেশটি,	
disni,	ডিসনি,	ডিজনী,	
yukeliptash,	যুলুলিক্পসা,	ইউক্যালিপ্টাস,	
daap,	ডাপ,	ড্যাপ,	
ashiatic,	আশিয়াটিক,	এশিয়াটিক,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
kommandar,	কোম্নাদর,	কমাণ্ডার,	
ghumachchila,	ঘুমাচ্ছিলা,	ঘুমাচ্ছিল,	
nodimatrik,	নদিমাত্রিক,	নদীমাতৃক,	
torunra,	তরুণরা,	তরুণরা,	
krisenta,	ক্রিসেন্টা,	ক্রিসেন্ট,	
cholchhe,	চলছে,	চলছে,	
monzushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
jolrong,	জলরং,	জলরঙ,	
uzobekeestaan,	উজোবেকসিত্তান,	উজবেকিস্তান,	
lirikti,	লিরিকটি,	লিরিকটি,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
bopoon,	বপূন,	বপন,	
bowie,	বোউয়ে,	বওই,	
chomski,	চমস্কি,	চমস্কি,	
bahubar,	বাহুবার,	বহুবার,	
siddhantoke,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
bhimsen,	ভীমসেন,	ভীমসেন,	
arke,	আর্কে,	আরকে,	
sanghatakder,	সংঘাটকদের,	সংঘটকদের,	
nazad,	নাজাদ,	নজদ,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
porishongkhanbid,	পরিশঙ্খনবাদিির,	পরিসংখ্যানবিদ,	
mach,	মাচ,	মাছ,	
telakucha,	তেলাকুচা,	তেলাকুচা,	
ralf,	রেল্ফ,	রালফ,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
zaire,	জায়ের,	জাইরে,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
spenser,	স্পেন্সের,	স্পেন্সার,	
byaktikegreptar,	ব্যক্তিকুগ্রেপ্তর,	ব্যক্তিকেগ্রেপ্তার,	
jathartho,	যথার্থ,	যথার্থ,	
thandabhabe,	ঠান্ডাভাবে,	ঠাণ্ডাভাবে,	
bo,	বোবো,	বু,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
shilbar,	শিলবার,	সিলভার,	
cxt,	সিসসসিটি,	সিএক্সটি,	
ganosachetanata,	গনসচেতনতা,	গণসচেতনতা,	
battery,	ব্যাটারি,	ব্যাটারী,	
soundarja,	সৌন্দর্যা,	সৌর্ন্দয্য,	
basakey,	বাসাকে,	বাসাকে,	
utpotti,	উৎপত্তি,	উতপত্তি,	
patigoniter,	পাতিগণিতের,	পাটিগণিতের,	
boshoborti,	বশবর্তী,	বশবর্তী,	
bandhan,	বাঁধান,	বাঁধন,	
nathivukteer,	নাথিভুক্তির,	নথিভুক্তির,	
bitlaser,	বিটলাসের,	বিটলসের,	
desiseyer,	ডেসিসিয়ের,	ডিজিজের,	
swadhinotatukui,	স্বাধীনতাটুকুই,	স্বাধীনতাটুকুই,	
gamdan,	গামদান,	গামদান,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
bayshorkarikarone,	বায়শেরকারীকরণে,	বেসরকারিকরণ,	
besirbhaagi,	বেসিরভাগী,	বেশিরভাগই,	
prosadhaner,	প্রসাধনের,	প্রসাধনের,	
rushad,	রুশাদ,	রুশদ,	
jonmobhumitir,	জন্মভূমির,	জন্মভূমিটির,	
naobihar,	নওবিহার,	নৌবিহার,	
nirmankaaj,	নির্মানকাজ,	নির্মাণকাজ,	
jens,	জেন্স,	জিন্স,	
batistambhatike,	বাটিস্তমভভটটিকে,	বাতিস্তম্ভটিকে,	
prottokkhovabe,	প্রত্যক্ষোাবে,	প্রত্যক্ষভাবে,	
moushum,	মৌশুম,	মৌসুম,	
hypar,	হাইপার,	হাইপার,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
monir,	মনির,	মনির,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
lyandim,	ল্যান্ডিম,	ল্যান্ডিং,	
syfy,	সিফি,	সাইফাই,	
vodqa,	ভোডকা,	ভদকা,	
santoshpore,	সান্তোষপরে,	সন্তোষপুর,	
anchalei,	আঞ্চালেই,	অঞ্চলেই,	
sobaiderke,	সবাইদেরকে,	সবাইদেরকে,	
ishton,	ইস্তন,	স্টোন,	
morathee,	মরাঠি,	মরাঠি,	
lettere,	লেটারে,	লেটারে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
shomostigoto,	শমস্তিগত,	সমষ্টিগত,	
lutheerana,	লুথিরানা,	লুথেরান,	
shhikara,	শিকারা,	শিকার,	
hooldim,	হুল্ডিম,	হোল্ডিং,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
bhogno,	ভগ্ন,	ভগ্ন,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
antennal,	অ্যান্টেন্যাল,	অ্যান্টেনাল,	
gloria,	গ্লোরিয়া,	গ্লোরিয়া,	
jinsa,	জিনসা,	জিন্স,	
chirantan,	চিরনন্তন,	চিরন্তন,	
durarohini,	দুরারোহিনী,	দুরারোহিণী,	
debholopar,	দেভোলার,	ডেভলপার,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
niropekshtar,	নিরপেক্ষ্টার,	নিরপেক্ষতার,	
peterke,	পেটারকে,	পিটারকে,	
himsrot,	হিমস্রোট,	হিমস্রোত,	
gaujano,	গাজানো,	গজানো,	
moshjidke,	মশজীদদে,	মসজিদকে,	
dada,	দাদা,	দাদা,	
elakaai,	এলাকাই,	এলাকাই,	
grushko,	গ্রাষ্কো,	গ্রুশকো,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
bhageri,	ভাগেরি,	ভাগেরই,	
qredita,	ক্রেদিতা,	ক্রেডিট,	
ganoporibahon,	গণপরিবাহন,	গণপরিবহন,	
abti,	আবতি,	আবতি,	
ishter,	ইসতের,	ইস্টের,	
ikboler,	ইকবলের,	ইকবলের,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
asantosh,	অসন্তোষ,	অসন্তোষ,	
dhormoprobortokder,	ধর্মপ্রবর্তকদের,	ধর্মপ্রবর্তকদের,	
bbosonto,	ব্ববসন্ত,	বসন্ত,	
chalai,	চালাই,	চালাবে,	
labonaaktotaar,	লবণণক্ততার,	লবণাক্ততার,	
torkareer,	তরকারীর,	তরকারীর,	
kaatbey,	কাটবে,	কাটবে,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
khamotagulor,	ক্ষমতাগুলোর,	ক্ষমতাগুলোর,	
naajii,	নাজিই,	নাত্সি,	
poorohitra,	পুরোহিত্র,	পুরোহিতরা,	
graminphonor,	গ্রামিনফোনর,	গ্রামীণফোনর,	
durgotshob,	দুর্গোৎশব,	দুর্গোৎসব,	
jhanjra,	ঝঞঁজরা,	ঝাঁজরা,	
dhangsantup,	ধ্বংসন্তূপ,	ধ্বংসন্তুপ,	
utsahi,	উৎসাহী,	উৎসাহী,	
hisaber,	হিসাবের,	হিসাবের,	
fongli,	ফোঙ্গলি,	ফংলি,	
dakter,	ডাক্তের,	ডাকতের,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
gyandaas,	জ্ঞানদাস,	জ্ঞানদাস,	
sayatana,	সায়াতন,	শয়তান,	
si,	সিআই,	এসআই,	
sonaicha,	সোনাইচা,	সোনাইচা,	
morodeho,	মরদেহ,	মরদেহ,	
dibya,	দিব্যা,	দিব্যা,	
dembakreeti,	দেম্বাকৃতি,	ডিম্বাকৃতি,	
pronoti,	প্রণতি,	প্রণতি,	
torikher,	তরিখের,	তরিখের,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
gaichey,	গাইছে,	গাইছে,	
internship,	ইন্টারনেশিপ,	ইন্টার্নশিপ,	
sanaktakaran,	সনক্তকরণ,	সনাক্তকরণ,	
donat,	ডোনাত,	ডোনাট,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
ponchasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
kaansaat,	কানসাট,	কানসাট,	
jothon,	যথন,	যথন,	
olympic,	অলিম্পিক,	অলিম্পিক,	
kanasarabhesana,	কানাসরভেশন,	কনসারভেশন,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
chikitshar,	চিকিতশার,	চিকিত্সার,	
shishu,	শিশু,	শিশু,	
eokee,	ইওকি,	এওকি,	
booroon,	বোরুন,	বোরন,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
