cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
khabarsoho,	খাবারসহ,	খাবারসহ,	
huqa,	হুকা,	হুক,	
byomkesh,	ব্যামকেশ,	ব্যোমকেশ,	
madhoori,	মধূরী,	মাধুরী,	
mulyabriddhikale,	মূল্যবৃদ্ধিকালে,	মূল্যবৃদ্ধিকালে,	
sten,	স্টেন,	স্টেন,	
karmake,	কারমেকে,	কর্মকে,	
veemsen,	ভিমসেন,	ভীমসেন,	
koruna,	কোরুনা,	করুণা,	
lebina,	লেবিনা,	লেবিনা,	
deenes,	ডেনেস,	দীনেশ,	
atarkitey,	অতর্কিতে,	অতর্কিতে,	
chitronattakar,	চিত্রনাট্যাকার,	চিত্রনাট্যকার,	
phising,	ফিসিং,	ফিসিং,	
premoronge,	প্রেমরঙ্গে,	প্রেমরঙে,	
patininda,	পাতিন্দা,	পতিনিন্দ,	
impaction,	ইম্প্যাকশন,	ইমপ্যাকশন,	
dhauto,	ধৌত,	ধৌত,	
ronangane,	রোনাঙ্গনে,	রণাঙ্গনে,	
scoore,	স্কোর,	স্কোর,	
shten,	স্টেন,	স্টেন,	
balithubar,	বলিথবার,	বালিথুবার,	
cinematographar,	সিনেমাট্টোগ্রাফার,	সিনেমাটোগ্রাফার,	
caroline,	ক্যারোলাইন,	ক্যরোলিন,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
alumni,	আলুমনি,	অ্যালমনি,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
proboleme,	প্রবলেমে,	প্রবলেমে,	
elaakaati,	এলাকাকি,	এলাকাটি,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
planeti,	প্লানেতি,	প্লেনটি,	
orthobochorke,	অর্থবছরকে,	অর্থবছরকে,	
avetar,	আভেতার,	অবতার,	
eporjonto,	এপরজন্ত,	এপর্যন্ত,	
rajpur,	রাজপুর,	রাজপুর,	
suiti,	সুইটি,	সুইটি,	
marmaraa,	মারমারা,	মারমারা,	
swartho,	স্বার্থ,	স্বার্থ,	
pitiler,	পিতিলের,	পিটিলের,	
zaire,	জায়ের,	জাইরে,	
ekbai,	একবাই,	একবাই,	
foks,	ফক্স,	ফক্স,	
maudelder,	মডডেলদের,	মডেলদের,	
bidyadanke,	বিদ্যাদানকে,	বিদ্যাদানকে,	
prokalpagulo,	প্রকালপগুলো,	প্রকল্পগুলো,	
nanabornobishishto,	নানাবর্ণবিশিষ্ট,	নানাবর্ণবিশিষ্ট,	
riazuddin,	রিয়াজউদ্দিন,	রিয়াজউদ্দীন,	
maley,	মালি,	মালে,	
byaktigotovabeo,	ব্যক্তিগতভাবেও,	ব্যাক্তিগতভাবেও,	
tunaita,	টুনাইটা,	টুনাইট,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
wilderske,	উইলডার্সকে,	উইল্ডার্সকে,	
sohojlovyotar,	সহজলভোভতার,	সহজলভ্যতার,	
shatokeo,	শাটকেও,	শতকেও,	
koota,	কোট,	কোটা,	
obosore,	অবসরে,	অবসরে,	
golimodhye,	গলিমধ্যে,	গলিমধ্যে,	
zarniz,	জার্নিজ,	জারনিজ,	
addata,	আদ্ডাতা,	আড্ডাটা,	
patrol,	পাত্রল,	পেট্রোল,	
turkyder,	টার্কডার,	তুর্কিদের,	
kanshater,	কানশাতের,	কানসাটের,	
amanisha,	আমানিশা,	অমানিশা,	
shektore,	শেক্তরে,	সেক্টরে,	
saqara,	সাকারা,	সকার,	
rajan,	রাজন,	রাজন,	
klaud,	ক্লাড,	ক্লাউড,	
maktum,	মাকতুম,	মাকতুম,	
moomtaj,	মুমতাজ,	মুমতাজ,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
ooipoka,	উউপকা,	উইপোকা,	
manatmulak,	মণতমুলাল,	মানতমূলক,	
mail,	মাইল,	মাইল,	
dhonni,	ধন্নি,	ধন্যি,	
prrajanankaal,	প্রমাণজনকাল,	প্রজননকাল,	
ashamarthita,	আশামার্থিতা,	অসমর্থিত,	
gunje,	গুঞ্জে,	গুঁজে,	
taalaal,	তালাল,	তালাল,	
dormetori,	দরমেতররি,	ডরমিটরি,	
capsule,	ক্যাপসুলে,	ক্যাপ্সুল,	
chorchita,	চর্চিতা,	চর্চিত,	
innahu,	ইনাাহু,	ইন্নাহু,	
madhnagar,	মাধনগর,	মাধনগরের,	
sayanaida,	সায়নদা,	সায়ানাইড,	
laishenshim,	লাইশেনশম,	লাইসেন্সিং,	
aqram,	আকরাম,	আকরাম,	
antercticker,	অ্যান্টারক্টিকের,	অ্যান্টার্কটিকের,	
anchalgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
thechar,	থেচর,	থ্যাচার,	
uter,	ইউটার,	উটের,	
shikara,	শিকারা,	শিকার,	
binee,	বিনী,	বেনি,	
olympic,	অলিম্পিক,	অলিম্পিক,	
chorban,	চোরবান,	চর্বন,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
nisader,	নিসাদের,	নিষাদের,	
mitro,	মিত্রো,	মিত্র,	
jaatti,	যাত্তি,	জাতটি,	
monzeele,	মনজিলে,	মঞ্জিলে,	
jaanar,	যানার,	জানার,	
longhan,	লঙ্ঘন,	লংঘন,	
uthaney,	উঠানে,	উঠানে,	
modele,	মডেলে,	মডেলে,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
jakso,	জাকসো,	যক্ষ,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
jomjamat,	জম্মাাত,	জমজমাট,	
joubanbatee,	যৌবনবাতি,	যৌবনবতী,	
ukeliptash,	উকেলিপ্তাশ,	ইউক্যালিপ্টাস,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
godamjato,	গদামজাত,	গুদামজাত,	
joumana,	জৌমানা,	জুমানা,	
beshyasdone,	বেশ্যাসদনে,	বেশ্যাসদনে,	
swajan,	স্বজন,	স্বজন,	
lutheerana,	লুথিরানা,	লুথেরান,	
ancholsaha,	আঞ্চলসহ,	অঞ্চলসহ,	
nutoner,	নুটনের,	নূতনের,	
antorvukta,	আন্তরভূক্ত,	অন্তর্ভুক্ত,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
bupher,	বাউফার,	বাফার,	
meropenemer,	মেরোপেনের,	মেরোপেনেমের,	
judge,	জুম্গে,	জাজ,	
baipash,	বাইপাশ,	বাইপাস,	
khitkar,	খিটকার,	ক্ষিতকর,	
falak,	ফালাক,	ফলক,	
jackey,	জ্যাকে,	জকি,	
nodnodeer,	নদ্দীর,	নদনদীর,	
madaspushto,	মাদাসপুষ্ট,	মদদপুষ্ট,	
duiekdiner,	দুই়েকদিনের,	দুইএকদিনের,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
digrir,	ডিগ্রির,	ডিগ্রির,	
probeshan,	প্রবেশন,	প্রবেশন,	
graambaashee,	গ্রামবাশী,	গ্রামবাসী,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
safiin,	সাফিন,	সাফিন,	
parqim,	পারকিম,	পার্কিং,	
chargar,	চারগর,	চার্জার,	
ekok,	একক,	একক,	
pustir,	পুস্তির,	পুষ্টির,	
jyesthaa,	জ্যেষ্ঠা,	জ্যেষ্ঠা,	
gaujano,	গৌজানো,	গজানো,	
omeettrakkhor,	অমিত্তাক্ষর,	অমিত্রাক্ষর,	
heerani,	হিরানী,	হিরানি,	
iqbalke,	ইকবালকে,	ইকবালকে,	
labonaktatar,	লবণকাত্তার,	লবণাক্ততার,	
cholochchitraeeo,	চলচ্চিত্রীও,	চলচ্চিত্রেও,	
chomski,	চমস্কি,	চমস্কি,	
bajite,	বাজিতে,	বাজিতে,	
kaley,	কালে,	কালে,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
humira,	হুমিরা,	হুমিরা,	
mookhomaundoler,	মোখোমোন্ডলের,	মুখমণ্ডলের,	
agaldar,	আগলদার,	আগলদার,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
aagera,	আগেরা,	আগোরা,	
atmira,	আত্মিরা,	আত্মীরা,	
hydrological,	হাইড্রোলজিক্যাল,	হাইড্রোলজিক্যাল,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
kayed,	কায়েদ,	কায়েদ,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
groth,	গ্রোথ,	গ্রোথ,	
windows,	উইন্ডওয়াস,	উইন্ডোস,	
aanaan,	আনানান,	আনান,	
borendroke,	বরেন্দ্রকে,	বরেন্দ্রকে,	
uponeeshod,	উপনেশব,	উপনিষদ,	
vabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
graambaaseeo,	গ্রামবাসিও,	গ্রামবাসীও,	
shaahaabiike,	সাহাবিকে,	সাহাবীকে,	
firoze,	ফিরোজে,	ফিরোজ,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
nachar,	নাচার,	নাচার,	
pleta,	প্লেট,	প্লেটো,	
venush,	ভেনুষ,	ভেনাস,	
youth,	যুথ,	ইয়ুথ,	
laesens,	লেইনেস,	লাইসেন্স,	
vaticaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
prokolpoti,	প্রকল্পটি,	প্রকল্পটি,	
boikalyo,	বৈকল্য,	বৈকল্য,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
chouhate,	চৌহাতে,	চৌহাটে,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
mexicoteo,	মেক্সিকোটেও,	মেক্সিকোতেও,	
qredita,	ক্রেদিতা,	ক্রেডিট,	
mirakela,	মিরাকেলা,	মিরাকেল,	
totokhon,	ততখন,	ততক্ষন,	
shommotir,	সম্মতির,	সম্মতির,	
fasir,	ফাসির,	ফাসীর,	
pare,	পরর,	পাড়ে,	
sportstar,	স্পোর্টস্টার,	স্পোর্টসস্টার,	
jins,	জিনস,	জিন্স,	
ragee,	রাগী,	রাগী,	
bhowanipur,	ভৌবানীপুর,	ভবানীপুর,	
seqtara,	সেক্টর,	সেক্টর,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
anichchi,	অনিচ্ছি,	আনিচ্ছি,	
nishad,	নিশদ,	নিষাদ,	
crucer,	ক্রুসের,	ক্রুশের,	
alaoler,	আলালের,	আলাওলের,	
autopromotioner,	অটোপ্রোমশনের,	অটোপ্রমোশনের,	
horiddar,	হরিদ্দার,	হরিদ্বার,	
bibadey,	বিবাদে,	বিবাদে,	
eduardo,	এডুর্য়োডো,	এডুয়ার্দো,	
khalid,	খালিদ,	খালিদ,	
bokul,	বকুল,	বকুল,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
bollov,	বলমো,	বল্লভ,	
proo,	প্রো,	প্রো,	
bidghootey,	বিদঘুতে,	বিদঘুটে,	
kaathhaamaandu,	কথথামন্দু,	কাঠমান্ডু,	
shfingtar,	শ্ফিংটার,	স্ফিংটার,	
phiksim,	ফিকসিম,	ফিক্সিং,	
daakten,	ডাকতেন,	ডাকতেন,	
jyaqasana,	জ্যাকাসন,	জ্যাকসন,	
achintyabhedaved,	অচিন্ত্যভেদবেব,	অচিন্ত্যভেদাভেদ,	
daqop,	ডাকোপ,	দাকোপ,	
maradeha,	মারােহ,	মরদেহ,	
navaratri,	নবরত্রী,	নবরাত্রি,	
drishi,	দৃশি,	দৃশ্যই,	
udor,	উদোর,	উদর,	
durgatsob,	দুর্গাৎসব,	দুর্গোৎসব,	
sumi,	সুমি,	সুমি,	
quota,	কুয়াটা,	কোটা,	
prokolpow,	প্রকল্প্,	প্রকল্পও,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
cocaine,	কোকেনে,	কোকেইন,	
lagche,	লাগছে,	লাগছে,	
karadandey,	কারাদন্দে,	কারাদণ্ডে,	
review,	রিভিউ,	রিভিউও,	
engrejra,	এংরেজরা,	ইংরেজরা,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
kormyi,	কর্মই,	কর্মই,	
jhamala,	ঝামালা,	ঝামালা,	
mumtazer,	মুমতাজের,	মুমতাজের,	
sommoteer,	সম্মটির,	সম্মতির,	
moonshi,	মুনশি,	মুন্সি,	
dokaanei,	দোকানেই,	দোকানেই,	
samaveshke,	সমাাশেকে,	সমাবেশকে,	
porizoner,	পরিজনের,	পরিজনের,	
ishter,	ইস্টার,	ইস্টের,	
dharmadasbabu,	ধর্মদাসবাবু,	ধর্মদাসবাবু,	
prakar,	প্রকার,	প্রকার,	
bulichev,	বুলিছেভ,	বুলিচেভ,	
hijri,	হিজরি,	হিজরী,	
madhukori,	মধুকোরি,	মাধুকরী,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
dovaar,	দোভার,	ডোভার,	
teoner,	টিওনার,	টিওনার,	
utsahi,	উৎসাহি,	উৎসাহী,	
detik,	দেটিক,	দেতিক,	
fimela,	ফিমেলা,	ফিমেল,	
armstronz,	আর্কস্ট্রোজন,	আর্মস্ট্রং,	
vugoley,	ভুগোলে,	ভূগোলে,	
karam,	কারাম,	কেরাম,	
elakatir,	এলাকাটির,	এলাকাটির,	
touraat,	তৌরা,	তওরাত,	
pujito,	পুজিত,	পুজিত,	
stanahenja,	স্তনাহেজ্জা,	স্টোনহেঞ্জ,	
sarbhaarti,	সারভারটি,	সার্ভারটি,	
asociatis,	এসোক্যাটিস,	এসোসিয়েটস,	
bboponer,	ব্ববনের,	বপনের,	
beatleser,	বিটলেসের,	বিটলসের,	
zommu,	জম্মু,	জম্মু,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
bisnoo,	বিষ্ণও,	বিষ্ণু,	
rastagulikeo,	রাস্তাগুলিকেও,	রাস্তাগুলিকেও,	
bikargrasta,	বিকারগ্রাস্তা,	বিকারগ্রস্ত,	
sachetanvabe,	সচেতনভাবে,	সচেতনভাবে,	
makhno,	মাখনো,	মাখনো,	
manab,	মানব,	মানব,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
planey,	প্ল্যানে,	প্লেনে,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
ghatla,	ঘাটলা,	ঘটল,	
fuss,	ফুস্,	ফাস,	
vetrillocuism,	ভেট্রিলললিকোম,	ভেট্রিলোকুইজম,	
swadesh,	স্বদেশ,	স্বদেশ,	
desiseyer,	ডেসিসেয়ার,	ডিজিজের,	
hupile,	হুপিলে,	হুপিলে,	
boudher,	বৌধের,	বৌদ্ধের,	
kathla,	কাথলা,	কাঠলা,	
amiya,	আমিয়া,	অমিয়,	
tep,	টাইপ,	ট্যাপ,	
narsinghomgulor,	নার্সিংহগুলোর,	নার্সিংহোমগুলোর,	
sangkulaan,	সংকুল্ন,	সংকুলান,	
chakrapani,	চক্রপণি,	চক্রপানী,	
juakhelar,	জুয়াখেলার,	জুয়াখেলার,	
niropekshtar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
choukato,	চৌকাতো,	চৌকাত,	
tetela,	তেতেলা,	টাইটেল,	
bodhirota,	বোধিরতা,	বধিরতা,	
chet,	চেত,	চ্যাট,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
shatan,	শাতান,	শয়তান,	
karecho,	কারেছো,	করেছো,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
matt,	ম্যাট,	ম্যাট,	
akten,	আকতেন,	অকটেন,	
bee,	বী,	বি,	
irish,	ইরিশ,	আইরিস,	
mausumer,	মৌসুমের,	মৌসুমের,	
dhhaloor,	ঢালুর,	ঢালুর,	
firozaa,	ফিরোজা,	ফিরোজা,	
saver,	স্যাভার,	সেভার,	
gajetted,	গ্যাজেটেড,	গেজেটেড,	
abhidhaner,	অভিধনের,	অভিধানের,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
nabyata,	নব্যতা,	নাব্যতা,	
reliance,	রিলিয়েন্স,	রিলায়েন্স,	
birishiritey,	বিরিশিরীতে,	বিরিশিরিতে,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
nothiboddho,	নথীবদ্ধ,	নথিবদ্ধ,	
atwabishvashi,	অত্ববিশবাষী,	আত্মবিশ্বাসী,	
morathee,	মোরাথি,	মরাঠি,	
casper,	ক্যাসপার,	ক্যাসপার,	
upbasher,	উপবাশের,	উপবাসের,	
everage,	এভারেজ,	এভারেজ,	
carloos,	কার্লোস,	কার্লোস,	
panchadadu,	পঞ্চদদু,	পঞ্চাদাদু,	
hukar,	হুকার,	হুকার,	
paripakey,	পরিপাকে,	পরিপাকে,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
gajano,	গজনো,	গজানো,	
tahalo,	তাহালো,	তাহলো,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
jibnagore,	জীবনাগরে,	জীবননগর,	
anchalo,	আঞ্চালো,	অঞ্চলও,	
eexpreession,	এক্সপ্রিশন,	এক্সপ্রেশন,	
epiela,	এপিয়াল,	আইপিএল,	
gasthii,	গাস্থিই,	গোষ্ঠীই,	
sangsakti,	সংস্কটি,	সংসক্তি,	
gandagol,	গণ্ডগোল,	গন্ডগোল,	
romnar,	রোমনার,	রমনার,	
chat,	চাত,	চ্যাট,	
dibate,	দিবাতে,	ডিবেট,	
disni,	দিসনি,	ডিজনী,	
duple,	ডুপলে,	ডুপ্লে,	
helloin,	হেলন,	হ্যালোইন,	
gore,	গোর,	গোর,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
jounotar,	যৌনতার,	যৌনতার,	
kings,	কিংস,	কিংস,	
ched,	চেড,	ছেদ,	
kkomandar,	ক্কমন্দর,	কমাণ্ডার,	
icelands,	আইসেল্যান্ডস,	আইসল্যান্ডসহ,	
booksar,	বুক্সার,	বুক্সার,	
kheshar,	খেষার,	খেশার,	
scholarsip,	স্কলারসিপ,	স্কলারশিপ,	
seniar,	সেনিয়ার,	সিনিয়র,	
blasterke,	ব্ল্যাস্টারকে,	ব্লাস্টারকে,	
rakhtokkharone,	রাক্ষতকরণে,	রক্তক্ষরণে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
shoreefpur,	শরীপপুর,	শরিফপুর,	
hosbaleke,	হোসবালেকে,	হোসবালেকে,	
peethey,	পিঠে,	পীঠে,	
asthishondhi,	অস্থিষন্ধী,	অস্থিসন্ধি,	
rodney,	রোডনে,	রেডনি,	
atak,	এতাক,	আটক,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
pacbar,	পাচবার,	পাঁচবার,	
bohudin,	বহুদিন,	বহুদিন,	
chereche,	চেরেছে,	ছেড়েছে,	
ganochin,	গণোচিন,	গণচীন,	
musabbirul,	মুসবববিরুল,	মুসাব্বিরুল,	
bapokotor,	বাপকতর,	ব্যাপকতর,	
wrighter,	হইইটার,	রাইটের,	
sarjur,	সারজুর,	সরযূর,	
comoros,	কমোরোস,	কোমোরোস,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
atighataner,	অতিঘাননের,	অতিঘটনের,	
madhabi,	মাধাবী,	মাধবী,	
daakticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
bahati,	বাহাটি,	বাহাতি,	
kantajir,	কান্াজির,	কান্তজির,	
chrystal,	ক্রিস্টাল,	ক্রাইস্টাল,	
yanqee,	যাঙ্কি,	ইয়াংকি,	
oporishodhito,	অপরিষধিত,	অপরিশোধিত,	
nibirbhabe,	নিবির্ভাবে,	নিবিরভাবে,	
shringa,	শ্রিংগা,	শৃঙ্গ,	
valobase,	ভালোবাসে,	ভালোবাসে,	
roy,	রয়ে,	রায়,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
neelkamal,	নেলকামাল,	নীলকমল,	
pack,	প্ক,	প্ল্যাক,	
harbur,	হারবুর,	হারবার,	
rilayensha,	রিলায়েশন,	রিলায়েন্স,	
dijmarescu,	ডিজমারসেকু,	দিজমার্সাকু,	
braqe,	ব্রেক,	ব্রেক,	
supplenza,	সাপ্লেঞ্জা,	সাপলেঞ্জা,	
bujhechhila,	বুঝেছিলা,	বুঝেছিল,	
atmiyasulabh,	আত্মীয়সুলভ,	আত্মীয়সুলভ,	
soketgulor,	সকেটগুলোর,	সকেটগুলোর,	
bhuushito,	ভুশিত,	ভূষিত,	
mooney,	মুনে,	মুনে,	
farid,	ফরিদ,	ফরিদ,	
pettern,	পেটার্ন,	প্যাটার্ন,	
chhooti,	ছোটি,	ছুটি,	
balatarin,	বালাতারীন,	বালাতারিয়ান,	
ghotolen,	ঘটকেন,	ঘটলেন,	
jamarate,	জামারাতে,	জামারাতে,	
nisshongotake,	নিঃশঙ্গতাকে,	নিঃসঙ্গতাকে,	
ispredseet,	ইসপ্রেডিসেট,	স্প্রেডশীট,	
baire,	বেই়ের,	বাইরে,	
bolbo,	বলবো,	বলবো,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
quartar,	কোয়ারটার,	কোয়ার্টার,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
mahakabi,	মহাকাবী,	মহাকবি,	
nadike,	নাদিকে,	নদীকে,	
calabe,	কালাবে,	চালাবে,	
durgotshob,	দুর্গটবৎ,	দুর্গোৎসব,	
rca,	আইসিএরএ,	আরসিএ,	
vagni,	ভাগ্নি,	ভগ্নী,	
ssahocorze,	সহহকরাজে,	সাহচর্যে,	
laaisensh,	লেইসেনস,	লাইসেন্স,	
hariner,	হরিণের,	হরিণের,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
breel,	ব্রিল,	ব্রিল,	
teemothy,	তীমথটি,	টিমোথি,	
yaak,	যাক,	ইয়াক,	
rushod,	রুশদ,	রুশদ,	
maner,	মানের,	মানে,	
seekkhokbrindo,	শেক্ষকবৃন্দ,	শিক্ষকবৃন্দ,	
bojiye,	বজিয়ে,	বজিয়ে,	
shanno,	শান্নো,	সান্নো,	
hansasya,	হনসসস্য,	হংসস্য,	
beekaargrasta,	বিকারগ্রস্তা,	বিকারগ্রস্ত,	
gardeen,	গার্ডিন,	গার্ডেন,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
gonjona,	গন্জনা,	গঞ্জনা,	
shoori,	শুরি,	সুরি,	
headquartus,	হেডকোর্টাস,	হেডকোয়ার্টাস,	
dewaben,	দেওয়াবেন,	দেওয়াবেন,	
swairacharibirodhi,	স্বৈরাচারবিরোধী,	স্বৈরাচারীবিরোধী,	
daap,	দাপ,	ড্যাপ,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
bhangchur,	ভংংচুর,	ভাংচুর,	
thyachar,	থ্যাচর,	থ্যাচার,	
antarvuktimulak,	আন্তর্ভুক্তিমূলক,	অন্তর্ভুক্তিমূলক,	
nibondhocheler,	নিবন্ধচেলের,	নিবন্ধছেলের,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
varote,	ভারোতে,	ভারতে,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
danab,	দানাব,	দানব,	
chupani,	চুপাণী,	চুপানি,	
simantarkkhibahinir,	সীমান্তকরবাহিকহিনীর,	সীমান্তরক্ষীবাহিনীর,	
somraatder,	সম্রাটদের,	সম্রাটদের,	
monzooshree,	মন্জৌশরী,	মঞ্জুশ্রী,	
rudrasagar,	রুদ্রসাগর,	রুদ্রসাগরের,	
chheher,	ছেহের,	ছেহের,	
kram,	ক্রম,	ক্রম,	
byatari,	ব্যাটারি,	ব্যাটারী,	
gaddaafee,	গাদ্দাফী,	গাদ্দাফী,	
baharamporer,	বাহারামপরের,	বহরমপুরের,	
babona,	বাবনা,	বাবনা,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
dooburira,	ডুবুরিরা,	ডুবুরিরা,	
podotyagsongkranto,	পদত্যাগসংক্রান্ত,	পদত্যাগসংক্রান্ত,	
airish,	আইরিস,	আইরিস,	
gratha,	গ্রাথা,	গ্রোথ,	
kormoi,	কর্মই,	কর্মই,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
bairer,	বাইরের,	বাইরের,	
kramp,	ক্রাম্প,	ক্র্যাম্প,	
parther,	পার্থের,	পার্থের,	
baibasthaar,	বৈবস্থার,	ব্যবস্থার,	
heepatitis,	হিপাটিটিস,	হেপাটাইটিস,	
nimnosakkharkari,	নিম্নসাক্ষাকারী,	নিম্নস্বাক্ষরকারী,	
abdan,	আব্দান,	আব্দান,	
ghumachhe,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
bhabanir,	ভবনীর,	ভবানীর,	
modyer,	মদ্যের,	মদ্যের,	
mukherjee,	মুখেরজি,	মুখার্জী,	
vittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
tuleche,	তুলেছে,	তুলেছে,	
ghomta,	ঘোমটা,	ঘোমটা,	
ganochien,	গণছিয়েন,	গণচীন,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
nirgomon,	নির্গমন,	নির্গমন,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
panda,	পাণ্ডা,	পান্ডে,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
fokskon,	ফকস্কন,	ফক্সকন,	
pyore,	প্যরে,	পিওর,	
bisheshshyo,	বিশ্ষেষ্য,	বিশেষ্য,	
pabo,	পাবো,	পাব,	
chaloke,	চালোকে,	চালকে,	
shchalastik,	স্চলসাত্তিক,	স্কলাস্টিক,	
pretty,	প্রেটি,	প্রিটি,	
jini,	জিনি,	যিনি,	
bossonte,	বসন্তে,	বসন্তে,	
ramonar,	রামনার,	রমনার,	
qaferder,	কাফার্ডার,	কাফেরদের,	
dakten,	ডাকতেন,	ডাকতেন,	
samanwitovabe,	সমননবিতভাবে,	সমন্বিতভাবে,	
baptics,	ব্যাপটিকস,	ব্যাপটিকস,	
societyke,	সজিটেকে,	সোসাইটিকে,	
kushakhali,	কুশাখালি,	কুশাখালি,	
hunine,	হুনিন,	হুনাইন,	
bhiktara,	ভিকটারা,	ভিক্টর,	
seconder,	সেকন্ডের,	সেকেন্ডের,	
karore,	কারোরে,	কারোর,	
sharif,	শারিফ,	শরিফ,	
peengna,	পেংনা,	পিংনা,	
sqolastiq,	স্কোলোস্টিক,	স্কলাস্টিক,	
rasunkunchi,	রসুনকুঞ্চি,	রসুনকুঁচি,	
oncholke,	অঞ্চকে,	অঞ্চলকে,	
balatkar,	বালাতকর,	বলাৎকার,	
saarbhaarti,	সারভারটি,	সার্ভারটি,	
paste,	পাস্তে,	পেষ্ট,	
manjushri,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
niketaner,	নিকেতানের,	নিকেতনের,	
tatey,	টাটে,	তাতে,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
baarnish,	বার্নিশ,	বার্নিশ,	
grootha,	গ্রথথা,	গ্রোথ,	
ghoor,	ঘুর,	ঘুর,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
ganesh,	গণেশ,	গণেশ,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
pratisthasaho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
pet,	পেট,	পেত,	
elakatay,	এলাকাতায়,	এলাকাতে,	
bhageri,	ভাগেরী,	ভাগেরই,	
shamshere,	শমশেরে,	শমসের,	
cholocchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
purple,	পার্পল,	পার্পেল,	
pharmesigulote,	ফার্মেসিগুলোতে,	ফার্মেসীগুলোতে,	
pancbaar,	প্যাঙ্কবার,	পাঁচবার,	
