windows,	উইন্ডোাস,	উইন্ডোস,	
jor,	জোর,	জ্বর,	
swatantrata,	স্বাতন্ত্র্যটা,	স্বতন্ত্রতা,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
plaiin,	প্লাইন,	প্লেন,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
hugeke,	হুগেকে,	হিউজকে,	
louhojato,	লৌহজাত,	লৌহজাত,	
hepatitis,	হেপাটাইটিস,	হেপাটাইটিস,	
hena,	হেইা,	হেনা,	
chaloke,	চালকে,	চালকে,	
kamla,	কামলা,	কামলা,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
jorury,	জোরুরি,	জরূরী,	
udyem,	উদ্যেম,	উদ্যেম,	
ramantika,	রমণটিকা,	রোমান্টিক,	
naabbota,	নব্বতা,	নাব্যতা,	
engrejer,	এংগেরাজের,	ইংরেজের,	
emargency,	ইমারজেন্সি,	এমার্জেন্সি,	
hisabagyan,	হিসাবগঞ্জ,	হিসাবজ্ঞান,	
akkhunno,	অক্ষুণ্য,	অক্ষুণ্ণ,	
chalake,	চালাকে,	চালকে,	
saver,	সভার,	সেভার,	
rotheen,	রথিন,	রথীন,	
lakshmir,	লক্ষ্মীর,	লক্ষ্মীর,	
shaddhi,	শাদ্ধি,	সাধ্বী,	
saazano,	সাজানো,	সাজানো,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
chupani,	চুপানি,	চুপানি,	
protinito,	প্রতিনিত,	প্রতিনিত,	
khalidke,	খালিদকে,	খালিদকে,	
eshtoniya,	এষ্টনীয়া,	এস্তোনিয়া,	
ronodeep,	রণদীপ,	রণদীপ,	
jhimochchilo,	ঝিমোচ্ছিল,	ঝিমোচ্ছিলো,	
durgotshob,	দুর্গোৎসব,	দুর্গোৎসব,	
agomoney,	অগমনে,	আগমনে,	
capshule,	ক্যাপশুলে,	ক্যাপসুল,	
deepan,	দীপান,	দীপন,	
tukroke,	টুকরোকে,	টুকরোকে,	
barrageke,	বারাগেকে,	ব্যারেজকে,	
bapokotor,	বাপকতর,	ব্যাপকতর,	
edmiral,	এডমিরাল,	এডমিরাল,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
spredasita,	স্প্রেডাসিটা,	স্প্রেডশীট,	
abikaul,	অবিকাল,	অবিকল,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
distance,	ডিসট্যান্স,	ডিসট্যান্স,	
nabotom,	নাবতম,	নবতম,	
dumaa,	ডুমা,	দুমা,	
bairer,	বাইরের,	বাইরের,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
gemske,	গেমসকে,	জেমসকে,	
taitela,	টাইটেলা,	টাইটেল,	
uposhthit,	উপশ্থিত,	উপস্থিত,	
shektor,	শেক্তর,	সেক্টর,	
andamana,	আন্দামানা,	আন্দামান,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
fokskon,	ফক্সকন,	ফক্সকন,	
bhabatarini,	ভবতারিণী,	ভবতারিণী,	
chopal,	চোপল,	চপল,	
bajhyo,	বাঝ্য,	বাহ্য,	
karmasampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
eshiyetika,	এসিয়েটিকা,	এশিয়াটিক,	
licenshe,	লাইসেন্স,	লাইসেন্স,	
vitti,	ভিত্তি,	ভিত্তিই,	
futonta,	ফুটন্তা,	ফুটন্ত,	
muktilav,	মুক্তিলাভ,	মুক্তিলাভ,	
simantarkkhibahinir,	সীমান্তকরবিহহিনীর,	সীমান্তরক্ষীবাহিনীর,	
jaunotar,	যৌনতার,	যৌনতার,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
kantojir,	কান্তজীর,	কান্তজির,	
teman,	তেমান,	তেমন,	
udbhabaney,	উদ্ভবনে,	উদ্ভাবনে,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
proteemar,	প্রতিমার,	প্রতিমার,	
soommo,	সুম্মো,	সুমো,	
cholochchitrake,	চলচ্চিত্রাকে,	চলচ্চিত্রকে,	
sumeeta,	সুমিত,	সুমিতা,	
kloud,	ক্লাউড,	ক্লাউড,	
akkheperi,	আক্ষেপেরই,	আক্ষেপেরই,	
orthanitir,	অর্থানীতির,	অর্থনীতির,	
porobortii,	পরবর্তীই,	পরর্বতী,	
shikhaboudi,	শিখাবৌদি,	শিখাবৌদি,	
plasse,	প্লাসে,	প্লাসে,	
daakten,	ডাকতেন,	ডাকতেন,	
hupile,	হুপিলে,	হুপিলে,	
kanshater,	কাঁশাতের,	কানসাটের,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
fasir,	ফাসির,	ফাসীর,	
bhowanipur,	ভোওবানীপুর,	ভবানীপুর,	
pranidero,	প্রাণীদেরও,	প্রানীদেরও,	
mulyabriddhikale,	মূল্যবৃদ্ধিকলে,	মূল্যবৃদ্ধিকালে,	
gyandaas,	জ্ঞানদাস,	জ্ঞানদাস,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
pinglateo,	পিংলাতেও,	পিংলাতেও,	
sucre,	সুক্রে,	সাকার,	
summer,	সামমার,	সামার,	
eduardo,	এডুর়ার্ডো,	এডুয়ার্দো,	
tanu,	তানু,	তনু,	
balakarak,	বালাকারক,	বলকারক,	
mumtazer,	মুমতাজের,	মুমতাজের,	
palteche,	পালতেছে,	পাল্টেছে,	
goonoman,	গুণমান,	গুণমান,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
panchadadu,	পঞ্চদদু,	পঞ্চাদাদু,	
sinakey,	সিনাকে,	সিনাকে,	
karmakarke,	কারমাকারকে,	কর্মকারকে,	
sharansthal,	শরণস্থল,	শরণস্থল,	
babona,	ববনা,	বাবনা,	
niropekshtar,	নিরপেকষ্টার,	নিরপেক্ষতার,	
munim,	মুনিম,	মুনিম,	
chintakarma,	চিন্তাকর্ম,	চিন্তাকর্ম,	
feroza,	ফেরোজা,	ফিরোজা,	
ghoshito,	ঘোষিত,	ঘোষিত,	
shloker,	শ্লোকের,	শ্লোকের,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
mach,	মাচ,	মাছ,	
mayily,	ম্যালি,	মাইলি,	
patengar,	পাতেঙ্গার,	পতেঙ্গার,	
dhormokorme,	ধর্মকর্মে,	ধর্মকর্মে,	
goodamjato,	গুদামজাত,	গুদামজাত,	
proshikkhane,	প্রশিক্ষানে,	প্রশিক্ষণে,	
geja,	গেজ,	গেজ,	
janamukhi,	জনমুখী,	জনমুখী,	
glanio,	গ্লানিও,	গ্লানিও,	
cheento,	চেন্টো,	চিনতো,	
milayatane,	মিলায়াতনে,	মিলায়তনে,	
dharavahik,	ধারাবাহিক,	ধারাবাহিক,	
sikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
janagononar,	জননাগণার,	জনগণনার,	
siitei,	সিতেই,	শীতেই,	
comoros,	কমোরোস,	কোমোরোস,	
taranee,	তারানী,	তরণী,	
prijon,	প্রীজন,	প্রিজন,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
adhyatmikata,	অধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
jolrang,	জলরাং,	জলরঙ,	
tep,	টেপ,	ট্যাপ,	
hypar,	হাইপার,	হাইপার,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
mookhomaundoler,	মুখমামৌল্যের,	মুখমণ্ডলের,	
shashtra,	সাস্ত্রা,	শাস্ত্র,	
dabliudabliui,	ডাবলিউদেববউলই,	ডাব্লিউডাব্লিউই,	
srk,	শ্রকক,	শাহরুখ,	
grauth,	গ্রাউথ,	গ্রোথ,	
dovaar,	দোভার,	ডোভার,	
sompadon,	সম্পাদন,	সম্পাদন,	
sarajibonbyapi,	সারাজীবন্যবাপী,	সারাজীবনব্যাপী,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
omkar,	ওমকার,	ওঙ্কার,	
mesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
huqa,	হুকা,	হুক,	
gronther,	গ্রন্থের,	গ্রন্থের,	
mithener,	মিথেনের,	মিথেনের,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
sylvi,	সিলভি,	সিলভি,	
byathapather,	ব্যথাপঠের,	ব্যথাপথের,	
quary,	কোয়ারি,	কোয়েরি,	
bhugol,	ভূগল,	ভূগোল,	
kruser,	কুরুরের,	ক্রুশের,	
pitiler,	পিতিলের,	পিটিলের,	
daltagi,	দালতাগী,	দলত্যাগী,	
lopjonito,	লপ্যজিত,	লোপজনিত,	
charukala,	চারুকলা,	চারুকলা,	
shector,	শেক্টর,	সেক্টর,	
samoshtigato,	সমষ্টিতত,	সমষ্টিগত,	
install,	ইনস্টাল,	ইন্সটল,	
gabhaaskar,	গাভাসকার,	গাভাস্কার,	
charban,	চারবান,	চর্বন,	
phiksim,	ফিকমিম,	ফিক্সিং,	
nachiketa,	নচিকেতা,	নচিকেতা,	
agora,	অগরা,	আগোরা,	
dokaanei,	দোকানেই,	দোকানেই,	
ase,	আসে,	আসে,	
ekroop,	একরূপ,	একরূপ,	
yanqee,	যঞ্্,	ইয়াংকি,	
moonshi,	মুনশি,	মুন্সি,	
sangaskritipreme,	সংস্কৃতিপ্রেমে,	সংস্কৃতিপ্রেমে,	
thyachar,	থ্যাচার,	থ্যাচার,	
bosante,	বসন্তে,	বসন্তে,	
antorbhuktimulak,	আন্তর্ভূক্তিমূলক,	অন্তর্ভুক্তিমূলক,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
soource,	সুর্স,	সোর্স,	
annorup,	অন্নরূপ,	অন্যরূপ,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
durgotsabe,	দুর্গোৎসবে,	দুর্গোৎসবে,	
shilver,	শিলভার,	সিলভার,	
protul,	প্রতুল,	প্রতুল,	
ekok,	একক,	একক,	
bodhirta,	বোধিরতা,	বধিরতা,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
nirbaho,	নির্বাহ,	নির্বাহ,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
asamanyo,	অসামন্য,	অসামান্য,	
eesa,	এইএসএ,	আইএএস,	
mukhabandha,	মুখববন্ধ,	মুখবন্ধ,	
venus,	ভেনাস,	ভেনাস,	
jyaqa,	জ্যাক,	জ্যাক,	
hindutirtha,	হিন্দুতীর্থ,	হিন্দুতীর্থ,	
aporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
bonobhumi,	বনভূমি,	বনভূমি,	
asabhya,	অসভ্য,	অসভ্য,	
kalakushalir,	কলাকুশলীর,	কলাকুশলীর,	
steen,	স্টীন,	স্টেন,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
protizogiita,	প্রতিযোগীতা,	প্রতিযোগীতা,	
norfolk,	নরফলক,	নরফোক,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
toptoshele,	তপ্তশেলে,	তপ্তশেলে,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
seekkhokbrindo,	শিক্ষকবৃন্দ,	শিক্ষকবৃন্দ,	
jeebnagore,	জীবনগরে,	জীবননগর,	
harbare,	হরবারে,	হারবারে,	
chaiten,	চাইতেন,	চাইতেন,	
kailashrao,	কৈলাশরাও,	কৈলাশরাও,	
faltu,	ফাল্টু,	ফালতু,	
lendl,	লেন্ডল,	লেন্ডল,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
hetimganje,	হেতিমগঞ্জে,	হেতিমগঞ্জে,	
lobbytey,	লবিইটে,	লবিতে,	
aaireshe,	আইরেশে,	আইরেসে,	
rabo,	রাবো,	রব,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
dhani,	ধনী,	ধানি,	
chai,	চাই,	ছাই,	
ajuhath,	অজুহাত,	অজুহাত,	
laat,	লাত,	লাট,	
laatimer,	লাটিমের,	লাটিমের,	
heze,	হেজে,	হেজ,	
ebhara,	এভারা,	এভার,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
parswer,	পারস্বের,	পার্শ্বের,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
srisri,	শ্রীশ্রি,	শ্রীশ্রী,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
hundai,	হুন্ডাই,	হুন্দাই,	
cinematographar,	সিনেমাগোট্রাফার,	সিনেমাটোগ্রাফার,	
alimpiqa,	অলীম্পিকা,	অলিম্পিক,	
baipass,	বাইপাস,	বাইপাস,	
dalnata,	দলনতা,	ডালনাটা,	
catholicder,	ক্যাথলেকদের,	ক্যাথলিকদের,	
sures,	সুরেস,	সুরেশ,	
ghumachchila,	ঘুমাচ্ছিলা,	ঘুমাচ্ছিল,	
korley,	করলে,	করলে,	
chahidapotrer,	চাহিদাপত্রের,	চাহিদাপত্রের,	
teksuser,	টেকসুসের,	টেক্সাসের,	
shishupalgarh,	শিশুগর্্লার,	শিশুপালগড়ে,	
gasthi,	গাস্থি,	গোষ্ঠী,	
konroop,	কোরূপ,	কোনরূপ,	
vabook,	ভবক,	ভাবুক,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
vetrillocuism,	ভেট্রিলক্যাইজিম,	ভেট্রিলোকুইজম,	
mmehonoti,	ম্মেহনটি,	মেহনতি,	
aireshe,	এইরেশে,	আইরেসে,	
soomita,	সুমিত,	সুমিতা,	
bosoben,	বসবেন,	বসবেন,	
taxikeo,	ট্যাক্সিকেও,	ট্যাক্সিকেও,	
chhintayikari,	ছিন্তাইকারী,	ছিনতাইকারী,	
laesens,	লাইসেন্স,	লাইসেন্স,	
hizriite,	হিজরিতে,	হিজরীতে,	
superheroo,	সুপারহিউরো,	সুপারহিরো,	
jyesttha,	জ্যেষ্ঠথা,	জ্যেষ্ঠা,	
bhabanir,	ভবনীর,	ভবানীর,	
korle,	করলে,	করলে,	
azimpur,	আজিমপুর,	আজিমপুর,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
dimbacriti,	ডিম্বাক্রিটি,	ডিম্বাকৃতি,	
turbine,	তুরবিনে,	টারবাইন,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
land,	ল্যান্ড,	ল্যান্ড,	
gavaskar,	গাভাসকার,	গাভাস্কার,	
show,	শা,	শো,	
horas,	হোাস,	হোরাস,	
promothesh,	প্রমোতেশ,	প্রমথেশ,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
utshahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
shten,	স্টেন,	স্টেন,	
kraim,	ক্রাইম,	ক্রাইম,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sahozlabhbhotar,	সহজ্লভভতার,	সহজলভ্যতার,	
jounotar,	যৌনতার,	যৌনতার,	
myathiou,	ম্যাথিউপ,	ম্যাথিউ,	
daraider,	দারাইদের,	দরাইদের,	
booksar,	বুকসার,	বুক্সার,	
chalochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
akkaas,	আক্কাস,	আককাস,	
sangitanusthane,	সংগীতানুষ্ঠানে,	সঙ্গীতানুষ্ঠানে,	
shaahaabiike,	শাহাবিকে,	সাহাবীকে,	
carzar,	কার্জার,	চার্জার,	
korimer,	করিমের,	করিমের,	
asociatis,	অসোসিয়েটিস,	এসোসিয়েটস,	
pretty,	প্রেটি,	প্রিটি,	
upobaasee,	উপবাসী,	উপবাসী,	
geejeeteeda,	গীজিটিদা,	গেজেটেড,	
kaalaam,	কালাম,	কালাম,	
besirbhaagi,	বেসিরভাগী,	বেশিরভাগই,	
andra,	আন্দ্রার,	আন্ড্রা,	
orthisoho,	অর্থিসহ,	অর্থিসহ,	
neemeette,	নিমিত্তে,	নিমিত্তে,	
nirikh,	নিরিখ,	নিরিখ,	
bbiseshyer,	ব্বিসেশেয়ের,	বিশেষ্যের,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
dinifitian,	ডিনিফাইটিয়ান,	ডেফিনেশন,	
songkulan,	সংকুলন,	সংকুলান,	
nirvachaker,	নির্ভাচকের,	নির্বাচকের,	
fastag,	ফাস্তাগ,	ফ্যাসট্যাগ,	
qarpeta,	কার্পেটা,	কার্পেট,	
deqe,	দেকে,	ডেকে,	
durgatsob,	দুর্গাৎসব,	দুর্গোৎসব,	
sheekar,	শীকার,	শিকার,	
kash,	কাশ,	কাস,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
yukeliptash,	যুকেলিপ্তাশ,	ইউক্যালিপ্টাস,	
baarbadoj,	বারবাদজ,	বার্বাডোজ,	
duio,	দুইও,	দুইও,	
anichchi,	আনিচ্ছি,	আনিচ্ছি,	
gotihin,	গতিহীন,	গতিহীন,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
pyetarna,	প্যাতেরনা,	প্যাটার্ন,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
asovarno,	অসভারণ,	অসবর্ণ,	
cholechi,	চলেছি,	চলেছি,	
tyap,	ত্যাপ,	ট্যাপ,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
maila,	মাইলা,	মাইল,	
rahee,	রহী,	রাহী,	
debeting,	ডেবেটিং,	ডিবেটিং,	
logic,	লজিক,	লজিক,	
nilfamarir,	নীলফামারীর,	নীলফামারীর,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
uporitoler,	উপরিতলের,	উপরিতলের,	
peshto,	পেষ্টো,	পেষ্ট,	
bhujangta,	ভূজানটা,	ভুজঙ্গটা,	
sumi,	সুমি,	সুমি,	
dapadpi,	দপাপ্ডি,	দাপাদপি,	
pet,	পেট,	পেত,	
augustine,	অগাস্টিন,	অগাস্টিন,	
ganonanatto,	গণনানাত্ত,	গণনাট্য,	
dighol,	দিঘল,	দীঘল,	
tikto,	তিক্ত,	তিক্ত,	
laiseensim,	লাইসস্নিম,	লাইসেন্সিং,	
zaire,	জায়ারে,	জাইরে,	
niphelheim,	নিফেলহাইম,	নিফেলহেইম,	
ebham,	এহাম,	ইভিএম,	
amanisha,	আমানিশা,	অমানিশা,	
kekru,	কেকরু,	কেকরু,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
munjur,	মুঞ্জুর,	মুনজুর,	
shrabastee,	শ্রাবস্তি,	শ্রাবস্তী,	
dabarer,	দাবারের,	দাবারের,	
olympic,	অলিম্পিক,	অলিম্পিক,	
ritesh,	রিটিস,	রিতেশ,	
dolu,	দোলু,	ডলু,	
jatotaa,	জাতোটা,	যতোটা,	
gitikobita,	গীতিকবিতা,	গীতিকবিতা,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
borendroke,	বরেন্দ্রকে,	বরেন্দ্রকে,	
turisht,	টারিশ্ট,	টুরিস্ট,	
bulano,	বুলানো,	বুলান,	
casper,	ক্যাসপার,	ক্যাসপার,	
tokee,	তোকে,	তকি,	
mail,	মাইল,	মাইল,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
pakhtunistan,	পাখতুনিস্তান,	পাখতুনিস্তান,	
shasyadi,	শাস্যাদি,	শস্যাদি,	
akheli,	আখেলি,	আখেলী,	
bowie,	বুওয়ে,	বওই,	
ajeejer,	আজেজের,	আজিজের,	
ddheela,	ঢেলা,	ঢিলা,	
reejideencee,	রেজিডিন্সি,	রেসিডেন্স,	
turkyder,	টার্ক্ডিডের,	তুর্কিদের,	
bijito,	বিজিত,	বিজিত,	
baikalyo,	বাইকল্য,	বৈকল্য,	
kanthar,	কণ্ঠার,	কাঁথার,	
shringgo,	শ্রীংগো,	শৃঙ্গ,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
taunsheep,	টউউনশিপ,	টাউনশিপ,	
sumita,	সুমিতা,	সুমিতা,	
antennal,	অ্যান্টেননাল,	অ্যান্টেনাল,	
jandrel,	জন্দ্রেল,	জাঁদরেল,	
teoyana,	তেওয়ান,	তাইওয়ান,	
addata,	আডদাতা,	আড্ডাটা,	
tachnach,	টাচনাচ,	তছনছ,	
naubom,	নাউবম,	নবম,	
shingping,	সিংপিং,	শিংপিং,	
maladabha,	মালাদাভা,	মলদোভা,	
treend,	ট্রান্ড,	ট্রেন্ড,	
ruptan,	রূপ্তান,	রূপটান,	
gaujano,	গৌজনও,	গজানো,	
bisheshshyer,	বিশেশ্যের,	বিশেষ্যের,	
madhoboir,	মাধবয়,	মাধবীর,	
nanilalke,	নানিলালকে,	ননীলালকে,	
spredashita,	স্প্রেডশািত,	স্প্রেডশীট,	
vagni,	ভাগ্নি,	ভগ্নী,	
muradke,	মুরাদকে,	মুরাদকে,	
aniyantrita,	অনিয়ন্ত্রীত,	অনিয়ন্ত্রিত,	
janar,	জানার,	জানার,	
tistar,	তিস্তার,	তিস্তার,	
uthhaane,	উঠানে,	উঠানে,	
purbancoler,	পূর্বাণকোলের,	পূর্বাঞ্চলের,	
ganaporibahaner,	গণপরিবহাসনের,	গণপরিবহনের,	
deefinision,	ডাফিনিশন,	ডেফিনেশন,	
rudrasagar,	রুদ্রসগর,	রুদ্রসাগরের,	
choukato,	চৌকাতো,	চৌকাত,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
protibedokrao,	প্রতিবেদকরাও,	প্রতিবেদকরাও,	
harbur,	হারবুর,	হারবার,	
champa,	চাম্পা,	চাঁপা,	
shhepha,	শেহা,	শেফ,	
chhanada,	ছানাদা,	ছানাদা,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
totokson,	টোটোসন,	ততক্ষন,	
bulan,	বুলান,	বুলান,	
ostheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
bbosben,	ব্যবসেন,	বসবেন,	
mumtaj,	মুমতজ,	মুমতাজ,	
qanasarabheshana,	কানারাভেষণা,	কনসারভেশন,	
vaider,	ভাইদের,	ভাইদের,	
debdebie,	দেবদেবী,	দেবদেবী,	
chhon,	ছনন,	ছোঁ,	
marodeho,	মারেহো,	মরদেহ,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
elakayi,	এলাকাই,	এলাকাই,	
kirke,	কীরকে,	কিরকে,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
neemitte,	নিমিত্তে,	নিমিত্তে,	
dera,	দেরা,	ডেরা,	
sectore,	সেক্টরে,	সেক্টরে,	
reetesh,	রীটেস,	রিতেশ,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
urey,	উরে,	ইউরি,	
habsi,	হাবসি,	হাবশী,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
bondiira,	বন্দীরা,	বন্দীরা,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
laaishheshh,	লৈষেশ,	লাইসেন্স,	
mukharji,	মুখর্জি,	মুখার্জী,	
duryogamoyee,	দুর্যোগায়ী,	দুর্যোগময়ী,	
stoonahenja,	স্তুহানেঞ্জা,	স্টোনহেঞ্জ,	
shangsthatikey,	সংশ্ঠতিকে,	সংস্থাটিকে,	
milea,	মিলি,	মাইলে,	
dijmarescu,	ডিজমারেস্কু,	দিজমার্সাকু,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
relance,	রিল্যাঙ্কে,	রিলায়েন্স,	
taalaal,	তালাল,	তালাল,	
durtomo,	দুর্তমো,	দূরতম,	
with,	উইথ,	ভিত,	
konagoolo,	কনাগুলো,	কণাগুলো,	
manush,	মানুশ,	মানুষ,	
bhabanipur,	ভবনীপুর,	ভবানীপুর,	
hert,	হার্ট,	হার্ট,	
sursur,	সুরসুর,	সুরসুর,	
dooburir,	ডুবুরির,	ডুবুরির,	
postay,	পোস্টে,	পোস্টে,	
neck,	নেক,	নেক,	
khalid,	খালিদ,	খালিদ,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
kaathhmaandute,	কাঠমান্ডতে,	কাঠমান্ডুতে,	
rajnikant,	রাজনীকান্ত,	রাজনীকান্ত,	
transformaarer,	ট্রান্সফারমাযার,	ট্রান্সফরমারের,	
kaalki,	কালকি,	কালকি,	
bodhukeo,	বোধুকেও,	বধুকেও,	
jeebanjapon,	জীবাজ্জাপন,	জীবনযাপন,	
bonshi,	বংশী,	বংশী,	
bisnuke,	বিসনয়কক,	বিষ্ণুকে,	
shaater,	সাতের,	শ্যুটার,	
boshoborty,	বশবোর্টি,	বশবর্তী,	
jemy,	জেমি,	জেমি,	
eokee,	ইইকে,	এওকি,	
ganesh,	গনেশ,	গণেশ,	
mulvitti,	মুলভিটটি,	মূলভিত্তি,	
sohokari,	সোকারি,	সহকারী,	
oxite,	অক্সিইট,	অক্সাইট,	
oindrila,	ঐন্দ্রিলা,	ঐন্দ্রিলা,	
vobani,	ভবানি,	ভবানী,	
rajbandir,	রাজবন্দির,	রাজবন্দীর,	
sharif,	শরীফ,	শরিফ,	
monjooshree,	মঞ্যূর্থী,	মঞ্জুশ্রী,	
bhenicer,	ভেনিসের,	ভেনিসের,	
ajeeboner,	অজিবনের,	আজীবনের,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
jipiusamriddha,	জিপিউসসমৃদ্ধ,	জিপিউসমৃদ্ধ,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
bojhe,	বোঝে,	বোঝে,	
sithilota,	সিথিলতা,	শিথিলতা,	
mugdha,	মুগধা,	মুগ্ধ,	
dolphiny,	ডলফিনি,	ডলফিনি,	
odeb,	ওডেব,	ওদেব,	
dharabahikotitey,	ধারাবাহিককিতে,	ধারাবাহিকটিতে,	
manibhaijaner,	মণিভাজননের,	মণিভাইজানের,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
degree,	ডিগ্রি,	ডিগ্রি,	
paolasthi,	পাওলাস্থী,	পাওলাসথি,	
graambaashee,	গ্রামবাশী,	গ্রামবাসী,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
mulbhitti,	মূলভিত্তি,	মূলভিত্তি,	
acrolect,	অ্যাক্কোলেক্ট,	অ্যাক্রোলেক্ট,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
shekarmani,	শেকারমানি,	শেকরমানি,	
khude,	খুদে,	ক্ষুদে,	
vodqa,	ভোডকা,	ভদকা,	
mandope,	ম্যান্ডোপ,	মন্ডপে,	
bohorompurer,	বহরমপুরের,	বহরমপুরের,	
nachar,	নাচার,	নাচার,	
associatis,	অ্যাসোসিয়েটিস,	এসোসিয়েটস,	
nartana,	নর্তনা,	নর্টন,	
jaanar,	যানার,	জানার,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
bachai,	বাচাই,	বাছাই,	
khuliechilam,	খুলিয়ছিলাম,	খুলিয়েছিলাম,	
shahjapur,	শাহতাপুর,	শাহজাপুর,	
bhushito,	ভূষিত,	ভূষিত,	
sohojlovyotar,	সহজলভোততার,	সহজলভ্যতার,	
alaoler,	আলালের,	আলাওলের,	
deilee,	ডেইলে,	ডেইলি,	
doloo,	দলু,	ডলু,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
everestey,	এভারেস্টে,	এভারেস্টে,	
meridiane,	মেরিডিয়ান,	মেরিডিয়ানে,	
suparahiro,	সুপারাহিরও,	সুপারহিরো,	
samratra,	সম্্তার,	সম্রাটরা,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
dola,	দোলা,	দলা,	
