towraat,	তোরাট,	তওরাত,	
mohajote,	মহাজতে,	মহাজোট,	
ashociatesh,	অসোিয়েটেশ,	এসোসিয়েটস,	
idipasha,	ইদিপাশা,	ইডিপাস,	
graambaasheeo,	গ্রামবাশশও,	গ্রামবাসীও,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
jamaanor,	জামানোর,	জমানোর,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
bodhir,	বোধির,	বধির,	
ashankai,	আশাঙকাই,	আশঙ্কাই,	
ganochin,	গণচিন,	গণচীন,	
sangram,	সংগ্রাম,	সঙ্গ্রাম,	
sures,	সুরেস,	সুরেশ,	
sangsakti,	সংস্কটি,	সংসক্তি,	
pretti,	প্রেত্তি,	প্রিটি,	
madelim,	মাদেলিম,	মডেলিং,	
sulfatee,	সুলফাতি,	সালফেট,	
arthurer,	অর্থুরের,	আর্থারের,	
futonta,	ফুনোটা,	ফুটন্ত,	
bifol,	বিফল,	বিফল,	
ukeliptash,	উকেলিপল্শ,	ইউক্যালিপ্টাস,	
chandanara,	চন্দনারা,	চন্দনারা,	
gyandaas,	জ্ঞানদাস,	জ্ঞানদাস,	
nazad,	নাজাদ,	নাজাদ,	
torunra,	তরুণরা,	তরুণরা,	
lebina,	লেবিনা,	লেবিনা,	
damodar,	দামোদার,	দামদর,	
dinar,	দিনার,	ডিনার,	
waal,	ওয়াল,	উল,	
obharbhiu,	অভ্রাভি,	ওভারভিউ,	
cholochchitro,	চলচ্ছিত্র,	চলচ্চিত্র,	
baffer,	বফফের,	বাফার,	
istoone,	ইস্তুনে,	স্টোন,	
gunje,	গুঞ্জে,	গুঁজে,	
huka,	হুকা,	হুক,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
bolechile,	বলেছিলে,	বলেছিলে,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
dormroome,	দরমরমুমে,	ডর্মরুমে,	
veenish,	ভিনিশ,	ভেনিস,	
augustine,	অগাস্টাইন,	অগাস্টিন,	
romjaner,	রমজানের,	রমযানের,	
songasthaner,	সঙ্সা্থানের,	সংস্থানের,	
taroni,	তারনি,	তরণী,	
cinemapremider,	সিনেমাপ্রেমিদের,	সিনেমাপ্রেমীদের,	
bhabatarini,	ভবতর্ীী,	ভবতারিণী,	
militaryr,	মিলিটারর,	মিলিটারির,	
tata,	টাতা,	তাতা,	
bollov,	বোলভোভ,	বল্লভ,	
pohnpeic,	পোহনপিক,	ফোনপেইক,	
lendl,	লেন্ডল,	লেন্ডল,	
kabutorer,	কাবুতরের,	কবুতরের,	
siraju,	সিরাজু,	সিরাজু,	
shector,	শেক্টর,	সেক্টর,	
akhando,	অখণ্ড,	অখন্ড,	
balaruma,	বালারুমা,	বলরুম,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
jontrangshogulor,	যন্ত্রাংশগুলোর,	যন্ত্রাংশগুলোর,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
manushe,	মানুষে,	মানুষে,	
aziza,	আজিজা,	আজিজা,	
keuoi,	কেউই,	কেউই,	
wishnu,	উষিন্ু,	বিষ্ণু,	
shikhbe,	শিখবে,	শিখবে,	
karadandey,	কারাদানদে,	কারাদণ্ডে,	
bisshasyi,	বিশ্সাসী,	বিশ্বাসই,	
vault,	ভাযালট,	ভল্ট,	
mosharroph,	মোশার্ফর,	মশাররফ,	
kayartara,	কয়ারতরা,	কোয়ার্টার,	
shurugulo,	শুরুগুলো,	শুরুগুলো,	
jolrong,	জলর্ং,	জলরঙ,	
messengerer,	মেসেনগেরের,	মেসেঞ্জারের,	
dombhoke,	দম্ভকে,	দম্ভকে,	
pleeta,	প্লিটা,	প্লেট,	
tooku,	তোকু,	টুকু,	
mokhmoley,	মকখমলে,	মখমলে,	
ucchosito,	উচ্চসিত,	উচ্ছসিত,	
mathieu,	ম্যাথিউ,	ম্যাথিউ,	
lyaataa,	ল্যাট,	ল্যাটা,	
deelibhara,	দীলিভরা,	ডেলিভার,	
akeeb,	আকীব,	আকিব,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
standards,	স্টাযান্ডার্ডস,	স্টান্ডার্ডস,	
rashedul,	রশেদুল,	রাশিদুল,	
prarthitao,	প্রার্থিতাও,	প্রার্থীতাও,	
pustir,	পুস্তির,	পুষ্টির,	
proshikkhane,	প্রশিক্ষানে,	প্রশিক্ষণে,	
ragee,	রাগী,	রাগী,	
nationalser,	ন্যাশনলসেের,	ন্যাশনালসের,	
phareeksa,	ফরিকস,	ফরেক্স,	
daqten,	ডাকটেন,	ডাকতেন,	
rockibul,	রকিবুল,	রকিবুল,	
dheke,	ধেকে,	ঢেকে,	
lagchhe,	লাঘছে,	লাগছে,	
jens,	জেনস,	জিন্স,	
nirbahe,	নির্বাহে,	নির্বাহে,	
qraima,	ক্রাইমা,	ক্রাইম,	
bondi,	বন্ডি,	বন্দী,	
arekdol,	আরেকদল,	আরেকদল,	
hizriite,	হিজিরিতে,	হিজরীতে,	
billaho,	বিল্লাহ,	বিল্লাহ,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
shilpikuler,	শিল্পিকুলের,	শিল্পীকুলের,	
ap,	এপি,	আপ,	
shangkulaan,	শাংকুলান,	সংকুলান,	
dumaa,	দুমা,	দুমা,	
cxt,	কিএসটিআট,	সিএক্সটি,	
dayitta,	দায়িত্ব,	দায়িত্ব,	
jyaqasana,	জ্যাকাসন,	জ্যাকসন,	
bondira,	বন্দিরা,	বন্দীরা,	
hooq,	হুক,	হুক,	
popaike,	পোপাইকে,	পপাইকে,	
bolvodro,	বলদ্রর,	বলভদ্র,	
siit,	সিত,	শীত,	
jotharthovabey,	যথার্থবাভে,	যথার্থভাবে,	
average,	অভেরাজ,	এভারেজ,	
cuti,	কুটি,	কিউটি,	
chirkut,	চিরকুট,	চিরকুট,	
bhabaponno,	ভাবপন্ন,	ভাবাপন্ন,	
uporzon,	উপরজন,	উপার্জন,	
themeke,	থেমেকে,	থিমকে,	
songasthatike,	সঙ্চাস্থতিকে,	সংস্থাটিকে,	
laagche,	লাগচে,	লাগছে,	
fongli,	ফংগলি,	ফংলি,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
deefinision,	ডিফিনিশন,	ডেফিনেশন,	
deh,	দেহ,	দেহ্,	
ramachandranke,	রামচন্দ্রনকে,	রামাচন্দ্রনকে,	
shatodha,	শতধা,	শতধা,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
bhangle,	ভাঙ্গল,	ভাঙলে,	
noditir,	নদিতির,	নদীটির,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
zerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
rinattak,	ঋণত্যাক,	ঋনাত্মক,	
audiotike,	আডিওটিকে,	অডিওটিকে,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
paramartha,	পরমার্থ,	পরমার্থ,	
munot,	মুনোট,	মুনোট,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
rahshahi,	রাহশাহী,	রাহশাহী,	
lendol,	লেন্ডোল,	লেন্ডল,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
ganaporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
biswashi,	বিশ্বাশী,	বিশ্বাসী,	
aakkaash,	আক্কাশ,	আককাস,	
hyaloyin,	হ্যালিয়ন,	হ্যালোইন,	
juktorashtreo,	যুক্তরাষ্ট্রেও,	যুক্তরাষ্ট্রেও,	
shahurgulor,	শাহুরগুলোর,	শহুরগুলোর,	
pranibigyani,	প্রাণিবিজ্ঞানী,	প্রাণীবিজ্ঞানী,	
chetanagoto,	চেতানগত,	চেতনাগত,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
ajibooner,	অজিবনের,	আজীবনের,	
yukeliptash,	যুকিলেপুশ্শ,	ইউক্যালিপ্টাস,	
cholochchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
kormopontha,	কর্মপন্থ,	কর্মপন্থা,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
reejideencee,	রিজিডিন্সি,	রেসিডেন্স,	
lahano,	লাহানো,	লাহানো,	
nomo,	নম,	নমো,	
taatey,	তাউতে,	তাতে,	
bonbhumi,	বনভূমি,	বনভূমি,	
plator,	প্ল্যাটর,	প্লেটোর,	
shikh,	শিখ,	শিখ,	
niphelheim,	নিফেফাইম,	নিফেলহেইম,	
bashoborty,	বাশববর্তি,	বশবর্তী,	
proshtotto,	প্রশ্তত্ত্ব,	প্রস্ত্তত,	
oncholshomuh,	অনচ্লসমূহ,	অঞ্চলসমূহ,	
koyeeri,	কয়েরী,	কোয়েরি,	
ruby,	রুবি,	রুবী,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
timoothi,	তিমৌথি,	টিমোথি,	
bahati,	বাহাটি,	বাহাতি,	
ahalyar,	আহল্যার,	অহল্যার,	
turisht,	টুরিশ্ট,	টুরিস্ট,	
nathivookteer,	নাথিভুক্তির,	নথিভুক্তির,	
jumlalancer,	জুমললাযান্সের,	জুমলাল্যান্সার,	
chhooteer,	ছুটির,	ছুটির,	
elaaka,	এলাকা,	এলাকা,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
tongaa,	টোঙ্গা,	টোঙ্গা,	
caroline,	ক্যারোলিন,	ক্যরোলিন,	
motkey,	মটকে,	মতকে,	
vodqa,	ভোডকা,	ভদকা,	
shrabastee,	শ্রাবস্তি,	শ্রাবস্তী,	
qarpeta,	কারপেটা,	কার্পেট,	
drissotir,	ড্রিস্টির,	দৃশ্যটির,	
jeher,	জেহের,	জেহের,	
lekhaksattwar,	লেখাকতস্ত্বর,	লেখকসত্ত্বার,	
gannaprakasham,	গণ্যপ্রকাশম,	গন্নাপ্রকাশম,	
prokolpow,	প্রকল্পব,	প্রকল্পও,	
zerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
juboksoho,	যুবকসহ,	যুবকসহ,	
liseensee,	লিসিন্সি,	লাইসেন্স,	
vedanta,	ভেদন্ত,	বেদান্ত,	
chhanada,	ছানাদা,	ছানাদা,	
chalochchitrei,	চললচচিত্রেরই,	চলচ্চিত্রেই,	
pyor,	প্রৌ,	পিওর,	
daraider,	দারাইদের,	দরাইদের,	
prachirer,	প্রাচীরের,	প্রাচিরের,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
dara,	দারা,	দারা,	
shilpojaat,	শিল্পযাত,	শিল্পজাত,	
adbhanced,	অ্যাডভান্ডেড,	অ্যাডভান্সড,	
neemeetto,	নিমত,	নিমিত্ত,	
daaktikite,	দাকটিকিতে,	ডাকটিকিটে,	
porizoner,	পরিজনের,	পরিজনের,	
parjotaker,	পার্যটাকের,	পর্যটকের,	
sahittekder,	সাহিত্যকদের,	সাহিত্যেকদের,	
ishter,	ইস্টার,	ইস্টের,	
turista,	টুরিস্টা,	টুরিস্ট,	
toroonraa,	টররুনা,	তরুণরা,	
addabaj,	আদ্দাবাজ,	আড্ডাবাজ,	
mutar,	মুতার,	মুতার,	
paikgachha,	পাইখলা,	পাইকগাছা,	
ancholtike,	আঁচকলিিকে,	অঞ্চলটিকে,	
aprasangikbhabei,	অপ্রাস্জনিকভাবেই,	অপ্রাসঙ্গিকভাবেই,	
creshcent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
utkhaat,	উৎখাত,	উত্খাত,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
eokee,	এইক,	এওকি,	
maarmaader,	মার্মাদের,	মারমাদের,	
elgoridom,	এলগরিডোম,	এলগরিদম,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
neemeette,	নিমতে,	নিমিত্তে,	
mekong,	মেকং,	মেকং,	
swajan,	স্বজন,	স্বজন,	
saqara,	সাকারা,	সাকার,	
dishani,	দিশানী,	দিশানি,	
cheentaikaree,	চেন্টায়কারী,	ছিনতাইকারী,	
pet,	পেট,	পেত,	
nick,	নিক,	নিক্,	
salafeta,	সালাফেটা,	সালফেট,	
nathibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
pinglateo,	পিংলাতেও,	পিংলাতেও,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
elaakaate,	এলাকাতে,	এলাকাতে,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
musabbirul,	মুসাবিবরুল,	মুসাব্বিরুল,	
paroner,	পারণের,	পারণের,	
borkhastokritora,	বরখাস্তকৃতরা,	বরখাস্তকৃতরা,	
soketgulor,	সোকেটগুলোর,	সকেটগুলোর,	
literacy,	লিটারেসি,	লিটারেসি,	
phising,	ফিসিং,	ফিসিং,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
mukhamandoler,	মুখানমোলের,	মুখমণ্ডলের,	
terlarang,	টেরলার্ং,	তেরলারং,	
oitijhyotike,	ঐতিহ্যযিকে,	ঐতিহ্যটিকে,	
patigoniter,	পাতিগণীতের,	পাটিগণিতের,	
cholochchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
vugorvey,	ভুগরভে,	ভূগর্ভে,	
godamjato,	গোদামাত,	গুদামজাত,	
kaash,	কাশ,	কাস,	
liaodong,	লিয়াকোন,	লিয়াওদং,	
deqe,	দেকে,	ডেকে,	
sucre,	সুক্রে,	সাকার,	
totokson,	তোটকসন,	ততক্ষন,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
taholo,	তাহলো,	তাহলো,	
jomoker,	জমকের,	জমকের,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
biplabeer,	বিপ্লবের,	বিপ্লবীর,	
tigre,	তিগ্রে,	টাইগার,	
girilal,	গিরিলাল,	গিরিলাল,	
toching,	টচিং,	টোচিং,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
mozdur,	মোজদুর,	মজদুর,	
conservetion,	কনজারভেশন,	কনসারভেশন,	
turkyder,	টার্কযাডের,	তুর্কিদের,	
vandar,	ভান্ডার,	ভাণ্ডার,	
ramolino,	রামলীনো,	রামোলিনো,	
ancholsomuho,	আঞ্কলসমূহ,	অঞ্চলসমূহ,	
transformaarer,	ট্রান্সমফরমারের,	ট্রান্সফরমারের,	
khappar,	খাপপার,	খপ্পর,	
jonoikaa,	জনককা,	জনৈকা,	
sonaicha,	সোনাইচা,	সোনাইচা,	
teoner,	টেওনের,	টিওনার,	
vabuk,	ভাবুক,	ভাবুক,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
milekhanek,	মিলাখেনেক,	মাইলখানেক,	
graambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
bipajjanak,	বিপঞ্জনক,	বিপজ্জনক,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
karecho,	কারছো,	করেছো,	
ghoomachhilo,	ঘরমাছিল,	ঘুমাচ্ছিল,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
shahoshikatar,	শাহসিকতার,	সাহসিকতার,	
ekok,	একক,	একক,	
choudhursoho,	চৌদুরসহ,	চৌধুরসহ,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
degree,	দেগ্রী,	ডিগ্রি,	
korley,	করলি,	করলে,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
pharmesigulote,	ফার্মেসিগুলোতে,	ফার্মেসীগুলোতে,	
milton,	মিলটন,	মিলটন,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
shoriph,	শরিফ,	শরিফ,	
ekhate,	এখাতে,	একহাতে,	
pyore,	প্রয়ের,	পিওর,	
debdebie,	দেববীদে,	দেবদেবী,	
mulor,	মুলোর,	মুলোর,	
nirmankaaj,	নির্মনকাজ,	নির্মাণকাজ,	
sip,	সিপ,	শিপ,	
chhootochhuti,	ছোটচুটি,	ছুটোছুটি,	
haitasha,	হাইতাশা,	হাইটস,	
laiseensee,	লাইসসিন্স,	লাইসেন্স,	
kanasharabheshhana,	কনশাভাষনে,	কনসারভেশন,	
anichchi,	অনিচ্ছি,	আনিচ্ছি,	
bagdadii,	বাগদাদি,	বাগদাদী,	
amar,	আমার,	আমর,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
ghoshito,	ঘোষিত,	ঘোষিত,	
shansthaner,	শানসষ্ঠানের,	সংস্থানের,	
upbasher,	উপবাশের,	উপবাসের,	
ul,	উল্,	উল,	
bisshaskey,	বিশ্সাকে,	বিশ্বাসকে,	
carbus,	কার্বাস,	কারবাস,	
qyapasula,	ক্যাপাসুলা,	ক্যাপসুল,	
charpanch,	চারপঞ্চ,	চারপাঁচ,	
songkulan,	সংকুলান,	সংকুলান,	
kanasarabheeshana,	কনসারভভষণ,	কনসারভেশন,	
somraatder,	সম্রাদদের,	সম্রাটদের,	
stagecraft,	স্টেগাক্রফ্যাট,	স্টেজক্রাফট,	
harasta,	হরসা্ত,	হারাস্তা,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
bonobhumi,	বনভূমি,	বনভূমি,	
koordira,	কোরডিরা,	কুর্দিরা,	
adhyatmikata,	অধ্যাতমিকতা,	আধ্যাত্মিকতা,	
chuti,	চুটি,	ছুটি,	
america,	আমেরিকা,	আমেরিকা,	
deputee,	ডেপুটি,	ডেপুটি,	
maail,	মাইল,	মাইল,	
niemond,	নিয়ামন্ড,	নিমন্ড,	
asamanyo,	অসামন্য,	অসামান্য,	
holdim,	হোল্দিম,	হোল্ডিং,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
chaloke,	চালকে,	চালকে,	
jaruri,	জারুরি,	জরূরী,	
sorting,	সর্টিং,	সর্টিং,	
sanghatakder,	সংখাতদের,	সংঘটকদের,	
sakshatkarer,	সাক্ষাতকের,	সাক্ষাৎকারের,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
nilfamarir,	নীলফামীরির,	নীলফামারীর,	
daebug,	দাইবুগ,	ডিবাগ,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
unitgulo,	উনিতগুলো,	ইউনিটগুলো,	
tantubayer,	তন্তুবায়ের,	তন্তুবায়ের,	
dhonni,	ধননি,	ধন্যি,	
reflex,	রিফ্লেক্স,	রিফ্লেক্স,	
shumo,	শুমো,	সুমো,	
kanthar,	কানথার,	কাঁথার,	
surakarder,	সুরকরদের,	সুরকারদের,	
hisabagyan,	হিসাবাজ্ঞান,	হিসাবজ্ঞান,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
shamshere,	শমশেরে,	শমসের,	
azaan,	আজান,	আজান,	
cinematographar,	সিনেমাটোগ্রাফার,	সিনেমাটোগ্রাফার,	
baibosthar,	বৈযবস্থার,	ব্যবস্থার,	
pretty,	প্রেটি,	প্রিটি,	
dabliudabliui,	দাবলিউবললিউ,	ডাব্লিউডাব্লিউই,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
female,	ফেমালে,	ফিমেল,	
udor,	উদর,	উদর,	
laat,	লাত,	লাট,	
chirkoot,	চিরকুট,	চিরকুট,	
ekekrokom,	একেকরকম,	একেকরকম,	
chorchita,	চরচিটা,	চর্চিত,	
behrampurer,	বেহারমপুরের,	বহরমপুরের,	
sahojatprobritti,	সহজৎপ্রবৃত্তি,	সহজাতপ্রবৃত্তি,	
saver,	সাভার,	সেভার,	
madhuree,	মধুরী,	মাধুরী,	
elakatay,	এলাকাটায়,	এলাকাতে,	
shotodha,	শতধা,	শতধা,	
karaa,	কারা,	কারো,	
janosamaj,	জনসমাজ,	জনসমাজ,	
gaichhe,	গাইছে,	গাইছে,	
bisnukey,	বিস্নুকে,	বিষ্ণুকে,	
eshtonia,	এসতনিয়া,	এস্তোনিয়া,	
taufik,	তৌফিক,	তৌফিক,	
edic,	এডিক,	এডিক,	
ashamorthito,	অশামর্থিত,	অসমর্থিত,	
freekeh,	ফ্রিকেহ,	ফ্রিকেহ,	
ghatiti,	ঘাটিটি,	ঘাঁটিটি,	
licencer,	লাইসেন্সের,	লাইসেন্সের,	
aajeej,	আজীজ,	আজিজ,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
nabbata,	নব্বতা,	নাব্যতা,	
karuna,	করুনা,	করুণা,	
seqtara,	সেকটারা,	সেক্টর,	
kidambi,	কিদম্বী,	কিদম্বি,	
akkheperi,	অক্ষেপেরই,	আক্ষেপেরই,	
rakhtokkharoner,	রাক্তধারণের,	রক্তক্ষরণের,	
hames,	হামেস,	হোমস,	
poddhotiteyi,	পদ্ধটিতেই,	পদ্ধতিতেই,	
bojiye,	বজিয়ে,	বজিয়ে,	
barack,	ব্যারাক,	বারাক,	
bachhaikrito,	বাছারিক্ত,	বাছাইকৃত,	
poorohitder,	পোরহহিতদের,	পুরোহিতদের,	
mythological,	মিথলিয়াকল,	মাইথলজিকাল,	
daaun,	ডাউন,	ডাউন,	
oisamoyer,	ঐশমযয়ের,	ঐসময়ের,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
obosore,	অবসরে,	অবসরে,	
pisach,	পিসাচ,	পিশাচ,	
laaz,	লাজ,	লাজ,	
nodimaatrik,	নদিমা্যটিক,	নদীমাতৃক,	
hafsa,	হাফসা,	হাফসা,	
roopdan,	রুপডান,	রুপদান,	
thechar,	ঠেচার,	থ্যাচার,	
silabhara,	সিলাভারা,	সিলভার,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
graambashee,	গ্রামবশশী,	গ্রামবাসী,	
sectore,	সেকটরর,	সেক্টরে,	
liceensee,	লিসিন্সি,	লাইসেন্স,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
hosney,	হোসনে,	হোসনে,	
mukhoshdharir,	মুখোষধারীর,	মুখোশধারীর,	
greep,	গ্রীপ,	গ্রিপ,	
chaalaabi,	চালাবি,	চালাবে,	
vangley,	ভাঙ্গলি,	ভাঙলে,	
jaanachhe,	যানাচে,	জানাচ্ছে,	
saurce,	সার্সে,	সোর্স,	
atarkitey,	আতরকিতে,	অতর্কিতে,	
chhutochhooti,	ছুটছছটি,	ছুটোছুটি,	
oporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
maudelder,	মাউডেলদের,	মডেলদের,	
nirarthak,	নিরার্থক,	নিরর্থক,	
tasminer,	তাসমিনের,	তাসমিনের,	
shakar,	শাকর,	সকার,	
konar,	কোনার,	কণার,	
koreempoor,	করিমপুর,	করিমপুর,	
dhyana,	ধ্যানা,	ধ্যান,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
ragei,	রাগেই,	রাগেই,	
popke,	পপকে,	পোপকে,	
wagadada,	ওয়াগাদাদা,	বাগদাদ,	
sanaktakaran,	সনকক্তকরণ,	সনাক্তকরণ,	
kormobuddhite,	কর্মবুদ্ধিতে,	কর্মবুদ্ধিতে,	
jothon,	যথন,	যথন,	
mohajot,	মহাজত,	মহাজোট,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
swarther,	স্বর্থের,	স্বার্থের,	
sondhisthaponer,	সন্ধিস্থাপনের,	সন্ধিস্থাপনের,	
bhogiroth,	ভগীপথ,	ভগীরথ,	
dhhaloor,	ঢালুর,	ঢালুর,	
video,	ভিডেও,	ভিডিয়োও,	
miraqela,	মিরেকেলা,	মিরাকেল,	
lagto,	লাগতো,	লাগতো,	
chalochchitraeei,	চললচ্চিত্রীরেই,	চলচ্চিত্রেই,	
akmato,	আকমাতো,	একমত,	
gujob,	গুজব,	গুজব,	
shekender,	শেকেন্দর,	সেকেন্ডের,	
bishasey,	বিশাসে,	বিশ্বাসে,	
abhidhaanick,	অভিধানান্ক,	অভিধানিক,	
kortona,	কর্তনা,	করতনা,	
muhuriganj,	মুহুরীগঞ্জ,	মুহুরীগঞ্জ,	
spredasita,	স্প্রেডাসিটা,	স্প্রেডশীট,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
poorohitra,	পোরহহিত্র,	পুরোহিতরা,	
scholastik,	স্কল্সটিক,	স্কলাস্টিক,	
sausagee,	সসাগী,	সসেজ,	
akkaas,	আক্কাস,	আককাস,	
tookrote,	তরকুরতে,	টুকরোতে,	
ishtone,	ইস্তোন,	স্টোন,	
jounotar,	যৌনতার,	যৌনতার,	
miitar,	মিতার,	মিত্র,	
suri,	সুরি,	সুরি,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
songasthatir,	সঙ্চাস্থতির,	সংস্থাটির,	
hert,	হার্ট,	হার্ট,	
zibonnogor,	জীবননগর,	জীবননগর,	
monjurul,	মন্জুরুল,	মনজুরুল,	
saria,	সারিয়া,	সরিয়া,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
donat,	দনাত,	ডোনাট,	
attacharito,	অট্চাচারিত,	অত্যাচারিত,	
oncoltike,	অন্কললটিকে,	অঞ্চলটিকে,	
biswashi,	বিশ্বাশী,	বিশ্বাসই,	
byke,	বাইক,	বাইক,	
ponthaar,	পন্থার,	পন্থার,	
euqalyptus,	ইইক্লিপিটাস,	ইউক্যালিপ্টাস,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
recondishon,	রেকন্ডশন,	রিকন্ডিশন,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
byaktikegreptar,	ব্যক্তিকেলস্্রেটর,	ব্যক্তিকেগ্রেপ্তার,	
besooro,	বেসুরো,	বেসুর,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
panchashjan,	পঞ্চাশন,	পঞ্চাশজন,	
jorury,	জরুরী,	জরূরী,	
surke,	সুরকে,	সুরকে,	
tarunra,	তরুণরা,	তরুণরা,	
site,	সিতে,	সিটে,	
pleto,	প্লেটো,	প্লেটো,	
ghamtaa,	ঘামটা,	ঘোমটা,	
purushika,	পুরুষিকা,	পুরুষিকা,	
jolrang,	জলরাং,	জলরঙ,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bosantake,	বসন্তাকে,	বসন্তকে,	
boner,	বনের,	বনের,	
sorano,	সোরানো,	সরানো,	
deobonde,	দেওবন্ডে,	দেওবন্দে,	
niharkantibabu,	নিহারক্ষণণাববা,	নিহারকান্তিবাবু,	
ponchaashjon,	পঞ্চাশন,	পঞ্চাশজন,	
pratiyogitar,	প্রতিয়োগীতার,	প্রতিযোগীতার,	
cbi,	সিবিআই,	সিবিআই,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
humner,	হামনার,	হামনার,	
ajuhath,	অজুহাঠ,	অজুহাত,	
salphat,	সাফফাত,	সালফেট,	
raiialati,	রায়ায়ালিট,	রয়্যালটি,	
deaubande,	ডিউজবন্ডে,	দেওবন্দে,	
kourabe,	কৌরাবে,	কৌরবে,	
anektai,	অনেকটাই,	অনেকটাই,	
bonorajite,	বনরাজিতে,	বনরাজিতে,	
deraa,	দেরা,	ডেরা,	
shudden,	শুদ্দেন,	সাডেন,	
horidbar,	হরিদবার,	হরিদ্বার,	
ranangane,	রানাঙ্গানে,	রণাঙ্গনে,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
bojata,	বোজাতা,	বোজাটা,	
sossar,	সসসার,	সকার,	
