goonoman,	গনোমান,	গুণমান,	
bisnuke,	বিস্নুকে,	বিষ্ণুকে,	
khagen,	খাগেন,	খগেন,	
omarader,	ওমারাদের,	ওমারাদের,	
hillse,	হিলসে,	হিলসে,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
taims,	টাইমস,	টাইমস্,	
salchak,	সালচক,	সালচাক,	
dhache,	ধাচে,	ধাঁচে,	
bhadaka,	ভাদাকা,	ভদকা,	
ronangane,	রোনাঙ্গানে,	রণাঙ্গনে,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
hughkey,	হুঘকে,	হিউজকে,	
chitlar,	চিটলার,	চিতলার,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
chinito,	চিনিত,	চিনতো,	
jumlalancer,	জুমলালাঙ্কের,	জুমলাল্যান্সার,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
maunchostho,	মানচস্থ,	মঞ্চস্থ,	
eesa,	ইসসা,	আইএএস,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
sookumari,	সুকুমারী,	সুকুমারী,	
soource,	সুউর্স,	সোর্স,	
akhhunno,	আখুন্ন,	অক্ষুণ্ণ,	
gonesher,	গনেষের,	গণেশের,	
chadake,	চাদাকে,	চড়াকে,	
graambasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
jyaqasana,	জ্যাকাসান,	জ্যাকসন,	
harris,	হ্যারির,	হ্যারিস,	
protectionism,	প্রটেকননশিম,	প্রোটেকশনিজম,	
baman,	বামান,	বামন,	
jackey,	জ্যাকে,	জকি,	
shariba,	শরিবা,	শরিবা,	
asantosh,	আসন্তোষ,	অসন্তোষ,	
hosney,	হোসনে,	হোসনে,	
lakkhero,	লাক্ষেরও,	লক্ষেরও,	
sobaiderke,	সবাইদেরকে,	সবাইদেরকে,	
elakatir,	এলাকাতির,	এলাকাটির,	
mosjidtir,	মসজিদটির,	মসজিদটির,	
shektor,	শেক্তর,	সেক্টর,	
uporoshtho,	উপরর্থ্থ,	উপরস্থ,	
waal,	ওয়াল,	উল,	
hariken,	হারিকেন,	হ্যারিকেন,	
jonesh,	জনেশ,	জোন্স,	
gabhaskaar,	গাভাস্কার,	গাভাস্কার,	
battery,	ব্যাটারি,	ব্যাটারী,	
vogno,	ভগ্ন,	ভগ্ন,	
srk,	স্র্ক,	শাহরুখ,	
recondishon,	রেকোন্ডিশন,	রিকন্ডিশন,	
unchuporjayer,	উঁচুপগর্যয়ের,	উঁচুপর্যায়ের,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
yanqee,	যানকী,	ইয়াংকি,	
esasiyetasa,	এসাসিয়েতাস,	এসোসিয়েটস,	
cheekitshar,	চিকিতিসর,	চিকিত্সার,	
ganoporibahon,	গণপরিবহহন,	গণপরিবহন,	
elakai,	এলাকাই,	এলাকাই,	
phiksim,	ফিকসিম,	ফিক্সিং,	
bisnoo,	বিস্নুও,	বিষ্ণু,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
otyacharer,	অত্যচারের,	অত্যাচারের,	
difinisian,	ডিফিনিসিয়ান,	ডেফিনেশন,	
graambashee,	গ্রা্বাশী,	গ্রামবাসী,	
erythrian,	ইরিথ্রিয়ান,	এরিথ্রিয়ান,	
besirvagei,	বেসির্াভেই,	বেশিরভাগেই,	
obosore,	অবসরে,	অবসরে,	
somoibo,	সমইবো,	সমৈব,	
postac,	পোস্টাক,	পোস্টকে,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
giitikobita,	গীতিকোবিতা,	গীতিকবিতা,	
eura,	ইউরু,	ইউরো,	
graambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
chikkingsasoho,	চিক্সিংসাসহ,	চিকিংসাসহ,	
shommotite,	শম্মতিতে,	সম্মতিতে,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
argho,	আর্ঘো,	অর্ঘ্য,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
rinobodh,	ঋণবোধ,	ঋণবোধ,	
chrystal,	ক্রিস্টাল,	ক্রাইস্টাল,	
tapdei,	তাপদেই,	তাপড়েই,	
bagdadii,	বাগদাডি,	বাগদাদী,	
bhugol,	ভূগল,	ভূগোল,	
porjotoker,	পর্যটকের,	পর্যটকের,	
nazranar,	নজরানার,	নাজরানার,	
edaningkale,	এডানিংকালে,	ইদানীংকালে,	
goora,	গোরা,	গোর,	
colgirl,	কলগির্ল,	কলগার্ল,	
peterke,	পেটারকে,	পিটারকে,	
scorey,	স্কোরে,	স্কোরে,	
liedtke,	লাইডেটকে,	লইডটক,	
rakhtokkharone,	রাখকতকারণে,	রক্তক্ষরণে,	
lutharan,	লুথারান,	লুথেরান,	
sealvi,	সিলভি,	সিলভি,	
deeares,	ডায়েরেস,	ডিআরএস,	
sahittopritite,	সাহিত্যপৃতিতেতে,	সাহিত্যপ্রীতিতে,	
prokolpoti,	প্রকলপতি,	প্রকল্পটি,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
remission,	রেমিশন,	রিমিশন,	
adhunikkaley,	আধুনিককলে,	আধুনিককালে,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
sithilotar,	সীথিলতার,	শিথিলতার,	
koyekbare,	কয়েকবারে,	কয়েকবারে,	
popaike,	পোপাইকে,	পপাইকে,	
riphleksa,	রিফলেকসা,	রিফ্লেক্স,	
sonaktokaran,	সোনাক্তকারণ,	সনাক্তকরণ,	
jamjamat,	জামজামত,	জমজমাট,	
oisamoyer,	ঐসময়ের,	ঐসময়ের,	
jontrangshogulor,	যন্ত্রাংশগুলোর,	যন্ত্রাংশগুলোর,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
suiti,	সুইতি,	সুইটি,	
hypar,	হাইপার,	হাইপার,	
tukrote,	তুক্রতে,	টুকরোতে,	
koordira,	কোর্ডিরা,	কুর্দিরা,	
udbodhaney,	উদ্বধানে,	উদ্বোধনে,	
barrageke,	বারেজেকে,	ব্যারেজকে,	
azin,	আজিন,	আজিন,	
babare,	বাবারে,	বাবারে,	
spredashiita,	স্প্রেডাশিতা,	স্প্রেডশীট,	
parswer,	পার্সবার,	পার্শ্বের,	
munim,	মুনিম,	মুনিম,	
pacbar,	প্যাকবার,	পাঁচবার,	
nirbahey,	নির্বাহে,	নির্বাহে,	
binee,	বিনী,	বেনি,	
ganaparibahan,	গণপরিবহণ,	গণপরিবহন,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
gorrer,	গোর্রের,	গোরের,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
jocqey,	জকে,	জকি,	
elaakate,	এলাকাতে,	এলাকাতে,	
abheedhaneek,	অভিধানক,	অভিধানিক,	
abdoone,	আবদুনে,	আবদুন,	
bohorompurer,	বহরপমপুরের,	বহরমপুরের,	
torutoler,	তরুতলের,	তরুতলের,	
jhalkanite,	ঝাককানিতে,	ঝলকানীতে,	
rajshri,	রাজশরী,	রাজশ্রী,	
middleton,	মিডলটটন,	মিডলটন,	
mohit,	মহিত,	মুহিত,	
hoteltee,	হটেলটি,	হোটেলটি,	
mele,	মেল,	মাইল,	
siqhar,	সিকহার,	শিকার,	
snehban,	স্নেহবান,	স্নেহবান,	
restuarant,	রেস্টুর্যান্ট,	রেষ্টুরেন্ট,	
dhos,	ধোস,	ধস,	
ikbaaler,	ইকবালের,	ইকবালের,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
golimodhye,	গলিমধ্যে,	গলিমধ্যে,	
steeit,	স্টিইট,	স্টেইট,	
palestine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
elaaka,	এলাকা,	এলাকা,	
bhangchur,	ভাংচুর,	ভাংচুর,	
projanankal,	প্রজানকাল,	প্রজননকাল,	
lutharen,	লুথারেন,	লুথেরান,	
shansthaner,	শান্স্থানের,	সংস্থানের,	
vabook,	ভাবুক,	ভাবুক,	
kraim,	ক্রাইম,	ক্রাইম,	
parking,	পার্কিং,	পার্কিং,	
jor,	জর,	জ্বর,	
maradeha,	মারাদেহা,	মরদেহ,	
saainyo,	সাইন্য,	সৈন্য,	
khoor,	খুউর,	ক্ষুর,	
supparak,	সুপ্পারক,	সুপ্পারক,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
samanyai,	সামান্ই,	সামান্যই,	
aarik,	আরিক,	আরিক,	
cantan,	ক্যান্টান,	ক্যান্টন,	
parikha,	পরিখা,	পরিখার,	
chorban,	চরবান,	চর্বন,	
senabahineeow,	সেনাবাহিন,	সেনাবাহিনীও,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
bosben,	বসবেন,	বসবেন,	
kantajir,	কান্তাজির,	কান্তজির,	
farna,	ফার্না,	ফার্ন,	
tachnach,	টাচনাচ,	তছনছ,	
nirvaha,	নির্ভাহা,	নির্বাহ,	
ritesh,	ঋতেশ,	রিতেশ,	
muradkey,	মুরাকডে,	মুরাদকে,	
byabaharkareederke,	ব্যবহারকীদেরকে,	ব্যবহারকারীদেরকে,	
ghuznavi,	গুজনাভী,	গজনভি,	
victor,	ভিক্টর,	ভিক্টর,	
udvaboney,	উদভানে,	উদ্ভাবনে,	
karaa,	করা,	কারো,	
mirina,	মিরিনা,	মিরিনা,	
dai,	দাই,	দিই,	
shilbar,	শিলবার,	সিলভার,	
teunar,	তেউনার,	টিউনার,	
bujhechhila,	বুঝেছিলা,	বুঝেছিল,	
deputee,	দেপুতি,	ডেপুটি,	
kinenni,	কিনেন্নি,	কিনেননি,	
swajan,	স্বজন,	স্বজন,	
semai,	সেমাই,	সেমাই,	
onurbar,	অনুর্বার,	অনুর্বর,	
muradke,	মুরাডকে,	মুরাদকে,	
shulfate,	শুলফাতে,	সালফেট,	
neerbahi,	নীরবাহী,	নির্বাহি,	
macbeth,	মাকবেছ,	ম্যাকবেথ,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
treebhuj,	ত্রিুজ,	ত্রিভূজ,	
thyachar,	থ্যাচার,	থ্যাচার,	
elakaate,	এলাকাতে,	এলাকাতে,	
monjooshree,	মঞ্জশূরী,	মঞ্জুশ্রী,	
seqtara,	সেকতারা,	সেক্টর,	
armashtram,	আর্মাষ্ট্রম,	আর্মস্ট্রং,	
bikretaara,	বিক্রেতারা,	বিক্রেতারা,	
proo,	প্রু,	প্রো,	
tolemy,	টোলেমি,	টলেমির,	
shuchonakal,	শুচনাকল,	সূচনাকাল,	
chakundite,	চকুন্দিতে,	চাকুন্দিতে,	
nirikhe,	নিরিখে,	নিরিখ,	
jibonnogor,	জীবনগগর,	জীবননগর,	
bike,	বিকে,	বাইক,	
sonaicha,	সোনাইচা,	সোনাইচা,	
shasankarta,	শসনকর্তা,	শাসনকর্তা,	
mausumer,	মাসুমের,	মৌসুমের,	
thailandshoho,	থাইলান্দোহ,	থাইল্যান্ডসহ,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
dibet,	দিবেত,	ডিবেট,	
debete,	দেবেতে,	ডিবেট,	
ashirbadatri,	অশীরবাদত্রী,	আশীর্বাদাত্রী,	
seguloi,	সেগুলোই,	সেগুলোই,	
uporzon,	উপরজন,	উপার্জন,	
suraaropeeto,	সুরাপিত,	সুরারোপিত,	
bondhuvabaponyo,	বন্ধুভাবাপন্য,	বন্ধুভাবাপন্ন,	
hurricane,	হুরিযাকানে,	হ্যারিকেন,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
marpit,	মারপিত,	মারপিট,	
gandhiir,	গান্ধিয়ির,	গান্ধীর,	
abosare,	অবসারে,	অবসরে,	
krishibigyani,	কৃষিবিজ্ঞানী,	কৃষিবিজ্ঞানী,	
phormat,	ফরমাত,	ফরম্যাট,	
nirikh,	নিরিখ,	নিরিখ,	
paramartha,	পরমর্থ,	পরমার্থ,	
freekeh,	ফ্রিকেহ,	ফ্রিকেহ,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
scholars,	স্কোর্স,	স্কলার্স,	
heart,	হির্ট,	হার্ট,	
notikotar,	নতিকতার,	নৈতিকতার,	
poddhotiteyi,	পদ্ধতিতেইই,	পদ্ধতিতেই,	
chalake,	চালাকে,	চালকে,	
koro,	কোরো,	করো,	
pyatarne,	প্যাটার্নে,	প্যাটার্নে,	
prokolpow,	প্রকল্পু,	প্রকল্পও,	
prokolpotike,	প্রকলপতিকে,	প্রকল্পটিকে,	
kurdira,	কুরদিরা,	কুর্দিরা,	
lendl,	লেন্ডল,	লেন্ডল,	
kormyi,	করমি,	কর্মই,	
bijito,	বিজিত,	বিজিত,	
siima,	সিমা,	সীমা,	
sangbadmadhyame,	সংবাদমাযম্মে,	সংবাদমাধ্যমে,	
moshahidur,	মশাহিদুর,	মোশাহিদুর,	
ghumunoi,	ঘুমুনোই,	ঘুমুনোই,	
taronee,	তারণী,	তরণী,	
qaferder,	কাফারদের,	কাফেরদের,	
sweety,	স্বিটি,	সুইটি,	
kobutorer,	কবুতরের,	কবুতরের,	
mmehonoti,	মেমেহনতি,	মেহনতি,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
poriikkhateo,	পরিষ্ঠেকেও,	পরীক্ষাতেও,	
bhabatarini,	ভাবাতিণী,	ভবতারিণী,	
deool,	ডেওল,	দেউল,	
guzober,	গুজবের,	গুজবের,	
shamshernagar,	শমশেরনগরের,	শমশেরনগর,	
safiin,	সাফিইন,	সাফিন,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
graambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
peeth,	পিথ,	পীঠ,	
ruptan,	রূপতান,	রূপটান,	
porizoner,	পরিজনের,	পরিজনের,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
safiha,	সাফিহা,	সাফিহা,	
shishu,	শিশু,	শিশু,	
kayartara,	কায়ারটারা,	কোয়ার্টার,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
yak,	যাক,	ইয়াক,	
byatari,	ব্যাটারি,	ব্যাটারী,	
nagorikota,	নাগরিকোটা,	নাগরিকতা,	
lakshmir,	লক্ষ্মীর,	লক্ষ্মীর,	
deenes,	ডিনেস,	দীনেশ,	
turky,	টার্কি,	তুর্কি,	
sheets,	শিটস,	শীটস,	
infarmatian,	ইনফার্যায়ান,	ইনফরমেশন,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
alimpiqa,	আলিম্পিকা,	অলিম্পিক,	
norfolk,	নরফলক,	নরফোক,	
sures,	সুরেস,	সুরেশ,	
dakticket,	ডাক্িকেট,	ডাকটিকিট,	
land,	ল্যান্ড,	ল্যান্ড,	
byabaharkariderke,	ব্যবহারীকেরীদেরকে,	ব্যবহারকারীদেরকে,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
venuser,	ভেনেসের,	ভেনাসের,	
hadisti,	হাদিস্তি,	হাদিসটি,	
phising,	ফিসিং,	ফিসিং,	
sima,	সিমা,	সীমা,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
konroop,	কনরূপ,	কোনরূপ,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
oitijjha,	ঐতিজ্ঝা,	ঐতিহ্য,	
backflipe,	ব্যাকফ্লিপ,	ব্যাকফ্লিপে,	
ghetu,	ঘেতু,	ঘেটু,	
grotha,	গ্রোথা,	গ্রোথ,	
musalmanderke,	মুসলমনদেরকে,	মুসলমানদেরকে,	
chorchita,	চরচিতা,	চর্চিত,	
koordider,	কৌর্দীদের,	কুর্দিদের,	
orthobochorke,	অর্থবছকে,	অর্থবছরকে,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
mirakela,	মিরাকেলা,	মিরাকেল,	
ardasha,	আর্ডশ,	আর্দশ,	
brindaboney,	বৃন্দাবনে,	বৃন্দাবনে,	
ashonkai,	আশঙ্কাই,	আশঙ্কাই,	
pleeta,	প্লিটা,	প্লেট,	
kade,	কাদে,	কোড,	
syfy,	সিফি,	সাইফাই,	
qyantana,	ক্যান্তানা,	ক্যান্টন,	
durgotsabe,	দুর্গৎসাবে,	দুর্গোৎসবে,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
cs,	সিএসএস,	সিএস,	
prithibir,	পৃথিবির,	পৃথবীর,	
majdur,	মজজদুর,	মজদুর,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
sthapanagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
akheli,	আখেলি,	আখেলী,	
yura,	য়়ারা,	ইউরো,	
vetrillocuism,	ভেট্রিলিক্সমাম,	ভেট্রিলোকুইজম,	
byathapather,	ব্থথাপথের,	ব্যথাপথের,	
madaspushto,	মদস্পাষ্ট,	মদদপুষ্ট,	
gobeshonar,	গবেষণার,	গবেষনার,	
foxcon,	ফক্সন,	ফক্সকন,	
hosto,	হোস্ত,	হস্ত,	
nirmalata,	নির্মালতা,	নির্মলতা,	
kash,	কাশ,	কাস,	
shatokeo,	শতকেও,	শতকেও,	
bamni,	বামনি,	বামনী,	
ovinetar,	অভিনেতার,	অভিনেতার,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
cholocchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
armshtronj,	আর্মোোষ্টররজ,	আর্মস্ট্রং,	
alsaar,	আলসার,	আলসার,	
besooro,	বেসুরো,	বেসুর,	
bufer,	বুফার,	বাফার,	
phutbolarder,	ফুটবলার্ডের,	ফুটবলারদের,	
rijoor,	রিজৌর,	রিজুর,	
yukeliptash,	যুকেলিপ্লাশ,	ইউক্যালিপ্টাস,	
dep,	ডেপ,	ডেপ,	
ajijer,	আজিজের,	আজিজের,	
chalai,	চালাই,	চালাবে,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
chowdhurir,	চৌধুরীর,	চৌধুরীর,	
horipur,	হরিপুর,	হরিপুর,	
meridiane,	মেরিডিয়ান,	মেরিডিয়ানে,	
sinaake,	সিনাকে,	সিনাকে,	
pohnpeic,	পোহনপেইক,	ফোনপেইক,	
uqeliptas,	ইকেলিপ্টাস,	ইউক্যালিপ্টাস,	
ispreedshiit,	ইস্প্রিশিট,	স্প্রেডশীট,	
naper,	নেপার,	ন্যাপের,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
ceramiker,	সেরামিকের,	সিরামিকের,	
chhotogolper,	ছোটলগেপের,	ছোটগল্পের,	
eshtoniya,	এস্টনিয়া,	এস্তোনিয়া,	
generalissimo,	জেনেরালিসিমো,	জেনারেলিসিমো,	
tyap,	টায়াপ,	ট্যাপ,	
zubokder,	যুবকদের,	যুবকদের,	
seconder,	সেকন্ডার,	সেকেন্ডের,	
tennis,	টেনিস,	টেনিস,	
ekatto,	একাত্ত,	একাত্ব,	
horidbar,	হরিদবার,	হরিদ্বার,	
setike,	সেতিকে,	সেটিকে,	
jokkher,	যক্ষের,	যক্ষের,	
vagini,	ভাগিনি,	ভগিনী,	
cocaine,	কোকেইন,	কোকেইন,	
parther,	পার্থের,	পার্থের,	
bosontokke,	বসনতককে,	বসন্তকে,	
antennal,	এন্তেন্নাল,	অ্যান্টেনাল,	
ashok,	আশোক,	আশোক,	
shaahaabiike,	শাহাবিকে,	সাহাবীকে,	
houzgulite,	হাউজগুলিতে,	হাউজগুলিতে,	
seshardhe,	সেষররে,	শেষার্ধে,	
bisshasyi,	বিশসাসী,	বিশ্বাসই,	
sampadon,	সম্পাদন,	সম্পাদন,	
choukato,	চৌকাতো,	চৌকাত,	
akram,	আকরাম,	আকরাম,	
starker,	স্টার্কের,	স্টার্কের,	
iqbalke,	ইকবালকে,	ইকবালকে,	
kheshar,	খেশার,	খেশার,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
manohputa,	মনোহপুতা,	মনঃপুত,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
manober,	মানবের,	মানবের,	
plak,	প্লাক,	প্ল্যাক,	
parabortee,	পারাবর্তী,	পরর্বতী,	
oncolsoho,	অন্কলসহ,	অঞ্চলসহ,	
gabinius,	গাবিনিয়াস,	গাবিনিআস,	
kleentoner,	ক্লিনোটনের,	ক্লিনটনের,	
graambasheeo,	গ্রাম্বাশও,	গ্রামবাসীও,	
klaud,	ক্লাউ,	ক্লাউড,	
bhumija,	ভূমিজা,	ভূমিজ,	
heawy,	হীউ,	হেভি,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
bowie,	বাউয়ে,	বওই,	
tanshree,	তানশ্রী,	তানশ্রী,	
geographics,	জিওগ্রোফিকসস,	জিওগ্রাফিকস,	
mane,	মানে,	মানে,	
ekghore,	একঘরে,	একঘরে,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
nirmolota,	নির্মলতা,	নির্মলতা,	
dei,	ডেই,	দিই,	
zubokra,	যুবকরা,	যুবকরা,	
mitrota,	মিত্রতা,	মিত্রতা,	
naubom,	নৌবম,	নবম,	
sangbadmadhyamgulote,	সংবাদমাধ্যাগুলোতে,	সংবাদমাধ্যমগুলোতে,	
romarder,	রোমার্ডের,	রোমারদের,	
playtey,	প্লেটে,	প্লেটে,	
haripur,	হরিপুর,	হরিপুর,	
palta,	পালটা,	পালটা,	
tinhazar,	তিনহাজার,	তিনহাজার,	
dadar,	দাদার,	দাদার,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
parishram,	পরিশ্রম,	পরিশ্রম,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
jahangirbad,	জাহাঙ্গীরবাদ,	জাহাঙ্গীরবাদ,	
sethai,	সেথাই,	সেথাই,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
chargar,	চারগার,	চার্জার,	
shnaipara,	শ্নাপারা,	স্নাইপার,	
shector,	শেক্টর,	সেক্টর,	
carzar,	কার্জার,	চার্জার,	
sulfatee,	সালফিট,	সালফেট,	
dikpal,	দিকপাল,	দিকপাল,	
queri,	কুয়েরি,	কোয়েরি,	
kottar,	কোট্তার,	কট্টর,	
somosto,	সমস্ত,	সমস্ত,	
sepha,	সেফা,	শেফ,	
bidhirnityang,	বিধির্ণিত্যাং,	বিধির্নিত্যং,	
abosan,	অবসান,	অবসান,	
naazee,	নাজী,	নাত্সি,	
mase,	মাসে,	মাসে,	
rilayensa,	রিলায়েনস,	রিলায়েন্স,	
sompadon,	সম্পাদন,	সম্পাদন,	
ghatiti,	ঘাতি,	ঘাঁটিটি,	
nottee,	নটটী,	নোটটি,	
susamo,	সুসামো,	সুসম,	
sahocorje,	সাহকর্যে,	সাহচর্যে,	
tiuning,	টিউনিং,	টিউনিং,	
bohudeen,	বহুদীন,	বহুদিন,	
megh,	মেঘ,	মেঘ,	
marri,	মাররি,	ম্যারি,	
chirantan,	চিরান্তন,	চিরন্তন,	
jinsa,	জিনসা,	জিন্স,	
jamkaalo,	জামকালো,	জমকালো,	
bhejaano,	ভেজানো,	ভেজানো,	
korush,	করুশ,	ক্রুশ,	
hetimganje,	হেতিমগঞ্জে,	হেতিমগঞ্জে,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
domonmulok,	দমনমূলক,	দমনমূলক,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
omanisa,	ওমানিসা,	অমানিশা,	
kushakhali,	কুশাখালি,	কুশাখালি,	
timathi,	তিমাঠি,	টিমোথি,	
kajangale,	কাজালগালে,	কজঙ্গলে,	
vince,	ভিন্স,	ভিন্স,	
heze,	হেজে,	হেজ,	
kirke,	কিরকে,	কিরকে,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
kolkarkhana,	কোলকারখোনা,	কলকারখানা,	
chokrantosoho,	চক্রান্তসহ,	চক্রান্তসহ,	
dip,	ডিপ,	দীপ,	
haitasha,	হাইতাশা,	হাইটস,	
narishwar,	নারীশ্বর,	নারীশ্বরের,	
meloonborroner,	মেলউনবর্রনের,	মেলবোর্নের,	
bandra,	বান্দ্রা,	বন্দীরা,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
uddharkarmirai,	উদ্ধারকর্মীরাই,	উদ্ধারকর্মীরাই,	
shangsthaner,	শাংস্থানের,	সংস্থানের,	
aamor,	আমর,	আমর,	
ramolino,	রামোলিনো,	রামোলিনো,	
neshnos,	নেশনোস,	নেশনস,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
johny,	জোহি,	জনি,	
sarboshokteeman,	সর্বশক্তিমান,	সর্বশক্তিমান,	
atmiyasulabh,	আত্মীয়ালুভা,	আত্মীয়সুলভ,	
chaudhuriyo,	চৌধুরীও,	চৌধুরীও,	
mukhya,	মুখ্যা,	মুখ্য,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
rubala,	রুবালা,	রুবল,	
bojhe,	বোঝে,	বোঝে,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
firth,	ফির্থ,	ফার্থ,	
jothon,	যথন,	যথন,	
skolarsip,	স্কোর্লাইপ,	স্কলারশিপ,	
krom,	ক্রম,	ক্রম,	
senabahineekey,	সেনাবাহীনেক,	সেনাবাহিনীকে,	
amiya,	আমিয়া,	অমিয়,	
pulivendla,	পুলিভেন্ডলা,	পুলিভেন্ডলা,	
bishnoo,	বিশ্নুও,	বিষ্ণু,	
cheenja,	চিনজা,	চেঞ্জ,	
artore,	আর্তোরে,	আর্টরে,	
poste,	পোস্তে,	পোস্টে,	
sadeep,	সাদীপ,	সদীপ,	
probhuder,	প্রভুদের,	প্রভুদের,	
notey,	নোটে,	নোটে,	
gej,	গেজ,	গেজ,	
jeebanjapon,	জীবনাপপন,	জীবনযাপন,	
fostar,	ফোস্টার,	ফস্টার,	
cloudbook,	ক্লোববুক,	ক্লাউডবুক,	
podarthobidder,	পদার্থবিদদের,	পদার্থবিদদের,	
gloria,	গ্লোরিয়া,	গ্লোরিয়া,	
chhedon,	ছেদন,	ছেদন,	
louhojato,	লোহজাত,	লৌহজাত,	
shikshakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
lat,	ল্যাট,	লাট,	
alaol,	অ্যালাওল,	আলাওল,	
badhamuktovabe,	বাধামুক্তভাবে,	বাধামুক্তভাবে,	
bolatkar,	বললতকার,	বলাৎকার,	
konnoder,	কন্যদের,	কন্যদের,	
damakalkarmirao,	দমকল্কারমারাও,	দমকলকর্মীরাও,	
hert,	হার্ট,	হার্ট,	
nehle,	নেহলে,	নেহলে,	
maailkhanek,	মাইলখানেক,	মাইলখানেক,	
tongaa,	টঙ্গা,	টোঙ্গা,	
argead,	আর্জেড,	আর্জিদ,	
byaktikegreptar,	ব্যক্তিপেগ্রাপ্তর,	ব্যক্তিকেগ্রেপ্তার,	
chotogolper,	চোটলগের,	ছোটগল্পের,	
saqara,	সাকারা,	সাকার,	
deputy,	ডিপেটি,	ডেপুটি,	
shamijir,	শামিজির,	স্বামীজীর,	
shho,	শো,	শো,	
chalachchitra,	চলাচ্চিত্র,	চলচ্চিত্র,	
uporitaley,	উপরিতালে,	উপরিতলে,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
bage,	বাগে,	বাগে,	
orthanitir,	অর্থানীতির,	অর্থনীতির,	
kingsh,	কিংস,	কিংস,	
uindoos,	ইউন্ডৌস,	উইন্ডোস,	
idipasha,	ইদিপাশা,	ইডিপাস,	
beetloser,	বিটলোসের,	বিটলসের,	
shringey,	শ্রেং,	শৃঙ্গে,	
shikhaboudi,	শিখাবুদি,	শিখাবৌদি,	
bipajjanak,	বিপাজজনক,	বিপজ্জনক,	
