totokson,	তোটকসন,	ততক্ষন,	
megh,	মেঘ,	মেঘ,	
thare,	থারে,	থরে,	
vaisoho,	ভাইসহ,	ভাইসহ,	
goolen,	গুলেন,	গুলেন,	
hooq,	হুক,	হুক,	
dijijer,	দিজিজের,	ডিজিজের,	
bhoolapuka,	ভূলাপুকা,	ভোলাপুক,	
argead,	আর্জড,	আর্জিদ,	
pleeta,	প্লিটা,	প্লেট,	
fatakasto,	ফতাকাস্ত,	ফাটাকেষ্ট,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
pleena,	প্লিনা,	প্লেন,	
masjidsaho,	মাসজিদসহ,	মসজিদসহ,	
nutaner,	নুটানের,	নূতনের,	
saatzoner,	সাযজনের,	সাতজনের,	
geographics,	জিওগ্রেজিক্স,	জিওগ্রাফিকস,	
turista,	টুরিস্তা,	টুরিস্ট,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
amorendro,	অমর্নেদ্রো,	অমরেন্দ্র,	
haris,	হারিস,	হ্যারিস,	
abeganuvutir,	আবেগানুভূটির,	আবেগানুভূতির,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
gejetade,	জেজেটেড,	গেজেটেড,	
vange,	ভ্যাঙ্গে,	ভাঙ্গে,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
damakalkarmirao,	দামাকল্্্মীরাও,	দমকলকর্মীরাও,	
societyke,	সোিযটেকে,	সোসাইটিকে,	
oiteejye,	ঐতিহ্যে,	ঐতিহ্যে,	
baarbadoj,	বার্বাদজ,	বার্বাডোজ,	
chalake,	চালাকে,	চালকে,	
ekghore,	একঘরে,	একঘরে,	
sutir,	সুতির,	সুতির,	
gaddaphii,	গাদদাফী,	গাদ্দাফী,	
yura,	যুরা,	ইউরো,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
cheerokoomari,	চিরকুমারী,	চিরকুমারী,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
sompadon,	সম্পাদন,	সম্পাদন,	
jegulur,	জেগুলুর,	যেগুলুর,	
ekbakke,	একবাককে,	একবাক্যে,	
khuliechilam,	খুলিয়েছিলাম,	খুলিয়েছিলাম,	
antarbhutto,	অন্তর্ভুত্ব,	অন্তর্ভুক্ত,	
karu,	কারু,	কারু,	
drissoke,	দৃষ্ককে,	দৃশ্যকে,	
doloo,	দোলু,	ডলু,	
senabahineeow,	সেনাবাহীনহ,	সেনাবাহিনীও,	
karlei,	কারলেই,	করলেই,	
vaabnake,	ভব্নাকে,	ভাবনাকে,	
fatkabazare,	ফৎকাবাজারে,	ফাটকাবাজারে,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
cantan,	ক্যান্টান,	ক্যান্টন,	
obhaarbhiu,	ওভারভি,	ওভারভিউ,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
ghoor,	ঘুর,	ঘুর,	
groth,	গ্রোথ,	গ্রোথ,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
irana,	ইরানা,	ইরান,	
highcommissionay,	হাইকম্মিশনেয়ান,	হাইকমিশনে,	
jibnagore,	জীবনগরে,	জীবননগর,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
duiekdiner,	দুইকেদ্নিনের,	দুইএকদিনের,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
coons,	কিনস,	কুনস,	
moorali,	মুরালি,	মুরলী,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
modhumotii,	মধুমতিই,	মধুমতী,	
ummool,	উম্মুল,	উম্মুল,	
turkeyder,	টারকিইদের,	তুর্কিদের,	
ankanshilpe,	অঙ্কাঙ্শিল্পে,	অঙ্কনশিল্পে,	
kandy,	কান্ডি,	ক্যান্ডি,	
bipti,	বিপ্তি,	বিপ্তি,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
parikha,	পরীখা,	পরিখার,	
toching,	টোচিং,	টোচিং,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
tigre,	টাগ্রে,	টাইগার,	
sarjur,	সার্জুর,	সরযূর,	
poorohitra,	পোরহীত্র,	পুরোহিতরা,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
turkamena,	তুরকমেনা,	তুর্কমেন,	
chatrorai,	চাত্রোরাই,	ছাত্ররাই,	
shilpajata,	শিল্পজতা,	শিল্পজাত,	
greep,	গ্রিপ,	গ্রিপ,	
bhimsen,	ভীমসেন,	ভীমসেন,	
balithubar,	বালিতুবার,	বালিথুবার,	
giitikobita,	গীতিকিবতি,	গীতিকবিতা,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
toler,	তোলের,	তালের,	
sahittopritite,	সাহিত্যপ্রিতে,	সাহিত্যপ্রীতিতে,	
kinto,	কিন্তো,	কিনত,	
duryogamoyee,	দুর্যোগাময়,	দুর্যোগময়ী,	
sakshatkarer,	সাক্ষতকারের,	সাক্ষাৎকারের,	
kadapaker,	কাড়াপাকের,	কড়াপাকের,	
neemitte,	নিমিত্তে,	নিমিত্তে,	
qirq,	কিরক,	কার্ক,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
dorgaaho,	দরগাহা,	দরগাহ,	
saainyo,	সাইন,	সৈন্য,	
as,	এসিআ,	অস,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
lisense,	লিইসেন্স,	লাইসেন্স,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
procharona,	প্রচারনা,	প্রচারণা,	
kampita,	কামপিতা,	কম্পিত,	
drissoteer,	দৃষ্টতের,	দৃশ্যটির,	
nyeta,	ন্যাট,	ম্যাট,	
dormitory,	ডর্মটিরি,	ডরমিটরি,	
amarika,	আমারিকা,	আমেরিকা,	
ekshoti,	একশতি,	একশোটি,	
bonvumitey,	বনভুমিতে,	বনভূমিতে,	
siit,	সিত,	শীত,	
obosore,	অবসরে,	অবসরে,	
okritokarjo,	অক্রিতকর্য,	অকৃতকার্য,	
sontoshpur,	সন্তশপুর,	সন্তোষপুর,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
dhache,	ধাচে,	ধাঁচে,	
mulyayonsapekkhe,	মূল্যয়ননপ্যকেষে,	মূল্যায়নসাপেক্ষে,	
wishnu,	উইশনু,	বিষ্ণু,	
saalsa,	সালসা,	সালসা,	
machsoho,	মাছসহ,	মাছসহ,	
thailandshoho,	থাইলান্ডসহ,	থাইল্যান্ডসহ,	
taims,	তেইমস,	টাইমস্,	
ponchasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
khargosher,	খরগোশের,	খরগোসের,	
emarjensi,	এমরজেনিসি,	এমার্জেন্সি,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
eupheike,	ইউফেইকে,	ইউফেইকে,	
soleel,	সোলিল,	সলিল,	
chal,	চাল,	চাল,	
beetloser,	বিটলোসের,	বিটলসের,	
silabhara,	সিলাভরা,	সিলভার,	
tongaa,	টঙ্গা,	টোঙ্গা,	
mercial,	মার্সিয়াল,	মার্শিয়াল,	
gazipur,	গজজিপুর,	গাজিপুর,	
goodamjato,	গুডামজাত,	গুদামজাত,	
ganoparibahaner,	গণপরিবাহানের,	গণপরিবহনের,	
shilver,	শিলভার,	সিলভার,	
abarte,	অবার্তে,	আবর্তে,	
erokomer,	এরকমের,	এরকমের,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
bohoodin,	বহুদিন,	বহুদিন,	
supparak,	সুপ্রাক,	সুপ্পারক,	
bosano,	বসানো,	বসানো,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
abhidhaner,	অভিধানের,	অভিধানের,	
kantajir,	কাঁটাজির,	কান্তজির,	
venus,	ভেনুস,	ভেনাস,	
murad,	মুরাদ,	মুরাদ,	
vodqa,	ভোক,	ভদকা,	
maail,	মাইল,	মাইল,	
binee,	বিনি,	বেনি,	
gaj,	গাজ,	গেজ,	
prokalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
karadando,	কারাদান্ডো,	কারাদণ্ড,	
sulfatee,	সুলফাটি,	সালফেট,	
cholchhe,	চলছে,	চলছে,	
si,	সিআই,	এসআই,	
mathews,	মাযাভেয়াস,	ম্যাথিউস,	
heteler,	হেতেলের,	হেটেলের,	
ujobekeestan,	উজবেকিস্তান,	উজবেকিস্তান,	
israelbahini,	ইস্রালেবাহিনী,	ইস্রায়েলবাহিনী,	
uporitoler,	উপরিতলের,	উপরিতলের,	
muchlima,	মুছলিমা,	মুছলিমা,	
thaii,	থাই,	থাই,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
shomser,	শোমসের,	সমশের,	
sthapanagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
tukroke,	তুকরকে,	টুকরোকে,	
khagen,	খাগেন,	খগেন,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
diibug,	দিয়ুগু,	ডিবাগ,	
dadapur,	দাদাপুর,	দাদাপুর,	
serup,	সেরুপ,	সেরূপ,	
latsaheb,	লাৎসাহেব,	লাটসাহেব,	
rokkhonabekkhoner,	রক্ষণাবেন্ষণের,	রক্ষণাবেক্ষণের,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
ixprission,	এক্সপ্রিশন,	এক্সপ্রেশন,	
bikretaara,	বিক্রেতারা,	বিক্রেতারা,	
remacri,	রিমারকি,	রেমাক্রী,	
riazuddin,	রিয়াজউদ্দিন,	রিয়াজউদ্দীন,	
diznee,	দিজনি,	ডিজনী,	
choudry,	চাউড্রি,	চৌধুরী,	
homsher,	হোমশের,	হোমসের,	
hadisti,	হাদিস্তি,	হাদিসটি,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
khaaneker,	খানেকের,	খানেকের,	
asociatis,	অ্যাসিটিটিস,	এসোসিয়েটস,	
asamorik,	আসামরিক,	অসামরিক,	
dienes,	দাইনেস,	ডিএনএস,	
magrey,	ম্যাগরে,	ম্যাগ্রে,	
hajeerhatt,	হাজীরহাট,	হাজিরহাট,	
rinattak,	ঋণত্তক,	ঋনাত্মক,	
supreetira,	সুপ্রীতিরা,	সুপ্রীতিরা,	
dakteekiter,	ডাক্তিকেতের,	ডাকটিকিটের,	
shangkalonti,	শাঙ্কলনটি,	সংকলনটি,	
jonomukhi,	জনমুখী,	জনমুখী,	
chinito,	চিনিত,	চিনতো,	
rabo,	রাবো,	রব,	
canservatian,	ক্যানভারিস্যান,	কনসারভেশন,	
gondhe,	গণ্ধে,	গন্ধে,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
akar,	আকার,	একার,	
chinto,	চিন্ত,	চিনতো,	
hepatetisa,	হেপাটিটিস,	হেপাটাইটিস,	
qanasarabheshana,	কাসারেশান,	কনসারভেশন,	
jothon,	যথন,	যথন,	
asabhya,	অসভ্য,	অসভ্য,	
titarer,	তিতারের,	তিতারের,	
osamanno,	ওসামান্ন,	অসামান্য,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
charger,	চার্জের,	চার্জার,	
capsule,	ক্যাপসুলে,	ক্যাপ্সুল,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
mekapgulo,	মেকাপগুলো,	মেকআপগুলো,	
mase,	মাসে,	মাসে,	
habathu,	হাবাথু,	হাবাথু,	
lettar,	লেট্টার,	লেটার,	
daltyagi,	দল্ত্যাগী,	দলত্যাগী,	
shektore,	শেকতরে,	সেক্টরে,	
drishi,	দৃষী,	দৃশ্যই,	
awrbit,	অর্বিট,	অরবিট,	
tricksguli,	ট্রিকসগুলি,	ট্রিকসগুলি,	
basakey,	বাসাকে,	বাসাকে,	
tyap,	ট্যাপ,	ট্যাপ,	
eduardo,	এডুয়ার্ডো,	এডুয়ার্দো,	
felto,	ফেল্টো,	ফেলত,	
sahozlabhbhatar,	সহলাবভাতার,	সহজলভ্যতার,	
bhogni,	ভগ্নি,	ভগ্নী,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
bhogno,	ভগ্ন,	ভগ্ন,	
halding,	হাল্ডিং,	হোল্ডিং,	
podarthobidder,	পদার্থবিদদের,	পদার্থবিদদের,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
baffer,	বাফার,	বাফার,	
samyuktha,	সমমুক্থ,	সামিউক্তা,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
ateetkaale,	অতিতকালে,	অতীতকালে,	
kagbeni,	কাগবেনী,	কাগবেনি,	
artore,	আর্তরে,	আর্টরে,	
byomkesh,	ব্যমককেশ,	ব্যোমকেশ,	
gaichhe,	গাইছে,	গাইছে,	
majdur,	মাজদুর,	মজদুর,	
choudhurike,	চৌধুরীকে,	চৌধুরীকে,	
kalenga,	কালেঙ্গা,	কালেঙ্গা,	
chhanada,	ছানাড়া,	ছানাদা,	
andra,	আন্দ্রা,	আন্ড্রা,	
modelkey,	মোডেলকে,	মডেলকে,	
vins,	ভিন্স,	ভিন্স,	
gaichey,	গাইছে,	গাইছে,	
hukar,	হুকার,	হুকার,	
monchostho,	মন্চস্থ,	মঞ্চস্থ,	
yak,	যাকে,	ইয়াক,	
edic,	এডিক,	এডিক,	
jomoker,	জমকের,	জমকের,	
gandhariir,	গানধারীর,	গান্ধারীর,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
providere,	প্রভিদেরে,	প্রভাইডারে,	
palteche,	পাল্টেছে,	পাল্টেছে,	
keui,	কেউ,	কেউই,	
shikare,	শিকারে,	শিকারে,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
armstronz,	আর্মস্টরর্ন,	আর্মস্ট্রং,	
chorban,	চরবান,	চর্বন,	
ashiatic,	অশিয়াটিক,	এশিয়াটিক,	
nazranar,	নজররনার,	নাজরানার,	
drissogulote,	দৃষ্গগুলোতে,	দৃশ্যগুলোতে,	
sobrakomer,	সব্রাকমের,	সবরকমের,	
beila,	বেইলা,	বেইলা,	
houzgulite,	হাউজগুলিতে,	হাউজগুলিতে,	
jipiusamriddha,	জিপিমুস্দ্ধধ,	জিপিউসমৃদ্ধ,	
manatmulak,	মানতমূলক,	মানতমূলক,	
fishing,	ফিশিং,	ফিসিং,	
directorete,	ডিরেক্টরোট,	ডিরেক্টরেট,	
nibeditar,	নিবেদিতার,	নিবেদিতার,	
dormroome,	ডরমরমম,	ডর্মরুমে,	
kirke,	কিরকে,	কিরকে,	
ahong,	আহং,	অহং,	
bollov,	বল্লোভ,	বল্লভ,	
phutonta,	ফুটনটা,	ফুটন্ত,	
vishnuu,	বিশুনু,	বিষ্ণু,	
shikkhakram,	শিক্ষক্রম,	শিক্ষাক্রম,	
mosharroph,	মোশার্োফ,	মশাররফ,	
shubhag,	শুভাগ,	শুভাগ,	
nirbaho,	নির্বাহ,	নির্বাহ,	
bhramapraban,	ভ্রমপ্রবণ,	ভ্রমপ্রবণ,	
sthapona,	স্থাপনা,	স্থাপনা,	
uponeeshod,	উপনেষদ,	উপনিষদ,	
taitela,	তাইতেলা,	টাইটেল,	
addata,	আদ্দতা,	আড্ডাটা,	
ganochin,	গণচিন,	গণচীন,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
rifleksa,	রিফলেক্সা,	রিফ্লেক্স,	
phising,	ফিজিং,	ফিসিং,	
nabbata,	নব্বতা,	নাব্যতা,	
hosney,	হোসনে,	হোসনে,	
iqbalke,	ইকবালকে,	ইকবালকে,	
cs,	সিএস,	সিএস,	
ogovir,	অগভীর,	অগভীর,	
orunima,	ওরুণিমা,	অরুণিমা,	
biphal,	বিফাল,	বিফল,	
ekatto,	একাত্ত,	একাত্ব,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
bhugol,	ভুগোল,	ভূগোল,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
dobhaar,	দোভার,	ডোভার,	
abheedhaneek,	অভেধানীক,	অভিধানিক,	
nek,	নেক,	নেক,	
supplenza,	সাপ্লজেজা,	সাপলেঞ্জা,	
upobaasee,	উপবাসী,	উপবাসী,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
ovinetar,	অভিনেতার,	অভিনেতার,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
nikela,	নিকেলা,	নিকেল,	
sahapathike,	সহপাঠীকে,	সহপাঠীকে,	
shasyadi,	শস্যাদি,	শস্যাদি,	
mandondo,	মান্ডন্ড,	মানদণ্ড,	
kadakhonchar,	কাদাখোঁচার,	কাদাখোঁচার,	
marathi,	মারাথি,	মরাঠি,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
video,	ভিডেও,	ভিডিয়োও,	
protistha,	প্রতিস্থা,	প্রতিষ্টা,	
annorup,	অন্নরূপ,	অন্যরূপ,	
somonnitobhabe,	সমন্নিতভাবে,	সমন্বিতভাবে,	
karmazog,	কর্মাজোগ,	কর্মযোগ,	
bodhir,	বোধীর,	বধির,	
kosambir,	কোসাম্বীর,	কোসাম্বীর,	
aniyantrita,	অনিয়ন্ত্রীত,	অনিয়ন্ত্রিত,	
chhayi,	ছায়ি,	ছাই,	
ponchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
samaveshke,	সমাভেশকে,	সমাবেশকে,	
marodeho,	মারোদেহো,	মরদেহ,	
veenish,	ভিনিশ,	ভেনিস,	
sathik,	সাথিক,	সঠিক,	
jonoikaa,	জোনকা,	জনৈকা,	
brittakare,	বৃত্তাকারে,	বৃত্তাকারে,	
sthitiko,	স্থিতিকও,	স্থিতিকো,	
shoriph,	সরীফ,	শরিফ,	
degreeo,	দিগ্রিও,	ডিগ্রিও,	
ukeliptas,	উউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
oitijjha,	ঐতিয্,	ঐতিহ্য,	
antorvuktimulak,	অ্যান্টরভুটিমুলক,	অন্তর্ভুক্তিমূলক,	
kotibondhe,	কতিবন্ধে,	কটিবন্ধে,	
bbosonto,	ব্ববন্ত,	বসন্ত,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
pinogbagke,	পিনোজবাগকে,	পিনগবাগকে,	
dombhoke,	দম্ভকে,	দম্ভকে,	
dokaanei,	দোকানেই,	দোকানেই,	
jitpur,	জিতপুরের,	জিতপুরের,	
fatakesto,	ফাতাকেস্ত,	ফাটাকেষ্ট,	
kalakushalir,	কালাকুশীলীর,	কলাকুশলীর,	
gajiipur,	গজিয়পুর,	গাজীপুর,	
nathivookteer,	নাথিভুক্তির,	নথিভুক্তির,	
boner,	বনের,	বনের,	
prachando,	প্রাচান্ড,	প্রচণ্ড,	
khalidkay,	খালিদকা,	খালিদকে,	
breq,	ব্রেক,	ব্রেক,	
bagicha,	বাগিচা,	বাগিচা,	
bhuushito,	ভৌষিত,	ভূষিত,	
kalki,	কালকি,	কালকি,	
kul,	কুল,	কুল,	
meghachchanno,	মেঘাচ্ছান্ন,	মেঘাচ্ছন্ন,	
oedipus,	ওডিপুস,	ইডিপাস,	
oitijhyotike,	ঐতিহ্যটিকে,	ঐতিহ্যটিকে,	
seniar,	সেনিয়ার,	সিনিয়র,	
alexanderke,	অ্যালেক্সান্ডারকে,	আলেকজান্ডারকে,	
hijri,	হিজরি,	হিজরী,	
andamana,	আন্দামনা,	আন্দামান,	
harja,	হার্জা,	হার্জ,	
loombinee,	লাম্বিন,	লুম্বিনী,	
karmasampadon,	কর্মসম্পাদন,	কর্মসম্পাদন,	
dito,	দিতো,	দিতো,	
tuni,	টুনি,	টুনি,	
tawnship,	তাউনশিপ,	টাউনশিপ,	
musabbirul,	মুসাববিরুল,	মুসাব্বিরুল,	
falasrutite,	ফলস্ুরিতে,	ফলশ্রুতিতে,	
habsi,	হাবসি,	হাবশী,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
jeshtha,	জেশ্থা,	জ্যেষ্ঠা,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
dei,	দেই,	দিই,	
sangitanusthane,	সঙ্গীতানুষ্ঠানে,	সঙ্গীতানুষ্ঠানে,	
konistho,	কোনিষ্থ,	কনিষ্ঠ,	
ooporoshtho,	অপর্ষ্ঠ,	উপরস্থ,	
kash,	কাশ,	কাস,	
pyore,	প্যোরে,	পিওর,	
chakrapani,	চক্রপানি,	চক্রপানী,	
chintakarma,	চিন্তাকর্মা,	চিন্তাকর্ম,	
gyandas,	জ্ঞানদাস,	জ্ঞানদাস,	
breel,	ব্রিল,	ব্রিল,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
shresthoshcho,	শ্রেষ্ঠশ্চ,	শ্রেষ্ঠশ্চ,	
somabeshti,	সমাবেষ্টি,	সমাবেশটি,	
vaticaner,	ভ্যাটিকেনের,	ভ্যাটিকানের,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
suisharke,	সুইশারকে,	সুইশারকে,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
setikey,	সেতিকে,	সেটিকে,	
bhikkharthe,	ভিক্ষার্থে,	ভিক্ষার্থে,	
hydrological,	হাইড্রোজিল্যাল,	হাইড্রোলজিক্যাল,	
soolke,	সুলকে,	শুল্কে,	
shloker,	শ্লোকার,	শ্লোকের,	
soorsa,	সুরসা,	সোর্স,	
kaathhaamaandu,	কথমানুন্ডু,	কাঠমান্ডু,	
orgho,	অর্ঘ,	অর্ঘ্য,	
dhaanche,	ধাছ্ছে,	ধাঁচে,	
uposhthit,	উপস্থিত,	উপস্থিত,	
jansha,	জনশা,	জন্স,	
santaa,	সান্তা,	সান্তা,	
nilfamarir,	নীলফারমীর,	নীলফামারীর,	
mukhomandal,	মুখমান্ডল,	মুখমণ্ডল,	
dakter,	ডাক্টার,	ডাকতের,	
anutpadanshil,	অনুতপাদনশীল,	অনুৎপাদনশীল,	
chokhwala,	চোখওয়ালা,	চোখওয়ালা,	
atwabishvashi,	অত্বব্যাশীশ,	আত্মবিশ্বাসী,	
aachhis,	আচিস,	আছিস,	
parinati,	পরিণাটি,	পরিণতি,	
peeri,	পিরি,	পেরি,	
phakay,	ফাকায়ে,	ফাকে,	
aakkas,	আক্কাস,	আককাস,	
shoori,	শুরী,	সুরি,	
bodhirta,	বোধিরটা,	বধিরতা,	
recondishon,	রেকন্িশন,	রিকন্ডিশন,	
attorkite,	অ্যাটরকিতে,	অতর্কিতে,	
sqirt,	স্কির্ট,	স্কার্ট,	
ramantika,	রামন্তিকা,	রোমান্টিক,	
ekghare,	একঘাে,	একঘরে,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
highcomissione,	হাইগমিশনে,	হাইকমিশনে,	
raagei,	রাগেই,	রাগেই,	
akkheperi,	অক্ষেপেরই,	আক্ষেপেরই,	
purple,	পুর্পলে,	পার্পেল,	
madhuree,	মধুরী,	মাধুরী,	
scuvi,	স্কাভি,	স্কুভি,	
vogno,	ভগ্ন,	ভগ্ন,	
nabyata,	নব্যতা,	নাব্যতা,	
pachak,	পাচাক,	পাচক,	
khaschandpur,	খাশচন্দপুর,	খাসচাঁদপুর,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
tistar,	তিস্তার,	তিস্তার,	
windows,	উইন্ডোয়াস,	উইন্ডোস,	
turbine,	টারবিন,	টারবাইন,	
infarmatian,	ইনফারমায়ান,	ইনফরমেশন,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
debete,	দেবেতে,	ডিবেট,	
beauby,	বিউবি,	বিউবি,	
ekjoge,	একযোগে,	একযোগে,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
nottee,	নটি,	নোটটি,	
vushi,	ভুষি,	ভুষি,	
rockibul,	রকিবুল,	রকিবুল,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
paramartha,	পরমার্থ,	পরমার্থ,	
humira,	হুমিরা,	হুমিরা,	
cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
kade,	কাদে,	কোড,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
queri,	কোয়েরি,	কোয়েরি,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
thabai,	থাবাই,	থাবাই,	
zoubankal,	জৌবনকাল,	যৌবনকাল,	
ghotolen,	ঘোটলেন,	ঘটলেন,	
nichols,	নিচলস,	নিকলস,	
sabrakamer,	সব্রকমের,	সবরকমের,	
ekhate,	এখাতে,	একহাতে,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
neshadrabyer,	নেশারদ্ব্যের,	নেশাদ্রব্যের,	
darjiling,	দার্জিলিং,	দার্জিলিং,	
durgatsabe,	দুর্গাৎসবে,	দুর্গোৎসবে,	
prarthitao,	প্রার্থিতাও,	প্রার্থীতাও,	
bharatey,	ভারাতে,	ভারতে,	
degree,	ডিগ্রি,	ডিগ্রি,	
neck,	নেক,	নেক,	
remacry,	রিমার্কি,	রেমাক্রী,	
saptahokal,	সপ্তহাকাল,	সপ্তাহকাল,	
miraclee,	মিরাকলি,	মিরাকেল,	
janosamaj,	জনসমাজ,	জনসমাজ,	
saom,	সায়ামো,	সাওম,	
bhaibon,	ভাইবন,	ভাইবোন,	
bidyadanke,	বিদ্যাদানকে,	বিদ্যাদানকে,	
roy,	রয়ে,	রায়,	
graambaashee,	গ্রাম্বাশি,	গ্রামবাসী,	
dheke,	ধেকে,	ঢেকে,	
pranidero,	প্রাণীদেরও,	প্রানীদেরও,	
orrgho,	ওর্ঘ,	অর্ঘ্য,	
kale,	কালে,	কালে,	
shift,	শিফট,	শিফট,	
koordira,	কুরদিরা,	কুর্দিরা,	
granada,	গ্রানাদা,	গ্র্যানাডা,	
zarniz,	জার্জিজ,	জারনিজ,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
saranor,	সরানোর,	সরানোর,	
elakaate,	এলাকাতে,	এলাকাতে,	
riphleksa,	রাফলেক্স,	রিফ্লেক্স,	
poribahokotto,	পরিবাহকত্ত,	পরিবাহকত্ব,	
jatotaa,	যাতোটা,	যতোটা,	
abheedhanic,	অভেধানিক,	অভিধানিক,	
rajpur,	রাজপুর,	রাজপুর,	
bojhe,	বোঝে,	বোঝে,	
sausagee,	সৌসাগী,	সসেজ,	
bosantake,	বসন্তাকে,	বসন্তকে,	
lagche,	লাগছে,	লাগছে,	
karaa,	কারা,	কারো,	
siddhantoke,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
joisttho,	জৈশ্ত্ত,	জ্যৈষ্ঠ,	
drissogulo,	দৃষ্গগুলো,	দৃশ্যগুলো,	
hariner,	হরিণের,	হরিণের,	
ganonanatto,	গণনানাট্,	গণনাট্য,	
songbadmadhyame,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
peethey,	পিথে,	পীঠে,	
shtona,	স্তনা,	স্টোন,	
toufiq,	তুফিক,	তৌফিক,	
chrystal,	ক্রিস্টেল,	ক্রাইস্টাল,	
mele,	মেলে,	মাইল,	
deenesh,	দীনেশ,	দীনেশ,	
dufresne,	ডাফরেনে,	ডুফরেস্ন,	
oblivion,	ওবলাইজিন,	অবলিভিয়ন,	
shakara,	শাকারা,	সাকার,	
lambi,	লামবী,	লম্বি,	
themekey,	থেমেকে,	থিমকে,	
sollallhu,	সোল্লাল্লুহ,	সল্লাল্লাহু,	
aarmstrong,	আরমমস্ট্রং,	আর্মস্ট্রং,	
debdebyr,	ডেবডেবার,	দেবদেবীর,	
seebiai,	সীবিয়াই,	সিবিআই,	
