bhenasha,	ভেনাশা,	ভেনাস,	
cinemapremider,	সিনেমাপ্রেমীদের,	সিনেমাপ্রেমীদের,	
rushod,	রুশোদ,	রুশদ,	
sabrakamer,	সব্রকামের,	সবরকমের,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
eshiyetika,	এসিয়েতিকা,	এশিয়াটিক,	
cholocchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
nopdnodir,	নপ্দনদির,	নদনদীর,	
opohoron,	অপহরণ,	অপহরন,	
bachai,	বাছাই,	বাছাই,	
khabarsoho,	খাবারসহ,	খাবারসহ,	
vobobibhuti,	ভববভভিতু,	ভববিভূতি,	
giitikobitar,	গীতিকটিবার,	গীতিকবিতার,	
sahozlabhbhatar,	সহযোলভভভাতার,	সহজলভ্যতার,	
qyantana,	ক্যান্টান,	ক্যান্টন,	
jahangirbad,	জাহাঙ্গীরবাদ,	জাহাঙ্গীরবাদ,	
fansi,	ফ্যান্সি,	ফাঁসী,	
caramiks,	ক্যারামিকস,	সিরামিকস,	
shef,	শেফ,	শেফ,	
temone,	টেমোন,	তেমনই,	
afzol,	আফজল,	আফজল,	
peeth,	পিথ,	পীঠ,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
uqeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
ekhate,	এখাতে,	একহাতে,	
pichte,	পিচতে,	পিছতে,	
everestey,	এভারেস্টে,	এভারেস্টে,	
accountdharira,	একাউন্টোরোরীরা,	একাউন্টধারীরা,	
ashirbadatri,	আশীর্বযাত্রী,	আশীর্বাদাত্রী,	
satarkokari,	সতর্ককারী,	সতর্ককারী,	
pretty,	প্রেটি,	প্রিটি,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
aniyantrita,	অনিয়ন্ত্রিত,	অনিয়ন্ত্রিত,	
kantajir,	কান্াজির,	কান্তজির,	
jotinkey,	জতিনকে,	যতীনকে,	
taims,	টেইমস,	টাইমস্,	
lettar,	লেট্টার,	লেটার,	
ernad,	এরনাদ,	এরনাড,	
pack,	প্যাক,	প্ল্যাক,	
vedanta,	ভেদন্ত,	বেদান্ত,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
ched,	চেদ,	ছেদ,	
samley,	সামলে,	সামলে,	
avetar,	আভেতার,	অবতার,	
pujito,	পুজিত,	পুজিত,	
prothati,	প্রথাটি,	প্রথাটি,	
nottee,	নটটি,	নোটটি,	
promothesh,	প্রমোথেস,	প্রমথেশ,	
mexicoteo,	মেক্সিকোেও,	মেক্সিকোতেও,	
ahmed,	আহমেদ,	আহামদ,	
seniar,	সেনিয়ার,	সিনিয়র,	
transformaarer,	ট্রান্সফোরমারের,	ট্রান্সফরমারের,	
nirbahi,	নির্বাহী,	নির্বাহি,	
dweepgoolotey,	দ্বীপগুলোতে,	দ্বীপগুলোতে,	
dhanak,	ধনক,	ধানক,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
sukumaree,	সুকুমারে,	সুকুমারী,	
rokkhonabekkhoner,	রক্ষণাগেষ্ঠনের,	রক্ষণাবেক্ষণের,	
suparharo,	সুপারহারো,	সুপারহিরো,	
pisach,	পিসাচ,	পিশাচ,	
arifin,	আরিফিন,	আরিফিন,	
judge,	জুদগে,	জাজ,	
shaddhi,	শাদ্ধি,	সাধ্বী,	
chirantan,	চিরন্তন,	চিরন্তন,	
jocqey,	জকে,	জকি,	
adwanced,	অ্যাডব্যান্ডেড,	অ্যাডভান্সড,	
saria,	সারিয়া,	সরিয়া,	
rushad,	রুশাদ,	রুশদ,	
shamuker,	শামুকের,	শামুকের,	
crucer,	ক্রুসের,	ক্রুশের,	
hafej,	হাফেজ,	হাফেয,	
ghamta,	ঘামটা,	ঘোমটা,	
dala,	দালা,	দলা,	
saras,	সারাস,	সরস,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
peethey,	পিথে,	পীঠে,	
hundai,	হুন্ডাই,	হুন্দাই,	
juboksoho,	যুবকসহ,	যুবকসহ,	
ghoor,	ঘুর,	ঘুর,	
wagadada,	ওয়াগাদাদা,	বাগদাদ,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
bishwasho,	বিশ্বাসও,	বিশ্বাসও,	
zerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
mukherjee,	মুখেরজি,	মুখার্জী,	
sima,	সিমা,	সীমা,	
kichutei,	কিছুতেই,	কিছুতেই,	
ul,	উলএল,	উল,	
giitikobita,	গীতিকতিবা,	গীতিকবিতা,	
sarjur,	সারজুর,	সরযূর,	
nazranar,	নাজরানার,	নাজরানার,	
seekkhaou,	সেক্ষাও,	শিক্ষাও,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
pachak,	পাচাক,	পাচক,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
peterke,	পেটারকে,	পিটারকে,	
ghotol,	ঘটল,	ঘটল,	
torunderke,	তরুণ্দারকে,	তরুণদেরকে,	
rajan,	রাজান,	রাজন,	
pathanatak,	পাঠানাটক,	পথনাটক,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
sarbhare,	সার্ভারে,	সার্ভারে,	
aashtikotaa,	আষ্টিকোৎ,	আস্তিকতা,	
nadnadeer,	নদ্নাদির,	নদনদীর,	
kadakhonchar,	কাদাখোঁচার,	কাদাখোঁচার,	
deqe,	ডিকে,	ডেকে,	
machsoho,	মাচসহ,	মাছসহ,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
agomonke,	আগমনকে,	আগমনকে,	
nachiketa,	নচিকেতা,	নচিকেতা,	
ragee,	রাগী,	রাগী,	
swasthohinotay,	স্বাস্থ্যহীনতায়,	স্বাস্থ্যহীনতায়,	
bohudeen,	বহুদিন,	বহুদিন,	
barack,	ব্রাক,	বারাক,	
probondhobhittik,	প্রবন্ধোভিত্তিক,	প্রবন্ধভিত্তিক,	
hol,	হোল,	হোল,	
murad,	মুরাদ,	মুরাদ,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
taunasipa,	তওনাসিপা,	টাউনশিপ,	
pyaleshtainer,	প্লালশ্টাইনের,	প্যালেস্টাইনের,	
crashlands,	ক্র্শানল্যান্ডস,	ক্র্যাশল্যান্ডস,	
ajeeboner,	আজেবনের,	আজীবনের,	
bhuushito,	ভৌষিত,	ভূষিত,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
markeetim,	মার্কিটিম,	মার্কেটিং,	
baganoto,	বাগানোতো,	বাগানত,	
chargar,	চারগর,	চার্জার,	
koyeeri,	কয়েরি,	কোয়েরি,	
krush,	ক্রুশ,	ক্রুশ,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
bondi,	বন্দি,	বন্দী,	
meghacchonno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
bikargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
sollallhu,	সোল্লালহুু,	সল্লাল্লাহু,	
waal,	ওয়াল,	উল,	
shommoteer,	সম্মতির,	সম্মতির,	
hughes,	হুঘেস,	হিউজেস,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
venice,	ভেনিস,	ভেনিস,	
codeti,	কোটেটি,	কোডটি,	
shilpikuler,	শিল্পিকুলের,	শিল্পীকুলের,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
taatey,	তাতে,	তাতে,	
muradkey,	মুরাদকে,	মুরাদকে,	
minilosar,	মিনিলোসার,	মিনিলোসার,	
vugorvey,	ভুগরভে,	ভূগর্ভে,	
baasaate,	বাসাতে,	বাসাতে,	
lirikti,	লিরিকটি,	লিরিকটি,	
vaticaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
bairer,	বেইরের,	বাইরের,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
ispredsiit,	আসপ্রেসডিপিট,	স্প্রেডশীট,	
sausagee,	সৌসাগী,	সসেজ,	
atak,	আটাক,	আটক,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
khudhartara,	ক্ষুধারতা,	ক্ষুধার্তরা,	
khaaneker,	খানেকের,	খানেকের,	
alonkaran,	আলনকরণ,	অলঙ্করণ,	
lendol,	লেন্ডোল,	লেন্ডল,	
neerbahe,	নির্বাহে,	নির্বাহে,	
as,	এস,	অস,	
uponeeshod,	উপনেশদ,	উপনিষদ,	
chikittsar,	চিকিত্তাসের,	চিকিত্সার,	
chakurijibirao,	চাকুরিজীবিরাও,	চাকুরীজীবীরাও,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
modelkey,	মডেলকে,	মডেলকে,	
scuvi,	স্কেভি,	স্কুভি,	
bihar,	বিহার,	বিহার,	
vittio,	ভিত্তিও,	ভিত্তিও,	
tahalo,	তাহালো,	তাহলো,	
brittakarey,	বৃত্তকারী,	বৃত্তাকারে,	
rudiger,	রুদিগের,	রুদিগের,	
bajpa,	বাজপা,	বাজপা,	
nirmolota,	নির্মোততা,	নির্মলতা,	
mosharroph,	মশাররোফ,	মশাররফ,	
saralya,	সরল্যা,	সারল্য,	
aachhis,	আছিস,	আছিস,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
madeling,	ম্যাডেলিং,	মডেলিং,	
dorun,	দোরুন,	দরুণ,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
pathkrom,	পাথক্রম,	পাঠক্রম,	
fokskon,	ফক্সন,	ফক্সকন,	
manjushri,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
stanahenja,	স্তানহেঙ্জা,	স্টোনহেঞ্জ,	
kharar,	খারার,	খরার,	
duuma,	দুমোমা,	দুমা,	
taufiq,	তওফিক,	তৌফিক,	
shamshere,	শামশেরে,	শমসের,	
wishnu,	উইস্ু,	বিষ্ণু,	
jipiusamriddha,	জিপিদুসমৃদ্ধ,	জিপিউসমৃদ্ধ,	
katiusha,	কাটিটোশা,	কাতিউশা,	
moreecha,	মরিচা,	মরিচা,	
ameettrakkhor,	অমিত্তরক্ষর,	অমিত্রাক্ষর,	
kayartara,	কায়ারটারা,	কোয়ার্টার,	
zonsa,	জোন্সা,	জোন্স,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
saarbhaarti,	সারভভর্তি,	সার্ভারটি,	
ganochien,	গণোচ্যেন,	গণচীন,	
youth,	উ্ত,	ইয়ুথ,	
impaction,	ইম্প্যাকশন,	ইমপ্যাকশন,	
keyu,	কেই,	কেউ,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
maaktoome,	ম্যাটটাম,	মাকতুম,	
borendroke,	বরেন্দ্রকে,	বরেন্দ্রকে,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
debete,	দেবেতে,	ডিবেট,	
cooda,	কুড,	কোডা,	
jatata,	জাতাতা,	যতোটা,	
ostheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
setike,	সেতিকে,	সেটিকে,	
munsi,	মুন্সি,	মুন্সী,	
bhutbhut,	ভূটভূত,	ভুটভুট,	
maritimer,	মেরিটিইমের,	মেরিটাইমের,	
saom,	সায়ম,	সাওম,	
harza,	হারজা,	হার্জ,	
mukhoshdharir,	মুখোষধারীর,	মুখোশধারীর,	
marry,	মাযারির,	ম্যারি,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
shringgo,	শৃঙ্গ,	শৃঙ্গ,	
milekhaanek,	মিলেখানেক,	মাইলখানেক,	
panchasjan,	পঞ্চাসজন,	পঞ্চাশজন,	
shhashtra,	শাস্ত্রা,	শাস্ত্র,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
gonona,	গণনা,	গননা,	
mahafezkhanar,	মহাগেকতনার,	মহাফেজখানার,	
pouchute,	পৌছুতে,	পৌঁছুতে,	
kaamij,	কামিজ,	কামিজ,	
orthanitir,	অর্থানীটির,	অর্থনীতির,	
chalachchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
medilek,	মেডিলেক,	মেডিলেক,	
bandhan,	বান্ধন,	বাঁধন,	
tigmanshu,	টিগমানশু,	তিগ্মাংশু,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
sthapanagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
serveray,	সারভারে,	সার্ভারে,	
seshardhe,	শেশার্ধে,	শেষার্ধে,	
hakone,	হাকোনে,	হাকোনে,	
ceramicer,	সেরামিসের,	সিরামিকের,	
arasie,	আরসসি,	আরসিএ,	
probhur,	প্রভুর,	প্রভুর,	
vault,	ভেল্ট,	ভল্ট,	
manush,	মানুশ,	মানুষ,	
nisshongotake,	নিঃসংগতকা,	নিঃসঙ্গতাকে,	
vesselli,	ভেসেলি,	ভেসেলি,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
dijmarescu,	ডিজমার্েকস,	দিজমার্সাকু,	
brail,	ব্রাইল,	ব্রেইল,	
itostatah,	ইতস্তটা,	ইতস্ততঃ,	
kyatagorir,	ক্যাটাগরির,	ক্যাটাগরির,	
madhuri,	মধুরি,	মাধুরী,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
kathghera,	কাঠঘেরা,	কাঠঘেরা,	
uporzon,	উপরজন,	উপার্জন,	
sangitanusthane,	সঙ্গীতানুষ্ঠানে,	সঙ্গীতানুষ্ঠানে,	
ponchaasjon,	পঞ্চাকন,	পঞ্চাশজন,	
daebug,	দাবগগ,	ডিবাগ,	
vool,	ভোল,	উল,	
awrbit,	এবর্বিট,	অরবিট,	
saoum,	সাওয়াম,	সাওম,	
bbiswashke,	বিবিস্বাসকে,	বিশ্বাসকে,	
abhirupbabuke,	অভিরূপবাবুকে,	অভিরূপবাবুকে,	
oncoltike,	অনক্লটিকে,	অঞ্চলটিকে,	
koro,	কোরো,	করো,	
korley,	করলে,	করলে,	
lutherana,	লুথেরানা,	লুথেরান,	
atibiplabi,	আতিবিপ্লবী,	অতিবিপ্লবি,	
doorotaumo,	দূরতামু,	দূরতম,	
amarjito,	অমরজিত,	অমার্জিত,	
weenis,	ভিনিস,	ভেনিস,	
vange,	ভাঙ্গে,	ভাঙ্গে,	
saazano,	সাজানো,	সাজানো,	
deares,	ডিয়ারেস,	ডিআরএস,	
teamothy,	টিমোথি,	টিমোথি,	
borlen,	বরলেন,	বরলেন,	
thandabhabe,	থান্ডাওবাবে,	ঠাণ্ডাভাবে,	
chaalkee,	চালকে,	চালকে,	
gaichey,	গাইছে,	গাইছে,	
kalirkhal,	কালীরখাল,	কালিরখাল,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
johor,	জহর,	জহর,	
sayatana,	সায়াতানা,	শয়তান,	
detik,	ডেটিক,	দেতিক,	
gingbhalobasen,	জিংভালোবালেস,	গিংভালোবাসেন,	
providere,	প্রভিদেরে,	প্রভাইডারে,	
keyboarder,	কেইবোর্ডের,	কীবোর্ডের,	
yak,	যাক,	ইয়াক,	
backflipe,	ব্যাকফিলিপ,	ব্যাকফ্লিপে,	
bboponer,	ব্বপনের,	বপনের,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
chongar,	চঙ্গার,	চোঙ্গার,	
jotota,	যত্তা,	যতোটা,	
orhan,	ওরহান,	ওরহান,	
difinisian,	ডিফিনিসিয়ান,	ডেফিনেশন,	
dharabahikotitey,	ধারাবাহিকতিতে,	ধারাবাহিকটিতে,	
gasthi,	গাষ্ঠি,	গোষ্ঠী,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
shekender,	সেকেন্ডের,	সেকেন্ডের,	
joki,	জোক,	জকি,	
juktorastrer,	যুক্তরাস্ত্রের,	যুক্তরাষ্ট্রের,	
stana,	স্তানা,	স্টোন,	
forex,	ফোরেক্স,	ফরেক্স,	
oedipus,	ওডেপাস,	ইডিপাস,	
utsahi,	উৎসাহি,	উৎসাহী,	
dharavahiker,	ধারাভাহীকের,	ধারাবাহিকের,	
abdoone,	আবদুনে,	আবদুন,	
foxcon,	ফক্সকন,	ফক্সকন,	
upobasher,	উপবাশের,	উপবাসের,	
freelancerra,	ফ্রীল্যান্সরা,	ফ্রিল্যান্সাররা,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
parinati,	পরিণাটি,	পরিণতি,	
hugeke,	হুগেকে,	হিউজকে,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
drabyatah,	দ্রব্যতঃ,	দ্রব্যতঃ,	
madhabike,	মাধবীকে,	মাধবীকে,	
ralf,	রাল্ফ,	রালফ,	
ramachandranke,	রামচন্দ্রকে,	রামাচন্দ্রনকে,	
goora,	গুরা,	গোর,	
sharansthal,	শারাস্থল,	শরণস্থল,	
daqop,	ডাকোপ,	দাকোপ,	
balaruma,	বালারুমা,	বলরুম,	
atmobonchito,	আত্মবনচিত,	আত্মবঞ্চিত,	
kod,	কোদ,	কোড,	
suraaropeeto,	সুরাওরপিত,	সুরারোপিত,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
geja,	গেজা,	গেজ,	
jhalkanite,	ঝালকানিতে,	ঝলকানীতে,	
taigara,	তাইগারা,	টাইগার,	
karmasampadon,	কর্মসম্পান,	কর্মসম্পাদন,	
teoner,	টেওনার,	টিওনার,	
himchi,	হিমচি,	হিমচি,	
shekarone,	শেকারণে,	সেকারণে,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
militarir,	মিলিতারির,	মিলিটারির,	
qonfliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
ruby,	রুবি,	রুবী,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
anubhutimalar,	অনুভূতিমালার,	অনুভূতিমালার,	
kirke,	কিরকে,	কিরকে,	
bongshokey,	বংশকে,	বংশকে,	
dhojovongo,	ধ্ববনঙ্গ,	ধ্বজভঙ্গ,	
phund,	ফান্ড,	ফান্ড,	
rilayensha,	রিলয়েন্স,	রিলায়েন্স,	
bishaashke,	বিশাশকে,	বিশ্বাসকে,	
ramnathbabur,	রামনাথবাবুর,	রামনাথবাবুর,	
mataram,	মাতারাম,	মাতরম,	
ardasha,	আর্দাশা,	আর্দশ,	
kash,	কাশ,	কাস,	
ashok,	আশক,	আশোক,	
taronee,	তরণী,	তরণী,	
lyaataa,	লেটা,	ল্যাটা,	
purborekorde,	পূর্বরেকরদে,	পূর্বরেকর্ডে,	
rachanakal,	রচনাকাল,	রচনাকাল,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
shcholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
cuti,	কুউটি,	কিউটি,	
saqara,	সাকারা,	সাকার,	
semai,	সেমাই,	সেমাই,	
nirvaha,	নির্ভাহা,	নির্বাহ,	
obosan,	অবসান,	অবসান,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
saarbharti,	সারভবর্তী,	সার্ভারটি,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
sheekar,	শিকার,	শিকার,	
ritesh,	রিটেশ,	রিতেশ,	
sampadon,	সামপাদন,	সম্পাদন,	
gobeshana,	গবেষণা,	গবেষনা,	
nichupattir,	নিচুপত্তির,	নিচুপট্টির,	
biphal,	বিপাল,	বিফল,	
dibya,	দিব্যা,	দিব্যা,	
krishibigyani,	কৃষিবিজ্ঞানী,	কৃষিবিজ্ঞানী,	
plainey,	প্লেইন,	প্লেনে,	
panda,	পাণ্ডা,	পান্ডে,	
daqten,	ডাতেন,	ডাকতেন,	
amanisha,	আমানিসা,	অমানিশা,	
shithilata,	শীথিলতা,	শিথিলতা,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
bachhaikrito,	বাছাইকৃত,	বাছাইকৃত,	
dai,	দাই,	ডে,	
chhooti,	ছুটি,	ছুটি,	
brekethru,	ব্রেকটর্,	ব্রেকথ্রু,	
phutonta,	ফুটন্টা,	ফুটন্ত,	
muradke,	মুরাদকে,	মুরাদকে,	
messengerer,	মেসেনগারের,	মেসেঞ্জারের,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
bojhaao,	বঝাওা,	বোঝাও,	
phising,	ফিসিং,	ফিসিং,	
protul,	প্রতুল,	প্রতুল,	
manatmulak,	মনতমলূলক,	মানতমূলক,	
anhu,	আন্হু,	আনহু,	
mastarsa,	মাস্তারসা,	মাস্টার্স,	
municipal,	মুনিকিপাল,	মিউনিসিপ্যাল,	
nobotom,	নবটম,	নবতম,	
debholopar,	দেবলোপার,	ডেভলপার,	
naraphoka,	নারাফোকা,	নরফোক,	
ajuhath,	অজুহা,	অজুহাত,	
bonvumi,	বনভুমি,	বনভূমি,	
veenis,	ভিনিস,	ভেনিস,	
kaloniir,	কালোনির,	কালনীর,	
breel,	ব্রিল,	ব্রিল,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
camerapersoner,	ক্যামেরাপারসনের,	ক্যামেরাপার্সনের,	
premo,	প্রেমো,	প্রিমো,	
shabkam,	শামকাম,	শবকাম,	
aireshe,	আইরেশে,	আইরেসে,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
marketin,	মার্কেটিন,	মার্কেটিং,	
bm,	বিএমএম,	বিএম,	
jani,	জানি,	জনি,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
refleks,	রিফ্লেক্স,	রিফ্লেক্স,	
lutheerana,	লুথিরানা,	লুথেরান,	
kajangale,	কাজঙ্গলে,	কজঙ্গলে,	
pujit,	পুজিত,	পুজিত,	
proshtotto,	প্রশ্তত্ব,	প্রস্ত্তত,	
bodhirota,	বধিরতা,	বধিরতা,	
horipur,	হরিপুরের,	হরিপুর,	
sanghitar,	সংহীতার,	সংহিতার,	
dinara,	দিনারা,	ডিনার,	
aporishodhito,	অপরিধোধিত,	অপরিশোধিত,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
udyem,	উদ্যেম,	উদ্যেম,	
commissionvogider,	কমিশনভোবিদের,	কমিশনভোগীদের,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
chhooteete,	ছুটিতে,	ছুটিতে,	
purushika,	পুরুষিকা,	পুরুষিকা,	
nutan,	নুতান,	নূতন,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
becha,	বেচা,	বেচা,	
poorohitra,	পুরহিত্রা,	পুরোহিতরা,	
nathivookto,	নাথিভোক্ত,	নথিভুক্ত,	
patjata,	পাতজাতা,	পাটজাত,	
samyuktha,	সম্যুক্ষ,	সামিউক্তা,	
nartana,	নরতানা,	নর্টন,	
sarollo,	সারললো,	সারল্য,	
assexe,	এ্েক্সে,	অ্যাসেক্সে,	
chalochchitrei,	চালচচিত্রেই,	চলচ্চিত্রেই,	
gurmukh,	গুরমুখ,	গুরমুখ,	
mitrer,	মিত্রের,	মিত্রের,	
folleni,	ফলেনি,	ফলেনি,	
agomoney,	আগমনে,	আগমনে,	
hingsar,	হিংসার,	হিংসার,	
arashie,	আরাশি,	আরসিএ,	
kakhnoba,	কাখনাবা,	কখনওবা,	
janghu,	জংঘু,	জঙ্ঘু,	
addata,	আদ্তাটা,	আড্ডাটা,	
chheher,	ছেহের,	ছেহের,	
gej,	লেজ,	গেজ,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
nirarthak,	নিরর্থথক,	নিরর্থক,	
nirabota,	নিরাবতা,	নিরবতা,	
encidablu,	এনসিডিবললা,	এনসিডাব্লু,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
kk,	কেক,	কেকে,	
choopi,	চুপি,	চুপি,	
soundorjotakei,	সৌন্দর্যতাকেই,	সৌন্দর্যটাকেই,	
jamjomat,	জমজোমত,	জমজমাট,	
jamarate,	জামারাতে,	জামারাতে,	
moonshi,	মনোশি,	মুন্সি,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
ooipokar,	উইপকার,	উইপোকার,	
byatikrami,	ব্যতিক্রমি,	ব্যতিক্রমী,	
innahu,	ইন্নাহু,	ইন্নাহু,	
nabbata,	নব্বতা,	নাব্যতা,	
modelgulo,	মডেলগুলো,	মডেলগুলো,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
eenameela,	ইনামেলা,	এনামেল,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
thare,	তারে,	থরে,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
aairish,	আইরিশ,	আইরিস,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
ateetkale,	অতীতকালে,	অতীতকালে,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
kraim,	ক্রাইম,	ক্রাইম,	
obosorer,	অবসরের,	অবসরের,	
laga,	লাগা,	লগ,	
durgatsob,	দুর্গাৎসব,	দুর্গোৎসব,	
odeb,	ওদেব,	ওদেব,	
manir,	মানির,	মনির,	
vobani,	ভবানী,	ভবানী,	
jitpur,	জিটপুর,	জিতপুরের,	
remakri,	রিমাকরি,	রেমাক্রী,	
uttor,	উত্তর,	উওর,	
abodamaner,	অবদামানের,	অবদমনের,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
korimer,	করিমের,	করিমের,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
uporitale,	উপরিতালে,	উপরিতলে,	
utsahamulak,	উৎসাহূলক,	উৎসাহমূলক,	
smarak,	স্মররক,	স্মারক,	
vodqa,	ভডকা,	ভদকা,	
veemsen,	ভিমসেন,	ভীমসেন,	
asamanyo,	অসামন্য,	অসামান্য,	
sponsorshipe,	স্পন্শরশিপে,	স্পন্সরশীপে,	
turisht,	টুরিশ্টস,	টুরিস্ট,	
tyapa,	ত্য়াপা,	ট্যাপ,	
ceramicsh,	সেরামিকশ,	সিরামিকস,	
vitti,	ভিত্তি,	ভিত্তিই,	
shardotsobei,	সার্দস্বেই,	শারদোৎসবেই,	
qarpeta,	কারপেটা,	কার্পেট,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
mayily,	মেইলি,	মাইলি,	
chitlar,	চিতলার,	চিতলার,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
osamanno,	ওসামান্য,	অসামান্য,	
unitgulo,	ইউনিটগুলো,	ইউনিটগুলো,	
varma,	ভার্মা,	ভার্মা,	
swastir,	স্বস্তির,	স্বস্তির,	
shubhag,	শুভাগ,	শুভাগ,	
pooshti,	পুষ্টি,	পুষ্টি,	
minishtarer,	মিনিশ্টারের,	মিনিস্টারের,	
armeenian,	আরমমিনিয়ান,	আর্মেনিয়ান,	
byaptikaler,	ব্যাপ্তিকালের,	ব্যাপ্তিকালের,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
aflatoxin,	আফলাট্ক্সিন,	আ্যফ্ল্যাটক্সিন,	
besooro,	বেসুরো,	বেসুর,	
mukhyo,	মুখ্য,	মুখ্য,	
graambaaseeo,	গ্রামবাসেও,	গ্রামবাসীও,	
longhan,	লোনঘান,	লংঘন,	
sten,	স্টেন,	স্টেন,	
suraropito,	সুরারোপিত,	সুরারোপিত,	
govindarajan,	গোবিন্দরানন,	গোবিন্দরাজন,	
eesosiyeetasa,	ইসোিয়াজিস্ট,	এসোসিয়েটস,	
lendal,	লেন্দাল,	লেন্ডল,	
jerusalema,	জেরুসালেমা,	জেরুসালেম,	
munjur,	মুঞ্জুর,	মুনজুর,	
bishwaashshke,	বিশ্বশসকে,	বিশ্বাসকে,	
huka,	হুকা,	হুক,	
