ganaparibahan,	গণপরিবহহ,	গণপরিবহন,	
onchalgulir,	অঞ্চালগুলির,	অঞ্চলগুলির,	
toki,	টকি,	তকি,	
zerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
turista,	তুরিস্তা,	টুরিস্ট,	
kaferder,	কাফেরদের,	কাফেরদের,	
shiqara,	শিকারা,	শিকার,	
parq,	পার্ক,	পার্ক,	
ahalya,	আহাল্য,	অহল্যা,	
cholchhee,	চলচি,	চলছে,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
aosafur,	আইসফুর,	আওশাফুর,	
asaciates,	অ্যাসাসিয়াটস,	এসোসিয়েটস,	
starker,	স্টার্কের,	স্টার্কের,	
bulichev,	বুলিচেভ,	বুলিচেভ,	
parisankhanvid,	পরিসং্ণশবিদ,	পরিসংখ্যানবিদ,	
gostigulo,	গোস্টিগুলো,	গোষ্ঠীগুলো,	
tarkale,	তারকালে,	তারকালে,	
srisri,	শ্রীশরী,	শ্রীশ্রী,	
neemeette,	নিমুতে,	নিমিত্তে,	
ramzaner,	রামজানের,	রমযানের,	
sadeena,	সাদেনা,	সাডেন,	
keuoi,	কেওয়ো,	কেউই,	
nazad,	নাজাদ,	নজদ,	
armashtram,	আর্মশ্ত্রাম,	আর্মস্ট্রং,	
jibonnogor,	জীবন্যগর,	জীবননগর,	
ranangane,	রণঙ্গনে,	রণাঙ্গনে,	
jontropatigulite,	যন্ত্রপাতিগুলিতে,	যন্ত্রপাতিগুলিতে,	
oncolsoho,	অঙ্কলসহ,	অঞ্চলসহ,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
cholochchitratike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
philo,	ফিলো,	ফিলো,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
abti,	আবটি,	আবতি,	
jaanar,	জানার,	জানার,	
delibhara,	দেলিভারা,	ডেলিভার,	
omanisa,	ওমানিসা,	অমানিশা,	
maladabha,	মালাদভা,	মলদোভা,	
bodna,	বোননা,	বদনা,	
raunanganey,	রানুঙ্গানে,	রণাঙ্গনে,	
nutaner,	নুতানের,	নূতনের,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
heawy,	হুইভি,	হেভি,	
ceramicsh,	সেরামিক্স,	সিরামিকস,	
lat,	লাত,	লাট,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
shloker,	শ্লোকের,	শ্লোকের,	
graambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
orthanitir,	অর্থানীতির,	অর্থনীতির,	
byaktigotovabeo,	ব্যক্তিগতভাবেও,	ব্যাক্তিগতভাবেও,	
jonoikaa,	জনোকা,	জনৈকা,	
songrahak,	সংগ্রাহক,	সংগ্রাহক,	
spredsheet,	স্প্রেডশিট,	স্প্রেডশীট,	
shuri,	শুরি,	সুরি,	
porizoner,	পরিজোনের,	পরিজনের,	
eoki,	এইকি,	এওকি,	
teta,	তেট,	টেটা,	
dhaleshorii,	ধলেশরী,	ধলেশ্বরী,	
dibug,	দিবুগ,	ডিবাগ,	
samaveshke,	সমাভেশকে,	সমাবেশকে,	
ralf,	রালফ,	রালফ,	
deaubande,	ডিউবান্ডে,	দেওবন্দে,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
kathghera,	কাঠখেরা,	কাঠঘেরা,	
hosney,	হোসন,	হোসনে,	
torkarite,	তরকারিতে,	তরকারিতে,	
madhumati,	মধুমতি,	মধুমতী,	
plate,	প্লেট,	প্লেট,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
kaloniir,	কালনীর,	কালনীর,	
osamanno,	ওসামান্য,	অসামান্য,	
rachonakal,	রচনাকাল,	রচনাকাল,	
impaction,	ইম্প্যাশশন,	ইমপ্যাকশন,	
moushum,	মৌশুম,	মৌসুম,	
marketing,	মার্কেটিং,	মার্কেটিং,	
saatzoner,	স্যাটজনের,	সাতজনের,	
ceramicer,	সেরামিসের,	সিরামিকের,	
maner,	মানের,	মানে,	
bike,	বিকে,	বাইক,	
hillse,	হিলসে,	হিলসে,	
panchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
jamjamat,	জমমজমত,	জমজমাট,	
tomader,	তোমাদের,	তোমাদের,	
purbancoler,	পূর্বাঞ্কলের,	পূর্বাঞ্চলের,	
chargar,	চারগর,	চার্জার,	
soundorjotakei,	সৌন্দর্যতাকেই,	সৌন্দর্যটাকেই,	
binakar,	বিনাকার,	বিনাকার,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
sithilota,	সিথিলোটা,	শিথিলতা,	
manushe,	মানুষে,	মানুষে,	
mandape,	মণ্ডপে,	মন্ডপে,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
anagarikra,	অনাগারিকরা,	অনাগরিকরা,	
byepass,	ব্যাপেস,	বাইপাস,	
shilpajata,	শিল্পজাতা,	শিল্পজাত,	
raagei,	রাজেই,	রাগেই,	
santaa,	সান্টা,	সান্তা,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
shakara,	শাকারা,	সাকার,	
shommotite,	ষম্মটিতে,	সম্মতিতে,	
bodhukeo,	বোধুকেও,	বধুকেও,	
seguloi,	সেগুলোই,	সেগুলোই,	
senabahinio,	সেনাবাহিনিও,	সেনাবাহিনীও,	
sanstha,	সানসাথা,	সংস্থা,	
bite,	বিতে,	বাইট,	
probhuder,	প্রভুদের,	প্রভুদের,	
jibanto,	জীবন্ত,	জীবন্ত,	
baipash,	বাইপাশ,	বাইপাস,	
ranangone,	রণনাঙ্গনে,	রণাঙ্গনে,	
arasie,	আরাসি,	আরসিএ,	
ajeem,	আজিম,	আজিম,	
sthapanar,	স্থাপানার,	স্থাপনার,	
sahozlabhbhatar,	সহজলভাভাতার,	সহজলভ্যতার,	
omkar,	ওমকার,	ওঙ্কার,	
peeri,	পিরি,	পেরি,	
kormyi,	কর্মী,	কর্মই,	
favorite,	ফ্যাভোরিতে,	ফেভারিট,	
nikate,	নিকাতে,	নিকটে,	
sofie,	সোফি,	সোফি,	
nirvachokder,	নির্ভাচকদের,	নির্বাচকদের,	
ghamtaa,	ঘামটা,	ঘোমটা,	
keu,	কেউ,	কেউ,	
blacker,	ব্ল্যাকের,	ব্ল্যাকের,	
baait,	বাইত,	বাইট,	
phuda,	ফুদা,	ফুড,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
neerbahe,	নির্বাহে,	নির্বাহে,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
bagdad,	বাগদাদ,	বাগদাদে,	
beila,	বেইলা,	বেইলা,	
reflex,	রিফ্লেক্স,	রিফ্লেক্স,	
karmoi,	কর্ময়,	কর্মই,	
spredashiita,	স্প্রেদাশিটা,	স্প্রেডশীট,	
tukrote,	তুকরোতে,	টুকরোতে,	
gobeshonar,	গবেষণার,	গবেষনার,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
kheylechen,	খেয়েছেন,	খেলেছেন,	
augustine,	অগাস্টাইন,	অগাস্টিন,	
mirina,	মিরিনা,	মিরিনা,	
goodamjato,	গুদ়জমত,	গুদামজাত,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
aholya,	আহল্যা,	অহল্যা,	
fimela,	ফিমেলা,	ফিমেল,	
carzar,	ক্যারজার,	চার্জার,	
charukala,	চারুকালা,	চারুকলা,	
gyandaas,	জ্ঞানদাস,	জ্ঞানদাস,	
firoze,	ফিরোজে,	ফিরোজ,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
female,	ফেমালে,	ফিমেল,	
tukroke,	তুক্রকে,	টুকরোকে,	
talgach,	তালগাছ,	তালগাছ,	
maaktoome,	মাক্ুমে,	মাকতুম,	
shattoki,	শাত্তকি,	সাত্যকি,	
asbab,	আসবাব,	আসবাব,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
mesenjarer,	মেসেঞজারের,	মেসেঞ্জারের,	
sambatsarkal,	সম্বাতসরকাল,	সম্বৎসরকাল,	
mukhomandal,	মুখমান্ডল,	মুখমণ্ডল,	
sarbhare,	সার্ভারে,	সার্ভারে,	
sqirt,	স্কাইট,	স্কার্ট,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
kotibondhe,	কতিবন্ধে,	কটিবন্ধে,	
manjushri,	মঞ্জুষ্রী,	মঞ্জুশ্রী,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
mehsus,	মেহসস,	মেহসুস,	
mozlis,	মজলিস,	মজলিশ,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
booroon,	বুরুন,	বোরন,	
sponsorshipe,	স্পন্সর্শপে,	স্পন্সরশীপে,	
tintir,	তিনটির,	তিনটির,	
ddheela,	ঢেলা,	ঢিলা,	
jibnagore,	জীবনাগরে,	জীবননগর,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
bhadaka,	ভদ়াকা,	ভদকা,	
gajetted,	গাজেত্দ,	গেজেটেড,	
edmiral,	এদমিরাল,	এডমিরাল,	
mukhomandaley,	মুখমান্ডলে,	মুখমণ্ডলে,	
drissoke,	দৃর্সকে,	দৃশ্যকে,	
sanghatakder,	সংঘাৎকদের,	সংঘটকদের,	
shhepha,	শেফা,	শেফ,	
ghumacchilo,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
bhotomulyoke,	ভোটমূল্যকে,	ভোটমূল্যকে,	
koordira,	কুর্দিরা,	কুর্দিরা,	
calabe,	কালাবে,	চালাবে,	
adhyatmik,	আধ্যাতমিক,	আধ্যাত্মিক,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
jaadrel,	জাদরেল,	জাঁদরেল,	
hajeerhatt,	হাজিরহাট্ট,	হাজিরহাট,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
ponjikar,	পঞ্জিকর,	পঞ্জিকার,	
chetanagato,	চেতনাগত,	চেতনাগত,	
rifleksa,	রিফ্লেক্সা,	রিফ্লেক্স,	
engreziteo,	এনরেজিতেও,	ইংরেজিতেও,	
langhangulir,	লঙ্গাংগুলির,	লঙ্ঘনগুলির,	
ekirokom,	একিরকম,	একইরকম,	
phonekari,	ফোনেকারি,	ফোনকারী,	
prasadhani,	প্রসাধনী,	প্রসাধনী,	
choson,	চোসন,	চোষণ,	
lutheerana,	লুথেরানা,	লুথেরান,	
nimnosakkharkari,	নিম্নপাককাক্রারী,	নিম্নস্বাক্ষরকারী,	
kyathlik,	ক্যালথিক,	ক্যাথলিক,	
gemske,	গেমসকে,	জেমসকে,	
artore,	আরতোরে,	আর্টরে,	
arke,	আরকে,	আরকে,	
shhashtra,	শাষ্ট্রা,	শাস্ত্র,	
milayatane,	মিলায়াতনে,	মিলায়তনে,	
gorrer,	গোরের,	গোরের,	
punosthaner,	পুনস্থানের,	পুনঃস্থানের,	
prokolpow,	প্রকল্পফু,	প্রকল্পও,	
injiniyarim,	ইনজিিনিয়ারিম,	ইঞ্জিনিয়ারিং,	
popke,	পপকে,	পোপকে,	
diiptii,	দীপটিই,	ডেপুটি,	
uindoos,	উইন্ডুস,	উইন্ডোস,	
sarboshokteeman,	সর্বশক্তিমান,	সর্বশক্তিমান,	
jatinkey,	জাতিনকে,	যতীনকে,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
sangharshik,	সংঘর্শিক,	সাংঘর্ষিক,	
tasminer,	তাসমিনের,	তাসমিনের,	
bolvodro,	বলভদ্র,	বলভদ্র,	
with,	উইথ,	ভিত,	
bhoutikeshu,	ভৌতিকেষু,	ভৌতিকেষু,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
kaande,	কান্ডে,	কাণ্ডে,	
talaa,	তালা,	তালা,	
torunosomriddho,	তরুণসমৃদ্ধ,	তরুণসমৃদ্ধ,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
baman,	বামান,	বামন,	
landey,	ল্যান্ডি,	ল্যান্ডে,	
bisnuke,	বিস্নুকে,	বিষ্ণুকে,	
taderek,	তাদেরেক,	তাদেরেক,	
basturoi,	বাস্তুরই,	বস্তুরই,	
sangkoolan,	সংকুলান,	সংকুলান,	
nisshongotake,	নিঃসংগতাকে,	নিঃসঙ্গতাকে,	
nikela,	নিকেলা,	নিকেল,	
hoteltee,	হোটেলটি,	হোটেলটি,	
trutimatra,	ত্রুতিমাত্র,	ত্রুটিমাত্র,	
futonta,	ফুটনটা,	ফুটন্ত,	
baasaate,	বাসাতে,	বাসাতে,	
taunship,	তৌনশীপ,	টাউনশিপ,	
armshtronj,	আর্মস্ট্রজ,	আর্মস্ট্রং,	
badargaji,	বদরগাজী,	বদরগাজী,	
rabo,	রাবো,	রব,	
bisshas,	বিশবাস,	বিশ্বাস,	
jumlalancer,	জুমলাযান্সের,	জুমলাল্যান্সার,	
olympik,	অলিমপিক,	অলিম্পিক,	
windos,	উইন্ডসহ,	উইন্ডোস,	
arg,	আরগি,	আর্গ,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
romnar,	রোমনার,	রমনার,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
siropa,	সিরোপা,	শিরোপা,	
rakim,	রাকিম,	রাকিম,	
aajeej,	আজেজ,	আজিজ,	
graambasheeo,	গ্রামবশীও,	গ্রামবাসীও,	
langhaner,	লঙ্ঘানের,	লংঘনের,	
si,	সিও,	এসআই,	
thechar,	থেচার,	থ্যাচার,	
unchuporjayer,	উঁচুপরজায়ের,	উঁচুপর্যায়ের,	
toptoshele,	তপ্তশেলে,	তপ্তশেলে,	
juboksoho,	যুবকসহ,	যুবকসহ,	
koreempoor,	করিমপুর,	করিমপুর,	
rushad,	রুশাদ,	রুশদ,	
chrystal,	ক্রিস্টাল,	ক্রাইস্টাল,	
install,	ইনস্টাল,	ইন্সটল,	
chalochchitrei,	চালচ্ছিত্রেই,	চলচ্চিত্রেই,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
bohudin,	বহুদিন,	বহুদিন,	
sangkalanti,	সংকলন্তি,	সংকলনটি,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
asif,	আসিফ,	আসিফ,	
narsaari,	নরসারী,	নার্সারি,	
felto,	ফেল্টো,	ফেলত,	
poscime,	পশ্চিমে,	পশ্চিমে,	
ovidhaner,	অভিধানের,	অভিধানের,	
sanaktokaron,	সানক্তকারণ,	সনাক্তকরণ,	
biswashi,	বিশ্বশী,	বিশ্বাসী,	
satarkokari,	সতর্ককারী,	সতর্ককারী,	
naneer,	নানীর,	নানীর,	
baibosthar,	বৈবস্থার,	ব্যবস্থার,	
thaii,	থাই,	থাই,	
dekhso,	দেখসো,	দেখসো,	
cholochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
jewellery,	জিওলারলি,	জুয়েলারির,	
jaandrel,	যান্দ্রেল,	জাঁদরেল,	
ramonar,	রামোনার,	রমনার,	
treebhuj,	ত্রিভূজ,	ত্রিভূজ,	
shef,	শেফ,	শেফ,	
vaider,	ভাইদের,	ভাইদের,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
bosturoi,	বস্তুরই,	বস্তুরই,	
jeebonnogor,	জীবন্নগর,	জীবননগর,	
nehle,	নেহলে,	নেহলে,	
alaol,	অ্যালাওল,	আলাওল,	
shishupalgarh,	শিশুপল্লগ,	শিশুপালগড়ে,	
croak,	ক্রোক,	ক্রোক,	
dep,	ডেপ,	ডেপ,	
koruna,	করুনা,	করুণা,	
erythrian,	এরিথ্রিয়ান,	এরিথ্রিয়ান,	
poschime,	পশ্চিমে,	পশ্চিমে,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
nodimatrik,	নদিমাত্রিক,	নদীমাতৃক,	
parswer,	পারস্বের,	পার্শ্বের,	
dadar,	দাদার,	দাদার,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
dijijer,	দিজিজের,	ডিজিজের,	
safin,	সাফিন,	সাফিন,	
ikbaaler,	ইকবালের,	ইকবালের,	
swostir,	স্বস্তির,	স্বস্তির,	
gajano,	গাজনো,	গজানো,	
pinogbagke,	পিনোগবাগকে,	পিনগবাগকে,	
asociatis,	অসোিজেযাটিস,	এসোসিয়েটস,	
dhani,	ধানী,	ধানি,	
diznee,	দিজনি,	ডিজনী,	
deep,	ডীপ,	দীপ,	
gujab,	গুজাব,	গুজব,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
transformaarer,	ট্রান্সফররারের,	ট্রান্সফরমারের,	
aviyojan,	অভিযোজন,	অভিযোজন,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
ul,	উল্,	উল,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
stanahenja,	স্তনােঞ্জে,	স্টোনহেঞ্জ,	
crucer,	ক্রুসের,	ক্রুশের,	
porirshoder,	পরিষ্দদের,	পরির্ষদের,	
boikalyo,	বৈকল্য,	বৈকল্য,	
balakarak,	বালাকারক,	বলকারক,	
prakare,	প্রকরে,	প্রকারে,	
tookror,	টুকর,	টুকরোর,	
bharotiyotar,	ভারতিয়তার,	ভারতীয়তার,	
taposgoner,	তাপসগণের,	তাপসগণের,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
amiretus,	অ্যামেরিটাস,	এমিরেটাস,	
tongaa,	টোঙ্গা,	টোঙ্গা,	
antarctica,	অ্যান্টার্কটিকা,	অ্যান্টার্কটিকা,	
showtey,	শতুয়ে,	শোতে,	
slatgulor,	স্ল্যাটগুলোর,	স্ল্যাটগুলোর,	
jens,	জেন্স,	জিন্স,	
brittakare,	বৃত্তকরে,	বৃত্তাকারে,	
xpose,	ক্সপ্যস,	এক্সপোজ,	
dalee,	ডালি,	ডালে,	
mmadhukkori,	মম্ধুককরী,	মাধুকরী,	
purple,	পার্পল,	পার্পেল,	
jarmaniteo,	জরমানিতেও,	জার্মানিতেও,	
obharbhiu,	ওভারভুউ,	ওভারভিউ,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
dianes,	ডায়েনস,	ডিএনএস,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
pooshti,	পুষ্টি,	পুষ্টি,	
plusey,	প্লাসে,	প্লাসে,	
torutoler,	তরুতলের,	তরুতলের,	
akhandata,	অখণ্ডতা,	অখণ্ডতা,	
jamkaalo,	জামকালো,	জমকালো,	
cheenja,	চেঞ্জা,	চেঞ্জ,	
mulyayonsapekkhe,	মূল্যায়সানেষ্ট্ক,	মূল্যায়নসাপেক্ষে,	
antercticker,	অ্যান্টার্টিকের,	অ্যান্টার্কটিকের,	
karlei,	কারলেই,	করলেই,	
abhiyojan,	অভিযযজন,	অভিযোজন,	
ghoomachhe,	ঘুমাচে,	ঘুমাচ্ছে,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
adhyattikota,	আধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
gej,	গেজ,	গেজ,	
shuchonakal,	শুচনাকাল,	সূচনাকাল,	
superheiroo,	সুপারহেরেও,	সুপারহিরো,	
shiropar,	শিরোপার,	শিরোপার,	
tigmanshu,	তিজমানশু,	তিগ্মাংশু,	
balabhadra,	বলভাদ্র,	বলভদ্র,	
tophaat,	টোফাত,	তফাৎ,	
ghotol,	ঘটল,	ঘটল,	
feroza,	ফেরোজা,	ফিরোজা,	
purushika,	পুরুষিকা,	পুরুষিকা,	
bashoborty,	বাশবর্তী,	বশবর্তী,	
shangsthaner,	শাংস্থানের,	সংস্থানের,	
israelbahini,	ইসরাাবেবাহিনী,	ইস্রায়েলবাহিনী,	
angsogrohone,	অংসগ্রহণে,	অংশগ্রহনের,	
ghumachchila,	ঘুমাচ্ছিলা,	ঘুমাচ্ছিল,	
naraphoka,	নারফোকা,	নরফোক,	
rijoor,	রিজুর,	রিজুর,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
standards,	স্ট্যান্ডার্ডসহ,	স্টান্ডার্ডস,	
brixfield,	ব্রিক্সিল্ড,	ব্রিক্সফিল্ড,	
saom,	সাওম,	সাওম,	
kaalki,	কালকি,	কালকি,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
jwar,	জ্বার,	জ্বর,	
naabyota,	নাব্যতা,	নাব্যতা,	
aairish,	আইরিশ,	আইরিস,	
bufer,	বুফার,	বাফার,	
platform,	প্ল্যাটফর্ম,	প্লাটফর্ম,	
tistar,	তিস্তার,	তিস্তার,	
shnaipara,	শ্নাইপার,	স্নাইপার,	
mukharji,	মুখার্জী,	মুখার্জী,	
modelgulo,	মডেলগুলো,	মডেলগুলো,	
laiseensee,	লেসিস্সি,	লাইসেন্স,	
prothar,	প্রথার,	প্রথার,	
pratisthanik,	প্রতিস্থানিক,	প্রাতিষ্ঠানিক,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
nirbahey,	নির্বাহে,	নির্বাহে,	
caramiks,	ক্যারামিক্স,	সিরামিকস,	
khoor,	খুর,	ক্ষুর,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
patengar,	পাটেঙ্গার,	পতেঙ্গার,	
vagni,	ভাগনি,	ভগ্নী,	
tintikey,	তিনটিকে,	তিনটিকে,	
addabaj,	আদ্দাবাজ,	আড্ডাবাজ,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
bhabarlaler,	ভবরলালের,	ভবরলালের,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
bulano,	বুলানো,	বুলান,	
elbamtite,	এলবামটিতে,	এলবামটিতে,	
tukroti,	তুকরোটি,	টুকরোটি,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
protul,	প্রতুল,	প্রতুল,	
swadesh,	স্বদেশ,	স্বদেশ,	
bhujangta,	ভুজংটা,	ভুজঙ্গটা,	
tonoo,	টনু,	তনু,	
modele,	মডেলে,	মডেলে,	
dobhara,	দোভারা,	ডোভার,	
mithener,	মিথেনের,	মিথেনের,	
masto,	মাস্টো,	মাস্ত,	
chorban,	চোরবান,	চর্বন,	
gingbhalobasen,	জিনবালবাসেন,	গিংভালোবাসেন,	
jor,	জর,	জ্বর,	
horash,	হোরাশ,	হোরাস,	
adwanced,	অ্যাডবান্সড,	অ্যাডভান্সড,	
ernad,	এরনাড,	এরনাড,	
temanti,	তেমন্টি,	তেমনটি,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
chirkoot,	চিরকুট,	চিরকুট,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
sahooseekotar,	সহুশকতার,	সাহসিকতার,	
overholing,	ওভারহোলিং,	ওভারহোলিং,	
ramantika,	রমণ্টিকা,	রোমান্টিক,	
lutherana,	লুথেরানা,	লুথেরান,	
akhhunno,	আখুন্ন,	অক্ষুণ্ণ,	
muchlima,	মুছলিমা,	মুছলিমা,	
somoibo,	সমৈবো,	সমৈব,	
ramolino,	রমোলিনো,	রামোলিনো,	
shucharita,	শুচরিতা,	সুচরিতা,	
phormat,	ফরমাত,	ফরম্যাট,	
arshie,	আরশি,	আরসিএ,	
ghuznavi,	ঘুজনাভি,	গজনভি,	
fishing,	ফিশিং,	ফিসিং,	
bujhtepari,	বুঝতেপারি,	বুঝতেপারি,	
audioguloke,	অডিওগুলোকে,	অডিওগুলোকে,	
weelcomee,	উইলকমি,	ওয়েলকাম,	
joisttho,	যৈষ্ঠ,	জ্যৈষ্ঠ,	
nyeta,	ন্যাটা,	ম্যাট,	
oojbekistan,	ঔজবেকিস্তান,	উজবেকিস্তান,	
chhanada,	ছানাদা,	ছানাদা,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
karim,	কারিম,	করিম,	
chiroharit,	চিরোহারিত,	চিরহরিৎ,	
gavaskar,	গাভাস্কার,	গাভাস্কার,	
kidambi,	কিদম্বি,	কিদম্বি,	
kormobuddhite,	কর্মবুদ্ধিতে,	কর্মবুদ্ধিতে,	
licencedhari,	লাইসেন্সধারী,	লাইসেন্সধারী,	
america,	আমেরিকা,	আমেরিকা,	
syfy,	সাইফি,	সাইফাই,	
shakankti,	শকানকটি,	শকাঙ্কটি,	
shourshe,	শরুষে,	সোর্স,	
shangkalonti,	শংকলন্টি,	সংকলনটি,	
ved,	ভেড,	বেদ,	
stagecraft,	স্টেগটাক্র্যাফ্ট,	স্টেজক্রাফট,	
pyaleshtainer,	প্যালেশটেইনের,	প্যালেস্টাইনের,	
shoori,	শূরী,	সুরি,	
baieq,	বেইক,	বাইক,	
rayyaleti,	রায়য়েলেতি,	রয়্যালটি,	
prodiiper,	প্রদিইপের,	প্রদীপের,	
tachnach,	তাচনাচ,	তছনছ,	
mookhomaundoler,	মুখমাউন্ডলের,	মুখমণ্ডলের,	
naajii,	নাজি,	নাত্সি,	
manir,	মানির,	মনির,	
polashir,	পলাশির,	পলাশীর,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
sharoker,	শারোকের,	স্মারকের,	
agamane,	আগামানে,	আগমনে,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
dhos,	ধয়স,	ধস,	
janar,	জানার,	জানার,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
carloos,	কার্লোস,	কার্লোস,	
tunaita,	তুনাইটা,	টুনাইট,	
jalarong,	জালারং,	জলরঙ,	
navaratri,	নবরাত্রী,	নবরাত্রি,	
bahubar,	বাহুবার,	বহুবার,	
tapdei,	তাপদেই,	তাপড়েই,	
konroop,	কনরুপ,	কোনরূপ,	
prakalpatike,	প্রকললপতিকে,	প্রকল্পটিকে,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
gara,	গারা,	গোর,	
dephinishion,	ডিফিশিনন,	ডেফিনেশন,	
choudhurike,	চৌধুরীকে,	চৌধুরীকে,	
paadee,	পদী,	পাড়ে,	
alpo,	অল্প,	অল্প,	
heepatitis,	হেপাটিটিস,	হেপাটাইটিস,	
ritesh,	রিটেশ,	রিতেশ,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
khude,	খুদে,	ক্ষুদে,	
ardasho,	আরদাশো,	আর্দশ,	
hisabagyan,	হিসাবাগ্ঞান,	হিসাবজ্ঞান,	
chanoo,	চানু,	চানু,	
kirti,	কিরটি,	কীর্তি,	
naper,	নাপের,	ন্যাপের,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
taitela,	তাইতেলা,	টাইটেল,	
fevarite,	ফেভারিতে,	ফেভারিট,	
madhuri,	মধুরি,	মাধুরী,	
naagaalyand,	নাগাল্যান্ড,	নাগাল্যান্ড,	
rastagulikeo,	রাস্তাগুলিকেও,	রাস্তাগুলিকেও,	
bajpa,	বাজপা,	বাজপা,	
chinto,	চিন্তো,	চিনতো,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
godabari,	গোদাবারী,	গোদাবরী,	
monjooshree,	মনজুশ্রী,	মঞ্জুশ্রী,	
jyaqa,	জ্যাক,	জ্যাক,	
terlarang,	তেরারাং,	তেরলারং,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
shudhir,	শুধির,	শুধীর,	
robot,	রোবট,	রোবোট,	
choopi,	চুপি,	চুপি,	
