papri,	পাপ্রি,	পাপরি,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
baraakpur,	বারাকপুর,	বারাকপুর,	
pragresa,	প্রাগ্রেস,	প্রগ্রেস,	
cholochchitraeeo,	চলচ্তিরেও,	চলচ্চিত্রেও,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
rapto,	রাপ্ত,	রপ্ত,	
subir,	সুবির,	সুবীর,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
akritakarja,	আকৃতকার্য,	অকৃতকার্য,	
coolin,	কোলিং,	কুলিং,	
karore,	কাররে,	কারোর,	
siddhantoi,	সিদ্ধানটি,	সিদ্ধান্তই,	
korkotkraantee,	কর্কতর্তনি,	কর্কটক্রান্তি,	
ashangka,	অসঙ্ক,	আশংকা,	
chalaabi,	চালাবি,	চালাবে,	
rooplal,	রুপলাল,	রূপলাল,	
jathartha,	যথারথ,	যথার্থ,	
parjataker,	পর্যটকের,	পর্যটকের,	
kommatei,	কমাটেই,	কমাতেই,	
phareksha,	ফের্ক,	ফরেক্স,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
kanshat,	কাঁসাট,	কানসাট,	
peengna,	পেঙ্ন,	পিংনা,	
shamijir,	স্যামীজির,	স্বামীজীর,	
majdur,	মজজুর,	মজদুর,	
engrejiteo,	ইংরেজিয়েত,	ইংরেজিতেও,	
mausumeo,	মৌসমূয়,	মৌসুমেও,	
haran,	হরণ,	হারান,	
engrezer,	ইংরেজের,	ইংরেজের,	
bisshasyi,	বিশ্বাসি,	বিশ্বাসই,	
chirontan,	চিরন্টন,	চিরন্তন,	
madhuree,	মধুরি,	মাধুরী,	
ralof,	রলফ,	রালফ,	
stana,	স্ট্যান,	স্টোন,	
boother,	বুঁথের,	বুথের,	
temanti,	টেমানটি,	তেমনটি,	
manushsaho,	মানসসহ,	মানুষসহ,	
ramantika,	রামান্টিক,	রোমান্টিক,	
anchalo,	আঞ্চল,	অঞ্চলও,	
pitthey,	পিঠে,	পীঠে,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
merjito,	মৃর্জিত,	মার্জিত,	
marathi,	মারাঠি,	মরাঠি,	
fartha,	ফার্থ,	ফার্থ,	
chalachchitratike,	চলচ্চিত্রিকেতে,	চলচ্চিত্রটিকে,	
teemplatee,	টিম্পোটি,	টেম্পলেট,	
sawom,	সভম,	সাওম,	
sharif,	শেরিফ,	শরিফ,	
auncholo,	অচ্চলো,	অঞ্চলও,	
ajeempur,	অজিম্পুর,	আজিমপুর,	
ajauno,	অযানন,	অযৌন,	
bairer,	বৈরের,	বাইরের,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
bosantake,	বসন্তকে,	বসন্তকে,	
wenish,	উইনিশ,	ভেনিস,	
satarkota,	সাতারতা,	সতর্কতা,	
chilona,	চিলনা,	ছিলনা,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
bangyer,	বাঙ্গের,	ব্যাঙের,	
assastikar,	অস্সাস্তিকর,	অস্বস্তিকর,	
atiteo,	অতিতেও,	অতীতেও,	
asaciates,	অসাসিসেট,	এসোসিয়েটস,	
chalachchitrei,	চলচচিত্রে,	চলচ্চিত্রেই,	
saarbharti,	সার্ভারটি,	সার্ভারটি,	
tintikey,	তিনটিকে,	তিনটিকে,	
reeliancee,	রিলিয়েন্স,	রিলায়েন্স,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
jeshh,	জেশ,	জেস,	
sarboporee,	সর্বপরে,	সর্বোপরী,	
nobom,	নবম,	নবম,	
asaborno,	অসব্রণ,	অসবর্ণ,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
khali,	খালি,	খালি,	
asif,	আসিফ,	আসিফ,	
ayadabhanshada,	অ্যাডাাবাাস,	অ্যাডভান্সড,	
gafiloti,	গাফিলতি,	গাফিলতি,	
ekoirokom,	একয়রকম,	একইরকম,	
mitroyo,	মাত্রয়ো,	মিত্রও,	
ovishangson,	অভিশংসন,	অভিশংসন,	
eparjanta,	অপার্জন্ত,	এপর্যন্ত,	
onkush,	অঙ্কুশ,	অংকুশ,	
shhikha,	শিখা,	শিখ,	
phising,	ফিশিং,	ফিসিং,	
pooding,	পুডিং,	পুডিং,	
ajimpur,	অজিম্পুর,	আজিমপুর,	
daaktikite,	ডাক্তিকে,	ডাকটিকিটে,	
atak,	আটক,	আটক,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
gaugee,	গৌগী,	গেজ,	
priti,	প্রীতি,	প্রিটি,	
up,	উপ,	আপ,	
omarjito,	অমর্জিত,	অমার্জিত,	
biharey,	বিহারে,	বিহারে,	
dhikrito,	ঢীকৃত,	ধিকৃত,	
gatrey,	গতত্রে,	গাত্রে,	
mahey,	মাহে,	মাহে,	
jaanar,	জানার,	জানার,	
ohollar,	অহললার,	অহল্যার,	
ganana,	গণনা,	গননা,	
horus,	হোরাস,	হোরাস,	
moithili,	মৈথিলি,	মৈথিলি,	
herpher,	হারফের,	হেরফের,	
shreechaitanyadeb,	শ্রীচাননত্বাদে,	শ্রীচৈতন্যদেব,	
dover,	ডোভের,	ডোভার,	
guzon,	গুজন,	গুজব,	
miitar,	মিতার,	মিত্র,	
argho,	অর্ঘ,	অর্ঘ্য,	
vaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
emargency,	এমর্জেন্সি,	এমার্জেন্সি,	
temonyi,	টেমনই,	তেমনই,	
omkar,	অমকার,	ওঙ্কার,	
paree,	পারি,	পাড়ে,	
vishhnu,	বীষ্ণু,	বিষ্ণু,	
rajdhani,	রাজধানী,	রাজধানি,	
gonoporeebohoner,	গণপরিবহণের,	গণপরিবহনের,	
chaaltaa,	চাল্টা,	চালতা,	
amiratas,	অমেরাটাস,	এমিরেটাস,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
debodebi,	দেবদীবী,	দেবদেবী,	
satjon,	সতজন,	সাতজন,	
ooipokar,	উপকার,	উইপোকার,	
dharabhashyakar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
anekeri,	অনেকেরই,	অনেকেরই,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
masharraf,	মাশাররফ,	মশাররফ,	
bekey,	বেকে,	বেঁকে,	
superhera,	সুপাহেরা,	সুপারহিরো,	
muzibur,	মুজিবুর,	মুজিবুর,	
khaambaa,	খাম্বা,	খাম্বা,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
veedanta,	বীদন্ত,	বেদান্ত,	
segular,	সেগুলোর,	সেগুলোর,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
yankee,	ইন্কি,	ইয়াংকি,	
advoot,	অ্যাডভুট,	অদ্ভুত,	
grantha,	গ্রন্থ,	গ্রন্থ,	
krantikale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
stonehenge,	স্টনেহেঙ্গে,	স্টোনহেঞ্জ,	
jerusalem,	জেরুজেম,	জেরুজালেম,	
shilabhara,	সিলভারা,	সিলভার,	
poonch,	পুঁচ,	পুঞ্চ,	
matthew,	মাঠেও,	ম্যাথিউ,	
skalastika,	স্কালস্টিক,	স্কলাস্টিক,	
sweety,	স্বীতি,	সুইটি,	
shrichaitanyadeb,	শ্রীচৈতনন্তদেব,	শ্রীচৈতন্যদেব,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
neelkamal,	নেলকমাল,	নীলকমল,	
shcholastik,	স্কালস্তিক,	স্কলাস্টিক,	
gonosakkhorota,	গণস্ককষরতা,	গণসাক্ষরতা,	
croak,	ক্রোক,	ক্রোক,	
horeedware,	হরুদ্বারে,	হরিদ্বারে,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
noitikotabodh,	নৈতিকতাবোধ,	নৈতিকতাবোধ,	
madhoori,	মাধুরি,	মাধুরী,	
chitranattakar,	চিত্রনাত্যাকার,	চিত্রনাট্যকার,	
prabhur,	প্রভূর,	প্রভুর,	
mit,	মিট,	মিট,	
sahocorrze,	সহকর্রে,	সাহচর্যে,	
ministara,	মিনিস্টার,	মিনিস্টার,	
deqe,	ডেকে,	ডেকে,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
kona,	কোন,	কোনা,	
societyke,	সািশিতকে,	সোসাইটিকে,	
baharamapurer,	বহরামপুরের,	বহরমপুরের,	
gandhiio,	গান্ধিই,	গান্ধীও,	
nirmankaz,	নির্মাণকাজ,	নির্মাণকাজ,	
abotaar,	অবতার,	অবতার,	
dajhya,	দাজ্য,	দাহ্য,	
tokey,	তোকে,	ত্বকেই,	
poroborti,	পরবর্তী,	পরর্বতী,	
khilafot,	খিলাফত,	খিলাফত,	
rot,	রোট,	রত,	
siit,	সীট,	শীত,	
dilam,	দিলাম,	দিলাম,	
daakten,	ডাকতেন,	ডাকতেন,	
musharraf,	মুসাররফ,	মশাররফ,	
kaaleo,	কালেও,	কালেও,	
gemi,	গেমি,	জেমি,	
fox,	ফক্স,	ফক্স,	
meetropolitan,	মেট্রোপিলন,	মেট্রোপলিটন,	
anchaltike,	আঞ্চলটিকে,	অঞ্চলটিকে,	
mataram,	মাটরাম,	মাতারাম,	
jarusalema,	জারুলেম,	জেরুসালেম,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
breq,	ব্রেক,	ব্রেক,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
easter,	এস্টের,	ইস্টার,	
sachetanotamulok,	সচেতানতমূলক,	সচেতনতামূলক,	
phox,	ফক্স,	ফক্স,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
sangkalanti,	সংকল্ান্তি,	সংকলনটি,	
zyaka,	জ্যাক,	জ্যাক,	
sheo,	সিও,	সেও,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
korusher,	ক্রুসের,	ক্রুশের,	
plainti,	প্লাইন্টি,	প্লেনটি,	
noditike,	নদীতিকে,	নদীটিকে,	
alngkoron,	অলংকরণ,	অলঙ্করণ,	
sadbi,	সব্দি,	সাধ্বী,	
ddheke,	ঢেঁকে,	ঢেকে,	
gotibegey,	গতিবেগে,	গতিবেগে,	
noter,	নোটের,	নোটের,	
randeep,	রান্ডিপ,	রণদীপ,	
venam,	বেযানাম,	ভেনম,	
shucharita,	সুচারিত,	সুচরিতা,	
manabmaner,	মানবমনের,	মানবমনের,	
qloud,	ক্লাউড,	ক্লাউড,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
phokskon,	ফক্ষণ,	ফক্সকন,	
ponthaar,	পন্থার,	পন্থার,	
jani,	জানি,	জনি,	
somabesh,	সমাবেশ,	সমাবেশ,	
modelke,	মোডেলকে,	মডেলকে,	
muhamada,	মুহামাদা,	মুহাম্মদ,	
hukar,	হুকার,	হুকার,	
panctaar,	পাঁচার,	পাঁচটার,	
shef,	শেফ,	শেফ,	
credit,	ক্রিডিট,	ক্রেডিট,	
naabbota,	নববতা,	নাব্যতা,	
licencing,	লিলেকিং,	লাইসেন্সিং,	
roktokshoroner,	রক্তককরণের,	রক্তক্ষরণের,	
khamba,	খ্যবা,	খাম্বা,	
dhikrita,	ঢিকৃত,	ধিকৃত,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
kadarer,	কারারের,	কদরের,	
dokanei,	দকনেই,	দোকানেই,	
goojober,	গুজবের,	গুজবের,	
parqasa,	পার্কস,	পার্কস,	
kakhnoba,	কখ্নব,	কখনওবা,	
majlishpur,	মজিিস্পুর,	মজলিশপুর,	
kottar,	কত্তার,	কট্টর,	
ikbaler,	একবালের,	ইকবালের,	
spreeadsheet,	স্প্রেসেস,	স্প্রেডশীট,	
baharampurer,	বহরামপুরের,	বহরমপুরের,	
sbatantrata,	স্বাতান্ত্রত,	স্বতন্ত্রতা,	
oitihyer,	ঐতৃহ্যের,	ঐতিহ্যের,	
gandhikey,	গানধিকে,	গান্ধীকে,	
horeepur,	হরিপুর,	হরিপুর,	
baireyo,	বৈরেও,	বাইরেও,	
shodhon,	সোধন,	শোধন,	
carlo,	কার্লো,	কার্লো,	
bandhutwo,	বান্ধুত্ব,	বন্ধুত্ত্ব,	
neshnos,	নেশনস,	নেশনস,	
hantte,	হাঁটে,	হাঁটতে,	
patengar,	পেটেঙ্গার,	পতেঙ্গার,	
prodip,	প্রদীপ,	প্রদীপ,	
chaaktir,	চাকটির,	চাকতির,	
alkatra,	আলকাত্র,	আলকাতরা,	
uindos,	উইন্ডস,	উইন্ডোস,	
utsaho,	উৎসহ,	উৎসাহ,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
chirokoomari,	চিরকমারি,	চিরকুমারী,	
hedge,	হেজ,	হেজ,	
shrimati,	শ্রীমতি,	শ্রীমতি,	
dhos,	ধোষ,	ধস,	
mohajote,	মহাজতে,	মহাজোট,	
idipasa,	এডিপাশ,	ইডিপাস,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
anchalsaho,	আঞ্চলসহ,	অঞ্চলসহ,	
kisti,	কিষ্টি,	কিস্তি,	
chalochchitrer,	চলচচত্রের,	চলচ্চিত্রের,	
naazee,	নাজী,	নাত্সি,	
nesnosh,	নেশনস,	নেশনস,	
madraser,	মাদ্রসের,	মাদ্রাজের,	
heart,	হার্ট,	হার্ট,	
krema,	ক্রেমা,	ক্রাইম,	
ragke,	রাগকে,	রাগকে,	
attacharito,	আত্মচারিত,	অত্যাচারিত,	
teknokryat,	টেকনাক্র,	টেকনোক্র্যাট,	
doonata,	ডুনত,	ডোনাট,	
timoothi,	তিমুথি,	টিমোথি,	
fotanor,	ফটানোর,	ফোটানোর,	
ancholgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
tikto,	তিক্ত,	তিক্ত,	
shikkhakbrindo,	শিক্ষাকবিন্দ,	শিক্ষকবৃন্দ,	
akritakarjo,	আকৃতকার্য,	অকৃতকার্য,	
rohasyer,	রহহ্যের,	রহস্যের,	
mesenjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
neelfamarir,	নেলফামারির,	নীলফামারীর,	
harza,	হার্জ,	হার্জ,	
obhishangson,	অভিশংসন,	অভিশংসন,	
mach,	মাঁচ,	মাছ,	
matthews,	ম্যাথেউস,	ম্যাথিউস,	
ceema,	সেম,	সীমা,	
kul,	কুল,	কুল,	
gunoman,	গুণমান,	গুণমান,	
moogdal,	মোগদল,	মুগডাল,	
sita,	সীত,	সিট,	
pratista,	প্রতিষ্টা,	প্রতিষ্টা,	
phemale,	ফেমালে,	ফিমেল,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
hijrii,	হিজরি,	হিজরী,	
nondolal,	নন্দলাল,	নন্দলাল,	
azaadeer,	আজাদির,	আজাদীর,	
istoon,	ইস্টুন,	স্টোন,	
shithilata,	সিতিলতা,	শিথিলতা,	
location,	লোকেশন,	লোকেশন,	
modeley,	মোদেলে,	মডেলে,	
hugeke,	হাগেকে,	হিউজকে,	
deputii,	দেপুতি,	ডেপুটি,	
mitrao,	মিত্রু,	মিত্রও,	
sithilotar,	সিতিলতার,	শিথিলতার,	
sthaponatir,	স্থাপনটির,	স্থাপনাটির,	
shaatjon,	সাতজন,	সাতজন,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
bidrohiderkey,	বিদ্রোহিদরকে,	বিদ্রোহীদেরকে,	
shektor,	সেক্টর,	সেক্টর,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
hilse,	হিলসে,	হিলসে,	
kokhonoba,	কখনোবা,	কখনওবা,	
elakaao,	এলাকাও,	এলাকাও,	
brindaaboner,	ব্রিন্দবনের,	বৃন্দাবনের,	
modelling,	মোডলিং,	মডেলিং,	
prottokhobhabe,	প্রত্যাখভাবে,	প্রত্যক্ষভাবে,	
bajhyo,	বাঝ্য,	বাহ্য,	
elakaatir,	এলাকাতির,	এলাকাটির,	
hotodoreedro,	হতদাদির্য,	হতদরিদ্র,	
homshke,	হোস্কে,	হোমসকে,	
kanagulo,	কানাগুলো,	কণাগুলো,	
pathachari,	পাঠচারী,	পথচারী,	
bocchon,	ব্চচ্ন,	বচ্চন,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
keyboarder,	কেবার্ডের,	কীবোর্ডের,	
wault,	ওয়াল্ট,	ভল্ট,	
gatirodh,	গতিরোধ,	গতিরোধ,	
pluse,	প্লেজ,	প্লাসে,	
melborrone,	মেলবররণে,	মেলবোর্নে,	
plak,	প্ল্যাক,	প্ল্যাক,	
chutir,	চুটির,	ছুটির,	
sachetanatamulak,	সচেতানতমূলক,	সচেতনতামূলক,	
norpholk,	নাফফলক,	নরফোক,	
engrezra,	ইংরেজ্ঞা,	ইংরেজরা,	
nabatamo,	নবতম,	নবতম,	
brekathru,	ব্রেকাররর,	ব্রেকথ্রু,	
hamburgey,	হ্যাম্বররেজ,	হামবুর্গে,	
jworer,	জ্রোরের,	জ্বরের,	
ovinetar,	অভিনেতার,	অভিনেতার,	
nabheela,	নাভিল,	নভেল,	
window,	উইন্ডো,	উইন্ডো,	
mozdoor,	মজদুর,	মজদুর,	
dharabahiker,	ধরাবাহীকের,	ধারাবাহিকের,	
ashocheton,	অস্বচেন,	অসচেতন,	
ashamorthito,	অসসর্থিত,	অসমর্থিত,	
swasti,	স্বাসটি,	স্বস্তি,	
nyeta,	ন্যাট,	ম্যাট,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
dai,	দাই,	ডে,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
dhruboker,	ধ্র্যকের,	ধ্রুবকের,	
hotelti,	হটেটি,	হোটেলটি,	
jokrit,	যকৃত,	যকৃৎ,	
bhardwaj,	ভার্দ্যাজ,	ভরদ্বাজ,	
gabeshokgon,	গবেষক্ষণ,	গবেষকগণ,	
batikromshali,	ব্যাতিরক্ষালী,	ব্যতিক্রমধর্মী,	
jakkha,	যক্ষা,	যক্ষ,	
aholla,	আহল্লা,	অহল্যা,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
shookna,	শুকনা,	শুকনা,	
shiter,	সিটের,	শীতের,	
qrita,	কৃত,	ক্রীট,	
dai,	দাই,	দিই,	
juktorastrosoho,	যুক্তরাত্রসসহ,	যুক্তরাষ্ট্রসহ,	
tintir,	তিনটির,	তিনটির,	
sekarone,	সেকারণে,	সেকারণে,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
ghurtey,	ঘুরতে,	ঘুরতে,	
thakte,	থাকতে,	থাকতে,	
taresa,	তারেসা,	টেরেসা,	
aamudey,	আমুদে,	আমুদে,	
bhittimul,	ভিতমিলুল,	ভিত্তিমূল,	
cinematographer,	সিনিনাভ্রাফুকের,	সিনেমাটোগ্রাফার,	
parkasa,	পার্কস,	পার্কস,	
shiqar,	শিকার,	শিকার,	
chamsky,	চমস্কি,	চমস্কি,	
byepass,	ব্যাপস,	বাইপাস,	
parq,	পার্ক,	পার্ক,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
sommoteer,	সম্মতির,	সম্মতির,	
bim,	বিম,	বিম,	
bolatkar,	বলাটার,	বলাৎকার,	
nitikotha,	নীতিকথা,	নীতিকথা,	
angkush,	অঙ্কুশ,	অংকুশ,	
santani,	সান্তানী,	সনাতনী,	
kanasharabheshhana,	কনসারোশন,	কনসারভেশন,	
tennis,	টেনিস,	টেনিস,	
ileeing,	ইলিং,	ইলিং,	
roi,	রো,	রায়,	
engil,	এঞ্জিল,	ইঞ্জিল,	
durga,	দুর্গা,	দুর্গ,	
varote,	ভারতে,	ভারতে,	
koreem,	করীম,	করিম,	
adhuna,	অধুনা,	অধুনা,	
marodeho,	মারদেহ,	মরদেহ,	
sainyo,	সাইন্য,	সৈন্য,	
shloker,	স্লোকের,	শ্লোকের,	
cs,	সিএস,	সিএস,	
jeebnagar,	জীবনগার,	জীবননগর,	
inamil,	ইনামিল,	এনামেল,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
nirarthok,	নিরার্থক,	নিরর্থক,	
shaapholler,	সাফললের,	সাফল্যের,	
rotheen,	রথিন,	রথীন,	
gudamjat,	গুদামজম,	গুদামজাত,	
renoo,	রেনো,	রেনো,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
silvee,	সিলভী,	সিলভি,	
kool,	কোল,	কুল,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
sthapona,	স্থাপনা,	স্থাপনা,	
phareqsa,	ফের্কস,	ফরেক্স,	
chopal,	চোপাল,	চপল,	
benke,	বেনকে,	বেঁকে,	
easter,	এস্টের,	ইস্টের,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
unitshoho,	উউনিতসহ,	ইউনিটসহ,	
rajpur,	রাজপুর,	রাজপুর,	
sherup,	শেরূপ,	সেরূপ,	
sharifpur,	শরীপপুর,	শরিফপুর,	
mesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
sift,	সিফ্ট,	শিফট,	
ovisongson,	অভিংসং,	অভিশংসন,	
danut,	ডানুট,	ডোনাট,	
krita,	কৃত,	ক্রীট,	
vugoley,	ভুগোলে,	ভূগোলে,	
manohar,	মানহার,	মনোহর,	
augustine,	অগস্টিন,	অগাস্টিন,	
ivil,	আইভি,	ইভিল,	
jonsa,	জনসা,	জোন্স,	
jathartho,	যথার্থ,	যথার্থ,	
bipradas,	বিপপ্রসস,	বিপ্রদাস,	
bandi,	বন্দি,	বন্দী,	
kraim,	ক্রেম,	ক্রাইম,	
lotharan,	লথারন,	লুথেরান,	
neshanasa,	নেশাস,	নেশনস,	
shtonehenge,	স্টনিেেহ্,	স্টোনহেঞ্জ,	
jwar,	জ্বর,	জ্বর,	
lettar,	লেটার,	লেটার,	
amantrita,	অমন্ত্রিত,	আমন্ত্রিত,	
rca,	রিক,	আরসিএ,	
mukhya,	মূখ্য,	মুখ্য,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
baasaa,	বাসা,	বাসা,	
fern,	ফেরন,	ফার্ন,	
saphalyar,	সাফল্যার,	সাফল্যের,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
injiniyarim,	ইন্জেনিয়ামিং,	ইঞ্জিনিয়ারিং,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
addabaaz,	অদ্যাবাজ,	আড্ডাবাজ,	
amor,	আমর,	আমর,	
shikshakke,	শিক্ষাককে,	শিক্ষককে,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
polashir,	পলাশির,	পলাশীর,	
sithilota,	সিতিলতা,	শিথিলতা,	
qindama,	কিন্ডাম,	কিংডম,	
bikretaara,	বিক্রেতারা,	বিক্রেতারা,	
bethik,	বৈথিক,	বেঠিক,	
rah,	রহ,	রঃ,	
hoondayi,	হোন্ডেই,	হুন্দাই,	
chirota,	চিরতা,	চিরতা,	
pirujalee,	পিরুজালী,	পিরুজালী,	
paikgacha,	পাক্ছাচ,	পাইকগাছা,	
dibeta,	দিবেতা,	ডিবেট,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
soheensotar,	সহিনসতার,	সহিংসতার,	
karleo,	করলেও,	করলেও,	
orohan,	ওরহান,	ওরহান,	
damone,	দামনে,	দমনে,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
inphormation,	ইনফরমেনশন,	ইনফরমেশন,	
jommoo,	জম্মু,	জম্মু,	
babna,	বাননা,	বাবনা,	
tenise,	টেনিস,	টেনিসে,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
rubyo,	রাব্য,	রুবিও,	
rutina,	রুটিন,	রুটিন,	
boneo,	বনেও,	বনেও,	
utsahi,	উত্সাহী,	উৎসাহী,	
subadey,	সাবাদে,	সুবাদে,	
quoota,	কুয়ট,	কোটা,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
everest,	এভারেস্ট,	এভারেস্টে,	
srabosty,	শ্রাবস্টি,	শ্রাবস্তী,	
ranangoney,	রণাঙ্গে,	রণাঙ্গনে,	
parishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
shotoker,	শতকের,	শতকের,	
damonmoolok,	দামনমোলক,	দমনমূলক,	
ovarviu,	ওভারভি,	ওভারভিউ,	
saida,	সাইড,	সাইদা,	
kharaar,	খারার,	খরার,	
calabe,	কলেবে,	চালাবে,	
waal,	ওয়াল,	উল,	
yaak,	যয়ক,	ইয়াক,	
bee,	বি,	বি,	
proman,	প্রমাণ,	প্রমান,	
venishh,	ভেনিস,	ভেনিস,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
shuparahiro,	সুপাহারিরা,	সুপারহিরো,	
minishter,	মিনিস্টার,	মিনিস্টার,	
tenis,	টেনিস,	টেনিস,	
phiksa,	ফিক্স,	ফিক্স,	
narsaari,	নার্সারী,	নার্সারি,	
swosti,	স্বস্তি,	স্বস্তি,	
ekoghore,	অকোরে,	একঘরে,	
dap,	ডাপ,	ড্যাপ,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
ceramiqs,	কেরামিক্স,	সিরামিকস,	
fokshkon,	ফক্ষণ,	ফক্সকন,	
hobu,	হবু,	হবু,	
vorpur,	ভরপর,	ভরপুর,	
romantiq,	রোমান্তিক,	রোমান্টিক,	
mastars,	মাস্টার্স,	মাস্টার্স,	
piruzali,	পিরুজালি,	পিরুজালী,	
shikha,	শিখা,	শিখ,	
baju,	বাজু,	বাজু,	
jonomukhi,	জনমুখী,	জনমুখী,	
manshe,	মাংশে,	মানুষে,	
gabhaskaar,	গভাষকার,	গাভাস্কার,	
bhenkates,	ভেনকেটস,	ভেঙ্কটেশ,	
kibord,	কিবোর্ড,	কীবোর্ড,	
chalachchitrai,	চলচ্চিত্রেই,	চলচ্চিত্রই,	
brookoleen,	ব্রোকোলিন,	ব্রুকলিন,	
fimela,	ফাইমেল,	ফিমেল,	
seater,	সেটের,	সিটের,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
boudha,	বৌদ্ধ,	বৌদ্ধ,	
dancan,	ডানকন,	ডানকান,	
eshoshiyetasha,	এস্বাসিয়েস,	এসোসিয়েটস,	
provritir,	প্রভৃতির,	প্রভৃতির,	
aqram,	এক্রম,	আকরাম,	
ghenshei,	ঘেঁনেই,	ঘেঁষেই,	
satjan,	সতজন,	সাতজন,	
tarbine,	তারবিনে,	টারবাইন,	
modeltigulo,	মোডেলেটগুলো,	মডেলগুলো,	
prakalpogulo,	প্রকালপুগোলো,	প্রকল্পগুলো,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
salil,	সালিল,	সলিল,	
loukeek,	লৌকিক,	লৌকিক,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
alubokhara,	অলুববখারা,	আলুবোখারা,	
uzobekeestaaner,	উযবেবিক্তেনের,	উজবেকিস্তানের,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
bronje,	ব্রঞ্জ,	ব্রোঞ্জ,	
naubihar,	নৌবিহার,	নৌবিহার,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
shtone,	স্টিন,	স্টোন,	
fishing,	ফিশিং,	ফিসিং,	
