sukkho,	শুক্ষ্,	সুক্ষ্ম,	
tookroke,	টুকরকে,	টুকরোকে,	
dinnar,	দিনার,	ডিনার,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
plen,	প্লেন,	প্লেন,	
antorvuktimulok,	অন্তর্মুন্তিকূল,	অন্তর্ভুক্তিমূলক,	
alngkoron,	আলঙ্করণ,	অলঙ্করণ,	
basate,	বাসতে,	বাসাতে,	
paite,	পাইটে,	পাইতে,	
dadader,	দাদাদের,	দাদাদের,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
moomtajer,	মুমতাজের,	মুমতাজের,	
chowdhuryder,	চৌধুরীদের,	চৌধুরীদের,	
silabhara,	শিলভার,	সিলভার,	
ssumi,	সুমি,	সুমি,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
tate,	টাটে,	তাতে,	
cheerontan,	চিরোন্টন,	চিরন্তন,	
shepherd,	সেফার্ড,	শেফার্ড,	
pchok,	প্কক,	পাচক,	
abosare,	অবসারে,	অবসরে,	
bordhitangso,	বর্ধিতাংশ,	বর্ধিতাংশ,	
abolokon,	অবলকন,	অবলোকন,	
pujita,	পুজিত,	পূজিতা,	
tyuner,	টিউনের,	টিউনার,	
pratiyogita,	প্রতিযোগিত,	প্রতিযোগীতা,	
vumir,	ভূমির,	ভূমির,	
asommati,	অসমাতি,	অসম্মতি,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
phalah,	ফালা,	ফালাহ,	
victor,	ভিক্টর,	ভিক্টর,	
consarvation,	কনসর্জেশন,	কনসারভেশন,	
deephineeshana,	ডিফেনিশন,	ডেফিনেশন,	
ruvbla,	রুভ্বল,	রুবল,	
valobasey,	ভালবাসে,	ভালোবাসে,	
dharavahikeo,	ধরবাহীহে,	ধারাবাহিকেও,	
steeit,	স্টিট,	স্টেইট,	
refleks,	রেফল্যাস্স,	রিফ্লেক্স,	
odoore,	অদুরে,	অদুরে,	
duma,	দুমা,	দুমা,	
galpokar,	গল্পকার,	গল্পকার,	
dembakreeti,	ডেম্বারকিতি,	ডিম্বাকৃতি,	
prabhuder,	প্রভূদের,	প্রভুদের,	
oedipush,	এউডিপাস,	ইডিপাস,	
bohubar,	বহুবার,	বহুবার,	
krantee,	ক্রান্টি,	ক্রান্তি,	
gonosakkhorota,	গণস্ষককর,	গণসাক্ষরতা,	
sikkhakbrinda,	শিক্ষাক্র্ণ্দ,	শিক্ষকবৃন্দ,	
danobder,	দাবন্দের,	দানবদের,	
mail,	মেল,	মাইল,	
vaibonera,	ভাইবনের,	ভাইবোনেরা,	
roja,	রোজ,	রোযা,	
gazipur,	গজীপুর,	গাজিপুর,	
bhabna,	ভাবনা,	ভাবনা,	
agomoner,	অগমনের,	আগমনের,	
pack,	প্যাক,	প্ল্যাক,	
serup,	সেরুপ,	সেরুপ,	
ssteit,	স্টেইট,	স্টেইট,	
moithili,	মাথিলি,	মৈথিলি,	
bunot,	বুণত,	বুনট,	
temas,	টেমস,	টাইমস্,	
qonflict,	কনফিক্ট,	কনফ্লিক্ট,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
akkas,	এককাস,	আককাস,	
bandhano,	বন্ধন,	বাঁধানো,	
shhepha,	শেফ,	শেফ,	
chhootir,	ছুটির,	ছুটির,	
ancholtike,	অঞ্চলিতকে,	অঞ্চলটিকে,	
monohorpur,	মনোররপুর,	মনোহরপুর,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
abarto,	আবর্ত,	আবর্ত,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
brookolin,	ব্রোকোলিন,	ব্রুকলিন,	
transformaarer,	ট্রান্সোররমের,	ট্রান্সফরমারের,	
bardhitaanas,	বার্ধতিদাস,	বর্ধিতাংশ,	
saajano,	সাজানো,	সাজানো,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
vabook,	ভাবুক,	ভাবুক,	
hooq,	হুক,	হুক,	
madrasa,	মদ্রাস,	মাদ্রাসা,	
croak,	ক্রাক,	ক্রোক,	
siddhantao,	সিদ্ধান্ত,	সিদ্ধান্তও,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
alsara,	আলসার,	আলসার,	
noiteekotar,	নৈতিকাতর,	নৈতিকতার,	
byanger,	ব্যাঙের,	ব্যাঙের,	
choudhureeder,	চৌধুরীদের,	চৌধুরীদের,	
bhugarbhe,	ভুগর্ভে,	ভূগর্ভে,	
maadla,	মদলা,	মাদলা,	
madeelim,	মেডিলি,	মডেলিং,	
shhip,	শিপ,	শিপ,	
turkeyder,	টারকেডের,	তুর্কিদের,	
chaity,	চাইটি,	চৈতি,	
tarabaina,	তারাবিন,	টারবাইন,	
aksathe,	আক্ষথে,	একসাথে,	
dorgaho,	দরগাহ,	দরগাহ,	
iub,	ইউব,	আইইউবি,	
machera,	মেচরা,	মাছেরা,	
baffer,	বাফফের,	বাফার,	
gatibege,	গতিবেগে,	গতিবেগে,	
pragresha,	প্রোগ্রেস,	প্রগ্রেস,	
mausumti,	মৌসমিত,	মৌসুমটি,	
nesnosh,	নেশনস,	নেশনস,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
moomtaj,	মুমত্জ,	মুমতাজ,	
aazaadir,	আজাদীর,	আজাদীর,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
thime,	থিমে,	থিমে,	
nations,	নটিংশ,	নেশনস,	
footballerra,	ফুটবলার্চার,	ফুটবলাররা,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
tookrote,	টুকরতে,	টুকরোতে,	
aaloteo,	আলোতেও,	আলোতেও,	
nadnodeer,	নাদনদীর,	নদনদীর,	
jonesh,	জনসে,	জোন্স,	
mukhamandol,	মুখান্দল,	মুখমণ্ডল,	
pure,	পুরে,	পিওর,	
elakatikey,	এলাকাটিকে,	এলাকাটিকে,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
ohong,	ওজং,	অহং,	
ooipokar,	উউপকার,	উইপোকার,	
parking,	পার্কিং,	পার্কিং,	
byke,	বিকে,	বাইক,	
udbhabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
drishyake,	দৃষ্যকে,	দৃশ্যকে,	
battery,	ব্যাটারি,	ব্যাটারী,	
injeel,	ইঞ্জিল,	ইঞ্জিল,	
dorji,	দরজী,	দরজি,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
lidara,	লিডার,	লিডার,	
potkaa,	পোটকা,	পটকা,	
nagarik,	নাগরিক,	নাগরিক,	
naraphoqa,	নরফফা,	নরফোক,	
sakkhatkarer,	সক্ষাতকারের,	সাক্ষাত্কারের,	
vivek,	ভিভেক,	বিবেক,	
institutioner,	ইন্সটিটিউনেের,	ইনস্টিটিউশনের,	
paramartha,	পরামর্থ,	পরমার্থ,	
jathon,	যথন,	যথন,	
sqora,	স্কোরা,	স্কোর,	
chorban,	চর্বন,	চর্বন,	
rushd,	রুস্ড,	রুশদ,	
guzon,	গুজন,	গুজব,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
sumoo,	সুমো,	সুমো,	
moldova,	মোলদভা,	মলদোভা,	
porijoner,	পরিজনের,	পরিজনের,	
planee,	প্লেন,	প্লেন,	
unitgulo,	উউনিতগুলো,	ইউনিটগুলো,	
pirujalee,	পিরুজালি,	পিরুজালী,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
kartana,	কর্তন,	করতনা,	
chargito,	চর্গিত,	চার্জিত,	
shreemoti,	শ্রীমটি,	শ্রীমতি,	
karecho,	করেছ,	করেছো,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
aazeez,	আজিজ,	আজিজ,	
azadeer,	আজাদীর,	আজাদীর,	
sipht,	সিফ্ট,	শিফট,	
streegan,	স্ট্রীগান,	স্ত্রীগণ,	
hoomasa,	হোসা,	হোমস,	
purbancoler,	পূর্বন্্ললের,	পূর্বাঞ্চলের,	
janasangjog,	জনসাঞ্গ,	জনসংযোগ,	
elaakaati,	এলাকাটি,	এলাকাটি,	
diaraesha,	ডিয়েরস,	ডিআরএস,	
bedanta,	বেদান্ত,	বেদান্ত,	
prokolpotike,	প্রকোক্তিতে,	প্রকল্পটিকে,	
santaa,	সন্ত,	সান্তা,	
daaradaa,	দারদা,	দারদা,	
nutan,	নুতান,	নূতন,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
shhipa,	শিপ,	শিপ,	
kuery,	কাইরি,	কোয়েরি,	
phoster,	ফোস্টার,	ফস্টার,	
kaanaai,	কানাই,	কানাই,	
zeebonjapon,	জীবনযাপন,	জীবনযাপন,	
graameroi,	গ্রামেরই,	গ্রামেরই,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
deeputi,	দিপুতি,	ডেপুটি,	
uposhthit,	উপস্থিত,	উপস্থিত,	
kark,	কার্ক,	কার্ক,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
akritakarja,	আকৃতকর্র,	অকৃতকার্য,	
sajja,	সজজ্য,	সজ্জা,	
meshar,	মেশর,	মেশার,	
taaims,	টাইম,	টাইমস্,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
paare,	পারে,	পাড়ে,	
qanaphliqta,	কানফিক্ট,	কনফ্লিক্ট,	
shikare,	শিকারে,	শিকারে,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
akpaase,	আকপাশে,	একপাশে,	
maudeling,	মাডেলিং,	মডেলিং,	
metropoliton,	মেত্রোপলিন,	মেট্রোপলিটন,	
seemaa,	সিমা,	সীমা,	
venicer,	ভেনিকের,	ভেনিসের,	
surarop,	সুরারপ,	সুরারোপ,	
hock,	হোক,	হুক,	
bi,	বি,	বি,	
zyaka,	জ্যাক,	জ্যাক,	
sahabike,	সহবিকে,	সাহাবীকে,	
probhura,	প্রভূরা,	প্রভুরা,	
roomantik,	রোমান্তিক,	রোমান্টিক,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
boshoborti,	বসবর্তী,	বশবর্তী,	
gaaddafee,	গাদ্যাপি,	গাদ্দাফী,	
roktokhorone,	রক্তকরণে,	রক্তক্ষরণে,	
machhsoho,	মাচসহ,	মাছসহ,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
shamook,	সামুক,	শামুক,	
graambaasir,	গ্রাম্বাসীর,	গ্রামবাসীর,	
phutbolarder,	ফুটবালাদের,	ফুটবলারদের,	
zins,	জিংস,	জিন্স,	
dharabhashyakar,	ধরবাহস্মার,	ধারাভাষ্যকার,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
zohns,	জোন্স,	জন্স,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
tap,	টাপ,	ট্যাপ,	
licencedhari,	লিকেন্ারারি,	লাইসেন্সধারী,	
choudhureeo,	চৌধুরি,	চৌধুরীও,	
bang,	বাং,	ব্যাং,	
cooling,	কোলিং,	কুলিং,	
kram,	ক্রাম,	ক্রম,	
gujab,	গুজব,	গুজব,	
plate,	প্লেট,	প্লেট,	
cheentaikari,	চিন্তাকারী,	ছিনতাইকারী,	
nathivookta,	নথিভূক্ত,	নথিভুক্ত,	
pillai,	পিল্লেই,	পিল্লাই,	
poorbancholer,	পূর্যাংল্লের,	পূর্বাঞ্চলের,	
amanisha,	অমনিশ,	অমানিশা,	
karlosha,	কার্লস,	কার্লোস,	
dubate,	দুবতে,	ডুবাতে,	
shrabasti,	শ্রবা্তি,	শ্রাবস্তী,	
daver,	দেভার,	ডোভার,	
aidii,	আইডি,	আইডিই,	
engreziteo,	এংরেজিতে,	ইংরেজিতেও,	
gonohottake,	গণহাত্যকে,	গণহত্যাকে,	
aameenar,	আমিনার,	আমিনার,	
gaddafii,	গা্ডাাই,	গাদ্দাফী,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
haris,	হরিস,	হ্যারিস,	
byabaharkareeke,	ব্যবহারকককী,	ব্যবহারকারীকে,	
qoda,	কোড,	কোডা,	
nischoy,	নিশ্চ,	নিশ্চয়,	
kormosompadon,	কর্মস্পাদ,	কর্মসম্পাদন,	
dey,	দে,	ডে,	
dimbacriti,	ডিম্বারিতি,	ডিম্বাকৃতি,	
shiropa,	শিরপা,	শিরোপা,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
bhyaatikaaner,	ভ্তাতিকানের,	ভ্যাটিকানের,	
ganakantha,	গণকা্থ,	গণকণ্ঠ,	
jotsna,	জোৎস্ন,	জ্যোৎস্না,	
version,	ভার্সন,	ভারশন,	
chon,	চন,	ছোঁ,	
gonohotyar,	গণহত্যার,	গণহত্যার,	
prokolpoguli,	প্রকোপগুলি,	প্রকল্পগুলি,	
baghdad,	বাঘদাদ,	বাগদাদ,	
amontrito,	অমন্তৃত,	আমন্ত্রিত,	
aalkaatra,	আলকত্তার,	আলকাতরা,	
devolopar,	ডেভলপার,	ডেভলপার,	
beshirbhagi,	বেশিরভাগি,	বেশিরভাগই,	
nagorikra,	নগরিকরর,	নাগরিকরা,	
madelim,	মেডালি,	মডেলিং,	
baharampurer,	বহরামপুরের,	বহরমপুরের,	
korush,	করুষ,	ক্রুশ,	
ghoorte,	ঘররতে,	ঘুরতে,	
balokarok,	বালককরক,	বলকারক,	
zacksan,	যক্ষণ,	জ্যাকসন,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
brindaaboner,	বৃন্দদবনের,	বৃন্দাবনের,	
baek,	বাইক,	বাইক,	
chhutochhuti,	ছুটচূটি,	ছুটোছুটি,	
gore,	গরে,	গোর,	
uponishad,	উপনিষাদ,	উপনিষদ,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
giitikobitar,	গিতিকাবিতার,	গীতিকবিতার,	
carzar,	কার্জার,	চার্জার,	
oncholtite,	অঞলচটিতে,	অঞ্চলটিতে,	
mugdhota,	মুগধতা,	মুগ্ধতা,	
manu,	মনু,	মনু,	
swalpo,	স্বল্প,	স্বল্প,	
bharma,	ভর্ম,	ভার্মা,	
kadom,	কাদম,	কদম,	
siddhantagulo,	সিদ্ধানগগুলো,	সিদ্ধান্তগুলো,	
naji,	নাজি,	নাত্সি,	
bhaisaho,	ভাইসাহ,	ভাইসহ,	
obotar,	অবতার,	অবতার,	
upcharzo,	উপচার্য,	উপাচার্য,	
dorgah,	দরগা,	দরগাহ,	
station,	স্টেশন,	ষ্টেশন,	
temonti,	টেমন্তি,	তেমনটি,	
bhushi,	ভুষি,	ভুষি,	
bojhao,	বোঝা,	বোঝাও,	
chorchito,	চর্চিত,	চর্চিত,	
prakalpoguli,	প্রকালপগুলি,	প্রকল্পগুলি,	
snipar,	স্নীপার,	স্নাইপার,	
boner,	বোনের,	বনের,	
bildara,	বিলদার,	বিল্ডার,	
armshtronj,	আর্মস্ট্র্ন,	আর্মস্ট্রং,	
shaatjoner,	স্যাটজের,	সাতজনের,	
ssosha,	শস,	শশা,	
sosoa,	শোস,	শশা,	
korle,	করলে,	করলে,	
songhar,	সংঘর,	সংহার,	
bu,	বিউ,	বু,	
enjineers,	এনজিন্রস,	ইঞ্জিনিয়ার্স,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
sobrakomer,	সবরক্মের,	সবরকমের,	
post,	পোস্ট,	পোষ্ট,	
nathibhukta,	নথিবুক্ত,	নথিভুক্ত,	
beshirvagyi,	বেশিরভাগি,	বেশিরভাগই,	
anodhikar,	অনধিকার,	অনধিকার,	
krej,	ক্রেজ,	ক্রেজ,	
gaze,	গেজ,	গেজ,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
karlosh,	কার্লস,	কার্লোস,	
kumari,	কুমারি,	কুমারী,	
kaalniir,	কালনীর,	কালনীর,	
latimer,	ল্যাটিমের,	লাটিমের,	
scholastik,	স্কলাস্তিক,	স্কলাস্টিক,	
rubi,	রুবি,	রুবী,	
mootar,	মোটার,	মুতার,	
biprodas,	বিপ্রোদাস,	বিপ্রদাস,	
janacche,	জনচেছ,	জানাচ্ছে,	
chess,	চেস,	চেস,	
manohputa,	মনোসূত,	মনঃপুত,	
gotibegey,	গতিবীগে,	গতিবেগে,	
nortokike,	নর্তকীকে,	নর্তকীকে,	
shkirt,	স্কির্ট,	স্কার্ট,	
zyakasana,	জ্যাকাশন,	জ্যাকসন,	
unitshoho,	উনিতশ্হ,	ইউনিটসহ,	
jeten,	জেটেন,	যেতেন,	
aieesa,	আইএস,	আইএএস,	
inashtyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
kansat,	কানসাট,	কানসাট,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
potocheetrer,	পথাচিত্রের,	পটচিত্রের,	
nothivookteer,	নথিভূত্তের,	নথিভুক্তির,	
prodeeper,	প্রদিপের,	প্রদীপের,	
tuneta,	টুনেট,	টুনাইট,	
sangosthatike,	সংস্থতিকে,	সংস্থাটিকে,	
gyandas,	গ্যান্ডাস,	জ্ঞানদাস,	
abosan,	অবসন,	অবসান,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
serverer,	সার্ভারের,	সার্ভারের,	
dharabahiktir,	ধরবাবিকৃত,	ধারাবাহিকটির,	
graambaasee,	গ্রাম্যাসি,	গ্রামবাসী,	
shayanaida,	সায়ানিয়া,	সায়ানাইড,	
biqe,	বিকে,	বাইক,	
alubokhara,	অলুবকর,	আলুবোখারা,	
joneetey,	জনিতে,	যোনীতে,	
chomski,	চমস্কি,	চমস্কি,	
shangsthati,	সংশ্থাটি,	সংস্থাটি,	
taimash,	টাইমস,	টাইমস্,	
concerter,	কন্ারেটের,	কানসাটের,	
cruce,	ক্রুস,	ক্রুশ,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
os,	অস,	অস,	
shit,	সিট,	শীত,	
hud,	হুদ,	হুড,	
prodip,	প্রদিপ,	প্রদীপ,	
madhobike,	মাধবীকে,	মাধবীকে,	
bhabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
aasirbaad,	আশির্বাদ,	আশির্বাদ,	
istane,	ইস্টানে,	স্টোন,	
shaarok,	সারক,	স্মারক,	
paikgachha,	পাইকচা,	পাইকগাছা,	
jeellool,	জিললুল,	জিল্লুল,	
boikalya,	বৈকাল্য,	বৈকল্য,	
matorom,	মতোর্ম,	মাতরম,	
benis,	বেনিস,	ভেনিস,	
taantira,	তাঁতিরা,	তাঁতিরা,	
jibnagore,	জীবনগরে,	জীবননগর,	
matthews,	ম্যাথিস,	ম্যাথিউস,	
bipajjanak,	বিপাজজনক,	বিপজ্জনক,	
charrjar,	চার্জার,	চার্জার,	
engrezder,	এংরেজের,	ইংরেজদের,	
horeepur,	হরিপুর,	হরিপুর,	
duuma,	দুমা,	দুমা,	
monzhoshtho,	মঞ্যস্থ,	মঞ্চস্থ,	
katbey,	কাটে,	কাটবে,	
vasturyi,	বস্তুরি,	বস্তুরই,	
gej,	গেজ,	গেজ,	
seating,	সেটিং,	সিটিং,	
inphormation,	ইনফ্রোসিন,	ইনফরমেশন,	
sone,	সোন,	সনে,	
ulcer,	উল্লার,	আলসার,	
lutharen,	লুথারেন,	লুথেরান,	
pubancholer,	পুবনাচলের,	পূর্বাঞ্চলের,	
asovarno,	অসভার্ন,	অসবর্ণ,	
tookoo,	টোকো,	টুকু,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
bangobandhu,	বাঙ্গন্ধ্য,	বঙ্গবন্ধু,	
samabeshti,	সমাবেষ্টি,	সমাবেশটি,	
akramer,	আক্রমের,	আকরামের,	
bbosonto,	বসন্ত,	বসন্ত,	
nirarthak,	নিরার্থক,	নিরর্থক,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
anan,	আনন,	আনান,	
carlo,	কার্লো,	কার্লো,	
chitranatyakar,	চিত্রনাক্যকার,	চিত্রনাট্যকার,	
sumee,	সুমি,	সুমি,	
obhaarbhiu,	অভার্ভি,	ওভারভিউ,	
myathious,	ম্যাথিয়াস,	ম্যাথিউস,	
mojdoor,	মজুদর,	মজদুর,	
kormoke,	কর্মকে,	কর্মকে,	
polashir,	পলাশীর,	পলাশীর,	
damonmulok,	দামনমূলক,	দমনমূলক,	
ishton,	ইস্টন,	স্টোন,	
antarctica,	অন্টর্ক্টিক,	অ্যান্টার্কটিকা,	
jahara,	জাহরা,	যাহরা,	
loukeekotaa,	লোকিকাতা,	লৌকিকতা,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
eukalyptush,	একোল্টপিপ,	ইউক্যালিপ্টাস,	
satarkokari,	সতর্ককারী,	সতর্ককারী,	
perry,	পেরি,	পেরি,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
taalgaachh,	তালগাচ,	তালগাছ,	
sachetanotamulak,	স্যাচেতারনমূলক,	সচেতনতামূলক,	
uthhaane,	উঠানে,	উঠানে,	
elaakai,	এলাকাই,	এলাকাই,	
anurbar,	অনুর্বর,	অনুর্বর,	
omarjeeto,	অমর্জিত,	অমার্জিত,	
stonahenja,	স্টনাহেঞ্জ,	স্টোনহেঞ্জ,	
hugh,	হুঘ,	হিউজ,	
shamijir,	সামিজির,	স্বামীজীর,	
coda,	কোড,	কোডা,	
deeputy,	ডিপুতি,	ডেপুটি,	
hoteltite,	হটেলটিটে,	হোটেলটিতে,	
banijyikvittey,	বানিজ্বিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
parqa,	পার্ক,	পার্ক,	
bhushito,	ভুষিত,	ভূষিত,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
shreeshri,	শ্রীস্রি,	শ্রীশ্রী,	
ingrezder,	ইংরেজেদের,	ইংরেজদের,	
mausumei,	মৌসমী,	মৌসুমেই,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
madhuri,	মাধুরি,	মাধুরী,	
traytey,	ট্রাযাটে,	ট্রেতে,	
nagorikra,	নগরিকরর,	নাগরিকেরা,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
qrita,	ক্রিত,	ক্রীট,	
gaarnaar,	গার্নার,	গার্নার,	
dokangulotey,	দককাগুলোতে,	দোকানগুলোতে,	
muldhara,	মুলধারা,	মূলধারা,	
segulor,	সেগুলোর,	সেগুলোর,	
sayaneda,	সানেড,	সায়ানাইড,	
muhammadi,	মহমমমাদী,	মুহাম্মদী,	
agoora,	অগুরা,	আগোরা,	
shaarther,	সার্থের,	স্বার্থের,	
queery,	কুয়ারি,	কোয়েরি,	
romonar,	রোমানার,	রমনার,	
suparharo,	সুপারহ,	সুপারহিরো,	
sathik,	সাথিক,	সঠিক,	
elaakaa,	এলাকা,	এলাকা,	
heeja,	হিজ,	হেজ,	
shaapholler,	সাফল্লার,	সাফল্যের,	
shoshar,	শশার,	সকার,	
saarbharer,	সার্ভারের,	সার্ভারের,	
odurey,	অদুরে,	অদুরে,	
basinay,	বাসিনে,	বেসিনে,	
zealand,	জেলান্ড,	জিল্যান্ড,	
grambaasee,	গ্রাম্বাসী,	গ্রামবাসী,	
hunine,	হুনিনে,	হুনাইন,	
iston,	ইস্টন,	স্টোন,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
eemarjeensi,	এমরেজনিস,	এমার্জেন্সি,	
turkmeen,	টার্কমেন,	তুর্কমেন,	
platee,	প্লেট,	প্লেট,	
chhooteer,	ছুটির,	ছুটির,	
ashanka,	আশাক্া,	আশঙ্কা,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
aashtikota,	আস্টিকতা,	আস্তিকতা,	
ieub,	ইউবি,	আইইউবি,	
hughkey,	হুঁকে,	হিউজকে,	
shotoker,	শতকের,	শতকের,	
hedge,	হেড,	হেজ,	
moushum,	মৌসুম,	মৌসুম,	
turkey,	টুরকে,	তুর্কি,	
bandike,	বানদিকে,	বন্দীকে,	
aamudey,	আমুদে,	আমুদে,	
manohar,	মানহার,	মনোহর,	
kiutie,	কিউটি,	কিউটি,	
kolahal,	কলাাল,	কোলাহল,	
brindaa,	ব্রিন্ডা,	বৃন্দা,	
ekoghoore,	একগুরে,	একঘরে,	
aakkaas,	আককাস,	আককাস,	
nirapattamulak,	নিরাপতমমূলক,	নিরাপত্তামূলক,	
heawy,	হেও,	হেভি,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
harrisoner,	হররিসনের,	হ্যারিসনের,	
salil,	সালিল,	সলিল,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
embeda,	এমবেড,	এম্বেড,	
nikoter,	নিকতের,	নিকটের,	
bhalobass,	ভালবাস,	ভালোবাসা,	
nikot,	নিকোট,	নিকট,	
bonyopran,	বন্যপ্রণ,	বন্যপ্রাণ,	
laaj,	লাজ,	লাজ,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
marryir,	মারির,	ম্যারির,	
probhu,	প্রভূ,	প্রভু,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
tulechen,	তুলেছেন,	তুলেছেন,	
valapuk,	ভালাপুক,	ভোলাপুক,	
asociatees,	অসসাইটেসিস,	এসোসিয়েটস,	
nodiiti,	নদিতি,	নদীটি,	
eshhiyatika,	এসিযাটিক,	এশিয়াটিক,	
atmabiswasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
somoshti,	সমস্তি,	সমষ্টি,	
joruri,	জরুরি,	জরূরী,	
tenish,	টেনিস,	টেনিস,	
nothibhukta,	নথিবুক্ত,	নথিভুক্ত,	
tetela,	টেটেল,	টাইটেল,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
kokhonoba,	কোকনাবা,	কখনওবা,	
mojdur,	মজুদর,	মজদুর,	
soorti,	সূর্তি,	সুরটি,	
prakalpagulor,	প্রকাপলগুলোর,	প্রকল্পগুলোর,	
jommoo,	জমমু,	জম্মু,	
obhishangsan,	অভিশং্ষণ,	অভিশংসন,	
byasalt,	ব্যাসল,	ব্যাসল্ট,	
aksharke,	আক্ষরকে,	অক্ষরকে,	
karadanda,	কররান্ড,	কারাদণ্ড,	
soorsa,	সুর্স,	সোর্স,	
mittrer,	মিত্রের,	মিত্রের,	
jojyata,	জজজতা,	যোজ্যতা,	
karmoke,	কর্মকে,	কর্মকে,	
parkasa,	পারক্স,	পার্কস,	
babylone,	বাযালনে,	ব্যাবিলনে,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
ateeteo,	অটেটেও,	অতীতেও,	
salapheeta,	সালফেট,	সালফেট,	
gazetted,	গ্যাজেটেড,	গেজেটেড,	
reetesh,	রেটেস,	রিতেশ,	
noveel,	নবিল,	নভেল,	
shpredshiit,	স্প্রেডিিট,	স্প্রেডশীট,	
obodamoner,	অবদমমনের,	অবদমনের,	
ishiyatika,	ইসিযাটিক,	এশিয়াটিক,	
bikargrasta,	বিকরর্মস্ত,	বিকারগ্রস্ত,	
taala,	তালা,	তালা,	
aakik,	আকিক,	আকিক,	
spenser,	স্পেন্সের,	স্পেন্সার,	
jatota,	যততা,	যতোটা,	
chondrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
surke,	সারকে,	সুরকে,	
reno,	রেনো,	রেনো,	
madhookori,	মাধকরি,	মাধুকরী,	
kheley,	খেলে,	খেলে,	
marmara,	মার্মার,	মারমারা,	
ramantik,	রামান্তিক,	রোমান্টিক,	
nathibhooktir,	নথিবুক্তির,	নথিভুক্তির,	
utshahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
