pulse,	পালসে,	পালস,	
jaadrel,	জাদর্লেল,	জাঁদরেল,	
bondikey,	বন্দিকে,	বন্দীকে,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
cholochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
uindos,	উইন্ডোস,	উইন্ডোস,	
dibbay,	দিব্যে,	দিব্যা,	
hurricane,	হারিকেন,	হ্যারিকেন,	
mautke,	মতকে,	মতকে,	
samabesh,	সমবেশ,	সমাবেশ,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
bachai,	বাচাই,	বাছাই,	
chhereche,	ছেরেছে,	ছেড়েছে,	
saainyo,	সৈন্য,	সৈন্য,	
gezeted,	গেজেটেড,	গেজেটেড,	
doltagi,	দলতাগি,	দলত্যাগী,	
augustine,	অগাস্টিন,	অগাস্টিন,	
black,	ব্লক,	ব্ল্যাক,	
madola,	মাডলা,	মাদলা,	
kkunti,	কুনটি,	কুন্তী,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
modhumotii,	মধুমতি,	মধুমতী,	
nilabha,	নিলাভা,	নীলাভ,	
planey,	প্লেনে,	প্লেনে,	
kanai,	কানই,	কানাই,	
bakhyateet,	বায্যচ্তিত,	ব্যাখ্যাতীত,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
vobotarini,	ভবাতরীণী,	ভবতারিণী,	
bo,	বো,	বু,	
shkolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
vugten,	ভুগতেন,	ভুগতেন,	
muphti,	মুফতী,	মুফতি,	
dang,	ডং,	ডং,	
maszid,	মাজজিদ,	মসজিদ,	
traap,	ট্রপ,	ট্রুপ,	
degree,	ডিগ্রী,	ডিগ্রি,	
dharabahiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
horidare,	হরিদরে,	হরিদ্বারে,	
oojbekistaner,	উজ্বজিক্তানের,	উজবেকিস্তানের,	
karo,	কারও,	কারো,	
lobbytey,	লব্বিতে,	লবিতে,	
shikkharrthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
dhache,	ঢাচে,	ধাঁচে,	
bolechi,	বলেছি,	বলেছি,	
korechi,	করেছি,	করেছি,	
petrol,	পেত্রোল,	পেট্রোল,	
kas,	কাস,	কাস,	
bhatar,	ভাটার,	ভাতার,	
roy,	রো,	রায়,	
verma,	ভার্মা,	ভার্মা,	
zonite,	যোনিতে,	যোনীতে,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
ancholtike,	আঞচলটিকে,	অঞ্চলটিকে,	
nodimatrik,	নদিমাত্রিক,	নদীমাতৃক,	
madelim,	মাযাডেলিং,	মডেলিং,	
bamni,	বাম্নী,	বামনী,	
adwanced,	অ্যাডভেন্ড,	অ্যাডভান্সড,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
nirikhe,	নিরিখে,	নিরিখ,	
thesiser,	থেসিসের,	থিসিসের,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
jyestha,	জ্যেস্থা,	জ্যেষ্ঠা,	
joluk,	জলুক,	জ্বলুক,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
azaadir,	আজাদির,	আজাদীর,	
protizogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
hurricanee,	হারিকিন,	হ্যারিকেন,	
zerusalem,	জেরুসোমেল,	জেরুজালেম,	
vaibon,	ভাইবন,	ভাইবোন,	
nodike,	নদিকে,	নদীকে,	
governorer,	গভর্নরের,	গভর্ণরের,	
taaims,	টাইমস,	টাইমস্,	
daul,	ডাউল,	দেউল,	
utsahomulok,	উত্সাসমূলক,	উৎসাহমূলক,	
nabbata,	নব্যতা,	নাব্যতা,	
besirbhagei,	বেশিরভাগই,	বেশিরভাগেই,	
lutharan,	লুঠরন,	লুথেরান,	
rahee,	রাহী,	রাহি,	
meetropolitan,	মিট্রোপিিটান,	মেট্রোপলিটন,	
shoreef,	শরীফ,	শরিফ,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
gonona,	গণনা,	গণনা,	
siqar,	সিকার,	শিকার,	
fanda,	ফাঁদা,	ফান্ড,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
badhadan,	বাদ্যাদন,	বাধাদান,	
potka,	পতকা,	পটকা,	
dinifitian,	ডিনিফিশন,	ডেফিনেশন,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
boshoborty,	বসবর্তী,	বশবর্তী,	
mathews,	ম্যাথিস,	ম্যাথিউস,	
carloos,	চার্লস,	কার্লোস,	
joisttho,	জৈষিষ্ঠ,	জ্যৈষ্ঠ,	
gemi,	গেমী,	জেমি,	
sheekare,	শিকারে,	শিকারে,	
paner,	পানের,	পানের,	
codeti,	কডেটি,	কোডটি,	
agamanke,	আগমনকে,	আগমনকে,	
sthaponagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
ispredshiit,	ইস্পেরিট,	স্প্রেডশীট,	
ceramicer,	সারামিকের,	সিরামিকের,	
projanankal,	প্রজননকাল,	প্রজননকাল,	
segulor,	সেগুলোর,	সেগুলোর,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
naitikbhabey,	নীতিকভাবে,	নৈতিকভাবে,	
haitasa,	হাইটস,	হাইটস,	
elaakaati,	এলাকাটি,	এলাকাটি,	
jerakam,	জেরকম,	যেরকম,	
vaabnar,	ভাবনার,	ভাবনার,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
byomkes,	ব্যমকেস,	ব্যোমকেশ,	
dharavashyokar,	ধারাভ্যকার,	ধারাভাষ্যকার,	
nojoder,	নজদের,	নজদের,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
uporitaler,	উপরিতলের,	উপরিতলের,	
doover,	ডুভের,	ডোভার,	
cross,	ক্রস,	ক্রুশ,	
srisri,	শ্রীসৃ,	শ্রীশ্রী,	
starcer,	স্টার্সের,	স্টার্কের,	
sangasthati,	সংস্থাটি,	সংস্থাটি,	
durgatsober,	দুর্গতশবের,	দুর্গোৎসবে,	
hamburgey,	হাম্বার্গে,	হামবুর্গে,	
doojoo,	দুজু,	ডোজো,	
firth,	ফার্থ,	ফার্থ,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
spreeadshiit,	স্পেডসিট,	স্প্রেডশীট,	
jibanto,	জীবন্ত,	জীবন্ত,	
rinatmak,	রিণা্্মক,	ঋনাত্মক,	
blagarara,	ব্লাগার,	ব্লগাররা,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
paree,	পারই,	পাড়ে,	
maddhuri,	মধধুরি,	মাধুরী,	
jons,	জনস,	জোন্স,	
matrirup,	মাত্রীপু,	মাতৃরূপ,	
qaferderke,	ক্যাফেরদেরকে,	কাফেরদেরকে,	
allah,	আল্লাহ,	আল্লাহ্,	
sakar,	সাকার,	সাকার,	
praima,	প্রাইম,	প্রাইম,	
gajetted,	গেজেট্ট,	গেজেটেড,	
baarbaadoj,	বার্বাদোজ,	বার্বাডোজ,	
temontee,	তেমন্তি,	তেমনটি,	
fatakeshto,	ফতাকেস্ট,	ফাটাকেষ্ট,	
darji,	দর্জি,	দরজি,	
tanu,	তাুু,	তনু,	
dokaangoolote,	ডোকানগুলোতে,	দোকানগুলোতে,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
maldava,	মালদাবা,	মলদোভা,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
grambaaseer,	গ্রাম্বাসীর,	গ্রামবাসীর,	
cheesa,	চেস,	চেস,	
parswer,	পারস্বের,	পার্শ্বের,	
qode,	কোদে,	কোড,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
ashammatite,	আসমামটিতে,	অসম্মতি,	
dekhbaar,	দেখবার,	দেখবার,	
jacksonke,	যক্ষণকে,	জ্যাকসনকে,	
edaningkale,	আদানিক্ালে,	ইদানীংকালে,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
debdeby,	দেবদেবী,	দেবদেবী,	
grauth,	গ্রাউথ,	গ্রোথ,	
nodigulo,	নদিগুলো,	নদীগুলো,	
jeshh,	জেস,	জেস,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
phake,	ফাঁকে,	ফাকে,	
chaalkee,	চালকে,	চালকে,	
parbatmala,	পর্বতম্লা,	পর্বতমালা,	
palestiner,	পালেশ্টিনের,	প্যালেস্টাইনের,	
roktokhorone,	রক্তকরণে,	রক্তক্ষরণে,	
gosthigulo,	গোস্থিগুলো,	গোষ্ঠীগুলো,	
rajotwo,	রাজত্ব,	রাজত্ব,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
sarbhaarer,	সার্ভারের,	সার্ভারের,	
abdune,	আবদুন,	আবদুন,	
societyke,	সোচিয়েকে,	সোসাইটিকে,	
mmesenjarer,	মেসমেঞ্জারের,	মেসেঞ্জারের,	
rajtontrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
aieesa,	আইএসএ,	আইএএস,	
soholovyotar,	সহলভোযাতার,	সহজলভ্যতার,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
rubeta,	রুবেটা,	রাবেতা,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
otyacharito,	অত্যচারিত,	অত্যাচারিত,	
onkita,	অংকিত,	অঙ্কিতা,	
hugheske,	হুঘেসকে,	হিউজকে,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
oxforde,	অক্সফার্ডে,	অক্সফোর্ডে,	
dala,	ডল,	দলা,	
durgotsabe,	দুর্তটশাবে,	দুর্গোৎসবে,	
babna,	বব্ান্,	বাবনা,	
codey,	কোদে,	কোডে,	
venisey,	ভেনিসে,	ভেনিসে,	
kalam,	কলাম,	কালাম,	
opadan,	অপাদান,	অপাদান,	
monjhoshtho,	মঞ্যসস্থ,	মঞ্চস্থ,	
brek,	ব্র্যাক,	ব্রেক,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
sharthe,	শর্থে,	স্বার্থে,	
vaskor,	ভাস্কোর,	ভাস্কর,	
alsar,	আলসার,	আলসার,	
heeli,	হেলি,	হিলি,	
jar,	যার,	জ্বর,	
monhputo,	মননপুত,	মনঃপুত,	
heawy,	হেইউ,	হেভি,	
jamanor,	জামানোর,	জমানোর,	
nilkomol,	নীলকমল,	নীলকমল,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
shikare,	শিকারে,	শিকারে,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
quata,	ক্যাট,	কোটা,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
kaferderkey,	কাফের্ডকে,	কাফেরদেরকে,	
tukrokey,	টুকরকে,	টুকরোকে,	
vandar,	ভান্ডার,	ভাণ্ডার,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
amanisa,	অমনিস,	অমানিশা,	
janachche,	জনচ্ছে,	জানাচ্ছে,	
uporitole,	উপরিতলে,	উপরিতলে,	
kalki,	কল্কি,	কালকি,	
uporitale,	উপরিতালে,	উপরিতলে,	
vobtarini,	ভব্তরাণী,	ভবতারিণী,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
michilti,	মিশিলটি,	মিছিলটি,	
baitsh,	বৈটস,	বাইটস,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
yauth,	যথ,	ইয়ুথ,	
arekdal,	এরেকদল,	আরেকদল,	
joistho,	যৈষিষ্ঠ,	জ্যৈষ্ঠ,	
risort,	রিসর্ট,	রিসোর্ট,	
korleo,	করলেও,	করলেও,	
serup,	শেরুপ,	সেরুপ,	
opohoronn,	অপহরণ,	অপহরন,	
eesa,	এস,	আইএএস,	
dupleex,	ডুপ্লেক্স,	ডুপ্লে,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
graambashee,	গ্রাম্াসী,	গ্রামবাসী,	
naitikatabodh,	নীতিকাধবধ,	নৈতিকতাবোধ,	
ajeeja,	অজিজা,	আজিজা,	
bouddha,	বদ্ধ্য,	বৌদ্ধ,	
iuqyaliptasa,	ইক্যালপিটস্ট,	ইউক্যালিপ্টাস,	
monjushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
teksuser,	টেকসাসের,	টেক্সাসের,	
hoondayi,	হুন্ডই,	হুন্দাই,	
conflikt,	কফনলিক্ট,	কনফ্লিক্ট,	
ssteit,	স্টেট,	স্টেইট,	
raktaksharaney,	রক্তকর্ণণে,	রক্তক্ষরণে,	
silvee,	সিলভি,	সিলভি,	
baron,	বারণ,	ব্যারন,	
janosanjog,	জনসংযোগ,	জনসংযোগ,	
jyesthaa,	জ্যেস্থা,	জ্যেষ্ঠা,	
wenis,	উইনিস,	ভেনিস,	
teuning,	টাউনিং,	টিউনিং,	
fatakesto,	ফটটেক্স,	ফাটাকেষ্ট,	
susama,	সুষম,	সুসম,	
gez,	গেইজ,	গেজ,	
sayaneda,	সায়েনেড,	সায়ানাইড,	
avinetar,	অভিনততার,	অভিনেতার,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
dolgulo,	দলগুলো,	দলগুলো,	
antorvuktimulok,	অন্তর্তুক্ভূমক,	অন্তর্ভুক্তিমূলক,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
noditikey,	নদীতিকে,	নদীটিকে,	
cholochchitraeei,	চলচ্তিত্রইই,	চলচ্চিত্রেই,	
eiling,	এইলিং,	ইলিং,	
plate,	প্লেট,	প্লেটে,	
ponchaasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
unhu,	উনু,	উঁহু,	
swalpo,	স্বল্প,	স্বল্প,	
gonosochetonota,	গণসাচাতন্ত্ব,	গণসচেতনতা,	
balatkar,	বালৎকার,	বলাৎকার,	
grameroi,	গ্রামেরই,	গ্রামেরই,	
omittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
phox,	ফক্স,	ফক্স,	
jacker,	যাক্র,	জ্যাকের,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
phartha,	ফোর্থ,	ফার্থ,	
foreex,	ফরেস্ক,	ফরেক্স,	
dweepgulo,	দ্বীপুলু,	দ্বীপগুলো,	
dhanche,	ধাঁচে,	ধাঁচে,	
garjon,	গর্জন,	গর্জন,	
ibhara,	ইভার,	এভার,	
jerusalem,	জেরুসোমেল,	জেরুজালেম,	
taronee,	তরণী,	তরণী,	
shikshakbrindo,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
grambashi,	গ্রাম্বাসী,	গ্রামবাসী,	
bhiktara,	ভিক্টর,	ভিক্টর,	
teenage,	টিনাগে,	টিনেজ,	
phalah,	ফালাহ,	ফালাহ,	
hafez,	হাফেজ,	হাফেয,	
jibanjapon,	জীবনাজপন,	জীবনযাপন,	
korkat,	কর্কাট,	কর্কট,	
progreess,	প্রগ্রিস,	প্রগ্রেস,	
vvejaano,	ভেজানো,	ভেজানো,	
kortam,	করতম,	করতাম,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
naitik,	নৈতিক,	নৈতিক,	
kraanti,	ক্রান্তি,	ক্রান্তি,	
akar,	আঁকার,	একার,	
angshogragon,	অংশগ্রহণ,	অংশগ্রহন,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
taunship,	টান্সিপ,	টাউনশিপ,	
hoole,	হোলে,	হোল,	
shahabah,	শাহবাহ,	সাহাবাহ,	
haila,	হইল,	হইল,	
neemeetto,	নিমিত্য,	নিমিত্ত,	
carpetey,	কর্পটে,	কার্পেটে,	
antarctika,	অন্টার্কটিক,	অ্যান্টার্কটিকা,	
pujita,	পূজিতা,	পুজিত,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
birishiritey,	বিরিসীরিতে,	বিরিশিরিতে,	
plainey,	প্লেনে,	প্লেনে,	
setikey,	সেটিকে,	সেটিকে,	
taaler,	টালের,	তালের,	
brake,	ব্র্যাক,	ব্রেক,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
dweepgoolo,	দ্বিপুলো,	দ্বীপগুলো,	
nirantar,	নিরন্তর,	নিরন্তর,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
tunar,	টুনার,	টিউনার,	
lotheran,	লথারান,	লুথেরান,	
risorte,	রিশর্টে,	রিসোর্টে,	
harisher,	হারিশের,	হ্যারিসের,	
temonti,	তেমনটি,	তেমনটি,	
aajij,	আজিজ,	আজিজ,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
kaamla,	কমলা,	কামলা,	
abhidhaaneeck,	আভিধানিক,	অভিধানিক,	
note,	নটে,	নোটে,	
akramer,	আকরামের,	আকরামের,	
morathi,	মরাঠী,	মরাঠি,	
oboshore,	অবশরে,	অবসরে,	
jinsha,	জিনস,	জিন্স,	
chomke,	চমকে,	চমকে,	
durgotsob,	দুর্গতশব,	দুর্গোৎসব,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
jomjomat,	জমজমমাত,	জমজমাট,	
taiwan,	টাইভান,	তাইওয়ান,	
parking,	পার্কিং,	পার্কিং,	
hoteltee,	হটেলটি,	হোটেলটি,	
itemer,	ইতামের,	আইটেমের,	
arop,	আরোপ,	আরোপ,	
nirmol,	নির্মল,	নির্মল,	
rothin,	রথিন,	রথীন,	
mastars,	মাস্টার্স,	মাস্টার্স,	
korimer,	করিমের,	করিমের,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
itastato,	ইতসস্ত,	ইতস্তত,	
soori,	শুরি,	সুরি,	
suparheiro,	সুপারহিরও,	সুপারহিরো,	
sahabah,	সাহবা,	সাহাবাহ,	
eksathei,	এক্সথাই,	একসাথেই,	
prokolpotike,	প্রকলপতিকে,	প্রকল্পটিকে,	
categoryr,	ক্যাটেগরির,	ক্যাটাগরির,	
beeswasoo,	বিশ্বাসু,	বিশ্বাসও,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
onekerie,	অনেকেরই,	অনেকেরই,	
sorajur,	সরাজুর,	সরযূর,	
yak,	যাক,	ইয়াক,	
motamoto,	মতামতো,	মতামতও,	
jolrang,	জলরাং,	জলরঙ,	
byaboharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
atyacarito,	অত্যচারিত,	অত্যাচারিত,	
chargar,	চার্গার,	চার্জার,	
houstoner,	হাস্টনের,	হিউস্টনের,	
iraaner,	ইরানের,	ইরানের,	
obie,	অবিই,	ওবিই,	
hondurus,	আন্দুরুস,	হন্ডুরাস,	
mulgato,	মুলগত,	মূলগত,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
ishtara,	এস্টার,	ইস্টার,	
hatochakito,	হতচাকিত,	হতচকিত,	
koda,	কোদা,	কোড,	
tegara,	টেগার,	টাইগার,	
zommu,	জম্মু,	জম্মু,	
pushtir,	পুষ্টির,	পুষ্টির,	
taffsher,	তফফের,	তাফসীর,	
chesha,	চেস,	চেস,	
madhuree,	মধুরে,	মাধুরী,	
hydra,	হাইড্র,	হাইড্রা,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
gare,	গারে,	গোর,	
chondrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
hipar,	হিপার,	হাইপার,	
ekpaase,	একপাশে,	একপাশে,	
prokalpao,	প্রকল্পও,	প্রকল্পও,	
lakkheryo,	লক্ষ্যেরও,	লক্ষেরও,	
lyataa,	ল্যাট,	ল্যাটা,	
anchaltikey,	আঞ্চলটিকে,	অঞ্চলটিকে,	
melbourner,	মেলবর্নের,	মেলবোর্নের,	
sommoteer,	সম্মতির,	সম্মতির,	
khoor,	খোর,	ক্ষুর,	
ganona,	গণনা,	গননা,	
puroheetder,	পুরোহিতদের,	পুরোহিতদের,	
nodigulir,	নদিগুলির,	নদীগুলির,	
chalochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
shringga,	শ্ঙীঙ্গ,	শৃঙ্গ,	
beenis,	বেনিস,	ভেনিস,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
anekeri,	অনেকেরই,	অনেকেরই,	
kaferderke,	কাফের্ডকে,	কাফেরদেরকে,	
uindo,	উইন্ডো,	উইন্ডো,	
sudrishya,	সুদৃষ্য,	সুদৃশ্য,	
janapoth,	জনপথ,	জনপথ,	
gripe,	গ্রিপে,	গ্রিপ,	
gheshe,	ঘেসে,	ঘেঁষে,	
uddhritto,	উদ্ধৃত্ব,	উদ্ধৃত,	
easter,	ইস্টার,	ইস্টের,	
laiseensee,	লেসেন্স,	লাইসেন্স,	
mase,	মাসে,	মাসে,	
udvabani,	উদ্ভববনী,	উদ্ভাবনী,	
aazan,	আজান,	আজান,	
dor,	ডোর,	দোর,	
poojito,	পুজিত,	পুজিত,	
abolokon,	অবলকন,	অবলোকন,	
machhsoho,	মাসসহ,	মাছসহ,	
parkim,	পারকিম,	পার্কিং,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
korleyi,	করলেই,	করলেই,	
narafoka,	নরফোকা,	নরফোক,	
ogrodut,	অগ্রদূত,	অগ্রদূত,	
vaisaha,	ভাইসহ,	ভাইসহ,	
anupater,	আনুপতের,	অনুপাতের,	
ashachetan,	অসচেতন,	অসচেতন,	
sudden,	সুদ্দেন,	সাডেন,	
bosten,	বসসেন,	বসতেন,	
rupert,	রূপার্ট,	রুপার্ট,	
reejideencee,	রেজিডেন্সে,	রেসিডেন্স,	
shangkalone,	সংকলনে,	সংকলনে,	
nomo,	নম,	নমো,	
ipl,	আইপল,	আইপিএল,	
isahak,	ইসহাক,	ইসাহাক,	
karmokarer,	কর্মকারের,	কর্মকারের,	
esasiyetasa,	এসিয়েশন,	এসোসিয়েটস,	
novel,	নোভেল,	নভেল,	
anchaltite,	আঁচালটিতে,	অঞ্চলটিতে,	
aasar,	আসার,	আসর,	
locker,	লকের,	লকের,	
bike,	বিকে,	বাইক,	
byke,	বাইক,	বাইক,	
obotar,	অবতার,	অবতার,	
raitasa,	রাইটস,	রাইটস,	
habshi,	হাবসী,	হাবশী,	
seqtara,	সেক্টর,	সেক্টর,	
babylon,	বাইলিন,	ব্যাবিলন,	
suraropito,	সুরাপিিত,	সুরারোপিত,	
rena,	রেন,	রেনো,	
obhijojan,	অভিযোজন,	অভিযোজন,	
utkhat,	উৎখাট,	উত্খাত,	
murad,	মুরদ,	মুরাদ,	
khagen,	খাগেন,	খগেন,	
greep,	গ্রিপ,	গ্রিপ,	
vdp,	এডিপি,	ভিডিপি,	
abosore,	আবসরে,	অবসরে,	
provu,	প্রভূ,	প্রভু,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
ranadip,	রণাদীপ,	রণদীপ,	
ishton,	ইস্টোন,	স্টোন,	
konphlict,	কনফলিক্ট,	কনফ্লিক্ট,	
mojdur,	মজদুর,	মজদুর,	
uthhaane,	উঠানে,	উঠানে,	
shkalashtika,	স্কল্টসিক,	স্কলাস্টিক,	
masjidtikey,	মসজিদদিকে,	মসজিদটিকে,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
madhukooree,	মধুকুরি,	মাধুকরী,	
marmaraa,	মার্মার,	মারমারা,	
hoila,	হইল,	হইল,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
anan,	আনান,	আনান,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
harz,	হার্জ,	হার্জ,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
sachetonbhabe,	স্বাচতনভাবে,	সচেতনভাবে,	
homsher,	হোমসের,	হোমসের,	
besooro,	বেশরূ,	বেসুর,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
taoonsheep,	তাউনশীপ,	টাউনশিপ,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
samajikotar,	সামাজিকতার,	সামাজিকতার,	
path,	পাঠ,	পাথ,	
onekeri,	অনেকরি,	অনেকেরই,	
shcholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
subadey,	সুবাদে,	সুবাদে,	
ingrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
ekbakke,	একবাকে,	একবাক্যে,	
lesense,	লেসেন্সে,	লাইসেন্স,	
marier,	মেরির,	ম্যারির,	
shikarder,	শিকরদের,	শিকারদের,	
karam,	করম,	কেরাম,	
toroonraa,	তরুরণা,	তরুণরা,	
benke,	বেনকে,	বেঁকে,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
ghatleo,	ঘাতলেও,	ঘটলেও,	
chalchhe,	চলছে,	চলছে,	
bhittiei,	ভিট্যই,	ভিত্তিই,	
dunkan,	ডানকান,	ডানকান,	
nickel,	নিক্লেল,	নিকেল,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
sayid,	সাইড,	সাইদ,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
mehonnotee,	মেহননটি,	মেহনতি,	
cholochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
ishan,	আইনান,	ঈশান,	
bronze,	ব্রঞ্জ,	ব্রোঞ্জ,	
graambaasee,	গ্রাম্বাসী,	গ্রামবাসী,	
fanser,	ফাঁসের,	ফাঁসের,	
jerusalema,	জেরুসলেম,	জেরুসালেম,	
farex,	ফেরেক্স,	ফরেক্স,	
geans,	জিনস,	জিন্স,	
konaa,	কোনা,	কোনা,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
nabatamo,	নবতম,	নবতম,	
shit,	সিট,	শীত,	
ulcer,	উল্কের,	আলসার,	
maadhoobir,	মাধবীর,	মাধবীর,	
ekatto,	একত্ত,	একাত্ব,	
teresha,	তেরেসা,	টেরেসা,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
rooby,	রুবি,	রুবি,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
proman,	প্রমাণ,	প্রমান,	
chotogolper,	চটোগল্পের,	ছোটগল্পের,	
ashamarthita,	অসমর্থিত,	অসমর্থিত,	
mohakobi,	মহাকবি,	মহাকবি,	
gajee,	গেজ,	গেজ,	
brooklyn,	ব্রুক্িন,	ব্রুকলিন,	
blacker,	ব্লকের,	ব্ল্যাকের,	
makong,	মকঙ,	মেকং,	
shomratder,	সমর্তদের,	সম্রাটদের,	
