durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
blacker,	ব্লকেযের,	ব্ল্যাকের,	
sheo,	শেও,	সেও,	
cholesi,	চলেছি,	চলেছি,	
easter,	আস্টের,	ইস্টের,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
kampita,	কম্পিটটা,	কম্পিত,	
modeler,	মোদেলের,	মডেলের,	
kantojir,	কাঁতজজির,	কান্তজির,	
phareqsa,	ফরেক্স,	ফরেক্স,	
overviu,	অভারভিও,	ওভারভিউ,	
hosne,	হোন,	হোসনে,	
dhikrita,	ধিকৃত,	ধিকৃত,	
kara,	কোরা,	কর,	
xpose,	এক্সপে,	এক্সপোজ,	
protizogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
spreadsiit,	স্প্রাইডিট,	স্প্রেডশীট,	
joubonbotee,	যৌবন্তবী,	যৌবনবতী,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
paree,	পেয়ার,	পাড়ে,	
evaner,	ইভানের,	ইভানের,	
noitikatabodh,	নৈতিকাবাধ,	নৈতিকতাবোধ,	
shooknaa,	শুকনা,	শুকনা,	
baharamporer,	বহরামপুরের,	বহরমপুরের,	
songkolonti,	সংকলন্টি,	সংকলনটি,	
murader,	মুরাদের,	মুরাদের,	
orunima,	অরুনিমা,	অরুণিমা,	
tafsirer,	তফসিরের,	তাফসীরের,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
sompadonkaree,	সম্পাদকারণারী,	সম্পাদনকারী,	
mumtaj,	মুমতাজ,	মুমতাজ,	
chheelona,	ছিলনা,	ছিলনা,	
yaach,	যাচ,	ইয়াক,	
boudhher,	বৌধের,	বৌদ্ধের,	
redcrosser,	রেড্রোক্সের,	রেডক্রসের,	
gajano,	গজনও,	গজানো,	
doobate,	ডুবাতে,	ডুবাতে,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
futbolarer,	ফূটবলরের,	ফুটবলারের,	
ekpaase,	একপাশে,	একপাশে,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
udvabon,	উদ্ভবন,	উদ্ভাবন,	
ojouno,	অজনও,	অযৌন,	
khannkaj,	খনঁকাজ,	খননকাজ,	
shotoker,	শতকের,	শতকের,	
proo,	প্রু,	প্রো,	
conan,	কোনান,	কোনান,	
ancholeo,	আঞছলেও,	অঞ্চলেও,	
baasaate,	বাসাতে,	বাসাতে,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
eporjonta,	এপার্ন্ত,	এপর্যন্ত,	
siqh,	শিখ,	শিখ,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
obotar,	অবতর,	অবতার,	
parse,	পার্স,	পার্শ্বে,	
elaakaati,	এলাকাতি,	এলাকাটি,	
alpakichudin,	অল্পকিছিদ্দিন,	অল্পকিছুদিন,	
nondolaal,	নন্দোলাল,	নন্দলাল,	
zubokder,	যুবকদের,	যুবকদের,	
dembakreeti,	দ্ব্বাকৃতি,	ডিম্বাকৃতি,	
mg,	এগএম,	এমজি,	
sofie,	সফি,	সোফি,	
odure,	অদূরে,	অদুরে,	
falashrutite,	ফলাশুরিতেতে,	ফলশ্রুতিতে,	
jeellul,	জিল্লুল,	জিল্লুল,	
kyapashula,	ক্যাপুশাল,	ক্যাপসুল,	
sotorkokaree,	সতর্কারকারী,	সতর্ককারী,	
avijojan,	অভিযোজনা,	অভিযোজন,	
pratul,	প্রতুল,	প্রতুল,	
jahar,	জাহার,	জহর,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
kamola,	কমলা,	কামলা,	
makong,	ম্কাক,	মেকং,	
piruzali,	পিরুজলি,	পিরুজালী,	
firoza,	ফিরোজ,	ফিরোজা,	
natneekey,	নাটনীকে,	নাতনীকে,	
jesthotar,	যেষ্ঠতার,	জ্যেষ্ঠতার,	
mmeloborrner,	মেলবর্নের,	মেলবোর্নের,	
chalochchitreo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
satjaner,	সৎজনের,	সাতজনের,	
haluder,	হলুদের,	হলুদের,	
garnaar,	গার্নার,	গার্নার,	
grantho,	গ্রন্থ,	গ্রন্থ,	
subir,	সুবির,	সুবীর,	
nutaner,	নতুনের,	নূতনের,	
sanmukh,	সংমুখ,	সন্মুখ,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
teknokrat,	টেকনক্্রোট,	টেকনোক্র্যাট,	
everage,	ইভরেগে,	এভারেজ,	
marketim,	মার্কেটিং,	মার্কেটিং,	
omitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
cholechi,	চলেছি,	চলেছি,	
sthapanar,	স্থাপনার,	স্থাপনার,	
tafaat,	তাফাট,	তফাৎ,	
dijnii,	ডিজনী,	ডিজনী,	
ssahocorze,	সহসার্যে,	সাহচর্যে,	
deembakreeti,	দ্বিমাকৃতি,	ডিম্বাকৃতি,	
moshzid,	মস্জিদ,	মসজিদ,	
ancholei,	অঞ্চলেই,	অঞ্চলেই,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
prachurzer,	প্রচুর্যের,	প্রাচুর্যের,	
gezeteda,	জেজেটাইড,	গেজেটেড,	
eesa,	এইস,	আইএএস,	
subader,	সুবাদের,	সুবাদে,	
bosonte,	বসনেতে,	বসন্তে,	
poripakey,	পরিপাকে,	পরিপাকে,	
unitsaho,	উনিতাসহ,	ইউনিটসহ,	
drissogoolo,	দৃশ্যুগল,	দৃশ্যগুলো,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
maddhukkori,	মধ্যুকারী,	মাধুকরী,	
neerbaho,	নির্বাহ,	নির্বাহ,	
dharer,	ধরের,	ধরের,	
ashok,	আশোক,	আশোক,	
timesh,	টাইমস,	টাইমস্,	
roktokkhorone,	রক্তকর্ষণে,	রক্তক্ষরণে,	
pujit,	পুজিত,	পুজিত,	
vejaano,	ভেজানো,	ভেজানো,	
kheley,	খেলে,	খেলে,	
rutina,	রুটিং,	রুটিন,	
chotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
modeltigulo,	মোলেলটিলোগ,	মডেলগুলো,	
chaaka,	চাকা,	চাকা,	
gosti,	গোস্তি,	গোষ্ঠী,	
srabosty,	শ্রবশ্তি,	শ্রাবস্তী,	
shannal,	সাযানাল,	সান্যাল,	
bolechi,	বলেছি,	বলেছি,	
mitrata,	মিত্রতা,	মিত্রতা,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
mohammad,	মহমম্মাদ,	মুহাম্মদ,	
karmakarke,	কর্মাকরকে,	কর্মকারকে,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
modelling,	মোযাডেলিং,	মডেলিং,	
myari,	ম্যারি,	ম্যারি,	
lyaataa,	ল্যাটা,	ল্যাটা,	
jansa,	জনস,	জন্স,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
mugdaal,	মুগদল,	মুগডাল,	
maudeler,	মাউদেলের,	মডেলের,	
yuro,	ইউর,	ইউরো,	
tuning,	তুনিং,	টিউনিং,	
naarsari,	নার্সারী,	নার্সারি,	
shasheja,	শাশেজা,	সসেজ,	
mahish,	মহিশ,	মহিষ,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
shaaroker,	সারকের,	স্মারকের,	
spreedashita,	স্প্রীশিট,	স্প্রেডশীট,	
michiler,	মিচিলের,	মিছিলের,	
koreempoor,	করিমপুর,	করিমপুর,	
soomee,	সুমি,	সুমি,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
novel,	নভেল,	নভেল,	
anchalkey,	আঞ্চলকে,	অঞ্চলকে,	
tennish,	ট্যানিশ,	টেনিস,	
venkotesh,	ভেনকেটেস,	ভেঙ্কটেশ,	
ajiboner,	আজিবনের,	আজীবনের,	
footbalarer,	ফুটবলরের,	ফুটবলারের,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
olympic,	অলিম্পিক,	অলিম্পিক,	
peeth,	পেথ,	পীঠ,	
gronthoo,	গ্রন্থ,	গ্রন্থও,	
sten,	স্টেন,	স্টেন,	
cakee,	কেক,	কেকে,	
hundai,	হান্ডাই,	হুন্দাই,	
cena,	চেনা,	সিনা,	
netsi,	নেটসি,	নাত্সি,	
netherlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
nagarik,	নাগরিক,	নাগরিক,	
poshte,	পোষ্টে,	পোষ্টে,	
natniike,	নাটনীকে,	নাতনীকে,	
sabrakamer,	সাবরকামের,	সবরকমের,	
mangoleek,	মাঙ্গোলিক,	মাঙ্গলিক,	
moonshi,	মুনশী,	মুন্সি,	
setikey,	সেটিকে,	সেটিকে,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
prai,	প্রাই,	প্রায়,	
debdebyr,	দেবদেবির,	দেবদেবীর,	
hisabke,	হিসাবকে,	হিসাবকে,	
bhushito,	ভূষিত,	ভূষিত,	
shhkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
nevate,	নেভাতে,	নেভাতে,	
jakkha,	যক্ষা,	যক্ষ,	
madrasakey,	মাদ্রাসকে,	মাদ্রাসাকে,	
laaishensh,	লাইসন্স,	লাইসেন্স,	
hoil,	হইল,	হইল,	
jaunotar,	যৌনতার,	যৌনতার,	
vangley,	ভাঙলে,	ভাঙলে,	
bhabatarini,	ভবতারীনী,	ভবতারিণী,	
riphleeksa,	রিফল্লেক্স,	রিফ্লেক্স,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
shcholastic,	স্কোলাটিক্স,	স্কলাস্টিক,	
dozo,	ডোজো,	ডোজো,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
nir,	নির,	নির,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
jibonnogor,	জীবনন্গর,	জীবননগর,	
turkmen,	তুর্কমেন,	তুর্কমেন,	
bhashik,	ভাষিক,	ভাষিক,	
chaka,	চাকা,	চাকা,	
sanbadmadhyamgulote,	সংবাদমায্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
gatihin,	গতিহীন,	গতিহীন,	
byte,	বাইট,	বাইট,	
manee,	মানি,	মানে,	
direektareeta,	ডিরিক্টেরিটা,	ডিরেক্টরেট,	
daloo,	ডালু,	ডালু,	
dwipgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
janmaat,	জন্মাত,	জন্মাত,	
shnaipara,	স্ইাইপার,	স্নাইপার,	
vault,	ওয়ালট,	ভল্ট,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
satthikata,	সাথিকতা,	সঠিকতা,	
oncolei,	অঙ্কলেই,	অঞ্চলেই,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
ganoporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
sooter,	শুটের,	শ্যুটার,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
sarbharti,	সর্ভার্তি,	সার্ভারটি,	
adwanced,	অ্যাডভান্সেদ,	অ্যাডভান্সড,	
cuti,	কিটি,	কিউটি,	
musolmanra,	মুসমনলার্মা,	মুসলমানরা,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
tarkarir,	তরকারির,	তরকারীর,	
horir,	হরির,	হরির,	
hypar,	হাইপার,	হাইপার,	
aalkatraa,	আলতকত্রা,	আলকাতরা,	
ashonka,	অশঙ্কা,	আশংকা,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
bonoshree,	বনশরী,	বনশ্রী,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
zerusaleme,	জ্রাসেমালে,	জেরুসালেমে,	
feroza,	ফেরোজা,	ফিরোজা,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
golpokar,	গল্পকার,	গল্পকার,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
babul,	বাবুল,	বাবুল,	
enginiirs,	এন্জিনার্স,	ইঞ্জিনিয়ার্স,	
pothnirdeshona,	পথিন্দ্রনা,	পথনির্দেশনা,	
niranjon,	নিরাঞ্জন,	নিরঞ্জন,	
motabolombiira,	মতবামবলীরা,	মতাবলম্বীরা,	
musharraf,	মুশারারফ,	মশাররফ,	
bodna,	বদ্না,	বদনা,	
risorte,	রিসর্টে,	রিসোর্টে,	
satarkabhabe,	সারতকভাবে,	সতর্কভাবে,	
mumtaz,	মুমতাজ,	মুমতাজ,	
onnyorup,	অন্যারূপ,	অন্যরূপ,	
idaningkale,	আদানিঙ্কলে,	ইদানীংকালে,	
aarakaner,	আরককণের,	আরাকানের,	
chotto,	চত্ব,	ছোট্ট,	
badey,	বাদে,	বাদে,	
myathiou,	ম্যুথিও,	ম্যাথিউ,	
odhito,	অধিত,	অধীত,	
soteciety,	সতেেশিটি,	সোসাইটিতে,	
jatook,	যাতুক,	জাতক,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
bait,	ব্যাট,	বাইট,	
azadir,	আজাদির,	আজাদীর,	
pana,	পানা,	পানা,	
jommu,	জম্মু,	জম্মু,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
niketan,	নিকেতন,	নিকেতন,	
cheettronnattokar,	চিত্রনাট্যকরার,	চিত্রনাট্যকার,	
swalpa,	স্বল্প,	স্বল্প,	
saseja,	সসজেজ,	সসেজ,	
shrabastee,	শ্রবশ্তি,	শ্রাবস্তী,	
shikhra,	শিখররা,	শিখরা,	
shchalastic,	স্কলাসটিক্স,	স্কলাস্টিক,	
battery,	ব্যাটারি,	ব্যাটারী,	
rephlex,	রেফেল্ক,	রিফ্লেক্স,	
gabeshona,	গবেষণা,	গবেষনা,	
elakaasoho,	এলাকাশহ,	এলাকাসহ,	
roktokhorone,	রক্তরোণে,	রক্তক্ষরণে,	
thai,	থাই,	থাই,	
fixin,	ফিক্সিন,	ফিক্সিং,	
enginiiring,	এন্িিরিঞ্জ,	ইঞ্জিনিয়ারিং,	
chyata,	চ্যাত,	চ্যাট,	
santoshe,	সন্তোষে,	সন্তোষে,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
ieub,	ইউব,	আইইউবি,	
ghoorte,	ঘররেটে,	ঘুরতে,	
oppohoron,	অপহরণ,	অপহরন,	
kommatei,	কমাতেই,	কমাতেই,	
idaning,	ইডাইনিং,	ইদানিং,	
korta,	কর্তা,	করতা,	
embaed,	এম্বাড,	এম্বেড,	
karkat,	করকাত,	কর্কট,	
ameerica,	অ্যামেরিকা,	আমেরিকা,	
fox,	ফক্স,	ফক্স,	
ponthaar,	পন্থার,	পন্থার,	
embi,	এমবি,	এমবি,	
ekhaate,	এখাতে,	একহাতে,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
nirmaankaj,	নির্মাঞজা,	নির্মাণকাজ,	
baait,	ব্যাট,	বাইট,	
shayetana,	শয়েটানান,	শয়তান,	
bhogno,	ভগ্ন,	ভগ্ন,	
onkush,	অঙ্কুষ,	অংকুশ,	
chatoke,	চটকে,	ছাতকে,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
chase,	চাষে,	চেস,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
bishod,	বিশদ,	বিষদ,	
vedke,	ভেদকে,	বেদকে,	
krantikale,	ক্র্তাতিকালে,	ক্রান্তিকালে,	
jockei,	জকেে,	জকি,	
ragee,	রাগি,	রাগী,	
omarjeeto,	অমার্জিত,	অমার্জিত,	
shahocharjo,	শহচার্য,	সাহচর্য,	
eucalyptushh,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
deliwer,	ডেলিভার,	ডেলিভার,	
dayna,	ডেন,	ডায়না,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
sidharther,	শিদ্ধার্থের,	সিদ্ধার্থের,	
barbadoz,	বর্বোদাজ,	বার্বাডোজ,	
lokkhero,	লক্ষ্যেরও,	লক্ষেরও,	
ayadabhanshada,	অ্যাডভাংশা,	অ্যাডভান্সড,	
adorsho,	আদর্শ,	আর্দশ,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
bedanto,	বেদান্ত,	বেদান্ত,	
jaroori,	জরুরী,	জরূরী,	
dobhar,	ডভার,	ডোভার,	
kiiborder,	কীবর্দের,	কীবোর্ডের,	
laala,	লালা,	লালা,	
poojito,	পুজিত,	পুজিত,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
mukhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
antarctikar,	অন্তর্কিতকার,	অ্যান্টার্কটিকার,	
bed,	বেড,	বেদ,	
remacri,	রেমাকারি,	রেমাক্রী,	
tovnship,	টনসিং,	টাউনশিপ,	
chilona,	চিলনা,	ছিলনা,	
naajii,	নাজি,	নাত্সি,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
aachhis,	আচ্ছিস,	আছিস,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
chintaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
antarbhuktimulak,	অন্তর্ভূতিকমূলক,	অন্তর্ভুক্তিমূলক,	
phake,	ফাকে,	ফাকে,	
doorotaumo,	দূরতম,	দূরতম,	
lutharan,	লুথারন,	লুথেরান,	
sofier,	সফির,	সোফির,	
seo,	সিও,	সেও,	
gaaddafee,	গাড্যাফি,	গাদ্দাফী,	
pader,	পাদের,	প্যাডের,	
daakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
somabeshti,	সমাবশেষটি,	সমাবেশটি,	
agibon,	আগিবন,	আজীবন,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
dokaangoolote,	দকাাযাগুলোতে,	দোকানগুলোতে,	
cholocchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
veenom,	ভিনম,	ভেনম,	
juktorashtrasaha,	যুক্তরাসরসহ,	যুক্তরাষ্ট্রসহ,	
cal,	কোল,	চাল,	
eshtonia,	এস্টেনিয়া,	এস্তোনিয়া,	
shomostigoto,	সমস্্তিগত,	সমষ্টিগত,	
mailkhanek,	মাইক্নেনক,	মাইলখানেক,	
codeti,	কদেটি,	কোডটি,	
bisshaso,	বিশ্বাসো,	বিশ্বাসও,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
tuku,	টুকু,	টুকু,	
ancient,	অ্যান্সিয়েন্ট,	এনসিয়েন্ট,	
wenom,	ওয়েনম,	ভেনম,	
upbasher,	উপবাসের,	উপবাসের,	
vaibonera,	ভাবনেরা,	ভাইবোনেরা,	
stationey,	স্টেশনে,	ষ্টেশনে,	
yoneetey,	যোনিতে,	যোনীতে,	
horidwar,	হরিদ্র,	হরিদ্বার,	
deejeejer,	দিজিজের,	ডিজিজের,	
dam,	ড্যাম,	ডং,	
prapoker,	প্রাপকের,	প্রাপকের,	
bhabani,	ভবনী,	ভবানী,	
mookhbaundho,	মুকবন্ধ,	মুখবন্ধ,	
bhugten,	ভুগতেন,	ভুগতেন,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
ashankai,	অসংকাই,	আশঙ্কাই,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
dokaangulotey,	দকাাণগুলোতে,	দোকানগুলোতে,	
chhon,	ছন,	ছোঁ,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
parksh,	পার্ক্স,	পার্কস,	
xpresion,	ক্ষ্পেরিন,	এক্সপ্রেশন,	
ongkita,	অংকিত,	অঙ্কিতা,	
paikgacha,	পেকগাঁচা,	পাইকগাছা,	
batsmaner,	বৎসমানের,	ব্যাটসম্যানের,	
nirmankaz,	নির্মাঞজা,	নির্মাণকাজ,	
doojoo,	দোজ,	ডোজো,	
durgotshober,	দুর্ঘটতবর,	দুর্গোৎসবে,	
teuning,	টিউনিং,	টিউনিং,	
pulse,	পুলসে,	পালস,	
koordira,	কুর্দিরা,	কুর্দিরা,	
dharabahikotitey,	ধারাবিকতিতে,	ধারাবাহিকটিতে,	
janes,	জনস,	জোন্স,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
stoona,	স্তোনা,	স্টোন,	
thar,	থার,	থর,	
bager,	বাগের,	বাগের,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
dharavahikti,	ধারাভাক্ষিতি,	ধারাবাহিকটি,	
ovisongson,	অভিসংশন,	অভিশংসন,	
prakalpati,	প্রকলপপটি,	প্রকল্পটি,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
preti,	প্রেতী,	প্রিটি,	
shainyara,	সাইন্যার,	সৈন্যরা,	
sikarder,	শিকারদের,	শিকারদের,	
weelcomee,	উইলকমি,	ওয়েলকাম,	
anchalgulir,	অঞ্চললগুলির,	অঞ্চলগুলির,	
miitar,	মিটার,	মিত্র,	
pray,	প্রে,	প্রায়,	
crete,	ক্রেযাট,	ক্রীট,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
ishahak,	ইসহাক,	ইসাহাক,	
drisser,	ড্রিস্টের,	দৃশ্যের,	
sakar,	সাকার,	সকার,	
shaddhii,	সদ্ধি,	সাধ্বী,	
akhando,	এখন্দ,	অখন্ড,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
poricchonnota,	পরিচ্ছান্ততা,	পরিচ্ছন্নতা,	
ooipoka,	ওপপা,	উইপোকা,	
diaraesha,	ডায়ার্স,	ডিআরএস,	
safi,	সফি,	সাফি,	
akkhar,	অক্ষার,	অক্ষর,	
balakarak,	বলকাকারক,	বলকারক,	
uporitaley,	উপরিতলে,	উপরিতলে,	
parqing,	পার্কিং,	পার্কিং,	
abadamoner,	আবাদমনের,	অবদমনের,	
prajanankal,	প্রজানকাল,	প্রজননকাল,	
avisongson,	অভিসংশন,	অভিশংসন,	
cholochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
deebug,	দিবুগ,	ডিবাগ,	
aastikotaa,	আস্তিকতা,	আস্তিকতা,	
labanaktotar,	লবণাক্ততার,	লবণাক্ততার,	
shniper,	স্নাপের,	স্নাইপার,	
machti,	মাছটি,	মাছটি,	
roopa,	রূপা,	রুপা,	
kottor,	কত্তর,	কট্টর,	
okritokarjo,	অক্রিতাকরা,	অকৃতকার্য,	
asabhyaa,	অসভ্য,	অসভ্য,	
kathmandutey,	কঠান্দুতে,	কাঠমান্ডুতে,	
code,	কোড,	কোড,	
nanir,	নানির,	নানীর,	
governorer,	গভর্নরের,	গভর্ণরের,	
paaree,	পারি,	পাড়ে,	
sangbadmadhyome,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
jarmaniteo,	জর্মানিতেও,	জার্মানিতেও,	
cheettronnatyokar,	চিত্রনাট্যকরার,	চিত্রনাট্যকার,	
deelibhara,	ডেলেভার,	ডেলিভার,	
serverey,	শেরবারে,	সার্ভারে,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
karim,	করিম,	করিম,	
paikgachha,	পেকগাঁচা,	পাইকগাছা,	
kram,	ক্রাম,	ক্রম,	
donat,	দোনাট,	ডোনাট,	
faltir,	ফলটার,	ফলটির,	
lajika,	লাজিক,	লজিক,	
tongaa,	তঙ্গা,	টোঙ্গা,	
kompito,	কম্পিত,	কম্পিত,	
itostato,	ইটসসটট,	ইতস্তত,	
porinoti,	পরিনতি,	পরিণতি,	
somrat,	সম্রাত,	সম্রাট,	
boudher,	বৌধের,	বৌদ্ধের,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
duple,	ডিপেল,	ডুপ্লে,	
jeteo,	জেতেও,	যেতেও,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
bytes,	বাইটস,	বাইটস,	
soolke,	সুলকে,	শুল্কে,	
akshor,	এক্ষর,	একশোর,	
average,	অ্যাভারেজ,	এভারেজ,	
saida,	সাইড,	সাইদা,	
setitey,	সেতিতে,	সেটিতে,	
urur,	উরুর,	উরুর,	
naaji,	নাজি,	নাত্সি,	
ruteener,	রুটিনের,	রুটিনের,	
skolastik,	স্কলাাক্টিক,	স্কলাস্টিক,	
semai,	সেমাই,	সেমাই,	
dwipgulote,	দ্বিপগুলোতে,	দ্বীপগুলোতে,	
kraantikaale,	ক্রাতাতিকালে,	ক্রান্তিকালে,	
risort,	রিসার্ট,	রিসোর্ট,	
vimshen,	ভিমসেন,	ভীমসেন,	
dijeejer,	দিজিজের,	ডিজিজের,	
prokalpeo,	প্রকালপু,	প্রকল্পেও,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
canton,	ক্যান্টন,	ক্যান্টন,	
sabrakomer,	সাবরকমের,	সবরকমের,	
manab,	মানব,	মানব,	
nirvahi,	নির্বাহী,	নির্বাহি,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
footballerra,	ফুটবালেরা,	ফুটবলাররা,	
ekai,	একাই,	একাই,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
mirakela,	মিরাকেলা,	মিরাকেল,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
dazjo,	দ্বজ্ঞ,	দাহ্য,	
catholicder,	কথলিলেডের,	ক্যাথলিকদের,	
turkii,	টার্কি,	তুর্কি,	
neker,	নেকের,	নেকের,	
tonga,	তঙ্গা,	টোঙ্গা,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
gejeted,	গেজেটেদ,	গেজেটেড,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
smarak,	স্মারক,	স্মারক,	
dakhbaar,	দেবার,	দেখবার,	
gaddaphii,	গদ্ফাফী,	গাদ্দাফী,	
sovanetri,	সভভেত্রী,	সভানেত্রী,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
janmat,	জন্মাত,	জন্মাত,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
aiisa,	আইস,	আইএএস,	
danabder,	দাবানদের,	দানবদের,	
bharson,	ভারসন,	ভারশন,	
catholic,	কথলিল,	ক্যাথলিক,	
karpeeta,	কর্পেট,	কার্পেট,	
qarqa,	কার্ক,	কার্ক,	
abhidhaneek,	আভিধানিক,	অভিধানিক,	
ganosochetonota,	গণসচততনতা,	গণসচেতনতা,	
vorpur,	বর্পুর,	ভরপুর,	
fokskon,	ফক্ষক,	ফক্সকন,	
foloshruti,	ফলশ্রুতি,	ফলশ্রুতি,	
maadhookori,	মাধুরকী,	মাধুকরী,	
valobasake,	ভালবাসকে,	ভালোবাসাকে,	
growth,	গ্রুথ,	গ্রোথ,	
maase,	মাসে,	মাসে,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
jeshh,	জেস,	জেস,	
tecnocrat,	টেকনসক্রাট,	টেকনোক্র্যাট,	
baet,	ব্যাট,	বাইট,	
siddhantao,	সিদ্ানন্ত,	সিদ্ধান্তও,	
auxfordey,	আস্ফর্ডে,	অক্সফোর্ডে,	
hyaloyin,	হ্যালোন,	হ্যালোইন,	
sourse,	সোর্স,	সোর্স,	
torup,	তরূপ,	ট্রুপ,	
byabaharkariderke,	ব্যবহারকারকারীদের,	ব্যবহারকারীদেরকে,	
nitikatha,	নিতিকথা,	নীতিকথা,	
hebhee,	হেভী,	হেভি,	
aqramer,	এক্রমের,	আকরামের,	
