duburyra,	দুবুরীরা,	ডুবুরিরা,	
jemi,	জেমি,	জেমি,	
hud,	হাড,	হুড,	
weenis,	উইনিস,	ভেনিস,	
chorchita,	চর্চিত,	চর্চিত,	
hepara,	হেইপার,	হাইপার,	
tophaat,	তফফাত,	তফাৎ,	
yuro,	ইউরো,	ইউরো,	
jaaygata,	জাগ্যতা,	জায়গাটা,	
purbanchaler,	পূর্বনকালের,	পূর্বাঞ্চলের,	
catholic,	কথযালিক,	ক্যাথলিক,	
meghnadbodh,	মেঘনন্দ্ধ,	মেঘনাদবধ,	
categoryer,	ক্যাটেগ্রার,	ক্যাটাগরির,	
peengnaa,	পেন্্লা,	পিংনা,	
shoow,	শুও,	শো,	
sikhbe,	শিখ্বে,	শিখবে,	
eashter,	আস্টের,	ইস্টার,	
sotorkokari,	সতারকারী,	সতর্ককারী,	
difinision,	ডিফিনিশাইন,	ডেফিনেশন,	
degree,	ডিগ্রী,	ডিগ্রি,	
saseza,	সাশ্য,	সসেজ,	
pustio,	পুষ্টিও,	পুষ্টি,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
jacqson,	জ্যাক্সন,	জ্যাকসন,	
haluder,	হালুডের,	হলুদের,	
janaar,	জানার,	জানার,	
bagdhara,	বাগধারা,	বাগধারা,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
nagarik,	নাগরিক,	নাগরিক,	
oviyojan,	অভিযোজন,	অভিযোজন,	
madhukooree,	মধুকরি,	মাধুকরী,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
iispredsheet,	ইস্প্রেসিক,	স্প্রেডশীট,	
zerusalemer,	জেরুলোসের,	জেরুজালেমের,	
jyaka,	জ্যাক,	জ্যাক,	
kareer,	করির,	কারীর,	
bonoshree,	বনসম্বি,	বনশ্রী,	
ekroop,	একরূপ,	একরূপ,	
aalkaatra,	আলকাত্রা,	আলকাতরা,	
cade,	কেড,	কোড,	
bolvodro,	বলভদ্র,	বলভদ্র,	
apochesta,	অপযেষ্ট,	অপচেষ্টা,	
aaziz,	আজিজ,	আজিজ,	
abadamoner,	অবদমানের,	অবদমনের,	
marri,	মেরি,	ম্যারি,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
sbatantrata,	স্বত্পত্ত্ব,	স্বতন্ত্রতা,	
bhogni,	ভোগ্নী,	ভগ্নী,	
prapokkey,	প্রপথকে,	প্রাপককে,	
marodeho,	মারদেহ,	মরদেহ,	
aarcia,	আর্চিয়া,	আরসিএ,	
sojja,	সজ্জা,	সজ্জা,	
firozer,	ফিরোজের,	ফিরোজের,	
dosider,	দোসীদের,	দোষীদের,	
gonocheen,	গণছীন,	গণচীন,	
cheentaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
shhcholashtic,	শ্চলাশ্তিক,	স্কলাস্টিক,	
idipas,	এইিফস,	ইডিপাস,	
day,	দাই,	ডে,	
twakei,	ট্বাকে,	ত্বকেই,	
shoccar,	সকচার,	সকার,	
sabhanetree,	সভানেত্রী,	সভানেত্রী,	
dola,	দোলা,	দলা,	
batikromshali,	বাতিক্রমশী,	ব্যতিক্রমধর্মী,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
vageri,	ভাগেরী,	ভাগেরই,	
footbalarder,	ফুটবলারের,	ফুটবলারদের,	
teyt,	টেট,	টেট,	
kindama,	কিন্দাহ,	কিংডম,	
ekai,	একেই,	একাই,	
qaferderkey,	কফির্ডে,	কাফেরদেরকে,	
ponero,	পনেরো,	পনের,	
hostantor,	হোস্তান্তর,	হস্তান্তর,	
highcomissione,	হাইক্সিমিন,	হাইকমিশনে,	
jemske,	জেম্কে,	জেমসকে,	
gonona,	গণনা,	গননা,	
chedon,	চেদন,	ছেদন,	
ayadabhanshada,	আযাদাবশাস,	অ্যাডভান্সড,	
sahapatheekey,	সহপাঠীকে,	সহপাঠীকে,	
nothibhukto,	নথিভূক্ত,	নথিভুক্ত,	
piroojalee,	পিরুজাই,	পিরুজালী,	
shilpojaat,	শিল্পাাত,	শিল্পজাত,	
bossontoke,	বসন্তকতে,	বসন্তকে,	
dee,	ডি,	ডে,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
ajeejer,	আজিজের,	আজিজের,	
funding,	ফান্ডিং,	ফান্ডিং,	
garora,	গারারা,	গারোরা,	
patthon,	পাঠান,	পঠন,	
kins,	কিন্স,	কিংস,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
angurer,	অঙুগের,	আঙ্গুরের,	
akla,	একলা,	একলা,	
mogert,	মোয়ের্ট,	মোজার্ট,	
mathieu,	মাথিও,	ম্যাথিউ,	
laaisens,	লাইস,	লাইসেন্স,	
daltagi,	দাল্টাজি,	দলত্যাগী,	
dwibidho,	দ্বিধিবা,	দ্বিবিধ,	
pooshtee,	পুষ্টি,	পুষ্টি,	
patka,	পটকা,	পটকা,	
pujito,	পুজিত,	পুজিত,	
mag,	মগ,	এমএজি,	
opadan,	অপদান,	অপাদান,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
rajon,	রজন,	রাজন,	
said,	সাইড,	সাইদ,	
baaiq,	বাইক,	বাইক,	
dipan,	ডিপন,	দীপন,	
niurolaji,	নিউরালিনি,	নিউরোলজি,	
qoyeri,	কোয়ারি,	কোয়েরি,	
ieub,	ইইউএ,	আইইউবি,	
riphleeksa,	রিফফলিক্স,	রিফ্লেক্স,	
shakkhatkarer,	সাক্ষাৎকারে,	সাক্ষাৎকারের,	
deobonde,	দিবন্দে,	দেওবন্দে,	
heeja,	হেজ,	হেজ,	
dibating,	দিবেটিং,	ডিবেটিং,	
obiyi,	অবিই,	ওবিই,	
bandike,	বন্দিকে,	বন্দীকে,	
mehonnotee,	মেহন্তিী,	মেহনতি,	
valobasen,	ভালোবেশনে,	ভালোবাসেন,	
sinematographar,	সিনেটা্্টার,	সিনেমাটোগ্রাফার,	
aloteo,	আলতেও,	আলোতেও,	
uindos,	উইন্ডস,	উইন্ডোস,	
maricha,	মরিচ,	মরিচা,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
sahooseekotar,	সহশিক্যতার,	সাহসিকতার,	
jack,	জক,	জ্যাক,	
dhhaalur,	ঢালুর,	ঢালুর,	
brekethru,	বৃকেঠরর,	ব্রেকথ্রু,	
bamni,	ব্যান্টি,	বামনী,	
qaro,	কারও,	কারো,	
chintai,	চিন্তাই,	ছিনতাই,	
bipojjonok,	বিপজজজন্ত,	বিপজ্জনক,	
spreadshiit,	স্পীর্ধিত,	স্প্রেডশীট,	
tafsher,	তফসের,	তাফসীর,	
jeebonnogor,	জীবনন্র,	জীবননগর,	
uipoka,	উপপক,	উইপোকা,	
suchanakal,	সুচনাকাল,	সূচনাকাল,	
mosjidsaho,	মসুনিসহ,	মসজিদসহ,	
gandhiyo,	গান্ধিয,	গান্ধীও,	
nepchuner,	নেচ্ফুনের,	নেপচুনের,	
military,	মিলিটারি,	মিলিটারি,	
chenza,	চেঞ্জ,	চেঞ্জ,	
morathee,	মরাঠী,	মরাঠি,	
unitshoho,	ইউনিসহ,	ইউনিটসহ,	
sabbir,	সববীর,	সাব্বির,	
hizri,	হিজরি,	হিজরী,	
avetar,	এভেটার,	অবতার,	
danut,	দানত,	ডোনাট,	
juktarashtrosaha,	যুক্তরাস্ত্ত,	যুক্তরাষ্ট্রসহ,	
olympiker,	অলিপিকের,	অলিম্পিকের,	
mukhbondho,	মুখ্্ম্য,	মুখবন্ধ,	
alankorana,	অলংকরণ,	অলঙ্করণ,	
temontee,	টেমন্তি,	তেমনটি,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
break,	ব্রিক,	ব্রেক,	
amontrito,	অমন্ত্রীত,	আমন্ত্রিত,	
bosante,	বসন্তে,	বসন্তে,	
hiiragana,	হীরগণ,	হিরাগানা,	
eenameela,	ইনামেলা,	এনামেল,	
gandogol,	গা্ডদোল,	গন্ডগোল,	
norfolk,	নরফলক,	নরফোক,	
chaalta,	চালতা,	চালতা,	
ghoor,	ঘুর,	ঘুর,	
basalt,	বাসল,	ব্যাসল্ট,	
reeliancee,	রেলিয়েস,	রিলায়েন্স,	
se,	সি,	সে,	
macher,	মাছের,	মাছের,	
eshoshiyetasha,	ইসোসিল়া,	এসোসিয়েটস,	
licensing,	লিকেন্স,	লাইসেন্সিং,	
sayeed,	সাইড,	সাইদ,	
fiksim,	ফিক্সিং,	ফিক্সিং,	
fol,	ফল,	ফল,	
piora,	পিওর,	পিওর,	
bhittow,	ভিত্য,	ভিত্তিও,	
carloos,	কার্লস,	কার্লোস,	
nirorthak,	নিরার্থক,	নিরর্থক,	
muhurtati,	মুহূর্তটি,	মুহুর্তটি,	
abheedhaaneek,	অভিধাদিক,	অভিধানিক,	
phiqsim,	ফিক্সি,	ফিক্সিং,	
obdi,	অবি,	অব্দি,	
angkita,	অঙকিত,	অঙ্কিতা,	
songosthagulo,	সংস্থাসতগুলো,	সংস্থাগুলো,	
langhon,	লঙ্ঘন,	লংঘন,	
ramantika,	রামান্ত্বা,	রোমান্টিক,	
babilon,	বাবিলন,	ব্যাবিলন,	
sarboporee,	সর্বপ্রী,	সর্বোপরী,	
jatata,	যতা,	যতোটা,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
elakaa,	এলাকা,	এলাকা,	
machhsoho,	মাচ্শ,	মাছসহ,	
deembakreeti,	ডিম্বাক্রেটি,	ডিম্বাকৃতি,	
breakthraugh,	বৃক্ষত্র,	ব্রেকথ্রু,	
asthisandhi,	অস্চিসস্বরিী,	অস্থিসন্ধি,	
aamontrito,	আমান্তিত,	আমন্ত্রিত,	
dwipgulote,	দ্বিপুলুতে,	দ্বীপগুলোতে,	
udvabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
bahjya,	বাহ্য,	বাহ্য,	
sammatitey,	সম্মাতিতে,	সম্মতিতে,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
aksharke,	আক্ষারকে,	অক্ষরকে,	
utsahamulok,	উৎসামালক,	উৎসাহমূলক,	
juktorashtre,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রে,	
jaygata,	জাগত,	জায়গাটা,	
mitrota,	মিত্রোটা,	মিত্রতা,	
debaag,	দেবাগ,	ডিবাগ,	
injiniyarsa,	ইনজাইন্ড,	ইঞ্জিনিয়ার্স,	
phaksha,	ফকক্স,	ফক্স,	
surakarder,	সুরকারদের,	সুরকারদের,	
shangkulan,	শঙ্কূলন,	সংকুলান,	
janake,	জনকে,	জানাতে,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
peoples,	পিপনেস,	পিপলস্,	
pachchen,	পাঁচেন,	পাচ্ছেন,	
starc,	স্ট্রোক,	স্টার্ক,	
chalochchitrotike,	চলচ্চিত্রাকে,	চলচ্চিত্রটিকে,	
juktorastre,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রে,	
amarjita,	আমর্জিত,	অমার্জিত,	
jolatongko,	জলতা্ত,	জলাতঙ্ক,	
akib,	একিব,	আকিব,	
parisankhanvid,	পরিসংখ্যানীর,	পরিসংখ্যানবিদ,	
meshar,	মেশর,	মেশার,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
licencedhari,	লিকেন্সদের,	লাইসেন্সধারী,	
manabmaner,	মানবমানের,	মানবমনের,	
maase,	মাসে,	মাসে,	
kulim,	কুলিম,	কুলিং,	
kiandi,	কিইন্দি,	ক্যান্ডি,	
vabanir,	ভবনীর,	ভবানীর,	
megher,	মেঘার,	মেঘের,	
jotinkey,	জটিং,	যতীনকে,	
prottokkhovabe,	প্রত্যাম্ভভাবে,	প্রত্যক্ষভাবে,	
jeebjontu,	জীব্যপুত,	জীবজন্তু,	
jolbe,	জলবে,	জ্বলবে,	
poonch,	পুঁছ,	পুঞ্চ,	
saseja,	সাশ্য,	সসেজ,	
prokar,	প্রকার,	প্রকার,	
provuder,	প্রভুদের,	প্রভুদের,	
sookumari,	সুকুমিরি,	সুকুমারী,	
chhed,	ছেদ,	ছেদ,	
seekkhokbrindo,	শিক্ষাকৃন্দ্র,	শিক্ষকবৃন্দ,	
naarsaari,	নার্সারী,	নার্সারি,	
grantho,	গ্রন্থা,	গ্রন্থ,	
naditei,	নদীতেই,	নদীতেই,	
itastata,	ইটসস্ট,	ইতস্ততঃ,	
grontho,	গ্রন্থা,	গ্রন্থ,	
tuning,	টুনিং,	টিউনিং,	
rooshod,	রুশর,	রুশদ,	
stoona,	স্টোন,	স্টোন,	
pathkromer,	পাঠুক্রমের,	পাঠক্রমের,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
foolkopi,	ফুলক্ষিপ,	ফুলকপি,	
coner,	কনের,	কনের,	
kyanela,	ক্যানেলা,	ক্যানেল,	
onkush,	অঙ্কুস,	অংকুশ,	
smaroker,	স্মরকের,	স্মারকের,	
lutheren,	লুথারেন,	লুথেরান,	
kaushalgata,	কৌশলাত,	কৌশলগত,	
asamanyo,	আসম্না,	অসামান্য,	
timesh,	টিমেস,	টাইমস্,	
inapharamesana,	ইনফ্যার্সেশন,	ইনফরমেশন,	
ancholei,	অঞ্চলে,	অঞ্চলেই,	
wictor,	ভিক্টার,	ভিক্টর,	
emiratas,	এমির্টাস,	এমিরেটাস,	
pathanatak,	পাঠনাকা,	পথনাটক,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
sanaktokaron,	সনাক্তকাণ,	সনাক্তকরণ,	
mile,	মিলে,	মিলে,	
grameryi,	গ্রেমেই,	গ্রামেরই,	
rakibul,	রেকিলুল,	রকিবুল,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
muladi,	মুলাদী,	মুলাদি,	
tarun,	তরুণ,	তরুন,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
bolatkar,	বলাটারার,	বলাৎকার,	
deambakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
pouro,	পোরো,	পৌর,	
thechar,	থেঁচার,	থ্যাচার,	
canal,	কানাল,	ক্যানেল,	
akmot,	একমা,	একমত,	
pirujalee,	পিরুলাই,	পিরুজালী,	
roja,	রোজা,	রোযা,	
aarke,	আরকে,	আরকে,	
sheema,	সেমা,	সীমা,	
shringo,	শৃর্গ,	শৃঙ্গ,	
madeelim,	মেডিলিং,	মডেলিং,	
daeel,	দাইল,	ডেইল,	
shatodha,	শতদোহ,	শতধা,	
smarok,	স্মার্ক,	স্মারক,	
dibeeta,	দিবিত,	ডিবেট,	
phalah,	ফালাহ,	ফালাহ,	
unhu,	ইনু,	উঁহু,	
dokaangulotey,	ডোকাঙ্গুলেতে,	দোকানগুলোতে,	
inastyanta,	ইনস্ট্যন্ট,	ইনস্ট্যান্ট,	
texuser,	টেক্সোসের,	টেক্সাসের,	
orgho,	অর্ঘ্য,	অর্ঘ্য,	
durotamo,	দুরতথম,	দূরতম,	
parishrom,	পরিস্রম,	পরিশ্রম,	
pratul,	প্রতুল,	প্রতুল,	
janogananar,	জনগণনার,	জনগণনার,	
auttacharer,	অট্তাচারের,	অত্যাচারের,	
shikh,	শিখ,	শিখ,	
dweepgoolo,	দ্বীপগুলো,	দ্বীপগুলো,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
grambaasee,	গ্র্মাসসি,	গ্রামবাসী,	
byatasamyan,	ব্যতসমানন,	ব্যাটসম্যান,	
probhu,	প্রভূ,	প্রভু,	
gunjey,	গুনজে,	গুঁজে,	
feroz,	ফেরোজ,	ফিরোজ,	
azan,	আজন,	আজান,	
mail,	মেল,	মাইল,	
iispredshiit,	ইস্প্রেসিত,	স্প্রেডশীট,	
samajeri,	সমাজেরী,	সমাজেরই,	
munshi,	মুন্সি,	মুন্সী,	
shangsthagulo,	সংস্থাস্গুলো,	সংস্থাগুলো,	
istoone,	ইস্তুপে,	স্টোন,	
dhwajbhango,	ধ্বজাজগঞ্গ,	ধ্বজভঙ্গ,	
avishangson,	অভিসংখান,	অভিশংসন,	
parther,	পার্থের,	পার্থের,	
yuqeliptas,	ইউকিলিপ্স,	ইউক্যালিপ্টাস,	
rot,	রোট,	রত,	
modeling,	মোডেলিং,	মডেলিং,	
kool,	কোল,	কুল,	
shikha,	শিখা,	শিখ,	
damodar,	দমাদের,	দামদর,	
aairis,	আইরিশ,	আইরিস,	
abahan,	আবহান,	আবাহন,	
mirakeela,	মারেকালা,	মিরাকেল,	
bodhir,	বোধির,	বধির,	
kormosompadon,	কর্মসোমান,	কর্মসম্পাদন,	
hazirhaat,	হজিরাহাত,	হাজিরহাট,	
patisapta,	পতিসপ্ত,	পাটিসাপটা,	
paripaker,	পরিপাকের,	পরিপাকের,	
chef,	চেফ,	শেফ,	
coshon,	কসন,	চোষণ,	
dharavahikeo,	ধারাবিস্যে,	ধারাবাহিকেও,	
doorotaumo,	দূরোথমু,	দূরতম,	
keengdom,	কিংগ্ড,	কিংডম,	
bhezano,	ভেজানো,	ভেজানো,	
paab,	পাব,	পাব,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
sangbadmadhyamer,	সংব্দর্ধারে,	সংবাদমাধ্যমের,	
omarendro,	অমারেন্দর,	অমরেন্দ্র,	
shikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
byte,	বিটে,	বাইট,	
brindabone,	ব্রিন্ডানকে,	বৃন্দাবনে,	
dolgulo,	দলগুলো,	দলগুলোও,	
craze,	ক্রেজ,	ক্রেজ,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
udbhabaney,	উদ্ভবনে,	উদ্ভাবনে,	
karpeta,	কর্পেট,	কার্পেট,	
veenicee,	ভেনিসি,	ভেনিস,	
shaantaa,	সান্তা,	সান্তা,	
cheettronnatyokar,	চিত্রনণ্ত,	চিত্রনাট্যকার,	
vodka,	ভোমকা,	ভদকা,	
ganoparibahaner,	গণপরিবহণের,	গণপরিবহনের,	
mojuter,	মজুতের,	মজুতের,	
konar,	কোণার,	কণার,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
kaathhaamaandu,	কাঠাসোধ্য,	কাঠমান্ডু,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
palestiner,	পেলিস্টানের,	প্যালেস্টাইনের,	
chattke,	চাত্কে,	ছাতকে,	
tuku,	টুকু,	টুকু,	
prodip,	প্রোদিপ,	প্রদীপ,	
asavyo,	অস্বুয,	অসভ্য,	
vugorvey,	ভাগরভেবে,	ভূগর্ভে,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
prakalpogulo,	প্রচাপনগুলো,	প্রকল্পগুলো,	
choson,	চোষন,	চোষণ,	
definisian,	ডেফিনিস,	ডেফিনেশন,	
janmat,	জন্মাত,	জন্মাত,	
breil,	ব্রেইল,	ব্রেইল,	
asociatees,	অসুকেটিস,	এসোসিয়েটস,	
direktareta,	ডিরেক্টারটে,	ডিরেক্টরেট,	
aalaaoler,	আলালের,	আলাওলের,	
jomjamat,	জম্যমত,	জমজমাট,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
alsar,	আলসার,	আলসার,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
aakik,	আকিক,	আকিক,	
rooplal,	রূপ্লাল,	রূপলাল,	
eder,	এডের,	এদের,	
torunra,	তরুর্ণা,	তরুণরা,	
governerer,	গভর্নরের,	গভর্ণরের,	
nodiiti,	নদীতি,	নদীটি,	
shiramiksh,	শীরামিক,	সিরামিকস,	
shcholashtic,	স্চলচাষ্টিক,	স্কলাস্টিক,	
chalochchitroi,	চলচ্চিত্রকে,	চলচ্চিত্রই,	
edmeeral,	এমরিমাল,	এডমিরাল,	
preti,	প্রেতি,	প্রিটি,	
ekkoghore,	একঘারে,	একঘরে,	
tantira,	তন্তিরা,	তাঁতিরা,	
jacksoner,	জক্্সনের,	জ্যাকসনের,	
sinake,	সিনাকে,	সিনাকে,	
avetara,	এভেতর,	অবতার,	
istoniya,	ইস্টেনিয়া,	এস্তোনিয়া,	
anchalgulir,	অঞ্চলুলির,	অঞ্চলগুলির,	
saseeja,	সাশিয়া,	সসেজ,	
abhijojan,	অভিজোজনা,	অভিযোজন,	
suraropito,	সুরারপিত,	সুরারোপিত,	
candy,	ক্যান্ড,	ক্যান্ডি,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
siddhantagulo,	সিদ্ধানগাগুলো,	সিদ্ধান্তগুলো,	
poricchonnota,	পরীক্ষানত,	পরিচ্ছন্নতা,	
kunty,	কুন্টি,	কুন্তী,	
nesnosh,	নিঃসংসা,	নেশনস,	
sqarta,	স্কর্টা,	স্কার্ট,	
kaale,	কালে,	কালে,	
shasonkorta,	শাসনক্রতা,	শাসনকর্তা,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
phashtara,	ফাস্টার,	ফস্টার,	
bagdady,	বাজরাদী,	বাগদাদী,	
projononkal,	প্রজনাংখল,	প্রজননকাল,	
grambashio,	গ্রামবিশ,	গ্রামবাসীও,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
anekeri,	অনেকের,	অনেকেরই,	
boshoborty,	বসরবার্তি,	বশবর্তী,	
phiksa,	ফিক্স,	ফিক্স,	
donut,	দণুত,	ডোনাট,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
onurbor,	অনুর্ব,	অনুর্বর,	
chedropothe,	চেদ্রপথে,	ছিদ্রপথে,	
dearas,	ডিরা,	ডিআরএস,	
gaandas,	গাঁন্ডস,	জ্ঞানদাস,	
sanaktokaraner,	সনাক্তকাণের,	সনাক্তকরণের,	
niuroolaji,	নিউরোলালি,	নিউরোলজি,	
nabatamo,	নবতা,	নবতম,	
zack,	জাক,	জ্যাক,	
ballroom,	বালির,	বলরুম,	
pothnirdeshona,	পথিির্দ্দনা,	পথনির্দেশনা,	
upcharzo,	উফচার্য,	উপাচার্য,	
shukna,	শুক্না,	শুকনা,	
anisa,	অনিশা,	আনিস,	
benke,	বেযাংকে,	বেঁকে,	
site,	সাইট,	সিটে,	
bupher,	বাফের,	বাফার,	
tala,	টোল,	তালা,	
dojo,	দজ,	ডোজো,	
muktilav,	মুক্তিভাব,	মুক্তিলাভ,	
gutano,	গুটোনো,	গুটানো,	
nothivukteer,	নথিভুক্তের,	নথিভুক্তির,	
shaahaabaah,	সাহাবাব,	সাহাবাহ,	
brindaaboner,	বির্ণ্যমানের,	বৃন্দাবনের,	
nathivookta,	নথিভূক্ত,	নথিভুক্ত,	
bujhleo,	বুঝিলেও,	বুঝলেও,	
loombinee,	লম্বিনী,	লুম্বিনী,	
shakkhatkarer,	সাক্ষাৎকারে,	সাক্ষাত্কারের,	
ekshotee,	একশিতি,	একশোটি,	
shotokey,	শতকে,	শতকে,	
armstrang,	আর্স্ট্রগ,	আর্মস্ট্রং,	
prakalpatike,	প্রকা্নটিকে,	প্রকল্পটিকে,	
ekaatto,	একাত্ত্ব,	একাত্ব,	
karor,	কারের,	কারোর,	
vangle,	ভাঙ্গে,	ভাঙলে,	
creesceent,	ক্রিসেস্ট,	ক্রিসেন্ট,	
ostad,	অস্টাদ,	ওস্তাদ,	
elaaka,	এলাকা,	এলাকা,	
gabeshonar,	গবেষণার,	গবেষনার,	
zealand,	জিলাযান্ড,	জিল্যান্ড,	
arjora,	অর্জরা,	আর্যরা,	
dharavahiktir,	ধারাধিক্ষিত,	ধারাবাহিকটির,	
abdi,	আবি,	অব্দি,	
vandar,	ভাঁদার,	ভাণ্ডার,	
kathmaandu,	কাঠামো্ড,	কাঠমান্ডু,	
bodhirta,	বোধিরত,	বধিরতা,	
shaahocharje,	সাহচর্ভরী,	সাহচর্যে,	
bosano,	বসন,	বসানো,	
lagic,	লাগিক,	লজিক,	
conan,	কোন,	কোনান,	
crescent,	ক্রিসেেন্ট,	ক্রিসেন্ট,	
esiyatika,	এসিয়েটক,	এশিয়াটিক,	
halding,	হাল্ডিং,	হোল্ডিং,	
poschime,	পশ্চিমে,	পশ্চিমে,	
chhuti,	ছুটি,	ছুটি,	
sparsher,	স্পর্সের,	স্পর্শের,	
spashtatai,	স্পষ্টাই,	স্পষ্টতই,	
ghoorsen,	ঘুরেশেন,	ঘুরেছেন,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
rupart,	রূপার্ট,	রুপার্ট,	
nirapottamulak,	নিরাপ্তবাাল,	নিরাপত্তামূলক,	
kram,	ক্র্ম,	ক্রম,	
sofyr,	সফির,	সোফির,	
chhootochhuti,	ছোটাছুটি,	ছুটোছুটি,	
antarbhuktimulak,	অন্তর্ভূক্তিত,	অন্তর্ভুক্তিমূলক,	
modhyekar,	মধ্যকের,	মধ্যেকার,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
akrup,	একরূপ,	একরূপ,	
saahocorrze,	সাহুক্রবে,	সাহচর্যে,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
durgoto,	দুর্গত,	দূর্গত,	
siddhantai,	সিদ্ধান্তি,	সিদ্ধান্তই,	
timothi,	তিমথি,	টিমোথি,	
damanmulok,	দামমনূলক,	দমনমূলক,	
saccer,	স্কেকের,	সকার,	
khaaneker,	খানেকের,	খানেকের,	
chowdhuryo,	চৌধ্ধরয,	চৌধুরীও,	
nirmaankaj,	নির্মাণক,	নির্মাণকাজ,	
mitra,	মিত্রা,	মিত্র,	
chal,	চাল,	চাল,	
kaamla,	কামলা,	কামলা,	
malish,	মালিশ,	মালিশ,	
janar,	জানার,	জানার,	
sotorkobhabe,	সতরক্ভবে,	সতর্কভাবে,	
roobi,	রোবি,	রুবি,	
metropoliton,	মেট্রোপিলিট,	মেট্রোপলিটন,	
queery,	কুরি,	কোয়েরি,	
poojito,	পুজিত,	পুজিত,	
chalochchitratike,	চলচ্চিত্রাকে,	চলচ্চিত্রটিকে,	
wool,	উোল,	উল,	
nilabho,	নিলভ,	নীলাভ,	
choudhurio,	চৌধুরি,	চৌধুরীও,	
bikargrosto,	বিকার্যস্ত,	বিকারগ্রস্ত,	
samanyoi,	সমান্যই,	সামান্যই,	
biseshyo,	বিশেষজ,	বিশেষ্য,	
lag,	লাগ,	লগ,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
bai,	বাই,	বাঈ,	
kathmandutey,	কথ্পস্ধতে,	কাঠমান্ডুতে,	
guzober,	গুজবের,	গুজবের,	
enamela,	এনমমল,	এনামেল,	
bonobhumi,	বনধভূমি,	বনভূমি,	
mitrader,	মিত্রদের,	মিত্রদের,	
homasha,	হমাসা,	হোমস,	
shrichaitanyadeb,	শ্রীচৈতন্যের,	শ্রীচৈতন্যদেব,	
gootano,	গোটনো,	গুটানো,	
nuton,	নূটন,	নূতন,	
madhobir,	মাধবীর,	মাধবীর,	
hajaribag,	হজারিভাগ,	হাজারিবাগ,	
darji,	দার্জি,	দরজি,	
morodeho,	মোরদেহ,	মরদেহ,	
shangkalone,	সঙ্কলনে,	সংকলনে,	
marqeting,	মার্কেটিক,	মার্কেটিং,	
shaater,	সাতের,	শ্যুটার,	
dembakreeti,	ডেম্বাক্রিটি,	ডিম্বাকৃতি,	
eebhiem,	এভভিম,	ইভিএম,	
thai,	থাই,	থাই,	
janmaat,	জন্মাত,	জন্মাত,	
chaber,	ছবের,	চাবির,	
maladobha,	মালদভা,	মলদোভা,	
nartaki,	নার্টকি,	নর্তকী,	
proshtotto,	প্রস্তাত্ব,	প্রস্ত্তত,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
danckan,	ডানককন,	ডানকান,	
