ganochiner,	গণচিলের,	গণচীনের,	
ruvbla,	রুবলা,	রুবল,	
songasthaner,	সংগোষ্ঠানের,	সংস্থানের,	
kara,	কারা,	কর,	
motar,	মোটর,	মুতার,	
ohang,	ওহংং,	অহং,	
ardasha,	অর্ডস,	আর্দশ,	
brindabaner,	বৃণ্ডাবনের,	বৃন্দাবনের,	
daakticketer,	ডাকতিকিতের,	ডাকটিকিটের,	
lutharana,	লুটারন,	লুথেরান,	
kraim,	ক্রেম,	ক্রাইম,	
jeebnagar,	জীবনগার,	জীবননগর,	
ghetoo,	ঘেতও,	ঘেটু,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
engrezra,	ইংগ্রেজরা,	ইংরেজরা,	
raagkey,	রাগকে,	রাগকে,	
jatata,	যতটা,	যতোটা,	
kathmandu,	কঠমন্ডু,	কাঠমান্ডু,	
gambasi,	গেমবাসী,	গ্রামবাসী,	
tyap,	ট্যাপ,	ট্যাপ,	
pathkrom,	পাঠক্রম,	পাঠক্রম,	
kuarter,	কোর্টার,	কোয়ার্টার,	
narsari,	নার্সারী,	নার্সারি,	
sqora,	স্কোর,	স্কোর,	
sharther,	সার্থের,	স্বার্থের,	
snaipara,	স্নাইপার,	স্নাইপার,	
teamothy,	টিমোথি,	টিমোথি,	
eenasiyeenta,	এনসসিয়েন্ট,	এনসিয়েন্ট,	
ganoporibahaner,	গণপরিবারণের,	গণপরিবহনের,	
chhilonaa,	ছিলোনা,	ছিলনা,	
bhenicer,	ভেনিসের,	ভেনিসের,	
puroheetder,	পুরহহিতদের,	পুরোহিতদের,	
geja,	গেজ,	গেজ,	
nirontar,	নিরন্তর,	নিরন্তর,	
messengerer,	মেসেঙ্গারের,	মেসেঞ্জারের,	
plate,	প্লেট,	প্লেট,	
licencedhari,	লিসেন্সেরারি,	লাইসেন্সধারী,	
cholochchitrai,	চলচিত্রাইর,	চলচ্চিত্রই,	
shrichaitanyadeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
conseervation,	কনসারভেশন,	কনসারভেশন,	
chirokoomari,	চিরকমারি,	চিরকুমারী,	
shudden,	সুদ্দেন,	সাডেন,	
ancient,	অ্যান্সেন্ট,	এনসিয়েন্ট,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
rajbondir,	রাজবনদীর,	রাজবন্দীর,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
steen,	স্টিন,	স্টেন,	
rena,	রেন,	রেনো,	
gonohottar,	গণহত্তর,	গণহত্যার,	
alpakichudin,	অল্কচিকিউডিন,	অল্পকিছুদিন,	
zack,	জ্যাক,	জ্যাক,	
uporitale,	উপরিতালে,	উপরিতলে,	
jaandrel,	জান্ড্রেল,	জাঁদরেল,	
machsoho,	মাচসহ,	মাছসহ,	
ketechila,	কেটেছিল,	কেটেছিল,	
raitasha,	রাইটস,	রাইটস,	
peri,	প্যারি,	পেরি,	
ostad,	অস্তাদ,	ওস্তাদ,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
phiqsa,	ফিক্স,	ফিক্স,	
taantira,	তাঁতিরা,	তাঁতিরা,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
ogrodoot,	অগ্রোদোত,	অগ্রদূত,	
gratha,	গ্রথ,	গ্রোথ,	
yucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
sorjur,	সর্জুর,	সরযূর,	
korle,	করলে,	করলে,	
pachchen,	পাছছেন,	পাচ্ছেন,	
deputii,	দেপুতি,	ডেপুটি,	
ajiban,	আজিবান,	আজীবন,	
konaa,	কোনা,	কোনা,	
pleena,	প্লেন,	প্লেন,	
prodip,	প্রোডিপ,	প্রদীপ,	
deebug,	দেবুগ,	ডিবাগ,	
abarte,	আবর্তে,	আবর্তে,	
gazee,	গেজ,	গেজ,	
ghotol,	ঘটল,	ঘটল,	
shoo,	সু,	শো,	
aansareer,	আনসারির,	আনসারীর,	
bimaataa,	বিমাতা,	বিমাতা,	
deaubande,	দিববাউদে,	দেওবন্দে,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
nopdnodir,	নপদনদির,	নদনদীর,	
maudeler,	মৌডেলের,	মডেলের,	
remakri,	রেমক্রি,	রেমাক্রী,	
objarvar,	অবজারভার,	অবজার্ভার,	
musalmanra,	মুশলামনার,	মুসলমানরা,	
cutie,	কুটি,	কিউটি,	
qinsa,	কিনস,	কিংস,	
dorun,	দরুণ,	দরুণ,	
hijrii,	হিজরি,	হিজরী,	
hurricane,	হারিকেন,	হ্যারিকেন,	
uzbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
chamski,	চামসি,	চমস্কি,	
akramer,	একরামের,	আকরামের,	
ajibooner,	আজিবুনের,	আজীবনের,	
lendl,	লেন্ড,	লেন্ডল,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
sikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
byan,	ব্যান,	ব্যাং,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
jaubanbati,	যৌবনবতী,	যৌবনবতী,	
damonmoolok,	ডামনমোলক,	দমনমূলক,	
sheekarer,	শিকারের,	শিকারের,	
bosturoi,	বস্তুরই,	বস্তুরই,	
plete,	প্লেট,	প্লেট,	
nepchooner,	নেপছুনের,	নেপচুনের,	
huk,	হুক,	হুক,	
jealand,	জিয়ান্ড,	জিল্যান্ড,	
choudhureeder,	চৌধুদীদের,	চৌধুরীদের,	
silabhara,	সিলভার,	সিলভার,	
digri,	ডিগ্রী,	ডিগ্রি,	
unit,	ইউনিট,	ইউনিট,	
mausumeo,	মাসুমেও,	মৌসুমেও,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
reliance,	রেলিয়েন্স,	রিলায়েন্স,	
karlo,	করলো,	কার্লো,	
lambaate,	লম্বাতে,	লম্বাটে,	
harbor,	হার্বর,	হারবার,	
bhenisa,	ভেইনস,	ভেনিস,	
vaisaho,	বৈসাহ,	ভাইসহ,	
inapharameeshana,	ইনফারমেনশন,	ইনফরমেশন,	
onkush,	অঙ্কুষ,	অংকুশ,	
haryken,	হারিকেন,	হ্যারিকেন,	
relance,	রেলেন্স,	রিলায়েন্স,	
mosjidtir,	মজজদিত্রীর,	মসজিদটির,	
jibjontu,	জীবজন্তু,	জীবজন্তু,	
paschater,	পশ্চাতের,	পশ্চাতের,	
sarjur,	সার্জুর,	সরযূর,	
taufik,	তৌফিক,	তৌফিক,	
claud,	ক্লাউড,	ক্লাউড,	
dupleex,	ডাপলেক্স,	ডুপ্লে,	
chhutee,	ছুটি,	ছুটি,	
licenshe,	লিসেন্স,	লাইসেন্স,	
shapod,	সাপদ,	শ্বাপদ,	
bharson,	ভার্সন,	ভারশন,	
shukna,	শুকনা,	শুকনা,	
shantaa,	সান্ত,	সান্তা,	
korusher,	কুরুশের,	ক্রুশের,	
akhando,	আখন্দ,	অখন্ড,	
tinhajar,	তিনহাজার,	তিনহাজার,	
benis,	বেনিস,	ভেনিস,	
asamanjashapurna,	অসমা্যসপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
kansater,	কানসাতের,	কানসাটের,	
jacker,	যাকের,	জ্যাকের,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
bonvumitey,	বনভুমিতে,	বনভূমিতে,	
mujibur,	মুজিবুর,	মুজিবুর,	
ghatleo,	ঘটতেও,	ঘটলেও,	
saarbharti,	সার্ভরটি,	সার্ভারটি,	
meterey,	মেটারে,	মিটারে,	
karpet,	কর্পেট,	কার্পেট,	
chalochchitraeer,	চলচিত্রীরার,	চলচ্চিত্রের,	
akik,	একিক,	আকিক,	
juktorashtreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
dharavahiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
phern,	ফার্ন,	ফার্ন,	
munshi,	মুনশী,	মুন্সী,	
jockei,	যকেই,	জকি,	
sulphate,	সালফাটে,	সালফেট,	
nilabho,	নিলাভ,	নীলাভ,	
armshtronj,	আর্সস্ট্রং,	আর্মস্ট্রং,	
calabe,	চলেবে,	চালাবে,	
cholochchitraeer,	চলচিত্রাইর,	চলচ্চিত্রের,	
hariken,	হারিকেন,	হ্যারিকেন,	
taffsherer,	তফফসারের,	তাফসীরের,	
utsahomulak,	উৎসামূলক,	উৎসাহমূলক,	
siiter,	সীটের,	শীতের,	
chamke,	চামকে,	চমকে,	
taunsheep,	টাউনশীপ,	টাউনশিপ,	
bhadaqa,	ভাদাকা,	ভদকা,	
maddhobir,	মাধ্ববীর,	মাধবীর,	
path,	পথ,	পাথ,	
note,	নোট,	নোটে,	
title,	টাইটল,	টাইটেল,	
trayte,	ট্রেট,	ট্রেতে,	
tennys,	টেনিস,	টেনিস,	
chaalaabi,	চালাবি,	চালাবে,	
anekeri,	অ্যানেকারি,	অনেকেরই,	
deraa,	দেরা,	ডেরা,	
farid,	ফরিদ,	ফরিদ,	
bolobhodro,	বলভোদরো,	বলভদ্র,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
platey,	প্লেট,	প্লেটে,	
teemothy,	টিমোথি,	টিমোথি,	
bhugol,	ভুগল,	ভূগোল,	
subade,	সুবাদে,	সুবাদে,	
bhageri,	ভাগেরী,	ভাগেরই,	
sayeed,	সায়েদ,	সাইদ,	
patthkromer,	পাঠ্যক্রমের,	পাঠক্রমের,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
deliwer,	ডিলিভের,	ডেলিভার,	
jubokey,	যুবকে,	যুবকে,	
grotha,	গ্রথ,	গ্রোথ,	
armstranj,	অর্সস্ট্রাং,	আর্মস্ট্রং,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
sulfete,	সালফাটে,	সালফেট,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
debating,	ডেবেটিং,	ডিবেটিং,	
soomita,	সুমিতা,	সুমিতা,	
alubokhara,	আলুবখরা,	আলুবোখারা,	
depootee,	ডেপোটি,	ডেপুটি,	
elakaa,	এলাকা,	এলাকা,	
theland,	টেল্যান্ড,	থাইল্যান্ড,	
location,	লোকেশন,	লোকেশন,	
vimshen,	ভিমশেন,	ভীমসেন,	
macher,	মেচের,	মাছের,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
bibek,	বিবেক,	বিবেক,	
mile,	মাইল,	মিলে,	
bikretaara,	বিক্রেটার,	বিক্রেতারা,	
pooshti,	পুষ্টি,	পুষ্টি,	
klaud,	ক্লাউড,	ক্লাউড,	
braille,	ব্রেল,	ব্রেইল,	
dubate,	দুবাতে,	ডুবাতে,	
karlosa,	কর্লসা,	কার্লোস,	
protjogiita,	প্রত্যগিগতা,	প্রতিযোগীতা,	
ekirokom,	একইকোরম,	একইরকম,	
qoda,	কোড,	কোডা,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
ibhila,	ইভিল,	ইভিল,	
tthela,	ঠেলা,	ঠেলা,	
shenior,	সিনিওর,	সিনিয়র,	
oshamonjosshoporno,	অসমসনযোপন্র,	অসামঞ্জস্যপূর্ণ,	
shfingtar,	স্ফিংটার,	স্ফিংটার,	
osamorik,	অসমারিক,	অসামরিক,	
obharbheeu,	অভারভিউ,	ওভারভিউ,	
deobonde,	দিবননদে,	দেওবন্দে,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
kingsh,	কিংস,	কিংস,	
peoples,	পিপলেস,	পিপলস্,	
asociatis,	অ্যাসোসিটিস,	এসোসিয়েটস,	
chhanee,	ছনি,	ছানি,	
osamonjoshyopurno,	অসমনযোস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
ekok,	একক,	একক,	
arsie,	আর্সি,	আরসিএ,	
vugorvey,	ভূগর্ভে,	ভূগর্ভে,	
shringga,	শৃঙ্গ,	শৃঙ্গ,	
kalniir,	কল্নীর,	কালনীর,	
jeebonjapon,	জীবনযাপন,	জীবনযাপন,	
fiks,	ফিক্স,	ফিক্স,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
kyaneela,	ক্যানেল,	ক্যানেল,	
brek,	ব্রেক,	ব্রেক,	
porijon,	পরিজন,	পরিজন,	
nutan,	নুটান,	নূতন,	
oopohoron,	অপহরণ,	অপহরন,	
skarrt,	স্কার্ট,	স্কার্ট,	
awrbit,	অরবিট,	অরবিট,	
engrezer,	ইংরেজের,	ইংরেজের,	
bidrohiderke,	বিদ্রোীদেরকে,	বিদ্রোহীদেরকে,	
shkolashtik,	স্কলাস্টিক,	স্কলাস্টিক,	
taffsher,	তফফের,	তাফসীর,	
iyutha,	ইউথ,	ইয়ুথ,	
prodiiper,	প্রোডাইপের,	প্রদীপের,	
vittiteow,	ভিত্তিতও,	ভিত্তিতেও,	
sekarone,	সেকারনে,	সেকারণে,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
notti,	নটটি,	নোটটি,	
elakatikey,	এলাকাতিকে,	এলাকাটিকে,	
khuni,	খুঁনি,	খুনি,	
aamudey,	আমুদে,	আমুদে,	
tooni,	টুনি,	টুনি,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
toroonderke,	তরুণ্ডেরকে,	তরুণদেরকে,	
emgee,	এমগি,	এমজি,	
sumi,	সুমি,	সুমি,	
samashti,	সমা্টি,	সমষ্টি,	
quata,	কুয়াট,	কোটা,	
cholechi,	চলেছি,	চলেছি,	
jakser,	যক্ষের,	যক্ষের,	
paner,	পানের,	পনের,	
masterer,	মাস্টারের,	মাস্টারের,	
horippur,	হরিপপুর,	হরিপুর,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
nesans,	নেসান্স,	নেশনস,	
uul,	উল,	উল,	
byakkhabyatito,	ব্যাক্ষাত্বিত,	ব্যাখ্যাতীত,	
saainyo,	সাইন্য,	সৈন্য,	
ohollar,	ওহললার,	অহল্যার,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
boponer,	বপনের,	বপনের,	
madeelim,	ম্যাডেলিং,	মডেলিং,	
eshiyetika,	এসিয়েটিক,	এশিয়াটিক,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
jalarong,	জলারন,	জলরঙ,	
thor,	থোর,	থর,	
sobchey,	সবছে,	সবচে,	
site,	সাইট,	সিটে,	
valobasakey,	ভালবাসকে,	ভালোবাসাকে,	
heights,	হাইটস,	হাইটস,	
plack,	প্লক,	প্ল্যাক,	
bolkarok,	বলকারক,	বলকারক,	
panero,	পানেরো,	পনের,	
thaii,	থাই,	থাই,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
nochiketa,	নৌচিকেত,	নচিকেতা,	
arakani,	অরাকনী,	আরাকানী,	
scoore,	স্কুরো,	স্কোর,	
shhow,	শও,	শো,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
lombate,	লম্বাতে,	লম্বাটে,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
emiratas,	এমেরাটেস,	এমিরেটাস,	
byomkesh,	ব্যমকেশ,	ব্যোমকেশ,	
osoborno,	অসবর্ণ,	অসবর্ণ,	
istone,	ইস্টোন,	স্টোন,	
pratimar,	প্রতিমার,	প্রতিমার,	
moomtaj,	মমতাজ,	মুমতাজ,	
jeess,	জেস,	জেস,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
phox,	ফক্স,	ফক্স,	
anuchcheder,	অনুচ্ছিদের,	অনুচ্ছেদের,	
nilkamal,	নীলকলমাল,	নীলকমল,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
bhenna,	ভেন্ন,	ভেন্না,	
mandope,	মন্ডপে,	মন্ডপে,	
sabhanetri,	সভানত্রী,	সভানেত্রী,	
gandhiir,	গানধীর,	গান্ধীর,	
godavari,	গদাবারী,	গোদাবরী,	
somraatder,	সম্তাতদের,	সম্রাটদের,	
ashe,	আসে,	আসে,	
moshzidti,	মুজদিদটি,	মসজিদটি,	
tuni,	টুনি,	টুনি,	
saseeja,	সসীজা,	সসেজ,	
wolapuk,	ওলাপুক,	ভোলাপুক,	
niropekshtar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
akkas,	এক্ষাস,	আককাস,	
hebhee,	হেভি,	হেভি,	
jamkaalo,	জমকালো,	জমকালো,	
footbalarer,	ফুটবলরের,	ফুটবলারের,	
bhaibonder,	ভাইবন্ডের,	ভাইবোনদের,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারীই,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
durgondho,	দুরগন্ধ,	দুর্গন্ধ,	
mosjidsoho,	মজ্জীবসহ,	মসজিদসহ,	
hert,	হার্ট,	হার্ট,	
shoccer,	সকের,	সকার,	
ganaparibahaner,	গণপরিবহারের,	গণপরিবহনের,	
thai,	থাই,	থাই,	
peshto,	পেষ্ট,	পেষ্ট,	
cn,	সিনি,	সিএন,	
angkush,	অঙ্কুষ,	অংকুশ,	
cholochchitreeo,	চলচিত্রিত্রও,	চলচ্চিত্রেও,	
jacqsan,	জক্সন,	জ্যাকসন,	
prettii,	প্রেটি,	প্রিটি,	
palashir,	পলাসির,	পলাশীর,	
taala,	তোলা,	তালা,	
adhattikotar,	আধাত্বিকতার,	আধ্যাত্মিকতার,	
sushri,	সুশ্রী,	সুশ্রী,	
valobasen,	ভালোবেশন,	ভালোবাসেন,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
aakabar,	আকাবার,	আকাবার,	
alkatra,	আলকাত্র,	আলকাতরা,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
aholyar,	অহল্যার,	অহল্যার,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
mail,	মেল,	মাইল,	
meetropalitana,	মেট্রোপোলিটন,	মেট্রোপলিটন,	
anis,	অ্যানিস,	আনিস,	
bhushi,	ভুঁসি,	ভুষি,	
aaeerese,	আইরেশে,	আইরেসে,	
pooloo,	পুলো,	পোলো,	
kyatagorir,	ক্যাটগারির,	ক্যাটাগরির,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
sitting,	সিটিং,	সিটিং,	
ekroop,	একরুপ,	একরূপ,	
mousumei,	মৌসুমেই,	মৌসুমেই,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
nirgun,	নির্গুণ,	নির্গুণ,	
karpeter,	কর্পটের,	কার্পেটে,	
lokhindare,	লক্ষিণদারে,	লখিন্দরের,	
stark,	স্টার্ক,	স্টার্ক,	
ajijur,	আজিজুর,	আজিজুর,	
samany,	সমানী,	সামান্য,	
sotteo,	সত্যেও,	সত্ত্বেও,	
debete,	দেবেতে,	ডিবেট,	
parkin,	পার্কিন,	পার্কিং,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
bikaargrasta,	বিকারগ্রাস্ট,	বিকারগ্রস্ত,	
teknokret,	টেকনক্রট,	টেকনোক্র্যাট,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
shaalehaa,	সালেহা,	সালেহা,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
moorali,	মুরালি,	মুরলী,	
johny,	জনি,	জনি,	
gaphiloti,	গাফিলটি,	গাফিলতি,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
nobotom,	নবতম,	নবতম,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
radhanogor,	রাধানগর,	রাধানগর,	
rephlex,	রেফলেক্স,	রিফ্লেক্স,	
schalastic,	স্কলাসটটিক,	স্কলাস্টিক,	
projononkal,	প্রোনননক্লল,	প্রজননকাল,	
depp,	ডেপ,	ডেপ,	
bbs,	বিএসসি,	বিবিএস,	
mumtajer,	মুমতাজের,	মুমতাজের,	
anhu,	অনু,	আনহু,	
societytey,	সোসিয়েটিতে,	সোসাইটিতে,	
qrita,	ক্রিত,	ক্রীট,	
naobihar,	নৌবিহার,	নৌবিহার,	
romnar,	রম্নার,	রমনার,	
aazaan,	আজান,	আজান,	
paadee,	পাদে,	পাড়ে,	
baharamapurer,	বহরামপুরের,	বহরমপুরের,	
aashtikotaa,	আস্টিকতা,	আস্তিকতা,	
bifal,	বিফল,	বিফল,	
manahputa,	মনোপুততা,	মনঃপুত,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
udbodhony,	উদ্ববধনী,	উদ্বোধনী,	
oichchhik,	উচ্ছিক,	ঐচ্ছিক,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
qarpeta,	কর্পট,	কার্পেট,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
mele,	মেলে,	মাইল,	
yak,	যক,	ইয়াক,	
ahalya,	আহল্য,	অহল্যা,	
byomkes,	ব্যমকেস,	ব্যোমকেশ,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
gardeena,	গর্ডেন,	গার্ডেন,	
matorom,	মাতরম,	মাতরম,	
porichhonnota,	পরিচন্ননা,	পরিচ্ছন্নতা,	
peeri,	পেরি,	পেরি,	
navel,	নেভেল,	নভেল,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
kanflikt,	কানফলিক্ট,	কনফ্লিক্ট,	
parqasa,	পার্কস,	পার্কস,	
ballabh,	বললাভ,	বল্লভ,	
gara,	গরা,	গোর,	
naaneer,	নানীর,	নানীর,	
charrjito,	চার্জিত,	চার্জিত,	
korkat,	কর্কাত,	কর্কট,	
remacri,	রেমমক্রি,	রেমাক্রী,	
zzonite,	যোনিতে,	যোনীতে,	
jommoo,	জম্মু,	জম্মু,	
muhit,	মুহিত,	মুহিত,	
ojouno,	অজৌনন,	অযৌন,	
taorat,	ত্রতার,	তওরাত,	
suparahira,	সুপরাহীরা,	সুপারহিরো,	
venice,	ভেনিস,	ভেনিস,	
bachchan,	বাচ্চান,	বচ্চন,	
tatey,	তাটে,	তাতে,	
nodiike,	নোদীকে,	নদীকে,	
sqarta,	স্কার্ট,	স্কার্ট,	
gatihin,	গতিহীন,	গতিহীন,	
gorjon,	গর্জন,	গর্জন,	
nirapattamulak,	নীরপত্তমূলক,	নিরাপত্তামূলক,	
averej,	অ্যাভারেজ,	এভারেজ,	
bihare,	বিহারে,	বিহারে,	
shikshakbrindo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
divya,	দিব্য,	দিব্যা,	
prakalpogulor,	প্রকালগোলোর,	প্রকল্পগুলোর,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
jonsha,	জংস,	জোন্স,	
maddhukkori,	মাধ্যকুরী,	মাধুকরী,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
jounatar,	যৌনতার,	যৌনতার,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
raiter,	রাইটের,	রাইটের,	
phareksha,	ফোরেক্স,	ফরেক্স,	
mishal,	মিশাল,	মিশাল,	
punch,	পাঞ্চ,	পুঞ্চ,	
footonto,	ফুটন্টো,	ফুটন্ত,	
daun,	ডাউন,	ডাউন,	
koordira,	কুর্দিরা,	কুর্দিরা,	
koonti,	কুনটি,	কুন্তী,	
danata,	দানাতা,	ডোনাট,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
hajaribag,	হাজীরবীগ,	হাজারিবাগ,	
madaul,	মাদাল,	মাদল,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
bamon,	ব্যামন,	বামন,	
vumija,	ভুমিজা,	ভূমিজ,	
ghaghot,	ঘাঘত,	ঘাঘট,	
roktokshoroney,	রক্তক্ষরণে,	রক্তক্ষরণে,	
futonta,	ফুটন্ট,	ফুটন্ত,	
yaaq,	যক,	ইয়াক,	
addhatikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
ancholtike,	আঞ্চলতিকে,	অঞ্চলটিকে,	
hooldim,	হোলদিং,	হোল্ডিং,	
postay,	পোস্টে,	পোস্টে,	
nathibhookto,	নথিভুক্ত,	নথিভুক্ত,	
debdebi,	দেবদেবী,	দেবদেবী,	
raktaksharaner,	রক্তক্ষণের,	রক্তক্ষরণের,	
hossne,	হোসনে,	হোসনে,	
ganana,	গণনা,	গননা,	
saurce,	সোর্স,	সোর্স,	
madhabike,	মাধববীকে,	মাধবীকে,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
kumari,	কুমারী,	কুমারী,	
samosto,	সমস্ত,	সমস্ত,	
byaboharkariderkey,	ব্যবহারকেরেদকরে,	ব্যবহারকারীদেরকে,	
sekarane,	সেকারনে,	সেকারণে,	
atitkaale,	অতীতকালে,	অতীতকালে,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
kaleo,	কলেও,	কালেও,	
dibate,	দিবাতে,	ডিবেট,	
masto,	মস্ত,	মাস্ত,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
abhidhanik,	অভিধানিক,	অভিধানিক,	
wul,	উল,	উল,	
kanisttha,	কািষ্ঠ,	কনিষ্ঠ,	
madhukooree,	মধুকুরী,	মাধুকরী,	
nondolaal,	নন্দললাল,	নন্দলাল,	
oshamorik,	অসামরিক,	অসামরিক,	
ramdhanu,	রম্ধানু,	রামধনু,	
chhootochhuti,	ছুটোচুটি,	ছুটোছুটি,	
taimas,	টাইমস,	টাইমস্,	
conservetion,	কনসোরভেশন,	কনসারভেশন,	
yuroo,	ইউরো,	ইউরো,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
uparjaner,	উপারজনের,	উপার্জনের,	
jibjantu,	জীবজনুত্ত,	জীবজন্তু,	
kormoke,	কর্মকে,	কর্মকে,	
shyooter,	স্যুটের,	শ্যুটার,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
atmabishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
niketon,	নিকেটন,	নিকেতন,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
istoniya,	ইস্টোনিয়া,	এস্তোনিয়া,	
don,	ডন,	দোন,	
nikote,	নিকটে,	নিকটে,	
mitre,	মাইট্রে,	মিত্র,	
tinage,	তিনাগে,	টিনেজ,	
source,	সোর্স,	সোর্স,	
troop,	ট্রুপ,	ট্রুপ,	
raktaksharaney,	রক্তক্ষণে,	রক্তক্ষরণে,	
queri,	কুরি,	কোয়েরি,	
tiner,	টাইনের,	তিনের,	
dolu,	দলু,	ডলু,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
dargah,	দরগাহ,	দরগাহ,	
labonaktotar,	লবণাক্ততার,	লবণাক্ততার,	
postac,	পোস্টক,	পোস্টকে,	
hajarti,	হারটি,	হাজারটি,	
dadar,	দাদার,	দাদার,	
manaber,	মানবের,	মানবের,	
boudher,	বৌদের,	বৌদ্ধের,	
munsi,	মুনসী,	মুন্সী,	
ogovir,	অগভীর,	অগভীর,	
sucharita,	সূচরিত,	সুচরিতা,	
boudha,	বৌদ্ধ,	বৌদ্ধ,	
udbhabani,	উদ্ভবনী,	উদ্ভাবনী,	
shooknaa,	শুকনা,	শুকনা,	
bhangley,	ভাঙলে,	ভাঙলে,	
corymb,	করিম্ব,	করিম,	
