steitt,	স্টেট,	স্টেইট,	
mooldoova,	মুলদোও,	মলদোভা,	
srichoitonnodeb,	শ্রীচৈতননদদেব,	শ্রীচৈতন্যদেব,	
basatey,	বসাতে,	বাসাতে,	
shajano,	শাজান,	সাজানো,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
objarvar,	অব্যর্ভর,	অবজার্ভার,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
skirt,	স্কার্ট,	স্কার্ট,	
chotogolper,	ছোটোগলপের,	ছোটগল্পের,	
tookoo,	টোকু,	টুকু,	
joistha,	জৈষ্ঠা,	জ্যৈষ্ঠ,	
probeshon,	প্রবেশন,	প্রবেশন,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
thela,	থেলা,	ঠেলা,	
messenjer,	মেসেঞ্জের,	মেসেঞ্জার,	
taantira,	তানটিরা,	তাঁতিরা,	
townshhip,	তনশীপ,	টাউনশিপ,	
ashankai,	অসংক্যাই,	আশঙ্কাই,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
uchchotaro,	উচ্চতারও,	উচ্চতর,	
kakhonyoba,	কান্যবাহ,	কখনওবা,	
chalachchitroke,	চাচাচিত্রকে,	চলচ্চিত্রকে,	
sangasthati,	সংস্থাটি,	সংস্থাটি,	
ivam,	ইভাম,	ইভিএম,	
areek,	অরিক,	আরিক,	
alpoi,	অ্যাপো,	অল্পই,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
dumaa,	দুমা,	দুমা,	
oopohoron,	অপহরণ,	অপহরন,	
addabaj,	আদ্বাবাজ,	আড্ডাবাজ,	
sofie,	সফি,	সোফি,	
harisoner,	হারিশনের,	হ্যারিসনের,	
holdeeng,	হোলদিং,	হোল্ডিং,	
highcomissione,	হাইকমিশনের,	হাইকমিশনে,	
prokolpoti,	প্রকোলপিতি,	প্রকল্পটি,	
taalaal,	তালাল,	তালাল,	
sarbhare,	সর্ভারে,	সার্ভারে,	
modelgulo,	মোদাগলু,	মডেলগুলো,	
haran,	হরণ,	হারান,	
byaboharkari,	ব্যাবহররকারী,	ব্যবহারকারীই,	
shlok,	স্লো,	শ্লোক,	
patiganiter,	পতিগণিতের,	পাটিগণিতের,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
beshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
dacop,	ডাকোপ,	দাকোপ,	
ekoirokom,	একইরকম,	একইরকম,	
saoum,	সাম,	সাওম,	
pletoo,	প্লেত,	প্লেটো,	
bade,	বেড,	বাদে,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
anadhikar,	অনাধিকার,	অনধিকার,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
niropekkho,	নিরপপেক্ষ,	নিরপেক্ষ,	
puroheetra,	পুরোহিত্র,	পুরোহিতরা,	
osommotite,	অসমমিতে,	অসম্মতি,	
udbodhoney,	উদ্বধনে,	উদ্বোধনে,	
daaktikit,	দাক্তিকিত,	ডাকটিকিট,	
azadeer,	আজাদীর,	আজাদীর,	
ralof,	রোলফ,	রালফ,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
marpit,	মারপিট,	মারপিট,	
nischay,	নিশ্চে,	নিশ্চয়,	
palbongsher,	পালবংশের,	পালবংশের,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
bishod,	বিশদ,	বিষদ,	
pustio,	পুস্তিও,	পুষ্টি,	
gadhaa,	গাধা,	গাধা,	
bodhirota,	বধীরতা,	বধিরতা,	
hoomes,	হুমে,	হোমস,	
abul,	আবুল,	আবুল,	
raya,	রোয়া,	রায়,	
bolechi,	বলেছি,	বলেছি,	
divya,	দিব্য,	দিব্যা,	
wault,	উল্ল,	ভল্ট,	
padee,	পেড,	পাড়ে,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
simons,	সিমনস,	সিমন্স,	
marketin,	মার্কেটিন,	মার্কেটিং,	
advansed,	অ্যাডভাসেড,	অ্যাডভান্সড,	
bhenisa,	ভিনিস,	ভেনিস,	
messengerer,	মেসিঙ্জারের,	মেসেঞ্জারের,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
oshovyo,	অসহ্য,	অসভ্য,	
eshkol,	এসকল,	এসকল,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
chalachchitra,	চালচি্ত্র,	চলচ্চিত্র,	
norpholk,	নরফলক,	নরফোক,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
elakashaho,	এলাকাশহ,	এলাকাসহ,	
maadhoori,	মাধুরি,	মাধুরী,	
jonee,	জোন,	জনি,	
baarnish,	বার্নিশ,	বার্নিশ,	
browser,	ব্রাসের,	ব্রাউজার,	
neelkamal,	নীলকাল,	নীলকমল,	
durgandha,	দুর্গান্ধ,	দুর্গন্ধ,	
gulen,	গুলেন,	গুলেন,	
dharatir,	ধারাটির,	ধারাটির,	
nodiigulo,	নদীিগুলো,	নদীগুলো,	
oshamanno,	ওসমান্য,	অসামান্য,	
halloin,	হাললাইন,	হ্যালোইন,	
hundai,	হান্ডাই,	হুন্দাই,	
sharthe,	স্বার্থ,	স্বার্থে,	
taale,	টেল,	তালে,	
addhatikotar,	আধ্যতিকতার,	আধ্যাত্মিকতার,	
zommu,	জম্মু,	জম্মু,	
modele,	মোদেল,	মডেলে,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
bachaikrito,	বাচেকীকৃত,	বাছাইকৃত,	
manhputo,	মানপুত,	মনঃপুত,	
uchchataro,	উচ্চতারও,	উচ্চতর,	
shaamiijiir,	স্বামীজীর,	স্বামীজীর,	
ministara,	মিনিস্টার,	মিনিস্টার,	
nickel,	নিক্লে,	নিকেল,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
dipei,	দিপেই,	দ্বীপেই,	
chhathke,	ছাঁকে,	ছাতকে,	
prabhu,	প্রভূ,	প্রভু,	
cooling,	কুলিং,	কুলিং,	
tiuning,	টিউনিং,	টিউনিং,	
bulan,	বুলান,	বুলান,	
hosain,	হোসাইন,	হোসেইন,	
jeebanjapon,	জীবন্যপুন,	জীবনযাপন,	
sosej,	সসেজ,	সসেজ,	
sanmukh,	সনমুখ,	সন্মুখ,	
iukyaliptasha,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
ponthaar,	প্যান্থার,	পন্থার,	
bosstonte,	বস্তননে,	বসন্তে,	
deejeejer,	ডিজিজের,	ডিজিজের,	
asaborno,	অসবর্ন,	অসবর্ণ,	
laaishensh,	লাইসেন্স,	লাইসেন্স,	
neelabh,	নিলাভ,	নীলাভ,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
dolguloo,	দলগুলো,	দলগুলোও,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
twakei,	ত্বকেই,	ত্বকেই,	
andaman,	আন্দমান,	আন্দামান,	
plato,	প্লট,	প্লেটো,	
aipiela,	অ্যাপেল,	আইপিএল,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
jubokra,	যুবক্রা,	যুবকরা,	
kolkarkhana,	কলকারখানা,	কলকারখানা,	
senior,	সেনিয়র,	সিনিয়র,	
paksenara,	পককসেেরা,	পাকসেনারা,	
monjushree,	মন্জুর্সী,	মঞ্জুশ্রী,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
addhattikota,	আধ্যতি্ততা,	আধ্যাত্মিকতা,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
jakkher,	যক্ষের,	যক্ষের,	
sibraj,	শিবরাজ,	শিবরাজ,	
dobhaar,	দভার,	ডোভার,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
masjidke,	মস্জিদকে,	মসজিদকে,	
chondrima,	চান্দ্রিম,	চন্দ্রিমা,	
jamjomat,	যজ্মমাত,	জমজমাট,	
gori,	গরি,	গোরি,	
debdebie,	দেবদেবি,	দেবদেবী,	
haitasha,	হাইটাস,	হাইটস,	
pathanatak,	পথনাতক,	পথনাটক,	
jeebjontu,	জীবনযুত্,	জীবজন্তু,	
troup,	ট্রয়,	ট্রুপ,	
malish,	মালিশ,	মালিশ,	
reflex,	রেফল্্স,	রিফ্লেক্স,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
aparogata,	অপরোগত,	অপারগতা,	
yuqeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
musolmanderkey,	মুসমালননরকে,	মুসলমানদেরকে,	
agrodut,	অগ্রদুত,	অগ্রদূত,	
borana,	বরাণা,	বোরন,	
maaktume,	মাকতুমে,	মাকতুম,	
tikka,	টিক্,	টিক্কা,	
anish,	অনিশ,	আনিস,	
utsahomulak,	উত্মসমূলক,	উৎসাহমূলক,	
shef,	সেফ,	শেফ,	
jonopoth,	জনপথ,	জনপথ,	
lainde,	লেই্ডা,	ল্যান্ডে,	
mulvitti,	মুলভিত্,	মূলভিত্তি,	
sahojlabhbhotar,	সহজভলভাটার,	সহজলভ্যতার,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
jaater,	যতের,	জাতের,	
korimpur,	করিমপুর,	করিমপুর,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
jaubanbati,	যৌববন্তি,	যৌবনবতী,	
animated,	অনিমাতেদ,	এনিমেটেড,	
silvi,	সিলভী,	সিলভি,	
cheentaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
graambashee,	গ্রাম্াসী,	গ্রামবাসী,	
asommati,	অসম্মটি,	অসম্মতি,	
futbolarder,	ফুটবলরদের,	ফুটবলারদের,	
shchalastik,	স্লালাস্টিক,	স্কলাস্টিক,	
korimkey,	করিমকে,	করিমকে,	
pretty,	প্রেত,	প্রিটি,	
samratder,	সমর্তদের,	সম্রাটদের,	
donate,	ডোনাতে,	ডোনাট,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
peterer,	পেতারের,	পিটারের,	
karaa,	করা,	কারো,	
bohorompurer,	বহরামপুরের,	বহরমপুরের,	
basakey,	বসাকে,	বাসাকে,	
she,	সেই,	সে,	
ashshociatesh,	অ্যাসোসিটেশ,	এসোসিয়েটস,	
bage,	বেজ,	বাগে,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
park,	পার্ক,	পার্ক,	
chedon,	চেদন,	ছেদন,	
tuso,	টুস,	তুসো,	
muktilabh,	মুক্তিলাভ,	মুক্তিলাভ,	
gora,	গরা,	গোর,	
biharey,	বিহারে,	বিহারে,	
gabeshana,	গবেষণা,	গবেষনা,	
cheph,	চেফ,	শেফ,	
gajipur,	গাজিপুর,	গাজীপুর,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
abhisongson,	অভিষংসংশ,	অভিশংসন,	
ponero,	পনেরো,	পনের,	
khamba,	খাম্বা,	খাম্বা,	
bhumijo,	ভূমিজও,	ভূমিজ,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
muzibur,	মুজিবর,	মুজিবুর,	
bondira,	বন্দিরা,	বন্দীরা,	
ssahocorzo,	সাহকর্য,	সাহচর্য,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
harbore,	হারবরে,	হারবারে,	
bhabnake,	ভবনাকে,	ভাবনাকে,	
katbe,	কাটবে,	কাটবে,	
agrodoot,	অগ্রদুত,	অগ্রদূত,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
hitokar,	হিতকার,	হিতকর,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
shekarone,	সেকারণে,	সেকারণে,	
pacchen,	পাচ্ছেন,	পাচ্ছেন,	
komandar,	কমান্ডার,	কমাণ্ডার,	
daackticket,	ডাক্তিকট,	ডাকটিকিট,	
laz,	লজ,	লাজ,	
moithili,	মৈঠিলী,	মৈথিলি,	
moshzidke,	মস্জিদকে,	মসজিদকে,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
nursery,	নার্সারী,	নার্সারি,	
mashjid,	মস্জিদ,	মসজিদ,	
pirujali,	পিরুজালি,	পিরুজালী,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
kanshater,	কংস্ের,	কানসাটের,	
chiranton,	চিরত্ন,	চিরন্তন,	
vandar,	ভান্ডার,	ভাণ্ডার,	
boron,	বরণ,	বোরন,	
lyaataa,	ল্যাট,	ল্যাটা,	
omanisa,	অমানিস,	অমানিশা,	
parq,	পার্ক,	পার্ক,	
rk,	এরএকি,	আরকে,	
alpa,	আল্প,	অল্প,	
futbolarra,	ফুটবলররা,	ফুটবলাররা,	
akkash,	একাশ,	আককাস,	
nirapekkho,	নিরেপ্ক,	নিরপেক্ষ,	
kanda,	কান্ড,	কাণ্ড,	
huk,	হুক,	হুক,	
sabrakomer,	সাবরকামের,	সবরকমের,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
bosobben,	বসবেন,	বসবেন,	
phiksa,	ফিক্স,	ফিক্স,	
jens,	জেন্স,	জিন্স,	
formet,	ফরমেট,	ফরম্যাট,	
teyt,	টেইট,	টেট,	
vangchur,	ভাঙচুর,	ভাংচুর,	
direktareta,	ডিরেক্রেট,	ডিরেক্টরেট,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
chaabir,	চাবীর,	চাবির,	
chetona,	চেতনা,	চেতনা,	
dakten,	ডাকতেন,	ডাকতেন,	
ameriqa,	অ্যামেরিকা,	আমেরিকা,	
kareer,	কারীর,	কারীর,	
rubidiyam,	রুবিদিয়াম,	রুবিডিয়াম,	
lyata,	লেটা,	ল্যাটা,	
korkot,	করকাৎ,	কর্কট,	
thakani,	ঠাকানি,	থাকেনি,	
bhangle,	ভাঙলে,	ভাঙলে,	
antarbhukta,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
jonoshomaj,	জনসমজা,	জনসমাজ,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
jibanta,	জীবন্ত,	জীবন্ত,	
shuperheiro,	সুপারিহর,	সুপারহিরো,	
spredshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
dharabahikvabe,	ধারাবিহকভাবে,	ধারাবাহিকভাবে,	
jemser,	জেমসের,	জেমসের,	
oppohoron,	অপহরণ,	অপহরন,	
maadhoobir,	মাধবীর,	মাধবীর,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
otorkeitey,	অতরকেতে,	অতর্কিতে,	
chalchhe,	চলছে,	চলছে,	
gyandas,	জ্যান্ডাস,	জ্ঞানদাস,	
gazipur,	গাজিপুর,	গাজীপুর,	
mahasabha,	মহাসাভা,	মহাসভা,	
ajibon,	আজিবন,	আজীবন,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
baieq,	ব্যাক,	বাইক,	
juktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
vool,	ভুল,	উল,	
koommatei,	কমমেটে,	কমাতেই,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
said,	সেইড,	সাইদ,	
homsher,	হোমের,	হোমসের,	
kormoke,	কর্মকে,	কর্মকে,	
noitikatabodh,	নৈতিকতবাধো,	নৈতিকতাবোধ,	
quata,	কুটা,	কোটা,	
ja,	যা,	জ্যা,	
behramporer,	বেহর্মপুরের,	বহরমপুরের,	
laaisheesh,	লাইস,	লাইসেন্স,	
carlas,	কার্লস,	কার্লোস,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
phaksa,	ফক্স,	ফক্স,	
marmaaraa,	মার্মার,	মারমারা,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
chapal,	চাপাল,	চপল,	
daakteekiter,	ডাক্তিকিটের,	ডাকটিকিটের,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
timesh,	টিইমস,	টাইমস্,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
chandrimaa,	চান্দ্রিমা,	চন্দ্রিমা,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
metrapalitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
landin,	ল্যান্ডিং,	ল্যান্ডিং,	
shekender,	সেকেন্ডার,	সেকেন্ডের,	
sothikota,	সথিকতা,	সঠিকতা,	
messengar,	মেসেঙ্গর,	মেসেঞ্জার,	
shomser,	শমসের,	সমশের,	
koruna,	করুনা,	করুণা,	
maniktala,	মানিকটা,	মানিকতলা,	
shaluk,	শালুক,	শালুক,	
ballrum,	ব্যালার,	বলরুম,	
semai,	সেমাই,	সেমাই,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
shaleha,	সালেহ,	সালেহা,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
bhugarbhe,	ভুগর্ভে,	ভূগর্ভে,	
thailandsoho,	থাইলস্থাসগ,	থাইল্যান্ডসহ,	
gudamjato,	গুদমজাত,	গুদামজাত,	
rooplal,	রূপলল,	রূপলাল,	
ankita,	অংকিত,	অঙ্কিতা,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
estooniya,	স্টোনোসিয়া,	এস্তোনিয়া,	
ganosochetonota,	গণসোচনাতনতা,	গণসচেতনতা,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
bi,	বি,	বি,	
sikar,	সিকার,	শিকার,	
konphlikt,	কনফিল্কট,	কনফ্লিক্ট,	
hugheke,	হুঘেে,	হিউজকে,	
debete,	দেবেতে,	ডিবেট,	
marmara,	মার্মার,	মারমারা,	
ko,	কো,	কেও,	
moqam,	মোকাম,	মোকাম,	
deebating,	ডেববটিং,	ডিবেটিং,	
nirantar,	নির্নাত,	নিরন্তর,	
tat,	তৎ,	তাত,	
sumoo,	সুমো,	সুমো,	
dologuloo,	দলগুলো,	দলগুলোও,	
sotorkokaree,	সতর্ককারী,	সতর্ককারী,	
godavari,	গোদাবারী,	গোদাবরী,	
pratul,	প্রতুল,	প্রতুল,	
niurolazi,	নিউরোলি,	নিউরোলজি,	
eokee,	একে,	এওকি,	
jorer,	যোরের,	জ্বরের,	
queri,	কুরি,	কোয়েরি,	
sutir,	সুটির,	সুতির,	
prapoker,	প্রপাকের,	প্রাপকের,	
aarakaner,	আরাকানের,	আরাকানের,	
anis,	অ্যানিস,	আনিস,	
pracharana,	প্রচারনা,	প্রচারণা,	
aboshore,	অবসরে,	অবসরে,	
shomsti,	সমস্তি,	সমষ্টি,	
nirapattamulok,	নিরাত্মপথলক,	নিরাপত্তামূলক,	
palki,	পলকি,	পাল্কি,	
vorodwaj,	ভররদাজ,	ভরদ্বাজ,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
nodimatrik,	নদদমীতারিক,	নদীমাতৃক,	
naraphooka,	নাফরাক,	নরফোক,	
akeeb,	একেব,	আকিব,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
tekno,	টেকনো,	টেকনো,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
miari,	ম্যারি,	ম্যারি,	
shiropa,	শিরোপা,	শিরোপা,	
upobashee,	উপবাসী,	উপবাসী,	
harbourey,	হার্বরে,	হারবারে,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
nirapekkhotaar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
jeesa,	জেস,	জেস,	
fall,	ফল,	ফল,	
sirameeks,	সিরামেক্স,	সিরামিকস,	
karmer,	কার্মের,	কর্মের,	
santani,	সন্তানী,	সনাতনী,	
silver,	সিলভার,	সিলভার,	
planey,	প্লেনে,	প্লেনে,	
akritakarjo,	আক্রীকাত্য,	অকৃতকার্য,	
adhyattikota,	আধ্যাত্বিকতা,	আধ্যাত্মিকতা,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
pustir,	পুষ্টির,	পুষ্টির,	
soomee,	সুমি,	সুমি,	
monir,	মনির,	মনির,	
naajee,	নাজি,	নাত্সি,	
saccar,	স্ক্চার,	সকার,	
daqop,	ডাকোপ,	দাকোপ,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
susama,	সুসমা,	সুসম,	
nicqel,	নিক্লে,	নিকেল,	
voterer,	ভোতরের,	ভোটারের,	
breaqthrough,	ব্রেক্াচ,	ব্রেকথ্রু,	
bagicha,	বাগিচা,	বাগিচা,	
nazad,	নাজদ,	নজদ,	
rooby,	রোবি,	রুবি,	
jinsa,	জিনস,	জিন্স,	
potochitro,	পতচিত্র,	পটচিত্র,	
marjito,	মার্জিত,	মার্জিত,	
shcore,	স্কোর,	স্কোর,	
pettern,	প্যাটার্ন,	প্যাটার্ন,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
oedipus,	ওয়েডিপ,	ইডিপাস,	
proo,	প্রো,	প্রো,	
rupantor,	রূপান্তর,	রুপান্তর,	
rooshod,	রুষদ,	রুশদ,	
apoharon,	অপহরণ,	অপহরন,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
nirgamon,	নির্মাজন,	নির্গমন,	
chaka,	চাকা,	চাকা,	
aiisa,	আইএস,	আইএএস,	
laesensh,	লেসেন্স,	লাইসেন্স,	
basaalt,	বেসল্ট,	ব্যাসল্ট,	
kutir,	কুটির,	কুটির,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
obodamoner,	অবদমানের,	অবদমনের,	
dharabhashyokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
manaber,	মানবের,	মানবের,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
kinsha,	কিনসা,	কিংস,	
jacker,	জাকের,	জ্যাকের,	
olpoi,	অলপাই,	অল্পই,	
haridwar,	হরিদ্্যার,	হরিদ্বার,	
prakalpoti,	প্রকালপটি,	প্রকল্পটি,	
rilayeensa,	রিলেয়েন্স,	রিলায়েন্স,	
bhogirath,	ভগগীরথ,	ভগীরথ,	
torabganj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
churger,	চুর্গের,	চার্জের,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
moushumer,	মৌশুমের,	মৌসুমের,	
ooeepoka,	ওইপোকা,	উইপোকা,	
meghachonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
rato,	রত,	রত,	
tottoraat,	তত্ররাত,	তওরাত,	
dhouto,	ধৌত,	ধৌত,	
saaralya,	সারাল্য,	সারল্য,	
sovanetree,	সভানেত্রী,	সভানেত্রী,	
bytes,	বিটেস,	বাইটস,	
aakkaas,	আককাশ,	আককাস,	
ase,	আসে,	আসে,	
laj,	লজ,	লাজ,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
bimata,	বিমত,	বিমাতা,	
eevil,	এভিল,	ইভিল,	
nutoner,	নুটোনের,	নূতনের,	
nutunotto,	নতুনত্ব,	নতুনত্ব,	
kadorer,	কাদরের,	কদরের,	
pravur,	প্রভূর,	প্রভুর,	
roi,	রই,	রায়,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
pachtar,	পাঁচার,	পাঁচটার,	
herpher,	হারফার,	হেরফের,	
seektara,	সেক্টর,	সেক্টর,	
kaansaater,	কানসাতের,	কানসাটের,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
ishpredshhiit,	ইস্প্রেডসি,	স্প্রেডশীট,	
atitkale,	অতীতকালে,	অতীতকালে,	
prostototo,	প্রস্তাত,	প্রস্ত্তত,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
natsi,	নাৎসি,	নাত্সি,	
addabaz,	আদ্বাবাজ,	আড্ডাবাজ,	
nimitte,	নিমিত্যে,	নিমিত্তে,	
radhanagar,	রাধানাগর,	রাধানগর,	
vaskor,	ভাস্কর,	ভাস্কর,	
shyooter,	শ্যুতের,	শ্যুটার,	
mukhyo,	মূখ্য,	মুখ্য,	
cinematographar,	সিনিগ্যাংফরর,	সিনেমাটোগ্রাফার,	
lyataa,	লেটা,	ল্যাটা,	
digree,	ডিগ্রী,	ডিগ্রি,	
tarasa,	তারাসা,	টেরেসা,	
hepetitis,	হেপটিটিস,	হেপাটাইটিস,	
nutaner,	নুটানের,	নূতনের,	
shtona,	স্টন,	স্টোন,	
qoda,	কোড,	কোড,	
oswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
shartho,	স্বার্থ,	স্বার্থ,	
sorajur,	সরাজুর,	সরযূর,	
ganohatyar,	গণহাত্যর,	গণহত্যার,	
amiretus,	এমিরেটাস,	এমিরেটাস,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
phorex,	ফোর্ক্স,	ফরেক্স,	
vobanir,	ভবানির,	ভবানীর,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
durgoto,	দুর্গত,	দূর্গত,	
pacbbar,	পাঁববর,	পাঁচবার,	
laala,	লালা,	লালা,	
artherer,	অর্থারের,	আর্থারের,	
fanser,	ফাঁসের,	ফাঁসের,	
bites,	বিটেশ,	বাইটস,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
shitey,	শিটে,	শীতে,	
danabder,	দানবদের,	দানবদের,	
hajeerhatt,	হাজারহাট,	হাজিরহাট,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
afzol,	আফজা,	আফজল,	
aatto,	আত্ব,	আত্ম,	
ganokontho,	গণকক্্ঠ,	গণকণ্ঠ,	
dorgaho,	দরগাহ,	দরগাহ,	
shuri,	সুরি,	সুরি,	
emergency,	এমের্জনে,	এমার্জেন্সি,	
kushoomba,	কুসম্ব,	কুশুম্বা,	
assaciates,	অ্যাসোসিয়েশ,	এসোসিয়েটস,	
baikalyo,	বৈকলক্য,	বৈকল্য,	
bishad,	বিশদ,	বিষদ,	
kona,	কোণা,	কণা,	
jokey,	যোকে,	জকি,	
sikha,	শিখা,	শিখ,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
oxfordey,	অক্সোর্ডে,	অক্সফোর্ডে,	
embaed,	এমবাডেড,	এম্বেড,	
kiiborde,	কিবোর্ডে,	কীবোর্ড,	
chire,	চিরে,	চিরে,	
taioyana,	টাওয়ান,	তাইওয়ান,	
chetonagato,	চেতনাগত,	চেতনাগত,	
laaj,	লাজ,	লাজ,	
graambashio,	গ্রাম্বাসী,	গ্রামবাসীও,	
muktume,	মুক্তমু,	মাকতুম,	
taunasipa,	তাউনশিপ,	টাউনশিপ,	
songbadmadhyome,	সংবাদমমধ্যে,	সংবাদমাধ্যমে,	
adhyatmikata,	আধ্যাত্মিতা,	আধ্যাত্মিকতা,	
morodeho,	মরোদেহ,	মরদেহ,	
eksathe,	একসাথে,	একসাথে,	
kodti,	কোদি,	কোডটি,	
istoone,	ইস্টুনে,	স্টোন,	
gaafeeloti,	গেফিলটি,	গাফিলতি,	
aasar,	আসার,	আসর,	
vumij,	ভূমিই,	ভূমিজ,	
rahh,	রাহ,	রঃ,	
shasonkorta,	শাসনক্রতা,	শাসনকর্তা,	
habu,	হাবু,	হবু,	
laisens,	লিইসন্স,	লাইসেন্স,	
jatata,	যতটা,	যতোটা,	
taffsherer,	তাফফসেরের,	তাফসীরের,	
kreedita,	ক্রিডিট,	ক্রেডিট,	
geza,	গেই,	গেজ,	
