ekhaate,	এখাতে,	একহাতে,	
nevate,	নেভাতে,	নেভাতে,	
harbor,	হারববর,	হারবার,	
pirujalee,	পিরুজালি,	পিরুজালী,	
grambaasir,	গ্রাম্বাসীর,	গ্রামবাসীর,	
bosten,	বোস্টেন,	বসতেন,	
koordira,	কুর্দিরা,	কুর্দিরা,	
hanttey,	হাঁতে,	হাঁটতে,	
iran,	ইইরান,	ইরান,	
keke,	কেকে,	কেকে,	
prachandota,	প্রচান্ডতা,	প্রচণ্ডতা,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
notti,	নোটটি,	নোটটি,	
soshorire,	সশরিরে,	সশরীরে,	
iukyaliptasa,	ইউক্লিপ্যাস,	ইউক্যালিপ্টাস,	
krita,	কৃত,	ক্রীট,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
sasharire,	সাসারীরে,	সশরীরে,	
chaalabi,	চালাবি,	চালাবে,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
basturyi,	বস্তুরি,	বস্তুরই,	
titlee,	টিইল,	টাইটেল,	
agrodut,	অগ্রুত,	অগ্রদূত,	
chalochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
uparjan,	উপার্জান,	উপার্জন,	
sabchey,	সবচে,	সবচে,	
shikshagata,	শিক্ষাগৎ,	শিক্ষাগত,	
shaahocharjo,	সাহারাচ্য,	সাহচর্য,	
morathi,	মোরাঠী,	মরাঠি,	
mittrer,	মিত্রের,	মিত্রের,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
teenej,	টিনেজ,	টিনেজ,	
itastata,	ইতাস্তাট,	ইতস্তত,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
teteyer,	টেটির,	টেটের,	
augustin,	আগস্টিন,	অগাস্টিন,	
pra,	প্র,	প্রো,	
jomkalo,	জোমকাল,	জমকালো,	
emerjency,	এমেরেজিন্সি,	এমার্জেন্সি,	
nirgoon,	নির্গুন,	নির্গুণ,	
sahab,	সহব,	সাহাব,	
janoganonar,	জনগণনার,	জনগণনার,	
utpotti,	উৎপত্তি,	উতপত্তি,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
totokson,	ততক্ষণ,	ততক্ষন,	
angshogragon,	অংশগ্রহণ,	অংশগ্রহন,	
imarjinsi,	ইমার্জিনশি,	এমার্জেন্সি,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
prokolpoguli,	প্রকালপুগলি,	প্রকল্পগুলি,	
hantte,	হাঁতে,	হাঁটতে,	
konroop,	কোরপু,	কোনরূপ,	
teestar,	টেস্টার,	তিস্তার,	
bharadwaja,	ভারাদ্যাজা,	ভরদ্বাজ,	
woter,	ওয়াটের,	ভোটার,	
qaferderkey,	কফেরদিকে,	কাফেরদেরকে,	
granther,	গ্রন্থের,	গ্রন্থের,	
lesense,	লেসান্সে,	লাইসেন্স,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
phirti,	ফিরটি,	ফিরতি,	
rubi,	রুবি,	রুবী,	
moushumer,	মৌসুমের,	মৌসুমের,	
vivek,	ভিভেক,	বিবেক,	
hitokor,	হিটকর,	হিতকর,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
bulan,	বুলন,	বুলান,	
nirarthak,	নির্থক,	নিরর্থক,	
roshider,	রশীদের,	রশিদের,	
felto,	ফেল্ট,	ফেলত,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
onkar,	অঙ্কার,	ওঙ্কার,	
modelke,	মোদেলকে,	মডেলকে,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
vagna,	ভাগ্ন,	ভগ্ন,	
shekender,	সেকেন্ডার,	সেকেন্ডের,	
otyacharita,	অত্যাচারিত,	অত্যাচারিত,	
asthisandhi,	অস্থিষান্ধী,	অস্থিসন্ধি,	
abasarer,	আবসারের,	অবসরের,	
buildar,	বিল্ডার,	বিল্ডার,	
aansareer,	আনসারির,	আনসারীর,	
osthisandhi,	অস্থিষান্ধী,	অস্থিসন্ধি,	
aagost,	আগস্ট,	আগষ্ট,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
jonosonjog,	জনসংযোগ,	জনসংযোগ,	
suparahira,	সুপারহীরা,	সুপারহিরো,	
somsher,	সমসের,	সমশের,	
bondhubhabapanno,	বন্ধুভাপন্ন,	বন্ধুভাবাপন্ন,	
mesenzarer,	মেশেন্গারের,	মেসেঞ্জারের,	
mugdaal,	মুগদাল,	মুগডাল,	
kulo,	কুলো,	কুলো,	
shrabastee,	শ্রবাস্তি,	শ্রাবস্তী,	
hocker,	হকের,	হুকার,	
tatey,	তাটে,	তাতে,	
saalsa,	সালসা,	সালসা,	
gonocheen,	গণচীন,	গণচীন,	
faksa,	ফক্সা,	ফক্স,	
pujit,	পূজিত,	পুজিত,	
shaluk,	শালুক,	শালুক,	
bibader,	বিবাদের,	বিবাদের,	
jahora,	জাহরা,	যাহরা,	
gonohotyar,	গণহত্যার,	গণহত্যার,	
vodka,	ভোদকা,	ভদকা,	
prokolpoti,	প্রকলপপিি,	প্রকল্পটি,	
bamni,	বামনী,	বামনী,	
shukranu,	শুক্রাণু,	শুক্রানু,	
addhatikotar,	অধ্যাতিকতার,	আধ্যাত্মিকতার,	
salapheta,	সালফেট,	সালফেট,	
satarkotar,	সতরককটার,	সতর্কতার,	
barder,	বর্ডের,	বার্ডের,	
korusher,	করুষের,	ক্রুশের,	
deejijer,	ডিজাইজের,	ডিজিজের,	
ostad,	অস্টাদ,	ওস্তাদ,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
khilafat,	খিলাফত,	খিলাফত,	
dasha,	দশা,	দোসা,	
bedkey,	বেদকে,	বেদকে,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
teemothy,	তিমোথি,	টিমোথি,	
baarnis,	বার্নিস,	বার্নিশ,	
noitikata,	নৈতিকাটা,	নৈতিকতা,	
angurer,	অঙ্গুরের,	আঙ্গুরের,	
tuneta,	টুনেট,	টুনাইট,	
coshon,	কোসন,	চোষণ,	
nabom,	নবম,	নবম,	
riphleqsa,	রিফলেস্স,	রিফ্লেক্স,	
jerusaleme,	জেরোসালমে,	জেরুসালেমে,	
hariken,	হারিকেন,	হ্যারিকেন,	
ekpaase,	একপাশে,	একপাশে,	
hoteltee,	হোটলেটটি,	হোটেলটি,	
duckten,	ডাকতেন,	ডাকতেন,	
oxfordey,	অকসারদে,	অক্সফোর্ডে,	
euror,	ইউরোর,	ইউরোর,	
fimela,	ফিমেল,	ফিমেল,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
oporeeshodhito,	অপরিশোধিত,	অপরিশোধিত,	
bossonte,	বসন্তে,	বসন্তে,	
shcholastiq,	স্কলসাটিক,	স্কলাস্টিক,	
vince,	ভিঞ্সে,	ভিন্স,	
bohorompurer,	বহরম্পুরের,	বহরমপুরের,	
ashor,	আসোর,	আসর,	
sukhma,	সুখমা,	সুক্ষ্ম,	
sanghitar,	সংঘিতার,	সংহিতার,	
gunjey,	গুঞ্জে,	গুঁজে,	
taranee,	তরণণী,	তরণী,	
farider,	ফরিদের,	ফরিদের,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
gutano,	গুটানো,	গুটানো,	
forma,	ফরমা,	ফর্মা,	
shulkey,	সুলকে,	শুল্কে,	
venis,	ভেনিস,	ভেনিস,	
nartakike,	নার্তাকীকে,	নর্তকীকে,	
onekeri,	অনেকেরি,	অনেকেরই,	
udbhabony,	উদ্ভবনন,	উদ্ভাবনী,	
uddhrity,	উদ্রীতি,	উদ্ধৃতি,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
dhrubak,	ধ্রুভক,	ধ্রুবক,	
thishisher,	থিশিসের,	থিসিসের,	
parikhar,	পরীখর,	পরিখার,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
dharavassokar,	ধরাাজ্বকার,	ধারাভাষ্যকার,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
hughkey,	হুগকে,	হিউজকে,	
vaider,	বাইডের,	ভাইদের,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
sahajlabhbhatar,	সহজাভভাতার,	সহজলভ্যতার,	
segulo,	সেগুলো,	সেগুলো,	
footbalarder,	ফুটবলারদের,	ফুটবলারদের,	
yucalyptush,	ইউক্লাপিয়াস,	ইউক্যালিপ্টাস,	
jolatonko,	জলাটন্ক,	জলাতঙ্ক,	
naitikatar,	নৈতিকাতার,	নৈতিকতার,	
dolu,	দলও,	ডলু,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
itostata,	ইতোস্তাট,	ইতস্তত,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
edmiral,	এড্মিরাল,	এডমিরাল,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
alpai,	আল্পাই,	অল্পই,	
shitey,	শিটে,	শীতে,	
ajeeja,	আজিজ,	আজিজা,	
rajballabh,	রাজবলল্বাম,	রাজবল্লভ,	
cruce,	ক্রুস,	ক্রুশ,	
spredashita,	স্প্রেডশিট,	স্প্রেডশীট,	
bhangle,	ভাঙলে,	ভাঙলে,	
stoneeheengee,	স্টনিহিঙ্গি,	স্টোনহেঞ্জ,	
masjidsaha,	মস্বিদসহ,	মসজিদসহ,	
jubokra,	যুবকরা,	যুবকরা,	
machsaho,	মাশাসহ,	মাছসহ,	
damone,	দমনে,	দমনে,	
maunchostho,	মণ্চশস্ত,	মঞ্চস্থ,	
dorji,	দর্জি,	দরজি,	
tachnach,	ট্যাচচাচ,	তছনছ,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
odoore,	অদুরে,	অদুরে,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
jonosanjog,	জনস্যোগ,	জনসংযোগ,	
pretti,	প্রিতটি,	প্রিটি,	
otitkaley,	অতিতকালে,	অতীতকালে,	
sovanetree,	সভানেত্রী,	সভানেত্রী,	
baieq,	বায়েক,	বাইক,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
naajii,	নাজি,	নাত্সি,	
aagera,	আজেরা,	আগোরা,	
gafilati,	গ্যাফিলাটি,	গাফিলতি,	
kuntee,	কুনতি,	কুন্তী,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
nisad,	নিশদ,	নিষাদ,	
konader,	কোনাডের,	কণাদের,	
mozlishpur,	মজ্লিস্পুর,	মজলিশপুর,	
societyke,	সোকিসিটে,	সোসাইটিকে,	
jonite,	যোনিতে,	যোনীতে,	
chittronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
marketim,	মার্কেটিং,	মার্কেটিং,	
sangbadmadhyamer,	সংবাদমধ্যমের,	সংবাদমাধ্যমের,	
engrezra,	ইংরেজ্রা,	ইংরেজরা,	
mosjidtikey,	মস্সিত্িকে,	মসজিদটিকে,	
faaser,	ফাসের,	ফাঁসের,	
ovinetar,	ওভিনেটার,	অভিনেতার,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
bagichaar,	বাগিচার,	বাগিচার,	
kana,	কান,	কণা,	
kadarer,	কাদারের,	কদরের,	
sikhechi,	শিখেছি,	শিখেছি,	
ever,	এভার,	এভার,	
lala,	লালা,	লালা,	
dabhara,	দভভার,	ডোভার,	
shalapheta,	সালফেট,	সালফেট,	
chatoke,	ছটকে,	ছাতকে,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
dweepkey,	দ্বিপকে,	দ্বীপকে,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
utkhat,	উৎকাত,	উত্খাত,	
chalachchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
abhishangson,	অভিসংসন,	অভিশংসন,	
danckan,	ডাঁককান,	ডানকান,	
rotheen,	রথিন,	রথীন,	
rightsh,	রাইটস,	রাইটস,	
sukumari,	সুকুমারী,	সুকুমারী,	
karlosh,	কার্লস,	কার্লোস,	
shuri,	সুরি,	সুরি,	
iyaka,	ইয়ক,	ইয়াক,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
nadigulo,	নদীগুলো,	নদীগুলো,	
ashe,	আসে,	আসে,	
satjaner,	সৎজানের,	সাতজনের,	
poonch,	পুঁচ,	পুঞ্চ,	
modeeling,	মোডিলিং,	মডেলিং,	
philippiner,	ফিলিপিফেনের,	ফিলিপাইনের,	
firozaa,	ফিরোজা,	ফিরোজা,	
shamooker,	সমূকের,	শামুকের,	
nabbata,	নব্বতা,	নাব্যতা,	
horash,	হরাাস,	হোরাস,	
eekbaler,	ইকবালের,	ইকবালের,	
procharonamulok,	প্রচারণামূলক,	প্রচারণামূলক,	
duplex,	ডাপ্লেক্স,	ডুপ্লে,	
chesha,	চেষ,	চেস,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
odurey,	অদুরে,	অদুরে,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
naobihar,	নৌবিহার,	নৌবিহার,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
seconder,	সেকেন্ডার,	সেকেন্ডের,	
leader,	লেডার,	লিডার,	
bandhubhaabaapanna,	বন্ধুভাবনপন্,	বন্ধুভাবাপন্ন,	
jonoshongjog,	জনসংযোগ,	জনসংযোগ,	
zerusalema,	জেরোসালেম,	জেরুসালেম,	
masjid,	মাশবিদ,	মসজিদ,	
ileeing,	আলিং,	ইলিং,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
chhayi,	চাই,	ছাই,	
mousum,	মাউসম,	মৌসুম,	
daltagi,	ডলতাগি,	দলত্যাগী,	
sainyo,	সৈন্য,	সৈন্য,	
os,	ওস,	অস,	
mehnotti,	মহনতটটি,	মেহনতি,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
dailee,	দাইলি,	ডেইলি,	
liceensing,	লিসেনিজ,	লাইসেন্সিং,	
laaisheesh,	লাইসেস,	লাইসেন্স,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
whole,	ভোলে,	হোল,	
eskol,	এসকোল,	এসকল,	
heenna,	হিন্ন,	হেনা,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
oparogota,	অপরাগতা,	অপারগতা,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
shoodhooi,	শুধুই,	শুধুই,	
ekshoti,	একশতি,	একশোটি,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
kathhmandu,	কাঠমান্ডু,	কাঠমান্ডু,	
fishing,	ফিশিং,	ফিসিং,	
bolatkar,	বলাটকার,	বলাৎকার,	
riphleeksa,	রিফলেক্স,	রিফ্লেক্স,	
ruby,	রুবি,	রুবী,	
veenus,	ভিনুস,	ভেনাস,	
spreadshiit,	স্প্রীসসিট,	স্প্রেডশীট,	
pachak,	পাচক,	পাচক,	
thakey,	থাকে,	থাকে,	
jakkher,	যক্ষের,	যক্ষের,	
longhon,	লংঘন,	লংঘন,	
narsaari,	নার্সারী,	নার্সারি,	
heedgee,	হেজ,	হেজ,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
prakalpagulor,	প্রকালপুগলর,	প্রকল্পগুলোর,	
dibet,	দিবেত,	ডিবেট,	
choudhooreeder,	চৌধুরীদের,	চৌধুরীদের,	
vaibonder,	ভৈবন্দের,	ভাইবোনদের,	
shaatjoner,	সাসজনের,	সাতজনের,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
oncolei,	অঙ্কলেই,	অঞ্চলেই,	
chorbon,	চর্বন,	চর্বন,	
shkolastic,	স্কলাসটিক,	স্কলাস্টিক,	
prochondo,	প্রচন্দ,	প্রচণ্ড,	
karmopantha,	কর্মপন্থ,	কর্মপন্থা,	
jackson,	জক্সন,	জ্যাকসন,	
oopohoron,	অপহরণ,	অপহরন,	
kuchir,	কুচির,	কুচির,	
hori,	হরি,	হরি,	
aansaareer,	আনসারির,	আনসারীর,	
yura,	ইউরা,	ইউরো,	
install,	ইনস্টল,	ইন্সটল,	
suraropito,	সুরারপিত,	সুরারোপিত,	
bhyatikaaner,	ভ্যতিকানের,	ভ্যাটিকানের,	
shkora,	স্কোর,	স্কোর,	
debholapar,	ডেভলপপার,	ডেভলপার,	
staylish,	স্টেলিস,	স্টাইলিশ,	
qyanela,	ক্যানেল,	ক্যানেল,	
paltechey,	পাল্টেছে,	পাল্টেছে,	
teenti,	তিনটি,	তিনটি,	
byasalt,	ব্যাশলল,	ব্যাসল্ট,	
zommu,	জমমু,	জম্মু,	
keengdom,	কিংগদ,	কিংডম,	
boikalyo,	বৈকালও,	বৈকল্য,	
bhenasa,	ভেনাসা,	ভেনাস,	
babul,	বাবুল,	বাবুল,	
kara,	করা,	কারো,	
foreex,	ফরেক্স,	ফরেক্স,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
homasha,	হোমস,	হোমস,	
joisttho,	জৈত্ঠ,	জ্যৈষ্ঠ,	
qor,	কোর,	কর,	
bosoben,	বসবেন,	বসবেন,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
vorpur,	ভররপুর,	ভরপুর,	
lambaate,	লম্বাতে,	লম্বাটে,	
shov,	শব,	শো,	
soorsa,	সুর্শ,	সোর্স,	
bupher,	বুফার,	বাফার,	
jubokti,	যুবকটি,	যুবকটি,	
nirorthak,	নিরো্থক,	নিরর্থক,	
surokarder,	সুরকাদের,	সুরকারদের,	
baffer,	বাফের,	বাফার,	
dhhaby,	ধাবি,	ঢাবি,	
chorchito,	চর্চিত,	চর্চিত,	
shorsha,	সর্ষ,	সোর্স,	
ganohotyar,	গণহাত্যার,	গণহত্যার,	
prapokke,	প্রাপককে,	প্রাপককে,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
remacri,	রেমাকারি,	রেমাক্রী,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
pustir,	পুস্তির,	পুষ্টির,	
baruklin,	ব্রুকুলিন,	ব্রুকলিন,	
arakani,	আরকানি,	আরাকানী,	
torangunj,	তরঙঙগ্ঞজ,	তোরাবগঞ্জ,	
cinematographar,	সিনেমাট্রাফর,	সিনেমাটোগ্রাফার,	
mirakeela,	মিরকেল,	মিরাকেল,	
tuso,	টুস,	তুসো,	
udvaboker,	উদ্ভববকের,	উদ্ভাবকের,	
taatey,	তাটে,	তাতে,	
fix,	ফিক্স,	ফিক্স,	
zansa,	জাঁসা,	জন্স,	
dhouto,	দাউত,	ধৌত,	
badhano,	বাঁধান,	বাঁধানো,	
bijito,	বিজিত,	বিজিত,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
falah,	ফলল,	ফালাহ,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
phood,	ফুড,	ফুড,	
bonshoke,	বংশকে,	বংশকে,	
naaji,	নাজি,	নাত্সি,	
cilahati,	চিলাহাতি,	চিলাহাটি,	
obe,	ওবে,	ওবিই,	
torabgonj,	তরাাগঞ্জ,	তোরাবগঞ্জ,	
serverer,	সারভারের,	সার্ভারের,	
soceitykey,	সোকিসিকে,	সোসাইটিকে,	
injiniyarim,	ইন্জিনেরিং,	ইঞ্জিনিয়ারিং,	
nitikatha,	নীতিকাঠ,	নীতিকথা,	
aakkas,	এক্যাশ,	আককাস,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
musolmanra,	মুসলমন্র,	মুসলমানরা,	
daawn,	ডাউন,	ডাউন,	
sossar,	সশ্যার,	সকার,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
ssahocorzo,	সহচার্য,	সাহচর্য,	
rajashri,	রাজস্রী,	রাজশ্রী,	
holdin,	হোল্ডিং,	হোল্ডিং,	
feroza,	ফেরোজা,	ফিরোজা,	
tuku,	টুকু,	টুকু,	
chaktir,	চাকটির,	চাকতির,	
militarir,	মিলিটারীর,	মিলিটারির,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
syutara,	সুউটার,	শ্যুটার,	
sucre,	সুক্র,	সাকার,	
flag,	ফ্লাগ,	ফ্লাগ,	
traytey,	ট্রেটে,	ট্রেতে,	
mohajote,	মহাজতে,	মহাজোট,	
elakaao,	এলাকাও,	এলাকাও,	
jerusalema,	জেরোসালেম,	জেরুসালেম,	
mulaadi,	মুলাদী,	মুলাদি,	
mawdeel,	মডেল,	মডেল,	
claud,	ক্লাাড,	ক্লাউড,	
ardasha,	আর্ডস,	আর্দশ,	
pyore,	প্যোর,	পিওর,	
salsa,	সল্স,	সালসা,	
mukhamandoler,	মুখ্নমনকের,	মুখমণ্ডলের,	
nikela,	নিকেল,	নিকেল,	
shainyara,	সৈনন্যার,	সৈন্যরা,	
moreecha,	মরিচা,	মরিচা,	
jibanta,	জীবন্ত,	জীবন্ত,	
daakticket,	ডাক্টিকেট,	ডাকটিকিট,	
patengar,	পতেেগার,	পতেঙ্গার,	
olimpicer,	অলিম্পিসার,	অলিম্পিকের,	
nesnosh,	নেশসন,	নেশনস,	
atma,	আত্মা,	আত্ম,	
asammati,	আসমমতি,	অসম্মতি,	
nations,	নটিশনস,	নেশনস,	
melborner,	মেলবর্নের,	মেলবোর্নের,	
porijoner,	পরিজনের,	পরিজনের,	
idaning,	আইডিনিং,	ইদানীং,	
kash,	কাশ,	কাস,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
neshanasa,	নেশনস,	নেশনস,	
maailkhanek,	মাল্গানেক,	মাইলখানেক,	
vool,	ভোল,	উল,	
rizur,	রিজুর,	রিজুর,	
sbatantrata,	স্বতনন্ত্রতা,	স্বতন্ত্রতা,	
sikkhakke,	শিক্ষাককে,	শিক্ষককে,	
karmasansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
murrayir,	মুরারীর,	ম্যারির,	
temonti,	তেমনটি,	তেমনটি,	
ukeliptash,	ইকেলপিট্স,	ইউক্যালিপ্টাস,	
shilabhara,	সিলভার,	সিলভার,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
dolgulo,	দলগুলো,	দলগুলো,	
chalachchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
taiwan,	টাইভান,	তাইওয়ান,	
cheelona,	ছিলনা,	ছিলনা,	
lisense,	লিসেন্স,	লাইসেন্স,	
estoniya,	এস্টনিিয়া,	এস্তোনিয়া,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
carlo,	কার্লো,	কার্লো,	
mirakela,	মিরকেল,	মিরাকেল,	
iub,	ইউবি,	আইইউবি,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
karmoke,	কর্মকে,	কর্মকে,	
raiter,	রাইটের,	রাইটের,	
aajiboner,	আজীবনের,	আজীবনের,	
alpakichudin,	অল্পকাকিছিদিন,	অল্পকিছুদিন,	
potocheetrer,	পতোচিত্রের,	পটচিত্রের,	
verma,	ভার্ম,	ভার্মা,	
nartana,	নার্টোন,	নর্টন,	
ponera,	পণেরা,	পনের,	
injeel,	এঞ্জেল,	ইঞ্জিল,	
rajtantroke,	রাজন্ত্রকে,	রাজতন্ত্রকে,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
jonoika,	জননককা,	জনৈকা,	
iqbalke,	ইকবল্গে,	ইকবালকে,	
swarthe,	স্বর্থে,	স্বার্থে,	
dheke,	ঢেকে,	ঢেকে,	
hoil,	হইল,	হইল,	
ghenshe,	ঘেনসে,	ঘেঁষে,	
priimoo,	প্রিমো,	প্রিমো,	
irish,	আইরিশ,	আইরিস,	
keuyi,	কেইভি,	কেউই,	
themekey,	থেমকে,	থিমকে,	
daqten,	ডাকতেন,	ডাকতেন,	
ivaner,	ইভানের,	ইভানের,	
prachurzer,	প্রচূর্যের,	প্রাচুর্যের,	
creshcent,	ক্রিস্েন্ট,	ক্রিসেন্ট,	
rajtantra,	রাজ্ন্তর্,	রাজতন্ত্র,	
torooner,	তরুণের,	তরুণের,	
shatan,	শতান,	শয়তান,	
dipon,	দিপন,	দীপন,	
srabosty,	শ্রবাস্তি,	শ্রাবস্তী,	
kaferderkey,	কফেরদিকে,	কাফেরদেরকে,	
swajan,	স্বজন,	স্বজন,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
atmabishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
byabaharkareederke,	ব্যবহারীদেরকে,	ব্যবহারকারীদেরকে,	
asovarno,	অসবর্ন,	অসবর্ণ,	
tukror,	টুকরর,	টুকরোর,	
anchalo,	আঞ্চলল,	অঞ্চলও,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
chintaikari,	চিনতাইকারী,	ছিনতাইকারী,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
olangkoron,	অলঙ্করণ,	অলঙ্করণ,	
madraji,	মাদরাজী,	মাদ্রাজি,	
ghosito,	ঘোষিত,	ঘোষিত,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
choudhooreeke,	চৌধুরীকে,	চৌধুরীকে,	
bisshaso,	বিশ্বাসও,	বিশ্বাসও,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
naubihar,	নৌবিহার,	নৌবিহার,	
nyaper,	ন্যাপের,	ন্যাপের,	
sadena,	শেদেন,	সাডেন,	
probhu,	প্রভূ,	প্রভু,	
bharkendra,	ভার্কেন্দ্র,	ভরকেন্দ্র,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
talaal,	তালাল,	তালাল,	
serup,	সেরুপ,	সেরুপ,	
kandey,	কান্ডে,	কাণ্ডে,	
hooq,	হোক,	হুক,	
arsie,	আর্সি,	আরসিএ,	
baasa,	বাসা,	বাসা,	
tigers,	টিজ্রেস,	টাইগার্স,	
modeltigulo,	মোোডেলিফাল,	মডেলগুলো,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
janachche,	জনাচ্ছে,	জানাচ্ছে,	
shyutara,	স্যুটার,	শ্যুটার,	
gafiloti,	গ্যাফিলতি,	গাফিলতি,	
samosher,	সমসের,	সমশের,	
sector,	সেক্টর,	সেক্টর,	
pletoo,	প্লেটও,	প্লেটো,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
arekdal,	আরেকদল,	আরেকদল,	
bhenama,	ভেনামা,	ভেনম,	
laabonii,	লাবণী,	লাবনী,	
phareeksa,	ফরেক্স,	ফরেক্স,	
prothar,	প্রথার,	প্রথার,	
uponishad,	উপনিশোদ,	উপনিষদ,	
myat,	ম্যাট,	ম্যাট,	
bhogirath,	ভোগৃরথ,	ভগীরথ,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
dhhaloor,	ঢালুর,	ঢালুর,	
