sina,	সিন,	সিনা,	
prokalpati,	প্রকল্পটি,	প্রকল্পটি,	
karmoi,	কর্মই,	কর্মই,	
rajballav,	রাজবলবল,	রাজবল্লভ,	
ghatity,	ঘাটিতি,	ঘাঁটিটি,	
maldava,	মালদাভা,	মলদোভা,	
fokskon,	ফক্সকন,	ফক্সকন,	
jesha,	যেস,	জেস,	
vedke,	ভেদকে,	বেদকে,	
bahyo,	বাহ্য,	বাহ্য,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
neemitte,	নিমিততে,	নিমিত্তে,	
jolrong,	জলমার্গ,	জলরঙ,	
masjidtikey,	মাসবিদ্যিকে,	মসজিদটিকে,	
atto,	আত্ম,	আত্ম,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
priimo,	প্রিমো,	প্রিমো,	
korimkey,	করিমকে,	করিমকে,	
dajyo,	দজ্য,	দাহ্য,	
akkharke,	অক্ষরকে,	অক্ষরকে,	
kaalki,	কালকি,	কালকি,	
zozyota,	যোজজাত,	যোজ্যতা,	
deul,	ডিউল,	দেউল,	
spancer,	স্পন্সের,	স্পেন্সার,	
lyanding,	ল্যানিং,	ল্যান্ডিং,	
porishrom,	পরিস্রম,	পরিশ্রম,	
canflikt,	কংফলিক্ট,	কনফ্লিক্ট,	
alpo,	অল্প,	অল্প,	
ummool,	উমমুল,	উম্মুল,	
valapuk,	ভালাপুক,	ভোলাপুক,	
paare,	পারে,	পাড়ে,	
udvabaker,	উদ্ভবকের,	উদ্ভাবকের,	
drishyagulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
mosjidtikey,	মস্বিজ্দিকে,	মসজিদটিকে,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
iispredshiit,	স্প্রেস্রেসিট,	স্প্রেডশীট,	
ankeeta,	অংকিত,	অঙ্কিতা,	
shaajaano,	সাজানো,	সাজানো,	
aoki,	আঁকি,	এওকি,	
ongkita,	অংকিত,	অঙ্কিতা,	
qor,	কোর,	কর,	
phund,	ফাউন্ড,	ফান্ড,	
zibonto,	জীবনতত,	জীবন্ত,	
phikshim,	ফিকসিং,	ফিক্সিং,	
jonsa,	জনসা,	জোন্স,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
ajeempoor,	অজিমপুর,	আজিমপুর,	
ibhila,	ইভিল,	ইভিল,	
jockey,	জককি,	জকি,	
akeeb,	আকেব,	আকিব,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
jaj,	যজ,	জাজ,	
blogarra,	ব্লগারা,	ব্লগাররা,	
mausumer,	মৌশুমের,	মৌসুমের,	
nagorikkey,	নগরীককে,	নাগরিককে,	
polashir,	পোলসির,	পলাশীর,	
shikar,	শিকার,	শিকার,	
suparahiroo,	সুপারহহরু,	সুপারহিরো,	
sikara,	সিকারা,	শিকার,	
karpet,	কররপেট,	কার্পেট,	
gaugee,	গজগী,	গেজ,	
diznee,	ডিজনি,	ডিজনী,	
sucharita,	সুচারিত,	সুচরিতা,	
deilee,	ডেলে,	ডেইলি,	
tafsher,	তফসের,	তাফসীর,	
paddhatiteo,	পা্ধতিতেও,	পদ্ধতিতেই,	
inastyanta,	ইনস্টাযান্ট,	ইনস্ট্যান্ট,	
ekoirokom,	একইকরম,	একইরকম,	
itostatoh,	ইতিস্থা,	ইতস্ততঃ,	
upacharjo,	উপাচ্য,	উপাচার্য,	
samle,	স্যামল,	সামলে,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
mondopey,	মন্ডপে,	মন্ডপে,	
maithili,	মিঠিলী,	মৈথিলি,	
thailandshoho,	থৈইনাংশহ,	থাইল্যান্ডসহ,	
chess,	চেষ,	চেস,	
abodamaner,	অবদমানের,	অবদমনের,	
lesense,	লেসনেস,	লাইসেন্স,	
marketim,	মার্কেটিং,	মার্কেটিং,	
heze,	হেজে,	হেজ,	
nirmankaj,	নির্মাণকা,	নির্মাণকাজ,	
hiiragana,	হিরোগান,	হিরাগানা,	
graambaashee,	গ্রামাবাসী,	গ্রামবাসী,	
tinage,	টিনেগে,	টিনেজ,	
neelkamal,	নীলকালাম,	নীলকমল,	
shaartho,	সার্থ,	স্বার্থ,	
bhenus,	ভেনাস,	ভেনাস,	
aqramer,	আক্রমের,	আকরামের,	
hole,	হলে,	হোল,	
korimke,	করিমকে,	করিমকে,	
madaspushto,	মাদসপুষ্ট,	মদদপুষ্ট,	
pratiyogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
dankan,	ডানকান,	ডানকান,	
uinndo,	উইন্ডো,	উইন্ডো,	
patjata,	পাজতা,	পাটজাত,	
korlei,	করলেই,	করলেই,	
poste,	পোস্টে,	পোস্টে,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
parkasa,	পারকাশ,	পার্কস,	
pretii,	প্রেতী,	প্রিটি,	
pramathesh,	প্রমাথেস,	প্রমথেশ,	
siddhantoke,	সিদ্ধানকে,	সিদ্ধান্তকে,	
mette,	মেটা,	ম্যাট,	
jony,	জোনি,	জনি,	
omkar,	অমকার,	ওঙ্কার,	
korechi,	করেছি,	করেছি,	
icebarg,	এসেবরার্গ,	আইসবার্গ,	
depp,	ডিপ,	ডেপ,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
koreem,	করিম,	করিম,	
sombhobonaow,	সম্ভবনাও,	সম্ভবনাও,	
thaanobhi,	থানভী,	থানভী,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
don,	ডন,	দোন,	
plata,	প্লট,	প্লেটো,	
sthapanatir,	স্থাপতির,	স্থাপনাটির,	
taimas,	তাইমস,	টাইমস্,	
fevarite,	ফেভারিতে,	ফেভারিট,	
machera,	মাচেরা,	মাছেরা,	
hillse,	হালস,	হিলসে,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
kaley,	কালে,	কালে,	
chitranatyakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
ruteener,	রুটিনের,	রুটিনের,	
score,	স্কোর,	স্কোর,	
sukumari,	সুকুমারি,	সুকুমারী,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
rigthter,	রিথ্টের,	রাইটের,	
muhommoder,	মুহ্মমদের,	মুহম্মদের,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
pactar,	পাঁচার,	পাঁচটার,	
hishaber,	হিসাবের,	হিসাবের,	
inapharamesana,	ইনফরফামেন,	ইনফরমেশন,	
sinakey,	সিনকে,	সিনাকে,	
silwar,	সিল্ার,	সিলভার,	
elakatite,	এলাকাতেতে,	এলাকাটিকে,	
shooter,	শুটার,	শ্যুটার,	
faster,	ফেস্টার,	ফস্টার,	
nojoder,	নজরদের,	নজদের,	
emarjenshi,	এমরজজেন্সি,	এমার্জেন্সি,	
ganesh,	গানেস,	গণেশ,	
sarboporee,	সর্বোপরি,	সর্বোপরী,	
qyanela,	ক্যানেল,	ক্যানেল,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
maailkhanek,	মৈল্াচকে,	মাইলখানেক,	
pushtir,	পুস্টির,	পুষ্টির,	
superhera,	সুপারেহরা,	সুপারহিরো,	
naker,	নাকের,	নেকের,	
baasake,	বাসাকে,	বাসাকে,	
nathibhooktir,	নাথিভুক্তির,	নথিভুক্তির,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
roktokshoroney,	রক্তকরষণে,	রক্তক্ষরণে,	
dobhar,	দভার,	ডোভার,	
cheentai,	চিন্তাই,	ছিনতাই,	
masti,	মস্তি,	মাস্তি,	
ileeing,	এলেইং,	ইলিং,	
mosjidsaho,	মসজিিসহ,	মসজিদসহ,	
stena,	স্টেন,	স্টেন,	
rob,	রব,	রব,	
black,	ব্লক,	ব্ল্যাক,	
srichoitonnodeb,	শ্রীচৈতনন্দ্ব,	শ্রীচৈতন্যদেব,	
faltu,	ফললটু,	ফালতু,	
shaswato,	শাব্যত,	শাশ্বত,	
hoondayi,	হোন্ডে,	হুন্দাই,	
mitrao,	মিত্রাও,	মিত্রও,	
loukeek,	লৌকিক,	লৌকিক,	
maailey,	মইলে,	মাইলে,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
lidars,	লিডার্স,	লিডার্স,	
sedikei,	সেদীকেই,	সেদিকেই,	
panera,	পানেরা,	পনের,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
evereste,	ইভারস্সেট,	এভারেস্টে,	
siropa,	শিরপা,	শিরোপা,	
reejideens,	রেজিদেন্স,	রেসিডেন্স,	
olongkaron,	অলঙকরণ,	অলঙ্করণ,	
chetanagoto,	চেটাগোগত,	চেতনাগত,	
deepan,	ডিপান,	দীপন,	
shhyutara,	স্যাটার,	শ্যুটার,	
uper,	উপের,	আপের,	
shatan,	শাতান,	শয়তান,	
sipht,	শিফ্ট,	শিফট,	
dhanyi,	ধ্বনিই,	ধন্যি,	
somaazeri,	সমাজারী,	সমাজেরই,	
madrasa,	মাদরাস,	মাদ্রাসা,	
machhsoho,	মাছবহ,	মাছসহ,	
alympic,	অ্যালিমিক,	অলিম্পিক,	
dearas,	ডিরাস,	ডিআরএস,	
obolokon,	অবলকন,	অবলোকন,	
avatar,	অভাার,	অবতার,	
telakucha,	টেলাকুচা,	তেলাকুচা,	
ketechilo,	কেটেছিল,	কেটেছিল,	
somratder,	সম্তারদের,	সম্রাটদের,	
stana,	স্তন,	স্টোন,	
prasadhoner,	প্রসাধানের,	প্রসাধনের,	
kolkarkhana,	কলকরকানা,	কলকারখানা,	
potka,	পটকা,	পটকা,	
jorury,	জরুরী,	জরূরী,	
shailee,	সেইল,	শৈলী,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
model,	মোদেল,	মডেল,	
janar,	জানার,	জানার,	
hart,	হার্ট,	হার্ট,	
jeebnagore,	জীবনগরে,	জীবননগর,	
fising,	ফিশিং,	ফিসিং,	
sanbadmadhyamer,	সংবদদমন্মের,	সংবাদমাধ্যমের,	
pyor,	প্যার,	পিওর,	
lajiqa,	লাজিকা,	লজিক,	
jolaatanko,	জলাাতনক,	জলাতঙ্ক,	
licensedhari,	লিইকেন্সারী,	লাইসেন্সধারী,	
faser,	ফেসার,	ফাঁসের,	
fix,	ফিক্স,	ফিক্স,	
shreeshri,	শ্রীশরী,	শ্রীশ্রী,	
chaber,	ছবের,	চাবির,	
bhimsen,	ভীমসনেন,	ভীমসেন,	
pustio,	পুস্টিও,	পুষ্টি,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
pooloo,	পুলু,	পোলো,	
bholapuqa,	ভোলপুকা,	ভোলাপুক,	
andaman,	আন্দমান,	আন্দামান,	
baarnish,	বার্নিস,	বার্নিশ,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
gaadhaa,	গাধা,	গাধা,	
nathibhuktir,	নাথিভুক্তির,	নথিভুক্তির,	
timoothi,	তিমুথি,	টিমোথি,	
uporitole,	উপরিললে,	উপরিতলে,	
utkhater,	উৎকথাতের,	উৎখাতের,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
foltir,	ফললটির,	ফলটির,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
bitolser,	বিতলসের,	বিটলসের,	
dharavassyokar,	ধারভভাক্ষর,	ধারাভাষ্যকার,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
soommo,	সুম্য,	সুমো,	
samashti,	সমস্তি,	সমষ্টি,	
uporzon,	উপরজন,	উপার্জন,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
yankee,	য্যাঙ্কি,	ইয়াংকি,	
upobaashee,	উপবাসী,	উপবাসী,	
adhattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
cheph,	চেফ,	শেফ,	
turisht,	টুরিশ্ট,	টুরিস্ট,	
dharmantor,	ধর্মনাত্তর,	ধর্মান্তর,	
arthat,	অর্থাত,	অর্থাৎ,	
holdin,	হলদিন,	হোল্ডিং,	
sossa,	শসা,	শশা,	
noveel,	নোভেল,	নভেল,	
spreadsheet,	স্প্রিস্ডেট,	স্প্রেডশীট,	
plaiin,	প্লেন,	প্লেন,	
antarctica,	অন্টারকেটিক,	অ্যান্টার্কটিকা,	
gonona,	গণনা,	গননা,	
siiter,	শিতের,	শীতের,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
loukikata,	লৌকিকাতা,	লৌকিকতা,	
hondurus,	হন্দুরুস,	হন্ডুরাস,	
sattweo,	সত্বেও,	সত্ত্বেও,	
minishtar,	মিনেস্টার,	মিনিস্টার,	
ingrezra,	ইংরেজরা,	ইংরেজরা,	
spreeadsheet,	স্প্রিস্ারিট,	স্প্রেডশীট,	
abdoone,	আবদুনে,	আবদুন,	
upanishad,	উপনিশদ,	উপনিষদ,	
bhiktara,	ভিক্টর,	ভিক্টর,	
avisongson,	অভিশংসন,	অভিশংসন,	
madhoboir,	মাধবীর,	মাধবীর,	
jahora,	জহহরা,	যাহরা,	
abheedhaneec,	অবিধানিক,	অভিধানিক,	
matthew,	মাঠুযু,	ম্যাথিউ,	
goodamjato,	গুদাজমত,	গুদামজাত,	
durgandho,	দুর্গন্ধ,	দুর্গন্ধ,	
vushito,	ভূষিত,	ভূষিত,	
uporitaley,	উপরিলালে,	উপরিতলে,	
monjushri,	মঞ্জুসীরী,	মঞ্জুশ্রী,	
wolapuk,	ওলাপুক,	ভোলাপুক,	
bisheshyer,	বিশেষের,	বিশেষ্যের,	
expressian,	এক্সপ্রেশেশন,	এক্সপ্রেশন,	
mashajida,	মাসাজীদ,	মসজিদ,	
mulbhitti,	মুলভীতি,	মূলভিত্তি,	
nilabho,	নিলাভ,	নীলাভ,	
azimpur,	আজিমপুর,	আজিমপুর,	
archimedeser,	আর্চিমেডেসের,	আর্কিমিডিসের,	
krishenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
rot,	রোট,	রত,	
amanisha,	অমনিষ,	অমানিশা,	
gandhir,	গান্ধীর,	গান্ধীর,	
akreetokarjo,	আক্রিকৃতরর্,	অকৃতকার্য,	
ashociatesh,	অ্যাসিও়েসেট,	এসোসিয়েটস,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
durotaumo,	দূরতম,	দূরতম,	
routiner,	রাউটিনের,	রুটিনের,	
mozlish,	মজলিস,	মজলিশ,	
elaakaao,	এলাকাও,	এলাকাও,	
aabahon,	আবহান,	আবাহন,	
militarir,	মিলিটারীর,	মিলিটারির,	
shfingtar,	স্পিংটার,	স্ফিংটার,	
shektore,	স্ক্টরকে,	সেক্টরে,	
golpokar,	গোলপকার,	গল্পকার,	
qarpeta,	কর্পেট,	কার্পেট,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
bhognee,	ভগ্নী,	ভগ্নী,	
swartha,	স্বার্থ,	স্বার্থ,	
ghomta,	ঘোমটা,	ঘোমটা,	
machgulo,	মাছগুলো,	মাছগুলো,	
nabbata,	নব্বতা,	নাব্যতা,	
baait,	বাইট,	বাইট,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
prachandota,	প্রচান্ডতা,	প্রচণ্ডতা,	
ghatlo,	ঘটলো,	ঘটল,	
maddhukkori,	মাধ্যকুরী,	মাধুকরী,	
ranadip,	রণাদীপ,	রণদীপ,	
okritokarjo,	অক্রিকোর্ঠ,	অকৃতকার্য,	
nutoner,	নতুনের,	নূতনের,	
fimela,	ফিমেলা,	ফিমেল,	
phake,	ফেঁক,	ফাকে,	
parjotaker,	পার্যটাকের,	পর্যটকের,	
lyaataa,	ল্যাটা,	ল্যাটা,	
jinsa,	জিন্স,	জিন্স,	
daul,	ডাল,	দেউল,	
aksathe,	একসথে,	একসাথে,	
bcci,	বিএসএসি,	বিসিসিআই,	
townsip,	টাউন্সিপ,	টাউনশিপ,	
sift,	সিফট,	শিফট,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
madhobikey,	মাধবীকে,	মাধবীকে,	
elakatike,	এলাকাতিকে,	এলাকাটিকে,	
nilkomol,	নিলকমল,	নীলকমল,	
anchalo,	আঞচল,	অঞ্চলও,	
horidbare,	হরিদবারে,	হরিদ্বারে,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
nariikei,	নারীকেই,	নারীকেই,	
victor,	ভিক্টোর,	ভিক্টর,	
dhanni,	ধ্বনি,	ধন্যি,	
dailee,	ডালে,	ডেইলি,	
shikshakbrindo,	শিক্ষাকৃতিশদ,	শিক্ষকবৃন্দ,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
oncolei,	অঙ্কলেই,	অঞ্চলেই,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
ansarir,	অনশারির,	আনসারীর,	
cbi,	সি,	সিবিআই,	
riphleksha,	রাইফলক্স,	রিফ্লেক্স,	
firoz,	ফিরোজ,	ফিরোজ,	
sikkhokbreendo,	শিক্ষাকৃতিন্দ,	শিক্ষকবৃন্দ,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
mmeloborrne,	মেলবররণে,	মেলবোর্নে,	
suraarop,	সুরারপ,	সুরারোপ,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
oitijje,	ঐতিয্যে,	ঐতিহ্যে,	
ooindo,	উইন্ড,	উইন্ডো,	
charjer,	চার্যের,	চার্জার,	
monzile,	মঞ্জেলে,	মঞ্জিলে,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
blacq,	ব্লক,	ব্ল্যাক,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
tennise,	টেনিস,	টেনিসে,	
jolbe,	জলবে,	জ্বলবে,	
debdebee,	দেবদেবী,	দেবদেবী,	
dakteekite,	ডাক্তিকীতে,	ডাকটিকিটে,	
gemske,	গেমসে,	জেমসকে,	
masey,	মাসে,	মাসে,	
kuota,	কুউটা,	কোটা,	
alaoul,	অ্যালাল,	আলাওল,	
bheemsen,	ভীমসেন,	ভীমসেন,	
babilon,	বাবিলন,	ব্যাবিলন,	
jwalbe,	জ্বলবে,	জ্বলবে,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
shorifer,	শরীফের,	শরিফের,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
hafsa,	হাফস,	হাফসা,	
kaferderke,	কাযারোরদে,	কাফেরদেরকে,	
hijritey,	হিজরিতে,	হিজরীতে,	
wul,	ভুল,	উল,	
srabosty,	স্রববস্তি,	শ্রাবস্তী,	
mekong,	ম্যাকাং,	মেকং,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
shithilotar,	শিঠিলতার,	শিথিলতার,	
foreex,	ফরিক্স,	ফরেক্স,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
temonyi,	তেমনই,	তেমনই,	
bharson,	ভারসন,	ভারশন,	
potchitro,	পটচিত্র,	পটচিত্র,	
ssumi,	সুমি,	সুমি,	
jonite,	যোনিতে,	যোনীতে,	
donut,	দুনত,	ডোনাট,	
mandander,	মন্দন্ডের,	মানদণ্ডের,	
madhabi,	মাধবী,	মাধবী,	
silvar,	সিলভার,	সিলভার,	
ja,	যা,	জ্যা,	
kona,	কোনা,	কোনা,	
godamjato,	গদমজজত,	গুদামজাত,	
nirdesika,	নির্দেশিক,	নির্দেশিকা,	
jaaluk,	জালুক,	জ্বলুক,	
hatodoridra,	হতাদরদিরা,	হতদরিদ্র,	
epiela,	এইপেল,	আইপিএল,	
durgotsav,	দুর্গটস,	দুর্গোৎসব,	
thare,	থেয়ার,	থরে,	
salphat,	সালফাট,	সালফেট,	
hillser,	হিলসার,	হিলসের,	
progress,	প্রোগ্রস,	প্রগ্রেস,	
darada,	দররাা,	দারদা,	
janmato,	জন্মত,	জন্মাত,	
kormer,	কর্মের,	কর্মের,	
rajpurohit,	রাজপুরহিট,	রাজপুরোহিত,	
ameerika,	আমেরিক,	আমেরিকা,	
sherup,	শেরুপ,	সেরূপ,	
mohammadi,	মহামমাদী,	মুহাম্মদী,	
kyamone,	ক্যামনে,	কেমনে,	
udar,	উদার,	উদর,	
shtonahenja,	স্তননাহ্ঞ্গ,	স্টোনহেঞ্জ,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
toruner,	ত্রুণের,	তরুণের,	
bedanto,	বেদানত,	বেদান্ত,	
kunty,	কান্ি,	কুন্তী,	
laisensim,	লাইনসিংম,	লাইসেন্সিং,	
somrat,	সমরাত,	সম্রাট,	
debholapar,	দেভলাপার,	ডেভলপার,	
shniper,	স্নাইপের,	স্নাইপার,	
raagee,	রাগী,	রাগী,	
badna,	বাদানা,	বদনা,	
dinara,	ডাইনর,	ডিনার,	
peeri,	পেযারি,	পেরি,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
falasrutite,	ফলাসূর্তিতে,	ফলশ্রুতিতে,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
idaningkale,	ইদনাইনকলল,	ইদানীংকালে,	
shector,	স্ক্টোর,	সেক্টর,	
pancbaar,	পাঙাার,	পাঁচবার,	
dijijer,	দিজিজের,	ডিজিজের,	
gujober,	গুজবের,	গুজবের,	
baipash,	বাইপস,	বাইপাস,	
aameenar,	আমিনার,	আমিনার,	
agamanke,	অগামানকে,	আগমনকে,	
saddhi,	স্বাধি,	সাধ্বী,	
jeansh,	জিনস,	জিন্স,	
jakso,	যক্ষ,	যক্ষ,	
bhorkendra,	ভোরেেন্দ্র,	ভরকেন্দ্র,	
deeyenes,	ডাইনেস,	ডিএনএস,	
dharagulor,	ধারগুলোর,	ধারাগুলোর,	
vagadada,	ভগদাদো,	বাগদাদ,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
bosanta,	বসন্ত,	বসন্ত,	
jaater,	যাতের,	জাতের,	
shomser,	শমসের,	সমশের,	
alpokichudin,	অল্পকিচুছিন,	অল্পকিছুদিন,	
vaticaner,	ভটিচানের,	ভ্যাটিকানের,	
shikhechi,	শিখেছি,	শিখেছি,	
sossar,	শসার,	সকার,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
ragkey,	রাজকে,	রাগকে,	
meloonborrone,	মেলানবর্নে,	মেলবোর্নে,	
avetar,	অভোর,	অবতার,	
robot,	রোবট,	রোবোট,	
bairer,	বৈরের,	বাইরের,	
ruteen,	রুটিন,	রুটিন,	
mousumti,	মুসুমতি,	মৌসুমটি,	
bagey,	বাজে,	বাগে,	
sobrakamer,	সব্রকামের,	সবরকমের,	
partha,	পার্থ,	পার্থ,	
uponishoder,	উপনিসদের,	উপনিষদের,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
shekender,	সেকেন্ডার,	সেকেন্ডের,	
elaakatir,	এলাকাতির,	এলাকাটির,	
pirujalee,	পিরুজলী,	পিরুজালী,	
qibord,	কিবোর্ড,	কীবোর্ড,	
chalochchitroi,	চলচিত্রে,	চলচ্চিত্রই,	
chhaani,	ছানী,	ছানি,	
sibraj,	শিবরাজ,	শিবরাজ,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
porijon,	পরিজন,	পরিজন,	
shcholashtic,	স্কলাশসিট,	স্কলাস্টিক,	
dorji,	দরজি,	দরজি,	
meshenjar,	মেসেন্জার,	মেসেঞ্জার,	
ancholsoho,	আঞ্চলসহ,	অঞ্চলসহ,	
ovishongshon,	অভিশংসন,	অভিশংসন,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
upobaaser,	উপবাসের,	উপবাসের,	
shuperhero,	সুপারেহরা,	সুপারহিরো,	
oedipus,	অদিবাস,	ইডিপাস,	
bhagerei,	ভাগেরেই,	ভাগেরই,	
gaiche,	গাইছে,	গাইছে,	
shainyara,	সাইন্যার,	সৈন্যরা,	
compact,	কম্পাক্ট,	কমপ্যাক্ট,	
rezidence,	রেজিদেন্স,	রেসিডেন্স,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
anuchcheder,	অনুচ্ছাদের,	অনুচ্ছেদের,	
capsule,	ক্যাপুলাল,	ক্যাপসুল,	
heelse,	হাইলস,	হিলসে,	
pathachari,	পাঠাচারী,	পথচারী,	
faaj,	ফাজ,	ফাজ,	
salim,	সালিম,	সেলিম,	
nagorikderkey,	নগরীকেরকদে,	নাগরিকদেরকে,	
syutara,	স্যুটার,	শ্যুটার,	
metropalitana,	ম্যাট্রোপলিটান,	মেট্রোপলিটন,	
iyutha,	ইইউথ,	ইয়ুথ,	
food,	ফুদ,	ফুড,	
vumij,	ভূমিজ,	ভূমিজ,	
noitikotabodh,	নৈতিক্বাধোদ,	নৈতিকতাবোধ,	
roopdaan,	রূপদান,	রুপদান,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
dajhyo,	দাঘ্য,	দাহ্য,	
maudelder,	মুল্ডের,	মডেলদের,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
bhabanir,	ভবনীর,	ভবানীর,	
hattey,	হাঁটে,	হাঁটতে,	
utsaha,	উৎসাহ,	উৎসাহ,	
mandondo,	মান্ন্দ,	মানদণ্ড,	
ralafa,	রোলফ,	রালফ,	
granthati,	গ্রন্থাটি,	গ্রন্থটি,	
tyuner,	টাউনের,	টিউনার,	
everest,	এভারেস্ট,	এভারেস্টে,	
temonvabe,	তেমনোভাবে,	তেমনভাবে,	
milea,	মিলে,	মাইলে,	
pitthe,	পিঠে,	পীঠে,	
olongkoron,	অলঙকরণ,	অলঙ্করণ,	
kiandi,	ক্যান্ডি,	ক্যান্ডি,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
blyaqa,	ব্লক,	ব্ল্যাক,	
sahocorjo,	সহচর্য,	সাহচর্য,	
bii,	বি,	বি,	
jatee,	জেট,	যাতি,	
gaafiloti,	গাফিলতি,	গাফিলতি,	
licenser,	লিসেন্সের,	লাইসেন্সের,	
elakate,	এলাকাতে,	এলাকাতে,	
kaalaam,	কালাম,	কালাম,	
poorohitra,	পুরোহিতরা,	পুরোহিতরা,	
patiganit,	পাতিগাঁত,	পাটিগণিত,	
sachetonbhabe,	সচেঠতাবে,	সচেতনভাবে,	
domonmulok,	দমনমূলক,	দমনমূলক,	
shapod,	শপপদ,	শ্বাপদ,	
footballerder,	ফুটবললারদের,	ফুটবলারদের,	
dhyaan,	ধ্বান,	ধ্যান,	
dhhalur,	ঢালুর,	ঢালুর,	
aziboner,	আজিবনের,	আজীবনের,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
prachuryer,	প্রচূর্যের,	প্রাচুর্যের,	
mojuter,	মজুটের,	মজুতের,	
gaafeeloti,	গাফীলতি,	গাফিলতি,	
grawth,	গ্রাথ,	গ্রোথ,	
tokei,	টোকেই,	ত্বকেই,	
satorkovabe,	সতররকভাবে,	সতর্কভাবে,	
haitasha,	হাইটস,	হাইটস,	
qanasarabheshana,	কনসারোেশন,	কনসারভেশন,	
lisens,	লিসেন্স,	লাইসেন্স,	
oodoore,	অদুরে,	অদুরে,	
addabaaj,	আদ্দবাজ,	আড্ডাবাজ,	
asamorthito,	অসমার্থিত,	অসমর্থিত,	
probeshon,	প্রবেশন,	প্রবেশন,	
toder,	তোডের,	তদের,	
istara,	ইস্তারা,	ইস্টার,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
shiqha,	শিখা,	শিখ,	
bongshoke,	বংশকে,	বংশকে,	
yathaarthabhaabe,	যথাত্রভাবে,	যথার্থভাবে,	
toroonraa,	তরুণারা,	তরুণরা,	
janate,	জানাতে,	জানাতে,	
bagda,	বাগা,	বাগদা,	
