darzi,	দর্জি,	দরজি,	
yaak,	যয়াক,	ইয়াক,	
jubokder,	যুবকদের,	যুবকদের,	
johnsh,	জনস,	জন্স,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
gara,	গার,	গোর,	
shikhechi,	শিখেছি,	শিখেছি,	
fanda,	ফাঁদড,	ফান্ড,	
ches,	চেষ,	চেস,	
seramiqs,	সারামিক্,	সিরামিকস,	
obie,	অবি,	ওবিই,	
toroonke,	তরুণকে,	তরুণকে,	
wodka,	ওডকা,	ভদকা,	
bonaa,	বোনা,	বোনা,	
pallar,	পল্লার,	পাল্লার,	
phimela,	ফিমেল,	ফিমেল,	
abhijojan,	অভিযোজন,	অভিযোজন,	
ekai,	একাই,	একাই,	
nirikh,	নিরিখ,	নিরিখ,	
roopdaan,	রূপদান,	রুপদান,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
parichchhannata,	পরিচ্ছাননততা,	পরিচ্ছন্নতা,	
kaathhaamaandu,	কাঠমানুু,	কাঠমান্ডু,	
ramonar,	রমনার,	রমনার,	
mucus,	মুউুস,	মিউকাস,	
asif,	আসিফ,	আসিফ,	
barbe,	বরবে,	বাড়বে,	
easter,	আস্টের,	ইস্টের,	
bamon,	বামন,	বামন,	
bagdadi,	বাগদাদ,	বাগদাদী,	
byaasalt,	ব্যাসসট,	ব্যাসল্ট,	
masey,	মাস,	মাসে,	
bi,	বি,	বি,	
prapoker,	প্রপপকের,	প্রাপকের,	
sahajlabhbhotar,	সহজলভভতারর,	সহজলভ্যতার,	
gunjey,	গু্জে,	গুঁজে,	
bagda,	বাগ্া,	বাগদা,	
melborne,	মেলবর্ণ,	মেলবোর্নে,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
mekon,	মেকন,	মেকং,	
uqeliptas,	উলিেল্পেটা,	ইউক্যালিপ্টাস,	
bites,	বিটেশ,	বাইটস,	
heavy,	হেভি,	হেভি,	
jokrit,	যকৃত,	যকৃৎ,	
rushd,	রুসদ,	রুশদ,	
nothivuktir,	নথিওুক্তি,	নথিভুক্তির,	
akkaash,	একাশ,	আককাস,	
aakabar,	আকাবার,	আকাবার,	
lutheren,	লাথারেন,	লুথেরান,	
sangosthatir,	সংস্্তািির,	সংস্থাটির,	
teestaar,	টেস্টার,	তিস্তার,	
bhange,	ভাঙেগ,	ভাঙ্গে,	
bosstonte,	বস্তন্তে,	বসন্তে,	
bona,	বোনা,	বোনা,	
parijan,	পরিজন,	পরিজন,	
tobey,	তবে,	টবে,	
janaganonar,	জনগণনার,	জনগণনার,	
aanis,	আনিষ,	আনিস,	
byatasamyan,	ব্যাসসম্যান,	ব্যাটসম্যান,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
prokalpeo,	প্রকলল্পে,	প্রকল্পেও,	
nirupito,	নিরুপিত,	নিরূপিত,	
sikkhakbrinda,	শিক্ষাকৃর্ণ,	শিক্ষকবৃন্দ,	
muhit,	মুহিত,	মুহিত,	
venus,	ভেনুস,	ভেনাস,	
gandhiio,	গান্ধীও,	গান্ধীও,	
agrodut,	অগ্রদু,	অগ্রদূত,	
sollallhoo,	সোল্লাল্ল,	সল্লাল্লাহু,	
siit,	সীট,	শীত,	
firozer,	ফিরোজের,	ফিরোজের,	
machhsoho,	মাছসসহ,	মাছসহ,	
jaaygata,	জাজগা,	জায়গাটা,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
meghachchanno,	মেঘোচ্ঞ্ন্য,	মেঘাচ্ছন্ন,	
herfer,	হেরফর,	হেরফের,	
konar,	কোনার,	কণার,	
yuroo,	ইউরু,	ইউরো,	
governerer,	গভর্নরের,	গভর্ণরের,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
ajuhath,	অজুহা,	অজুহাত,	
kormer,	করমমের,	কর্মের,	
qloud,	ক্লাডড,	ক্লাউড,	
taruner,	তরুণের,	তরুণের,	
aholya,	আহল্য,	অহল্যা,	
maile,	মেলল,	মাইলি,	
tooku,	টুকু,	টুকু,	
basaate,	বাসাতে,	বাসাতে,	
kemone,	কেমন,	কেমনে,	
jalrong,	জল্্,	জলরঙ,	
bipozzonok,	বিপজজননক,	বিপজ্জনক,	
sabaner,	সবনের,	সাবানের,	
parbotto,	পর্বত্ত,	পার্বত্য,	
silvi,	সিলভী,	সিলভি,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
carpetey,	করর্েে,	কার্পেটে,	
ganona,	গণনা,	গননা,	
karpeter,	কর্পটোর,	কার্পেটে,	
artharer,	অর্থাের,	আর্থারের,	
chironton,	চিরনন্ন,	চিরন্তন,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
chhedon,	ছেদন,	ছেদন,	
danober,	দানের,	দানবের,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
fasi,	ফেঁসি,	ফাঁসী,	
oswasteekor,	অস্বাসতিকক,	অস্বস্তিকর,	
eporjanta,	এপরজ্জনা,	এপর্যন্ত,	
shulkey,	সূলকে,	শুল্কে,	
shorifer,	শরীফের,	শরিফের,	
dokaangoolote,	দককাগুলোতে,	দোকানগুলোতে,	
addabaaz,	আদ্মাাজ,	আড্ডাবাজ,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
lajiker,	লাজিকের,	লজিকের,	
mast,	মসস্ট,	মাস্ত,	
aloteo,	আলোটে,	আলোতেও,	
akbakye,	একবকে,	একবাক্যে,	
elaakatite,	এলাকটততে,	এলাকাটিকে,	
pratyokkhobhabe,	প্রত্যাখখভাবে,	প্রত্যক্ষভাবে,	
holuder,	হলুদের,	হলুদের,	
hizriite,	হিজরিতে,	হিজরীতে,	
chetona,	চেতনা,	চেতনা,	
associatees,	অ্যাসোসিয়েসিস,	এসোসিয়েটস,	
sheekarke,	শিকারকে,	শিকারকে,	
wishnu,	উিষ্ণু,	বিষ্ণু,	
hotodoridro,	হতদীর্র,	হতদরিদ্র,	
prottokkhovabe,	প্রত্যকখ্ভাবে,	প্রত্যক্ষভাবে,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
serverer,	সেরেভরর,	সার্ভারের,	
alpokichudin,	অল্পকুচিদিন,	অল্পকিছুদিন,	
dale,	ডলল,	ডালে,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
alaol,	আলাল,	আলাওল,	
bhramankale,	ভ্রামণণকে,	ভ্রমণকালে,	
panchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
esosiyetasa,	এসসিসেযেস,	এসোসিয়েটস,	
sachetan,	সচেতন,	সচেতন,	
kule,	কুলে,	কুলে,	
bondikey,	বন্দিকে,	বন্দীকে,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
karam,	করম,	কেরাম,	
beshirbhaageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
sudhuyi,	সুধুই,	শুধুই,	
pujito,	পুজিত,	পুজিত,	
moshjidke,	মস্জদদকে,	মসজিদকে,	
hebhee,	হেভি,	হেভি,	
chheelona,	ছিলননা,	ছিলনা,	
harbor,	হররবার,	হারবার,	
joni,	জোনি,	জনি,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ddhake,	ঢাকে,	ঢেকে,	
jerusalemer,	জারাসুলামের,	জেরুজালেমের,	
priti,	প্রীতি,	প্রিটি,	
patigonit,	পতিগগণি,	পাটিগণিত,	
sibraz,	শিববাজ,	শিবরাজ,	
noitikotabodh,	নৈতিকবোধ,	নৈতিকতাবোধ,	
granthatike,	গ্রন্থাইককে,	গ্রন্থটিকে,	
battery,	ব্যাটারি,	ব্যাটারী,	
khogen,	খোগেন,	খগেন,	
mangolic,	মাঙ্োলিক,	মাঙ্গলিক,	
choity,	চাইটি,	চৈতি,	
teentir,	তিনটির,	তিনটির,	
chopol,	চপপল,	চপল,	
paadee,	পাদি,	পাড়ে,	
shkolashtic,	স্কলকাস্টিক,	স্কলাস্টিক,	
ebhara,	এভার,	এভার,	
mohit,	মোিত,	মুহিত,	
karu,	কারু,	কারু,	
peterkay,	পেটারকে,	পিটারকে,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
prapokkey,	প্রপোকক,	প্রাপককে,	
poper,	পপার,	পোপের,	
mandander,	মন্দন্দের,	মানদণ্ডের,	
bcci,	বিকিসি,	বিসিসিআই,	
depp,	ডিপ,	ডেপ,	
oichchheek,	উচ্ছিক,	ঐচ্ছিক,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
remacry,	রেমাক্রি,	রেমাক্রী,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
sarbhaarti,	সরবভরর্রি,	সার্ভারটি,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
baharamporer,	বারামপপ্েের,	বহরমপুরের,	
kattar,	কাট্র,	কট্টর,	
pachhi,	পাছছি,	পাচ্ছি,	
pest,	পেস্ট,	পেষ্ট,	
avishangsan,	অভিষংসন,	অভিশংসন,	
raktaksharaney,	রক্তক্ারণে,	রক্তক্ষরণে,	
daaktikiter,	ডাক্তিকেরের,	ডাকটিকিটের,	
asbar,	আসবার,	আসবার,	
taler,	টলের,	তালের,	
bhaabaponno,	ভাবপান্ন,	ভাবাপন্ন,	
madrasi,	মাদ্রসী,	মাদ্রাজি,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
petenter,	প্টেট্টের,	পেটেন্টের,	
seema,	সীম,	সীমা,	
kumarir,	কুমারির,	কুমারীর,	
dhaleshorii,	ধােেশবীী,	ধলেশ্বরী,	
boney,	বোনে,	বনে,	
nadnodeer,	নদদদদীীর,	নদনদীর,	
shyooter,	স্যুতের,	শ্যুটার,	
daqten,	ডাকতেন,	ডাকতেন,	
phokser,	ফক্সের,	ফক্সের,	
subir,	সুবির,	সুবীর,	
easter,	আস্টের,	ইস্টার,	
asiph,	আসিফ,	আসিফ,	
balokarak,	বালকারক,	বলকারক,	
puzito,	পুজিত,	পুজিত,	
proteemar,	প্রতিমার,	প্রতিমার,	
andaman,	আন্দমান,	আন্দামান,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
cholche,	চলছে,	চলছে,	
hanttey,	হানতে,	হাঁটতে,	
chire,	চিরে,	চিরে,	
chutir,	চুতির,	ছুটির,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
jeerusaleema,	জিরাসুলাম,	জেরুসালেম,	
chinto,	চিন্ত,	চিনতো,	
sektara,	সেক্টরর,	সেক্টর,	
asamonjasyopurno,	আসাসসামযযযপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
tintikey,	তিনটিকে,	তিনটিকে,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
faster,	ফ্স্টার,	ফস্টার,	
kanthar,	কণঁঠার,	কাঁথার,	
mulaadi,	মুলাদি,	মুলাদি,	
stana,	স্টনন,	স্টোন,	
kooda,	কোড,	কোডা,	
durgandher,	দুর্গা্্ধেবের,	দুর্গন্ধের,	
vagni,	ভাগ্নি,	ভগ্নী,	
ancholtike,	অঞ্চলিকে,	অঞ্চলটিকে,	
cholochchitrotike,	চলচ্তিত্রিকে,	চলচ্চিত্রটিকে,	
falakti,	ফাককটি,	ফলকটি,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
goteerodh,	গতিরধ,	গতিরোধ,	
durotaumo,	দুরততম,	দূরতম,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
sthapona,	স্থাপনা,	স্থাপনা,	
neshhanasha,	নেশননস,	নেশনস,	
kokeyin,	কোকেইন,	কোকেইন,	
rohoshyor,	রহহ্য,	রহস্যর,	
pujit,	পুজিৎ,	পুজিত,	
brander,	ব্রাযান্ডের,	ব্রান্ডের,	
garjan,	গর্জন,	গর্জন,	
ponthaar,	পন্থার,	পন্থার,	
mesenjjarer,	মেসসজ্জারের,	মেসেঞ্জারের,	
saqara,	সাকার,	সাকার,	
bonbhumi,	বনভূমি,	বনভূমি,	
korkotkraantee,	কর্ককর্ান্তি,	কর্কটক্রান্তি,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
jolrong,	জলর্,	জলরঙ,	
somabeshti,	সমাবেষ্তি,	সমাবেশটি,	
aalkaatraa,	আলকাত্র,	আলকাতরা,	
byakkhabyatito,	ব্যাখ্যবিত্ত,	ব্যাখ্যাতীত,	
tinbhager,	তিনভাগের,	তিনভাগের,	
indrani,	ইন্দ্রনী,	ইন্দ্রাণী,	
nojoder,	নজদদর,	নজদের,	
baasa,	বাসা,	বাসা,	
ganochiener,	গণছছছেনের,	গণচীনের,	
elaakaatike,	এলাকটিকে,	এলাকাটিকে,	
abikol,	আবিকল,	অবিকল,	
dubate,	দুবততে,	ডুবাতে,	
spreadsiit,	স্প্রেদিশ,	স্প্রেডশীট,	
kormokarer,	কর্মকারের,	কর্মকারের,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
spreadsheet,	স্প্রেডসস,	স্প্রেডশীট,	
shomrat,	সম্রা,	সম্রাট,	
daltagi,	দলতাজ,	দলত্যাগী,	
asommati,	অসম্মতি,	অসম্মতি,	
mosjidsaho,	মসসসসসহ,	মসজিদসহ,	
mosjidtikey,	মমজজিদিকে,	মসজিদটিকে,	
roopdan,	রূপদান,	রুপদান,	
rothin,	রথিন,	রথীন,	
snaipara,	স্নাইপরর,	স্নাইপার,	
dhwajbhango,	ধ্বজভঙ্ঞ,	ধ্বজভঙ্গ,	
maila,	মাইল,	মাইল,	
jamaanor,	জামানোর,	জমানোর,	
keyu,	কেউ,	কেউ,	
chhutochhooti,	ছুতুছুট,	ছুটোছুটি,	
habshee,	হবসী,	হাবশী,	
mosan,	মোসনন,	মোশন,	
sina,	সিন,	সিনা,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
akram,	একরাম,	আকরাম,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
cilahaati,	চিলাহাটি,	চিলাহাটি,	
pancbaar,	পাঁ্সবর,	পাঁচবার,	
katbe,	কাটবে,	কাটবে,	
site,	সাইট,	সিটে,	
boikollyo,	বৈকল্য,	বৈকল্য,	
zerusalem,	জেরাসুলাম,	জেরুজালেম,	
dharagulo,	ধরগাগুলো,	ধারাগুলো,	
naabbota,	নাববতা,	নাব্যতা,	
mauhajote,	মহাজতে,	মহাজোট,	
chhutee,	ছুটি,	ছুটি,	
aakkash,	আককষ,	আককাস,	
bhorodwaj,	ভরদদদযা,	ভরদ্বাজ,	
builder,	বুল্ডের,	বিল্ডার,	
pisach,	পিসাচ,	পিশাচ,	
jerujalem,	জেরুজালিম,	জেরুসালেম,	
aalkatraa,	আলকাত্রা,	আলকাতরা,	
brindaa,	ব্রিন্ডা,	বৃন্দা,	
muscut,	মাসকুট,	মাস্কাট,	
soshej,	সসেজ,	সসেজ,	
necker,	নাকের,	নেকের,	
allahabadey,	আলাহবাদে,	এলাহাবাদে,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
berubar,	বেরুবার,	বেরুবার,	
zerusalema,	জারাসললাম,	জেরুসালেম,	
maktum,	মক্টম,	মাকতুম,	
elakaatite,	এলাকাতে,	এলাকাটিকে,	
itastata,	ইতাস্তটা,	ইতস্ততঃ,	
sbatantrata,	স্বতত্ত্রত,	স্বতন্ত্রতা,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
byanger,	ব্যাঙ্জের,	ব্যাঙের,	
dhhalur,	ঢালুর,	ঢালুর,	
fanskari,	ফাস্কারি,	ফাঁসকারী,	
bandike,	বানদিকে,	বন্দীকে,	
darjeeling,	ডার্জিনিং,	দার্জিলিং,	
doobate,	দোবততে,	ডুবাতে,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
taantira,	তানটিরা,	তাঁতিরা,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
shiramikasha,	সিরামিকাস,	সিরামিকস,	
ddebet,	ড্বেড,	ডিবেট,	
ekroop,	একরূপ,	একরূপ,	
mojdoor,	মজদদুর,	মজদুর,	
ishpredshheet,	ইসপ্রেড্সি,	স্প্রেডশীট,	
mitrata,	মিত্রাত,	মিত্রতা,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
aarakani,	আরকানি,	আরাকানী,	
naobihar,	নৌবিহার,	নৌবিহার,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
gazipur,	গাজীপুর,	গাজিপুর,	
khude,	খুদে,	ক্ষুদে,	
suparheiro,	সুপাহহহর,	সুপারহিরো,	
dibeting,	ডিব়েটিং,	ডিবেটিং,	
seat,	সিট,	সিট,	
taitela,	টাইলাল,	টাইটেল,	
doneta,	ডোবনটা,	ডোনাট,	
kanasarabhesana,	কনসারভেশন,	কনসারভেশন,	
protijogi,	প্রতিযোগি,	প্রতিযোগী,	
township,	টননশিপ,	টাউনশিপ,	
deephineeshana,	ডেফিনিস,	ডেফিনেশন,	
haze,	হাজে,	হেজ,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
gardeena,	গর্ডিন,	গার্ডেন,	
oitijjhe,	ঐতিহ্যে,	ঐতিহ্যে,	
ghotleo,	ঘটলেও,	ঘটলেও,	
hertz,	হের্ট,	হার্জ,	
sothik,	সথীক,	সঠিক,	
natniike,	নতননীকে,	নাতনীকে,	
poripakey,	পরিপককে,	পরিপাকে,	
ukeliptas,	উকিকিপ্পাস,	ইউক্যালিপ্টাস,	
hajarti,	হারতটি,	হাজারটি,	
shoreefer,	শরীফের,	শরিফের,	
praapoker,	প্রাপকের,	প্রাপকের,	
hazirhaat,	হজিরহাট,	হাজিরহাট,	
hepatitish,	হাইপোটিটিস,	হেপাটাইটিস,	
ministar,	মিনিস্টার,	মিনিস্টার,	
faj,	ফাজ,	ফাজ,	
disney,	ডিজনে,	ডিজনী,	
bajhyo,	বাঝ্য,	বাহ্য,	
aarekdal,	আরেকদল,	আরেকদল,	
deul,	ডিউল,	দেউল,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
mail,	মেল,	মাইল,	
sontoshe,	সন্তোষে,	সন্তোষে,	
probesher,	প্রবেশের,	প্রবেশের,	
postake,	পোস্টকে,	পোস্টকে,	
adhito,	অধিত,	অধীত,	
vromoner,	ভ্রমণণরর,	ভ্রমণের,	
janogananar,	জনগণনার,	জনগণনার,	
gaiche,	গেছে,	গাইছে,	
mojlish,	মজলিস,	মজলিশ,	
black,	ব্লক,	ব্ল্যাক,	
mugdhota,	মুগধতা,	মুগ্ধতা,	
arbit,	আরবিত,	অরবিট,	
shakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
moshzidtir,	মস্জদির,	মসজিদটির,	
sombhobonaao,	সম্ভানাও,	সম্ভবনাও,	
biphal,	বিফল,	বিফল,	
baarbadoj,	বার্বাোোজ,	বার্বাডোজ,	
manober,	মাোবে,	মানবের,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
rautine,	রাউনিন,	রুটিন,	
keyboard,	কেববোর্ড,	কীবোর্ড,	
cheef,	চিফ,	শেফ,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
sahojlabhbhatar,	সহজলভভততার,	সহজলভ্যতার,	
baarak,	বারকক,	বারাক,	
jolrang,	জলরাং,	জলরঙ,	
mashjid,	মাসিদদ,	মসজিদ,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
samajeek,	সামাজিক,	সামাজিক,	
debeting,	ডেবেটং,	ডিবেটিং,	
ray,	রে,	রায়,	
satthikata,	সাথিকতা,	সঠিকতা,	
uthhe,	উঠে,	উঠে,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
dembakriti,	ডেম্ব্কৃতি,	ডিম্বাকৃতি,	
manabmaner,	মানবমমার,	মানবমনের,	
madraji,	মাদ্রাজি,	মাদ্রাজি,	
nirabata,	নিরবতা,	নিরবতা,	
aiiub,	আইউউ,	আইইউবি,	
ashshociatesh,	অ্যাসোসিয়েস্ট,	এসোসিয়েটস,	
bodhirota,	বধধররতা,	বধিরতা,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
danut,	দাবুত,	ডোনাট,	
sampadankaree,	সম্পাদনাকারী,	সম্পাদনকারী,	
jemi,	জেমি,	জেমি,	
samanyo,	সামান্য,	সামান্য,	
teamothy,	টিমথি,	টিমোথি,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
meetar,	মেটার,	মিত্র,	
eshiyatika,	এসিটটিক,	এশিয়াটিক,	
konrup,	কনরপু,	কোনরূপ,	
jacq,	য্যাক,	জ্যাক,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
asommoti,	আসম্মতি,	অসম্মতি,	
falokti,	ফালকটি,	ফলকটি,	
ghotlo,	ঘটল,	ঘটল,	
kobootorer,	কবিতরের,	কবুতরের,	
venicey,	ভেনিসে,	ভেনিসে,	
mosjidsoho,	মস্জসসহ,	মসজিদসহ,	
volapuq,	ভলাপুক,	ভোলাপুক,	
boneo,	বোনও,	বনেও,	
ingrejra,	ইংরেজার,	ইংরেজরা,	
engineersh,	ইনিজিন্স,	ইঞ্জিনিয়ার্স,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
gezeteda,	গেজেটেড,	গেজেটেড,	
mautke,	মৌককে,	মতকে,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
ajij,	আজিজ,	আজিজ,	
shaswata,	শাস্বতা,	শাশ্বত,	
salim,	সালিম,	সেলিম,	
aamoode,	আমদে,	আমুদে,	
themeke,	থেমকে,	থিমকে,	
awatara,	অওতারা,	অবতার,	
isosiyitasa,	ইসসসিসতত,	এসোসিয়েটস,	
ekok,	একক,	একক,	
trayte,	ট্রেই,	ট্রেতে,	
deefinition,	ডিফিনিশ,	ডেফিনেশন,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
manob,	মানব,	মানব,	
baasate,	বাসাতে,	বাসাতে,	
daakten,	ডাকতেন,	ডাকতেন,	
rilayeensa,	রিলিয়েন্স,	রিলায়েন্স,	
darada,	দরদা,	দারদা,	
torkareer,	তরকারীর,	তরকারীর,	
bhalobass,	ভালবাস,	ভালোবাসা,	
gripa,	গ্রিপ,	গ্রিপ,	
hol,	হলল,	হোল,	
tovnship,	টপনিিপ,	টাউনশিপ,	
bufer,	বুফের,	বাফার,	
skirt,	স্কারটট,	স্কার্ট,	
yura,	ইউরা,	ইউরো,	
diana,	ডিয়ন,	ডায়না,	
birishiritey,	বিরিশিরেতে,	বিরিশিরিতে,	
kortonaa,	কর্তনা,	করতনা,	
lat,	লতযাট,	লাট,	
bunot,	বুনো,	বুনট,	
drissoteer,	দৃষ্যটির,	দৃশ্যটির,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
bagdader,	বাগদাদের,	বাগদাদের,	
plaiin,	প্লেই,	প্লেন,	
bholapuqa,	ভলাপুকা,	ভোলাপুক,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
ingrezraa,	ইংরেজার,	ইংরেজরা,	
graambashee,	গ্রা্বাসী,	গ্রামবাসী,	
overviu,	ওভারভি,	ওভারভিউ,	
shomser,	শমসের,	সমশের,	
fulkapi,	ফুলকাাি,	ফুলকপি,	
hori,	হরি,	হরি,	
licensing,	লিকেন্সি,	লাইসেন্সিং,	
prokalpaguli,	প্রকোলগুলি,	প্রকল্পগুলি,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
noditike,	নদীতিকে,	নদীটিকে,	
eiling,	এইলিং,	ইলিং,	
voterer,	ওয়েরার,	ভোটারের,	
bm,	বিএমএ,	বিএম,	
tukrotey,	তুকরততে,	টুকরোতে,	
kuley,	কুলে,	কুলে,	
karmasampadon,	কর্মসম্পদ,	কর্মসম্পাদন,	
pretty,	প্রেটি,	প্রিটি,	
kraantikaale,	ক্রানটটিকালে,	ক্রান্তিকালে,	
sangosthagulo,	সংস্ঘাগুলো,	সংস্থাগুলো,	
manhputa,	মানসুতা,	মনঃপুত,	
wenish,	ভইনিশ,	ভেনিস,	
cholochchitratike,	চলচ্তিত্রাকি,	চলচ্চিত্রটিকে,	
kkomatei,	কমাতেই,	কমাতেই,	
khorsed,	খর্সেদ,	খোরশেদ,	
jathaarthobhaabe,	যথথর্ভাবে,	যথার্থভাবে,	
mahe,	মহে,	মাহে,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
varson,	ভার্নন,	ভারশন,	
salapheeta,	সালােট,	সালফেট,	
redcrosser,	রেডঅ্র্সরর,	রেডক্রসের,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
doonut,	দুনুত,	ডোনাট,	
antarktika,	অন্তর্কিত,	অ্যান্টার্কটিকা,	
morodeho,	মরোদেহ,	মরদেহ,	
dakticket,	ডা্কিকেট,	ডাকটিকিট,	
elaakatir,	এলাকটটির,	এলাকাটির,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
kayartara,	কায্টটা,	কোয়ার্টার,	
vool,	ভুল,	উল,	
phaltu,	ফল্টো,	ফালতু,	
phaksha,	ফক্স,	ফক্স,	
amontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
becha,	বেচা,	বেচা,	
shuknaa,	শুকনা,	শুকনা,	
drishtiheen,	দৃষ্ঠিহীন,	দৃষ্টিহীন,	
aaeerese,	আইরেশ,	আইরেসে,	
cinematographar,	সেনোটমাকর্রার,	সিনেমাটোগ্রাফার,	
bharadwaj,	ভারাদ্যা,	ভরদ্বাজ,	
nazad,	নজা,	নজদ,	
shannal,	স্ন্না,	সান্যাল,	
ghoorte,	ঘুতে,	ঘুরতে,	
gazipore,	গাজীপেে,	গাজীপুর,	
militaryr,	মিলিটারির,	মিলিটারির,	
shten,	স্টেন,	স্টেন,	
sekarane,	সেকারন,	সেকারণে,	
hocker,	হকের,	হুকার,	
somratder,	সম্রতদের,	সম্রাটদের,	
chaaka,	চাকা,	চাকা,	
hypar,	হাইপ,	হাইপার,	
kooshumba,	কুসুম্ব,	কুশুম্বা,	
ooindo,	উইন্ড,	উইন্ডো,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
komti,	কমতি,	কমতি,	
prodiiper,	প্রদীীের,	প্রদীপের,	
bongraam,	বংগ্াম,	বনগ্রাম,	
okkhorke,	অক্ষরক,	অক্ষরকে,	
abosan,	অবসন,	অবসান,	
potchitro,	পথিচত্র,	পটচিত্র,	
eshoshiyetasha,	এস্সিয়েশ,	এসোসিয়েটস,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
kuota,	কুটটা,	কোটা,	
deobonde,	ডিবনন্ে,	দেওবন্দে,	
segulor,	সেগুলোর,	সেগুলোর,	
mitrao,	মিত্রও,	মিত্রও,	
akshoti,	অকশটি,	একশোটি,	
bhadaka,	ভাদা,	ভদকা,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
shotokey,	শতকে,	শতকে,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
anupater,	অনুপতের,	অনুপাতের,	
joubanbatee,	যৌবনন্ীী,	যৌবনবতী,	
desiseyer,	ডিসিসের,	ডিজিজের,	
pashan,	পাশনন,	পাষাণ,	
jubokti,	যুবক্্তি,	যুবকটি,	
lajiqa,	লাজিকা,	লজিক,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
aakabaar,	আকাবার,	আকাবার,	
bishashke,	বিশ্বাসকে,	বিশ্বাসকে,	
