inapharameshana,	ইনফারসমেশন,	ইনফরমেশন,	
hajjarer,	হাজজরের,	হাজারের,	
jeebnagore,	জীবনগরে,	জীবননগর,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
pab,	পাব,	পাব,	
adhyattikotar,	আধ্যাত্তিকতার,	আধ্যাত্মিকতার,	
probhu,	প্রভূ,	প্রভু,	
musalmanderkey,	মুসলামন্দরকে,	মুসলমানদেরকে,	
konflikt,	কনলিক্ট,	কনফ্লিক্ট,	
sulfete,	সালফেটে,	সালফেট,	
malaika,	মালাইকা,	মালাইকা,	
baik,	বাযাক,	বাইক,	
nirarthok,	নিরা্্ক,	নিরর্থক,	
abahon,	আবহন,	আবাহন,	
danab,	দানব,	দানব,	
paare,	পারে,	পাড়ে,	
noditikey,	নদীতিকে,	নদীটিকে,	
vangchur,	ভাঙচুর,	ভাংচুর,	
gyate,	জ্ঞাতে,	গ্যেটে,	
nojder,	নজদের,	নজদের,	
granther,	গ্রন্থের,	গ্রন্থের,	
habshee,	হাবসী,	হাবশী,	
rinatmak,	রিনাত্মক,	ঋনাত্মক,	
chalochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
aamor,	আমর,	আমর,	
ganoparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
ganachiner,	গণছিনের,	গণচীনের,	
sheepha,	সেফ,	শেফ,	
jibjantu,	জীবনযাত্তু,	জীবজন্তু,	
muktilav,	মুক্তিলাভা,	মুক্তিলাভ,	
bosontey,	বসন্তে,	বসন্তে,	
samley,	সম্লে,	সামলে,	
marmader,	মার্মদের,	মারমাদের,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
dormitori,	দর্মিটরি,	ডরমিটরি,	
domonmulok,	দমননমূলক,	দমনমূলক,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
barbaadoj,	বার্বাডোজ,	বার্বাডোজ,	
faase,	ফেসে,	ফাঁসে,	
oteeteo,	অতিতেও,	অতীতেও,	
kunntee,	কান্তি,	কুন্তী,	
dayraa,	দার়া,	ডেরা,	
armshtrong,	আর্স্ট্র্ম,	আর্মস্ট্রং,	
dolgulo,	দলগুলো,	দলগুলো,	
inziniyarim,	ইন্জিনারিং,	ইঞ্জিনিয়ারিং,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
ssumi,	সুমি,	সুমি,	
kemonay,	কেমনে,	কেমনে,	
duplex,	ডাপলেক্স,	ডুপ্লে,	
qings,	কিংস,	কিংস,	
tukroke,	তুক্রকে,	টুকরোকে,	
shhikara,	শিকার,	শিকার,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
deezni,	দিজনি,	ডিজনী,	
prokalpatikey,	প্রকল্পটিকে,	প্রকল্পটিকে,	
hazarer,	হাজারের,	হাজারের,	
bonaa,	বোনা,	বোনা,	
manee,	মান,	মানে,	
reefleex,	রেফল্ক্স,	রিফ্লেক্স,	
ponchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
ajeejer,	আজিজের,	আজিজের,	
alexandarkey,	আলেকল্নদারকে,	আলেকজান্ডারকে,	
bipojjanak,	বিপযজজনক,	বিপজ্জনক,	
phareqsa,	ফরেক্স,	ফরেক্স,	
hoil,	হইল,	হইল,	
ghurte,	ঘুর্তে,	ঘুরতে,	
ishtara,	ইস্টার,	ইস্টার,	
mittrer,	মিত্রের,	মিত্রের,	
os,	ওস,	অস,	
liceensing,	লিসেন্সিং,	লাইসেন্সিং,	
neermol,	নির্মল,	নির্মল,	
ajimke,	আজিমকে,	আজিমকে,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
muhammada,	মুহাম্মদ,	মুহাম্মদ,	
kooshumba,	কুশুম্ব,	কুশুম্বা,	
nogonyo,	নগোনও,	নগণ্য,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
chaiti,	চাইতি,	চৈতি,	
sbatantrota,	স্বতত্র্ততা,	স্বতন্ত্রতা,	
naraphooka,	নারফোক,	নরফোক,	
shikkhakke,	শিক্ষককে,	শিক্ষককে,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
goroor,	গরুর,	গরুর,	
heris,	হেরিস,	হ্যারিস,	
brindaaboner,	বৃন্দবননের,	বৃন্দাবনের,	
harisoner,	হরিসোনের,	হ্যারিসনের,	
rajballav,	রাজবলাভা,	রাজবল্লভ,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
roshider,	রোশিদের,	রশিদের,	
phutanto,	ফুটান্ত,	ফুটন্ত,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
netherlande,	নেযারল্যান্ডে,	নেদারল্যান্ডে,	
manbey,	মানবে,	মানবে,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
digrio,	ডিগ্রোয়,	ডিগ্রিও,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
sainyo,	সৈনইয়,	সৈন্য,	
moomtajer,	মুতমাজের,	মুমতাজের,	
toroonderke,	তরুন্দরকে,	তরুণদেরকে,	
ispredshit,	ইফপ্রেসিডিট,	স্প্রেডশীট,	
muhamada,	মুহামদা,	মুহাম্মদ,	
nirbaho,	নির্বাহ,	নির্বাহ,	
minishter,	মিনিস্টের,	মিনিস্টার,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
janomukhi,	জনমুখী,	জনমুখী,	
yankee,	যঙ্কি,	ইয়াংকি,	
gripa,	গ্রীপ,	গ্রিপ,	
duckten,	ডাকেেন,	ডাকতেন,	
seeramiker,	সিরামিকের,	সিরামিকের,	
gonesher,	গণেষের,	গণেশের,	
kana,	কানা,	কণা,	
daakteekit,	ডাক্তিকিত,	ডাকটিকিট,	
nabheela,	নেভেল,	নভেল,	
potocheetro,	পটাচিত্র,	পটচিত্র,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
quary,	কুয়ারি,	কোয়েরি,	
ballabh,	বললাভ,	বল্লভ,	
pounchute,	পৌঁচতে,	পৌঁছুতে,	
tale,	তালে,	তালে,	
hijri,	হিজরি,	হিজরী,	
forex,	ফরেক্স,	ফরেক্স,	
monjushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
kakhonyoba,	কখনোবা,	কখনওবা,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
daktickete,	ডাক্তিকেটে,	ডাকটিকিটে,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
damodar,	দামোদার,	দামদর,	
yucalyptus,	উচ্লাপিস্ট,	ইউক্যালিপ্টাস,	
agamaner,	অগমানের,	আগমনের,	
bodhirota,	বোধিরতা,	বধিরতা,	
koreemke,	করিমকে,	করিমকে,	
kakhanyoba,	কখনোবা,	কখনওবা,	
avatar,	অভাতার,	অবতার,	
philippiner,	ফিলিপ্নের,	ফিলিপাইনের,	
mahakabi,	মহাকাবি,	মহাকবি,	
nadnodeer,	নদ্দনীর,	নদনদীর,	
reejur,	রিজুর,	রিজুর,	
shommotite,	সম্তিতে,	সম্মতিতে,	
jerushalem,	জেরুশালাম,	জেরুসালেম,	
utkhaat,	উৎকাষাত,	উত্খাত,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
shailee,	সাইলি,	শৈলী,	
tyunar,	টুনার,	টিউনার,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
jahar,	জাহর,	জহর,	
armstrong,	আরস্স্ট্রং,	আর্মস্ট্রং,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
qeyboard,	কেবোর্ড,	কীবোর্ড,	
megh,	মেঘ,	মেঘ,	
kins,	কিংস,	কিংস,	
idaning,	ইদানিং,	ইদানীং,	
onekeri,	অনেকারি,	অনেকেরই,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
daja,	দাজা,	ডোজো,	
bosonto,	বসন্ত,	বসন্ত,	
astikota,	অস্তিকোতা,	আস্তিকতা,	
halloween,	হলওলেন,	হ্যালোইন,	
irana,	আইরন,	ইরান,	
bishashke,	বিশ্বাসকে,	বিশ্বাসকে,	
bhenkates,	ভেনকেটস,	ভেঙ্কটেশ,	
carlosh,	কার্লস,	কার্লোস,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
daackticketer,	ডাক্তিকটের,	ডাকটিকিটের,	
hitokar,	হিতকার,	হিতকর,	
nagariker,	নাগারীকের,	নাগরিকের,	
agara,	আগার,	আগোরা,	
setio,	সেটিও,	সেটিও,	
olpoi,	অলপাই,	অল্পই,	
manobsomajer,	মানবসামাজের,	মানবসমাজের,	
ooeepokar,	ওইপকার,	উইপোকার,	
depootee,	ডিপুটি,	ডেপুটি,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
ikbalke,	ইকবলকে,	ইকবালকে,	
homsher,	হোমসের,	হোমসের,	
parker,	পার্কের,	পার্কের,	
logicer,	লোগিসের,	লজিকের,	
porjotoker,	পর্যটকের,	পর্যটকের,	
shikha,	শিখা,	শিখ,	
istoone,	ইস্তোনে,	স্টোন,	
atorkite,	আটর্কিতে,	অতর্কিতে,	
bee,	বি,	বি,	
kara,	কোরা,	কর,	
neelfamarir,	নিলফমামারির,	নীলফামারীর,	
modeel,	মোদেল,	মডেল,	
thanvee,	ঠাঁবি,	থানভী,	
jons,	জনস,	জোন্স,	
shatoke,	শতকে,	শতকে,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
ja,	যা,	জ্যা,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
metere,	মেটারে,	মিটারে,	
dayana,	ডায়না,	ডায়না,	
ghosito,	ঘোষিত,	ঘোষিত,	
plete,	প্লেটে,	প্লেট,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
garnaar,	গর্নার,	গার্নার,	
pathkromer,	পাঠকর্মের,	পাঠক্রমের,	
pituni,	পিতুনি,	পিটুনি,	
munshi,	মুনশী,	মুন্সী,	
pushteer,	পুষ্টির,	পুষ্টির,	
johny,	জনি,	জনি,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
dooburir,	দববুরীর,	ডুবুরির,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
dolguloo,	দলগুলো,	দলগুলোও,	
meghe,	মেঘে,	মেঘে,	
haphsa,	হাস্স,	হাফসা,	
kaansaat,	কানসাট,	কানসাট,	
vabnakey,	ভবননকে,	ভাবনাকে,	
rupantor,	রূপান্তর,	রুপান্তর,	
bulan,	বুলান,	বুলান,	
kanasharabheshhana,	কনস্বরেশন,	কনসারভেশন,	
debholopar,	ডেভললপার,	ডেভলপার,	
maney,	মানে,	মানে,	
soource,	সার্স,	সোর্স,	
okkhor,	অক্ষর,	অক্ষর,	
vogirath,	ভগীরীথ,	ভগীরথ,	
hanttey,	হাঁটতে,	হাঁটতে,	
bcci,	বিসিসি,	বিসিসিআই,	
cloud,	ক্লাউ,	ক্লাউড,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
shiropa,	শীরপা,	শিরোপা,	
parisankhanvid,	পরিসংখ্যানশী,	পরিসংখ্যানবিদ,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
badna,	বদ্ন,	বদনা,	
subir,	সুবীর,	সুবীর,	
phern,	ফের্ন,	ফার্ন,	
elakaatir,	এলাকাটির,	এলাকাটির,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
lutherana,	লুথারণ,	লুথেরান,	
karor,	কারোর,	কারোর,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
hundai,	হান্ডাই,	হুন্দাই,	
afzal,	আফজাল,	আফজল,	
somaazeri,	সমাজীরে,	সমাজেরই,	
sooraarop,	সুরারাপ,	সুরারোপ,	
choopi,	চুপি,	চুপি,	
chorbon,	চর্বন,	চর্বন,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
mahajote,	মহাজতে,	মহাজোট,	
breqathru,	ব্রেকার্থু,	ব্রেকথ্রু,	
soourse,	সার্সে,	সোর্স,	
amarendra,	আমরেন্দ্র,	অমরেন্দ্র,	
daap,	ডাপ,	ড্যাপ,	
cathalic,	ক্যাথিলিক,	ক্যাথলিক,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
steit,	স্টেট,	স্টেইট,	
agomonke,	আগমনকে,	আগমনকে,	
drishyagulo,	দৃশ্যুগুলো,	দৃশ্যগুলো,	
sikare,	শিকারে,	শিকারে,	
madhobeer,	মাধবীর,	মাধবীর,	
cholochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
raia,	রয়,	রায়,	
vugol,	ভুগল,	ভূগোল,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
krom,	ক্রম,	ক্রম,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
behrampurer,	বেহারপ্মুরের,	বহরমপুরের,	
onodhikaar,	অনধিকার,	অনধিকার,	
tachnach,	টাচনাচ,	তছনছ,	
rathin,	রথিন,	রথীন,	
gatre,	গোত্রে,	গাত্রে,	
thelaa,	থেলা,	ঠেলা,	
neemitte,	নিমিত্তে,	নিমিত্তে,	
saajano,	সাজান,	সাজানো,	
mosjidtir,	মসিজিদ্তির,	মসজিদটির,	
saazano,	সাজান,	সাজানো,	
kaantojir,	কান্তজীর,	কান্তজির,	
shucre,	সাক্র,	সাকার,	
mukkho,	মুক্ষ,	মুখ্য,	
deebatee,	দীবতী,	ডিবেট,	
ghoorsen,	ঘুরেশন,	ঘুরেছেন,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
sanatoni,	সানাটানি,	সনাতনী,	
sectore,	সেক্টরে,	সেক্টরে,	
orthoniti,	অর্থনীটি,	অর্থনীতির,	
lotheran,	লথারান,	লুথেরান,	
karoo,	কারও,	কারো,	
jeteo,	যেটেও,	যেতেও,	
military,	মিলিটারি,	মিলিটারি,	
phalah,	ফালাহ,	ফালাহ,	
juktorastrosoho,	যুক্তরস্রাসহ,	যুক্তরাষ্ট্রসহ,	
basinay,	বাসীনে,	বেসিনে,	
phiksha,	ফিক্স,	ফিক্স,	
katbe,	কাটবে,	কাটবে,	
nutan,	নুটান,	নূতন,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
noditi,	নদীতি,	নদীটি,	
scholastic,	স্কললস্টিক,	স্কলাস্টিক,	
ritesh,	রতইস,	রিতেশ,	
shkalarashhipa,	স্কলারশিফ,	স্কলারশিপ,	
sofier,	সফির,	সোফির,	
nilkamal,	নীলকমল,	নীলকমল,	
sahokari,	সহকারি,	সহকারী,	
muphti,	মুফটি,	মুফতি,	
ganosachetanata,	গণশচেতনাতা,	গণসচেতনতা,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
helloin,	হেলোইন,	হ্যালোইন,	
nilphamarir,	নিলফামারির,	নীলফামারীর,	
sansthatike,	সংস্ঠাটিকে,	সংস্থাটিকে,	
rayyalati,	রাইয়ালটি,	রয়্যালটি,	
jaaygata,	জাগত,	জায়গাটা,	
kaareer,	কারীর,	কারীর,	
totenhamer,	টোটেনামার,	টটেনহামের,	
manushey,	মানুসে,	মানুষে,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
jockei,	জকেই,	জকি,	
sangasthagulo,	সংংস্ধাগুলো,	সংস্থাগুলো,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
sainyara,	সাইন্যার,	সৈন্যরা,	
ganonatto,	গণনাত্ত,	গণনাট্য,	
segular,	সেগুলার,	সেগুলোর,	
bhagno,	ভাগ্ন,	ভগ্ন,	
masjidti,	মাসীদ্তি,	মসজিদটি,	
thetcher,	ঠেচের,	থ্যাচার,	
khizir,	খিজির,	খিজির,	
omittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
korlei,	করলেই,	করলেই,	
tempaleta,	টেম্পালেট,	টেম্পলেট,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
elakaate,	এলাকাতে,	এলাকাতে,	
kuchir,	কুচির,	কুচির,	
meetropalitana,	মেট্রোপালিটান,	মেট্রোপলিটন,	
heje,	হেজে,	হেজ,	
vabani,	ভবানী,	ভবানী,	
bhezano,	ভেজানো,	ভেজানো,	
badei,	বাদে,	বাদেই,	
scholastik,	স্কললস্টিক,	স্কলাস্টিক,	
bamon,	বামন,	বামন,	
grontho,	গ্রন্থ,	গ্রন্থ,	
tafsirer,	তাফসীরের,	তাফসীরের,	
potka,	পটাকা,	পটকা,	
nathibhukto,	নথিভুত্ত,	নথিভুক্ত,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
neurooloogy,	নিউরোলজি,	নিউরোলজি,	
murali,	মুরালি,	মুরলী,	
japanira,	জাপানীরা,	জাপানিরা,	
suparahiro,	সুপারহাহিরও,	সুপারহিরো,	
mojlish,	মজলিস,	মজলিশ,	
shaarok,	সারক,	স্মারক,	
birishiritey,	বিরিসিরিতে,	বিরিশিরিতে,	
bonoshree,	বনস্রী,	বনশ্রী,	
upobasee,	উপবাসী,	উপবাসী,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
dayra,	দার়া,	ডেরা,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
chirkoot,	চির্কুট,	চিরকুট,	
netherlander,	নেযারল্যান্ডের,	নেদারল্যান্ডের,	
oodoore,	উদ্যরে,	অদুরে,	
bosturyi,	বস্তুরই,	বস্তুরই,	
taaims,	টাইমস,	টাইমস্,	
yak,	যয়াক,	ইয়াক,	
fareksa,	ফরেক্স,	ফরেক্স,	
remacry,	রেমার্কি,	রেমাক্রী,	
gaddafii,	গাদ্দাফী,	গাদ্দাফী,	
hatodaridra,	হতাদির্দ্র,	হতদরিদ্র,	
jekhan,	যেখান,	যেখান,	
daaraa,	দারা,	দারা,	
pudim,	পুদিম,	পুডিং,	
dologuloo,	দলগুলো,	দলগুলোও,	
atto,	আত্মো,	আত্ম,	
suddeen,	সাউডিন,	সাডেন,	
gatirodh,	গতিরধ,	গতিরোধ,	
jyestha,	জ্যা্সা,	জ্যেষ্ঠা,	
bandhubhaabaapanna,	বা্ধভবন্দপান,	বন্ধুভাবাপন্ন,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
neerbaho,	নির্বাহ,	নির্বাহ,	
madraji,	মাদরাজী,	মাদ্রাজি,	
anchalti,	অঞ্চলটি,	অঞ্চলটি,	
tenish,	টেনিস,	টেনিস,	
cinematographar,	সিনেটোর্ভারোফার,	সিনেমাটোগ্রাফার,	
sanghar,	সংঘার,	সংহার,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
pathanatak,	পাঠনাতক,	পথনাটক,	
baek,	ব্যাক,	বাইক,	
jeebnagar,	জীবনাগার,	জীবননগর,	
aaeerese,	আইরেসে,	আইরেসে,	
taalgachh,	তালগাছ,	তালগাছ,	
manzurul,	মঞ্জুরুল,	মনজুরুল,	
steen,	স্টিন,	স্টেন,	
ieub,	ইউযাব,	আইইউবি,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
saqara,	সককার,	সাকার,	
pluse,	প্লাসে,	প্লাসে,	
kaas,	কাস,	কাস,	
gitikabitar,	গিতিকিবিতার,	গীতিকবিতার,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
kaando,	কান্ড,	কাণ্ড,	
samanno,	সামান্ন,	সামান্য,	
degree,	ডিগ্রী,	ডিগ্রি,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
harysoner,	হরিসোনের,	হ্যারিসনের,	
shoreefpur,	শরীপুর,	শরিফপুর,	
elakaa,	এলাকা,	এলাকা,	
snepara,	স্পেনার,	স্নাইপার,	
dhrubak,	ধ্রুবক,	ধ্রুবক,	
maryir,	মেরির,	ম্যারির,	
duplee,	ডাপললি,	ডুপ্লে,	
donata,	দোনাটা,	ডোনাট,	
transformarer,	ট্রান্সফরমারের,	ট্রান্সফরমারের,	
kaner,	কানের,	কনের,	
charjara,	চার্জার,	চার্জার,	
gosthyti,	গষ্টিতি,	গোষ্ঠীটি,	
rabo,	রব,	রব,	
ghenshe,	ঘেন্সে,	ঘেঁষে,	
musalmanke,	মুসলামনকে,	মুসলমানকে,	
saarbharti,	সারভর্তী,	সার্ভারটি,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
korimkey,	করিমকে,	করিমকে,	
naker,	নাকের,	নেকের,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
fake,	ফেঁকে,	ফাকে,	
vagadada,	ভাগাদাদা,	বাগদাদ,	
bifal,	বিফল,	বিফল,	
ovishangson,	অভিষংসান,	অভিশংসন,	
aastikotaa,	আস্তিকতা,	আস্তিকতা,	
daackticket,	ডাক্টিকটট,	ডাকটিকিট,	
prokolpogulor,	প্রকললপুলোর,	প্রকল্পগুলোর,	
seet,	সেট,	সিট,	
dece,	ডেসে,	ডেকে,	
prasadhani,	প্রশাধানি,	প্রসাধনী,	
madhabike,	মাধাবীকে,	মাধবীকে,	
arakani,	অরকানি,	আরাকানী,	
kaande,	কান্ডে,	কাণ্ডে,	
jemske,	জেম্কে,	জেমসকে,	
chhayi,	ছাই,	ছাই,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
adbhansed,	অ্যাডভান্সেড,	অ্যাডভান্সড,	
bharadwaja,	ভারাডওয়াবা,	ভরদ্বাজ,	
manohar,	মনোহর,	মনোহর,	
sahopathike,	সহপাঠীকে,	সহপাঠীকে,	
utshahe,	উত্সাহে,	উৎসাহে,	
amarjito,	অমার্জিত,	অমার্জিত,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
bolobhodro,	বলোভদ্র,	বলভদ্র,	
antarctica,	অন্টার্টিক,	অ্যান্টার্কটিকার,	
elaaka,	এলাকা,	এলাকা,	
atitkale,	অতীতকালে,	অতীতকালে,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
bhittiteow,	ভিত্তিও,	ভিত্তিতেও,	
swostir,	স্বস্তির,	স্বস্তির,	
kattor,	কাটার,	কট্টর,	
chhanake,	ছানাকে,	ছানাকে,	
madhobikey,	মাধবীকে,	মাধবীকে,	
futbolarer,	ফুটবললের,	ফুটবলারের,	
ganohotyake,	গণহত্যকে,	গণহত্যাকে,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
masto,	মসস্ট,	মাস্ত,	
conan,	কোনান,	কোনান,	
harris,	হাযারিস,	হ্যারিস,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
pillai,	পিল্লাই,	পিল্লাই,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
spenser,	স্পেন্সের,	স্পেন্সার,	
addabaj,	আদ্দাবাজ,	আড্ডাবাজ,	
okhondota,	অখন্দতা,	অখণ্ডতা,	
neshanasa,	নেশানস,	নেশনস,	
utshahi,	উত্সাহী,	উৎসাহী,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
land,	ল্যান্ড,	ল্যান্ড,	
panchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
srichoitonnodeb,	শ্রীচৈতন্যবাদী,	শ্রীচৈতন্যদেব,	
coode,	কোড,	কোড,	
kailas,	কাইলাস,	কৈলাস,	
dhani,	ধানি,	ধানি,	
tateo,	তাঁেও,	তাতেও,	
showti,	শৌটি,	শোটি,	
bhalta,	ভলতা,	ভল্ট,	
anisa,	অনিশা,	আনিস,	
sahab,	সাহাব,	সাহাব,	
diyares,	ডায়ারেস,	ডিআরএস,	
ghoomato,	ঘুমত,	ঘুমাতো,	
modelgulo,	মোলেদগুলো,	মডেলগুলো,	
masazida,	মাজিজিদা,	মসজিদ,	
dhhabi,	ধববই,	ঢাবি,	
ghumato,	ঘুমত,	ঘুমাতো,	
shelina,	সেলিন,	সেলিনা,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
daebug,	দাবুগ,	ডিবাগ,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
spreeadsheet,	স্প্রেদসিত,	স্প্রেডশীট,	
shhipa,	শিপ,	শিপ,	
baipass,	বৈপস,	বাইপাস,	
spreadsiit,	স্প্রাডিসিট,	স্প্রেডশীট,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
janaganonar,	জনগণনার,	জনগণনার,	
ko,	কো,	কেও,	
ramonar,	রামনার,	রমনার,	
karpet,	কর্পেট,	কার্পেট,	
nabotom,	নবতম,	নবতম,	
rilayensa,	রিলজেন্স,	রিলায়েন্স,	
iviem,	ইভিয়াম,	ইভিএম,	
tirmizi,	তিরমিজী,	তিরমিজি,	
brake,	ব্র্যাক,	ব্রেক,	
doover,	দুভের,	ডোভার,	
dadaa,	দাদা,	দাদা,	
laiseensim,	লাইসেন্সিং,	লাইসেন্সিং,	
koda,	কোড,	কোড,	
ebham,	এভাম,	ইভিএম,	
armashtram,	আর্মস্ত্রম,	আর্মস্ট্রং,	
dinifition,	ডিনিফিশন,	ডেফিনেশন,	
mitar,	মিটার,	মিত্র,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
onchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
angkush,	অঙকুশ,	অংকুশ,	
amor,	আমর,	আমর,	
chedropothe,	চেদ্রপ্রথে,	ছিদ্রপথে,	
polo,	পোলো,	পোলো,	
shcholastiq,	স্কোলস্টিক,	স্কলাস্টিক,	
achis,	আচিস,	আছিস,	
gaddafee,	গাদ্দাফী,	গাদ্দাফী,	
manjushree,	মাঞ্জুশ্রী,	মঞ্জুশ্রী,	
wedanta,	দেদান্ত,	বেদান্ত,	
kkhur,	ক্ষুর,	ক্ষুর,	
engineers,	ইনজিনার্স,	ইঞ্জিনিয়ার্স,	
gaje,	গাজে,	গেজ,	
aap,	আপ,	আপ,	
mukherjee,	মুখার্জি,	মুখার্জী,	
sumi,	সুমি,	সুমি,	
agamanke,	আগমানকে,	আগমনকে,	
gejeted,	গেজেটেড,	গেজেটেড,	
fokskon,	ফক্কশন,	ফক্সকন,	
toufiq,	তৌফিক,	তৌফিক,	
debholapar,	ডেভললপার,	ডেভলপার,	
keraam,	কেরাম,	কেরাম,	
manshe,	মানসে,	মানুষে,	
suraropeeto,	সুরারপিত,	সুরারোপিত,	
sahokaree,	সহকারী,	সহকারী,	
protijogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
prabhuder,	প্রভূদের,	প্রভুদের,	
lutharan,	লুথারণ,	লুথেরান,	
noitik,	নৈটিক,	নৈতিক,	
qulim,	কুলিং,	কুলিং,	
oiteejye,	ঐটিজেয়ে,	ঐতিহ্যে,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
jamjomat,	জামজাত,	জমজমাট,	
chaity,	চাইটি,	চৈতি,	
mmadhuri,	মাহামুরী,	মাধুরী,	
gaadhaa,	গাধা,	গাধা,	
dokanei,	দোকানেই,	দোকানেই,	
obhishangsan,	অভিষংস্বান,	অভিশংসন,	
mohibur,	মহিবুর,	মহিবুর,	
bloggerra,	ব্লোগেররা,	ব্লগাররা,	
deepan,	ডিপেন,	দীপন,	
mmehonoti,	মেহনোতি,	মেহনতি,	
lidars,	লিডার্স,	লিডার্স,	
angurer,	অঙ্গুরের,	আঙ্গুরের,	
krusher,	ক্রুসের,	ক্রুশের,	
kiirti,	কীর্তি,	কীর্তি,	
muscut,	মাসকাট,	মাস্কাট,	
taunsheep,	তাউন্সিপ,	টাউনশিপ,	
dhauto,	ধৌতো,	ধৌত,	
babilon,	বাবিলন,	ব্যাবিলন,	
