female,	ফেমলে,	ফিমেল,	
forma,	ফরমা,	ফর্মা,	
jyeshtha,	জেষ্ঠা,	জ্যেষ্ঠা,	
dankaan,	ডাঙকান,	ডানকান,	
oodoore,	আদুরে,	অদুরে,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
boshoborty,	বসবর্তি,	বশবর্তী,	
farna,	ফারন,	ফার্ন,	
soceitykey,	সোকিটেকে,	সোসাইটিকে,	
jyakashana,	জ্যাকাশন,	জ্যাকসন,	
chinito,	চিনিত,	চিনতো,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
kooda,	কোড,	কোড,	
patjata,	পাটজতা,	পাটজাত,	
danaqana,	ডানকন,	ডানকান,	
plainti,	প্লেন্টি,	প্লেনটি,	
kaale,	কালে,	কালে,	
diznee,	ডিজনে,	ডিজনী,	
siddhantei,	সিদ্ধানতেই,	সিদ্ধান্তেই,	
soomita,	সুমিতা,	সুমিতা,	
shamook,	শামুক,	শামুক,	
bashite,	বাশিতে,	বাঁশিতে,	
promothesh,	প্রমোেষ,	প্রমথেশ,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
dinifitian,	ডিনিফিশন,	ডেফিনেশন,	
anchalo,	আঞ্চলো,	অঞ্চলও,	
pashaner,	পাশনের,	পাষাণের,	
motkey,	মতকে,	মতকে,	
jeebonjaapon,	জীবনজ্পান,	জীবনযাপন,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
directarate,	ডিরেক্টরেটে,	ডিরেক্টরেট,	
garden,	গারদেন,	গার্ডেন,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
noren,	নরেন,	নরেন,	
harbare,	হারবেরে,	হারবারে,	
shhip,	শিপ,	শিপ,	
militari,	মিলিটারি,	মিলিটারি,	
tep,	টেপ,	ট্যাপ,	
chalachchitrogulor,	চলচ্চিত্রচুলোর,	চলচ্চিত্রগুলোর,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
goodamjato,	গুদাম্জত,	গুদামজাত,	
mukherji,	মুখার্জী,	মুখার্জী,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
peoples,	পেপ্লেস,	পিপলস্,	
adhyatmikatar,	অধ্যাম্তাতিকার,	আধ্যাত্মিকতার,	
manushe,	মানুসে,	মানুষে,	
peterer,	পেটেরের,	পিটারের,	
bhageri,	ভাগেরী,	ভাগেরই,	
saajanor,	সাজননর,	সাজানোর,	
shoori,	শুরি,	সুরি,	
ponthaar,	পঞ্ঠার,	পন্থার,	
matthew,	মাঠে,	ম্যাথিউ,	
utsahe,	উত্সহে,	উৎসাহে,	
prakalpagulor,	প্রককলগগুলোর,	প্রকল্পগুলোর,	
korimpur,	করিমপুর,	করিমপুর,	
kartona,	কর্তনা,	করতনা,	
karpeter,	কর্পটের,	কার্পেটের,	
gunoman,	গুণমান,	গুণমান,	
uper,	উপের,	আপের,	
bongsho,	বংশ,	বংশ,	
vortuki,	ভর্তুকী,	ভর্তুকি,	
naaji,	নাজী,	নাত্সি,	
brindabane,	বৃর্ড্ববেন,	বৃন্দাবনে,	
sotorkota,	সতরকটা,	সতর্কতা,	
sadbi,	সাববি,	সাধ্বী,	
naubotom,	নৌতত,	নবতম,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
akshor,	অক্ষর,	একশোর,	
jammu,	যমম,	জম্মু,	
saholobhyotar,	সহলোভ্যতার,	সহজলভ্যতার,	
totokhon,	ততক্ষণ,	ততক্ষন,	
daqten,	ডাকতেন,	ডাকতেন,	
laj,	লাজ,	লাজ,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
cathalic,	ক্যাথলিক,	ক্যাথলিক,	
hipar,	হিপার,	হাইপার,	
muphti,	মুফটি,	মুফতি,	
log,	লোগ,	লগ,	
nitikatha,	নীতিকথা,	নীতিকথা,	
nagorikkey,	নগরীকে,	নাগরিককে,	
gananatyo,	গণনাত্য,	গণনাট্য,	
oncholgulote,	অঞ্চগলুতে,	অঞ্চলগুলোতে,	
surkarder,	সুরকর্ডের,	সুরকারদের,	
monjooshree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
gaaddaafee,	গাদ্ডাপী,	গাদ্দাফী,	
kaley,	কালে,	কালে,	
patjato,	পাটজত,	পাটজাত,	
bhortuki,	ভর্তুকী,	ভর্তুকি,	
definishian,	ডেফিশিশন,	ডেফিনেশন,	
tenys,	টেনিস,	টেনিস,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
osthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
karo,	কারও,	করো,	
shikarke,	শিকারকে,	শিকারকে,	
sulfete,	সালফেতে,	সালফেট,	
laesensh,	লেসেন্স,	লাইসেন্স,	
uparjoner,	উপার্জনের,	উপার্জনের,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
bhotara,	ভোটার,	ভোটার,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
poriskoron,	পরিষ্করণ,	পরিষ্করণ,	
naabyota,	নাব্যতা,	নাব্যতা,	
naarsari,	নার্সারী,	নার্সারি,	
seema,	সীম,	সীমা,	
koyari,	কোয়ারি,	কোয়েরি,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
homshke,	হোমসকে,	হোমসকে,	
heeavy,	হেভি,	হেভি,	
barack,	বার্ক,	বারাক,	
aarakani,	আরকানী,	আরাকানী,	
neshhanasha,	নেশনশ,	নেশনস,	
porobortii,	পরবর্তী,	পরর্বতী,	
madal,	মাদল,	মাদল,	
zeebonto,	জীবন্ত,	জীবন্ত,	
roialti,	রোয়েলটি,	রয়্যালটি,	
tokee,	তোকী,	তকি,	
judhahato,	যুধ্ধাত,	যুদ্ধাহত,	
aakkaash,	আকাশ,	আককাস,	
drissoteer,	দৃশ্যটির,	দৃশ্যটির,	
carzar,	কার্জার,	চার্জার,	
doneta,	ডোনত,	ডোনাট,	
buildar,	বাইল্ডার,	বিল্ডার,	
prokalpao,	প্রকলপ্,	প্রকল্পও,	
elakatay,	এলাকাতে,	এলাকাতে,	
sofi,	সফি,	সোফি,	
sqolastic,	স্কলাসটিক,	স্কলাস্টিক,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
paakshenara,	পাক্সেনার,	পাকসেনারা,	
natsi,	নাটিসি,	নাত্সি,	
gripe,	গ্রিপে,	গ্রিপ,	
nishad,	নিঃদা,	নিষাদ,	
vagni,	ভাগ্নী,	ভগ্নী,	
danober,	দাবোের,	দানবের,	
shodhan,	শোধন,	শোধন,	
dhhaby,	ঢববি,	ঢাবি,	
madhabike,	মাধববিকে,	মাধবীকে,	
saptahokal,	সপ্তহাকাল,	সপ্তাহকাল,	
dhnoka,	ধনককা,	ধোঁকা,	
valobasar,	ভালবাসার,	ভালোবাসার,	
bishnuke,	বিশ্ণুকে,	বিষ্ণুকে,	
vaabna,	ভাবনা,	ভাবনা,	
kruser,	ক্রুসের,	ক্রুশের,	
alsara,	আলসার,	আলসার,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
marketin,	মার্কেটিন,	মার্কেটিং,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
duplee,	ডাপলি,	ডুপ্লে,	
naditi,	নদীতি,	নদীটি,	
jak,	যাক,	জাঁক,	
kaaferderke,	কাফেদররকে,	কাফেরদেরকে,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
shepha,	সেফ,	শেফ,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
mojuter,	মজুতের,	মজুতের,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
pallar,	পললার,	পাল্লার,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
chhanee,	ছানী,	ছানি,	
jyaishtha,	জিঃস্থ,	জ্যৈষ্ঠ,	
hijrii,	হিজরী,	হিজরী,	
turkider,	তুর্কিদের,	তুর্কিদের,	
gatrey,	গাত্রে,	গাত্রে,	
bajareo,	বাজেরও,	বাজারেও,	
skolastik,	স্কলাসিক্তিক,	স্কলাস্টিক,	
garjan,	গর্জন,	গর্জন,	
mokhmoley,	মখমোলে,	মখমলে,	
aashok,	আশোক,	আশোক,	
hafej,	হাফেজ,	হাফেয,	
mumtajer,	মুমতের,	মুমতাজের,	
tourisht,	টুরিস্ট,	টুরিস্ট,	
pade,	পদে,	পাড়ে,	
ias,	আয়াশ,	আইএএস,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
shukna,	শুক্ন,	শুকনা,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
groth,	গ্রথ,	গ্রোথ,	
vushito,	ভূষিত,	ভূষিত,	
pratiyogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
ajauno,	আযানু,	অযৌন,	
prakalpaguli,	প্রককলগুুলি,	প্রকল্পগুলি,	
daaktikite,	দাককিতিতে,	ডাকটিকিটে,	
shipa,	শিপ,	শিপ,	
suparahiroo,	সুপারেওর,	সুপারহিরো,	
hatodoridra,	হতোদরির্যা,	হতদরিদ্র,	
valobasey,	ভালবাসে,	ভালোবাসে,	
bhaibonder,	ভৈবন্দের,	ভাইবোনদের,	
braille,	ব্রেল,	ব্রেইল,	
jya,	জ্যা,	জ্যা,	
elakai,	এলাকাই,	এলাকাই,	
reflex,	রেফলেক্স,	রিফ্লেক্স,	
gujaber,	গুজবের,	গুজবের,	
garora,	গরোরা,	গারোরা,	
ronangone,	রোঙাগনে,	রণাঙ্গনে,	
ekhaate,	এখাতে,	একহাতে,	
kranti,	ক্রান্টি,	ক্রান্তি,	
phormat,	ফরমাট,	ফরম্যাট,	
jamjomat,	জামজমাত,	জমজমাট,	
atwabishvashi,	আত্মবিশাবাষী,	আত্মবিশ্বাসী,	
tauki,	টৌকি,	তকি,	
dormitoree,	দর্মিতরী,	ডরমিটরি,	
prokalpaguli,	প্রকালগুলুি,	প্রকল্পগুলি,	
aaloteo,	আলতেও,	আলোতেও,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
jolook,	জলক,	জ্বলুক,	
prottokhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
musalmanke,	মুসলমনকে,	মুসলমানকে,	
samanyai,	সামানইই,	সামান্যই,	
bondiira,	বন্দীরা,	বন্দীরা,	
rohoshyor,	রহস্যর,	রহস্যর,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
vageri,	ভাগেরী,	ভাগেরই,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
beetloser,	বিতলের,	বিটলসের,	
taiwan,	টাইয়ান,	তাইওয়ান,	
shikshao,	শিক্ষাও,	শিক্ষাও,	
suraropito,	সুরাপিত,	সুরারোপিত,	
sabbir,	সববির,	সাব্বির,	
milekhaanek,	মিলেখানকে,	মাইলখানেক,	
khaambaa,	খাম্বা,	খাম্বা,	
khatgosher,	খাতগোষের,	খরগোসের,	
stalin,	স্টালিন,	স্টালিন,	
onektai,	অনেকটি,	অনেকটাই,	
ekjoge,	একযোগে,	একযোগে,	
prothakey,	প্রথাকে,	প্রথাকে,	
siramiks,	শিরামিক্স,	সিরামিকস,	
palbongser,	পালবংশের,	পালবংশের,	
bhangle,	ভাঙলে,	ভাঙলে,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
mach,	মাচ,	মাছ,	
ispreedshiit,	ইস্প্রেডিট,	স্প্রেডশীট,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
ardasho,	অর্দশ,	আর্দশ,	
dhanche,	ধনছে,	ধাঁচে,	
roomantika,	রোমানটিক,	রোমান্টিক,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
longhon,	লঙ্ঘন,	লংঘন,	
engineering,	ইঞ্জিনিংিং,	ইঞ্জিনিয়ারিং,	
ibhil,	আভিল,	ইভিল,	
idaning,	আইডানিং,	ইদানিং,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
futbolarra,	ফুটবলার,	ফুটবলাররা,	
vince,	ভিন্স,	ভিন্স,	
chotto,	চত্ত,	ছোট্ট,	
attorkite,	আত্মরটিকে,	অতর্কিতে,	
tobe,	তবে,	টবে,	
paripakey,	পরিপকে,	পরিপাকে,	
teyt,	টেট,	টেট,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
prakalpotike,	প্রকলপতিকে,	প্রকল্পটিকে,	
sphincter,	স্ফেন্টর,	স্ফিংটার,	
masjidke,	মাসদিকে,	মসজিদকে,	
defineshana,	ডিফেনেশন,	ডেফিনেশন,	
juktorastroshoho,	যুক্তরাস্তরস,	যুক্তরাষ্ট্রসহ,	
credit,	ক্রেডিট,	ক্রেডিট,	
mozdur,	মজুদুর,	মজদুর,	
taalgaachh,	তালগাচ,	তালগাছ,	
prakalpatike,	প্রকলপতিকে,	প্রকল্পটিকে,	
ganohatyake,	গণহাত্যকে,	গণহত্যাকে,	
amarika,	আমরিকা,	আমেরিকা,	
rakibul,	রাকিবুল,	রকিবুল,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
jhalokatthi,	ঝালকঠটি,	ঝালকাঠী,	
haphej,	হাফেজ,	হাফেয,	
voterer,	ভোতেরের,	ভোটারের,	
asor,	আসর,	আসর,	
noitik,	নৈতিক,	নৈতিক,	
churger,	চার্গের,	চার্জের,	
conserwation,	কনসার্টেশন,	কনসারভেশন,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
surakarder,	সুরকর্ের,	সুরকারদের,	
ajimke,	আজিমকে,	আজিমকে,	
jatiinke,	জাতিংকে,	যতীনকে,	
sibraj,	শিবরাজ,	শিবরাজ,	
pana,	পান,	পানা,	
dighol,	দিঘল,	দীঘল,	
state,	স্টেট,	স্টেইট,	
mosjidke,	মসজীদকে,	মসজিদকে,	
catholicder,	কথলিকদের,	ক্যাথলিকদের,	
bonshi,	বংশী,	বংশী,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
basuki,	বাসুকী,	বাসুকি,	
waal,	ওয়াল,	উল,	
rajatwa,	রাজত্ব,	রাজত্ব,	
thyachar,	থাচচার,	থ্যাচার,	
shreemati,	শ্রীমতি,	শ্রীমতি,	
charbon,	চর্বন,	চর্বন,	
cholochchitrai,	চলচচত্রীই,	চলচ্চিত্রই,	
sammatir,	সম্মতির,	সম্মতির,	
beca,	বেকা,	বেচা,	
osamarik,	অসামারিক,	অসামরিক,	
chhootir,	ছুটির,	ছুটির,	
rajtantroke,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
bhalobasen,	ভালবাসেন,	ভালোবাসেন,	
change,	চঙ্গে,	চেঞ্জ,	
sooraarop,	সুরারোপ,	সুরারোপ,	
addabaj,	আদ্যাবজ,	আড্ডাবাজ,	
suhasini,	সুহানিনী,	সুহাসিনী,	
uporitale,	উপরিতালে,	উপরিতলে,	
sanbadmadhyamer,	সংবাদম্ধমের,	সংবাদমাধ্যমের,	
horidbare,	হরিদবারে,	হরিদ্বারে,	
nodnadeer,	ননদাদীর,	নদনদীর,	
matrirup,	মাত্রীপূপ,	মাতৃরূপ,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
ancholsomuher,	আঞ্চলসমূহের,	অঞ্চলসমূহের,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
russad,	রুশদ,	রুশদ,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
ceramicer,	সেরামিকর,	সিরামিকের,	
khambaa,	খাম্বা,	খাম্বা,	
ekok,	একক,	একক,	
odhito,	অধিত,	অধীত,	
shelim,	সেলিম,	সেলিম,	
kirti,	কীর্তি,	কীর্তি,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
jeesh,	জিস,	জেস,	
techno,	টেকনো,	টেকনো,	
karle,	কারলে,	করলে,	
satarkota,	সতরককা,	সতর্কতা,	
vushi,	ভুষী,	ভুষি,	
soceitytey,	সোকিটিতে,	সোসাইটিতে,	
kark,	কার্ক,	কার্ক,	
hoj,	হজ,	হয,	
sahabike,	সাহাবিকে,	সাহাবীকে,	
baikalya,	বাইকল্য,	বৈকল্য,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
boikollyo,	বৈকল্য,	বৈকল্য,	
narsari,	নার্সারী,	নার্সারি,	
sotorkokari,	সতরককারী,	সতর্ককারী,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
chesha,	চেষ,	চেস,	
bibader,	বিবদের,	বিবাদের,	
apargota,	অপরগত,	অপারগতা,	
badhano,	বাধানো,	বাঁধানো,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
temontee,	তেমনটি,	তেমনটি,	
phaksha,	ফক্স,	ফক্স,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
ester,	এস্টার,	ইস্টার,	
madhumati,	মধুমতি,	মধুমতী,	
bihare,	বিহরে,	বিহারে,	
shotokey,	শতকে,	শতকে,	
nirapekkhotaar,	নিরপক্ষতার,	নিরপেক্ষতার,	
huge,	হুগে,	হিউজ,	
narafoka,	নরফফক,	নরফোক,	
dhwajbhango,	ধবঝভাগ্ঞ,	ধ্বজভঙ্গ,	
nothibhooktir,	নথিভূক্তির,	নথিভুক্তির,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
phimeela,	ফামেল,	ফিমেল,	
ghumachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
nothibhukto,	নথিভূক্ত,	নথিভুক্ত,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
asamanno,	আসমান্ন,	অসামান্য,	
obhiyojan,	অভিযোজন,	অভিযোজন,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
uporitol,	উপরিটল,	উপরিতল,	
abikal,	আবিকাল,	অবিকল,	
hamburge,	হাম্বর্গে,	হামবুর্গে,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
tookrote,	তুকরোতে,	টুকরোতে,	
saseeja,	সাসীজা,	সসেজ,	
lendl,	লেন্ড,	লেন্ডল,	
uzobekeestaaner,	উজবেকিষ্তানের,	উজবেকিস্তানের,	
ateetkale,	আতীতকালে,	অতীতকালে,	
hosne,	হোনসে,	হোসনে,	
carzer,	কার্জের,	চার্জের,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
khargosher,	খারগগের,	খরগোসের,	
garnar,	গর্নার,	গার্নার,	
enashiyenta,	এনসাইয়েন্ট,	এনসিয়েন্ট,	
syutara,	স্যুটার,	শ্যুটার,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
mawdel,	মডডেল,	মডেল,	
daul,	ডাউল,	দেউল,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
monjushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
uchchatara,	উচ্চতার,	উচ্চতর,	
ujobekeestaner,	উজবেকিষ্তনের,	উজবেকিস্তানের,	
chaiti,	চাইটি,	চৈতি,	
sur,	সুর,	সুর,	
sealvi,	সেলভি,	সিলভি,	
amarjito,	অমর্জিত,	অমার্জিত,	
serverti,	সার্ভররটি,	সার্ভারটি,	
akatwa,	একত্ব,	একাত্ব,	
hijrite,	হিজরিতে,	হিজরীতে,	
bilati,	বিলতি,	বিলাতী,	
abheedhaaner,	অভিধানের,	অভিধানের,	
jaj,	যজ,	জাজ,	
jonser,	জনসের,	জোন্সের,	
shatjon,	সতজন,	সাতজন,	
kaaru,	কারু,	কারু,	
crescenter,	ক্রেস্টেন্টার,	ক্রিসেন্টের,	
sambhabanaow,	সম্ভাবনও,	সম্ভবনাও,	
changee,	চঙ্গী,	চেঞ্জ,	
shourshe,	সার্স,	সোর্স,	
nothivukto,	নথিভূক্ত,	নথিভুক্ত,	
janes,	জানেস,	জোন্স,	
expose,	এক্সপোজ,	এক্সপোজ,	
amoor,	আমুর,	আমর,	
basaa,	বাসা,	বাসা,	
juktorashtrosaha,	যুক্তরাস্তরস,	যুক্তরাষ্ট্রসহ,	
pathachari,	পাঠচারী,	পথচারী,	
kraanti,	ক্রানটি,	ক্রান্তি,	
anchaltike,	আঞ্চলতিকে,	অঞ্চলটিকে,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
associates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
shaatjon,	সাতজন,	সাতজন,	
danob,	দাবো,	দানব,	
damonmulok,	দামনমূলক,	দমনমূলক,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
artilary,	আর্টিলারি,	আর্টিলারি,	
moonshi,	মুনসি,	মুন্সি,	
bolechile,	বলেছিলে,	বলেছিলে,	
adbhansed,	অ্যাডভান্সেড,	অ্যাডভান্সড,	
praapokke,	প্রাপককে,	প্রাপককে,	
porizon,	পরিজন,	পরিজন,	
decke,	ডেক,	ডেকে,	
samudrotatey,	সমুদ্রততে,	সমুদ্রতটে,	
sunagorik,	সুনাগরিক,	সুনাগরিক,	
nachiketa,	নাচিকেত,	নচিকেতা,	
yoneetey,	ইনিতে,	যোনীতে,	
dhauta,	ধাউট,	ধৌত,	
direectoratee,	ডিরেক্টরটি,	ডিরেক্টরেট,	
obhijojon,	অভিজোজন,	অভিযোজন,	
parpel,	পারপেল,	পার্পেল,	
machhder,	মা্ছের,	মাছদের,	
batsmanei,	বাৎসমানেই,	ব্যাটসম্যানই,	
prasadhoni,	প্রাসাধনী,	প্রসাধনী,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
koreempoor,	করিমপুর,	করিমপুর,	
bhogni,	ভগ্নী,	ভগ্নী,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
tali,	তালি,	তালি,	
nirbahi,	নির্বাহী,	নির্বাহি,	
chitranattakar,	চিত্রনাট্যাকার,	চিত্রনাট্যকার,	
yaach,	যাচ,	ইয়াক,	
batikromi,	বাতিক্রমী,	ব্যতিক্রমী,	
shepherd,	শেফার্ড,	শেফার্ড,	
dephineshhana,	ডিফেনেশন,	ডেফিনেশন,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
parjotaker,	পর্যটাকের,	পর্যটকের,	
cholocchitrigulor,	চলচচচিত্রীগুলোর,	চলচ্চিত্রগুলোর,	
seniar,	সেনিয়ার,	সিনিয়র,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
engineersh,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
naitikata,	নৈতিকাটা,	নৈতিকতা,	
okritakarja,	অক্রিতার্ার,	অকৃতকার্য,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
jaunatar,	যৌনতার,	যৌনতার,	
chirokumari,	চিরকুমারী,	চিরকুমারী,	
sastra,	সস্ত্র,	শাস্ত্র,	
azibon,	অজিবন,	আজীবন,	
prrajanankaal,	প্রজাননকাল,	প্রজননকাল,	
torup,	তরুপ,	ট্রুপ,	
nadike,	নাদিকে,	নদীকে,	
konroop,	কোনরপ,	কোনরূপ,	
ap,	আপ,	আপ,	
atitkaale,	আতীতকালে,	অতীতকালে,	
seeramiker,	শিরামিকের,	সিরামিকের,	
ceramiqs,	সেরমিক্স,	সিরামিকস,	
bhaskar,	ভাস্কার,	ভাস্কর,	
foster,	ফোস্টার,	ফস্টার,	
roktokkhorone,	রক্তক্ষণে,	রক্তক্ষরণে,	
phuda,	ফুড,	ফুড,	
sibraz,	শিবরাজ,	শিবরাজ,	
shoti,	সতী,	শোটি,	
shoilee,	শৈলী,	শৈলী,	
uthaney,	উঠানে,	উঠানে,	
lumbini,	লুম্বিনি,	লুম্বিনী,	
jeteo,	জেটেও,	যেতেও,	
bishashke,	বিশাষকে,	বিশ্বাসকে,	
naazee,	নাজী,	নাত্সি,	
sookumari,	শুকুমারী,	সুকুমারী,	
eksathe,	একসেথে,	একসাথে,	
abheegomon,	অভিগমন,	অভিগমন,	
pravura,	প্রভূরা,	প্রভুরা,	
moomtaj,	মুততা,	মুমতাজ,	
mugdal,	মুগদল,	মুগডাল,	
everest,	এভেরেস্ট,	এভারেস্টে,	
cutie,	কিটি,	কিউটি,	
herpher,	হেরফের,	হেরফের,	
yaaq,	যাক,	ইয়াক,	
sheekarke,	শিকারকে,	শিকারকে,	
seatey,	সেটে,	সিটে,	
inastyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
bosano,	বসানো,	বসানো,	
deep,	ডিপ,	দীপ,	
asoociates,	অস্সিয়েটেস,	এসোসিয়েটস,	
taanteera,	তাঁটিরা,	তাঁতিরা,	
graambaashee,	গ্রামবাশী,	গ্রামবাসী,	
neker,	নেকের,	নেকের,	
bhugten,	ভুগটেন,	ভুগতেন,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
scall,	স্কেল,	এসকল,	
narikei,	নারীকেই,	নারীকেই,	
seekkhokbrindo,	শিক্ষকবিন্দ,	শিক্ষকবৃন্দ,	
temonyi,	তেমনই,	তেমনই,	
chalachchitrotike,	চলচচচ্ত্রিতিকে,	চলচ্চিত্রটিকে,	
olpoi,	ওলপি,	অল্পই,	
stoonahenja,	স্তনাহেঞ্জ,	স্টোনহেঞ্জ,	
shaajaanor,	সাজানোর,	সাজানোর,	
emarzensi,	এমারজেন্সি,	এমার্জেন্সি,	
dilam,	ডিলাম,	দিলাম,	
sachindra,	সচীন্দ্র,	শচীন্দ্র,	
mile,	মিলে,	মাইল,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
karlei,	কারলেই,	করলেই,	
dhojovongo,	ধভভনগ,	ধ্বজভঙ্গ,	
ishtara,	ইস্টার,	ইস্টার,	
puzita,	পুজিত,	পূজিতা,	
obiyi,	অবিই,	ওবিই,	
nepchooner,	নিপচুনের,	নেপচুনের,	
oswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
temas,	টেমস,	টাইমস্,	
kachakachi,	কাচচাচি,	কাছাকাছি,	
phutbolarer,	ফুটবলারের,	ফুটবলারের,	
chyeta,	চিয়েট,	চ্যাট,	
elakatir,	এলাকটির,	এলাকাটির,	
shithilota,	শিথিলতা,	শিথিলতা,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
ganaporibahan,	গণপরিবহণ,	গণপরিবহন,	
roy,	রো,	রায়,	
recondishon,	রেকোন্ডিশন,	রিকন্ডিশন,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
taaims,	টাইমস,	টাইমস্,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
bonduk,	বন্দুক,	বন্দুক,	
ovizojon,	অভিজোজন,	অভিযোজন,	
azizer,	আজিজের,	আজিজের,	
kins,	কিন্স,	কিংস,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
nodiiteyi,	নদীতেই,	নদীতেই,	
iqbalke,	ইকবলকে,	ইকবালকে,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
banijyikbhittik,	বাণিজ্যিত্তিকিক,	বাণিজ্যিকভিত্তিতে,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
moshan,	মশান,	মোশন,	
chhatogolpe,	ছটোগল্পে,	ছোটগল্পে,	
cholchhe,	চলছে,	চলছে,	
