armenan,	আর্মেনন,	আর্মেনিয়ান,	
bildara,	বিলদার,	বিল্ডার,	
pakhirai,	পাখিরাই,	পাখিরাই,	
prithibir,	পৃথিবীর,	পৃথবীর,	
byatasamyan,	ব্যাতসম্যান,	ব্যাটসম্যান,	
noditikey,	নদীটিকে,	নদীটিকে,	
ispredsiit,	স্প্রেস্ডিত,	স্প্রেডশীট,	
nirorthok,	নিরর্্থক,	নিরর্থক,	
hitaishi,	হিতাইসি,	হিতৈষী,	
alpa,	আল্প,	অল্প,	
upcharzo,	উপচ্রা,	উপাচার্য,	
madhyekar,	মধ্যকার,	মধ্যেকার,	
robotic,	রোবটিক,	রোবোটিক,	
abahon,	আবহন,	আবাহন,	
delivar,	দেলিভার,	ডেলিভার,	
cade,	কেডে,	কোড,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
dakteekit,	দাক্তিকিত,	ডাকটিকিট,	
rights,	রাইটস,	রাইটস,	
urur,	ইউরুর,	উরুর,	
chalchhee,	চাছি,	চলছে,	
edmeeral,	এডাারেল,	এডমিরাল,	
prodan,	প্রদান,	প্রদাণ,	
atto,	আত্ম,	আত্ম,	
khalidkay,	খালিদকে,	খালিদকে,	
kortam,	করতাম,	করতাম,	
oppohoron,	অপহরণ,	অপহরন,	
utshahi,	উত্সাহী,	উৎসাহী,	
oswastikor,	অস্বত্যিক,	অস্বস্তিকর,	
bosobben,	বসবেন,	বসবেন,	
oholla,	অললা,	অহল্যা,	
soheensotar,	সহিন্ততার,	সহিংসতার,	
scholastik,	স্কলাস্তিক,	স্কলাস্টিক,	
hool,	হোল,	হুল,	
noveel,	নভেল,	নভেল,	
kirk,	কীর্ক,	কার্ক,	
quoota,	কুউোোটা,	কোটা,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
cheerkut,	চিরকুত,	চিরকুট,	
seshardhe,	শেষর্্ধে,	শেষার্ধে,	
ranangoney,	রণাঙ্গনে,	রণাঙ্গনে,	
dala,	ডালা,	দলা,	
dharavahik,	ধরাবহিক,	ধারাবাহিক,	
mitrata,	মিত্রত,	মিত্রতা,	
edii,	এডি,	আইডিই,	
gazipore,	গজিপরে,	গাজিপুর,	
adhyatmikata,	আধ্যাতিকাত,	আধ্যাত্মিকতা,	
lutheeran,	লুথেধান,	লুথেরান,	
michhilti,	মিচিলটি,	মিছিলটি,	
manob,	মানব,	মানব,	
chotto,	ছট্য,	ছোট্ট,	
jaater,	যাতের,	জাতের,	
zonite,	যোনিতে,	যোনীতে,	
mast,	মস্ট,	মাস্ত,	
artilari,	আর্টিলারি,	আর্টিলারি,	
nirupito,	নিরূপিত,	নিরূপিত,	
bagey,	বাজে,	বাগে,	
recondishon,	রেকোন্ডসিন,	রিকন্ডিশন,	
choson,	চোষণ,	চোষণ,	
porizoner,	পরিজনের,	পরিজনের,	
vittio,	ভিতিও,	ভিত্তিও,	
pabo,	পব,	পাব,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
gatibege,	গেতিবেগে,	গতিবেগে,	
laagche,	লাগে,	লাগছে,	
phoster,	ফসস্টের,	ফস্টার,	
rohasyor,	রহস্যর,	রহস্যর,	
roza,	রোজা,	রোযা,	
ekooghore,	একঘারে,	একঘরে,	
ddheke,	ঢেকে,	ঢেকে,	
basalt,	বাসল্ট,	ব্যাসল্ট,	
steitt,	স্টেট,	স্টেইট,	
chaakaa,	চাকা,	চাকা,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
teyt,	টেট,	টেট,	
marmaara,	মার্মার,	মারমারা,	
neurology,	নিরোলোজি,	নিউরোলজি,	
darzi,	দর্জি,	দরজি,	
chalake,	চালকে,	চালকে,	
asommoti,	অসম্মতি,	অসম্মতি,	
ramonar,	রামনার,	রমনার,	
grambaashi,	গ্রামাবাসী,	গ্রামবাসী,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
bizito,	বিজিত,	বিজিত,	
vaider,	ভাইডার,	ভাইদের,	
soorarop,	সুরারপ,	সুরারোপ,	
muhamada,	মুহামাদা,	মুহাম্মদ,	
dibbay,	দিব্বে,	দিব্যা,	
pravur,	প্রভূর,	প্রভুর,	
gazee,	গেজী,	গেজ,	
eksathei,	একসাথেই,	একসাথেই,	
udar,	উদার,	উদর,	
bisshasyi,	বিশ্বস্যী,	বিশ্বাসই,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
moshleh,	মশলেহ,	মোসলেহ,	
krej,	ক্রেজ,	ক্রেজ,	
gunze,	গুঞ্জে,	গুঁজে,	
deliwer,	ডিলিভার,	ডেলিভার,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
shikhar,	শিখর,	শিকার,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
atohar,	অতোহর,	আতহার,	
utsaho,	উতসহ,	উৎসাহ,	
megher,	মেঘের,	মেঘের,	
soinyo,	সৈন্য,	সৈন্য,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
dosider,	দশিদের,	দোষীদের,	
ranodeep,	রণোডিপ,	রণদীপ,	
debdebier,	দেবদিবীর,	দেবদেবীর,	
atyacarito,	অত্যাকারিত,	অত্যাচারিত,	
ssahocorze,	সহযোর্্যে,	সাহচর্যে,	
bharadwaja,	ভারাব্যাজা,	ভরদ্বাজ,	
diaraesa,	ডায়ারেস,	ডিআরএস,	
superhera,	সুপারেরা,	সুপারহিরো,	
turisht,	টুরিস্ট,	টুরিস্ট,	
mitrota,	মিত্রোতা,	মিত্রতা,	
panchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
shikhbe,	শিখবে,	শিখবে,	
kartona,	কর্তনা,	করতনা,	
chalochchitrogulor,	চলি্চ্রগুলোর,	চলচ্চিত্রগুলোর,	
bikretara,	বিক্রেতার,	বিক্রেতারা,	
tookrote,	তুক্রতে,	টুকরোতে,	
bhalobass,	ভালবাস,	ভালোবাসা,	
bharpur,	ভারপুর,	ভরপুর,	
danut,	দানুত,	ডোনাট,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
arsie,	আরসসই,	আরসিএ,	
phokskon,	ফক্সকন,	ফক্সকন,	
shapholler,	সফললের,	সাফল্যের,	
siter,	সাইটের,	সিটের,	
sanbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
zoojyota,	জুজ্ঞতা,	যোজ্যতা,	
johnsh,	জনস,	জন্স,	
jesthatar,	জেষ্ঠাার,	জ্যেষ্ঠতার,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
suparahiroo,	সুপারিহুর,	সুপারহিরো,	
istonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
elaakaao,	এলাকাও,	এলাকাও,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
alsaar,	আলসার,	আলসার,	
jibnagore,	জীবনাগরে,	জীবননগর,	
elakao,	এলাকাও,	এলাকাও,	
lutheereen,	লুথিধারীন,	লুথেরান,	
barder,	বর্ডের,	বার্ডের,	
kachhakaachhi,	কাছকাছি,	কাছাকাছি,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
nikoter,	নিকটের,	নিকটের,	
venicer,	ভেনিকের,	ভেনিসের,	
prosadhoni,	প্রসাধানী,	প্রসাধনী,	
marino,	মেরিনো,	মারিনো,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
naraphooka,	নরফুকা,	নরফোক,	
dhan,	ধান,	ধ্যান,	
haridwar,	হারিদ্বার,	হরিদ্বার,	
madaul,	মাদল,	মাদল,	
teereesa,	তেরেস,	টেরেসা,	
hajartee,	হজরটি,	হাজারটি,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
messengerer,	মেশেন্গারের,	মেসেঞ্জারের,	
sofier,	সফির,	সোফির,	
dakticketer,	ডাক্কিকেটের,	ডাকটিকিটের,	
motar,	মোটর,	মুতার,	
anano,	অনানো,	আনানো,	
qoda,	কোড,	কোডা,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
ansarir,	অংসারীর,	আনসারীর,	
cholocchitrotike,	চলচ্চিত্রিতেকে,	চলচ্চিত্রটিকে,	
maladabha,	মালাদাভ,	মলদোভা,	
peshto,	পেষ্ট,	পেষ্ট,	
restuarant,	রেস্টুরান্ট,	রেষ্টুরেন্ট,	
karater,	করাতের,	কারাতের,	
durg,	ডার্গ,	দুর্গ,	
dip,	ডিপ,	দীপ,	
nagare,	নগরে,	নগরে,	
songasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
sthaponagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
asbab,	আসবা,	আসবাব,	
udbodhoni,	উদ্বধনী,	উদ্বোধনী,	
wictor,	ভিক্টর,	ভিক্টর,	
poripake,	পরিপকে,	পরিপাকে,	
fostar,	ফস্টার,	ফস্টার,	
nogorey,	নগরে,	নগরে,	
anchaleo,	অঞ্চলেও,	অঞ্চলেও,	
prakalpogulo,	প্রকালপলগুলো,	প্রকল্পগুলো,	
shrichaitanyadeb,	শ্রীচৈতনাদ্বে,	শ্রীচৈতন্যদেব,	
dibya,	দিব্য,	দিব্যা,	
pat,	পত,	পেত,	
vooter,	ভোটের,	ভোটার,	
santoshpur,	সন্ত্ষপুর,	সন্তোষপুর,	
edaning,	এডাইং,	ইদানীং,	
obie,	অবি,	ওবিই,	
hafsa,	হফফা,	হাফসা,	
bolvodro,	বলভোদ্র,	বলভদ্র,	
masjidtikey,	মজশিদটিকে,	মসজিদটিকে,	
tecno,	টেকনো,	টেকনো,	
lutharen,	লুথারেন,	লুথেরান,	
hizri,	হিজরি,	হিজরী,	
netherland,	নেটারল্যান্ড,	নেদারল্যান্ড,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
foreex,	ফরেক্স,	ফরেক্স,	
shchalastic,	স্কলশাত্বিক,	স্কলাস্টিক,	
daltyagi,	দাল্যাগী,	দলত্যাগী,	
ingrejra,	ইংরেজার,	ইংরেজরা,	
jater,	যাতের,	জাতের,	
gajipur,	গজীপুর,	গাজীপুর,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
domonmulok,	দমমন্মুলক,	দমনমূলক,	
karmasampadon,	কর্মস্পাদন,	কর্মসম্পাদন,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
modeling,	মোডেলিং,	মডেলিং,	
phutbolarra,	ফুটবলারা,	ফুটবলাররা,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
daaun,	ডাউন,	ডাউন,	
hames,	হামেস,	হোমস,	
objarvar,	অবজারভার,	অবজার্ভার,	
isahak,	ইসহাক,	ইসাহাক,	
shommotite,	সম্মোতিতে,	সম্মতিতে,	
spashtotai,	স্পষ্টতাই,	স্পষ্টতই,	
preety,	প্রীতি,	প্রিটি,	
salapheta,	সালফেট,	সালফেট,	
metrapalitan,	মেট্রোপ্লাটেন,	মেট্রোপলিটন,	
perther,	পের্থের,	পার্থের,	
laaishesh,	লাইসেস,	লাইসেন্স,	
sahabikey,	সহহিকে,	সাহাবীকে,	
rahh,	রহ,	রঃ,	
bashite,	বাসিতে,	বাঁশিতে,	
nachiketa,	নাচিকেতা,	নচিকেতা,	
durotomm,	দূরতমম,	দূরতম,	
azan,	অজন,	আজান,	
taunship,	তাঁউশিপ,	টাউনশিপ,	
nagarikera,	নাগরিকের,	নাগরিকেরা,	
balokarak,	বলকারক,	বলকারক,	
bidrohiderke,	বিদ্রেহিদারকে,	বিদ্রোহীদেরকে,	
maner,	মানের,	মানে,	
basatey,	বসাতে,	বাসাতে,	
kando,	কান্ডো,	কাণ্ড,	
shommotir,	সম্মতির,	সম্মতির,	
potkaa,	পতকা,	পটকা,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ostader,	অস্টাদের,	ওস্তাদের,	
doobate,	দুবতে,	ডুবাতে,	
sorsa,	সর্স,	সোর্স,	
salmaner,	সলমানের,	সালমানের,	
karadandey,	কারাদণ্ডে,	কারাদণ্ডে,	
taki,	টকি,	তকি,	
juddhahoto,	যুদ্ধহোত,	যুদ্ধাহত,	
hosain,	হোসেইন,	হোসেইন,	
chaalke,	চালকে,	চালকে,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
dipon,	ডিপন,	দীপন,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
shource,	সার্স,	সোর্স,	
tottobar,	তত্ত্ববার,	তওবার,	
madhabike,	মাধবাবিকে,	মাধবীকে,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
evil,	এভিল,	ইভিল,	
konflikt,	কনফলিক্সিট,	কনফ্লিক্ট,	
shikara,	শিকেরা,	শিকার,	
deaubande,	দিবানদে,	দেওবন্দে,	
bibade,	বিবাদে,	বিবাদে,	
osamarik,	অসামারিক,	অসামরিক,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
pravura,	প্রভূর,	প্রভুরা,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
temanbhabe,	তেমনভাবে,	তেমনভাবে,	
porobortii,	পরবর্তী,	পরর্বতী,	
byabaharkareederke,	ব্যবহারকারীকে,	ব্যবহারকারীদেরকে,	
shomratder,	সম্রাতদের,	সম্রাটদের,	
kkunti,	কান্তি,	কুন্তী,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
aalaa,	আলা,	আলা,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
annarup,	অন্যারূপ,	অন্যরূপ,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
monzhoshtho,	মঞ্চস্থ,	মঞ্চস্থ,	
bee,	বি,	বি,	
aksathe,	একসাথে,	একসাথে,	
utsahomulak,	উৎসামহলক,	উৎসাহমূলক,	
jesa,	জেস,	জেস,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
harbare,	হারবারে,	হারবারে,	
shudden,	সুদ্দেন,	সাডেন,	
bhittow,	ভিত্যও,	ভিত্তিও,	
aoki,	আকি,	এওকি,	
dhhalur,	ঢালুর,	ঢালুর,	
edmiral,	এডিারাল,	এডমিরাল,	
moogdal,	মগগদল,	মুগডাল,	
raeets,	রেটস,	রাইটস,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
hena,	হেনা,	হেনা,	
eastar,	ইস্টার,	ইস্টার,	
swarthe,	স্বর্থে,	স্বার্থে,	
prokare,	প্রকারে,	প্রকারে,	
parqim,	পার্কিং,	পার্কিং,	
vangle,	ভাঙলে,	ভাঙলে,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
uindos,	উইন্ডোস,	উইন্ডোস,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
tafsher,	তফসের,	তাফসীর,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
ojuhat,	অঝুহাত,	অজুহাত,	
ester,	এস্টের,	ইস্টার,	
vittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
bheenisa,	ভেইনিস,	ভেনিস,	
rajtantre,	রাজনতন্ত্রে,	রাজতন্ত্রে,	
hobu,	হবু,	হবু,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
pacbar,	পাঁবার,	পাঁচবার,	
dhanchey,	ধাঁচে,	ধাঁচে,	
ajeejer,	আজিজের,	আজিজের,	
cathalic,	ক্যাথলিক,	ক্যাথলিক,	
suraarop,	সুরারপ,	সুরারোপ,	
ashamorthito,	অসমর্থীত,	অসমর্থিত,	
dupleks,	ডাপলিক্স,	ডুপ্লে,	
bhyatikaaner,	ভ্যতিকানের,	ভ্যাটিকানের,	
emiratas,	ইমেরেটাস,	এমিরেটাস,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
siniyara,	সিনিয়ার,	সিনিয়র,	
eidhyaning,	ঐদ্যানিং,	ইদানীং,	
cheento,	চিন্ত,	চিনতো,	
teresa,	তেরেসা,	টেরেসা,	
zuboke,	যুবকে,	যুবকে,	
adbhansed,	অ্যানভান্সেড,	অ্যাডভান্সড,	
brindabane,	বির্ণডবনে,	বৃন্দাবনে,	
andaman,	আন্দমমান,	আন্দামান,	
vagna,	ভাগনা,	ভগ্ন,	
omanisha,	অমনিশ,	অমানিশা,	
pancbaar,	পাঁজার,	পাঁচবার,	
daqop,	দাকপ,	দাকোপ,	
messenjer,	মেশেঞ্জের,	মেসেঞ্জার,	
enjineers,	এনজাইন্টার্স,	ইঞ্জিনিয়ার্স,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
khelechen,	খেলেছেন,	খেলেছেন,	
anti,	আ্যান্টি,	আন্টি,	
baarak,	ব্যারাক,	বারাক,	
nirikhe,	নিরিখে,	নিরিখ,	
byepass,	ব্যাপস,	বাইপাস,	
shikh,	শিখ,	শিখ,	
nederlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
iuroo,	ইউরু,	ইউরো,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
sahocorjo,	সহপর্য,	সাহচর্য,	
nationsh,	ন্যাটিস্স,	নেশনস,	
kaferderkey,	কফফাডেরকে,	কাফেরদেরকে,	
shiropadhari,	শিরপাধারী,	শিরোপাধারী,	
karmakandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
aswastikor,	অস্বত্সিকর,	অস্বস্তিকর,	
janalo,	জানালো,	জানালো,	
sqalarashipa,	স্কলারিশিপ,	স্কলারশিপ,	
shaartho,	সার্থ,	স্বার্থ,	
yankii,	যাংকই,	ইয়াংকি,	
divya,	দিব্য,	দিব্যা,	
ghateer,	ঘতির,	ঘাটির,	
domonmoolok,	দমনমূলক,	দমনমূলক,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারীই,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
jubokti,	যুবক্তি,	যুবকটি,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
rata,	রত,	রত,	
kaathhmaandute,	কাঠ্যমণ্থিতে,	কাঠমান্ডুতে,	
agomonke,	আগমনকে,	আগমনকে,	
ovinetar,	অভিনেতর,	অভিনেতার,	
hert,	হের্ট,	হার্ট,	
granthe,	গ্রন্থে,	গ্রন্থে,	
manjushree,	মানজুসুরী,	মঞ্জুশ্রী,	
engrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
moddhyekar,	মধ্যকের,	মধ্যেকার,	
shaarok,	সারক,	স্মারক,	
kota,	কোটা,	কোটা,	
gaddafii,	গাদ্যুকী,	গাদ্দাফী,	
niropekkho,	নিরপক্ষ,	নিরপেক্ষ,	
kishti,	কিষ্টি,	কিস্তি,	
tochnoch,	তঞচচ,	তছনছ,	
gorur,	গরুর,	গরুর,	
deebatee,	দেবাতি,	ডিবেট,	
aagost,	আগস্ট,	আগষ্ট,	
braille,	ব্রেল,	ব্রেইল,	
gajiipur,	গজীপুর,	গাজীপুর,	
kinsa,	কিন্স,	কিংস,	
sidharther,	সিধার্থের,	সিদ্ধার্থের,	
kaloniir,	কালনীর,	কালনীর,	
uchchataro,	উচ্চতর,	উচ্চতর,	
jaistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
brindo,	ব্রিন্ড,	বৃন্দ,	
chhilonaa,	ছিলনা,	ছিলনা,	
poromartho,	পরমা্থ,	পরমার্থ,	
khanankaj,	খননকাজ,	খননকাজ,	
bossonte,	বসন্তে,	বসন্তে,	
ghamtaa,	ঘটমা,	ঘোমটা,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
homske,	হমস্কে,	হোমসকে,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
haj,	হাজ,	হয,	
eenameel,	ইনামিল,	এনামেল,	
orgho,	অর্ঘ,	অর্ঘ্য,	
baipasa,	বাপসা,	বাইপাস,	
gobeshonar,	গবেষণার,	গবেষনার,	
awatar,	আওতার,	অবতার,	
bhalobasake,	ভালবাসকে,	ভালোবাসাকে,	
moshjidtir,	মোশজিটদির,	মসজিদটির,	
surke,	সার্ক,	সুরকে,	
chhani,	ছানই,	ছানি,	
summi,	সামি,	সুমি,	
kattor,	কাট্যর,	কট্টর,	
surkarder,	সুরকারদের,	সুরকারদের,	
fotanor,	ফটানোর,	ফোটানোর,	
pravritike,	প্রভৃতিকে,	প্রভৃতিকে,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
oncholo,	অঞ্চলো,	অঞ্চলও,	
chirakumari,	চিরকরামারি,	চিরকুমারী,	
jatinkey,	জাতিনকে,	যতীনকে,	
sipht,	সিফট,	শিফট,	
gafeeloti,	গেফিলটি,	গাফিলতি,	
dorun,	দরুণ,	দরুণ,	
munim,	মুনিম,	মুনিম,	
ganohatyar,	গনহাত্যার,	গণহত্যার,	
phox,	ফক্স,	ফক্স,	
silvee,	সিলভে,	সিলভি,	
nilabha,	নীলাভ,	নীলাভ,	
coolin,	কোলিন,	কুলিং,	
rachonakal,	রচনাকাল,	রচনাকাল,	
shayanaida,	সায়ানইড,	সায়ানাইড,	
elaka,	এলাক,	এলাকা,	
tofaat,	টফাট,	তফাৎ,	
thaken,	থেকেন,	থাকেন,	
amontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
duple,	ডাপলে,	ডুপ্লে,	
vedanta,	ভেদন্ত,	বেদান্ত,	
parishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
chhilona,	ছিলনা,	ছিলনা,	
uparzoner,	উপার্জনের,	উপার্জনের,	
hoteelti,	হটটেলটি,	হোটেলটি,	
myakbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
sheekarke,	শিকারকে,	শিকারকে,	
saom,	সাম,	সাওম,	
graambaasio,	গ্রামাবাসও,	গ্রামবাসীও,	
avatar,	অভতার,	অবতার,	
noter,	নটের,	নোটের,	
shaalehaa,	সালেহা,	সালেহা,	
sotorkobhabey,	সতররকভাবে,	সতর্কভাবে,	
lala,	লললা,	লালা,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
vejaano,	ভেজানো,	ভেজানো,	
antarvuktimulok,	অন্তর্তভ্যমূক্ল,	অন্তর্ভুক্তিমূলক,	
sthaponake,	স্থাপনাকে,	স্থাপনাকে,	
konroop,	কনরপুপ,	কোনরূপ,	
bocchon,	বচ্চন,	বচ্চন,	
messanger,	মেশাঙের,	মেসেঞ্জার,	
rohosyo,	রহস্য,	রহস্য,	
stanehenge,	স্ট্নেনেং,	স্টোনহেঞ্জ,	
eekbaler,	একবলের,	ইকবালের,	
tader,	তাঁদের,	তদের,	
baarakpur,	বারাকপুর,	বারাকপুর,	
harysoner,	হারিশনের,	হ্যারিসনের,	
ajija,	আজিজা,	আজিজা,	
tomader,	তমাদের,	তোমাদের,	
rubi,	রুবি,	রুবী,	
jatota,	যতটা,	যতোটা,	
jwar,	ঝ্যার,	জ্বর,	
muhurtati,	মুহূর্াটি,	মুহুর্তটি,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
ghetoo,	ঘেতু,	ঘেটু,	
uthhane,	উঠানে,	উঠানে,	
cholo,	চলো,	চলো,	
antarctica,	অন্তর্ক্ষিকা,	অ্যান্টার্কটিকার,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
jonsa,	জনসা,	জোন্স,	
modeel,	মোদেল,	মডেল,	
saarbharti,	সার্ভারটি,	সার্ভারটি,	
seema,	সীমা,	সীমা,	
maudelder,	মাউড্লেডের,	মডেলদের,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
ajeeboner,	অজীবনের,	আজীবনের,	
shosha,	শোষা,	শশা,	
mucus,	মুকাস,	মিউকাস,	
uthane,	উঠানে,	উঠানে,	
cruce,	ক্রুস,	ক্রুশ,	
bim,	বিম,	বীম,	
armastram,	আর্মস্টারম,	আর্মস্ট্রং,	
madhuri,	মধুরি,	মাধুরী,	
dankan,	দাককান,	ডানকান,	
manee,	মানি,	মানে,	
noditi,	নদীটি,	নদীটি,	
ganonatya,	গণনাত্য,	গণনাট্য,	
quata,	কোয়াট,	কোটা,	
akatwa,	একাত্ব,	একাত্ব,	
teemothy,	তিমথি,	টিমোথি,	
shlok,	স্লোক,	শ্লোক,	
subir,	সুবির,	সুবীর,	
korkotkraantee,	কর্ককন্ত্রটি,	কর্কটক্রান্তি,	
swartho,	স্বর্থ,	স্বার্থ,	
panchasjan,	পঞ্চাশন,	পঞ্চাশজন,	
soomita,	সুমিতা,	সুমিতা,	
deliver,	দিলিভের,	ডেলিভার,	
garora,	গরোরা,	গারোরা,	
diiptii,	দীপ্তি,	ডেপুটি,	
shilpojato,	শিল্পজাত,	শিল্পজাত,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
asammati,	আসমাতি,	অসম্মতি,	
ruby,	রাবি,	রুবী,	
samabeshke,	সমাবেকে,	সমাবেশকে,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
vageri,	ভাগেরি,	ভাগেরই,	
hijriite,	হিজরিতে,	হিজরীতে,	
isan,	ইসন,	ঈশান,	
durgotsab,	দুর্গটসব,	দুর্গোৎসব,	
kana,	কানা,	কণা,	
nojod,	নজদ,	নজদ,	
moushumei,	মৌশমেই,	মৌসুমেই,	
saleha,	সালেহ,	সালেহা,	
tarabaina,	তারাবাইনা,	টারবাইন,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
mmadhuri,	মধুরি,	মাধুরী,	
kaatbey,	কাটবে,	কাটবে,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
jees,	জিস,	জেস,	
korkotkrantee,	কর্ককন্ত্রনি,	কর্কটক্রান্তি,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
taunasipa,	তানউশাপ,	টাউনশিপ,	
madhobir,	মাধবীর,	মাধবীর,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
larson,	লার্সন,	লারসন,	
ashammatite,	আসামাটিতে,	অসম্মতি,	
deares,	ডেরেস,	ডিআরএস,	
maney,	মানে,	মানে,	
chho,	ছো,	ছোঁ,	
jwoluk,	জ্বুলুক,	জ্বলুক,	
shpredashhita,	স্প্রেস্ডিসত,	স্প্রেডশীট,	
kash,	কাশ,	কাস,	
graambaasheeo,	গ্রামাবাসিও,	গ্রামবাসীও,	
choshon,	চোষণ,	চোষণ,	
janapoth,	জনপথ,	জনপথ,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
orthonitike,	অর্থনিতিকে,	অর্থনীতিকে,	
bhaisaho,	ভৈসহ,	ভাইসহ,	
shepha,	সেফ,	শেফ,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
bhangley,	ভাঙলে,	ভাঙলে,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
graambashio,	গ্রাম্বাসও,	গ্রামবাসীও,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
injiniyarsha,	ইনজিজাইন্সা,	ইঞ্জিনিয়ার্স,	
parishromi,	পরিস্রমী,	পরিশ্রমী,	
ishtone,	ইস্তনে,	স্টোন,	
sollallhu,	সোল্লাল্যুহ,	সল্লাল্লাহু,	
oncoltike,	অঞ্কলটিকে,	অঞ্চলটিকে,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
