nirmaankaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
bbiswasho,	বিশ্ববাস,	বিশ্বাসও,	
somrat,	সম্রাত,	সম্রাট,	
faad,	ফাদ,	ফুড,	
tookrotey,	তুকরতে,	টুকরোতে,	
rajtontre,	রাজনত্রে,	রাজতন্ত্রে,	
cyphy,	সিফই,	সাইফাই,	
codee,	কোডি,	কোডে,	
shyooter,	স্যুটের,	শ্যুটার,	
progreshsh,	প্রগেরসে,	প্রগ্রেস,	
thare,	থারে,	থরে,	
dorgaaho,	দর্গাহ,	দরগাহ,	
skolastic,	সককাস্টিক,	স্কলাস্টিক,	
ekshotee,	একশটি,	একশোটি,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
jalbe,	জলবে,	জ্বলবে,	
doojoo,	ডোজু,	ডোজো,	
jathan,	যথান,	যথন,	
chenja,	চেঞ্জ,	চেঞ্জ,	
female,	ফেমালে,	ফিমেল,	
hotodoridro,	হতাদরদ্রী,	হতদরিদ্র,	
koreem,	করিম,	করিম,	
sumoo,	সুমো,	সুমো,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
dhhaaby,	ঢাববি,	ঢাবি,	
madhukooree,	মাধুুকী,	মাধুকরী,	
mirakeela,	মারিকেল,	মিরাকেল,	
dollu,	ডললু,	ডলু,	
mojlis,	মজলিস,	মজলিশ,	
bishashke,	বিশাষকে,	বিশ্বাসকে,	
behrampurer,	বহ্রামপুরের,	বহরমপুরের,	
zess,	জেস,	জেস,	
nebhate,	নেভাতে,	নেভাতে,	
dharabahik,	ধারবাহিক,	ধারাবাহিক,	
dinesh,	ডিনেস,	দীনেশ,	
harj,	হার্জ,	হার্জ,	
afjal,	অফজাল,	আফজল,	
juktarashtreo,	যুক্ততরর্ত্রে,	যুক্তরাষ্ট্রেও,	
shourshe,	সৌর্ষে,	সোর্স,	
jameske,	জমেস্কে,	জেমসকে,	
pirujali,	পিরুজালী,	পিরুজালী,	
karpeter,	কর্পেটের,	কার্পেটে,	
juktarashtre,	যুক্তরারস্ত্রে,	যুক্তরাষ্ট্রে,	
jarusalem,	জারুসমেলে,	জেরুসালেম,	
vandare,	ভান্দারে,	ভাণ্ডারে,	
unitsaho,	উনিতসহহ,	ইউনিটসহ,	
militaryr,	মিলিটারির,	মিলিটারির,	
samajeek,	সামাজীক,	সামাজিক,	
harir,	হারির,	হরির,	
ester,	এস্টার,	ইস্টার,	
dackop,	ডাক্প,	দাকোপ,	
bamon,	বামণ,	বামন,	
arena,	আরেন,	এরিনা,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
chowdhuryder,	চৌদ্রদের,	চৌধুরীদের,	
shaushage,	শৌসাগে,	সসেজ,	
shansthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
planee,	প্লানি,	প্লেন,	
elakashaho,	এলাকাসহহ,	এলাকাসহ,	
ceramiksh,	কারমমিক্স,	সিরামিকস,	
raits,	রাইটস,	রাইটস,	
tarasa,	তারাস,	টেরেসা,	
vastubad,	ভাস্তববাদ,	বস্তুবাদ,	
khoka,	খোকা,	খোকা,	
prokalpagulo,	প্রকাপালগুলো,	প্রকল্পগুলো,	
sudha,	সুধা,	সুধা,	
vaisoho,	ভৈসহ,	ভাইসহ,	
muchir,	মুচির,	মুচির,	
donut,	ডননুত,	ডোনাট,	
pharna,	ফার্ন,	ফার্ন,	
parksh,	পার্কস,	পার্কস,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
jerusalemer,	জারুসমেমের,	জেরুজালেমের,	
torup,	তরপূপ,	ট্রুপ,	
avishangson,	অভিষংসন,	অভিশংসন,	
ummool,	উম্মুল,	উম্মুল,	
gej,	জেজ,	গেজ,	
dibug,	দিবুগ,	ডিবাগ,	
inshtol,	ইনস্টল,	ইন্সটল,	
seekkhakrom,	শিক্ষার্ম,	শিক্ষাক্রম,	
elaakaa,	এলাকা,	এলাকা,	
juktorashtrosaha,	যুক্ততরস্রস্থাহ,	যুক্তরাষ্ট্রসহ,	
sten,	স্টেন,	স্টেন,	
nirvahi,	নির্বাহী,	নির্বাহি,	
phokshkon,	ফক্ষণ,	ফক্সকন,	
debodebi,	দেবদেবী,	দেবদেবী,	
koruna,	করুণ,	করুণা,	
abhinetar,	অভিনেতার,	অভিনেতার,	
motabolombiira,	মতবববল্মীরা,	মতাবলম্বীরা,	
ujbekistaner,	উজ্বেকেশ্তানের,	উজবেকিস্তানের,	
shukna,	শুক্ণ,	শুকনা,	
byaboharkarikey,	ব্যবহারারকে,	ব্যবহারকারীকে,	
prokolpeo,	প্রকোল্পে,	প্রকল্পেও,	
andamana,	অন্দমান,	আন্দামান,	
phoksher,	ফক্ষের,	ফক্সের,	
cholochchitreeo,	চলচচিত্রী,	চলচ্চিত্রেও,	
ghumachchila,	ঘোমাহ্চিল,	ঘুমাচ্ছিল,	
bikretaara,	বিক্রেতা,	বিক্রেতারা,	
prakalpoo,	প্রকালপু,	প্রকল্পও,	
phokskon,	ফককসণ,	ফক্সকন,	
taoonship,	তানশিিপ,	টাউনশিপ,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
akritakarja,	আক্তীরকর্যা,	অকৃতকার্য,	
faser,	ফাসের,	ফাঁসের,	
sangrahok,	সংগ্রহহক,	সংগ্রাহক,	
samashtigata,	সমস্তিততা,	সমষ্টিগত,	
soorsa,	সূর্স,	সোর্স,	
sobchey,	সবছে,	সবচে,	
parry,	পার্রি,	পেরি,	
kulim,	কুলিম,	কুলিং,	
mondopey,	মন্দপে,	মন্ডপে,	
jommoo,	জম্মু,	জম্মু,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
rato,	রতো,	রত,	
israeler,	ইস্রেলের,	ইসরাঈলের,	
faskari,	ফাস্কারি,	ফাঁসকারী,	
chhaai,	ছাই,	ছাই,	
laesensh,	লেয়েন্স,	লাইসেন্স,	
ghatleo,	ঘটলে,	ঘটলেও,	
songkulan,	সংকুলন,	সংকুলান,	
himi,	হিমি,	হিমি,	
sifi,	সিফি,	সাইফাই,	
ispreedshiit,	সস্প্রেদিত,	স্প্রেডশীট,	
artillary,	অর্টিলারি,	আর্টিলারি,	
maladabha,	মালাদভা,	মলদোভা,	
ankita,	অঙ্কিত,	অঙ্কিতা,	
jubokder,	জববদকের,	যুবকদের,	
jarool,	জারুল,	জারুল,	
onchalti,	অন্চল্তি,	অঞ্চলটি,	
teresa,	টেরেস,	টেরেসা,	
shulkey,	সুলকে,	শুল্কে,	
sorano,	সরাণো,	সরানো,	
bhittiei,	ভিত্তী,	ভিত্তিই,	
nodnodir,	নদ্দদীর,	নদনদীর,	
bhushi,	ভুষি,	ভুষি,	
gonocheen,	গোনচিন,	গণচীন,	
kanflikt,	কানফিক্ট,	কনফ্লিক্ট,	
chalke,	চালকে,	চালকে,	
ivir,	ইভির,	এভার,	
natniike,	নান্তিকে,	নাতনীকে,	
eidin,	এডিন,	এইদিন,	
phood,	ফোদ,	ফুড,	
bhabnar,	ভান্ার,	ভাবনার,	
aairis,	আইরিস,	আইরিস,	
bashitey,	বাশিতে,	বাঁশিতে,	
easter,	এস্টার,	ইস্টার,	
ranangoney,	রনাঙ্গণে,	রণাঙ্গনে,	
durger,	দার্গের,	দুর্গের,	
stonahenja,	স্টোনেহেঞ্জ,	স্টোনহেঞ্জ,	
arthanitite,	অর্থানিতিতে,	অর্থনীতিতে,	
monmotho,	মন্মথ,	মন্মথ,	
kakhnoba,	কান্নববা,	কখনওবা,	
mandondo,	মন্দন্দ,	মানদণ্ড,	
foreex,	ফরিক্স,	ফরেক্স,	
buffar,	বাফার,	বাফার,	
siropar,	সিরপার,	শিরোপার,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
licencer,	লিকেনসের,	লাইসেন্সের,	
nikate,	নিকাতে,	নিকটে,	
quoota,	কুটো,	কোটা,	
uparjon,	উপর্জন,	উপার্জন,	
scifi,	স্কিফি,	সাইফাই,	
jolorong,	জলরর্গ,	জলরঙ,	
kooyeri,	কোয়েরি,	কোয়েরি,	
bipozzonok,	বিজজনক,	বিপজ্জনক,	
antarctikar,	অন্তার্কিক্তার,	অ্যান্টার্কটিকার,	
jonsha,	জন্সা,	জোন্স,	
asabhyaa,	অসাভ্যা,	অসভ্য,	
serverey,	সার্ভারে,	সার্ভারে,	
sangharshik,	সংঘার্ষীক,	সাংঘর্ষিক,	
oitijhyer,	অতিঘ্যের,	ঐতিহ্যের,	
kade,	কাডে,	কোড,	
oporeeshodhito,	অপরিষ্ধিত,	অপরিশোধিত,	
prachando,	প্রচান্দ,	প্রচণ্ড,	
tenis,	টেনিস,	টেনিস,	
nilkomol,	নিলমকল,	নীলকমল,	
smaroker,	স্মরকের,	স্মারকের,	
seekkhokder,	শিক্ষদদের,	শিক্ষকদের,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
cheelona,	চিলনা,	ছিলনা,	
dhikrito,	ঢিকৃত,	ধিকৃত,	
soranor,	সরাণোর,	সরানোর,	
moshjidtike,	মস্জিকতিকে,	মসজিদটিকে,	
talaa,	তালা,	তালা,	
asovo,	অসভব,	অসভ্য,	
samanwitabhabey,	সমম্নাতভাবে,	সমন্বিতভাবে,	
jeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
bheenisa,	ভিনিস,	ভেনিস,	
laaj,	লাজ,	লাজ,	
shukraanu,	শুক্রণু,	শুক্রানু,	
kuota,	কোটো,	কোটা,	
gondho,	গণ্ধ,	গন্ধে,	
plainti,	প্লান্টি,	প্লেনটি,	
parking,	পার্কিং,	পার্কিং,	
koreemer,	করিমের,	করিমের,	
zibonnogor,	জীবন্গোর,	জীবননগর,	
qyathaliqa,	ক্যাথালিক,	ক্যাথলিক,	
gabeshanar,	গবেষণণার,	গবেষনার,	
barbe,	বরববে,	বাড়বে,	
aholyar,	অহল্যার,	অহল্যার,	
dwipgulo,	দ্বীপুলো,	দ্বীপগুলো,	
totokhon,	ততোখন,	ততক্ষন,	
chhattroraai,	ছাত্রারাই,	ছাত্ররাই,	
idaning,	ইডানিং,	ইদানিং,	
garmanyteo,	গর্মানেতি,	জার্মানিতেও,	
dwipei,	ড্বীপে,	দ্বীপেই,	
kokein,	ককেন,	কোকেইন,	
footbalarder,	ফুতবার্দের,	ফুটবলারদের,	
jolatonko,	জলতন্ক,	জলাতঙ্ক,	
bade,	বাদে,	বাদে,	
tigar,	তিগার,	টাইগার,	
bhenna,	ভেন্ন,	ভেন্না,	
nikot,	নিকত,	নিকট,	
taresa,	তারেস,	টেরেসা,	
lambaate,	লামবাতে,	লম্বাটে,	
valobasey,	ভালবাসে,	ভালোবাসে,	
sanaktokoroner,	সননকতর্ণণের,	সনাক্তকরণের,	
pakhirai,	পাখিরাই,	পাখিরাই,	
siddhantagulo,	সিধ্ধনত্গগুলো,	সিদ্ধান্তগুলো,	
basa,	বাস,	বাসা,	
haluder,	হালুদের,	হলুদের,	
annarup,	অন্নারপূপ,	অন্যরূপ,	
rajtontrey,	রাজন্ত্রে,	রাজতন্ত্রে,	
military,	মিলিটারি,	মিলিটারি,	
danabder,	ডানবদদের,	দানবদের,	
milton,	মিলতন,	মিলটন,	
sanaktakaran,	সননকত্রণণ,	সনাক্তকরণ,	
samaptir,	সমমপ্তির,	সমাপ্তির,	
jyakasana,	জ্যাকাশন,	জ্যাকসন,	
gronthao,	গ্রন্থা,	গ্রন্থও,	
hossne,	হসসেে,	হোসনে,	
dupleks,	ডাপলেক,	ডুপ্লে,	
hepatetisa,	হেপটেটিস,	হেপাটাইটিস,	
adhyatmik,	অধ্যামতিক,	আধ্যাত্মিক,	
gaddaafee,	গাদাপাফী,	গাদ্দাফী,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
debholopar,	ডেভলপার,	ডেভলপার,	
obhishangsan,	অভিষাংশন,	অভিশংসন,	
phutantoa,	ফুতন্ত,	ফুটন্ত,	
shhyutara,	স্যুতর,	শ্যুটার,	
prothake,	প্রথাকে,	প্রথাকে,	
srichoitonnodeb,	শ্রীকন্তন্বদ,	শ্রীচৈতন্যদেব,	
bikretara,	বিক্রেতা,	বিক্রেতারা,	
shikhbe,	শিক্বে,	শিখবে,	
ashamarthita,	অসমার্থিত,	অসমর্থিত,	
laat,	লাত,	লাট,	
tinti,	তিন্তি,	তিনটি,	
rajatwa,	রাজতত্ব,	রাজত্ব,	
bhramaner,	ভ্রামণের,	ভ্রমণের,	
senabahineekey,	সেনানাহিনীকে,	সেনাবাহিনীকে,	
mousumer,	মৌসুমের,	মৌসুমের,	
oitijjhey,	অতিয্যে,	ঐতিহ্যে,	
objarvar,	অব্গর্ভার,	অবজার্ভার,	
turki,	তূর্কি,	তুর্কি,	
sayeed,	সাইড,	সাইদ,	
ul,	উল,	উল,	
baait,	বাইত,	বাইট,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
juktorashtrasaha,	যুক্ততরস্রসরহা,	যুক্তরাষ্ট্রসহ,	
aansaarir,	আনসারীর,	আনসারীর,	
provur,	প্রভূর,	প্রভুর,	
treebhuj,	ত্রীভুগ,	ত্রিভূজ,	
keram,	কেরাম,	কেরাম,	
boudhher,	বৌধ্ধের,	বৌদ্ধের,	
bilati,	বিলতি,	বিলাতী,	
kathmandu,	কামান্দু,	কাঠমান্ডু,	
bee,	বি,	বি,	
bytes,	বিতেস,	বাইটস,	
noditir,	নদিিতির,	নদীটির,	
dhaanche,	ধাঁচে,	ধাঁচে,	
khogen,	খোগেন,	খগেন,	
elakate,	এলাকেতে,	এলাকাতে,	
qibord,	কিওর্ড,	কীবোর্ড,	
chalechi,	চালেছি,	চলেছি,	
mukhbondho,	মুখ্বন্ধ,	মুখবন্ধ,	
samabesh,	সমমেব,	সমাবেশ,	
garnaar,	গার্নার,	গার্নার,	
dharatir,	ধররতির,	ধারাটির,	
oitihya,	অতিহ্য,	ঐতিহ্য,	
hajarti,	হজর্তি,	হাজারটি,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
sahoocorzoe,	সহচার্যে,	সাহচর্যে,	
veenish,	ভিনিস,	ভেনিস,	
susamo,	সুসম,	সুসম,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
skarrt,	স্কার্ট,	স্কার্ট,	
ronangane,	রনাঙ্গণে,	রণাঙ্গনে,	
parishromi,	পরিষ্রমী,	পরিশ্রমী,	
dada,	ডাদ,	দাদা,	
biplobi,	বিপ্লবী,	বিপ্লবী,	
snepara,	স্পেপার,	স্নাইপার,	
rinatmak,	রিনম্মক,	ঋনাত্মক,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
tarbine,	তরববীনে,	টারবাইন,	
cheerkoot,	চিরকুত,	চিরকুট,	
drishyogulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
goora,	গোরা,	গোর,	
damanmulak,	ডামানমুলক,	দমনমূলক,	
abotar,	অবতার,	অবতার,	
safiin,	সাফিন,	সাফিন,	
ajeempoor,	অজিমপুর,	আজিমপুর,	
peeth,	পিথ,	পীঠ,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
dakteekit,	ডাকতিকিত,	ডাকটিকিট,	
goshthiti,	গষ্ঠিতি,	গোষ্ঠীটি,	
harisher,	হারিশের,	হ্যারিসের,	
hames,	হামেস,	হোমস,	
bhittiteo,	ভিত্তিতে,	ভিত্তিতেও,	
amittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
dokanei,	দকানেই,	দোকানেই,	
bakhyateet,	বখ্যাতিত,	ব্যাখ্যাতীত,	
natnikey,	নান্তিকে,	নাতনীকে,	
shudhui,	সুধু,	শুধুই,	
poriskoron,	পরিসরণণ,	পরিষ্করণ,	
futbolarer,	ফুটবালের,	ফুটবলারের,	
swamijir,	স্বমাজীর,	স্বামীজীর,	
sajanor,	সাজননোর,	সাজানোর,	
hedge,	হেডজে,	হেজ,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
tochhnoch,	তছন্চ,	তছনছ,	
fooloo,	ফুলো,	পোলো,	
korush,	করুষ,	ক্রুশ,	
engineersh,	এনিজের্স,	ইঞ্জিনিয়ার্স,	
karmapantha,	কর্মপপ্থা,	কর্মপন্থা,	
neemeetto,	নিমেত্ব,	নিমিত্ত,	
kanda,	কন্ড,	কাণ্ড,	
palta,	পল্ত,	পালটা,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
khelafatey,	খেলাফেতে,	খেলাফতে,	
ujbekistan,	উজ্বেকেস্তান,	উজবেকিস্তান,	
animated,	অনিমেতেদ,	এনিমেটেড,	
suparichito,	সুপুরিচিত,	সুপরিচিত,	
chetana,	চেতন,	চেতনা,	
blyaka,	ব্লাযাক,	ব্ল্যাক,	
juktorastre,	যুক্তরস্ত্রে,	যুক্তরাষ্ট্রে,	
shommoteete,	সম্ততিতে,	সম্মতিতে,	
govornorer,	গভর্নের,	গভর্ণরের,	
oiteejyo,	অতিয্য,	ঐতিহ্য,	
olpoi,	অলপোই,	অল্পই,	
musolmanera,	মুসমলনের,	মুসলমানেরা,	
ssosha,	শশসা,	শশা,	
phoxkon,	ফকক্ষণ,	ফক্সকন,	
armashtram,	আর্মস্ত্রম,	আর্মস্ট্রং,	
poper,	পপের,	পোপের,	
stanahenja,	স্টানেহেঞ্জ,	স্টোনহেঞ্জ,	
chirokumari,	চিরকুমিরি,	চিরকুমারী,	
upostheet,	উপস্থিত,	উপস্থিত,	
durgandho,	দুর্ঘান্ধ,	দুর্গন্ধ,	
bhezano,	ভেজানো,	ভেজানো,	
foltir,	ফলটির,	ফলটির,	
porishongkhyanbid,	পরিষংন্যান্দ,	পরিসংখ্যানবিদ,	
skalastic,	সককাস্টিক,	স্কলাস্টিক,	
eqsapreshana,	এক্সপের্শেন,	এক্সপ্রেশন,	
chhutochhooti,	চুতুচ্তি,	ছুটোছুটি,	
sohopathike,	সহপাথিকে,	সহপাঠীকে,	
shaluk,	সালুক,	শালুক,	
anodhikaar,	অনধিকারার,	অনধিকার,	
obosan,	অবসান,	অবসান,	
roopdaan,	রূপদান,	রুপদান,	
monu,	মনু,	মনু,	
kathmandutey,	কামান্দুতে,	কাঠমান্ডুতে,	
abarte,	অবর্তে,	আবর্তে,	
gaiche,	গাইছে,	গাইছে,	
kkomandar,	কমমন্দার,	কমাণ্ডার,	
jaank,	জানকক,	জাঁক,	
gondogol,	গণ্দোগল,	গন্ডগোল,	
madrasar,	মাদ্রসার,	মাদ্রাসার,	
juktorashtre,	যুক্তরারস্ত্রে,	যুক্তরাষ্ট্রে,	
proshtutkarok,	প্রত্তুত্রকার,	প্রস্তুতকারক,	
pradeep,	প্রাদিপ,	প্রদীপ,	
pustir,	পুস্তির,	পুষ্টির,	
majlish,	মাজিল,	মজলিশ,	
jansha,	জন্সা,	জন্স,	
konake,	কনাকে,	কণাকে,	
dharai,	ধারাই,	ধারাই,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
bhagna,	ভাগ্ন,	ভগ্ন,	
eoki,	একি,	এওকি,	
niqela,	নিকেল,	নিকেল,	
qoda,	কোডা,	কোড,	
heja,	হেজা,	হেজ,	
gaafeeloti,	গাফিলটি,	গাফিলতি,	
artharer,	অর্থারের,	আর্থারের,	
modhumotii,	মধুমতি,	মধুমতী,	
siima,	সিম,	সীমা,	
boikolyo,	বৈকল্য,	বৈকল্য,	
krechi,	ক্রেচি,	করেছি,	
pujito,	পুজিত,	পুজিত,	
advanshd,	অদ্যান্ড,	অ্যাডভান্সড,	
day,	ডাই,	ডে,	
sotteo,	সত্তে,	সত্ত্বেও,	
manahputa,	মহানপুত,	মনঃপুত,	
okhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
capshule,	কাপাশুলে,	ক্যাপসুল,	
yuq,	ওয়াক,	ইয়াক,	
shilpojat,	শিল্পতা,	শিল্পজাত,	
ahalya,	আহল্য,	অহল্যা,	
sangbadmadhyamer,	সংবদ্যমাম্যের,	সংবাদমাধ্যমের,	
blaker,	ব্লাকের,	ব্ল্যাকের,	
probhuder,	প্রভুদের,	প্রভুদের,	
manober,	মানবের,	মানবের,	
teemur,	তিমুর,	তিমুর,	
oncholsomuho,	অন্চসমূহ,	অঞ্চলসমূহ,	
paner,	পানের,	পনের,	
chintai,	চিন্তাই,	ছিনতাই,	
shilabhara,	সিলভার,	সিলভার,	
danaqana,	ডানাকন,	ডানকান,	
aboshore,	অবশরে,	অবসরে,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
karmakarer,	কর্মকারের,	কর্মকারের,	
anchalo,	অঞ্চলো,	অঞ্চলও,	
nirikha,	নিরিখ,	নিরিখ,	
ganosachetanata,	গনসাচননতত,	গণসচেতনতা,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
pushti,	পুষ্টি,	পুষ্টি,	
turqmen,	টার্কমেন,	তুর্কমেন,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
hipar,	হিপার,	হাইপার,	
blagaarara,	ব্লাগররা,	ব্লগাররা,	
germanyteo,	জ্রেমানিতে,	জার্মানিতেও,	
jotinke,	জতিনকে,	যতীনকে,	
drissogulote,	দৃষ্বগুলোতে,	দৃশ্যগুলোতে,	
jinsa,	জিংস,	জিন্স,	
harano,	হরণা,	হারান,	
jyeshthaa,	জ্যেস্থা,	জ্যেষ্ঠা,	
ssumi,	সুমি,	সুমি,	
brinda,	ব্রিন্ড,	বৃন্দা,	
mokhmoley,	মখ্মলে,	মখমলে,	
avereste,	অভেরেস্টে,	এভারেস্টে,	
ovijojan,	অভিযোজন,	অভিযোজন,	
sontoshe,	সন্তসে,	সন্তোষে,	
dhwajbhanga,	ধ্বাবাহ্ঞ্গ,	ধ্বজভঙ্গ,	
charukola,	চররুকলা,	চারুকলা,	
onupater,	অনুপাতের,	অনুপাতের,	
gondho,	গণ্ধ,	গন্ধ,	
infarmatian,	ইনফার্েশন,	ইনফরমেশন,	
difinishhion,	ডিফিনেশন,	ডেফিনেশন,	
kanasarabheshana,	কনাসেরভাশন,	কনসারভেশন,	
ekhaate,	এখাতে,	একহাতে,	
transapharma,	ট্রসনসার্ম,	ট্রান্সফর্ম,	
gosthyti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
bissonath,	বিশননথা,	বিশ্বনাথ,	
ishpredshhiit,	সস্প্রেেটি,	স্প্রেডশীট,	
angsogrohon,	অংসগ্রহণ,	অংশগ্রহন,	
shikare,	শিকারে,	শিকারে,	
ashocheton,	অস্চেতন,	অসচেতন,	
jalrang,	জালর্গ,	জলরঙ,	
ottacharito,	অত্তচারিত,	অত্যাচারিত,	
futbolarder,	পুতবার্দের,	ফুটবলারদের,	
tarkareer,	তারকারীর,	তরকারীর,	
maroofer,	মারফুর,	মারুফের,	
satthikata,	সাতিহাকতা,	সঠিকতা,	
dhanche,	ধাঁচে,	ধাঁচে,	
borana,	বরাণ,	বোরন,	
gaandas,	গান্দাস,	জ্ঞানদাস,	
madhuree,	মধুরী,	মাধুরী,	
sibraz,	সিব্রাজ,	শিবরাজ,	
stane,	স্টানে,	স্টোন,	
manushtike,	মানুষ্তিকে,	মানুষটিকে,	
xpose,	ক্পসে,	এক্সপোজ,	
dharabhashyakar,	ধর্ভাস্যকার,	ধারাভাষ্যকার,	
jaunatar,	জানাতার,	যৌনতার,	
dharavahikeo,	ধারাভাহিকে,	ধারাবাহিকেও,	
swajaner,	স্বাজনের,	স্বজনের,	
unitshoho,	উনিতঃহহ,	ইউনিটসহ,	
heawy,	হেভি,	হেভি,	
nirgoon,	নির্গুন,	নির্গুণ,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
durgondho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
saccar,	সাকার,	সকার,	
nabotom,	নবতম,	নবতম,	
mukhobandha,	মুখবাধ্ধ,	মুখবন্ধ,	
moricha,	মরিচা,	মরিচা,	
pannee,	পান্যী,	পন্নী,	
istoone,	ইস্টুনে,	স্টোন,	
monzeele,	মঞ্জীলে,	মঞ্জিলে,	
bosstonto,	বস্তন্ত,	বসন্ত,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
sabaner,	সবনের,	সাবানের,	
longhan,	লঙ্ঘান,	লংঘন,	
nobotomo,	নবতম,	নবতম,	
jatook,	জাতুক,	জাতক,	
uporitol,	উপরিত,	উপরিতল,	
manushe,	মানুষে,	মানুষে,	
jeebonjaapon,	জীবনপপনন,	জীবনযাপন,	
shtonehenge,	স্টোনেহেেজে,	স্টোনহেঞ্জ,	
ceramiks,	কারমমিক্স,	সিরামিকস,	
janoikaa,	জননিকা,	জনৈকা,	
apochesta,	অপোেস্ট,	অপচেষ্টা,	
gunze,	জাঞ্জে,	গুঁজে,	
doonata,	ডোনতা,	ডোনাট,	
byaboharkariderkey,	ব্যবহারহাররারকে,	ব্যবহারকারীদেরকে,	
malish,	মালিশ,	মালিশ,	
vagni,	ভাগ্নী,	ভগ্নী,	
kaale,	কালে,	কালে,	
indro,	আন্দ্র,	ইন্দ্র,	
ekshapreshhana,	এক্ষপপরেশন,	এক্সপ্রেশন,	
uipoka,	উপিকা,	উইপোকা,	
anan,	অনন,	আনান,	
prothati,	প্রথাতি,	প্রথাটি,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
saatzon,	সাতজন,	সাতজন,	
arthonitike,	অর্থন্তিকে,	অর্থনীতিকে,	
instant,	ইনসস্টান্ট,	ইনস্ট্যান্ট,	
uper,	উপার,	আপের,	
hajarer,	হাজারের,	হাজারের,	
daakteekiter,	ডাকতিকিতের,	ডাকটিকিটের,	
sathik,	সাথিক,	সঠিক,	
daakope,	ডাকাপে,	দাকোপ,	
machhsoho,	মহ্চহ,	মাছসহ,	
shepherd,	সেফার্ড,	শেফার্ড,	
futonta,	ফুটন্ট,	ফুটন্ত,	
huge,	হুগে,	হিউজ,	
beshirbhaageyi,	বেশির্গাগে,	বেশিরভাগেই,	
sharif,	শরিফ,	শরিফ,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
sbajaner,	স্বাজেনের,	স্বজনের,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
maniktola,	মনিকতা,	মানিকতলা,	
garner,	গার্নের,	গার্নার,	
dong,	ডোং,	ডং,	
janasangyog,	জনসংঙ্গগগ,	জনসংযোগ,	
kins,	কিনস,	কিংস,	
manushti,	মনুষ্তি,	মানুষটি,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
heights,	হাইটসস,	হাইটস,	
mukhobondho,	মুখন্ধ্ধ,	মুখবন্ধ,	
rajbandi,	রাজাবন্দী,	রাজবন্দী,	
stonehenj,	স্টোনেেজ্জ,	স্টোনহেঞ্জ,	
vagno,	ভাগ্ন,	ভগ্ন,	
kamola,	কমলা,	কামলা,	
hotelti,	হটেটি,	হোটেলটি,	
kuhelika,	কাহেলিকা,	কুহেলিকা,	
windo,	উইন্ড,	উইন্ডো,	
dwibidho,	দ্ববিধ,	দ্বিবিধ,	
techno,	টেছন,	টেকনো,	
aamoode,	আমোদে,	আমুদে,	
veemsen,	ভিমেন,	ভীমসেন,	
obharbhiu,	অভারভুরি,	ওভারভিউ,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
haripur,	হরিপুর,	হরিপুর,	
batikromee,	বতিক্রমী,	ব্যতিক্রমী,	
hariken,	হারিকেন,	হ্যারিকেন,	
musalmanderke,	মুসমান্দ্রেকে,	মুসলমানদেরকে,	
puroheetke,	পুরুহিতকে,	পুরোহিতকে,	
