bomkesh,	বোমকেশ,	ব্যোমকেশ,	
sakar,	সাকার,	সাকার,	
koyeri,	কোয়েরি,	কোয়েরি,	
metroopoolitan,	ম্যাত্রুপুলেটন,	মেট্রোপলিটন,	
taiwan,	টাইন,	তাইওয়ান,	
obharbheeu,	অভার্ভু,	ওভারভিউ,	
hozot,	হজত,	হজত,	
arifin,	আরিফিন,	আরিফিন,	
bem,	বেম,	বিম,	
zansa,	জন্স,	জন্স,	
mozlishpur,	মজলিশ্পুর,	মজলিশপুর,	
rooshod,	রুশদ,	রুশদ,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
kata,	কাটা,	কোটা,	
kormi,	কর্মী,	কর্মই,	
iceberg,	ইকেসরবা,	আইসবার্গ,	
grantha,	গ্রন্থ,	গ্রন্থ,	
uparjoner,	উপারনজনের,	উপার্জনের,	
nortoki,	নর্তকি,	নর্তকী,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
ballroom,	বলরাম,	বলরুম,	
install,	ইনস্টল,	ইন্সটল,	
kins,	কিংস,	কিংস,	
parry,	প্যারি,	পেরি,	
kaloniir,	কলনির,	কালনীর,	
enimeted,	এনিমিটেড,	এনিমেটেড,	
kolahol,	কলালহল,	কোলাহল,	
petenter,	প্যেনেটের,	পেটেন্টের,	
transhapharma,	ট্রান্সমোর্ম,	ট্রান্সফর্ম,	
boikalyo,	বৈকালো,	বৈকল্য,	
beildaar,	বিল্ডার,	বিল্ডার,	
plater,	প্লেটার,	প্লেটের,	
hitaishi,	হিটাসি,	হিতৈষী,	
teempaleeta,	টিম্পলিট,	টেম্পলেট,	
iran,	আইরন,	ইরান,	
stane,	স্ট্যানি,	স্টোন,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
sastra,	সষ্ত্র,	শাস্ত্র,	
motabolambira,	মতাাবলম্বীরা,	মতাবলম্বীরা,	
gemske,	গেমসকে,	জেমসকে,	
grambaasider,	গ্রাবাবাসীদের,	গ্রামবাসীদের,	
nirapottamulak,	নির্যাতমূলক,	নিরাপত্তামূলক,	
sbaajan,	স্বজন,	স্বজন,	
hebhi,	হেভি,	হেভি,	
durga,	দুর্গা,	দুর্গ,	
octane,	অক্তনে,	অকটেন,	
nobom,	নবম,	নবম,	
shomser,	শমসের,	সমশের,	
ramjaner,	রমজানের,	রমযানের,	
bishashke,	বিশ্বাসকে,	বিশ্বাসকে,	
ghoomato,	ঘুমতো,	ঘুমাতো,	
turishta,	টুরিষ্ট,	টুরিস্ট,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
ghumacche,	ঘুমাছে,	ঘুমাচ্ছে,	
phiksha,	ফিক্স,	ফিক্স,	
karmasampadon,	কর্মসামপন,	কর্মসম্পাদন,	
oitijjher,	ঐতিজ্যের,	ঐতিহ্যের,	
reliance,	রিলিয়েস,	রিলায়েন্স,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
roi,	রো,	রায়,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
chorban,	চর্বন,	চর্বন,	
savanetri,	সভভানিত্রী,	সভানেত্রী,	
hundayi,	হান্দাই,	হুন্দাই,	
turbiner,	টার্বিনের,	টারবাইনের,	
edaning,	এডেনিং,	ইদানিং,	
nagarikra,	নাগারিকরা,	নাগরিকরা,	
madhabike,	মাধাবিকে,	মাধবীকে,	
deraa,	দেরা,	ডেরা,	
japanira,	জাপানীরা,	জাপানিরা,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
bibade,	বিবাদে,	বিবাদে,	
shaahaab,	সাহাব,	সাহাব,	
baharamapurer,	বহরামূপুরের,	বহরমপুরের,	
mookhbaundho,	মুখবান্ড,	মুখবন্ধ,	
militaryr,	মিলিটারির,	মিলিটারির,	
keke,	কেকে,	কেকে,	
shringa,	শ্রীঙ্গ,	শৃঙ্গ,	
uthhe,	উঠে,	উঠে,	
aaeerese,	আইরিশে,	আইরেসে,	
kale,	কালে,	কালে,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
fimel,	ফাইলেল,	ফিমেল,	
harbourey,	হার্বরে,	হারবারে,	
vogini,	ভগিনী,	ভগিনী,	
shangsthatikey,	সংস্থিতকে,	সংস্থাটিকে,	
sanghar,	সংঘর,	সংহার,	
hola,	হলা,	হোল,	
infarmatian,	ইনফ্রমেশন,	ইনফরমেশন,	
vasturyi,	ভস্তুরি,	বস্তুরই,	
asamorik,	অসামরিক,	অসামরিক,	
upobaasee,	উপবাসী,	উপবাসী,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
metrapalitana,	মেট্রোপিলিটন,	মেট্রোপলিটন,	
khoja,	খোজ,	খোজা,	
karmosampadan,	কর্মসামপন,	কর্মসম্পাদন,	
koomarir,	কুমারির,	কুমারীর,	
bolechi,	বলেছি,	বলেছি,	
janate,	জানাতে,	জানাতে,	
subir,	শুবির,	সুবীর,	
faase,	ফেস,	ফাঁসে,	
direectoratee,	ডিরেক্টরিট,	ডিরেক্টরেট,	
baipasa,	বাইপাস,	বাইপাস,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
bhashik,	ভাষিক,	ভাষিক,	
seater,	সিটের,	সিটের,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
jubokera,	যুবকেরা,	যুবকেরা,	
bishad,	বিষদ,	বিষদ,	
teenti,	তিনটি,	তিনটি,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
debdebier,	দেবদেবির,	দেবদেবীর,	
qyapasula,	ক্যাপসুল,	ক্যাপসুল,	
aboshorer,	অবশরের,	অবসরের,	
pubancholer,	পুবন্চলের,	পূর্বাঞ্চলের,	
priti,	প্রীতি,	প্রিটি,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
dibi,	দিবী,	দিবি,	
beetlaser,	বিটলসের,	বিটলসের,	
sharifpur,	শারিপপুর,	শরিফপুর,	
anektai,	অনেকটিই,	অনেকটাই,	
uqeliptas,	উউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
cocaine,	কোকেন,	কোকেইন,	
naobihar,	নৌবিহার,	নৌবিহার,	
brindabone,	বৃষ্ণবনে,	বৃন্দাবনে,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
shiqha,	শিখা,	শিখ,	
huk,	হুক,	হুক,	
bitloser,	বিটলসের,	বিটলসের,	
garjon,	গর্জন,	গর্জন,	
koro,	কর,	করো,	
jockei,	জকেই,	জকি,	
samaveshke,	সমভেষ্কে,	সমাবেশকে,	
deeputy,	দীপুতি,	ডেপুটি,	
laishenshim,	লাইসন্সিং,	লাইসেন্সিং,	
krok,	ক্রক,	ক্রোক,	
shiqara,	শিকারা,	শিকার,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
janapath,	জনপথ,	জনপথ,	
ganohotyar,	গণহাত্যার,	গণহত্যার,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
saranor,	সারানোর,	সরানোর,	
hitokor,	হিটককর,	হিতকর,	
oitijjhey,	ঐতিজ্যে,	ঐতিহ্যে,	
sima,	সিম,	সীমা,	
keyboard,	ক্যাবার্ড,	কীবোর্ড,	
maszid,	মাসদিজ,	মসজিদ,	
deobonde,	ডিবন্ডে,	দেওবন্দে,	
chetona,	চেতনা,	চেতনা,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
dakten,	ডাকতেন,	ডাকতেন,	
madhabi,	মাধাবী,	মাধবী,	
ashongkai,	অসংক্যাগি,	আশঙ্কাই,	
tanu,	তানু,	তনু,	
protjogiita,	প্রত্যাগিতা,	প্রতিযোগীতা,	
sosharire,	সশারীরে,	সশরীরে,	
jesthaa,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
stonahenza,	স্টনাাইন্দ,	স্টোনহেঞ্জ,	
hossain,	হোসেন,	হোসেইন,	
mootar,	মোটর,	মুতার,	
ddheela,	ঢেলে,	ঢিলা,	
tookrote,	টুকরোটে,	টুকরোতে,	
sikarer,	শিকারের,	শিকারের,	
pingna,	পিংন,	পিংনা,	
tate,	তেে,	তাতে,	
ruvbla,	রাবলা,	রুবল,	
ghumachchila,	ঘুম্ছ্ছিল,	ঘুমাচ্ছিল,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
shashtra,	শষ্ত্র,	শাস্ত্র,	
torunra,	তরুণরা,	তরুণরা,	
gheshei,	ঘেসেই,	ঘেঁষেই,	
bhyatikaaner,	ভ্যাতিকণের,	ভ্যাটিকানের,	
korkotkrantee,	কর্ককর্তন্ত্রী,	কর্কটক্রান্তি,	
foridi,	ফরীদি,	ফরিদী,	
konaan,	কোনান,	কোনান,	
parisankhyanbid,	পরিসংখানিক্য,	পরিসংখ্যানবিদ,	
sossar,	শসার,	সকার,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
majuter,	মজুতের,	মজুতের,	
madhoori,	মাধুরী,	মাধুরী,	
akpaase,	একপাশে,	একপাশে,	
uddhriti,	উদৃৃতি,	উদ্ধৃতি,	
bhejaano,	ভেজানো,	ভেজানো,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
samajeek,	সামাজিক,	সামাজিক,	
babylon,	ব্যাবনল,	ব্যাবিলন,	
bharote,	ভারতে,	ভারতে,	
godabori,	গদাবরী,	গোদাবরী,	
unsareer,	আনসারীর,	আনসারীর,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
aksathe,	অক্ষাথে,	একসাথে,	
salapheta,	সালফাট,	সালফেট,	
bandhano,	বন্ধনা,	বাঁধানো,	
chomke,	চমকে,	চমকে,	
jansa,	জন্স,	জন্স,	
moushum,	মৌসুম,	মৌসুম,	
roopdaan,	রূপদান,	রুপদান,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
banshite,	বাঁশিতে,	বাঁশিতে,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
asthisandhi,	অস্থিষান্ধী,	অস্থিসন্ধি,	
besirbhaagi,	বেশিরভাগই,	বেশিরভাগই,	
bishrinkhala,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
upobasi,	উপবাসী,	উপবাসী,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
bhenis,	ভেনিস,	ভেনিস,	
bigepi,	বিজেপি,	বিজেপি,	
shalapheta,	সালফাট,	সালফেট,	
bildara,	বিল্ডার,	বিল্ডার,	
pishach,	পিশা,	পিশাচ,	
hiranee,	হিরণী,	হিরানি,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
abodamoner,	অবদামনের,	অবদমনের,	
bizepi,	বিজেপি,	বিজেপি,	
tistar,	টিস্টার,	তিস্তার,	
parjataker,	পর্যাতকের,	পর্যটকের,	
cherechhe,	চেরেছে,	ছেড়েছে,	
towbaar,	তববার,	তওবার,	
rachanakal,	রচনাকাল,	রচনাকাল,	
dharabahiktite,	ধারাবািক্তিতে,	ধারাবাহিকটিতে,	
parishromi,	পরিস্রোমী,	পরিশ্রমী,	
logicer,	লোগিকের,	লজিকের,	
sonmukh,	সন্মুখ,	সন্মুখ,	
sachetanatamulok,	সচেচাতামূলক,	সচেতনতামূলক,	
shikhbe,	শিক্ষেবে,	শিখবে,	
eideen,	আইদেন,	এইদিন,	
prodiper,	প্রদীপের,	প্রদীপের,	
pravu,	প্রভূ,	প্রভু,	
tukror,	টুকরোর,	টুকরোর,	
dargah,	দরগাহ,	দরগাহ,	
karmosampadon,	কর্মসামপন,	কর্মসম্পাদন,	
injeel,	এঞ্জেল,	ইঞ্জিল,	
sphincter,	স্ফিযাক্টর,	স্ফিংটার,	
porizoner,	পরিজনের,	পরিজনের,	
toroonke,	তরুণকে,	তরুণকে,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
licenshe,	লিকেন্সে,	লাইসেন্স,	
suraarop,	সুরারপ,	সুরারোপ,	
upobashii,	উপবাসী,	উপবাসী,	
blaker,	ব্লকের,	ব্ল্যাকের,	
bhenus,	ভেনাস,	ভেনাস,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
mandope,	মণ্ডপে,	মন্ডপে,	
rights,	রিটস,	রাইটস,	
beshirbhaageyi,	বেশররভাগেই,	বেশিরভাগেই,	
sollalaho,	সোলালালাহ,	সল্লাল্লাহু,	
aajeej,	আজিজ,	আজিজ,	
bolechile,	বলেছিলে,	বলেছিলে,	
jibjantu,	জীবন্যুত,	জীবজন্তু,	
rabeta,	রবেট,	রাবেতা,	
falakti,	ফলকটি,	ফলকটি,	
gitikobita,	গীতিকীবিতা,	গীতিকবিতা,	
gotibegey,	গতিবেগে,	গতিবেগে,	
sahabike,	সাহাবিকে,	সাহাবীকে,	
vugoley,	ভুগলে,	ভূগোলে,	
patka,	পাঁকা,	পটকা,	
bhagno,	ভগ্ন,	ভগ্ন,	
anchalo,	আঞ্চল,	অঞ্চলও,	
shrabosti,	শ্রবস্তি,	শ্রাবস্তী,	
sadhwi,	সাধী,	সাধ্বী,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
sithilotar,	শিথীলতার,	শিথিলতার,	
bojhar,	বোঝার,	বোঝার,	
krantikale,	ক্রান্টিকায়েল,	ক্রান্তিকালে,	
augusteen,	অগস্তেন,	অগাস্টিন,	
sanatoni,	সানাটনি,	সনাতনী,	
duburir,	দুবুরীর,	ডুবুরির,	
poscime,	পশ্চিমে,	পশ্চিমে,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
gitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
lat,	লাট,	লাট,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
masjidsaha,	মাসদিদসহ,	মসজিদসহ,	
qredita,	ক্রিডিট,	ক্রেডিট,	
mache,	মেছে,	মাছে,	
shreechoitonyodeb,	শ্রীচৈতন্দ্বে,	শ্রীচৈতন্যদেব,	
bidrohiderke,	বিদ্রোদিরেক,	বিদ্রোহীদেরকে,	
servere,	সার্ভারে,	সার্ভারে,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
afzal,	আফজাল,	আফজল,	
oshovyo,	অসভ্য,	অসভ্য,	
boarana,	বোরান,	বোরন,	
akjoge,	একযোগে,	একযোগে,	
debagg,	ডেবাগ্,	ডিবাগ,	
farex,	ফরেক্স,	ফরেক্স,	
toroon,	তরুণ,	তরুন,	
bordhitangso,	বর্ধিতাংশ,	বর্ধিতাংশ,	
janosanjog,	জনসঙ্গগ,	জনসংযোগ,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
falashruti,	ফলস্রুতি,	ফলশ্রুতি,	
stoone,	স্তুনে,	স্টোন,	
keo,	কিই,	কেও,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
charjara,	চার্জার,	চার্জার,	
hosne,	হোসনে,	হোসনে,	
stonahenja,	স্তনাহিন্য,	স্টোনহেঞ্জ,	
karlei,	করলেই,	করলেই,	
hoteltee,	হটেলটি,	হোটেলটি,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
bhageroi,	ভাগেরও,	ভাগেরই,	
abhidhaneeck,	অভিনাধিক,	অভিধানিক,	
sangkalaner,	সংকলনের,	সংকলনের,	
hyper,	হাইপের,	হাইপার,	
templet,	টেম্পলেট,	টেম্পলেট,	
nagariker,	নাগরীকের,	নাগরিকের,	
debete,	দেবেতে,	ডিবেট,	
motar,	মোটর,	মুতার,	
lajik,	লজিক,	লজিক,	
imarjinsi,	এমর্জানিসি,	এমার্জেন্সি,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
ganoparibahan,	গণপরিবাহন,	গণপরিবহন,	
suraropeeto,	সুরারপিত,	সুরারোপিত,	
damdor,	দমদর,	দামদর,	
monhputa,	মনুপতা,	মনঃপুত,	
monmoth,	মনোমথ,	মন্মথ,	
garjan,	গর্জন,	গর্জন,	
patiganit,	পতিগগািত,	পাটিগণিত,	
baaik,	বাইক,	বাইক,	
paikar,	পাইকার,	পাইকার,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
dharabahikbhabey,	ধারাবিক্ষকভাবে,	ধারাবাহিকভাবে,	
sealvi,	সিলভি,	সিলভি,	
folo,	ফল,	পোলো,	
obheegomon,	অভিযমন,	অভিগমন,	
salmaner,	স্লামনের,	সালমানের,	
siite,	শিটে,	শীতে,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
chalo,	চালো,	চলো,	
somoshti,	সমস্তি,	সমষ্টি,	
mitre,	মিত্রে,	মিত্র,	
sita,	সিটা,	সিট,	
danut,	দানুত,	ডোনাট,	
harz,	হার্জ,	হার্জ,	
gondhe,	গণ্ধে,	গন্ধে,	
nirgomon,	নির্মমোণ,	নির্গমন,	
bizito,	বিজিত,	বিজিত,	
baron,	বারণ,	ব্যারন,	
siiteyi,	সিইটেই,	শীতেই,	
nursery,	নার্সারী,	নার্সারি,	
skyirt,	স্কিয়ার্ট,	স্কার্ট,	
kanagulo,	কানাগুলো,	কণাগুলো,	
bii,	বি,	বি,	
nodigulir,	নদীগুলির,	নদীগুলির,	
nanir,	নানীর,	নানীর,	
maner,	মানের,	মানে,	
jokkho,	জক্ষ,	যক্ষ,	
nishchitrupe,	নিষ্চিরূপ্তে,	নিশ্চিতরূপে,	
cholochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
se,	সে,	সে,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
maila,	মেল,	মাইল,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
eura,	ইউরা,	ইউরো,	
mile,	মিলে,	মাইল,	
juboksoho,	যুবসক্ষ,	যুবকসহ,	
abadamaner,	অবদামানের,	অবদমনের,	
nathivookta,	নথিভূক্ত,	নথিভুক্ত,	
bisnoo,	বিশ্নু,	বিষ্ণু,	
onker,	অঙ্কের,	ওঙ্কার,	
abodamaner,	অবদামানের,	অবদমনের,	
jater,	যাটের,	জাতের,	
ponthar,	পন্থার,	পন্থার,	
sbajan,	স্বজন,	স্বজন,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
hatochakito,	হত্যচাকিত,	হতচকিত,	
ahang,	আহং,	অহং,	
laz,	লজ,	লাজ,	
gazipur,	গজিপুর,	গাজীপুর,	
heja,	হেজ,	হেজ,	
godavari,	গদাবারী,	গোদাবরী,	
tochhnoch,	তচ্চন,	তছনছ,	
asocheton,	অসচেতন,	অসচেতন,	
giitikobita,	গীতিকািত,	গীতিকবিতা,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
abheedhaaner,	অভিধানের,	অভিধানের,	
shaatjoner,	সত্যনের,	সাতজনের,	
temoni,	তেমনি,	তেমনই,	
shaater,	সাটের,	শ্যুটার,	
saarbhaarti,	সার্ভারটি,	সার্ভারটি,	
deezni,	দিজনি,	ডিজনী,	
consarvation,	কনস্রবেশন,	কনসারভেশন,	
hijrite,	হিজরিতে,	হিজরীতে,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
mohiboor,	মহিবুর,	মহিবুর,	
bamonder,	বামন্ডের,	বামনদের,	
dazjo,	দজজ,	দাহ্য,	
protul,	প্রতুল,	প্রতুল,	
soasage,	সসােজ,	সসেজ,	
otitkaley,	অতিতকালে,	অতীতকালে,	
shaalehaa,	সালেহ,	সালেহা,	
daily,	ডেলি,	ডেইলি,	
duncan,	দানশান,	ডানকান,	
methaner,	মেথানের,	মিথেনের,	
ruteener,	রুটিনের,	রুটিনের,	
janmato,	জন্মত,	জন্মাত,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
badna,	বাঁনা,	বদনা,	
ruteen,	রুটিন,	রুটিন,	
mosjidkey,	মজ্জিকদে,	মসজিদকে,	
freedom,	ফ্রিডম,	ফ্রীডম,	
kaatbey,	কাটবে,	কাটবে,	
inshtol,	ইনস্টল,	ইন্সটল,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
janatey,	জানাতে,	জানাতে,	
yankii,	জনকি,	ইয়াংকি,	
woter,	ওয়েটার,	ভোটার,	
plata,	প্লট,	প্লেটো,	
abheedhaneec,	অভিনাধিক,	অভিধানিক,	
aireshe,	আইরেশে,	আইরেসে,	
sibiai,	সিবেই,	সিবিআই,	
fartha,	ফোর্থ,	ফার্থ,	
holdim,	হললিম,	হোল্ডিং,	
anchalsaho,	অঞ্চলঃসহ,	অঞ্চলসহ,	
fixin,	ফিকিসিং,	ফিক্সিং,	
alpo,	আল্প,	অল্প,	
obhiyojan,	অভিযোজন,	অভিযোজন,	
kortona,	কর্তনা,	করতনা,	
otyacharito,	অত্যচািত,	অত্যাচারিত,	
nadnadeer,	নান্দাদীর,	নদনদীর,	
udvabani,	উদ্ভাবানী,	উদ্ভাবনী,	
loukeekota,	লুকিকতা,	লৌকিকতা,	
ghatlo,	ঘাঁল,	ঘটল,	
elakashaho,	এলাকাসহ,	এলাকাসহ,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
madaspushto,	মাদস্ফুপ্ত,	মদদপুষ্ট,	
mehnotti,	মেহনটি,	মেহনতি,	
footballerra,	ফুটবললার,	ফুটবলাররা,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
parishrom,	পরিস্রম,	পরিশ্রম,	
marketing,	মার্কেটিং,	মার্কেটিং,	
nirapottamulok,	নির্যাতমূলক,	নিরাপত্তামূলক,	
pachchen,	পাচ্ছেন,	পাচ্ছেন,	
sikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
barbadoj,	বর্বাডোজ,	বার্বাডোজ,	
vagna,	ভগ্ন,	ভগ্ন,	
agiboner,	আগীবনের,	আজীবনের,	
pade,	পেড,	পাড়ে,	
karmakarer,	কর্মকারের,	কর্মকারের,	
kanar,	কানার,	কণার,	
gonesher,	গণেসের,	গণেশের,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
loukik,	লুকিক,	লৌকিক,	
marketey,	মার্কেতে,	মার্কেটে,	
chotto,	চত্ত্ব,	ছোট্ট,	
melobborne,	মেলববর্ণে,	মেলবোর্নে,	
juktorashtrasaha,	যুক্তরস্রাস্থা,	যুক্তরাষ্ট্রসহ,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
bojhe,	বোঝে,	বোঝে,	
jaatte,	জাততে,	জাতটি,	
shilpojaat,	শিল্পাজতা,	শিল্পজাত,	
byaboharkariderkey,	ব্যবহারীকারীদে,	ব্যবহারকারীদেরকে,	
baasake,	বাসাকে,	বাসাকে,	
sharoker,	শরকের,	স্মারকের,	
jaj,	যাজ,	জাজ,	
sqalastiqa,	স্কল্সটিক,	স্কলাস্টিক,	
chalachchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
madol,	মাদল,	মাদল,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
itostatah,	ইতত্তত,	ইতস্ততঃ,	
shtona,	স্তন,	স্টোন,	
deqe,	ডেকে,	ডেকে,	
prettii,	প্রেটটি,	প্রিটি,	
prodiiper,	প্রদীপের,	প্রদীপের,	
seemaa,	সেম,	সীমা,	
estaniya,	এস্টোনিয়া,	এস্তোনিয়া,	
rupa,	রূপা,	রুপা,	
atma,	আত্মা,	আত্ম,	
keuyi,	কিউই,	কেউই,	
bhuushito,	ভূষিত,	ভূষিত,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
ogrodut,	অগ্রদুত,	অগ্রদূত,	
manahputa,	মনন্পুত,	মনঃপুত,	
pudinn,	পুদিন,	পুডিং,	
kanda,	কান্ড,	কাণ্ড,	
female,	ফেমালে,	ফিমেল,	
chenja,	চেনজা,	চেঞ্জ,	
soccar,	সোক্ার,	সকার,	
cooda,	কোড,	কোডা,	
shaartho,	স্বার্থ,	স্বার্থ,	
monmotho,	মনোমঠ,	মন্মথ,	
nischitarupey,	নিশ্চিতারোপে,	নিশ্চিতরূপে,	
selinar,	সেলিনার,	সেলিনার,	
eastar,	ইস্টার,	ইস্টার,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
dosheeder,	দশিদের,	দোষীদের,	
hochchilo,	হচ্ছিল,	হচ্ছিলো,	
sabaner,	সবনের,	সাবানের,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
chopol,	চোপল,	চপল,	
taurist,	তারিস্ট,	টুরিস্ট,	
shangstha,	সংস্থ,	সংস্থা,	
sanghorshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
taronee,	তরণী,	তরণী,	
nadigulo,	নাদিগুলো,	নদীগুলো,	
debholopar,	ডেভললাপার,	ডেভলপার,	
gazee,	গজজী,	গেজ,	
karmokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
kemonay,	কেমনে,	কেমনে,	
chalaabi,	চালাবি,	চালাবে,	
conservetion,	কনসারেজেশন,	কনসারভেশন,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
kyathlikder,	ক্যাথলিকেডের,	ক্যাথলিকদের,	
shilpajata,	শিল্পোনাতা,	শিল্পজাত,	
khizir,	খিজির,	খিজির,	
eiling,	এলিং,	ইলিং,	
sotteo,	সত্বেও,	সত্ত্বেও,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
podarthobidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
maroofer,	মরুফের,	মারুফের,	
novel,	নোভেল,	নভেল,	
hotochokeeto,	হতোচকিত,	হতচকিত,	
shniper,	স্নিপের,	স্নাইপার,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
gosthigulo,	গস্থিগুলো,	গোষ্ঠীগুলো,	
bulano,	বুলানো,	বুলান,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
bhabatarini,	ভববতরীণী,	ভবতারিণী,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
bhaibonera,	ভৈবনেরা,	ভাইবোনেরা,	
korechi,	করেছি,	করেছি,	
chhutir,	ছুটির,	ছুটির,	
jeebonnogor,	জীবনগর,	জীবননগর,	
jeerusaleema,	জিরোসামিলা,	জেরুসালেম,	
otorkeitey,	অটরকিতে,	অতর্কিতে,	
mondopey,	মণ্ডপে,	মন্ডপে,	
naitikbhabey,	নাতিত্বকে,	নৈতিকভাবে,	
janes,	জনস,	জোন্স,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
turkameena,	তুরকামেন,	তুর্কমেন,	
smarak,	স্মারক,	স্মারক,	
ajeej,	আজিজ,	আজিজ,	
jesha,	জেস,	জেস,	
vaabnake,	ভানবাকে,	ভাবনাকে,	
niropeksh,	নিরপক্ষ,	নিরপেক্ষ,	
bondikey,	বন্দিকে,	বন্দীকে,	
dakteekit,	ডাক্তিকিট,	ডাকটিকিট,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
reejideens,	রেজিদ্নাস,	রেসিডেন্স,	
rooby,	রবি,	রুবি,	
korlei,	করলেই,	করলেই,	
shosha,	শসা,	শশা,	
nathivuktir,	নথিভূক্তির,	নথিভুক্তির,	
benish,	বেনিস,	ভেনিস,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
bhageri,	ভাগেরী,	ভাগেরই,	
