leta,	লত,	ল্যাটা,	
beekargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
bocchoner,	বচচছেের,	বচ্চনের,	
liseensee,	লিসেন্সে,	লাইসেন্স,	
kulim,	কুলিম,	কুলিং,	
inamil,	ইনমেল,	এনামেল,	
suparahiro,	সুপারহহির,	সুপারহিরো,	
jamkalo,	জামকল,	জমকালো,	
braqe,	ব্র্যাক,	ব্রেক,	
thailandsaho,	থাইলন্্স,	থাইল্যান্ডসহ,	
shashoto,	শাবশত,	শাশ্বত,	
gaadha,	গাধা,	গাধা,	
blacq,	ব্ল্ক,	ব্ল্যাক,	
ghoorsen,	ঘুরেষণ,	ঘুরেছেন,	
kaale,	কালে,	কালে,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
firoz,	ফিরজ,	ফিরোজ,	
chhotogalper,	ছোটোগল্পের,	ছোটগল্পের,	
digrio,	ডিগ্রী,	ডিগ্রিও,	
gayichhey,	গাছছে,	গাইছে,	
stoone,	স্তুন,	স্টোন,	
prodiper,	প্রদিপের,	প্রদীপের,	
bachchan,	বাচচান,	বচ্চন,	
oviyojan,	অভিযোজন,	অভিযোজন,	
tobey,	তবে,	টবে,	
jekhan,	যেখান,	যেখান,	
varotey,	ভারতে,	ভারতে,	
tookroke,	তুকরকে,	টুকরোকে,	
iyutha,	ইউথ,	ইয়ুথ,	
onurbor,	অনুর্বর,	অনুর্বর,	
berubar,	বেরুবার,	বেরুবার,	
peengna,	পিঙ্া,	পিংনা,	
janamukhi,	জনমুখুষী,	জনমুখী,	
boikalya,	বৈকল্য,	বৈকল্য,	
mail,	মেল,	মাইল,	
shithilotar,	শিতিলতার,	শিথিলতার,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
asamanno,	অসাান্ন,	অসামান্য,	
firoze,	ফিরোজে,	ফিরোজ,	
atwabishvashi,	অত্ববিশ্বাষী,	আত্মবিশ্বাসী,	
setike,	সেটিকে,	সেটিকে,	
alexandar,	অলেক্সান্ডার,	আলেকজান্ডার,	
jwor,	জোর,	জ্বর,	
khele,	খেলে,	খেলে,	
groth,	গ্রথ,	গ্রোথ,	
harbourey,	হার্বরে,	হারবারে,	
azimpur,	অজিমপুর,	আজিমপুর,	
meghacchonno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
tali,	টালি,	তালি,	
habu,	হাবু,	হবু,	
harees,	হরিস,	হ্যারিস,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
hirani,	হিরণী,	হিরানি,	
gotihin,	গতিন,	গতিহীন,	
licencing,	লিসিংং,	লাইসেন্সিং,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
mozlishpur,	মজলিসপুর,	মজলিশপুর,	
senabahineeow,	সেনাসহিহিন,	সেনাবাহিনীও,	
buildar,	বিল্ডার,	বিল্ডার,	
dokaangulotey,	দকাঙ্গুলোতে,	দোকানগুলোতে,	
bhogno,	ভগ্ন,	ভগ্ন,	
sachetanatamulok,	স্বাচেতামূলক,	সচেতনতামূলক,	
chhanee,	ছানি,	ছানি,	
ispreedshit,	ইস্প্রেসেসিট,	স্প্রেডশীট,	
spreeadsheet,	স্প্রেশািট,	স্প্রেডশীট,	
nirabata,	নিরবতা,	নিরবতা,	
neelabh,	নিলব,	নীলাভ,	
chesha,	চেষা,	চেস,	
information,	ইনফরমেশন,	ইনফরমেশন,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
niuroolaji,	নিউরোজালী,	নিউরোলজি,	
kormokarer,	কর্মকারের,	কর্মকারের,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
prokolpotike,	প্রকোপ্তকীকে,	প্রকল্পটিকে,	
steitt,	স্টেট,	স্টেইট,	
nathibhookto,	নথিভূক্ত,	নথিভুক্ত,	
aaziz,	আজিজ,	আজিজ,	
phirti,	ফিরটি,	ফিরতি,	
nischoy,	নিশ্চ,	নিশ্চয়,	
madal,	মাদল,	মাদল,	
nadnodir,	নাদদনীর,	নদনদীর,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
muphti,	মুফতি,	মুফতি,	
goteerodh,	গতিরোধ,	গতিরোধ,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
torabgonj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
kata,	কাতা,	কোটা,	
shodhon,	সোধন,	শোধন,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
drisser,	দৃশ্যের,	দৃশ্যের,	
bohoodin,	বহুদীন,	বহুদিন,	
abhidhaanick,	অভিধানিক্ষ,	অভিধানিক,	
sthapanar,	স্থাপনার,	স্থাপনার,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
vaisoho,	ভৈষহ,	ভাইসহ,	
ayadabhansada,	অ্যাডভোডান্স,	অ্যাডভান্সড,	
saamaanyai,	সামান্যাই,	সামান্যই,	
cholochchitrotike,	চলচ্চিত্রিককে,	চলচ্চিত্রটিকে,	
parbottyo,	পার্বত্য,	পার্বত্য,	
konagoolo,	কোনগুলো,	কণাগুলো,	
fokshkon,	ফক্ষন,	ফক্সকন,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
duburir,	দুবুরীর,	ডুবুরির,	
myat,	ম্যাট,	ম্যাট,	
parijaner,	পরিজনের,	পরিজনের,	
siddhantogulo,	সিদ্ধানাতগুলো,	সিদ্ধান্তগুলো,	
vabuk,	ভববুক,	ভাবুক,	
logic,	লোগিক,	লজিক,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
segulo,	সেগুলো,	সেগুলো,	
kaushalgata,	কৌলগালত,	কৌশলগত,	
anchaltitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
shaamiijiir,	স্যামীজীর,	স্বামীজীর,	
naraphooka,	নারাফুকা,	নরফোক,	
jaadrel,	যাদ্রেল,	জাঁদরেল,	
gaddafii,	গাদ্যাফি,	গাদ্দাফী,	
anodhikaar,	অনধিকার,	অনধিকার,	
shalook,	শালুক,	শালুক,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
desiseyer,	ডেসিসের,	ডিজিজের,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
mukhomaundoler,	মুখমনন্দলের,	মুখমণ্ডলের,	
chamke,	চামকে,	চমকে,	
barbaadoj,	বার্বাদোজ,	বার্বাডোজ,	
hotodoridro,	হতদদির্র,	হতদরিদ্র,	
bikretader,	বিক্রিটাদের,	বিক্রেতাদের,	
ponchasjon,	পঞ্চাজজন্ন,	পঞ্চাশজন,	
bhenasha,	ভেনস,	ভেনাস,	
palkee,	পালকি,	পাল্কি,	
udbodhane,	উদ্বধধনে,	উদ্বোধনে,	
crucer,	ক্রুকের,	ক্রুশের,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
oncholsomuho,	অঞ্চসমূহ,	অঞ্চলসমূহ,	
kommatei,	কমাতেই,	কমাতেই,	
machera,	মাচেরা,	মাছেরা,	
parishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
dee,	দি,	ডে,	
mitrader,	মিত্রদের,	মিত্রদের,	
format,	ফরমাট,	ফরম্যাট,	
tookoo,	টোকু,	টুকু,	
narsaari,	নার্সারী,	নার্সারি,	
sucharita,	সুচারিত,	সুচরিতা,	
choity,	চৈতি,	চৈতি,	
enginiiring,	ইঙ্গিঞিং,	ইঞ্জিনিয়ারিং,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
sahozlabhbhatar,	সহজ্বলতার,	সহজলভ্যতার,	
gondho,	গণ্ধ,	গন্ধে,	
inapharameshana,	ইনফারমেশন,	ইনফরমেশন,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
samanwitabhabey,	সমান্নিতভাবে,	সমন্বিতভাবে,	
swarther,	স্বর্থের,	স্বার্থের,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
ongkita,	অংকিত,	অঙ্কিতা,	
atohar,	অতোহার,	আতহার,	
uipoka,	উপপা,	উইপোকা,	
tarbiner,	টার্বিনের,	টারবাইনের,	
aakabar,	আকাবার,	আকাবার,	
marpit,	মর্পিট,	মারপিট,	
ajijer,	অজিজের,	আজিজের,	
baarbaadoj,	বার্বাডোজ,	বার্বাডোজ,	
taranee,	তরণী,	তরণী,	
neeshanasa,	নিশাসা,	নেশনস,	
sparsher,	স্পার্সের,	স্পর্শের,	
naazii,	নাজী,	নাত্সি,	
ogovir,	অগভীর,	অগভীর,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
qyapasula,	ক্যাপসালো,	ক্যাপসুল,	
dhoka,	ঢোকা,	ধোঁকা,	
antarctikar,	অন্টার্কিটর,	অ্যান্টার্কটিকার,	
developer,	ডেভেপার,	ডেভলপার,	
monzhostho,	মঞ্জস্থ,	মঞ্চস্থ,	
dibet,	ডিবেট,	ডিবেট,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
haldim,	হাল্ড,	হোল্ডিং,	
dholeshwari,	ধলেশাবরী,	ধলেশ্বরী,	
ajiban,	আজিবন,	আজীবন,	
bandike,	বন্দিকে,	বন্দীকে,	
highcommissioney,	হাইকম্যান্সে,	হাইকমিশনে,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
zyaka,	য্যাকা,	জ্যাক,	
alsaara,	আলসার,	আলসার,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
vandar,	ভান্ডার,	ভাণ্ডার,	
gandhiir,	গণ্ধীর,	গান্ধীর,	
valobasar,	ভালবাসার,	ভালোবাসার,	
soochonakal,	সূচনাকল,	সূচনাকাল,	
ganana,	গণনা,	গণনা,	
kushomva,	কুসম্ভা,	কুশুম্বা,	
transphorm,	ট্রান্সফোর্স,	ট্রান্সফর্ম,	
harir,	হরির,	হরির,	
donut,	দুনুত,	ডোনাট,	
kormoi,	কর্মই,	কর্মই,	
herfer,	হারফার,	হেরফের,	
agom,	অগম,	আগম,	
sangrahak,	সংগ্রহ,	সংগ্রাহক,	
mosjidti,	মসিজদিতি,	মসজিদটি,	
baasaake,	বাসাকে,	বাসাকে,	
projononkal,	প্রজনকলকল,	প্রজননকাল,	
roza,	রোজা,	রোযা,	
harisoner,	হরিশনের,	হ্যারিসনের,	
aholyar,	আহল্যার,	অহল্যার,	
nirgomon,	নির্গমন,	নির্গমন,	
pray,	প্রে,	প্রায়,	
aashor,	আশার,	আসর,	
falakti,	ফলকটি,	ফলকটি,	
udvaboney,	উদ্ভাবে,	উদ্ভাবনে,	
manohputo,	মননোপুত,	মনঃপুত,	
marketin,	মার্কেটিন,	মার্কেটিং,	
gagee,	গগী,	গেজ,	
faad,	ফাঁ,	ফুড,	
attorkite,	আট্টরাকিতে,	অতর্কিতে,	
agoora,	অগুরা,	আগোরা,	
kingdam,	কিনগদম,	কিংডম,	
dhaleshorii,	ধ্যালেশিরি,	ধলেশ্বরী,	
jeerusaleema,	জিরোশিলা,	জেরুসালেম,	
tonu,	তুনু,	তনু,	
peeth,	পিথ,	পীঠ,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
meeseenjar,	মেশিঞ্জার,	মেসেঞ্জার,	
aarcia,	আর্চিয়া,	আরসিএ,	
nathivookteer,	নথিভূক্তির,	নথিভুক্তির,	
onkar,	অঙ্কার,	ওঙ্কার,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
somonwitobhabey,	সমম্নিতভাবে,	সমন্বিতভাবে,	
phund,	ফান্ড,	ফান্ড,	
fooloo,	ফুলু,	পোলো,	
emerjency,	এমের্জিন্সি,	এমার্জেন্সি,	
sotorkotar,	সত্রকাতার,	সতর্কতার,	
porishkoron,	পরিষ্করণ,	পরিষ্করণ,	
chirokoomari,	চিরকমোমারি,	চিরকুমারী,	
primoo,	প্রিম,	প্রিমো,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
kale,	কলে,	কালে,	
shcholastik,	স্কোসাস্টিক,	স্কলাস্টিক,	
samajeekotar,	সমাজিকতার,	সামাজিকতার,	
munshi,	মুনশী,	মুন্সী,	
karmakarke,	কর্মকর্কে,	কর্মকারকে,	
averej,	অ্যাভের,	এভারেজ,	
abasan,	আবাসন,	অবসান,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
porikhar,	পরিক্ষার,	পরিখার,	
carloos,	কার্লস,	কার্লোস,	
joubanbotii,	যৌবনব্তি,	যৌবনবতী,	
kamti,	কমমি,	কমতি,	
olpokichudin,	অল্পকিচুনিদ,	অল্পকিছুদিন,	
krema,	ক্রেম,	ক্রাইম,	
creedit,	ক্রেডিট,	ক্রেডিট,	
puroheetke,	পুরহিটকে,	পুরোহিতকে,	
taunsheep,	টাউন্সিপ,	টাউনশিপ,	
afzol,	আফজোল,	আফজল,	
taanteera,	টানটিরা,	তাঁতিরা,	
anurbor,	অনুর্বর,	অনুর্বর,	
ansareer,	আনসারির,	আনসারীর,	
apachesta,	অপাচেষ্ট,	অপচেষ্টা,	
garden,	গর্দিন,	গার্ডেন,	
bandhubhabaponno,	বন্ধুভবন্ন,	বন্ধুভাবাপন্ন,	
bidrohiderkey,	বিদ্রহিদেরকে,	বিদ্রোহীদেরকে,	
kormosompadon,	কর্মসম্পনন,	কর্মসম্পাদন,	
ishton,	ইস্তন,	স্টোন,	
probhritike,	প্রভীতিকে,	প্রভৃতিকে,	
balaruma,	বললরাম,	বলরুম,	
temanti,	টেমন্টি,	তেমনটি,	
jomaanor,	জমানোর,	জমানোর,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
obhishangsan,	অভিশংসন,	অভিশংসন,	
choson,	চোষণ,	চোষণ,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
shikhar,	শিখার,	শিকার,	
alauler,	আলালের,	আলাওলের,	
kortam,	করতম,	করতাম,	
golpokar,	গল্পকার,	গল্পকার,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
joones,	জুনেশ,	জোন্স,	
mirakel,	মিরালেল,	মিরাকেল,	
homes,	হমেেস,	হোমস,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
jatak,	যতক,	জাতক,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
shkora,	স্কোর,	স্কোর,	
dharavahikbhabe,	ধারাভাবিকভাবে,	ধারাবাহিকভাবে,	
dekhbaar,	দেখবার,	দেখবার,	
kurdira,	কুর্দীর,	কুর্দিরা,	
biqe,	বিকে,	বাইক,	
mojlish,	মজলিস,	মজলিশ,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
ssumita,	সুমিত,	সুমিতা,	
samanwitobhabe,	সমান্নিতভাবে,	সমন্বিতভাবে,	
nazi,	নাজী,	নাত্সি,	
agradut,	অগ্রুদ,	অগ্রদূত,	
sahochorjo,	সহচর্য্য,	সাহচর্য,	
saseja,	সাসেজা,	সসেজ,	
mosjidtikey,	মসিজিত্দিকে,	মসজিদটিকে,	
sharifer,	শরীফের,	শরিফের,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
naren,	নারেন,	নরেন,	
peto,	পেটো,	পেত,	
makang,	মককাং,	মেকং,	
shektara,	সেক্টার,	সেক্টর,	
kareer,	কারির,	কারীর,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
paikar,	পাইকার,	পাইকার,	
uporzon,	উপরজন,	উপার্জন,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
hool,	হুল,	হুল,	
sadhwi,	সাধবী,	সাধ্বী,	
brindo,	বৃণ্দ্দ,	বৃন্দ,	
jolatanko,	জলাান্তক,	জলাতঙ্ক,	
michiler,	মিচিলের,	মিছিলের,	
bishad,	বিষদ,	বিষদ,	
maudeler,	ম্যাডেলের,	মডেলের,	
noter,	নটের,	নোটের,	
nadnadir,	নদ্দারীর,	নদনদীর,	
naobihar,	নবিহর,	নৌবিহার,	
naabyota,	নাব্যতা,	নাব্যতা,	
akik,	আকিক,	আকিক,	
colahol,	কোালহ,	কোলাহল,	
bbosben,	বসবেন,	বসবেন,	
duburyra,	দুবুরীরা,	ডুবুরিরা,	
mayili,	মেলি,	মাইলি,	
chalachchitrer,	চলচিচিত্রের,	চলচ্চিত্রের,	
aameenaar,	আমিনার,	আমিনার,	
proshtotto,	প্রস্তত্ত্ব,	প্রস্ত্তত,	
gara,	গারা,	গোর,	
conflikt,	কনফিলিক্ট,	কনফ্লিক্ট,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
aksathei,	এক্ষথেই,	একসাথেই,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
unitshoho,	ইননতিসহ,	ইউনিটসহ,	
romjaner,	রমজানের,	রমযানের,	
akai,	একই,	একাই,	
eparjanta,	এপার্জন্ত,	এপর্যন্ত,	
korleyi,	করলে,	করলেই,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
phiqsim,	ফিকসিম,	ফিক্সিং,	
jens,	জেন্স,	জিন্স,	
plusey,	প্লুসে,	প্লাসে,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
jak,	যাক,	জাঁক,	
puddin,	পুদ্দীন,	পুডিং,	
panctaar,	পাঁচটার,	পাঁচটার,	
jakrit,	যকৃত,	যকৃৎ,	
karuna,	করুনা,	করুণা,	
kirk,	কীর্ক,	কার্ক,	
embed,	এম্বেড,	এম্বেড,	
drissoteer,	দৃশ্যটির,	দৃশ্যটির,	
telakucha,	তেলাকোচ,	তেলাকুচা,	
bhorpur,	ভরপপুর,	ভরপুর,	
sookumari,	শুকমারি,	সুকুমারী,	
meeting,	মেটিং,	মিটিং,	
loukik,	লৌকিক,	লৌকিক,	
laagche,	লাগে,	লাগছে,	
mahasabha,	মহাসভা,	মহাসভা,	
sahokaree,	সহকারী,	সহকারী,	
dong,	ডং,	ডং,	
oncholtite,	অঞ্চলিতে,	অঞ্চলটিতে,	
gardena,	গার্ডিন,	গার্ডেন,	
dhojovongo,	ধভাজঙ্গ,	ধ্বজভঙ্গ,	
dazjo,	দাজজ,	দাহ্য,	
pashaner,	পাশনের,	পাষাণের,	
ashocheton,	অসচেতন,	অসচেতন,	
baarakpur,	বারাকাপুর,	বারাকপুর,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
potthon,	পাঠন,	পঠন,	
felto,	ফেল্ট,	ফেলত,	
shourshe,	শৌর্ষে,	সোর্স,	
kabutorer,	কবুতেরের,	কবুতরের,	
mithener,	মিথেনের,	মিথেনের,	
ekhate,	এখাতে,	একহাতে,	
oncholgulir,	অঞ্চগুলির,	অঞ্চলগুলির,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
falkati,	ফলকাটি,	ফলকটি,	
aabahon,	আবাহন,	আবাহন,	
neemeetto,	নিমেত্য,	নিমিত্ত,	
kamola,	কমলা,	কামলা,	
hyundai,	হাউন্ডেই,	হুন্দাই,	
karu,	কারু,	কারো,	
otiiteo,	অতিতেও,	অতীতেও,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
bird,	বার্ড,	বার্ড,	
totenhamer,	টোটিংহায়ার,	টটেনহামের,	
thakeni,	থাকেনি,	থাকেনি,	
esiyatika,	এসিযাটিক,	এশিয়াটিক,	
shatjon,	সাটন,	সাতজন,	
ganakantha,	গণকণ্ঠা,	গণকণ্ঠ,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
magical,	ম্যাগিকাল,	ম্যাজিকাল,	
horidwar,	হরিদরার,	হরিদ্বার,	
basinay,	বাসীনে,	বেসিনে,	
korkat,	করকাট,	কর্কট,	
durotamo,	দুরতম,	দূরতম,	
shaaroker,	সারকের,	স্মারকের,	
heeli,	হেলি,	হিলি,	
probhuder,	প্রভূদের,	প্রভুদের,	
konader,	কোনদের,	কণাদের,	
bonkey,	বোকে,	বনকে,	
charrjar,	চার্যর,	চার্জার,	
jonsa,	জন্স,	জোন্স,	
ekoirokom,	একররোম,	একইরকম,	
jibnagore,	জীবনগরে,	জীবননগর,	
helloin,	হেয়েন,	হ্যালোইন,	
chaaltaa,	চাল্টা,	চালতা,	
sachetanatamulak,	স্বাচেতামূলক,	সচেতনতামূলক,	
ghotol,	ঘটটল,	ঘটল,	
batikromee,	বাতিক্রমী,	ব্যতিক্রমী,	
gaandas,	গান্ডাস,	জ্ঞানদাস,	
shiter,	সীটের,	শীতের,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
ogobhir,	অগভীর,	অগভীর,	
lutharen,	লুথরেন,	লুথেরান,	
teemothee,	তেমথথী,	টিমোথি,	
mugdhata,	মুঘ্ততা,	মুগ্ধতা,	
satarka,	সাটার্ক,	সতর্ক,	
homser,	হমসের,	হোমসের,	
saarbharti,	সার্ভর্তী,	সার্ভারটি,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
ekla,	একল,	একলা,	
maley,	মালে,	মালে,	
sarbhaarti,	সার্ভারতী,	সার্ভারটি,	
aaeerese,	আইরেশ,	আইরেসে,	
homeser,	হোমেসের,	হোমসের,	
emargency,	এমের্জিন্সি,	এমার্জেন্সি,	
phareksha,	ফরেক্স,	ফরেক্স,	
babylone,	ব্যাবলনন,	ব্যাবিলনে,	
aashtikota,	অস্টিকোট,	আস্তিকতা,	
nothivookta,	নথিভূক্ত,	নথিভুক্ত,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
licensedharii,	লিসেন্ডারী,	লাইসেন্সধারী,	
abarta,	আবর্ত,	আবর্ত,	
uzbekistaner,	উজ্বেককষ্তেনের,	উজবেকিস্তানের,	
homske,	হমস্কে,	হোমসকে,	
nabatamo,	নবততম,	নবতম,	
tamplate,	টাম্পলটে,	টেম্পলেট,	
licenser,	লিসেন্সার,	লাইসেন্সের,	
neshnos,	নেশনোস,	নেশনস,	
ropto,	রপ্ত,	রপ্ত,	
seektara,	সেক্টার,	সেক্টর,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
aqram,	একরাম,	আকরাম,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
twoei,	ত্বেই,	ত্বকেই,	
falashruti,	ফলস্রুটি,	ফলশ্রুতি,	
rajbondir,	রাজবন্দীর,	রাজবন্দীর,	
sthaponagulo,	স্থাপাগুলো,	স্থাপনাগুলো,	
puzito,	পুজিত,	পুজিত,	
akpaase,	একপাশে,	একপাশে,	
gare,	গরে,	গোর,	
kingsh,	কিংস,	কিংস,	
install,	ইনস্টল,	ইন্সটল,	
sipht,	সিফট,	শিফট,	
rahh,	রাহ,	রঃ,	
krantee,	ক্রান্তি,	ক্রান্তি,	
saazano,	সাজানো,	সাজানো,	
golakrity,	গোলাকারিটি,	গোলাকৃতি,	
kyapashula,	ক্যাপশুলা,	ক্যাপসুল,	
iura,	ইউর,	ইউরো,	
rooby,	রোবি,	রুবি,	
dharai,	ধারই,	ধারাই,	
korecho,	করেচ,	করেছ,	
jorury,	জরুরী,	জরূরী,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
chintaikari,	চিনতাইকারী,	ছিনতাইকারী,	
euroo,	ইউরো,	ইউরো,	
bhushito,	ভূষিত,	ভূষিত,	
nathivukta,	নথিভূক্ত,	নথিভুক্ত,	
suity,	স্যাটি,	সুইটি,	
shoccar,	সোকার,	সকার,	
chalochchitraeei,	চলচিত্রিতে,	চলচ্চিত্রেই,	
uposthit,	উপস্থিত,	উপস্থিত,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
everestey,	এভররেস্টে,	এভারেস্টে,	
phareksa,	ফরেক্স,	ফরেক্স,	
hotochokeeto,	হতোচিকতা,	হতচকিত,	
lagic,	লাগিক,	লজিক,	
bishnooke,	বিষ্ণকে,	বিষ্ণুকে,	
babna,	বব্না,	বাবনা,	
dojo,	দোজ,	ডোজো,	
duckticketer,	ডাকিকটিকেটের,	ডাকটিকিটের,	
nevatey,	নেবাতে,	নেভাতে,	
atorkite,	অরোটিকেট,	অতর্কিতে,	
sangkalaney,	সংকলানে,	সংকলনে,	
domone,	দমমে,	দমনে,	
vabnar,	ভবনার,	ভাবনার,	
raitasa,	রাইটাস,	রাইটস,	
sthaponatir,	স্থাপনাটির,	স্থাপনাটির,	
volapuq,	ভললাপুক,	ভোলাপুক,	
scholastic,	স্কোসাস্কিক,	স্কলাস্টিক,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
sastra,	সাস্ত্র,	শাস্ত্র,	
baharampurer,	বহরামপুরের,	বহরমপুরের,	
janosamaj,	জনসমা,	জনসমাজ,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
toruner,	তরুণের,	তরুণের,	
vushito,	ভূষিত,	ভূষিত,	
utsaha,	উৎসসহ,	উৎসাহ,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
jaatte,	যাততে,	জাতটি,	
kemane,	কেমনে,	কেমনে,	
addhatikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
chalachchitroi,	চলচিত্রিয়া,	চলচ্চিত্রই,	
cholocchitrigulor,	চলচিতিচ্রুলোর,	চলচ্চিত্রগুলোর,	
huqa,	হুক,	হুক,	
aholla,	আহলা,	অহল্যা,	
chaber,	ছবের,	চাবির,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
rajoshri,	রাজশ্রী,	রাজশ্রী,	
rajatwa,	রাজত্ব,	রাজত্ব,	
bolvodro,	বলভদ্দ,	বলভদ্র,	
miley,	মিলে,	মিলে,	
hole,	হলে,	হোল,	
ebham,	এভম,	ইভিএম,	
iyanki,	এঙ্কি,	ইয়াংকি,	
kathmandute,	কাঠমনন্ডেতে,	কাঠমান্ডুতে,	
jakser,	যক্ষের,	যক্ষের,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
bhenama,	ভেনাম,	ভেনম,	
bosante,	বসন্তে,	বসন্তে,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
adhito,	অধিত,	অধীত,	
niropekshtar,	নিরোপকক্ষতার,	নিরপেক্ষতার,	
esosiyetasa,	এসেসোটাস,	এসোসিয়েটস,	
shilpojato,	শিল্পজত,	শিল্পজাত,	
sikarer,	শিকারের,	শিকারের,	
samudrotatey,	সমুদ্রতাটে,	সমুদ্রতটে,	
phiksa,	ফিক্স,	ফিক্স,	
benish,	বেনিশ,	ভেনিস,	
obharbheeu,	অভ্রভি,	ওভারভিউ,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
korimer,	করিমের,	করিমের,	
shorifpur,	শরীপুর,	শরিফপুর,	
daada,	ডাদা,	দাদা,	
upobasee,	উপবাসী,	উপবাসী,	
bharatey,	ভারতে,	ভারতে,	
harriser,	হ্যারিসের,	হ্যারিসের,	
shefa,	সেফ,	শেফ,	
ivil,	ইভিল,	ইভিল,	
juktorastroshoho,	যুক্তরাস্ত্রস,	যুক্তরাষ্ট্রসহ,	
mugdhota,	মুঘতা,	মুগ্ধতা,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
dubate,	দুবাতে,	ডুবাতে,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
nickeel,	নিকেল,	নিকেল,	
akkharkey,	আক্ষরকে,	অক্ষরকে,	
