estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
riphleeksa,	রাইফলিক্স,	রিফ্লেক্স,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
nongra,	নংংরা,	নোংরা,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
liceencee,	লিসেন্স,	লাইসেন্স,	
shatokeo,	শতকেও,	শতকেও,	
heriser,	হেরিসের,	হ্যারিসের,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
corporation,	কর্পোরেশন,	করপোরেশন,	
kona,	কোনা,	কোনা,	
nondolal,	নন্দললাল,	নন্দলাল,	
subade,	সুবাদে,	সুবাদে,	
chalchhe,	চলছে,	চলছে,	
qingdom,	কিনদম,	কিংডম,	
drishyer,	দৃষ্যের,	দৃশ্যের,	
disney,	ডিসনে,	ডিজনী,	
edaning,	এডানিং,	ইদানীং,	
hoondayi,	হোন্ডাই,	হুন্দাই,	
koomarir,	কোমারির,	কুমারীর,	
jonosanjog,	জনসানগ্য,	জনসংযোগ,	
hajeerhatt,	হাজীরহাট্ট,	হাজিরহাট,	
sip,	সিপ,	শিপ,	
nathibhukteer,	নাথিভুক্তির,	নথিভুক্তির,	
heena,	হেন,	হেনা,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
fartha,	ফার্থ,	ফার্থ,	
laaishensh,	লাইনেস্স,	লাইসেন্স,	
naraphooka,	নরফপুকা,	নরফোক,	
nachiketa,	নাচিকেতা,	নচিকেতা,	
superheror,	সুপারেসরর,	সুপারহিরোর,	
algorithm,	অ্যালগরিহম,	এলগরিদম,	
dharabhashyakar,	ধারাভাষ্কার,	ধারাভাষ্যকার,	
jolaatanko,	জলাতানক,	জলাতঙ্ক,	
babilon,	ব্যবিলন,	ব্যাবিলন,	
madelim,	ম্যাডেলিং,	মডেলিং,	
bhaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
miari,	মেয়ারি,	ম্যারি,	
inshtant,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
marqeting,	মার্কেটিং,	মার্কেটিং,	
danab,	ডানব,	দানব,	
mett,	ম্যাট,	ম্যাট,	
jeebonjapon,	জীবনজাপন,	জীবনযাপন,	
byataree,	ব্যতারি,	ব্যাটারী,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
sahochorjey,	সহকর্যে,	সাহচর্যে,	
ghateer,	ঘাটির,	ঘাটির,	
drishyogulotey,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
jeebonjaapon,	জীবনজাপন,	জীবনযাপন,	
karmosansthan,	কর্মসাস্থান,	কর্মসংস্থান,	
horiddare,	হরিদ্দারে,	হরিদ্বারে,	
phokskon,	ফক্ষণ,	ফক্সকন,	
bonobhumi,	বনবূমি,	বনভূমি,	
zerusalemer,	জারোফোলেমের,	জেরুজালেমের,	
maniktala,	মানিক্তাল,	মানিকতলা,	
baarbadoj,	বার্বদোজ,	বার্বাডোজ,	
kattor,	কাত্তর,	কট্টর,	
shelina,	সেলিন,	সেলিনা,	
pallar,	পোল্লার,	পাল্লার,	
laisense,	লাইসেন্স,	লাইসেন্স,	
aieesha,	আইএস,	আইএএস,	
eucalyptushh,	ইউকাল্টিপ্যাস,	ইউক্যালিপ্টাস,	
asovyo,	অসভ্য,	অসভ্য,	
diyi,	দিই,	দিই,	
marmaaraa,	মার্মার,	মারমারা,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
ogradut,	অগ্রাদত,	অগ্রদূত,	
plainey,	প্লাইনে,	প্লেনে,	
nodiiteyi,	নদীতেই,	নদীতেই,	
surti,	সূর্তি,	সুরটি,	
gandharir,	গানধারীর,	গান্ধারীর,	
pray,	প্রে,	প্রায়,	
sushri,	সুশ্রী,	সুশ্রী,	
marmader,	মার্মদের,	মারমাদের,	
soshorire,	সসরীরে,	সশরীরে,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
bibadey,	বিবাদে,	বিবাদে,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
sobrokomer,	সব্রকমের,	সবরকমের,	
idyi,	এডি,	আইডিই,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
shangkulaan,	সংকুলোন,	সংকুলান,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
chocchitrei,	চচ্ছিত্রেই,	চলচ্চিত্রেই,	
antarctica,	অন্টরর্কিট,	অ্যান্টার্কটিকার,	
chhootite,	ছুটিতে,	ছুটিতে,	
siiter,	সীতের,	শীতের,	
balatkar,	বাল্তকর,	বলাৎকার,	
janosanjog,	জনস্যনগ,	জনসংযোগ,	
saholobhyotar,	সহলভ্যতার,	সহজলভ্যতার,	
kadarer,	কাদারের,	কদরের,	
natniike,	নাটনীকে,	নাতনীকে,	
scoree,	স্কোরি,	স্কোরে,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
tourisht,	তারিস্ট,	টুরিস্ট,	
ducktickete,	ডাককিটিকে,	ডাকটিকিটে,	
thechar,	ঠেচার,	থ্যাচার,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
aziza,	আজিজ,	আজিজা,	
nagorikera,	নাগরিকারা,	নাগরিকেরা,	
bhabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
maricha,	মরিচা,	মরিচা,	
bibad,	বিবাদ,	বিবাদ,	
shreechoitonyodeb,	শ্রীচৈতিন্যবে,	শ্রীচৈতন্যদেব,	
shatjoner,	সতজনের,	সাতজনের,	
nagariker,	নাগরীকের,	নাগরিকের,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
danaber,	ডানাবের,	দানবের,	
yura,	ইউরা,	ইউরো,	
khalidkay,	খলিদকে,	খালিদকে,	
bhaangchoor,	ভাঞ্চুর,	ভাংচুর,	
ashammatite,	আসম্তিতে,	অসম্মতি,	
horeener,	হরিনের,	হরিণের,	
asociatees,	অসেকিটেস,	এসোসিয়েটস,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
bijit,	বিজিত,	বিজিত,	
shatjon,	সতজন,	সাতজন,	
bipozzonok,	বিপজজনক,	বিপজ্জনক,	
gemske,	গেমস্কে,	জেমসকে,	
canton,	ক্যান্টন,	ক্যান্টন,	
postay,	পোস্টাই,	পোস্টে,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
mosjidkey,	মস্জিদে,	মসজিদকে,	
fatakasto,	ফতকাষ্ট,	ফাটাকেষ্ট,	
prakalpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
deeares,	ডিয়েরেস,	ডিআরএস,	
jonesh,	জনেশ,	জোন্স,	
baarder,	বার্ডার,	বার্ডের,	
jarusalema,	জারসুলাম,	জেরুসালেম,	
doonata,	দুনাতা,	ডোনাট,	
ja,	জা,	জ্যা,	
sumee,	সুমি,	সুমি,	
jomanor,	জমানোর,	জমানোর,	
hillser,	হিলসের,	হিলসের,	
gaarnaar,	গার্নার,	গার্নার,	
romantic,	রোমান্টিক,	রোমান্টিক,	
said,	সাইড,	সাইদ,	
boikolyo,	বৈকল্য,	বৈকল্য,	
fuda,	ফুদা,	ফুড,	
miracle,	মিরাকে,	মিরাকেল,	
lambatey,	লম্বতে,	লম্বাটে,	
onekeri,	অনেকারী,	অনেকেরই,	
chirohorith,	চিরহরিত,	চিরহরিৎ,	
telakucha,	টেলাকুচ,	তেলাকুচা,	
vaibonera,	ভৈববনেরা,	ভাইবোনেরা,	
windo,	উইন্ড,	উইন্ডো,	
shalsa,	স্লাস,	সালসা,	
divya,	দিব্য,	দিব্যা,	
deambakriti,	দীমববাকৃতি,	ডিম্বাকৃতি,	
rubi,	রুবি,	রুবী,	
stoonahenja,	স্টোচন্ঞ্জ,	স্টোনহেঞ্জ,	
dheke,	ঢেঁকে,	ঢেকে,	
saseja,	সাসেজ,	সসেজ,	
raiialati,	রেইলাটি,	রয়্যালটি,	
somraat,	সমরাত,	সম্রাট,	
kadorer,	কদরের,	কদরের,	
bishhnu,	বিশ্নু,	বিষ্ণু,	
jounotar,	যৌনতার,	যৌনতার,	
jerusalem,	জারোফোলে,	জেরুসালেম,	
debdebee,	দেবদীবী,	দেবদেবী,	
somratder,	সমর্তদের,	সম্রাটদের,	
prothar,	প্রথার,	প্রথার,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
markeeting,	মার্কিটিং,	মার্কেটিং,	
nederlander,	নেদেরল্যান্ডের,	নেদারল্যান্ডের,	
bhittio,	ভিটিও,	ভিত্তিও,	
ganochin,	গণচিন,	গণচীন,	
eiling,	এলিং,	ইলিং,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
taunship,	তাউশ্বিপ,	টাউনশিপ,	
rena,	রেন,	রেনো,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
mehnotti,	মেহনত্তি,	মেহনতি,	
sooresh,	সুরেশ,	সুরেশ,	
jockei,	যোকেই,	জকি,	
venis,	ভেনিস,	ভেনিস,	
qredita,	ক্রেডিট,	ক্রেডিট,	
loukikataa,	লুোকিকাতা,	লৌকিকতা,	
rajshri,	রাজসীরী,	রাজশ্রী,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
alubokhara,	অলাবছকরা,	আলুবোখারা,	
dharabahikotitey,	ধারাবাহিকততে,	ধারাবাহিকটিতে,	
ragei,	রাগেই,	রাগেই,	
shukranoo,	শুক্রণণও,	শুক্রানু,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
uporitaler,	উপরিতালের,	উপরিতলের,	
jwor,	জ্বোর,	জ্বর,	
rushad,	রুশদ,	রুশদ,	
parbatmala,	পর্বত্মলা,	পর্বতমালা,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
boopon,	বুপন,	বপন,	
gemi,	গেমি,	জেমি,	
tochnochh,	তচ্ছচ,	তছনছ,	
install,	ইনস্টল,	ইন্সটল,	
marekting,	মেরেকটিং,	মার্কেটিং,	
muradke,	মুরাদকে,	মুরাদকে,	
depootee,	ডিপোটি,	ডেপুটি,	
maudeling,	মডাডিলিং,	মডেলিং,	
probeshon,	প্রবেশন,	প্রবেশন,	
lyata,	ল্যাট,	ল্যাটা,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
obosane,	অবসানে,	অবসানে,	
engrejra,	ইংরেজ্রা,	ইংরেজরা,	
thatcher,	থ্যাচার,	থ্যাচার,	
asamanyo,	অসমান্য,	অসামান্য,	
prodiip,	প্রদিপ,	প্রদীপ,	
thore,	ঠোর,	থরে,	
dhhaalur,	ঢালুর,	ঢালুর,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
ghaghot,	ঘাঘট,	ঘাঘট,	
sahinsatar,	সহীষ্ণতার,	সহিংসতার,	
shhikara,	শিকার,	শিকার,	
ches,	চেষ,	চেস,	
byaboharkariderkey,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
puding,	পুদিং,	পুডিং,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
shartho,	শর্থ,	স্বার্থ,	
laatimer,	লাটিমের,	লাটিমের,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
chyata,	চাতা,	চ্যাট,	
raktaksharaney,	রক্তাসকরণে,	রক্তক্ষরণে,	
ojouno,	অজনন,	অযৌন,	
pet,	পেট,	পেত,	
ishpredshhit,	এস্প্রডেশট,	স্প্রেডশীট,	
udbodhane,	উদ্বাধনে,	উদ্বোধনে,	
bhenuser,	ভেনাসের,	ভেনাসের,	
tafsir,	তফসির,	তাফসীর,	
sbatantrota,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
priti,	প্রীতি,	প্রিটি,	
cheerokoomari,	চিরকমুরাই,	চিরকুমারী,	
rubio,	রুবিও,	রুবিও,	
hariner,	হারিনের,	হরিণের,	
noitik,	নৈতিক,	নৈতিক,	
pathachari,	পাঠাচারী,	পথচারী,	
kod,	কোড,	কোড,	
latimer,	লতিমের,	লাটিমের,	
madhukori,	মধুকরী,	মাধুকরী,	
aameenaar,	আমিনার,	আমিনার,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
dooburir,	দুবরীর,	ডুবুরির,	
elakate,	এলাকাতে,	এলাকাতে,	
laaishesh,	লাইশেস,	লাইসেন্স,	
geans,	জিন্স,	জিন্স,	
madraji,	মদদ্যাি,	মাদ্রাজি,	
elakaatir,	এলাকাটির,	এলাকাটির,	
ganjona,	গঞ্জন,	গঞ্জনা,	
panera,	পানেরা,	পনের,	
ekooghore,	একঘরে,	একঘরে,	
obhijojon,	অভিযোজন,	অভিযোজন,	
jins,	জিন্স,	জিন্স,	
towraat,	তোরাট,	তওরাত,	
marjito,	মার্জিত,	মার্জিত,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
akkaash,	একশাশ,	আককাস,	
byatikromdhormi,	ব্যতিত্রধুম্বী,	ব্যতিক্রমধর্মী,	
serverti,	সার্ভারটি,	সার্ভারটি,	
atak,	অটাক,	আটক,	
kheylechen,	খেলেছেন,	খেলেছেন,	
gatrey,	গত্রে,	গাত্রে,	
nottee,	নটি,	নোটটি,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
shfingtar,	স্ফীনার,	স্ফিংটার,	
indrani,	ইন্দ্রনি,	ইন্দ্রাণী,	
bikargrasto,	বিকর্গর্ষ্ট,	বিকারগ্রস্ত,	
itastata,	ইতস্ততা,	ইতস্তত,	
kkhur,	ক্ষুর,	ক্ষুর,	
toler,	তলের,	তালের,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
militarir,	মিলিটারির,	মিলিটারির,	
methaner,	ম্যাথনের,	মিথেনের,	
venicey,	ভেনিকে,	ভেনিসে,	
satarkatar,	সতরকাতার,	সতর্কতার,	
hotodoreedro,	হতোদদর্দ,	হতদরিদ্র,	
tochhnochh,	তচ্ছচছ,	তছনছ,	
rockibul,	রকিবিল,	রকিবুল,	
biplabeer,	বিপ্লবির,	বিপ্লবীর,	
porishongkhanbid,	পরিসংখ্যবিন্দ,	পরিসংখ্যানবিদ,	
kanooner,	কানুনের,	কানুনের,	
protimar,	প্রতিমার,	প্রতিমার,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
rot,	রো,	রত,	
bhabnake,	ভবনাকে,	ভাবনাকে,	
phutbolarer,	ফুটবলারের,	ফুটবলারের,	
oncoltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
ebhara,	এভার,	এভার,	
chondrima,	চন্দ্রীমা,	চন্দ্রিমা,	
iunita,	ইউনিট,	ইউনিট,	
cross,	ক্রস,	ক্রুশ,	
vabanir,	ভবনীর,	ভবানীর,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
qaro,	কারও,	কারো,	
dweepgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
romantik,	রোমান্তিক,	রোমান্টিক,	
chirohorit,	চিরহরিত,	চিরহরিৎ,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
eder,	এডের,	এদের,	
hizrii,	হিজরী,	হিজরী,	
shahocharje,	সাহারার্যে,	সাহচর্যে,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
vaticaner,	ভটিকানের,	ভ্যাটিকানের,	
ekirokom,	একরকম,	একইরকম,	
purbanchaler,	পূর্বনচ্চলের,	পূর্বাঞ্চলের,	
bonovumi,	বনোভূমি,	বনভূমি,	
tofaat,	তফাত,	তফাৎ,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
gonohottar,	গণহা্ত্যার,	গণহত্যার,	
harbour,	হারবুর,	হারবার,	
gadha,	গাধা,	গাধা,	
temanbhabe,	তেমানভাবে,	তেমনভাবে,	
qloud,	ক্লোড,	ক্লাউড,	
nirbahey,	নির্বাহে,	নির্বাহে,	
chitronattakar,	চিত্রনাত্তার,	চিত্রনাট্যকার,	
sontoshe,	সন্তসে,	সন্তোষে,	
brail,	ব্রেইল,	ব্রেইল,	
licensedhari,	লিসেন্সেধারে,	লাইসেন্সধারী,	
pretti,	প্রেত্তি,	প্রিটি,	
manober,	মানবের,	মানবের,	
osthisandhi,	অস্থিশান্ডি,	অস্থিসন্ধি,	
futbolarder,	ফুটবলাদরর,	ফুটবলারদের,	
bheenama,	ভেনাম,	ভেনম,	
mitroder,	মিত্রদের,	মিত্রদের,	
codee,	কোড,	কোডে,	
korimkey,	করিমকে,	করিমকে,	
sorsa,	সর্ষা,	সোর্স,	
parishrami,	পরিশ্রমমী,	পরিশ্রমী,	
graameroi,	গ্রামারই,	গ্রামেরই,	
durgandha,	দুর্ঘন্ধ,	দুর্গন্ধ,	
shniper,	সিনাপের,	স্নাইপার,	
utpatti,	উৎপত্তি,	উতপত্তি,	
gaugee,	গৌগে,	গেজ,	
zerusalema,	জারোফোলায়াম,	জেরুসালেম,	
sazano,	সাজানো,	সাজানো,	
foltir,	ফলটির,	ফলটির,	
cyanide,	স্যানিডে,	সায়ানাইড,	
nuhash,	নুহাস,	নুহাশ,	
opohoronn,	অপহরণ,	অপহরন,	
bhramankale,	ভ্রামকণলে,	ভ্রমণকালে,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
metropalitana,	মেট্রোপিলান,	মেট্রোপলিটন,	
heeavy,	হেভি,	হেভি,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
granther,	গ্রন্থার,	গ্রন্থের,	
baipass,	বাইপাশ,	বাইপাস,	
laaishenshh,	লাইনেস্স,	লাইসেন্স,	
hool,	হোল,	হুল,	
ujobekeestaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
bamon,	বামন,	বামন,	
aakaabaar,	আকাবার,	আকাবার,	
yuk,	ইউক,	ইয়াক,	
gajee,	গাজী,	গেজ,	
besarkarikaran,	বেসরকারীকরণ,	বেসরকারিকরণ,	
lutharan,	লুথারন,	লুথেরান,	
neerbahe,	নির্বাহে,	নির্বাহে,	
chanoo,	চানু,	চানু,	
brittakare,	বৃত্যকারে,	বৃত্তাকারে,	
gaddaafee,	গাদ্যাফী,	গাদ্দাফী,	
khogen,	খোগেন,	খগেন,	
tolemyr,	টেলমমির,	টলেমির,	
kobootorer,	কবুটারের,	কবুতরের,	
deembakreeti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
categoryer,	ক্যাটোগারেয়ার,	ক্যাটাগরির,	
norfolk,	নরফল্ক,	নরফোক,	
avetara,	অভেতর,	অবতার,	
chhotto,	ছত্ব,	ছোট্ট,	
tamplate,	টামপলেট,	টেম্পলেট,	
sibraz,	শিবরাজ,	শিবরাজ,	
machgulo,	মাছগুলো,	মাছগুলো,	
eemeergeency,	এমেরমেন্সি,	এমার্জেন্সি,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
eshiyatiqa,	এসেয়েটিক,	এশিয়াটিক,	
moofti,	মুফতি,	মুফতি,	
uthhe,	উঠে,	উঠে,	
dackop,	ডাক্প,	দাকোপ,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
uporital,	উপরিটাল,	উপরিতল,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
phirti,	ফির্তি,	ফিরতি,	
naabbota,	নব্বতা,	নাব্যতা,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
karkatkranti,	করক্রাণ্তী,	কর্কটক্রান্তি,	
cilahaati,	চিলাহতি,	চিলাহাটি,	
iuqyaliptasa,	ইউক্যাপিল্টাস,	ইউক্যালিপ্টাস,	
ekpaase,	একপাশে,	একপাশে,	
jhijhi,	ঝিঝি,	ঝিঝি,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
shaakaar,	সাকার,	সাকার,	
sofy,	সফি,	সোফি,	
pachak,	পাচক,	পাচক,	
cocaine,	কোকেন,	কোকেইন,	
aamoode,	আমুদে,	আমুদে,	
poscime,	পশ্চিমে,	পশ্চিমে,	
jess,	জেস,	জেস,	
kormosompadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
tenisa,	টেনিস,	টেনিস,	
ahalya,	আহল্য,	অহল্যা,	
marufer,	মারুফের,	মারুফের,	
gosthike,	গোষ্ঠিকে,	গোষ্ঠীকে,	
dakope,	ডাকপে,	দাকোপ,	
dosider,	দশীদের,	দোষীদের,	
shangkulan,	সংকুলান,	সংকুলান,	
iyanqi,	ইইনকি,	ইয়াংকি,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
daltyagi,	দল্তযজগী,	দলত্যাগী,	
manush,	মানাস,	মানুষ,	
hamburger,	হাম্বরুরের,	হামবুর্গের,	
superhero,	সুপারেহর,	সুপারহিরো,	
desiseyer,	ডেসিসের,	ডিজিজের,	
sahakari,	সহকারী,	সহকারী,	
gondho,	গণ্ধ,	গন্ধে,	
graambaasee,	গ্রামবাসে,	গ্রামবাসী,	
showti,	শতুটি,	শোটি,	
uzobekeestaan,	উজবেকিস্তান,	উজবেকিস্তান,	
madhoboir,	মাধবীর,	মাধবীর,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
purbanchale,	পূর্বাচ্ছলে,	পূর্বাঞ্চলে,	
bojhey,	বোঝে,	বোঝে,	
abadamoner,	আবাদমনের,	অবদমনের,	
degreer,	দিগ্রীর,	ডিগ্রির,	
bosantake,	বসান্তকে,	বসন্তকে,	
hoteltee,	হটেলটি,	হোটেলটি,	
societytey,	সোকিতিতে,	সোসাইটিতে,	
kanflikt,	কান্লফিক্ট,	কনফ্লিক্ট,	
bon,	বন,	বন,	
ahang,	আহা,	অহং,	
kathmandutey,	কথমনদুরতে,	কাঠমান্ডুতে,	
saddhi,	সাদ্ধি,	সাধ্বী,	
venuser,	ভেনাউসের,	ভেনাসের,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
jameske,	জমেস্কে,	জেমসকে,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
nadnadeer,	নাদ্নদীর,	নদনদীর,	
chire,	চিরে,	চিরে,	
ghamta,	হামটা,	ঘোমটা,	
graambasheeo,	গ্রাম্বশীহ,	গ্রামবাসীও,	
volt,	ভোল্ট,	ভল্ট,	
aireshe,	আইরেষে,	আইরেসে,	
hundai,	হান্ডাই,	হুন্দাই,	
shektore,	স্যাক্টরে,	সেক্টরে,	
shtonehenge,	স্টোনেহেজ,	স্টোনহেঞ্জ,	
satan,	সাতান,	শয়তান,	
bajite,	বাজিতে,	বাজিতে,	
arifin,	আরিফিন,	আরিফিন,	
boudher,	বৌদের,	বৌদ্ধের,	
domonmoolok,	দমমনমূলক,	দমনমূলক,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
bahubar,	বাহুবার,	বহুবার,	
sanghitar,	সংঘীতার,	সংহিতার,	
kemone,	কেমনে,	কেমনে,	
provuder,	প্রভূউের,	প্রভুদের,	
aajiboner,	আজিবনের,	আজীবনের,	
abadamaner,	আবাদমানের,	অবদমনের,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
jacksan,	জকসান,	জ্যাকসন,	
ponchashjon,	পঞ্চাশবন,	পঞ্চাশজন,	
nirapekkhotar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
songasthaner,	সংখ্ষানের,	সংস্থানের,	
artharer,	অর্থারের,	আর্থারের,	
satorkovabe,	সতরকভাবে,	সতর্কভাবে,	
seeramiker,	সীরামীকের,	সিরামিকের,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
siramiker,	সিরামীকের,	সিরামিকের,	
natneekey,	নাটনিকে,	নাতনীকে,	
keraam,	কেরাম,	কেরাম,	
shringge,	শ্রীগে,	শৃঙ্গে,	
mittrer,	মিত্রের,	মিত্রের,	
karmasansthaner,	কর্মসাস্থনের,	কর্মসংস্থানের,	
bonsho,	বংস,	বংশ,	
sorboshoktiman,	সর্বস্কিষণ,	সর্বশক্তিমান,	
pooshteer,	পুস্টির,	পুষ্টির,	
sarbhare,	সার্ভারে,	সার্ভারে,	
prottokhovabe,	প্রত্যাখভাবে,	প্রত্যক্ষভাবে,	
yuq,	ইউক,	ইয়াক,	
neemeetto,	নিমেত্ত,	নিমিত্ত,	
dearas,	ডিরাস,	ডিআরএস,	
chhutite,	ছুটিতে,	ছুটিতে,	
rifleksa,	রাইফ্লেক্স,	রিফ্লেক্স,	
plasse,	প্লাসে,	প্লাসে,	
shilbar,	সিলবার,	সিলভার,	
ramdhanu,	রামধানু,	রামধনু,	
torunderke,	তরুনদেরকে,	তরুণদেরকে,	
tonight,	টনিঘিত,	টুনাইট,	
ayantarketika,	অ্যান্টরেকেটিক,	অ্যান্টার্কটিকা,	
grameri,	গ্রামারি,	গ্রামেরই,	
vejjanno,	ভেজ্ন্য,	ভেজানো,	
sukhma,	সুখ্মা,	সুক্ষ্ম,	
vugol,	ভুগল,	ভূগোল,	
beca,	বেচা,	বেচা,	
nama,	নামা,	নমো,	
jaruri,	জরুরী,	জরূরী,	
carloos,	কার্লস,	কার্লোস,	
swasti,	স্বস্তি,	স্বস্তি,	
melobborner,	মেলববর্ণের,	মেলবোর্নের,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
laiseensim,	লাইসেন্সিং,	লাইসেন্সিং,	
modeler,	মোডেলের,	মডেলের,	
townsip,	তৌবিশিপ,	টাউনশিপ,	
abdun,	আব্দুন,	আবদুন,	
elakaao,	এলাকাও,	এলাকাও,	
byomkesh,	ব্যমকেশ,	ব্যোমকেশ,	
sarboporee,	সর্বপররী,	সর্বোপরী,	
ateeteo,	অটিতেও,	অতীতেও,	
laabonii,	লাবণী,	লাবনী,	
batikromshalee,	ব্যাতির্মশালী,	ব্যতিক্রমধর্মী,	
rifleks,	রাইফ্লেক্স,	রিফ্লেক্স,	
samosto,	সমস্ত,	সমস্ত,	
olympiker,	অলিমপিকের,	অলিম্পিকের,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
khamba,	খাম্ব,	খাম্বা,	
kushomva,	কুসম্ভ,	কুশুম্বা,	
sabaner,	সবনের,	সাবানের,	
gonona,	গণনা,	গননা,	
nodiike,	নদীকে,	নদীকে,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
soommo,	সুম্ম,	সুমো,	
potocheetro,	পতোচিত্র,	পটচিত্র,	
shelim,	সেলিং,	সেলিম,	
batsmanyi,	বাঠমন্বি,	ব্যাটসম্যানই,	
bibek,	বিবেক,	বিবেক,	
allah,	আল্লাহ,	আল্লাহ্,	
cheento,	চিন্ত,	চিনতো,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
hari,	হ্যারি,	হরি,	
shukranu,	শুক্রণু,	শুক্রানু,	
laishenshe,	লিশেন্সে,	লাইসেন্স,	
drissotir,	দৃষ্টিতির,	দৃশ্যটির,	
faad,	ফাদ,	ফুড,	
restaurant,	রেস্টোরান্ট,	রেষ্টুরেন্ট,	
janoganonar,	জনগণনার,	জনগণনার,	
themekey,	থেমেকে,	থিমকে,	
scholastik,	স্কলসাত্টিক,	স্কলাস্টিক,	
shahabike,	সাহাবিকে,	সাহাবীকে,	
kadom,	কাদম,	কদম,	
inafarameshana,	ইনফরমেশন,	ইনফরমেশন,	
dhanyi,	ধন্যই,	ধন্যি,	
torokareer,	তরকারীর,	তরকারীর,	
tookroke,	তুকরণে,	টুকরোকে,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
