naper,	নাপের,	ন্যাপের,	
doonata,	দুনাতা,	ডোনাট,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
venicey,	ভেনিকে,	ভেনিসে,	
faridi,	ফররিদি,	ফরিদী,	
phastara,	ফাস্টার,	ফস্টার,	
khali,	খালী,	খালি,	
faster,	ফাস্টার,	ফস্টার,	
ogrodoot,	অগ্রুদ,	অগ্রদূত,	
barbaadoj,	বার্বাডগ,	বার্বাডোজ,	
mugdaal,	মুগদল,	মুগডাল,	
bodhirota,	বোধীরতা,	বধিরতা,	
gez,	গেজ,	গেজ,	
koyari,	কোয়ারি,	কোয়েরি,	
meghke,	মেঘকে,	মেঘকে,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
engrejra,	ইংগ্রেরা,	ইংরেজরা,	
shukna,	শুক্না,	শুকনা,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
dhauta,	ধাঁটা,	ধৌত,	
korimpoor,	করিমপুর,	করিমপুর,	
turqi,	তুর্কী,	তুর্কি,	
godamjato,	গোদামত,	গুদামজাত,	
antarctica,	অন্টার্কেটিক,	অ্যান্টার্কটিকা,	
shoti,	শতী,	শোটি,	
vodka,	ভোদকা,	ভদকা,	
gezeted,	জেজেটেড,	গেজেটেড,	
shkalashtika,	স্কলাস্টিক,	স্কলাস্টিক,	
motke,	মতকে,	মতকে,	
gripa,	গ্রীপ,	গ্রিপ,	
babona,	বাবনা,	বাবনা,	
breakthrough,	ব্রক্ষরোগ,	ব্রেকথ্রু,	
uthaney,	উঠানে,	উঠানে,	
edmiral,	এডমিরিয়াল,	এডমিরাল,	
chalachchitrotike,	চলচ্চিত্রকিতে,	চলচ্চিত্রটিকে,	
keraam,	কেরাম,	কেরাম,	
graambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
parpel,	পার্পেল,	পার্পেল,	
saaeda,	সাইড,	সাইদা,	
koilash,	কৈলস,	কৈলাস,	
militaryr,	মিলিটারীর,	মিলিটারির,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
colahol,	কলালো,	কোলাহল,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
favourite,	ফভোরিতে,	ফেভারিট,	
oncholgoolir,	অঁকচুলির,	অঞ্চলগুলির,	
bupher,	বুফের,	বাফার,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
asociatis,	অসোঅেটিস,	এসোসিয়েটস,	
jens,	জেনস,	জিন্স,	
nabbata,	নব্বতা,	নাব্যতা,	
maile,	মেলে,	মাইলি,	
samabeshke,	সমবেেক্ষে,	সমাবেশকে,	
shkolashtik,	স্কলাস্টিক,	স্কলাস্টিক,	
ranangoney,	রানানগণে,	রণাঙ্গনে,	
rata,	রত,	রত,	
traap,	ট্রুপ,	ট্রুপ,	
kyapasula,	ক্যাপসুলা,	ক্যাপসুল,	
mmesenjarer,	মেসেন্জারের,	মেসেঞ্জারের,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
swostir,	স্বস্তির,	স্বস্তির,	
utsaha,	উত্সাহ,	উৎসাহ,	
awrbit,	অরবিত,	অরবিট,	
jonogononar,	জনগণনার,	জনগণনার,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
parishkaron,	পরিস্কারণ,	পরিষ্করণ,	
harysher,	হার্শের,	হ্যারিসের,	
sofir,	সফীর,	সোফির,	
azaadir,	আজাদীর,	আজাদীর,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
plen,	প্লেন,	প্লেন,	
pyaleshtaine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
ummool,	উম্মুল,	উম্মুল,	
kulo,	কুলো,	কুলো,	
shefard,	সেফার্ড,	শেফার্ড,	
jahora,	যাহরা,	যাহরা,	
pala,	পালা,	পোলো,	
dhalur,	ঢালুর,	ঢালুর,	
jhalkathi,	ঝালকাঠী,	ঝালকাঠী,	
kolahol,	কলাহল,	কোলাহল,	
aajiboner,	আজিবনের,	আজীবনের,	
boorana,	বোরান,	বোরন,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
shkirt,	স্কীর্ট,	স্কার্ট,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
abarto,	অবর্ত,	আবর্ত,	
vittiti,	ভিত্তিটি,	ভিত্তিটি,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
dorun,	দরুন,	দরুণ,	
chhutochhooti,	ছুটুছটি,	ছুটোছুটি,	
falak,	ফলাক,	ফলক,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
qarqa,	কার্ক,	কার্ক,	
biswash,	বিশ্বাস,	বিশ্বাস,	
mehonnotee,	মেহনাটি,	মেহনতি,	
chalochchitraeeo,	চলচ্চিত্রী,	চলচ্চিত্রেও,	
obosane,	অবসনে,	অবসানে,	
sadhwi,	সাধ্যই,	সাধ্বী,	
beshirbhaagei,	বেশিরভাগই,	বেশিরভাগেই,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
uparjaner,	উপর্জনের,	উপার্জনের,	
rabe,	রবে,	রবে,	
pirujalee,	পিরুজুলি,	পিরুজালী,	
fising,	ফিশিং,	ফিসিং,	
bonoshri,	বনশ্রী,	বনশ্রী,	
shomratder,	সম্রত্তদের,	সম্রাটদের,	
vooter,	ভুতের,	ভোটার,	
romantic,	রমেন্টিক,	রোমান্টিক,	
milea,	মিলে,	মাইলে,	
barak,	বারক,	বারাক,	
akeeb,	একীব,	আকিব,	
achish,	এচিশ,	আছিস,	
poorohitke,	পুরোহীকতে,	পুরোহিতকে,	
manushti,	মানুষটি,	মানুষটি,	
bem,	বেম,	বিম,	
jemske,	জেমসসকে,	জেমসকে,	
hart,	হার্ট,	হার্ট,	
baraak,	বারাক,	বারাক,	
artillary,	অর্টিলারী,	আর্টিলারি,	
wodka,	ওয়াকা,	ভদকা,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
hotochokeeto,	হটচচকিত,	হতচকিত,	
masjid,	মাসজিদ,	মসজিদ,	
debdebeer,	দেবদ্বীী,	দেবদেবীর,	
hizritey,	হিজরিতে,	হিজরীতে,	
cholche,	চলছে,	চলছে,	
ddebet,	ডেবেট,	ডিবেট,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
skart,	স্কার্ট,	স্কার্ট,	
karle,	কার্লে,	করলে,	
parther,	পার্থের,	পার্থের,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
maailkhanek,	মাইখলনকে,	মাইলখানেক,	
macho,	মাচো,	মাছও,	
laaisensh,	লাইএন্স,	লাইসেন্স,	
madhyekar,	মধ্যেকার,	মধ্যেকার,	
gorjon,	গর্জন,	গর্জন,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
noubihar,	নৌবিহার,	নৌবিহার,	
necker,	নেকের,	নেকের,	
laesens,	লিজেন্স,	লাইসেন্স,	
swasti,	স্বাসটি,	স্বস্তি,	
dakteekit,	দাক্তিক,	ডাকটিকিট,	
aiees,	আইএএএস,	আইএএস,	
fol,	ফল,	ফল,	
mousumti,	মুসমম্তি,	মৌসুমটি,	
byatasamyan,	ব্যাতসম্যাণ,	ব্যাটসম্যান,	
uporitoler,	উপরিতলের,	উপরিতলের,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
ruteen,	রুটেন,	রুটিন,	
mahasava,	মহাসভা,	মহাসভা,	
musalmanderke,	মুসলামর্ডকে,	মুসলমানদেরকে,	
nodiitike,	নদীতিকে,	নদীটিকে,	
ting,	তিং,	টিং,	
bolbo,	বলব,	বলবো,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
longhon,	লঙ্ঘন,	লংঘন,	
ganosakkharata,	গণস্করতা,	গণসাক্ষরতা,	
porizon,	পরিজন,	পরিজন,	
omitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
somudrotote,	সমুদ্রতে,	সমুদ্রতটে,	
reeno,	রেন,	রেনো,	
firoze,	ফিরোজে,	ফিরোজ,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
cholocchitroi,	চলচচিত্রী,	চলচ্চিত্রই,	
pulse,	পুলসে,	পালস,	
whole,	হোলে,	হোল,	
teemothee,	তিমথথী,	টিমোথি,	
gronthotikey,	গ্রন্থতিকে,	গ্রন্থটিকে,	
pretii,	প্রেতী,	প্রিটি,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
nirbaho,	নির্বাহ,	নির্বাহ,	
udvaboker,	উদ্ভবকের,	উদ্ভাবকের,	
haila,	হইল,	হইল,	
aairees,	আইরিশ,	আইরিস,	
yuqeliptas,	উউকিলিপ্টাস,	ইউক্যালিপ্টাস,	
scifi,	স্ফিই,	সাইফাই,	
tecnokryat,	টেকনোক্র,	টেকনোক্র্যাট,	
bisringkhola,	বিশৃঙখলা,	বিশৃঙ্খলা,	
wolapuk,	ওললপপুক,	ভোলাপুক,	
utsaahe,	উত্সাহে,	উৎসাহে,	
ooindo,	উইন্ড,	উইন্ডো,	
deul,	ডিউল,	দেউল,	
shaddhii,	সাধ্ধি,	সাধ্বী,	
kaloniir,	কালনীর,	কালনীর,	
udor,	উদর,	উদর,	
chapal,	চপপাল,	চপল,	
komandar,	কমান্ডার,	কমাণ্ডার,	
janosonjog,	জনসোগজ,	জনসংযোগ,	
hishabke,	হিসবকে,	হিসাবকে,	
deebating,	ডেবেটিং,	ডিবেটিং,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
pooloo,	পুলো,	পোলো,	
babylone,	বাবলিনো,	ব্যাবিলনে,	
hiiragana,	হিরোগান,	হিরাগানা,	
atma,	আত্মা,	আত্ম,	
pisach,	পিসাচ,	পিশাচ,	
attorkite,	আত্মর্কিতে,	অতর্কিতে,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
muhurtati,	মুহর্তটি,	মুহুর্তটি,	
soundarjo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
haipara,	হাইপার,	হাইপার,	
beshirvagei,	বেশিরভাগেই,	বেশিরভাগেই,	
satarkokari,	সতারকারী,	সতর্ককারী,	
bosano,	বসানো,	বসানো,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
durgandher,	দুর্ঘন্দের,	দুর্গন্ধের,	
tuneta,	তুনেটা,	টুনাইট,	
cheerokoomari,	চিরকমামীর,	চিরকুমারী,	
gezeteda,	জেজেটেড,	গেজেটেড,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
oporishodhito,	অপরিসাধিত,	অপরিশোধিত,	
schalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
laaishheshh,	লাইএসস,	লাইসেন্স,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
toronee,	তরণী,	তরণী,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
heepataitisa,	হেইপাটিস,	হেপাটাইটিস,	
carlosh,	চার্লস,	কার্লোস,	
idaningkale,	এইনানিনালে,	ইদানীংকালে,	
kkompito,	কম্পিত,	কম্পিত,	
volapuk,	ভল্পূপ,	ভোলাপুক,	
parjotaker,	পর্যত্কাকের,	পর্যটকের,	
upobashii,	উপবাসী,	উপবাসী,	
khanonkaaj,	খননকাজ,	খননকাজ,	
madola,	মাদলা,	মাদলা,	
noiteekotabodh,	নৈতিতাবধ,	নৈতিকতাবোধ,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
azimke,	অজিমকে,	আজিমকে,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
areek,	আরিক,	আরিক,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
ketechilo,	কেটেছিল,	কেটেছিল,	
rabo,	রব,	রব,	
teunar,	টিউনার,	টিউনার,	
saranor,	সরানোর,	সরানোর,	
stationer,	স্টেশনের,	ষ্টেশনের,	
dakteekite,	ডাক্তিকে,	ডাকটিকিটে,	
shoshar,	শোষর,	সকার,	
turista,	তুরিস্ট,	টুরিস্ট,	
nitikotha,	নীতিকথা,	নীতিকথা,	
juddhahoto,	যুদ্ধত,	যুদ্ধাহত,	
nek,	নেক,	নেক,	
fridom,	ফ্রিডম,	ফ্রীডম,	
aukhando,	অখান্ড,	অখন্ড,	
bager,	ব্যাগের,	বাগের,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
bboponer,	বপনের,	বপনের,	
algorithm,	অ্যালগোরিদম,	এলগরিদম,	
siddhantokey,	সিদ্ধানতেকে,	সিদ্ধান্তকে,	
saabyastha,	সবব্যস্থ,	সাব্যস্থ,	
assaciates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
rupdaan,	রূপদান,	রুপদান,	
safi,	সফি,	সাফি,	
musharraf,	মুশাররফ,	মশাররফ,	
agara,	আগার,	আগোরা,	
meiler,	মেইলের,	মেইলের,	
onucheeder,	অনুচীদের,	অনুচ্ছেদের,	
ghotleyo,	ঘটটলেও,	ঘটলেও,	
shangsthatir,	সংস্থাটির,	সংস্থাটির,	
abadamaner,	অবদামনের,	অবদমনের,	
baaik,	বাইক,	বাইক,	
nobotomo,	নবতম,	নবতম,	
vvejaano,	ভেজানো,	ভেজানো,	
seema,	সীমা,	সীমা,	
aazadeer,	আজাদীর,	আজাদীর,	
inafarameshana,	ইনফারমেশন,	ইনফরমেশন,	
elaakao,	এলাকাও,	এলাকাও,	
dabarer,	দববারের,	দাবারের,	
kheley,	খেলে,	খেলে,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
nogorey,	নগরে,	নগরে,	
chhilonaa,	ছিলনা,	ছিলনা,	
hughke,	হুগকে,	হিউজকে,	
carloos,	কার্লস,	কার্লোস,	
upobasher,	উপবাসের,	উপবাসের,	
holding,	হোল্ডিং,	হোল্ডিং,	
machhe,	মাছে,	মাছে,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
setite,	স্বটিতে,	সেটিতে,	
gajipur,	গাজীপুর,	গাজীপুর,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
sudden,	সাদদেন,	সাডেন,	
sunagarik,	সুনাগারিক,	সুনাগরিক,	
sina,	সিন,	সিনা,	
amiretus,	অমিরিটাস,	এমিরেটাস,	
batsmaner,	বাতসমানের,	ব্যাটসম্যানের,	
addhatikotar,	অধ্যাতিকতার,	আধ্যাত্মিকতার,	
hishaber,	হিসাবের,	হিসাবের,	
aiisa,	আইস,	আইএএস,	
ganoporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
betsman,	ব্যাসম্যান,	ব্যাটসম্যান,	
capsule,	ক্যাপুলে,	ক্যাপসুল,	
ekshor,	এক্সর,	একশোর,	
panero,	পানেরও,	পনের,	
chirokumari,	চিরকুমারী,	চিরকুমারী,	
jonoika,	জননইকা,	জনৈকা,	
somsher,	সমশের,	সমশের,	
sahokaree,	সহকারী,	সহকারী,	
amudey,	আমুদে,	আমুদে,	
nikot,	নিকট,	নিকট,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
chaudhurio,	চৌধুরীও,	চৌধুরীও,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
oshamonjosshoporno,	অসমানপস্পর্ণ,	অসামঞ্জস্যপূর্ণ,	
samsher,	সমশের,	সমশের,	
shapholler,	সাফলের,	সাফল্যের,	
baaiq,	বাইক,	বাইক,	
depp,	ডেপ,	ডেপ,	
raunanganey,	রৌনাঙ্গনে,	রণাঙ্গনে,	
raitasa,	রাইটস,	রাইটস,	
codeguli,	কদেগুলি,	কোডগুলি,	
prity,	প্রীতি,	প্রিটি,	
talaa,	তালা,	তালা,	
shhkolashtic,	স্কটাস্টিক,	স্কলাস্টিক,	
muscat,	মুস্কাট,	মাস্কাট,	
ghensha,	ঘেঁস,	ঘেঁষা,	
tottoraat,	তত্ত্বরাত,	তওরাত,	
coner,	কোনের,	কনের,	
garjon,	গারজন,	গর্জন,	
foksher,	ফক্ষের,	ফক্সের,	
chhanake,	ছানাকে,	ছানাকে,	
cholchhee,	চলছি,	চলছে,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
prachando,	প্রচন্দ,	প্রচণ্ড,	
farna,	ফরন্ন,	ফার্ন,	
ganoparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
bodka,	বদ্কা,	ভদকা,	
nirgun,	নির্গুণ,	নির্গুণ,	
zerusalem,	জেরোসাইল,	জেরুসালেম,	
taap,	তাপ,	ট্যাপ,	
eucalyptus,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
biru,	বিরু,	বীরু,	
dibidh,	দিবিধ,	দ্বিবিধ,	
hights,	হাইটস,	হাইটস,	
shqolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
korley,	করলে,	করলে,	
vandar,	ভান্ডার,	ভাণ্ডার,	
bosontey,	বসন্তে,	বসন্তে,	
shreechoitonyodeb,	শ্রীচৈতিন্দভেদ,	শ্রীচৈতন্যদেব,	
marpit,	মারপিট,	মারপিট,	
logicer,	লোগিকের,	লজিকের,	
dayra,	ডার,	ডেরা,	
pooroheetder,	পুরুহিদদের,	পুরোহিতদের,	
ghumacche,	ঘুমকচ্ছে,	ঘুমাচ্ছে,	
pingna,	পিংগা,	পিংনা,	
naker,	নাকের,	নেকের,	
machhti,	মাছটি,	মাছটি,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
sooter,	সুটের,	শ্যুটার,	
obosore,	অবসরে,	অবসরে,	
popeke,	পপপেকে,	পোপকে,	
nodiitei,	নদীতেই,	নদীতেই,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
abadamoner,	অবাদমনের,	অবদমনের,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
sosharire,	সোষরীরে,	সশরীরে,	
chhani,	ছানই,	ছানি,	
poscate,	পোস্কেট,	পশ্চাতে,	
yukeliptash,	উউকিলিপ্টাস,	ইউক্যালিপ্টাস,	
jaistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
toroonderke,	তরুন্দেরকে,	তরুণদেরকে,	
vedke,	ভেদকে,	বেদকে,	
patigoniter,	পাতিগণিতের,	পাটিগণিতের,	
eparjanta,	এপররজন্ত,	এপর্যন্ত,	
bitlaser,	বিতলসের,	বিটলসের,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
tap,	টাপ,	ট্যাপ,	
gripe,	গ্রীপ,	গ্রিপ,	
stonehenge,	স্টোনেহেন্জে,	স্টোনহেঞ্জ,	
ekar,	একর,	একার,	
jyeshtha,	জ্যাস্থ,	জ্যেষ্ঠা,	
aairese,	আইরেশে,	আইরেসে,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
dhormi,	ধর্মী,	ধর্মী,	
uttar,	উত্তর,	উওর,	
nabom,	নবম,	নবম,	
besuro,	বেশুরও,	বেসুর,	
carpetey,	কারপেটে,	কার্পেটে,	
anupater,	অনুপতের,	অনুপাতের,	
jaki,	জাকি,	জকি,	
nikote,	নিকটে,	নিকটে,	
lesens,	লেনেন্স,	লাইসেন্স,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
injeel,	এঞ্জেল,	ইঞ্জিল,	
basaa,	বাসা,	বাসা,	
aalkatra,	আলকাত্র,	আলকাতরা,	
chanoo,	চানু,	চানু,	
fulkopi,	ফুলকপি,	ফুলকপি,	
adhunik,	অধুনিক,	আধুনিক,	
mahasabha,	মহাসভা,	মহাসভা,	
nirdeshika,	নির্দেশীকা,	নির্দেশিকা,	
bangobandhu,	বঙ্গনান্ধু,	বঙ্গবন্ধু,	
mookhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
oholya,	অহল্য,	অহল্যা,	
bipozzonok,	বিপোজজনক,	বিপজ্জনক,	
hajeerhat,	হাজিরহাট,	হাজিরহাট,	
dhabi,	ধববই,	ঢাবি,	
totokshon,	ততক্ষণ,	ততক্ষন,	
phokskon,	ফক্সন,	ফক্সকন,	
surokarder,	সুরকর্ডের,	সুরকারদের,	
akbakye,	একবকেযে,	একবাক্যে,	
ingrejra,	ইংগ্রেরা,	ইংরেজরা,	
fastara,	ফাস্টার,	ফস্টার,	
phirth,	ফার্ট,	ফার্থ,	
shaluk,	শালুক,	শালুক,	
ranadip,	রানাদীপ,	রণদীপ,	
samosher,	সমশের,	সমশের,	
ganaporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
zeebonto,	জীবন্ত,	জীবন্ত,	
iuro,	ইউরো,	ইউরো,	
vittio,	ভিত্তিও,	ভিত্তিও,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
concert,	কনসার্ট,	কানসাট,	
horiddar,	হরিদ্যার,	হরিদ্বার,	
tigers,	টিগের্স,	টাইগার্স,	
reejideencee,	রেজিডেন্স,	রেসিডেন্স,	
olimpyc,	অ্যালিম্পিক,	অলিম্পিক,	
mojlishpoor,	মজলিশুপুর,	মজলিশপুর,	
rapto,	রপ্ত,	রপ্ত,	
bhartuky,	ভার্তুকে,	ভর্তুকি,	
fala,	ফলল,	পোলো,	
nebhate,	নেভাতে,	নেভাতে,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
utkhater,	উত্কটের,	উৎখাতের,	
anchalke,	অঞ্চলকে,	অঞ্চলকে,	
marmaara,	মার্মার,	মারমারা,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
torabgonj,	তোরাগঞ্জ,	তোরাবগঞ্জ,	
meghe,	মেঘে,	মেঘে,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
cheerkut,	চিরকুু,	চিরকুট,	
debdebi,	দেবদেবী,	দেবদেবী,	
ghamta,	ঘম্টা,	ঘোমটা,	
sukkha,	সূক্ষ্ম,	সুক্ষ্ম,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
shangkulaan,	সংকুলন,	সংকুলান,	
sotorkobhabe,	সতরকভাবে,	সতর্কভাবে,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
fixing,	ফেকিসিং,	ফিক্সিং,	
nabyota,	নব্যতা,	নাব্যতা,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
tookroti,	টুকরিতি,	টুকরোটি,	
saurce,	সার্ক,	সোর্স,	
dharabahikvabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
rajotta,	রাজত্তা,	রাজত্ব,	
dembakreeti,	দেম্বকৃতি,	ডিম্বাকৃতি,	
hola,	হোল,	হোল,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
sahapatheekey,	সহাপথিকে,	সহপাঠীকে,	
naitik,	নাইটিক,	নৈতিক,	
elaakati,	এলাকাটি,	এলাকাটি,	
ganohatyar,	গনহত্যার,	গণহত্যার,	
peengna,	পিংগা,	পিংনা,	
hajarer,	হাজারের,	হাজারের,	
bijepi,	বিজেপী,	বিজেপি,	
gabhaaskar,	গভাস্কর,	গাভাস্কার,	
chabir,	ছবির,	চাবির,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
abahan,	আবাহন,	আবাহন,	
odhit,	অধিত,	অধীত,	
sachetonbhabe,	সাকেতনভাবে,	সচেতনভাবে,	
horidware,	হরিদ্বরে,	হরিদ্বারে,	
jamkaalo,	জামকোলো,	জমকালো,	
messenger,	মেসেঞ্জের,	মেসেঞ্জার,	
venom,	ভেনম,	ভেনম,	
emergency,	এমেরেজেন্সি,	এমার্জেন্সি,	
poshchater,	পোশ্চাতের,	পশ্চাতের,	
farid,	ফররিড,	ফরিদ,	
sulfate,	সুলফাতে,	সালফেট,	
tirmiji,	তিরমিজী,	তিরমিজি,	
karlosa,	কার্লস,	কার্লোস,	
chittronattokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
nirupito,	নিরূপিত,	নিরূপিত,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
upobaser,	উপবাসের,	উপবাসের,	
starcer,	স্টার্কের,	স্টার্কের,	
suhasini,	সুহসিনী,	সুহাসিনী,	
neelabh,	নীলভ,	নীলাভ,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
chon,	চনন,	ছোঁ,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
haipar,	হাইপার,	হাইপার,	
corporation,	কর্পোরেশন,	করপোরেশন,	
qyapasula,	ক্যাপসুলা,	ক্যাপসুল,	
teteyer,	টেটের,	টেটের,	
stonaheenja,	স্তোনাহিন্য,	স্টোনহেঞ্জ,	
gosthike,	গোস্ঠিকে,	গোষ্ঠীকে,	
faltu,	ফল্টু,	ফালতু,	
gatirodh,	গতিরোধ,	গতিরোধ,	
baarbaadoj,	বার্বাডগ,	বার্বাডোজ,	
chedropothe,	ছেদ্রপথে,	ছিদ্রপথে,	
difinishian,	ডিফিনিশন,	ডেফিনেশন,	
komatei,	কমাতেই,	কমাতেই,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
dayana,	ডায়নন,	ডায়না,	
sheat,	শ্টেট,	সিট,	
heawy,	হেও,	হেভি,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
phutbolarder,	ফুটবলরদের,	ফুটবলারদের,	
holdin,	হলদিন,	হোল্ডিং,	
nagaland,	নগোলন্ড,	নাগাল্যান্ড,	
machsoho,	মাছসহ,	মাছসহ,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
qulim,	কুলিং,	কুলিং,	
asociatees,	অসোঅিয়েটস,	এসোসিয়েটস,	
koro,	কোরও,	করো,	
torkareer,	তরকারীর,	তরকারীর,	
talgaachh,	তালগাছ,	তালগাছ,	
everage,	এভররাজ,	এভারেজ,	
quota,	কোউট,	কোটা,	
jokkher,	যক্ষের,	যক্ষের,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
idipas,	এডিপাস,	ইডিপাস,	
balroom,	বালরুম,	বলরুম,	
nagarikderkey,	নাগারিকদেরকে,	নাগরিকদেরকে,	
ashonka,	আসঙ্কা,	আশংকা,	
hajat,	হাজাত,	হজত,	
rubeta,	রুবেটা,	রাবেতা,	
shkalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
solil,	সলীল,	সলিল,	
ghoomato,	ঘুমাত,	ঘুমাতো,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
pray,	প্রয়ে,	প্রায়,	
coshon,	কোষন,	চোষণ,	
eemeergeency,	এমেরেসিন্সি,	এমার্জেন্সি,	
samosto,	সমস্ত,	সমস্ত,	
pratijogira,	প্রতিযোগীতারা,	প্রতিযোগীরা,	
ancholei,	আঁচলেই,	অঞ্চলেই,	
sakshatkarer,	সাক্ষতৎকারের,	সাক্ষাত্কারের,	
faksa,	ফক্স,	ফক্স,	
sikh,	শিখ,	শিখ,	
suparharo,	সুপারোর,	সুপারহিরো,	
pyor,	প্যার,	পিওর,	
digri,	ডিগ্রী,	ডিগ্রি,	
fiksing,	ফিকশিং,	ফিক্সিং,	
janake,	জননকে,	জানাতে,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
rohosyo,	রহস্য,	রহস্য,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
dajjha,	দাজজা,	দাহ্য,	
