mukhya,	মূখ্য,	মুখ্য,	
jubokra,	যুবক্র,	যুবকরা,	
prai,	প্রাই,	প্রায়,	
musalmani,	মুসামম্নী,	মুসলমানই,	
chotogolpe,	চটটোগল্পে,	ছোটগল্পে,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
bhor,	ভর,	ভর,	
sangosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
murali,	মুরালি,	মুরলী,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
utkhat,	উৎখাট,	উত্খাত,	
neshhanasha,	নেশনাস,	নেশনস,	
bamni,	বামনী,	বামনী,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
goteerodh,	গতিরোধ,	গতিরোধ,	
kanflikt,	কাফালক্সিট,	কনফ্লিক্ট,	
overview,	অভারভভিয়া,	ওভারভিউ,	
aloteo,	আলোতেও,	আলোতেও,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
gondho,	গণ্ধ,	গন্ধ,	
elaakai,	এলাকাই,	এলাকাই,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
qraima,	ক্রাইম,	ক্রাইম,	
ganochin,	গানিচিন,	গণচীন,	
halloween,	হলোয়েন,	হ্যালোইন,	
depp,	ডিপ,	ডেপ,	
saarbhaare,	সার্বারে,	সার্ভারে,	
bairey,	বায়ে,	বাইরে,	
pooshteer,	পুষ্টির,	পুষ্টির,	
choopi,	চুপি,	চুপি,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
chalachchitro,	চালাচিত্র,	চলচ্চিত্র,	
bolatkar,	বলাতকার,	বলাৎকার,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
aamude,	আমুদে,	আমুদে,	
heriser,	হেরিজের,	হ্যারিসের,	
bamoni,	বামনী,	বামনী,	
koreem,	করিম,	করিম,	
zuboke,	যুবকে,	যুবকে,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
license,	লাইনেস,	লাইসেন্স,	
musharraf,	মুশাররফু,	মশাররফ,	
bheenasa,	ভেনাস,	ভেনাস,	
saya,	সয়,	সোয়া,	
parser,	পার্সের,	পার্শ্বের,	
shpreadshhiit,	স্প্রেশিদ,	স্প্রেডশীট,	
akten,	আকটেন,	অকটেন,	
peterkey,	প্যাটারে,	পিটারকে,	
firoza,	ফিরোজা,	ফিরোজা,	
nothivuktir,	নথিভক্তির,	নথিভুক্তির,	
prokalpatikey,	প্রকা্্িতিকে,	প্রকল্পটিকে,	
bhenicer,	ভেনিকের,	ভেনিসের,	
jaaygata,	জাগাতা,	জায়গাটা,	
rot,	রত,	রত,	
naitikatavodh,	নেতিকাভোধ,	নৈতিকতাবোধ,	
tecnokryat,	টেকনোক্রিয়াট,	টেকনোক্র্যাট,	
khappor,	খাপপোর,	খপ্পর,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
military,	মিলিটারি,	মিলিটারি,	
anchalgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
stanahenja,	স্টননেজ্ঞ,	স্টোনহেঞ্জ,	
yauth,	যথ,	ইয়ুথ,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
avatar,	আভাটার,	অবতার,	
tennise,	টেনিসে,	টেনিসে,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
elakashaho,	এলাকাশহ,	এলাকাসহ,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
jatok,	যাতক,	জাতক,	
shhepha,	সেফ,	শেফ,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
baman,	বামান,	বামন,	
laz,	লজজ,	লাজ,	
dhanche,	ঢাঁচে,	ধাঁচে,	
kanflict,	কাফালক্টিস,	কনফ্লিক্ট,	
turqi,	তার্কি,	তুর্কি,	
bo,	বো,	বু,	
adhattik,	আধাত্ত্বিক,	আধ্যাত্মিক,	
saoum,	সাউম,	সাওম,	
deejeejer,	ডিজিজের,	ডিজিজের,	
noubihar,	নৌবিহার,	নৌবিহার,	
baarbaadoj,	বার্বাড,	বার্বাডোজ,	
uporzon,	উপরজন,	উপার্জন,	
bibek,	বিবেক,	বিবেক,	
muchi,	মুচি,	মুচি,	
saatzoner,	সাতজনের,	সাতজনের,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
ekar,	একার,	একার,	
samsher,	সমশের,	সমশের,	
injil,	এঞ্জেল,	ইঞ্জিল,	
korlei,	করলেই,	করলেই,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
qaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
crete,	ক্রিটে,	ক্রীট,	
madhobi,	মধববী,	মাধবীর,	
laagche,	লাগেছে,	লাগছে,	
hamasa,	হামাস,	হোমস,	
groowth,	গ্রুথ,	গ্রোথ,	
olympiker,	অলিম্পাইকার,	অলিম্পিকের,	
uindo,	উইন্ড,	উইন্ডো,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
advut,	অ্যাডবিউট,	অদ্ভুত,	
idipas,	এদিপাস,	ইডিপাস,	
crucer,	ক্রারাসের,	ক্রুশের,	
oncholgoolote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
obhidhaner,	অভিধানের,	অভিধানের,	
bhejano,	ভেজানো,	ভেজানো,	
bohorompurer,	বহরামপুর,	বহরমপুরের,	
pleeta,	প্লেট,	প্লেট,	
pillai,	পিল্লাই,	পিল্লাই,	
overveu,	অভারভেয়া,	ওভারভিউ,	
dakten,	ডাকতেন,	ডাকতেন,	
metroopoolitan,	মেট্রোপুলিটন,	মেট্রোপলিটন,	
nirgaman,	নির্গমান,	নির্গমন,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
mozart,	মজার্ট,	মোজার্ট,	
bonobhumi,	বনভূমি,	বনভূমি,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
atok,	অটক,	আটক,	
ajimpur,	আজিমপুর,	আজিমপুর,	
rotheen,	রথিন,	রথীন,	
dimbakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
samle,	সমমেল,	সামলে,	
meghkey,	মেঘকে,	মেঘকে,	
vagna,	ভগ্ন,	ভগ্ন,	
anish,	অনিশ,	আনিস,	
ganohatyake,	গণহা্যাতকে,	গণহত্যাকে,	
abdoor,	আব্দুর,	আবদুর,	
grambaashio,	গ্রামবাসিও,	গ্রামবাসীও,	
kodguli,	কোগগুলি,	কোডগুলি,	
siddhantao,	সিদ্ধান্ত,	সিদ্ধান্তও,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
azim,	আজিম,	আজিম,	
nortokike,	নর্তক্তিকে,	নর্তকীকে,	
torkareer,	তরকারীর,	তরকারীর,	
shipa,	সিপ,	শিপ,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
haila,	হইল,	হইল,	
karka,	কর্ক,	কার্ক,	
devolopar,	ডেভলপার,	ডেভলপার,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
alexanderke,	আলেকাস্ডানকের,	আলেকজান্ডারকে,	
setike,	সেটিকে,	সেটিকে,	
nyaper,	ম্যাপের,	ন্যাপের,	
konruup,	কন্রপুপ,	কোনরূপ,	
qaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
siddhantokey,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
sambhabonao,	সম্ভাবনা,	সম্ভবনাও,	
ghantiti,	ঘন্টিটি,	ঘাঁটিটি,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
kathmaandu,	কাঠমান্দু,	কাঠমান্ডু,	
madeling,	ম্যাডেলিং,	মডেলিং,	
adbhut,	অ্যাডবিট,	অদ্ভুত,	
moshion,	মোশিয়ন,	মোশন,	
shefard,	সেফার্ড,	শেফার্ড,	
orbit,	অর্বিত,	অরবিট,	
grambashio,	গ্রামবাসিও,	গ্রামবাসীও,	
rena,	রেন,	রেনো,	
ghotol,	ঘটল,	ঘটল,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
nirmolotaa,	নির্মোলতা,	নির্মলতা,	
agora,	আগরা,	আগোরা,	
nimitto,	নিমিত্য,	নিমিত্ত,	
prothati,	প্রথাতি,	প্রথাটি,	
pack,	প্যাক,	প্ল্যাক,	
koontee,	কোনটি,	কুন্তী,	
sambhabanaow,	সম্ভাবনা,	সম্ভবনাও,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
aameenaar,	আমিনার,	আমিনার,	
armshtronj,	আর্মর্ট্রোং,	আর্মস্ট্রং,	
solil,	সলিল,	সলিল,	
aalaaoler,	আলালের,	আলাওলের,	
sorting,	শর্টিং,	সর্টিং,	
carymb,	ক্যারিম্ব,	করিম,	
shhikara,	শিকার,	শিকার,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
aansareer,	আনসারির,	আনসারীর,	
chopal,	চপাল,	চপল,	
gaandas,	গান্দাস,	জ্ঞানদাস,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
kodom,	কদম,	কদম,	
madhukori,	মধুকরী,	মাধুকরী,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
epiela,	এপিল,	আইপিএল,	
charger,	চর্যার,	চার্জের,	
samavesh,	সমবেশ,	সমাবেশ,	
porikhar,	পরীক্ষার,	পরিখার,	
jothon,	যথন,	যথন,	
oswasteekor,	অস্বাস্তিকির,	অস্বস্তিকর,	
hajeerhatt,	হজিরহাট,	হাজিরহাট,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
bolkarok,	বলকারক,	বলকারক,	
sofier,	সফির,	সোফির,	
tennish,	টেনিস,	টেনিস,	
thraugh,	থ্রাঘ,	থ্রু,	
seema,	সেম,	সীমা,	
jackshon,	য্যাস্নন,	জ্যাকসন,	
fase,	ফাজে,	ফাঁসে,	
hooldim,	হোলডিং,	হোল্ডিং,	
edhdaning,	এডডানিং,	ইদানিং,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
parbatya,	পার্বত্ব,	পার্বত্য,	
dorun,	দরুণ,	দরুণ,	
jerusaleme,	জেরুসামিমেল,	জেরুসালেমে,	
nodimatrik,	নদীমাত্রিক,	নদীমাতৃক,	
ponera,	পনেরা,	পনের,	
neerbaho,	নির্বাহ,	নির্বাহ,	
stationey,	স্টেশনে,	ষ্টেশনে,	
sidiul,	সিডিউল,	শিডিউল,	
proo,	প্রো,	প্রো,	
mitrao,	মিট্রো,	মিত্রও,	
hole,	হলে,	হোল,	
engineerin,	এঞ্জিনির,	ইঞ্জিনিয়ারিং,	
durgatsabe,	দুর্গত্ববে,	দুর্গোৎসবে,	
prakar,	প্রকার,	প্রকার,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
inamila,	ইনমিলা,	এনামেল,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
varpur,	ভারপুর,	ভরপুর,	
prodiper,	প্রদীপের,	প্রদীপের,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
imarjinsi,	এমরাজিন্সি,	এমার্জেন্সি,	
titlee,	টিটলি,	টাইটেল,	
chalachchitratike,	চলাচিত্রিতিকে,	চলচ্চিত্রটিকে,	
alpokichudin,	আল্পকুচিদিন,	অল্পকিছুদিন,	
oporishodhito,	অপরিসোধিত,	অপরিশোধিত,	
joneser,	জননেসের,	জোন্সের,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
afzal,	আফজাল,	আফজল,	
veenicee,	ভেনিকে,	ভেনিস,	
ancholtee,	অঞযানচটি,	অঞ্চলটি,	
maadla,	মাডলা,	মাদলা,	
panchbar,	পাঁচবার,	পাঁচবার,	
gazipur,	গাজিপুর,	গাজিপুর,	
jeshh,	জেশ,	জেস,	
dayna,	ডাইন,	ডায়না,	
shapholler,	সফলের,	সাফল্যের,	
shelim,	সেলিং,	সেলিম,	
batsmani,	বাৎসমানি,	ব্যাটসম্যানই,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
satarkatar,	সতরর্াটার,	সতর্কতার,	
postac,	পোস্টেস,	পোস্টকে,	
mozlishpoor,	মজলিসপুর,	মজলিশপুর,	
mononiitoder,	মনোনিতদের,	মনোনীতদের,	
shkirt,	স্কার্ট,	স্কার্ট,	
borana,	বরান,	বোরন,	
tophaat,	তফাট,	তফাৎ,	
bidghootey,	বিদ্ঘুতে,	বিদঘুটে,	
udar,	উদার,	উদর,	
muphti,	মুফটি,	মুফতি,	
satyaky,	সত্যাকি,	সাত্যকি,	
shuperheiro,	সুপারেরও,	সুপারহিরো,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
lampot,	ল্যামপপট,	লম্পট,	
notti,	নটটি,	নোটটি,	
toufik,	তৌফিক,	তৌফিক,	
dajhyo,	দা্য,	দাহ্য,	
kanasarabhesana,	কনসাবরেশন,	কনসারভেশন,	
aazaan,	আজান,	আজান,	
pathkramer,	পাঠকরামের,	পাঠক্রমের,	
metropolitan,	মেট্রোপোটিন,	মেট্রোপলিটন,	
kakhnoba,	কখ্ণব,	কখনওবা,	
orgho,	অর্ঘ,	অর্ঘ্য,	
bimata,	বিমত,	বিমাতা,	
ahong,	আহং,	অহং,	
toufiq,	তৌফিক,	তৌফিক,	
bocchon,	বচ্ছন,	বচ্চন,	
jerujalem,	জেরুজামেল,	জেরুজালেম,	
basaate,	বাসাতে,	বাসাতে,	
khanonkaj,	খননকাচ,	খননকাজ,	
taigara,	টাইজার,	টাইগার,	
rajballav,	রাজবালবল,	রাজবল্লভ,	
valobasar,	ভালোবাসার,	ভালোবাসার,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
iyaqa,	ইয়েক,	ইয়াক,	
janoikaa,	জননকা,	জনৈকা,	
lyaata,	ল্যাট,	ল্যাটা,	
drishyogulo,	দৃষ্যুগুলো,	দৃশ্যগুলো,	
gujaber,	গুজবের,	গুজবের,	
ragkey,	রাজকে,	রাগকে,	
kailas,	কালাস,	কৈলাস,	
patigonit,	পাতিগণিত,	পাটিগণিত,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
dor,	ডর,	দোর,	
kunty,	কান্টি,	কুন্তী,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
vorkendra,	ওর্কেন্দ্র,	ভরকেন্দ্র,	
shringe,	স্রেঞ্জ,	শৃঙ্গে,	
shatoke,	শতকে,	শতকে,	
shochindro,	শচীন্দ্র,	শচীন্দ্র,	
ekirokom,	একররকম,	একইরকম,	
kompekt,	কমপেক্ট,	কমপ্যাক্ট,	
sastra,	সাস্ত্র,	শাস্ত্র,	
kaansaater,	কানসাতের,	কানসাটের,	
jerusalem,	জেরুসামাম,	জেরুসালেম,	
krita,	কৃত,	ক্রীট,	
mukhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
mett,	মেট,	ম্যাট,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
falkser,	ফ্লকের,	ফক্সের,	
spancer,	স্পান্সের,	স্পেন্সার,	
conservetion,	কনসার্টেশন,	কনসারভেশন,	
pleney,	প্লেনে,	প্লেনে,	
awatar,	আওযাাার,	অবতার,	
jandrel,	জন্ড্রেল,	জাঁদরেল,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
tookrokey,	তুকরাকে,	টুকরোকে,	
gore,	গরে,	গোর,	
kulo,	কুলো,	কুলো,	
krechi,	ক্রেচি,	করেছি,	
chorchito,	চর্চিত,	চর্চিত,	
boner,	বনের,	বনের,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
drissogoolote,	দৃর্যুগোলোতে,	দৃশ্যগুলোতে,	
keyboarder,	কেববার্ডের,	কীবোর্ডের,	
rupert,	রুপার্ট,	রুপার্ট,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
pathanatak,	পাঠনাতক,	পথনাটক,	
armastram,	আর্মস্ত্রাম,	আর্মস্ট্রং,	
skalastika,	স্কোলাস্টিক,	স্কলাস্টিক,	
damonmoolok,	দমননিূলক,	দমনমূলক,	
bhalta,	ভল্টা,	ভল্ট,	
shhyutara,	স্টুয়ার,	শ্যুটার,	
roi,	রই,	রায়,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
pooroheetder,	পুরিহতদদের,	পুরোহিতদের,	
duckten,	ডাকতেন,	ডাকতেন,	
sharifer,	শরিফের,	শরিফের,	
zoneser,	জননেসের,	জোন্সের,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
reshidence,	রেসিডেন্সে,	রেসিডেন্স,	
asoociates,	অসযাসিসিয়েটস,	এসোসিয়েটস,	
modhumotii,	মধুমতি,	মধুমতী,	
veenish,	ভেনিস,	ভেনিস,	
ganoparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
anchalsamuha,	অঞ্চুসমূহ,	অঞ্চলসমূহ,	
ghatleo,	ঘটটলও,	ঘটলেও,	
nadike,	নাদিকে,	নদীকে,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
saalsa,	সালস,	সালসা,	
adhatik,	আধাতিক,	আধ্যাত্মিক,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
hepatitis,	হেপটাটিস,	হেপাটাইটিস,	
banduk,	বন্দুক,	বন্দুক,	
bhabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
mojlishpoor,	মজলিসপুর,	মজলিশপুর,	
cheph,	চেফ,	শেফ,	
muhmmoder,	মুম্মদের,	মুহম্মদের,	
jansa,	জন্স,	জোন্স,	
daktikite,	দাকতিকিতে,	ডাকটিকিটে,	
shalsa,	সলস,	সালসা,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
credit,	ক্রেডিড,	ক্রেডিট,	
thatchar,	থাচার,	থ্যাচার,	
porizon,	পরিজন,	পরিজন,	
elaakaasoho,	এলাকাশোহ,	এলাকাসহ,	
randeep,	রন্ডীপ,	রণদীপ,	
faj,	ফজজ,	ফাজ,	
hobu,	হবু,	হবু,	
obie,	অবিই,	ওবিই,	
jeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
mohajot,	মহাজত,	মহাজোট,	
loukeek,	লৌকিক,	লৌকিক,	
ardasho,	আর্ডস,	আর্দশ,	
oviyojan,	অভিযোজন,	অভিযোজন,	
dadar,	দাদা,	দাদার,	
odhit,	অধিত,	অধীত,	
nojod,	নজযদ,	নজদ,	
semai,	সেমাই,	সেমাই,	
shomser,	শমসের,	সমশের,	
udvabani,	উদ্ভাবানী,	উদ্ভাবনী,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
pacchen,	পাচ্ছেন,	পাচ্ছেন,	
nadnadir,	না্যদার,	নদনদীর,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
votarer,	ভোটরের,	ভোটারের,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
brek,	ব্রেক,	ব্রেক,	
agrodut,	অগ্রদুত,	অগ্রদূত,	
raiter,	রাইটের,	রাইটের,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
porizoner,	পরিজনের,	পরিজনের,	
tigers,	টাইজার্স,	টাইগার্স,	
ingrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
dhikrita,	ঢিকৃত,	ধিকৃত,	
kormoke,	কর্মকে,	কর্মকে,	
modelder,	মডদলেের,	মডেলদের,	
shoreef,	শরীফ,	শরিফ,	
ikbaaler,	একবালের,	ইকবালের,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
neemeetto,	নেমিত্য,	নিমিত্ত,	
khorshed,	খর্ষেদ,	খোরশেদ,	
nirau,	নিরাও,	নির,	
gripe,	গ্রিপে,	গ্রিপ,	
motion,	মতিশন,	মোশন,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
songastha,	সংগঠ্ঠ,	সংস্থা,	
bhugol,	ভুগোল,	ভূগোল,	
rabeta,	রবেট,	রাবেতা,	
khodeza,	খোদেজা,	খোদেজা,	
shaarther,	শার্থের,	স্বার্থের,	
pader,	পদের,	প্যাডের,	
aarcia,	আর্কিয়া,	আরসিএ,	
ghumata,	ঘুমটা,	ঘুমাতো,	
probhur,	প্রভূর,	প্রভুর,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
jatee,	জাতি,	যাতি,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
pustir,	পুষ্টির,	পুষ্টির,	
anucheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
procharona,	প্রচারনা,	প্রচারণা,	
sovanetree,	সভানেত্রী,	সভানেত্রী,	
direktareta,	ডিরেক্টারেট,	ডিরেক্টরেট,	
hames,	হামেস,	হোমস,	
vorkendro,	ওর্কেন্দ্র,	ভরকেন্দ্র,	
duple,	ডাপলে,	ডুপ্লে,	
pari,	প্যারি,	পেরি,	
vageroi,	ভাগেরই,	ভাগেরই,	
kloud,	ক্লাউড,	ক্লাউড,	
rajtantroke,	রাজনতত্র্রকে,	রাজতন্ত্রকে,	
injiniyarsha,	ইনজেনিয়ার্স,	ইঞ্জিনিয়ার্স,	
enamela,	ইনামেলা,	এনামেল,	
torangunj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
abadamaner,	অবদামনের,	অবদমনের,	
daaradaa,	ডারাডা,	দারদা,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
bane,	বানে,	বনে,	
vabna,	ভবনে,	ভাবনা,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
hijriite,	হিজরিতে,	হিজরীতে,	
doshider,	দশীদের,	দোষীদের,	
chomoski,	চমমক্ষী,	চমস্কি,	
obosane,	অবসনে,	অবসানে,	
neutrinoo,	নিউট্রুন,	নিউট্রিনো,	
lagto,	লাগত,	লাগতো,	
deembakreeti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
qaroo,	কারু,	কারো,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
oshovyo,	অসভ্য,	অসভ্য,	
potkaa,	পতকা,	পটকা,	
abotar,	আবাটার,	অবতার,	
balokarok,	বালাকরক,	বলকারক,	
shilpajata,	শিল্পজাত,	শিল্পজাত,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
cholochchitreeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
buth,	বুথ,	বুথ,	
ovishangsan,	অভিশংসন,	অভিশংসন,	
firoz,	ফিরয়,	ফিরোজ,	
arifin,	আরিফিন,	আরিফিন,	
ghoomato,	ঘুমোত,	ঘুমাতো,	
protishtan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
aamudey,	আমুদে,	আমুদে,	
soasage,	সুসাগে,	সসেজ,	
zonite,	যোনিতে,	যোনীতে,	
ssumita,	সুমিত,	সুমিতা,	
shcholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
itastato,	ইতাস্টত,	ইতস্ততঃ,	
tikto,	তীক্ত,	তিক্ত,	
armstrong,	আর্মস্টরং,	আর্মস্ট্রং,	
dighol,	দিঘল,	দীঘল,	
yankee,	য্যানকে,	ইয়াংকি,	
noitikatar,	নৈতিকাটার,	নৈতিকতার,	
shikhra,	শিখরা,	শিখরা,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
ghotleo,	ঘটলেও,	ঘটলেও,	
bhangchoor,	ভাঙ্চুর,	ভাংচুর,	
ooipoka,	উইপেকো,	উইপোকা,	
jacksonke,	যাক্ষণকে,	জ্যাকসনকে,	
rijoor,	রিজুর,	রিজুর,	
falashrutiti,	ফলাস্রুটিটি,	ফলশ্রুতি,	
otiiteo,	অতিতেও,	অতীতেও,	
atak,	আটক,	আটক,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
baaik,	বাইক,	বাইক,	
hunayin,	হানাইন,	হুনাইন,	
cheerokumari,	চিরকমাচারী,	চিরকুমারী,	
sobrokomer,	সববরকমের,	সবরকমের,	
narider,	নারীদের,	নারীদের,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
governerer,	গভর্নরের,	গভর্ণরের,	
jahara,	জাহরা,	যাহরা,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
sima,	সিম,	সীমা,	
engrejra,	ইংরেজ্রা,	ইংরেজরা,	
chirkut,	চির্কুট,	চিরকুট,	
troop,	ট্রুপ,	ট্রুপ,	
letara,	লেটার,	লেটার,	
colahol,	চলালহ,	কোলাহল,	
folo,	ফলো,	পোলো,	
jokkho,	যক্ষ্ম,	যক্ষ,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
polashir,	পলাশির,	পলাশীর,	
gajipur,	গাজিপুর,	গাজীপুর,	
hert,	হার্ট,	হার্ট,	
gazipore,	গাজীপুরে,	গাজিপুর,	
plato,	প্লত,	প্লেটো,	
turqamena,	তুর্কমেন,	তুর্কমেন,	
somraat,	সমমার,	সম্রাট,	
addhatikotar,	অধ্যািিকতার,	আধ্যাত্মিকতার,	
thawre,	থাউর,	থরে,	
ekshoti,	একশটি,	একশোটি,	
dhauto,	ধুত,	ধৌত,	
kachhakaachhi,	কাচাচাছি,	কাছাকাছি,	
sikha,	শিখা,	শিখ,	
plata,	প্লট,	প্লেটো,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
balbo,	বলবো,	বলবো,	
thore,	থরে,	থরে,	
dhaleshwari,	ঢেলেশ্বরী,	ধলেশ্বরী,	
dipei,	ডিপেই,	দ্বীপেই,	
aagom,	আগম,	আগম,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
daada,	দাদা,	দাদা,	
zuktorastroshoho,	যুক্তরাস্তুরাষ্,	যুক্তরাষ্ট্রসহ,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
seet,	সেট,	সিট,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
manhputa,	মাহপুনিত,	মনঃপুত,	
lendol,	লেন্ডোল,	লেন্ডল,	
sosar,	সসার,	সকার,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
uthhe,	উঠে,	উঠে,	
satarkota,	সতারকতা,	সতর্কতা,	
hiranee,	হিরণী,	হিরানি,	
nachiketa,	নাচিকেত,	নচিকেতা,	
pushteer,	পুষ্টির,	পুষ্টির,	
roza,	রোজা,	রোযা,	
suparichito,	সুপারিিি্চিত,	সুপরিচিত,	
mitra,	মিটারা,	মিত্র,	
thyachar,	থ্যাচার,	থ্যাচার,	
shaapholler,	সাফলের,	সাফল্যের,	
chakti,	চক্তি,	চাকতি,	
shektore,	সেক্তরে,	সেক্টরে,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
bahubar,	বাহুবর,	বহুবার,	
augusteen,	অগাস্টান,	অগাস্টিন,	
lag,	লাগ,	লগ,	
tofat,	তফাট,	তফাৎ,	
funding,	ফান্ডিং,	ফান্ডিং,	
restuarant,	রেস্টুরাঁ্ট,	রেষ্টুরেন্ট,	
pachok,	পাচক,	পাচক,	
karmopantha,	কর্মপন্থা,	কর্মপন্থা,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
