vushi,	ভূষি,	ভুষি,	
prodiiper,	প্রদিপের,	প্রদীপের,	
dip,	ডিপ,	দীপ,	
godamjat,	গদমাযট,	গুদামজাত,	
bhaider,	ভাইদের,	ভাইদের,	
dosheeder,	দশীদের,	দোষীদের,	
asavya,	অসভ্য,	অসভ্য,	
chirontan,	চিরন্তন,	চিরন্তন,	
jyestha,	জ্যেষ্ঠ্য,	জ্যেষ্ঠা,	
dhormee,	ধর্মি,	ধর্মী,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
phanda,	ফান্ড,	ফান্ড,	
mulgato,	মুলগত,	মূলগত,	
pragresha,	প্রাগ্রেস,	প্রগ্রেস,	
byakkhabyatito,	ব্যক্ষব্যাতিত,	ব্যাখ্যাতীত,	
tarunke,	তরুণকে,	তরুণকে,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
gabhaskaar,	গভাস্কার,	গাভাস্কার,	
ashe,	আশে,	আসে,	
saainyo,	সৈন্য,	সৈন্য,	
dalee,	ডালি,	ডালে,	
arekdol,	অরেকদল,	আরেকদল,	
nathivuktir,	নথিভুক্তির,	নথিভুক্তির,	
byatikromdhormi,	ব্যাতিক্রমর্ধী,	ব্যতিক্রমধর্মী,	
ipl,	আইপল,	আইপিএল,	
lala,	লালা,	লালা,	
dhalur,	ঢালুর,	ঢালুর,	
kormi,	কর্মি,	কর্মই,	
recondition,	রেকন্ডিনিশন,	রিকন্ডিশন,	
sachetan,	সচেতন,	সচেতন,	
spashtatai,	স্পষ্টতাই,	স্পষ্টতই,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
gosti,	গস্তি,	গোষ্ঠী,	
dacope,	ডাকপে,	দাকোপ,	
satthikata,	সাথিকতা,	সঠিকতা,	
jonopoth,	জনপথ,	জনপথ,	
elaakaatike,	এলাকাটিকে,	এলাকাটিকে,	
bongshoke,	বংশকে,	বংশকে,	
everage,	এভারেজ,	এভারেজ,	
lokeson,	লোকেশন,	লোকেশন,	
diiptii,	দীপ্তি,	ডেপুটি,	
spreadsheet,	স্প্রেসািট,	স্প্রেডশীট,	
nepchooner,	নেপচ্যের,	নেপচুনের,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
provritir,	প্রভৃতির,	প্রভৃতির,	
bojhaao,	বোঝাও,	বোঝাও,	
upobaasher,	উপবাসের,	উপবাসের,	
asiatic,	অ্যাজিটিক,	এশিয়াটিক,	
floodlighter,	ফ্লুললাইটের,	ফ্লাডলাইটের,	
asantos,	অশান্তস,	অসন্তোষ,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
korechi,	করেছি,	করেছি,	
hamburger,	হাম্বার্গের,	হামবুর্গের,	
lagchhe,	লাগছে,	লাগছে,	
metrapalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
udbhabani,	উদ্ভাবনী,	উদ্ভাবনী,	
vaticaner,	ভটিকানের,	ভ্যাটিকানের,	
saafi,	সাফী,	সাফি,	
path,	পাঠ,	পাথ,	
pra,	প্রা,	প্রো,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
dadader,	দাদাদের,	দাদাদের,	
udbodhane,	উদ্ধবানে,	উদ্বোধনে,	
shaahaabaah,	সাহাবা,	সাহাবাহ,	
lyataa,	ল্যাট,	ল্যাটা,	
mohajote,	মহাজতে,	মহাজোট,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
gore,	গরে,	গোর,	
jubokshoho,	যুবক্ষহ,	যুবকসহ,	
jeten,	যেটেন,	যেতেন,	
baataree,	বাটারি,	ব্যাটারী,	
gaafiloti,	গাফিলাটি,	গাফিলতি,	
atiteo,	অতীতেও,	অতীতেও,	
nodiike,	নদীকে,	নদীকে,	
bea,	বিএ,	বি,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
bhenise,	ভেনিসে,	ভেনিসে,	
superhera,	সুপেরহারা,	সুপারহিরো,	
uposthitir,	উপস্থিটির,	উপস্থিতির,	
butha,	বুঁথ,	বুথ,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
asantosh,	অশান্তস,	অসন্তোষ,	
goteerodh,	গতিরোধ,	গতিরোধ,	
brekthrough,	ব্রেক্রুথ,	ব্রেকথ্রু,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
bhenus,	ভেনাস,	ভেনাস,	
shudhui,	শুধুই,	শুধুই,	
machhe,	মাছে,	মাছে,	
batikromshali,	বাতিক্রমশালী,	ব্যতিক্রমধর্মী,	
thelyanda,	থেল্যান্ড,	থাইল্যান্ড,	
shpreadshhiit,	স্প্রেজািট,	স্প্রেডশীট,	
omarjeeto,	অমাজ্তিত,	অমার্জিত,	
kalengga,	কলেঙ্গ,	কালেঙ্গা,	
holdin,	হলদিন,	হোল্ডিং,	
janes,	জানস,	জোন্স,	
ajeemke,	আজিমকে,	আজিমকে,	
swalpo,	স্বল্প,	স্বল্প,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
aaeereshe,	আইরেশে,	আইরেসে,	
grambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
bocchon,	বচ্চন,	বচ্চন,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
bhalta,	ভল্ট,	ভল্ট,	
taatey,	টাটে,	তাতে,	
madola,	মাদলা,	মাদলা,	
jeten,	যেটেন,	জেতেন,	
chiroharit,	চিরহারিত,	চিরহরিৎ,	
atok,	অতোক,	আটক,	
ghatke,	ঘটকে,	ঘাটকে,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
marier,	মেরির,	ম্যারির,	
guzober,	গুজবের,	গুজবের,	
hyper,	হাইপার,	হাইপার,	
horippur,	হরিপুর,	হরিপুর,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
netherlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
heelser,	হেলসের,	হিলসের,	
bidrohiderke,	বিদ্রোহীদেরকে,	বিদ্রোহীদেরকে,	
dweepgoolo,	দ্বীপুলো,	দ্বীপগুলো,	
milton,	মিল্টন,	মিলটন,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
damone,	ডামে,	দমনে,	
purbancoler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
olympik,	অলিম্পিক,	অলিম্পিক,	
sofie,	সোফি,	সোফি,	
narikei,	নারীকেই,	নারীকেই,	
kamola,	কামালা,	কামলা,	
shommotir,	সম্মতির,	সম্মতির,	
dinesh,	ডাইনেস,	দীনেশ,	
jaunatar,	যৌনতার,	যৌনতার,	
bopon,	বোপন,	বপন,	
sahocorrze,	সহকর্যে,	সাহচর্যে,	
sbaajan,	স্বাজন,	স্বজন,	
cheerota,	চিরতা,	চিরতা,	
udbodhoner,	উদ্ধবোধনের,	উদ্বোধনের,	
chutite,	চুটিতে,	ছুটিতে,	
ovarview,	ওভার্ভি,	ওভারভিউ,	
segular,	সেগুলার,	সেগুলোর,	
embaed,	এমএমড,	এম্বেড,	
totokhon,	ততক্ষণ,	ততক্ষন,	
banijyikvittey,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
saarbhaarer,	সারভারের,	সার্ভারের,	
adwanced,	অ্যাডভায়েন্স,	অ্যাডভান্সড,	
aashok,	আশোক,	আশোক,	
sharifpur,	শরীপুর,	শরিফপুর,	
mukhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
musharraf,	মুশাররফ,	মশাররফ,	
mane,	মান,	মানে,	
dola,	ডলা,	দলা,	
bu,	বু,	বু,	
janate,	জানাতে,	জানাতে,	
haphej,	হাফেজ,	হাফেয,	
nothivooktir,	নথিভূক্তির,	নথিভুক্তির,	
krantikale,	ক্রা্তিকালে,	ক্রান্তিকালে,	
chutir,	চুটির,	ছুটির,	
meghacchonno,	মেঘাচ্ছন্য,	মেঘাচ্ছন্ন,	
dap,	ডাপ,	ড্যাপ,	
sahozlabhbhotar,	সহজ্লভাতার,	সহজলভ্যতার,	
reefleex,	রেইফেল্স,	রিফ্লেক্স,	
elakaao,	এলাকাও,	এলাকাও,	
vogini,	ভগিনি,	ভগিনী,	
hariner,	হরণির,	হরিণের,	
choudhooreeder,	চৌধুদীরের,	চৌধুরীদের,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
olimpicer,	অলিম্পিসের,	অলিম্পিকের,	
nicqel,	নিক্যেল,	নিকেল,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
prakalpogulor,	প্রকালপুলোর,	প্রকল্পগুলোর,	
armeniyana,	অর্মেনিয়ান,	আর্মেনিয়ান,	
ghensha,	ঘেন্সা,	ঘেঁষা,	
tecno,	টেকনো,	টেকনো,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
murli,	মার্লি,	মুরলী,	
dunkan,	দুনকান,	ডানকান,	
liceensing,	লাইন্সিং,	লাইসেন্সিং,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
dorgaaho,	দরগাহ,	দরগাহ,	
phirtee,	ফির্টি,	ফিরতি,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
hosain,	হোসেন,	হোসেইন,	
bordhitangso,	বর্ধিতংস,	বর্ধিতাংশ,	
canal,	কানাল,	ক্যানেল,	
swastir,	স্বস্তির,	স্বস্তির,	
bordhitangsho,	বর্ধিতংস,	বর্ধিতাংশ,	
jwor,	জ্বর,	জ্বর,	
maudelke,	মডউলেে,	মডেলকে,	
tata,	টোটা,	তাতা,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
ceramics,	ক্রামিক্স,	সিরামিকস,	
teyt,	টেট,	টেট,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
chhidropothe,	চিদ্রোপ্থে,	ছিদ্রপথে,	
ajijoor,	আজিজুর,	আজিজুর,	
siramiqs,	সিরামিক্স,	সিরামিকস,	
shlok,	শ্লোক,	শ্লোক,	
prokalpatikey,	প্রকল্পটিকে,	প্রকল্পটিকে,	
jaistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
lutheeran,	লুথিরেন,	লুথেরান,	
harysher,	হররিশের,	হ্যারিসের,	
logicer,	লোগিসের,	লজিকের,	
osamorik,	অসামরিক,	অসামরিক,	
faltir,	ফলটির,	ফলটির,	
gajetted,	গেজেটেড,	গেজেটেড,	
thailandsaho,	ঠাইন্দসা,	থাইল্যান্ডসহ,	
letter,	ল্যাটার,	লেটার,	
udbodhone,	উদ্ধবধনে,	উদ্বোধনে,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
vabotarini,	ভববারিনী,	ভবতারিণী,	
shikshakbrindo,	শিক্ষাবিন্দ,	শিক্ষকবৃন্দ,	
anchaltite,	অঞ্চলিতে,	অঞ্চলটিতে,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
maddhukkori,	মধ্যুক্তরী,	মাধুকরী,	
ganonatyo,	গণনাত্য,	গণনাট্য,	
manhputo,	মানপুট,	মনঃপুত,	
plack,	প্ল্যাক,	প্ল্যাক,	
brindaa,	ব্রিন্ড,	বৃন্দা,	
chhatogalper,	ছোটোগল্পের,	ছোটগল্পের,	
mojdur,	মজদুর,	মজদুর,	
utsahamulok,	উৎসাসমূলক,	উৎসাহমূলক,	
maudelder,	মডউলেডের,	মডেলদের,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
ssumita,	সুমিতা,	সুমিতা,	
gemske,	গেমসসকে,	জেমসকে,	
shekender,	সেকেন্ডের,	সেকেন্ডের,	
sqarta,	স্কার্ট,	স্কার্ট,	
riphleqsa,	রাইফেল্স,	রিফ্লেক্স,	
torunra,	তরুণরা,	তরুণরা,	
larson,	লার্সন,	লারসন,	
onurbor,	অনুরবর,	অনুর্বর,	
sbatantrota,	স্বত্ত্রতা,	স্বতন্ত্রতা,	
nevatey,	নেভাতে,	নেভাতে,	
uposhthit,	উপস্থিত,	উপস্থিত,	
qibord,	কিবর্ড,	কীবোর্ড,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
karmake,	কর্মকে,	কর্মকে,	
food,	ফুড,	ফুড,	
grantho,	গ্রন্থ,	গ্রন্থ,	
kanda,	কান্ড,	কাণ্ড,	
jeeni,	জিনি,	যিনি,	
atmabishvashi,	আত্মশ্বাসী,	আত্মবিশ্বাসী,	
lazika,	লাজিক,	লজিক,	
doover,	ডূভের,	ডোভার,	
joruri,	জরুরি,	জরূরী,	
raeets,	রেটস,	রাইটস,	
spreeadshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
basaate,	বাসাতে,	বাসাতে,	
badhadan,	বাধাদান,	বাধাদান,	
arjora,	অর্জারা,	আর্যরা,	
koda,	কোড,	কোডা,	
ajijer,	আজিজের,	আজিজের,	
gejetade,	গেজেটাদে,	গেজেটেড,	
baasate,	বাসাতে,	বাসাতে,	
tusho,	টুস,	তুসো,	
liseens,	লিসেন্স,	লাইসেন্স,	
boopon,	বুপণ,	বপন,	
santa,	সা্ত,	স্যান্টা,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
perry,	পেযারি,	পেরি,	
parkim,	পার্কিং,	পার্কিং,	
mail,	মেল,	মাইল,	
karmosansthaner,	কর্মসনস্থানের,	কর্মসংস্থানের,	
ispreedsheet,	এস্পেরসেট,	স্প্রেডশীট,	
porbotmala,	পর্বত্মলা,	পর্বতমালা,	
oncoleo,	অঙ্কলেও,	অঞ্চলেও,	
developer,	ডেভেলপার,	ডেভলপার,	
bibek,	বিবেক,	বিবেক,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
kode,	কোডে,	কোডে,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
vvejaano,	ভেজানো,	ভেজানো,	
koonti,	কোন্টি,	কুন্তী,	
abikol,	অবিক্ল,	অবিকল,	
charbon,	চার্বন,	চর্বন,	
billah,	বিল্লাহ,	বিল্লাহ,	
vitti,	ভিটি,	ভিত্তিই,	
manonitoder,	মনোনিতদের,	মনোনীতদের,	
sphincter,	সাইন্টের,	স্ফিংটার,	
jonomukhi,	জনমুখী,	জনমুখী,	
subir,	সুবীর,	সুবীর,	
gonoporeebohon,	গণপরিবান,	গণপরিবহন,	
sbajan,	স্বজন,	স্বজন,	
ishiyatika,	এসিযাটিক,	এশিয়াটিক,	
anish,	অনিশ,	আনিস,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
danabder,	ডানাদের,	দানবদের,	
durg,	ডার্জ,	দুর্গ,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
raagee,	রাগী,	রাগী,	
ashociatesh,	অ্যাসিকেটেস,	এসোসিয়েটস,	
sorajur,	সরজজুর,	সরযূর,	
shucharita,	সূচারিত,	সুচরিতা,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
kuchir,	কুচির,	কুচির,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
shelinar,	সেলিনার,	সেলিনার,	
hood,	হুদ,	হুড,	
aashor,	আশর,	আসর,	
paira,	পাইরা,	পাইরা,	
chaiten,	চাইেন,	চাইতেন,	
shalapheta,	সালফেট,	সালফেট,	
keu,	কিউ,	কেউ,	
thor,	থোর,	থর,	
monmotho,	মন্মথ,	মন্মথ,	
hol,	হল,	হোল,	
daaradaa,	ডারাদা,	দারদা,	
towbaar,	টাবার,	তওবার,	
sangasthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
shoriph,	শরিফ,	শরিফ,	
skolastik,	স্কোল্সটিক,	স্কলাস্টিক,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
waal,	ভাল,	উল,	
gezetted,	জেজেটেড,	গেজেটেড,	
chirakumari,	চিরকামুরি,	চিরকুমারী,	
titlee,	টিটলি,	টাইটেল,	
probhur,	প্রভূর,	প্রভুর,	
omkar,	অমকার,	ওঙ্কার,	
jaank,	জাঁক,	জাঁক,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
sikkhakke,	শিক্ষাকে,	শিক্ষককে,	
nabheela,	নোভিলা,	নভেল,	
roja,	রোজা,	রোযা,	
simmons,	সিম্নস,	সিমন্স,	
foxer,	ফক্সের,	ফক্সের,	
maheendra,	মহিন্দ্র,	মাহিন্দ্রা,	
corymb,	করিম্ব,	করিম,	
sheekarder,	শিকারদের,	শিকারদের,	
obodamoner,	অবদামনের,	অবদমনের,	
abheedhaaneeck,	আবেধানিক,	অভিধানিক,	
bhenis,	ভেনিস,	ভেনিস,	
donate,	ডোনাতে,	ডোনাট,	
konoroop,	কোনরুপ,	কোনরূপ,	
imirgincy,	এমেরজেন্সি,	এমার্জেন্সি,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
japaanira,	জাপানীরা,	জাপানিরা,	
sotorkota,	সতররকতা,	সতর্কতা,	
punch,	পাঁচ,	পুঞ্চ,	
thakte,	থাকতে,	থাকতে,	
bandra,	বান্দ্রা,	বন্দীরা,	
allahabade,	আল্লাহাবাদে,	এলাহাবাদে,	
paripakey,	পরিপাকে,	পরিপাকে,	
chedropathe,	চেদ্রপাথে,	ছিদ্রপথে,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
maryir,	মারির,	ম্যারির,	
ddheela,	ঢেলা,	ঢিলা,	
melobborner,	মেলবোর্ণের,	মেলবোর্নের,	
tanight,	ট্যানিট,	টুনাইট,	
gejeted,	গেজেটেড,	গেজেটেড,	
ajeejer,	অজিজের,	আজিজের,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
sulfatee,	সালফাটে,	সালফেট,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
thraugh,	থ্রৌ,	থ্রু,	
bharadwaj,	ভারাদ্যাজ,	ভরদ্বাজ,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
avishangsan,	অভিশাংস,	অভিশংসন,	
byetasamyan,	ব্যাতসম্যান,	ব্যাটসম্যান,	
korleyi,	করলেই,	করলেই,	
skalastika,	স্কলস্টিক,	স্কলাস্টিক,	
piora,	পিয়ার,	পিওর,	
chaloke,	চালোকে,	চালকে,	
chhooteer,	ছুটির,	ছুটির,	
kunti,	কুন্তি,	কুন্তী,	
haluder,	হালুদের,	হলুদের,	
ajeej,	অজিজ,	আজিজ,	
marino,	মরিনো,	মারিনো,	
raagkey,	রাগকে,	রাগকে,	
makang,	মকাং,	মেকং,	
artillery,	অর্টিলারি,	আর্টিলারি,	
shakar,	সাকার,	সকার,	
jeansh,	জিন্স,	জিন্স,	
chalochchitreo,	চলচ্ছিত্রেও,	চলচ্চিত্রেও,	
hebhee,	হেভি,	হেভি,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
asociatis,	অসোক্সিটিস,	এসোসিয়েটস,	
romantic,	রোমান্টিক,	রোমান্টিক,	
kaferderkey,	কাফেদেরকে,	কাফেরদেরকে,	
koreem,	করিম,	করিম,	
eling,	এলিং,	ইলিং,	
naphisa,	নফিস,	নাফিসা,	
purple,	পার্পল,	পার্পেল,	
rightsh,	রাইটস,	রাইটস,	
plaiin,	প্লেইন,	প্লেন,	
kakhnoba,	কখনোবা,	কখনওবা,	
laishensh,	লাইসেন্স,	লাইসেন্স,	
suchorita,	সূচরিত,	সুচরিতা,	
nevate,	নেভাতে,	নেভাতে,	
mousumei,	মৌসমেই,	মৌসুমেই,	
longghon,	লঙ্ঘন,	লংঘন,	
kharar,	খারার,	খরার,	
jons,	জনস,	জোন্স,	
koner,	কোণের,	কনের,	
gostike,	গস্তিকে,	গোষ্ঠীকে,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
aminool,	আমিনুল,	আমিনুল,	
nikela,	নিকেলা,	নিকেল,	
daaktickete,	ডাক্তিকেটে,	ডাকটিকিটে,	
sonali,	সোনালি,	সোনালী,	
alaoler,	আলালের,	আলাওলের,	
jubokey,	যুবকে,	যুবকে,	
dhyan,	ধ্বন,	ধ্যান,	
surkarder,	সূর্কারদের,	সুরকারদের,	
sothikata,	সথিকতা,	সঠিকতা,	
unhu,	উন্হু,	উঁহু,	
rachonakal,	রচনাকাল,	রচনাকাল,	
masjidti,	মজজিদদি,	মসজিদটি,	
mitar,	মিতার,	মিত্র,	
nabom,	নবম,	নবম,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
babylon,	বাবিলন,	ব্যাবিলন,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
direectoratee,	ডিরেক্টরাটি,	ডিরেক্টরেট,	
kormyi,	করমই,	কর্মই,	
jinsa,	জিন্স,	জিন্স,	
saatzoner,	সাতজনের,	সাতজনের,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
ooeepokar,	উপৈকার,	উইপোকার,	
bhagno,	ভগ্ন,	ভগ্ন,	
sathikota,	সাথিকতা,	সঠিকতা,	
meghnadbadh,	মেঘনাদ্ধা,	মেঘনাদবধ,	
armstranj,	আর্সমা্রাজ,	আর্মস্ট্রং,	
cyanide,	চ্যানিদে,	সায়ানাইড,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
vabnar,	ভবনার,	ভাবনার,	
besarkarikaran,	বেসরকারীকরণ,	বেসরকারিকরণ,	
chaktir,	চক্তির,	চাকতির,	
chhuteete,	ছুটিতে,	ছুটিতে,	
jhankaar,	ঝংকার,	ঝঙ্কার,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
asociatees,	অসয়োসিটিস,	এসোসিয়েটস,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
vogno,	ভগ্ন,	ভগ্ন,	
zubokra,	যুবকরা,	যুবকরা,	
seqtara,	সেক্টার,	সেক্টর,	
johny,	জন্নি,	জনি,	
prothati,	প্রথাটি,	প্রথাটি,	
america,	অ্যামেরিকা,	আমেরিকা,	
animated,	অনিমতেদ,	এনিমেটেড,	
foshter,	ফোস্টার,	ফস্টার,	
jemske,	জেমকসকে,	জেমসকে,	
shhkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
sarder,	সর্ডের,	সরদার,	
plator,	প্লেটর,	প্লেটোর,	
venicey,	ভেনিকে,	ভেনিসে,	
manober,	মানবের,	মানবের,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
babyloney,	বাবিলোনে,	ব্যাবিলনে,	
adhunikkale,	আধুনিকালে,	আধুনিককালে,	
vault,	ভোল্ট,	ভল্ট,	
heeja,	হেজ,	হেজ,	
kareer,	কারীর,	কারীর,	
attacharito,	অত্যচারিত,	অত্যাচারিত,	
mitro,	মিট্রো,	মিত্রও,	
miraclee,	মারাকলে,	মিরাকেল,	
chalake,	চালাকে,	চালকে,	
sulfete,	সালফেটে,	সালফেট,	
esiyatika,	এসিয়েটিক,	এশিয়াটিক,	
jaanachhe,	জানাচে,	জানাচ্ছে,	
licenser,	লিইন্সের,	লাইসেন্সের,	
dajhyo,	দাজ্য,	দাহ্য,	
avereste,	অভারেষ্ট,	এভারেস্টে,	
chhootee,	ছুটি,	ছুটি,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
sushukkhar,	সুসুক্ষার,	সুশিক্ষার,	
diyares,	ডিয়ারেস,	ডিআরএস,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
uparjoner,	উপার্জনের,	উপার্জনের,	
ashor,	আসর,	আসর,	
nathibhookta,	নথিভূক্ত,	নথিভুক্ত,	
ekshotee,	একটি,	একশোটি,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
ghotlo,	ঘটল,	ঘটল,	
pouro,	পৌরো,	পৌর,	
juboksaho,	যুবকসহ,	যুবকসহ,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
bunat,	বুনত,	বুনট,	
pravu,	প্রভূ,	প্রভু,	
ganoporibahon,	গণপরিবাহন,	গণপরিবহন,	
mozdur,	মজদুর,	মজদুর,	
dokaangulote,	দকানগুলোতে,	দোকানগুলোতে,	
dancan,	ডানকা,	ডানকান,	
phutbolarder,	ফুটলবলদের,	ফুটবলারদের,	
shashtra,	শাষ্ট্র,	শাস্ত্র,	
gez,	জেজ,	গেজ,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
window,	উইন্ডো,	উইন্ডো,	
satarkabhabe,	সতারকভাবে,	সতর্কভাবে,	
prokolpogulo,	প্রকলপুলোল,	প্রকল্পগুলো,	
sausaje,	সৌসাজে,	সসেজ,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
shrichaitanyadeb,	শ্রীচৈন্যদেবে,	শ্রীচৈতন্যদেব,	
ooipoka,	উইপকা,	উইপোকা,	
shrishree,	শ্রীশ্রি,	শ্রীশ্রী,	
alaol,	আলাল,	আলাওল,	
dijeejer,	ডিজিজের,	ডিজিজের,	
duckticketer,	ডাক্কিতেকের,	ডাকটিকিটের,	
township,	টাউন্সিপ,	টাউনশিপ,	
sabche,	সবছে,	সবচে,	
shikshao,	শিক্ষাও,	শিক্ষাও,	
roktokkhorone,	রক্তক্রণে,	রক্তক্ষরণে,	
anchalgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
joistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
sthaponatir,	স্থাপনারির,	স্থাপনাটির,	
maladabha,	মালাদা,	মলদোভা,	
hizritey,	হিজরিতে,	হিজরীতে,	
danab,	ডানাব,	দানব,	
kade,	কাদে,	কোড,	
jerujalem,	জেরুল্যাম,	জেরুসালেম,	
motamoto,	মতামতো,	মতামতও,	
naitikatabodh,	নৈতিতাবাধ,	নৈতিকতাবোধ,	
daada,	ডাদা,	দাদা,	
alimpika,	আলিম্পিক,	অলিম্পিক,	
paakshenara,	পাকসেনার,	পাকসেনারা,	
parpel,	পর্পেল,	পার্পেল,	
kirti,	কিরটি,	কীর্তি,	
dakshinangsho,	দক্ষিণাশ্,	দক্ষিণাংশ,	
bagda,	বাজ্া,	বাগদা,	
skara,	স্কার,	স্কোর,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
paab,	পাব,	পাব,	
varpur,	ভারপুর,	ভরপুর,	
shyooter,	শ্যুটের,	শ্যুটার,	
kansat,	কংসাট,	কানসাট,	
manee,	মানি,	মানে,	
kiiborde,	কীবর্ডে,	কীবোর্ড,	
teteyer,	টেটের,	টেটের,	
neermol,	নির্মল,	নির্মল,	
jomkaalo,	জমকালও,	জমকালো,	
besirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
sukna,	শুক্ন,	শুকনা,	
mandando,	মানদন্ড,	মানদণ্ড,	
sanmukh,	সন্মুখ,	সন্মুখ,	
siite,	সিটে,	শীতে,	
teestaar,	টেস্টার,	তিস্তার,	
uthane,	উঠানে,	উঠানে,	
botgach,	বটাগচ,	বটগাছ,	
praima,	প্রাইমা,	প্রাইম,	
